ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u1	Colleagues, Mrs Fonck, Mrs Merckx and Mrs Zanchetta are excused. Their questions will be deferred.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u50	Mr Senesael, cross-border cooperation was implemented very quickly after the signing of the Convention in March 2007 for the provinces of East Flanders, Hainaut, Namur and Luxembourg. The operational annexes provided for first-line areas of intervention for SMURs in the neighbouring country. Thus, French SMURs intervene in Belgium first and vice versa, provided that the SMUR is available and not already retained by another mission. I can give you the tables showing the interventions on the two sides of the border for East Flanders and Hainaut. The analysis shows that this cooperation works very well in both directions. Bilateral meetings are regularly held at least once a year, except in 2020 in the light of health conditions and there are five participants: the representative of the Regional Health Agency (ARS) and the Public Health FPS, the representative of the C15 SAMU and emergency centres 112, the representative of the Primary Health and Mutual Insurance Funds, the representatives of the various functions of the SMUR in France and Belgium and the experts invited in case of specific thematic issues. Communications between the UAS C15s and emergency services 112 take place without major problems. If the means of the other country are activated by the territorially competent power station, there is no longer any regulation between them. Also, if a French means is requested by a Belgian power station, the activation of the SMUR means is done directly without the regulator, which represents a significant saving of time. For effectors adjacent to the province of East Flanders and Hainaut, communications are mainly by mobile telephone between effectors and C15, CU 112 or if the numbers are known, between effectors themselves. For the provinces of Namur and Luxembourg, ASTRIDd radios were provided to French emergency mobile and resuscitation services. We can therefore say that cooperation between France and Belgium in the case of SMURs is an operational reality. However, we must mention the problem of the passage of Belgian ambulances approved in France 112. Indeed, an ambulance 112 can only be required by a CU 112 – thus Belgian – and is not allowed to operate in France with priority signals. In addition, French regulations allow patients to choose their hospital, which is not the case in Belgium. In Belgium, we apply the rule of the nearest hospital. Finally, the transport of patients by an ambulance 112 Belgian gives rise to an invoice (indexed) charged to the patient of 60 euros, while the transport is free for the patient in France. Another problem is the transfer of data between institutions. This transfer exists but it could be improved in its form and speed. On these two issues – transport and data flows – bilateral working groups have been set up at the initiative of the ARS Grand-Est and in collaboration with the ARS Hauts-de-France, and my services are actively involved.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u51	Minister, thank you for the detailed explanations you have just provided. As you suggest, I would be interested in getting the tables you mentioned. First of all, it is to be welcomed that these annual meetings provided for in the Convention take place with the representatives you have mentioned, and that they take place without major problems, as you have pointed out. It is also gratifying to learn that improvements have been made in communications between countries, particularly with ASTRID radios. I take note of the remaining problems with data transfer and regulatory differences in France and Belgium. I will take a closer look at your answer to see how we can act and react to improve the efficiency of these services on both sides of our respective countries.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u52	Mr. Minister, the circulation of influenza viruses did not disappear upon the arrival of the coronavirus. Seasonal influenza affects, on average, 500,000 people each year in Belgium, representing 2 to 8% of the population. 10% of the population suffers from intense symptoms of this flu and some may succumb to it. More than 90 per cent of deaths occurred in persons over 65 years of age. Therefore, people at risk are invited to be vaccinated against seasonal influenza every year. In view of the crossover of seasonal influenza and the VOCID pandemic, a significant order of influenza vaccines was made. In addition, authorization has been given for pharmacists to vaccinate those who wish to cover a larger population. Minister, these factors lead you to ask the following questions. Meanwhile, I found the Influenza report on the Sciensano site. So maybe you can focus your answers on vaccines. What is the record of this autumn-winter? How many cases of influenza have we been able to report? Was this number greater than in the years 2021 and 2020? If so, how much do you estimate this difference? How many seasonal influenza vaccines have we administered? Has this number been greater than in previous years? If so, how much? How many vaccines have been delivered via pharmacists?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u53	Mr. Chairman, Mrs. H annoyance, this is an important issue because the flu itself creates a health problem. It is a health risk and the combination of influenza and persistent circulation of VOCID poses a dual problem. This is what a series of hospitals are currently experiencing. We must therefore be careful not only about the VOCID-19 but also about the flu. You're asking what the record is, how many cases we've been able to track. First, in the first place, the 2020 VOCID-19 pandemic has had a major impact on the circulation of influenza around the world. At the beginning of 2020, there was still a normal annual influenza epidemic from the week of January 20 to the week of March 9, 2020. The influenza epidemic was moderate in intensity and averaged eight weeks in early 2020. On the other hand, the winter of 2020-2021 was characterized by an almost total absence of influenza infections, which is exceptional compared to all previous winters, since World Health Organization surveillance began in 1952. Also for the winter 2021-2022, the number of influenza infections was, at first, exceptionally low. But more influenza infections were observed in Belgium and the rest of Europe than last winter. In a number of European countries, mainly in Northern and Eastern Europe, but also in France, an epidemic of influenza was observed during this winter. There are currently no complete national figures on the number of influenza infections because influenza is not a disease that is necessarily registered. Estimates based on surveillance by monitoring networks are available. These are, however, very approximate estimates for the last two weeks because the VOCID 19 epidemic has severely hampered the functioning of these networks. On the basis of this surveillance, however, the estimated number of consultations of general practitioners for influenza infections confirmed in 2020, 2021 and until 13 February 2022 was 213 500, 7 220 and 15 150, respectively. Sciensano's weekly bulletin on respiratory infections for the week of March 7-13 provides more recent data. General practitioners observe a rate of consultation for influenza symptoms corresponding to 520 out of 100,000 consultations, which is a moderately intense level corresponding to what has been observed in previous years. The trend is growing. Of course, we cannot rule on the peak. Similarly, there are 4.6 hospitalizations per 100,000 people per week due to influenza. This could be an underestimation if we compare with years without VOCID-19, since patients who are admitted because of VOCID-19 often have similar symptoms. It is also apparent that the positivity rate of the tests is increasing for both influenza and VOCID-19. Finally, in terms of general medicine, the table shows 1,295 consultations per 100,000 visits for other airway infections. So, overall, we have been in a trend for the past few weeks that is quite similar to those of previous years without VOCID-19. It could be assumed that the removal of health measures – including the wearing of the mask and social distancing – has also resulted in the removal of barriers against the transmission of influenza, but at this stage of evolution it is somewhat premature to draw definitive conclusions already. This being the case, this is a public health problem which, combined with VOCID-19, brings real pressure to bear on a series of hospitals, and underlines the importance of wearing the mask in public transport, pharmacists, general practitioners' offices, hospitals or nursing homes. In general, I think it is really recommended for people who feel vulnerable and have a more fragile health to wear the mask in stores, for example. I think we need a culture that the wearing of the mask must be something quite natural, not something negative. The same applies to ventilation: ventilation is as important against the circulation of the influenza virus as it is against the circulation of the coronavirus. Therefore, I believe that at present, these days, greater caution is needed again, and the actions that we have used to implement must be maintained, especially by vulnerable people. Influenza is not an innocent disease, and we know that even with the omicron variant, VOCID-19 is not an innocent disease at all! The combination of two epidemics could therefore be extremely embarrassing. I therefore believe that the situation deserves follow-up and that we must remain vigilant. As I said in previous exchanges, this underlines the importance of good preparation in the event that the situation deteriorates. Thank you for your attention.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u54	Minister, thank you for your comprehensive answers. It is therefore somewhat premature to have an evaluation of the results of influenza vaccination at this stage.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u55	The AFMPS does not have the figures for vaccination, but of the availability and distribution of vaccines. Based on these figures, AFMPS estimates that 2,840,000 vaccines were sold during the 2021-2022 influenza season. The AFMPS does not yet have the figures for returned vaccines. This figure is therefore an estimate. These are in fact the same figures as those for the 2020-2021 season. In response to your last question, I will reply that the Belgian Pharmaceutical Association informed AFMPS that until February 2, including 2,125,839 vaccines had been delivered in a prescription during the influenza season 2021-2022.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u56	Minister, thank you. I have no particular reply to my question being purely informative.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u57	Minister, following several testimonies from citizens, I have learned that people with multiple sclerosis need to reside at relatively stable temperatures. Indeed, there would be a risk of hyper- or hypothermia for these patients. Their energy bills would therefore be very important, especially as a result of the explosion in energy prices we know. According to these accounts, these people do not always receive assistance adapted to their situation. Minister, have you been aware of a problem related to the need to ensure a stable home temperature for people with multiple sclerosis? In the positive, how are the medical and financial aspects of the energy bill taken care of for these patients? If not, do you intend to address this issue?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u58	Madam, I am aware of the link between temperature variations and the symptoms of multiple sclerosis. Low temperatures affect nerves and muscles. This can lead to increased pain, cramps, spasms and stiffness of multiple sclerosis, which in turn can lead to problems of walking or using hands. It is not only the cold that can have a negative effect on the symptoms of multiple sclerosis, but also the heat To prevent problems caused by the cold, MS Nurse Pro, Online foundation education program for nurses working in the field of multiple sclerosis, recommends wearing several layers of clothing and drinking hot drinks, but without too much heating, because excessive heat can cause relapses. Basically, stay warm, but keep your head cold, if I can say so. It is particularly important to ensure a stable temperature, but also not to raise the heating too high. The energy bill is of course a problem that currently affects everyone. As you know, the government has already taken steps in this regard. The financial aspects of medical treatment are partially covered by the different types of MAF and the flat-rate intervention for chronically ill patients. In addition, the social tariff for electricity and natural gas is granted for beneficiaries of the increased intervention, as well as for beneficiaries of various federal and/or regional allocations (integration allowances, income replacement, etc.). In addition, the Multiple Sclerosis Patients' Association has given some advice on how patients can spend cold winter days. I assume that the doctors who treat them will also give advice on this matter and adapt their treatment, if necessary. In short, while it is important to be aware of this problem and of the recommendations on the behaviour to be taken, it is, as you say, equally important that social protection be adequate, bearing in mind that social protection must always be improved. It was therefore important to extend, at the federal level, the measures taken with regard to the social tariff which, moreover, was extended to all the beneficiaries of the increased intervention. As you know, this device will be evaluated in September.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u59	Mr President, Minister, thank you for your detailed answer. I'm glad you're aware that the symptoms of patients with multiple sclerosis can get worse when the temperature increases or decreases. This has, moreover, been objected to by a number of studies. These are known effects for the 40,000 people who suffer from this disease in Belgium and who require support measures. But today – and that is why I wanted to ask you about it – these people do not necessarily receive financial assistance adapted to their situation. It is true that your Government has adopted certain measures in favour of the most vulnerable, the most difficult, such as, of course, the extension of the social tariff. But there is also a need to be able to take measures that focus on people who are not necessarily the most disadvantaged, but who are made vulnerable by the disease they suffer. For them, the only possible solution is to call on the CPAS, which implies a cumbersome and vexatious procedure for them. I therefore encourage you to assess the measures put in place, to see if they are sufficient for these patients, in particular, in view of the constant increase in prices, and to propose, if necessary, further measures to support them as best they can.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u60	Minister, on February 1, I was asking you about the future of your bill, which contains this famous section 69 blocking the granting of INAMI quotas. You replied that the consultation on how the medical offer should be aligned with needs - and on which you did not wish to provide us with more information - was still under way, adding that an agreement could be reached quickly. Two months later, it must be noted that the blurry remains for medical students, who are legitimately worried about their professional future. This is why several student organizations, including CIUM and FEF, have submitted a petition signed by more than 6,000 students from all French-speaking universities - with the support of their Dutch-speaking counterparts - that requires the outright withdrawal of section 69. It was not until after their demonstration in front of your office that you agreed to receive them to tell them mainly that you were aware of the shortage of doctors, while continuing to consider that this article was necessary, on the ground that it "constitutes a tool of pressure and blackmail - these are your words - on the French Community to strengthen the INAMI quotas", even as they aggravate the shortage of doctors, that you yourself recognized. More recently, the Planning Commission issued an opinion asking you to raise the threshold of candidates who would receive their INAMI number in the French Community, on the triple condition of introducing a selection as soon as the next return to school, but also to direct doctors to specialties where the labour force needs to be strengthened and to remove the key used to allocate quotas between the north and the south of the country. You then reacted in Le Soir by ensuring that each medical student would be "secured, with a new filter at the entrance", in the sense that he would receive, upon graduation, an INAMI number. As a result, Minister, what is the state of progress in the inter-federal negotiations? Is a new deadline set? Secondly, are you still as optimistic about the conclusion of an agreement? If so, why keep your Article 69, since it is intended to apply only in the absence of agreement? How do you respond to students' demands? What is the status of the creation of this inter-federal planning body, which is provided for in the government agreement? Are you prepared to increase student quotas in the French Community, subject to all the conditions laid down by the Planning Commission, and not just certain? In your opinion, is the recommended increase of only 55 INAMI numbers per year sufficient? If not, could this number be raised? Finally, are you prepared to remove - as requested by the Planning Commission - the key to the allocation of these INAMI quotas between Flanders and Wallonia?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u61	Mr Minister, I will not waste too much time on this before I hear your answer, because I am asking for a state of affairs on this dossier. At least I've got one fix. We are now two months after your great ultimatum and there is little left of it. We can already conclude that. Those were big words, but little of them came into the house. It is true that you still have a law on various provisions in which there is an article containing a certain measure of accountability, namely Article 69. However, I wonder what is stopping you from having that article adopted in committee. That could have happened a long time ago. In the meantime, you're still having conversations. In the corridors they sometimes hear something, but that doesn't really reassure me. So I'd like to get an update. What does not reassure me is that the Planning Committee has once again come up with very political advice and even uses parameters which actually institutionalize that French-speaking doctors work less than Flemish doctors. That is, of course, a direct consequence of the fact that there are too many of them. I hope you do not think that we do not believe in that kind of fog, but before I do, of course, judge where you will land, because that is of course the most important thing, I would like to hear from you where you stand today.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u62	Minister, that Federal Response Mechanism for compliance with that established number of doctors was announced in accordance with the government agreement. You have announced this several times. In the meantime, the deadline you set yourself for this has already expired for almost two months. When that deadline had just passed, you replied that you continued to hope for an agreement. It's time to get a pulse on that hope. In the meantime, there's still some movement. The Walloon doctor specialists have protested against your plans and on the Flemish side the Flemish association for Arts Specialists in Education and the Flemish medical students are fully associated with the plans for that response mechanism. I had put a number of quotes in my question and I would like to add one more. The President of the Flemish Medical Student Transfer rightly says that it seems to be forgotten that more students have been admitted on the Walloon side for decades than has been stipulated in that quota and that despite the fact that the serious deficit has not been resolved. This influx restriction is certainly not the cause of the shortage in these bottleneck specialisms. Just today let the Flemish government communicate that it is doing again what it is asked to do and taking its responsibility again. This time it will introduce subquotas per specialisation for the first time, in order to better match the supply of care to demand. It is not possible, of course, that there is no effective filter on the French-speaking side. What's the status? How long will you hope for an agreement? When will federal action be taken? Does the absence of that promised response mechanism mean that the lower limit of the quota is not adjusted? Can you at least give us a timing for the implementation of the coalition agreement? Will you, as the Flemish Association for Arts Specialists in Training rightly demands, ensure that these measures enter into force for the coming academic year?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u63	I will reply in general terms because there is still consultation going on. I do not want to complicate this consultation by now giving my own opinion on all possible detailed aspects of it. I repeat what I see as the main objectives. We need a global, sustainable solution with three basic principles. Firstly, the medical supply really needs to be tailored to objective needs. In doing so, attention should be paid to bottlenecks in the medical supply. In the case of bottlenecks, attention should be paid to the distribution of supply across each region and to what we can do for better distribution within the regions. The work of the Planning Committee concerns objective figures. That can be discussed. It is also possible to discuss the principles, but the Federal Planning Committee is proposing a serious and objective framework. It's important that we can get out of that. Secondly, if the Federal Planning Committee is proposing quotas for the number of young people admitted to medical specialities following initial training, then it is essential that these quotas are respected on both sides of the language border. We must also be able to see that they are respected and that they will continue to be respected. We need to have a real control over supply as a function of these objective quotas. Thirdly, this could create legal certainty for all students, if done correctly. We haven't got that far yet. Consultations are under way on these different objectives. We've gone a little over our time and I won't put a deadline on it either. However, I am hopeful that, with good will and with eyes focused on results, we will be able to find a lasting solution to a problem that has been dragging on for some 25 years and has actually been rotten rather than solved. Our mission is to solve it, from the point of view of a correct medical supply, high quality of the professions, high quality of training and high quality of care.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u64	Minister, thank you. I hear that there is still a dialogue and that is why you cannot answer all of our questions. I can hear it if it is to give these negotiations every chance to succeed. However, I wonder whether the context today is still serene enough to lead to a constructive agreement when we see that the conditions laid down in the opinion of the Planning Commission, as it has been given, are so strict and even penalising for students. These three conditions are cumulative; however, you focus, in any case, on the information you have been able to give us, only on the introduction of a selection competition which can only be established in consultation with federated entities and student organisations. It's fundamental. However, there are also two other conditions which, contrary to the competition, have the merit of not penalising students who would leave high school by coming from "bad" schools, i.e. schools which would not have a high level in mathematics, physics or biology. First condition: refer physicians to general medicine, geriatrics or psychiatry. Second condition: to remove the key used to allocate quotas between the north and the south of the country, especially in view of its small size, the free movement of caregivers and the shortage of doctors which affects the entire territory. I am dismayed to see that there are still parties that deny that this problem affects our small country as a whole.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u65	Minister, I am surprised that there are still colleagues who think that the deficit in certain sub-specialities has to do with the influx, whereas there have never been quotas in their part of this small country. You say you've gone over time. That's an understatement because we've been 25 years late. I've known you better, though, at times when you thought you could still get away with your response mechanism. In fact, the solution is quite simple and there was one under the Swedish Government. An agreement has been devised to pay off the surplus from the past, with which a response mechanism would be put in place and with which there was a clear agreement for the future. However, Mrs De Block never implemented that agreement and you will not. You're doing the same thing as Mrs. De Block. You're going to say some tough words, but when you come to the point, you're going to talk again. Moreover, I am now hearing that you are deleting your response mechanism, which at least you had already put into a legislative text. If you took your three principles of respect for quotas so seriously, you could have them adopted perfectly next week. However, it does not come to committee. I already feel in my bones what you're going to do, you're going to present your agreement on a news day. It will be at the expense of the Flemish students and at the expense of the Flemish taxpayer. You won't solve this file, you'll pardon a general. That's what you plan to do.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u66	Mr Minister, you are actually giving the same answer as you did two months ago. You give the objectives, which I said at the time, that I agree with them. Supply must be tailored to needs, quotas must be respected and students must be guaranteed legal certainty. We all agree that the quality of training and the quality of care must be the priorities. The fact that you haven't even stuck on a deadline has the chance that the next academic year will be applied by the day. You are only talking about resolving this, but I would have liked to hear a commitment to the response mechanism in your own coalition agreement. You could at least make it clear today that, for example, we will not make a full tabula rasa of the French translations from the past and that the key will not be released. Those are things I wanted to hear today. On the Flemish side, what is being asked has been done for 25 years. For the first time, subquotas are being set for the number of candidates for the doctor-specialist and dentist-specialist training, according to the advice of the Flemish Planning Committee. It is particularly regrettable that you continue to hope for an agreement, because in the meantime precious time has passed.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u67	Question No 55025310C by Mrs Zanchetta is postponed.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u68	Mr Minister, I read in the opinion of the Flemish Planning Committee that it does not have the necessary data on the five elements relating to Article 3, 4th paragraph of the Flemish Government's decision to plan the medical offer. That makes it difficult to make evidence-based statements about the need for active doctors and dentists over the next fifteen years. You understand that Flanders prefers to look at it for itself. In addition to the opinions, annual reports and excel files published by the FPS, the Flemish planning committee needs the underlying data. A transfer of data between the federal and Flemish levels is necessary, including about the assumptions underlying the baseline scenario and, in particular, about the alternative scenarios, so that they are transparent and can be calculated in view of the situation there. What's the status? Minister, the Flemish Planning Committee recommends that a cooperation agreement be concluded for this purpose, with a view to ensuring maximum data transfer between the two levels and building up sufficient analytical capacity at Flemish level. How do you feel about that advice from the Flemish Planning Committee? Is there a will at the federal level to share the data? How do you proceed with that advice and that question and when? You will understand that I believe in that rather more than in the previous story.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u69	Mrs Van Peel, the Federal Planning Committee already pays particular attention to the description of the statistical analyses it carries out and takes into account the degree of breakdown which is useful for the Communities, permitted under the private data protection legislation. The description of the activities takes place at the level of the country, the communities, the regions, the provinces and, if possible, the municipalities, such as for general medical practice. The scenarios for the development of the labour force by community are then established for both baseline and alternative scenarios. The federal government is always at its disposal to provide support to the communities' committees within the limits of its resources and with due regard for private data protection legislation. I share your concern that good synergy and data and information exchange between the levels of competence is crucial. This seems to me to be one of the main tasks of the future interfederal body. The federal government has approved my draft paper on this matter. This draft note will then be discussed with the Länder. The creation of a data transfer cooperation agreement will certainly be one of the first tasks of that new consultative body.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u70	Minister, that would be a good thing.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u71	Minister, there are those who strike and there are those who anoint. I'm not here to give you ointments today. I'm here to give you compliments. The coalition agreement requires that consideration be given to how certain powers can be implemented tailored to the needs of the Länder. There has been a lot of discussion about this in the committee with ministers Verlinden and Clarinval. The result is that they have sent a letter to all ministers asking what they will do in this area. Only four ministers replied, including you, Minister. In the meantime, I'm doing my rounds. A number of your colleagues are now also crawling into their pen to answer politely. That's what one does when one gets a letter. My question is very simple, Minister. Can we get that letter, too?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u72	Mr Loones, I can tell you what I have written about asymmetric policy, because that is actually your concern. In my reply to Minister Verlinden, I make a distinction between health and social affairs. As far as health is concerned, I can highlight four aspects of the policy in which asymmetric policies are absolutely relevant. Firstly, on the basis of cooperation agreements, we can financially support the Länder in vaccination campaigns or screening programmes. We can do that asymmetrically. This has already happened in the past for cervical cancer vaccination on the Flemish side and colon cancer screening on the Walloon side. There is no reason why, if the overall policy is balanced and responsible, we should not do so anymore. I'm handing along a very small anecdote, which is missing in my letter to Minister Verlinden. Twenty years ago, I provided innovation by diversifying the protocol agreements on the roll-out of care for the elderly, when that was still a federal competence, according to the communities, because the needs and policy interests were not exactly the same. That was a great innovation back then, but we can do it fairly systematically. Pending further state reforms, we can try to tailor the needs and preferences of the communities more closely. The screening programmes and vaccination campaigns are a first facet of this. Secondly, both in the context of our pilot projects chronic care which is about taking proper account of the chronicity of diseases and the fact that good, often multidisciplinary care paths are to be organized as well as in the context of the agreement on psychological care in the first line we have had a lot of consultation with the Länder. By the way, a protocol, or a symmetrical framework, has been created around the psychological aid in the first line. It is perfectly possible, even to recommend, that the Länder link different specific initiatives to those projects in Chronicare from their own powers and from their own preferences. Also in another area, which you do know from the negotiations on state reform, asymmetry can continue to be addressed, in particular in the cooperation agreements on the inclusion of brake charges within the framework of powers transferred to the Länder, in the federal system maximum invoicing and its financing. It is perfectly conceivable that, to the extent that the Länder have their own powers in areas of health care, they will develop different approaches to what personal shares are that people have to pay and that they will thus introduce in a different way what they need to insert into the maximum invoice system, which aims to limit the sum of personal shares. The cooperation that is now very operational around the maximum invoice, which is a federal system, but with a piece of input of shares paid in the context of health care in areas that are state jurisdiction, can be perfectly asymmetrically completed. In the corona pandemic, on the one hand, we have tried to coordinate much, explicitly in the framework of the federal phase, but even independently of the federal phase, we need to coordinate and therefore streamline and do the same. That allows for different accents to be laid. That's what happened, and there's nothing wrong with that. In the management of such an epidemic one must coordinate, but that does not necessarily correspond to a single sausage. As far as social affairs is concerned, I would like to draw your attention to a recent example. Recently, we have had nothing secret about this, because it was discussed and approved here in committee - the distinction in federal legislation between sheltered and social workshops in the field of RSZ contributions and reduction, so that the sheltered workshops and tailor-made companies referred to in the Flemish Decree of 12 July 2013 are all covered by the same rules. We have also made a specific agreement on what is happening in Flanders to ensure that our decision does indeed allow greater efforts in these sectors. I think that is a good deal of work and a useful piece of legislation. No one has called hard for that, but that is a form of asymmetry. Another example I would like to mention in my consultation with Mrs Verlinden, which is also an example of how the epidemic can be tackled, on the one hand seeking uniformity and convergence, but on the other hand allowing for so little difference, is the return-to-work policy of long-term sick people. On the one hand, I think we need convergence there. Of course, I expect more ambition from the various regions and also a converging ambition upwards. Flanders has done more in the past than Brussels and Wallonia with regard to the reintegration of long-term ill, but this also has to do with the fact that there is more suction in the Flemish labour market. On the one hand, there is the story of convergence and thus uniformity in the approach. That also makes sense since we are in a federal social system. On the other hand, I am making separate protocols with Flanders and I signed one last week with Mrs Crevits, Brussels and Wallonia. These are separate protocols, because reality is not the same everywhere. That's a tailor-made approach. I also think this is an interesting example of how, in the whole of the powers, which are what they are and not always perfectly organized, one can ensure that preferences and needs are aligned in each region. That is what I have said to Mrs Verlinden when it comes to asymmetry in my policy. There are no secrets from everyone else.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u73	Thank you, Minister, for that very correct answer. First of all, I appreciate the fact that you correctly fill in the term asymmetry. When I ask other ministers, they often answer that if there is a question from a state minister and those who agree, they are asymmetrically engaged. Of course, that is not the case. By the way, if one takes a measure which is the same for the whole territory, one can place Länder with something that they did not ask for, but which the other had asked for. There is another dynamic in your mind, which can only improve the accuracy of the debate. Secondly, I would like to call for a very active approach. I have seen that the protocol on the long-term sick has indeed been signed. You have given some very concrete examples that can be operationalised this legislature and hopefully by 2024, so that we can see the real asymmetry after 2024. We have read in the coalition agreement the passage that legislative proposals on the federalisation of health care will be integrated. There may also be a small debate on this wording, but that will undoubtedly be for the next time.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u74	Mr President, Mr Minister, the €43 million package to grant a flat-rate allowance of €2,500 to specialist nurses would not apply to nurses specialising in peri-operative care. The reason given is the lack of standards in the operating rooms despite the award of the professional qualification in 2014. In addition, post-operative nurses were particularly solicited during the various phases of the covid-19 epidemic. Most peri-operative nurses assisted their colleagues by visiting intensive care units, emergency services, or hospital services to care for patients. Minister, can you tell us if a solution is in the process of being found to also grant the lump sum allowance to nurses specializing in peri-operative care? Are you considering taking the necessary steps to set the framework standards in the operating rooms? Is there any contact with the ministers of the federal health agencies in order to consider the issue of accreditation standards?
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u75	Mrs Taquin, I am fully aware of the problem you are sketching. I am currently in the process of implementing the decision to grant additional specialization to certain nurses by drafting a royal decree which will determine the beneficiaries of this supplement, after consultation with the sector. The possibility of granting a specialisation supplement to registered nurses for a particular professional qualification or for a particular professional qualification who work in a hospital in an approved service, approved function or approved care programme shall be examined.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u76	Minister, thank you for the answer and I am relieved that you are keeping the course. You have confirmed to us that there should not be any losers in this reform, which was intended to enhance the value of all the healthcare workers who need it. We look forward to this, but I understand that the work takes time if it is to be done properly.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u77	Question No 55025408C by Mr Patrick Prévot is postponed.
ParlaMint-BE_2022-03-22-voorlopig-55-commissie-ic731x.u78	Minister, in the UK, 49 percent of new HIV diagnoses were observed in heterosexuals and about as many in men as in women. If one compares this with 45% for men who have sex with men and bisexuals, this is a striking percentage. The figures do not mean that there is an increase in the number of HIV infections in heterosexuals, but they are striking because since 2014 there has been a huge decrease in the number of infections..................................................................................................................................................................................... This is the first time in ten years that diagnoses in the hetero-community are higher than in the holibi community. One explanation for this may be that men who have sex with men are still among the key groups for the transmission of HIV in Europe, and that sensitisation is much better integrated into this group and less focused on the sensitisation of other population groups. According to Professor Vandekerckhove of the UZ Gent, the new diagnoses in our country would be similar between men who have sex with men on the one hand and heterosexual men and women on the other. It is therefore very important to continue to focus on awareness among the entire population. In Sub-Saharan Africa. 6 out of 7 new HIV infections in adolescents between 15 and 19 years of age occur in girls. Transgender women and sex workers are 34 and 26 times more at risk of HIV infection, respectively. A number of pilot projects are now under way in the UK. For example, there is a new system in which people who were registered in the emergency department were tested for HIV. This has led to more infected people being detected in that hospital, specifically responsible for infections with sexually transmitted diseases. Minister, do you know about these figures in the UK? How do you interpret these figures? What are the latest figures in our country? Do we also see a shift in the number of infections here? What was the impact of the corona crisis on the number of people with HIV infection? Do you think that we should also take action in this area in our country?
