ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u1	Colleagues, our agenda normally starts with a topical debate on judicial expertise.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u62	Madam President, Minister of Justice, you see that I am not afraid of anything and that despite the difficulties of the judicial organisation, I envisage the creation of a new service through this question. Indeed, France will tackle its cold cases; in our tricolor neighbour, there are no fewer than 173 cases of unsolved crimes that are in the hands of the justice system without the means to resolve them. This has changed since the establishment within the Nanterre court of a national pole dedicated to unsolved crimes and serial crimes. This new entity has three of the most experienced investigating judges, a vice-procureur, clerks, legal assistants, and two judicial police officers to carry out these tasks. The task of this "cold cases" centre is to deal with particularly complex cases of a serial nature whose perpetrators could not have been identified so far, after more than 18 months. Major stakes, technicality and expertise are at the heart of the reactor of this pole of unsolved business. The "cold boxes" pole will be able to resume, from the beginning, sensitive, complex, poor progress investigations or left behind. By virtue of its national jurisdiction, it will have a broader view than the territorial boundaries of each jurisdiction. To this end, the Centre will be assisted by some 30 specialized investigators from the National Gendarmerie, behavioural analysts and serial crime specialists. This initiative has been praised in France by the families of the victims of crimes that are still not clarified today. As far as I am concerned, this is a very interesting initiative. On the issue of cold cases, Belgium, alas, is not left behind. Should we recall the case of Kim and Ken never resolved and which no one remembers or the case of the Brabant killers for which the statute of limitations has become an elastic that we stretch endlessly? How many serial killers could have been neutralized and brought to justice if this pole had existed in us with the widest possible vision and skills? Mr. Minister of Justice, since you took office, you have begun recruiting more judges. You have undertaken to provide our judiciary with modern means. In the context of these reinforcements that you are leading, how do you view this French reform? Can you commit yourself to creating, before the end of this legislature, a centre dedicated to serial and unresolved crimes? Are you able to group the same number of staff as in France for a Belgian "cold boxes" pole? Will you set up a specialised entity within, for example, the Brussels Court? On the other hand, such an entity would have the merit of relieving the front-line investigators from complex cases and would concentrate, within the same team, investigators and specialized magistrates who would move forward without dispersing. Finally, it is a matter of preventing crimes whose horror has already upset our country too much. The search for justice is not a question of time or means but, above all, a question of competence and will.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u63	Mrs Marghem, you are asking me an interesting question. In our country, too, there are many cases of unsolved crimes. In the interests of victims or relatives, it is our duty to continue, as far as possible, to work to find the truth and to clarify as many cases as possible. But in our country, this does not mean that we must or want to do so through a central pool in Brussels. The processing of cold cases by the Federal Judicial Police does not require the creation of ad hoc cells, according to the information provided to me, because in a regular search service there is sufficient expertise to deal with this type of case. The same applies to the Public Prosecutor's Office. It is also clear that forensic investigation techniques or other specialized investigative techniques can be provided or supported by a central body, the National Institute of Forensics and Criminology. Let us take the example of DNA research, which, quite recently, in a well-known case in Flanders, has led to a breakthrough in an investigation into unsolved murders. In other words, the creation of these cold-case cells does not create enough added value. However, this does not prevent the Federal Judicial Police (FJP) from doing so on an exceptional basis, such as with the Nivelles Bande cell.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u64	Minister, thank you for your answer. I do not agree with you that such a structure is useless. In fact, you recognize its usefulness, since at certain times, at the level of the PJF, such initiatives are taken. The idea, when one does not advance in the treatment of a case, is that one cannot elucidate or find the perpetrator of an offence and that one remains behind for months and years, to try to put around the case all the existing technical possibilities, the most modern and the most interesting, to find the perpetrator and to ensure that the victims of these atrocious offences receive help and know the truth. You mention a case in Flanders that I don't know but we can talk about it off the record for my personal guidance. It is obvious that the new techniques allow interesting breakthroughs but I do not know in which cases and with which aggregation of skills they have been used because they are valid everywhere. It is not only because a state-of-the-art technique is used, therefore, that the truth can be found for all cases that have remained behind. It is also due to the fact that investigators have a unique experience and specificities, and remember certain things. For example, investigators specialize in the recognition of vehicles from vehicle debris. These people know all the markings of all the vehicles and are able to identify, with great precision, a vehicle at the start of traces collected in the course of an investigation. They are not necessarily available to all investigators. So this is what, at some point, must be able to be gathered around a case in order to make it evolve. I am convinced that if we were to make the total of all the cases that have not been clarified for a long time in Belgium, we would unfortunately find almost as many cases as in France. Therefore, why not consider placing them within a circumscribed perimeter with investigators who, on an ad hoc basis, would work on these cases to try to solve them? I will, of course, follow these particular dossiers, particularly the one you mentioned and for which the investigators have grouped themselves around a specific situation, to see how they have done and what they expect from this gathering of skills.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u65	Minister, in De Morgen we recently read that two Serbian girls of about 12 years old and also a boy, possibly the brother, about ten years old, were caught trying to break into Flémalle near Liège on Sunday 10 April. There are suspicions of human trafficking and forced crime. After one night in a Liège police cell, the girls were transferred to the closed center in Holsbeek on Monday morning, and the boy to the closed center of Merksplas. Was there any official age doubt expressed at any time? If so, by whom and when? After all, I understood that it was very clear that they were minors. In De Morgen I read that the parquet of Liege states that that night the Voogdij Service was notified. Is that information correct? How is the permanence regulation of the Voogdij Service currently going? Is the phone being answered and by whom? Is there, therefore, an active search for a solution to the problems that arise or is only asked to call back during office hours? Could it be that at that time the police could not be heard and then the children were sent to jail and then to the closed center? You provide additional resources for the Voogdij Service. Will you also be able to ensure a sustainable night and weekend arrangement? When exactly and for what time was a guardian appointed and when exactly was that known at the courthouse? Are the three children staying with the same guardian, or are they staying at least in the same arrondissement? In cases like this, valuable time is often wasted, including with a view to a temporary placement or a claim by the juvenile court, because of the big claws and the search for the competent court. After all, the competent court is that of the guardian's place of residence. What opportunities for improvement do you see with regard to this aspect? The youth parquet ruled that there was no worrying educational situation. I find that remarkable, given the facts. These are very young children who are caught up in an attempted theft, who are far from home and who may be involved in trafficking in human beings and in committing criminal offences. How do you explain that judgment? Is it true that the juvenile judge did not order any social research, which seems very disturbing to me? How did the communication between the youth parquet and the reference magistraat for trafficking in human beings go? Was the latter notified? What's the status? We know from the two girls that they could end up in the newly established Meza, the center for underage victims of trafficking in human beings. Could the boy go somewhere and if so, where? Are they still there? Where are the children now? Is there any way of trying to stay in touch with them? Are there statistics available on the number of criminal trafficking in human beings with particular intent of forced crime that has been opened, dismissed and resulted in a conviction? What are you distracting from that?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u66	Mr Segers, I refer in advance to the answer given by Mr Sammy Mahdi to your oral question in committee last week. He already referred to the decision of the Foreign Affairs Office and the transfer of the girls to the closed center of Holsbeek. I will not go back to that. However, I will reply from the point of view of the Voogdij Service. It is a rather comprehensive answer, Madam President, for which I apologise. Mr Segers, according to the Voogdij Service, no doubt was expressed by the police department concerned. The answer to the first part of your second question is as follows. The Voogdij Service did not receive a description sheet on the day of the interception, April 10th. The Voogdij Service was contacted on 11 April during the day about the three children. The local police involved do inform me that the night permanence of the Voogdijk Service was contacted, but no one answered. You know that the operation of the Voogdij Service is currently not optimal for the sake of strike actions. You know what we want to do about it. On 11 April the Voogdij Service received the description sheet of the boy. On this sheet the age of the boy was not mentioned. It also contained no indications of any trafficking in human beings or of any particular vulnerability of the boy. In addition, the boy was already known to the Voogdij Service. The service was informed by the dispatching of Fedasil that the young offered shelter had refused and had finally left. The two girls were transferred to the closed center in Holsbeek on 11 April, where it was found that they were minors. The two girls were spotted after the closed center had contacted the Voogdij Service by telephone. Also on the description sheets of the two girls there was no information on any indications of trafficking in human beings. A supervisor of the Voogdij Service then drove to the center of Holsbeek to pick up the girls and transfer them to a shelter for minors, Meza. The next day a guardian was assigned to the two girls. There was a meeting between the guardian and the girls. However, they disappeared from the center, after which the guardian filed a report of disappearance with the police. I would also like to point out that, in accordance with the 2016 circular on trafficking in human beings and trafficking in human beings and the 2016 circular on the vademecum concerning the interdisciplinary harassment of unaccompanied minors, the police forces and the Public Prosecutor's Office are competent to assign young people who may be victims of trafficking in human beings to a specialised centre. To answer your questions 2b and 2c: as you know, a trade union action is taking place, which means that the service is not accessible after office hours. During office hours, you are asked to contact us again immediately. It is also indicated that for the reception of very young or very vulnerable minors, contact can be made with the department responsible for youth assistance. For the reception of minors at the border, services can directly contact the observation and orientation centres of Fedasil in Steenokkerzeel and Neder-Over-Heembeek. The talks and negotiations are ongoing, and that is all I can say at the moment. You will understand that this consultation must be open to all. In the meantime, I'm working on a structural reinforcement of the Voogdij Service. Discussions are currently taking place in the government on the basis of a concrete proposal. With the extra staff there will be a sound permanentity scheme again possible. In the meantime, an internal call was also launched through Selor's Special Federal Force programme for a temporary reinforcement of the Voogdij Service. Your third question. The Voogdij Service appointed a guardian for the two young girls on 12 April at 08.46 hours, because, unlike the boy, they could still be located. The two girls were picked up and transferred to the shelter by the Voogdij Department at around 14 hours on 11 April 2022. The boy disappeared on 11 April 2022 immediately after his arrival at the dispatching of Fedasil. Your fourth question. I can inform you that the circular concerning the vademecum indicates that, if the unaccompanied minor does not have a guardian, the competent prosecutor is determined by the place of the facts when the unaccompanied minor is suspected of having committed a crime described as such and in other cases by the place where the unaccompanied minor was found. The parquet can see in MenaWeb, a light version of our database, if a guardian was appointed. The Voogdij then tries to appoint a guardian in the district of the parish that took the measures. For your fifth and sixth questions, I asked for an answer from the Liège parish, which tells me that, since this is an individual dossier, no further details can be given at the present stage of the procedure. On your seventh question, I can inform you that the boy was taken to the dispatching of Fedasil by the Flémalle police. He refused shelter and left immediately. To your eighth question, I can answer that the two girls were placed at the Meza shelter. However, they disappeared the next day. They were found again the following days and transferred to the shelter Meza. Because they again indicated that they would run away, the center decided to guide them to a family. However, they disappeared again, despite an earlier meeting with the appointed guardian. The boy disappeared immediately after his arrival at the dispatching of Fedasil. The three young people can no longer be located at the moment. For the answer to your ninth question, I have a lot of figures with me. However, I will deliver them to you in writing.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u67	Thank you, Minister, for your detailed reply. The reason why I often deal with specific cases is to highlight the bigger problem. In the Committee on Trafficking in Human Rights, we have already gone a little further into the observation that, for example, forced crime hardly seems to be on the radar. It also appears here that the various services involved have not really had the reflex to see the potential larger network. That also manifests itself in the figures you will give me. In the figures I already know, forced crime hardly appears. That is the case in the Netherlands. There is an urgent need to do something about this. Secondly, during the Human Trafficking Committee, the Interdepartmental Cell indicated that communication between the youth parquet and the reference magistraat should be improved. I can imagine that this is also the case here. I'm not sure, but I do have suspicions in that direction. Thirdly, I hope that the situation of permanence will be resolved quickly, but I understand that you will achieve this effectively. I continue to find it very strange that it is sufficiently serious to transfer those young people to prison and then to a closed centre, but because it is not a worrying education situation at that time it is not worth following those young people up, so we now do not know where they are. A social research and a collaboration with an organization like the Foyer at that time could keep those young people on the radar. We could take a leaning approach through Meza. It may indeed be that the young people leave there a few times, but at the third time it may still work. I am sorry that everything that has gone wrong has led to a lack of continuity. That permanence at the FPS Justice or at the Voogdij Service will certainly bring great added value.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u68	Debates of the European Parliament Mr Boukili's 55027201C was converted into a written question.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u69	Minister, you indicated that 6.6 million more would be invested in the Voogdij Service. This would give you 60 additional employee guardians in the first place. In addition, you would recruit 23 extra staff at the Voogdij Service, on top of the 27 who are already working there. The budget would also be allocated to additional interpreters and voluntary and self-employed guardians. At first I understood that they would be partly financed from the funds for Ukraine, but later it turned out that this was not the case. In the meantime, perhaps that would be the case again, so you should tell me what the exact plans are. Are these funds also used for an improved permanence scheme? How did the situation evolve since 30 March, when 307 unaccompanied minors from Ukraine were reported. How many unaccompanied Ukrainian refugees have been registered in the meantime? Where did those reports come from? Was that from registration center or from cities or municipalities? At what rate do these daily registrations take place? Earlier, you said that 34 unaccompanied Ukrainian minors were assigned a guardian. How often did that happen in the meantime? What does that mean for the total backlog today? You said last time that for 735 unaccompanied minors a guardian should be appointed. How many are that today? How often have in-depth identification investigations been launched in recent weeks with Ukrainian unaccompanied minors? What was the result of that? Were there any suspicions about human trafficking and could they be confirmed? When registering through the Heysel of a minor who is accompanied by a non-parent and who would not be in need of care, could the Voogdij (Saudi Service) ensure that this is a lasting solution in the interest of the minor? That is also the legal mission of the Voogdij Service. How are contact details kept and checked for accuracy in this situation without any alleged need for reception, as there is no allocation here and there will still be a need to report through the municipality? How do the guardians respond to the demand for more custody?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u70	The Council of Ministers approved a commission of EUR 800 million on 1 April. Part of that budget is intended to strengthen staffing at the Voogdij Office and to involve additional employee guardians. Since the Celeval report of 25 April has adjusted the forecast of 200,000 possible displaced persons to 78,000, I have logically adjusted my demand for additional resources. The demand for additional resources for IDP Ukraine as a result of the Ukraine crisis was sent to the Treasury Inspectorate and is currently under discussion in the government for approval. I hope to be able to provide you with more information quickly and take into account future fluctuations in Celeval reporting due to changing circumstances. Secondly, the additional staff should also be included in the permanence scheme. Thirdly, until 1 May 709 unaccompanied minors were reported from Ukraine. The children evacuated from Ukraine on 21 April 63 have not yet been added to this list. The actual number is therefore higher. The vast majority of descriptions come from the registration centre. However, the Voogdij Service cannot give specific figures on the origin of the descriptions. Over the last few days, the Voogdij Service has received about ten descriptions of unaccompanied minors from Ukraine every day. The Voogdij Service appointed a guardian for 89 unaccompanied minors from Ukraine until 1 May. Currently, for 1,039 unaccompanied minors, 660 Ukrainian minors are appointed guardians. Around 200 young people have recently arrived and are currently staying in an observation and orientation centre in Fedasil. For them, a more sustainable residence is sought in the first phase. In a second phase, a guardian can be sought and appointed in the local environment. Currently, it takes about five months before the Voogdij Department can appoint a guardian. With my demand for additional resources for the government, I want to systematically eliminate this delay. Seventhly, at the moment there are ten cases in progress, in which there are doubts about parental relationship or custody. No specific files have yet been reported to the Voogdij Office, in which there is a suspicion of trafficking in human beings. Eighth, the registration centre on the Heysel provides for a separate desk for minors, which is staffed by the DVZ. Those staff shall have a first interview with the minor, including questions about their place of residence and the circumstances in which they reside. In addition, they send a description sheet to the Voogdij Service. The indicated address of the unaccompanied minor shall be indicated on the description sheet upon registration. After a positive residential check by the district agent, the address of the unaccompanied minor will also be mentioned in the national register. Ninth, a number of guardians responded positively to the call for more custody. It concerns about 50 guardians, who recorded one to five additional guardians. Some fifteen former guardians, who have ceased to be guardians in the last two years, decided after the call to temporarily retake custody.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u71	Thank you, Minister, for the answer. You have, of course, made a number of commitments, including in this matter. I'll keep following that up. I understand that this has been adjusted, as fewer refugees are arriving than originally expected. However, I am counting on you to provide sufficient resources, not only from the Ukrainian pot, but also, in order to be able to solve the problem that existed before, sustainably. I'll keep following up the file closely. I've also asked a lot of numbers because I'm really worried. I understand from your reply that, for the best, many Ukrainian unaccompanied minors have not yet been appointed guardians. For them, however, there is an extra urgency. For the sake of clarity, I would like to see a guardian appointed for all unaccompanied minors, including for the Afghan youth in the observation centre, where at least there is government control as opposed to home environments. I have already been informed through OCMW's that the reception of an unaccompanied minor registered in the Heysel, for which no match was sought on the basis of the assessment that there is no need for shelter, and who was given with the person accompanying him or her, even if that is not a parent, is not going well. This is about optimal situations, because then the demand for help has already reached an OCMW where they have had the right reflex to contact other services at the Heizel. That will not happen in many other situations. The only way to ensure close follow-up is to systematically appoint a guardian for all unaccompanied minors in a home situation. I realise that it may be a while before all those guardians are trained, but I think you will have to think about an interim solution to ensure the safety of unaccompanied Ukrainian young people.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u72	Minister, the last few weeks have again been very rich in rebounds with regard to the ongoing investigations of financial crime against certain senior Lebanese officials. The Governor of the Central Bank of Lebanon, Mr. Riad Salamé, is concerned primarily and often at the centre of attention. In Lebanon, he was charged on 21 March with illicit enrichment and his brother was also arrested and imprisoned. Abroad, Eurojust announced on 28 March that France, Germany and Luxembourg had seized the equivalent of €120 million worth of assets in an investigation into five individuals suspected of embezzling public funds in Lebanon. The European Union Agency for Judicial Co-operation does not reveal the identity of these five people, but several press releases have done so. It appears that this is indeed the Governor of the Central Bank and some of his relatives. As far as Belgium is concerned, Eurojust reports that a Brussels building worth EUR 7 million is one of the confiscated property. Free Belgium revealed this weekend that an investigation conducted by the Judicial Information Processing Unit had found "serious evidence of money laundering from corruption and/or embezzlement by a public official". These new elements lead me to ask you the following questions. Could you confirm to me that Belgium has taken a specific part in the judicial cooperation that led to these results? Could you also tell me what follow-up has been given to us, particularly with regard to this property in Brussels? Finally, was an investigation opened?
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u73	Madam President, dear colleague, Belgium has received a request for mutual legal assistance from the judicial authorities of Paris in the context of the case which gave rise to the communiqué of Eurojust of 28 March 2022. This request is currently being processed by the Belgian judicial authorities. For the surplus, I can refer you to the Eurojust press release that I have at your disposal for information. I would add that Lebanon has also made a request for mutual legal assistance in connection with an investigation conducted by the head of embezzlement of public funds, aggravated money-laundering, forgery and the use of forgeries, illicit enrichment and tax evasion within the Bank of Lebanon. This request for the freezing of assets held by these persons in Belgium is also being dealt with by the Belgian judicial authorities.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u74	Minister, thank you for that answer. I do not know whether the treatment by the Belgian judicial authorities to which you refer in your reply means the opening of a formal investigation or not. I don't know. What I can tell you as a reply is, first of all, that I have been calling the government for a long time on this issue, which is essential because we are touching the heart of the system of corruption that is causing before our eyes the collapse of a country and the ruin of the Lebanese people. Secondly, the courageous magistrates in Lebanon who are fighting this system are now under threat. They're intimidated, under pressure. Finally, requests for international judicial cooperation are often blocked, killed in the egg. They are being sabotaged at the very heart of the Lebanese judicial pillar by those who are the accomplices of this system of corruption that has brought the Lebanese people to their knees. Within the Lebanese judicial system, there are people who have an interest in the fact that these requests for judicial cooperation do not advance. From this point of view, I believe that Belgium has a major role to play. Indeed, at least a poorly acquired property is located a few kilometers from here, in the heart of the beautiful Brussels neighborhoods. While respecting the principles of separation of powers, I really hope that the Belgian judicial services will do everything they can and will mobilise the necessary resources to obstruct and put an end to this system of corruption which is ruining a country and threatening to collapse a whole region.
ParlaMint-BE_2022-05-04-voorlopig-55-commissie-ic775x.u75	Debates of the European Parliament Question No 55, by Mrs Zanchetta lapses and Question No 5, by Mrs Zanchetta Mr Van Hecke's 55027437C is converted into a written question.
