ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u1	Ladies and gentlemen, the Minister can stay until 6 p.m. today.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u65	Mr Vermeersch, as I explained in plenary, the fight against tax and social fraud has always been a top priority for this government. Anyone who is dealing with the fight against fraud at close range or far away is of course aware that every link in the fight against fraud is equally important. That is both about the tax administration, the tax administration, the court, the justice system and the police. And that is what our government's policy is based on in terms of the way in which the Federal Police National Security Plan is drawn up. That was also clarified in plenary. In the meantime, reports on the cessation of the fight against tax fraud have also been discussed within the government. The previous National Security Plan indeed included social and tax fraud, which included certain objectives, including cooperation in dealing with tax fraud in the files to be submitted to the federal judicial police, in application of the una through consultation. The new draft National Security Plan, on the basis of which the report was issued, qualifies the concept of 'fiscal fraud' among the Ecofin phenomena, which are the economic and financial phenomena, and also provides for cooperation with various chain partners, which are responsible for tax fraud, not only policy-making within the College for the fight against tax and social fraud, but also operational within the joint investigation teams, the so-called MOTEMs, for which a draft law will also be submitted in the short term. The draft plan therefore takes into account this enhanced cooperation as a result of the action plan we drew up in the College. Your response to the press report shows that you attach particular importance to the fight against fraud. That reflex was included in the discussion of the National Security Plan so that your doubts would get an answer. I would also like to point out that it is clear that this fight against tax fraud was, and remains, a priority for the federal police. I am now speaking from experience as chairman of the College for the fight against social and fiscal fraud. I can only agree that the College is pursuing that priority. I would also like to take this opportunity to thank the representative of the federal judicial police in that College, but also his staff, for their active contribution in this matter. It is with this effort, but also with other efforts that we will make in the short term through a second action plan, which is much more focused on international fraud, that we will support our objectives in the fight against tax fraud.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u66	You speak clearly, Minister, and we appreciate that in the Flemish interest. What remains unclear, however, is the calculation of all your fraud plans. We've questioned you on several occasions about that. You have already proposed 29 points that have not yet been quantified, or at least we have never seen that figure. We will continue to follow closely the evolution of this government's anti-fraud approach, because this year alone, EUR 400 million will have to be added to the state budget. Next year it will be EUR 700 million and even EUR 1 billion in 2024, on top of what is already being done. We continue to ask ourselves whether this is realistic. You speak clear and correct language, but hopefully you will also come up with clear figures, in such a way that we can test your ambitions against your achievements. We're looking forward to it.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u67	This year we have also read the publication Revenue Statistics with great interest. The results for Belgium are based on national accounts, but follow the OECD methodology for classification. The publication shows that the capital tax amounted to 3.4 % of GDP at the end of 2018 and at the end of 2019, where it amounted to 3.1 % in 2010. However, the same publication also makes it clear that the overall tax burden in relation to GDP fell from 43.9 % in 2018 to 42.7 % in 2019. This decline is entirely due to the federal level. So there is certainly no ambition to make Belgium the most burdened country in the EU, the opposite is evident from the figures. Moreover, the publication shows that the federal government's share of capital taxes is only 0.5 percent of GDP. The main taxes on capital are indeed at the regional and local level, amounting to 2.9 % of GDP. The main taxes within this framework are the property tax as well as the registration and inheritance tax. The OECD is already in favour of property tax and also recommends that its members increase the share of these taxes. It is also explicitly stated in the Preview of the Opinion of the High Council of Finance of May 2021 that "a shift to periodic taxes on real estate assets, in particular residential ones, appears to be relatively beneficial for economic growth'. However, the OECD is a cool lover of transaction taxes such as registration fees. This can certainly be reflected further. You also know that these matters are largely a matter for the regions. You should also take into account that taxes on rental income and on capital gains are not included in the OECD classification in the taxes on capital, but in the category of taxes on income and capital gains. It has therefore fallen according to the same OECD statistics, measured in relation to GDP. When you ask me about the scope of the tax reform, I can only repeat that it is the absolute duty to reduce the burden on labour. The question of whether, and to what extent, this can also have an impact on the taxation of capital income must, of course, be examined further. However, it is clear to me that the principle of neutrality must be taken as the principle of neutrality, as laid down in the coalition agreement. Furthermore, it is not because neutrality is restored in the taxable base that this also leads to a tax increase. As far as the so-called proposals of the expert group are concerned, I can only see what I have already said. It appears to be a mediatized leak which was also extremely fragmentary. I propose that we hold the debate on the expert report as soon as it is presented, so that we can take note of it.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u68	Thank you, Minister, for your reply. If the report proves anything, then it is that the capital tax in this country has increased by five billion in ten years. Belgium is the third country of the European Union in terms of the highest taxes on capital, after Luxembourg and France. As you said in one of your answers, there will be no tax reduction but a tax shift. That's the big risk of the tax shift. After all, what do we see in this country over and over again? Every budgetary control, every programme law, and every single one of the provisions that passes through here, raises taxes sneakingly. Think, for example, of temporarily not applying the indexation of tax deductions and the like by this government. That's a devious tax increase! As a result, we see that there is no net tax shift under this government, but a tax increase. This is particularly problematic in a country with almost the highest taxation in the world.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u69	I refer to the written version of my question.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u70	Mr Minister, yesterday I asked my questions to the Minister for Mobility and he referred me to you. We keep talking about the flight tax, but we still don't know exactly what it means. For this, you had entered EUR 30 million in the 2022 budget and EUR 40 million in revenue from 2023. The flight tax would be between 2 and 10 euros. We believe that this is an antisocial proposal for two reasons. There is no alternative, and it affects most of the ordinary people. Just to get to the airport, we pay the Diabolotaks. If I travel from Brussels to Brussels Airport by train, I pay 18 euros back and forth. That's a lot of money. It is said that the most important thing is to invest in alternatives to the aircraft, but then the tax is certainly not a good idea. Has the flight tax taken shape in the meantime? Can you explain that? What about the cargo flights? That is not clear at all. Will the flight tax also apply to private jets?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u71	Colleagues, the boarding tax is being shaped in the preliminary draft Tax Shift Act, which will reduce the burden on labour. The proposal on this subject is discussed in the government together with the rest of the legislative text relating to the tax shift. Following its adoption in the Council of Ministers, the draft will go through the normal legislative process, including the referral for advice to the Council of State. The intention is to bring the law into force at the beginning of April 2022. We will be able to discuss the tax in detail once the draft law is discussed in committee and put to the vote. I can confirm that the proposal drafted by my policy cell and administration does indeed involve a tax of between EUR 2 and 10 and that long distances would also be covered by the flight tax. The charge would only apply to passenger flights and private jets. As far as the other arrangements for the levy are concerned, I would ask you to await the discussion of the draft law. Mrs. Vindevoghel, you are asking for alternatives. For short flights, the train is the alternative means of transport with the smallest CO2 footprint. SNCB offers numerous international connections from its stations in Brussels. These are therefore sustainable alternatives to short-haul air travel.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u72	Minister, your answer is, of course, very brief. You also frame the tax in the mini-taxshift. This indicates that the flight tax is yet another new tax on the government. The only thing that was clear when the measure was presented in October was how many millions of dollars the State Treasury would have to pay for the measure. Meanwhile, the rule was changed: 500 kilometers away became 750 kilometers away and the tax also takes on long-distance flights, just so that the picture would be right for the state treasury. It is not just another new tax, it is also a plague tax. After the payment of his gas bill, his electricity bill, the price at the pump and his tax bill finally succeeds in vacationing in the summer, the purple-green government will soon be able to pay extra via a flight tax. That is absolutely outrageous. It is not only a new tax, it is not only a new pest tax, it is also an anti-Flemish measure, because the measure will mainly affect the Flemish airport of Zaventem and to a much lesser extent or almost not the airport of Charleroi. That is, of course, unfair discrimination. For the umpteenth time, it is clear that under the Vivaldi government, the Fleming in particular must close the hole in the state treasury and, above all, the Fleming must cough up the new taxes. It is impossible to approve the Flemish interest, which defends the Flemish interests.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u73	Minister, a while ago we requested the figures on private flights from the Minister for Mobility. In 2019 there were 48,000. This year, they're about good for one in eight. For someone who has a lot of money, 8 euros is not much, but for someone who has little money, has a low income and wants to go on a trip to Spain, that is a lot of money. We call the flight tax a flat, antisocial tax. We therefore propose that you pay only the private jets and not the ordinary workers. You're talking about alternatives. But today there are no alternatives. There are still no international connections. There are still no trains to different regions in Europe at the airport. As long as there's no alternative, you can't burden ordinary people.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u74	Mr Vermeersch, I repeat what I said just now about the directive on reduced VAT rates. For certain categories of goods and services, including foodstuffs, the new Directive will effectively allow for a reduced rate below the minimum rate of 5%. However, the Directive has not yet entered into force, pending an opinion of the European Parliament. The Directive is expected to be published in the Official Journal of the European Union in April 2022. As you know, VAT rates are part of the debate on a global tax reform. In this context, it will of course also be assessed whether and to what extent the new possibilities offered by the future provisions on reduced VAT rates will be used.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u75	After your reply, Minister, I can only call on you to do something about this effectively. Let us move towards a VAT rate of 0 % on fruit and vegetables. As Minister of Finance, you undoubtedly looked at the inflation rates at the end of last year. The year 2021 was completed with some very remarkable figures, which should wake you up to everyone in Parliament and certainly you. In December, inflation in the European Union peaked at 5%, an absolute record. For example, food prices jumped 4.6 % higher, following a previous increase of 1.9 % in November. A VAT rate of 0% on fruit and vegetables should therefore be considered in the context of rising prices, not only of gas and electricity, but also at the pump and in the shops. There the government can meet a real need, also in the context of healthy food, which is also an ambition of the government. After all, it is about fruit and vegetables. I see Ecolo-Green among other things in the government, so healthy food could certainly be a government priority by introducing a VAT rate of 0% on fruit and vegetables.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u76	Provisions on the obligation to provide electronic means of payment will be introduced into the Code of Economic Law and will apply to companies. According to the applicable definition of "undertaking," the provisions will also apply to the liberal professions. For more detailed clarification, please refer to the Minister for Economic Affairs, Mr Dermagne. Various studies, as well as the Court of Auditors, mention the promotion of electronic payments as a very efficient measure in the fight against fraud. The Financial Information Processing Cell also mentions the increasing use of cash in money laundering and the use of cash intensive trading companies as risk indicators. Although this is a simple measure, the impact may be large. After all, it will make it difficult for crooked companies to organise a fraud system through the use of cash. Given the traceability of an electronic payment, another payment certificate on top of the medical certificate does not seem appropriate.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u77	Thank you for your answer. I totally agree that electronic payment is a very effective dam against black money. I am pleased to hear that the possibility to pay electronically also applies to liberal professions. I will continue to question Minister Dermagne about this. The phenomenon of cash payments in doctoral practice still exists on a large scale and, as mentioned in my question, it sometimes turns out to be abused to ask for more money from the patient than allowed.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u78	Madam President, I refer to the text of my question as tabled.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u79	Mr Vandenbroucke, the Royal Decree determining the data to be included in the certificate was published in the Belgian Official Journal on 31 December 2021. The new model attestation shall be established on the basis of that Royal Decree. The publication of this model attestation and its guidelines will soon take the form of a notice in the Belgian Official Journal. For the sake of completeness, I would point out that for the reception activities organised in 2021, it will be accepted that the usual attestation will continue to be used. These activities are therefore not yet subject to mandatory use of the new model attestation and no mandatory electronic transmission to the administration. My administration has collected and processed the various questions and concerns about the data to be included in the new certificate in a series of frequently asked questions. Those FAQs will soon be available on the fisconetplus.be website. In addition, in the application of Belcotax-on-web, specific information is already available under the technical documentation section.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u80	Thank you, Minister, for your reply. It is good that you have provided that clarification on 2021. Your administration has responded to the remarks made by the youth sector. We look forward to the rapid publication of the new certificates, so that everyone can work with them.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u81	Indeed, the European Commission is to repay the funds it raises on the financial markets in the context of the financing of the NextGenerationEU funds on the basis of the proceeds of new own resources. The three sources of own income to which you refer are not the only ones to which the Commission is aiming. The new own resources decision of 14 December 2020 already created a new revenue source, with a tax on non-recycled packaging waste in plastic. At the end of 2023, the second package of proposals is expected, which will build on the Commission Communication of 18 May 2021 on Business Taxation for the 21st century. This package may contain proposals on the financial transaction tax. Given that the debate on own resources is still ongoing, it is premature to speculate on scenarios where Member States should contribute extra. Using new revenues from emissions trading as own resources for the EU is in line with the government agreement, which states that Belgium fully supports the Paris climate ambitions and the European Green Deal. By increasing the EU's own revenues, for example through the TTS system and the carbon border adjustment tax, the EU will be able to realise its economic and geopolitical ambitions and will also be able to counter a number of harmful practices. The CBAM proposal, or carbon border adjustment mechanism, is in accordance with the coalition agreement. The architecture and modality of this new mechanism and the preferred approach are discussed in the CBAM working group in which Belgium participates constructively. The next meeting of the Belgian working group will take place this month following the first European consultations in the ad hoc CBAM group under the French Presidency. The third proposal identifies 15% of the proceeds of the OECD Pillar 1 tax as a national contribution of Member States to the EU budget. This proposal replaces the EU digital levy, which was put on hold because it did not provide sufficient legal certainty, especially when taking into account the OECD Pillar 1 ban on introducing similar taxes. It is therefore a step in the right direction. Since the details of the new tax still need to be worked out at OECD/G20 level, it is not yet possible to make a reliable assessment of the revenue from that tax for Belgium. Only as soon as possible will Belgium determine its position in this dossier. The Commission's proposal is also in line with what is contained in the government agreement, in particular to allow the Union to generate its own revenue.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u82	Minister, I understand from your reply that at the moment you are mainly focusing on new own resources. This will, of course, make Europe a superstate that can collect its own taxes. The three sources of revenue mentioned in our question are simply the three sources of revenue proposed by the European Commission itself in its press release of 22 December 2021. This is therefore extremely problematic for us. You mention the example of the plastic tax, which is already a new own resource today. You know that there is a Community tension on that at the moment. It will therefore be particularly difficult in Belgium to identify such taxes, which are now on the table, at Community level. Take the plastic tax. For this, the Flemish and federal levels assign responsibility to each other. Currently, the plastic tax has to be paid to Europe from the federal budget, although recycling is a regional competence. So the question arises as to how things will crystallise in the future. It is quite clear that the fact that Europe can now make its own debts also means that Europe will not only make its own debts for the first time, but will also collect new additional taxes for the first time. This is a disastrous development, which we will certainly not welcome in the coming period. We have always warned against this during the debate on the own resources decision. Unfortunately, those warnings prove to be true. So we are anxiously looking at the evolution of the dossier in the future.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u83	Madam President, I would also like to refer to my written question.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u84	Mr Vermeersch, you have already asked a written question on this matter. The answer to that was also simple. The preliminary draft law on the reduction of labour charges is currently under discussion in the government. I will be delighted to present the approved scenario to the Finance Committee as soon as it is submitted to Parliament.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u85	Mr Minister, I had indeed received your written reply, but that was exactly the same as the answer you are now reading. Of course, I'm not into that. This is problematic, because, for example, in the newspaper De Tijd, there are six scenarios, which I have not seen in my capacity as a Member of Parliament, which I would like to see and which I would like to assess, discuss and discuss with you. However, none of this is possible if we do not get the information. It is a problem that the press has different information than Parliament. Apparently, the press is a more important mouthpiece. We in this House should be able to discuss such important decisions among Members of this House. After all, we are talking about a non-important measure. You know that yourself. You like to unpack with it. So it would also be a good thing if we could discuss these scenarios here. I shall then wait patiently for the proposals to be put forward here in Parliament. Let it be clear, however, that you are not answering my question as to whether the deadline is still feasible. You have stated that the mini-tax shift should start from 1 April 2022. I wonder if that is possible at all at the moment, because we are already well advanced in January. These are questions that Parliament can ask, and that is information that you can give us. It is therefore problematic that you do not even answer that question. This is important, also in the light of fiscal clarity for everyone in this country.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u86	Minister, Humo magazine interviewed the whistleblower Bradley Birkenfeld, former fortune manager at UBS, who would have allowed the US Treasury to recover $16.7 billion or the French tax authorities to get hold of 4.5 billion euros. As a reminder, in Belgium UBS obtained a criminal transaction in November 2021 allowing it to escape a trial by paying just 50 million euros. Living in Malta today, Mr Birkenfeld offered to the Belgian tax authorities 200 files on offshore accounts held by Belgians in tax havens, in exchange for a Belgian passport. The IRS refused his offer. On the one hand, considering that Birkenfeld's information is "not spectacular". On the other hand, by stating that the FPS Finances does not have the power to grant Belgian nationality to a foreign person. Yet, says Humo, "we know it's possible for football players who urgently need to play for the national team or for police, justice or state security informants." The then Minister of Finance, Alexander De Croo, had indicated through his spokesperson that he had never been approached about this issue. Minister, have you been approached on this matter, either by Mr Birkenfeld or his representatives, or by the administration? If so, when and by whom? And what was your attitude? Do you not think it would be a mistake to do without this mass of information, even if some do not find it spectacular? Do you not consider that granting Belgian nationality to Mr Birkenfeld would be little in terms of the information he can provide? If nationality can be granted for football players, why wouldn't it be granted for a whistleblower?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u87	Mr Van Hees, in July 2019, my administration was approached by a lawyer's office mandated by Mr Birkenfeld, with the aim of communicating information under certain conditions, which could not be met. Furthermore, after analysis by the external services of the ISI, it was reported that the information provided as a sample by Mr. Birkenfeld did not provide anything new in relation to the information already in the possession of the tax administration.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u88	Minister, I take note of your answer. "Nothing spectacular" in Humo; "nothing new" here, as if the added value of this information was zero. I note that this was a sample, so not the data set. I am surprised that this proposal has been treated so lightly. I do not know, of course, the content of this proposal, but this attitude seems to me to be somewhat light, especially since the price to be paid was not very high, since it was simply a question of granting Belgian nationality to someone who did not require any remuneration to transmit this information.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u89	Minister, Minister Petra De Sutter had been questioned in the plenary of the House on December 2nd about the fact that Proximus was considering a stock market entry for its subsidiary TeleSign through a merger with North Atlantic Acquisition Corporation (NAAC), a PSPC, that is, an empty shell used to raise funds. The company was registered in the Cayman Islands, a well-known tax haven. The minister replied: "I can inform you that there is no question - and I am very firm in this regard - that Proximus should use this PSPC, whose head office is located in the Cayman Islands, to bring TeleSign into the stock market. Like you, I am convinced that this would be unacceptable for a Belgian public company. You know that the board of directors is busy discussing it. In any case, I repeat, it is out of the question that Proximus will organize a merger with a PSPC located in a tax haven." What about today? In a statement from Proximus dated December 16, 2021, it is stated that "the transaction was approved by the boards of TeleSign, the Proximus Group and NAAC. The PSPC in question should be carried out in the second quarter of 2022 (...) Under the agreement, NAAC agreed to relocate its headquarters to the United States (Delaware)". So, NAAC agrees to leave a notorious tax haven, the Cayman Islands, for another notorious tax haven, Delaware. It's still shocking enough as news. Mr. Minister of Finance, as a minister responsible for combating tax fraud, do you find it acceptable for public companies to use a tax haven in this way? What information is Belgian tax likely to obtain about a company registered in Delaware?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u90	Mr Van Hees, as far as the matter is concerned, I would refer you to Minister De Sutter. As you know, our tax legislation already contains provisions for countries with a particularly favourable tax system. This international subject should first be dealt with at the global level, so that a level playing field is created. For this reason, the government also supports the initiatives of the OECD, Pillar II and the European Commission to introduce a minimum tax. The Convention on the Prevention of Double Taxation between Belgium and the United States of America provides for the exchange of information and administrative assistance on the basis of which information under the international reference standard may be requested.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u91	Minister, thank you for your answer. I hear you're using the ongoing reforms to better tax multinationals. I conclude that you find that in this case there is an essential problem of non-taxation or insufficient taxation. I also had a specific question about whether the Belgian tax authorities could obtain this information from Delaware. I understand that it is a State of the United States and that there is a convention between the latter and Belgium. My question was whether there were any particular difficulties in obtaining information when a company was registered in that state, which is known as a tax haven where many multinationals thrive. I believe that half of the major multinationals in the United States are registered there. That was the meaning of my question. I would have preferred to have more specific details about Delaware.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u92	Madam President, Minister, one of the major projects announced by the federal government is a major tax reform that has been entrusted to you. Your policy note of 29 October 2021 states in this regard: "In 2022, a draft of this broader tax reform will be proposed within the government." However, when one sees the difficulties of this Vivaldi coalition, even if only to develop the "mini tax shift", it is said that the great reform will not be simple, if it takes place one day. In fact, Paul Magnette, president of the PS, told the weekly Le Vif-L的Express "that there will be no tax reform". He explains: "The government agreement states that there will be no tax reform. He says we'll prepare a tax reform. When we say we're going to prepare, we're not going to. Now, we can always do more than what's in the government agreement." Minister, are you going to carry out a tax reform under this legislature or are you going to prepare a tax reform? It's obviously not the same thing. Will the project that you will hand over to the government in 2022 be a clean wave or will it be a successful, comprehensive and precise project, even if it is amended by the government? Or will you just give a few leads to prepare for tax reform? The government agreement states that this tax reform aims to "make the tax system fairer and more neutral". I understand what "fair" means, but what does "neutral" mean? What does this neutrality mean?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u93	Madam President, Mr Van Hees, in pursuance of the government agreement, I will of course prepare for the tax reform and I have the ambition to be able to present a very concrete draft drawn up by the end of the parliamentary term, preferably a draft which can also be debated in Parliament. It is my intention to conduct this process step by step and to involve Parliament in it. That is why, again this year, as announced, I will put on the table the broad conceptual lines of the reform. In this context, the principle of neutrality, which is one of the foundations of good taxation, will in any case be an important guiding principle.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u94	Minister, I was asking you what neutrality was. I wasn't asking you if you were going to have a neutral tax reform. I was just asking you what it was. It's a neutrality of what? That was the meaning of my question, Minister.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u95	Minister, would you like to complete your answer?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u96	I repeat what I said, Madam President. This is one of the important guiding principles. It will be important to see the proposal that I will put on the table in the coming months.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u97	Madam Chair, I hear the minister doesn't specify. So I have no choice but to ask the question again. What does this neutrality mean? Minister, for the rest, I hear you say you're going to "prepare". You're not saying you're going to "realize." It's still striking. You're saying you're going to try to have the project developed by the end of the legislature. It was understood that it would be developed in 2022. Finally, what you are going to provide to the government in 2022 is not a tax reform, but a few conceptual lines, a "pure wave," as I said. So we are somewhat below what was announced at the end of the previous year. We see that this great tax reform is not ready to be carried out and there are still serious doubts as to whether it can be carried out under this legislature.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u98	Madam President, Minister, in early November 2021, the officers of the expert teams of the General Tax Administration received the following message: "Public procurement procedures for the renewal of subscriptions with the publishers Lefebvre Sarrut (ex Larcier) and Kluwer were successful. New procedures will have to be relaunched. As a result, and until the new markets are concluded, access by these two publishers will be limited to archives. This unavailability will last several months. We understand the work discomfort that this generates. Be assured that we are doing everything we can", etc. The same officers then learned that the majority of Kluwer's publications were again available from 1 December 2021. Subscription to the Tax Courier was not renewed due to its similarity with other publications. Still, a series of publications remain unavailable for agents. However, access to these private tax databases is essential for these agents of the tax administration's expert teams. They no longer have access to recent jurisprudence and doctrine. And even access to archives is problematic for many agents. Depriving them of such access means depriving them of their working tools. This could have an unfortunate impact on the legal defence of cases. They are agents who defend tax cases in court. Staying for several months without these accesses is inconceivable. Minister, why have the public procurement procedures for the renewal of subscriptions with the above-mentioned publishers been successful? Have the new public procurement procedures for the renewal of subscriptions been relaunched? Within what time frame should they be achieved? What alternative solution is proposed in the meantime for these agents? How can they work without a work tool?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u99	Madam President, Mr Van Hees, best and finaloffer negotiations have taken place with Lefebvre Sarrut and Kluwer. In both cases, a problem of substantial irregularity in the signing power of the representatives of the undertakings arose when the contract was awarded. Since the procedures concerned are above the European threshold for publication, regularisation is not possible. While for Lefebvre Sarrut the absence of a legally valid endorsement of the tender was indisputable, the contracting authority was of the opinion that there were legal arguments for it to accept Kluwer's signature as legally valid. The Finance Inspectorate followed this reasoning for Kluwer, but for Lefebvre Sarrut only a new public procurement was launched. For Kluwer, therefore, there is no longer any problem and for Lefebvre Sarrut the new procedure is in the allocation phase. Negotiations with Lefebvre Sarrut on the basis of the opening offer are under way and the award can take place shortly. Various possibilities are available to finance officers who are therefore not without working tools. First, in the previous special specification, access to the archives for six months after the conclusion of a contract is guaranteed. Finance officers currently have limited access to all content present on this date but more to new content. Secondly, since 1 December, Kluwer content has been accessible again. Third, the Fisconetplus portal published by the FPS Finances brings together important content, whether in case law, tax and legal codes, administrative documents, comments or courses. The content published on this Finance portal is copied daily by external publishers who integrate this information into their paid portal. Fisconetplus is also used by large legal or tax firms and is recommended in schools. Fourth, the FPS Finance Library is open and accessible. A large number of paper and electronic works are available. Finally, it is also possible for them to use their colleagues in the relevant internal services, such as litigation services. FPS Finance encourages knowledge sharing.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u100	Minister, thank you for your answers. If I understand your explanation correctly, the error comes from these providers of legal publications. I hear that a new public procurement is being launched and that this is to happen soon. We would have liked to have more details on the term "next." A date would have been more useful. You also say that access to the archives is guaranteed. It's not the echoes I have. Agents do not even have access to the archives and do not have access to tax news. I recognize that Fisconetplus is an excellent tool, but it is insufficient, which is demonstrated by the fact that the administration had to enter into contracts with private firms to complete the documentation of Fisconetplus.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u101	Minister, last December the conclusions of the Arms Trade 2020 report and the report 'Under the radar' of the Flemish Peace Institute were discussed in the Flemish Parliament. In its report, the Institute identifies several deficiencies in the control of arms transit in Flanders. This control concerns weapons transported across Flemish territory to other countries, where they are then exported. About these controls, the Flemish Peace Institute says: "Continuing controls strengthen government control over weapons at times where they are vulnerable to be averted to unwanted end-users or illegal arms markets. In this way, transit control is essential in the security of the global supply chain." The report clearly shows that strengthening these controls is important for the fulfilment of certain strategic and human rights obligations of our country. It should be noted that the problem of transit control is not so much a problem with the standards, but rather with the effective implementation of the control. In this context, the role of customs is important, as it must identify, monitor and monitor suspicious transit flows as a regulator of trade flows, and monitor compliance with the licensing conditions. Since the permits and conditions of authorisation are drawn up by the Flemish authorities, good cooperation between these services is of course very important. I have the following questions to ask you. Are you aware of the Arms Trade 2020 report of the Flemish Peace Institute and more recent publications, and do you agree with the main conclusions of that report? Where do you yourself find the difficulties in the current cooperation between the customs authorities and the Flemish entities involved in drawing up the licences and there are similar difficulties between the federal customs authorities and the Walloon regulators? Has the process of reaching an inter-federal cooperation agreement between federal customs and relevant Flemish regulators already started? If so, how far is it? If not, when will that process start?
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u102	Mr Vanbesien, the opinion on the Flemish Government's annual report to the Flemish Parliament on the licences granted and refused for weapons, ammunition and equipment specifically for military use and related technology, and the report 'Under the radar, transit of military goods: from licensing to control', are indeed well known to my administration. Specifically with regard to the conclusions which fall within my competence, I can state that the General Customs Administration and Excise Administration has a very wide range of fiscal and non-fiscal tasks. All these tasks shall be carried out in accordance with the priorities set, taking into account the resources available. Within the strategic policy areas of the General Administration, the focus on strategic goods is one of the priorities. My administration also agrees with the conclusion that further cooperation between customs and export control services should be provided. The customs administration will continue to work on formal cooperation in this context. Shipments and transit without transhipment should not be legally required to be notified to our Customs and Excise authorities, which makes it particularly difficult to control them. Customs and Excise duties shall be subject to the control of those consignments by the competent authorities concerned. This challenge does not arise with the Walloon regulator, since transit without transhipment is not subject to authorisation in Walloon territory. The regionalisation of the Arms Act of 5 August 1991 has led to a lack of legal coordination. The various attempts to resolve this by means of a cooperation agreement have not led to a solution. In 2015, the Consultation Committee commissioned the establishment and mandate of a working group for the purpose of interfederal agreements on the enforcement of regional rules on the import, export and transit of strategic goods. A final consultation took place in September 2017, where a joint initiative of all the Regions would be taken from the competent authorities to the federal level to settle this politically, but I do not have any further information on its current status. In addition, there has, of course, been further informal consultations following specific cases since the decree.
ParlaMint-BE_2022-01-19-definitief-55-commissie-ic661x.u103	Thank you, Minister, for your reply. What I already knew is confirmed by your answer. We live in a particularly complicated country. A country like ours needs good agreements to coordinate tasks, divided between different entities. This is certainly important in the context of arms transport or strategic goods, because the failure of the system in this area can lead to very dangerous conditions. You say that an interfederal working group was set up to make agreements and that a final meeting took place in 2017. I am surprised that since then no one knows what has happened to those agreements, with that report or with its follow-up. That is why I think it is necessary to pay some attention to that, to see if we can put that back together and put some structure in it. In this way, the situation can be improved. Of course, from Parliament, I would like to contribute to this. I therefore hope that future reports from the Flemish Peace Institute, for example, will present a more positive result than today.
