ParlaMint-NL_2020-01-23-tweedekamer-9.u1	The Minister has the floor.
ParlaMint-NL_2020-01-23-tweedekamer-9.u89	Thank you, Mr President. I thank the Minister for answering all the questions. It was not only very clear, but also quite concise. That can also be said at some point. Mr. Chairman. With regard to sex choice at unequal gender incidence, I asked the Minister to what extent the gender incidence should be unequal in order to justify gender selection. The Minister indicated that this could not be cut with scissors and that the weighting would take place on the basis of other criteria, such as the nature and severity of the disease. My group understands that. We also have a great deal of confidence in the scientists who will ultimately consider this. However, we would very much like to know exactly what this process looks like if there are new serious hereditary diseases with an uneven gender incidence, and therefore pgd, pre-implantation genetic diagnostics, is applied. I just took a look at the 2017 Annual Report PGD. You see a lot of tables. Honestly, I found it hard to understand. That is why I ask the Minister whether it is possible to describe more qualitatively in the annual report the assessments made in embryo selection so that, as a Chamber, and perhaps also as a society, we can keep an eye on scientific developments. With regard to the second part of the legislative proposal, I would like to thank the Minister for his commitment to engage with the professional groups to ensure that parents are informed about the use of residual embryos for quality control prior to fertility treatment. I also asked the Minister how he looked at the ethical reflection of scientists. How does he intend to ensure that this reflection takes place sufficiently in the various research groups involved in embryo research? Finally, I welcome the Minister's approach to the dialogues. These must be really wide-ranging social discussions in order to find out how society views new developments in the field of embryos. My group is therefore looking forward with interest to the letter he will send to the Chamber on this matter. Thank you.
ParlaMint-NL_2020-01-23-tweedekamer-9.u90	Fine. Thank you. Then Mr Van der Staaij of the Political Reformed Party.
ParlaMint-NL_2020-01-23-tweedekamer-9.u91	Mr. Chairman. First of all, I would like to thank the Minister for his answer to the questions that have been asked. I had already made it clear in the first term how the SGP Group weighs this bill. I did not come to a different conclusion after the answer. As far as my group is concerned, it is a step in the wrong direction, since the scope for embryo selection is being increased. I understand the editorial background and that it is meant to be innocent, but we also find it very unfortunate that in the Embryo Act the term "rest material" is now used for embryos, rather than, more in line with what is common in the Embryo Act, avoiding that terminology. This term suggests that it can be used more instrumentally and technically with residual embryos. Mr. Chairman. I said it's a step in the wrong direction. I also realize that a much bigger question, which is also coming... Mr President, I believe that Mrs Ploumen wishes to intervene on the previous part.
ParlaMint-NL_2020-01-23-tweedekamer-9.u92	Yes, you were in the middle of a sentence and I thought I'd let you finish it. But as you wish, Mrs Ploumen.
ParlaMint-NL_2020-01-23-tweedekamer-9.u93	I would like to welcome Mr Van der Staaij on his previous point. My group also finds this term unfortunate. Perhaps we can change that, perhaps with other colleagues, without going through a complicated process. Maybe we could ask the Minister that question together.
ParlaMint-NL_2020-01-23-tweedekamer-9.u94	Clear. A question to the minister via the interrupt microphone.
ParlaMint-NL_2020-01-23-tweedekamer-9.u95	I told you, this bill is a step towards increasing the scope of embryo selection. A much more far-reaching step and discussion is the special cultivation of embryos for research purposes. Of this you can say that it is not an extension of the scope of an existing scheme. This would be a whole new step. My group very much hopes that this step will not be taken. I realise that there are different views on this, but for the SGP Group this is a real change in this area. Finally, the PGD annual reports. First of all, I noticed that the Minister also referred to the fact that it is a long time before the annual report 2018 becomes available. As far as I know, the most recent of 2017. My question would be whether this could be accelerated in the future, so that the annual report for the year before would appear at least in the following year. That'd be great. I agree with Mrs Dikk's point: can the annual report also be dressed a little more than just bubbles and stats? That could help to get more in touch with the trade-offs that are being made. Thank you, Mr. Chairman.
ParlaMint-NL_2020-01-23-tweedekamer-9.u96	Thank you. Mr Hijink of the SP waived his speaking time. The same applies to Mr Van der Molen. In doing so, Mr Van der Staaij was the last speaker on the side of the Chamber in the second term. I'll suspend for one minute. At 4:30, we're gonna listen to the minister.
ParlaMint-NL_2020-01-23-tweedekamer-9.u97	The Minister has the floor.
ParlaMint-NL_2020-01-23-tweedekamer-9.u98	Thank you, Mr President. Thank you for the debate. Thank you also for the second-term reflections on the part of the Chamber. First of all, all the compliments, also for encouragement, in the vein of: "You can talk about difficult things simply." That is, of course, only extremely affectionate. That is at least how I heard it, so I thank the Chamber very much for that. Mrs Dik-Faber's compliment on succinctness is a compliment that has just never been shared with me. I think I should just share that with the chairman, because it's thanks to his conciseness coaching that I'm standing here.
ParlaMint-NL_2020-01-23-tweedekamer-9.u99	Thank you for sharing this with me!
ParlaMint-NL_2020-01-23-tweedekamer-9.u100	But that's how I see it. Mr. Chairman. We have had a very wide-ranging debate on a number of points. I think it's good not to do all that again. Do we really need this social dialogue, or would you be able to reach a position without that social dialogue? In this question, I think it is logical that Mrs Dijkstra and Mrs Tellegen say: we already knew what our view was, so we strictly did not need that social dialogue to come to a conclusion. But that is, of course, a party political position. As a representative of the cabinet, I have to deal with the task of the coalition as a whole. So do I need it? Yes, I need it, because otherwise I won't do what I'm told: do things in the right order. That is why I use the same openness and clarity as others do, in the sense of: where do you stand? Well, here it is. I have to do it with the assignment given to me in the coalition agreement. What I think is party politics is not relevant in my case, but in the case of a group's representation. That's exactly the difference in positioning. That's okay at all. I am not going to suffer from that either, but that is something I have to relate to. That's one. Two is Mrs Dik-Faber's question when it comes to the process of pgd. That is actually also a question in which Mr Van der Staaij joins. He says: "I would really like to know a little more about the substantive consideration. I love bubbles and stats and figures, but I would like to know more about the substantive consideration." That seems to me to be a good encouragement, which I would like to continue. There I will add the encouragement that has also been given: perhaps it is a good idea if we get the annual report in the year following the year that has just been completed. The 2018 annual report is in the pen, I understand. I believe that this is usually presented to the Chamber in October of the following year or to the Cabinet, which then offers it to the Chamber. It's just that it's gonna be on the shelf for a while now. That's because there's more work to be done, or actually I don't even know what the background is. I understand that it is in the pen before March, but I will convey the encouragement of the Chamber to enrich it both in substance and to increase the pace. Then the issue of monologues... Or no, the social dialogues! Excuse me! Sorry, it's my umpteenth debate this week. We should not have any misunderstandings: it is about the social dialogues. I'm gonna send a letter about that in February. I'm gonna take your encouragements into account. One of them was: try to make it a real social dialogue as much as possible. That is the recommendation of a number of Members, in particular Mrs Tellegen. A second was: try to see what role you could play in that. Well, that's a little different each time for each of those dialogues. I'm gonna send that letter in February. Then I'm looking at the one motion that's been filed. I don't have it ready for a while, but I'm pretty sure it's been filed. I would like to say the following. We can go both ways. I don't think I need this encouragement, so I might be able to dissuade her. We can also say: hold her until that letter of February, because then you will see how we shape these dialogues. So I'd like to invite you to apprehend her. Suppose you say: no, it has to be submitted now, because there is a great social issue that needs to be resolved now. Then I would like to dissuade her, because then I simply say: I do not need that encouragement to choose myself in what way I wish to manifest myself in those social dialogues. Then there are a number of questions that have remained. One was Mrs Ellemeet's: when is a couple not eligible, despite the presence of that mutation? I kind of confused it with the evaluation of the IVF practice, but you were really referring specifically to the practice ahead. This has to do with the difference in the degree of severity with which the disease manifests itself, i.e. with the weighting of criteria between different families. That does not apply to BRCA, because it will not happen that BRCA manifests itself in a less serious way in a number of families. At most, there may be a contra-indication from the IVF which prevents treatment, but this cannot be based on weighing or sufficient severity. But in LHON, the degree of severity of the disease varies between families. If only a mild variant of LHON occurs in a family, that could be a reason why a couple is not eligible. It is therefore different for each disease; hence the weighting based on different criteria.
ParlaMint-NL_2020-01-23-tweedekamer-9.u101	Mrs Ellemeet, briefly.
ParlaMint-NL_2020-01-23-tweedekamer-9.u102	I find that reassuring; I couldn't imagine it. I think it is important that this is properly communicated. We know it now, but it is of course important that all these women know it.
ParlaMint-NL_2020-01-23-tweedekamer-9.u103	Once, very once. Then a question from Mrs Dik-Faber: how is it ensured that scientists do enough ethical thinking? As a legislator, of course, you can't guarantee that. The extent to which scientists are used to ethical reflection will be quite different, but I would like to emphasise that ethical decisions are not just a matter for ethicists, but for all medical scientists. It is well known that the actions that are being carried out are not only technical but also ethical. This ethical reflection is not only created in collaboration with ethicists or encouraged by research financiers, such as ZonMw, but also by the professional group itself. Then I think, Mr President, that I have answered all the questions. No, one more question from Mrs Dijkstra of D66: when has the special culture dialogue been concluded? I think it will be completed somewhere this spring. I have indicated that before the summer recess I would like to give a cabinet response to the Chamber so that the debate can be continued. Mr. Chairman. This brings me to the end of the second-term cabinet response.
ParlaMint-NL_2020-01-23-tweedekamer-9.u104	There is another question from Mr Van der Staaij.
ParlaMint-NL_2020-01-23-tweedekamer-9.u105	I realize that, for my part, it was not so much a question as a judgment, but Mrs Ploumen made a question of it. It is about the matter of the residual material: should it be this way?
ParlaMint-NL_2020-01-23-tweedekamer-9.u106	Excuse me. That was exactly the only point I had just had to discuss. I heard you very well. Despite the fact that there was no substantive intention behind that term, I heard you correctly. I think I need to have a little talk about how we could come up with a different terminology. We could use a letter of amendment to bring it your way, prior to the vote. In that one minute we didn't figure out what word to use, but let's go along with the terminology that is common.
ParlaMint-NL_2020-01-23-tweedekamer-9.u107	Thank you. I thank the Minister for his presence.
ParlaMint-NL_2020-01-23-tweedekamer-9.u108	On Tuesday we shall vote on the legislative proposal, the three amendments and the one motion. So far. I'll suspend for a few moments; then we'll talk about the teacher register.
