ParlaMint-NL_2020-05-27-tweedekamer-5.u1	I now give the floor to the Secretary of State for Finance.
ParlaMint-NL_2020-05-27-tweedekamer-5.u151	It is very difficult for a Member of Parliament to say which documents are missing in a timeline if you do not know that. That's why you want the timeline.
ParlaMint-NL_2020-05-27-tweedekamer-5.u152	No, but you're asking for a supplement to the timeline, right? Isn't it?
ParlaMint-NL_2020-05-27-tweedekamer-5.u153	Yeah, there's some elements in that. Element one is the ministerial committee. Has these decisions been taken and have they concerned the CAF cases? That has to be given somewhere in the timeline. Number two: we know from a number of moments that memos were sent to the directors between 2012 and 2019. Those memos are not in the timeline, while we asked for a construction of what the official and political summit knew. That is why we ask you to have one timeline in which all those documents, including those documents behind them, are in place. That is not going to work during this debate, I understand that, but we would like to have that timeline. It has become important because it is even more important if you report against the Tax Administration and therefore against civil servants to know whether there was a political mandate underneath it, or whether top officials have started doing it more or less out of their own hobby.
ParlaMint-NL_2020-05-27-tweedekamer-5.u154	I think it's a good idea for me to think about this and come back to it in the second term. Of course it's about a timeline, but you're also asking about pieces and behind memos. I'm gonna have to dive in on that.
ParlaMint-NL_2020-05-27-tweedekamer-5.u155	Okay. Then I'll go to Mr. Azarkan on the other microphone.
ParlaMint-NL_2020-05-27-tweedekamer-5.u156	That's right. We must set an example, Mr President. I've often felt a little misinformed about a question I've asked. I think that goes for more colleagues. Sometimes very bad, but with regard to the blacklists I felt really screwed. I asked 60 questions around 17 July. One of those questions was: do there exist blacklists? The answer was no. That's what I was told. Can you get on that blacklist? No, it doesn't exist. How is it reported to people that they're on that blacklist? Can they get off that? No, there's no such thing. Is there also a second ethnicity or a second nationality? None of that is true. I wonder how the Secretary of State based on what was said by the team that handled it, that something simply wasn't true, when it was there; it turned out to be for 20 years, on which thousands of people stood, on which it was clear that it would be possible to ensure that the questions that were asked were answered fairly?
ParlaMint-NL_2020-05-27-tweedekamer-5.u157	Well, that's a complicated question, because I'd like to look very openly and carefully at what's going on. The question you asked was about the FSV system we're talking about. Indeed, we need to be very clear about what was going on with that. What was that system and are there any more of these systems within the Ministry? It is also for that reason that we have said, my colleague Mr Vijlbrief and I, that we think it is so important that we are not just going to look at what that FSV system was like, how did it work, and how could it affect taxpayers or taxpayers? But also: are there other systems in the service? We are going to do this very carefully and thoroughly, also with the help of externals, to make sure that all our systems, all of them, are looked at very carefully. I therefore trust that this research will give us that insight. Doesn't that research say that there might still be a list somewhere on a computer? I can't see that. But I really want that to come out. We want that to be sorted out as much as possible, and I also want any form of bias on fraud from our service. Because, of course, we need a system at the Tax Office in order to be able to record signs of fraud. We are an implementation organisation that should also be able to detect fraud where it is committed. But that has to comply with all the rules. This must comply with Article 1 of the Constitution, and that must, of course, also comply with the rules of the GDPR. We're gonna work on that, too. So we are going to do very thorough research on the one hand and, of course, we are going to make sure that we are going to set it up in the future.
ParlaMint-NL_2020-05-27-tweedekamer-5.u158	I welcome that answer and I welcome that intention. I have already asked here: can the Secretary of State rule out the fact that tomorrow, the day after tomorrow, people will be judged on the basis of their last name, their second nationality, their skin colour, etc.?
ParlaMint-NL_2020-05-27-tweedekamer-5.u159	Well, at least that's what needs to be done, because it shouldn't be done. I also said that in my introduction, someone in the Netherlands is being treated differently because of his background, skin colour, nationality, etc., and so on, except where there is specific mention in a regulation that nationality is relevant, that it's relevant whether you're a Dutchman or not. That has nothing to do with second nationality. But the essence is that this should not happen. We are going to work to make sure that we understand what has happened and that our systems are set up precisely on it. We're gonna do more than that, too. Of course, we are going to make sure that people know exactly what is and is not allowed when it comes to the issue of nationality: where do we need it and where do we not need it? We ensure that our employees know everything about the GDPR. They're trained for that, but they need to be further trained, because I think it's important that it's very clear. If you're asking me to rule that out for now forever, I'm saying, I can't. However, I would like to stress that I am going to do my utmost to ensure that this is not possible, because I agree with you that it is absolutely impossible and should not and should not be prevented.
ParlaMint-NL_2020-05-27-tweedekamer-5.u160	Secretary of State's been at it for two hours. I actually want to ask her if she needs a short suspension. Or do you just want to keep going? I do think that the first debate is a sort of hazing programme. So I'm gonna take a look at the Secretary of State.
ParlaMint-NL_2020-05-27-tweedekamer-5.u161	Could we finish this block now and then take a break? Then it's nice and complete.
ParlaMint-NL_2020-05-27-tweedekamer-5.u162	That's good.
ParlaMint-NL_2020-05-27-tweedekamer-5.u163	Chairman...
ParlaMint-NL_2020-05-27-tweedekamer-5.u164	No, Mr. Van Weyenberg. The Secretary of State finishes her story.
ParlaMint-NL_2020-05-27-tweedekamer-5.u165	In this block on nationality it was also about the question asked by Mr Nijboer. That was because of something that was found a few weeks ago. It was not so much about supplements but about a system of income tax. The only thing I want to say about that is that the subject of that investigation we are talking about. You said it's still being used. But it's good to know that it's not. We have found a system that has been used until 2015 and which is now no longer being used in any form of assessment. I do not want to justify it, but I do want to say that it is no longer on the agenda. Then there is Mr Bruins' question about algorithms. You have also indicated in your contribution that algorithms are used in the control and supervision of the Tax Administration. This is true in the Tax Administration in the broad sense of the word. We then select on the basis of elements related, for example, to the question: would it be possible that things are not going well here somehow? For example, income tax could be someone who suddenly applies for very high deductions at the beginning of the year. We use those risk models. Indeed, we use systems and also input provided by humans. But we also know that your Chamber has asked for more insight into how that works and what elements are in it. We have already made a commitment on this, namely that we would like to include you in it, albeit in a confidential setting, because we also think it is important that, if we indicate how we make these selections, we should not make people wiser, in the sense that it would then be easier to commit fraud. This was actually all I wanted to say about those algorithms. We also talked about blacklists. We talked about the FSV system. I have another question here about second nationality. That was the question: how are you going to make sure it doesn't happen? I think I have answered that too. I think we've had this block.
ParlaMint-NL_2020-05-27-tweedekamer-5.u166	Exactly. In principle, then, you have the subject of declarations and the transformation.
ParlaMint-NL_2020-05-27-tweedekamer-5.u167	Yes, the tax returns and the transformation of the tax administration, and there are a number of other small questions.
ParlaMint-NL_2020-05-27-tweedekamer-5.u168	Then I'd like to suspend for a moment.
ParlaMint-NL_2020-05-27-tweedekamer-5.u169	That's nice for everyone.
ParlaMint-NL_2020-05-27-tweedekamer-5.u170	Yes.
ParlaMint-NL_2020-05-27-tweedekamer-5.u171	I give the floor to the Secretary of State.
ParlaMint-NL_2020-05-27-tweedekamer-5.u172	Thank you, Mr. Chairman. I will continue with the subject of the second opinion and the declaration.
ParlaMint-NL_2020-05-27-tweedekamer-5.u173	On the previous point, Mr Van Weyenberg. Very briefly!
ParlaMint-NL_2020-05-27-tweedekamer-5.u174	Mr President, otherwise my questions will really hit a pig on that. I have two questions. The Secretary of State would pick out something else for me on Social Affairs. In fact, I would like to ask whether the Secretary of State of SZW could send us a letter prior to the legal process, in which she would indicate exactly how she would allow that investigation to be carried out internally, when she thought it would be done, who would do it and what the structure would be. Then we can have the conversation with whoever's talking about it. That would be my first suggestion. Then the Secretary of State will no longer have to look for the deadline I asked for. That's my first question. My second question is about the treatment. A lot of parents have of course had to fight the beers for a long time. They've had to jump through those hoops that can't jump through. The Secretary of State keeps saying: we now have a different approach. At the same time, of course, parents often have to present stuff in many of the groups themselves. And that's kind of complicated in those old cases, for example. I have a question about the attitude of the Tax Administration and the staff who are doing so now. If it is not quite sharp, if there is doubt, is the benefit of the doubt in doubt? Is that the attitude of the Tax Administration towards parents who have always had the disadvantage of doubt for so long in doubt?
ParlaMint-NL_2020-05-27-tweedekamer-5.u175	To deal with the latter: that is our intention. We'd like it to be plausible that something happened. It doesn't always have to be proven or educated with all the receipts, all the facts, etcetera, etcetera. It is true that we are doing this in a human way, not in the way the assessments have been done so far. Otherwise we will end up in the same swamp, as Mrs Leijten calls it. With regard to your other question, I think it is very good that I should ask my colleague to provide you with information on this by letter. So I think it is right for me to pass on your question to her so that she can come back to it and indicate how she intends to deal with the investigation and what timing it intends to do about it.
ParlaMint-NL_2020-05-27-tweedekamer-5.u176	Thank you for that answer. It would be nice if we had that information when we deal with the law here, because then we'll talk about this case again. I hear what the Secretary of State says. She's using the word "indeed." I define that as "not beyond the last comma." Parents have to bring their own stuff now. If there is a feeling that something seems to be right but that it is not 100% to prove, then the real benefit of the doubt is true.
ParlaMint-NL_2020-05-27-tweedekamer-5.u177	But we won't just ask parents. We are also going to work with our own files and we are also going to see how, for example, we can get information up with childcare organisations or banks, in consultation with these parents, of course, in order to complete the dossier.
ParlaMint-NL_2020-05-27-tweedekamer-5.u178	In addition to the commitment to have Mrs Van Ark write a letter: so far, it has always been about the signal that there was between Finance and Social Affairs, and that has been bogged down. But now we know that even in that legislative preparation, which has been done, that all-or-nothing approach was at issue, that that too has not gone through and that this can be taken into account in the investigation. This is about the same thing, but it is about two different routes. That seems important to me, because that is precisely where political responsibility lies.
ParlaMint-NL_2020-05-27-tweedekamer-5.u179	I will inform Secretary of State Van Ark that you are asking this additional question in response to the question that has already been asked to her through Mr Van Weyenberg. Then she can come back to that in that letter. That sounds good to me.
ParlaMint-NL_2020-05-27-tweedekamer-5.u180	Thank you for repeating the commitment that the Chamber can be confidentially informed about algorithms. My question in my contribution was just a little bit wider, and then specifically about the algorithm used, which meant that these parents we're talking about today were targeted. My question was whether that specific algorithm is also used in other places, for example in the care allowance or in the blue department.
ParlaMint-NL_2020-05-27-tweedekamer-5.u181	The algorithm that specifically... I'm sorry, I just need to get this really sharp. Algorithms are used in general, in a broad sense. That's right.
ParlaMint-NL_2020-05-27-tweedekamer-5.u182	Yeah, and then specifically the algorithm used for the childcare allowance, which actually got these parents on the retina automatically. Is that algorithm also widely used within execution services?
ParlaMint-NL_2020-05-27-tweedekamer-5.u183	Algorithms are widely used. If you're talking about that particular algorithm, I find that a difficult question to answer, frankly. Once again, different types of algorithms are used for the different load components, but they are all used there. Maybe you'll help me with what exactly you're looking for.
ParlaMint-NL_2020-05-27-tweedekamer-5.u184	Double nationality, for example.
ParlaMint-NL_2020-05-27-tweedekamer-5.u185	Whether double nationality has also been used as a criterion in other situations? We didn't find anything for that. But it is part of, for example, the SVB research to see if that has indeed been discussed elsewhere or not.
ParlaMint-NL_2020-05-27-tweedekamer-5.u186	Okay, continue.
ParlaMint-NL_2020-05-27-tweedekamer-5.u187	Let's talk about the report. Last week there was a report. We talked about this last week and I also indicated that this has been quite impactful, not just for the parents, but certainly for the service itself. You have asked a number of questions about what that does with and means for the organisation. Let me be clear about this: in recent days, and certainly yesterday, I have spoken quite extensively with some of the tax authorities, and they are quite impressed by that. You could say they're really shocked about that, too. They find that incredibly uncomfortable and I understand that very well. Although this is not a declaration against persons, but a declaration against crime, a "suspect of crime' declaration, the exact wording "of course' is very harsh when that happens and if that happens to you. They are, of course, concerned about what that means to them, how it all works out, what it does. One of the things that matters to me... This was, of course, precisely a consequence of what happened after we made a contribution to that, too, and asked whether criminal offences were committed. That's the investigation we did with each other. That has been done on the basis of a commitment and that has led to this conclusion, and thus also to the need for Secretary of State Vijlbrief and me to make that statement. But of course that has an impact. That has an impact on the people who work there. It is important that we do a number of things. Of course, we have to cooperate fully in the prosecution's investigation. There is no alternative but to do so, and we want to do so in a broad sense. The second thing that is extremely important is that we are helping the employees who work for the Tax Administration, as I said in my introduction, those who do so with heart and soul, who love to do so, who do so with all good intentions and with all their integrity, by indicating how they can do their work in a way that does not concern all of this. Because, of course, it is important that people can just make decisions in the coming time, that they also have the assurance that when they make a decision, that decision is good and that making that decision does not result in them being subject to criminal investigations in the future or otherwise. So that's very important. We need to guide people in their work, we need to identify the decisions that can be made, we need to make sure that they get the right tools, the right help and the right support. And, of course, we also need to work on a change of culture in the Tax Administration. I'd like to say a little more about that in a moment. But it hasn't been said that this will only be gone in a few days. This is impactful for the organization. I will do my utmost to ensure that I guide the staff as best I can. We want to ensure that those 99.999% of the people who work so hard and who are not at all part of this research can also do their job well in the coming period. Because that is what is needed in order to speed up, for example, the recovery for the parents, which you are talking about. And of course we ensure that employees can also use the trusted persons, the counselors we have set up, so that they can also be accompanied when they need them. I'm going to continue on this theme. It was about whether the declaration is indeed still directed towards persons. I said we reported the suspicion of two criminal offences. So it's not about people. And it is also important to know that now, of course, it is also up to the Public Prosecutor to find out exactly how that works. There, of course, one can choose how one wants to deal with the research. The D.A. is completely independent and will receive all our cooperation, for example in making documents available, speaking with people or whatever is necessary. We talked about the safe culture. Mr Azarkan van DENK asked how it came about that those internal and external investigations that we had previously produced did not come to this conclusion. That is, of course, an important question. This has something to do with the fact that it is also quite a legal issue, which has now been submitted to, in my opinion, one of the top specialists in this field in the Netherlands. This was indeed done on the basis of the documents of, among other things, the CAF files. And although it seemed in earlier instances that there was no reason to believe that crimes had been committed, or that this was not suspected, this investigation has shown that this is indeed the case. That is why we have intervened. That was done in a very thorough, good way. There's been a rigorous test. I think that's important, too. Because if it's okay, it's gonna give us a picture of the investigations that come from the State's Attorney's Office. It must be made clear whether there has been such a practice and whether there has been professional discrimination. All right, well, I think it's important that that happens. Mr Snels asked why I did not ask the National Criminal Court to investigate earlier. We did not see any reason for this at the time, but now it is quite clearly a different matter. Mr Azarkan also asked whether we would support or help the prosecution. The D.A. is, of course, independent. I hope that people will get to work there as soon as possible, because I think it is in everyone's interest that we should be clear about what happened quickly. This is in the interests of the parents and of the people involved within our organisation. But in the public prosecutor's office, of course, they decide how to design the investigation there. I cannot make any statements about this. Anyway, I hope they get to work on this as soon as possible. And we will give them every opportunity to do so. Many questions have been asked on this subject, but I think I have answered them all by now. I'm just browsing through my papers. I think I have come a long way on the subject of the declaration, but I may have missed questions.
ParlaMint-NL_2020-05-27-tweedekamer-5.u188	First Mr Azarkan, then Mr Snels, then Mr Omtzigt, then Mr Van Otterloo and then Mrs Van Kooten-Arissen. Mr. Azarkan, Mr. DENK.
ParlaMint-NL_2020-05-27-tweedekamer-5.u189	Thank you for your answer on this point. I think it's clear that the D.A. is independent and is going to investigate. Anything necessary will be made available. The people who need to be heard are at their disposal. I have two more questions. Mr Biemond's analysis also looked, among other things, at coercion by abuse of authority and at withholding evidence. In this selection of information that has been provided, nothing has been found of it. Does this mean that the Secretary of State indicates that there will no longer be a search on these two points, because the selection of information actually reflects fairly well what else to find?
ParlaMint-NL_2020-05-27-tweedekamer-5.u190	No, because it's up to the D.A. to determine how they design the investigation. So if they think it's important to look at other files, other facts and other information, then they can. We filed a report on the basis of this investigation. We have, of course, also specifically sent this investigation with us to inform the D.A. of the reasons for making this report. But they can of course look further, including other dossiers and other themes.
ParlaMint-NL_2020-05-27-tweedekamer-5.u191	I would like to ask the Secretary of State precisely about this, because perhaps we do not understand each other very well. That would be a shame. The Secretary of State has filed a report of greedy and professional discrimination. Does that mean that the investigation is limited to these two criminal offences, or are there any other cases that can be investigated?
ParlaMint-NL_2020-05-27-tweedekamer-5.u192	Again, that's really up to the D.A. If they consider that something else should be done on the basis of Biemond's analysis or otherwise, they can of course investigate it. We had a specific reason to ask for research on these two issues. We are also bound by state law to do so if we discover new facts or otherwise.
ParlaMint-NL_2020-05-27-tweedekamer-5.u193	Mr. Snels, this microphone. You need to be careful.
ParlaMint-NL_2020-05-27-tweedekamer-5.u194	It's a good thing you're paying attention, Mr. Chairman. I have a question about the National CID. You state: that was not the issue. But now the department itself has made the decision whether or not to report it. It took a second opinion. It would have been so obvious to ask the National Police for that. My question is: has that never been discussed? Hasn't it ever been considered? Didn't it ever come up? Wouldn't that be an option that's much better? Isn't it much better to ask the National Police for that instead of conducting their own investigations or filing an immediate report? That's what they're for.
ParlaMint-NL_2020-05-27-tweedekamer-5.u195	The route, as we have understood it, is: if you have a suspicion of felony crimes, you are required as a ruler to report it. You're gonna report it to the state's attorney's office. The Public Prosecutor's Office can then again outsource research to the National Criminal Court, for example. But I'm required to file that report with the state's attorney's office.
ParlaMint-NL_2020-05-27-tweedekamer-5.u196	Last question, Mr. Quick.
ParlaMint-NL_2020-05-27-tweedekamer-5.u197	I'm sure you counted better than I did.
ParlaMint-NL_2020-05-27-tweedekamer-5.u198	Yes.
ParlaMint-NL_2020-05-27-tweedekamer-5.u199	It's not about the reporting obligation, because I get it, now that there's been a second opinion. The point is that you have to investigate exactly what actually happened. That's what the department has done. While it happens more often, in the government and also in politics, that we have the National Criminal Court investigate if anything has happened. Then we're gonna press charges. That would have been so obvious. That is why I am asking whether that has never been mentioned. Hasn't that ever been suggested? Wouldn't that have been an option?
ParlaMint-NL_2020-05-27-tweedekamer-5.u200	As far as I know, that has indeed not been discussed and has not been discussed before. However, the commitment made by Minister Hoekstra, who was temporarily my predecessor, has been very clearly discussed in order to actually have that second opinion carried out.
ParlaMint-NL_2020-05-27-tweedekamer-5.u201	I see Mr Omtzigt no longer has any questions. You asked all the questions!
ParlaMint-NL_2020-05-27-tweedekamer-5.u202	Let's run, Mr. Chairman. The declaration was made on the basis of the documents. Those are documents that have become public. There are still a lot of documents that haven't gone public. That is not how Mr Biemond got the document from the ADR. In the text of the ADR............................................................................................................................................................................................................................................................ However, only the 3 times on which Mr Biemond received documents have been reported. Mr Biemond didn't know anything about the other 97 times, because those things weren't in his pieces. The same applies between 2017 and 2020. Everyone says: from 2017 on, everyone knew. The ADR is crystal clear about that. The report of the National Ombudsman states: from 2017 onwards, the Tax Administration should have changed. Does the Secretary of State know on the basis of all the documents that she has and which are or are not shared with the Chamber whether I want to see them or not is another discussion sure that there are not more cases? Because it would be weird if it were limited to just those three points. Could we be informed within a week or two of whether there are more cases which the Secretary of State thinks are subject to reporting or not?
ParlaMint-NL_2020-05-27-tweedekamer-5.u203	Maybe I can say two things about that. In his opinion, Mr Biemond pointed out that, in his opinion, we should report, or be obliged to report, on the basis of these two types of crimes: hoisting and professional discrimination. He supports this professional discrimination with, among other things, a number of things. It is not the case that we have said that only the D.A. can look at that. In fact, the prosecution itself decides whether it wishes to investigate other forms of discrimination or otherwise in its further investigation. Of course, we'll send all the reports to the D.A.'s office as to why it's asking. This includes the study of the ADR. I think that's important. It is therefore not the case that the declaration is limited to: OM, you may only look at these documents. The report is about these facts and we ask the D.A. to take action to investigate them. That's actually what it is. You ask me: can you let me know within fourteen days whether there are any other subjects on which you think there is a need to report them? If I find it, I'll have to do it immediately. I'm required to report crimes, if I think there are, or suspicions of crimes. I will always and immediately. I will inform the Public Prosecutor's Office of that, and of course you will. But it's a little hard to answer the question now what else I'm going to investigate. We now have an ongoing investigation from the D.A.'s office. It's going to work. I suggest we let them do that job first. If I find any other facts of wrongdoing or crimes, I will always report them.
ParlaMint-NL_2020-05-27-tweedekamer-5.u204	Please continue. Oh, no, I'm sorry. First, Mr Van Otterloo. Then Mrs Van Kooten-Arissen, Mrs Lodders and Mrs Leijten.
ParlaMint-NL_2020-05-27-tweedekamer-5.u205	I do not know whether it was quite clear, but I believe that there is a difference between the criminal investigation and the internal measures that have been taken. The internal measures led to unrest among the staff. Of course, you can always see that coming. But the question I have asked is what research has preceded the setting aside of the five. And is there another study of several people on the basis of the information that has come up, to see if there are sufficient grounds against other civil servants that are so serious that you need to take action in the sphere of employer and employee?
ParlaMint-NL_2020-05-27-tweedekamer-5.u206	Let me say a few things about that. We've filed a report of two suspected felonies. The heart of the matter is that in the letter I sent you last week, I also indicated that we have taken appropriate measures. We did. If you ask me what exactly is going on with employee X, Y, Z or any other person, then I think we have the agreement. I think that is a golden rule in this Chamber that we do not talk about persons, and certainly not about persons who cannot defend themselves in the debate. But what I do want to convince you of, or try to convince you of, is this. Before I did this job, I was an employer at a big organization. I am well aware that this declaration is causing a great deal of concern to our employees. I've spoken to them. It is quite obvious that they are very concerned and very concerned, including about the image of the service, and so on, and so on. You can trust that I will do everything in my power to ensure that they are able to do their job safely and properly, and that all the measures we take in the coming period will do what a good employer has to do. So if it were necessary to take steps with the works council or otherwise, we will of course do so.
ParlaMint-NL_2020-05-27-tweedekamer-5.u207	No, I didn't mean to talk about the individual employees who may or may not be inactive. But that's what reports come in the media. There are people who stand up for them and there are people who don't stand up for them. It's not about that. I don't want to judge those individuals. But I note that an investigation has apparently been carried out on the basis of which measures have been taken. I cannot imagine that no investigation has been carried out on the basis of which measures have been taken. That is the first question. The second question is then: is there any further research with possibly the same results?
ParlaMint-NL_2020-05-27-tweedekamer-5.u208	I would actually like to repeat what I said. With regard to everything that is necessary, in terms of the steps we take internally, any member of the Tax Office can trust that the taking of these steps will be carried out in accordance with the rules of civil service law and in accordance with the rules that we have internally. I would actually like to say better and rather: as a good employer should do. I would like to leave it at that, given the fact that I do not like, nor do I wish, to talk about individual cases here.
ParlaMint-NL_2020-05-27-tweedekamer-5.u209	The answers to the second opinion and the declaration state that the Prime Minister and the Ministry of General Affairs were informed about Mr. Biemond's draft opinion and about the decision to make a declaration, not in its preliminary draft. Advice was then requested from the national attorney on the process of declaration. My question is: has there been any consultation between the Ministry of Finance and the Ministry of General Affairs on the question of advice to the national attorney on the process of declaration? That's my first question.
ParlaMint-NL_2020-05-27-tweedekamer-5.u210	When a draft report came in, we shared it with a number of ministries, because we thought it was important to share that information with them, and then we took the steps to make that known to them. We filed that report at the time the final report fell on the mat; that was on the morning when I informed you.
ParlaMint-NL_2020-05-27-tweedekamer-5.u211	But that's not an answer to my question. I asked if there was any consultation between the Ministry of Finance and the Ministry of General Affairs on the question of advice to the national attorney on the process of declaration.
ParlaMint-NL_2020-05-27-tweedekamer-5.u212	As far as I know, this has not been discussed with the Ministry of General Affairs. We've been in touch with the state's attorney about how it works and what we're going to do.
ParlaMint-NL_2020-05-27-tweedekamer-5.u213	Could the Secretary of State say what date that counsel is from the state's attorney? Was that advice then shared with General Affairs?
ParlaMint-NL_2020-05-27-tweedekamer-5.u214	Then you ask me something I can't answer. I don't know if anything was written, but I can come back to that in the second term if you want.
ParlaMint-NL_2020-05-27-tweedekamer-5.u215	I think we're at the end of the block on the declaration.
ParlaMint-NL_2020-05-27-tweedekamer-5.u216	The Secretary of State was ready, I think.
ParlaMint-NL_2020-05-27-tweedekamer-5.u217	Maybe I forgot something.
ParlaMint-NL_2020-05-27-tweedekamer-5.u218	What I miss a little bit is how we deal with the trust of those 30,000 people. That was the general issue, but perhaps the Secretary of State can say something about it. A number of questions were answered yesterday, for which I am grateful. There was also coverage, because a factual question was answered. The IRS didn't promise punishment for civil servants' fees. This was about the scope for action against individual officials in the context of unlawful action. My question is whether this has not been discussed with this Secretary of State, but with her predecessor.
ParlaMint-NL_2020-05-27-tweedekamer-5.u219	I cannot give the answer to that at the moment. I shall come back to that in the second term, but it has certainly not been discussed with me.
ParlaMint-NL_2020-05-27-tweedekamer-5.u220	If you get a draft opinion on 15 May that says you have to file a complaint, I can imagine you're consulting with the highest chef in the country, in this case with the Prime Minister. You say that in the second term you will come back to the state's attorney, but I need a timeline. There is a lot of discussion about how things went internally in the four days between May 15th and May 19th. The trade unions are very upset that the staff heard this very late. I'd appreciate it if there was a timeline underneath; you'll come back to that. I also asked a question during Question Time. What if the IRS gets convicted? What does that mean for the political position of the cabinet?
ParlaMint-NL_2020-05-27-tweedekamer-5.u221	I'm afraid I can't just answer that because it's unclear what's going on. It's a very bad if-dan question, but I think we should act on things.
ParlaMint-NL_2020-05-27-tweedekamer-5.u222	I also asked that question in the series that Mrs Lodder was talking about. There is, of course, a conscience of the cases that have been reported. During the period you are investigating this has not occurred. That may also be a criminal offence of the period after that. After all, if you know about criminal offences, you're supposed to intervene, you're supposed to stop them and report them. So I am very curious about how the cabinet looks at this, because we need to know what happens when the Tax Administration is convicted and what political consequences that will have. Is there gonna be a report against directors? Then what's gonna happen? It seems to me that the cabinet has thought about that.
ParlaMint-NL_2020-05-27-tweedekamer-5.u223	The cabinet did not think so far forward, at least I did not, about what exactly are the questions. We did what we did, which is to file a report when it turned out we had to. The research has yet to take place, so I think it is a little premature to think about what the results of that research are if we do not even know what the results of that research are. I think it would be wise for us to let the Public Prosecutor do his job. I have already said that we are going to cooperate in this and then see what steps are needed when those results are in place.
ParlaMint-NL_2020-05-27-tweedekamer-5.u224	I have a question along the lines of this, but hopefully not so much a question as a question of dance. In the first term, I talked about the Ministerial responsibilities and criminal offences Act. On that basis, you may be able to prosecute retired directors. The report against the Tax Administration was made following an investigation. That report has not gone spontaneously; there has not only been a suspicion, but there has really been an investigation. My question is the following and I put it in the first term. Can the Secretary of State rule out the fact that the former ministers in the previous cabinet were already so aware of the abuses surrounding the child care allowance that they are to blame and to blame, in such a way that the declaration might be justified? Shouldn't the same kind of investigation take place there? That is the question I have asked and which has not yet been answered.
ParlaMint-NL_2020-05-27-tweedekamer-5.u225	Your question is a bit like Mr Van Weyenberg's question, which we have indicated will be answered by Secretary of State Van Ark in a letter. He asked what information was available, we have already shared it with you for the Ministry of Finance, and what additional information is still emerging as a result of the investigation she intends to do. Again, my colleague will inform you about the commitment and timing of that research. I think it's okay to look at what that means after that. I would like to refer back to the questions that have been asked. The fact that a letter is coming is, I think, a good time for you to look at it further.
ParlaMint-NL_2020-05-27-tweedekamer-5.u226	We're going to the last topic about, the transformation.
ParlaMint-NL_2020-05-27-tweedekamer-5.u227	Yes. That's mostly about the IRS itself. We have already dealt with some of them. This is about the culture of the Tax Administration and the consequences of the declaration. It is important in this small block in response to the questions asked that we will talk together with the staff about what has happened in the past period. As regards Mrs Leijten's questions, I have said a few things about them in connection with the problem of increases. The essence is that we don't have everything we need to know about the parents yet, and we want to understand that. We're going to work to get information on the missing documents. Mr Omtzigt also asked for this. We are going to work on the theme of the "set-up/grove debt" qualification and we are going to work, while we are waiting for the investigation of the Dutch Data Protection Authority, to make sure that it is very clear to everyone who works with us what should and should not be done when it comes to nationality. There are places in the Tax Office where that is possible, but it is not and not by a long shot everywhere. In fact, in most cases this is not an important factor. What we are going to do to work on this culture improvement is a subject that I share with my colleague Hans Vijlbrief. We have promised your Chamber that we would like to return to a number of themes before the summer. They are not just about the improvement programme that has already been deployed by our predecessor, Menno Snel, but also about how we can make the Tax Administration a service that everyone can be proud of. Pride, because there is work in a way that is legal and reliable and that requires service and human measure. That is exactly what we want to work on in the coming period, and of course certainly a service that has a good antenna for developments in society. As I said, we'd like to get back to you before the summer. Many of the topics have already been discussed in other blocks. I have said enough about the transformation. I'm gonna move on to the little block of others as closure. That started with questions about the report of the Dutch Data Protection Authority, but we have already discussed that. I do not, of course, determine the speed of the Authority, but I agree with you that it would be very nice if that investigation were to come very quickly. I have also indicated that, as long as there is not, we are at least going to work to ensure that the issue plays an important role in our internal training of employees and in ensuring that systems are correct. For example, it must be clear to all employees that this was a question that Mrs Lodders had in which cases nationality is a factor that you can examine and in which cases it is not. Then there is Mr Omtzig's question on practical legal protection. You have requested that an investigation be launched into the practical legal protection of citizens and small businesses under the tax and surcharge laws. Part of the work has been done by the Donner Committee. On 19 February 2020, I indicated to you that I would set up an advisory committee to do so. The purpose of this is to ensure that we have this practical legal protection in the framework of the Tax Administration. That committee's gonna get to work. We have now found three independent candidates who will work with it. The institution decision was adopted by the Council of Ministers on 20 May 2020, will be published shortly and will then come before you. We hope to be able to send you a final report on this at the end of the year. We have had the question about the heritage inspection. The same applies to Mr Mulder's question about the discussion with the host parents. I guess I'll be through it then.
ParlaMint-NL_2020-05-27-tweedekamer-5.u228	Then I want to thank you so much for... Easy, easy! Has there been a question left, Mr. Ommzigt? Really? Mr. Omtzigt.
ParlaMint-NL_2020-05-27-tweedekamer-5.u229	I'd put a few, too, so that's no more than normal. The questions that have remained are the following. Can the Secretary of State take part in the Heritage Inspection, now that the documents cannot be found for the ADR, that the Heritage Inspection is asked to investigate the documents that have been lost, such as the management reports and the other reports? Two: I asked the question about the fact that the Tax Administration left out a lot of information and told falsehoods to High Colleges of State. Simple enough: for years, she told the Dutch Data Protection Authority and the Ombudsman that no nationality was used and told in court cases that parents did not call while they had called 100 times. There are also some parliamentary questions that could have been answered differently with the knowledge of today. I'm expecting a plan to put these things right. I asked very specifically if we could get a list of these, and I can give you the examples, and if those cases can be corrected towards those authorities.
ParlaMint-NL_2020-05-27-tweedekamer-5.u230	Mrs. Leijten.
ParlaMint-NL_2020-05-27-tweedekamer-5.u231	If the Tax Department doesn't speak the truth about High Colleges of State...
