ParlaMint-NL_2020-11-11-tweedekamer-9.u1	We shall now proceed with the examination of the Foreign Affairs budget.
ParlaMint-NL_2020-11-11-tweedekamer-9.u105	Because Mr Kuzu's story is very hypocritical. And that's evident from his tweet. He's not at all balanced or proportional or you name it. He has clearly chosen a party before, namely Azerbaijan, for Turkey, so that they can get the provinces and Nagorno-Karabakh back. Mr President, if Mr Kuzu is reading the resolution correctly, then he can see that this has also been the result of the fact that it was the disputed areas, the surrounding provinces of Nagorno-Karabakh, but not Nagorno-Karabakh itself. Let Mr. Kuzu take off his mask. He clearly took sides. That motion was a cover for his so-called neutrality. We know him through his tweet. He supported Azerbaijan, the aggressor, including Turkey, who eventually got their way.
ParlaMint-NL_2020-11-11-tweedekamer-9.u106	Attempt number four. I have made it very clear that my words, my actions and also our voting behaviour reflect this even-handedness. This is not evident from the actions and actions of the Christian Union here in the Chamber. That is what we have seen, and that is what we can actually establish. I also asked a question about the historical aspect, namely that there was a similar war in the early 1990s, with a lot of blood spilled and millions of people fleeing, to be precise, against the two million. They ran away at the time. There was also war back then. At that time, the Christian Union was either "or the predecessors of the Christian Union" were "mouse silent." Not a word has been said about that here in the Chamber. I ask Mr Voordewind: why do you blame my party for hypocrisy when we were in favour of that motion and you were against it?
ParlaMint-NL_2020-11-11-tweedekamer-9.u107	I cannot really take Mr Kuzu seriously when he says he was in favour of balance. Maybe we should show you the tweet. He really welcomes the victory of Azerbaijan, of Turkey, of the massacre of hundreds, perhaps thousands of Armenians. He is pleased with the victory, finally the flag of Azerbaijan is back in Şuşa. He calls that balanced. I can't take that seriously at all.
ParlaMint-NL_2020-11-11-tweedekamer-9.u108	Finally, because it's going to be a repeat.
ParlaMint-NL_2020-11-11-tweedekamer-9.u109	I have two more questions, because I also have another aspect that I would like to mention. When we look at international law, we see that 20% of Azerbaijani territory was occupied by Armenia. That's illegal. That was an illegal occupation. But Mr Voordewind does have a thing for illegal occupiers, because he is calling for an arms embargo today. He never argued for this when it was about another underlying party, namely the Palestinians in Palestine, in the conflict between Israel and Palestine. I have here a list of government agencies and companies working with Israel. I refer to the security region of Haaglanden, working with a drone producer on a drone project that is being used in the bombing of Palestinians. I refer to the National Air and Space Laboratory, the Netherlands Forensic Institute, the Ministry of Justice and Security, ProRail, Single Quantum B.V., Corvers Procurement Services BV, Erasmus University and Vrije Universiteit. They work together with Israeli partners on programmes that encourage military or repressive application or with which Palestinians are bombed. I ask Mr Voordewind: where is his plea for an arms embargo against Israel? 'Cause he's so into underlying parties, isn't he?
ParlaMint-NL_2020-11-11-tweedekamer-9.u110	I asked Mr Kuzu in this debate two or three weeks ago whether he thought Turkey was militaryly involved with Azerbaijan. He refused to answer that. The Minister himself replied a few weeks ago, but probably Mr Kuzu will still deny that Turkey was involved in the fight in Nagorno-Karabakh. He also asked me a question and I told him: if you answer my question, I will answer your question. But I fear that today I still cannot get an answer to my question concerning Turkish involvement and the transfer of jihadist fighters, with a $100-200 reward for every Armenian murdered. I'm afraid I can't get an answer to that. However, I must tell you that I have also informed the Israeli Ambassador that I am very displeased with the use and use of cluster munitions and their sale to Azerbaijan. I will provide you with an answer, but I fear it is not the other way around.
ParlaMint-NL_2020-11-11-tweedekamer-9.u111	Mr. Kuzu.
ParlaMint-NL_2020-11-11-tweedekamer-9.u112	You have already received the answer from DENK. I shall refer once again to the hypocrisy of the Christian Union and of Mr Voordewind in the motion which the group of the Danish People's Party has supported.
ParlaMint-NL_2020-11-11-tweedekamer-9.u113	I didn't ask that question.
ParlaMint-NL_2020-11-11-tweedekamer-9.u114	That's not a cover; that's an actual aspect of this whole story. This is an actual aspect. I have asked Mr Voordewind whether he is equally opposed to the use of weapons against the Palestinians. The Netherlands contributes to this. An arms embargo against Israel could also be a solution because of the list I mention here. Isn't that what he was like for those underlying parties? Not in this case! Can you explain to me what consistency is behind this?
ParlaMint-NL_2020-11-11-tweedekamer-9.u115	I'm afraid my...
ParlaMint-NL_2020-11-11-tweedekamer-9.u116	To conclude, this was my last question. I don't think we're gonna get any closer.
ParlaMint-NL_2020-11-11-tweedekamer-9.u117	No, I don't think so either.
ParlaMint-NL_2020-11-11-tweedekamer-9.u118	But Mr Voordewind's hypocrisy is quite clear. Let the viewer judge that.
ParlaMint-NL_2020-11-11-tweedekamer-9.u119	I fear that my expectations regarding the answer I asked of him are true. I asked him a very simple question: do you reject Turkey's military involvement in Nagorno-Karabakh? You asked me a question about Israel's cluster munitions. As you know, we are a friend of Israel, but I deeply regretted and also rejected the fact that Israel was selling cluster munitions to Azerbaijan. Politically and strategically, I understand, but I disagree. But you have not shown the courage to condemn Turkey for supplying weapons and, even more importantly, giving a bonus to jihad fighters who kill an Armenian. You've never distanced yourself from that.
ParlaMint-NL_2020-11-11-tweedekamer-9.u120	That's the traditional way of trying to frame your opponent. The last time we had a debate here, motions were tabled. We supported the motion calling for an arms embargo against all parties concerned. We supported that motion. The Christian Union has not done so and therefore you shake no. The Christian Union, as a friend of Israel, you now say: 'Friend of Israel'. That has given you an answer to your question. You can keep saying ten thousand times that we are not answering your question, but we have. We have shown it by our voting behaviour and Mr Voordewind of the Christian Union has not done so.
ParlaMint-NL_2020-11-11-tweedekamer-9.u121	Mr Kuzu, you were given the floor because you were asked a question. Proceed, Mr. Voordewind.
ParlaMint-NL_2020-11-11-tweedekamer-9.u122	I'm not gonna ask another question. I note that Mr Kuzu is making himself truly unbelievable. I asked him the same question 26 times. He asked me a question about Israel. No, Mr. Kuzu, you don't have to answer, because I've given you three or four times the opportunity to answer. You have heard me say and I will say again that we have condemned the delivery of Israel's cluster munitions to Azerbaijan. I have asked you four times whether you condemn the aggression, the military involvement and the placing of bonuses on the heads of Armenians. You refer each time to a motion by Mrs Karabulut, but through your tweet the mask has gone off and you have shown your real nature: you cheer, together with the Azerbaijanis, the Azeris and the Turks at every dead Armenian. That is your true face, and I find it deeply and deeply sad.
ParlaMint-NL_2020-11-11-tweedekamer-9.u123	I just gave you the floor, Mr Kuzu, so you could answer the question. Wait a minute. Relax, Mr. Kuzu, no one can hear you. You just got the floor to answer this, but then you went back to another point. If you want to respond, you will have the opportunity. Otherwise, I propose that Mr Voordewind continue.
ParlaMint-NL_2020-11-11-tweedekamer-9.u124	I would like to make a personal statement on Mr Voordewind's abject remarks that I would welcome when an Armenian was killed. I'm definitely gonna distance myself from that. I don't think war is a solution to conflict. Solutions will come to the negotiating table. However, I would like to add that 30 years of negotiation in this case has not produced justice. Mr Voordewind has a number of questions left. I hope he saves them for me; then we can move on.
ParlaMint-NL_2020-11-11-tweedekamer-9.u125	I suggest you move on, Mr. Voordewind.
ParlaMint-NL_2020-11-11-tweedekamer-9.u126	For a moment I had hoped that it would come, but also here no condemnation of Turkey with regard to the aggression in Nagorno-Karabakh. Very disappointing. Mr. Chairman. I had received a question from the Foreign Minister. What are his feelings and impressions of the declaration, of the peace agreement, which is now in place and of the fact that it may be so vulnerable not to lay down the position of Nagorno-Karabakh in that regard? There are only Russian peacekeepers going there to maintain that one small corridor to Armenia. What is this Minister's assessment of the great risk that 38 will repeat itself, i.e. that this will be a peace agreement for a provisional peace? The statements of the President of Azerbaijan were clear. He would continue until Nagorno-Karabakh had fallen. Mr. Chairman. In the French Senate there is now a proposal to recognise the Republic of Artsach, also known as Nagorno-Karabakh, so that the responsibility to protect can be claimed. Just as happened 20 years ago around Kosovo, when there was a threat of ethnic cleansing. Does the Foreign Minister consider it an option to consider whether the Netherlands could recognise Artsach, so that they are able to call for international aid at the time of Nagorno-Karabakh being attacked again? Mr. Chairman. I also have the following question to the Minister. Turkey has been the driving aggressor. We have seen this before with the Kurds, Afrin, Syria and Libya. Now we see this with the Greeks. That's where they want to drill for oil and gas. The European Foreign Affairs Council said last time: if the Turks send another boat, we will really resort to sanctions. What will this Minister do when it comes to the follow-up measures towards Turkey? Are sanctions actually coming within the Council and is this Minister going to make an effort to do so? Mr. Chairman. Finally, we have already discussed whether the Minister is prepared to commit himself within the EU to an arms embargo on Turkey, because of the aggression. I say it again, not only aggression in Nagorno-Karabakh, but also in Syria and Libya. I would like to hear a response from the Minister on that point. Mr. Chairman. We are talking about the EU and NATO. There will undoubtedly also be a discussion on Turkey's position. Does the Minister think that Turkey should be addressed to its aggression, to its actions towards Libya, Greece and to Nagorno-Karabakh at the moment? Should Turkey's position within NATO not be put on the table once and for all? Is the Minister prepared to do so?
ParlaMint-NL_2020-11-11-tweedekamer-9.u127	Those who have just listened to the interrupting debate might perhaps get the impression that it is the men, Erdogan or I know much which other dictator, who determine the fate of peoples. I just heard someone say, "War always wins." I notice that everyone here has lost. I find it painful to see that there are parties and MPs who cannot openly distance themselves from nationalist, inflammatory language. I agree with everyone that this should not be an ethnic-religious conflict, but you have to name what is going on. I have a question for Mr Voordewind in this connection to make it absolutely clear. He says he was against an embargo last time for all the parties involved in this conflict, because Armenia is the underlying party. But Armenia very much wants an arms embargo on Israel, because it delivers cluster munitions to Azerbaijan. Does Mr Voordewind support that?
ParlaMint-NL_2020-11-11-tweedekamer-9.u128	The supply of cluster munitions is prohibited internationally. We have a ban on cluster munitions. I will argue everywhere and always in favour of countering the deployment of cluster munitions.
ParlaMint-NL_2020-11-11-tweedekamer-9.u129	To make it very specific: Mr Voordewind is now proposing an arms embargo against Turkey in connection with the war on Nagorno-Karabakh, which we have de facto already. He called for the commitment to promote an arms embargo in the EU as well, which is de facto happening. That can all be firmer. I wholeheartedly support that. Another party that supplies a lot of weapons to Azerbaijan, and not just cluster munitions, is Israel. I would ask Mr Voordewind, through the President, to defend the same for Israel.
ParlaMint-NL_2020-11-11-tweedekamer-9.u130	I believe that there should be a stop on arms delivered to Azerbaijan or Turkey. Turkey has its own arsenal of weapons which are being deployed in the fight against Nagorno-Karabakh.
ParlaMint-NL_2020-11-11-tweedekamer-9.u131	Proceed, Mr. Voordewind.
ParlaMint-NL_2020-11-11-tweedekamer-9.u132	Mr. Chairman. I'm going to Northern Syria and Iraq. I ask the Minister about the trial of ISIS fighters in Northern Syria by the Kurds. The Minister called on the Security Council to do this. What can be reached by now if we commit to this? Is the Minister prepared to give more support to the victims of ISIS and the victims of trafficking in human beings? I am thinking of Syria and Iraq, especially the jazidi women who cannot return to the villages they come from, because they have become pregnant by the rapes of ISIS fighters. Are the government and this minister prepared to see if we can find a separate shelter for these jazidi women, and possibly also for Kurdish women and Christian women who have been raped and who need specific shelter in this vulnerable situation? Mr. Chairman. Then Israel. Is the Minister prepared to examine a proposal to see if we can speed up the freedom of movement and the waiting times of Palestinians towards Samaria and Judea? We've always talked about reconciliation projects here. Sometimes it takes two hours. We could speed that up with Israel to two minutes. It's fine to be able to do that on the 1967 line. We've done that before with scanners heading for Gaza and scanners coming from Jordan towards Samaria and Judea. Is the Minister prepared to take a serious look at that? Mr. Chairman. In 2017, the Chamber adopted a motion to stop disproportionate criticism of Israel in votes at UN bodies. We see again that six of the seven motions have been supported by the Netherlands. We know that this minister is involved with even-handedness, but I would like to ask when this motion by Mr Van der Staaij is actually being implemented. Does he agree with the Christian Union that motions with a one-sided designation of the Temple Mountain, namely only the Islamic name Haram al-Sharif, should no longer be supported by the Netherlands, precisely in the context of even-handedness? I may also ask the Court to give a ruling on this in the second term. Can the Minister state exactly what the criteria are for the reconciliation projects between Jews and Palestinians? There are several organisations that are proposing projects to us, but they do not really know what the criteria are. I'd like to hear those criteria. Mr. Chairman. One final question on this point. The representative of the Palestinian territories lives in East Jerusalem. The representative of Israel is not allowed to live in West Jerusalem, because he must live in Tel Aviv. When we talk about even-handedness, why the inequality at that point? I'd like to hear an explanation about that, because I don't get it. It would be nice if he could also live in West Jerusalem. Saves him a lot of travel time. It'll make him very happy. Mr. Chairman. Finally, freedom of religion. Mr Van Helvert has talked about this in detail. There's more reason than ever to think about this. Fortunately, this government has made this a major priority. We just heard that Christians in North Korea are even burned in steel cages. In China and Pakistan, they are being prosecuted. I'd still like to dwell on Pakistan. Last week we heard that a 13-year-old girl named Arzoo was abducted and forced into Islam. She had to marry the 44-year-old neighbor who kidnapped her. If this were the only example, it would still be. Then it is terrible, but there are dozens or hundreds of girls who are kidnapped at a young age and who are forced to convert to Islam. By the way, these are not only Christian girls, but also Hindu girls. What can the Netherlands do to prevent this injustice? There are still people on death row, simply because of false accusations of blasphemy. We've talked a lot here about the Asia Bibi case. Fortunately, she has been released, but other Christians, not only Christians, but also Muslims or people of other religious origin, are in prison on the basis of false accusations. What can the Minister do? We have previously adopted a motion here to bring about an international campaign against the death penalty on blasphemy. How has that motion been implemented by now? Are we working on an evidence bank for the crimes against the Uighurs? A motion was recently adopted on this too. Mr. Chairman. Finally, I would like to draw the Minister's attention to the special UN rapporteur on freedom of religion and belief. He barely has a budget to do his job and has to do it almost wrong. He's getting a bunch of plane tickets reimbursed by the U.N. I would suggest adding 2 million for his commitment to freedom of religion and belief, to expand his work much more. Mr. Chairman. So far, thank you.
ParlaMint-NL_2020-11-11-tweedekamer-9.u133	Thank you, Mr Voordewind. I now give the floor to Mr Van der Staaij on behalf of the SGP.
ParlaMint-NL_2020-11-11-tweedekamer-9.u134	Mr. Chairman. In this last regular budget of the cabinet there is, of course, also much looked back. If we go to the State Department's premises, our eyes automatically go global. Then we see a lot of concerns in all kinds of areas. We have often talked recently about the pandemic, but rather about the terrorism that has been taking place in many places and the tensions between the great powers. I am also thinking of the unrest raging by Turkey that we have just seen. A lot of worries that have emerged over the past few years. Blessings and positive points can also be mentioned. I myself thought the agreements were a nice one that Israel concluded with a number of states, through the United States. Mr De Roon mentioned this first, and I thought it was right. Given all the difficult developments in the Middle East, that is a good point of light to be mentioned. Mr. Chairman. We have also adopted a lot of motions in many areas over the past period. There will be new ones, but it is always good to find out what actually came of them. Did those motions have any effect? Of course, we'll do it for that. I'll walk by a few grounds, if you don't mind. A number of motions for resolutions which we have supported are designed to set limits on the action of the European Union. They want a little more modesty from the European Union. When I look at that, I see that we have also received a motion for a resolution, which says: do not continue to strive for an ever closer union, but look a little more practical, a little more pragmatic, where you really need each other in Europe. What has become of this motion, which says: Cabinet, see if we can get more support for it in Europe? Another example is the Bishop/Leijten motion: do not allow the Multiannual Financial Framework to grow. We also see a great deal of ambition in the field of Europe. There's chips coming by. They're called BNC chips here. I thought: we don't like abbreviations here, because people should be able to follow it, so what does that even mean? BNC stands for assessment of new Commission proposals. Of these, not dozens, but hundreds have passed through the last period, from the European Green Deal and more efficient decision-making to the labelling of tyres. Would it not be important for Europe to have greater control over all kinds of new initiatives? Recently, the European Commission's proposal for a European minimum wage came up again. The list is endless. Does the Minister not see the risk of missing focus and support for this commitment in Europe with all this commitment in so many areas? That is the first subject. Then there is the second issue. I have just mentioned that the enmity between Israel and a number of Arab countries has made way for Abraham's accords. Nice that rusted patterns could be broken. I have advocated here more auspiciousness; a majority of the House has supported this. I actually thought that was a nice biblical word. It is not used much anymore, but graciousness is something like benevolence and kindness. I have therefore advocated greater goodwill towards Israel, including in the United Nations, where so disproportionately many resolutions are fired towards Israel, often so one-sidedly. The examples have been mentioned. This motion, which has received support, says: government, make sure that fewer unilateral resolutions are taken towards Israel, supported by the Netherlands. How then is it that six out of seven resolutions have been supported in the last period? Mr. Chairman. In addition, last week a fine motion was passed by my colleague Schalk in the First Chamber. In this motion it is said: Cabinet, do not participate in the UN resolutions using only the Arab name for the Temple Mount. My question to the Minister is whether he intends to give serious effect to this too. Finally, in this area: does the government work on implementing the so-called IHRA definition for anti-Semitism? Mr. Chairman. Then persecution of faith, in the field of religious freedom. There are enormous problems in many countries. The examples have already been mentioned. Mr Voordewind mentioned that 13-year-old girl in Pakistan who is forced to marry and convert to Islam. But it is also about countries such as Afghanistan, Pakistan, China, Libya, Iran, India and Nigeria. On this point, we have the question of whether it would be appropriate to initiate a special resolution in the UN Human Rights Council to combat religious persecution. Does the Minister feel that way? I also ask about the developments in radicalisation. We also saw examples of jihadist terrorism in Europe in the Netherlands; we will talk about it in the Chamber tomorrow. But this is often a consequence of radicalisation in countries outside Europe and outside the Netherlands. We also saw decapitations in Mozambique in recent days, and we see militant Islam in Africa making itself stronger. Is there now a more common commitment? I have raised it in the past in the context of a working visit to Nigeria to combat precisely that militant, radical Islam, by supporting moderate forces who want to counter it in their own country? Mr. Chairman. I would also like to draw attention to developments in North Korea and China. Human rights are being violated there. We know; we've talked about it a lot. The tortures in North Korean prisons rightly referred to the cabinet as crimes against humanity. We have had debates about the Uighurs and the position of Christians in China. However, we can see that we are actually not getting much further on that. What opportunities, for example, are there for cases before the International Court of Justice to go further in this respect? What possibilities does the Minister see when it comes to North Korea and China? That is my specific question. Finally. Motions have been adopted on South Africa and Indonesia, particularly with regard to the Papuan population. I ask the Minister what implementation has been given to this international pressure on South Africa for land expropriation from white farmers. I tabled a motion on this with Mr Van Helvert. I would also like to hear the state of play on police and judicial exchanges with and support for South Africa in the fight against violence and impunity. Mr. Chairman. This is what I wanted to leave it at.
ParlaMint-NL_2020-11-11-tweedekamer-9.u135	Thank you, Mr. Van der Staaij. Finally, I give the floor to Mr Kuzu on behalf of DENK.
ParlaMint-NL_2020-11-11-tweedekamer-9.u136	Mr. Chairman. The Netherlands' foreign policy sometimes seems to be a far-from-my-bed show. In an era of globalisation and rapid information exchange, the opposite is the case. Foreign policy, conducted by this government, affects everyone in the Netherlands. It is therefore important that there is support for foreign policy. There is still a great deal to gain in this area. Because the Netherlands is a country that is distinguished by its excellent diplomacy and conflict prevention. Perhaps we are a small country in terms of surface area, but we are doing great deeds. By being a country that sets the tone in the international community. Because of the changing international relations and the increasing geopolitics of self-interest, it is more important than ever for the Netherlands to continue to work for equality and justice, and against impunity and polarisation. DENK's basic principles are that eurocentric foreign policy and Western superiority must be counterweighted. The Netherlands should always strengthen diplomatic ties to promote human rights and the international legal order wherever possible. The Netherlands must continue to look at the minorities in need, minorities who are oppressed and the blind spots of Western society. Mr. Chairman. Today I want to discuss four points. One: the danger of polarisation, the strength of a united Europe, the blind spots of Western society and the need for an international nuclear weapons ban when I get there. The year 2021 will be marked by the impact of the corona crisis, which will put further pressure on geopolitical relations. The crisis has shown us how developments elsewhere affect our open Dutch society and economy. More and more we notice that foreign tensions affect our society, communities that call each other names on social media and fight foreign issues in Dutch streets. This impact on our society must be avoided. The guiding principle is international law at all times. Mr. Chairman. DENK abhors the murder of the teacher Samuel Paty in France. We abhor the attack in Nice. We abhor the attempt to attack Avignon and the horrible events in Vienna. But it can't be that an entire community, in this case the Muslim community, is marginalized and criminalized because of the actions of some crazy lunatics. The aftermath of events, the trend of action, is worrying. This is not happening in a country far from here, but in the land of liberté, égalité and fraternité. Macron stated that Islam is in crisis worldwide. This is not only too short, but it is also a question of problems, because as a leading member of the European Union, it will strengthen relations with the Islamic world for your own foreign policy and promote tensions within national borders. A measure such as shutting down Islamic organisations without any legal basis does not fit into a democracy. I would like to ask the Minister if he has contacted his French colleague to help him by pointing out that the path taken by the French is not the way that brings social cohesion closer to France and to Europe. Does the Minister share that polarization doesn't take us any further? And isn't it sad that professional provocators, like Mr Wilders, are throwing more oil on the fire? I don't hear Rutte's team about that. Mr Rutte did so at the beginning of his term of office, which resulted in the famous parliamentary spectacle "Be normal, man" - "Be normal for yourself." The whole world has seen that polarisation in foreign policy has made the world more unsafe. If there's anything that Trump has shown us for four years, that's it. DENK congratulates the Democrats and the President-elect Biden on the election results. These are exciting times, and with Biden's multilateral approach, I hope that we can look forward to a period where we can have for a change a United States that does not disrupt the world and, in particular, the Middle East. Hopefully we will have a period of peace and stability.
ParlaMint-NL_2020-11-11-tweedekamer-9.u137	I hear Mr Kuzu talking about France, about the terrible terrorist attacks that we have seen there. Then there's an argument about polarization. I would like to know very clearly not only for me but for all those who are watching Mr Kuzu that he has supreme solidarity with France and with the victims and that he does not want to give any suggestion here that France's policy of defeating and tackling terrorism is related to some sort of cause, some sort of excuse for violence.
ParlaMint-NL_2020-11-11-tweedekamer-9.u138	I find it a very strange question because I have just started my contribution by saying that I find what has happened horrible. If that has not come across sufficiently clearly for you, I would like to repeat that, of course, one hundred percent solidarity and one hundred percent condemnation of what has happened in France, but also in Vienna. I absolutely do not want to create the contradiction that there would be no solidarity. Unfortunately, I have to stress that again. I then see, as we have seen before, that there is a social reflex in which we hold a whole group of people responsible for the act of some crazy fools. That's what I want to watch over. Look, you're talking about fighting terrorism. In this Chamber, DENK has always supported the approach to terrorism. At the same time, the people we really need in this fight are precisely the communities that live in France and the Netherlands. We need them very much in the fight against extremism and radicalism. That is my plea; let there be no misunderstanding about it.
ParlaMint-NL_2020-11-11-tweedekamer-9.u139	Tomorrow we will have a debate on the attacks in France, I say to Mr Koopmans.
ParlaMint-NL_2020-11-11-tweedekamer-9.u140	Then I hope that Mr Kuzu will join in and that he will abandon some sort of combination of things. Yeah, he's judging it. That's fine, very good, rightly so. There's no other way. But then he says: yes, but there are other things as well. I would therefore like Mr Kuzu to condemn the actions that come from a number of Islamic countries to boycott French products, to condemn France for the policy of tackling terrorism.
ParlaMint-NL_2020-11-11-tweedekamer-9.u141	Tomorrow's the debate.
ParlaMint-NL_2020-11-11-tweedekamer-9.u142	Madam President, it's about something.
ParlaMint-NL_2020-11-11-tweedekamer-9.u143	Yes, of course.
ParlaMint-NL_2020-11-11-tweedekamer-9.u144	It's about foreign policy. Mr Kuzu is standing here all the time taking everyone's standards.
ParlaMint-NL_2020-11-11-tweedekamer-9.u145	Well, um...
ParlaMint-NL_2020-11-11-tweedekamer-9.u146	No, no, no, no, no, no.
ParlaMint-NL_2020-11-11-tweedekamer-9.u147	...that's not true.
ParlaMint-NL_2020-11-11-tweedekamer-9.u148	And now he can once say quite clearly: victim blaming cannot be, terrorism is horrible and we support all forms of combating terrorism within the limits of international law.
ParlaMint-NL_2020-11-11-tweedekamer-9.u149	I wonder why the VVD here is acting like there's a contradiction, because what he's asking is exactly what I'm doing. I abhor terrorism, I abhor attacks, I show solidarity and then...
ParlaMint-NL_2020-11-11-tweedekamer-9.u150	No, Mr. Koopmans.
ParlaMint-NL_2020-11-11-tweedekamer-9.u151	... Mr Koopmans is trying to create a contradiction. That is not the case.
ParlaMint-NL_2020-11-11-tweedekamer-9.u152	I suggest you move on.
ParlaMint-NL_2020-11-11-tweedekamer-9.u153	You know there's a debate tomorrow.
ParlaMint-NL_2020-11-11-tweedekamer-9.u154	Exactly.
ParlaMint-NL_2020-11-11-tweedekamer-9.u155	That's gonna happen tomorrow. Mr Azarkan will take part. If you are interested, we will also have a debate tomorrow morning on integration and social cohesion. That is exactly my point: we must promote this social cohesion and we must not let ourselves be played out by some crazy fools who want precisely this, namely the creation of contradictions. We can't allow that. I ask you, Mr. Koopmans:...
ParlaMint-NL_2020-11-11-tweedekamer-9.u156	You, too, will have the debate tomorrow.
ParlaMint-NL_2020-11-11-tweedekamer-9.u157	...let's not do that.
ParlaMint-NL_2020-11-11-tweedekamer-9.u158	Tomorrow's the debate. I suggest you move on. No, Mr. Koopmans, you have nothing left. In fact, you have more than... Oh, no, I'm not gonna say this out loud, because then others say they want to. Proceed, Mr. Kuzu.
ParlaMint-NL_2020-11-11-tweedekamer-9.u159	Mr. Chairman. On the contrary, our society, our citizens and our Kingdom benefit from a secure and well-functioning international legal order. Just now, as the Netherlands, there is an opportunity to reform the multilateral system from the point of view of equivalence. Only through a multilateral society can we cope with corona. The Netherlands must work towards strengthening the unity of the European Union. Only in this way can the European Union be an influential party in a world in which geopolitical relations are changing enormously. Does the Minister agree with me that the European Commission's democratic deficit should finally be tackled and that the Netherlands should take the lead in this? We also call for greater powers for the European Parliament to control the European Commission. European policy on foreign affairs, human rights and sanctions must be more united and concrete. Now we know that the Minister has been working very hard on the EU sanctions mechanism. I'm gonna ask him how much longer we're gonna have to wait for this. Mr. Chairman. The conflict surrounding Azerbaijani Karabakh was the perfect illustration of how decisive action is made difficult by the failure to have a united Union. While Armenia's occupation of Azerbaijani territory was completely illegal, the Minister does not want to comment on it because of even-handedness. Hunted by the Chamber, it was about matters which, as far as I am concerned, distract from the conflict. It is a good thing that a trilateral peace agreement has been concluded, but then you wonder what 30 years of discussion at the Minsk Group has resulted in for the nearly 2 million Azeris who had to leave home in the early 1990s. What has been the outcome of the recent 40-day war for the Armenian mothers who lost their sons and for the women who saw their husbands killed at the front? The result is even more hostility. I really wish, from the bottom of my heart, that peace and stability be established for the region, in which the people who have been plagued by conflict and violence can live together in peace over the last few decades. Although the Russians have taken up this gauntlet and finally achieved peace, I ask the Minister to support this peace agreement and to identify at EU level the possibilities to contribute to its compliance.
ParlaMint-NL_2020-11-11-tweedekamer-9.u160	We share that wish, that peoples should live together in peace. But what I do miss somewhat in Mr Kuzu's story is, of course, that those resolutions, the facts and the history, which you can discuss, do not justify the commitment, the aggressive commitment, of Turkey, led by the Turkish President, to support Azerbaijan and to involve foreign fighters. Does Mr Kuzu share that view?
ParlaMint-NL_2020-11-11-tweedekamer-9.u161	I share the view that, when there is a conflict, every party involved, including Turkey, must ensure that there is de-escalation. At the same time, I would like to point out that for 30 years, through the Minsk Group, through Russia and through the United States, the aim has been to achieve a diplomatic solution to this conflict. Unfortunately, this has not been possible, and this has led to the need to take up arms. That really is the very, very, very last solution to fighting a conflict. Unfortunately, it happens. I am not in favour of this, but it is true that we really have to bear in mind that 2 million people fled from Karabach in 1993 to Azerbaijan, Turkey and other parts of the world, so that we now see a community of Azerbaijanis here in the Netherlands, but also a community of Armenians, who are on the opposite side of the Dutch streets. I don't want that.
ParlaMint-NL_2020-11-11-tweedekamer-9.u162	Finally, Mrs Karabulut.
ParlaMint-NL_2020-11-11-tweedekamer-9.u163	Fortunately, Mr Kuzu does not want that. Yeah, I bet you do. But, once again, what has been laid down in resolutions and the fact that the process has indeed been stalled for 30 years does not justify Turkey's action and Turkey's intervention in a military way, with military support, but also with the import of warriors? Can Mr Kuzu quite clearly distance himself from that? I share his story for the rest, but if you don't name this and make it clear that that's not the way to resolve conflicts, that makes his story unbelievable. What is happening in the meantime is exactly what you say: nationalism is being fed, violence is being fed and innocent civilians are being killed, now on the other side. And in the Netherlands there are indeed all kinds of groups that are facing each other. And there is, for example, even the objectionable ideas of a group like the Grey Wolves, being further fueled. If you also make that clear, I think it is very valuable for the people of the Netherlands.
ParlaMint-NL_2020-11-11-tweedekamer-9.u164	In my first contribution, I tried to answer that, because the point is that when there is a conflict, foreign interference does not help such a conflict. We saw that in Karabach. We saw that in Syria. We've seen that in countless other places in the world. At the same time, that is what I said, because I agree with you to a large extent that we have been looking for a solution to this particular conflict for 30 years through diplomatic means and that we have not been able to find it. Then I find it regrettable, and then I deeply regret that there has been a bloody war of 40 days in which, according to the first figures, nearly 10,000 people have died.
ParlaMint-NL_2020-11-11-tweedekamer-9.u165	We really need to move on. I suggest you move on.
