ParlaMint-NL_2020-09-02-tweedekamer-6.u1	I give the floor to the Minister of Health, Welfare and Sport.
ParlaMint-NL_2020-09-02-tweedekamer-6.u107	Yes. A brief reaction.
ParlaMint-NL_2020-09-02-tweedekamer-6.u108	I understand you're setting that link. I don't mean to make that link. You are asking whether it is possible under the LCI directive. Then I say, yes, that's possible. We've now decided that we need to be able to test these nursing homes asymptomatic in the event of an outbreak. Then we don't talk about favoring those people either. Then we talk about what would be most effective in the context of the fight against infectious diseases. That's how this needs to be looked at. But I get your point that you wouldn't, unintentionally, want to favor the app users with that. On the other hand, that is what the guidance group recommends. That is precisely what Mr Hijink is saying: that you should also want to reward those people for using the app. With that it is possible to test if you have complaints just a very nice way of rewarding. Those are the considerations you have to deal with.
ParlaMint-NL_2020-09-02-tweedekamer-6.u109	I think you've come to the last part.
ParlaMint-NL_2020-09-02-tweedekamer-6.u110	Yeah, we're gonna dive into technology together. A lot of questions have been asked. That's going incredibly deep into technology. I'm gonna do my best. It concerns in particular Google and Apple and its user conditions. The exchange of these bluetooth codes, even if the CoronaMelder is not open, only works if it is made possible on the phone. That's what the framework of Google and Apple is about. If they hadn't, you wouldn't have been able to build this app this way, so with a decentralised data storage, where the data stays on the phone. You wouldn't have been able to build that if Apple and Google hadn't taken that step that API hadn't made. Only governments can make use of this. That's a second important guarantee, I think. Apple and Google will not be compensated for this. That's important, too. The notification of a contact and the reporting of a positive test are only done in that CoronaMelder. That doesn't happen with Google or Apple. It only happens in the CoronaMelder. That's important, too. Before we could use that API, we had to sign user conditions with Google and with Apple. Those user conditions explicitly stipulate that Google and Apple do not process personal data. We have accepted those user conditions. In short, it shouldn't be. Google and Apple should not allow us to send personal data that way. Of course, we don't want that either, but it shouldn't be in accordance with the user conditions with Google and Apple. In addition, we have had our own source code double-checked on whether we really do not. Are you sure there's nothing wrong with data that way? The answer is no. Imagine if Apple and Google didn't comply with those user conditions. I really have no reason to believe they wouldn't. They would give themselves an extremely bad name. But imagine if they do, then they can be addressed to the contract law, but also to the GDPR. Both the AP and the ACM can impose heavy fines. At the same time, it would be a real criminal offence for European law and would also be enforceable. I think that's enough reason to assume it's a mustache. In addition, we have asked a number of additional questions. That is also an answer to the question that Mr Verhoeven asked, I think, namely what the exact agreements are with Apple and Google, on top of signing those user conditions. So what does it mean that they will continue to develop their exposure framework? How can we rely on data not only not now, but also in the future, to be used in a different way? That's not personal data. But can't they make profiles or whatever? Those exact appointments with Apple and Google are public. The exact location of these agreements is set out in section 3.1 of the note following the report, on page 24. It actually says that we welcome the development of the API and the app to make it even safer. We are constantly talking with European colleagues about this with Apple and Google to make it work even better and safer. There is currently no reason to assume anything other than that Apple and Google will act in the same way. Then there's one more thing. The source code of that API has been made public. It is also being reviewed by the European Commission. That too should be a safety issue. In short, all safety posts have really been considered on this point.
ParlaMint-NL_2020-09-02-tweedekamer-6.u111	I'd still like to talk about that API. While we are diving into the technique, it is an essential part to make sure that the app is safe. You say that it should not be used by companies and organisations, but that was agreed by Apple and Google. Why do we not make this explicit in this law? Apple and Google can say that now, but later they can say something else. So why don't we explicitly state ourselves that this is a possibility? Then I have a second question about the API. It is said that only public administrations can use this API. What about the intelligence services? Are we gonna rule out any of this? How do we do that?
ParlaMint-NL_2020-09-02-tweedekamer-6.u112	The goal-binding has, of course, already been expressed quite clearly. So, of course, that's already out of the question. There's only one goal, and that's infection control. Looking at the law in which we replicated the data base, an average legislative lawyer will frown on how detailed it is written for what purpose and for what purpose the data division should not be used in this case. This is obviously not the case for intelligence services or other public bodies. That's really only for the purpose of anti-infectious disease control. That's razor-sharp and seamlessly displayed. There's really not a word of Spanish in there. Potential data provision from that app towards Google and Apple is not happening. That's what we've been testing. We had that code checked independently to make sure it doesn't happen. In addition, we signed with Google and Apple that this is not happening. Those are also the terms of use. If it were to happen by mistake, we would violate our terms of use, but so would they. That would be a breach of contract law. It's just... it's... it's... it's... it's... it's... it's... it's... it's... Moreover, Apple and Google's source code is available to the Commission and is being examined by the Commission on behalf of the EU Member States. I think that's what's really close.
ParlaMint-NL_2020-09-02-tweedekamer-6.u113	Good. Please continue.
ParlaMint-NL_2020-09-02-tweedekamer-6.u114	There is another amendment tabled by Mr Verhoeven and Mr Van der Graaf. That is a very complex amendment which I had to study. It says that personal data should never be traced back to the person concerned. You can of course first enter into a dispute about whether it is actually personal data or not. Anyway, once you've settled that dispute, it's obviously necessary that there's non-redirectibility. I have been told that the way in which the work process has been reduced corresponds to the legal provision proposed here. I would therefore like to leave the opinion on this amendment to the House. Then it is very clear that the IP codes are separated from the other codes, the TEKs and DKs used. Thus, there can never be any traceability to the person level. Ms Van den Berg referred to the Minister's statement that Google is going to modify the site consent notification in the next update and asked if the Minister can indicate when that will be changed and whether the national roll-out of the app can also take place if it has not yet been modified. In Android 11 this will be solved. That version is currently being tested. When that version is ready, it cannot be said at the moment, but as in the other ten EU Member States that preceded us, the CoronaMelder can simply be introduced nationwide. For Android and therefore for Google it has to be clear that that app doesn't know where you are. That app doesn't really know anything. It's actually quite a stupid thing. He doesn't know who you are or where you are. He doesn't know who you've been in contact with or where you've had contacts with. Actually, he doesn't know much. All he does is occasionally spout and exchange codes. They can at some point find that one phone was in the inside pocket of someone who was infected and that the other phone was in the inside pocket of someone who was very close to it. That's all!
ParlaMint-NL_2020-09-02-tweedekamer-6.u115	I didn't have any concern that the app would know that either. The conclusion is that the app doesn't know where you are, but Google still knows in these situations. So I thought I'd take care of that for a while.
ParlaMint-NL_2020-09-02-tweedekamer-6.u116	This is because of all the other apps that people freely install, which are less critical than this app, also in terms of data sharing and location facilities. Then there is Mrs van den Berg's amendment on interoperability and the digital international exchange of data. Especially in the border region it would be great if the German app and the Dutch app could talk to each other. These are also developed together, with them by Deutsche Telekom and with us more with a team in their own house. But they have the same technique. All exchanges have been made. It seems logical to me that we should do everything in our power to do so. I believe that the Council of State has also advised that provision to be made. That is actually what this amendment does. So I am also going to leave this amendment to the House's discretion. Mr President, I think I have answered most of the technical questions.
ParlaMint-NL_2020-09-02-tweedekamer-6.u117	I see Mrs. Van Esch. Has there been a question in this area?
ParlaMint-NL_2020-09-02-tweedekamer-6.u118	The question about the 57 hours and the update we saw this morning. I asked to what extent that is true and whether that can be confirmed.
ParlaMint-NL_2020-09-02-tweedekamer-6.u119	The question is about the update that undos the problem that you have to open your app all the time, isn't it? Yes. The CoronaMelder works on most Android phones that use version 6 or newer. Battery saving settings on some phones do not often check whether new codes of infected persons have been published. Bluetooth will then remain active, recording meetings on phones. Only checking the codes of infected persons on the server does not happen or with delay. This problem in technology is internationally known. There is also contact with Google for a solution. For now, if this is the case, it is advisable to open or update the app daily. But there has been an update this morning and there are still updates coming that would have to fix the problem completely. I think it's been fixed in most cases with that update this morning.
ParlaMint-NL_2020-09-02-tweedekamer-6.u120	I was wondering when the questions I asked about Apple and Google will be answered. They don't necessarily fall under the heading of technology. But I can wait a little longer, you know.
ParlaMint-NL_2020-09-02-tweedekamer-6.u121	I was actually assuming that I would have answered those questions myself. So I guess you'll have to mention them for a while.
ParlaMint-NL_2020-09-02-tweedekamer-6.u122	Then I will, because I have the impression that the questions have not yet been answered. I have made quite a big point of the fact that Apple and Google have actually determined the conditions under which cooperation is being carried out with the Netherlands and with the Dutch government and that they decide when the app can be turned off. What my group would like is that the Netherlands will simply make agreements with Google and Apple that the release of that app can happen, for example, at the request of the Dutch government. So the moment you, as the VWS Minister, think it's going all the way in the wrong direction and you actually want that app turned off, they have to listen to you. That's what it's supposed to be. This simply requires further agreements with Google and Apple. I would very much like the Ministry and the Dutch government to consult with Apple and Google to make clear agreements on this, including under what conditions, what conditions and how it is communicated to users. I'm saying I have a motion on this in my back pocket. I really think that's very important.
ParlaMint-NL_2020-09-02-tweedekamer-6.u123	Good.
ParlaMint-NL_2020-09-02-tweedekamer-6.u124	Let me get this straight. When it comes to working the API, it is built into Google and Apple's operating system. So that, on the side of Google and Apple, is the possibility to say or not to say: we will continue to do so. This app is of course a Dutch initiative. It is also up to the Netherlands to either leave that app in the appstore and offer it for use or to stop that app and its use. That's up to us. So what further arrangements would be needed?
ParlaMint-NL_2020-09-02-tweedekamer-6.u125	There are actually two things here. You got the app. That's what the U.S. Secretary of State is about. And you have the framework, that exposure notification framework that belongs to Apple and Google. That's theirs. But that app, of course, is completely dependent on that technique. And that's what they're about. The Christian Union very much wants us to have control in the Netherlands that that app can be deported regionally for our country, that the minister can make that request to Google and Apple, that they will follow it up and that we are not dependent on Apple and Google whether they feel like it.
ParlaMint-NL_2020-09-02-tweedekamer-6.u126	I think the Minister understands the question.
ParlaMint-NL_2020-09-02-tweedekamer-6.u127	I think so, but I still wonder if there's really a problem here. That framework is just a framework and you may or may not need it. That can or cannot be used by an app that uses it. Google and Apple have said that not market players but only governments can deliver apps that can use them. That's the deal we made with Google and Apple. We have a two-sided arrangement. The software can of course change in the operating system and therefore that API can be revoked by Apple and Google. And we can withdraw our app ourselves. If we withdraw our app, there is no app in the Netherlands that works on that API anymore. If Google and Apple withdraw their API, our app will no longer work. Can we also force a change in Apple and Google's operating system? I don't think so, which seems illogical, but it doesn't make any difference, de facto, to the situation you're describing. Because what you're afraid of is, suppose we think it's going the wrong way, but we won't get that changed. That situation cannot arise, because we can withdraw our app ourselves.
ParlaMint-NL_2020-09-02-tweedekamer-6.u128	Finally.
ParlaMint-NL_2020-09-02-tweedekamer-6.u129	The underlying concern and the focus that I place here is actually just control of the Dutch government. The Minister may withdraw the app, but the Minister just indicated that there could be all kinds of changes in that Apple and Google network. That is exactly another concern that I have placed here. We need to follow that closely. If that goes some way we don't want, then we need to be able to address Apple and Google. Those agreements are not in the terms accepted by the Dutch government. There will simply have to be further agreements on this. I can imagine that ministers at European level will talk about this with Google and Apple, but further agreements need to be reached.
ParlaMint-NL_2020-09-02-tweedekamer-6.u130	Yeah, I get that very well, because that has to do with the development side. So if Apple and Google would develop that API in a way that we would say "no, because then it no longer meets what we require, to we want at the level of privacy, security, protection or whatever," then you must have something to say about it. That is how the agreements have been made. When it comes to the view of the source code, we are moving in a European context in order to be able to monitor on that side what that source code looks like and what risks it might pose.
ParlaMint-NL_2020-09-02-tweedekamer-6.u131	Mrs Van der Graaf, your last comment on this point, because you have a motion and you also have a second term.
ParlaMint-NL_2020-09-02-tweedekamer-6.u132	Then I'll launch it here anyway. I think it's just important that you can also go a step further and that, if you want to take away the concerns that live with your residents about this, that framework can eventually go off your phone. So I'll come up with a motion and we'll talk about it in the second term. I really want to give an assignment to the cabinet.
ParlaMint-NL_2020-09-02-tweedekamer-6.u133	I had asked another question about the total relative uncertainty I have called 'cumulative uncertainty'. This shows that there are different parameters and that in all these parameters there is a small uncertainty. During the technical briefing it appeared that only at the point of distance it was admitted that there was 10% uncertainty, but this minister has to oversee the whole project. So I'd like to get another answer to the question: what is the total relative uncertainty?
ParlaMint-NL_2020-09-02-tweedekamer-6.u134	I don't think you can calculate that that way, but you're absolutely right that when you work with bluetooth there's always some uncertainty. What I understand is that the numbers are so that you could say 90% that is within 3 meters and that you could say 70% that is within 1.5 meters.
ParlaMint-NL_2020-09-02-tweedekamer-6.u135	This isn't what I'm talking about.
ParlaMint-NL_2020-09-02-tweedekamer-6.u136	What exactly do you mean?
ParlaMint-NL_2020-09-02-tweedekamer-6.u137	Before we continue for another fifteen minutes: that is only about the distance and we discussed it extensively during the technical briefing. That's obvious. But there are other parameters, and there are also uncertainties. For example, I refer to the PCR test.
ParlaMint-NL_2020-09-02-tweedekamer-6.u138	But that's another very different debate when it comes to the PCR test.
ParlaMint-NL_2020-09-02-tweedekamer-6.u139	No, that's not another debate. It's also about the duration. There are four or five different parameters and there are all uncertainties. The distance is clear. That's 10%, and that's a lot.
ParlaMint-NL_2020-09-02-tweedekamer-6.u140	Of course there are uncertainties, but there are always uncertainties. Not just through the app, we need to get these contacts on the screen. They're common in the human world, too. So the moment you have a contact investigation, there's also uncertainty: is it actually complete? Then there is also uncertainty about the question: are you sure it was and that that was the day you got that infection? So those uncertainties are always in the ordinary life. Can a test also have a false negative or a false positive result? Yes, of course, although the PCR test has enormous reliability, especially in the Netherlands, given the way we monitor it. Especially if you compare it with all kinds of quick tests, the PCR test has a huge reliability. But is there any chance of false positives? Yeah, there is. If you add all those opportunities and all the relativity together, then it could indeed be that there are contacts in the picture where it would not actually be necessary. That's right. That's true, but that's true at all. This is true in the analogue world, in the ordinary human world, and therefore also via the digital way.
ParlaMint-NL_2020-09-02-tweedekamer-6.u141	There's no point in this. This is a very strange excuse: because there are uncertainties in the great evil human world, you also have uncertainty here. No, that's not what I mean. I mean, there's a bit of uncertainty in all these different parameters. I want someone to oversee cumulative uncertainty. Apparently that doesn't happen, because in the big evil human world we always have uncertainty. Then it's really gonna stop. Then we have an app with a lot of uncertainties here, and apparently we are not interested in it, because something can always go wrong with a PCR test or distance. Fine, but let's leave it at that.
ParlaMint-NL_2020-09-02-tweedekamer-6.u142	Too bad, because I think it's pretty clear. There is also always openness about the fact that it is sometimes a statistical assumption. We know very well the reliability of the PCR test. That reliability is just high, so that's where the relative uncertainty plays a little less.
ParlaMint-NL_2020-09-02-tweedekamer-6.u143	Good. Thank you.
ParlaMint-NL_2020-09-02-tweedekamer-6.u144	With regard, for example, to source and contact research, that fifteen minutes is of course a statistical approach, because you can also infect someone in one second. So with those 15 minutes, you've got the bulk of the people infected. Hence the fifteen minutes and hence the 1.5 meters. That can also be 1 meter or maybe 2 meters, but within that 1.5 meter you really get the bulk of the potential infections. So you opt for a statistical approach. When you add up everything, you come to the conclusion that you might also come into the picture, when there's actually not a very good chance that you're infected. That's right, but you also know that you've got the bulk of the infections, and that's what it's about.
ParlaMint-NL_2020-09-02-tweedekamer-6.u145	I think you're done. Is that right?
ParlaMint-NL_2020-09-02-tweedekamer-6.u146	I think so, but I'm just checking to see if I've had all the amendments.
ParlaMint-NL_2020-09-02-tweedekamer-6.u147	No. That is a good question, because I believe that the amendment to item No. 8 not yet discussed.
ParlaMint-NL_2020-09-02-tweedekamer-6.u148	Is that the amendment on evaluation?
ParlaMint-NL_2020-09-02-tweedekamer-6.u149	It is an amendment by Mr Van der Graaf and Mr Verhoeven. That's been discussed?
ParlaMint-NL_2020-09-02-tweedekamer-6.u150	That amendment did, but I thought that the amendment on the evaluation period still had to be discussed. I would like to leave that to the Chamber.
ParlaMint-NL_2020-09-02-tweedekamer-6.u151	Okay. What number is that? I hear that's the amendment to item No. 8 is. I just mentioned that.
ParlaMint-NL_2020-09-02-tweedekamer-6.u152	That term goes from six to three plus three.
ParlaMint-NL_2020-09-02-tweedekamer-6.u153	If the MPs don't say anything, it's true. Or doesn't it make sense? Mrs. Van der Graaf.
ParlaMint-NL_2020-09-02-tweedekamer-6.u154	It is about the amendment to which the President refers. It's about the duration of the law, to shorten it to three months.
ParlaMint-NL_2020-09-02-tweedekamer-6.u155	Yes, that is the amendment in part No. 8.
ParlaMint-NL_2020-09-02-tweedekamer-6.u156	Yeah, exactly. I would like to leave that to the Chamber.
ParlaMint-NL_2020-09-02-tweedekamer-6.u157	Mrs. Van der Graaf looks very happy.
ParlaMint-NL_2020-09-02-tweedekamer-6.u158	I can also argue it very extensively, but perhaps that is not necessary.
ParlaMint-NL_2020-09-02-tweedekamer-6.u159	No, it's okay. Thank you very much. We actually had in the planning that it would take up to 15.45 hours, but we have now arrived at the second term of the Chamber. I am looking at Mr Hijink of the SP.
ParlaMint-NL_2020-09-02-tweedekamer-6.u160	Thank you, Mr. Chairman. This app we discussed today doesn't exactly have a happy history. I think everyone's agreed on that by now. In recent months, the SP has been rather surprised at how things have developed. The app had to be fed with steam and boiling water. The coalition even wanted to bring the Chamber back from recess to deal with it just a week earlier. That was strange, especially when you consider that at the end of June this minister gave the order to close the source and contact investigation. At the moment, the test capacity is not in order. At the same time, the SP Group thinks that speeding up an app that we still have to wait and see what it is going to do is a strange course of action. The effects of the app are unknown. It's an experiment in that respect. I hope the Minister will acknowledge that it is an experiment. When I look around like that, I find that nobody really wants to be in this app. We can see that, too. We're doing it because we hope it can contribute, but we have to wait and see if it will. If Mr Verhoeven has anything to say, I suggest he come to the microphone, then everyone can hear it.
ParlaMint-NL_2020-09-02-tweedekamer-6.u161	Well, so far, he's been very quiet about what he's done.
ParlaMint-NL_2020-09-02-tweedekamer-6.u162	We can keep it that way. Mr President, then the anti-abuse clause. I am glad that the Minister supports our amendment on that point. It is good that it is tightened up and that it becomes clear that compulsion and urge when using the app are absolutely forbidden. Finally, the testing. We've talked about that extensively. What happens when people get a report that they've been around someone infected? People get a call, and then what happens? What stings us is that the Minister does not make it clear that people can get a test at that time. The SP thinks that if you want people to use that app, you should also have something to offer. Not only support, but also the possibility to apply for a test. For the personal reassurance of people, but also to break the chain of infections as quickly as possible. That is why I would like to table the next motion, and that concludes me. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a notification via CoronaMelder after contact with a person infected with COVID-19 may have an impact on the recipient of that notification;]] [[Whereas the use of CoronaMelder can become more effective when people who receive a notification can also apply directly for a corona test;]] [[calls on the Government to extend the testing policy at the same time as the national introduction of CoronaMelder so that anyone who has received a notification via CoronaMelder can be tested for the virus as soon as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Hijink, Mr Sazias, Mr Kuik and Mr Buitenweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35538-14]]
ParlaMint-NL_2020-09-02-tweedekamer-6.u163	Mr. Chairman. Despite today's conflict, 50PLUS has confidence in this app. We also have confidence that everything has been done to ensure privacy. However, we do believe that we should work as quickly as possible towards the possibility of testing in case of a notification. That is why I have also warmly signed Mr Hijink's motion. I would just like to point out to the Minister that he says with great ease: you will only have to stay home for ten days. I hope he realizes that a lot of people can't afford it that easily. We think he should take that into account. Finally. Every bit helps. This corona app is not the solution, but all the bits help. We have to take all the things with us. Thank you, Mr. Chairman.
ParlaMint-NL_2020-09-02-tweedekamer-6.u164	Thank you, Mrs Sazias. Mr Van der Staaij has the floor on behalf of the SGP.
ParlaMint-NL_2020-09-02-tweedekamer-6.u165	Madam President. I would like to thank the Minister for his reply. I have already indicated in the first period that we are in favour, sympathetic to this bill, precisely because it wants to provide legal guarantees and to anchor the voluntary use of the app. We think that is a good thing. We also thank the Minister for his positive response to a number of amendments, including Mr Hijink's amendment which I signed with a number of colleagues. In this, we are formulating the anti-abuse clause even more broadly, in line with what was stated in the explanatory statement, namely that it is not just a matter of direct obligation but also of all kinds of indirect obligation. Thank you, too, for that positive attitude. If these amendments are adopted, the SGP Group will also support this bill. Thank you.
ParlaMint-NL_2020-09-02-tweedekamer-6.u166	Thank you, Mr. Van der Staaij. I now give the floor to Mrs Van Esch on behalf of the Animal Party.
ParlaMint-NL_2020-09-02-tweedekamer-6.u167	Mr. Chairman. Thank you to the Minister for answering the many questions we have asked. First of all, I would like to correct one point. Mr Verhoeven, but also the Minister, present this law as a technical matter. The law provides guarantees, and that's why you should be in favour of this law, but we see this legal treatment as the only chance the Chamber has of expressing its opinion on that app. If you ask me, you vote for this law if you're in favour of the app, but if you're against the introduction of the app, then you're voting against the law that's in place right now. If you say you're in favour of the law, but want to keep following the app critically in the next few weeks, you'll first put yourself out of business and hope to be able to influence you. That seems very unwise to us. Let's talk about the content. It bothers me that this minister is still so easily ignoring the social consequences this app may have. These social consequences have been highlighted by almost all parties and they have been explicitly called for, but the answer is that this would be "a useful tool" and "we will see it." "We'll just do it and see how it goes." I find that really worrying, because this app does have a lot more impact on society, and we really should not underestimate it. I also find it very worrying how the Minister ignores the lack of effectiveness of this app. Indeed, the only controlled environment in which we tested that app still shows that 59% of the notifications were wrongly issued and 27% of the people who needed to be notified were not reported at all. It's really not that all bits help if more than half of the bits are just wrong. I think we're just further away from home with this app. I would therefore like the Minister to give further thought to this, because we do not believe that this has been done sufficiently in the first period. I'm gonna wrap it up, 'cause I see my counter running. It's good to hear that there's still an update for getting those contact codes, but I still find it complicated that we're going to vote on an app tomorrow if we don't even know if this crucial issue has been solved. I think it is essential that we should know that by tomorrow. Is it true what was said this morning, namely that that error in that app will be corrected? And when will that mistake be corrected, because that can't really be the case? Thank you.
ParlaMint-NL_2020-09-02-tweedekamer-6.u168	Thank you, Mrs Van Esch. I now give the floor to Mr Van Haga.
ParlaMint-NL_2020-09-02-tweedekamer-6.u169	Thank you, Mr. Chairman. I've got a lot of time all of a sudden! I'm not used to that at all.
ParlaMint-NL_2020-09-02-tweedekamer-6.u170	It's very convenient for you to say that, because we're gonna straighten that out. Okay, continue.
ParlaMint-NL_2020-09-02-tweedekamer-6.u171	Yeah, now it's gonna be a whole lot less. No, seriously. I am still not confident that the overall relative uncertainty is in the picture and I do not believe that the Minister has understood what I mean by it. That's why we're making a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that uncertainties exist with regard to various parameters the corona app uses, such as distance, duration, contamination of the PCR test, i.e. obstacles and environment;]] [[Whereas it is important to know the cumulative uncertainty in order to establish the reliability of the app;]] [[calls on the Government to identify the cumulative uncertainty of the Corona app and to report back to the Chamber,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Haga and Mr Baudet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35538-15]]
ParlaMint-NL_2020-09-02-tweedekamer-6.u172	I had three minutes in my head.
ParlaMint-NL_2020-09-02-tweedekamer-6.u173	I know, but I'm doing two minutes by default.
ParlaMint-NL_2020-09-02-tweedekamer-6.u174	Then I have to...
ParlaMint-NL_2020-09-02-tweedekamer-6.u175	It's preemptive. Go ahead.
ParlaMint-NL_2020-09-02-tweedekamer-6.u176	Preventive? Ah! Thank you, Mr. Chairman. It has taken a while and I have also argued in my contribution that it is far from ready. Well, it's nice that this law is there now and that we've treated it now. I would also like to thank the Minister for replying here. But this is really different from a normal law. As I said, there is still a great challenge in the implementation to ensure that all this is done properly. The first phase will focus on unforeseen side effects, especially when it comes to source and contact research, testing and behavioural effects. I also think it's a little complicated to talk about "the effectiveness" of that app. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a notification application, the CoronaMelder, is being used in the fight against the COVID-19 epidemic;]] [[Whereas users of the CoronaMelder are sent an action advice which may affect people's behaviour;]] [[Whereas, for the first time in this way, a digital device is used in the control of a virus and this may lead to unexpected negative effects for the current regular source and contact research, the available test capacity and other unexpected negative behavioural effects among users of the Corona Melder;]] [[Calls on the Government to include additional criteria in the review protocol for the announced ongoing evaluation to allow the identification of the above-mentioned possible adverse effects of the CoronaReporter in a timely manner, so that they can be adjusted accordingly;]] [[calls on the Government to include at least criteria on the impact of the CoronaMelder on the policy and capacity of the regular source and contact research and on the policy and capacity of the testing, as well as on the test readiness and quarantine readiness in the first phase after launch, monthly monitoring and reporting as often as possible in the first weeks,]] [[and goes to the order of the day.]] [[This motion was proposed by members Middendorp, Van den Berg, Van Haga, Van der Graaf and Buitenweg.]] [[She's getting No. kst-35538-16]]
ParlaMint-NL_2020-09-02-tweedekamer-6.u177	Thank you, Mr. Chairman. Finally, I would like to inform the Minister that employers' phones may be theirs and that the answer to the question'may employers oblige employees to install or not to install them' may still be interesting from that point of view. But I would also like to take into account the point made by the Minister, namely that the purpose of this law and the anti-abuse provision is not to distribute as many fines as possible, but that it is about that standard and that it can be enforced. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas this bill to combat abuse of the Corona app introduces a new criminal offence for citizens and businesses;]] [[Whereas uniform, reasonable and appropriate enforcement of the anti-abuse clause is important for legal certainty and social support;]] [[Whereas the Government indicates that it is engaged in discussions with supervisors on how to maintain the new anti-abuse clause;]] [[calls on the government to reach agreements with supervisors based on the assumption that a possible offender of the anti-abuse clause will first receive a warning call, unless there is malpractice,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Middendorp and Mr Van den Berg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35538-17]]
ParlaMint-NL_2020-09-02-tweedekamer-6.u178	The essence of the law is that it must be very clear and that there can be no abuse. However, openings are now all being offered. I don't see them at the corona fines, by the way. That is a very high punishment that can be equally distributed. As soon as it's about a company, the VVD says we should take another look at that. It is crucial that we make it clear that it must not be abused. The judges or supervisors always look at proportionality. That's their job.
ParlaMint-NL_2020-09-02-tweedekamer-6.u179	Yeah, I agree. We also agree on the anti-abuse clause. I agree that the aim is to ensure that this is done properly in a uniform framework. I want the Minister to discuss that.
ParlaMint-NL_2020-09-02-tweedekamer-6.u180	I was glad we were going to a conclusion, but it doesn't look like we have. Mr Verhoeven and then Mr Hijink.
ParlaMint-NL_2020-09-02-tweedekamer-6.u181	Mr Middendorp has always said that he agrees with everyone on all the questions relating to the scope of his motion and the previous story about the imposition of fines. However, he submits a motion that clearly drips off that a company does not receive a fine when it does something. I think that's a little double. It seems like some kind of motion for a resolution, but in the Chamber he says: no, we all do not want that. The SP, together with Van der Staaij, has tabled an amendment which goes completely against this motion. This is a big deal. It's really going both ways now. I think that Mr Middendorp really needs to be clear about what he means by his motion. I just don't understand. I have the feeling that Mr Middendorp says: it should be a bit like that a company can get away with it if it is going to push a little bit. I do not like the packaging of this communication. That should not be the thrust of the motion, because then it really is not going in the right direction.
ParlaMint-NL_2020-09-02-tweedekamer-6.u182	It's not, but we're about to repeat ourselves. I also gave Mr Verhoeven an example last time. Then he also got the feeling that something was happening that he didn't like. The explanatory memorandum also refers to other digital means. That is very broad; that is a grey area. We need to be very sharp on that. It has to go well in enforcement. That is why I tabled this motion.
ParlaMint-NL_2020-09-02-tweedekamer-6.u183	Can I then ask whether the VVD still intends or intends to support the amendment we tabled together with the SGP, the Christian Union and the Animal Party?
ParlaMint-NL_2020-09-02-tweedekamer-6.u184	I heard the minister. It's actually lifting up a piece of the explanatory statement to the law. I looked at the amendment during the debate. I think it looks good. I think we can support that.
ParlaMint-NL_2020-09-02-tweedekamer-6.u185	But Mr Verhoeven has a point. You can't do both. You can't say on the one hand...
ParlaMint-NL_2020-09-02-tweedekamer-6.u186	Mr Verhoeven has already said that. You were only allowed to ask one question about the motion. I see Mrs Van den Berg at the microphone, but her name is under the motion if I understand correctly.
ParlaMint-NL_2020-09-02-tweedekamer-6.u187	Yes, Mr. Chairman, but I would like to say a few words. It is precisely a question of creating more clarity. All our support for the...
ParlaMint-NL_2020-09-02-tweedekamer-6.u188	No, no, no, Mrs. Van den Berg. Your name is under the motion.
ParlaMint-NL_2020-09-02-tweedekamer-6.u189	I thought it was a good addition by Mrs Van den Berg.
ParlaMint-NL_2020-09-02-tweedekamer-6.u190	No, I didn't hear that one. Thank you, Mr. Middendorp. I now give the floor to Mrs Buitenweg on behalf of GroenLinks.
