ParlaMint-NL_2020-11-05-tweedekamer-12.u1	The next item is the continuation of the EZK budget, including the National Growth Fund.
ParlaMint-NL_2020-11-05-tweedekamer-12.u248	I think thinking about averages is the problem. The average human has one breast and one testicle, but that human doesn't exist either. The average energy bill no longer exists, as was shown by Friday's figures. If you live in a very bad home, your energy bill will rise rapidly over the next few years, while you may be improving if you live in such a beautifully preserved home. The average is therefore favourable, but the people who are in those poorly isolated homes are seeing their energy bill rise. Suppose you don't have anything to do with it, and if you think it's socialist nonsense to help people in energy poverty, that's fine, I'm sorry, but that's fine, but then there's another reason, that's climate change. It is precisely when we put those worst homes first and invest money in them that the Minister also makes a lot of climate gains. Then he also makes sure there are a lot of jobs. If you think my story is bullshit, at least listen to that side.
ParlaMint-NL_2020-11-05-tweedekamer-12.u249	I do like that side of the coin, because the houses that Mrs Beckerman is talking about will, to a large extent, also be found among the corporation houses. Those are also houses with shiny walls and here and there with only glass. It also pays the most to start with. In my opinion, this is exactly the starter engine that my colleague Ollongren is doing, with all the experiments and test areas and all. And that's exactly what we need to do. It's just this kind of housing that we need to isolate quickly. Preferably, this collective will be dealt with in such a way that other heating systems will be included. That's what I think. I don't have much to do with that.
ParlaMint-NL_2020-11-05-tweedekamer-12.u250	The average is the average across all households. Last year we had a discussion on this too. On the contrary, the average does not apply to older people who use much more gas than average and use much less electricity than average. This is because they are a more home and b have fewer devices. They were less helped by the compensation and more affected by the increase in the gas part. I can see that this is still being denied, because that is not in the plans and that is in no way in the repair. In the case of taxes, the old-age discount is much lower than the employment discount. I would ask the Minister what he thinks he is doing about this problem, because these older people are part of the group that has to do with energy poverty. The temperature that older people need is higher than the temperature that ordinary workers need. As a result, it is the elderly who need a warmer house, who notice that a gas load is killing them anyway.
ParlaMint-NL_2020-11-05-tweedekamer-12.u251	If you have shifts between gas and electricity, it affects different types of households in different ways. That's right. But also for the elderly, it must have been noticeable that there has been a shift in the ODE in a way that reduced the burden on households in general, including the households of the elderly. The measure adopted at that time, the ODE shift, has been good for everyone, for every household. I believe that there were certain very special households, including large households, which were not the case. But the reduction of the ODE for households has certainly also contributed to older people. It is true that it is complicated to design a policy for each specific target group separately. And that's why it's so important that, when you add up all these policies, you look at purchasing power afterwards. In addition, the elderly form a separate category that is being looked at.
ParlaMint-NL_2020-11-05-tweedekamer-12.u252	However, the separate energy consumption of older people is not mentioned separately in the calculation of purchasing power effects. 'Cause then it's all gonna go on. Then it's about the averages again. So it is not about the specific higher gas consumption and the lower electricity consumption. That's my point. That has not been remedied, and that has still not been remedied. That affects people directly in their wallet.
ParlaMint-NL_2020-11-05-tweedekamer-12.u253	It is true that the precision of purchasing power plates also knows its limits. I totally agree with Van Otterloo. Not a bad word about that. He's right about that. But the degree to which we are very precise also knows its limits. It remains that the ODE reduction that has been made for households has also been a windfall for many older people and not a setback.
ParlaMint-NL_2020-11-05-tweedekamer-12.u254	Please continue.
ParlaMint-NL_2020-11-05-tweedekamer-12.u255	Then there's an amendment.
ParlaMint-NL_2020-11-05-tweedekamer-12.u256	In part No. 11, or in part No. 12?
ParlaMint-NL_2020-11-05-tweedekamer-12.u257	That's a great question. From Mr Sienot c.s.
ParlaMint-NL_2020-11-05-tweedekamer-12.u258	In part No. 12. That was the amendment in part No. 10.
ParlaMint-NL_2020-11-05-tweedekamer-12.u259	Yes, the amendment to item No. 12. This amendment actually calls for the opening-up of the postcode rose subsidy scheme to increase the commitment budget from 37 to 100 million and to finance it from the SDE. Well, there's a lot of cheering about that. I would like to give a sympathetic response to this, but I cannot escape a package leaflet. I have to make some comments on this, but you already have the goodwill. I'm not blocking this either. Two things. It is true that in the Climate Agreement, with all those parties at the table, we have set our sights as cost-effectively as possible. If you take a euro from an effective instrument and transfer it to a less effective instrument in itself, you have a reduced yield. Here it even saves to a factor of two. That means that for every ton you get out of here, you get half a ton of reduction for that. We can't keep doing that indefinitely. I understand the sacred purpose of acceptance. Once again, I am sympathetic to this, but we cannot continue to do this, because it is going to be more expensive and not cheaper. Eventually, more expensive isn't more fun. The second point was that the rams on the side of the department thought that the existing amount was sufficient. Now there are different signals about that. We're picking up all these signals. We also notice that there are parties that send different signals to different sides. I'm not gonna pretend to have the truth and the wisdom in rent. I note that there are different views and signals about that budget. In the end, this is related to my general point. I keep seeing again and again with all kinds of specific climate measures why it is socially attractive, but too often it is really my concern that they ultimately affect the target range or make it less cost-effective. I am fighting hard here for a higher purpose and lower costs, but the proposals I get point twice in the opposite direction. But nevertheless, I understand the goal of acceptance. Given the uncertainties in the budget and the different signals, I am giving this amendment judgement Chamber. But what we shouldn't have is what I'm going to do and now I'm going to come back to a common goal. If there were any real budget left in this scheme, it would not fall under the system of the SDE, in which it is retained for the purpose and passed on, but in which it falls to the state treasury. This means that 'Kamer's judgement' means that I can make the agreement with this Chamber that I will have the room to adjust the estimate of the cash expenditure for that scheme during the year if there is reason to do so and the question does not reach the level at which it is now anticipated. The appropriate time for such possible adjustment shall be the Year's Note only if it occurs. It can't be more than a legislative change. At that time, I am obliged to answer for that and to report to this Chamber why I think it is necessary. An amendment to the law is always possible, so the Chamber is at the wheel. Then I am counting on the common interest in that autumn to return any excess funds to the state treasury and to lose them for this purpose. This is not at the expense of the opening budget. If the amendment is adopted, it will remain 100 million. This is available until the opening of 2021 closes. Everything is honored to that extent, but the adaptation of the cash release is a technical exercise which is necessary to ensure that the resources that may remain unspent are not lost. With that agreement, I would like to give this amendment 'judge chamber' and see it become law.
ParlaMint-NL_2020-11-05-tweedekamer-12.u260	Mr Sienot, you have one and a half more interruptions, I will give you a moment, because Mr Verhoeven has also caused an interruption.
ParlaMint-NL_2020-11-05-tweedekamer-12.u261	On a point of order, Madam President. We had four times two. Mr Verhoeven has two and I have two. I've repeated one of mine. That was about hydrogen. The Minister came back to that later. So we've both done two interruptions once now, cold-heartedly.
ParlaMint-NL_2020-11-05-tweedekamer-12.u262	I've been keeping track of them, and I'm telling you, you have one and a half more interruptions. So you just need to ask your question right now. Go ahead.
ParlaMint-NL_2020-11-05-tweedekamer-12.u263	I'm increasingly curious about the question.
ParlaMint-NL_2020-11-05-tweedekamer-12.u264	The question.
ParlaMint-NL_2020-11-05-tweedekamer-12.u265	Bring it on.
ParlaMint-NL_2020-11-05-tweedekamer-12.u266	I agree with this approach. What appeals to me is the care and search for the most sensible way of dealing with community money. That is why I am so surprised that Enco's report was sent, which contained all sorts of assumptions about costs, which contained very wrong assumptions about costs and also wrong prices. I welcome the fact that yesterday there was a letter saying that nuclear energy can play a role and that it can play an additional role in the light of the sun and the wind. Well, at least that's what we have with each other. The VVD confirmed that yesterday. But that report that was sent out would never have come through quality control by the minister in his McKinsey time. Why does the Minister keep defending that report all the time? He agrees with us that we should do this as carefully as possible. Precisely the choices about this puzzle, which Mr Harbers was right to refer to, which we should make until 2050, must be careful. Then it is very important to deal with this as well as possible, that reports on it are beyond any doubt and that we avoid spending billions on a plant that may not be necessary or ever come to an end. That was my question.
ParlaMint-NL_2020-11-05-tweedekamer-12.u267	That nuclear should play a role alongside sun and wind is already part of the report. Apparently, the researchers have taken that as a premise, because they have adopted all kinds of different variants for that. So that could never have been a point of discussion. I've been with the supporters, but that doesn't mean I've ever been with the opponents of sun and wind. Mr Sienot has no reason to think so. That's the point we need to park, because that's not a new finding. I do not agree that anything would be wrong with the report, but I do not agree with the fact that I will continue to defend it. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, It's based a report on all kinds of sources. Fortunately, there is always discussion between scientists about anything and everything. I do not want to side with or defend myself in any way. So I honestly do not see that there is a difference of opinion between Mr Sienot and me. I am not on one side, so there can be no difference, in which I am fighting Mr Sienot. Apparently, he has a private opinion on this. I would like to invite him to do so earlier in order to allow scientists to comment on science and to discuss it with each other. We shouldn't do that through this room. However, it is his choice. I've received a motion from the Chamber. I've had an investigation done, which amounts to a literature study. This has led to a report and everyone is free to discuss it. By the way, there has been a follow-up motion in the Chamber, asking specifically for the Netherlands to see if there would be any enthusiasm for it and, if so, under what circumstances. I'm gonna do that properly.
ParlaMint-NL_2020-11-05-tweedekamer-12.u268	You still have a lot of interruptions.
ParlaMint-NL_2020-11-05-tweedekamer-12.u269	But that's for my colleague.
ParlaMint-NL_2020-11-05-tweedekamer-12.u270	I'm out of points.
ParlaMint-NL_2020-11-05-tweedekamer-12.u271	Fantastic. I'll see if anyone else has a question. Yes, you may stand still for a moment, Minister, because Mrs Beckerman would like to devote her last interruption to this.
ParlaMint-NL_2020-11-05-tweedekamer-12.u272	I think I can put it in one question. I asked about Onyx, the coal plant. I had an answer to that in the written reply. It's about the staff there. At the closure of the coal power station Hemweg an appointment has been made, the Westhavenarrangement,...
ParlaMint-NL_2020-11-05-tweedekamer-12.u273	That's right.
ParlaMint-NL_2020-11-05-tweedekamer-12.u274	...for everyone in the coal chain, so for everyone involved in that power plant. My question was very specific as to whether the chain is also involved in the closure of the Onyx and not just the employees of the plant itself. In writing, the Minister is only going into the plant, but we think it is very important that the people in the supply chain should not suffer from the closure either.
ParlaMint-NL_2020-11-05-tweedekamer-12.u275	That's a good question. I think we have the agreement that the Westhaven arrangement will be linked in terms of design. Most of the time that sat in it came from colleague Koolmees. He took control of that. Once I was deep in the Westhaven arrangement, but I don't know exactly what it was like at this point. I must therefore remain guilty of the answer to that question. I will ensure that I have an answer to this in the second term. I get the question.
ParlaMint-NL_2020-11-05-tweedekamer-12.u276	Fine. We're gonna take it easy. I'm suspending the meeting for seven minutes so our messenger service can do this neatly.
ParlaMint-NL_2020-11-05-tweedekamer-12.u277	I'd like to give the floor to the Secretary of State.
ParlaMint-NL_2020-11-05-tweedekamer-12.u278	Thank you, Mr. Chairman. In the history of the Netherlands there are many years in which things have been going on fairly well. For the past year, it hasn't. There's been an unprecedented crisis. The covid virus has put a lot of people in a dark scenario. Newly graduated young men and women can hardly get jobs, even though they have learned so hard to do so. Students are having trouble finding an internship. Hardworking entrepreneurs have had to say goodbye to their life's work or a great passion they've been working on for years. I have had a lot of intensive discussions over the last few months with individual entrepreneurs, from self-employed to large companies, and their representative trade associations, especially in order to come up with solutions and financial support for them in these difficult times. Think of catering, events and fairs. I say to Mr Graus that I and many of my colleagues in the Ministry of Economic Affairs continue to hold these talks. And that is only the economic pain of this period. Let alone the final goodbye people have had to say to grandpas, grandmothers, fathers, mothers, brothers and sisters. Health is a big good. That's what it turns out to be. At the same time, this is what future prospects, jobs, prosperity and, consequently, well-being are. Health and economics are not opposites. They are inextricably linked. They can't live without each other. Today we are discussing the budget for Economic Affairs and Climate Policy. In short, this is about the plans for sustainable economic progress. We are not coming out of this crisis if we simply wait for better times. We must take action and innovate and invest out of the crisis, together with workers, the labour force, entrepreneurs and, of course, the Cabinet and the Second and First Chamber. It will certainly take time to restore the economy, our prosperity and our well-being, but we do have all the conditions in place: excellent digital and physical infrastructure, good schools and universities, brilliant scientists, golden hands and creative entrepreneurs who have Dutch solutions for global challenges. And, not to mention, the Dutch mentality of tackling and being open to new technologies and new products. These are crucial conditions in this economic crisis period. I now come to a number of issues that I will focus on in the following areas: innovation, small and medium-sized enterprises, digitisation, competition and consumer affairs and European funds. Since there has been a whole day of debate last Tuesday on the aid and recovery package for all entrepreneurs affected by the COOVID-19 crisis, I will not speak about it, although it is very important to me. However, in order to limit today's debate somewhat, I choose to do so with your agreement. I'll start with innovation. Whoever you are, whatever you do, innovation makes your current work easier and leads to new jobs. Recent research shows that start-ups account for 190,000 jobs, including 27,000 new jobs over the last three years. Scale-ups grow tremendously fast and also take on many people. More than ever before, as a cabinet, we are actively investing in innovation and the preservation and expansion of ecosystems. I am therefore very pleased with Mr Verhoeven's enthusiasm on this point. I share his view of the importance of innovation now and in the future. That is what we are working hard on, cabinet, companies and knowledge institutions. We're actually quite successful at that. For the first time, we are the most competitive economy in Europe and the fourth in the world, according to the Global Competitiveness Index of the World Economic Forum. But that is not the only list in which we are in a good position. According to the Global Innovation Index and the European Innovation Scoreboard, we have only increased in recent years and are among the world's top. We want to consolidate and improve these positions. That's what we do on multiple fronts. For start-ups, we want to remove all kinds of bottlenecks, together with partners like TechLib. But I also want to emphasise here that innovation is not just a matter of start-ups and scale-ups. We can't live without the big companies. Think of the ecosystems around ASML and NXP in Eindhoven. That's not the only thing. Quantum technology also accelerates cooperation with Microsoft. Smart Photonics is a combination of small companies and large companies. In the field of AI, artificial intelligence, there is good cooperation with IBM. So I think it's good to stress every time that just the combination of good-looking heads, golden hands, start-ups and big companies makes us do as well as country in terms of innovation. But that's not something that stays on its own. Last week, we sent a cabinet strategy to the Chamber, "Improving research and innovation ecosystems," in which we emphasise the importance of these ecosystems and indicate how we can strengthen them. In the field of start-ups and scale-ups, a letter was sent to the Chamber last year, with a tightening up of policies and additional investment, adding 65 million. And very recently, of course, the vision of the manufacturing industry, which the Minister has already said a great deal about. Innovation therefore generates income in addition to jobs, for the Netherlands in general and for entrepreneurs. It also contributes to solving societal issues. The Dutch innovation philosophy is laid down in the Dutch top sector and innovation policy. Of course, I think that the combination of innovation policy and societal issues is the inspiration for other countries in Europe and for the European Commission. Whether it really is, you can disagree on that. But every time I talk about competitiveness and competitiveness in Europe, in Brussels, that is the pride that gets me. Mr. Chairman. One billion we added last Princess Day to support innovation. 250 million euros in start-ups and scale-ups. Invest-NL added such a sum. More money goes to the regional development companies: 150 million. The Seed Capital scheme for investment in start-ups, together with private investors: 32 million now and 20 later. Investing in entrepreneurs with a smart idea. Raising the Wbso, the Research and Development Promotion Act, which is Dutch for R&D, Chairman. Investment in key technologies: 33 million. Co-financing in EU programmes aimed at regional development of 255 million. And a contribution to a private fund to be set up to recapitalise medium-sized enterprises: 300 million. Finally, all the work done in retraining workers. That is very concrete for my budget 38 million, but the letter of aid and recovery contains a lot more money to ensure that we have a workforce trained to do that job. Mr. Chairman. We know from previous crises that investing in innovation in a timely manner is a prerequisite for success if the crisis is to be resolved properly. The Growth Fund is an example of this, but enough has already been said about it and it will be discussed later. Mr Stoffer is in the mood for this debate, as I have just noticed, and I think that is true of all of us. Mr. Chairman. Then I come to small and medium-sized enterprises. That is the foundation of our economy. Seven out of ten Dutch people are employed by small and medium-sized enterprises.
ParlaMint-NL_2020-11-05-tweedekamer-12.u279	Before you take that step-over, I give the floor to Mr Wiersma of the VVD.
ParlaMint-NL_2020-11-05-tweedekamer-12.u280	The Secretary of State went so fast, but I wanted to ask you about innovation. It is true: we are very good at that. In response to the factual questions, the cabinet says that we are very good at developing that knowledge, but at the same time, when using that knowledge, we actually need to make a little bit of progress. Yesterday, I mentioned some examples of bottlenecks in legislation and regulations, for example. Sometimes it is rather complicated for a certain innovation to manage that something can be tested or that a small pilot can be started. For example, I mentioned SkinVision, which helps to detect skin cancer with algorithms. But they cannot immediately receive patient data in hospitals, because they then run into all kinds of rules, even if patients would like to participate themselves. The Secretary of State refers in the written set to a reporting point rule pressure. But that's not specifically about innovation. Could she see if she can add very specific innovation to that, so that we can help the start-ups that run into things like this a little bit better to get things done? Then they don't think "well, never mind," or "I'll go abroad to do this."
ParlaMint-NL_2020-11-05-tweedekamer-12.u281	Absolutely. The "laws and practical objections" from Elsschot's poem have been passed here several times. This was then on another subject, but we too must look at laws and practical objections. Mr Wiersma speaks in general about valorisation. With the OCW budget, that's called impact. That's simply about the question: how do you make a company of a brilliant idea that you have as a scientist, so that we all reap the benefits of it. That is what a comprehensive policy is for. Together with the Minister of OCW, we sent a letter on this subject and it is very well known to Mr Wiersma. If there are these kinds of obstacles, I would really like to say: please report, to remove these kinds of obstacles. There are all kinds of places where this can be done: at such a hotline, but certainly also at the Ministry or via Techleap or RVO. Otherwise, it's a waste forever. If you have a fantastic idea against something that can be solved, it just needs to be solved.
ParlaMint-NL_2020-11-05-tweedekamer-12.u282	That's very nice and right. I think it would be helpful if we could look again specifically at the reporting point called the Secretary of State, that of the RVO on the regulatory burden. When I look for it, it's kind of complicated to think as a start-up: hey, that's in my interest when it comes to innovation. Even as a room, it's hard to know what you're up against. Could the Secretary of State see if we can shed more light on specific innovation there, so that we can help start-ups knock on the door?
ParlaMint-NL_2020-11-05-tweedekamer-12.u283	Yes. Let me be brief about that. With every entrepreneur who reports with a rule he breaks, we need to see if we can solve that. Mr. Chairman. Then I will continue with SMEs, small and medium-sized enterprises. Then I can say again that that is the foundation of our economy. You can't say that enough. For them, it's been real survival in the last few months. We helped them with a lot of support. In this debate, it has mainly been about whether we support them sufficiently in the area of lending. What role do banks play in this? Are the arrangements that we have put in place for this? Yes, Mr Öztürk, absolutely. You spoke about this, in addition to Mr Amhaouch. Proposed: Smaller companies mainly finance themselves with equity capital, with retained profits. Where they do seek external financing, they are mainly bank oriented. In the financial monitor, which appears regularly, you can get information about this. In that you can see that about half of the companies with a financing need also find it. 40% of companies find them in banks. There are many factors that play a role in bank lending to small businesses. Access to finance for small and medium-sized enterprises is clearly necessary. It is true that banks provide less loans of up to €250,000. This development has been used before. That is exactly why we want to broaden the funding market to other providers, where Qredits is one of them. In the non-bank segment, there is a significant growth in loans up to €250,000. In addition, the equity of small and medium-sized enterprises has deteriorated in times of crisis. Of course, that makes sense. If your company is not doing so well, of course you are looking, especially in small businesses, at your own savings. That is why, from the Corona Recovery Plan, we are committed to strengthening the solvency position of small and medium-sized enterprises with, for example, the strengthening of the regional development company's capital, the increased reduction in fixed charges and the reduction in the entry rate of the VPB. I therefore believe that we should not stare blindly at the low use of the Small Credit Corona scheme, the GO scheme and the SME scheme. That's not an end in itself. Banks, in total, have provided over 28 billion in funding, without these government schemes. Now they have done so for 1.7 billion with these arrangements. Only the KKC and the GOC are underutilised. However, it is important to make these guarantee schemes available, especially if the covid crisis continues. That is why we have also announced that these arrangements will be extended, and we have also budgeted guarantee space for them. Mr. Chairman. Then back to small and medium-sized enterprises, the entrepreneurs.
ParlaMint-NL_2020-11-05-tweedekamer-12.u284	First, I give the floor to Mr Öztürk of Denk.
ParlaMint-NL_2020-11-05-tweedekamer-12.u285	After three years, the big word finally comes out: the big banks do not want to finance small businesses anymore. I've been calling this here for three years. For the big banks, a loan of up to €250,000 doesn't yield anything either. Account management must be rigged and all investigations carried out. They're just pushing the little entrepreneur aside. Maybe that's just worth a conversation. I have been asking the Secretary of State and the Minister for many years: what do they do for the small businessman? I think about the Qredits story, with 8.75% interest. I'll get back to that. The banks are dumping the little entrepreneur. People then have to go to Qredits, who charges 8.75% interest. The Secretary of State answers me that this is a market-based interest rate, because it is actually even higher in practice. I would therefore like to ask the Secretary of State if she can call me banks or other bodies asking for a higher interest rate than 8.75% to give credit to small businesses.
ParlaMint-NL_2020-11-05-tweedekamer-12.u286	First of all, I come to the interest rate of Qredits. We have already had this debate here once, in my view, during last year's budget debate. I said what I'm going to say now. The interest rate at Qredits has been reduced because of the good operating results at Qredits. In addition, that interest rate is not only the remuneration for the credit granted, but also for the service provided by Qredits. It's just not up to me to decide what an interest rate should be. Then there is Mr Öztürk's comment that banks are not doing anything for small and medium-sized enterprises. I've just said the following, so I'm falling into repetition. If you look at the Financing Monitor, you can see that just over 47,000 companies are reporting. Eventually, a lot of companies get the funding, of which 40% is a bank loan. So I will not say that an average SME is the first to expect funding from a bank. I hear those stories too, but at the same time 40% still find that loan with the banks. We have to be critical when something goes wrong. That is your job, by the way, and you must be critical. But to pretend that nothing is done by banks is not justified either.
ParlaMint-NL_2020-11-05-tweedekamer-12.u287	We've had this discussion before. Then who are those 40% people? Those are just companies, multimillionaires, big companies where for years with low interest rates... I showed you the numbers here. The moment you ask for 10 million euros of credit, there's only a 1% chance you won't get it. The moment you ask for €250,000 credit, there is a 40% or 50% chance that you won't get it. Those numbers are there. We are constantly talking about figures of EUR 28 billion. Those are the multinationals. The Quote 500 has shown that the billionaires have become even richer. So we have a division in the banking world. Small businesses aren't getting anything. The multinationals are getting richer and richer, with lower interest rates. The small starter, about which you talk with beautiful words, has to pay 8.75% interest. A multinational that receives EUR 10 million of credit only pays 1% or 2%, while we, as a society, receive less interest from the same bank. You just have to be honest about that and talk to those banks.
ParlaMint-NL_2020-11-05-tweedekamer-12.u288	I'm repeating myself. Please check out the Financing Monitor 2019. Of the 47,300 companies with a financing need, 22,700 eventually find funding. 84% of these are small and medium-sized enterprises. 40% of companies that find finance find this in a bank in the form of a loan. It is right to say that fewer loans under €250,000 are provided by banks, absolutely. However, it is not the case that this does not happen at all.
ParlaMint-NL_2020-11-05-tweedekamer-12.u289	A brief word, Mr Öztürk.
ParlaMint-NL_2020-11-05-tweedekamer-12.u290	Again, I understand that it is difficult to address large banks, because they have a powerful position in the Netherlands. I know, but you still have to do it. However, you must have the courage to appeal to the banks for the small entrepreneur, for the starter, for our economy and for family businesses. You must appeal to the banks not to forward people to Qredits by 8.75%, but to give people a credit for 2%, 3% or 4%. We are almost the worst lenders in Europe. We have been for years, and that is why I would like to ask the Secretary of State once again to show courage, to talk to the banks and to change this.
ParlaMint-NL_2020-11-05-tweedekamer-12.u291	I don't think I'm known for being scared. In addition, from the cabinet Mr Wiebes, Mr Hoekstra and my person have already had two talks with the banks. We have said in those talks: you are now being given wider opportunities to grant loans through the SME-C and the KKC. I just said the abbreviations in full, Mr. Chairman. And so do the banks. It's being used and so... I understand that from Mr Öztürk's position it is better to say that things are not going well at all, but the facts simply indicate that this is not correct. Furthermore, we will soon be talking to the banks again to remind them of the guarantee schemes that exist and to encourage them to do so.
ParlaMint-NL_2020-11-05-tweedekamer-12.u292	Please continue.
ParlaMint-NL_2020-11-05-tweedekamer-12.u293	Then the entrepreneurs themselves, Mr. Chairman. In recent years, the SME Action Plan has led to additional support in many areas. It has led to valuable collaborations, better legislation and regulation and appropriate services. I am thinking, for example, of the SME deals that encourage initiatives and projects for entrepreneurs through regional authorities. Mr Van der Lee asked me about the transitions. For the answer to that, I would like to confine myself to the transitions in the area of digitalisation. For this purpose, small and medium-sized workshops have been set up throughout the Netherlands, in 11 places to be precise. These workshops are aimed at digitisation and there smaller entrepreneurs and medium-sized companies are just very practically helped with online sales, online marketing and the use of data. We do so so that they can finally take that step towards the digital economy, which is going to be irreversibly there. We have 45 field labs in the Netherlands for industrial companies and 600 companies are affiliated. 6,000 students have been involved in this since 2015 and 22 new companies have emerged from it. Through the Technics Pact, we improve the integration of education into the labour market in the engineering sector, so that entrepreneurs can find the same staff. SMEs!dee is another way of helping entrepreneurs find innovative solutions to training issues, so that we can take another step towards that economy of the future. Mr. Chairman. The transition of small and medium-sized enterprises in the area of sustainability and digitalisation is extremely relevant, as I hear Mr Van der Lee's question to remain economically competitive in the future. Mr. Chairman. Renew, adapt and become more productive: that is what an entrepreneur should always do, especially at this time. It should mainly be part of the daily repertoire. Through the SME Action Plan, I wanted to support them from the outset. I keep doing that, in times of prosperity and in times of adversity! Mr. Chairman. Then I come to the block of digitization. I have just said a few words about this in response to Mr Van der Lee's question about the transition. That is indeed of the utmost importance. There are opportunities for additional jobs and income here, which will ultimately make our digital economy fairer, and I think that is absolutely also a subject that we should focus on, but also make cybersecurity more secure.
ParlaMint-NL_2020-11-05-tweedekamer-12.u294	Secretary of State, there is another question about the previous block, because Mr Van Haga is coming to the interrupting microphone running.
ParlaMint-NL_2020-11-05-tweedekamer-12.u295	In my view, I would still have an answer to the question about increasing the regulatory burden, where SMEs in the Netherlands had calculated that 1.15 billion additional rules on SMEs had been paid out every year. That is extremely exhausting and I was curious to see what we were going to do about it and how it could have come to this.
ParlaMint-NL_2020-11-05-tweedekamer-12.u296	What we are going to do about it is also a bit of a question of what we have already done about it. When this cabinet took office, it was explicitly decided not to take any more regulatory pressure just in a calculation. Precisely because of concerns of entrepreneurs themselves, it has been chosen to move from a quantitative approach to reducing regulatory pressure to a qualitative approach, so that there is actually significantly less or better regulation. We do that in all kinds of ways. The Van Straalen Committee is looking at existing rules. We have the SME test, which tests whether new legislation is needed, whether it is possible to do so. We actually do that with entrepreneurs themselves. We have ATR, the college that also reviews new regulation as part of the legislative process. That is what we have done very specifically, and I think that the latest progress report has just been sent to the Chamber, or it will come soon.
ParlaMint-NL_2020-11-05-tweedekamer-12.u297	That is of course very good news and it is nice that it is all noticeable and qualitative and perhaps not very quantitative. But then I am surprised that SMEs in the Netherlands say: despite these fine words, we have gone up the beet bridge at 1.15 billion a year.
ParlaMint-NL_2020-11-05-tweedekamer-12.u298	I will not deny that there is a regular need for new legislation, which immediately affects entrepreneurs and which they must introduce into their daily operations. I haven't been able to check the math. I think this plan of the week or the end of last week has been presented. But the fact that we live in a rule of law and that we have a legislative power that makes new rules, or that we do so within the cabinet, is obvious. This is often done on the basis of a social need. What we need to do is to ensure that this regulation is not unnecessary, that the rules do not contradict each other and that they are enforceable. We need to pay attention to smaller entrepreneurs. For a large company, it is often many times simpler to introduce new legislation than for a smaller company. That is what my policy has focused on in recent years.
ParlaMint-NL_2020-11-05-tweedekamer-12.u299	As the Secretary of State says, of course, it's beautiful. I wish it were. Apparently, the Secretary of State hasn't fully calculated the 1.15 billion. Perhaps we can agree that she will look at that again and then show us that the regulatory pressure has not only been reduced qualitatively, but also in some way quantitatively. Because I do not think that SMEs will benefit as much as they will improve their quality, but they will save 1.15 billion a year in quantity.
ParlaMint-NL_2020-11-05-tweedekamer-12.u300	I think your agenda is about to say...
ParlaMint-NL_2020-11-05-tweedekamer-12.u301	November 18th.
ParlaMint-NL_2020-11-05-tweedekamer-12.u302	On November 18th, an AO is scheduled on control pressure. Then Mr. Van Haga can go free. Mr. Chairman. I had arrived at digitization. There's a lot to say about that. In general, I would like to refer at least to the Dutch Digitisation Strategy which fellow State Secretary of BZK, the Minister of Justice and Security and my person sent to the Chamber on behalf of the Cabinet. That is a rolling agenda, in which we look at each time whether it is up-to-date or deserves to be adjusted. For EZK, for me, the focus over the coming period is on scaling up, stimulating, well embedding data sharing, ensuring that the excellent digital infrastructure that we have is perpetuated, making digital connectivity even better by auctioning frequencies, for example, cyberware and investing in key technologies such as artificial intelligence. The development of AI has a special role to play. It's always a bit of searching, because AI stands for Artificial Intelligence, but in the Netherlands you say "artificial intelligence." For convenience, let's keep the international abbreviation: AI. Last year, the Strategic Action Plan for AI (SAPAI) saw the light of day. Of course, you will also find the attention for AI in the growth letter, which is ultimately also the foundation of the Growth Fund. This is about economic opportunities, about prosperity and well-being in every sector. We have to participate on the world stage, and we can. As I said, we have an excellent starting point for this, for example in the field of quantum technology. The prominent position of the Netherlands in the field of quantum technology is recognised and recognised worldwide. Here too, as I said, there is yet another cooperation between large companies, small companies and scientists. These are pioneers in the development of quantum internet and quantum algorithms and act as a magnet for global business investment and talent that wants to come here. The prophecy is yes, the billions are going to blow your mind that over the next twenty years this will grow to over 65 billion US dollars and that the market will be around 300 billion dollars worldwide in 2050. There are days when I don't have it in my pocket. This leads to many jobs. Research shows that by 2023, quantum will create 2,000 jobs for us as a country. But I would like to emphasise that there are 500 mbo-jobs. This is not only good for those who are highly educated, but also for those who have some practical training in the MBO. The National Agenda Quantum Technology ensures that we can stay ahead in the Netherlands and reap the benefits of it. So this is really being done very much in cooperation with all the actors mentioned. Finally, it is also good to mention that through the Digital Trust Center we are also trying to ensure that cybersecurity is not only given the attention that the subject deserves, but also to small businesses. Mr. Chairman. Then there is competition and consumer policy.
ParlaMint-NL_2020-11-05-tweedekamer-12.u303	But there are still questions about this. Mr Van der Lee or Mr Verhoeven. First Mr Verhoeven? Fine, I don't care. You gave each other priority, I saw. Chick the fiddle. Go ahead.
ParlaMint-NL_2020-11-05-tweedekamer-12.u304	What did you say?
ParlaMint-NL_2020-11-05-tweedekamer-12.u305	I said fancy the fiddle.
