ParlaMint-NL_2020-11-25-tweedekamer-5.u1	The next item is the budget for Justice and Security.
ParlaMint-NL_2020-11-25-tweedekamer-5.u73	I wasn't until the first one and a half A4's. So I can give a faint answer by saying: the reflection will come. I also just told the PVV that it is a very complex file. You really can't fix everything you want tomorrow. Some things aren't working either, but I can say here with my head held high that our goal is getting a little closer. Why can't we send out processed asylum seekers back to Morocco, for example? Well, that's complicated. This has nothing to do with the will or strength of this Secretary of State, but with the present diplomatic relations between Morocco and the Netherlands. If the Netherlands criticises human rights in Morocco, you can say all sorts of things about why we should or should not do so, then that plays a role in Morocco's willingness to talk about other dossiers. Morocco has taken that attitude. Then you can all say that it must be resolved tomorrow, but that takes a lot of work. I have said that the VVD is also prepared to use other instruments than this Secretary of State to put more pressure on Morocco once in a while. What do you do about finance and trade? As an example, I would like to mention the instruments of Minister Kaag, such as visa policy. Finally. You need to stop facilitating illegality. This kind of people who have to go back, you don't have to take them anywhere. This week was in the news what happened in Amsterdam. $3 million has been thrown over the beam. None of them illegally left the country, but they were warm in the shelter. We need to stop that right now. So there are plenty of solutions. That's what I'm going to continue to argue for.
ParlaMint-NL_2020-11-25-tweedekamer-5.u74	Mrs Becker can say a lot, but the return policy in the Morocco dossier is of course one of the weakest points of this Secretary of State. I like her personally, but she's completely failing here. Does Mrs. Becker dare to admit that? Last year, when we stood here, it came out that the return policy to Morocco was completely unsuccessful, failed and that the Secretary of State was not welcome to the Moroccan authorities. Today we haven't made any progress. Do you recognise that this simply does not work out and that we in the Chamber must take steps to put pressure on the Moroccan authorities immediately to take back their nationals?
ParlaMint-NL_2020-11-25-tweedekamer-5.u75	I'm just as frustrated about it as Mr. Jasper Van Dijk. When I read an article this weekend about all those criminal Moroccans who can do their thing here from the asylum system, I would rather put them in jail and shut them down today rather than tomorrow. But we can't put someone we don't have a laissez pass for on a plane. I know that anti-legal ideas like this do live with the PVV, but otherwise, I think everyone in this Chamber thinks that you can't just do this. Then there must be another solution. It's really not this Secretary of State. It's the cabinet's responsibility. We must be willing to use the instruments of the whole cabinet, including those of other rulers, as I have just said. Whatever we have to do is make Europe a fist. We worked together on that. Spain and Belgium do indeed have a deal with Morocco, so Morocco is playing us a bit against each other as Member States. That is why Minister Blok has arranged for a visa code to exist in Europe, so that we can jointly say that sanctions will be imposed if one of our countries is blackmailed in this way and not cooperated. For example, we can no longer issue visas. I hope that's what we're gonna do very quickly.
ParlaMint-NL_2020-11-25-tweedekamer-5.u76	Then there is Mr Groothuizen and then there is Mr Azarkan.
ParlaMint-NL_2020-11-25-tweedekamer-5.u77	Something interesting is happening. In most cases, it is quite difficult to reach agreement in the Chamber on migration, but Mrs Becker is able, at least, to allow the Chamber to oppose her proposals unanimously. I suspect the Secretary of State will see a similar picture tomorrow when we discuss the results of her work at the IND. That's interesting. If you look at the response to the plans, you can see that there is a lot of negative response. The international press showed up on it, too. That is a VVD trick, a campaign trick: we come with Moroccans and migrants, because the elections are coming. That is a pity, because the debate calls for a much more serious debate. Mrs Becker is now proposing to close the borders in a sort of mini-Schengen. That's what she wants. There are two ways to do that. You can say Mr Van Ojik also mentioned 'we are closing the borders, but it is still possible to apply for asylum'. Germany did that at some point for a while. When a lot of people arrived, they introduced border controls, but it was still possible to apply for asylum. That seems to me to be compliance with the Refugee Convention. You can also say "we don't do that anymore." I just want to know from Mrs Becker what her proposal is now. Does she say "I want border control, but the right to asylum remains"? Or does she say "no, I want to withdraw the right to apply for asylum"?
ParlaMint-NL_2020-11-25-tweedekamer-5.u78	I find it remarkable how Mr Groothuizen says here in a few sentences 'this is a campaign trick; we are all opposed to this', but then wants a substantive answer from me. Because either you see it as an easy campaign trick and not as a serious proposal, or you see it as a serious proposal. Apparently, he's doing the latter, because he's asking a serious question about it. I will therefore take this issue seriously. Look, I think we need to ensure that, in a very plighted crisis in which our country is threatened with being flooded by people seeking asylum here, we can close the borders. If you then send out the signal 'you can still get all of us into the asylum procedure', that will not be enough. Of course, what you shouldn't do is say: the border is closed and suffocate; if you report here at the border in the middle of the night, solve it yourself, because we are closed. You have to make sure you have good facilities where you can catch people, where you can see with them where they were safe before and where you can send them back to in order to go in procedure. So we didn't arrange that from today to tomorrow. That is why I am proposing a crisis plan, because when the time comes, we should not have to work out the kind of questions that Mr Groothuizen is asking me now. Then we must have thought about that together. I'm asking the Cabinet to do that.
ParlaMint-NL_2020-11-25-tweedekamer-5.u79	I always try to have a serious debate on a serious issue. I'm trying to help Mrs Becker with that. But it's weird, isn't it, that you don't have an answer to this essential question when you come up with a proposal? How do you see that? So we're gonna take people in? Can they apply for asylum or can they not? Can they only do that if it is absolutely clear that they have not done so before in another country or if they have very good ground? Then what exactly are the conditions you see for yourself? Surely you cannot call out something that has such incredible implications and then say: I ask the cabinet to work it out?
ParlaMint-NL_2020-11-25-tweedekamer-5.u80	No, no, but I didn't say that either. Then Mr Groothuizen did not listen carefully. I have just said that our idea is not that people can all go through an asylum procedure, but that at the border, otherwise we will close the border for nothing. We will be able to send people back to where they were previously safe, to the country of origin, or to a safe country in the region as soon as possible. That's why there's another part of my plan. We should not only do this, we as the Netherlands should also ensure that we agree with third countries outside the European Union on safe reception there and on the withdrawal of people coming from there, so that we do not have to let people in the Netherlands when there is a safe other place they can go back to. That's how I feel about it, and I'm asking the Cabinet today to work it out, so that we can have it ready when we need it. I hope Mr Groothuizen will be able to agree with the principle that, in a crisis, we cannot allow ourselves to be overwhelmed by a huge number of people who do not have a home, no provision, enough care and who, as a country, are incredibly affected, while those people have previously been safe elsewhere. I hope he agrees with me.
ParlaMint-NL_2020-11-25-tweedekamer-5.u81	Mr Groothuizen will have his turn. Mr Azarkan and then Mrs Van Toorenburg.
ParlaMint-NL_2020-11-25-tweedekamer-5.u82	It is true that Mrs Becker is a very talented Member of Parliament. I would like to join in that. She is often inspired by the PVV. I notice that what the PVV said a few years ago is often followed up, especially when that happens in times of campaigning and to cover one's own failure, so that it doesn't come out too flashy. I also had a debate here with her predecessor, Mr Azmani. He indicated two years ago: you know, Mr. Azarkan, we have to receive 100% of the refugees in our own region. In that plan, there's no place here for anyone else. Is that right? You spoke warmly, I say through you, Mr President, about your colleague who has come here under difficult circumstances. You're proud of that. But is there room for people like that in the future?
ParlaMint-NL_2020-11-25-tweedekamer-5.u83	There is no light between what Mr Azmani said and what I said. We see as an ideal asylum system for us that people in the region apply for asylum, in the region where there is war. If there is war in our own region, they should also be able to apply for asylum here. As far as that is not the case, but there is war in another region, people need to apply for asylum there. That does not mean that we say: we are never going to receive a refugee here in the Netherlands. However, we say 'you should not come here spontaneously; we can invite you here when it has been established that you are a real refugee', as we have done with the Turkey deal. The Netherlands was among the top three countries in the European Union that have received Syrian refugees. We take responsibility in the world, but we don't want it to happen to us. We want to get a grip on it.
ParlaMint-NL_2020-11-25-tweedekamer-5.u84	That sounds kind of nice, but I can tell from all the debates I have with Mrs Becker that, under that sympathy, she simply has a straight line. She just said: I am proud that the children's pardon has been abolished, and I am proud that virtually no use is made of discretionary powers. She wanted a pat on the back from the PVV on the Moria deal. She said in that consultation: "That the PVV is disappointed! I thought I'd get a sticker from Wilders or something. I've done so great." Where does this harshness come from in order to argue for freedom on these kinds of issues and to speak very big words about them, but simply not to give them to others? You just don't want people coming here. You want to take them all in your own region. You don't want 97%, you want 100% of the people there. Where did that come from? Why can't we help a group of people, too?
ParlaMint-NL_2020-11-25-tweedekamer-5.u85	As far as I'm concerned, this is about helping people. The fact that we no longer want a child's pardon and that we do not want discretionary powers with the Secretary of State is not to bully people. That is to prevent people who should have come back to their country of origin from stretching their procedures for so long that there are children who are here at some point ten or fifteen years, without knowing where they stand. They speak the language and become part of a class, but then they are a poignant case because they actually have to go back. That's inhumane. And we hope to avoid that by putting an end to the discretionary power, whereby mayors will write letters to the Secretary of State: please, can you not make sure that one or that one stays? You need to get that out of the system. Not only do I say that, but also the Van Zwol Committee, which has been watching this. This is not a harsh policy, it is a policy that deals with people and treats people fairly.
ParlaMint-NL_2020-11-25-tweedekamer-5.u86	What Mrs Becker describes is simply the policy of her secretary of state. What Mrs Becker is saying is the policy of the IND, of her Secretary of State. It's discouragement policy. It's left people in uncertainty for years. It's discouragement. Research shows that officials who earn a few thousand euros a month are not scheduled to deal with files, but are allowed to look at Netflix. As a result, this Secretary of State is reluctantly finding out that we do not have to pay EUR 17 million, but EUR 70 million, because the work is not done properly. What Mrs Becker is saying is the policy of the IND: discourage people, long in procedures, often as a state appeal. The result is that you get very poignant cases. When they are created, Mrs Bente Becker says: that is your own fault. That's the upside-down world.
ParlaMint-NL_2020-11-25-tweedekamer-5.u87	No, this is not the IND's policy. I'd still like to stand in front of the IND. This is not conscious policy of the IND. This is an organisation which has had to deal with a lot of political desires, but with too little resources. As a result, the procedures last longer and people are longer in uncertainty. But those are not cases that are stretched by a discretionary power or a children's pardon by five or ten years. We're not talking about that kind of time frame. Mr Azarkan attacks me on how consistent the story of the VVD is to fight for freedom and humanity. I invite Mr Azarkan, if he thinks we should be consistent in doing so, to do so himself. Because if I advocate the freedom of people here to live in migrant communities in safety too, if I advocate, for example, that things such as honor-related and culturally determined violence be punished more severely, I do not find DENK on my side. So I would call ON DENK to think with me on that agenda. And be consistent in defending those freedoms.
ParlaMint-NL_2020-11-25-tweedekamer-5.u88	I understand the reasoning about that mini-Schengen. I think we have heard sounds about this from France and I think we are talking about it for longer: if nothing works at all, you must indeed think about what the future is going to look like. However, I find the time when the VVD comes up with this proposal a little problematic. We are just now looking to see if we can finally make a dent in a package of butter in Europe. And what does the VVD say now, at the most exciting moment to get these negotiations done? "If you can't do it, it's Greece, Italy, Lampedusa, other islands, and you can call it "bag in; we'll close the borders and figure it out." The moment is a little cynical. Does Mrs. Becker recognize that?
ParlaMint-NL_2020-11-25-tweedekamer-5.u89	No, because the message here isn't "suck it up." We had a debate with the Secretary of State about the European asylum system a week or two weeks ago. That was the moment when we made the treatment reservation, precisely to ensure that the Netherlands has a very sharp, good commitment in that discussion. I did not speak about this, because I do not think that this should now be part of the debate on the European asylum system. We have to try to do that. What I call on the Secretary of State today is to explore the alternatives in the Netherlands at the same time, so that we can have them ready if it does not work out in the end or if something happens tomorrow that puts pressure on our country. I therefore hope that Mrs Van Toorenburg will see this need. We have to try this very hard, but we shouldn't bet on one horse. We shouldn't be that naive. That would also not be good for all Dutch people who are worried about what happens if there is a new crisis: are we safe and are we prepared?
ParlaMint-NL_2020-11-25-tweedekamer-5.u90	But fortunately, that's what's being thought about. I think that thinking about a mini-Schengen has been going on since 2015. Well, then it's not really that new. But what surprises me is that the VVD also says in the plan: if it all doesn't work out, the Netherlands has to make sure that people who have been executed are finally sent back. But let's be honest: this cabinet, this Secretary of State and a VVD Minister for Foreign Affairs did not succeed at all. So how can we suddenly say: yes, then it has to be done; then we will finally do so as the Netherlands itself with all those people in Overloon who are all screaming mad about and which they really want to get rid of in all the municipalities in the Netherlands? Then why didn't this Secretary of State manage to do that? Why does the VVD think that we as the Netherlands can do it on our own? Or does the VVD recognise that we really need Europe's teeth to be bitter?
ParlaMint-NL_2020-11-25-tweedekamer-5.u91	In my view, Mrs Van Toorenburg and I have made it clear that, with regard to the agenda we agreed on in the coalition agreement, more for more, less for less, if the Netherlands were to use all our opportunities to encourage countries to participate in this migration agenda, i.e. development cooperation, landing rights and visas, it was quite clear that the government did not use these instruments to the full, particularly in the field of foreign trade and development cooperation. I therefore believe that there could possibly have been more there than we have achieved so far. I also think it is a good thing that Minister Blok now has that visa code in Europe, but what if you do not come to an agreement in Europe with regard to a country such as Morocco? Are you going to give up as the Netherlands, so it's just not gonna work to send people back to Morocco? Not as far as I'm concerned. I therefore believe that we should continue to work on this bilateral agenda, as it is called with a difficult term: not only through the European path, but also when the Netherlands itself make agreements and use all your instruments and all your strength to do so.
ParlaMint-NL_2020-11-25-tweedekamer-5.u92	I think we should be honest. Mrs Becker is now pretending that this visa code will allow us to stop issuing visas. It doesn't say that at all. In the very, very, very, very case, I think we can postpone it for three months. So let's be honest. Everything we have discussed with each other, of course, also has VVD ministers on the table. If we are going to call now that we, as the Netherlands ourselves, are really doing everything we can to send back all the asylum seekers who have been processed, then that is really a bit too little, too late. Please, that could have been better by now. Or tell me honestly: the Netherlands simply can't do that. When we see that, we should not really blow up European cooperation in this way, as a sort of test balloon.
ParlaMint-NL_2020-11-25-tweedekamer-5.u93	No, Mr President, because what Mrs Van Toorenburg is doing now is really not doing justice to the proposal. I also regret that one thing is being picked out that Mrs Van Toorenburg does not think was successful and that is why the proposal would not be good. What I am saying here today, and I acknowledge precisely, is that some of the routes we are trying will not immediately lead to results, for example, the European route, and that we are also trying to do things that then run counter to inability in a Refugee Convention or other treaties. Then we should not accept that as a VVD, but say: we should do and-and-do. So we must work both on the European asylum system and try to get mini-Schengen to work with other countries, and we must be able to control our own borders and we must make agreements with third countries. We must use all our instruments to do this. How's it going tomorrow? No. Is it perfect? No. But I refuse to tell the simple story to people that the PVV does, as if it could all be solved tomorrow by a nexit. I don't think that's the answer either. So I invite everyone to think with me today, and I am also willing to think with other ideas, as long as they bring closer to a stricter and fairer asylum and migration policy. That is a serious proposal on my part. It has nothing to do with test balloons and nothing to do with elections. It has everything to do with the determination we need on this file.
ParlaMint-NL_2020-11-25-tweedekamer-5.u94	I have difficulty with two elements in the story or, in fact, with two assumptions underlying the proposal. The first is to present it in the newspaper of "if we're in charge, we're gonna do this." But the VVD is the boss. The VVD has a secretary of state for this file. The VVD has a foreign minister. The VVD has a prime minister. Then I think it's a little cheap to call in the newspaper the image of "if we're in charge, we're gonna take care of this." Then my question is: why haven't you taken care of it in the last four years? The second point is more substantive. That is the point that the region is doing too little and that there is too little reception in the region. The claim that we do not now have the facilities and the means to take people in. My question to Mrs Becker is: does Lebanon have the facilities and the means to accommodate all those Syrians? How many Syrians are there in Lebanon?
ParlaMint-NL_2020-11-25-tweedekamer-5.u95	I have just indicated what the VVD, under government responsibility, has done not only in this cabinet period, but also in the previous one, to work towards a stricter and fairer asylum policy and what it has done. We have also worked together in this area, VVD and PvdA, for example, to get that Turkey deal closer. So it's not like the VVD is just coming up with ideas and hasn't realized anything. The VVD has always worked hard on it in Cabinets, but we also live in a coalition country. So the asylum and migration policy currently being implemented by this cabinet is not the ideal story as the VVD Group would see it for itself. So it's not surprising at all that I tell a VVD story and make a VVD proposal in a budget treatment from the VVD. It doesn't always have to be one-on-one government policy. That's right to come up with new ideas from the Chamber. I think we should all do that, especially as coalition groups. Then there is your short second question, because that saves you a second interruption.
ParlaMint-NL_2020-11-25-tweedekamer-5.u96	Yeah, right, about Lebanon.
ParlaMint-NL_2020-11-25-tweedekamer-5.u97	We certainly need to help countries like Lebanon. So I do not shy away from the international responsibility that the Netherlands also has to ensure that reception in the region can also be offered. That is why we have also made sure that we are going to use much more money for development aid for that reception in the region. This has now become more the agenda of Minister Kaag thanks to the negotiations of the VVD in this coalition agreement. So that's not some kind of free pronunciation. That also requires responsibilities. We must do this as the Netherlands, and we must do it through the EU.
ParlaMint-NL_2020-11-25-tweedekamer-5.u98	I think it is a little free if it is assumed that there is insufficient reception in the region. The vast majority of refugees are taken care of in the region. That's the point I want to make.
ParlaMint-NL_2020-11-25-tweedekamer-5.u99	Yeah, that's got... Well, well, Mr. Grothuizen.
ParlaMint-NL_2020-11-25-tweedekamer-5.u100	Mr President, I should like to make a point of order. You have proposed six questions per group. I can tell that's a little tight after all. I would like to propose eight questions per group. I understand your wish to be brief. I look around a bit to the colleagues and I have the impression that there is some support for that.
ParlaMint-NL_2020-11-25-tweedekamer-5.u101	Yeah, I felt the same way. It's okay. Per group, not per spokesperson.
ParlaMint-NL_2020-11-25-tweedekamer-5.u102	Oh, I thought there was one more question, but that's fine with me, Mr. Chairman.
ParlaMint-NL_2020-11-25-tweedekamer-5.u103	Yeah, that's what I thought. All right, I suggest that you continue, because you have 14 minutes to speak.
ParlaMint-NL_2020-11-25-tweedekamer-5.u104	Yes, Mr President, because I wanted to start with the launch of a whole new idea, namely a national migration plan. I don't know if it's necessary anymore, but I'll do it anyway. Mr. Chairman. In the meantime, we need to do more, because getting 26 countries in line requires a long time. In the meantime, the Netherlands remains a wanted destination for migrants. Especially in a possible new crisis, this can lead to unverifiable flows of asylum seekers. That is why the VVD not only wants the EU to work with a good plan, but also to have a national migration plan. I want us to know exactly where the border lies for us, so that we can see with our own plan which countries agree with us, so that we can be partners in a possible mini-Schengen, a group of strong Member States that monitor their external borders while trade remains intact. If that fails, the VVD wants our country to be able to close its borders, to introduce border controls and to ban migrants if the situation so requires. International crisis regulation offers this space, but the question is whether we can actually do it in such a situation. For example, we need to be able to scale up our own border guard and police force quickly, and we need to prepare for that now. The VVD also wants a national plan to describe how the Netherlands can make agreements on irregular migration, reception in the region and the return of migrants to other countries. As far as we are concerned, it is not a taboo to use the foreign trade and OS agenda for this. I assume that the cabinet will also see the added value of having our own commitment sharp. If not, I will consider tabling a motion on this matter. Mr. Chairman. By having that commitment sharp, the Netherlands opts for a realistic course. We negotiate in Brussels, but we also have our own homework in order. As long as the European asylum system is not strict enough, we must be able to protect ourselves better. Because not every world citizen who wants a safer or better life is welcome in the Netherlands. We should not just say that, but also be able to make it happen when it comes to it. Mr. Chairman. For those who do come in here, we must ensure that he or she can only stay if he or she really is a refugee and is willing to participate fully. I know that this is being worked hard in the asylum chain, under very difficult circumstances. I would also like to dwell on this today, with the diligent IND staff, with the people of the COA, who also continue to do their work in corona time but sometimes feel unsafe, with the men and women of the AVIM, who are dealing with difficult target groups but continue to work for what we have agreed with each other. And we have to look at ourselves for the work of these men and women. Well, there's the requested reflection. There will certainly be more today, because politics has not always made it easy for these organisations. I call the IND, for which the funding was a fight year after year, a plan to make the asylum chain more flexible while the current work is not yet in order. Stand on it. Mr. Chairman. How does the Secretary of State see the future of the asylum chain and its staff? Are they adequately equipped? Can the Secretary of State give the Chamber a realistic schedule showing when the IND is in order and the backlogs have been eliminated? Is she going to be okay with the existing resources? When can the Court expect the legislative proposal to put an end to the periodic penalty payments? And also important for the future functioning of the IND: when will the hearing be merged? Secondly, we need to address the increase in the number of repeated applications, in order to relieve the burden on all these organisations, but also to prevent long-term illegal stays. Can the task force of the IND look at this? Is it true that taking treatment within eight days is rare at the moment? I am genuinely afraid that the repeated application, due to its lack of judgment, is now a serious option for people to have longer reception. The VVD also wants to stop repeated applications for persons with an entry ban. We've talked to the Secretary of State about that before. Did she find out if that's possible? And if not, can they at least wait for the verdict on such a repeated application in detention? The VVD also wants to do something about the delay and the workload caused by asylum lawyers at every stage almost as a standard procedure for appealing again and again. Are we obliged to do so when it comes to actual actions, or is that a headline on European legislation? And if so, can it come off? What does the Secretary of State think of the Swiss model, whereby asylum lawyers are no longer paid for hours, but for the whole process? In any case, this means that there is no longer any perverse incentive to extend the procedures. Thirdly, it should not want to leave or lie about your motives not pay off. But sometimes it still does. I mention, for example, the hundreds of Ugandans who claimed to be gay in order to stay here. Does the Secretary of State know by now whether making a declaration can be an effective means for people we unfortunately cannot send back? Mr. Chairman. Speaking of not wanting to leave, return is almost always possible if someone wants to go back, as the Van Zwol Committee showed. And that is why illegality must be as unattractive as possible. By facilitating stay in illegality, people continue to grasp every straw, no matter how small, to stay here. This ultimately undermines the acceptance of the real refugees. My motion for a plan of action against illegality was adopted before the summer. Can the Secretary of State indicate when this can be carried out? In the meantime, for example, in a city like Amsterdam, millions are being thrown away from a shelter from which only one left illegally. Does the Secretary of State agree that this is absurd and that we should discourage illegality much more than is happening here? And that this also applies to the voluntary departure grant scheme for NGOs? It has been evaluated, but it is called "inefficient." In a single case, the scheme cost even €50,000 per illegal. It is a good thing that the Secretary of State has put an end to this, but it wants to go through with the regulation. Is it prepared to link a result obligation to the grant, with regard to the number of departures? And if not, shouldn't we leave this whole subject to IOM instead of NGOs? Because the evaluation said that they were not even convinced at first of the need to leave illegal immigrants, and that this taboo has now been broken by some. My question is then genuinely whether these are the parties that must realize that departure. And can the Chamber gain more insight into demonstrable departure by the Service Return and Departure? Because I cannot properly assess the impact of the policy, when looking at the budget and the Reporting Stranger Chain. There you only see for each year the inflow and outflow into the work stock, but that does not say anything about the success of the policy at this level. Can the Return and Departure Service report in how many cases there is evidence of departure, preferably after one year, two years and five years? Then we also know if the work of the IND is effective and how many people actually and demonstrably leave. Mr. Chairman. The VVD does not want municipalities to facilitate illegality, and certainly not to trouble criminal asylum seekers, and even if they are completely out of court. That's why the VVD is very concerned about the LVV pilot. This would create a system of departure, and would finally put an end to bed-bath-bath-bread. But what is now apparent in practice? That's hardly coming off the ground. In Amsterdam there will be ten locations for illegal immigrants. In some of these locations, neighborhood residents are afraid of their safety. There are municipalities that currently do not even comply with the covenants, such as Utrecht and Eindhoven. There, for example, bed-bath-bread goes on and is not forced to leave. There are even criminal illegals with a heavy entry ban in the LVV. Is the Secretary of State prepared to keep the relevant municipalities to the agreements, with the prospect that they will not receive the LVV benefit next year? I'm considering a motion. And would the Secretary of State point out to the municipalities that so generously want to receive illegal immigrants, that the azc's are full of legitimate status holders, for whom there is no living space, who are therefore allowed to be honest in the Netherlands, but not to be taken care of? Perhaps the municipalities could give that priority. Speaking of which, what about the housing for the large number of status holders in the coming years? What progress has Mr Ollongren made with municipalities? And how does the cabinet prevent all these status holders from getting priority over people who have been on the waiting list for a social rental house for years? Mr. Chairman. Then there is something else that seriously undermines support for asylum seekers in our country: troublemakers. We talk about that a lot, unfortunately. And I've been talking to people who've been worried about that lately. Go talk to shopkeepers in the municipalities of Westerwolde or Budel, or to people on the Vechtdallinin in the east of the country, with women who prefer not to get on the bus or train alone anymore. I said it at the beginning: our freedom and our security are worth defending. And it's very good that the Secretary of State is fighting for that, too, with her top X approach, the Htl, the Chain Marines, whatever it takes. But we hear that not everything is really possible, for example because of privacy rules in the GDPR, that mayors should not get all the information from such a top X list, that information about potentially dangerous status holders cannot always be shared with municipalities. Is the Secretary of State prepared to investigate the adaptation of sectoral legislation for the GDPR? And can she update on the possibility of imposing a public transport ban on the Vechtdallinijn? And what about the police capacity around azc's? In Westerwolde, but also in Budel, residents are very concerned about this. Perhaps the Minister could explain how this is or can be brought to sufficient strength. And can the Secretary of State undertake that municipalities that do want to receive asylum seekers but do not want to have more room for them, so that we can also create enough places? Mr. Chairman. We are defending a safe and free society through a rigorous and fair asylum and migration policy. But unfortunately it is precisely in and around azc's increasingly unsafe and unfreer. If a fellow asylum seeker overwhelms you with boiling water because you're a lesbian, you've ended up in hell from one hell to another. That's why the VVD, together with D66, wants a plan of action including incident registration aimed at protecting gays in azc's. 'Cause not them, but the unsubs have to separate. Those who do not accept homosexuality must, as far as the VVD is concerned, be at least in the htl from day one until they can be detained and deported. This also applies to asylum seekers who attack or threaten others because of their beliefs, such as a Christian faith. I am sure that Mr Voordewind agrees with that. As you can see, Mr President, there is also consensus in the coalition. Mr. Chairman. Today is the international day against violence against women.
ParlaMint-NL_2020-11-25-tweedekamer-5.u105	Before proceeding, there is an interruption for you from Mr Emiel van Dijk, probably on the previous point. That's what I suspect.
ParlaMint-NL_2020-11-25-tweedekamer-5.u106	Yes, indeed, because these are crocodile tears from the VVD again. Gee, I'm sorry we all have illegals; we have to do something about that. I'm sorry that homosexuals are often unsure of their lives in azc's; we have to do something about that. I'm sorry that all illegals cause nuisance on the Vechtdallinin and in azc's; we have to do something about that. Then why are you voting against the motion that we want to hold these illegal harassers for as long as they can be deported? That's exactly what you just said: we need to secure them until they can be deported. Then why don't you? That's one. Two. In another motion, the government asked for the residence permits of all the status holders who lied about their age or sexual orientation after their asylum procedure to be expelled. That's exactly what you're saying here. And you won't. You're doing exactly the opposite. You reward them with a residence permit, and if they are not entitled to it, you reward them with bed, bath and bread, and you walk here all the time I wanted to say "beggar," but I do not, Mr President, complain about the failing policy. What the hell is that? Shame on you, I'd like to say to the VVD.
ParlaMint-NL_2020-11-25-tweedekamer-5.u107	This is a typical example of that VVD-corvee that we see all the time from Mr.Emiel van Dijk. His entire contribution is about the VVD. Then he submits a number of motions, so that he can say on the basis of those motions: look, what the VVD says, is all wrong. You're really a little obsessed with what the VVD is doing, but okay. I can give you an answer in terms of content. The PVV's motions are often not legal. You leave nothing to be desired by what we have agreed in international treaties, what can and cannot be done under legislation. You tell the Secretary of State: if anyone has lied about his age, send him back to his country, even if he comes from an unsafe country. That is the principle of non-refoulement. We can't do that. Mr Emiel van Dijk knows that, but he would very much like to create a sort of simplistic image, as if the PVV could solve everything tomorrow. That's not true. That is why we are voting against this type of simplistic motion and come forward with our own proposals.
ParlaMint-NL_2020-11-25-tweedekamer-5.u108	Please continue.
ParlaMint-NL_2020-11-25-tweedekamer-5.u109	Mr. Chairman. I have already said that today is the international day against violence against women. The defence of freedom also includes the fight against oppression, which unfortunately sometimes comes into society with migration. Last year I presented an own-initiative paper, which was also discussed in the Chamber, against honour-related violence and against cultural oppression. Fortunately, many motions have also been passed, thanks to the colleagues here. Today I would like to ask whether we can continue in this direction: can we tackle marriage exploitation more firmly? I have been working on this together with colleague Jasper van Dijk. Could we not, with a separate article in the Code of Criminal Law, for example under the heading of trafficking in human beings, ensure that we do something for women who have been brought here for only one purpose? The man then said for one purpose only "I will marry you," namely to keep the woman in the house as a household slave, to make him work for him and to have all the power over her. Can we really criminalize that? Does the Cabinet want to investigate that? Does the government also want to investigate whether we can take away the opportunity or at least make it more difficult for men to continue to do so, to get a new partner from abroad, each time with the same pattern of oppression and abuse? For example, I would like to make a few suggestions, but I would like to trade them in for other offences by including a ground in the criminalisation, by regulating supervision by the probation or by giving the upcoming marital partner an opportunity to gain more insight into the criminality history of this marital partner, who apparently suppresses and mistreats women over and over again. So she can think about it a second time herself. Because if you live in the Netherlands, it's a lot easier to find out if anyone has ever been convicted and for what, than if you come from abroad unsuspectingly. Maybe that can also be part of the pre-integration, that you should also have learned about your wedding partner's activities? I'd like a response. Mr President, I would like to conclude by saying two more sentences. All these proposals are aimed at protecting the values and freedoms of our country. I started my contribution by saying that the generations for us, the generation of my grandfather and grandmother, once literally did that: fighting for freedom. They know what it was like to live in an unfree country. But we, this generation that is standing here today, must feel that obligation to continue to do so figuratively. I am also doing this today with my colleague Dilan, who will continue our speech on behalf of my group. Because, Chairman, you're not done with us yet. This was just the opening program.
ParlaMint-NL_2020-11-25-tweedekamer-5.u110	That's good. I look forward to that. Dilan refers to Mrs Yeşilgöz-Zegerius. I see Mr Markuszower and then Mr Van Ojik.
ParlaMint-NL_2020-11-25-tweedekamer-5.u111	Mrs Becker of the VVD opened her speech by saying that it is nice that the Netherlands is a free country and that men and women are fortunately the same here. I share that with Mrs. Becker. I'm glad you did, too. She ends her speech with a plea against marital imprisonment and so on. Of course, I'm against that, too. In fact, we have just tabled a motion on this matter. As PVV, we have said: forbid Sharia marriages, because that is really marriage imprisonment. It's not just marriage imprisonment, because what often happens is this. That also affects a bit of your other wallet. A man of 50-plus in a Islamic country, in Pakistan or in Yemen, marries a girl of 12 or 13 years old. If I am not mistaken, the President has been concerned about this in the past. And a few years later, when the girl is 18 or 19, they emigrate. Under the generous policy of the VVD they can come to the Netherlands. And then that marriage is just recognized. Then it is not said: the girl has been married for six years to a man of 50-plus; she was then 13 and is now 18 or 19; that must have been child abuse. But what does your VVD do, Mrs. Becker? What are the ministers doing? They recognize that marriage. This motion of mine has not been adopted. The VVD was against it, which said: no, we simply continue to acknowledge those Sharia marriages, and so we accommodate those child abusers from faraway countries who import child brides into the Netherlands, and we maintain that. And Mrs. Becker just keeps that up. She is now coming up with a great plea for freedom, equality between men and women and the fight against marital imprisonment. And then there's a vote in the Lower House, so she can stop it, but nothing! Silence!
