ParlaMint-NL_2020-10-01-tweedekamer-7.u1	Now let's move on to the General Financial Reviews.
ParlaMint-NL_2020-10-01-tweedekamer-7.u106	Thank you, Mr. Chairman. Thank you for the answer by the Minister and the two Secretary of State. As I said in the first term, as far as we are concerned, society is not a choice menu. As far as we are concerned, it is not either entrepreneurs or public sector, but and-and-and-so. We need them all and we are all the Netherlands. We can see that entrepreneurs are currently struggling and struggling to keep their heads above water. So the support packages that are there now, they're gonna have to be tough. I also think that we need this growth for the future, and that it is also important that we continue to invest. I have also stressed that we would like to bring public investment forward. If we can do that any more, that is a very good thing as far as we are concerned. We also want to stimulate private investments and we think that the VIK is a good way to do that. And we would also like to make an effective use of the Growth Fund. We realize these are very special times. This also means that flexibility is needed. I was just discussing the aid packages in an interrupting debate with the Minister. We welcome the fact that the cabinet remains in dialogue with entrepreneurs and business organisations to see what is needed, and that it continues to look at it with an open mind. We believe it is important that we help as many entrepreneurs as possible through this crisis. The Minister said about the Growth Fund: there is everything to talk about. At least that's how I understood it. As far as I'm concerned, that's pretty rough. The VVD considers it very important that we focus on this extra economic growth. As far as we are concerned, this must also be the starting point, because we believe that this is an important issue for people's jobs and incomes. We also think it is important that we have both knowledge and innovation, as well as infrastructure as an important subject. A lot of agencies also advise to choose exactly those. As far as we are concerned, these are also important principles. I have just indicated that we attach ourselves to the BIK because we think that investments are important. I think that the Secretary of State has also made a good plea for this and that he has given a good explanation of the importance of private investment by companies. We do this not so much for those companies, but ultimately also for people's jobs, or for maintaining jobs, or for additional jobs. But for that, we need these private investments. Some of us have also talked about budgetary policy, and the Minister has also talked about it. I think it has been very sensible for us to have been economical in good times, so that we could build a buffer and now we can invest heavily and put out substantial support packages. But we are also aware that public debt cannot grow infinitely, so we also need to look carefully at how we use that money. We are therefore looking forward to what I will call the Minister's 'vision' of the Stability and Growth Pact and everything he has promised on it. I think we can look at those rules. As far as we are concerned, it will be a simplification, perhaps better rules will be introduced, but it will certainly not be: no rules. And there certainly needs to be good enforcement. I will not table any further motions, Mr. Chairman. I will probably be the only one who is not going to do that, and I expect my colleagues to make up for all of this in a moment to get the number of motions back to a substantial level.
ParlaMint-NL_2020-10-01-tweedekamer-7.u107	Nevertheless, thank you for your input. I shall now give the floor to Mr Snels. He speaks for GroenLinks.
ParlaMint-NL_2020-10-01-tweedekamer-7.u108	Thank you, Mr. Chairman. Last Tuesday we talked in the corridors about a "what boring debate." That was true for the colleagues and, I think, for the rulers as well. But it wasn't today. It was an important debate today. I think that had to do with two things. Firstly, we are fully aware that we are in the midst of an economic crisis. Part of the debate has been about this. That's what we're all worried about, even in the very near future. Are there going to be additional restrictive measures or not? And what does that mean for employees, companies and entrepreneurs? I would also like to thank the Minister for Finance, who has indicated that the cabinet will continue to operate flexibly and that it is necessary to adapt the support packages. That was one side of the debate, if I sum it up as widely as possible. On the other hand, I liked that very much; I don't know if that's because of the financial spokesmen, but it was also a lot about the future. In the midst of an economic crisis, we look far ahead. We did this through the debate on public finances, the level of public debt, discount rates and budgetary rules. They're all about a healthy future. We are going to pursue that debate because the Minister has promised to send further reflections, an analysis or a letter to the Chamber. I do not know exactly how it finally came into the commitment to send it to the Chamber. I hope that we will be able to continue this debate on the Navy's note. But the debate was, of course, also conducted on the basis of the Growth Fund. That is really an important debate. In my view, there is no difference of opinion in the Chamber, at least not between the GroenLinks Group and the cabinet, about the importance of thinking about how we can achieve our prosperity in the long term too. I think the term 'growth capacity' is an ugly term even in the longer term. The Growth Fund is very important in this respect, I think. At the same time, it is also important to clarify the objectives and how we define them. There is a reason why I am critical of the CPB transfers when it comes to GDP growth. But I am also critical of the SMEA. So there really needs to be more clarity about exactly how we are going to do that and invest in the committee. The same is true, I think, of the role of the Chamber and of the non-departmental budget. When are the ministers going to talk about it and when will the Chamber be able to say something about it? We'll get a letter about that too. That's fine. That debate must be continued and so must the discussions on it. Mr. Chairman. The debate with the Secretary of State on the BIK was a step forward. It is a debate that threatens to derail occasionally in mere rhetoric, but at the same time it is also really about what we can do to support the economy, both businesses and the preservation of jobs. That is also still crisis policy. I welcome the Secretary of State's commitment to make a railway booklet, the variants of which are passed on by the CPB. I believe he himself was once vice president of the Central Planning Bureau. Then we can really decide, on the basis of facts, how to deal with this in the legislative consultation on the Tax Plan. That is exactly in line with Article 3.1 of the Compatibility Act, as I am also saying on behalf of my rapporteur. Mr. Chairman. I also had a debate with the Secretary of State about the Ter Haar Committee. I have also often said it to his predecessor: this cabinet has really turned its back on other cabinets and considers the approach to tax avoidance to be an important point in cabinet policy. We also see this in the Tax Plan. A number of proposals from the Ter Haar Committee have been taken over by the cabinet and are very soon being transposed into legislation. The cabinet deserves a compliment for that. I had a brief debate with the Secretary of State on commercial profits. The Ter Haar Committee writes quite hard that there is no data to get a good idea of what is happening with the tax payments of large companies. This has to do with the fact that there is a difference between commercial and tax profits. The Ter Haar Committee advises fairly harshly: it now obliges large companies to make that public. The Secretary of State has promised to return to that in the second term, but I have one motion on that. In last year's General Financial Reviews, I had no motion, but now one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the Ter Haar Committee advises to require large companies to report commercial profits in all cases in the Netherlands;]] [[Calls on the Government to consider how that should be reflected in a legislative amendment and to report to the Court on that at the beginning of 2021,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Snels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-10]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u109	I thank the rulers for their answers. A number of debates will be continued in the coming weeks. Thank you.
ParlaMint-NL_2020-10-01-tweedekamer-7.u110	Thank you for your input. After the necessary measures have been taken, the cathedral is for Mr Slootweg. He speaks for the CDA.
ParlaMint-NL_2020-10-01-tweedekamer-7.u111	Thank you, Mr. Chairman. When I see today's news, on the one hand I am glad that KLM has reached an agreement, but on the other hand I see reports about people who see their jobs on the road, including at KLM. We are discussing the Millions note now, but in the meantime we also see that there is something really at stake for a lot of people. Sometimes it is also very difficult to understand exactly what a million note will bring to these people, because while we all thought we could do things last year, at the end of February, at the beginning of March the world suddenly turned out to be completely different. I think part of the strength of our society is that we can find each other. In itself, the Netherlands belongs to the countries that are called a high-trust society: a society in which there is a lot of confidence. We simply need to continue to invest in improving that confidence. That is why I am here with Mr Sneller, who has done an extraordinary amount of work for this, to table a motion to see how we can improve confidence in the direction of business and corporate governance. Mr Sneller does so from the tradition he calls "progressive capitalism." I myself feel a little more senang in words like "Rhineland thinking" and "social market economy." But it is very nice that we were able to find each other in that. In view of the Millions note, I had another question: what does that mean in the longer term? I welcome the Minister's commitment: if you looked carefully, you could find it, but perhaps a little more is needed, and we are going to put that well in the Navy's note, perhaps a little more compact, where it goes with it. I like that very much, because it's you by these kinds of rules... This is also a bit of the game, where you just have to follow the rules to see what it means. I'm very content with that. My third point is a bit about the core theme of the Millions Note: how are we going to increase resilience? I can see that the cabinet is really taking steps in that direction. I was also pleased with what the Secretary of State said about foreign and equity, something that we have also stressed for a long time. I also see that a number of steps have been taken around households. I do notice that, in times of corona, we would like to have more insight into exactly what that is about. How is it possible that the cost of corona in some countries is to a large extent passed on to families, which are also more difficult to maintain their buffers? That led me to table a motion together with Mr Stoffer and Mr Bruins, to examine this more closely and to use the vehicle of the Transport Committee. I think it has been a proposal from my colleague Pieter Omtzigt to do so. One final comment is about the resilience and how you build buffers. I can at least announce that we as a group are considering this. I welcome the commitment to see what building savings there could mean. I recognize very much the feeling of "does this actually fit with the Dutch tradition?" In that we do a lot with the mortgage interest deduction, a phenomenon that is not known in Germany. We also have the fact that the interest rate is negative, so it hardly pays to save. But it is something we want to investigate, especially what it could mean for families and young adults. It is always difficult to review, but at least we are very pleased with the comments that have been made. On a number of points we are going into further discussion, both about the National Growth Fund and the BIK. I think there has already been an important exchange of views on this matter today. Thank you, Mr. Chairman.
ParlaMint-NL_2020-10-01-tweedekamer-7.u112	Thank you for your input. Then the floor is for Mr Alkaya, who speaks on behalf of the SP.
ParlaMint-NL_2020-10-01-tweedekamer-7.u113	Thank you, Mr President. Thank you to the Minister and the two Secretary of State for the debate and for answering our questions. Mr. Chairman. I started my first term with the remark that because of the coronavirus everything is so insecure and therefore also surrealistic. We are looking at public finances, which could look very different. That is why I stressed that getting the virus under control must be top priority one, two and three for the cabinet. The consequences of society are very great. They can also be very large for the economy; for employees, for small entrepreneurs. In that light, public debt is also important. With the Minister, I have talked in detail about the fact that public debt should not now be an obstacle to being reluctant to take the necessary measures to control the virus because of harmful effects. Fortunately, we have low public debt. According to economists, it can double or at least increase by half without causing any problems. Therefore, let us not be reluctant to spend money on those things that people need to reduce as much as possible the negative effects on the economy and people's lives. Mr. Chairman. I have two motions. They are not about the Job-related Investment Discount, which we are indeed going to talk about extensively. I have already expressed my distrust of this. The cabinet thinks it's funny, but I'm curious how it's gonna work out. My strong suspicion is that the evaluation will soon reveal that the companies that benefit most from it are broadly the same as those that would have benefited from a reduction in corporate tax. Larger companies that have a lot of money to invest. That's not the catering entrepreneur who's in uncertainty right now. These are the larger companies that employ a lot of people, allowing them to deduct investment from wage costs. I'm curious to see the evidence, the pieces behind it. But I am particularly curious about the evaluation. I am afraid that I will be right and that the big business will again benefit from this measure, just as would have benefited from the reduction in the tax on profits. But we're gonna talk about that in detail. Mr. Chairman. I am tabling two motions, first of all one on the Growth Fund. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the government will spend many billions of taxpayers' money through the National Growth Fund on investments aimed at promoting the earning capacity of the Dutch economy;]] [[noting that both the General Court and the Council of State are critical of the way in which the Fund is set up;]] [[calls on the Government to set up the Growth Fund by means of a separate institutional law, including the objective and the possibility of evaluation;]] [[calls on the Government to improve the Chamber's information position and authorisation function with regard to the Growth Fund by making more explicit the intended possibilities of the Chamber in the choice of projects in advance and ex post and the criteria to be used,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Alkaya and Mr Nijboer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-11]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u114	Then there's the second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that not the promised 5,000 victims of the premium affair were compensated this year but only 300 to 600;]] [[believes that the victims have been in complete uncertainty for too long;]] [[calls on the Government to make every effort to pay an advance on the compensation they are entitled to before the holidays to a larger group of injured persons,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Alkaya and Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-12]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u115	Yes, because it is well known that my colleague Omtzig is working a lot with Mrs Leijten on this point. Can you describe a little more about how you see that? The Secretary of State indicated that it also sees a major problem in the case of advances. How do you see how that shape should be? Could you give me some more subtitles on that?
ParlaMint-NL_2020-10-01-tweedekamer-7.u116	Sure. 8,100 parents have requested compensation and have applied to the Tax Office. Not more than 600 of them, between 300 and 600 of them, will be able to face compensation this year, according to the Secretary of State. I think that difference is too great. So there are 7,500 parents who have reported, but cannot face compensation this year. I think the risk is small if we look at how many of these parents we can pay an advance, at least for six months or a year. That amounts to €500 or €1,000. I think the risk to the organization is small. Those parents have a huge interest in that.
ParlaMint-NL_2020-10-01-tweedekamer-7.u117	What exactly are you seeing in front of you? You mentioned the dark months. Is that supposed to take shape around November?
ParlaMint-NL_2020-10-01-tweedekamer-7.u118	That is, of course, the intention, this year, so before the holidays. Let us say that an advance can be paid to as many parents as possible by early December at the latest. Let us also be clear: the shape does not matter very much. If the Secretary of State can find another form in which this can happen: very much. It should not lead to delays for all those other parents. It has to be done in a careful way. But look at the difference between the number of parents it's promised to, 5,000 parents, the number of parents who have reported, 8,100 parents, and the number of parents for whom the cabinet is now able to do something, 300 to 600 parents. That difference is just too big. I would welcome an advance for the holidays for many more parents. I have given here a number of options for the shape, but I remain recommended for other options of the cabinet.
ParlaMint-NL_2020-10-01-tweedekamer-7.u119	There is also an interruption by Mr Snels. Go ahead.
ParlaMint-NL_2020-10-01-tweedekamer-7.u120	I have a question about the first motion, also because I want to know what the authors think it means. Mr Sneller and I asked the Minister whether it would be possible to make an institutional law for a budget fund after this. That's what he's gonna write a letter about. Then we can certainly start with the non-departmental fund now, because we all believe that investment should be possible quickly in this crisis period, if there are good projects. How do the petitioners see that? Is the government allowed to continue with the non-departmental budget, or should we wait for the institution law for the budget fund? I'd like to get some clarity on that.
ParlaMint-NL_2020-10-01-tweedekamer-7.u121	I have not heard the cabinet's promise as: we are indeed going to make an institutional law. I've heard it's going to look at the possibilities. In the future, it might be possible. But I just think that's the right way. That is also what the Council of State and the General Court say. In my motion, I say that this is the way it should be, sooner or later. But I have not yet heard from the cabinet that it intends to do so sooner or later, only that it looks at the possibilities. In this motion, I would like to say that, as far as I am concerned, that is the best way. Preferably as soon as possible, but if it is in a year's time, it is better than what the cabinet is planning now, in this 'artificial way', in the words of the General Court.
ParlaMint-NL_2020-10-01-tweedekamer-7.u122	A follow-up question from Mr Snels.
ParlaMint-NL_2020-10-01-tweedekamer-7.u123	I understood that side of the argument. I think I see a lot of that, too, like superiors in the Chamber. But my question was about the other side. As long as the institution law and the budget fund are not there, what will we do with the amendment to the Compatibility Act and the non-departmental fund at EZK? It seems to me that this can continue, in the interest of the need to see if we can invest extra. Right? At least that's how I get to read the motion?
ParlaMint-NL_2020-10-01-tweedekamer-7.u124	What the motion says, I just described. The way things are now in the budget, I find problematic. So I await the answer from the cabinet, but I do not rule out rejecting that budget if I do not get any other commitments because I do not want to write a blank cheque of 20 billion in this tricky way. The cabinet must come up with a little more. What I meant by the motion, I just explained.
ParlaMint-NL_2020-10-01-tweedekamer-7.u125	Clear, thank you very much. Then, in a few moments, Mr Sneller will speak on behalf of D66.
ParlaMint-NL_2020-10-01-tweedekamer-7.u126	Thank you, Mr. Chairman. Thank you to the directors for the answer. The policy and legislative machinery of this cabinet is still in full swing, and in the meantime many groups are already looking at the next formation and the passing on of the electoral programmes. That is why I welcomed the Minister's commitment to discuss again with the Central Planning Bureau how that research and education will return to that accounting. I understand very well their independent position in that. I also saw a very broad agreement in the Chamber to raise these investments and further boost growth. Both State Secretarys have also made the necessary building blocks, variants, chips and other foundations for a subsequent government agreement. I would also like to thank them for their commitments to make them as concrete as possible, so that decisions can also be taken. Furthermore, we are naturally looking for new anchors with this budgetary policy and there is quite a difference of opinion as to where these anchors should be. In order for these anchors to land and record, it is necessary to have a broader consensus and at least a broader democratic debate. So I hope that after the opinion of the study group and the Minister's analysis, we will be able to discuss this not only with the Navy note but perhaps at another time before it lands on a formation table. With Mr Slootweg, I have looked at where the circles of social liberalism and Christian democracy overlap, as we stated in the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Netherlands has a rich tradition of corporate governance in which corporate governance is considered to take into account in a balanced manner a wider range of economic and social interests of all stakeholders;]] [[Whereas, in recent years, there has been increasing doubt as to the extent to which this is being done in practice and it has become clearer that current legislation leaves room for departure;]] [[Considering that several proposals have been made for better legal anchoring of this form of governance with different compliance possibilities, for example by introducing a responsibility for companies to weigh all interests against each other or to oblige directors to ensure that the company behaves as a responsible company;]] [[Calls on the Government to examine how this form of governance, in which the interests of all stakeholders are well-balanced, can be enshrined in the law and otherwise encouraged, and to endeavour to send this investigation to the Chamber in the first quarter of 2021,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sneller and Mr Slootweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-13]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u127	I now know why these motions need to be brief and concise, Mr President. That is also more pleasant for the petitioner himself.
ParlaMint-NL_2020-10-01-tweedekamer-7.u128	Yeah, that doesn't make it so easy for you to catch your breath, does it?
ParlaMint-NL_2020-10-01-tweedekamer-7.u129	No, exactly.
ParlaMint-NL_2020-10-01-tweedekamer-7.u130	Please continue.
ParlaMint-NL_2020-10-01-tweedekamer-7.u131	I've got five minutes. Furthermore, we have talked about broad prosperity. I would like to thank the Minister for announcing that, in November, the social cost-benefit analysis, which is also contained in the growth letter and the growth scales, will be followed up. Hopefully this will also offer some comfort for those parties who consider the wide range of well-being to be important. This was indeed a lot better. As stated in the Millions Note, the Council of State also had some nice suggestions for improvement, but perhaps they will be included in other motions. My motion concerns the point of the Council of State that we must continue to pay attention to the quality of public expenditure. They mention, among other things, SMEAs, but we are, of course, thinking very quickly about Article 3.1 of the Compatibility Act; Mr Snels has already mentioned it. We realize very well in this Chamber that the Council of State is independent as a High College of State to decide for itself what they do, but we have formulated a wish for this from our point of view in this motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that proposals under Article 3.1 of the Compatibility Act (CW) should include an explanation of the objectives, effectiveness, efficiency, policy instruments and financial implications;]] [[whereas the General Court plays an important role for the House of Representatives to monitor compliance, but this is mainly a matter of investigation and ex post review;]] [[Whereas the Council of State, when advising on legislative proposals in advance, uses a review framework which includes a policy analytic test and which provides clear leads to pay more explicit attention to Article 3.1 CW;]] [[expresses its wish that the Council of State, when advising on legislative proposals, should pay explicit attention to the way in which the obligations laid down in Article 3.1 are fulfilled,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Sneller, Mr Snels and Mr Aukje de Vries. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-14]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u132	Mrs De Vries has therefore tabled a motion. Thank you, Mr. Chairman.
ParlaMint-NL_2020-10-01-tweedekamer-7.u133	Thank you very much for the input. There is another interruption by Mr Van Raan. Go ahead.
ParlaMint-NL_2020-10-01-tweedekamer-7.u134	I'm wondering something. Last week or the week before, Honorary Member Jan Terlouw said that the corona crisis is perhaps just a whim, without wishing to diminish the seriousness of the matter, in the context of the forthcoming climate and biodiversity crisis. In this context, I would like to ask whether D66 agrees with the Animal Party that any budget and support package should actually be considered in that light, rather than the unfocused aid that does not take into account greening. Or do I give you a two-choice menu, D66 says: no, this was actually the maximum achievable thing that could come out of it, in terms of budget and aid packages, and we will have to do it with it?
ParlaMint-NL_2020-10-01-tweedekamer-7.u135	A multi-choice question.
ParlaMint-NL_2020-10-01-tweedekamer-7.u136	With more choices, I'd rather have more than just a yes or no.
ParlaMint-NL_2020-10-01-tweedekamer-7.u137	Two choices!
ParlaMint-NL_2020-10-01-tweedekamer-7.u138	Two choices. In my view, Mr Van Raan is failing the packages and there are many points of departure to strengthen and further stimulate greening. Let me put it this way: it is a rather broad question. What are we going to do about the recovery fund and how are we going to apply for it? There are also comments about this in the Millions Note: there will also be a greening impulse. So no, we're definitely not there yet.
ParlaMint-NL_2020-10-01-tweedekamer-7.u139	A follow-up question from Mr Van Raan.
ParlaMint-NL_2020-10-01-tweedekamer-7.u140	The fact that we're definitely not there yet is clear. It's good that D66 recognizes that. But it's still not enough. And I never really hear D66 say that. We know much more needs to be done, so how can D66 say they're happy with this?
ParlaMint-NL_2020-10-01-tweedekamer-7.u141	I think there are other groups in this Chamber who often say that we think that it is never enough. That was my first answer to Mr Van Raan.
ParlaMint-NL_2020-10-01-tweedekamer-7.u142	Thank you. Mr Nijboer now has the floor after cleaning up the sitting. "Cleaning" is just a primeval Dutch word for "cleaning" to avoid misunderstandings. You can do the same with language. But I give the floor to Mr Nijboer.
ParlaMint-NL_2020-10-01-tweedekamer-7.u143	That's rarely necessary for me, Mr. Chairman. Thank you for the reply to both the Secretary of State and the Minister, who had his birthday yesterday; congratulations. I would like to touch on three more points. First of all, rising unemployment. Today there were mass layoffs. Mr Slootweg referred to this in his speech. It's gonna be a hell of a time for the Dutch economy. We talked about the support packages. I have appreciated the way in which the cabinet wishes to take into account the opposition's desire to improve the measures. The Minister promised once again to look at the extension of the packages, but also at specific support packages for the cultural sector, for municipalities, for sports associations and for the catering industry, without saying directly: I will do so next week. I understand that, but I fear that we will have to deal with these corona measures a little longer and that more and more companies are going through all their buffers and are getting in a lot of trouble. Then I guess it's necessary to do something for that. The great instrument of the cabinet to drive investment and fight unemployment is, of course, also the BIK. I haven't been convinced of that; the Secretary of State didn't expect that either. I had prepared a motion to say: turn those alternatives against each other, weigh them against each other. What is the most effective way of combating unemployment in the short term and promoting investment? I said in my first term: I think housing is going to be very high, very high. The Secretary of State has already promised that he will, so I see it with confidence, or with care, which way you look at it. Mr. Chairman. We are talking to the cabinet about living together with GroenLinks. I think there is more and more to be done there, and we hope to achieve that. The second point. We have had a discussion, a debate on debt levels. The PvdA is not of the department "the more debt, the better" and has never been. I never will be. But I do think you should look at the macroeconomic context. The Minister has also indicated this. If you see debt rising everywhere in Europe, and in the world, by the way, if you see that interest rates appear to be structurally lower than growth, if you also see what social needs there are to invest, I call an investment in education, then actually the most stupid macro-economic policy would be not to invest in education and pay off public debt, if you put it that way. Then I think that is a very wise discussion to have in the Netherlands, but also in Europe. I also think it is wise to look much more closely at the costs of interest than we have done in recent years. Earlier was of course always a bit the doom scenario "that interest rate can rise again." That is true, but you can also see if that can not be spread over more years, so that you also have more adjustment time when it is. Because it could take 20, 30 years, and then you're scaring yourself for 20, 30 years, when you don't make necessary investments. So I think it is a very beneficial outcome of this debate that the Minister for Christmas presents a new vision of the Growth and Stability Pact. Finally, the Wopke-Wiebes fund. I have two fundamental problems with that. We will continue to discuss both with the Cabinet. Mr Alkaya has already tabled a motion on the first problem. Actually, that's the authority of the Chamber. A bit harshly put, the PvdA thinks: politics is not a consultancy agency and the Netherlands is not an e.g. It's about vision and organization of the society you invest in. That's not necessarily good or bad. One is for more education and the other for more airports; one is for more housing and the other is more for biomedical conditions or agriculture. That's just a political choice. That's what we've been chosen for. That's what we're here for. And you can't outsource that. I think that is a fundamental political point to leave with the Chamber. That has nothing to do with grabbletons and I don't know what, because you can make a good committee and a critical analysis of the CPB with proposals, so that you don't throw away money, but it remains an excellent political choice that you spend that money on. And within those choices too, I also say in connection with the debate with Mr Sneller, it matters. It should also be reasonable if money goes to education, whether it goes to higher education, to primary schools, to MBOs and what that ratio is a bit. That is an excellent political choice. I'm not gonna give a pass, the PvdA isn't gonna give a free pass for 20 billion in possible sensible spending without having any influence on it.
ParlaMint-NL_2020-10-01-tweedekamer-7.u144	But you have not finished the discussion with Mr Sneller, because he still has an interruption. Go ahead.
ParlaMint-NL_2020-10-01-tweedekamer-7.u145	Apart from the next time we will talk about it again: it is not at all the question, I say to Mr Nijboer, to give 20 billion and'see what you do with it'? There are also just three policy articles on which it is divided. And if that is the level that Mr Nijboer wants to take the political decision on, that is exactly what is ahead. That is also the level of abstraction that he initially indicates as where he wants to be able to steer. Then it is indeed this for infrastructure, this for knowledge development and this for R&D.
ParlaMint-NL_2020-10-01-tweedekamer-7.u146	Mr President, I will come to the goal in a moment. Then I miss the housing in that and I miss, also within those sectors... I'll put it very practically. I am a huge supporter of investment in public transport, including from this fund. But I can come up with a few projects that I'm really opposed to. So at that level, too, I believe that as a Chamber, we do not only have a controlling role, and can send responsibility afterwards and the Minister away. No, even before, if I think that's a good idea, I want to be able to say that. This also applies to investment in education. This also applies to investment in innovation. That's not happening right now. The request is put aside 20 billion, committee comes with it, cabinet is not going to make decisions if that committee does not give a positive opinion, and the Chamber may then say to the minister: you have wasted the money. Yeah, that goes way too far for me.
ParlaMint-NL_2020-10-01-tweedekamer-7.u147	You will continue your speech, and there is still half a minute before that.
ParlaMint-NL_2020-10-01-tweedekamer-7.u148	That's exactly what I'm gonna do. I have a motion. We need to be sustainable, and that is sensible, but I have just printed out the report of the Committee on Wide Prosperity. It's a pretty good report. The committee was chaired by Rik Grashoff van GroenLinks and I was allowed to be part of it. Mr Heerma, the group leader of the party to which Mr Hoekstra is a member, and Mr Harbers sat in it. Mr Koolmees, a colleague of the Minister. The committee actually says that the whole policy must be based on the broad concept of prosperity. That's what my motion is about. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Growth Fund focuses on GDP growth as a guiding criterion;]] [[whereas the House of Representatives examined the importance of broad prosperity as a goal for financial and economic policy and there is also broad consensus in science that policies should be aimed at promoting it;]] [[calls on the Cabinet to replace the criterion of GDP growth with the objective of increasing broad prosperity,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Nijboer and Mr Alkaya. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35570-IX-15]]
ParlaMint-NL_2020-10-01-tweedekamer-7.u149	Mr. Chairman. I conclude with the words of a former Minister of Economic Affairs, also party leader: without vision, the people are dwindling.
ParlaMint-NL_2020-10-01-tweedekamer-7.u150	Thank you. I call Mr Bruins, who is speaking on behalf of the Christian Union.
ParlaMint-NL_2020-10-01-tweedekamer-7.u151	Mr. Chairman. In my opinion, the last spell that Mr. Nijboer quoted came from King Solomon's Bible book Proverbs. A little older than...
ParlaMint-NL_2020-10-01-tweedekamer-7.u152	That depends on which Bible translation you use, but go ahead.
ParlaMint-NL_2020-10-01-tweedekamer-7.u153	This wasn't the American translation, Mr. President. I admit that. I start with another spell, from Seneca: the language reflects the soul. I liked the debate: beautiful language, beautiful style, but also beautiful content, especially today. Mr Snels also said: we have had deep and good discussions and we have cited many old wisdoms to talk about the future of this country. That's nice, that's very nice. I was even allowed to quote the Italian statistician Corrado Gini. I just got a full yes from the Secretary of State. That's delicious, isn't it? We have talked about state aid, about public debt, about the sustainability of public finances in bizarre times, because we live in bizarre times. It was good to have real reflections in the Financial Reviews, because that's what they're for. At the same time, many concrete commitments have been made. I thank the rulers for that. That means that I only have to table one motion, and that is a motion that the Chamber is about and which I do not ask for a ruling from the Cabinet. It is logical that I could not get a commitment on this. That motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[believes that prosperity is much more than money, economy and growth;]] [[takes the view that a subsequent coalition agreement should be passed on from a broader perspective of prosperity,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bruins, Mr Snelter, Mr Slootweg, Mr Snels, Mr Nijboer and Mr Stoffer.]] [[She's getting No. kst-35570-IX-16]]
