ParlaMint-NO_2006-02-09.ana.ud1041e51	The representative of Laila Bavøy will make a private proposal.
ParlaMint-NO_2006-02-09.ana.ud1041e939	It's going to be line change.
ParlaMint-NO_2006-02-09.ana.ud1041e943	No, you're not weak if you start a dialogue, and I also underlined that dialogue can have a lot to do. If Norwegian foreign policy has always been consistent and recognisable? Dialogue with the Soviet Union was mentioned. Let me give you another example: South Africa before 1994. I've mentioned it before. We had no dialogue with the government of South Africa until 1994, but we had an active dialogue with other parts of the community in South Africa. So one doesn't exclude the other. If we do not have a dialogue at authority level in Iran, we would like to have a dialogue with other sectors of Iranian society. So I agree that we need to intervene with positive forces, but about going into an active dialogue with representatives of a president who will remove one of the UN member countries from the map, and who says that a historical tragedy like Holocaust in the way he does is constructively from the Norwegian side, I am uncertain. Does the Minister for Foreign Affairs think that dialogue at any price should be pursued?
ParlaMint-NO_2006-02-09.ana.ud1041e950	The answer to Mr Höglund's question is simple: no. Dialogue should not be pursued at all costs. It's very little in life that should be reached at any cost. You have to balance it. So I would like to repeat that it is a very positive contribution that the Progress Party is now systematically ending up with the UN-led boycott of South Africa until 1994. It is a clarification of what has been the view of the Progress Party on that conflict, which I believe will help bring them to a normal stage in Norwegian foreign policy. When it comes to having dialogue with Iran, I think it was an advantage that on two occasions this week, I could involve my Iranian colleague in a quarter of a century-long conversation about security at the Tehran Embassy. We have always been very clear about condemning the statements made by the President. But as I said, having dialogue, it's about getting involved. Therefore, if security allows, I would like to suggest that my Secretary of State travels and conducts the conversations we need to avoid giving extremists the right idea that we are not now talking across ideological dividing lines.
ParlaMint-NO_2006-02-09.ana.ud1041e959	I'm not going to start up the polemics again, I just want to stress that I stand firm by saying that at Soria Moria, the withdrawal from Iraq and Operation Enduring Freedom was justified by the fact that SV was going to get an impact on its anti-American line, and that signal was read in many countries. I think the reactions that, among other things, The representative Ågot Valle met during his visit to the Pentagon, at the time the government joined, clearly showed that what happened did not go unnoticed among our friends. In addition, within the Soria Moria Declaration, we have announced that we should not join, or oppose, a missile defence operation within NATO in cooperation with Russia. It will be interesting to see whether this will force Norway into a footnote country situation, or whether it is possible to have a positive development towards the NATO summit. But I have one question, and that is something in the statement that has bothered me, namely the mention of the coordination work related to the Palestinian self-government areas, where it seems, therefore, that there is some doubt as to whether there will be a coordinated international support in the future. I will be allowed to ask the Minister for Foreign Affairs simply to explain how he perceives the work at the moment.
ParlaMint-NO_2006-02-09.ana.ud1041e968	It's a tough question to answer within one minute, but I think, as I said instead, that the world community is hesitating and fambling round this. From the Norwegian side, we are clear that we are going to stand by our commitments to President Abbas and his interim government until it becomes clearer what kind of government is coming, and what kind of policy such a government will lead. We also believe that this, as elsewhere, is important for the international community to be as united as possible, that the Quartet and donor countries – which include the Quartet countries, but also a number of other countries – gather together as possible on a common line. At the donor country meeting in London before Christmas, which Norway led, we were in the process of implementing comprehensive plans for reform work on the Palestinian side, so that the money that emerged would not be lost in corruption or other disorder on the road. That work has to go on, and it's very negative if we just let go of it. But of course, we're going into an uncertainty period, where someone is going out and others are going in. That is exactly why we believe it is important that the international community now makes its mark and make it clear to its present and future governments what is the view of the donor countries.
ParlaMint-NO_2006-02-09.ana.ud1041e973	The Minister for Foreign Affairs and myself share the view on the importance of human rights dialogues, that it is important to maintain them and to develop new ones as well. I have previously, in my speech, given support to the new line towards Cuba, and the Foreign Minister has answered written questions from me about what one will do with civil society, and it is satisfying as it is black. On the other hand, there is a dialogue on human rights. It will evaluate. I now challenge the Foreign Minister, based on what he has said about it, to confirm that one will also try to get it started, because it is absolutely necessary to do it in relation to Cuban society. Then I would also ask the Foreign Minister to confirm that the content of his distribution is such that the two points on which the Progress Party has put forward proposals here are a concrete consequence of what he has also said, but that one here has a healing like a trying to last. If he confirms this, I would recommend that the proposer submit the proposal to the Government. It's unfortunate if we get a reconciliation here in the hall on something that's actually the government's policy.
ParlaMint-NO_2006-02-09.ana.ud1041e982	I would refer to page 16 of my statement and ask the representative Lilletun to read it. I hope that by reading it he sees that the government's policy here is clear and clear. I also say in this post that the world community should not now express itself in such a way as to promote uncompromising attitudes by making detailed and absolute demands. Nevertheless, we repeat what is the Norwegian general view, and I think that the representative Lilletun will feel good about what is Norwegian general view. On that basis, I believe that my statement clearly sends a signal to all parties, and not just to one. That's why it's a more representative expression of what's been Norway's line, and I hope we also have a majority in this room for that in time to come.
ParlaMint-NO_2006-02-09.ana.ud1041e987	The government's ambition is that the Barents Sea should become the'sea of cooperation'. This vision, supported by the Left, builds, among other things, on the assumption that high standards are to be set for the environment. The Minister for Foreign Affairs stressed in his statement the importance of us as a coastal state being a long-term administrator. The United Nations Environment Programme, UNEP, issued its Yearbook, warns against petroleum activities in the north. The UN Environment Agency is concerned that several countries, including Norway, are under pressure to use oil and gas resources in the north. Does the Minister for Foreign Affairs agree that it is important that the management of resources in the ‘seas of cooperation’ is based on a broad national consensus on a management plan where protection and activity are balanced? And: does the Minister for Foreign Affairs agree that governance must take place in a way that also clearly indicates to the international community that Norway is striving to find this balance between protection and activity?
ParlaMint-NO_2006-02-09.ana.ud1041e994	It is easy to answer yes to the question of the representative Kvassheim, and that is also the scheme outlined by the Government in its Declaration of Accession, in Soria Moria and in my statement. In my presentation, I put great emphasis on the importance of activity and that Norway is the leader in the different areas of activity. I believe Norway must have the ambition to lead in the field of energy. It shall occur within this balance between the environment and resource use, whether in the case of fish, in the case of petroleum or in the case of transport. The overall management plan, which I referred to yesterday as an important foreign policy document, will come to the Stortinget and provide a basis for this. In my conversation with my Russian colleague next week, I also want to pursue the idea of closer cooperation with Russia on how we can imagine a vision that such principles will apply to the whole of the sea. Of course, it cannot be that we dictate it, but Norway and Russia, who are responsible for these areas, work for it. That's the answer to the last question to the representative Kvassheim: It signals to the international community and to those most affected, that we have ambitions for this balance.
ParlaMint-NO_2006-02-09.ana.ud1041e1003	Just a brief comment on our proposal. It must also be seen in the light of Hamas’s history and the experience of the world community with Hamas. There are no requirements for Hamas that we have invented. These are requirements that have been set by several. But I want to move to the north and the relationship with Russia, where we are going to engage in active dialogue and cooperation in many areas. It's definitely something that we don't disagree with. But when we discussed the Northern Territory Communication in Stortinget last year, the Foreign Affairs Committee chose to introduce the human rights dimension. It wasn't in the first place. Can the Minister for Foreign Affairs confirm that in the action plan for our relationship with Russia to be presented next month, the dimension of human rights is safeguarded and will be part of the dialogue and cooperation we are going to have with Russia?
ParlaMint-NO_2006-02-09.ana.ud1041e1010	The representative, Høglund, spoke about the experience and tradition with Hamas, and I agree that there is reason to follow closely here. But when I underline the importance of having a balanced approach, there is also the experience and tradition of Israel and their compliance with resolutions adopted many, many years ago. Therefore, there is a need to be balanced in the approach. With regard to the northern regions and Russia, I can say that the MR dimension is central. It will be a separate chapter of this action plan. MR questions are also central when I visit Moscow next week. I would like, among other things: during my stay there having a meeting with a wide range of non-governmental organisations, NGOs, because we are engaged in their job opportunities. It is also part of the relationship with civil society in Russia, a structure that will find its place after 70 years of regimes without civil society. So this is important to us in that dialogue. It once again underscores the importance of dialogue, namely that we can have contacts with different parts of society at the same time.
ParlaMint-NO_2006-02-09.ana.ud1041e1017	The cord shift is over.
ParlaMint-NO_2006-02-09.ana.ud1041e1021	‘There is no development effort that is more effective than strengthening the position of women.’ With these words, the UN Secretary-General, Kofi Annan, UN Commission on Women, opened on 28 February 2005, and there is an opinion that I fully support. In large parts of the world, children and women suffer and die because they do not have access to a basic minimum of education and healthcare. 600,000 women die each year as a direct result of complications during pregnancy and childbirth. Twenty million. suffer from severe and prolonged illness and disability. And every year, 4 million die. neonates and millions more are injured due to poor follow-up and treatment during pregnancy and childbirth. The vast majority of these live in developing countries. When we know that there are women who bear the heaviest burdens in relation to children, family, work, the older generation and the surrounding environment, we can hardly imagine what a tragedy it is for a society. About 40 million. human beings are affected by HIV infection or are AIDS. Overall, HIV infection is the main cause of death in the 15–59 age group. HIV/AIDS has evolved into a catastrophic epidemic, among others. as a result of silence, silence from private individuals to the world’s top leaders. Mothers can infect their children through breast-feeding. In many countries, HIV-positive mothers who know this and have the resources to substitute milk in bottles, are still breast-feeding. The reason is simple, and it's tragic: if she gives a bottle, she could be suspected of being HIV infected. The fear of being pushed out is stronger than the fear of infecting their own child with an incurable disease. Therefore, maternal-child-infection medicine is very important to reduce stigmatisation and thus prevent further spread of infection. The co-operation administration provided a significant boost in the Norwegian aid effort in general. Norway has been among the three largest donors in the UN’s fight against AIDS. Norway has also contributed to the establishment of the Global Fund for the Control of AIDS, Tuberculosis and Malaria, a partnership between authorities, non-governmental organisations, UN organisations and industry, both globally and at country level. I am pleased that Norway is also an important contributor to measures that specifically strengthen women’s health, for example in relation to the WHO work for better reproductive health. I would challenge the Minister of Foreign Affairs and the Government to follow up the work of the Cooperation Government in this area and increase the appropriations for projects and measures to improve reproductive health, in particular, and to focus on strengthening the position of women. Security Council Resolution 1325, on women, peace and security, requires all parties involved to respect and protect the human rights of women and girls, to prevent sexual and gender-based violence and to promote equal participation of women in peace-building and post-conflict reconstruction. Five years have passed since UN Resolution 1325, and UN Secretary-General Annan launched an action plan to implement the resolution in October 2005. This is commendable, but we must now at the same time express our great impatience in fulfilling the objectives of the resolution. The Millennium Goals cannot be achieved without doing more to meet the need for better reproductive health. Investing in measures to improve maternity care, better maternity care and safe contraception will reduce the suffering and poverty of many individuals and their families. The right to health is a human right, laid down among others. in the UN Convention on Social, Cultural and Economic Human Rights. The global challenges related to women’s health are therefore a question of the fulfilment of fundamental human rights. I would like to challenge the Government and the Minister for Foreign Affairs to say something concrete about how they will respond to the clear challenge of the UN Secretary-General, that there is no development effort that is more effective than strengthening the position of women in developing countries.
ParlaMint-NO_2006-02-09.ana.ud1041e1044	Yesterday's Foreign Minister's statement in Stortinget was good, Prospective and important. We received both a thorough review of the current and serious issues that we are all concerned with now, and a broad review of the more general principles and issues of the Government's foreign policy. It is reassuring that the Minister for Foreign Affairs so often stresses that Northern Region policy must be broadly anchored and encompassed in all areas of society. In the years since the start of the new Barents Cooperation in the early 1990s, inter-population cooperation has developed through both personal and institutional contacts. It's a cooperation that has meant a lot to the trust between people in the north who are going to be absolutely crucial in the years to come. But some of the biggest challenges we're going to face is that the north border not only marks a distinction between nations, but also between people with totally different living conditions. It is therefore important that we now continue and strengthen cooperation in the health and social sector, which has so far been a successful initiative, initiated by the first Barents Health Programme, which started in 1999. The Health Nord region is responsible for this programme, and it is now further increasing its efforts, including: by setting up a strategy group to provide health professionals with input to the Nordic Region Committee that was set up in the last harvest. Combating poverty, whether in Norway or in Russia, must not least focus on children and young people. It cooperated as the BUF Etat region north, i.e. the child protection authorities of the northern counties, have had public child protection in Karelen, have now remained for five years, and the experience of this cooperation is very good. The work has been funded in a disparity between the Ministry of Health and the Ministry of Children and Gender Equality and has been aimed at exchanging professional methodology and experience in social work for children and families. We have seen an increase in our own country in children under the care of child protection over the last 10–15 years, but this cannot be compared with the enormous needs that exist in this field both in Karelia and in North-West Russia. Cooperation between the BUF Etat region North and the Karelia region has mainly been in the building of competences in relation to the region’s own professionals, where it has been the task of building alternatives to institution locations for children without parental care, such as foster homes and other adapted solutions. It is very important that the cooperation established in the north in the health and social field be followed up, including economically. It's vital that we now do what we can to reduce the enormous differences in health and living conditions between us and our neighbours in the east. Living cooperation in the north requires as much as possible between equivalent partners. In these days the festival «Barent's Spectacle» ends in Kirkenes, or rather in the Churchnes and Murmansk, for this great international cultural festival has set itself the goal of walking across the border in the north with its programme, which artists from five nations are behind. Here the audience has experienced concerts, exhibitions, literature events and other artistic expressions. In addition, an ice hockey tournament has been organised where professional Russian players have met their hopeful friends on teams such as Tromsø Hockey and Kirkenes Puckers, who are probably now walking around and looking forward to ice hockey if not too long can be a sport in North Norway too, and that thus one can get even closer cooperation with sportsmates in the East. I think it is important that we repeatedly stress the importance of inter-people cooperation, for example. in the field of sport and culture. I myself had the pleasure of being a host to artists from many different nations in my time as director at the party games in North Norway. Some of the finest memories I have are linked to the great Palestinian marking we had in 2000, where artists and cultural actors from Ramallah, Hebron and Jerusalem stood on stage in a small North Norwegian coastal town together with artists from all over the North Callot. It made a lot of sense to see how art across borders and cultural boundaries can find a common explicit expression that almost becomes like a language of its own that occurs there and then, which deeply affects us who experience it. Palestinian artists have a tradition of international orientation and cooperation, and contacts with Scandinavian artists and artists’ organisations have been good. The Family and Culture Committee also had a visit not long ago by a Palestinian delegation of artists who want to establish a contemporary art centre in Ramallah. It was an important and interesting meeting, and it is joyous and absolutely expected that Palestinian artists in the tense international situation we are now in, have heard their voice with strong defences for Norway and Denmark, strong calls for peace and reconciliation and clear distance from embassy attacks and flag burning. This is an important way for us – to build contact with even more countries, not least Muslims, through extensive and extended cooperation in art, culture, sport in relation to venues where people have the opportunity to meet, see each other and experience how strongly we relate to each other.
ParlaMint-NO_2006-02-09.ana.ud1041e1063	It struck me when I listened to foreign policy yesterday, and it strikes me when I listen to the debate today: it is good both for Europe and for the international situation that there are European countries that have a voice in foreign policy. It gives you a separate room, it gives you your own possibilities. The central party looks forward to an extension from the Government side of how Norway can be a driver for the UN to become a more effective organisation. Then we are very pleased that the Government, at the same time as she clearly rejects an application for EU membership, has started the important work of giving the EEA work a new one. There is no doubt that there is a need for better management of EEA and EU-related issues in Norway than has been the case until the government change. Here is a space for asserting Norwegian interests that the Government is currently viewing and taking advantage of. As mentioned in a reply from me earlier today, the Riksrevision presented a report in the autumn which showed that the management of EEA matters in the government apparatus has been irresponsible. Three departments were examined. The conclusion was inter alia: that Norway has been far too late to influence. In addition, the departments in key areas of relevant competence are missing, and we send ‘juniors’ to Brussels, called it. Furthermore, it was also pointed out that external actors, for example: voluntary organisations, to a small extent, were recruited and listened to. This is a report that is important to take seriously. Here is good advice for a government that has announced a more active European policy, and which is already well underway in the field of action. The fact that two government councils went to ESA to follow up a new round on the differentiated employer fee has given many municipalities and companies new hope. The government’s commitment to the European Parliament to influence the Services Directive is one of several examples of early impact. So, of course, it's not just the government that has a potential for improvement. We at Stortinget also have to go through how we can secure opener and wider processes. If the Storting is to be sure to enter earlier into the work on the development of new legislation in the EU, the processes in this house must also be changed. I would like to ask the Presidency to discuss with the Government how it can be arranged so that the Storting can at any time be up-to-date on what matters the EU is working on. Let me briefly mention a couple of keywords on what can be done differently from today. For the first time, the Match Government has to be out early. The work of the EEA Committee must be prepared in such a way as to bring matters before it. Furthermore, there is a question as to whether the treatment itself can be made more open. Can e.g. Meeting references as a general rule made public after a much shorter period of time? Today, the limit of a year, which makes a public change of words about the issues that the EEA Committee is always discussing, is difficult. How can we get routines that allow current organisations to influence? Can we, for example: play to a greater extent than today on teams with the Norwegian networks established in Brussels? The Joint Committees at Stortinget also need to be more closely involved in developing Norwegian positions. At this stage, Norway has the greatest opportunity to influence the content of the legislation that is being developed, as well as to point out how Norway will stick to it. This can be combined with hearings in cases of a high degree of principle and/or where there are many parties, and where there is a different point of view on how Norway should deal with the situation. The second point is that the Storting must act as a “required customer”. We need to set requirements for information and organization from the Government. A number of new legislation adopted by the EU are ‘small picks’ that can be implemented in Norway through regulatory changes. But just as it is, it also shows up things that are significantly problematic. It is then important to ensure that the legislative process that is taking place is at least as open and wide as when dealing with ordinary acts in Norway. This means that we have to be able to make demands on the Government for greater precision, in short, that it is becoming clearer and more honest to present the advantages and disadvantages of new legislation that is proposed. Perhaps the Government can play more both in the EU and in the many Norwegian functions that follow developments in the EU to obtain relevant information. It is therefore crucial that the process of the Storing takes place at a time when it is still possible to influence.
ParlaMint-NO_2006-02-09.ana.ud1041e1091	I am pleased that the Minister of Foreign Affairs, in his presentation, spent a lot of time describing the potential and challenges in our so-called northern regions. I think there's going to be a lot of practice to be able to achieve the ambition that these geographical areas will receive our greatest foreign policy attention in the future. There are a number of water retention and glances that have historically gone in the direction of completely different geographical areas, but the image that is opened and that is being opened, I consider positive. In the context of the conflicts we experience around the world, we know that in very many of these conflicts, there is energy – or rather a lack of energy – at the bottom. Future developments in our northern regions are very much about energy, but also about concepts such as the environment and other assumptions. When we know from this perspective that the world's energy needs after all estimates are going to increase by more than 60 pst. For the next 25 years, we'll see what kind of challenges the world faces. In this context, I also believe that we underestimate the conflicts of interest that we will face in these areas. Then the question is, are we able to determine the course itself? We have no historical experience in creating policies, either in our neighbourhoods or in our foreign policy thinking. What lies at the bottom of both the Northern Territory Communication and the political debate is that we should bet, we should take action, and we must be clearer in the language. What kind of research programme are we going to develop? What kind of policy, where do we want to be in 15 years, for example, in this Barents 2020 bet that we talk a lot about? This is where I think we need to take a clearer grip. Where are we going to be in 20 years? It is obvious that the management plan – and here we got a leak – that in many ways should be more than just an environmental plan, not at all clear about what goes on on our value creation potentials. It has been confirmed in all foreign policy debates, including today, that Norway is a small country in the world – and one refers to Lars Korvald. The head of the Foreign Affairs Committee even used this concept, that Norway is a small country in the world, and the more it repeats, the more we believe it. I am glad that the Foreign Minister himself did not completely swallow this, because nothing is more wrong than that. Norway is not a small country in the world. We're a geographic power force. Norway has more than 30 pst. of the land and sea of Western Europe. Norway is 60 pst. of the land area of the EEA countries. We are an energy-policy power force in the world. It's with this as a back cover that we have to grips with when we talk about the potential in our northern regions. If we don't, we can't achieve our goals. We can't even set ourselves the goals we want in a world where the demand for energy is what's the greatest of all challenges in the future. And when it comes to developments in this gigantic area, at least we have to have ambitions to put on a leadership shirt. If not, this becomes a puzzle, and there's a political development where we're at risk of being stuck in the Tribune. We see that the European Commission is proposing a comprehensive energy policy plan for the European Union. We see Russia and Germany talking more and more together about the development of long-term energy agreements. And we know that in Russia, business and politics go more hand in hand than they do in Norway. That's why we need to be clearer in our language of development in our northern regions, if we're going to achieve the goals we've set ourselves. It is a good start that we have been presented with the Northern Region Communication, and I think the Foreign Minister's statement and the mention and attention given to the Northern Region Policy are also a very good start.
ParlaMint-NO_2006-02-09.ana.ud1041e1108	I will initially give praise to the Government for the way it has handled the last days' events. Attacks on Norwegian embassies and Norwegian personnel in international operations are frightening and serious and difficult to understand for a nation working for peace and reconciliation. My post will essentially be from a defence perspective. I will first take the opportunity to give our soldiers in Afghanistan credit for their handling of the difficult situation that arose when the NATO-led ISAF base of the regional stabilisation team in Meymaneh, northern Afghanistan, was subjected to a massive organized attack. The group that attacked, used automatic weapons, hand grenades, pan-server rockets and fire bombs. Just skill and luck meant that none of the ISAF soldiers' lives were lost. Unfortunately, six soldiers were more easily injured in the critical situation, and reinforcements and aircraft support from, among others, were needed. Dutch F-16 aeroplanes and US A-10 ground supporting aeroplanes. In addition to British reinforcements, reinforcements were flown in with German helicopters. This aid helped to control the situation gradually. This shows the importance of NATO as an alliance, and not least the importance of having air control, with air support in place after a few minutes. In the next three months, Norway is on its way to contributing four F-16 aircraft to the ISAF mission in Afghanistan. The ISAF team plays an important role in the stabilisation of Afghanistan and is wanted by the elected authorities of the country. Norwegian military forces are engaged in peace and security efforts in Afghanistan, a country that has been under war, civil war, violence and oppression for decades. The ISAF team has a clear UN mandate, and it is led by NATO. The work of Norwegian officers and soldiers focuses on both the stabilisation of society and the reform of the security sector. In this way they directly contribute to the promotion of human rights in the country. I therefore fully agree with the Minister for Foreign Affairs that Norway must meet its long-term commitments in Afghanistan as part of NATO's bilateral and through various UN channels. It is therefore not appropriate to withdraw our forces from Afghanistan. I expect that there is a broad political consensus in the Stortinget also about this line. The government's foreign policy is enshrined in the Soria Moria Declaration with a value base that marks belief in common, justice and distribution. It is very important that Norway make an effort to combat poverty, make a fairer distribution and make a more democratic world order both globally and regionally. Norway shall be a clear nation of peace and contribute to the prevention, mitigation and resolution of conflicts. In its presentation, the Minister for Foreign Affairs put great emphasis on the northern areas as Norway's main strategic area in the coming years, which I fully support. The media can give the impression that many have expectations that the government’s Northern Territory Initiative also means a strong military structure in the north. It is therefore important to stress that the challenges in the north are not primarily the building of military power, but that energy development, transport, the environment and good management of important maritime resources must be at the centre. But I would also like to stress that the defence must have a natural and important role in this image. Finally, I would like to say that Norway should be a nation that places human rights, poverty reduction, a fairer distribution and a more democratic world order high. It's the Labour Party's policy, and it's the Government's policy.
ParlaMint-NO_2006-02-09.ana.ud1041e1127	I would like to thank you for a thorough and good presentation of foreign policy – in the light of the current and dramatic events following the printing of the Muhammad drawings. Of course, this has also shaped some of the debate today, but on the part of the Christian People's Party, we would say that it was wise for the Minister of Foreign Affairs in his presentation also to put the spotlight on other important foreign policy issues. It is important to focus widely, even though at the moment it boils slightly extra in some areas. I would therefore like to spend time commenting and making some point of view on what two governments have defined as Norway's main strategic focus in the coming years, namely the northern regions. The good communication of the co-operation government on the north, as underlined by the Minister of Foreign Affairs in his speech, is now the basis for the offensive Northern Region policy of the majority government. There is every reason to commend the Minister of Foreign Affairs for the offensive approach to the challenges in the northern regions – as Lilletun also pointed out by the Christian People's Party – and I can promise that the Christian People's Party will be an active contributor to the formulation of a sustainable and comprehensive Northern Region policy. You can ask the question whether you have created such high expectations that there is a certain danger that the arc might break. There have been enormous expectations in North Norway, while we know that in the Government there are very different views of the pace in, for example. oil and gas activities in the Barents Sea. Opinions from various government councils are striking, and the leakage has contributed to further debate. We all remember from Norway's history the battle of Svolder, when Einar Tambarskiveve's bow was struck by an enemy arrow and Olav Tryggvason asked the following question: What broke so high there? Einar Tambarskiveve replied: Norway by your hand, king. Now I don't think North Norway will disappear out of the hand of Minister of Foreign Affairs Gahr Støre, but there are many pitfalls and many opportunities for lack of arc in the North Region bet. It is extremely important to focus on an overall approach and recognise that everything is related to everything. I think that the broad mandate given to the Committee of Experts on the North shows some of the complexity. It's about fish, petroleum, health, travel, ocean law, culture, society, education and indigenous people – and I want to add agriculture and the defence presence in North Norway. If we are to succeed in achieving the expected development of the northern regions, we must have this broad perspective on policy development. We must seek close contact with the political environments in the north, which have great expectations, with business and, perhaps most importantly, with our relationship with our good neighbours in the north, with the EU and with the United States. In short, the presence of the defence in North Norway: the Minister of Foreign Affairs is offensive and says that we should increase the presence. The Minister of Defence has been the same. But the head of defense lacks money, approx. DKr 4 billion per year. years – he has notified it on several occasions. He points to two possibilities: either more money or restructuring. Then there will also be strong restructuring in the north. We already see the signal, that equipment and personnel are moving from north to south. I want to challenge the Foreign Minister for that very thing, even though he is not the Minister of Defence: should resources be moved, or should there be more money in order for the Defence to continue to have the position they have in the North? It is very important to have close and good cooperation with the business community. The NHO has been very active and pointed out a third of the challenges we face – they have called it a resource strategy, a knowledge and innovation strategy and a neighbouring strategy. On the part of the Christian People's Party, we see that this can be a sensible division to keep the debate in order. Finally, I just want to say that the Christian People's Party will be a driver and an active co-player in the development of the northern regions.
ParlaMint-NO_2006-02-09.ana.ud1041e1150	The great injustice, the difference between poor and rich – the fact that millions of people live in starvation and distress – creates the ground for fundamentalism and extremism. As defenders of human rights, we cannot accept this injustice. That is why the UN has set the fight against poverty as one of its most important thousand-year targets. Those who suffer most from poverty are women and children. Therefore, several of the thousand-year targets are targeting them, against targets of: reducing infant and child mortality, reducing maternal mortality, ensuring universal access to reproductive health services, including family planning In the case of several of the Millennium Goals, good results have been achieved, but in the case of sexual and reproductive health rights, it goes wrong. The problem is accelerating, while financial support for many projects and organisations is stopping and we are facing major problems. The largest generation of young people are ever in the process of reaching their reproductive age. The HIV/AIDS epidemic is increasing in power, and the number of people now living with HIV/AIDS is estimated at more than 40 million. The mortality rate among women during pregnancy and childbirth is enormous. 99 pst. of the almost 600 000 maternal deaths occur in developing countries. The countries of Africa, south of the Sahara, are most affected. These figures are an expression of poor availability of prevention, lack of qualified assistance during pregnancy and childbirth, pregnancy occurs before the girls are physically mature, and that births and pregnancies often come too close. Thus, one in 16 African women in sub-Saharan Africa is at risk of dying during pregnancy and childbirth, while the figures in the Western world are one per cent. 2,800. Prevention drugs and condoms, also as a preventative measure against HIV/AIDS, are lacking. 200 million women and couples in developing countries have an unmet need for contraceptives. Unwanted pregnancies lead to high abortion rates, but the lack of qualified and safe help puts women at risk, and approximately. 68 000 women die in this way every year. The US with the Bush administration is now stopping money for organisations that have worked for many years for family planning and for reproductive and sexual rights. Money is channelled to those organisations that prescribe abstinence as the path to family planning. This development has been further reinforced through the pope state's place in the United Nations. This serves as an alliance that makes family planning difficult. Organisations such as IPPF – International Plan Parenthood Federation – one of the largest international family planning organisations, have been halted. The same is true of several other NGOs working on family planning. The government of the United Kingdom has now established a special fund to compensate for the US allocation boycott to organisations talking about safe abortion and prevention. As one of the richest countries in the world, Norway has a responsibility to be a driver of reproductive health and sexual rights. I believe it is now relevant not only to escalate this work, but also to earmark parts of our assistance for reproductive health purposes, such as: The Netherlands has done so. I hope that the Minister for Foreign Affairs and the Minister for Assistance will consider taking such measures as: The Netherlands and the United Kingdom have done so.
