ParlaMint-NO_2006-06-15.ana.ud2170e119	The representative, Olemic Thommess, will make a private proposal.
ParlaMint-NO_2006-06-15.ana.ud2170e1102	It's going to be line change.
ParlaMint-NO_2006-06-15.ana.ud2170e1105	Let me start by saying that I am pleased that the Government realized that it bombed with the first application to the IMO for fairway restrictions. Governments are talking about the fact that the sea has been harvested for centuries. Today, not only legal actors are harvesting this sea, it was also the state councils inside. There is a lot of illegal and unregistered fishing. Many suggest that illegal, unregistered fishing in these days is record large. We have already been confirmed that the toolbox that the Council's colleague Eriksen spoke about in the election campaign has become a jewelry box. And then I wonder: What concrete measures does the Council of State have for Pedersen to prevent further increases in illegal fishing in the Barents Sea?
ParlaMint-NO_2006-06-15.ana.ud2170e1112	The illegal fishing in the Barents Sea did not start at the government change. It has been going on for years, without significant political attention. This has been taken into account by the new government. We have strengthened control efforts by a significant number of millions, and we have called for international cooperation to overcome this, because Norway cannot solve that challenge alone. We have agreed with Russia on a number of concrete measures. We'll follow that up now, and they'll be implemented. We are cooperating with the EU, and we are working within the UN to prevent the illegally caught fish from entering the markets. We solve that through landing control agreements, we solve that through port state controls, and we do that by preventing ships engaged in illegal fishing from accessing ports. As I also mentioned in my article, we are working on establishing proper tracking systems. Consumers would have legally caught fish if they had the choice. They must know when they come to the shop that the fish lying there is legally fished. We shall contribute to that.
ParlaMint-NO_2006-06-15.ana.ud2170e1119	It is historic when an aggregate accumulation today opens up the opening of the Norwegian part of the Barents Sea to oil and gas activities. Unfortunately, it is not a total collapse which today decides that oil protection equipment should be stepped up corresponding to the increased oil and gas activities in the Barents Sea. I think that's quite incredible, and it's actually quite irresponsible. I would like to hear why we cannot vote in favour of the two concrete proposals that the opposition parties have promoted. One is about strengthening the tug capacity, so you get a response time of six hours, and a maximum of twelve hours. What is the reason why you do not vote for this? Does the Council intend to implement this, regardless of what the Storting decides here? The second concerns our proposal to strengthen oil protection in line with the development of oil and gas in the north. Why can't the government parties support these two proposals?
ParlaMint-NO_2006-06-15.ana.ud2170e1126	I do not agree with the reality description presented by the representative Burnde here. Firstly, current oil protection preparedness is based on the analyses carried out in the context of the Storing Communication ‘On the safe side — maritime safety and oil protection preparedness’. Today's oil preparedness is satisfactory in relation to the activity we have today. Then we're going to escalate the oil preparedness in line with the activity that's coming. But even if we open new areas of petroleum activity, it does not happen overnight. We have time to design demands for private actors, and we also have time to strengthen state preparedness. That's something we'll come back to in the annual budgets. In the case of towing boat standby, we have a state standby in the north with a response time of 10 hours. In addition, we get three private boats in place at the end of the year at Melkøya.
ParlaMint-NO_2006-06-15.ana.ud2170e1138	Unfortunately, the government’s willingness to invest in oil protection was made visible as it was unable to support the ‘Clean Coast’ project of the Villmarks Fund, a contribution to mobilising civil society in emergency work. I am concerned about the further development. The Minister for the Environment asked me about the ambition of the Christian People's Party and the Left's proposal for zero emissions from land-based petroleum plants. One of the reasons why the environmental movement wants such a decision is that it must be so strict that land-based petroleum facilities are not a threat to the marine environment and to fisheries resources. Does the Minister for Fisheries agree that in the case of petroleum installations on land, there must be zero emissions, as proposed by the Left and Christian People's Party today?
ParlaMint-NO_2006-06-15.ana.ud2170e1145	Firstly, in the case of the World Wilderness Fund beach area project, they have in fact received support from the Ministry of Fisheries and the Coastal Department, not to the extent they applied for. In parallel with this, the Ministry of Fisheries and the Coast has set up a coastal zone project where we want to bring together the various actors in this arena – including municipalities, the NordNorsk Emergency Centre and the WWF – in order to have an overall organisation that can enter into force if the accident is first out. At the same time, I would like to stress that oil protection is made up of several different things. The most important thing is that we have systems in place to prevent accidents from happening. Beach area stand-by is the last part of that chain. As I said, the risk in the area today is low. We're going to build preparedness in line with the activity that's coming. Environmental requirements have never been as stringent as they are now.
ParlaMint-NO_2006-06-15.ana.ud2170e1152	The cord shift is over.
ParlaMint-NO_2006-06-15.ana.ud2170e1155	Let me start by saying that there is really more consensus in this matter that we are dealing with today than the debate might suggest. It's in many ways a relatively offensive plan. You agree very much. That's why it's a shame you can't get a larger majority than 87 representatives behind most of this plan. I remember the Djupedal State Council in the election campaign. He didn't just talk about him stopping the movement power from North Norway – he had to make sure that there were 40,000 new Nordics. State Council Pedersen has, since she entered the Department of Fisheries and Coast, talked about that she wants there to be light in the houses. I will refer to the municipality in which I was born and raised, namely the municipality of Øksne in the Vesterålen. It's one of the municipalities most people have moved from. It's a municipality right south of Northland VII. And I can say: this plan does not mean that there will be 40,000 new northerners, this plan does not provide light in the houses of the Lofoten and the Vestralen, and it does not stop the relocation from Øksnes and the municipalities around. The debate so far has been very much about oil. There's more than that in the Barents Sea. There are also rich fish resources. I'm very glad that State Council Pedersen talked a lot about it. Fishing has been the basis for the settlement in North Norway for thousands of years. Fish have been exported from the continent since the 1400s. Storgga, Northland VII, is one of the richest fishing areas in the region. It is clear that this makes many considerations to be taken into account. Thus, an impact assessment does not threaten the fish in Storegga outside the Western Sea and Lofoten. But it is quite clear that it is of the utmost importance that the fishing industry and the oil industry can cooperate on seismics, exploration drilling and production in these areas. It is not just the petroleum industry that can pose a potential threat to the natural environment in the Barents Sea and in the Norwegian Sea. Several seabird populations appear to have dramatic decreasing populations. I'm called Lomvi, the loon bird, the testicle and the sea sole, but also the crutch, which is perhaps the foremost character bird of North Norway – quite painful, you might say, sometimes, but still a character bird for the part of the country that also has strongly falling populations. That's why I'm very happy that SEAPOP continues its work, so we can figure out why these bird species have as dramatically decreasing populations as they do. We have to figure out what kind of grip is going on, and also the Progress Party is going to help save these populations. This is the case with the Royal Crab, which has been proposed and noted by the Advance Party. It's called an overall management plan, and there's a lot of writing about introduced species. The most dangerous of the introduced species in the area, the king crab, is rewritten correctly, but no action is presented in the plan for dealing with the king crab. I don't call that a whole plan. So I hope that the story will show that Tord Lien and the Progress Party were wrong in the debate on the spring 2006 management plan, and that the continued increase in the population of royal crabs that the administration and the majority of the population add does not have serious environmental consequences, that the management of the royal crab does not lead to the disappearance of the tares forest, and that sein, roeches, lots, etc. good grazing areas and spawning areas can still be found in the tares forest north of the Finnish coast. But it's an opportunity for me and the Progress Party to be right in this matter when we fear that the population of these fish species can be reduced and perhaps also disappear from the coast of Finnmark and Troms. Then it is disappointing that we see as little willingness to action by the Government and the majority as we do in this matter. I hope that the Government and the majority will dare to go further when the announced message of the royal crab comes to the Stortinget about – hopefully – not for long. Both fisheries and fish stocks are threatened by other factors as well. Such a threat is the possibility of massive oil spills in the event of a loss. If you get a situation where oil hits the coast, this will hit the industry for years because of the lack of and failure of sales. Therefore, it is gratifying that the Government realized that they had bombed, when in their application to the IMO they asked for a fairway of up to 14 miles from land. The Progress Party supports the Government’s current position in this specific case, but the point of the whole fairway restriction is that it should take at least six hours from a vessel to have an engine failure and land. Then it is also a prerequisite that you get a tugboat in place within six hours. It's not the government willing to be with us, and it disappoints me. I am absolutely sure that SV is not familiar with the exact side of the matter. Although we do not now discuss South Norway and other parts of Norway, but North Norway down to Lofoten, I would like to say that I hope that the Government will soon come back to Stortinget and tell us how to secure oil protection also south of Røst. The Pedersen State Council noted that one of the biggest threats — if not the largest — to the fishing and fishing industry in the Barents Sea has been poached. We've heard a lot of talk from the Government about this. But I feel that we have seen little action so far. There has been some action, but I miss more concrete action – a tougher attitude from the Government on this matter. When pirate trawlers get to Norwegian ports and receive equipment, all the words about the fight against poaching become a little empty words. But I look forward to the government coming back with a tougher line in this area. Because it's like, for a year, the pst has stood for 20 pst. of the total taxation of the species of fish in the Barents Sea, and much may suggest that the figures in the last few years have increased and perhaps now have passed 30 pst., that 30 pst. are illegal and unregistered fishing. This is the theft of the legitimate actors, in line with other theft, and it must be taken seriously. The recipe is very simple: we have to increase military presence in the north, and then we have to be tough on those who cheat. And of course, as the Council of State says, we have to do it together with the EU and Russia. We must get an exclusion from all European ports, and perhaps we should start in Fredrikstad – which is, however, a Norwegian port. But not just to stand here and spread oaths and bile – I think I have been rather moderate – I will end by saying that this is not so terrible. A large majority agrees on very much. If we do something about the king crab and the situation of the reduced stocks of seabirds, and we get a proper oil protection system in place, and we get control of the barents, there are only two things that are not in place, and that disappoint me. One is that today we're going to have 87 large-scale representatives who are voting for the rough lines of this message, and then 82 are voting against it. It doesn't provide the necessary predictability that the industry in North Norway would need. But what saddens me most about that part of the country it's moving most people from – the Western Sea, the Lofoten and parts of the South Troms – is that the Western Sea and the South Troms have been sacrificed at the SV's environmental age in this case.
ParlaMint-NO_2006-06-15.ana.ud2170e1189	There was great tension in the management plan that Stortinget is dealing with today. Many said that it would be impossible for the government to come up with a unified solution in this big and demanding case. They were wrong. The government has reached a good compromise and a balanced solution. Some wanted a greater pace of petroleum activity, while others wanted the most protection. Today, the Storting adopts a plan with a good balance between just these considerations. The management plan is about how to manage our most important natural resources in the north, including: say oil, gas and fish, and how to do it in a long-term perspective. The purpose of the management plan is to facilitate value creation, while ensuring the environment and resources in a sound manner. In order to achieve this, the effects of petroleum activities, maritime transport and fisheries are linked. I believe that this plan provides the basis for new value creation and many coastal jobs based on good environmental technologies, strict business requirements and close monitoring. The overall management plan well weighs fisheries interests, energy interests and environmental concerns in the north. There will be petroleum activity in large and important areas of the Barents Sea outside Finnland and beyond the southern North. Important fields such as Snow White and Goliath must be further developed. All areas with granted exploration and extraction concessions, including the 19th concession round, shall continue to be subject to petroleum activities. The oil industry now has a predictable framework to deal with. This will provide a basis for increased value creation and employment across the country. No sea areas are permanently protected from petroleum activity, but the particularly vulnerable areas off the coast of the Lofoten, the Vestral and Troms are not opened to petroleum activity during the current flooding period. Several studies, geological and seismic studies are now to be carried out in these areas in order to strengthen the knowledge base. So Northland VII and Troms II are not closed to activity forever, but we recognize that these are areas we need to know more about before we move on and take new steps. Possible future oil and gas activities here must be carried out in safe co-existence with fisheries. If we can't do that, we'll fail. More knowledge will strengthen the basis for future decisions. The government’s management plan allows Norway to continue to show its way in the development of the marine fisheries and energy industry. The management plan is a milestone in the management of natural resources in Norwegian sea areas. The plan facilitates the further development of the fishing industry in interaction with other industries and emphasises the great importance of the fishing industry for value creation and employment for the northern part of the country, but also for the rest of the country. In Northern Norway, we build housing and employment on natural resources – fisheries, aquaculture, tourism and traditional industries. We're going to keep doing that, but through increased petroleum activity, we're also getting new opportunities for value creation and employment. It needs the county. Let me end by raising a slightly broader arctic perspective in today's debate. Climate change is a pervasive factor in the northern regions, and in a long-term perspective will be of great importance for life and activity in the northern regions. The major climate report, also known as the ACIA report, was launched at an Arctic ministerial meeting in November 2004. More than 300 researchers worked with the indigenous population in the Arctic to gather available materials for climate change in the Arctic. The results are presented in a report that is alarming in many areas and has been a major contributor to the climate debate in many Arctic countries. It is important that we in Norway support the further work in this field, including: with further monitoring of the Arctic climate and dissemination of the knowledge we already have to the population. From the fall Norway takes over the presidency of the Arctic Council. It gives us a good opportunity to focus on these challenges. Arctic countries must prepare for the changes that we know will come. Increasing temperatures will change the conditions of industrial activity both on land and at sea, thus also affecting the living conditions of humans. As I said earlier, the overall management plan is an innovation. This is where Norway leads. A long-term objective of cooperation in the North must be a comprehensive management plan covering the whole of the Barents Sea, not just the Norwegian side.
ParlaMint-NO_2006-06-15.ana.ud2170e1213	Norway is, as is known, the third largest exporter of oil and gas in the world. We are also one of the most important gas suppliers across Europe. The EU clearly states that if they are to make good efforts to reduce their greenhouse gas emissions in the years to come, they are dependent on replacing closed-end coal-fired power stations with gas from Norway. Today we open up that gas from the Barents Sea can also contribute to such long-term work. It is also true that oil and gas are no longer just a commodity exported by Norway. So we've become the world's second largest exporter of offshore equipment globally, after the United States. Last year, Norway exported 37 billion kroner of equipment worldwide, which is high technology and equipment adapted to the most stringent environmental requirements globally. As I said in my reply to the Minister for Fisheries, today is historic in the way that an aggregate increase opens up for the launch of oil and gas activities in the Barents Sea. Of course, it is also interesting to observe that when the Storting decides this together, it produces among other things. It's like a big environmental victory. I have no reason to criticize SV for that. In fact, I want to commend the SV for having gone in and taken responsibility, and helped Norway to continue as a large gas supplier in the years to come. Then it is actually more interesting to follow the development of the Workers' Party. In the election campaign there were several from the Right who suggested that the Workers' Party in the government could stop development outside the West and Troms II. It was totally rejected by the Labour Party. That we could even think of such a thought, it was unfine. When the Minister for Fisheries was confronted with this, she said to Today's Business on 5 September 2005: ‘I have not feared that the oil/gas options will be negotiated away. I can guarantee it won't happen. Therefore, a new government is a great opportunity.» People in the West Sea and Troms are disappointed that they have not been given the opportunity to participate in this oil and gas development. They're disappointed that the government doesn't even open up an impact assessment. It is not then decided whether there will be oil and gas activities there in the future, but it is for the purpose of doing so. That is what we warned against in the election campaign, that the Workers' Party could sacrifice this on the altar of cooperation, and that has happened. There I had actually expected that the representatives of the Workers' Party had been a little more humble and said: Yes, we think it is terribly sad that the most vulnerable areas in the Nordic region in terms of relocation had to be sacrificed on the altar of this cooperation. At least one should have been large enough to say that when the Minister of Fisheries guaranteed that this would not happen, we would have had to go back on it in cooperation with SV. Instead, you try to talk it away by saying that this is a great victory. It is a total increase that now agrees on developments in the Barents Sea. In that case, the winner must be that he has also got an SV on this. But no one says that you have to abandon the principles and guarantees you gave to the people of Northern Norway. Otherwise, I noticed that you spend a lot of your time wondering what any Bondevik government would have done in this context. The speakers from the Workers' Party say that the management plan would have become more stringent with Bondevik. There was also one who quoted Sponheim. At the same time, the representative Heidi Sørensen says that the management plan is the most environmentally friendly one any government could have provided. How can this be related? Both the Labour Party and the representative Sørensen are not entitled. What is regrettable is that Nordland and Troms are not allowed to participate in this development in 15-20 years. The Labour Party sacrificed this part of the country on the altar of cooperation, and I think you should admit it and complain to the people of Northern Norway that you haven't taken enough into account what was your own promise.
ParlaMint-NO_2006-06-15.ana.ud2170e1233	The Stoltenberg government has designated the northern regions as Norway’s main strategic area of activity. This area has moved from a security policy area to an energy policy force area. A quarter of the world's unused oil and gas resources are estimated to be located in the Arctic, a significant part of the Barents Sea. This could be one of the world's most important resource areas for oil and gas. Large findings are also expected east of North Cape. At the same time, market opportunities are very high, especially in the United States. The coast of Finnmark is the best starting point for international players who want to bet. At the same time, the coast of Finnmark is suitable for land-based processing facilities. Therefore, it is so important that the Government now actively facilitates such development. From the outside, Finnmark has moved into the centre of energy policy. We need a national strategy where, in my view, five elements are important. Firstly, the North must have a focus on foreign and security policy. The government has already done so with full weight. Secondly, Norway must take a leading role in the development of the Barents Sea. Norway must take the initiative. It has been facilitated by the management plan. But we must be offensive in the follow-up. We need to develop the petroleum activity in the north in interaction with Russia. We must have the ambition to contribute to development on the Russian side, both through the participation of Norwegian oil companies and supplier companies on Russian base and also by developing basic functions in Norway that can provide services. But first of all, we need to focus on the possibilities on the Norwegian side. Of course, this is where the main Norwegian interest lies. This is how we need to safeguard our strategic interests, so we need to develop technological solutions that make development possible, and that is how we need to create jobs in Coastal Finland. Thirdly, we have to add an environmental standard. Oil and gas activities must be carried out in interaction with the fishing industry. We need to ensure that the fishing resources are taken into account. We need to strengthen surveillance and oil protection. We need to impose high environmental and technological requirements. But most importantly, we need to develop technologies that show that it is possible to meet these requirements. Fourthly, we need to have a targeted national technology development. Developments in new areas raise new technological challenges. Norway must have the ambition to further develop a role as the world’s leading country in offshore petroleum activities — underwater installations, multi-phase transport and gas processing. Our suppliers must have the best solutions. Our oil industry has to get to where the oil and the gas are. It will also give our industry competitiveness on the Russian side. Fifthly, we need to use the oil and gas resources for a conscious regional development in the north. The Finn Markings have massively closed up a new oil and gas business – but not to see all the workplaces created elsewhere, and not to see the oil being loaded onto ships from the field and passing by. That's why we need three grips: We need to strengthen knowledge in the north. On the one hand, by facilitating petroleum-oriented education at a higher and higher level in North Norway, and on the other, by strengthening petroleum-oriented research and development efforts in the region. The ring effects must be in the north, the suppliers cannot remain in Oslo, Bergen and Stavanger. Companies must actively develop local suppliers. And we need to interact with large national and new regional suppliers. I would like to ask the Government to set up a development programme for enhancing the competence of the supply industry in North Norway. We have to make arrangements to bring the oil and gas to land. That's how we can create the biggest regional ring-effects. That's how we can create most local jobs. That is why it must also be the political leadership. Oil and gas resources provide enormous opportunities for northern areas – not least Finnmark. But it takes political will and action to make opportunities real. This action force has been demonstrated by the Government through the management plan. And then it was quite strange to hear what the representative Burnde and the representative Kristiansen said earlier today. For is it not the case that the three parties in the previous government have very different views in this debate? Isn't it true that the Christian People's Party and the Left are actually in favour of petroleum-free zones in parts of North Norway? The main question then is not whether the current government should have gone further, but whether the previous government had at all been able to present any management plan. That's what you can ask questions about. We have heard the glaring views of the three former government parties in today's debate.
ParlaMint-NO_2006-06-15.ana.ud2170e1270	No one can remember that the northern areas have ever been as focused as they are now. This is because the petroleum age has also reached these areas and our northern part of the country. We have been presented with a very comprehensive and useful management plan that will benefit so much more than the petroleum industry. I notice that we have received very good documentation here on these large and important geographical areas, which had not come without having been talking about oil and gas activity in the north. I am of those who warmly welcome the age of petroleum to North Norway. No one is more concerned about taking care of nature and the environment in North Norway than we do, but we also rely on the fact that the country has activity and housing conditions. Then the county cannot remain as a protected area. That's why I'm glad that the management plan was not a protection plan, but that it became a plan for managing our rich resources. I look at the setting that the opposition is strongly divided in this matter. The previous government parties have clearly positioned themselves on each side of the line drawn up by the Government for the further work. This tells me that the government has made a good deal, and that we had hardly been where we are today, without the government change that last election gave us. The Snow White project in Hammerfest has clearly shown the potential of a petroleum activity in the north. I hope, and I think this is just the beginning of something far more for this industry in the north. The world needs energy, and the country, including the northern part of the country, needs new businesses and new jobs. With today's and future technology and safety requirements, I have no doubt that both the environment and other industries will be able to live alongside the petroleum activity in a very good way. I believe, on the contrary, that we need an upward and strong petroleum industry in the northern part of the country at a time when, on the Russian side, there is also a great deal of petroleum activity. Norwegian technology and Norwegian safety requirements have undoubtedly much to contribute. I regret the attitude that the Christian People's Party and the Left want the Lofoten and the Western Pole to become petroleum-free zones immediately. I also see that these parties are busy creating programmes to create more jobs in the northern part of the country, but there is nothing very specific about what they come with. The country part needs something more concrete than such airborne signals in the form of a note. Now we have to move on to the work of making North Norway the Energy Power Center part of the country. We have to keep in mind that it takes many years from what is done and until extraction can begin. In the meantime, technology is further developed to make extraction even safer. As a coastal population, I am concerned that we have a coastal towing boat capacity, which is to be ready for both the petroleum activity and other activities at sea. It is also important that the Petroleum Inspectorate will soon be in place in the north with their competence. The Oil Directorate is too far in place in Harstad, and it will be quite natural that the Petroleum Control will also be there with a department as soon as possible. Unlike the representative, Aspaker, I want the Petroleum Control established in the north, not just an investigation.
ParlaMint-NO_2006-06-15.ana.ud2170e1296	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2006-06-15.ana.ud2170e1299	The main challenges in this case are balancing the different and very many interests that exist, and I think that the management plan does very well. It's actually so that our future is shaped by the choices we make today. This may in particular relate to the consideration of overall environmental management and the consideration of total and total value creation. My faith is linked to the fact that everything is possible, just using the right time perspective. The balance sheet presented in the plan is precisely a confirmation that everything is possible, but necessary and correct time assessments have been made. With regard to the criticism raised in the debate on the acquisition of knowledge, I would like to acknowledge that it needs courage and wisdom to recognise the need for more knowledge. Unfortunately, someone in this room lacks that courage. There is a good balance between the areas open to oil and gas activities and the areas in which one chooses to wait. I understand that someone wants to go directly into the so-called attractive areas outside the North and Troms. But it is absolutely necessary to balance this against time and knowledge. Attractive areas do not disappear. They are there and ready for development in our near future. After comments from perhaps the Right in the debate today, one would believe that the management plan made it possible to remove some of the areas from the map, and in a way to remove them forever and ever. But that's not the case. According to the Oil Directorate's estimate, that's still 26 pst. of the total resources on the Norwegian socket undiscovered. This gives us an image of our opportunities, of our time perspective, and not least of what these could contribute to future value creation and employment. In terms of value creation and employment, I think it's worth mentioning that I, and many more with me, have clear expectations that those who are now going to participate in the development of our northern seas, take land-based employment seriously. It has been and is such that Norwegian capital provides significant activity in the rural economy, and in particular perhaps now in the supplier industry. But this activity can get higher, and that's where the focus needs to be directed. I will allow myself to add that the participation of the oil and gas industry in the development of the land-based industry and industry must be great, and perhaps even greater than today. In my opinion, this is one of many important areas and elements that the plan takes into account and that it expresses well.
ParlaMint-NO_2006-06-15.ana.ud2170e1312	Today, the Barents Sea and the sea areas outside the Lofoten are clean and rich seas. They're of great importance to Norway. Here we have important marine resources, there are growing-up areas for different fish stocks, etc. Fishing wealth has long been the basis for exports of national importance. There are also many seabird colonies, sea mammals, coral reefs and fungus areas. Furthermore, the sea area is an important transport route, and an assumption that there are large amounts of petroleum resources up here. From being a security policy area, the north is now becoming an energy policy force center. Because of the richness of the land on natural resources, they also provide great commercial opportunities for Norway. At the same time, ensuring good coordination between different industries is a pressing challenge and must be done in a resilient way. It was with this in mind that work on the management plan started. This is not an industrial plan. It's not a protective plan, either. The aim is to establish a framework which allows business interests to be balanced in relation to fisheries, maritime transport and petroleum activities within the framework of sustainable development. Man has a responsibility to manage the creation. For the Christian People's Party, this is the trustee's responsibility and keep the commodity-principle fundamental. We need to use the resources that exist in the area in a way that is both sustainable and environmentally friendly. We also need to deal with the climate and environmental changes that we see are emerging in the particularly vulnerable regions of the Arctic. The Christian People's Party wants Norway to be able to combine its role as a major energy producer with being a transitory country when it comes to the environment and environmental protection. Norway shall be world-leading on environmental protection quality and standards. We must also ensure that ecosystems and habitats in the northern regions are kept intact and intact. Therefore, we are investing in research within the petroleum industry, therefore we require zero emissions, and therefore we are concerned with having the best possible preparedness. We don't gamble with futures. We will establish a petroleum-free zone outside the Lofoten and the West Pole. These areas are so rich in valuable species and have an extremely vulnerable ecosystem. Therefore, we cannot accept a risk of harm. The combination of ambitious environmental requirements and a high level of competence has made the Norwegian industry at present far-reaching when it comes to finding good environmental solutions. This strategy must also be used as a basis for future action. We need to have high ambitions, and we need to ensure that the north becomes a priority for sustainable development.
ParlaMint-NO_2006-06-15.ana.ud2170e1329	We are now discussing the management plan for the Lofoten and the Barents Sea area, and, as others have been before me, this is a historic day. Before I go into these moments, I can't avoid commenting on Kvassheim's explanation of why the Left, while they were in government, chose to keep quiet when important reports from the Marine Research Institute and the SFT were put on lid. Today you're on the field. That time we asked for Left's help to get these out. We didn't get it. But then to the plan. We have a balanced and good management plan, which takes into account the environment, safety, fishing interests, oil and gas and other industrial interests in the north. For the Central Party, it is important to point out that we want long-termity in our policies, so long-term that we look beyond the oil age period into which we go, and want to have a viable part of the country after the oil age is over. Then we have to take the necessary steps to have an up-stream business, a strong fishing sector and an up-stream travel life. We're going to take advantage of the diversity that natural resources in the north give us, so that we also have a diverse business life. That's why it's so important that we have a waiting attitude for Northland VI, Northland VII and Troms II. Unfortunately, there are some people who have not realized that these are particularly vulnerable areas. If you have an interest in it, I ask that a reader read the research articles in Ottar Nr. 2, 2006, where a number of researchers are just asking for great caution in this vulnerable area. As far as knowledge is concerned, researcher Gunnar Sander at the Polar Institute has just framed a series of key knowledge gaps that we need to use the time that comes to fill. So to those who are skeptical about something going on from us. If we have 600-800 billion lying on the seabed in the Lofoten/Drome area, is there anyone who thinks that oil companies are forgetting if they have to wait a few more years?
ParlaMint-NO_2006-06-15.ana.ud2170e1343	Knowledge is the key to value creation. Knowledge is also the key to managing values. Knowledge makes it easier to make good decisions and shows us the way out of difficult and dangerous waters. All wise decisions require good knowledge. Therefore, wise nations always make their decisions based on the knowledge available at all times. The management plan submitted by the Government contains all available knowledge needed to make the right decisions. The management plan shall be based on the knowledge and importance of petroleum activities, ecological balance, the environment and marine resources. Therefore, this plan should be called a wise and sound management plan for present and future generations. There is no doubt that in modern times oil and gas have been the most important resource for the national economy of some countries in a simple and rapid way. Oil and gas have undoubtedly contributed to raising the standard of living of many countries and to providing national revenues against which no other product can measure up. There is no concealment that oil and gas resources have lifted many nations out of poverty, while for others it has been essential to preserve their developed common well-being. Norway is thus no exception. Therefore, it is tempting to set in motion the fastest possible expansion of petroleum activities and serve what can be served. But the question is whether we are willing to disregard all the knowledge we have about marine resources, the environment and ecological balance. The answer is no. We can't afford it, not just because we want to preserve nature as it is, but because we see what these resources have meant for these areas over hundreds of years, and not least what they represent for the future. Petroleum activities in the north are the future of the country. Let's get it fixed right away. But that doesn't mean that only this business is the future of the northern regions. Marine resources other than petroleum activities also have a legitimate place in the future development of the northern regions. Therefore, all the knowledge is used to make the right decisions in the management plan, in order to strike a balance between the different resources represented by these areas. It is probably a bit too narrow of some batches to believe that only petroleum activities are to form the basis for development. Petroleum activities in the north cannot be a single parameter for the measurement of the development of the area. It's a whole plan, and the whole thing tells us not to choose between resources and industries. On the other hand, knowledge shall form the basis for developing different industries and exploiting all resources in order to avoid conflicting interests between different industries. Wholeness shall reconcile different interests for the benefit of the community. With the knowledge that we have, it is fully possible to use different resources without going to the expense of the others. That's why it's important to be wise. We're going to use the whole country, but with the knowledge that we have, to make ourselves the maximum use of all our resources to the best of our community. Let's move forward step by step because of the knowledge of the future and future generations.
ParlaMint-NO_2006-06-15.ana.ud2170e1356	The joy in North Norway was great when we were finally going to get a test drilling and show the rest of the country that we also had great values of gas and oil. Fisheries, together with industry and agriculture, have been and are our primary jobs. Now we were going to be oil and gas sheiks, but then one. The world that looked bright according to petroleum activities, including: workplaces, IT and research in North Norway, were shifted far into the blue. The government parties have too much party mind to assume that we in the Nordic countries can benefit from our resources in the Nordic countries VI and VII. The need to strengthen the knowledge base is the argument of the government parties not to initiate impact assessment, test drilling, but they will assess this in a management plan in 2010. Then we can add at least 20 years before we can get started. Is this a good district policy? It should be believed that the knowledge base is well-lit in the environments involved in Norway. You may not have to invent the powder twice! Last week I was so lucky to visit Melkøya outside Hammerfest, and I got to see the positive ringing effects and not least the optimism that prevailed there. This optimism cannot be said in the Nordic countries because of the government's will, or the government's lack of such, to begin drilling or impact investigation in Northern Ireland VI and VII during this period. The people of Northern Ireland need to regain optimism, so those who have moved from North Norway may want to move back to the part of the country. The Norse women and men look positively at a test drilling. The population welcomes the oil and gas adventure. The only one who doesn't, it's the government.
