ParlaMint-NO_2006-05-10.ana.ud1109e24	The representative Jon Hunter Gåsvatn will make a private proposal.
ParlaMint-NO_2006-05-10.ana.ud1109e1196	It was very little concrete precisely to my question, which was whether the Government would waive the requirement for CO2 cleaning on gas power plants under new concessions. I am perfectly aware that you allow the concessions that have already been granted. But I'm going to be positive and say that I interpret it so that the government actually considers changing the Soria Moria statement at this point. It's quite eye-catching, because there's one thing that the Socialist Left Party has boasted that they've had an impact on government, it's just the demand for CO2 cleaning from day one. It's good that the government here is overstepping the symbolism policy. But when the Council of State talks about decisions that need to be taken to get investment, the problem is that many investors are sitting waiting for what kind of framework conditions they get to deal with. Mongstad has requested this in the Financial Paper, they have sent an application, they have not yet received an answer as to whether they will receive a concession. Will we be able to see that Mongstad is granted a concession, so that they can receive a response to the concession request and at least take the investment decision requested by the Danish Council of State Enoxen?
ParlaMint-NO_2006-05-10.ana.ud1109e1213	First of all, let me underline: we have no plans to change the Soria Moria declaration on any point – at least on this point. New gas power concessions shall be based on CO2 management. It has also taken industry inwards. Both the projects that have now been outlined, on the "Tjeldbergodden" with Statoil and Shell's project and Industrialkraft Møre's project in connection with Hustadmarmora, are based on CO2 management, not only because of the government's demand for this, but because it is seen that there is a value in this. For Statoil and Shell's project, even the value chain itself and the use of CO2 are valuable with the project. We've given extended concession to Forest. It gives investors the opportunity to start the project. We are in close contact with them to see how the Government can contribute to the realisation of the project, including that we have said that we will facilitate or contribute to CO2 management also in Forest. It is definitely not right that we have any plans to change the Soria Moria declaration on this point, on the contrary – it is a policy that more and more countries are going to implement.
ParlaMint-NO_2006-05-10.ana.ud1109e1232	My joy was not long lasting, I understand, because the uncertainty persists. The government has said – it has been confirmed by the Council of State, while at the same time confirming it by the Minister for the Environment – that the tax credit does not receive a concession without CO2 cleaning from day one. That's what the Soria Moria Declaration says. When the Council of State said in the first answer that one would consider a period without CO2 cleaning, there is a change in relation to the Soria Moria statement – a joyful change in the right way, but there will be a change. We know that if the Tent Credit is to have CO2 cleaning, gas power plants will not be there until 2012. Mongstad actors have said that if they have to have costs of CO2 in addition to the allowances they don't build. But the CHP plant itself is profitable. The question then arises: What measures does the Government have to ensure that gas power plants are built on Mongstad and on the Tent Credit where operators are given the framework conditions without excessive extra costs and uncertainty about the CO2 regime?
ParlaMint-NO_2006-05-10.ana.ud1109e1258	Mongstad is a separate matter, which we will come back to the treatment of. No one should lead anyone to believe that a gas power plant in Mongstad will remedy the power situation in Møre and Romesdal, or in Middle Norway for that part. It won't. It takes production in that area to remedy that situation. There are three projects involved. We have extended the concession on Forest, without having made any new demands on Forest – other than that the Government has said it will contribute to CO2 management. Then we have two more projects. Industrikraft Møre has said that the project will be based on CO2 management. And then we have the Tent Credit, where investors have said that without you being able to establish the complete value chain, there is hardly any gas power plant. This should be a far greater challenge for Solvik-Olsen's representative than to make a polemics out of whether to get a few months without CO2 cleaning if someone is willing to make investments at an early stage in order to get production started as quickly as possible. The government will do what it can to get CO2 management in place as quickly as possible. We want to do what we can to help make investment decisions.
ParlaMint-NO_2006-05-10.ana.ud1109e1283	‘Illegitim debt has become increasingly central to the international debate on debt. Former Development Minister Hilde Frafjord Johnson asked the World Bank to investigate this issue, and money was allocated to this important initiative. This is now more than one year ago. Can the Council of State say anything about the progress of this work, what has been done, and whether the follow-up will be done by the Norwegian side to raise the issue of illegitimate debt in the relevant international forums?’
ParlaMint-NO_2006-05-10.ana.ud1109e1290	I definitely agree with Mr Lilletun that the work on this study has gone too late. We have had a couple of meetings in the World Bank now in March and April to press the matter, and it is now clear that the World Bank will conduct such a study. Let me also add that the question asked by the representative Lilletun is only positive. This means that our office can travel to the World Bank and tell us that here the Council of State is hard pressed by an active parliament, which pressures him on the question of such a study. It has a positive effect and it is clear that a study will be conducted. Thank you for asking the question, and thank you for your commitment. At the same time, we want a broader approach to this in line with the Soria Moria declaration. It's not enough for the World Bank to study the issue; we will also take the initiative to get a similar study under the auspices of the United Nations. I think we're all intuitively feeling it's completely unreasonable that loans, for example taken up by a brutal dictator at some point, are to be disbursed by a democratically elected regime at some point in time. Congo is a good example of such a country, and the question is, of course, whether today’s Congo – which is ahead of a few weeks’ choice – will pay off debts raised in Mobutus’ time, for an incredible amount of luxury projects. At the same time, the question is also not simple, in the sense that it is not always easy to say at what time debt goes from being legitimate to being illegitimate. To take another example of Africa: most people would probably think that loans given to Mugabe in his early days as president of Zimbabwe would be legitimate loans, there was no unfairness in it, while loans given in recent times – since this regime is one of Africa's more brutal dictatorships – could be said to be illegitimate. But it's not easy to festivities when something goes from being legitimate to being illegitimate. Although we want to remove illegitimate debt, and want strong international focus on it, we also have to accept that there are difficulties related to the issue. The question may also be particularly difficult for the World Bank, of course, because the World Bank itself is a major creditor and could thus be more directly affected by this than very many others. But it is clear that the World Bank will now undertake such a study. In the United Nations, too, we encounter counter-conceptions in our efforts to obtain such studies, because many are concerned about what it will mean to divide different countries into more or less popular regimes, as to whether loans given to them are legitimate or not legitimate. There must be no doubt that Norway will be at the forefront of this issue. We will keep the tab high and run this against both the World Bank and the United Nations and try to force as much clarification as possible on an international arena, so that at least we can get rid of the absolutely obvious illegitimate loans that many regimes, or many democratic governments, are struggling with today.
ParlaMint-NO_2006-05-10.ana.ud1109e1303	I thank the Council of State for the answer, and will say very satisfied with it. I thought it was good that a now has a push on in the World Bank, and that they are running. I'm also satisfied that one will do the same in the United Nations. When it concerns the World Bank, I also believe it is important that a person be able to get a timetable out. I would like to ask the Council of State if there is a timetable for when one can expect this study to be completed, and if one here uses friendly countries at the Nordic elected government representation, or the Utstein group, to press on the board, so that it doesn't boil off in the cabbage, even if one is there. Hence: Time schedule and allies are my next question.
ParlaMint-NO_2006-05-10.ana.ud1109e1310	The answer to the first question is simple: I don't know. But I can promise that we will follow up and force a schedule, so that it becomes clear when it may be available. Regarding the second question, the answer is clearly yes. Norway takes over the joint Nordic-Baltic steering position from – I think – 1 July. Svein Aass, official and diplomat, will then be Nordic-Baltic representative on the board. It will of course be a very important matter for him both to contribute to the broad support of such a study and to remind him of, follow up and remind him of such a study through the board. He will, of course, also follow up on the many other initiatives we have with the World Bank.
ParlaMint-NO_2006-05-10.ana.ud1109e1317	I continued to say I was satisfied with the answer today. I also agree with the Council of State in what he says in his first answer, that here it's clear that it's a definition problem. But it's very important that the international community reach a consensus when it comes to defining this, so that we can sort of get on with it. It's always possible to find counter-representatives. There will be a lot of people who are busy doing it, and who are primarily using it in a way that can create this kind of debt. The final question is: we have had a pretty tidy policy in Norway, but with the shipping campaign at the end of the 1970s, we must say that we also contributed to a good number of countries getting stuck. We sold products more according to our needs than according to the needs of the recipients, and to very doubtful regimes. Will the Council of State say that now we're going to have a line across this? Will he be the one who somehow finalizes something that should have been completed a long time ago?
ParlaMint-NO_2006-05-10.ana.ud1109e1326	I fully agree with Mr Lilletun that of course this has two dimensions. One is to work for international definitions and an international regime capable of eradicating as far as possible illegitimate debts, and then to set up a large mirror and look at what Norway has done. The most obvious example of what can be claimed to be illegitimate debt is the shipping campaign. Let there be no doubt that I would very much like to be the Council of State that strikes a line over that debt. We have now set up a working group between the Ministry of Economic Affairs, the Ministry of Finance and the Ministry of Foreign Affairs to look at how we can do it. Here there are some practical questions of a different nature that need to be solved. In general, this is a matter of paper money, in the sense that barely a few — at least extremely few — of those countries that are in debt to Norway on the basis of the shipping battle actually pay. It is also an unreasonable fact that a few countries that do better pay, while the vast majority of countries do not pay. There are also difficulties in the fact that some of the countries that do not pay and have debts are not otherwise regimes that identify us very closely, such as the United States. Burma. But we're going to look at it and come back quickly to the Storting, perhaps in connection with the budget.
ParlaMint-NO_2006-05-10.ana.ud1109e1337	I have the following questions for the Minister for Transport: ‘The rams of the South are in severe decline. The need for increased maintenance is now precarious. This year, the Vegvessen only has a budget to put asphalt at 11 miles of road in Agder. The need is at least triple to keep track of the ongoing need for maintenance. Many of the roads in the South were built long before the country received large petroleum revenues. Today, when Norway is the richest country in the world, it seems very strange that normal maintenance of the road network is no longer available. What will the Council of State do for improved road maintenance in Agder?’
ParlaMint-NO_2006-05-10.ana.ud1109e1346	We have a huge aftermath in maintenance both on the highways and on the roads in Norway. The delay increased monthly during the previous ageing period, when Bondevik II, together with the Progress Party, was given large loops in the loops for maintenance. The lag on the road deck is particularly visible and visible to road users, and it is a clear goal to reduce the delay. Government increased road maintenance funds by 70 million. kr in relation to the previous government’s 2006 budget proposal. This is a first step in reducing the consequences of the former lack of means to maintain roads, but unfortunately this is a work that will take some time. The means of operation and maintenance shall cover many purposes. There is therefore always a balance between means of asphalting and means of other good purposes. I can see that the state road system has recently increased the effort for ditching along the roads. This is also a measure that will increase the life of the road cover.
ParlaMint-NO_2006-05-10.ana.ud1109e1351	I thank you for the answer, although it probably wasn't that much to take off my hat for. The council says it's a first step, and it'll take some time. I can ask you, how long will it take before we get enough money for, among other things. improved asphalt and maintenance of roads in the South? According to my information, this year about 45 million will be used. kr for asphalt on the national and county roads of the arable land. So it's going to be 30 pst. lower than that in 2005. According to the opinion of the Vegvesen, the budget for new asphalt should be at least double. Does the Council not believe that such statements by the trade unions that budgetary requirements are in fact double indicate that the Government must act quickly? The Council of State initially mentioned that this will take time, this is a first step, etc. The Government will do something quickly to increase the budgets to, among other things. better asphalt on the roads in Agder?
ParlaMint-NO_2006-05-10.ana.ud1109e1360	This is not new. Both the Progress Party, the other opposition party and the parties in government today know that the aftermath of both national and state roads has been building up for many years. In this way, I believe the representative from the Progress Party must agree with me that it must take some time to turn a shot that has been on – so to speak – the downward course for very many years. It is also the case that in the previous government, where the Progress Party also had influence, as I call it, increases – what I can see from the budgetary to the Progress Party – the means for maintaining by 1 million. kr in the 2005 budget. Otherwise, it was cut in that period. So I respectfully want to say that this government has started a turnaround, and I also want to ask respect for the fact that it must take some time to build up what has been built down over so many years.
ParlaMint-NO_2006-05-10.ana.ud1109e1367	I thank the Council of State for that answer. That was the case, among other things. in the election campaign that the red-green parties boasted that now more was to be done in this country than the previous government had done. Now it's no big achievement to bet more on the road than the previous government did, for there was nothing to brag about. But it is clear that, based on the ambitions previously expressed by the Council of State, of increasing investment on the road, it will be seen quite quickly as a breach of promises and as an election blow if the funds do not quickly come into place. Once again, the Council of State repeats that it will take some time, etc. I look forward to and hope that the work of getting more budget funds for road purposes, not least in Agder where the roads are now very poor, will be carried out in the Government. There is a great need for it to see the importance and benefits of having good road maintenance in Norway and that we do not reduce road capital. [[The President Clubs Again]]
ParlaMint-NO_2006-05-10.ana.ud1109e1374	The President is asking for a respected speaking time.
ParlaMint-NO_2006-05-10.ana.ud1109e1377	Governments are increasing the traffic by 460 million. kr in the 2006 budget. It was not enough to meet what is the Government's governing goal, the National Transport Plan Action Framework, which also the Progress Party has put in the government party. It is this objective that this Council of States is guided by. After sitting seven months in the chair, I'm fully aware of the major challenges that lie here. I get daily recordings from both professional and other sources about the need. My job is to do this in the government, and of course to make sure that the government does what we have promised in this field, as we do in other fields where the government has promised something. Now the Progress Party has not been in government, but I hear they have ambitions to get there. Then, too, the Progress Party will learn that there are many sectors and many promises. My job is to ensure that transportation comes on that agenda, and I do that pretty much every day.
ParlaMint-NO_2006-05-10.ana.ud1109e1388	This question, from the representative Per Roar Bredvold to the Minister for Transport, is raised by the representative Morten Ørsal Johansen.
ParlaMint-NO_2006-05-10.ana.ud1109e1391	‘Hedmark is missing 333 million. kr only in order to resume the retreat on the maintenance of the road surfaces in Hedmark. The roads are today largely characterised by deep wheel tracks, holes and cracks. Maybe the worst is highway 3. What will the Council of State do to ensure that the follow-up is taken, and that we get an improvement and thus safer roads to drive on?’
ParlaMint-NO_2006-05-10.ana.ud1109e1398	It's right, as the representative Bredvold says, that there's a big lag in road maintenance in Norway, both on highways and on county roads. It has been building up over many years, and it significantly increased due to the depriority of maintenance during the four-year period in which the Progress Party had a significant impact on the State budget. On three budgetary agreements, the Progress Party increased the maintenance item – item 23 – by 1 million. kr in the 2005 State budget, while the draft budget for Bondevik II contained a total of large cuts in road maintenance. The trail to asphalt is particularly visible and visible to road users. An analysis by the State of the Vegvesen for 2005 shows that of the total 28 000 km of highway in Norway, it is probably 30 pst, or about 8 600 km, considered to have poor or very poor coverage standards. With these numbers, I can easily understand the criticism that comes from the users. It's a clear goal to reduce this retardation. The government therefore increased the road maintenance funds by 70 million. kr in relation to the 2006 draft budget of the Bondevik II Government. This is a first step in reducing the consequences of the former lack of means to maintain roads, but this is unfortunately a work that will take some time. We're talking about big money here. The means of operation and maintenance shall cover many purposes. There will therefore always be competition between means of asphaltification and means of other good purposes. They speak as the representative of Bredvold refers from Hedmark, for both national and county roads. Of the 333 million. kr that has been dragged onto the road surface, applies to more than 60 pst. county roads, for which the county has a primary responsibility. I am well aware of the problem of the follow-up to maintenance of both national and county roads. Thus, the government will reverse developments from the previous period and work to increase the appropriations for such purposes in the next budget.
ParlaMint-NO_2006-05-10.ana.ud1109e1418	Governments here say the government has increased road appropriations by 70 million. kr. The fact that Hedmark has suffered a 20 - p.m. reduction in road maintenance equipment is basically bad. And without any comfort for Hedmark, in fact, all the counties have suffered a decline in road maintenance equipment. Does the Council of State have a good one, and I repeat a good one, an explanation of why all states have suffered a decline, when the Council of State claims that there has been an increase?
ParlaMint-NO_2006-05-10.ana.ud1109e1426	What I said was that the government increased the permits in addition to the Bondevik II government's proposal by $70 million. kr, and that is correct. What I also said was that the Bondevik II government had cut huge cuts on the maintenance side both in this budget and in the previous budget, which was also part of and negotiated by the Progress Party. Of course, this is the reason why there is a total cut in the county. It takes time to turn such a shot, as I said in my previous answer. We're doing that job, and we're going to continue with it in government.
ParlaMint-NO_2006-05-10.ana.ud1109e1433	I asked for a good explanation, and the explanation to the Council of State was that they had increased the appropriations in relation to the 2005 budget of the Bondevik II Government. I repeat the question again, and I want a good explanation: why is there a decline in all states compared to 2005, when the Government claims that they have increased the appropriations by 70 million. Do you really want to delete this item? I don't get it.
ParlaMint-NO_2006-05-10.ana.ud1109e1438	It's a very simple explanation of that, that what was in the Bondevik II budget meant an even greater reduction. It's that simple. And that we couldn't afford to put in enough funds to get one plus the total, I'm sorry. But that's also the case, and that's perhaps what's the main cause of the lag over many years, that a lot of what's made of funds is tied up in investment projects. In fact, a lot of political craftsmanship is required, and I also want to say political courage, to re-prioritize from investment to operation, because on the investment side, a lot of people are waiting for funds just for their project, including big business representatives. It has a political cost to take funds. For example, I was. in the Gudbrand valley and warn hundreds of people waiting for funds for E6, that they have to wait longer if we are to re-prioritize for maintenance, given the limits one has. The government has the ambition to increase the frames. We are going to do that, and we are also going to prioritise operations and maintenance in a better way than the previous governments have done.
ParlaMint-NO_2006-05-10.ana.ud1109e1449	My question to the Minister for Transport is as follows: ‘The cars paid more than 4,1 billion in 2005. kr in tolls, an increase of approx. 300 million. kr from the previous year. A significant part of the toll is used for the payment of financing and collection costs and not for the use of installations. Toll financing has now become a significant source of funding for the overall funding of public road networks in Norway. It would therefore be natural for the State to facilitate the minimisation of such costs. What will the Council of State do to reduce such costs?’
ParlaMint-NO_2006-05-10.ana.ud1109e1458	The annual cost of operating the toll companies consists of collection costs, costs of operating the toll stations, including toll companies' internal costs, which are then administrative costs. There are some major differences in the operating costs of toll companies. This has been the cause of the toll companies themselves, but also in the characteristics of the different projects, including the toll companies themselves. organisation and traffic volume. In addition to the collection costs, toll companies incur interest costs linked to the amortisation of the loans financed by the projects. This is a result of the toll collection starting after the construction of the road system. Borrowing is therefore a natural consequence of toll recovery. With advance collection, that is to say toll collection until one has enough means to complete the road system, a avoidable cost of interest. However, such a solution would reduce the link between benefits and payments, a principle on which Norwegian toll financing is largely based. I am busy reducing the cost of toll financing. According to the Directorate of Roads, this is a significant potential for reducing costs. For this to be possible, it is important that the projects selected for toll financing are appropriate for such a form of funding. Among other things, low traffic in a project with today's collection method will lead to a higher share of tolls being collected than in a project with a high traffic level. Furthermore, it is important to focus on low collection costs during project planning, so that the most cost-effective solutions are chosen. Modern technology can be an important means of achieving low costs, but it must be a prerequisite that technological opportunities are exploited in the most appropriate way. In many cases, the desire to meet individual groups and to receive different local wishes leads to higher collection costs than they would otherwise have been. The Ministry of Transport has previously warned that in 2006 the Ministry will assess the organisation of toll companies and possibly return to the Stortinget. I am now waiting for a proposal from the Road Directorate. In this context, I would like to stress that we must in any case have a system that ensures a local political anchoring for all toll projects in the future.
ParlaMint-NO_2006-05-10.ana.ud1109e1469	I thank you for your answer. I hope that there will be a response to the Storting on the organisation and control of toll companies and that there will also be clear rules on how to implement toll-funded projects. From this government, there is little evidence that toll financing will decrease. What is important from the point of view of the Progress Party is to look at the large additional cost of this, namely the financing costs of the toll companies. In our view, it would be reasonable that when others pay the bill for the state for the construction itself, the state should contribute in a more active and clear way to reduce the cost of financing, i.e. provide its own loans at a particularly low interest rate or simply in an oil-breathed state fund to provide loans for toll-funded projects without interest.
ParlaMint-NO_2006-05-10.ana.ud1109e1476	I have registered from the Progress Party's national meeting that with the Progress Party at the rudder, so large amounts of money will be spent on transportation that I'm not sure if I can remember so many numbers, I think it was 100 billion. I believe the Progress Party in a potential government position will come in a situation where they may need to prioritize the funds in a slightly different way. It's not that easy. I agree with Mr Sortevik that we should look at the financing costs, and that is what we do. Here we also work with those who are locally responsible for this. We are actively working to bring down these costs. We're doing it using new technology. An antenna capture will also bring down the collection costs in a very good way.
ParlaMint-NO_2006-05-10.ana.ud1109e1483	Of course, I am always interested in the views of the Council of State on the policy of the Progress Party, but in concrete questions I am more interested in concrete answers to what this government and this Council of States will do. Toll financing is often produced as a spice layer in which the state, the rich state, participates in the split. So then there are two issues that are related to reasonableness, besides interest, that I was dealing with the previous follow-up question. There is a difference in shares between the country and the others that pay. A fresh example is from Fredrikstad, Kråkerøybroen – the case is on its way to Stortinget – where 6 pst. is payment from the State and 94 pst. is payment from the toll payers. It is also often the case that the State is contributing with its share late in the construction phase, and this means that toll companies receive additional financing needs and additional financing costs. Will the Council of State look at this and achieve a better balance in the toll-financed projects?
ParlaMint-NO_2006-05-10.ana.ud1109e1492	It is not that we do not have guidelines for toll financing – we have guidelines for toll financing today. What has happened is that the Storting in many cases has messed up a little bit in the direction lines, so that locally it may be harder to see what is actually the fixed line. That's one of the reasons why I have notified a review of this. We're in the process, just to make it easier both for those who want to take the initiative in the toll project, and for others, so that they know that we stick to the same rules. When it comes to funding costs, I will go back to what is an important basis for tolling projects: it's local initiatives, it's local negotiations, it's local decisions, and it's local funding – i.e. it's a local responsibility to negotiate that bit. Whenever there is a matter about this, we will take the discussion if any of this needs to be changed. But per year. Today, that's what's solid.
ParlaMint-NO_2006-05-10.ana.ud1109e1503	I have this question for the Minister of Knowledge: ‘What initiative will the Council of State take in the context of continuing training schemes for teachers, in order to ensure that time is used in a targeted and high quality way to enhance the professional and pedagogical competence of teachers?’
ParlaMint-NO_2006-05-10.ana.ud1109e1510	From the state level, significant funds are being used in the implementation of the Knowledge Promise, more than in any previous school reform. It is important, then, to ensure that the funds are used in the best possible way to give teachers, instructors and school leaders high-quality skills. In Stortinget's treatment of St.meld. No 30 for 2003-2004 the Church, Education and Research Committee underlines the need to develop schools and apprenticeships as learning organisations, and that this can only be done through the responsibility of school owners and schools themselves. The government has followed this up in a separate strategy, ‘Competence for Development’, where the school owners are designing local plans for the development of skills and implementing skills development measures. The strategy has been developed in cooperation with the Local Governments’ Central Association and the Teachers’ Organisations. The strategy is continuously assessed by the research foundation Fafo. The first activity report, for 2005, points out that the funds allocated in 2005 have created a great deal of activity for the development of competences. In addition to the state funds, municipalities have increased the use of their own resources by about 50 %. 10 pst. from 2004 to 2005. For 2005, the report shows that, in particular, school management and 2nd foreign languages have been prioritised. The Education Association has presented a report by Norsk Responses. It is addressed directly to the teachers. The report also shows that there is a lot of activity in the field. 50 pst. of the teachers in primary school and 40 pst. in secondary education, they correspond to their participation in continuing education related to the promise of knowledge. Fafo also implements a more comprehensive follow-up evaluation of the development of competences strategy. The first interim report was expected in May. This will provide further information on the work on the competence development strategy. Of course, I will carefully consider both own and other reports on the use of funds so far. For the time being, I believe that there is no basis for changing the basic division of responsibilities on which the development of competences strategy is based. Through its significant financial commitment, the school owner has taken on a substantial part of its responsibilities. Whether the activity is targeted enough and high enough professional quality, I think it is too early to give a clear answer. When the first interim report from Fafo comes, we're probably going to be a little bit closer to this.
ParlaMint-NO_2006-05-10.ana.ud1109e1529	I share the opinion of the Council of State that the promise of knowledge is very important, and that it is comprehensive. I am also pleased with his approach to that there is much to learn on the road, and that he has agreed to take such a grip. The reason I am raising the question is not that I have at any time doubted the willingness to use this money. It is basically the turmoil I have established in myself as a kind of walker of life, both in conversation with teachers and also because I have experienced the Education Association's report as a constructive wonder. The question is whether continuing vocational and pedagogical training is actually developing. When I travel the wonder, it is not to attack the promise of knowledge. Of course not – I have been involved in fighting it out, and I am very pleased that the Council of State is holding on to it, but it is because I believe that Norwegian continuing education policy has been very random for many years. It has consisted of a dose of subject, good, a dose of pedagogy, good, and a number of other things. It's getting this focused so that it gets concentrated if what the government's emphasis is on, that we're concerned about it. So I'd like to hear a little bit more about the Council's reflections on how he's going to contribute to it. I feel that he has given me partial answers so far, and awaits further comments.
ParlaMint-NO_2006-05-10.ana.ud1109e1538	Let me first say that I think it is good that the Storting is concerned about how we use the means to raise our skills, because the entire Knowledge promise is a whole set of competence measures that are to raise the knowledge and competence of our students. In this way, the teachers are the most important. We see that considerable funds are being used for this. If you just take the 2005 numbers, it's on average $6,416 per person. learner of competence development actions. This is considerable sums. So large sums have never been used to enhance the competence of Norwegian teachers. And fortunately, it's a common promise, where the Storting's opposition and position both before and after the government change have been united. I'm grateful for that, because it gives breadth when we're going to raise the teachers' skills. Then this is delegated to the school owners. It is clear that it is demanding when, as a general education authority, we are to manage what is the local responsibility. But so far after the reports we have, both Fafo's studies and other studies, there is no basis for saying that it is not being used wisely and sensibly.
ParlaMint-NO_2006-05-10.ana.ud1109e1545	I guess I'm familiar with the division of labour. I believe that through the evaluation schemes to which the Council of State has referred, and to which he has also shown openness to possibly complement – I would ask him to hold on to that openness – I think we can develop knowledge that affects people locally to act sensibly. Because what it's about is that teachers should be good, that teachers should be allowed to experience that they are good, that they are respected, that they are proud of their subject and proud of everything they stand for. So this is not an attack, either on the Council of State or on the promise to get what we call the Knowledge promise, but I think we in Norway have had a very random relationship with the content of continuing education for a long time. That's why I think it's a strong issue to make sure that it gets focused on it. I promise that from the left we will focus on that with one goal for the eye, namely that these important crowns are used for science and pedagogy, and not for the post «different». I see that the Council of State accepts this as a constructive pes, and he should also look at it like this. And we're going to keep doing that, for example. because there is not always the same language around Norway, regardless of party, as the Council of State and I do to each other now. It's the teachers we're going to honor and pay homage to. We agree on that.
ParlaMint-NO_2006-05-10.ana.ud1109e1554	I take the challenge from the representative of Dørum in the best possible way. I am very pleased with the commitment shown by the Storting that these funds should be used properly, and that the teachers will, of course, get the absolutely necessary level of competence lifted through the considerable appropriations we now have. Because there are significant appropriations – that is more than 600 million. kr only for this year, if one merges the funds of the State and the funds of the municipalities. When the final evaluation report from Fafo is completed, we will have three documents that can say something about how this has been done. It will then provide the basis for the course further. The Education Directorate has called for a meeting, which is scheduled for 23 May, in which both the KS, the Education Association, the Lektorlag, the National Association of Schools and the School Leaders Association are invited, one of the themes of the meeting – if not the only theme – will be possible adjustment of the course related to the means of competence. Of course, I would like to attend such a meeting with anticipation, because if it turns out that the directorate together with its partners on the Competencelift believes that the price should be adjusted, there is nothing wrong with adjusting the course. But so far there is no basis for me to say that it is necessary.
ParlaMint-NO_2006-05-10.ana.ud1109e1565	I allow myself to ask the following questions to the Minister of Knowledge: ‘The advisory service is characterised by many as a neglected area in school. What concrete measures will the Council of State take in order to strengthen the advisory service in primary and secondary schools, in addition to the promise of further increases in continuing education resources?’
ParlaMint-NO_2006-05-10.ana.ud1109e1574	I am very concerned about the advisory service and believe that qualified advisers are important in Norwegian school. In the Soria Moria statement, we both say that we want to strengthen the advisory service and that the advisory service is a priority area within the Knowledge Lift. Advisers have an important role to play, because good advice enables us to ensure fewer redeployment, better implementation and better safety in the workplace. Under the first paragraph of Section 9-2 of the Training Act, the student is entitled to ‘necessary counselling on education, vocational training and career selection and on social issues’. The school owners, municipalities and county councils, respectively, are responsible for ensuring that pupils receive this right. As a government council, I want to work for the school owners to follow up on this responsibility. By means of measures, I can mention strengthening career guidance in schools and helping to strengthen national cooperation on career guidance in a lifelong perspective. A career guidance team has been set up in the Education Directorate. The team shall follow up on efforts to strengthen the career guidance for pupils and learners, contribute to increased competence and quality in the field of education, strengthen the European dimension through Euroguidance Norway, and contribute to a more coherent and coordinated national career guidance. Furthermore, I would like to mention partnerships for career guidance. The Ministry has taken the initiative to establish regional partnerships for educational and professional advice at county level in cooperation with stakeholders. The Education Directorate has asked the county councils to initiate committed cooperation between school owners, Aetat, adult education, working life and colleges and universities to strengthen coordination, competence, quality and access to career guidance. In addition, we have a career guidance network for colleges and universities that have, or develop, counseling courses. The aim of the network is to develop and strengthen the training of consultants and build a stronger professional environment. Funds have been allocated for the development of the network and for the development of the skills of trainers. Then there's a new network resource for consultants and supervisors. A work is started these days to develop an online resource for consultants where they can retrieve information, inspiration, good examples, guidance tools, etc. I would also like to point out that we have carried out several other important projects relating to this area, which I would like to return to at a later stage. This applies, inter alia, to: The big message we have in work, about social cohesion, and we're working on what's called the dropout group, to figure out why we have such a big dropout from high school. These will give me advice, including: in this field. We also have work to do on changing the regulations of the Training Act.
ParlaMint-NO_2006-05-10.ana.ud1109e1591	I thank the Council of State for the answer, and I notice that he is now delegating this to the state level. I've been an adviser myself in high school for very many years, so I know this very well. Advisors — and get — have insufficient competence as they are today. In the opposition, the government parties were very concerned about this. Will the Council of State require special competence for advisers? And will the Council of State share the counselling service in a vocational guidance and a social educational guidance, as some government parties were in opposition to it?
ParlaMint-NO_2006-05-10.ana.ud1109e1600	I think it is very affordable to engage in the advisory service, and the advisory service is very important. This means that giving young people good, accurate advice on an increasingly complex working life and social life is very important. I intend to strengthen the advisory service. But it is ultimately the school owner's responsibility to do this. I am pleased to record that it has been continuing training and further training for consultants, and that is positive. We also see many of the measures we are now taking from the fall, not least this programme-selected subject. We believe that when you can get tastes of your professional life, you can also get less disqualification from high school. Many different measures are now moving in the right direction, and I would therefore be careful to conclude on what measures we are going on with, in addition to those I have already outlined that we are in the process of doing.
ParlaMint-NO_2006-05-10.ana.ud1109e1609	Once again, I thank the Council of State for the answer. It's true, as it's said here, that thousands of young people are wasting time and resources on wrong choices. That's how it also costs the state a lot of money – 1 billion kroner I think I've read that it cost me last year. Training offers are very many for young people today, both domestically and especially abroad. To follow up on this is an incredibly demanding exercise for the advisers. I know that parents who are resource-intensive have the opportunity to follow this up, and they also have the opportunity to buy services – guidance services – which cost NOK 4000 – NOK 5000 per person. sequence. According to the Career Center at the University of Oslo, Norway is far behind. I hear about online solutions, and I hear that it's being pushed over to the county municipality. I also know how the county council strives to complete the tasks they have today. I will try again: What concrete action will the Council of State take, and will he share the advisory service?
