ParlaMint-NO_2006-03-09-lower.ana.ud367e43	The representative Bent Höie will make a private bill.
ParlaMint-NO_2006-03-09-lower.ana.ud367e682	All children living in Norway are obliged to attend primary school. Such training shall provide all children with a common knowledge, culture and value base. Students shall be provided with equivalent and adapted training for the purpose of good public knowledge. I think it's great that in Norway it's not just a right to school, but it's a duty, because it's so crucial for every child. Today, when we decide to tighten up the right to child protection while living abroad and introduce reporting obligations for schools, the main aim is both to strengthen the integration of minority-speaking children into Norwegian society and to introduce measures against the payment of child protection errors. It is a goal that descendants of immigrants, to the same extent as children of parents born and raised in Norway, will receive education and work to enable them to take an active part in Norwegian society. Long stays abroad may make this difficult and, in some cases, may lead to forced marriages. Discontinuation of child protection and compulsory school reporting can help prevent such situations from occurring. The social security system depends on good tools to avoid the payment of social security benefits. When the school is now required to report, several of the fault payments can be avoided. Preventing the payment of errors is important not only to avoid the loss suffered by the country. It is also important for the beneficiary. If a person has received large amounts unduly, a recovery claim may be a heavy financial burden. The Christian People's Party acknowledges that there is a danger that the trust between home and school may be impaired when the school is required to report if students have absences due to stay abroad. At the same time, we know that both Oslo and Drammen have had procedures for reporting illegal absences to other bodies for several years. I know from my own work for many years in school that having good routines to follow the individual child's absence is a part of and contributes greatly to the performance of this right or duty of the individual student. When this fails around the individual student, the school shall ensure that the child is trained as required. We also recognise that tightening the rules of the Children’s Rights Act on living abroad could have negative consequences, for example, for parents of exchange students, some foreign students with children and families who have a longer vacation stay abroad. The Christian People's Party has assessed the different aspects of each other and has concluded that the positive consequences of the proposal must be weightier. At the same time, it is important to stress that all parties, apart from the Progress Party, agree that going to school abroad can enrich children and young people and bring cultural and linguistic benefits and understanding to their cultural and ethnic backgrounds. So we ask the department to evaluate how the contractions work in relation to it when they've been working for a while. The Progress Party does not agree with this. In their reply, they say, among other things. the following: ‘These members are therefore totally opposed to children being sent alone to other continents, even if this is done in the name of globalisation.’ [[...]] One is tempted to ask: is this also true for school exchanges with the United States or Australia? In this debate, it is important to be nuanced. If we dare to be impressed by other cultures and religions, even experience ourselves to be a minority in another country for a period of time, I think we're contributing to increased understanding. The same is true of interreligious dialogue. We have recently seen good examples of its importance in Norway in the context of the Muhammed caricature conflict.
ParlaMint-NO_2006-03-09-lower.ana.ud367e709	Odelstingen today has proposals to introduce the obligation to notify schools to the social security office when students have absences which may be due to stay abroad, and proposals to tighten the child benefit law with regard to the right to family benefits while living abroad. One of the reasons for the proposal has been that this can help prevent forced marriage. I am, like the majority of the Committee, uncertain as to how rigorously this action will be in relation to preventing coercion, but I am pleased that the Committee stresses the importance of following up work in this area. In this way, the Ministry’s work on identifying the extent of forced marriage is important. I would like to begin by stressing that it may be positive for children to go to school abroad, as the representative May Hansen was also involved in his post. At the same time, it may be unfortunate, from an inclusion perspective, that a child to live his or her adult life in Norway spends much of his or her childhood in another country. This may apply to people who have their ethnic origins in other countries, as well as ethnic Norwegian children of the Roma people. Children who have had long stays abroad may have forgotten their Norwegian skills and lost contact with friends and the Norwegian community in general. I believe that the changes adopted by the Odelstinget today can contribute to the reduction of foreign residence for some children and young people and thus facilitate their integration into Norwegian society. The proposal on compulsory school reporting also has a different justification. The parents' obligation to report to the social security office about their children's stay abroad is not always met. This means that child-responsiveness can be wrongly paid. When the social security code is notified to the school that the absence of a child may be due to the fact that the child is abroad, the social security code may examine whether the right to family benefits is retained and, where appropriate, stop the payment. This may prevent the payment of errors. I have also noticed that the majority of the committee does not want high school to be subject to the notification requirement. However, I note the Committee's disclosure of information that some children are missing without the authorities knowing where they are and that this is also happening in high school. I would like to say to the representative of Skei Grande, who was inside his post, that this concerns me too. That children in our society disappear without us knowing where they are is serious. I don't know exactly what we have in answer to this, but what I can promise at least is to put in place a job to see if there is anything we can do about different types of action in this field. I have also noted the Committee's opinion that it is important that good and effective procedures are not taken into account, so that schools are not imposed unnecessarily much administration. I am here pointing out that the odelstingsproposition states that the school budget and the school in each municipality will find out how the reporting obligation can best be met.
ParlaMint-NO_2006-03-09-lower.ana.ud367e731	No one has drawn a line. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2006-03-09-lower.ana.ud367e736	It was the representative Knudsen who made me take the floor again. He made statements that we are failing these children, and that we are afraid to drag the Pakistani population on the toes by saying that high school is part of the training obligation under Norwegian law. It must be capable of being described as a lack of knowledge. There are very few young people who are sent to Pakistan to go to high school. That part is pretty microscopic. What's the challenge is something completely different. I think the Thommess had some good principal balances. We must make our laws on the basis of universal principles, and it is clear that the general thing here must be that society's rights and the obligations of society are interrelated. I believe that there is a clear link between child welfare and the obligation to provide training, but that link is lifted in high school. It is not possible to show here that the effect the party wants to achieve can lead to something like that. It is important to note that there may also be other things that can lead to parents not wanting to have their children in Norwegian school anymore, and that go far into school policy, among other things. that the government has now removed the second foreign language, which would have given parents the opportunity to have the mother tongue as a foreign language for the children. Now parents send their children to their country of origin to learn the language that they could have learned in Norwegian school with equal happiness. As the City Council for School in Oslo, I took the initiative to gather police, child protection, social security and schools around the same table to make similar routines. When it disappears approx. A hundred children from Norwegian school are not just children of ethnicity other than Norwegian. Ethnic Norwegian children are also disappearing, and children are linked to ethnic minorities, such as ethnic minorities. the Gypsy population. It's a much wider and harder field than what this is. I would like to encourage the Council of State to ensure that other municipalities, too, make it possible to bring together all the important agencies to ensure the legal certainty of children. I think it's scary that we live in a country where children can just disappear, no matter what ethnic background they have, without anyone being able to explain where they are. If we're going to do that, some creativity is needed to see different relationships between all the different state institutions we have in order to ensure the legal certainty of children. But then they have to be able to sit around the same table and cooperate.
ParlaMint-NO_2006-03-09-lower.ana.ud367e747	When you have any possible action you can take that which is obviously very negative, i.e. forced marriage, and you don't choose to put them in, it's quite obvious that it's a failure of a group. As also emerged from the debate in Stortinget earlier today, it is part of those who are being coerced, among others. in Pakistan, who are under 18 years of age and are young people per year. are in high school today, including: in Oslo and in my home town Drammen, which is no. 2 for immigration statistics. Another little clarification: when I talked about being terrified of troubling some people on the toes, I didn't say that it was about the Pakistani environments, but the Muslim environments. In fact, there are more Muslim environments in Norway than exactly Pakistani. But this can of course be about Pakistani as the largest Muslim environment in Oslo, as far as I am aware. I feel that this debate and the debate we had earlier today are a bit symptomatic of a misunderstood genius and dialogue that characterize some Norwegian social summits. In relation to fundamentalist Islam, which is ideologically close to communism, fascism and Nazism, and which preach violence, oppression and impotence, I do not think dialogue is possible. There it has to confront. And as I was in the Question Time yesterday, in an exchange of words with the Minister of Culture, has, among other things, the well-known author Salman Rushdie ordered the West to take a settlement with fundamentalist Islam. Other, more moderate parts of the Muslim communities are possible to have a dialogue with. Otherwise, the president said there was no line change because no one had drawn. We were informed by the secretary that it was not possible to draw a line. But if there had been a line change, I think I might have asked the council a question. We record that the state councils in the media are very actively pointing out the difficult situation of women in the immigrant communities. Among other things, she said: last November that imams must refrain from violence against women and not make statements that can legitimize this and that they would use State aid as a means of pressurising against these groups. I could imagine asking the Council of State what she has done specifically to strengthen the position of women in the immigrant communities – and then I don't think about research, investigation and screening, but about concrete actions. In that area, I feel that it is very thin.
ParlaMint-NO_2006-03-09-lower.ana.ud367e760	While the president was out, it was informed that there was no reason to change lines, nor is it. So the president takes what he said on his coat. Otherwise, the President will note that the characteristics used in relation to Muslim environments, such as fascism and Nazism, can be seen as strong characteristics, and the President warns against such strong characteristics.
ParlaMint-NO_2006-03-09-lower.ana.ud367e765	The previous article on Knudsen made me take the floor, but this should really lead to everyone in the room taking the floor, because what the Knudsen now said about dialogue between different cultures and religions was quite shocking. I have gone through life and always believed the best of all, and it has saved me too much trouble. I also choose to believe the best about Mr. Bullshit. I would therefore ask Knudsen to say what he means by confrontation. What does the representative Knudsen actually say about Muslim countries meeting with ‘confrontation’? What does he put in that word? It would have been very enlightening for us to know. It is clear that the Progress Party has never been close to having power. They have a fascinating belief in this hall's ability to regulate themselves out of any problem, to regulate themselves out of any moral dilemma and to regulate themselves out of any cultural conflict. It's actually not that we can regulate ourselves out of it. Sometimes it's about political creativity. Sometimes it's about getting agencies to sit down together, do a political craft and make cooperation routines. We can adopt rules here until we get blue, green or red, but it's actually not going to help us out of the big challenges we have here. Here are the good, hard-working bureaucrats who can do the job on behalf of the Norwegian community. Here it is actually the teacher at Tøen School, who goes from family to family and knocks on the doors, who can change attitudes, and who can improve integration. The Knudsen will never be able to legislate.
ParlaMint-NO_2006-03-09-lower.ana.ud367e774	Ulf Erik Knudsen gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2006-03-09-lower.ana.ud367e777	Whether the Progress Party has been far from power, you can see by looking at the last period of government, where we actually made three budgets together with, among other things. Left. So far away from power, the Progress Party has not been. In terms of ways of confronting fundamentalist Islam, it can be done through clear and concrete legal regulations, by withdrawing money from religious communities preaching attitudes that we do not want to have in Norway, such as terror and violence, or by stopping the transfer of funds to the terrorist organisation Hamas, etc., by being clear and clear to fundamentalist Islam that we do not want these attitudes in a civilised Western world. But as I also said, there are moderate Muslim environments with which it is possible to have dialogue.
ParlaMint-NO_2006-03-09-lower.ana.ud367e784	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Footage, see page 168]]
ParlaMint-NO_2006-03-09-lower.ana.ud367e792	We're going to vote on case No. 1 to 3.
ParlaMint-NO_2006-03-09-lower.ana.ud367e800	During the debate Ulf Erik Knudsen, on behalf of the Progress Party, put forward the proposals No. 1-9.
ParlaMint-NO_2006-03-09-lower.ana.ud367e843	The President will first address proposal No. 6 from the Progress Party. The proposal concerns the new second paragraph of § 6 of Kinderelova and reads: ‘Section 6 new second paragraph shall be replaced by the following:If the person entitled to bring an action before the courts following this paragraph is dead, the heirs shall enter into the legal claim of the deceased person after that person.’;
ParlaMint-NO_2006-03-09-lower.ana.ud367e861	The President will then bring up proposal No. 7 from the Progress Party. The proposal concerns the second paragraph of Article 28a and reads as follows: ‘Section 28a, second paragraph, shall be replaced by the following:If the person entitled to bring an action before the courts following this paragraph is dead, the heirs shall enter into the legal claim of the deceased person after that person.’;
ParlaMint-NO_2006-03-09-lower.ana.ud367e1014	This will be replaced by the alternative between the setting and proposal No. 8 from the Progress Party. The proposal reads as follows: ‘Article 80, first paragraph, shall be replaced by the following:If a person who has paid or agreed to a child’s birth grant, later released from the father’s custody, he or she may claim the sum of the amount paid back from his or her nationality. The sum shall be indexed according to the consumer price index of the Statistical Central Bureau from the date of payment of the advance until payment is made again. The person who has been paid in advance is paid the index adjustment after payment. The requirement may be set down or dropped if it is clear that he did not have reasonable reason to agree to the danger, or that he should have raised a case for change earlier.»
ParlaMint-NO_2006-03-09-lower.ana.ud367e1048	The President will now deal with proposal No. 9, from the Progress Party.
ParlaMint-NO_2006-03-09-lower.ana.ud367e1098	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2006-03-09-lower.ana.ud367e1108	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2006-03-09-lower.ana.ud367e1116	Two proposals have been put forward during the debate. That is the proposal No. 1 and 2, by Ulf Erik Knudsen, on behalf of the Party of Advancement, Right, Christian People's Party and Left.
ParlaMint-NO_2006-03-09-lower.ana.ud367e1409	The President will draw attention to the fact that this has been corrected in relation to the vote. The setting refers to the second paragraph of Section 14-9. The correct reference shall be to the fourth paragraph of Section 14-9. For this sentence there is an alternative proposal, No. 1, from the Party of Advancement, from the Right Party, from the Christian Party, and from the Left. The proposal reads as follows: ‘The first sentence of the first paragraph of Article 14-10 is amended as follows:However, this does not apply to the extension in case of multiple births, see the fourth paragraph of Section 14-9 or to the withdrawal of a family allowance, see the second paragraph of Section 14-12.’
ParlaMint-NO_2006-03-09-lower.ana.ud367e1516	The President will address here the voting proposal, No. 2, from the Party of Advancement, from the Right Party, from the Christian Party, and from the Left. The proposal reads as follows: ‘The second sentence of the second paragraph of Article 14 to 12 shall be replaced by the following:The father may also withdraw the parental allowance for the first 30 days of the social security period after birth or the care allowance at the same time as the mother receives the parental pension.’; [[6 weeks]]
ParlaMint-NO_2006-03-09-lower.ana.ud367e1858	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2006-03-09-lower.ana.ud367e1868	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2006-03-09-lower.ana.ud367e1946	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2006-03-09-lower.ana.ud367e1956	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2006-03-09-lower.ana.ud367e2008	Thus, today's map has been processed.
