ParlaMint-NO_2006-12-04-2.ana.ud2368e28	No one has asked for the floor. [[Fotation, see page 876]]
ParlaMint-NO_2006-12-04-2.ana.ud2368e665	No more people have asked for the floor on case No. 12th@item: inlistbox [[Footing, see page 877]]
ParlaMint-NO_2006-12-04-2.ana.ud2368e685	In the budgetary position adopted by the Committee during the week, the following sentences were inserted: ‘The Committee believes that habilitation and rehabilitation must be the next major area of health care. Such a commitment will contribute to better quality of life and greater autonomy for patients, while reducing the need for care services.’ I don't reveal any great secret by telling you that this was originally part of a larger remark made by the Right fraction of the committee. We are very pleased that the whole committee has agreed to this. In fact, there is a rather strong indication from an overall committee of what is quoted in the text of the interpellation, and as the Council of State itself has written into the budget proposal, namely that some of the lack of habilitation and rehabilitation is high enough priority in today's Norwegian health and care policy. I had the opportunity to share some views with the Council of State in the spontaneous question hour last Wednesday on the same topic. I found with satisfaction that there was full agreement between the Council of State and me that the concept of ‘necessary health care’ includes, in fact, the assistance for training, rehabilitation, which will enable the individual patient to master his or her own everyday life at the level of function that can be achieved on the basis of his or her assumptions. There should be a good starting point for a joint commitment to ensure that the provision of rehabilitation is well enough. Annually, more than 40,000 Nordics need training and rehabilitation in institutions after illness and after hospitalisation. ==References== 18 000 of these will be accommodated in state hospitals, approx. 27,000 are accommodated in private training institutions. Today, as we know, responsibility for ensuring access to rehabilitation and training services has been added to regional health businesses. It is their responsibility to ensure that the offer is large enough, and that it is qualitatively good enough. The SINTEF National Plan for Rehabilitation — Monitoring of Needs, from August 2005, shows that the survey interviewers and representatives of nationwide organisations active in the rehabilitation field point out that there are some obvious shortcomings in today’s offer. In particular, the shortcomings appear to be linked to the lack of access to skills and, on the one hand, the lack of adequate coordination between all public authorities responsible for facilitating the provision of rehabilitation services. The report demonstrates a number of weaknesses both in the municipalities, in the specialist health service and not least in the interaction between the municipalities and the specialist health service. The co-operation administration is working on an action plan for the rehabilitation field. And not least the parties that are currently government parties and that were opposition parties in the previous period, supported this very actively in the Storting in the context of the 2005 government budget. The representatives of the current government parties wrote at that time in the budgetary position: ‘These members will request that such a review be carried out as soon as possible and that it be followed up with an escalation plan which clarifies and ensures both professional and economic conditions.’ Now I have registered that after the government change, the level of ambition seems to be written down significantly. There are no longer ambitions for a separate rehabilitation action plan. Now, instead of talking about a strategy for rehabilitation, we are talking about a strategy for rehabilitation. In the Right Alternative State Budget, we have proposed to strengthen this field with a total of 500 million. This is because we believe that it is required, and that it is the beginning of this escalation that the entire committee now agrees that it is necessary. My question to the Council of State is: why is the planned action plan written down to become a strategy? And will the Storting somehow be presented with the ambitions that the Government will continue to underpin its work in the rehabilitation field? For example, the Council of State will: ensure that the strategy of the Ministry of Health and Welfare is coordinated with actions falling within the responsibilities of other departments — in relation to the responsibilities of the Ministry of Labour and Inclusion, in relation to the responsibilities of the Ministry of Transport, in relation to the responsibilities of the Ministry of Local and Regional Affairs, and in relation to the responsibilities of the Ministry of Knowledge in relation to children of school age. So far, most of the answers to such questions have been limited to a repetition of an increase in the municipal economy by so many billions to cover all the purposes of filling up the swimming pool, strengthening child protection, strengthening the number of teachers in school, etc., but there is no response to the need for a targeted action plan for rehabilitation. So a few words about the private training institutions. I referred to the figures that show that the efforts made in this area are far greater within the private training institutions than within the public institutions. This is the difference between 27,000 and 18000 users. At the same time, documented figures show that the costs of staying at the private training institutions are lower than 1/4 of the corresponding daily price in public hospital institutions. If we initially agree that it is important that the resources we use to satisfy patients' needs extend to as much as possible, that as much as possible receive an adequate offer, then it is in the cards that it should be said to buy where the offer is most reasonable. Now, the reality is that many of the private training centres are in deficit and have had to cancel employees. This concerns Steffensrud Rehabilitation Centre, Bøverbru, the Landaasen Rehabilitation Centre in Oppland, in the case of Grande Rehabilitation Centre, in the case of CatoCenter. Godthaab Rehabilitation Centre has compiled before the middle of the year an operating deficit of DKK 800000 only for the current year, and must sell properties to finance operations. Will the Council of State ensure that there are clear enough governance signals for regional health companies to enter into binding, lasting agreements with the qualitatively good private training institutions? From last year to this year there has been a decrease in the number of rehabilitation stays by 16 pst. in the field of specialist health care. Here, too, there is reason to ask the Council of State: will she respond to this in her letters/documents to regional health companies to reverse this trend in a constructive way? Finally, a theme that I'm just going to go so far as to mention, but that's pretty important. The State Knowledge and Development Centre for Whole Rehabilitation has pointed out that there is a dramatic unmet need for qualified research in the field of service we are talking about here. What are the plans of the State Councils to strengthen research efforts?
ParlaMint-NO_2006-12-04-2.ana.ud2368e724	Let me first say that I am pleased that there is so much commitment, and that there is a broad consensus that habilitation and rehabilitation are areas where it is worth investing in. In the Soria Moria Declaration, the Government has determined – and I want to repeat it here – that after illness it will ‘safe rehabilitation and training for everyone who needs it’. We will also work to ensure that young people with disabilities or chronic diseases receive a good and multidisciplinary habilitation offer. This means that we should be able to offer good, competent and adequate rehabilitation services to both young and old people, both men and women – wherever they live in the country. All shall have equal opportunities to live a decent life and to master problems that prevent them from participating in activities and in social life. As the representative of Wage is familiar with, in the new year I will present a national strategy for rehabilitation. I'll get closer to it. This does not mean that the Government downgrades this work. I'd rather say the opposite. First, I feel the need to repeat that today's health laws should guarantee the right of the individual to rehabilitation. This applies to both municipal and specialist health services. In the 2006 governance papers for regional health enterprises, special attention was given to patients in need of rehabilitation and rehabilitation. Also in the 2007 mission letter, which they will receive in January, it will be clear that the service provision will be developed to meet the needs of these patients. The local authorities' obligation to care for this patient group is particularly evident in the annual circular on the priorities of municipalities. Of course, I will also pay attention to this in the next year's circular. The Ministry will monitor closely how the specialist health service and the municipalities cover these tasks, including: through fixed reporting systems. Rehabilitation is a process involving many services and activities, especially in municipalities, but also in the specialist health service. There are different needs that we have to try to address. I am thinking in particular of the learning and mastering centres in health companies, their own units for rehabilitation and extensive cooperation with private training institutions and special health institutions. The supply of private suppliers that have contracts with regional health establishments shall be part of the overall supply to the population. The comparison of the daily price of private rehabilitation institutions with the daily price of hospitals, which the representative Wohnung made in the interpellation of private contract specialists on 16 November of this year, is unfortunately difficult to implement. The institutional sector shall not perform services at the same level as hospital departments, but shall cooperate closely on, for example: follow-up after operations and primary rehabilitation. Hospital wards working on rehabilitation have staff — in particular doctors, physiotherapists and nurses — and sometimes also equipment that the private institutions do not have and that is not necessary for them to perform their duties. This is not to say that no more of these institutions will need more qualified personnel. The previous government, through the tender organisation, made up for a conversion in the training institutions and in other rehabilitation institutions, which resulted in a substantial reduction in the number of institutional places. Some of this was corrected after we took over the government power, by establishing a special grant that the institutions could use to develop their offerings. Several institutions that would otherwise have had to close down were given a basis for continuing their business. Sufficient capacity in services is important, but it is not so easy to quantify this accurately. One and the same problem can be solved differently. In the case of hip surgery, it may be relevant for some to stay in a training establishment, while others have the best use of an offer in the municipality. Similarly, in the case of people who aim to return to work after illness or injury, measures in cooperation between health services in municipalities and NAV may be relevant, while in some cases provision in institutions may be relevant. These issues have been addressed in the St.melding. No 9, Work, well-being and inclusion, and we will follow this up further through the sick leave agreement with the social partners. I can assure the representative of Wage that we will cooperate widely with the departments concerned as we develop the new strategy. The government is concerned that there should be good capacity in terms of habilitation and rehabilitation. Then it is important to look at the whole of the offer given. The capacity for institutional rehabilitation, including the geographical distribution, is a matter for the Government, among other things. as part of the follow-up to St.meld. No 5 for 2003-2004, Income system for specialist health services. Good quality rehabilitation must: reflect the human right to sea, to decide over vital living conditions and at sea, to be able to take personal responsibility and mastery of one's own objectives and to help it to gain insight into its own needs, opportunities and limits, as far as possible, of self-control over the rehabilitation process and to facilitate active participation and participation; We know that the provision of rehabilitation often means that more than one body needs to do so, and that it is important to tailor the arrangements to the best of their needs as far as possible. Therefore, both the community health service and the specialist health service, as well as contributing to the user’s functional improvement, must also provide training on how to master the new life in the event of illness or injury. This applies to users as well as to relatives. Learning and mastering centres shall contribute to training becoming an integral part of all medical treatment and rehabilitation. I think these centers have a very important role, but I'm aware that it doesn't work as well everywhere. I take that very seriously. I'll make sure it gets in place. I also want to mention the educational institutions and the working life. Life must be lived in many arenas. That's true of everyone. It is then important that there are competences and resources to help individuals achieve the goals they have set themselves. As announced in the National Health Level, I will present this national strategy in the new year. What is important for the Government to provide is: ensuring the necessary capacity for rehabilitation and rehabilitation in the further development of good and sound rehabilitation services to improve the division of tasks and interaction between municipalities and specialist health services and between public and private service providers to ensure the recruitment and goodcompetence of services to strengthen research efforts; In this work, we cooperate closely with user organisations and with healthcare. And I'm, in addition to listening to Stortinget, very interested in hearing what the users and employees in the service have on my mind. The quality requirement will apply to habilitation and rehabilitation as to other health and social services. They have to work, so they have to give them what they're talking about, a better life. They must be safe, they must involve the users and give them influence. And that's going to have to be the relationship in the deals that we're giving. Then we have to make sure that we make good use of the resources, that they are fairly distributed, and that they are accessible to everyone who needs it. Municipalities are responsible for the quality of the services they provide. This also applies, of course, to regional health enterprises. As regards the quality of private institutions, it shall be ensured, inter alia: through agreements with the regional health establishments. Complaint systems and the supervision of services are also important instruments for ensuring quality in this important area. The supervision of the habilitation service and the services of local authorities to persons with complex needs has revealed deficiencies, see: a recent report. There are deficiencies that need to be corrected in order for us to be of a high quality. In addition to capacity and quality, it is of course important for healthcare to interact well, as the representative on the pay side also pointed out, because we know that there must often be interaction between both specialist health and primary health services and also on the municipal level in the area of social care. For several years, individual levels have been an important instrument for the treatment and follow-up of each individual. I think it still is, but it is unfortunately different practices in relation to how this works around. That's why we have to make sure that this comes into place. We also need to ensure that there is good contact between all agencies and between people working in this important area. I will also come back to the particular challenges we face in terms of interaction, including the central organisation of this work.
ParlaMint-NO_2006-12-04-2.ana.ud2368e798	I thank the Council of State for the answer, which confirms that with regard to the perception of what the rehabilitation challenge is all about, we are essentially in agreement. The question of separation is once again the level of ambition. I am not going to hold a language debate with the Council of State on what is the difference between an action plan and a strategy, but I note that many of the large user organisations in the context of budgetary consultation have expressed considerable disappointment that the level of ambition seems to have been checked down quite sharply. And I don't suspect the large user organisations that they're reading the government's draft budget, too, so that there are no readable signals about prioritisation of this field. Within an otherwise large budget, there is nothing to say that the Government is committed to giving priority to this in relation to other health objectives. The longest thing to go in that direction is the indirect admission, that it is not well-prioritized today – and we are 100 pst. agree. But my question is, what do you intend to do to prioritise the higher in the continuation? I do not think the Council of State gave a clear and clear answer to that. As regards the comparison between public and private institutions in this field, the Council of State is of course right to consider such a comparison with some methodological problems. But those problems go both ways, because in the price difference that I referred to, one must also include that in the daily price of public institutions, depreciation costs and other things are not recognised. They're also coming in. But the private training institutions also have to cover this type of expenditure within the fixed daily price at a place between NOK 1 100 and NOK 1200. Therefore, I would like to challenge the Council of State once more: would she at least be interested in ordering a proper analysis of why the cost picture is as it is, why the difference is so dramatic? Because it could be that here's a lesson to learn about the way we conduct the rehabilitation policy in the future.
ParlaMint-NO_2006-12-04-2.ana.ud2368e807	I record that the representative Wage is still trying to make it a point that the Right and Government are separating layers in terms of ambition. I believe that insofar as there is any difference here, it is at least in the favor of this government, because it is so that it was the previous government, of which the Right was also part, that made the arrangement related to rehabilitation institutions. It happened in June 2005, and it was introduced from this year. And that's the work of this government – we introduced a grant of our own – that's why, for example. rehabilitation institutions such as Godthaab, Sofienberg, Seamen's Health and Frydenberg have survived. So to the extent that there's any difference in the level of ambition in this area, at least there's no favor in the Right Party. But I think it's more important to look forward. It's good that if a rattles away that rhetoric, it seems to be a fairly broad majority who actually want something more to ensure rehabilitation for the population. I actually think that people are most concerned about that. From the Government side, we have good contact with the user organisations. They are, and shall continue to be, well involved in the development of the new strategy. Of course, I will also involve Stortinget in an appropriate way in relation to rehabilitation over the years to come. The representative's salary says we haven't given strong signals. Well, this government has it, both through more money and through the fact that in the governance documents for the current year we have clearly announced that rehabilitation is a priority area. I can assure you that I am going to repeat it for the next year. With regard to the issue of cost differences between public and private providers, I would like to stress that I believe that private providers, and in particular the ideals in this area – LHL’s many institutions or others – are doing a great job. We need them, and we want more of them in the future for the benefit of our patients. It is not easy to compare directly between public and private providers because in many ways, as I said in my main post, they have slightly different roles to play within this area. But I'm going to look into where it's comparable, whether there's different costs and why, if any. But the government means what we say in Soria Moria that we have to ensure rehabilitation and rehabilitation for everyone who needs it. This is what we intend to follow up in practice in different ways, including in the future.
ParlaMint-NO_2006-12-04-2.ana.ud2368e820	I am pleased that the State Council Sylvia Brustad in reply to the interpellant very clearly states that the individual's right to habilitation and rehabilitation is ensured by today's health laws, and that this applies both in the municipal health service and not least in the specialist health service. Through the national strategy for rehabilitation and rehabilitation presented in the new year, the Council of State and the Government announce an offensive effort to improve quality and capacity in this important area in the future. Having good health care capacity is important and necessary to provide equal treatment wherever you live in this country, so that patients are monitored and treated in the event of illness and injury as soon as possible. Through early and good rehabilitation, individuals will cope with their daily lives in a much better way, and many will also be able to return to work in the past. Therefore, the contract between the employer and the employee side to set aside 631 million. an important step towards strengthening rehabilitation. Today, we see that habilitation and rehabilitation institutions are divided differently between the five health regions. Where these health institutions have been established has a historical background. A change to that structure cannot happen overnight; it must happen over time. One must not build up in one area and build up in another, but one must look at how a smoothing can be done in a good way in the future that takes care of the wide and good offer that already exists around. Capacity, quality and proximity to good rehabilitation services are important. Therefore, this dithering must take place over time. If these objectives are to be achieved, there must be a good interaction between the State, the county councils — possibly new regions — and not least the municipal sector. Municipalities and specialist health services provide important services in this area, both in public institutions and in private institutions also operated by NPISHs. It is important to build further on today's offer, and that one sets requirements for further education for those who work here. Further education will contribute to improving the quality and professional follow-up of patient groups in need of such treatment. We have a good mix of public and private institutions and non-profit institutions in South-Trøndelag. To make use of the capacity such as: The LHL on Røros has, as Selli Rehabilitation Center AS in Kläbu, which Bethania in Malvik has and which Munkold in Trondheim has, is important. They have good capacity, they have background, and they have personnel. It is important to build on this before building new competing institutions around in all counties. As the Council of State answers, learning and mastering centres in health businesses are important actors — with a background in the manning of the country’s hospitals, through doctors, physiotherapists, etc. This professional competence is also important to take advantage of. How can professional competence be developed in all areas of the country? I think that mastering centres can be some of the things that can be added to the local hospitals where you have a competent health care professional. It can provide closeness, security and good professional quality where the inhabitants live. Being close to home, relatives and family is important when going through a long rehabilitation period after illness and injury. It is always possible to improve the provision of health, as it is possible to improve all other areas of society. These include: therefore, the Council of State presents a national strategy plan for rehabilitating in the new year. Without the strong increases made by this government and this Council of State, unlike the budgets provided by the previous government, among others. 600 million. SEK to increase activity in 2006 plus 390 million. NOK now, we had not had the opportunity to invest so much in habilitation and rehabilitation around health businesses.
ParlaMint-NO_2006-12-04-2.ana.ud2368e839	First, a little visit to the last representative's post, because it was just to be lacking that you couldn't afford a little more money to the health service than the previous government did. Never has this nation had more money, never has the room for action been bigger, and thus the possibilities are also present. In many ways, this debate becomes a bit prelude to the debate we are going to have here on Wednesday. I'll try to be a little careful and not use up all my points before Wednesday, but I still think it's more than enough to get into when we get to that debate. It is quite clear that the economic situation of health businesses also intervenes in the rehabilitation debate, the debate on using the capacity associated with training and rehabilitation. After hearing Asphjell's presentation of the number of institutions in his own household, I understand that he also arranged for conversion and construction elsewhere to take time! I fully agree with the Asphjell representative. But we must not get into the situation that many institutions in their own country are preventing them from expanding where there is a great need, among other things. in the area of the Health West, which has a significant under-coverage associated with training and rehabilitation institutions in relation to a number of other locations. The Council of State has also called for and announced that she will present a national strategy in this area. I appreciate that very much, and I look forward to it coming. I believe that the reason why it is not called an action plan or a rehabilitation plan, but that it is going to become a strategy, is probably a bit of a procedure and where this matter is to be dealt with. That's probably where a lot of it is. I can challenge the Council of State whether she might still – although the plan has been re-baptized into a ‘strategic’ – invite the Stortinget to join in and deal with this. Then Stortinget can also say his opinion, have a hand on the wheel, and make many, good and useful recordings, which the council will certainly appreciate. It may be okay that the matter is also dealt with in Stortinget. That invitation is thus given to the Council of State. I think that the state council in its time made reference to the care of the elderly and the challenges there – she handed out a hand to the Stortinget and said that listen here, we would like to make representations before we come to the final result, we would like to take the debate to the full – would have been well served in this matter as well. Rehabilitation and training have to do with seeing the whole human being. It has to do with being able to follow a person from a man – I kept saying – needs help and until you either get back to work or are better able to live with your own illness. Not everyone can get training and rehabilitation and then come back to work, but a lot of people need it to deal with their disease in the future. It's also important to keep in place. They are not covered by additional appropriations of 604 million. kr for the purchase of rehabilitation services, for the agreement with the social partners was to reduce sick leave, in order to keep it low. Therefore, it is important that we increase the scope of action also for regional health businesses, because that is where the liability for payment for these services is now located. I've been to one of the rehabilitation institutions that Asphjell's representative, LHL's institution at Røros, which is just an institution that has taken on the demand for quality – that we ensure quality building. But then we also have to be willing to pay for it. That's what's a little bit of a problem. On the one hand, you want to build quality – then the price also goes up – and then you get problems at the other end; you lose the tenders because you have invested in quality. That's why we have to follow this closely. We've asked for quality, we need quality, but then we also have to be willing to pay for it. Finally, I want to think about what has to do with the individual level. That is an individual requirement. It is said that there is also a right to health care related to rehabilitation. The problem is, we don't follow the law that's there. The problem in an individual plan, which is actually a right, is being followed to a negligible degree. Then we have to focus on making sure that the laws and rules that are actually being followed. The same is true in relation to rehabilitation. Well, it's no use with a law if the law isn't followed. That's the issue we have to address right now.
ParlaMint-NO_2006-12-04-2.ana.ud2368e854	In SV we think this is an important interpellation, and it is very good that the representative Wohnning has taken such an initiative. I want to give this rose at first. Rehabilitation and good quality rehabilitation are necessary in order to have a good and comprehensive health service, and it is not without reason that the large patient and user organisations are very concerned about this particular topic. That is why we look forward to the rehabilitation strategy that comes soon from the Government. We are also very concerned that rehabilitation and training must be central to putting the agreed solution to the sick leave debate into practice. Here, a lot of money will be spent on reducing sick leave, and we know that muscle and skeletal disorders and mild mental disorders are important causes of sick leave. Giving people an offer quickly when they've fallen out of work, before they start doubting their own abilities and mastering, getting social distress or developing more serious diseases than they had before is terribly important. I am pleased that the Minister of Health will pay particular attention to rehabilitation and rehabilitation in his mission papers to regional health companies. It's very important. It is important that both medical and occupational rehabilitation is included in this. There is little point in investing billions of money in the treatment of diseases and disorders if we do not also ensure that patients master their daily lives. Then they quickly end up in the swing door, in and out of the hospital. In particular, this applies to the chroniclers. It is important that municipalities also provide good habilitation and rehabilitation services. This requires understanding of the problem of rehabilitation, good cooperation solutions and a sufficient economy. Monitoring shall be carried out in order to find out more about the unmet need for rehabilitation and rehabilitation underpinning the national strategy. It is important that the strategy ensures an overall perspective on rehabilitation and includes both institution-based and municipal rehabilitation. We have expectations that the work of the Government in this area will contribute to better achievement of the goal of the rehabilitation field in Norway. SV is also concerned that the status of the habilitation and rehabilitation field needs to be increased and that there needs to be a better understanding of the place of habilitation and rehabilitation in a public health perspective. Good rehabilitation requires both interdisciplinary and high levels of competence. SV is concerned about the need for health enterprises to strengthen and improve institutional rehabilitation, as well as the need for local authorities to make an effort. We need to ensure that the available capacity in labour-oriented rehabilitation is exploited and that long-term agreements with the institutions are facilitated. Free capacity in existing institutions has to be monitored. This has a unanimous committee fixed. Long waiting time for rehabilitation and rehabilitation lead to poorer predictions for successful treatment. Therefore, it is also important to ensure active use of individual levels. We support the active attitude of the Minister of Health towards this. A power cap is needed to ensure that individual levels are used, because this is a very good tool, when used correctly, to ensure both interaction, patient involvement and progress in the course of treatment. We are also pleased that the procurement regulation has been amended so that rehabilitation services provided outside hospitals can now be acquired under the so-called direct acquisition procedure, where only the main requirements of the Acquisition Act must be met. In addition, it is very important to ensure the long-term nature of the agreements with the institutions, in particular with the non-profit institutions. Purchases of rehabilitation sites shall be treated equally, irrespective of the region to which they belong. I also want to bring out the special health institutions, i.e. Hernes Institutt, Attführungscenter in Rauland, Beitostølen Health Sports Center and Valnesfjord Health Sports Centre, which are nationwide and ideal institutions of competence in the field of rehabilitation. They shall have a spearhead function and be drivers for the development of specialised rehabilitation. These institutions have specific challenges in the field of research and development, which it is important for regional health businesses to take into account in the procurement process. A unanimous committee determines in the budget setting, as the representative of Wage said, that ‘habilitation and rehabilitation must be the next major area of health care’. This is great. Such a commitment will contribute to better quality of life and greater autonomy for patients, while reducing the need for care services. At the end of the day, I would like to say to the representative that we are distancing ourselves from the claim that the level of ambition for rehabilitation has been written down, as he said. The Soria Moria declaration applies, and it states that we are to ‘ensure the training and rehabilitation of all those who need it’. If we are first to enter into internal negotiations in the committee’s work, I can tell you that it was the government fraction that had the case-presidentship of this chapter and that all the comments have been approved by the ministry.
ParlaMint-NO_2006-12-04-2.ana.ud2368e873	I would also like to commend the representative for his salary in order to travel this interpellation. People who have become ill or who have suffered an injury must face comprehensive treatment services with a focus on prevention, treatment and rehabilitation. This must apply to all, regardless of age, the type of disability and diagnosis and beyond, regardless of the individual’s ability to work. Rehabilitation must be based on respect for human dignity and also on man's right to determine for himself vital living conditions and to formulate his own goals. When we see how important habilitation and rehabilitation are to the individual, I also have great expectations of the government's announced rehabilitation strategy. With many input from user groups in my back, I would have liked to have seen that there was a plan or a big message, because, as the interpellant has explained, there are major deficiencies in the rehabilitation offer to the country's residents. This has also been pointed out by the Council of State. But the most important thing is what the strategy plan that has now been adopted should contain. Personally, I believe that rehabilitation must be given a stronger position in the law. I will come back to this in connection with my own proposal for a representative. Today, the right to rehabilitation is enshrined in the law as a sub-item or as a definition of health care, which is correctly attached to the right, as the representative also pointed out. But rehabilitation deserves a much more visible and independent place in the law. Several patient organisations also confirm this. And the fact that rehabilitation does not work today for many patients and many patient groups suggests that the law is not or is perceived as strong enough. The disease picture in Norway is changing. The incidence of cancer and type 2 diabetes is increasing, and there are increasing numbers of older people. An increasing number of people with cancer and chronic diseases live with their disease for many years and learn to master a lot themselves. To meet these challenges, more attention needs to be paid to enabling patients to master their own illness and disability in everyday life, and also to prevention and health promotion measures, in society in general and in hospital settings in particular. Reducing suffering and improving quality of life is an important objective for individuals, while we know that there can be a good social economy in very many cases. Reduced need for future treatment, future care, medications, greater ability to be at work and to participate on the basis of their own preferences and opportunities are the desired effects of good rehabilitation. A study at the Fairing Clinic showed that only one in five who gets a serious heart event is involved in heart rehabilitation. Lung rehabilitation reduces hospital emergencies for those with COPD. It can also be documented. A 2004 study carried out by the National Audit Office on the potential for efficiency in hospitals showed that, in hip operations, the most effective hospitals used rehabilitation institutions as an integral part of the treatment. It must be such that a patient is not defined as having completed an operation. Rehabilitation is also an important part of the treatment. In many cases, it is essential to initiate rehabilitation measures shortly after disease or injury has occurred, including: to recover the previous level of function, possibly to minimise the loss of function. This will prevent frequent hospital cleaning next time. Faster offers could also mean saving suffering and saving health costs. Rehabilitation has not been adequately prioritised either in municipalities or in specialist health services, as also mentioned at national health level. Finally, I would like to mention that research is important, which was also discussed by the Council of State. Finally, I would like to point out the central point of the fact that rehabilitation includes relatives. Learning and mastering centres play an important role in this work. Increased knowledge and information about your own disease and situation, in cooperation with relatives, is also of great importance.
ParlaMint-NO_2006-12-04-2.ana.ud2368e899	The right to rehabilitation and rehabilitation is based on the right to necessary health care, as most parties say. It's a little interesting, I think, that the Right Party and the Christian People's Party, which have ruled together for four years, disagree on whether rehabilitation and rehabilitation are based in this court. We have registered that the representative Davøy has made a proposal in Stortinget on the right to rehabilitation. Therefore, it may not be so strange that the previous government, the Cooperation Government, left some chaos in this area when it left the government offices. The responsibility for rehabilitation was transferred to the regional health companies, and when the Stoltenberg government took over, there was chaos in the bidding rounds, which excluded many institutions, including those institutions that the representative Inge Wohnung spoke so much about earlier. In addition, this government chose not to do anything about the distribution of health regions between them. This government and the Health Council say in the State budget that one should reduce a sample to look at the distribution of rehabilitation funds to regional health enterprises. It is obvious that parts of the country are coming out very badly after the reorganization proposed by the previous government, the Co-operation Administration. Rehabilitation is a responsibility of the municipal health service, and it lies within the specialist health service. I think it is reassuring that the Council of State so clearly states how this should be followed up through the annual circular to the municipalities and in the mission document of the regional health companies. The Council of State tells us that a strategy for rehabilitation will be presented in the new year, and that is important. I think it's a bit pathetic that it leads to a vocabulary about whether it's an action plan or a strategy. The essential thing – whether it is called an action plan or a strategy – is that this strategy or action plan becomes visible in the annual budgets, which determine the level of rehabilitation in the future.
ParlaMint-NO_2006-12-04-2.ana.ud2368e913	Rehabilitation and rehabilitation are an important topic, but at the same time these words – rehabilitation and rehabilitation – are difficult to deal with. There are some who believe that rehabilitation is the whole process – from one person to full recovery under medical treatment. But the manipulation is also used in other contexts. If the metamorphosis is used in the broadest sense, it involves the whole process – from a human being to some form of treatment until a satisfactory result is achieved. It may be tempting to ask: What is satisfactory rehabilitation? What is it, really? What is good rehabilitation? I want to claim that we have too little competence, too little knowledge of what is good rehabilitation. When it comes to the evaluation of rehabilitation, what happens after one has undergone a rehabilitation – the result is also a neglected area. Here, there is a clear need to strengthen research in order to get better knowledge of what we're doing. In particular, this applies to musculoskeletal disorders, where we have far too little knowledge of what actually works. We know that we have major challenges, and then it's important that we do what we have to do in this area, in the best possible way. We don't have enough resources to get the most out of. 15 pst. Of those who go on sick leave for a year, they come back to work. 50 pst. ends up in rehabilitation. 20 pst. have a disability benefit, and 15 pst. ends up reintroducing. Here, there is a great potential for getting people back to work by increasing the quality of rehabilitation. We need, as we have heard before today, labour which is not least part of the health and care sector. The aim is that rehabilitation and rehabilitation should help people with disabilities to achieve the best possible functional and mastering capacity, self-employment and social participation in society or else. It has been about strategy plans, but there is also a rehabilitation message, St.meld. No 21 for 1998-99, which mentions empowerment, development and research in the field of rehabilitation. But as I've already said, I think we still know too little about this area. Another problem is that there are considerable differences in the provision of rehabilitation services in individual municipalities. It's got a lot of stuff. the context in which the regulation is interpreted differently. At least we have received many feedback from local authorities that point out that there are major coordination problems associated with rehabilitation. We also know that rehabilitation started in the second line service often stops in the first line service. So here we have some interaction challenges. I think here we have, as I said, too many people falling between two chairs. Left mind, as the representative also pointed out, that one way to solve this is to stimulate more research, as I said, on what is good rehabilitation, and what actually works. In addition, the coordination of rehabilitation needs to be put on the map and evaluated, especially between the different levels of service. I actually perceive the state council so that it is busy interacting with service levels. I therefore expect that when the national strategy — if it is called — is presented over the New Year, the challenges of coordination and interaction between service levels will be put into focus.
ParlaMint-NO_2006-12-04-2.ana.ud2368e932	Ensuring rehabilitation for all who need it is important and an ambitious objective. This means that a number of people who today have been dissatisfied because they have lacked a good rehabilitation offer can now have a new chance. It is important for health enterprises to give priority to the provision of rehabilitation services in their territory, for the whole human being to be seen, or, in another way, for a human view based on the right of all to be rehabilitated on the individual’s premises. Good rehabilitation is to get to an individual plan, a coordinated and personalised plan. This requires an effort throughout the treatment chain from primary doctors to specialists and to the learning and mastering centres. For example, for those with a severe hearing impairment, and indeed many people have, an overall offer is very important for improving quality of life and for as many as possible continuing to work. Therefore, a good rehabilitation service must also include good organisation at work. Rehabilitation shall also provide guidance and respect for the diversity of the need for individuals in the different life stages and stages of the disease. I am very proud that the Council of State so clearly stresses that in a future rehabilitation, the right to decide what is important in your own life should be the overall one. Health regions also need to be challenged: have they followed up what the Stortinget and the Government have called for to have a good rehabilitation offer? For some I think there's a piece left, even though they've now received a grant of their own. Here, I think we all have to be watchkeepers, so that rehabilitation gets the place it needs in health businesses. I also believe that good rehabilitation depends on improving the knowledge base for decisions on rehabilitation for individuals, and at all stages of the treatment chain. Quality development at the learning and mastering centres and research will produce a more optimal effect. I think that anyone who's become ill and who's had some disability, wants to be a part of something, a part of the working life, doing itself, getting a quality of life that gives less supplemental diseases. Further training of health professionals is also important, and perhaps an incentive for more people to learn more about what is an optimal rehabilitation, for example. by allowing more people to take the master's degree in rehabilitation. As far as I know, we have 37 learning and mastering centres in Norway. They offer a little different rehabilitation, but it is important in the new strategy for rehabilitation that the knowledge acquired by the different learning and mastering centres needs to be disseminated between them and made better known by primary doctors and specialists, and not least by research communities. There is a lot of good in what the state council has prepared for. Whether the strategy is dependent on a regulation we already have, or whether it is going to the Stortinge for our own treatment, is not so important. The important thing is that health businesses are able to do the job they are going to do. Good rehabilitation is better quality of life for individuals and, in fact, also less expenditure for individuals and for society as a whole. Then we'll have to take the debate on preventive health work another time. Because it's like Gro Harlem Brundtland once said, everything is related to everything.
