ParlaMint-NO_2006-05-23.ana.ud1471e51	The so-called alternate of the state of Troms, Ole-Anton Tegen, has taken a seat.
ParlaMint-NO_2006-05-23.ana.ud1471e1377	The representative Jan Arild Ellingsen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e1382	Norway probably has one of the world’s best police training courses, and a unanimous committee says that this is necessary to maintain the generalist principle. Therefore, it is with wonder that I have read the special comments of the Progress Party on what kind of police training we are going to have in Norway. On the one hand, the Progress Party says that you want a good basic education, but that it ‘however, it may be a question of whether higher education is needed to ‘relieve filling’ on weekends.’ On the other hand, it appears that the training does not provide sufficient competence when the Progress Party states that: ‘It is doubtful that three years of law school will qualify you to be a computer engineer, accountant, lawyer, chemist, lab engineer, etc.’. So, as I understand it – in brackets – it takes five years of university education to take the law. Can the representative of Ellingen clarify what kind of education the Progress Party believes the police in Norway should have so that we continue to have one of the world's best basic training courses for policemen?
ParlaMint-NO_2006-05-23.ana.ud1471e1399	I thank you for the question. I think it was timely. It must be such that there is an ongoing process of quality of the content of education. What we've pointed out is some paradoxes. By doing so, of course, we believe that there might have been a need for a graduated education, for example. in relation to what the representative had in mind – to ease flattening. I don't think you need a three-year high school education to do that. I think maybe you don't need it to sit on guard in a thinghouse, or to run a food package from point A to point B. What we do by claiming these things is to show that we dare to take the debate on this. We haven't locked up that today's system is the best. We dare to challenge it and are willing to take the debate on it further.
ParlaMint-NO_2006-05-23.ana.ud1471e1408	An interesting political alliance has seen today's light in the form that the Progress Party and SV have met in a so far new and surprising way. In the notes, the Progress Party, with a broad pen, states that the most important thing is a rapid reaction, that the content of the sentence is not so dangerous to young offenders. I could imagine asking the Progress Party about the background because it is now thought that there is not so much danger in a reaction where you take seriously the need for society and a victim, for example, of gross violence. What's the reason for this? And not least, I would like to ask whether this new attitude towards crime that the Progress Party warns should also apply to immigrant youth participating in, for example. gang crime. In that case, the party's partnership with SV will not only be interesting, but almost a judicial revolution.
ParlaMint-NO_2006-05-23.ana.ud1471e1415	Of course, you can read a comment in many ways, and it's the representative Dahl who's free to do it. What has been important to us, of course, is that we are followers of the use of conflict councils where that makes sense. This does not mean that a blank authorisation is given to enable someone to implement and use conflict advice in any context at his own discretion. If the representative Dahl had read the attitude to the new penal code, the general part, he would have seen the discussion that was going on there. At the same time, of course, I have no problem accepting and admitting that for us a quick response is also important. Where there is talk of young offenders and it makes sense to do so, we should be able to use a reaction like this. conflict advice.
ParlaMint-NO_2006-05-23.ana.ud1471e1424	The Ellings noted that police are an extremely important factor in prevention. There is an SV in agreement with Ellingsin regarding secondary prevention. As far as primary prevention is concerned, it is about facilitating a society where people initially do not commit criminal acts, not depending on the presence of the police to prevent criminal acts. Sees Ellingsen, for example. the use of alcohol, drugs, in a society — and the liberalisation of its use — also affect the nature of criminal offences committed? Among other things, very many people who are punishing have a dependency on drugs — does he see that the design of alcohol policy has something to say to prevent criminal acts from being committed?
ParlaMint-NO_2006-05-23.ana.ud1471e1431	To the representative of Ballo, I should like to say in the first place: Yes, absolutely – of course, there is a connection in things. I think a main difference here is that the Progress Party actually accepts that difference and has a clear awareness of the fact that with our alcohol policy it is possible that consumption will rise. But it should worry the representative Ballo just as much about the smuggling that is happening today, which means you have a grey zone that you don't have an overview of at all. With a lower alcohol tax system, much more of this would have been visible, and one might have controlled it in a much better way than with the current system. Today there is a massive smuggling to Norway. This is due, inter alia, to: a level of charges that is more about getting money into the treasury for the red-greens than actually fighting a type of crime that is going on in a big way.
ParlaMint-NO_2006-05-23.ana.ud1471e1438	That's the line change.
ParlaMint-NO_2006-05-23.ana.ud1471e1441	On behalf of the Committee, the rapporteur has presented key challenges to the police in a good way. The police are dealing with people, the police are engaging people. The police, at my discretion, have also become better at communicating with people. The police's importance to people's security in everyday life is not disputed. That is why we also have clear expectations about the presence and ability of the police to act when crime is committed. Many are rightly concerned about and are calling for a more visible police force. On the right, we will stress the importance of paying attention to this aspect in the ongoing evaluation of police reform. The right is concerned with the further development of the Police and Len’s seat on the basis of a long tradition of locally anchored service and the strength inherent in the in-depth knowledge of the community. Increasing mobility has led to changes in the pattern of residence, and people’s holiday and leisure habits present new challenges related to variations in the population at different times of the year. The right-wing believe that the staff of the police must have a flexibility that captures great seasonal fluctuations in the population, whether we talk about the summer in the South or the winter in Hallingdal. We can't expect local police and surveyors to be able to deal with a time-lapse of the population without delay. This is why the Right calls for a renewed approach to manning, so that both local and guest communities can have the security of effective police control in such situations. When all parties agree to ask the government to investigate the response time for the police, it happens in recognition that the time it takes for the police to come may be critical of life and health at stake. The right considers it appropriate to include the severity, geography and time of the event in the assessment of reasonable response time. Such considerations must be taken into account in the allocation of resources. Long distances in the districts are a complicating factor that must also be taken into account. Rapid social development is increasingly demanding the level of competence of the police. The ambition must always be that the police should be ahead of the evolution of crime. This is not least the case in the technological field, where crime is increasingly taking new and more serious forms. It confronts us with similar challenges in relation to police methodology. We must be very aware of where the limits of legal methods go. An up-to-date police and officers' seat in this field will ultimately be crucial for the legal certainty of the individual. The treatment of the specific part of the penal code next year is met by the right and is considered to be a natural reassessment of methods against the criminal framework and the nature of the offence. The right will have a specific assessment of child abuse and how the police from their point of view can help to strengthen the legal position of the child. In the right, it is now important to focus attention on the victim’s situation because the one-sided justice sector has focused on the perpetrator. The police are at the forefront of meeting and caring for people who are often in a very vulnerable situation, whether adults or children who are victims of crime. The Committee's investigation contains a series of proposals to strengthen the position of the deprived and the survivors in criminal matters. A separate working group shall further assess more practical aspects of the meeting of the relatives and the victim with the police and the judiciary. Since this is a problem for many people, the Right assumes that the Minister of Justice will give this issue a high priority and ensure that the Stortinget gets a case on the various proposals as soon as possible, in order to facilitate the situation of the victims and their relatives in meeting with the police and the judiciary. Police have prevention as one of their most central tasks. Children and young people are a particularly important group. The goal is to keep the youngest away from crime and capture and reverse those who are about to start a criminal racetrack. The reaction of society must be rapid and clear. Many municipalities have successfully adopted the SLT model and established commitment cooperation with the police and other actors in the local environment. The intention is obvious: to prevent better and to help children and young people who need it. The proposal for a Police Council in all municipalities needs to be seen as a further development of SLT cooperation and not as a complement to this. In order to ensure the future impact of the police, it is necessary to provide even better opportunities for leadership development and empowerment in the police action. Failure to apply for the Police College combined with greater withdrawal from the police force in the years to come makes it necessary to step up efforts to ensure that the police force is newly recruited. It is a fact that parts of District Norway are already struggling to occupy vacant positions. Then it is frustrating to experience that the Police Directorate has stopped the popular scholarship scheme initiated by the West-Finnmark police district for second-year police students. The right is satisfied that an overall committee is now still asking the Government to investigate various recruitment tools. We feel that it is urgent to get in place and clarify what tools police districts can use for recruitment purposes. The police's ability to act is also a matter of providing the police with resources, equipment and methods that match the evolution of society and crime. The fight against organised crime, child pornography, online abuse of children and money laundering from criminal acts imposes high demands on a competent police in terms of equipment and knowledge, not least on the new media. The basic and continuing training of the police must be constantly adapted to the new needs. Professional research efforts need to be stepped up, and the results of the research — and that is important — need to be disseminated in order to make use of such new knowledge. Oslo is the country's foremost face outwards, and the city should be seen as safe to live in. Increased anti-terrorism efforts must not overshadow Oslo police duties related to prevention, combating everyday crime and organised crime with Oslo as an entrance sport. On the right, the town councillor's concern about the development of the streetscape in Oslo is shared. Close cooperation between the municipality and the police is required here. In order to prevent the emergence of begging, aggressive prostitution, trafficking in human beings and other undesirable activities, the Right-wing proposal of the City Council supports the provision of police access under the Police Regulations to deport persons who are significantly shy and aggressive towards others. Police in our largest cities must be able to give priority to efforts against organized trafficking in human beings and begging. The Oslo Police must, just as in Trondheim, use resources to take the backers to stop the replacement of an increasing number of women. This is about human dignity, and we cannot sit still and just accept that the problem in Oslo is increasing to an extent. At least that's how it feels. In different contexts, the right has been concerned about how best to use police resources. This means that we will allow others to take over tasks that do not require police authorities for as long as the execution of the tasks remains under police control. The use of resources in the police for transportation to and from prison is unpleasantly high if we think about what kind of alternative use we could have of this resource. Furthermore, the right has addressed an assessment of whether different police tasks should lead to more differentiated education in Norway. In the future, in the event of a failure of recruitment, it may be an instrument to increase access to personnel more quickly. The right has also referred to the voluntary police system, as we see in England and the Netherlands. Here at home, the Night Roads are a well-known phenomenon, and the question is whether there may be several similar activities in which ordinary citizens can be involved and engaged to contribute to increased security in our home environment. Last but not least, the Right Party and the Advance Party have pointed to the plans to establish a well-educated and equipped national police reserve of 2000 teams. This could constitute a significant resource that can be deployed and strengthened by the police in certain situations. I have noticed with some wonder that the government parties have not commented on the police reserve at all, and are calling for the position of these parties. As the setting now exists, this can be interpreted as meaning that the red-greens will simply drop a continuation and bet on the police reserve. Finally, I would like to say that the Right will support the proposal by the Left and the proposal by the Christian People's Party.
ParlaMint-NO_2006-05-23.ana.ud1471e1476	It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e1479	The right is to know when they start talking about privatisation. It's probably good for those who are right-wing people that they recognize themselves. But does the representative Aspaker at all have no objection that rich people can buy an extra round of research, where not only is it focused on getting all the facts and both sides of a case, but where one pays to get what is beneficial in his particular case? Does Right really want a society where the wallet is the one that decides whether to get security, or should it be a public responsibility? Where does the right limit actually go when it concerns public authorities' exercise of power?
ParlaMint-NO_2006-05-23.ana.ud1471e1486	I would like to stress what I said, that when we intend to leave certain types of tasks within the police to others, it is a prerequisite that these should be subject to police control. So it's not like we're going to give up the obvious responsibility that the public must have for this kind of problem solution.
ParlaMint-NO_2006-05-23.ana.ud1471e1491	Several have not asked for the word for a line.
ParlaMint-NO_2006-05-23.ana.ud1471e1494	I remember from my childhood the gentleman who is built perhaps the most important and most significant individual. If I think back to when I was seven-eight years old, I won't be able to remember the name of the rapporteur that time, but I remember the name of the gentleman. His name was Trygve Schanche. It was a legitimate but fair freeman, who was not allowed to go out with, and who was first seen in the train on May 1st and May 17th, when he was wearing his uniform. I think that in a lot of municipalities in Norway, it's still the case that the gentleman has a key role to play, and you see it as important that there is a borrower. At the same time, we see that from the days of the war there has been a progressive development in society. More and more live in cities, and fewer and fewer live in rural areas. The police tasks change character as a consequence of this, both because the population lives elsewhere than before, and because the population is much more complex. Through immigration and through different cultures, we experience that the picture is changing not only in Norway but also in other countries, and this also changes police duties. This means that new methods are needed to combat crime, and that the police need other types of resources to do the same. Nevertheless, most criminal acts still take place locally and are committed by people who are anchored in the community where the crime is committed. This means that the role of the police remains important. What is also important to emphasise is that precisely because the police have a local anchoring, they acquire knowledge locally. When a crime has occurred, they often, or at least suspect, who may have committed it, and the circumstances surrounding it. Often, crime can also be prevented, precisely because you see a pattern through knowledge of a community. At the same time, we also see that recruitment of police officers has become more difficult especially in smaller communities. There are several challenges involved. We see that it can be difficult for people who come from a community to return and work in the same community – perhaps just because you experience being alone in a small community. There's going to be a lot of pressure on guards, and fewer sharing of tasks. This is why it is important to look at the tools also in the training of police personnel at the Police College, and ways to manage recruiting personnel. An overall committee has also underlined the need to look at the university study and on a state-based recruitment basis. This can contribute both through positive instruments and through the post-study binding time, which may have a spatially balanced effect. It may also be important to look at tools at the end of the study, so that the individual municipality is not alone, that different municipalities compete with each other, or that different police districts compete with each other to recruit the same persons. Health care experience shows that it seems unlucky. You can then get a payroll where the individual police districts come out unluckily. This is why it is important to look ahead – it is a state task to ensure that the instruments are targeted and that they are geographically balanced. What is also important in a new era is to look at the work that the police are doing locally in a wider perspective than just the local. We know that one reason for not being able to recruit locally is that some people will experience the tasks that were so limited that they would rather apply to a large police district, where they could have other tasks. However, it is possible to counter this by assigning different tasks in different districts or local offices — tasks that can be extended beyond that office. This could be done, for example, by: be specialised in combating crime on the Internet. Here we are facing a number of challenges, whether economic crime, or, as some people have done, organised, international activities with prostitution, trafficking, etc., where we see today that the competence of the police, at least in some areas, can be inadequate. It gives us a challenge both in terms of higher education, and in terms of putting into practice the competences that someone has, or ensuring them additional competence afterwards. It is therefore a good thing that the Committee as a whole has just pointed out that there should be both opportunities for differentiated tasks for police officers around Norway, and that the whole education of the police higher education system should be looked at, given the need to bring in the necessary knowledge of Internet-based crime. Another theme on which the Committee has been concerned is the question of response time. All parties, except the Advance Party, have underlined the importance of a fair match between the time the police use to move out to a place when it is necessary and the event that has taken place. At the same time, the majority of the Committee has stressed that having a fixed response time, regardless of the pattern of residence, would be unfortunate. It is obvious to most people that if you had the same response time, for example. to Bear Island as to the central Oslo area, there would be quite baroque impacts on resource use, which could not be defended. However, it is important to review the response time. The Committee has asked for such a review under the direction of the Ministry, and looks forward to its return during the next enlargement period. The interaction between police and health services is important, and in the field of mental health protection we see that the police need to be used in a number of cases, especially where there may be a risk of violence because people are mentally unbalanced. At the same time, there are many examples of police intervention as if they were to have a health professional competence, rather than health professionals making the assessments. There is an unfortunate development pointed out by the Committee and it is therefore important to review the use of police resources in order to assist health professionals and not take over the role of health professionals. It'll be a review of it, which we look forward to getting back. Many of the crimes committed, especially in the case of acts of violence, are unfortunately also committed among people who know each other from the past. We see that there is, in part, considerable violence also in some homes. As of 1 July 2002, a system of family violence coordinators has been established in each of the 27 police districts of the country, and in many places these have worked well. Nevertheless, we see that there are great geographical differences, and it is important to get that system across the country. The Committee has therefore asked the Ministry of Justice to identify the situation of family violence coordinators in the various police districts and to consider measures to strengthen the system where it does not function properly. The Committee has also pointed out that the Vestfold model has been an example of a well-functioning model that is likely to be recovered elsewhere in the country. Then I want to point out a situation in which we see that the police need to contribute more and more, namely the natural disasters that are now occurring with increasing frequency. I remember reading the report after the disaster on Christmas 2, 2004, related to the situation in Germany. There, a coordination centre was set up very quickly, involving police services, and already the same night, that is, on December 26, 2004, local officers/policemen were around small towns in Germany, informing relatives who had lost some of their way away from Thailand. We know that in Norway this worked at a very close level of satisfaction. The reason for this can't be with the police, but more so in the way you organized it centrally. At the same time, this illustrates the key role often played by the police in the communities, both to prevent more people being affected by the disaster itself, in the case of natural disasters in Norway, and to ensure that the information is correctly presented to the relatives in a way that helps to relieve their burden once the disaster has occurred. Finally, I want to commend the case rapporteur for her contributions – she came into much more conditions than I have had time for in this post – not least because she pulled out Inger Louise Valle. I must say that I remember very well the period when Inger Louise Valle was Minister of Justice. She is an example of how by setting a new type of agenda that focused on humanism, a politician was able to change Norwegian justice policy in a way that was remembered with warmth and joy, so many years after she was Minister of Justice.
ParlaMint-NO_2006-05-23.ana.ud1471e1526	It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e1529	I want to take a small note that SV has in the setting. SV indicates that: ‘police spends a lot of resources on the transport of custody prisoners for legal, medical and other representations and transport. The majority therefore consider it important to look at alternative public solutions to free the police of resources for priority police tasks.’ Why does SV want everything on death and life to be public? Can't you use Securitas, a private company, or other companies, to drive prisoners back and forth? So one would notice here that this is going to be public and not private. Is it not really the intention to free resources, so that the police can carry out the priority tasks of society?
ParlaMint-NO_2006-05-23.ana.ud1471e1541	I must first say that I look forward with pleasure to the day that the quote could be correct, namely that SV sits by a simple majority. But we don't. We form part of the majority that has written this comment, and we fully support it. The idea behind the comment is that as sensitive things as arresting people or transporting them against their will, must be a public responsibility. At the moment you also leave it to private people, it can get a number of unfortunate results, not least in terms of privacy. We trust that the police – and, for that matter, also health professionals or other professionals employed by the public sector – can ensure this privacy through the training they receive, or that, if privacy is not ensured, they can correct it in a way that is more reliable than putting such things on the market, for example, at the risk of having too few personnel and under-trained personnel to perform the very sensitive tasks properly.
ParlaMint-NO_2006-05-23.ana.ud1471e1546	A unanimous committee is extremely positive to the so-called Hammerfest model in the Vest-Finnmark police district, where students are paid for the second academic year towards a two-year commitment period in the police district after completion of education. Everyone agrees that this is a good example of a positive district action, building competence in the police action, on which Ballo was involved. But this praise fits very well with the general rule of politics, namely that you tend to hear the most beautiful words only when someone has left, or preferably gone away. This unanimous remark is, in fact, a necrologer of a project that was recently closed down. On the basis of the horn music that we all have in our breasts in relation to this project, which the government parties have also chosen to support verbally – when can the representative Ballo promise that this will come into place again, after it was almost without warning removed to the students' great surprise?
ParlaMint-NO_2006-05-23.ana.ud1471e1551	The combination of necrolog and horn music scrambles a little in my ears. We have to look forward here, and the comment points forward. What we have underlined is that we should get to grips with the recruitment – not least in my own county, Finnmark – in such a way that we can help to get police officers to the districts. Then we have drawn out the model that was used in West Finland as a good model. But what's important to emphasise is that you don't have to leave individual police districts alone to develop these models. As I was in my main post, you have to avoid a situation where you turn up wages or use tools to compete with each other. It should be coordinated by the state, and we have made that clear in the comments. There is reason to be glad that the Right also sees the sense of that approach, but it is a pity if the Right considers it a necrolog and not a forward-looking measure.
ParlaMint-NO_2006-05-23.ana.ud1471e1558	Several have not asked for the word for a line.
ParlaMint-NO_2006-05-23.ana.ud1471e1562	The time has come for those parties not represented in the Justice Committee. But to show that we are very interested in justice policy, we have also made sure to deliver various Document No. Eight proposals so that the Committee has something to work on. When discussing this communication that is the basis for the suspension, it may be good to state that the Norwegian police have great confidence. Thus, the message is also based on a fact that not all countries can adorn themselves with. It says something about the trust the police have accumulated over time, it says something about the state of law in Norway, and it says something about the stability that actually characterizes our society. That's also the starting point when we're going to look into the glass ball five to ten years, as we're told, about what police role we're looking at. In order to maintain the great trust that the police have, it is absolutely essential for the Christian People's Party that we have to have closeness between the police and the police to serve. We do not want to weaken the presence of the police in the communities. It, combined with increasing globalisation also in the field of crime, can present a major challenge in the future. We have a police officer who is a generalist. And then the question is, to what extent do we have to get a greater degree of specialization as a result of the crime development we have? I'm going to think that maybe it's one of the biggest challenges that lies in the police role in the future. We want a competent police officer. We have a good police training. The need for continuing training is likely to increase in the years that are coming in line with an ever-changing crime picture – it is only to look at crime related to the Internet against children and young people, we have the NOKAS case, which shows a completely different situation with regard to which instruments criminals are willing to use, and in this city we have seen an ever-increasing trend in trafficking and trafficking in human beings. All of this happens at a faster speed than before, and these changes require more of the police than before. In five minutes it's not as much you can get inside, but I want to draw out some relationships as well. Then I want to challenge the Minister of Justice on the following, which has been addressed in the comments, namely the interface between police and defence. What we see as a development in our neighbourhoods is a greater risk of terrorist attacks. How do we make best use of the total resources in this way, and how is the interface between police and defence tasks so that we are best equipped on the day of such an estimation? I know there's contact, of course, between police and defense in that way, but with the considerable resources we invest not least in Defense, there's good reason to ask how we use these resources as best we can in the context I mentioned. A good police force is not created by financial resources alone. We have a lot of dedicated employees who make a lot of effort in terms of safety and security for the Norwegian population. There is reason to draw up and thank you for today. Finally, I would like to address the proposal we are promoting: ‘The Government asks the Police Directorate to put in place a system of child protection consultants in all police districts.’ It has to do with preventive work, it has to do with taking care of children and young people, and it has to do with developments in family violence that are unfortunately increasing, but where the police have invested more resources than before, and we hope the proposal can also get approval here.
ParlaMint-NO_2006-05-23.ana.ud1471e1584	The representative Hans Olav Syversen has taken up the proposal he has referred to. It's going to be line change.
ParlaMint-NO_2006-05-23.ana.ud1471e1589	I would like to ask the same question to the Christian People's Party as I did to the Advance Party instead, because I perceive that in sum they constitute an opposition here on the Stortinget, which may lead a different – alternative – policy than what the Government is doing. It is about the consequences of the use of drugs in criminal acts. The progress party was, just to repeat it, concerned that the police's prevention task was central here, while my point was that one must go ahead of it and look at the consequences of a very liberal drug policy — family violence, that of violence outside the scene, and that of the profitability of the use of drugs in order to obtain sufficient funds to continue its drug use. I ask: does the Christian People's Party see the need for measures related to the translation of drugs to prevent criminal acts?
ParlaMint-NO_2006-05-23.ana.ud1471e1594	I don't think it's going to come as a big surprise to the representatives of Ballo or others that we see a relationship between drug policy and crime. I've also seen that there's a majority in the vote that points to the same thing, not least that 60 pst. violence-related crime is committed in alcohol intoxication. I guess I can't say that there's an overall opposition to drugs policy. It'll be taking a little bit too hard in. There is probably a certain distance between the Christian People's Party and the Advance Party in that way. We see absolutely the need for a restrictive alcohol policy and drug policy – not least in this city where we are now. And I have to say that also the Socialist Left Party could benefit from looking at how in recent times one has had influence over the specter policy in this city.
ParlaMint-NO_2006-05-23.ana.ud1471e1601	I feel the need to ask the Christian People's Party to explain a little about the need for proposal No. 7, which they have promoted. This is justified, inter alia, by: with increasing family violence. Now we have said in the position that we should introduce family violence coordinator in the districts. In addition, we have said that we are now setting up police councils to increase interaction between municipal sectors and the police. On that basis, I feel that the proposal becomes a little butter on the bottle, and I want the Christian People's Party to justify its own proposal a little more fully.
ParlaMint-NO_2006-05-23.ana.ud1471e1608	After all, we are based on the good experience, which is not least from this city, where there have been child protection consultants with some politicians. It simply has to do with the fact that it gives a higher focus and a better quality to the part of police work related to tasks related to children and children who are exposed to violence. That is why we also hope that the Workers' Party would be able to support the proposal.
ParlaMint-NO_2006-05-23.ana.ud1471e1613	Several have not asked for the word for a line.
ParlaMint-NO_2006-05-23.ana.ud1471e1616	It's hard to see the country lead without police and gunmen. The budget is crucial for the security of us who live in this country, and we also know that the police have a new level of confidence among the citizens. The message we are handling today states that we have chosen a police system that is both appropriate and resource efficient. The centre part is full about the goal of better prevention, clarification, faster response and better rehabilitation. In order to achieve the objectives and to continue to be able to recruit skilled and motivated people to the police, it is important that there is a clear political signal when it comes to the role of the police and the police. This is why today's theme is important. The centre party wants a visible and actionable near-police. A decentralized police and county council is helping to ensure the prevention and suppression of violence and crime throughout the country. There is thus a provision for the objective of equivalent service provision regardless of how well you live in the country. A visible police force strengthens our sense of security, at least the sense of security of most of us, and it is in itself crime prevention. The local knowledge with which the police are involved makes both prevention and crime management easier. A decentralised police force fits as a hand in gloves with the brush pattern we have. And it makes it possible that there should be a good opportunity for police and local government to cooperate. As a hindrance, it is important for us in the Centre Party to stress that when the Committee talks about ‘adjustment in the organisation locally with limited trials in selected districts’, it is not about the reversal of the near-police regime, the extensive closure of the Länsmannskontoret or centralisation. In any case, there is no development that the Centre Party can support. But we do not overlook the fact that the structure can be changed for good in those cases where there is a wide agreement that it is not appropriate to keep up your own service unit. For most of us, there is great security in knowing that one has police services available within reasonable time if necessary. For the Centre Party, equivalent service provision means that the inhabitants should not experience an unreasonably long response time even if a choice of bussing outside the big cities. We agree with the committee that one cannot expect the same response time in densely populated areas as in non-fixed areas. Nevertheless, it is important for us to stress that the response time must be at an acceptable level, where the individual can feel safe to get help. A lead for a good service provision in many coastal communities, for example, is the fact that coastal police districts have a satisfactory maritime service. It is important for the Centre Party that the fixed busnet area does not experience that the response time is significantly increased and thus the supply is reduced. Awareness raising, refresher training and specialisation for individuals added before the police are important both for the current enrolment and for recruitment to the establishment. Within a decentralised structure, it is a particular challenge to ensure that all participants have the ability to acquire more knowledge in restricted areas, and not least to feel that they benefit from the skills they possess. This calls not only for increased efforts to enhance competence, but also for increased focus on cooperation between different parts of the network and coordination of police district resources. While skills enhancement and internal processes are central, it is important that they feel that they have sufficient time to do the job they are assigned to. It is therefore important to strike the right balance between these concerns in the instructions to the police districts. We have high expectations for efficient resource use across the police districts around the country. It is also important that we have high expectations of efficiency and resource management when it comes to the state over construction. The centre party wants to spend more of its society's accumulated resources on prevention and less on repair. Crime prevention is one of the police's central tasks. The central party wants a police force visible in the community, which is in contact with the school system and voluntary organisations and with the youth community – and actively in cooperation with municipalities on prevention work. The report points out that crime by people under the age of 18 is increasing. We're in the Central Party because we know that the leisure provision for this group around the country has been swayed in parallel. We hope that the promise made in the local economy will help and improve it and also have a crime prevention effect, even if it is not the main objective. Although today’s debate shows that there is a nuance in the view of the role of the police, there is a mass increase that today shows the way forward for this sector, and that is important.
ParlaMint-NO_2006-05-23.ana.ud1471e1639	It is now 3:15 a.m. and tomorrow's meeting is over. We'll take a break in the negotiations until noon. 18th@item: inlistbox
