ParlaMint-NO_2006-11-08.ana.ud1671e24	The called alternate of the Rogaland County, Siri A. Meling, has taken the seat.
ParlaMint-NO_2006-11-08.ana.ud1671e1106	Children who are subjected to violence affect us all. When it is the smallest, this affects us all the more, not least in the case of violence committed by caregivers on whom the child is closest and totally dependent. My starting point is clear: Small children have an unconditional requirement for protection against abuse and full legal certainty. Our laws and our organisational systems are not created in view of conflicts of interest between the children and their parents. These are difficult and complicated issues. The report mentioned by the representative Syversen represents an important work and shows how difficult the question of early infant or infant death is. On the one hand, there is a need to clarify the actual circumstances when a child dies. On the other hand, caregivers are cared for in grief. Both considerations must be taken into account when following the recommendations contained in the report of the Child Death Project. As in so many of the difficult areas of life, we are also dependent here on cooperation and open dialogue to find the good solutions that ensure the competence and responsibilities of both health authorities and the justice sector. The government is currently working on an action plan to lift, among other things. the issue of violence in close relationships. Many of the measures we are looking at will also be relevant in relation to children, including children. issues related to the resource situation, out-of-office staff, own teams and issues raised by this working group. For my part, as part of the follow-up to the Child Death Project, I took the initiative for a broad-based screening conference which was held on 10 May on children who were subjected to family violence, with the participation of both the National Attorney's Office, the Police Directorate, the Children's Ombudsman, the Ullevål Hospital, the forensic institute, the police and others who have child-related tasks. One of the objectives of the conference was to look at the tasks of different agencies in the event of unexpected infant deaths, and how to promote solutions such as: ensure legal certainty for young children in this context, including the assessment of the introduction of site of death testing as a compulsory scheme. This conference will now be followed up and seen in the context of the work of another working group, set up by the Ministry of Health and Welfare, which assesses the conclusions and proposals for solutions presented in the report of the Child Death Project. I have been informed that the work of this group will be completed with the first and handed over to the Minister of Health and Care, who will have the primary responsibility for the follow-up in the further work. I would therefore like to await the completion of this report and the further treatment in the Ministry of Health and Welfare, so that we can obtain good quality assurance of the proposals in order to develop the best possible procedures in the work in such a sensitive and professionally difficult area as what we are talking about here, before deciding on what follow-up we are going to have.
ParlaMint-NO_2006-11-08.ana.ud1671e1119	There is an important balance that the Minister of Justice points to in his reply. At the same time, there is no disagreement – I hope – that we must first of all have the child’s interests in mind. This situation is now, we know that we have a number of deaths among young children who may not have been followed up in a sufficiently good way. I am pleased that the Minister of Justice spoke of children having an unconditional requirement for protection and that their legal certainty should be ensured. But also for parents in cases where nothing criminal has happened, it may be the best consolation to know the cause of the death, so that they get calm about it. My question is: will you ensure that the organisation of the follow-up does not become such as to prevent what might seem to be criminal relations from coming to the attention of the police?
ParlaMint-NO_2006-11-08.ana.ud1671e1128	When it comes to violence against children who end up as dramatic as death, I believe that it is vital that any criminal relationship be revealed. At the same time, I think it's actually good for many parents, as the representative was about, to know what caused it all. It doesn't mean that it's not hard to know how to deal with a situation that's so critical to your parents as well. At least you have to do everything in your power to find a good and proper way to approach a family that has experienced this. In fact, I think it can also help to make sure that we get all the information we need, because the most important premiscuous providers and those who sit on the most important facts in many of these cases are just the closest. Therefore, good dialogue in many of these situations will be crucial.
ParlaMint-NO_2006-11-08.ana.ud1671e1133	I am aware that it is a working group that is now in the final phase of its work. We have heard that there may be a slightly different view of where such a follow-up group – what to say – should be anchored. My concern is that we should not get into a situation where the organisational solution becomes such that it, for example. one and only ports in the health care system, which will make it possible sometimes, unfortunately, to hide behind the rules of professional secrecy. I would like clear answers from the Council of State as to whether he agrees that such an organisational solution should not be the fasit.
ParlaMint-NO_2006-11-08.ana.ud1671e1138	At least we should not create organisational solutions that give actors the impression that they have confidentiality rules that prevent dialogue between, among other things. police and health services. What we often see is that the rules of professional secrecy, as many claim, are actually not there, so that you have put a constraint that might be a good excuse not to do the job you're actually going to do. One very important element in the follow-up to these reports and these working groups is that we have an organisation of this that helps those who need information actually get information. And I haven't experienced many times that those in such a difficult situation have something particularly against the fact that the police are also getting the information. The problem has also been about how the police and the justice sector have been involved, whether or not we should overdramatise that relationship. Many parents who are in a difficult situation feel that it is really about how the police meet them, and not when.
ParlaMint-NO_2006-11-08.ana.ud1671e1158	I allow myself to ask the following questions to the Minister of Justice: ‘NRK Nordland has focused on issues with young drug law offenders on 31 October this year, with the most common form of reaction being fines. The police in Northern Ireland are quite clear that the fines do not work as intended, but the drug addicts cause debt problems that too many lead to new crime. At the same time, the police state that they lack alternative criminal responses. Will the Council of State consider whether it may be appropriate for this type of crime to identify more appropriate forms of reaction and which are sufficiently preventive?’
ParlaMint-NO_2006-11-08.ana.ud1671e1167	The question of how society should respond to young offenders is both important and difficult. I think it is very positive that this comes from right-wing representatives here in Stortinget, because we are totally dependent on that we can now respond differently, especially to the younger lawbreakers. In this way, this is a very good example that fines for a 16-17-year-old in many respects can only work against their purpose. We in the government believe that it is necessary to think again about how we react to children and young people who have committed criminal acts. That was the background for our promotion of St.meld on June 9, 2006. No 20 for 2005-2006 on alternative criminal responses to young offenders. As Mr Aspaker knows, this is now before the Committee on Legal Affairs and Citizens' Rights. I think it is good that we are getting a little bit of a warm-up to the debate that will come up in connection with that communication, but the question, the issue that the representative of Aspaker is raising here, is a problem that I absolutely invite to be addressed precisely in the context of the discussion of the communication here in Stortinget. It will be very important to get a signal – not only from the government parties, but also from the other parties – about what you actually think is useful. It is particularly important to find an alternative response to prison for offenders under 18 years of age. It is also important to find alternatives to fines. Fines are widely used in response to young offenders, and for many young people such a reaction will produce a very small rehabilitating effect. Sometimes it works against its purpose. It actually involves more crime, among other things. to purchase free of fines. An action that may be considered is a change in the criminal law so that the courts in cases where young people aged 15 to 18 will be sentenced to prison sentences under conditions must assess whether conditions are to be set that are particularly suitable for having a rehabilitation effect. The whole spectrum of conditions and the type of conditions that we can set should be the subject of debate in the context of that notification. I also see the work on the new penal code, with which we have planned to come to Stortinget in 2008, as a good opportunity to assess new ideas, and I look forward to exciting discussions with the members of the Justice Committee in this way. It is also announced that we are going to deliver a criminal health report, which is more focused on the reaction pattern against those who commit criminal offences. Here too, it will be appropriate to raise the debate that the representative of Aspaker has now taken up. I would also like to mention that in 2006, four local follow-up teams – in Kristiansand, in Oslo, in Stavanger and in Trondheim – focused entirely on responses, with responses that meet the individual’s needs. The cooperation between law enforcement officers and the auxiliaries is central to these pilot projects and it is intended that these follow-up teams should ensure an overall follow-up to the youngest offenders. Furthermore, we have set up a system of judicial control drug control programmes for drug users convicted of drug crime. They're a different reaction than the usual one. Fortunately, there is broad support here in the Stortingen for it. The scheme allows the court to make conditional judgment conditional on the judgment being subject to a rehabilitation programme. As a result, drug users who are motivated by it can be sentenced to treatment instead of prison sentences. Finally, I would like to stress that it is also possible today to use completely different forms of reaction than fines against young offenders. It is, in particular, the social penalty that is central. There have been several parties, including the former government, that have done a good job in expanding the use of community sanctions. It's an incredibly important reaction form to the younger ones. Research shows that just – just – 20 pst. by those who are being penalised by society, commit new crimes. We look at those who are in prison, and at young offenders who are sentenced to prison sentences, the rate of relapse is as high as 80. There are not necessarily fully comparable groups on a permanent basis, but it provides good coverage for a good response.
ParlaMint-NO_2006-11-08.ana.ud1671e1190	I would like to thank the Council of State for the answer. There is no doubt that effective, long-term crime prevention requires responses that work, not just to avoid the first crime, but even more important, perhaps, to avoid repeated crime for those who have ended up on the outside. I think it is very commendable that criminal justice in freedom in Northern Ireland has put this on the agenda, that they have brought their experiences into public space and called for innovation and alternatives to fines. It is also important to note that the police actually agree that you are a little upset, and that there is reason to take this situation seriously. In addition, there is one reason for concern about this particular issue. It is that drug crime is no longer a city phenomenon. We'll find it everywhere. That's why it's very important that we have good ways of dealing with this. I want to challenge the Council of States in how he wants to facilitate the exchange of experience, to learn from each other if you have succeeded better than elsewhere – an exchange so that we can tackle this phenomenon.
ParlaMint-NO_2006-11-08.ana.ud1671e1201	Yes, it is commendable that the Nordic Criminal Office addresses this question, but it is also commendable that representatives here in the UK address it. I must be allowed to say that. Because it is not everyday food that we are now discussing other measures against children and young people who commit criminal acts than what we traditionally discuss when discussing criminal policy, namely how long they will be inside prisons. I think that's very good. The point that the representative Aspaker is now raising in relation to gaining experience on how to do it around the country is absolutely important. We see large local variations, in the use of community sanctions, in the use of conditions and in the use of alternative forms of reconciliation, for example. as regards the issue of more progress in the settlement. We see that there are local variations, and that's exactly why we have to listen to more people. I use the forums where I meet the criminal services and the police, to just bring this up, and these are the forums that I feel are the right address for this. But now, before Christmas, the Justice Committee has a golden opportunity to present this in the context of the great news we were about.
ParlaMint-NO_2006-11-08.ana.ud1671e1210	Once again, I would like to thank the Council of State for the answer, and I understand that the Justice Committee has a challenge in relation to the communication we have before us. But I would also like to stress what the Council of State itself had to say, that when the special part of the penal code comes to the Stortinget, it is important to think in a wider range, and to take this problem seriously. It deserves it, otherwise I think it might grow big. I would just like to have the Council of State's assurance that you will actually get a proposal to the Grand Duchy of Luxembourg for a penal law that places particular emphasis on that perspective in relation to young offenders in general, but also in particular on drugs, which unfortunately is a growing problem whether we are in cities or in rural areas in Norway today.
ParlaMint-NO_2006-11-08.ana.ud1671e1219	I'll take that challenge. It's absolutely central to the Government. I believe that one of the most important things we can do is to think differently especially towards the younger offenders, and not to invite to a criminal career. What often happens is you get a fully conditional judgment, which is really not a reaction, or you get a fine that you can't pay, and that really doesn't work. We should really respond more actively to those who commit criminal acts, and put them into a framework and context that can contribute to more education, so that they can get work together and get a normal social framework around their lives. I believe that we now have many good opportunities to discuss this, while seeing that we also have reaction forms that need to be used more by the courts and the police. There's a problem, and I'll take care of it.
ParlaMint-NO_2006-11-08.ana.ud1671e1226	We're going back to question 7.
ParlaMint-NO_2006-11-08.ana.ud1671e1233	I have the following questions for the Minister of Oil and Energy: ‘The builders of micro, mini and small power plants are now in a state of despair over a long process of NVE. Some builders have been waiting for more than one year for their applications without a response. This is not sustainable! Hydropower plants below 10 MW will usually be built within a period of less than one year. The potential for micro, mini and small power plants is so great that it has a security of supply significance. What will the Government do to shorten the procedure time for power plants below 10 MW of installed capacity?’»
ParlaMint-NO_2006-11-08.ana.ud1671e1242	In recent years we have had a huge increase in the number of concession requests to build small hydropower plants with installed power of less than 10 MWh. As the representative says, this large amount of work has helped to ensure that the processing time for these applications is now too long. There are many factors that affect the timing of concessional treatment. The degree of conflict, complexity and need for coordinated treatment with other applications in the same area varies on a case-by-case basis. Measures to streamline the procedure and increase the NVE’s procedural capacity have already been initiated. Exemptions from the overall plan and delegation to the NVE by the concession authority for projects below 10 MWh have significantly simplified the procedure for the action holders. The NVE has also implemented measures to improve the effectiveness of its internal procedures and to make information and application templates more accessible through the Internet and seminars. These measures have already produced results and will be followed up. The 2007 government budget provides for the NVE to give priority to concession treatment and security of supply-related work. This includes, inter alia: strengthening the process capacity of the NVE in the case of power generation plants. A one-sided focus on reducing the duration of treatment of NVE for concessional applications would not be appropriate. It requires time and resources to carry out sound, comprehensive assessments and a treatment that includes impact assessments, hearings, public meetings, inspections, etc. within statutory requirements. We need to be sure that the decisions that are taken will take place afterwards. The government is therefore in the process of implementing measures to strengthen the decision-making base through procedural and regional planning guidelines.
ParlaMint-NO_2006-11-08.ana.ud1671e1258	I thank the Council of State for the answer. I think it was partly disappointing. As usual, the Council of State refers to the laws and regulations in force, and believes that there is no point in changing that much, just to put a little pee here and there in the law and bureaucracy, and then everything should be so much better. I don't think so. The case-handling time has become a major problem for builders of micro, mini and small power plants. I recently spoke to a builder of a micropower plant. He had waited over a year for a response to his enquiry. It shouldn't take that long for that type of power plant. Therefore, my question is: does the Council not see that delegating the concession authority to each municipality for smaller hydropower plants will of course lead to a much faster procedure? It will also provide increased local self-government, which I believe is the centre party and the council are strong followers of.
ParlaMint-NO_2006-11-08.ana.ud1671e1265	Let me first make it clear once again, as I stressed in my first answer: the case handling time is too long, and that is why a number of measures have been taken. We will follow developments in the course of the procedure carefully in the future. This type of power plant may initially be treated locally under the Planning and Building Act, unless there are conflicts related to these projects, inter alia. environmental conflicts. In that case, concession treatment shall be applied. In recent years, 300 such installations have been treated under the Planning and Building Act, while a much smaller number have been treated under the Concession Act. Now that there is so much concessional treatment, and probably a major part of it must have a concession, it means that these are facilities to which conflicts are linked, which means that they cannot be treated locally. We have a general national responsibility for these kinds of things as well. It is also – as I said in my first answer – necessary in some cases to see more installations in the context. It has to do with exploiting water strands, and it has to do with network capacity.
ParlaMint-NO_2006-11-08.ana.ud1671e1272	Yes, I thank you once again for the Council's reply. I don't think it seems like the Council of State is willing to take any major steps to shorten the processing time for this type of small power plant. I think that is very disappointing. We know that we need increased hydropower production in Norway. With regard to this type of power plant we are talking about here, it is perhaps both the fastest and the easiest way to quickly achieve new production in Norway. I registered that the CEO of Småkraft AS, Rein Husebø, was out in the evening post on October 4th and said that in the next year, if everything went on rails, you might realize 3 TWh within the power production segment we are talking about here. That seems pretty good. Then I'll follow up where I ended last: why in the world can't the concession assessment be transferred to the municipalities? Does the Council of State consider that the municipalities are unable to carry out this concessional assessment of a number of these power stations?
ParlaMint-NO_2006-11-08.ana.ud1671e1279	This does not mean that I am not interested in taking any action to shorten the processing time in the NVE. On the contrary, we have taken a number of steps. It also takes time for the NVE to strengthen the manning necessary for proper concessional treatment. However, what I do not intend to cut down on is to have a proper concession treatment, where the decisions taken are to be ex post, both in relation to local opinion and in relation to environmental conflicts, and also in relation to the fact that the development is to be carried out in the most robust and good way possible. At that point, I do not intend to compromise. This means that there is a need for thorough treatment, which we must make as effective as possible within the framework of the situation there.
ParlaMint-NO_2006-11-08.ana.ud1671e1290	I will ask the Minister for Economic Affairs and Trade the following questions: ‘In connection with Telenor’s sale of Telenor Satellite Services, State Secretary Frode Berge stated: ‘In general, it is important for the board of a company to follow clear signals from its majority victory.’ [[TSS]] [[TSS]] Do the Councils agree to such opinions?’
ParlaMint-NO_2006-11-08.ana.ud1671e1299	First, I would like to stress that the Council of Ministers of Navarsete has not stated that she will cast the director of Telenor. What she actually pointed out and agreed to was that there is a need for an active ownership policy, and that she will support the Minister of Industry and Trade if he chooses to take action, understood in Telenor. The sale of TSS has been carried out following an assessment by the Board of Directors of Telenor. Before the final treatment on the board, they knew that the state had remained Norwegian-owned, either by Telenor or by other Norwegian industrial owners, on the basis of industrial and strategic objectives and the efforts we want in space and satellite activities. The Telenor Board is accountable to all its owners. But we want the state's and government's industrial and strategic assessments to be known. At the same time, the statutory division of roles between the board and the owner must be followed. This means, in practice, that there will be cases where the Board of Directors takes decisions other than those requested by the individual owner. If the State or other shareholders are dissatisfied with the work of the Board, it must be addressed in the election of the Board. Governing Board elections will be based on an overall assessment of the company’s development and the efforts and performance of the Board of Directors. There will be a discretionary and concrete assessment of whether disagreement on individual cases will have consequences for the choices to be made.
ParlaMint-NO_2006-11-08.ana.ud1671e1310	I thank the Council of State for the answer. What I refer to in my question is what has been in the media, among other things. in the NRK and the Newspaper. Nor have I seen that the Minister for Transport or the Secretary of State have corrected these statements. It only merges into the sequence in the case of fuzzy signals in relation to the management of state ownership. The Council of State has probably recorded a significant opposition in its own rows here in the Storting regarding the way the State manages its ownership. Does the Council of State not consider that the Shares Act should be amended at least before government members give consideration to reasons other than those laid down in current laws?
ParlaMint-NO_2006-11-08.ana.ud1671e1319	In the question, in the form of a quote, reference was made to State Secretary Frode Berge, who was correctly quoted. In the case of the National Council of Navarsete, it was a representation that was not correct in relation to the print we have of the NRK program to which it was referred. That's why I nuanced between the two. When it is said that there is an opposition – whether it was the Council of State or the Government it was meant to be – on the parliamentary basis of the Storting, I totally disagree with that. There are very clear signals from the Government and from the government parties in Stortinget that we are impatient to produce a much more clear and clear ownership policy. Providing ownership signals does not require changes to the Share Act. The stock law relating to options and how that kind of thing is to be treated is currently in force. to be treated here in Stortinget. As for our position as owner, it will be clearly expressed through the ownership message, in a way that I believe the representative Korsberg and others will perceive as clear and clear, if there is any disagreement about it.
ParlaMint-NO_2006-11-08.ana.ud1671e1326	I thank the Council of State for the answer. That there is an opposition to the Government and impatience in waiting for the ownership message, I think everyone has registered. It has been well over a year since the government joined, and it has not yet been possible to provide the ownership message. So, in the political debate, there is still disagreement as to whether the government is not taking any active action to complete the ownership message. It also gives some vague signals to the private shareholders acting on Oslo Stock Exchange. Is the State Council satisfied with the job that the Telenor Board of Directors has done with regard to the company's price development on the stock exchange?
ParlaMint-NO_2006-11-08.ana.ud1671e1335	In terms of ambiguity towards other shareholders, it is my clear objective, and I believe that I have achieved so far, to act clearly as one of the several owners of that company. That's where we're supposed to be clean. The board should have its tasks, and we as owners should clearly express our industrial ambitions with our ownership. In this way, anyone acting on the Stock Exchange can be confident that at least the State shall be a clean owner. In addition, we have to be a clear owner. Of course, as far as the Telenor board is concerned, any government is assessed on an ongoing basis, but evaluated as we approach a general assembly. It's going to happen to the Telenor government, like any other government. It is correct, as the representative points out, that the course development in Telenor is good. I'm glad. It's true that the third quarter accounts show very good numbers. I am, of course, pleased about that, and it should be assessed in relation to other results achieved by the Governing Board in due course.
ParlaMint-NO_2006-11-08.ana.ud1671e1346	‘The daily economy recently reported on red-green politicians who believed that the government’s proposal for a sky-high yield from Statkraft was due to the company’s lack of willingness to take the government’s signals seriously. SV’s Depositary Representative Inge Ryan specifically mentioned Statkraft’s lack of commitment to bioenergy. SP's depositor Ola Borten Moe thought Statkraft had to discharge its foreign involvement. Has the Government given concrete guidance and signals to Statekraft, which the company has not followed up on?’
ParlaMint-NO_2006-11-08.ana.ud1671e1353	The Government has designed its proposal for dividends from Statkraft based on knowledge that capital has so far not been restrictive in terms of the development of the company's establishment of new production in Norway. The determination of dividends from Government must be seen in the context of the general budgetary situation. In the 2007 budget, we are campaigning for research, innovation, travel, maritime industries, business simplification and the North. The size has previously agreed that Statekraft will compete on equal terms with other power producers, cf. St. Prop. No 53 for 2003-2004 and Innst. S. No 248 for 2003-2004 on the same subject. Furthermore, it is envisaged that the company should focus on its core competence and that State power should concentrate on the conduct of profitable trading and production of renewable energy, but with a view to operating activities naturally related to it. It states that any investment outside the Nordic region should take place together with industrial partners. This is the current framework The Stortinget has set for the exercise of ownership in Statkraft, which has laid the basis for all contacts between the owner and the company. I see the statements to which Mr Solvik-Olsen refers as constructive reflections on what should lie in an active ownership policy in the future. As you know, the government is now working on a separate statement on ownership policy, which I will present to the Stortinget later in the fall session. In the Communication, this government’s ownership strategy for State Power will be put into practice. This will include the framework to be applied to the renewable energy work of Statkraft, research and development efforts, and the assumptions that will apply to investments abroad.
ParlaMint-NO_2006-11-08.ana.ud1671e1362	I record that the Council of State does not respond to my real question, namely whether there have been signals from the Government that the company has not followed up. That's what representatives Inge Ryan and Borten Moe use to justify making a profit so high, a profit that goes across all the signals that the red-green parties gave when they themselves were in opposition. Then the maximum yield percentage of about 50 was a good suggestion, they meant red-green. When you take 98 pst, there has to be a special reason for that. So that reason came from Inge Ryan, that's because the company doesn't follow the government's own signals. I would like to see the Council of State respond to this. Is Inge Ryan right in that State power does not behave as they should in relation to the owner's signal? Or have the representatives Ryan and Borten Moe made solo recordings here that aren't right?
ParlaMint-NO_2006-11-08.ana.ud1671e1369	First, the representative's claim of a cloud-high dividend. I understand that it can be formulated this way, because the dividends that were collected this year are on the level of what it did under the previous government. So the high yield is not sensational. This has been a common practice. But it's true that we've been skeptical about it and will come back to mention of it in the context of the ownership announcement. When it comes to giving signals to State power and others, especially whole-time state companies, our ambition is that the ownership message should add up to giving signals to the owner in a way that makes it possible to control by the signals. This means, of course, that the signals are not to be given via the dividend policy, but that they are to be given by the owner prior to the processes that companies are to operate. It's in the context I'm saying that I perceive the input of the two representatives mentioned as a recording of the process, which is about clear, clear ownership strategies in the ownership message.
ParlaMint-NO_2006-11-08.ana.ud1671e1378	I thank you for your answer. Obviously, the government's policy cannot be defended on the basis of what the representatives Ryan and Borten Moe make in the media. It shows that you have solo players in the area, but that's to the extent of the government's problem. What I'm more concerned about is that the Council of State in the answer says that e.g. The lost Moe's performance is a constructive performance in the government's work on ownership and state power, for Borten Moe has been very clear that state power should not engage abroad. I think it is quite alarming if we are now suddenly to refuse Norwegian companies of the calibre to engage in the energy market abroad. What I also react to is that the Council of State said in its first reply that there was no signal from Statekraft that this dividend would be a problem for Statekraft's equity, when we know that the Governor of Statekraft said on 9 October the following to Bergen's Official Journal: ‘It is very disappointing that the country takes 98 per cent of the profit or loss in dividends. State power needs several billions in fresh capital.» The question is: does the State want State power to invest abroad, or is State power to be a purely national company?
ParlaMint-NO_2006-11-08.ana.ud1671e1394	I keep in mind that there is an opportunity for the Government to record with regard to the ownership notification also with regard to any engagement abroad, but the Government has not given any signal to Government that that involvement is problematic or will cease. So it's the representative of the owner who answers the representative, who's asking what's the government's official policy. With regard to the reference to the Governor of State Power – it was well – about equity, what I said in my answer, was that the huge dividends that have been taken out now, and that have been taken out earlier from State Power, have not prevented the business development that State Power has wanted to pursue. It is a reality. Over a few years ago, state capital was strengthened in response to the need for new investment, but the withdrawal this time does not destroy the ability of State to invest and act in the future.
ParlaMint-NO_2006-11-08.ana.ud1671e1405	‘Styret in Oslo Airport AS has decided to build a new car park that will increase the parking capacity of private cars on the Gardermoen. Have assessments been made in this context of the impact on public transport of the aerodrome, which has reduced its share of passenger traffic year after year?’»
ParlaMint-NO_2006-11-08.ana.ud1671e1412	The aim of the Ministry is to strengthen public transport as a means of achieving good performance and improving the environment. It's the government's policy. Oslo Airport AS, a wholly owned subsidiary of Avinor AS, is responsible for facilitating parking at the airport. I think functional parking conditions at the airport are necessary. Therefore, I do not intend to intervene in the company's development of parking capacity at the present time. But I want to clarify for Avinor the responsibility of the company to ensure that a high collective part is kept up. This will also be clearly specified in the owner's notice on the activities of Avinor, which the Government intends to present to the Storting in a short time. I would like to draw attention to the fact that the national policy guidelines adopted in the context of the planning of new main airfields set out a 50 pst collective objective. The translation is confirmed in St. prp. No 90 for 1991-1992, Development and financing of the main Oslo area airport on the Gardermoen with associated accommodation system and defence implications. Here it is stated that it should be realistic to achieve the goal of a collective part of 50 pst. That is to say, at today’s 59 - pst collective part. is still well above the goal. The extent to which the collective part of the Airports in the other Nordic capitals applies, it may be said that in 2005 Arlanda had a collective part of 43 pst, while Kastrup has a very high collective part. Nearly three times as many passengers take trains in relation to those who use a private car. Finally, I would like to refer to the Government's general measures to increase its share of passenger transport in public transport, and once again stress that it is a goal for the Government to keep up and expand the collective part of transport to our main airport.
ParlaMint-NO_2006-11-08.ana.ud1671e1425	I am pleased that the Council of State says that she will clarify to Avinor that the objective of a high collective share should be kept up. I'm also aware that we're still over 50 pst. which is set as a premise from the Storting. But then I'm nervous, because this collective share is falling instead of rising in a situation where we have such a strong focus on getting transition from road to train, not least in the Oslo region. I have registered that the management of the OSL says something like that the market decides, and that it is completely inappropriate on the part of the airport to downgrade the availability and parking facilities of cars, in order to force more people to choose public transport to the main aerodrome. My problem is that we also know that the road system in Akershus, the road system against Gardermoen, is under pressure. The objectives of the OSL should not be overshadowed by the ambitions of high collective participation in general.
ParlaMint-NO_2006-11-08.ana.ud1671e1432	I share the concern of the representative Sundsbø that more and more cars are going to the airport. It is not desirable, either according to the general state of the road network or according to the large traffic in the area. Of course, it is not inconceivable from an environmental point of view and many other points of view. Therefore, on the basis of, inter alia, This question is addressed with Avinor the duty they have to see their work as part of the society of which they themselves are part. The airport – OSL and Avinor, which is the parent company – have a responsibility, of course, not only to control the market, but also to take political action. And for the government that is now ruling, the political signal is clear: we want a bet on public transport.
ParlaMint-NO_2006-11-08.ana.ud1671e1437	I thank you for your answer. It shows that the Government will follow this up with the development of the passenger transport to Gardermoen and bet collectively. That's what was the starting point for the questioner, so I thank you for the answer.
ParlaMint-NO_2006-11-08.ana.ud1671e1446	‘The Council of State has stated that the Government will implement projects already under way. E18 through Eastfold and Akershus is such a project. KS1 shall be a tool for better government governance with planning and ensure that the most relevant options are explored. There is disagreement between the municipalities concerned as to which routes for the new E18 from Elvestad to Winterbro are to be investigated. This can lead to great delays. Will the Council of State take the initiative to ensure that this route is subject to KS1 treatment as soon as possible?’
ParlaMint-NO_2006-11-08.ana.ud1671e1453	The Ministry of Transport has, in the complementary guidelines of the State Road Administration and the Railway Agency on the relationship between the national transport plan, NTP, and KS1, external quality assurance in the early stages, done well for the scheme of KS1. The external quality assurance scheme, KS1 and KS2, ultimately in a later phase, is a liability for State investment over 500 million. kr. KS1 shall be implemented at an early stage as the basis for an overarching policy decision in the Government on the choice of project or concept. The aim of KS1 is to better manage the planning of large projects at an early stage. Prioritisation between different projects shall take place through NTP. E18 from Sweden to Knapstad in Østfold is under development during the current planning period and does not meet the requirement for project processing after KS1. Further development of E18 from Knapstad in Eastfold to Winterbro in Akershus is under planning. NTP does not foresee investments on this route in the period 2006-2015. The project must be quality-verified according to the guidelines in KS1 before it can be prioritised in NTP. Planning of E18 from the Eastfold border to Winterbro after planning and building law started in 2001. In the context of impact management and community plans, there is no doubt about the options to be passed on to final management, under this ski option which will lead to the connection of E18 to E6 north of Winterbro.
ParlaMint-NO_2006-11-08.ana.ud1671e1462	I thank you for your answer. I agree with the Council's description of KS1. It also says in St. prp. No 1 from the Ministry of Finance that some of the projects to be included in the NTP 2010-2019 may be exempted from the KS1. This situation is now with regard to getting E18 in place from the Swedish border and all the way to Oslo, we need to raise our eyes a little bit. We need to take some principle decisions so that we can identify the most likely pathways in relation to the population and in relation to resource use and how much money we need to spend on different investigations. Our challenge to the Council of State, which was also addressed in the hearings with the Committee yesterday, is that we are now looking up a little, so that we can get an investigation in place in relation to which pathways are most likely not life-created.
ParlaMint-NO_2006-11-08.ana.ud1671e1471	I fully agree with what has been said by the representative Holten Hemdal that it is necessary to get the planning of the E18 in place and into good practice. I have this project in focus. I know that Eastfold County is waiting for clarification. They are also keen in their dialogue with the Council of State on this. I'm going to do my job so that it doesn't drag out more in time than is absolutely necessary, until we get the necessary processes in place.
ParlaMint-NO_2006-11-08.ana.ud1671e1476	I thank you for the good clarification of the Council of State, that we should not spend more time than is absolutely necessary to get good practice in place. It is now important, both for the Akershus population and for the Eastfold population, that we do not go back to the trasé elections in Akershus, because then there will be a great delay. This is an important national road — in relation to high traffic but also in relation to road safety for normal users. This is what I want to challenge the Council of States to, that she's taking the right steps now, so that we get the effort that we need on this important route.
ParlaMint-NO_2006-11-08.ana.ud1671e1481	I am working on a briefing on the Eastfold package, and under this E18 issue, which I am going to present to the Stortinget. I'll come back to Stortinget with something more complete about this, and it won't take very long.
ParlaMint-NO_2006-11-08.ana.ud1671e1490	‘The forecast of growth in road traffic in national transport plans continued in individual projects is significantly lower than the actual growth of traffic. This means that new roads are dimensioned incorrectly. Such errors may include: result in the need for upgrades/extensions to report earlier than normal and with the associated additional costs. This kind of management provides a poor economy for society. How will the Council of State ensure that both road plans and concrete road projects are based on more realistic traffic forecasts?’
ParlaMint-NO_2006-11-08.ana.ud1671e1497	I have previously answered an almost identical question from the representative Arne Sortevik. That was question No. 866 for written answers. There is not so much more I can say about this than I did at the time, but I can use the opportunity again to inform you about what is being done to make as good predictions of the traffic as possible. It will never be an easy task to predict traffic. This applies not only to road traffic but also to other modes of transport. The driving forces for the development of traffic, the choice of means of transport and travel are combined, and of course not known for years to come. One may not expect to meet well for individual years, but it is important that over several years we are not consistently too high or too low in relation to actual developments. In the directions given by the Departments for Eta and Avinor AS for their preliminary work on the NTP, it is clear that they need to work together to produce forecasts that are as forward-looking as possible. In the follow-up, transport modes and research and distribution institutions are involved. For freight and passenger transport, this includes: developed better models to help us create better projections. It is also important that we use projections for economic development and population consistent with those used in other planning. Both the Ministry of Finance and the Central Bureau of Statistics are therefore involved in the forecasting work. It's per. I can assure you that I am currently not making new projections, but I can assure you that the most realistic predictions will be the basis for transport planning, both in connection with the NTP and in connection with the design of the individual projects. I am confident that this will be the result of the ongoing work.
