ParlaMint-NO_2006-03-29.ana.ud2478e24	The called alternate of the Aust-Agder County, Kjell Ingolf Ropstad, has taken the seat.
ParlaMint-NO_2006-03-29.ana.ud2478e912	I believe that this matter will be served by a broad political consensus. There is a broad political consensus that research should be focused on, while this specific case could have quite dramatic consequences, not only for SINTEF, but also for 60 other research institutions. I refer you to the Chief Executive Officer of Sintef, Unni Steinsmo, has given a statement to the Address Paper: ‘It will drain us of liquidity that is currently being used to invest in future research.’ In other words, if SINTEF and other research institutions must both be taxed on wealth and taxed on companies, it will affect research. I take note that the Council of State has now set up a group to deal with these questions, but I will nevertheless be confirmed by the Council of State that it is possible for her to take a political initiative that will be able to resolve this specific matter.
ParlaMint-NO_2006-03-29.ana.ud2478e922	What is not possible for the Minister of Finance is to call a local Equation Office and say that they should disregard the rules in force and make exceptions on a case-by-case basis. That's not possible. What is possible is what I have now done, namely to set up a group of representatives from the three departments that have the most to do with research and research institutions, to clarify exactly the tax issues that the representative addresses. I agree that it is a high priority task to ensure good quality of research and to ensure a degree of research in Norway. There is a broad consensus on this in the Storting, and the Government has an offensive position on it. That's exactly why I've taken this grip. So I'd like to come back when we've gone through the issues properly.
ParlaMint-NO_2006-03-29.ana.ud2478e929	As I said, I am pleased that a group has now been set up to look at it. In this context, I would urge the Council of State to also have close dialogue with the research institutions, because it should be an ambition to ensure the continued freedom of taxation of research institutions which do not have as their object. The alternative to ensuring this tax freedom is that, above public budgets, we need to increase the appropriations for research quite dramatically, and then we are equidistant. I would ask the Council of State to confirm that a close dialogue will be established with the research institutions concerned.
ParlaMint-NO_2006-03-29.ana.ud2478e936	I can confirm that will be done. What is demanding in these situations is that many of the research institutions which do not have as their object are gradually engaged in extensive economic activities. And that's finding these boundaries that are the challenge in terms of tax rules. In order to find reasonable limits on this, we need to have good contact with the research institutions concerned.
ParlaMint-NO_2006-03-29.ana.ud2478e941	We go back to question 3.
ParlaMint-NO_2006-03-29.ana.ud2478e948	This question, from the representative of Jan Tore Sanner to the Minister for Local and Regional Affairs, will be answered by the Minister for the Environment, as appropriate.
ParlaMint-NO_2006-03-29.ana.ud2478e951	I will be asked by the Council of State about the following: ‘In Telemark, the county transferred the right of objection in construction matters to its own environmental protection department. Thus, the discretion of the county council is disregarded for the sake of bureaucracy. When the county council's discretionary exercise lapses, decisions taken by the municipality could be challenged by a purely professional body and then ended up at the Minister for the Environment's table. Will the State Council review the right of objection mechanism and ensure that no practice can be practised that weakens municipal autonomy?’
ParlaMint-NO_2006-03-29.ana.ud2478e960	At the time of the introduction of the Planning and Building Act in 1985, the department’s powers to take binding spatial planning decisions were transferred to the municipalities. An important prerequisite for this transfer was that municipalities should also pursue national interests in planning. In cases where municipal plans conflict with such interests, state authorities may raise objections so that the municipality's access to self-fulfilment of the plan fails. Objections may also be raised by the county and neighbouring municipalities. If no agreement is reached through negotiation or mediation, the case shall be referred to the Ministry of the Environment for final decision. That the primary responsibility for spatial planning lies at local level, where one knows where the shoe is printed, was and is an important and sensible reform. In the preliminary work on the Law on Planning and Building, it has been stated that caution must be exercised from the state's point of view to overseeing local political judgement. I agree. In matters governed by the Law on Planning and Building, the county is affected by the State's professional authority according to a number of environmental interests, such as pollution, nature protection and outdoor life. In doing so, the counties are entitled to raise objections. The county also has professional responsibilities and may raise objections to preparedness, risk and vulnerability, the interests of children and young people and their accessibility to all. In addition, the county has professional responsibility for agriculture and is also the secretariat of the County Agriculture Board, which has been given the objection authority. For practical and professional reasons, several counties have raised objections to individual departments. This is done by the authority of the county. If an objection is raised by one of the State Departments, it will be for the State to decide for itself whether or not to intervene in the case. If the case is sent to the Ministry, the county of the letter of transmission shall carry out an overall assessment of the case and shall recommend a decision on the matter. In this respect, the discretion of the State will be fully exercised. The number of objections raised by the Ministry of the Environment for treatment is quite stable from year to year. Annually, it involves 30-40 plans of them. 3 000 plans taken by municipalities in total. The Ministry emphasises thorough treatment with, among others: inspection and meeting with the municipalities in these matters. In several cases, the municipality receives full or partial support. Overall, this implies that about 99 pst. of all municipal level decisions become final. It shows that we have put the list high to try out municipal autonomy. There is a continuous development in which more and more public sector interests are linked to planning processes under the Planning and Building Act. Several level issues are thus subject to balances in local elected bodies. Thus, most of the objections are resolved by negotiations at local level or after mediation between the parties concerned has been carried out by the county. The amendment of the Law on Planning and Buildings on 7 May 2004 strengthened the objection mechanism in order to prevent so-called rematches. The aim of the change is to provide a more predictable and efficient planning and construction process. In the light of current legislation and the experience we have with the objection system, I do not see the need to change it.
ParlaMint-NO_2006-03-29.ana.ud2478e988	In general, I would like to say that I think it is good that the Council of State says that the main responsibility should be at local level, and that the list is set high for over-testing of municipal autonomy. This is an example of how to focus on municipal autonomy, and that is why I initially addressed the question to the Minister of Local and Regional Affairs. We see that municipal autonomy can easily be put under pressure, and it can easily be undermined if you're not observant. Now the Swedish Council of State represents SV, a party that also argues for local self-government, but that, as I have seen so far on the Storting, in practice often stands for the opposite. It is detailed management, and – not least – when it comes to environmental issues, it is a bit centralising. Then I would like to ask the Council of State: what is the Minister for the Environment's position on the importance of municipal autonomy, and will the Minister for the Environment work to ensure that it is not weakened in the time we are now going into?
ParlaMint-NO_2006-03-29.ana.ud2478e999	The government is concerned both with preserving and strengthening municipal autonomy. There's the government together. The government wants to pursue a policy that just strengthens municipal autonomy. There are often conflicts of interest between local and national interests in the conflicts at the Ministry of the Environment’s table. Here, too, I think it is important, in the field handled by the Ministry of the Environment, that one should have an eye for national interests to be preferred to local ones.
ParlaMint-NO_2006-03-29.ana.ud2478e1010	‘The Committee on Energy and the Environment, Public Health and Consumer Protection, in its statement on the 2006 budget, underlines that the Government is examining how the role of the various departments can be strengthened and clarified in an open-air offensive. How far has this investigation progressed, and how will the Stortinge will be briefed on the Government's cross-ministerial strategy for strengthening open-air life?’
ParlaMint-NO_2006-03-29.ana.ud2478e1017	The previous government, Stoltenberg, presented St.meld in the spring of 2001. No 39 for 2000–2001, Outdoor life — A road to higher quality of life. The Communication gave a thorough presentation of the challenges in the field of outdoor life, objectives and guidelines for policy and instruments for implementation. It was widely connected in Stortinget. The communication continues to underpin the policy of outdoor life, as it did in the previous ageing period. Among other things, the focus on children and young people, outdoor life in school, outdoor life and public health, outdoor security, beach zone bets and the strengthening of the rights of all persons is well anchored in this Communication. I would like to remind you that we have recently completed the large and successful campaign Free Air in 2005. This, too, was a direct follow-up to the message, so it was about 17 million. kr for this measure on the State budget. The follow-up to the outdoor work is reported annually in the budget proposals of the Ministry of Environment. This is also regularly reported in the communications on the Government's environmental protection policy and state of the state of the state at the latest, St.meld. No 21 for 2004-2005. In addition, during the examination of the latter Communication by the Storting, there was renewed support for objectives, instruments and measures in the field of outdoor life policy. In several other contexts in recent years, cooperation and clarification of roles and responsibilities in this field have been discussed. I mention e.g. work on the public health and action plan for physical activity 2005-2009, the child and youth impact assessments, on sport and on education policy. This has led to closer cooperation towards common objectives and increased allocations for outdoor purposes, including: from the health and cultural authorities. I do not believe that this is the basis for a new big message about outdoors in the coming years. I think it is most appropriate to use resources to implement important measures for outdoors. But I intend to give an overall overview of this effort in the next communication on the Government's environmental protection policy. I have now started the investigation work for this message.
ParlaMint-NO_2006-03-29.ana.ud2478e1028	I thank you for the answer, which does not answer what is my question, namely how the Government should follow up the Committee's request to investigate how different departments can better interact in order to strengthen outdoor life. In my question, there is no request for a new groceries message. So my question has to be repeated: what will a person do to follow up the comment asking for a review of how different departments can contribute to an offensive for the outdoor sector? I am thinking about the Ministry of Culture and the Church, the Ministry of Local and Regional Affairs, the Ministry of Knowledge and the Ministry of Children and Gender Equality. This will include, inter alia: be natural to consider whether toys can be used to strengthen outdoor life, targeting children and young people in particular — a matter that SV has previously been concerned with. Does the answer given to me by the Council of State mean that there will not be such an overall review of the various departments' possibilities requested by the Committee?
ParlaMint-NO_2006-03-29.ana.ud2478e1037	As I mentioned in my first response, a more detailed assessment and possible strengthening of outdoor life will be addressed in the upcoming big news about the government's environmental policy. There is a well-established arena where the Government involves all the departments concerned, and it is precisely in the interaction between all the departments concerned that we can manage to achieve the national environmental objectives in terms of outdoor life.
ParlaMint-NO_2006-03-29.ana.ud2478e1042	I had a specific question in my first supplementary question. It was about whether the State Council will take initiatives to strengthen the Toy Scheme aimed at outdoor activities for children and young people. It is an area where SV has been very involved in Stortinget, and they have been concerned that the scheme is being modified to bring more about children and young people, related to outdoor life. It also illustrates my point that several departments can help to keep up the pressure on the outdoor sector. The question will therefore be whether the State Council responsible for gambling will help to raise this issue.
ParlaMint-NO_2006-03-29.ana.ud2478e1047	There is a strong commitment in all the departments involved to increase the focus on outdoor life and the objectives of outdoor life, and it is quite natural that all the issues that Kvassheim mentions, as well as a number of other issues, are discussed in the context of presenting the Communication on the Government's environmental policy.
ParlaMint-NO_2006-03-29.ana.ud2478e1063	This question has been postponed. Question 6 will be answered before question 18.
ParlaMint-NO_2006-03-29.ana.ud2478e1079	This question has been postponed.
ParlaMint-NO_2006-03-29.ana.ud2478e1093	This question is drawn. Question 9 is answered. We have then come to question 10, from the representative Elisabeth Aspaker to the Minister of Justice. The President cannot see that the Council of State is present, so the President will take a short break. After a delay of about 5 minutes, said:
ParlaMint-NO_2006-03-29.ana.ud2478e1102	Now the councils have arrived in the hall, and the break is over.
ParlaMint-NO_2006-03-29.ana.ud2478e1109	I allow myself to ask the following questions to the Minister of Justice: ‘The Minister of Justice has previously announced that during the spring the Government will present a comprehensive plan to remove the pay queues, but we are now experiencing an acute shortage of settlement sites. At the same time as the police have been completely out of custody for periods, it has been reported that foreigners who could have been expelled for compensation in their home country are seizing a number of places in Norwegian prisons. What immediate action will the Council of State take to resolve the serious shortage of settlement sites?’
ParlaMint-NO_2006-03-29.ana.ud2478e1118	At first, I would like to say I am sorry that I did not want to come in time. It was just that I had problems getting out of the government building because of the security measures that were there. That's one of the reasons for this regrettable break – and I'm sorry.
ParlaMint-NO_2006-03-29.ana.ud2478e1123	The President-in-Office of the Council accepted the cause.
ParlaMint-NO_2006-03-29.ana.ud2478e1126	Lack of adequate custody and settlement facilities is the biggest challenge we are now facing in the criminal system. Lack of adequate custody and settlement capacity reinforces the problem of repatriation criminals, weakens the preventive effect of punishment and weakens confidence in our penal system and our criminal policy. The government will therefore work actively to increase the capacity of prisons in the short and longer term. So far, 31 new prison sites have been opened. An additional 67 places are planned during the year. Criminal custody is a strict priority in the payroll line. In a situation of pay queues, places are made available first for custody, then long judges, and then short for violence or violence-related judges. Young people under the age of 21 and active gang members and persons who constitute the heaviest criminals with organisational affiliation are always given high priority in order to be put right into atoning. Despite this priority, it is true that the police are not offered a sufficient number of custody sites, as we have seen examples of, and that is very regrettable. The representative, Aspaker, points out that foreigners who could have been expelled for compensation abroad are seizing a number of settlements. Transfer to permanent residence abroad is an option for some prisoners with foreign citizenship. However, not all of this is relevant. It is a prerequisite for a forced transfer that the State concerned is associated with the European Convention of Transmission and its Additional Protocol. In addition, in the specific case, the State must consent to the transfer, as the State has no obligation to accept prisoners for continued compensation there. Furthermore, there is a prerequisite for a final expulsion decision. The compliance or non-compliance with the conditions for expulsion shall be determined by the non-resident authorities. Therefore, there is a good deal of uncertainty about how many foreign prisoners a transfer to a settlement may be relevant. The government intends to present a plan for the closure of the queue in relation to the revised national budget for 2006, and I will return there to the concrete measures to be taken. In the context of the work on the plan, the Ministry assesses different measures both in the short and longer term. Since we will then come back to this, I will not now go into exactly what kind of measures are proposed. But it is clear that at the heart of this work is ensuring better implementation of the foreign nationals who are sitting and sons in Norwegian prisons and who can zone in their home country.
ParlaMint-NO_2006-03-29.ana.ud2478e1142	I thank you for your answer. I might have hoped that the Council of State was a little clearer that it would now engage in dialogue with the authorities of the country concerned in order to expel the foreigners who are in Norway, who can be sent home, to zone in the home country, and that he was more offensive to it. Then it is a reality that you, for example. in the Central Hålogaland Police District, Ofoten District Court and the Tronde District Court, have significant problems as a result of the lack of detention places in that region. In fact, the police have to refrain from being held in custody in matters that qualify for custody elsewhere in the country. In the Eastbound mission last night, we heard that the Bærum police had to send one they had seized, to Vadsø, and we didn't get any progress in the matter because we didn't have the resources to send people back and forth to get to it. So I have the following questions to the Council of State: Will the Council of State in the acute situation consider the extended use of duplication? And will the Council also consider whether private projects that can be resolved more quickly can be a way to improve settlement capacity?
ParlaMint-NO_2006-03-29.ana.ud2478e1151	We will consider all possible measures, and that is what we do in these days. We have quite a short time, since we're going to present this in an overall plan, and therefore I don't want to conclude that now. I want a serious procedure around it. But at the same time, I have to say that the solstice problem that has existed in the last five years, and that has resulted in us having a reconciliation queue, based on the definition, of 2,500 judges waiting for redemption, is something that has also existed during the last government's time period. And I think, with all due respect, that the questioner should also be happy that in the additional proposition of the new government, we chose to strengthen the work of building more places, so that we can actually this year establish 100 new places, far more places than the Bondevik government laid down. That's the only way we can get out of it. It is also important to say that if we are to increase police force in Norway, we must prevent transport over such long stages, which weakens much of the police's resource use. So this is priority from our side.
ParlaMint-NO_2006-03-29.ana.ud2478e1156	I would like to thank you again for your answer. It is true, as the Council of State here says, that this government has taken the initiative, but a good foundation was also laid by the previous government, among other things. in the case of initial appropriations for Halden Prison. I think that if that government had continued, we would also have come to grips with further progress in the reconciliation queue that is there. But I am very concerned about the signals that the Council of State has now sent out, among others. via the media, that he is occupied with open settlements. I would like to have assurances from the Council of State, especially with regard to the care problem we now have, that in the plan that the Government is to submit, there will also be sufficient consideration for the care problem, and that we are not only talking about open settlements, but that closed spaces must also have a central place in the plan with which the Government comes to the Stortinget.
ParlaMint-NO_2006-03-29.ana.ud2478e1163	I can confirm that. Getting more closed locations available for custody is a primary task of this initiative. But it's not right, as the questioner now says, that the Bondevik government would have made a strong commitment to this year. That test was not passed when the budget was dealt with before Christmas, where the Right and the other ‘old’ government parties did not choose to add more resources in relation to building new places. So let's do that. We want to establish 100 new places, and that's an absolute promise I'm going to make, and we're doing it well. By establishing more new, open settlements – which we are going to do – you will be able to meet the needs of the reconciliation queues today. 60 pst.-70 pst. of the pending judgments, less than 90 days, many of which can be finely remunerated in open courts. This will mean that many of the closed places will be freed – among other things. to the most serious cases, but also to the custody.
ParlaMint-NO_2006-03-29.ana.ud2478e1174	I allow myself to ask the following questions to the Minister of Justice: ‘We have a major challenge in ensuring a sound police coverage of the entire population of Finland. Large distances, scattered settlements and a tough climate, as well as problems with the addition of well-qualified personnel more places, make sure that there is a new thinking in this area. Will the Council of State consider setting up its own Sami police district in internal Finnland, in order to improve the legal certainty of the Sami population, as well as improving police preparedness in general in the county?’
ParlaMint-NO_2006-03-29.ana.ud2478e1183	I would first like to say that I am pleased with the questioner's initiative in relation to the police situation in Finnmark. It's not just negative. It's also positive, in the sense that the police are doing a very good job in Finnmark. The police located at the churches and elsewhere in Finnmark have just presented very good figures in terms of both crime development and proceedings. The Police Directorate has developed a model for the allocation of resources between police districts. The model is built up with criteria related to police response, where crime control and security represent the most important area. Geographical area is also an element that is highlighted in the model and that has given a positive count for the Finnish police districts. Compared to police districts in other parts of the country, police districts in Finnmark generally come to a satisfactory conclusion in the economic distribution model, as confirmed by the Finnish police. The Ministry of Justice is aware of the problems in Finnmark regarding the recruitment of police officers. In order to improve this situation – informs the Police Directorate – an economic instrument was put in place in 2005 to recruit police high school students, including students with a Sami background, for service at the Finnish police districts. As regards the enforcement of the language rules of the Law, the Ministry of Justice has for several years granted additional funds to police districts with municipalities belonging to the administrative area of the Sami language. From 1999 onwards, the Chief of Police of Troms has managed an amount which, according to its own instructions, is intended to cover additional costs for translation, interpretation, equipment and training in Sami. From 2006 onwards, administrative responsibility was transferred to the police district of Vestfinmark. In 2006 400000 kroner have been allocated according to this instruction. Finally, it can be stated that in 2006, the Police Directorate launched a project aimed at increasing the recruitment of police personnel with a minority background, including Sami speakers, as well as measures to combat all forms of discrimination. In total, I believe that the measures taken to ensure the legal certainty of the Sami population in Finnmark are satisfactory and that the general police response in the county also takes care of this group. I therefore see no immediate need for a separate Sami police district in internal Finnmark. I have to add that in the case of police services in Norway – and insofar as the other legal services as well – I think it would be unfortunate if we shared services and services that the population wants, according to ethnic criteria. I don't think it would be lucky.
ParlaMint-NO_2006-03-29.ana.ud2478e1200	I thank you for your answer. This is a matter with a lot of pages. It is not time to raise everyone now, so I also want to credit the Minister of Justice on this matter. I could have mentioned several completely unacceptable matters, but I will bring forward a very serious incident in Kautokeino recently. The night of a Saturday, two shots were fired in a private house. The police did not come to the scene, despite several enquiries from those who witnessed the incident. This happened 13 miles from the janitor's office that worked with Kautokeino that weekend. The police did not come to the scene until working hours went to Monday morning. This is completely unacceptable. It must be an absolute requirement that people should be able to get the police assistance they need as soon as possible, if such serious situations occur. What will the Minister of Justice do immediately, so that people in Finnmark may not experience events like this in the future?
ParlaMint-NO_2006-03-29.ana.ud2478e1211	I ask for an understanding that I cannot go into a single matter that is presented from the pulpit in Stortinget. I am prevented from doing that – so I do not have the opportunity to do that now either. This is a problem and a challenge we're looking at across the country. Police response time should be reduced in some areas of the country. As I said in my main response, Finnmark has just come out better in terms of the distribution of funds. The government chose to go a step further than the previous government – giving more resources to the police to just do this. The first occasion that the Stortinget gets to discuss such matters will be in the context of the police mission, which is to be debated in the Stortinget in ours. There is also an opportunity to change some of the local structure — to ensure better accessibility for, among other things. the public service offices. The government wants, first of all, a somewhat closer and closer police force. In this way, we will have a good opportunity to meet some of the local needs as well.
ParlaMint-NO_2006-03-29.ana.ud2478e1222	I would also like to thank you for this reply. In addition to the great distances we have in Finnmark, we have great challenges in recruiting people with Sami language skills and in-depth knowledge of the Sami culture. Inner Finnmark canvas is now created. The legal certainty of the Sami population has been significantly enhanced by the establishment of this institution. But there's a need to be able to deal with a case from a to samish before you can say you're quite satisfied with the offer the population actually gets today. There is also a great need for more people with a Sami background to take up political education. Furthermore, it is necessary for those who are employed and who do not have a Sami background to undertake to acquire knowledge of Sami matters and learn the Sami language. Such training courses must be immediately available in the case of employment. Such special competence must be undertaken by the employee before he or she begins his or her employment, if any. A separate Sami internal Finnish police district could make the manning situation considerably more transparent throughout the county. In addition, those who speak Sami daily could have the opportunity to use their mother tongue — and thus experience no misunderstanding in criminal matters as well as in other legal cases.
ParlaMint-NO_2006-03-29.ana.ud2478e1235	I have to point out what I have said earlier on the question of a Sami police district. I don't think that's the solution to the problems that the asker is now traveling here in the Storting. I would like to give a strong warning against classifying justice from an ethnic point of view. I am also not sure whether it is particularly appropriate for the Sami population. What we can then risk is getting a further stigmatisation of those with a Sami background who had to commit criminal acts, which would not at all benefit the Sami people. I want to refer to the effort that is actually being made, which the questioner was also concerned with, in terms of increasing competence, developing opportunities to use languages during research, not least in guidance, and the job that is now being done in the interior of Finnmark with regard to the rights of property. Here, considerable resources have been invested just to meet the Sami need, not only in criminal matters, but also in civil matters, to monitor, among other things. common practice with regard to the civil matters to be faced. So here I feel like we're on the right track.
ParlaMint-NO_2006-03-29.ana.ud2478e1248	I allow myself to ask the following questions to the Minister of Culture and the Church: ‘Local media are central cultural carriers and contribute to the diversity of the local social debate. Budstikka Radio Trendelag has one of the largest local radio concession areas, has three local offices with 130 volunteers, 16 pst. listening and high transmission costs due to difficult geography. If the radio is not allowed to exceed the market limit of 2 mill. NOK for radio bingo, they will have to cancel 75 pst. by the employees and drastically reduce broadcasting activity. Will the Council of State consider removing the turnover limit?’
ParlaMint-NO_2006-03-29.ana.ud2478e1257	I thank the representative Lånke for the question. Radiobingo represents an important source of revenue for local radio stations in Norway. Many local radios are currently operated on a voluntary and non-profit basis and are important cultural and information providers at local level. I am very concerned about maintaining the local radio media position in the districts and therefore want to strengthen their financial framework conditions. When today’s bingo regulation was adopted in 2004, a turnover ceiling for radiobingo was set at 1.3 million. kr. It was also intended to distribute the bingo market among the various actors. Derogation from the ceiling was granted in 2005, and a new ceiling of 2 million. kr was fixed in 2005. Through the Ministry's dialogue with representatives of the Local Radio Federation, I was made aware that the previous government signaled that the roof should be removed. This was not followed up that time and of course has caused frustration among the players who are using radio bingo. I see that there may be a need to reconsider this roof. Work has been started in the Ministry assessing whether the turnover limit for radiobingo should be removed. A final decision on this matter will be made after Easter.
ParlaMint-NO_2006-03-29.ana.ud2478e1266	I thank the Council of State for a long-standing positive response. I understand that this problem is taken seriously, and that it is now being considered to remove the roof, as a previous government has also signaled. I am also pleased that the Council of State shares my view of the positive cultural value of local radio in the community. Local radios have in many ways become stepchildren in the media market, partly because they are powered by voluntary forces and partly because they have the opportunity to receive public support or advertising revenue. My supplementary question goes specifically to the situation of Budstikka Radio Trøndelag, which is in an emergency economic situation because they expected it to be possible to operate according to the assumptions they have made. Will the Council consider granting exemptions to Budstikka Radio so that they can continue, also because it has been indicated that you will be open to remove the roof?
ParlaMint-NO_2006-03-29.ana.ud2478e1275	I think that the representative Lånke and I very much agree on the importance of local radios – that they mean a lot to local cultural life, to local democracy, debate and identity, and that a very good job is done in many local radios with quite limited financial resources, among other things. because it may not be as easy to access the large national advertising campaigns given to the larger commercial radio channels. Radiobingo is an important source of income. I think we have to decide quite quickly whether to raise the roof or not, and treat all applicants the same way. I don't think it would be very well received by other actors on the same market if a single radio were to have a different trading limit than the others. The most important issue of evaluation may be the outcome of this in relation to other types of bingo funded by a high level of volunteering. If we believe it can be handled, we will raise the roof.
ParlaMint-NO_2006-03-29.ana.ud2478e1282	Once again, I thank the Council of State for the answer. I'm glad that the Council of State says about the same thing that I would have said about the positive value that these near-radios represent. Now, however, we are facing an emergency situation in a local radio. I am pleased that one will consider removing the roof quite quickly, but the question is whether it is fast enough. That is why I repeat the question as to whether it is not possible to grant a derogation in this case. It's probably about a few other close range radios that are also in the same situation. My question is, on the one hand, a follow-up to the previous question, and, on the other hand, if the Council of State can suggest any time for when he will make that decision and perhaps in what direction it will go.
ParlaMint-NO_2006-03-29.ana.ud2478e1291	I've gone quite far in signalling a positive attitude. What we need to assess is how this turns out for other bingo games, because they are also funded by important voluntary activities. I notice that the representative was loaned a lot of pressure to raise the turnover limit of gambling activity in the country. We'll look at that right over Easter, and we're seven to eight days away from Easter. We share the concerns about funding the radio channels, but we need to have a general system that allows everyone to be treated equally. We have to deal with it quickly, but we have to make sure that the treatment of individual things does not make this pure bingo.
ParlaMint-NO_2006-03-29.ana.ud2478e1302	I would like to ask the Minister of Culture and the Church the following questions: ‘The establishment of the National Museum of Art has led to the conversion of the operations of the former National Gallery, which is based on national functions which the institution has so far intended to perform. Does the Norwegian Council of State need a museum which at all times displays a historically representative image of Norwegian art, what governance tools does the Ministry of State have in order to ensure this within the framework of today's organisation, and does the Council of State consider that the agreement between the State and the National Museum of Art should be renegotiated?»
ParlaMint-NO_2006-03-29.ana.ud2478e1311	I thank the representative Thommessen for the question. The question, however, contains a claim that I cannot agree with. All five components of which the National Museum is composed include national functions to be continued and further developed. The fact that the overall exhibition profile has not been in line with the expectations of all groups for a historically short period does not mean that it has been rocked by functions that the museum is required to perform. The answer to the fundamental question, namely whether we need a museum that always shows a historically representative picture of Norwegian art, is yes. The agreement concluded in 2003 with the National Museum of Art, Architecture and Design, which sets out the obligations assumed by the museum, states that ‘The National Museum shall ensure the proper operation and management of the Collections in accordance with good museum standards and within the budgetary framework to which it applies at all times’. Furthermore, it is established that the responsibilities of the National Museum for Operation and Management, among others. includes the further development of the professional and thematic responsibilities of the National Gallery and the Museum of Contemporary Art. In other words, it is indisputable that the National Museum should work with historical visual art and thus also display a representative image, in the same way that the museum should have an active relationship with the contemporary expressions. How this task is to be solved is nothing in the agreement, nor should it be. There is an art and museum professional question for the museum to decide for itself. We have seen in the last year that the museum has harvested some sharp criticism of the new installation that took place in the National Gallery in winter 2005. The museum chose a new – and in the opinion of some people for radical – display method. Of course, it has the right to do so, but at the same time it must be prepared to engage in a substantive dialogue with critics as well as with others who have legitimate interests for our largest visual art intermediary. The museum has signalled in the debate that changes will be made in the future in the historical exhibitions. We have reason to believe that these changes include: will reflect last year's professional discourse. However, the Ministry shall not enter and instruct the museum of the exhibition principles to be used or the number of images to be displayed by specific artists. The Ministry has confidence that the board and management will always deal with such issues. And let me add that I have noticed that the representative Thommess, at the latest in a chronicle in the Evening Post, underlines the arm's length distance principle that will lie between the department and the artistic decisions that such an institution as the National Museum of Art will have. In addition to the agreement between the State and the Museum, the Ministry has governance mechanisms through the allocation of budgetary resources in the annual letter of contribution. The museum must report annually on how the institution allocates the budgetary resources allocated to achieve the cultural policy objectives. In this context, the Ministry has annual contact meetings with the Management Board and the administration of the museum, as is the case with other cultural institutions. Overall, the Ministry has appropriate governance mechanisms for the National Museum. In fact, the said operating agreement with the museum represents a more specific governance basis than is common to other important cultural institutions with which the ministry interacts.
ParlaMint-NO_2006-03-29.ana.ud2478e1328	I thank you for the answer, and of course I agree that there must be an arm's length distance principle in relation to purely professional questions. What we're talking about here, however, is something that has to be considered to be a central museum task and a central task that has to be solved in a country, that is, having what we traditionally think of as a national gallery. We can see, I think, that significant parts of the collection are now gone – at least not available – and it is the whole epoch that has not been presented. Then, of course, you can discuss whether it means that the institution's task is taken care of or not. I just find that strong professional interests do not. I believe that this is a matter that raises very interesting fundamental questions in relation to the state's ordering role to the governments. Because it's like, in the mechanisms we now have in terms of agreements or organization, it's pretty small that describes what we're actually going to do.
ParlaMint-NO_2006-03-29.ana.ud2478e1337	There is no poor observation by the representative Thommes that there are works in the historical collections of the National Museum that are not shown. So 96 pst. of the works held by the National Museum in its historical collections, at all times not shown, simply because the premises actually do not allow for more than 4 pst. at all times on the wall. According to the museum, international art museums try to have approx. 15 pst. So we're dramatically behind similar institutions in other countries. This underlines another point, namely that we have a very strong need for new premises for this museum, and before the museum gets a proper solution to its building needs, it will simply not be possible to present as much of our historical heritage as we want, and which may also be necessary to get a sufficiently comprehensive and varied representative picture of historical art. So here's a lot that needs to be done before we get to both the Thommessen and the undersigned want to do it.
ParlaMint-NO_2006-03-29.ana.ud2478e1344	Now it's probably not completely random which 15 pst. Which is displayed, and it's probably some of the things that this is about. I agree that we need a new building with more space. When Stortinget dealt with the ABM message and the new National Museum of Art, I think it was obvious to everyone that the central tasks of these different institutions were to be carried out and continued. But you might have expected that merging this together would help you get something more, and nothing less. I believe that is an expectation that should still lie in the air, and I interpret the Council of State to that he will continue to maintain a expectation, at least, to the Board of the National Museum that the historical presentation too will be substantially expanded in relation to what is happening today.
ParlaMint-NO_2006-03-29.ana.ud2478e1354	I've actually said quite clearly that showing a representative sample of the historical collections is one of the museum's mission from the owner. But I also have to say that I think the debate we've had in the last few years is good. Nothing is more troubling boring than a collection hanging there year in and year out, which no one cares about except to go in and look at it, and which no one discusses and no one has strong opinions about. This makes us aware of what artistic heritage we have, in relation to different epochs and different artists, and what is representative and what is not. It creates a creativity and a dynamics that we also need when we look back in time, not just at contemporary art. There are probably about the same number of opinions about what is representative and what selection should be held there, as there are art-interested people in Norway – so that debate should only be seen in the light of the meeting. The collections will certainly change year after year, and the debate in which Thommen participates will affect it.
ParlaMint-NO_2006-03-29.ana.ud2478e1367	I allowed myself to ask the following questions to the Minister of Health: ‘The Soria Moria Declaration states that no local hospital should be closed and that health services should be adequately resourced and competent. Maintaining local hospitals is very important for the Left, but if local hospitals are to be kept alive, they must have a content that provides adequate facilities. How will the government ensure the training of enough surgeons with good professional breadth so that local hospitals can survive in the future?’
