ParlaMint-NO_2006-05-30.ana.ud2641e38	The representative of Mr Sonja Irene Sjøli will make a private proposal.
ParlaMint-NO_2006-05-30.ana.ud2641e632	Now that the wolf has survived enough debate in Stortinget, we can address a new Document No. 8 proposals from the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Verification of Credentials and Immunities, the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, the Verification of Credentials and This is the case with the following proposal from the Progress Party: ‘The Government asks the Government to review all the specific environmental requirements that could lead to competitive disadvantages for Norwegian industry and to propose necessary changes to ensure the same environmental requirements for Norwegian industry that are applicable in the EU and other comparable competing countries.’ The Committee has examined this proposal, and it is gratifying, I would say, that a unanimous committee indicates that it is an objective that Norway should become an environmental priority country. In order for future generations to have access to a good environment and clean nature, environmental considerations must be comprehensive in everything we do. Norway shall be a driver of international environmental cooperation. It's good that there's a unanimous committee that says that. Furthermore, the majority of the Committee, with the exception of the Progress Party, shows that being a priority country means taking the lead in new environmental policies and instruments. The majority also point out that environmental regulation can help reduce costs and risks for enterprises, thereby contributing to and strengthening the competitiveness of Norwegian enterprises. The majority will also point to the strong growth of some industries as a result of new environmental requirements, for example. suppliers of cleaning technologies and waste systems. In recent months, we have seen a glittering example of REC – Renewable Energy Corporation – listings that have had record listings. It is a company that works to promote solar energy, and among other things. in its portfolio, the company ScanWafer, which is one of the most exciting industrial ventures we have in Norway. ScanWaver produces wafers, which is what you need to make a solar cell. In this area, they have 30 pst today. of the world market – a world market growing by more than 20 pst. This year. The majority further point to the importance of international cooperation in addressing environmental challenges. Furthermore, the majority points out that stricter environmental requirements can lead Norway to lead the development of environmental technologies, which can also contribute to and strengthen the competitiveness of Norwegian industry over time, as stricter environmental requirements are also applied in other countries. If we combine this effort with a focus on increased research and development, environmental policy can be an important contribution to industrial policy. The majority also emphasises that, of course, there are the overall framework conditions facing Norwegian companies in relation to their international competitors, which are crucial, and not environmental requirements alone. Another majority, consisting of the Workers' Party, the Socialist Left Party, the Christian People's Party, the Center Party and the Left, indicate that the Government will cooperate with the builders of gas power on CO2 capture installations. This is something that can make Norway fully aware of when it comes to developing technologies that will become very important in the future. It may be the technology that can enable us to face the greatest environmental challenge we face globally, namely the threat of man-made climate change. On this basis, the broad majority of the Committee, with the exception of the Party for Progress, rejects Document No. The 8th proposal.
ParlaMint-NO_2006-05-30.ana.ud2641e662	Although I will probably mention the Progress Party, as proponents, in this post as well, I would say that it has nothing to do with the love of the party, because despite the dissatisfaction of the Advance Party, we in the Workers' Party believe that we live in an amazingly beautiful country. I am so old that I remember when we introduced forced renovation in Norway. Then it was in streams and rivers creamed of diapers, plastic, car batteries and various heavy metals. So it was suggested forced renovation. In my home municipality, a party was formed with one thing on the program: they were forced to renovate. They entered the Municipal Council with four representatives. If you take a trip to Kvinesdal today and ask if there is anyone who wants to go back to voluntary renovation, I am absolutely sure the answer is clear. No one will. I started working at Tinfos Jernverk in 1981. At Tinfos, we had a sludge treatment plant that we stopped once a year for maintenance. Then we played the third game, one day a year. Then they were ordered by the SFT to build a sewage treatment plant for, so they wouldn't spill it on the sea. They protested very much and sent me as a trade union leader to Thorbjørn Berntsen to protest, for this was wasted money. But Thorbjørn Berntsen said, "No, they're going to build this treatment plant." When they started the treatment plant, the director went out into the media and said that if the treatment plant is standing for one day, we will release as much crap as we would have done during 100 years of operation with the treatment plant. In the trade union at Tinfos Jernverk we felt tricked. That was 3.65 pst. of the emissions from Tinfos. But when they got the sewage treatment plant, it was 100 years of emissions with the sewage treatment plant in operation. It shows that we are completely dependent on environmental requirements. The fish works in Kristiansand had a waste problem. They filled up the size of a football field with 10 meters of dust each year. They were required to stop it. So the research department that they had found out that it was going to make money on the dust. After that time they drove the ovens as badly as they could, in order to get the most dust possible. They made more money selling the dust than they earned to sell the metal. They did so because of the environmental requirements imposed on them. When the Progress Party writes in its proposal that they ask the Government to ‘promote proposals for necessary changes that ensure the same environmental requirements for Norwegian industry in force in the EU and other comparable competing countries’, it has to ask: What is it? Can the Progress Party answer that question? When it comes to welfare, we don't have a comparable competitor country. It must therefore be in relation to industry. Are we going to have the same environmental requirements as in Russia, as in Qatar, as in Brazil, as in Africa? The Progress Party must begin to respond to the policies it stands for. They're using the majority because we have 80 pst. of EU environmental legislation implemented in Norwegian environmental legislation. So Tinfos had 100 years of emissions of 3.65 pst. I am proud that we are going to have an offensive environmental policy, that the Government has said that we are going to be the environmental nation. Then we need an active policy. That's something that everyone will earn. I really hope that the technology we come up with can be transferred to other countries, not least to the Chinese, if the Chairman of the Advance Party thinks they should have the same consumption as us.
ParlaMint-NO_2006-05-30.ana.ud2641e679	Right now I'm glad I'm not a girl with long hair. That's when my braids had a good smell! The Progress Party is for a good environment, for the Klungland briefing. We're too clean for water. We're too clean. We are in favour of measures that ensure this, and we are also in favour of forced renovation – yes, think about it! But we are opposed to a purely symbolic policy that only destroys Norwegian business, without having a particular impact on the environment. It is such a symbolism policy that we address in the proposal. We are not looking at whether it has a concrete effect locally. Good environment is in everyone's interest. Disagreement is based on the strictness of special demand in some areas in relation to the rest of the world. International environmental challenges need to be addressed internationally, not only through narrow Norwegian measures that have no real impact on the international environment. Our proposal has a background in the Hydro Årdal case. It was actually the government parties' own actions in the matter that led us to promote this proposal. Because there are environmental rules that force the shut-down of the Søderberg plant earlier than Hydro wanted. I have no interest in raising a debate whether it makes sense or not. I note that this is happening and that it is likely to have some positive effects on the environment locally. That's good. But the government put itself in a difficult situation by promising in the election campaign that they would save Hydro Årdal. Through the chaotic behavior many in the government parties had when Hydro decided to shut down the Valley of År, they created uncertainty and ambiguity about what they promised, and about what they would do. The representative Heidi Sørensen of SV said in the newspaper that it was impossible for the government to change anything about this, because these were international commitments that we could not get away from, while Minister of Industry Eriksen and Prime Minister Stoltenberg wanted Hydro to apply for a derogation in order to extend the operation. Was it then international demands that stopped Hydro from being able to do that, or not? There's such things that we want to record here. What's going on? It is highly uncertain what is the government's policy. It is enough to quote Tor Steinum, information director of Norsk Hydro, who said to the Newspaper on 23 February: ‘One can get the impression that environmental policy is prioritised one day, and that employment policy the next. There are several aspects of the policy around this which we do not think are precisely tidy in relation to long-term clarified framework conditions and steering signals.’ [[...]] There's this Progress Party here wants to pick up, not go back to a time when you ran around with fines to empty the tues, as the representative Klungland indicated. Then I register that the setting, instead of addressing the real problem, only goes to parties that Norway is going to be a precursor country, everything is positive with strange demands. Nevertheless, one says that almost all environmental rules in Norway come from the EU, so there is nothing to worry about being strange. Then there's a shelf for gas power plants and CO2 cleaning. But the problem that the Hydro Årdal case showed is very real. I'm going to use two examples to illustrate that. Specific environmental requirements – yes, we have signed the Kyoto agreement. It requires us to regulate CO2 emissions globally. One can buy and sell allowances and one can make investments in other countries. Nevertheless, the red-green government wants us to have strange demands for CO2 cleaning. It is not a requirement imposed on us in the Kyoto agreement. It's not a requirement that any other country has. The effect is that one does not get new concessions for cleaning in place. Then someone says that the Kårstø plant is built, but Kollsnes and Skogn are not profitable – ergo no one else will be profitable either. It is possible, but as long as one does not allow concessions under the same conditions as Kårstø has, there is a discrimination. Light Energy has said in Stavanger Evening Leaf that as long as CO2 cleaning is required, they will not even consider submitting an application. Mongstad has said that they can find profitability in a gas power plant, but not if CO2 cleaning is required. The tent credit says they can achieve profitability in gas power plants, but they demand that the country cover the cost of CO2 clean-up. Industrikraft Møre has recently said that they can install gas power plants that are profitable by 2008 but without CO2 cleaning. The government's peculiar framework conditions will not allow that to happen. Similarly, we saw that strange framework conditions for the three-processing industry led Norwegian Forest to enter today's business last March and said that if they do not have the same framework conditions in Norway as in the EU, they would have to assess their presence in Norway. No one responded. When Norwegian Forest later moved out of the Union factory, everything was in place, but it was already too late. It happened because of strange framework conditions. The proposals of the Progress Party are good. It addresses good environmental rules. We are in line with the EU and other Western countries with which we compete. The proposals are good. Everyone can vote for them if they want to give a signal to the Government. We are not weakening Norwegian environmental protection policy, but we are taking away symbolism policy, which only hinders Norwegian business. I'm taking up the suggestions here.
ParlaMint-NO_2006-05-30.ana.ud2641e727	The representative Ketil Solvik-Olsen took up the suggestions he referred to.
ParlaMint-NO_2006-05-30.ana.ud2641e730	I fully understand the basic idea of the Progress Party proposal, but at the same time, I think it is important that when we talk about the framework conditions of business, the framework conditions of the competitive sector, we have to see them in a complete whole, the overall framework conditions, which, of course, are crucial to how we are to cope, how we are to create values for distribution to all the benefits we have in order to create to a large extent for the Norwegian population. This is what we need to have in mind, and I am sure that the proposers also have. We have seen trends that Norwegian industry has not been competitive in some areas. We especially saw at the beginning of this millennium that some companies chose to move out of the country and establish themselves in particular. Baltic. It has not always been due to strange environmental requirements, but rather to other economic assumptions that made us less competitive at the beginning of the millennium. Today the situation is different, and in many areas we are very competitive. Of course, we will never be able to compete with production from the East, from China and India, when we compare their conditions with Norwegian pay terms, working conditions, etc. I think in many ways it's just positive that we've got a globalization that can provide opportunities for everyone, not equal opportunities yet, unfortunately, but still opportunities that make some countries that have been and are underdeveloped, now have the opportunity to sell what they can, and prerequisites for producing to the modern part of the world. On the other hand, it is clear to the Right that Norway must be a leading country in the context of environmental policy. There is no country in the world that has more to do with having a high environmental profile. If we're going to forcefully throw at other countries that don't have nearly our standard, we're going to have to have our own path clean in the area by area. We're totally satisfied that we have an ecosystem for all our existence, all our residence and in many ways also for our value creation. It is also important that we have strict requirements and set a standard that allows us to bring with us other countries, either as when we agreed to develop a Kyoto Protocol, or that we choose to look forward to how we will deal with climate policy, or various environmental threats that we have around us. We must be a leading country, a leading nation, in terms of both climate policy, management policy, fisheries policy, etc. If we're going to still be able to live in a safe world in a safe environment, we're going to be able to market ourselves in the way that we like to market internationally, we need a high standard, and that's why we need to set a high standard. Climate policy and environmental threats must first and foremost be tackled in an international context. In brackets, when we still adopt most of the EU’s international and national environmental rules, it is a great pity that Norway cannot be within Europe’s decision-making bodies and affect the standards set there. We also have to see the positive in setting strict standards. Norwegian industry has in many ways succeeded in developing to be environmentally friendly. We see it especially in what is the locomotive in the Norwegian economy, oil and gas industries, where Norwegian standard, Norwegian environmental technology, Norwegian technology in particular, has become a brand exported for tens of billions abroad. We see that this is also an advantage when we look at developments in offshore in other countries. However, it is the overall framework conditions that must be decisive in an economic context. As regards the environment, it is important and necessary that Norway is a leading country.
ParlaMint-NO_2006-05-30.ana.ud2641e749	The Christian People's Party has a goal of Norway becoming a leading environmental nation. Then we have to go ahead and bet on environmentally friendly solutions. We know that climate problems are so huge that they require special solutions. We therefore need a range of measures and extensive use of instruments to reduce climate change emissions. We need to meet our emission obligations through national measures, supplemented by the use of the Kyoto mechanisms. We are obliged to reduce our total greenhouse gas emissions over the five-year period 2008–2012. This is just a first step towards meeting the global climate challenge. There is a need for much greater emission reductions in the longer term, and all countries must contribute to this – Norway and Norwegian industry included. The Christian People's Party is committed to securing jobs in Norway and creating good framework conditions for Norwegian industry. However, it is also important to clarify that environmental requirements do not necessarily threaten and reduce jobs in Norway, as claimed by the Progress Party. It has, as the Christian People's Party sees it, more to do with our compensation of employees, our tax and tax policies and also the overall framework conditions that Norwegian companies meet in relation to their competitors on the international market. The framework conditions for Norwegian industry are currently largely defined by international agreements. It concerns both international trade legislation through the WTO, international environmental agreements, among others. through the UN or agreements in other areas. We know that 80 pst. Norwegian environmental rules come from the EU as a result of the EEA Agreement. EU studies also show that environmental regulation can strengthen the competitiveness of Norwegian enterprises. We have seen that, among other things. within cleaning technologies and waste systems. It is also important to realise that without environmental requirements for industry, it will take longer before industry may itself be striving to develop environmentally friendly technologies and solutions. The Christian People's Party has required CO2 management in the construction of gas power plants in Norway. Many didn't think this was possible. Now we see that Statoil and Shell are betting on CO2 management. This will benefit Norway. We will be in the forefront of developments in environmental technologies, and we must take care of this.
ParlaMint-NO_2006-05-30.ana.ud2641e768	The ambition of the left is that Norway should be an environmental priority country. It is also a goal for the Left that Norway should be an attractive country to operate in. Therefore, good framework conditions for industry and other business are important. In Norway, we have shown that there is no contradiction between leading an environmental policy and having a competitive business. International cooperation is essential for us to achieve more of our environmental objectives. Therefore, high and strict environmental requirements are important in as many countries as possible. About 80 pst. Norwegian environmental rules come from the EU, as a result of the EEA Agreement. This means that in this area we are largely in line with comparable countries. The left wants Norway to show the way by allowing environmental considerations to weigh heavily in more and more areas. This implies that when environmental considerations so warrant, we must be willing to lead and impose requirements even if no equivalent requirements have been imposed in all comparable competing countries. On the contrary, it should be a challenge for us if there are areas where we are based and where other comparable countries impose stricter environmental requirements than us. Such areas exist, and we have to do something about that. A good environmental policy that includes strict environmental requirements for industry is forward-looking and also an advantage for industry. Requirements trigger good solutions and new technologies that make businesses more competitive, not less. Those who meet requirements early, adapt and take advantage of competition over enterprises that meet similar requirements at a later stage. It would be pointless if the Norwegian industry were to pollute more or waste more resources because others might be able to do so. We have to look at environmental requirements as an opportunity and not a problem. The work of cleaning CO2 emissions from gas power plants is a good example of this. CO2 treatment opens up new energy production and is necessary if we are to achieve the objectives of the Kyoto Agreement. However, requirements for CO2 cleaning also contribute to the development of solutions in technology, which can be exported and sold to others. It's good for the environment, and it's good for the industry. As a major exporter of oil and gas, it is natural that Norway helps to develop and make commercial technology that pollutes less than the one we use today. Many have been surprised by the commitment of the Progress Party to good framework conditions for renewable energy production. This exposure has been positive. In the matter we are dealing with now, the Progress Party is back in the position we are waiting for the party to have in the environmental policy. When the lot asks the Government to reduce environmental requirements if they are more stringent than those in other countries, it means more emissions to the detriment of the environment and health. And the Progress Party believes that we should do so in a country that has the world's best economy, record-breaking employment and an industry that's going very well all the time. Let's focus on finding areas of environmental policy where we can get even better, do something about it and thus lead the environmental policy. Then we can be proud of it and let it be an inspiration for other countries that can follow. I'm going to make sure that I print a copy of Klungland's posts today, because that was very good. It linked an overall objective to practical examples. I just hope that this is now representative of Klungland's vision, and not of the views he expressed before the election, when he made himself a spokesman for a large number of gas power concessions without requiring CO2 cleaning.
ParlaMint-NO_2006-05-30.ana.ud2641e799	I would like to stress that the environmental requirements met by Norwegian companies from the authorities are to solve important and serious environmental problems. As shown in my previous statements to the Committee on this matter, the framework conditions for Norwegian industry with regard to environmental requirements are to a large extent defined by international agreements. In Norway, we have high environmental standards, among others. because, as our main trading partner, the EU is increasingly introducing more ambitious environmental rules. When European businesses are subject to equivalent environmental rules, this means that the competitiveness of Norwegian businesses is not impaired by environmental rules. At the same time, it is important for the Government that Norway plays an active role internationally in the development of environmental agreements and legislation. I would like to underline the importance of international cooperation as a key prerequisite for finding good solutions to a number of the serious environmental problems we are facing. Where the EU has not yet developed common harmonised standards, Norway will be able to lay down stricter national requirements. This will be used by the Government whose vulnerable nature, technology development and national or international environmental considerations so warrant. I am pleased that all parties, except the Progress Party, are essentially supporting the environmental policy that the Government wants to pursue in this area. There is therefore no need to review all Norwegian specific requirements, as proposed by the Progress Party. It is important to be aware that Norwegian environmental requirements are set after a broad balance has been made to take account of Norwegian industry. It cannot therefore be established on a general basis that Norwegian environmental requirements lead to a competitive disadvantage for Norwegian industry. The competitiveness of enterprises is made up of very many factors, and in this context it is gratifying that studies from Europe show that environmental regulation can bring competitive benefits and create new, good jobs and technology markets. In other words, environmental regulation can be a good deal. It is important that the challenges facing industry in the environmental field are assessed in a broad societal context. In the major communications on the government's environmental policy and state of the state of the state of the state of the state, the Stortinget is presented with the environmental challenges facing Norway, in which international cooperation the Government will participate, and with what instruments and measures the Government will implement to meet the environmental challenges. In this way, the Government provides the Stortinget with a good briefing on issues of relevance to the Norwegian industry.
ParlaMint-NO_2006-05-30.ana.ud2641e815	It's going to be line change.
ParlaMint-NO_2006-05-30.ana.ud2641e818	I notice that the Council of State says that strict environmental requirements can provide competitive advantages, but the point the Party of Advancement is trying to make in this debate is that it does not always provide competitive advantages. Sometimes we see that strict Norwegian environmental requirements, which we do not find in other countries, and which also have no significant local environmental impact, actually lead to a relocation of industry. It is moving out of Norway and establishing itself in other countries, with the same global environmental emissions. Let's look at Norwegian Forest. Norwegian Forest went into the papers on 3 March 2005. Group director Ketil Lyng told the Finanzavisen that the company is a global company that must assess the presence in Norway if the special arrangements do not change. And – I quote: ‘There will always be a question where investments should be made. It does not speak in favour of Norway in too many contexts to pursue specific policies in the global context.’ The question then is: Was it reasonable for Norway not to include the wood processing industry in the climate quota law? And will the Council of State possibly do something about this that's taken up here?
ParlaMint-NO_2006-05-30.ana.ud2641e830	It is important to stress that we are facing major environmental challenges, and I expect the representative to be able to explain it if it is right, what he says, that we are only engaged in symbolism policies in relation to environmental standards. We are facing environmental challenges of dimensions both in Norway and internationally. For this reason, the requirements we set are precisely anchored in the necessary measures to achieve the objective of, among other things. reducing emissions in relation to the climate problem. The rules we have put in place there are absolutely necessary, and there must be stronger measures to reduce the climate challenges we face.
ParlaMint-NO_2006-05-30.ana.ud2641e837	When we see the energy policy crisis that characterises today's government, which means that the government says no to everything that can help solve the coming energy crisis, mainly in central Norway, but also in the federal state in general, and one chooses to say no to Norwegian gas power stations with an international standard for CO2 management, does the question force itself: will this lead to or not that the Council of State will once during the period say yes to highly polluting mobile gas plants to resolve the acute crisis? I think the representative Gunnar Kvassheim said it quite well in his post: it is pointless that Norway can contaminate because others do. It looks like the government's going to be in that situation.
ParlaMint-NO_2006-05-30.ana.ud2641e847	I'm going to assure the Storting that once the Government has concluded on action to address the challenges in Central Norway, the Stortinget will be presented with its conclusions. But what I want to say is that this government has led an offensive climate policy for the first half of the year. We have taken a good step in the right direction to meet the commitments we have under the Kyoto Protocol, and we have launched measures that will have a major impact on Norwegian climate policy. This applies in relation to CO2 management, to the sector-wide climate plans, and that is what we are now doing in the field of biofuels. We are in the process of meeting our international commitments under the Kyoto Protocol through national measures. So I'm going to make sure we're well on our way to achieving our climate goals.
ParlaMint-NO_2006-05-30.ana.ud2641e857	I am largely behind the views expressed by the Council of State in its statement, which is also reflected in the position where the parties of government and the Left stand together. I want to link a question to what the last replicator raised, namely the possibility of using mobile gas power plants, which the government parties obviously keep open in relation to the situation in Middle Norway. Does the Minister for the Environment see that any use of mobile gas power plants will complicate the achievement of our Kyoto commitments? And does the Council see that Norway, with the assumptions we have in terms of energy production, if we used these highly polluting gas power stations, which have low efficiency, would send signals to other countries that are different from those both the Council of State and the signatory weights in our posts, namely that we should lead?
ParlaMint-NO_2006-05-30.ana.ud2641e864	I can assure the representative Kvassheim that I see all the problems related to the use of mobile gas power plants, both the pollution problem and the fact that it is not very effective, at least as we know about the gas power plants today. It is clear that all the measures that one might imagine releasing more than we have thought will lead us in the wrong direction. Therefore, it is not desirable to give priority to mobile gas power plants. Now there are many balances to be made, so the Government has not drawn the conclusions to be drawn on the measures to be taken in relation to the power situation in Central Norway. We'll get back to Stortinget with that.
ParlaMint-NO_2006-05-30.ana.ud2641e873	The cord shift is over. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2006-05-30.ana.ud2641e878	The framework conditions for industry are important. Predictable framework conditions are important, and then perhaps in the first phase the economic framework conditions. Similarly, power prices are important. It is also important how a person processes and uses other natural resources, such as: the gas, as the industry can make more use of it. However, it is clear that we cannot help to facilitate industry by saying no to environmental requirements and also to specific environmental requirements in Norway. In fact, we are not unreasonable in this country when we make demands on the industry. In fact, there are quite thorough, factual and sober assessments of the requirements that are being set. There is no unreasonableness behind them. We get technology through the requirements that are set, and we get overall a better environment. I myself come from Grenland, which is a good example of the fact that environmental requirements do not provide the uncertainty that the Progress Party claims, among other things. by means of the proposal. It actually brings good environmental benefits, but also significant economic benefits to industry. I recommend at the strongest and warmest Ketil Solvik-Olsen to take a trip to Grenland and visit industry and hear what industry itself says, in the area where one has agreed environmental requirements with also making money, while at the same time ensuring that the residents are reasonably well. So Ketil Solvik-Olsen says that he wants to take a settlement with the symbol policy. But that is not what the Progress Party is doing through the proposal. On the contrary, they once again highlight the effects of symbolism and use Hydro and Søderbergline in Årdal as an example. Here, Hydro is offered technology from Elektem on the Lista, which could allow them to operate with Søderberg technology in a simple and straightforward way within the environmental obligations that exist. But Hydro has said no. Then the Norwegian Forest is brought out as the second example, and it is referred to Union. In fact, as a company in the Norwegian Forest Group, the Union has never paid a CO2 tax. It's actually wrong what the representative of Solvik-Olsen claims. Then he says it's about the framework conditions and the situation for Norwegian Forest. I want to point out what Oksum said, and he emphasised it in the case of the closure of the Union in Skien, that this is not about the framework conditions of the authorities, but about a market that they would govern alone. So there's a direct wrong use of quotes and a direct wrong angle in relation to what's being proposed. So this is not a proposal that takes account of symbolism policy, but a proposal that on the contrary reinforces it. Actually, that's what this is all about. It is economic predictability, exploitation of natural resources and active authorities that contribute to industry and industrial development.
ParlaMint-NO_2006-05-30.ana.ud2641e896	The representative of Solvik-Olsen will answer for himself, but I would like to join Telemark and the industry on behalf of the Progress Party. We can even visit the Union – no, we cannot, because the Union was not saved, as the Government promised. However, I am going to visit the industry in the sea in the next few months. The industry in the sea is very busy with access to power, and the government is very busy protecting the only clean source of power that can ensure the industry in the sea of the sea access power, that is, the weaver. We have strict environmental requirements in Norway, and worse than that, but I want to draw a parallel. So we have something called CO2 tax in Norway. We've had that for a few years. It has had little or no effect on the environment. But then we have a SO2 fund, a sulphur fund that industry has, the environmental fund of industry. It's had a great effect. Emissions of SO2 from industry in Norway have been greatly reduced, as the best and most effective measures have been implemented through the market mechanisms. The load on each holding has been limited on the other hand. So we're going to reduce NOx emissions from the Norwegian industry. And what do you do? Well, then you take jagu – excuse me, President – then you take and copy the fee that has not worked, namely the CO2 tax, and make a NOx tax, instead of copying what has worked, namely the SO2 fund. A NOx fee will primarily be a fiscal charge to the State. It has to be set very, very high. The Norwegian industry is aware of this, the levy must be very high if it is to lead to investment in order to reduce emissions. There are two ways the industry can reduce emissions of NOx. One is to move the industry to Dubai and China, and the other is to make these investments. But then the fee must be very high. Then I will challenge the government parties: why not create a NOx fund instead? In contrast to the NOx tax, it will lead to less burdens for industry and it will be better for the environment. But then the question is, What is the Government most concerned about the introduction of the NOx tax? Is it getting more money in the treasury, or is it making the environment better?
ParlaMint-NO_2006-05-30.ana.ud2641e943	There's a certain tendency to demonize the party's environmental views at any time, instead of dealing with what we're actually saying. We have shown challenges posed by environmental policy by the introduction of peculiar schemes of international environmental considerations, in areas where there is no specific environmental impact to take into account locally. They are only introduced due to e.g.: climate policy. Then I've shown the challenges that Norwegian Forest raised, where they say that strange demands, which make them not part of the woodworking industry, will affect their investment decision in a global market. In the case of gas power plants, we know that requirements for CO2 cleaning at gas power plants from day 1 are a strange requirement, and we know that there are enough investors – Mongstad, Lyse, Industriekraft Møre – to take three concrete examples, which say they can get profitable in this, but they cannot get profitable if they have to take all or much of the cost of CO2 cleaning. By not accepting Norwegian Forest's group director or Hydro Årdal's information director as a truth witness to what the groups mean, I will refer to Rolf Terje Klungland, the representative of the Workers' Party, who said that if CO2 cleaning is required, it will mean that the aluminium industry is moving out, and it will cost billions for Norwegian business. He said that in the evening post last February, and then I think he actually means it, but it is possible that he will also be excluded from them one can quote in a debate like this. Let me underline again: there are no strange demands in all areas. It does not claim to be the Progress Party. However, it is sad that we are trying to deny that in some areas there are indeed strange environmental requirements that have international significance, but not local environmental significance, environmental requirements that create negative effects, and thus may be burdensome for whether or not an enterprise is shut down, and not least for whether or not they choose not to invest again. That's why the realities we're concerned with, so they're the strange parts of environmental legislation, not whether they're strict or not. I can have the world's most stringent environmental rules, but I'm going to know that the consequences of those rules are not that Norwegian industry is just moving out of the country, and that similar production is being created in other parts of the world, because then one has not achieved anything environmental, and one has also had a very bad industrial policy. That's what we've been looking at in some of these areas that have been taken up. It is Hydro Årdal himself who says that the government's policy in this area has been unforeseeable, and there are such things we are trying to fix when we promote this proposal. The Kyoto agreement is an example of a potential for international framework conditions, where the framework itself is not so bad. It does not cover enough countries for the Progress Party to think it is good, but it is positive that it opens up the use of flexible mechanisms between countries to implement measures where they are most useful in terms of costs. But even there the government has said no, and introduces strange rules on e.g. gas power plants.
ParlaMint-NO_2006-05-30.ana.ud2641e962	Several have not asked for the floor on case No. 2nd@item: inlistbox [[Fooding, see page 2456]]
ParlaMint-NO_2006-05-30.ana.ud2641e978	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines after the intervention of the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2006-05-30.ana.ud2641e987	The Progress Party has put forward a proposal asking the Government to open up the possibility for all municipalities in the country to apply for participation in attempts at a new management system for outdoor motorcycling until new legislation has entered into force. The Committee has dealt with this matter in the following way: we point out that the motor vehicle test initially covered eight municipalities and was started in 2000. The experiment has been completed and the Norwegian Institute for Natural Research has submitted its evaluation report. The Committee points out that the experience gained from the experiment will be drawn further into the motor vehicle and society project. The majority of the Committee, i.e. all other than the Progress Party, it does not consider that it is necessary to involve several municipalities in the pilot scheme in order to have a good enough professional basis to assess whether and whether a new management model should be chosen for the motorcycling policy. In addition, the majority refers to the letter attached to the recommendation by the Minister for the Environment, where the Ministry of the Environment stresses that the proposal of the Progress Party also has a general dispensation from the Motor Traffic Act. According to the Ministry’s assessment, this does not promote administrative development and is therefore assumed to be outside the scope of the Test Act, as stated. test law § 1. In addition, the testing, if any, must be carried out over a sufficient period of time. One effect may be that ongoing legislative work is delayed, as the results of the experiment should be evaluated and taken into account for the legal work. This is not desirable. In view of this, it is not appropriate to extend the existing testing scheme to all the municipalities of the country, at the discretion of the Ministry. That is why a majority, consisting of all but the Progress Party, has decided to reject the proposal.
