ParlaMint-NO_2006-05-24.ana.ud2089e24	The representative, Ms Eriksen, will make a private proposal.
ParlaMint-NO_2006-05-24.ana.ud2089e875	I want to start by saying that the industry's framework conditions are affected by a number of conditions. The charges, which are my responsibility, are of course a central element, but in addition to them, the general level of the oil price and not least the level of wages in Norway will have an impact on the transport industry, to which Mr Bredvold specifically refers in his question. It may be particularly true when it comes to wage levels that these East European competitors of Norwegian truck industries have different rules. I want to concentrate my response on the most relevant charges for the vehicles picked up by the representative. The fees specifically applicable to this industry shall take account of a number of considerations. Firstly, the annual weight tax payable on all vehicles above 7,5 tonnes. This charge is intended to offset the costs incurred by the use and wear on the road network to society. The fee is environmentally differentiated on the basis of emissions requirements under the EURO classification. The car diesel tax is differentiated according to the sulphur content. Several other European countries also have a charge of the same size as the Norwegian one. Autodiesel is also subject to a CO2 tax to praise the greenhouse gas emissions CO2. The framework conditions of the transport industry have been assessed several times in relation to these charges and the purposes for which they are due. For example, in the revised national budget in 2000, there were: evidence that a main justification for the fuel charges is that users of vehicles are to be charged the costs they incur to society. External costs are disadvantages that each individual imposes on others, but which one does not have the economic motive to take account of. Having regard to Report No, 464/1999 by the Transport Economic Institute, it was pointed out that the external costs of freight were marked higher than the charges paid and that the under-coverage increases by the weight of the vehicle. This was also the case for driving in scattered areas, although of course there are large local differences. Having regard to an ECON 2003 report, the revised national budget 2005 referred to the fact that the average external costs of road freight transport by diesel vehicle are not covered by the taxes on motor diesel. The government is now working on a review of car charges, and we are aiming to propose a conversion into the 2007 budget. The charges that are central to the truck industry will be included in this assessment.
ParlaMint-NO_2006-05-24.ana.ud2089e898	I thank the Council of State for the answer, which was probably not a promise of better times for the truck industry, at least not as I assess the answer. Hedmark may be the country's country's most dependent on a functioning truck industry. Without the possibility of sea or air transport, only the alternative is the railway and road, and with a very scattered settlement it goes without saying that the truck forms the major part of the transport. In particular, this applies to the transport of timber and, of course, agricultural-related products. Otherwise, everyone in the state who lives by transporting goods and who produces goods is dependent on the truck. Therefore, we are so dependent on the conditions under which those who drive a truck have a decent salary in relation to investment and working time. Does the Council of State consider that some states are highly dependent on the acceptability of this industry’s framework? This is, of course, about good rural policy with and for living people.
ParlaMint-NO_2006-05-24.ana.ud2089e907	I fully agree with the representative of Bredvold that road freight transport has a slightly different meaning in different states. The alternatives, on which the representative is involved, may also vary considerably in relation to the location of the infrastructure, whether they are rail options or air or water transport. What is important for me to stress is that there are several reasons to take into account when we look at the framework conditions to which the truck industry or the transport sector is at all. Because it also has a significant impact on the nature of emissions coming from this industry, as well as traffic itself – if we ignore emissions – there are several considerations to be considered against each other. But we are now going to have a complete review of the car charges, where, of course, the regional policy assessments of the proposals we are making will also come to light. [[President clubs]]
ParlaMint-NO_2006-05-24.ana.ud2089e914	I thank the Council once again for an answer. It is clear that with today’s taxes, and with the poor profitability, we have a relatively old truck park in Norway. It was Eastern Europe that had the worst park before, but they now have much newer and better cars than us. If we can't renew our car fleet, we can't get cars that use less fuel, which are more efficient, i.e. with greater capacity, better working environment, etc., etc. These include: What this is all about. In Hedmark, the lorry industry is the industry where there is the second largest demand for more workers. There are 100 people who want to drive a truck. There is only one profession that you want more, and that's the timber industry, with 150. But it is uncertain to start in the truck industry, and therefore not so many want to start in it, unfortunately. With a notice of 15 kroner for fuel, for example, it is clear that then you are skeptical, and I do not overlook the fact that we will have such an action as we had six years ago, when the truck industry said that it is enough. And that the Council of States must take over.
ParlaMint-NO_2006-05-24.ana.ud2089e923	The point the representative of Bredvold has, also regarding the renewal of trucks within the industry, are moments that I am going to include in the evaluation of the total car charges. But I just want to repeat that the balance in relation to the charges and framework conditions here has to be based on several considerations.
ParlaMint-NO_2006-05-24.ana.ud2089e932	This question, from the representative Torbjørn Hansen to the Minister for Food and Trade, will be raised by the representative Børge Brende.
ParlaMint-NO_2006-05-24.ana.ud2089e935	The question is addressed to the Minister for Economic Affairs and Trade: ‘The Minister of Economic Affairs has promised a more active industrial policy in the event of difficult industrial change in Norway. The Bjälvfossen in Hardanger is facing possible closure and loss of over 100 jobs. What initiatives will the Council of State take towards the enterprise, and when has the Council of State decided to visit Ålvik and Bjälvfossen to take a closer look at the issues and explain the Government’s plans?’
ParlaMint-NO_2006-05-24.ana.ud2089e944	The Government will pursue an active industrial policy based on the Soria Moria Declaration. We are already doing this well. A stable krone price is important for the export-oriented industry, but the strengthening of the krone price that we have witnessed recently poses challenges for this part of business. It is therefore important that the Government continues to contribute to low interest rates and a stable exchange rate through sound budgetary policies. The contracts of the power-intensive industry under government terms are mainly due to expire until 2011. In recent years, the market price of power in Norway has been at a higher level than in the past, but still lower than on the continent. This is a challenge for the power-intensive industry that competes in a global market. The Soria Moria Declaration states that the Government will meet the power challenge. We are in the process of doing this. The Ministry of Oil and Energy shall chair an inter-ministerial working group to examine the possibilities for finding schemes for this industry within the framework of the EEA Agreement. This is an extensive work in which, among other things: developments in the EU must be closely monitored. Therefore it is necessary to spend some time on this work. It is not possible today to issue guarantees as to when any arrangements will fall into place. However, I hope it will be possible to arrive at a good solution by the end of this year. I am aware that the activities of Elkem Bjälvfossen are under assessment and that during the summer or early autumn 2006 the Board will take a decision that may have significant manpower implications. Per. today this decision has not been taken. Of course, I will follow closely the further development of Bjälvfossen in Ålvik. I would like to stress that the Government is working purposefully and systematically both to ensure competitive framework conditions for the power-intensive industry in the future and to increase domestic production of power. Therefore, it is my call to Elkem Bjälvfossen that they are now awaiting any decisions on manning reductions until we have been given the necessary clarifications in the work on the future framework conditions for the power-intensive industry. I can also inform you that State Secretary Anita Useth of the Ministry of Oil and Energy will visit Ålvik on Monday next week to address the challenges of Elkem Bjälvfossen.
ParlaMint-NO_2006-05-24.ana.ud2089e963	At first I have to say that I think there are many people at the Bjälvfossen who will be very disappointed if the answer to the Minister of Industry is perceived so that he will not come there and take a closer look at this. So I'd like the Minister of Industry to confirm that he wants to go to this community to discuss what's in the Council of State toolbox. If that's how the government doesn't have any more tools to set up with, I think a lot of people will notice it. Then I understand that when he was visiting Telemark the last day, he was unwilling to be shown in front of a toolbox. We see that things have not gone in the right direction. The crown course is on its way up. The councils are worried. What will the government do to bring down the crown price? We also see that the current price is now much higher than before. It has risen sharply in the last six months. What will the Council of State do with this? That is so far no concrete answer. And creating an industrial power regime, which was said to be very easy in the election campaign, now takes so much time that many jobs are lost.
ParlaMint-NO_2006-05-24.ana.ud2089e972	Let me first say that we have just left behind four years with a Right-dominated government. This was a period of stagnant and deafening inaction in securing competitive conditions for the power-intensive industry. Former oil and energy minister Thorhild Widvey, the representative of the Brende party trap, put an end to the work of establishing a new industrial power regime. This failure is an important part of the basis for uncertainty such as: the employees of Elkem Bjälvfossen now experience. In the Question Time, representatives are asking questions to the Government, but it is tempting to ask the representative Burnde whether he was satisfied with the efforts of his own government during the period. That is what has formed the basis for the uncertainty we have today in many ways, in terms of both price of power and supply of power.
ParlaMint-NO_2006-05-24.ana.ud2089e979	With all due respect, I understand that Minister of Industry Odd Eriksen needs to ask questions to the opposition, with as much unanswered answers as he himself has to the opposition. I would like to answer the question put to me by the Council of State Eriksen, provided that the Council of State then also answers the questions I ask as a representative. Yes, I was pleased with the efforts of the government that I was in, doing to the business community. We've never seen so many new businesses become established in a year. We also saw that industrial production took on board. But then to the questions: will the Minister of Industry, when they really want it in Bjälvfossen, go and visit them to sit down and discuss the future of 100 jobs? I want the Minister of Industry to answer this, and to go there in a short time. When does the industrial power regime get in place? So it was said in the election campaign was the easiest thing, but now it seems to be very, very complicated – something we also warned against. As I said, I hope that the Council of State will answer these two questions and not just ask questions to the opposition.
ParlaMint-NO_2006-05-24.ana.ud2089e988	In fact, the previous government did not warn against the work of the industrial power regime. They dropped out of the work on the industrial power regime. We have taken up work on the industrial power regime. We work systematically to get this in place under the EEA Agreement. At the same time, we are now actively working to facilitate increased power generation in the country, which is also essential for maintaining production in the power-intensive industry. In the time I have been Minister of Industry, I have visited a number of communities with a vulnerable business. I mention Meråker as one example, which I visited quickly, but as the former Minister of Industry did not see the time to visit despite repeated invitations. If I get an invitation from Bjälvfossen, I will of course visit Bjälvfossen within the time frame I have. But I repeat that the next Monday, the State Secretary of the Ministry of Oil and Energy will visit Bjälvfossen.
ParlaMint-NO_2006-05-24.ana.ud2089e997	So we go to question 15.
ParlaMint-NO_2006-05-24.ana.ud2089e1004	This question, from the representative of Gunn Berit Gjerde to the Minister for Fisheries and Coastal Affairs, will be answered by the Minister for Food and Trade on behalf of the Minister for Fisheries and Coastal Affairs.
ParlaMint-NO_2006-05-24.ana.ud2089e1007	‘The fishing boatmasters have major problems recruiting qualified crews, especially co-pilots and engineers. This is due both to the high level of activity in the offshore industry and to the distortion of competition in the net pay system. Fishing boat fleets are waiting for additional problems and are continuing to recruit foreign crews, which will be unfortunate for the fishing industry as an important contributor to coastal settlement. What will the Council of State do with the difficult recruitment situation in which the fishing boat industry is now coming?’
ParlaMint-NO_2006-05-24.ana.ud2089e1014	The Reimbursement Scheme for Seafarers was introduced as a temporary scheme in 1993. A more comprehensive reimbursement scheme was established in 1994. Various changes have been made over the years. The net pay system for offshore vessels in NOR was introduced with effect from 1 July 2003. The purpose of subsidy schemes for employment of Norwegian seafarers is to facilitate maritime activities and prevent the deflagration of jobs and activities. The grant shall ensure Norwegian maritime competence and recruitment of Norwegian seafarers and shall also contribute to the granting to Norwegian shipping companies of competitive framework conditions in relation to the conditions in other countries. There has been broad political agreement on the arrangements among changing governments and magnification. The arrangements do not apply to fishing vessels. There is no doubt that the fishing fleet is an important part of Norway’s maritime competence, and that the fishing fleet competes with other crew vessels, not least with regard to competence. However, a number of issues differ for the fishing fleet and for shipping. This applies both in relation to national and international framework conditions. The Norwegian fishing fleet has been granted access to fishing on Norwegian national resources and thus has a protected nutritional basis. Shipping operates in an open, global market with high international competition. Thus, the framework conditions are initially very different. International legislation, in the same way as the legislation in Norway, suggests that these are separate industries. The EU guidelines on State aid are specific with regard to aid to the shipbuilding and shipbuilding industry. It is therefore necessary to assess the framework conditions and support for the fishing industry on a different basis than the framework conditions and support for the other industries. In particular, account must be taken of the fact that aid for fisheries may lead to compensatory levies on fish products. It is therefore in particular the general State aid rules that will be the basis for comparison of regulatory developments in this area in relation to the EU. On the other hand, there is a large proportion of the labour force on which the fishing fleet and other shipping compete. I can see that. I want to focus on recruiting and developing young people for the industry. I have also registered the wish to assess the size of the fishing deduction in the light of the competitive situation. I will work for a sustainable and profitable fishing industry, which will be competitive and not least attractive both now and in the future.
ParlaMint-NO_2006-05-24.ana.ud2089e1031	I hear now that it is said that there is a great difference between a fishing boat and another vessel competing with the rest of the world. That's right. The fishing boat boat boat has a protected nutrient base. Nevertheless, we are in the situation that the fishing boat owners now have to recruit foreign fishermen. First of all, we don't get the knowledge that one of the fishing boats depends on doing a good fishing and having a safe fishing for the crew. And secondly, people are not going to live in houses along our coast. Fishing industry, alongside agriculture, is one of the most important industries we have to maintain the busiest in our rural areas. I also hear that there is talk of recruiting young people to the industry, and that you have an honest willingness to do something about it. Is there any concrete plan to get a defrosting that allows the fishing boat owners who are now standing without a crew to get a crew?
ParlaMint-NO_2006-05-24.ana.ud2089e1038	It is important not to over-dramatise the situation in the fishing industry. It is probably not the case that the fishing fleet is at berth because you do not have crew on board the boats. However, a number of industries are now knocking on the door to get under the current net pay system. What is the big challenge is the general availability of labour in the market. Low unemployment rates in the market – by April the unemployment rate was 2.8 pst. – contributes to the pressure of this industry as regards the availability of skilled labour. Therefore, one of the main areas of activity of this government is to increase the availability of skilled labour to the business community. We are now working on a big message that will be submitted for the autumn, where increased labour supply will be in focus.
ParlaMint-NO_2006-05-24.ana.ud2089e1047	It is warned against overdramatizing, and said that there are no boats at berth. It probably doesn't do it today. But I would like to remind you that 80 offshore vessels are either under construction or planned to be built. When they come into the market, there will be a sub-capacity of novices and engineers. I don't think the Minister of Industry can ignore that either. Now I understand that it is being worked with plans to increase the capacity of those who can work on board fishing boats. Would it be possible for those who run guided schools and engineer schools to have more places to study and train these places?
ParlaMint-NO_2006-05-24.ana.ud2089e1054	When I now also say that we should not exaggerate, we should nevertheless assume that the industry is facing significant challenges, and that it must be worked purposefully to ensure the recruitment of this fleet. The government has also said that this is an industry that needs to be invested in, and that here we have a special advantage for just succeeding. During the autumn, the government will present a key message addressing labour, well-being and inclusion precisely with a view to increasing access to labour. We know that there are a number of people in Norwegian society who are out of work, but who are in a so-called pre-employment age, and it is important to give them access to skills that enable them to enter industries where there is a need for them.
ParlaMint-NO_2006-05-24.ana.ud2089e1063	So we go back to question 6.
ParlaMint-NO_2006-05-24.ana.ud2089e1070	First, I would like to be allowed to make a mistake. It says in the question that it is signed who has shown the car seven times. That's not right. It is a car dealer who had to show the car seven times at the traffic station. I allow myself to ask the Minister for Transport the following questions – in the correct version: ‘A car dealer had to show the car seven times at the traffic station. This is just one example in addition to the series of other suggestions that testify to the fact that traffic stations and the State Road Service are dealing with a regulatory and regulatory framework that is impossible to understand. Many people who want to register cars experience major problems in getting this done in a simple and effective way. If this is due to rigid and unclear legislation, is the State Council satisfied with the situation and what will be done to simplify and streamline the procedures at the traffic station?’
ParlaMint-NO_2006-05-24.ana.ud2089e1081	The Code for the Approval and Registration of Driving Licences is complicated, especially due to international harmonisation and international bindings. The authorisation shall ensure that the requirements for road safety and the environment are met, but also that proper charges are established. Of course, the state's road authority wants to meet its customer's needs as far as it can be done within the scope of security, equal management and traceability in the administration. Continuous efforts are being made to streamline and simplify the procedures for the curative approvals and registrations. As an example of this, I mention that the car dealers can now themselves register type-approved cars, without control at the traffic station. They may also register all vehicles approved in advance and carry out re-registrations. Most vehicles to be registered in Norway have a European type-approval. This means that they are initially also approved for registration in Norway, and that a possible demonstration of verification is only to establish identity and to establish correct technical data as a basis for the correct classification of fees. For used imported vehicles, and for individual vehicles imported without European type-approval, the need for control may be more extensive. However, it is only in special cases that a running device must be shown multiple times in order to be approved. Most people will be approved by a single display of control. The fact that the negotiator's running has been shown seven times must be said to be an entirely abnormal case. No more knowledge of the specific case, of course, I cannot comment on it in any concrete way. The Road Service of the State assesses additional specialisation of the approval service for vehicles requiring specific competence and/or low volume. This applies to conversions, constructions, hobby projects, etc., which in many cases are very complex and thus also require longer time to deal with them. The state road system has recently had capacity problems in some places. I am informed that the State Road Service has taken action to remedy this. The government has further proposed a further five million. kr in the revised national budget for extended opening time in 2007 to reduce waiting time.
ParlaMint-NO_2006-05-24.ana.ud2089e1096	I thank the Council of State for the answer. I just want to give an example of what this is like: the Road Directorate has given a clear message to the traffic stations that they are going to treat the same cars in the same way. Then it is quite interesting to see that when you register a gas car at two different traffic stations, it keeps submitting one form at one traffic station, while at another traffic station only a few miles away you have to submit a whole bunch of forms for the approval of the exact same car type. It seems strange that you actually depend on how the individual car surveillance and the individual traffic station handle things. Does the Council of State see that these are conditions that should be cleaned up, so that there will be equality throughout the country when dealing with the legislation that exists for these types of cars?
ParlaMint-NO_2006-05-24.ana.ud2089e1105	It has in recent times, among other things. be highly focused on equal handling and quality in connection with the approval of running gear. Of course, users should expect them to be treated equally, regardless of where they turn. What's taken up here as examples, I hope of course I'm not expanded. However, I will take this matter with me to the Road Directorate and ask them to be safe – by sending a clear signal to the traffic stations, but also, of course, by further focus on training – that a person should have a similar practice at all traffic stations. We are also in the process of developing a new system called Au2sys. Within it there is a goal to get as much of the legislation as possible into one system, so that one can get a computer system that will make it easier to ensure non-discrimination, which we all of course want.
ParlaMint-NO_2006-05-24.ana.ud2089e1114	I also thank you for this answer, and I look forward to something happening in this area, hopefully. Many people now also feel that the defect is going out because you have to wait for the road station and do not get an hour. Will the Council of State see what she can do to help also in that situation, and make sure that it does not continue to be so? In addition, the Council of State is probably also aware that a system is now in place at the traffic stations and at the supervision of the car, which is such that when you have to check a car, an inspector must check that the inspector has checked the car correctly. This is an entirely unsustainable situation in relation to the confidence of the employees who are set to do this job. What will the Council of State do to correct this pointless scheme, where another supervisor is controlled, that it has actually done the job correctly? It is clear that there is a regulatory problem.
ParlaMint-NO_2006-05-24.ana.ud2089e1123	Under the previous government, the State Road Service implemented changes to adapt the structure to new cost frameworks and also to adapt the introduction of new technologies. It has been shown that users don't use the Internet to the extent that they thought they might change them. It also has other elements. This has led to longer queues and waiting times that are totally unacceptable, especially in the central eastern region. I have asked the Directorate of Road to instruct the regions to take immediate action to improve service provision and reduce waiting times at traffic stations. In concrete terms, non-hourly checks should be made more common – so-called drop-in – and more accessible, as well as increasing flexibility and efficiency in order to carry out simple tasks where the volume is large. It may be in connection with the simple tasks that people experience having to wait a long time. With this background, we gave a 5 million. kr in the revised national budget, so that we can increase the scope of this work.
ParlaMint-NO_2006-05-24.ana.ud2089e1134	I allow myself to ask the Minister for Transport the following questions: ‘International experience suggests that simple and transparent ticketing and tariff systems lead to increased use of public transport. It helps make travelling easier for the audience, it's time-saving and public friendly. The Bondevik II administration took a lot of time to implement so-called electronic ticketing. How will the new government follow up the important work?’
ParlaMint-NO_2006-05-24.ana.ud2089e1143	Simple and transparent ticketing systems are important to make people choose to travel collectively. Good work has been done both by the previous government and by many county councils to come up with a system to give passengers a seamless offer when travelling across borders — often borders. With effect from 1 April 2006, we have adopted a standard interface in new electronic ticketing systems. The standard ensures that county municipalities and companies can cooperate on tickets and tariffs. The municipalities and companies are now required to use electronic ticketing systems. The new standard makes this possible, and in the conversations I have with the county councils, I want to encourage an intensification of this work. I know that there is a very good crowd in many municipalities.
ParlaMint-NO_2006-05-24.ana.ud2089e1152	I thank the Council of State for the answer. Cash payment delays daily public transport in people's busy everyday lives. I am a collective user myself and witness to it every day. Large bills are to be exchanged, and passengers are to be in line, which seems to be both old-fashioned and heavy-duty in our electronic world. In Oslo and Akershus, this is a very big problem. It's not going to work. Can the Council of State do anything to help Oslo and Akershus do this?
ParlaMint-NO_2006-05-24.ana.ud2089e1161	We have a division of labour which means that responsibility for public transport has been added to the counties. I would be careful to intervene in the mandate of the county councils to develop good systems in this area. We have regular meetings with the county councils to discuss both public transport and other important issues. In such a meeting, I would like to discuss this issue too, but instructing Oslo and Akershus to develop a system that I would be taking a step too far to intervene in an area of responsibility that they explicitly have.
ParlaMint-NO_2006-05-24.ana.ud2089e1168	I thank you again for the answer. Combined public transport, SKØ, was established in January 2004. This is a very important body for addressing the collective challenges in the Eastern region and will also be involved in electronic ticketing. My first follow-up question is: does the Minister for Transport agree with that? And the second is, how active she will be in this important body for, among other things. Oslo and Akershus?
ParlaMint-NO_2006-05-24.ana.ud2089e1177	We have just had a meeting in SKØ that was led by my State Secretary, because I was out traveling. It was meant that I would rent the meeting, but I had to change that plan. At that meeting, it appeared that you might need to discuss how this work should be done. One certainly had good intentions when starting this body, but it may not have been properly processed in relation to the content of the meeting. So what we're going to do now is we're going to sit down and think about how we're going to use this body, so that it's really going to be an agency for action and not just a body where we're kind of discussing problem settings, and maybe it's not going to be that much longer. The concrete results so far when it comes to SKØ may not be as good as you had hoped when you started this body, but I see that there is an important meeting place. I also see that it is important that we get specific matters and concrete actions out of the meetings that are coming, and I will follow them up in the future.
ParlaMint-NO_2006-05-24.ana.ud2089e1190	I allow myself to ask the following questions to the Minister of Knowledge: ‘The Legislature has once again underlined the importance of physical activity in schools to combat obesity and other health problems caused by inactivity. The project Physical activity and meals in school from 2004 have arranged for more daily physical activity in school, and the Knowledge promise opens up a more conscious focus on physical activity even outside the physical exercise profession. What will the Council of State do to ensure that this important work is followed up at each school?’
ParlaMint-NO_2006-05-24.ana.ud2089e1199	Physical activity is a prerequisite for good learning and well-being, and also counteracts obesity and other health problems, as Gundersen's representative says. Research shows that increased focus on physical activity at school is also likely to lead to more physical activity during leisure time. This effect seems to be greatest for students from lower social layers. Physical activity in school can thus also have a social smoothing effect. The research report by NOVA of Mjaavatn and Skisland in 2004 also states that the mental health of the student may be improved by more physical activity. In the promise of knowledge, introduced from the harvest, physical exercise is a priority subject. It is only Norwegian and math that have several hours in the subject and hour distribution. The new curriculum of the knowledge lift in body training, with clear objectives of competence, makes clear demands on the school about the student's benefits from the training. The curricula will thus ensure that physical activity is strengthened at each school and will improve the quality of the physical exercise. The Ministry’s strategy ‘Development Competence – Strategy for the Development of Competence in Initial Training 2005-2008’ employs 375 million. in 2006 for development of competences in priority areas. Physical activity is one of the areas of activity of the strategy. The Directorate of Education has established a network for the development of competences in physical activity coordinated by the College of Telemark and the Norwegian School of Sports. They have been given the task of developing an offer of empowerment in this area. The offer shall be developed in cooperation with the field of practice and made available throughout the country from the autumn of 2006. The Network shall also cooperate with networks for other disciplines, focusing on how training in individual disciplines can be combined with physical activity, such as: in science and mathematics. It's important here to stress that physical activity in school is more than the hours spent in subject body training. The ‘Physical activity and meals in school’ project has been launched by the Ministry of Knowledge and the Ministry of Health and Welfare. Both have committed three million. SEK every three years, a total of 18 million. kr for the period 2004-2006. For the period 2004–2005, 200 primary schools participated in all counties. In 2005-2006, approximately 300 primary and 18 secondary schools. The aim of the project is to stimulate as many schools as possible to facilitate increased physical activity and meals in school according to local needs, and to identify and disseminate information on some projects that have shown good results. For the 2006–07 school year, more attention will be paid to those schools that stand out as model schools, as well as to the dissemination of good models of inspiration and follow-up for all schools. Furthermore, the Education Directorate has developed a strategy for the learning environment in the initial training for 2005–08. The strategy shall contribute to an overall approach that ensures all aspects of the learning environment of students. One area of action includes, inter alia: physical activity. Annual action plans shall be drawn up in each area of action. Physical activity is a prerequisite for the development of motor skills and shall be adapted to all school students every day of the week. In the Soria Moria Declaration, the Government adds to a further increase in the number of hours in primary school where strengthening of Norwegian, mathematics and English, teaching aids and physical activity every day is a main priority. This would be a further strengthening of physical activity at the stage of childhood in addition to the measures already in place.
ParlaMint-NO_2006-05-24.ana.ud2089e1218	I thank you for the answer, and I understand that you have focused on the area. I'm asking about this because it's going to be an area that is extremely important to keep in focus, and it might be a question that should be addressed to several ministers. Children and young people no longer play the physical form that you were used to. I have some experience of both coaching and leadership in sports, and there is a huge spread of children and young people today compared to the past. The risk of losing the group that is already defined as inactive, up to 15-20 pst. by young people. In fact, there are so many, so it's dramatic. This is true of general public diseases, such as poor mental health, cardiovascular diseases, diabetes and the whole spectrum. The most important thing when a preventer is maybe to practice good physical activities in school and teach people to be happy in activity. I want to ask the Minister of Knowledge if he has thoughts about new, alternative models, for example. cooperation with the voluntary sector. Here I think you need quite a lot of innovation to get to the message.
ParlaMint-NO_2006-05-24.ana.ud2089e1227	I agree with the approach taken by the representative Gundersen, and as my comprehensive response showed, there are many different projects going on in school. I am positive that schools locally – e.g. together with local teams and associations — find ways to act more at school. There's nothing to it if a school wants it. But the most important thing is that you take care that you have many occasions in different subjects also for physical activity. I've specifically mentioned mathematics and natural sciences, but there may also be other subjects that facilitate not being in the classroom, but are out there and have a practical approach to the subject. This will also make the subjects more exciting and motivate more learning. So it's a little bit up to the local creativity in school, in the classroom and at the school management to facilitate this. But, as I also said in my main response, there are many different projects initiated by the state by various actors that also facilitate this. More physical activity in school is positive.
ParlaMint-NO_2006-05-24.ana.ud2089e1236	I registered in the first answer that there were many projects going on at the local schools, and it's very good to use creativity out there. I could imagine that at some point the Minister of Knowledge finds it right to come back and show us an overview of what creativity has brought out of possible ideas, and also how the response is out among the students. As I said in my first line, I think it's going to be a hugely important task to learn some people to enjoy physical activity and to keep a certain level of activity up. And that's not just the school's problem. It's actually a problem to find the right forms of interaction, so that you promote it in the best possible way.
ParlaMint-NO_2006-05-24.ana.ud2089e1243	I would like to say once again that of course I fully agree with the representative of Gundersen. The fact that children are active is important, both for learning, for avoiding obesity and for feeling more well-being yourself. Of course, this is the family's task in addition to the school's, but the school needs to facilitate this in school hours as well. The project I referred to, which we have in cooperation with the Ministry of Health and Welfare, and which has a framework of 18 million. until 2006, has only been active for 2005-2006 for a total of 300 primary schools and 18 secondary schools. Part of the point is physical activity in school and to facilitate it. This means that we have also been in contact with the Medical Association and other good forces who are concerned about this. And we're also dedicated to strengthening this. The Soria Moria statement is very clear that physical activity should be part of the expansion of school day.
ParlaMint-NO_2006-05-24.ana.ud2089e1255	I am delighted to present the following questions to the Minister of Knowledge: ‘Sociation of Soria Moria Declaration: ‘Research policy reflects society’s willingness to develop and harness new knowledge.’ Furthermore, it states that the Government will increase funding for basic research. In the 2006 budget, the Government removed up to 900 million. SEK for research in 2007 by reducing the Research Fund. In the revised budget, the Government takes 100 million. kr from basic research and long-term research in 2006. When shall the Government stand by its promises of the Soria Moria Declaration?’»
ParlaMint-NO_2006-05-24.ana.ud2089e1264	Let me first make it clear that this government has not reduced the Research Fund. On the contrary, we strengthened the Research Fund by DKK 14 billion from January 2006. This is over 500 million. kr in increased research funding in 2007. Neither is it true that the government is taking 100 million. kr from basic research in the revised budget. We have proposed that the Norwegian Research Council may redispatch up to 100 million. the return from the Research Fund in order to allow the State to contribute additional funds, which are provided for large grants for research. The gift-enhancing system works so that when companies or individuals give a gift for basic research, plus the state of 25 pst. of the amount of the gift. I think it is gratifying that private actors are now giving more to basic research. Then, of course, the state will contribute more money to this fissure layer. That is what we have done with the redeployment we are doing in the revised budget. So that means more funding for basic research. The 100 million. kr, which has been redispatched, still goes to basic research, while total basic research funds are increasing due to large gifts from private individuals. The re-disposal of fund returns may be made without consequences for the activity started. This is because the establishment of the centres for excellent research and the launch of some major research programmes has taken a little longer than foreseen, so that there has been a temporary under-use in relation to the appropriations in the State budget in recent years. It is these funds that are now being used for the gift-enhancing scheme. The government is committed to its ambitions in the Soria Moria Declaration. The appropriations for research and development were also increased in the 2006 budget by a total of DKK 1.3 billion. The Government will continue to work to strengthen research appropriations.
ParlaMint-NO_2006-05-24.ana.ud2089e1277	I want to thank you for the answer, but I'm a little surprised at that. This government removed DKK 25 billion from the Research Fund in relation to the Bondevik government's proposal. The $25 billion would be set at $900 million. This would have meant that the public had been able to meet its 1 pst target in GDP. What makes me even more surprised is that the Council of State says that the reason why these funds can be redeployed is that we have not started enough research. That's probably right, but it's also a little bit wrong, because these appropriations are 100 million. funds were allocated to specific projects. Does this mean that the Council of State can guarantee that the 100 million. Do you think that today's redeployed from the long-term basic research to strengthen the gift-enhancing scheme will be included in the 2007 budget, so that you do not see a real decline in the research budget for 2007?
ParlaMint-NO_2006-05-24.ana.ud2089e1284	Yes, I can guarantee that we will not have any decline in the research funds for next year. The representative is mistaken that the money proposed by the previous government to the Research Fund would have triggered funds in this year's budget. They had in that case triggered funds for next year's budget. This is a matter to which the Government will return in the ordinary budgetary process. It will be presented to Stortinget in an ordinary manner now until the autumn. Our government has high ambitions in research and higher education. I'm glad it's a total accumulation that has always underlined the importance of research. Our government follows up on what is the Government's overall objective in the Research Communication.
ParlaMint-NO_2006-05-24.ana.ud2089e1293	I think it's very clear from the question that it's the 2007 budget these 900 million. kr would have had an effect on, and not on, the current year. Of course, the Council of State is right in that, and it also appears in the question. This gift-enhancing system that the Council of State thinks is very good is very good. It is an important contribution to ensuring that individuals provide even more for long-term research. That is why I want the Council of State guarantee that the gift-enhancing scheme will also be prolonged in the budget coming to the harvest. I would also like a clarification of the answer when it comes to not reducing the research budget. We know that the Council of Knowledge is also responsible for kindergartens and is going to fight for funds to cover the Children's Hail Lift to save its party leader from departure. Does the Council of State see it for that reason as a difficult task to fight for more money for research? Because you have to have 100 million. kr more for research in the 2007 budget than in the year’s budget if the total research effort is not to be reduced in addition to the reduction currently foreseen by the Council of State.
