ParlaMint-NO_2006-04-26.ana.ud1963e24	The representative Anders Anundsen will make a private proposal.
ParlaMint-NO_2006-04-26.ana.ud1963e879	The state has invested at the base of 403 million. kr in the IT Fornebu companies. In addition, the State contributes, inter alia, to: with funds for the operation of the Research Centre Simula and with funds for the establishment of a forward-looking transport solution at Fornebu. In other words, state intervention is significant and is a good example of public-private cooperation. The initial allocation was reduced by 22 million. kr as a result of the fact that this amount was not used when the possibility of further suspension of use expired. In other words, the funds were withdrawn as a result of their non-disposal within the given time period, in line with the allocation regulations laid down by the Stortinget. When IT Fornebu several years later promoted a request for a payment of 22 million. Therefore, there will be a question of a new allocation. And no matter how good the purpose is, it has to be assessed for other good purposes. The government has come to the conclusion that we do not want to make proposals for re-allocation. However, the state does not withdraw from the Fornebu IT cooperation – on the contrary. We have considerable resources in place, and we will help to ensure that IT Fornebu continues to succeed in the coming years.
ParlaMint-NO_2006-04-26.ana.ud1963e890	I thank the Council of State for the answer. It is true that these 22 million could not be granted automatically, but the Council of State and the Government could make a proposal to the Stortingen about this. You don't have the intention to do that, and I think that's gross. The current Prime Minister, Jens Stoltenberg, stated in the election campaign that he saw it as natural and correct that the state has an active relationship with how IT Fornebu will develop. Despite the commitment that is still there, it is well known that in order to get the well-functioning public-private cooperation that you want, and the development that the whole area needs, it must follow up. This follow-up now seems to be missing. The Council of State feels comfortable failing to meet the electoral commitments, among other things. The current Prime Minister gave, with what is now the result?
ParlaMint-NO_2006-04-26.ana.ud1963e899	It is quite obvious that this government is following up all the election commitments we have given relating to IT fornebu. It also proves the considerable effort made by the state. We've granted 400 million. SEK to IT Fornebu, while we have a basic government funding for the Simula Centre of 50 million. kr. This should in itself mean that we do not conduct a passive policy in relation to IT fornebu. In addition, the market situation for this industry has changed significantly in a positive direction from the time it entered and contributed to the establishment of IT Fornebu. So much lies at ease if the board takes the responsibility of the board, and helps to use the market to increase activity, and stimulates further investment in IT fornebu.
ParlaMint-NO_2006-04-26.ana.ud1963e906	Once again, I thank the Council of State for the answer. Now, the Council of State almost seems to be representing the previous government, who wanted the state to play a minimal role in this type of project. To get this project in place, the Progress Party and the Workers' Party took a joint initiative. The government itself has said that it wants to be more ongoing and active in business policy. The board of IT Fornebu says that they now need time to adjust their ambitions and build a more modest strategy for IT Fornebu. Does that council not worry – on such a central project as the Workers' Party has a significant responsibility to get in place? Should not the Council of State in a dialogue with the Governing Board now take time to find out how best to get the progress that was suggested when this project was launched?
ParlaMint-NO_2006-04-26.ana.ud1963e915	I would like to repeat that this government has an extremely active commitment to IT fornebu. I've visited the Fornebu Center myself. I've had a meeting in the department with representatives from the board. We have contributed more than 400 million investments from the state. kr, and we have a basic funding for the Simula Centre in the order of 50 million. kr annually. This means that we have an active relationship with the development of IT fornebu. It is, as I said, the responsibility of the board to ensure the development of the centre. I think that the Governing Board's ambitions are very modest if you are unable to see the significant opportunities that are in the market today, which are almost at the top. If you do not then see the possibilities lying there, and take advantage of them, I will deeply regret it. But that is the responsibility of the board, in addition to the considerable sums that the government has allocated to the centre.
ParlaMint-NO_2006-04-26.ana.ud1963e926	This question, from the representative Peter Skovholt Gitmark to the Minister for Food and Trade, will be answered by the Minister for Labour and Inclusion as appropriate.
ParlaMint-NO_2006-04-26.ana.ud1963e931	I now have the following questions for the Minister of Labour and Inclusion: ‘A number of Norwegian enterprises find it difficult to find and employ highly skilled labour from the EEA territory. At the same time, Norwegian industry is increasing its presence outside Europe and thus the proportion of non-EEA citizens among its employees. What will the Council of State do to facilitate access to foreign highly skilled labour by Norwegian enterprises and will the Council of State work to make it possible for multiple visas to be used for employees of Norwegian companies from countries such as Norway. India, Singapore and China?’
ParlaMint-NO_2006-04-26.ana.ud1963e940	The Government is concerned that access to the necessary skilled labour should not be a barrier to the development of Norwegian enterprises. Among other things, the cross-border labour mobility legislation shall contribute to this. Citizens of EEA countries are free to take up work in Norway, however, so that citizens from eight of the new EU countries must be authorised by the UDI or the police in line with the requirements of the Norwegian transitional regime before they can start work. Over the past few years, we have seen strong growth in labour supply from EEA countries, particularly from Poland and Lithuania. It has helped fill jobs where there has been a shortage of Norwegian labour. In recent years, the foreign authorities have had a quota of 5000 work permits for skilled persons from outside the EEA without requiring an assessment of the need for labour migration. The purpose of this allowance has been to ensure predictability for Norwegian employers and to enable them to access rapidly the necessary skills. This allowance has not been a restriction on employers’ ability to hire labour from non-EEA countries. In 2005, 1 200 authorisations were granted under this scheme. In the first two months of this year, 254 permits were granted. This was about 100 more than in the same period last year. From the three countries represented by Gitmark, India, Singapore and China, about 50 people were authorised in the first two months of this year. These figures suggest that the quota of 5000 work permits currently does not hinder Norwegian employers’ desire to employ skilled labour from outside the EEA. Persons from non-EEA countries may also be granted a work permit under the scheme specifically aimed at multinational companies wishing to collect highly skilled labour into Norway from a foreign branch or a subsidiary. In such cases, the foreign national must comply with the general terms of the work permit under foreign law. I have been signaled that in some cases with today's legislative practice, it may be a problem to get a work permit issued in cases where the company cannot be considered a multinational company. I'll take a closer look at this. There is currently good growth in the Norwegian economy, and we are experiencing high employment and falling unemployment. In such a situation, some types of skilled labour may be lacking. The globalisation of parts of business can reinforce such a need. As part of the work on the 2007 budget, the government will therefore review the need for new measures by the authorities to ensure that enterprises have access to the necessary labour from abroad.
ParlaMint-NO_2006-04-26.ana.ud1963e951	I thank you for your answer. I want to draw the attention of the Council of State to a local enterprise, Aker Kværner MH in Kristiansand, which is located in the middle of a strong offshore cluster that builds and assembles the world's most advanced drilling parks. They have a strong need for more high-tech labour. There is also a shortage of goods throughout the EEA territory. The equipment they build is tested in Norway, but it is compiled in Azerbaijan, Singapore, Korea and China, and the personnel they hire from abroad from these countries here, regardless of their highly competent background, need to be trained in Norway. The problem is that engineers only receive a three-month visa to Norway before they have to leave for three new months and then return to Norway. Does the Council of State see this as a major problem for some companies that do not fall within the scope of what the Council of State says about multinational companies? What does the Council of State want to do to solve this problem as quickly as possible?
ParlaMint-NO_2006-04-26.ana.ud1963e962	Of course, I see the situation that the questioner describes, and I fully agree with the questioner that it is important to find solutions to that kind of challenge. And as I said in my answer, we are now reviewing the whole area with a view to coming up with proposals. Among the identified problems that we share – the government and the questioner – is the company that is obviously in an international situation but is not defined as a multinational company. As I said in my answer, let's especially look at it. However, what I'm in doubt about is whether the solution to this challenge is multiple visas. Visas are not normally an instrument linked to labour immigration. It is a work permit and a residence permit that is the starting point. The visa issue is more for business travellers who need to come to Norway often. The tool I'm a little in doubt about, but that we have to do something about the problem, I agree with the questioner.
ParlaMint-NO_2006-04-26.ana.ud1963e971	I thank the Council of State for wanting to grab hold of it and come up with solutions to it. The reason why multiple visas have emerged is that there has been the only possibility for these companies to attract labour for a shorter period of training to Norway. The problem has been that engineers had to be sent out of Norway after three months in the country. It is not appropriate, and it does not serve Norwegian industry at all. When the time perspective here is the 2007 budget, I am satisfied with it. At the same time, one sees that, among other things, Norwegian labour immigration policy needs to be adapted more and more to be employed by Norwegian companies, but in their foreign counterparts, and they need training in Norway before they want to return to the country from which they come and have received their education. Norwegian labour migration also needs to adapt. Do the councils agree?
ParlaMint-NO_2006-04-26.ana.ud1963e978	I agree that there are challenges that it is important that we find good solutions, but I still doubt the instrument proposed by the representative Gitmark. As far as I remember, even if you get a multiple visa – it is a Schengen visa, and then it applies to the Schengen acquis – it is so that you can enter and leave Norway several times in a year. However, in the course of a six-month period, no more than three months can be spent in Norway. Even if we had issued a multiple visa to the people who are involved in the representative Gitmark, we would have been equally far. We probably need to have a more offensive attitude to this issue than the questioner has as a starting point.
ParlaMint-NO_2006-04-26.ana.ud1963e987	This question, from the representative Petter Løvik to the Minister for Economic Affairs and Trade, will be answered by the Minister for Oil and Energy, as appropriate.
ParlaMint-NO_2006-04-26.ana.ud1963e990	I allow myself to ask the following questions: ‘Safe availability of reasonable electricity is important for the business community in Central Norway. The Minister of Economic Affairs and Trade rejected earlier this year, through NTB on 27 March, the fact that the price of electricity in this area could be strongly increased to reduce consumption. The Minister for Oil and Energy has later stated that such an increase may still be relevant. It's unfortunate when the government's signal is so cracking. Does the Council still reject a strong price increase in order to reduce consumption?’
ParlaMint-NO_2006-04-26.ana.ud1963e999	Let me just begin by pointing out that this question, which was addressed to the Minister of Economic Affairs and Trade about the power situation in Central Norway, should be answered by me as the person responsible for this subject. It's clear that a strong price increase in electricity in central Norway is no way to solve the challenges we're facing in this area. I have also confirmed that in all my answers. However, what I have been asked about in several contexts is whether it is not appropriate to create a separate price range in central Norway. There is something else, and I will also try to answer that question. For the Government, the aim is not to make power prices in Norway unacceptable. Large price differences between parts of the country should therefore not occur, especially over longer periods. Measures to achieve this were reviewed in my response of 7 April to questions relating to a written answer – No. 688. There are a number of measures to be used to achieve the highest possible level of social rational power supply. But there are basically no instruments that can be completely excluded, either in central Norway or in other parts of the country. Agents must be put into service according to the needs of the situation in question. The creation of price ranges is an important instrument in the power market. Statnet is required by the NVE to determine price ranges in order to manage large and long-term bottlenecks in the regional and central networks. In addition, Statnet shall normally determine separate price ranges in the event of expected energy shortages in a demarcated geographical area. The possible creation of new price ranges has been focused on the management of the power situation in Central Norway. This is one of the possible tools Statnett has today, and I cannot rule out that it will be valid again in central Norway with such a price range. The introduction of new price ranges will include, inter alia: contribute to increasing the power supply in the area and will give signals to producers and consumers so that they can relate effectively to the power situation in the area. Without the use of price ranges, Statnett’s ability to deal with strenuous power situations will be significantly limited, and since 2000, Statnett has introduced price ranges as a result of the power situation in the Møre region three times. So three times after the year 2000, in the area we're talking about here. In St.meld. No 18 for 2003–04 on security of supply for electricity, etc., as presented by the Bondevik II Government, tools were discussed to deal with very strenuous power situations. In line with the notification, the possibility for Statnet to establish price ranges is a prerequisite for the effective functioning of those instruments in order to avoid rationalisation. I would also like to remind you that price ranges are also used to handle bottlenecks in the transmission system in the Nordic power market, and also between North and South Norway. Therefore, the use of price ranges is one of the possible instruments behind which the Government is of course behind. The situation in Central Norway is demanding, and I can assure you that a general government is working to get a permanent and robust solution to the power situation in this area, while we are now also working to have the best possible temporary solutions until permanent production can be in place. It is, as mentioned at the outset, an objective that large price differences should be avoided, and I do not see price mechanisms as a one-sided way to solve the challenges we face in this area.
ParlaMint-NO_2006-04-26.ana.ud1963e1016	I thank the Council of State for a full answer. When I originally sent the question to the Minister of Economic Affairs and Trade, it was in the light of the fact that this is a matter that I have faced the Minister of Oil and Energy several times before, and the Minister of Economic Affairs and Trade has come to indicate that it will be relatively little topical to increase these prices. It would be of serious importance to the business community in much of Central Norway if we were to get a strong price increase or even disconnects, as it has been feared. What has caused me to be relatively calm for a few months in this matter is what the oil and energy minister replied to in the interpellation debate on 16 February 2006. It wasn't about introducing, it was about using an own price range in mid-Norway. That's when the Council of State says: «It would not be acceptable to use it as an instrument in such an area.» Has the Council of State changed its point of view in this area?
ParlaMint-NO_2006-04-26.ana.ud1963e1026	No, the Council of State has not changed its mind on that question. As I have also underlined in my first answer now: using a sky-high price, as someone has said, to solve the situation in Middle Norway is no solution. The previous government did not start the necessary work to get permanent production in place quickly enough. That means we get an intermediate period. No matter what solutions we have for permanent production, we can get an interim period of one and a half years where we want a demanding situation that there will be a need to deal with temporary solutions. The previous government, of which the Right was part, has in St.meld. No 18 for 2003-2004 outlined a run for how it should be handled. There the government said that it should be handled primarily with price ranges and the use of price mechanisms to reduce consumption, and then contracts should be concluded with industry to buy electricity from industry and thus also contribute to the lay-offs in industry. Temporary production, for example: be used to avoid rationalisation. There's a way to deal with this -- if you look at the sum of these factors -- that this government doesn't want to assume. It will have too many consequences in this area if we take into account the previous government's management of these kinds of situations. We'll have to do it another way.
ParlaMint-NO_2006-04-26.ana.ud1963e1037	I still have some problems seeing the consistency between what the Council of State said on 16 February: ‘It would not be acceptable to use it as an instrument’, i.e. its own price range as an instrument in this area, and what he says today, which is something quite different. But leave it alone. Here's a question that's the most important thing up there: it could be a difficult intermediate period, but it's a little long-term that means the most in this case. If we are to be able to keep prices down, provide secure supply, nutrition and safe light and heat supply to the household, we are to have a new production that needs to be put in place, and then we have to get gas power plants. We know that there are sketches here for a gas power plant on the Tent Goods with full CO2 handling from one day. There is only one sketch for this long time, and it is not a good idea to build it. If this proves not to be realistic, would the Council of State be able to accept and assess a solution without CO2 handling from one day to the next, in order to secure the power situation in Central Norway?
ParlaMint-NO_2006-04-26.ana.ud1963e1050	Firstly, there is no reason to leave the question of temporary price ranges, because I say nothing else today than what I have always said. It is not enough, and it will in no way be relevant to use only temporary price ranges to ensure the temporary situation that we have in this area until permanent production can be in place. Let me make it clear. If we are to follow the arrangements of the previous government, the temporary price will be the instrument to be used to resolve the situation outlined in St.meld. No 18 for 2003-2004. But it won't be relevant to do it for this government. That is why we are looking at a set of instruments that must be used in combination to ensure the situation in Central Norway. So this government has given a longer concession to Forest. We are in close dialogue with the applicants to look at the possibilities for the implementation of the Forest project as soon as possible. We've done that without setting new cleaning requirements. But this government, unlike the previous one, has said that we want to help deal with CO2. This means that we will help to manage CO2 in the forest. Hopefully, there is a basis for making investment decisions both in the forest and in the forest that will enable us to ensure permanent and long-term production in this area. That work should have been started by the previous government. It wasn't done. That's why we're running out of time. As a result, temporary solutions may be available.
ParlaMint-NO_2006-04-26.ana.ud1963e1071	I allow myself to ask the Minister for Economic Affairs and Trade the following questions: ‘The 2005 Action Plan for Travel presented by the Swedish Cooperative Government highlighted green tourism as a national field of activity. The travel life of Nord-Trom has developed, under the direction of several municipalities, an exciting project on the development of green tourism. Based on special nature qualities and extensive protection areas in the North-Troms, will the Council of State take the initiative in a pilot project for the organisation of green tourism infrastructure in the region, following the pattern of the North-Finland initiative?’»
ParlaMint-NO_2006-04-26.ana.ud1963e1080	In the Soria Moria Declaration, we have said that we will develop a national travel strategy based on closeness to nature and Norwegian culture, which ensures the commitment to green travel and the tourism industry as a district industry. I want to focus on contributing to this goal being met. In the trade community, the term geotourism is used to refer to the same thing. In the action plan to which the representative Aspaker refers, the principles behind Geo-tourism are used as a basis for the development of Norway as a travel destination. Norway, at Innovation Norway, is one of the very few countries in the world that have signed the National Geographics Charter for Geotourism. As a follow-up to the Travel Life Action Plan, 1 million was granted. SEK to Innovation Norway earmarked for geotourism. Following this allocation, Innovation Norway has worked to implement the principles of geotourism in its travel life initiative. Among other things, the concept of geotourism is closely respected in Innovation Norway’s recently launched branding strategy. This strategy will be used for branding Norway as a destination abroad, but also in Norway. Work is also under way on a national travel strategy based on the Soria Moria Declaration. We have strengthened the budgets of Innovation Norway's tourism work by 72.5 million. kr. in the budget of the year. It's an increase from last year by 72.5 pst. I held a consultation with key industry actors at the beginning of this month and got important input into the work to be done further. We want to launch an inter-ministerial effort to develop a national travel strategy. Work will take place in close cooperation with the representatives of the tourism industry. The initiative on travel life is a priority task for Innovation Norway. This includes innovation and product development, knowledge and competence, marketing and profiling. Innovation Norway has developed several competence tools for developing destinations in line with geotourism principles. This work will be intensified in the future with more competence measures. With regard to the specific project that the representative Aspaker addresses in his question, I see it as natural that such a project should primarily be dealt with by the local office of Innovation Norway. Innovation Norway, after I have been informed, has not yet received an application for support for the project, but will deal with it quickly when it is available.
ParlaMint-NO_2006-04-26.ana.ud1963e1097	I want to thank you for the answer, but I had hoped that the Council of State would express itself far more obligating than what he actually does. But we agree on one thing, that we have a lot of great nature to live in in Norway. In the region we are now talking about, we actually have a total of 3,000 km2 of protected and wilderness areas, if we see the Norwegian and Finnish areas in the context. But then back to what I'm asking about – it's right as it's said here; we don't disagree that we should develop green travel life according to the patterns of the charters that Norway has signed: does the Council of State see that Nord-Troms is a region where it would be very well suited for this, with large national parks, with landscape protection areas – not least because of the fact that Finland, on its side, has gone ahead and shown its way? Does he see that there is a high potential related to nature-based and activity-based travel in green areas?
ParlaMint-NO_2006-04-26.ana.ud1963e1107	I fully understand that the representative wants an obligatory response, but I would like to stress that there is no application for support for the project yet, and then it is difficult to deal with the question here and now. But I also want to pay tribute in this context to the actors in the project in Troms for the work they have started. Cooperation has been established for the development of infrastructure in the national park, and it is through cooperation that we can achieve the best results. It is also natural to look at Finland, as the actors do, which has a much longer history than Norway in terms of work in this field. We also know that travel is one of the fastest growing industries in the world, and this government has an ambition that Norway will get its share of this growth. This growth should preferably benefit businesses and industries through increased profitability.
ParlaMint-NO_2006-04-26.ana.ud1963e1114	The region we're talking about now is actually a economically quite weak region. It labors with great freedom, and it should in itself be able to pave the way for the government to see that projects should be channelled there. Cooperation with Finland has been established with a view to developing an Interreg project in this area. However, some infrastructure remains to be put in place in these protection areas, such as the ‘Finnish State Forest’ has helped finance on the Finnish side. So my last question to the Council of State will be: Will he take the initiative in a dialogue with both Innovation Norway and State Forest to look at how to participate and facilitate nature-based travel in this area? Although there is no application, it will be important what kind of signals the Council of State is actually willing to give.
ParlaMint-NO_2006-04-26.ana.ud1963e1121	There is no government until this one who has said so clearly that it will contribute to the bet in the northern regions. This government has identified the northern regions as its main strategic focus. It also applies to business activities such as travel. We also know that one of our foremost advantages in selling Norway in the context of travel life is nature, cultural landscapes – and that North Norway represents in this context. I have a continuous meeting with Innovation Norway to make sure that they support through the disposals and the work they do during the government's investment in the northern regions. I am very sure that once we get this project on the table, Innovation Norway will help to realize the project as far as possible.
ParlaMint-NO_2006-04-26.ana.ud1963e1132	The question is as follows: ‘There is a wide debate on the lack of government appropriations for road purposes in Norway. A small part of the national road network maintains the national requirements of Norway itself on its own road network. Appropriations for road construction are treated in our public budgets as expenditure and limited by it, rather than as investment that lasts for many years. What is the plan of the Council of State to bring about a change in the budgetary and planning framework, so that money for road development is treated as long-term investment and not as short-term annual expenditure?’
ParlaMint-NO_2006-04-26.ana.ud1963e1141	The problem raised by the representative of Sortevik is important. Unlike the previous government, with which Arne Sortevik and his party had close cooperation, this government has in its government base, the Soria Moria Declaration, Chapter 3, on economic policy, said among others.\t\t You can change the settings of the grid. \t\t \t ‘The State Budget Committee’s report on increasing the long-termity of government budgeting is used as a basis for a review of a possible distinction between operation and long-term investment in the country’s budgetary policy.’.» The government is currently working on the matter, so I have to come back to the question at a later date.
ParlaMint-NO_2006-04-26.ana.ud1963e1153	Thank you for a short and, to the most extent, little clarifying answer. The questioner is well aware of what is stated in the Soria Moria statement on project financing. It is actually an answer that falls on the side of the issue, because the treatment of investment as a long-term use of money versus a project finance that can go over a few years is two very different things. A road lasts 50 years. We treat it in budgetary and accounting terms as if we were spending the money the year the road is built. The income for society comes in the next 49 years. We treat this as if the money was eaten and spent. Do we thus facilitate increased appropriations for road construction?
ParlaMint-NO_2006-04-26.ana.ud1963e1160	I must respectfully say that I do not believe the representative Sortevik has yet read well enough in the Soria Moria statement. What I referred to was not project finance, but that we are basing our State Budget Committee report to look at a possible distinction between operation and long-term investment in the state's budgetary policy. It's probably just that I want to go on with that, which is the question from Sortevik. And I say it wants the government. We're doing a job here. There is no work that can be done overnight, it interferes with the entire government budget. The government, as the representative knows, has a different system than one in the municipalities, where there is an actual distinction between operation and investment. I must ask for respect for the fact that a job must be done here before you can report it back to Stortinget.
ParlaMint-NO_2006-04-26.ana.ud1963e1167	Thank you again for your answer. Governments are probably in agreement with what the Progress Party and many others say, namely that investment in assets, by roads, is not consumption, is not several kronor of subsidies, is not social welfare and is not money for operation, but is investment to improve productivity for everyone in society – both for business, for us as individuals, for the public sector and as such for society as a whole. In this way, we can make better use of resources if we get better roads, and if we increase investment on the roads. Can we then hope that a new national transport plan will have a modified framework, so that when measuring investment in infrastructure, it is based on road construction being investment rather than an annual cost?
ParlaMint-NO_2006-04-26.ana.ud1963e1176	Long before the Progress Party was founded, the Center Party fought to build this country, not least by means of long-term thinking and infrastructure construction. We still do, and so does this government, of which the Center Party is a part, where the parties are agreed to rule on the basis of Soria Moria, with high ambitions for the very area of traffic. Unlike the government that we abolished, with which the Progress Party had a close cooperation and seven to hold on to power for four years, we're going to do a completely different act. When it comes to the next national transport plan, we are just in the process of rolling it. In the answer I gave in the introduction, it is that I cannot answer confirmatory or confirmatory to this question either. It will depend on the work that the Government is now doing to look at a possible distinction between operating and investing in the state's budgetary policy. Once again, I have to get back to that question.
ParlaMint-NO_2006-04-26.ana.ud1963e1187	I will ask the Minister for Transport the following questions: ‘In Buskerud, some school buses are so crowded that many schoolchildren have to stand in the middle. This makes it the very smallest, the six-year-olds, who are often referred to standing space. This is poorly correlated with zero vision and efforts to improve road safety. What will the Council of State do to prevent young children from being daily exposed to traffic danger?’
ParlaMint-NO_2006-04-26.ana.ud1963e1196	Of course, I share the attention of the representative of Greece to ensure that small children are safe and that the transport of schoolchildren is as safe as possible. The transport of school elephants by bus is currently regulated by three different sets of rules. In conjunction with road traffic legislation, the Transport Act and the Training Act state that, according to certain criteria, school pupils are entitled to shower with a means of transport complying with the applicable safety requirements, carried out by a carrier who satisfies the requirements for the carriage of passengers for consideration. It is the county that is responsible for the school transport, and it is currently covered by the free income of the county municipalities, including transfers from the state through the income system. This means, in practice, that the individual county has great freedom to design the supply. This freedom to adapt supply to local conditions also makes an active use of county municipalities, so that transport is currently carried out as own school guides, but also often as an integral part of the ordinary collective service. Occurrence statistics and some analyses show that schoolchildren are very minorly injured in situations where they are bus passengers, and the damage that occurs is little serious. The serious damage to this group of road users occurs in situations where children are either entering or leaving the bus, or in cases where they go or cycle to and from the school. I am therefore of the clear opinion that in order to approach the zero vision, which is about avoiding the irreparable damage such as death or life-long damage, we must continue to give priority to the improvement of road-hazardous school grounds and the organisation of safe off- and on-board bus services in the vicinity of the schools. This will provide much more security for your money than to use it to make sure that those who already have a safe shuttle service on buses. As the representative of Greece is probably aware, a case concerning the use of standing places in connection with school bus transport was also handled by the Stortinget on 3 June 2004. The majority of those present in the Committee on Transport, all of whom are non-conceived members of the Progress Party, then showed that the very low accident rates for children and young people using school pillows show that today's bus services are mainly carried out in safe forms. Furthermore, the majority emphasises that the transport of school pupils is and will be a municipal responsibility where the state does not regulate in detail unnecessarily, but where local elected persons may have the freedom to determine how the services are designed. The majority did not want to take this freedom from the local government, but considered it undesirable that the county councils provide safe school transport and enough seats even in cases where there are no schools of their own. Based on what I have presented here, and the fact that I can't see that there have been any significant changes since the Stortinget's decision of 3 June 2004, I don't want any further demands that restrict the freedom of the local government to choose the solutions that best fit around our country. After hearing the question from the representative of Helleland’s party trap Holmberg to the municipal and regional minister earlier today, I may have believed that even the Right – or in the case of some people in the Right – saw the value of such a local freedom of action.
ParlaMint-NO_2006-04-26.ana.ud1963e1211	I'm upset to hear the Minister of Transport talk so badly about municipal freedom – when it comes to the road safety of six-year-olds! I didn't think I should hear it from this Minister of Transport. I agree that the most important thing is to secure the school roads, but now there have been a number of reports in the Buskerud newspapers and NRK Buskerud about small kids being thrown into bolts in the school bus. A bus driver who owns a separate bus company says that there are six-year-olds who do not even reach the handle in the aisle. And who actually has to stand? Well, of course, it's the smallest, the biggest ones make room. I had not thought I would hear this from the Minister for Transport. I have read the answer given in 2004, and I agree with what it says, that this is the county authority's responsibility. I want county and municipal freedom, but we have something called road safety in this country, and it's actually the responsibility of the state. I had therefore hoped for a more offensive response from the Minister.
ParlaMint-NO_2006-04-26.ana.ud1963e1218	The representative would like to talk to the big heights, but this situation has not occurred in half a year. The size has treated this, as I pointed out. The Storting gave a very clear signal if someone thought they should be responsible for this. The kind of lookup that one has now had in Buskerud, we have also had in my home country and in other counties for several years. But Stortinget was well aware of the problems when Stortinget said what Stortinget said in connection with a proposal from the Progress Party. I have read carefully what Stortinget then said. I don't see anything that has changed with the situation we now have. On the contrary, the municipalities have now gained greater freedom of action, for this government has allowed SEK 5.7 billion to the county councils. So there's greater freedom of action now to offer a better deal. It's the county councils' responsibility that they have to take. I'd like to clarify it to the county councils together with the municipal and regional ministers, but I'm not going to go into any regulation beyond that at the time.
ParlaMint-NO_2006-04-26.ana.ud1963e1223	I am at least pleased with the last thing that was said, that the minister would send a request to the county councils to take this seriously. I know that some states have done so, and they've managed to find that where there are separate school routes, it's going on in safe forms. But what is the challenge here is that we, as big-scale politicians and the Minister as ministers, adopt a number of road safety rules. I know that, for example. has not been one fatal accident involving young children in the car in recent years due to child seats/car safety. In the case of coaches, we know that this is where seat belts are now required. When the local government in Sigdal, otherwise a central party-driven municipality, has now decided to ask for more support for road safety for the six-year-olds on the highways, and when the children in Upper Eiker are thrown into the bolts at the stop, I find it strange that the minister does not see it more seriously. We agree on municipal autonomy, but the safety of children should go ahead.
ParlaMint-NO_2006-04-26.ana.ud1963e1230	For those of us who don't have just one more hold, but who actually believe in municipal self-government, we're sure that when this matter has come on the agenda the way it has, one will take it at the level that is responsible. That's exactly what's in local self-government. Storing and government should not jump for the first media lookups that come up with different issues, but have confidence that those who are responsible will take care of it and clean it up. When it comes to bus securing, I am now working on a matter where we will also look at how we can ensure the smaller children not only on buses, but actually also on regular buses, in a better way. I'm going to come up with something about it pretty soon. It's not that we're not busy with this. This government has traffic safety, as it were, essentially. There are all other issues in the field of transport — but we will work with them in cooperation and not in over-control of the level, which in this case is the county council, which is responsible for ensuring the school students. And I'm sure that will happen.
ParlaMint-NO_2006-04-26.ana.ud1963e1279	These questions have been postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2006-04-26.ana.ud1963e1294	This question falls because the queryer is not present.
ParlaMint-NO_2006-04-26.ana.ud1963e1308	This question goes out, as the Council of State has gone away.
ParlaMint-NO_2006-04-26.ana.ud1963e1315	This question, from the representative Anders Anundsen of the Minister of Knowledge, will be answered by the Minister of Labour and Inclusion on behalf of the Minister of Knowledge.
ParlaMint-NO_2006-04-26.ana.ud1963e1318	I am delighted to present the following questions to the Council of State: ‘In a study conducted by the NRK, three out of four principals have replied that they have not received more money for the operation of the school, despite the government’s claim that they have invested in the school through their increase in the funds allocated to the municipalities of 5.7 billion. kr in year. The Progress Party proposed equal appropriations for municipalities in 2006 but earmarked funds for the main welfare tasks, including school. Does the Council of State see that the government's alleged investment is flawed and will the Council of State consider designation for school in 2007?’
ParlaMint-NO_2006-04-26.ana.ud1963e1327	The government has increased the free revenues of the municipal sector by DKK 5.7 billion in 2006. If the actual distribution of expenditure in 2005 is taken into account, about 3/4 of the growth in free income in 2006 will be applied to basic welfare services such as school, kindergartens, health and care for the elderly. I have to make sure that I do not know in detail the NRK study that has been done in relation to the principals. The way questions are asked could be decisive for the answers you have received. Previous studies show that the municipality will spend more money in school. The 2006 National Budget Survey of the Municipalities shows that nine out of ten municipalities will maintain or strengthen school provision. NRK's survey earlier this year, that is, in front of the one that the questioner is now referring to, shows that half of the municipalities will be adding to the school budget. Expenditure needs vary between municipalities; in some places there is a need to strengthen care for the elderly, while in others it is the school that needs to be strengthened. It is the local people elected, the local government, that knows best the needs of its municipality, and that on that basis can make reasonable priorities of the municipality's financial resources. The government has great confidence in the priorities of the local populace, and therefore has no plans to earmark funds for school in the next year’s budget.
ParlaMint-NO_2006-04-26.ana.ud1963e1338	I thank you for the answer, but I am concerned that the Council of State does not see any reason to look into this. Prior to Easter, the Central Statistical Office provided an analysis showing that increased transfers to the local government sector are primarily for cultural, infrastructure and municipal administration purposes. In addition, when we receive reports from three out of four principals saying that they do not notice the promised commitment to school on which the government in the campaign has been quite clear, is it not time for the government to assess whether other economic instruments are needed to fulfill the promises? Or will the Council of State continue to take a passive view that the promises made by the government parties in the election campaign must be fulfilled by the local government – despite the fact that it does not happen?
