ParlaMint-BG_2018-07-12.u1	There's a quorum. I'm opening the meeting. Mr. Velchev, come in for a procedure.
ParlaMint-BG_2018-07-12.u188	Mr. Kirilov, just to ask: have these proposals been voted on?
ParlaMint-BG_2018-07-12.u189	I think it was all voted out. This is where we finished the vote entirely. The point is, my opposition colleagues were arguing whether or not it could be at 14:00 and a few minutes...
ParlaMint-BG_2018-07-12.u190	We vote the version of § 74, which becomes § 50 and is created art. 227a. They voted 102 MPs: for 89, against 10, abstention 3. The motion is accepted. Here you go, Mr. Kirilov.
ParlaMint-BG_2018-07-12.u191	Thank you, Madam President. The Commission shall support the text of the importer for § 75, which shall become § 51. The Commission shall support the text of the importer for § 76, which shall become § 52. The Commission shall support the text of the importer for § 77, which shall become § 53.
ParlaMint-BG_2018-07-12.u192	Statements? I shall put to the vote § 75, which shall become § 51, § 76, which shall become § 52, § 77, which shall become § 53 by importer, supported by the Commission. Vote 92 MPs: 81, no objection, abstention 11. The motion is accepted.
ParlaMint-BG_2018-07-12.u193	According to § 78 there is a proposal from the MPs Christian Mitev and Emil Dimitrov. The motion has been withdrawn. A proposal from the MP Krum Zarkov and a group of Members of the National Assembly, § 78, is dismissed. The Commission does not support the proposal. Proposal of the National Representative Danail Kirilov under the order of art. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 78, which shall become § 54: ssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssss.sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss Article 3 is replaced by the following: 235a: "Private complaint fee' Art. 235a. A fee of 30 BGN for citizens and 150 BGN for organizations is collected for proceedings initiated under a private complaint. No fee is due by citizens for a private complaint in the cases of pension, health and social security.
ParlaMint-BG_2018-07-12.u194	Statements? I can't see. I put to the vote the unsupported text of the MP Krum Zarkov. 100 MPs voted: 22, against 42, abstention 36. The offer is not accepted. I shall put to the vote the version of § 78, which shall become § 54 in the report of the Commission, which shall be the creation of art. 235a. They voted 83 MPs: 72, against 10, abstention 1. The motion is accepted. [[Comments from GERB: "We could not vote. "]] Okay, I'll hold on a little longer. Procedure? Here you go.
ParlaMint-BG_2018-07-12.u195	Thank you. Madam President, I request a re-voting procedure. Thank you.
ParlaMint-BG_2018-07-12.u196	Thank you, Mr. Popov. Procedure for re-voting the version of § 78, which becomes § 54 on the Commission report. Please, re-election mode. They voted 106 MPs: 88, against 18, no abstentions. The motion is accepted.
ParlaMint-BG_2018-07-12.u197	The Commission shall support the text of the importer for § 79, which shall become § 55. According to § 80, there is a proposal from the MP Krum Zarkov and a group of MPs The Commission does not support the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 80, which shall become § 56: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssss In Article 4 (1) (b), point (c) is replaced by the following: 237 the following amendments and additions are made: 1. In para. 2 the words "seven members of the same court, with the exception of the decisions brought on the challenge of a sub-legal action' shall be replaced by another five-member Chamber of the same court. 2. In para. The words "seven members' shall be replaced by "three members and five members' and shall be added finally to the cancellation proceedings. 3. The creation of para. 4. In the present case, the Commission considers that the contested tax ruling does not constitute State aid within the meaning of Article 107 (1) of the Treaty and does not constitute State aid within the meaning of Article 107 (1) of the Treaty.
ParlaMint-BG_2018-07-12.u198	Statements? Here you go, Mr. Milkov.
ParlaMint-BG_2018-07-12.u199	Dear Madam Chairman, colleagues! With regard to § 56 and Article 56 237, I turn your attention to the new para. 4. As in previous AGK discussions, we are talking about limiting the rights of citizens, physical, legal persons, especially their ability to appeal administrative acts. In the administrative process, as in any other, I say this sentence in order to make you aware of what is proposed for a vote after the judgment enters into force, there is a period laid down in the law in which the parties who are interested may ask for the annulment of the decision in force. According to the last paragraph, which is postponed to us, this possibility has already been revoked in respect of two of the three types of administrative acts. In the APC there are three types of administrative acts With this text, we are already hindering the possibility that, with regard to general and regulatory regulations, decisions should be called for, which is once again a form of restriction, restriction of the rights of citizens and persons. There is no way to support this text. With regard to the other texts in this article, we support them and therefore I propose a separate vote on para. 4... the new t. 3 in § 56. Thank you.
ParlaMint-BG_2018-07-12.u200	Thank you, Mr. Milkov. - What's the line? Here's a line for you, Mr. Kirilov.
ParlaMint-BG_2018-07-12.u201	Dear Madam President, honourable Members! Dear colleague Milkov, I would like to express a very brief disagreement with your thesis and to stress that, in my opinion, and according to the overwhelming opinion of the colleagues of the Legal Committee, this proposal is fully justified because it concerns the proceedings concerning the annulment of the entry into force of judicial acts. I stress that these are proceedings in which we have already had a court order, and in the particular appeal procedure against common and regulatory acts. In the annulment proceedings, there are strictly defined grounds which may arise, justify the application for annulment, which are not typical, are not normal where a plea is made to challenge a regulation or a common administrative act. Thank you.
ParlaMint-BG_2018-07-12.u202	Thank you, dear Mr. Kirilov. Any other speeches? I can't see.
ParlaMint-BG_2018-07-12.u203	Was that a statement or a line?
ParlaMint-BG_2018-07-12.u204	I'm sorry. A hole, of course.
ParlaMint-BG_2018-07-12.u205	Mrs. Chairman! Mr. Kirilov, an expected reply, two texts after this will change the reasons for requesting cancellation. And there, on the grounds of several times, the word will begin to appear. That is, this text is currently related to the reasons for change that are also changing. Yes, the decision has entered into force, but this right to request the annulment of an effective decision exists at the moment. You take it for two of the three types of administrative acts. In addition, after two texts, you will predict these existing phrases, which will further make it difficult and limit the possibility of requesting the annulment of the decisions entered into force. Thank you.
ParlaMint-BG_2018-07-12.u206	Thank you, Mr. Milkov. Any other speeches? I can't see. Let's move on to the vote. First, I shall put to the vote the text of the importer for § 79, which shall become § 55 on the Commission report.
ParlaMint-BG_2018-07-12.u207	First there's a proposal from Krum Zarkov to drop out.
ParlaMint-BG_2018-07-12.u208	Before that, we did not vote § 79, which became § 55, and I put it to the vote before we reached § 80. Cancel the vote. Once again, we vote § 79 by importer, which becomes § 55, supported by the Commission. Vote 87 MPs: for 86, against none, abstention 1. The motion is accepted. Now we're going to §80. First, we are voting on the Commission's unsupported proposal by MP Krum Zarkov and a group of MPs. They voted 98 MPs: 27, against 35, abstention 36. The offer is not accepted. I put to the vote Mr. Milkov's proposal to vote separately § 80, which becomes § 56, which is e.g. 3 screate para. 4, vote separately from the other text. They voted 93 MPs: 88, none, abstention 5. The motion is accepted. I shall put to the vote the version of § 80, which shall become § 56 of the Commission's report up to point. 2 including. Vote 98 MPs: 97, against none, abstention 1. The motion is accepted. We vote on it. 3, which creates para. 4 to the same paragraph. They voted 83 MPs: 70 against 13, no abstentions. The motion is accepted. Colleagues, just in case, we will vote on the version of the entire § 80, which becomes § 56 on the Commission report. Vote 97 MPs: 75 against 1, abstention 21. The motion is accepted.
ParlaMint-BG_2018-07-12.u209	Paragraph 81 A proposal from MP Krum Zarkov and a group of MPs. The Commission supports the proposal. The Commission does not support the wording of the importer for § 81 and proposes to reject it.
ParlaMint-BG_2018-07-12.u210	Statements? I won't. I shall put to the vote the motion to reject § 81. Vote 98 MPs: 88, against 7, abstention 3. The motion is accepted.
ParlaMint-BG_2018-07-12.u211	Paragraph 82 "Introduction text'. Proposal from MP Krum Zarkov and a group of MPs: "Paragraph 82" is out. The Commission does not support the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 82, which shall become § 57: ...... 57............................................................... Art. 240 is amended as follows: Dates for the submission of the request Art. 240. (1) The cancellation request shall be lodged within three months of the day: 1. on which the sender of the request could have known the new circumstance or from the day on which the applicant was able to obtain the new written evidence, in the cases referred to in art. 239, p. 1 but not later than one year after the entry into force of the act to which the revocation is sought; 2. to the knowledge of the decision or sentence, but no later than one year after the entry of the decision or sentence into force - in cases under art. 239, p. OJ L 268, 18.10.2003, p. 29. 3. to the knowledge of the decision or of the act of revocation, but not later than one year after the entry into force of the decision or of the act of revocation, in the cases referred to in art. 239, p. 3; 4. of the entry into force of the last decision - in the cases referred to in art. 239, p. 4; 5. of the notification of the decision - in the cases referred to in art. 239, p. 6. (2) The time limits under para. 1 shall begin to flow from the entry into force of the instrument whose revocation is sought if the ground for revocation arose or was known before that time. (3) In the cases of art. 239, p. Art. 5 and art. 246, para. 1 the application for cancellation shall be filed within one year of the entry into force of the act to which the revocation is sought.
ParlaMint-BG_2018-07-12.u212	Statements? Here you go, Mr. Milkov.
ParlaMint-BG_2018-07-12.u213	Madam President, honourable Members! This is the text we spoke about just now, in which the grounds for requesting the annulment of an effective decision are changed substantially and categories are introduced which, in my opinion, will once again act restrictively on the possibility of an appeal. What does it mean for the applicant to have been able to become aware of the new circumstance? He didn't know that he could have known. Who will establish the day on which the applicant was able to obtain the new written evidence? This, in addition to difficulties in the assessment of the lawyer, provides a clear opportunity to restrict the right to request annulment. There is no way to support such a text.
ParlaMint-BG_2018-07-12.u214	Thank you, dear Mr. Milkov. - What's the line? Mr. Kirilov, come in for a line.
ParlaMint-BG_2018-07-12.u215	Dear Madam President, honourable Members! I am making a reply by colleague Milkov for the reason related to his previous speech and my reply. First of all, I would like to stress that he introduced the problem, which appeared to be a mound, and it was a new ground for annulment. I strongly stress that the provision that we are commenting on at the moment concerns time limits for filing claims. That is, as well as reading and interpreting the word "moglo" or the expression "moglo" could become known, this could be the definition of time limits. My objection is essentially this. If our colleague Milkov makes a reference to our joint proceedings for the annulment of the decisions entered into force, he will see that the expression could or could be used in these institutes because it refers to the objective opportunity that arose for the first time the person to know about the occurrence of any of the grounds laid down in the norm of art. 239, which, by the way, are similar, let me not say "absolutely symmetrical," with our common grounds for annulment in our civil proceedings. Thank you.
ParlaMint-BG_2018-07-12.u216	Thank you, dear Mr. Kirilov. Will there be a hole, Mr. Milkov? Here you go.
ParlaMint-BG_2018-07-12.u217	Mrs. Chairman, I'm going to have a short ass. In general civil production, the word "moglo" is gone. So I didn't just make a reference, I worked on it. Therefore, when civil entities are sued, the word "moglo" is not available when it comes to an administrative act, it appears. Yes, it relates to the deadline, but it is precisely the deadline that determines whether the request for annulment should be accepted. If the time limit is omitted, if the request is deemed to be beyond the time limit, it shall be inadmissible. Therefore, I explain that it is related to the right of the person to seek the annulment of an effective decision in administrative proceedings. Thank you.
ParlaMint-BG_2018-07-12.u218	Thank you, dear Mr. Milkov. Any other speeches? I won't. Let's move on to the vote. First, I put to the vote the unsupported proposal by MP Krum Zarkov and a group of MPs. They voted 108 MPs: 33, against 46, abstention 29. The offer is not accepted. I shall put to the vote the version of § 82, which shall become § 57. Voted 103 MPs: 76, against 22, abstention 5. The motion is accepted.
ParlaMint-BG_2018-07-12.u219	Paragraph 83 "Contributor text'. The Commission shall, in principle, support the text of the importer and propose the following version of § 83, which shall become § 58: ssssssssssssssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss In Article 4 (1) (b), point (c) is replaced by the following: 241
ParlaMint-BG_2018-07-12.u220	Statements? I won't. I shall put to the vote the version of § 83, which shall become § 58 of the Commission Report. They voted 100 MPs: for 75, against none, abstention 25. The motion is accepted.
ParlaMint-BG_2018-07-12.u221	Paragraph 84 "Introduction text'. Proposal from MP Krum Zarkov and a group of MPs: "Paragraph 84" is out. The Commission does not support the proposal. Proposal by the National Representative Danail Kirilov under the order of art. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 84, which shall become § 59: ............... 59................................................................... In Article 4 (1) (b), point (c) is replaced by the following: 242 the following amendments and additions are made: 1. In para. 1 sentence 2 is amended as follows: "If it does not meet the requirements of art. Article 241 shall apply. 213b. 2. A new para is being created. 2: In the order of paragraph 2 of this Article, the following provisions shall apply: 1 shall be left unattended and any subsequent request for annulment of the effective judicial acts referred to in Article 1. 237, para. 1 and the proceedings initiated shall be terminated where the court has ruled on the same legal basis under art. 239. "."......................................................................................... 3. So far, the Al. 2 becomes para. 3. 4. The creation of para. 4. The application for annulment shall be signed by a lawyer or a legal adviser, with the exception of the cases of pension, health and social security, the cases in which the applicant is exempt from a State fee or is a person deprived of liberty with a sentence entered into force or where the applicant or his representative has legal capacity. The request shall be subject to a power of attorney and, in the case where the applicant or his representative has a legal capacity, a certificate of legal capacity shall be attached.
ParlaMint-BG_2018-07-12.u222	Statements? I won't. Let's move on to the vote. First, I vote on the proposal from MP Krum Zarkov and a group of MPs, which the Commission does not support. They voted 102 MPs: 40, against 44, abstention 18. The offer is not accepted. I shall put to the vote the version of § 84, which shall become § 59 of the Commission Report. Vote 91 MPs: for 70, against 18, abstention 3. The motion is accepted.
ParlaMint-BG_2018-07-12.u223	Paragraph 85 s of an importer's text. Proposal by the National Representative Danail Kirilov in two alternative options with respect to § 85. The motion has been withdrawn. Proposal from the MPs Hristian Mitev and Emil Dimitrov. The motion has been withdrawn. Proposal from MP Krum Zarkov and a group of MPs: "Paragraph 85" is out. The Commission does not support the proposal. Proposal by the National Representative Danail Kirilov under the order of art. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 85, which shall become § 60: ........................................................ Article 3 is replaced by the following: 242a: "Tax in the proceedings for annulment of judicial acts entered into force Art. 242a. A fee of 30 BGN for citizens and 150 BGN for organizations shall be charged for the proceedings for annulment of judicial acts entered into force. No fee shall be due by citizens upon request for cancellation in the cases of pension, health and social security.
ParlaMint-BG_2018-07-12.u224	Thank you, Mr. Kirilov. Are there any speeches? Here you go, Mr. Zarkov.
ParlaMint-BG_2018-07-12.u225	Thank you, Madam President. Ladies and gentlemen of the House! I will not return the debate on the fees that have already taken place, and the majority, unfortunately, has spoken. I just want to pay attention... [[Noise and lines.]] Patience, colleagues! I would just like to draw your attention to the way the fees are being made and touched, as our dispute was.................................... is there objective criteria in the way the fees are being built and whether they should be in law, or if all of this has been done in some kind of bargaining, depending on the way you look at the ceiling? Look if you don't believe it! A proposal is being made by an importer, two huge proposals follow the alternative, a third proposal, which changes the values of a colleague from the Patriotic front to get to the end of a single text in a row that nails: 30 BGN and 150 BGN just like that. That's the way the fees have been built! I must point out, however, that we have achieved a good result, thank God! For a certain category of cases where people are by definition not the most profitable, we have excluded the debt of the fees. However, this is the way the fees in the AKK were built, which has eyes, to look at it! [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2018-07-12.u226	Thank you, Mr. Zarkov. Are there any lines? I won't. We're going to vote. Firstly, we are voting on the proposal of MP Krum Zarkov and a group of MPs, not supported by the Commission. They voted 102 MPs: 30, against 58, abstention 14. The offer is not accepted. I shall put to the vote the version of § 85, which shall become § 60, as proposed by the Commission. Vote 97 MPs: 80 against 17, no abstentions. The motion is accepted.
ParlaMint-BG_2018-07-12.u227	Paragraph 86.......................................................................................... There is a proposal from the National Representative Pencho Milkov by the order of art. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 86, which shall become § 61: ......... 61..................................................................... Article 243 is amended as follows: "Review of the request' Art. 243. The request for annulment, if admissible, shall be examined in open session by a three-member Chamber of the Supreme Administrative Court where the act is ordered by an administrative court by a five-member Chamber of the Supreme Administrative Court, where the act has been ordered by a three-member Chamber of the Supreme Administrative Court and by another five-member Chamber of the Supreme Administrative Court, where the act has been ordered by a five-member Chamber of the Supreme Administrative Court.
ParlaMint-BG_2018-07-12.u228	Are there any speeches? I won't. We are voting for § 86, which becomes § 61. Vote 108 MPs: 108 against and abstention no. The motion is accepted.
ParlaMint-BG_2018-07-12.u229	Paragraph 87 "Introduction text'. The Commission shall, in principle, support the text of the importer and propose the following version of § 87, which shall become § 62: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssshssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssss In Article 4 (1) (b), point (c) is replaced by the following: 244, para. 3 is added at the end.
ParlaMint-BG_2018-07-12.u230	Are there any speeches? I won't. We are voting for the Commission's version of § 87, which becomes § 62. They voted 108 MPs: 82, none, abstention 26. The motion is accepted.
ParlaMint-BG_2018-07-12.u231	Paragraph 88.. of an importer's text. The Commission shall, in principle, support the text of the importer and propose the following version of § 88, which shall become § 63: .............................................................................. In Article 4 (1) (b), point (c) is replaced by the following: 245 the following amendments and additions are made: 1. In para. 2 the word "seven members' is replaced by "seven members'. 2. In para. 3 the word "seven members' is replaced by "three members'; or Five-members and finally added to the cancellation proceedings. 3. The creation of para. 4. In the present case, the Commission considers that the contested tax ruling does not constitute State aid within the meaning of Article 107 (1) of the Treaty and does not constitute State aid within the meaning of Article 107 (1) of the Treaty.
ParlaMint-BG_2018-07-12.u232	Are there any speeches? I won't. We are voting in the version of § 88 on the report which becomes § 63. They voted 101 MPs: for 79, against 22, no abstentions. The motion is accepted.
ParlaMint-BG_2018-07-12.u233	The Commission does not support the wording of the importer for § 89 and proposes to reject it.
ParlaMint-BG_2018-07-12.u234	Are there any speeches? I won't. We shall proceed to the vote of § 89 by importer and to the Commission's proposal to be rejected. They voted 112 MPs: 112, no opposition and no abstentions. The motion is accepted.
ParlaMint-BG_2018-07-12.u235	Paragraph 90 s of an importer's text. There is a proposal from the MPs Christian Mitev and Emil Dimitrov. The motion has been withdrawn. The Commission shall, in principle, support the text of the importer and propose the following version of § 90, which shall become § 64: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssshsssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss Article 256 is amended as follows: "Instruction and order of challenge" Art. 256. (1) The failure of the administrative authority to act on an obligation arising directly from a regulatory act may be challenged without undue delay by applying the provisions for contesting individual administrative acts accordingly. (2) The failure to carry out actual acts which the administrative authority is obliged to carry out under the law shall be subject to challenge within 14 days of the submission of a request to the authority for its execution. (3) By its decision, the court shall condemn the administrative authority to carry out the action by setting a time limit for it or rejecting the request.
ParlaMint-BG_2018-07-12.u236	Are there any speeches? I won't. We are voting on the wording of § 90, in the version of the Commission, which becomes § 64. Vote 115 MPs: for 114, against no, abstention 1. The motion is accepted.
ParlaMint-BG_2018-07-12.u237	Paragraph 91 "Introduction text'. There is a proposal from the MPs Christian Mitev and Emil Dimitrov. The motion has been withdrawn. The Commission shall support the text of the importer for § 91, which shall become § 65.
ParlaMint-BG_2018-07-12.u238	Are there any speeches? I won't. We vote on the text of the importer for § 91, which becomes § 65. Voted 103 MPs: 103, against and abstention. The motion is accepted.
ParlaMint-BG_2018-07-12.u239	The Commission does not support the wording of the importer for § 92 and proposes to reject it.
ParlaMint-BG_2018-07-12.u240	Are there any speeches? I won't. We vote on the text of the importer for § 92 and on the Commission's proposal to be rejected. They voted 104 MPs: 77, none against, abstention 27. The motion is accepted.
ParlaMint-BG_2018-07-12.u241	The Commission shall support the text of the importer for § 93, which shall become § 66.
ParlaMint-BG_2018-07-12.u242	Are there any speeches? I won't. We vote on the text of the importer for § 93, which becomes § 66. They voted 106 MPs: for 106, against and abstention there is no. The motion is accepted.
ParlaMint-BG_2018-07-12.u243	Paragraph 94 "Contributor text'. The Commission shall, in principle, support the text of the importer and propose the following version of § 94, which shall become § 67: ................. Article 3 is replaced by the following: 273a: "Communications" Art. 273a. (1) The messages shall be made according to the order of art. 18a. (2) The written and to be communicated acts to the enforcement authority shall be served in accordance with art. 61, para. 1 and shall be published on the website of the implementing body.
ParlaMint-BG_2018-07-12.u244	Are there any speeches? I won't. We shall vote on the text of the importer in the version of the Commission for § 94, which shall become § 67. They voted 96 MPs: for 71, against 1, abstention 24. The proposal is accepted and the paragraph is accepted.
ParlaMint-BG_2018-07-12.u245	According to the text of the importer for § 95 there is a proposal from the National Representative Danail Kirilov. The Commission supports the proposal. There is a proposal from the MPs Hristian Mitev and Emil Dimitrov the proposal has been made. The Commission does not support the wording of the importer for § 95 and proposes to reject it.
ParlaMint-BG_2018-07-12.u246	Are there any speeches? I won't. We are voting for the motion to reject § 95. Vote 108 MPs: 108 against and abstention no. The motion is accepted.
ParlaMint-BG_2018-07-12.u247	The Commission does not support the wording of the importer for § 96 and proposes to reject it.
ParlaMint-BG_2018-07-12.u248	Are there any speeches? I won't. We vote on the text of the importer for § 96 and on the Commission's proposal to be rejected. They voted 102 MPs: for 101, against none, abstention 1. The motion is accepted.
ParlaMint-BG_2018-07-12.u249	According to the text of the importer for § 97 there is a proposal from the National Representative Christian Mitev in accordance with art. In addition, the Court of Justice has held that there is no legal basis for the application of Article 107 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union and Article 108 (3) (c) of the Treaty on the Functioning of the European Union. 5, t. 2 of the Rules of Procedure of the National Assembly. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 97, which shall become § 68: ssssssssssssssssssssssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.ssssssssssssssssssssssssssssssssssssssssssssssssssssss In Article 4 (1) (b), point (c) is replaced by the following: The second The application shall not stop the execution, but the court may suspend it until the dispute is resolved if it could cause the applicant significant and difficult damage. The order of suspension shall be subject to an appeal under Chapter 13.
ParlaMint-BG_2018-07-12.u250	Are there any speeches? I won't. We vote the version of § 97, which becomes § 68. They voted 105 MPs: 80 against 1, abstention 24. The motion is accepted.
ParlaMint-BG_2018-07-12.u251	The Commission shall, in principle, support the text of the importer and propose the following version of § 98, which shall become § 69: sssssssssssssssssssssssssssssssssssshssssssssssssssssssssssssssssssssssssssssssssssssssssssshsssssssssssssssshsssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss.sssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss In Article 4 (1) (b), point (c) is replaced by the following: 297, para. 4 the words'solving' shall be replaced by'solving' the dispute if it could cause the disputed significant and difficult damage and a sentence of two is created: 'The suspension order is not subject to appeal.'
ParlaMint-BG_2018-07-12.u252	Are there any speeches? I won't. We are voting for the version of § 98, which becomes § 69. They voted 109 MPs: for 80, against 29, no abstentions. The motion is accepted. Mrs. Alexandrova, let's give Mr. Kirilov a chance for a procedure.
ParlaMint-BG_2018-07-12.u253	Dear Madam President, honourable Members! In view of the movement of this bill, I was inclined to propose to your attention a proposal for an extension of the plenary session by one hour, but on the basis of art. 48, para. 3 of the Rules of Procedure, I propose to you, as a representative of the Presidency of the National Assembly, Vice-President of the National Assembly, who is in charge of the plenary session, that the National Assembly hold an extraordinary meeting with an agenda: Law on amendment and supplement of the Administrative Procedure Code, Part Three, on Tuesday at 9:00 in the morning. [[Noise and lines.]] Please discuss this proposal by the Conference of Presidents in case you do not reach consensus. As the Rules give me reason and opportunity, tomorrow I will make a proposal in plenary for a vote. Now I ask that we continue the debate until part two is completed, which will probably take no more than 10 minutes. Thank you.
ParlaMint-BG_2018-07-12.u254	Mr. Kirilov, we will discuss the proposal. If you were shorter, surely by 2:00 we would have finished the texts. [[Replications from the National Representative Daniel Kirilov. Laughter, excitement.]] Thank you. Are there any speeches? I won't. Let us vote on the procedure for extending the plenary session until the other few paragraphs have been completed and the second part adopted. 90 MPs voted: 81, against 5, abstention 4. The motion is accepted.
ParlaMint-BG_2018-07-12.u255	The Commission supports, in principle, the text of the importer for § 99 but proposes that § 99 be rejected as it is reflected in its systematic place in art. 174.
ParlaMint-BG_2018-07-12.u256	Thank you, Mrs. Alexandrova. Are there any speeches? I won't. We are voting on the Commission's proposal to reject § 99 as it is reflected in its systematic place. They voted 111 MPs: 111, no opposition and no abstentions. The motion is accepted.
ParlaMint-BG_2018-07-12.u257	According to the text of the importer for § 100 there is a proposal from the National Representative Danail Kirilov: The following amendments shall be made in § 100: 1. We offer the words the property charge and the Sanction in art. 2 of art. 302a, a new one, proposed by 100 of the bill, to be replaced by the word "the fine." 2. We're offering para. 5 of art. 302a, a new one, proposed by 100 of the bill, to be amended as follows: Insofar as there are no explicit rules in this Code, the issuance, appeal and enforcement of criminal decrees shall take place under the Law on Administrative Violations and Punishments. The Commission does not support the proposal. The Commission does not support the text of the importer for § 100 and proposes to be rejected.
ParlaMint-BG_2018-07-12.u258	Thank you. Are there any speeches? I won't. Firstly, we are voting on Mr. Danail Kirilov's proposal, which is not supported by the Commission.
ParlaMint-BG_2018-07-12.u259	I'm withdrawing it!
ParlaMint-BG_2018-07-12.u260	You're withdrawing it correctly. The motion has been withdrawn and we will not vote on it. We are now voting on the Commission proposal § 100 to be rejected. Voted 103 MPs: 103, against and abstention. The motion is accepted.
