ParlaMint-NO_2008-01-30.ana.ud1816e22	The representative Karita Bekkemelm, who has been on leave, has once again taken up the seat.
ParlaMint-NO_2008-01-30.ana.ud1816e893	The important thing for Hafslund and this project in Averøy is to get a quick response so that it can be taken into account when making the investment decision. It must be an important task to identify whether this is a real alternative to mobile gas power stations, as it could replace highly polluting solutions. I hope to be confirmed by the Council of State that the round one has now invited Hafslund by having them submit more information, is a real round that opens up so that this option can be continued. I also want to be confirmed by the Council of State that this emphasis on public ownership of the reserve capacity is not a priority that goes ahead of being able to choose a much more environmentally friendly solution than to bet on mobile gas power plants.
ParlaMint-NO_2008-01-30.ana.ud1816e902	I can confirm that we will respond quickly to the enquiry that comes in writing from Hafslund, where they will then go carefully through what needs the scheme will require in terms of state funding, and also how they will see that this plant will be handled further when there is no longer a need for back-up solutions in Middle Norway. Our goal is to get there as quickly as possible so that there is no need for the kind of backup solutions that Statnet has now established through the mobile back-up plants. I will assure you that Hafslund will get a real assessment of this.
ParlaMint-NO_2008-01-30.ana.ud1816e909	It is positive that the Council of State confirms that one will go into this badly to see if it can be an alternative. Can the Council say anything about the framework conditions associated with the acquisition of the mobile gas power stations? Is it so that this is a readily negotiable product that causes one of these gas power plants, for example. can be sold again because one has found an alternative that is more environmentally friendly, such as production from the pellet mill at Averøy? And will one actively work not only to minimise the use time of mobile gas power plants, but also to establish alternatives that are less polluting than the use of such gas power stations will be?
ParlaMint-NO_2008-01-30.ana.ud1816e916	The President will remind the representative of Kvassheim that all speeches must be made via the President.
ParlaMint-NO_2008-01-30.ana.ud1816e919	The government's goal is to have an energy supply that is so good that we don't have to resort to solutions like mobile gas power plants. We're working on this day-to-day and systematic. Now we have the biggest challenges in Middle Norway. We are aware that there is also a need for increased production in the area around Bergen in order to ensure that we do not get into a difficult situation there as well. My main concern is to help us get up production that makes us confident that we can handle the power supply even in a dry year. Then we are in a situation in central Norway that we are not quite sure that we can handle a dry year in a good way, and therefore the reserve power plants are there. We have to do everything we can to deal with this in the most environmentally good way possible.
ParlaMint-NO_2008-01-30.ana.ud1816e931	I have the following questions for the Minister of Oil and Energy: «Hammerfest Energy AS has developed a gas power plant with CO2 management - a very important innovation project for Finnmark. [[HE]] The NVE rejected the application for a concession in July 2007. The decision was appealed and is now being dealt with in the department. [[A]] The representative, Tore Nordtun, was in Hammerfest just before the election in the fall and stated that HE would be granted a concession to the CO2-free gas power plant. When I did not receive an answer to the question in the Questionnaire on 19 December 2007, I asked it again. When will there be an answer to this anchor?’
ParlaMint-NO_2008-01-30.ana.ud1816e946	As the representative points out, NVE rejected the request from Hammerfest Energi AS for the concession for a gas power plant with CO2 management in Hammerfest. In particular, the NVE weighted the high production costs and limited efficiency of the installation compared to other CO2 capture solutions. The decision of the NVE was appealed against by Hammerfest Energie AS, Zero and Sargas AS. The Ministry was sent the complaint case from the NVE on 23 October with comments from the directorate on the complaints. Following the submission of the complaint, the Ministry received comments on the NVE’s letter of transmission from Hammerfest Energi AS and from Sargas AS. The appeal shall be dealt with in an ordinary manner in accordance with the requirements set out in the Administrative Act. I have to ask for an understanding that I cannot now, while the complaint procedure is in progress, advance neither the time nor the outcome of a final decision.
ParlaMint-NO_2008-01-30.ana.ud1816e961	I thank you for the answer, and I have a follow-up question. What is now important is that the company can get a quick response so that we can keep this important research and development environment in Finnmark. The snow-white development has brought Hammerfest new infrastructure. It consists, inter alia, of: of a free-capacity CO2 management system. This is the only CO2 management system available from Norway and represents a very costly part of the gas power value chain with capture and storage of CO2. At the same time, the development of the Mongstad project shows that it is important to focus on costs. Will the State Council of Hammerfest Energi AS’ appeal emphasise the cost effect of the existence of a free capacity system for the storage of CO2 in Hammerfest?
ParlaMint-NO_2008-01-30.ana.ud1816e982	I always understand impatience, and I understand that you want quick answers. At the same time, as a department, we are dependent on doing a thorough job. Here we are in the situation that the NVE has rejected the application, and we are in a process where we have to go through everything again to see if we are going to follow the complaint. When we're in a process, it's not right for me to go into what assessments we want to base. Then I will break with what is good practice in dealing with such matters. But what I can say is that we have an understanding of the need to get quick clarifications. That is why we have also agreed at political level a meeting with Hammerfest Energia.
ParlaMint-NO_2008-01-30.ana.ud1816e989	I also thank you for this answer. In the context of the plans to develop gas-fired power plants in Mongstad, ESA has asked questions about its financial contribution to the project. The Ministry of Oil and Energy has explained that support for exhaust gas treatment technology from gas power plants is not a subsidy but an investment in the future revenues of the State. Will the Council of State contribute to the treatment of Hammerfest Energie AS’s project in the same way as Mongstad in terms of investments in its future revenues?
ParlaMint-NO_2008-01-30.ana.ud1816e998	With regard to the test facility in Mongstad, which is what we have discussions with ESA about now, it is still not clear on what basis ESA will hopefully be able to approve the plant. It is not clear whether the market investor principle will be applied or whether the exemption provisions of Section 61 of the EEA Agreement will be taken into account. To the extent that I am now going to predict the management of ESA, it will be that one is going towards applying the derogation provisions of the EEA Agreement. That's the signals ESA has given us. That's the track you're now pursuing first and foremost, depending on whether it's not finally clear which track will be the final one. We tend to say that for us it doesn't matter what track leads, just that leads to a good solution.
ParlaMint-NO_2008-01-30.ana.ud1816e1008	This question, from the representative of Leif Helge Kongshaug to the Minister for Local and Regional Affairs, is raised by the representative of Gunvald Ludvigsen.
ParlaMint-NO_2008-01-30.ana.ud1816e1011	The following questions are addressed to the Minister for Local and Regional Affairs: ‘The electoral law provides that pre-voting may take place within the limits of 10 August of the electoral year. For fishermen who have long voyages at sea for more than four weeks, this would lead to their being deprived of the opportunity to vote. It must be an objective to facilitate the exercise by all those who so wish of their voting rights. Will the Council of State set up mechanisms to allow fishermen and others who, because of their profession, are away in the time of prior voting to vote?’
ParlaMint-NO_2008-01-30.ana.ud1816e1020	The answer is yes. This question I will address in more detail. I see it as an important principle that most possible voters are able to voice. The Ministry is now carrying out a wide evaluation of the municipal government and county elections last year. In this work, we will among other things. refer to the time of the flashing and whether this should be changed, if any. We also want to see if there might be other measures that you should take instead of changing the timing of your preview. As planned, I will present to the Storting a message about local democracy in ours. Here various questions related to the selection resolution will be discussed. I also intend to send out a proposal for any changes to the electoral law in a hearing note in June. Here you will, among other things. the evaluation of the choice will be discussed. In this note, it is also natural to discuss the prioritisation period and what measures it may be appropriate to take to increase access to the selection room. Vallova has established today that the internal preconstruction takes place on 10 August of the year of the election. Before the election in 2002, the polling ceremony could take 15 July of the election year. When this time was changed - a change that was agreed upon in Stortinget - a special emphasis was placed on the fact that there were very few voters who voiced in the period from mid-July to mid-August. One also stressed that this period coincided with the holiday settlement, and that the election campaign had not really started. Otherwise, let me just make sure that in a Nordic context, Norway gives liberal opportunities for previewing. In Denmark, the period is three weeks before the election, and in Sweden eight days before the election.
ParlaMint-NO_2008-01-30.ana.ud1816e1033	I thank the Council of State for your answer. It's just that the left hand side -- I also know the center part -- is very busy that the selection is going to be as high as possible. Getting the chance to vote is a civil right and a civic duty, and it's fundamental in a democracy. I like the signals that are given here. They may not be very precise yet, but they will. I have an additional question, which might be a advice in any case: will the Council of State facilitate electronic voting for the groups concerned that are currently not allowed to vote on the basis of today's legislation?
ParlaMint-NO_2008-01-30.ana.ud1816e1044	Let me first say why I think it is necessary to make a statement. That's where one is registered. June 30, which today determines the right to vote in a municipality. It's the so-called cut date. The deadline for the approval of the list proposals is today 1 June. Election cards, to be sent to all, are printed today at the end of July and are issued at the beginning of August. That is what makes it important to take a closer look at this, which the representative also asks for. So, electronic voting. The government announced in the 2008 state budget that we are continuing to work with attempts at electronic voting. It must look good, but it is our goal that it should be tested.
ParlaMint-NO_2008-01-30.ana.ud1816e1053	Thanks for the answer. This is a matter of concern, among other things. More and Romsdal Fiskerlag, which indicates that many of their members are not least socially engaged, and of course they want to benefit from equal voting rights. So better arrangements for pre-senting, among other things. fishermen in the seagoing fishing fleet are important. A practical suggestion could be that one approves multiple choice locations. Norwegian seamen’s churches are approved as an electoral centre in the extra-territorial services. Is it possible for the Council of State to assess whether a coastguard vessel can be accepted as an opt-out?
ParlaMint-NO_2008-01-30.ana.ud1816e1060	Then I'll do something as unusual as answer yes once more. These are constructive proposals from the representative here. I think it's natural that we look at how accessibility can be improved, including by increasing the number of preferences. As the representative said, seamen's churches, coastguard ships and certainly other localities can be evaluated. I hope that I will now be able to hold the deadline, and that any changes can be made on the phone in June, so that we can also make more participation and voting more accessible.
ParlaMint-NO_2008-01-30.ana.ud1816e1075	This question has been withdrawn.
ParlaMint-NO_2008-01-30.ana.ud1816e1081	My question goes to the Minister for Transport: ‘The number of road fatalities in the counties in 2007 was 23 persons, which is a total of 10 pst. of the total number of fatalities in traffic in 2007. Much of the cause of these accidents is the bad roads in the counties. The worst road section of E18/E39 between Oslo and Stavanger is the Vigeland-Osestad in West Agder. The current NTP included new investments for this route. According to the information provided on new NTPs, these funds have been removed. Does the Council of State consider this to be a correct decision?’
ParlaMint-NO_2008-01-30.ana.ud1816e1090	The representative to whom Skumsvoll refers is his basic material for a new national transport plan, which I got delivered on 17 January this year. This is a technical recommendation within a calculation framework, similar to the 2007 budget proposal. Within such a framework, the State Road Service recommends a strong strengthening of operations and maintenance - and thus also a lower level of investment. One of the projects for which such a priority is given is Vigeland-Osestad. The parcel is prioritised in the submitted but not before the last part of the planning period, which is a postponement relative to the existing NTP. With a higher border, they mean none of the above. this project can be initialised before. Let me stress that the submission from the transport modes is part of the process towards the NTP 2010-2019 notification, which I intend to present to the Stortinget in December of this year. The proposal is public and includes: sent to the county councils and the major municipal councils for pronunciation. These have had a special role in the process, but also all organisations and interest groups can of course express themselves, and I am sure that many will do so. There are many and difficult issues and priorities to deal with through this process, both on the final level of the financial framework and on the distribution of them between sectors, between management levels and between operations, maintenance and investment. In this work, I will be occupied by the fact that the transport sector is fed into resources which enable safe and efficient traffic to be closed with the least possible environmental disadvantage, while at the same time ensuring that the framework is realistic and manageable for those who are to use the transport network. Which route project we find space for through this process, I will come back to in the message.
ParlaMint-NO_2008-01-30.ana.ud1816e1099	It is clear that there is a proposal out now, but we are very concerned that already at this point you can see that the result of NTP may be that Vigeland-Osestad falls out. Of course, the optimism of the community has also advised in West Agder. There may be many years to wait before the very bad distance is corrected. The number of traffic fatalities in the Eastern and West Agder counties is twice as high as in the rest of the country, compared to the population. That's probably the result of E18 and E39 being very bad through these states. My question to the Council of State is whether the Council of State agrees that a lot of attention needs to be paid to poor road sections such as Vigeland-Osestad in a tribal road investigation, and whether funds should not be provided as soon as possible for total development.
ParlaMint-NO_2008-01-30.ana.ud1816e1106	There is no doubt that there are many places in the country where there is a high risk of accidents and where there is generally too poor a standard. It is also obvious that these are the road sections you will see more closely when entering and giving political priority to the national transport plan. It is a work I will start with after the county councils and the large municipal councils gave their hearing opinions in April. Ergo is not a question I can answer specifically to the representative Skumsvoll today.
ParlaMint-NO_2008-01-30.ana.ud1816e1111	The rate of expansion of the government for tribal roads has slowed down, and it is slowly following the existing national transport plan. Governments can hardly be comfortable with the fact that, with today’s expansion rate, it will take 60 years to have a satisfactory tribal road network in Norway, and of course also in West Agder. My question, therefore, is whether there should not be a much larger boost in the transport sector by providing more funds, as we had in the older sector a few years ago. It doesn't, in my opinion, monies what we have today.
ParlaMint-NO_2008-01-30.ana.ud1816e1118	I also want the largest possible frameworks, of course. Contrary to previous affairs ministers, this government has also done something about it. In fact, we have followed up the current national transport plan, which is more ambitious than what was presented by the previous government, where the opposition party plus the 1 billion kroner to the road and 1 billion dollars to the track every year during the period. Of course, it is the wish of the Council of State that we should have a more ambitious investment in the forthcoming national transport plan. I would like to invite you to wide-ranging discussions and a wide-ranging deal about it, because it would also mean that one stands together on the follow-up to the objectives and frameworks of the national transport plan. The main problem with NTP in the past is that one has created plans and action programmes, but has not followed them up. We're now trying to make money, but we see that it's a demanding project because of the high price rise that we have in the market these days.
ParlaMint-NO_2008-01-30.ana.ud1816e1128	I would like to ask the Minister for Transport the following questions: ‘Rv. 3 in Hedmark is a problem route for many. By 16 January 2008 the route Elverum-Rena was so busted that many cars punctured and created many dangerous situations. The road was so bad that even a rescue car was hit by this during its work. In addition, according to the police log, there were mirror-blank roadways and car trains across and across, especially in the area of Hovda Bru. What will and can the Council of State do to ensure that road users on this route have a better and, in particular, safer road to travel on?’
ParlaMint-NO_2008-01-30.ana.ud1816e1137	The representative of Bredvold informed us that several cars were damaged on 16 January 2008. 3 between the river Elverum and the river Rena in the valley of the east. It's unfortunate that this happens on a main road like rv. 3rd@item: inlistbox Causes of such events rv. 3 and other major roads have been a low priority of maintenance in alternate governments. In addition, the traffic volume has increased more than foreseen, both on Rv. 3 and otherwise on the road network. The sitting government has taken up this and increased the priorities of maintenance. We have in the last two years increased the permissions of asphaltification. From Elverum to Rena it is approx. 30 km. In the summer of 2007, new coverage was provided on the routes that were then considered to have the greatest need. The current section mentioned by the representative Bredvold is part of the 2008 asphalt programme. In order to ensure the traffic of a new tyre is in place, it has been provisionally maintained, and early in week 5 it will be placed a preliminary cover over the worst batches as additional fuses. The second event was asked about the smooth roadway in the area of Hovda Bru. I have been informed that the weather was difficult this evening with precipitation and temperature around 0oC. It had come so much snow that the contractor had sprung out and broke the highway northwards and sprinkled sand on sections with a particularly smooth roadway. While he was in the northern part of the bridge, there came a heavy rainy village in the southern part of the root, around Hovda's bridge. Due to the combination of newly-brown roads and heavy rain, the road was very slippery in a short time, and some car combinations experienced problems and blocked the road. The bridge driver was alerted, he turned and ran south to help with bedding in connection with the rescue of the running gear. In my opinion, it is difficult to fully guard against such events as this one. The unstable winters we have had in recent years with rapid shifts in the weather, large rainfalls and temperatures around 0oC, present challenges both for the state road system and for road users. It is therefore important when such weather and traffic conditions first arise that communication between road users, the State Road Service and the entrepreneurs is so good that the time of driving problems is as short as possible and that the State Road Service can be notified of this by means of its road reports. It is also important that road users are offered and take into account difficult circumstances when they occur. It's not the same thing to take out on the road a winter day as it is in summer. It is important that we, as road users, also take it upon ourselves. I visit the Winter Days of Beitostølen Monday. The winter days are a collection where the State Road Service and the industry sit down and discuss how to improve winter maintenance. I hereby inform you that the Swedish Road Administration must do an even more thorough job of obtaining good and concrete functional contracts and prioritizing control and follow-up of them. None of the claims that the representative of Bredvold addresses in his question can be directly related to poor functional contracts or to poor follow-up of them, which I elaborate on in my answer. Nevertheless, I am busy that we should work in general and practically continuously to improve winter maintenance.
ParlaMint-NO_2008-01-30.ana.ud1816e1158	I thank the Council of State for the answer, which was a complete and correct answer. The Council of State also says something about the reason why what happens is happening, among other things. on rv. 3, and that's rv. 3 I'm talking about now. That's where the Council of State says there's been a low priority on maintenance. That's exactly where we agree. Regardless of the government, there should have been more maintenance, of course, and then there's this with increased traffic. In addition, the Council of State said that road users also have a responsibility. Of course they do. But it does not exempt us from the road being as good as possible. The Council of State said it would be an asphalt programme for 2008. It's really nice. She also referred to asphaltification in 2007. I drove that way when the asphalt was laid. The asphalt was very thin. It helps very little to lay asphalt if the groundwork is too poor. The problem with many of our roads is that our basic work is too poor. That's too bad a reason. It's not mass replacement. You put an asphalt layer that's too thin, so you get holes.
ParlaMint-NO_2008-01-30.ana.ud1816e1167	In the proposal for a national transport plan, as recently presented by the agencies, the state road network has set up a stronger priority for maintenance, precisely on the basis of what Bredvold’s representative points out, that on many occasions it is not enough to lay new asphalt. To take an exact position: On the way up Valdres to the Beitostøl we run two roadheads. Those who attended this meeting asked questions from the hall about why. It's because the road is not such a leg that one can handle it. One had to have one that took the leg, and then one had to have another that took the edge of the road. The road was simply demolished. There is something to say that on many occasions it is not enough to put on asphalt, one must also enter and look at the samples. One must look at the basic structures. As a result, more resources must be given to this work in the future.
ParlaMint-NO_2008-01-30.ana.ud1816e1172	I also asked a question about rv by December 2007. 3rd@item: inlistbox Then the council replied - without me remembering it correctly - something similar to that she should follow closely up rv. 3rd@item: inlistbox I hope the Council of State does so, because as I said, it does not help to put a thin asphalt layer on top of a bad path when the ground is not good enough. There's a lot more to it than that. The Council of State refers to the national transport plan, which goes over a quite long period of time, for a 10-year period. It is some years before it will begin to apply. Nor is it certain that it will be as it is stated in the national transport plan. If I remember correctly, it's 400 million. kr to rv. 3rd@item: inlistbox Will the Council of State here and now promise to rv. 3 is one of the roads that she will definitely give priority to - because of the large traffic volume, because of the heavy traffic volume, and because of the people who live along rv. Three? It is also district policy.
ParlaMint-NO_2008-01-30.ana.ud1816e1179	This is the other way I have been asked in today's Question Time to give priority. My answer must be the same to the representative of Bredvold as to the previous representative who asked questions, namely that my political work on the national transport plan - it is, to a maximum extent, a political work that is now taking place in the county councils and in the large city councils - begins after the hearing. I'll get to the right what they say before I start on my heavy prioritization. I hope we get a good dialogue both in the Government and with the opposition in time for the Storing Message to be presented, and in the process of Storingen afterwards. So we'll have time to discuss priorities.
ParlaMint-NO_2008-01-30.ana.ud1816e1194	This question has been withdrawn.
ParlaMint-NO_2008-01-30.ana.ud1816e1200	‘The government has joined the zero vision on the number of fatal injuries and fatalities in traffic. This is an ambitious objective. Traffic safety is complex and requires efforts in a number of areas such as improved infrastructure, safer vehicles, increased knowledge and skills among drivers. What has the Council of State been thinking about helping to increase the skills of drivers and, in particular, young drivers, who are often exposed to serious accidents?’
ParlaMint-NO_2008-01-30.ana.ud1816e1207	Occurrence trends show a halve of the number of fatalities in road traffic since 1970. At that time 560 people were killed in road traffic, while in recent years the number has been between 220 and 250. In the same period, traffic is triple. This means that the risk of being killed in road traffic has been reduced by about 85 pst. This shows that a targeted and broadly-consolidated road safety work is producing results, but it also shows that we still have a lot to deal with. Most people killed in traffic accidents are drivers and passengers in cars, and of these, young people are particularly delayed. Although there are often several factors involved in an accident, there is no doubt that the driver has a great responsibility, and that good running skills thereby are a fundamental premise for safe traffic. So I appreciate very much the commitment that the representative shows, and the question that is asked. In accordance with the zero vision, it is also a clear goal for the Government to lower the risk to young drivers, including young drivers. by prioritising driver training. In 2005, modular driver training was introduced. Training is now based on the principle of a step-by-step acquisition of competence, so that it is an intention to achieve the goal of one step in order to gain access to and have a good exchange of training at the next stage. Basic knowledge of road safety, risk understanding, etc. is a key element of training and is expected to provide increased road safety in the form of a fall in accidents. Basic transitional arrangements have been trained first for all driver card applicants from mid-2006. It is important that the scheme now takes a time to assess whether adjustments are needed. The Directorate-General for Road Transport will evaluate this at the earliest opportunity in 2009. As the training scheme requires increased competence for both sensors and traffic instructors, the Road Directorate, in cooperation with the traffic school industry and traffic teacher training, has launched the ‘Power Roof for Good Driver Training’ project from 2007. The basic vocational training course was introduced on 1 July 2003. The course shall provide a basic understanding of traffic and be the starting point for all further driver training. Only the person who has completed such a course is allowed to exercise. Statistics show that high accident risks are largely associated with low running experience. Thus, the state's road system makes a great effort to get young people to run a lot before they sign up for a pilot test. The legislation provides for the possibility of taking a basic vocational training course in the school. The Ministry and the Directorate of Roads will continue to work to increase the number of public schools to provide a road basic course. I have, in cooperation with the Ministry of Local and Regional Affairs, started a pilot project, ‘Feeder training in relation to secondary school – better and cheaper in the districts’. The project will focus on road safety and the practical organisation of driver training for young people in the districts and will provide useful experience base for further cooperation between school and traffic schools. Yesterday, I visited Firda's secondary school, one of the six schools that are part of this project. They have a long-term training course. Included in the basic traffic course are 67 hours of theory, which extends over three years. One also has contracts with parents and students for a certain amount of running training before one can sign up to take a certificate. There is no doubt that stretching training beyond the time provides a better understanding of the complexity encountered in traffic. Unfortunately, the percentage of strokes, which is between 50 and 60 on a national basis, is at this school 15 on the theory section. In practice, the average deletion rate is 20, while students who have completed this training have only 3 pst. Delete. It means that one of these is about something that we need to look at. The project shall be evaluated through NTNU by a follow-up evaluation. The state road network has also launched a project aimed at developing more knowledge of individual high-risk groups in order to identify effective responses to risk behaviour. Unfortunately, young drivers are such a high-risk group. The Transport Economic Institute has now been entrusted with the task of following two annual coals with 16-year-olds and 18-year-olds to learn more about their knowledge and behaviour in traffic. The project was expected to be completed in 2010 and the results will set important premises for further efforts in this area. Several specific responses to youth have been implemented by the various actors in the field of road safety. The ‘From’ campaign to the State Road Administration and Jenten’s Traffic Action under the auspices of Safe Traffic is two examples of such action. ‘From now on’ was launched more than 10 years ago in Sogn and Fjordane, and the evaluation shows a positive outcome. Experience has shown that coordination of several actions is effective. For example, holding campaigns have a greater impact if they are combined with targeted controls. This action is now being continued in other states as well. Several places have also established a separate bus and taxi service for young people, as a good alternative to coming home safely. The offer can hopefully also reduce the amount of promille running at the times of weekends when many of the openings occur. I think that schemes like «Feature home for a 50-note note» have both a direct and an indirect security effect. Firstly, they reduce the number of young people on the roads at a particular time of accident and, secondly, reduce the focus on road safety. In addition, I would like to point out that other road safety measures that are being implemented also help to reduce the number of accidents involving young people, such as road accidents. establishment of different types of centre parts, repair of lateral terrain, fixing and enforcement of speed limits, etc. Cooperation with the police is a particularly important element in this work. The broad but targeted effort towards drivers in general and young people in particular is continuing. I expect that the forthcoming evaluation of the driver training and implementation of the high-risk group establishment project will make an important contribution to the development of new and effective tools in the work on increased driving skills and against youth accidents. I am pleased that the trend is also busy with the role of the individual driver in road safety, and I want to emphasize that I am very loud about proposals and views.
ParlaMint-NO_2008-01-30.ana.ud1816e1239	The left, as the Council of State also says, has for a long time focused on this matter and especially on the issue of traffic schools. The accident commission has just issued a recommendation that authorised traffic schools should approve the candidates for the driving test. In this way, traffic schools will be more accountable and used in their competences. We have a lot of good traffic schools here in this country. Does the Council of State think that this can be the way to go in order for us to get better young and newly-trained drivers?
ParlaMint-NO_2008-01-30.ana.ud1816e1246	There is no doubt that having adequate running training is a decisive element in reducing the risk of accidents. And that also shows the statistics. When we get 26-27-28 years, we reduce the risk of being involved in accidents significantly. But it's probably not just about age, it's mostly about one of them having run-trained. A better understanding of the traffic image. In this context, of course, the proposal from the Committee on Civil Liberties is interesting, and I will definitely look at it more closely -- I haven't had time to do it yet -- and what consequences both practical and otherwise it might have. I think it is a constructive input into the debate on the common objective we all have of reducing the risk of accidents.
ParlaMint-NO_2008-01-30.ana.ud1816e1251	The left considers that publication of percentages of blanks at the various schools can be of great value and that it is a basic democratic principle. Aanestad of Data Protection says in the magazine Trafikkskolan: ‘This information actually provides consumers with information that will help them to choose a driving school that cares if they reach their goal of obtaining a driving licence and becoming a safe and good driver.’ Will the Minister for Transport arrange for this type of statistics to be published?
ParlaMint-NO_2008-01-30.ana.ud1816e1261	Once again, I want to thank you for a recording that I want to go in and look at. Some of the things that struck me yesterday when I visited the Firda School, where the running ball was also invited -- it's a running ball that takes care of the practical here -- were the hold we met from the instructors, the personal commitment they showed to the students, and that reflects in the students I talked to. They felt that they were cared for. The important thing was that they should be good drivers. As one of them said, it wasn't necessarily so important that she got the certificate for the 18th birthday, but that she got it over time, and that she was going to be a good driver. The holders are important to get into the individual student, and it may be that publishing the ironing percentage will be a tool to promote holding that is unlovable.
ParlaMint-NO_2008-01-30.ana.ud1816e1271	I would like to ask the Minister for Transport the following questions: ‘E18 between Tvedestrand and Arendal is a highly trafficable part of the route through East Agder. In the Questionnaire on 7 November 2007, the Council of State replied to questions from the undersigned that the work on the new E18 on this route could be started within five years. However, in the proposal for NTP, presented on 17 January 2008, there is no room for promise by the Council of State! There were 23 deaths on the roads in Agder in 2007. What did the Council of State actually mean by its answer in Question Time on 7 November 2007 concerning the E18 Arendal-Tvedestrand?’
ParlaMint-NO_2008-01-30.ana.ud1816e1280	As I also answer question 9 today, I received on 17 January this year the transport budgets provided their professional basic material for a new national transport plan, which has been developed within a mathematical planning framework similar to the 2007 budget proposal. Let me once again stress that the transport bill is part of the process towards the National Transport Plan 2010-2019, which I intend to present to the Stortinget in December of this year. In Question Time on Wednesday, 7 November 2007, I answered Andersen that the line E18 between Arendal and Tvedestrand is part of a concept currency for the Langangen-Grimstad route. This is a work that has been started, and it will eventually be carried out external quality assurance, called KS1. In my reply of 7 November, I indicated that a realistic estimate of the time spent planning would be about five years. There is currently nothing to suggest that this estimate still does not exist. As I reply to the corresponding questions in Question Time on 7 March and 7 November 2007, this section could be assessed in conjunction with the National Transport Plan 2010-2019. This, of course, stands by layers.
ParlaMint-NO_2008-01-30.ana.ud1816e1291	It only went three days after I had submitted this question, before there was another human being killed on this blood-stained killing stretch, the E18 between Arendal and Tvedestrand. I will briefly quote what a localist wrote in a leader about this accident: «Sunday morning it happened again. A new fatal accident at E18 in Arendal, this time at Nesheim School. [[...]] [[...]] A young woman in the late 20s in a van died in a violent collision with a vehicle train.» And on the other hand, ‘How long shall our politicians leave what is now called the ‘Death Road’ between Tvedestrand and Arendal as it does?’ I'll pass this question on to the Council of State, once again: how long will this highway between Arendal and Tvedestrand have to lie as it is today, and perhaps require even more innocent human lives for many, many more years, before the Council of State realizes that something must be done with this two-mile-long, extra dangerous stretch on the E18?
ParlaMint-NO_2008-01-30.ana.ud1816e1306	This is the third question today, where I am asked to make a promise about what should be presented in the national transport plan notice in December. As I have said in connection with the two previous questions, the proposal now goes from the etats to the county to the hearing, and then the government is going to start its work, and I'm of course going to lay the groundwork for it in my department. It is not possible for me today to enter with promise on any distance. I was two days ago at a memorial in Uppland for 28 deaths on the roads in Uppland -- most very young. On the way home from the memorial, we ran, a few kilometers from my own hometown, past an accident with another younger driver who had died. All over the country, we have too many accidents, and an important part of the work on the national transport plan will of course be to look at how we can put in place measures to prevent the corresponding accidents in the future.
ParlaMint-NO_2008-01-30.ana.ud1816e1311	In the Agder counties, 23 people were killed in traffic in 2007. The two Agder counties have no more than 5 pst. Of the inhabitants of this country, but we have 10 pst. of the traffic accidents, and much of the explanation for why we are so overrepresented in Agder in relation to the rest of the country in the case of road accidents, are just the miserable roads we have down there. We know that traffic accidents are about death, about mutilation, tragedies that could have been avoided if only government council and government had really wanted to do something about this by, among other things. building better roads. But it doesn't seem like this government will, and I have to say from this pulpit that I get depressed, I get upset, I get sick, I get sick, and I get directly pissed at hearing these ice-cold and cynical standard responses that we always get from the Minister of Transport every time we ask and bring this problem that we have with roads on the South, on the way to the Bigton.
ParlaMint-NO_2008-01-30.ana.ud1816e1316	The President would like to point out that one of the words used by the representative is not a parliamentary expression.
ParlaMint-NO_2008-01-30.ana.ud1816e1319	I'm almost muted to the right by the representative. I was in a church in Oppland. I met relatives -- I've done it in many places else in the country. I also thought the representative should take a walk and talk to the relatives. I'm not taking this lightly. I'm actually following up a transport plan that the previous government probably didn't add up ambitiously enough, but that opposition party then reinforced. Actually, I'm the first minister to do it, and we're the first government to do it. We focus heavily on road safety work, but unlike some survey representatives, we also focus on the whole width. In connection with the previous question, I did well for the broad commitment to road safety, which has led us to halve the number of fatalities, while the traffic volume is triple. The risk of death in traffic in Norway is reduced by 85 pst. due to a wide range of work. Only in the last few years we've built midparts, some of which highlight as the only solution. We shall continue to do the broad work, and we shall do it in respect of those who are in danger of traffic and in respect of all those who are injured or have died in the traffic.
ParlaMint-NO_2008-01-30.ana.ud1816e1327	This question, from the representative Line Henriette Holten Hemdal to the Minister for Children and Gender Equality, will be answered by the Minister for Health and Welfare who directs the person.
ParlaMint-NO_2008-01-30.ana.ud1816e1330	‘Solk oil, fish sticks, cocoa and cappuccino powder are examples of foods containing trans-fat. The risk of cardiovascular disease increases by 25 per cent with the intake of approximately 25 per cent. 5 grams of trans-fat a day, and high trans-fat intake may also lead to cancer. In Denmark, there is now a maximum level of trans-fat in food, but in Norway, producers are not required to report the fat in food. What will the Council of State do to ensure that consumers are informed about the trans-fat content of foodstuffs?’»
