ParlaMint-NO_2008-05-21.ana.ud1553e22	The representative, Karin S. Woldseth, will present a proposal for a representative.
ParlaMint-NO_2008-05-21.ana.ud1553e827	This question concerns the responsibility of several ministers. The answer will be given in consultation with the Ministry of Agriculture and Food and the Ministry of Environment. I do not know the decisions in this specific matter. In general, I express my opinion on construction matters. In a construction case, there are a lot of concerns to be taken. The care of the landowner weighs heavily. It's his favorite that triggers construction work, and the municipality must have a clear place to say no to the project. When assessing a construction project, there are also a number of other requirements imposed by society. The fact that the landowner can initially control his own property does not go so far that other considerations, such as: safety and environmental considerations may be disregarded. The importance of reindeer operations is another example. Securing the basis of life for the Sami culture is an important objective. For construction purposes it follows from the planning and building laws that the municipality cannot grant start-up permits until the relevant governing authorities have given their consent, when it follows the law that consent or permission is required. This is because there should be no doubt that the measure has been clarified and that all considerations have been taken into account. The use of property is often guided by municipal spatial plans. The Planning and Building Act provides the basis for decisions on the development and use and protection of resources. This law is central when it applies to land management within the pastures. The district management of the reindeer can counterbalance the area part of the municipal plan and the regulatory plans, and may complain of dispensation decisions that give negative consequences to the carrying out of the reindeer operations in the Sami reindeer areas. The plan part of the proposed new planning and building law emphasises that the concerns of Sami interests should be reflected in the same way as other important national and regional considerations in the planning - compare § 3-1c of the proposed law, which states that plans under the law will ‘ensure the natural basis for Sami culture, nutrition and social life’. Let me stress that in construction matters and other matters relating to the use of private land, there will be a question of a balance between the landowner's wishes and the concern for the environment and society. In some cases, the concern to care for the Sami culture must lead to the concern of the individual landowner. It is important that this does not happen more than necessary. The right to appeal shall ensure the defence of a case.
ParlaMint-NO_2008-05-21.ana.ud1553e838	I thank the Council of State for a general answer to a specific question. It disappoints me that the Council of State does not want to go into this matter more specifically, as it has been dealt with in various bodies. Decisions and issues should actually be very easy to perceive. Then the general word around this is that Sami interests are to be cared for. Had they asked the question in another way, they would have answered that local interests should be taken care of. So it comes out very little concretely of the answer given by the Council of State to a specific issue, because it is a fact that there is a conflict of interest between Sami and local interests. This reindeer takes up the possibility of compensation if it is built. Does the Council of State mean, then - to reverse the issue - that an owner of property can also be compensated, in the same way that partners demand compensation?
ParlaMint-NO_2008-05-21.ana.ud1553e845	Let me first say that I am a little surprised that the representative of Korsberg, with as long a seagoing time as he has in Stortinget, expects the Council of State to go directly into a matter mentioned in the Troms Folkeblad, and come with advice, point of view and even conclusions. As I have pointed out: these are complicated issues, when one on the one hand is to carry out basic ownership interests and initiatives, according to the law, while one on the other hand in a specific case, according to the same law, should take different care. Whether or not this might be a question of replacement is a question that is not my own. It's a question I can't answer.
ParlaMint-NO_2008-05-21.ana.ud1553e852	I thank the Council of State for the answer. I must say I am disappointed with the response of the Council of State, which has long seagoing times both here in the house and as the Council of State. I had actually expected a more concrete answer. As I have seen the Storting regulations, it is permissible to ask specific questions about concrete matters, and not just on a general basis. The problem as such is not new. I have raised these kinds of questions in the past, and I note that this government only continues what has been an established policy, namely, that the Sami interests are actually ahead of local interests. You just get to register that. Many samars claim that this is happening within their territory. To ask a specific question, to which I hope I get the answer, does the Council of State think that there is now a need for documentation from the group that can almost prove that this is happening within their core area?
ParlaMint-NO_2008-05-21.ana.ud1553e863	I believe that the representative of Korsberg and I will agree on one issue, and that is that the specific issues raised by this matter are difficult and complex and require the handling of cases by bodies to bodies according to the rules that apply to them. So I'm going to give the representative of Korsberg right at one point, that today's government is busy keeping the international obligations to the people of Norway, as well as the 1966 UN Convention on Civil and Political Rights, as well as ILO Convention No. 169 of 1989 on indigenous peoples. But then I would like to stress again that it does not mean that all of their interests should always lead to other interests. There will be a balance in each specific matter.
ParlaMint-NO_2008-05-21.ana.ud1553e880	This question has been postponed.
ParlaMint-NO_2008-05-21.ana.ud1553e887	‘New holiday arrangements for the Austevoll municipality after the opening of Austevollsbrua have been the subject of questions before, but unfortunately must be left. The invitation to tender for the ferry section between Krokeide and Hufthamar is in accordance with the staging proposal for Austevollsbrua. The old assumptions used for future ferry services include: not take into account strong traffic growth for many years which shows a high need for ferry capacity. Two ferries and lower speed will provide better solution than one big new ferry. How does the Council of State help Austevoll?’
ParlaMint-NO_2008-05-21.ana.ud1553e894	In St. prp. No 30 for 2004-2005, on the development and financing of R & D. 546 Austevollsbrua, alternative use is provided for the rescued ferry services from the national ferry services and tolls. The alternative use of integrated ferry charges is set for 15 years by a reduction from two to one ferries in the Krokeide-Hufthamar connection. When handling the case, the municipality of Austevoll decided to accept a reduced ferry frequency in order to put Austevollsbrua in place. The Ferjestränninga Hufthamar-Austevollschella was closed when Austevollsbrua opened in November 2007. Replacing two ferries with one major ferry was an important commitment to providing funding for Austevollsbrua. In order to avoid future traffic growth, therefore, a large ferry was added to the main message so that capacity per year. The hour approximated the capacity of two smaller ferries. A proposal to replace one ferry by two will therefore break with the base for the whole system associated with alternative ferry charges. The connection is currently operated by the ferry MF “Great”. Ferja has a capacity of 107 cars. The Directorate of Roads reports that if we compare the 1st quarter of 2008 with the 1st quarter of 2007, we see a traffic growth of 3 pst. This is a growth inside you can expect. In addition, the Directorate of Roads informs us that per 1st quarter of this year it has been said that 15 runs. The reason for transporting dangerous goods is not the capacity of the ferry in the connection. According to the Directorate-General for Road Transport’s assessment, the traffic settlement in the connection is satisfactory. In connection with the launch of the competition, the Ministry of Transport has chosen a shorter period of operation for the Krokeide-Hufthamar link. The period of operation is set at six years, starting from 1 January 2011. Reduced supply period is intended to reduce the uncertainty associated with future traffic development. The offer criteria do not set requirements for faster speed in the connection than is normal for national road transport operations. I am aware that there is a great deal of local notice about the connection and new offer announcement. In short, the Ministry of Transport will have a meeting with the municipality of Austevoll on the subject.
ParlaMint-NO_2008-05-21.ana.ud1553e907	Thanks for the answer. It's good that there's going to be a meeting. It's even better if there's better ferry capacity. The numbers that the state council referred to are probably right. But what's important to use in this context is the traffic forecast in St.prp. No 30 for 2004-2005, which we dealt with in 2004. The traffic figure in 2007 is then 13 pst. above what the grossing-up proposition took into account. There is no doubt about the assumptions contained in previous decisions. There is also no doubt that the world looks different today, not least that traffic looks different today. This is primarily what the Austevoll municipality and the Hordaland county municipality have very clearly asked the department and central government authorities to take account of. The councils are opening Austevollsbrua. She mentioned the job with the ferry connection and said she worked under pressure and pressure. Can that job provide a better ferry connection than is now proposed?
ParlaMint-NO_2008-05-21.ana.ud1553e916	It was a great day at Austevoll when an open Austevollsbrua. It's one of the nice experiences a Minister of Transport gets to participate in. When it comes to the ferry, it's quite right that I also said that I'm working on it, and there's a leak in the fact that we have a meeting with the municipality in the near future. What's important is if there's a large percentage of remaining cars on the ferry link. It has one per. current date not. We know that, among other links along the coast, there are links that separate have greater involvement than one has in Austevoll. It will then be necessary for me, who will be responsible for the whole country, also to look at the relationship that is consistent with what has been entered into in the past, what is in line with the NTP standard, and what is not. Therefore, of course, this distance must also be seen in conjunction with other distances.
ParlaMint-NO_2008-05-21.ana.ud1553e925	Thank you again for your answer. I understand that very well. However, we must ensure that what was a major gain of land, namely getting better internal connections in the Austevoll island municipality, does not result in a worsening of the ferry link - as the only link - to Bergen. There is no re-routing at all, and traffic growth is well above what was required in the staging proposition. So it's important to add that it's not just about the number of passenger car units on the ferry. It's also about the opening time, that's when the ferry goes, and how many times the ferry goes. If we look at the volume of traffic in relation to the NTP standard as I have understood this, the solution chosen will be significantly lower for this society in the future than will apply to other connections with the corresponding capacity. It also has to do with readiness if you choose one ferry and not two. If one ferry is out of play, you're paralysing the entire island community.
ParlaMint-NO_2008-05-21.ana.ud1553e934	Of course, it is important that you have a good relationship. So when we look at the capacity now up against what was before going over to one ferry, it is so that in 2006 there was 3 100 remaining running speed, or 1.2 pst. of total traffic. The corresponding figure for 2007 was 1,814, or 0,6 pst. From week 47 in 2007, the link has been trafficked by one ferry. Except for two Tuesdays when one has had the transport of dangerous goods, it has not been added. So the reason for the remaining cars these days was the transport of dangerous goods. There were 31 remaining cars in December 2007, compared to the corresponding 65 in December 2006. As the Council of State, I'm forced to relate to that kind of number. I'm forced to relate to reality and look at how it is here versus other connections. So I'm going to think about the persuasion. today, this is not a problem. If it's going to be in the future, I'll evaluate it. That's why we've seen the bidding period of six years and not eight years, which is the usual.
ParlaMint-NO_2008-05-21.ana.ud1553e946	I will be allowed to ask the Minister for Transport the following questions: ‘According to Oppland Arbeiderblad, the Labour Inspectorate for Inner East has assessed the closure of Rv. 33 Gjövik-Minnesund due to danger to professional drivers. The road is sinking on the outside towards Mjøsa, resulting in heavy transport being strongly pulled against the auto protection/slope. In the long term, parts of the road will crash out. The Council of State is probably already aware of the matter, but what kind of action will the Council of State take?’
ParlaMint-NO_2008-05-21.ana.ud1553e955	It is true that the Labour Inspectorate has informally asked the Norwegian Road Administration questions about the safety of heavy running noise on the Rv. 33 between Minnesund and Gjøvik, and especially on the route through Byrudberga in the municipality of Eidsvoll. The reason for this is sentences in the roadways and narrow runs, which makes it difficult to run there, especially for heavy runs. The Swedish Road Authority has replied that they are aware of these conditions, but that they do not consider it necessary to close the road for heavy running. They will, however, implement immediate measures to improve the situation by introducing a temporary reduced speed limit and correcting the worst sentence damage with asphalt masses. A recent inspection with an engineer geologist shows that there is a movement in the road foundation past Byrudberga, so that a greater reinforcement work must be carried out on this route in a few years. This is why the state road authority will now launch a plan to implement a reinforcement project for Rv. 33 in the 2010-2013 action programme. This will depend, of course, on the fact that the county also prioritizes the road in connection with the National Transport Plan 2010-2019.
ParlaMint-NO_2008-05-21.ana.ud1553e964	I am very pleased that the Council of State has grasped it. Now she says it's from 2010. Still, I am satisfied with it, even though it is a little bit ahead in time. Abroad has been one of the worst states in terms of accident statistics -- it was at the top last year -- and unfortunately, statistics for this year are also bad. Here the road is exceptionally bad. Can the Councils expedite this? And how large will this reinforcement project possibly be? Would it be so that two trailers can easily meet in this area?
ParlaMint-NO_2008-05-21.ana.ud1553e971	I don't have the full list of deadlocks in Oppland this year, but if we look at past experiences, both in Uppland and in other states, it's not on the narrow and curved roads of the deadlocks. They usually happen on the good roads. Because that's the speed that unfortunately usually kills, and speed gets faster the better the road gets. It's a paradox that we unfortunately see. And there may be one reason why some Western states are low on the accident statistics, because the roads are so poor and narrow that you can't run any faster. When it comes to the design of the road, I said in my main response that one should now start planning work. So I don't have an answer to that question right now. The work to be carried out by the State Road Administration must provide an answer. But we're going to give room for the state roadway service to initiate such a plan.
ParlaMint-NO_2008-05-21.ana.ud1553e978	I'm very pleased with the Council of States--for once, I kept saying. - Yeah, I think it's positive that the Council of State would take care of it-- I think so. At the same time as rv. Thirty-three races out, the foundation of the Gjøvik track has also broken out. The Gjøvik track was then closed for a while. So it's clear that the foundation of both rail and road is bad in Uppland. At the same time, it's not the speed that creates the accidents in Uppland. If we look at E16, it's so narrow that two trailers can't meet. There are enormous accidents, and they continue into this year too, unfortunately. So I wonder if the state council will reconsider a little bit of that perception that it's not the speed that does it in Uppland-- but it might be that it's the same in other states.
ParlaMint-NO_2008-05-21.ana.ud1553e987	There are clearly more causes when accidents happen. It's important to clarify it. When it comes to E16, the Minister of Transport then travels and water along that road. It's not long since I ran home along the E16, and I have to say that I'm a little worried about the culture of traffic. As the Council of State and otherwise, I try to keep the speed limits. Not many others did that Friday afternoon. Where I ran in 80 and a little over, there were a lot of people running in far over 100, as I could judge. So the speed can be done to also get on the E16, even if the road is in a state that means that one shouldn't run at that speed. It is probably the combination of a road that is not suitable for that speed, and many people are still in a hurry to get there quickly, which makes the road unclosed. It is clear that that road is one of the ones that we now assess in the national transport plan context, for repair.
ParlaMint-NO_2008-05-21.ana.ud1553e996	This means that today's maps are ready. - The meeting's been cancelled.
