ParlaMint-NO_2008-06-19.ana.ud497e228	The representative, Ulf Erik Knudsen, will put forward a proposal for a representative.
ParlaMint-NO_2008-06-19.ana.ud497e1364	One might wonder if a military defence is necessary for a time without a clearly defined threat. Of course it is, to ensure our sovereignty, our rights, our interests and our freedom of action--just to be master of our own house. It was enough to be the «master of his own house» who was at the root when the red-green parties were sitting on Soria Moria and designated the northern regions as the main strategic area in the years to come, and determined that a strengthened military presence should be part of the normal state in the north. This is reflected in St. Prp. No 48 for 2007-2008. Norway manages 2.2 million square kilometres of sea areas. It is therefore important to ensure that maritime defence is well equipped for increased presence, not least in the north, where the environment and monitoring are absolutely necessary, while at the same time providing a safety policy tool for the performance of national and international maritime tasks. For me who comes from Northern Ireland, it is also important that the Marine Hunter Command at Ramsund War Station be continued with an adjusted and strengthened organisation. This means that department management related to education and training is continued in Ramsund. It's a victory for a small municipality like Tjeldsund, and it's a victory for the red-greens that the entire committee has joined that note. The other thing that's very important to me is to keep Bodø Main Aviation Station, which is the country's largest air station in the city of Bodø, with its 900 workplaces. I am sure that this presence in North Norway has contributed to the positive development we have had in the area of detachment in the north since 1991. If the Naval Defense is important, the Air Force is just as important to maintain the sovereignty of the North. Without them, Northern Region policy would not have the basic foundation. That is why I believe that Bodø is the most suitable location as the main terminal of the future. In order to make this foundation completely bottom-solid, it is necessary to bring together the operational management of the defence at Retan at Bodø. Already in 2001, I thought that we saw the contours of a larger development in the northern regions, and that Russia was on the rise again, but during the big debate on the conversion of the Defence, St. pp. No 45 for 2000-2001, relations with NATO were more important than developments in the north, and I lost. The NATO argument is not as relevant today, but someone is holding spasmodic on to it anyway. Unfortunately, there have been some mistruths about Reitan in the process, among others. that the Ritan plant is in poor condition with investment needs in the billions class - which, of course, is not correct. Fortunately, the municipality of Reitan and Bodø has not placed itself in the swedish range, but has marketed the airport, as it is, with facilities for the whole family. I am proud of this and can say on behalf of the whole Nordic country today. Of course, the location of the Defence Command on Reitan is a signal to the outside world of Norway's commitment and commitment in the north. This will prevent what Johan Jørgen Holst used to call exciting misunderstandings on Norway's political priorities. A merged command unit provides increased competence, efficiency and operational capability. This will pay off economically and not least socio-economically. The future will show that the red-green made the right decisions in good time. We are well pleased in Northland with the results that are being adopted today, also with the Home Guard and Orion flights on Andeya. This is a north-eastern bet at its best. I expect that there will now be a continuation of the relocation of the main command to Reitan, and that the Council of State will take the best possible initiative to put in place an interim solution that only works for the new organisation. [[President clubs]] [[President clubs]] Kontreadmiral Grytting at Retan believes that you can be fully operational as early as next year. Take that challenge!
ParlaMint-NO_2008-06-19.ana.ud497e1390	The President will recall that this is a long debate and ask the representatives to respect the speaking time.
ParlaMint-NO_2008-06-19.ana.ud497e1393	The task of defence is to discharge the timeless and fundamental responsibility for creating security for the population, society and the nation-state. Defence and security policies should therefore be broadly anchored politically and predictable, not least since Norway’s defence and security policies depend on international alliances. The price we pay for the defense is like the insurance premium we pay for our house. It is not a balancing item, even if the family wants a expensive vacation. In Norway, we have long traditions for the broad lines of defence policy to be broadly anchored in the Stortinget. This year the Labour Party has chosen to break this tradition. The long-term plan of defence is drawn up by a narrow majority, with the Socialist Left making up the second largest partner - the party that has always faced a hostile line of defence, and which was formed on the basis of resistance to Norwegian membership in NATO. This shows that the Right was right when, in the election campaign in 2005, we warned against the Workers' Party going to the elections to let the Socialist Left Party into the government offices. The answer from Stoltenberg was the time that SV had accepted Norwegian NATO membership. Our point is that Norwegian NATO policy is not about membership or ownership. The role of Norway in NATO is at stake, and not least how Norway is perceived by our allies in NATO. It is a policy that is conducted every day. Already in the first six months, we had literally demonstrated this point when several representatives of the Socialist Left Party chose to stand outside the Storting to demonstrate against their own government's decision on Norwegian participation in Afghanistan. Since then, Norway has systematically reduced its importance in NATO. In the rocket shield case, the Workers' Party accepted that Norway was becoming a footnote country in NATO. The defence has today major problems that need to be solved immediately before central capacity is further weakened. The right considers the issue of a long-term balance between ambition, structure and economy as central, but demanded in the negotiations with the government parties that the short-term operational problems in the defence were also addressed immediately. The Labour Party accepted that the Socialist Left Party put its foot down for this rather than taking the opportunity to obtain broad support from the Storting for a necessary and required increase in the budget for the Defence already next year. This point was reinforced when the representative Jagland claimed that the differences are small in this room. If the differences are so small, the price should be very small for the Workers' Party to ensure a broad consensus on creating predictable and viable framework conditions for defence and defence policy in Norway. That price was obviously not the Labour Party willing to pay. The working party chose to break the negotiations on the grounds that they demanded that the Joint Operational Headquarters be closed on Jåttå. It's a total opposition. We believe that today's organisation ensures co-location with NATO in Norway. It is quite obvious that in a situation where Norway’s attention is weakened in NATO, it is beneficial for Norwegian officers to work daily with their colleagues from all countries in NATO in Norway. We are also afraid that this change will weaken Norway's position in the next round when NATO is discussing its structure in Europe. The Socialist Left does not succeed in getting Norway out of NATO, but with the help of the Labour Party, they can succeed in getting NATO out of Norway.
ParlaMint-NO_2008-06-19.ana.ud497e1406	In the Defence Study, it was proposed to lay down Base Jørstadmoen and move the business there to the Oslo region, i.e. Kjeller, Sessvoll and Kolsås. The government has made a right and good decision for the defense when she chose to keep the base, and for the region around Jørstadmoen and the whole interior, it was a very important decision. In this matter and in a number of other defence cases, I am impressed by the defence minister's will, ability and courage to take the necessary political decisions in a very demanding area. I am pleased that the Council of State has listened and shown the willingness to also enter this part of a large matter area. I am overconfident that with a bet on Jørstadmoen, one can achieve precisely the goal that was also the basis of the Defence Study, on professional synergies, robust environment, long-term construction and work opportunities for them to add and not least financial effects, access to recruitment and a number of other elements. Here's the area, the facilities and the possibilities for development. The region has the country’s leading environment of competence in information security. Jørstadmoen cooperates with the Höjskular and the Environment for Competence. The Gjøvik University has 10 positions, i.e. five years' work that is used in engineering training at Jørstadmoen. This is an attractive arc area. Jørstadmoen is the total supplier of skills, systems and materials of modern ICT within the country and for operations abroad. This is an area for which a modern defense obviously needs to be strengthened. The use of ICT is central to all military operations, and the importance of exploiting the potential of modern technologies is increasing. It is imperative to build a resilient ICT environment, especially in the Defence, where, at times, entirely own technological solutions are required. An increasing number of defenses will not be able to build such an environment in more than one place. I then also read in the setting that the defence committee of a co-consultant recommends that one as much as possible gather ICT resources in the Defence. At the same time, one shows that the Storting i Innst. S. No For 2003–04, 234 attended a joint centre of expertise for command, control and information systems at Jørstadmoen. Citation from setting: ‘The Committee is concerned that this will maximise the pooling of ICT resources in defence, and expects the Government to return to the Storing on this matter in the context of the review of the FLO.’ The Committee supports closer cooperation with the relevant research environment and industry. The Committee has also stressed the need for defence to contribute to finding common solutions in areas such as the construction of costly infrastructure, the development of a viable professional environment, education and technology development. The Lillehammer Regional Council has created Lillehammer Campus, a joint area for interaction between education, research, defence, innovation and business development. At Jørstadmoen, therefore, an ICT Centre for Defence can be established on the same campus as the Højskule and the Food Park, and realize precisely this vision of Defence as a fully integrated part of a civil-military environment of competence. This provides both professional synergies and economic savings potential, and the Centre can become an exhibition window for a new and forward-looking military organisation. The military engineering high school at Jørstadmoen is now fully integrated with the Højskulen at Gjøvik on the teacher's side, and is about to be integrated accordingly with the Højskulen at Lillehammer with regard to the provision of studies. The aim must be that the education sector in the defence sector is seen as an integral part of the higher education and university sector in society otherwise, and the defence engineering college in Jørstadmoen is the military school that has come most in this area. The deficit in domestic technology workplaces is a strategic possibility for defence, but at the same time has been one of the main challenges in the further development of the Inland. The interior is currently lacking a technology locomotive that is strong enough to pull the rest of the region with it and make the area a natural place for start-ups before technology. Such a locomotive can be a collective defence ICT centre that interacts with existing environments at Gjøvik, Raufoss and Hamar. So this approach alone will be able to solve the domestic technology challenge. In the Soria Moria Declaration, we promised to invest in the districts, and this action will be the most important thing we can do for the Inland during this majority period. The news on Wednesday that Stortinget wants to bring together the ICT business in the defence of Jørstadmoen already led the same day to requests from companies that want to establish themselves and become part of a common civil-military professional environment. This illustrates the need for such an environment in the interior, but also the potential for defence.
ParlaMint-NO_2008-06-19.ana.ud497e1437	The government's proposal to close Joint Operational Headquarters on Jåttå is not in any way properly justified by the Government. The government's procedure before and during the treatment in Stortinget also testifies that you have not been fully aware of what you are doing. I'll do a local example. In Stavanger Aftenblad on 31 August last year, i.e. in the middle of the local election campaign, one could read the title ‘Kleppa promises battle for Yåttå’, further that the parliamentary leader of the Centerpartiet, Magnhild Meltveit Kleppa, as the first central representative of the government parties now goes ‘with a clear no to Yåtttå closure’. On 31 January of this year it was possible to read in the same newspaper the title ‘The Center Party is burying Yåttå’. [[...]] At that time, the local election campaign was too far ahead, and the same law firm Kleppa had become the municipal minister. The paper further wrote that the same Meltveit Kleppa who promised to fight for Jåttå in August was completely unaware that the central party’s big group had decided to lay down the joint operating headquarters on Jåttå. She had not even been present during treatment, according to the newspaper. And what was the reason why the Center Party had taken such a decision? Jo, «Rogaland has enough jobs», said the parliamentary leader of the Centre Party, Lars Peder Breck. Here, the Center Party again reveals its true face. The party doesn't care at all about military advice, cooperation in NATO, or the waste of hundreds of millions of dollars. The most important thing for the party is again their failed district policy and the consideration of the jobs in the districts. If you just take such considerations, Rogaland will probably get bad out there. Lars Peder Breck is quite right that there is a tight labour market in Rogaland. This can, however, create even greater problems if the Storing decides to close today. I have spoken to a number of employees and I have chosen to trust Jåttå who have not intended to move northwards. Many are established with family in the region, and most are well qualified to get a job in the tight labour market we have in Rogaland. This has the consequence of breaking up and pulverising the environments of competence that have been built up for many years, as well as of losing highly qualified defence personnel. Obviously, this has not been thought of either in the Centre Party or in the other government parties. One of the decisive premises for the location of the Joint Warfare Center in Norway and Jåttå was the co-location with the Joint Operational Headquarters. Therefore, the signal power at the closure of Yåttå will be very unfortunate. This will eliminate the synergies currently existing between the military operational management and the Joint Warfare Center and change the assumptions for NATO’s continued presence on Yåttå and perhaps also in Norway. This is very serious. The Socialist Left Party, as you know, has a programme party that they want Norway out of NATO, and now they may at least be able to collect a delise by being able to get NATO out of Norway, which the representative Höie was in. The economic consequences of closure and relocation have also not been adequately elucidated in the case. The amount of money we see here with hundreds of millions of taxpayers' money is incredible in a defense that every day lacks money. I do not think madness is a parliamentary correct expression, but I have not been able to find a more comprehensive expression of what is about to happen here today.
ParlaMint-NO_2008-06-19.ana.ud497e1452	The issue we are debating today is important for the renewal and structure of the defence and tasks that the Norwegian defence is going to do both at home and outside. The issue has been and is challenging, as it will ensure a defence adapted to tomorrow's challenges and a rational and strategic organisation. In addition, these changes involve both the base structure and the relationship with local communities over many years, changes that are challenging both for the military and for the civilian population. I want to use this post to focus on defence and the North. Defence in the north is important in relation to the Northern Region perspective. We have gone from being a safety-policy marshalling area to becoming a power centre for energy and petroleum production. This creates new challenges, not least in relation to co-existence of fish oil and new environmental challenges. I myself come from Finnmark, a country with a large geographical extent, bordering our neighbour in the east, Russia. There are large sea areas where there is no longer only the primary industry of shallow fish, which can create conflicts of interest both nationally and between our two countries, with increasing petroleum activity on both sides of the border. The first land fall through the Snow White plant is already in production. There are also concrete plans for the development of the Goliath field, where the Italian company Eni is an operator, and the exploration activity in the north is high. HV has important tasks in the county, related to both installations around the Snow White plant and other important objects around the county. Petroleum activity in the coming years will gradually move east in the Barents Sea. Installations that represent large values can constitute a potential target of terror in the future, without me drawing it too far. I just want to show that the head of defense in the media has stated that the Snow White installations are target of terrorism. One in this country. I am pleased that, later today, we will decide that the main seat of the Alliert training centre is to be added to Porsangmoen, that the commanding training in the Home Security at Porsangmoen is maintained, and that a common HV district for Finnmark is added to the same location. Together with the maintenance of the best and most widely used shooting and bombing areas in Norway, and perhaps in Europe, Halkavarre, this provides a good starting point for future activity. There are no unresolved conflicts of interest in the shooting and bombing field, which may be used 365 days a year. I want to say, even if it's not going to be crucial, that Porsanger is a municipality there over 70 pst. of the areas are connected to shooting grounds, national parks, wetlands, etc., and thus have very limited possibilities for other economic activities requiring areas. It is understandable in South Varanger that the new overall HV district is not being laid there, and that HV-18 is being laid down. There is never a pleasant situation for a community when activities are moved or laid down. However, they have the garrison in South Varanger, which is both the Garrison Company and the Grensek Company. The latter has important tasks at the Norwegian-Russian border. I would like to add, although there are professional assessments to be taken into account, that the South Varanger community has an exciting development ahead of itself with the reopening of mining and the ring-fence of future petroleum activities both on the Norwegian and on the Russian side. Looking at the situation as a whole, we now have two viable military units in Finnmark: the army activity at the garrison of South Varanger and the Home Guard activity and the Alliert training centre at Porsangmoen. Then what is left of the Army Department, or the Hunter Company, is moved from the Porsangmo to the Inner Troms. This has a professional and rational anchoring. Subjectively judged by a Finnmark representative -- and I repeat that it's subjective -- that's not, of course, what I want most. But at the same time, I must be allowed to say that what we are adopting today is a good whole and very good for North Norway.
ParlaMint-NO_2008-06-19.ana.ud497e1482	The following speakers have a speaking time of 3 minutes.
ParlaMint-NO_2008-06-19.ana.ud497e1485	Today, when it is decided to bring operational management together into one headquarters, it is natural to bring it together in the northern regions. Furthermore, it is natural to pool it with the facility that has the capacity to receive the Defence Operational Headquarters as a whole and at the same time space for any extended functions in the future - i.e. Retan. It is also of great importance that the competences of today’s 270 staff among Reitan are maintained in order to address the important tasks of the northern regions in the future. Today and in the future, the size of the defence is limited to no more than one headquarters. The opposition's proposal to keep Yåtta raises questions about the overall structure: Do the opposition want to continue to maintain both headquarters, or do they want to keep Yåttå and put Retan down? I think there's something behind it. If they want to keep both, that means saying no to the rationalisation and adjustment of the management structure and the associated financial savings - a saving that is intended to be used for the operational operation of the departments. If they want to put Reitan down, they should say so in plain language. This will lead to the reduction of the long-term environment that has developed a special competence to monitor, assess and address the problems associated with the north. Military professional arguments should weigh heavily when selecting location. The Government’s proposal is also in line with the Defence Manager’s proposal regarding the location of the Joint Operational Headquarters of Retan. The importance of the north-eastern focus should subsequently be well documented. We are talking about marine resources, petroleum resources, geopolitical interests in a water that is becoming increasingly ice-free, the environmental perspective, unexplained boundaries both above and below water and on the base, high strength concentrations, increasingly important transport corridors, etc. Nine tenths of Norway's sea area is north of Brønnøysund. Here it's important values to protect. After the Cold War, NATO has concentrated less on the North and Norway has also developed its role in international operations. Now you can see that the needs for focus in the north have changed, and change, and NATO has focus elsewhere. Norway thus has an increased need and responsibility for ensuring safety, monitoring and sovereignty in the north. Competitive synergies exist by bringing together the activities of Bodø. So to the setting point 2.6.5., attached to the Maritime Defense. The presence of the Marine Hunter Command in Ramsund War Station must be maintained at a minimum at the level of the day. I hope that the wording that stands will not weaken Ramsund War Station. Teldsund Municipality, with its 1,330 inhabitants, is probably one of the most defence-dependent municipalities in the country.
ParlaMint-NO_2008-06-19.ana.ud497e1506	Can I get the word to clarify a manifest misunderstanding?
ParlaMint-NO_2008-06-19.ana.ud497e1512	The President believes that the representative can clarify that misunderstanding in a later article.
ParlaMint-NO_2008-06-19.ana.ud497e1515	For the past six months, I have been involved in the link between defence and health. That is why I am taking the floor in this debate. I have noticed with pleasure that a joint committee asks the Government to promote a separate case on the needs, consequences and solutions associated with personnel involved in foreign operations. There are policy decisions that are behind Norwegian men and women going into international operations and having to take part in sharp operations, with life and health as a response. It may be that both politicians and some among the Norwegian people are not sufficiently serious about themselves, because it is talking about Norway as a nation of peace - that we send our soldiers into peace operations of a slightly different kind. But had it been peace, there would have been no need for the sharpest weapon we politicians have, namely our military defense. We have to relieve the burdens on them of our veterans who are already struggling. We need to be able to see both those who are now in international operations, those who are going to serve as soldiers abroad, and those who have been out there, in their eyes and say, when you do such an important and risky job for us, as a society, we're going to arrest you if you're going to have trouble afterwards. I expect the Government to give XIII in its decision the necessary resolution and thoroughness that the matter of veto demands. It is a complex area to be surveyed. Important elements will be the extent of damage and the type, forms of treatment and follow-up. A real follow-up of all veterans is important, so that problems can be identified and addressed at the earliest opportunity. Then it does not keep a questionnaire in the post of the individual veteran. The relatives, through their double role, are important to have contact with, both to reveal who is struggling, and because through their relationship they can often have problems themselves. A treatment offer with capacity and competence needs to be put in place. In order for treatment to be effective, there must be a basic competence also regarding the nature and nature of the war at the hands of the practitioners. Without such competence, a good client-manager relationship is made difficult. I hope that if not for too long we can get a case from the Government where one through the veterans' input and the departments involved has helped to give the case the quality the veterans deserve. The Christian People's Party expects it to include concrete escalation plans in those areas of society where, unfortunately, we are not able to handle the veterans well enough today. I have read a notice today and yesterday in Bergen's Official Journal, where the Minister for Health and Defence put forward plans for a new law to ensure veterans. I think it's very positive signals, and looks forward to that work.
ParlaMint-NO_2008-06-19.ana.ud497e1538	Defense study 07, which suggests a structure on the Heimevertet with 30,000 soldiers and ten HV districts, is clearly at the root of some of the setting regarding the Home Security. The proposal now presented to the Stortinget by the Government proposes a crew structure of 45,000 soldiers and the closure of two HV districts and crew training at the Værnes. Within this framework of 45000 men, HV-07 and HV-08 seem to have only a marginal reduction in their war structure. The rationale, and therefore the gain, of merging the districts will therefore be very difficult to discover. They're presented crystal-clear calculations that show that it doesn't respond to adding HV-07. In addition, decommissioning Home Security District 07 will mean that the whole of the South will be without operational military management. A new joint management of HV-07 and HV-08 added to the Water Camp in Sandnes will also impose a significant burden on the travel activities of the staff of the department. The consequence is that one of the most effective and best HV districts in the country is closed down, and that training and follow-up of local HV departments in Agder is becoming more difficult and expensive to operate. Contact with the community on which HV is fully dependent will also largely disappear. The events of the last weeks in Fromand especially and the fire there clearly showed the importance of a locally related home protection. The support of the district staff in HV-07 was essential for the HV team to do the great job they actually were in. Local knowledge was essential that the fire did not reach an even greater extent than it did. In other words, local management is crucial to the quality of the effort. I cannot say anything but that I am incredibly disappointed in the Workers' Party. The Right Party and the Labour Party have come together for reasonable compromises on defence largely throughout the post-war period. This time there was also an attempt, but the Workers' Party showed little or no will. When it comes to the question of HV-07 and the three government parties' representatives, all three have been strongly involved in the rhetorical game that has been going on in South Africa to maintain the district. When it comes to today's vote, there are all the possibilities to actually vote for what you mean, and let the HV-07 pass.
ParlaMint-NO_2008-06-19.ana.ud497e1553	Today is a serious marking day for civil-military cooperation in the South. The Workers' Party, the Centre Party and the Socialist Left Party have decided to drop Home Protection's own basic training on the Guards, lay down HV-07 and HV-08 in the Agder counties, merge three counties and add district staff to the Water Camp in Sandnes. It will be a major district and a huge challenge in terms of distances and the ability to maintain sound and good dialogue with all municipalities. I have received many enquiries, letters, e-mails, telephones, and I have had meetings with the KS and all the rapporteurs - over 20 pieces! As the leader of the Agder bench, I can assure the Storting that there is a cross-political consensus that this merger of the HV districts is neither desirable nor felt to be safe. People are upset, and I know that both the Minister of Defense and the Defence Committee have received more letters on the matter. It is claimed that the savings expected have been made on a very poor basis. In reality, there's nothing to spare. A whole part of the country is now afraid that this is the beginning of the end of having home protection in our part of the country. Then there is little defense left. Crisiss can occur at any time and anywhere. We have received a strong reminder of that in connection with the fire in Fromand. The fire that lasted for days gave clear signals of the importance of having sufficient reserve personnel when the crisis is a fact and difficult to deal with. The Fire in Fromand has again put social security and civil-military cooperation on the agenda and demonstrated the need for vulnerability analysis, national plans and national preparedness when forest fires are out of control. It also demonstrated the need for cooperation between municipalities and regions, and not least against the Directorate for Social Security and Preparedness and the Ministry of Justice as the Ministry of Coordination and responsible for social security and preparedness. The Christian People's Party has noticed that the big news came so late that the long-term plans for defence and social security could not be treated in parallel, as the Stortinget has adopted and clarified several times. The Christian People's Party has noticed that 'Large forest fires' have a separate section in St.meld. No 22 - Social security - so that debate can be reopened for the autumn. But the Battle of Homeland is today. For us in the South, this is about the clear presence and security of the defence for the population.
ParlaMint-NO_2008-06-19.ana.ud497e1572	A modern defense must open up to the society it's part of. A more open defence will strengthen its legitimacy, the population's integration will become stronger, and the overall mobilization capacity of society will be strengthened. Civil environments of competence in industry, technology and education are important sources of competence and development, where defence can gain knowledge and expand its professional platform. In particular, this is important in the field of ICT where development is fast and where it is difficult to rely on both financial resources and not least in terms of maintaining competence. In a common information infrastructure, a collection of the ICT services of the Defence Agency will provide a reinforced starting point for solving the major challenges facing the defence in the context of future technological developments. This is to build a sustainable environment with the ability to recruit, hold skilled personnel, conduct relevant own research, lie ahead technologically and be an attractive partner for international military actors and not least relevant actors in civil life. In this context, the ICT environment of defence at Jørstadmoen has shown its way. Today, the military engineering college is fully integrated with the Gjøvik High School on the teacher’s side, and together with, among others. Norsk Tipping, DnB NOR and the Gjøvik High School are the Defenders a very important contributor to the development of the Gjøvik Data Security Centre, which today constitutes the foremost competence in our country in its field. These are just examples. There are many possibilities, and of course the defence's ambition must be to approach the leading technological environments not only in Norway but also internationally. With a combined grip, the defense will turn itself into a major player and be a very attractive partner. Jørstadmoen has good assumptions for making room for a comprehensive solution. Central location, good location and an economically sound starting point for possible deployments provide a good basis for hosting the future collection of ICT services by the Defence Force, thus constituting the focus of the future information infrastructure of the Defence Force. The right is therefore pleased that a joint committee has agreed to this request.
ParlaMint-NO_2008-06-19.ana.ud497e1583	It has been mentioned earlier in the debate that SV poses a threat to security policy and defence policy. I feel quite safe in this room -- with all that is of military personnel in the diplomatic lodge, I would say that there is no immediate danger here in the hall. The defence we are investing in today is the defence we get in 25-30 years. In that structure, we have the Home Protection, and Home Protection is the defence of politicians, because it belongs in our neighbourhoods and is scattered throughout the country to ensure the security of our citizens. Home security shall have the capacity to provide rapid and persistent protection of key infrastructure, support national crisis management, enhance military presence in the country as necessary and support civil society based on the modernised overall defence concept. This involves cooperation with local authorities such as police, state officials, municipalities and agencies in the framework of the overall defence. A home protection that knows the neighbourhoods and local hedged items will play an important role in crisis management and social security. Home protection started their own basic training on Guards to specialise in the tasks they are going to do. The closure of this today will help to weaken the Homeland Protection system. The fire in Fromand has shown the need and importance of being able to summon reinforcements in an excellent way, and it needs to be added to robustness over time. It has also shown that a serious crisis can occur anywhere and at any time. Therefore, the Christian People's Party does not agree with the government's aggregation of HV-07 and HV-08. In the rationale for the changes with a regional loss in the Vatneleieren in Sandnes, it is said that Stavanger is the centre of a strategically important area of vital petroleum activity and NATO activity. Localisation to Kjevik would increase travel distances according to operational needs. It may seem that the Government believes that future HV soldiers should be assigned to the Stavanger area. This is not district policy in the sense that Sørland is dependent on the management element in terms of jobs. We have big, successful businesses. We all know that Hennig-Olsen Ice is now going to contribute throughout the country with summery goods. We don't need the jobs. But in local crisis and war management, it is important that the management element that we in South Africa should deal with, know who our rapporteur is, know who our state is, and know how Agder works in crisis and war management. That's why it's important for Southland to be heard. It took a long time before the rapporteur, Sigurd Pedersen, in Fromand, asked for help. Now, the Agder bench is asking for the help of Stortingen not to be taken from the last operational management element in the South.
ParlaMint-NO_2008-06-19.ana.ud497e1602	It is noticed that SV is in government. In no other budget area, this is more marked than in the Defence and Defence branches, with the under-financing of the Defence. Any budget line has the real growth through which the gigantic, increased revenues until the nation comes, with the exception of the Defence. That means a coastguard partly at the dock, that means less exercise, fewer exercise days. We see that the aircraft has to reduce its training activity. In short, it's a waste of money. The long-term effects of a relationship on the level of equipment of our foreign operations will result in recruitment being the main challenge. The bad examples affect the defence in total, and I think that SV can take on income to a significant extent. The paradox in this regard is that the trade movement of the defence, i.e. those who screamed in the previous period in the one and the other area, is, today, relatively, very, very tame. My second point is: Under the vignette ‘Teaching in the North, Treasures in the South’, the Defence Committee describes the situation of our Marines in Tjeldsund, at Ramsund War Station. I should have liked to have received a comment from the Minister of Defence - how the Minister of Defence considers the statement that the Committee assumes that 'the departmental management of education and training will be continued at Ramsund Warlogssstation'. Is the permanent management of marine hunter training located in Ramsund, or is it to be remotely controlled from the south? So to the third point. I support the proposal to move the Joint Operational Headquarters of the Defence Agency from Jåttå to Reitan. The main argument used to have NATO in Norway is that, for NATO's sub-regional command on Jåttå, the same location should remain today. This was an argument until 2003. Today, it's proven to be no longer an argument at all. Bodø has 50 years of experience in hosting the defense. While there is evidence of an economic gain in co-location, it is the main reason why the defence with the increased attention, the increased importance of our northern regions in this area, should also have a situational understanding that is in line with the position that is now being put on the table and that the defence manager has also presented through his recommendation.
ParlaMint-NO_2008-06-19.ana.ud497e1613	For Eastfold, it's Homeland Protection and Rygge Air Station, which shows the defence's presence. The Christian People's Party has noticed that the Rygge Air Station is continuing with some minor adjustments to the operation. The rescue helicopter service – which is the responsibility of the Ministry of Justice, but which is operated by the 330 squadron of Defence – is located on Rygge. The Christian People's Party has noticed that the Government will consider the future location of fighter aircraft, air protection and basesets in the light of the process related to the generation of new fighter aircraft. Until further notice, the operations concerned are continued at Bodø and Ørland Main Aviation Stations as well as at Rygge Aviation Station. Due to operational needs to support, inter alia: the activities in the Østerdalen garrison and in the Central East in a rational manner, the Christian People's Party considers it important that the helicopter environment of the Rygge air station be further developed and adapted to the operational activities. Rygge Air Station is important to the East. Therefore, it is positive that the 720 Quadron will be reinforced by a required number of Bell 412 helicopters for special operations and support of planned operational operations in future tactical transport helicopters in this part of the country. The Christian People's Party has noticed that Storting's decision that the operations of the 335 Quadron at the Gardermoen would not be carried out to the Rygge Air Station. Home protection has a central role to play in social security and crisis assistance. HV has territorial responsibility and shall be able to reinforce other military presence in vulnerable areas. It's an important problem. Therefore, the Christian People's Party believes that both recruitment from the region, own tailor-made education and a sufficient HV strength of at least 45000 to cover the whole country's geography are required. The Home Office is about to complete a very good conversion. In the opinion of the Christian People's Party, it provides a good basis for further development of Homeland Protection. Furthermore, the Christian People's Party has noticed that the plans for the Sjöheimeverterung relate to equipment including: vessels for command and control, logistics and power production.
ParlaMint-NO_2008-06-19.ana.ud497e1634	For my part, there have been three bars in this. It is NATO, the duty of protection and the anchoring of the defence capability. I don't think there's been any greater need for NATO connectivity than now. It is important that we do not engage in new restructurings just for the specific nature of the structure. The duty of protection is what creates the legitimacy of Norwegian society, and is an important pillar in my view. The role of home security has been to operate watchkeeping and securing. In addition, many have gained experience in operating abroad. The organisation has trained locally, has good local knowledge and has therefore been able to quickly protect people and important social values where required. In cooperation, HV has a mission from society's management or in support of the police, protecting people and important social functions where the soldiers live. The specificity of the HV is more relevant than ever. Therefore, I believe that HV exploits the teams in a cost-effective way for the benefit of society. This also helps to legitimize the defence and keep the defence will alive in a society. That's why it's going to be a big paradox for me when a man chooses to put down a camp as well-functioning in Norway as the Guards. In recent years, one has spent a lot of money on the training facility in Lexdalen. The plant will be completed in 2009, more or less at the same time as the Government will bring down HV Guards. At that time, the plant has cost 130 million. kr. Trøndelag is the district that has recruited most officers over time. With the decision today, there will be a new time in many ways. I have to say it's a ghastly and sad day, after spending some years in this system. I think it's quite special that one of the last facilities disappears from the North-Trunde Team. The danger is that the country's defence capabilities are in the process of rotting. That General Armfeldt couldn't do, it seems today's government is doing well. But I see some hope further. After all, the implementation of today's decision on the Guards is only 1 August next year. And with the will shown by the opposition, it must be possible to reverse it.
