ParlaMint-NO_2008-05-07.ana.ud368e22	The representative, Bent Höie, will put forward a proposal for a representative.
ParlaMint-NO_2008-05-07.ana.ud368e868	It was well the Council of State softened its answer with the last comment. He said in his mind that this had been at the municipal hearing, and that one should cooperate locally. Then it's a little self-contradictory that you actually peace the one bridge that you haven't set up locally to be peaced. There are three bridges over Glomma at Elverum, and two of them have wanted the municipality to consider peace, and then it's the third one you can peace. It's actually a very central trajectory, and it's very difficult to find space around. We're not exactly lacking bodies that have the right to object to local democracy, and they judge by their own peculiarities. Then the municipality sits again and has to take the load and try to find a way through all of this. Does the Council of State see that there is a serious challenge here in relation to the ability of local democracy to find room for action for its own development and infrastructure?
ParlaMint-NO_2008-05-07.ana.ud368e877	I think we have to accept that as far as cultural memory protection is concerned, there is a professional element in which one has to accept that the Riksantikvaren can go in and peace even in situations where there should not be a local mood for it. Every day I go past the Old Aker Church in Oslo, which I believe all people in Norway today would think is a worthy building, but the City Council in Kristania decided in its time that they could not afford to protect it. If you had followed local democracy that time, we wouldn't have any Old Aker church in Oslo. What you think in given historical periods is protective will change. Tastes and pleasures change. For all these reasons, we have the Riksantik product in order to enter and make a professional assessment of what should be protected. But - and that is important in this case - it should be facilitated that it should not have any impact on traffic over Glomma.
ParlaMint-NO_2008-05-07.ana.ud368e882	I find it reassuring to take this into account. When it comes to the comparison between the Old Aker Church and the Elverum Bridge, it's going to be a little long. I think you might want to look back at the bridge in Elverum as something typical of a time, and then it might be a bit of a time, because now you're really hoping for a new big flood in Elverum that can bring you the whole bridge. It's actually the only bridge I've seen that's planned so low that it doesn't tolerate a real flood. It was a danger in 1995. I think the Council of State in and of itself has softened the answer a little bit, and that you do not put a stop to all developments around the bridge. But I also want to ask you to be a little careful about entering into this kind of decision on so central infrastructure issues in a municipality that is also at a stage where you have explored the future of the years that are being peaced here in the middle of the process.
ParlaMint-NO_2008-05-07.ana.ud368e889	As I understand the formalities, the State Road Administration will create a management plan that will be crucial for the future use and exploitation of the bridge. This management plan will then be approved by the Riksantikvaren for this specific purpose, but it is very clear from the papers that this should be ensured in a way that does not cause any major inconvenience to traffic management. Otherwise, I will not contest the local competence of the representative, Gundersen, as to whether this bride should or should not disappear in Glomma. The representative of Gundersen knows that much better than I do, but I still want to remind you that what you have seen in different eras has been very different. Many of the finest buildings, bridges, churches we have in Norway today were viewed as absolute demolition objects in earlier times. It was in its time planned a six-field highway around the Castle here in Oslo, which had significant upsurge in Oslo City Council at the time. I doubt that some thinking people would think it made sense today.
ParlaMint-NO_2008-05-07.ana.ud368e899	I have the following questions for the Minister for Transport: ‘Many municipalities, enterprises and organisations are engaged in the development of alternative and climate-friendly fuels. Several of these have merged in the project to realize a hydrogen route between Stavanger and Oslo. Several see the work for a more environmentally friendly future in the context of a potential for economic development. However, many of the projects are pending because of a lack of funding from the State budget. How will the Council of State contribute to the realisation of the ‘Hydrogenwegen’ project?’
ParlaMint-NO_2008-05-07.ana.ud368e908	The government prioritizes larger amounts of alternative and climate-friendly fuels than has happened during any previous government in this country. There are significant environmental benefits from developing new technologies that are more energy-efficient and environmentally friendly. The government therefore prioritises high-level actions and instruments that can identify the use of new fuels and technologies that can reduce CO2 emissions and other environmentally harmful emissions from the transport sector. In 2008, the government granted 33.6 million. kr to project related to R & D and demonstration of new and more environmentally friendly fuel and transport technologies over the Ministry of Transport’s budget. The 2008 approval is a record increase of more than 10 million. kr, or 45 pst., compared to the 2007 openings. The Ministry of Transport's support for R & D in environmentally friendly transport technologies is channelled through the Norwegian Research Council and the RENERGI programme. It is the Research Council that allocates the funds between the different R & D activities and determines the amount to be allocated, for example. The HyNor project and how much to allow for the other project. Over several years, the majority of the social benefits have gone to HyNor and other hydrogen projects. From 2007 to 2008, the Ministry of Transport has increased its support through the Research Council for hydrogen projects from 17.3 million. NOK 19.3 million. kr. HyNor's ratings increase from 6.5 million. SEK in 2007 to SEK 9.2 million. kr in 2008. At the same time, the Government has also strengthened the support for research on second-generation biofuels. I am also pleased with the outcome of the climate agreement, where it was decided to establish the Transnova project in 2009. The climate agreement says that Transnova will have to dispose of 50 million. kr annually from 2009 to 2011. The Ministry of Transport is now working closely with the external trade union environment to define the tasks of Transnova. Although it is early to say something about Transnova's tasks, it is obvious that the project will significantly strengthen the Government's commitment to environmentally friendly transport solutions. When it comes to other tools aimed specifically at hydrogen vehicles, I would like to mention that hydrogen vehicles have an exemption from the one-off charge. Fuel cell hydrogen vehicles also have an exemption from the annual fee, the right to pass public road bombings free of charge and the right to park in public parking spaces free of charge. The government also recently granted permission to use combustion engine hydrogen vehicles to use interconnector fields on the same line as hydrogen vehicles with fuel cells and electric vehicles.
ParlaMint-NO_2008-05-07.ana.ud368e928	I thank the Minister for Transport for the answer. This year, only 29 million will be granted. kr for alternative fuel research over the Ministry of Transport's budget, and only 2 million. kr is set aside for the construction of a hydrogen pump station in Oslo. Missing appropriations may cause the entire project to be frozen. The climate agreement, which was also discussed by the Council of State, requires the Government to increase its commitment to research and development of climate technologies. Can the Council of State guarantee that the Government will increase the investment in research and development of hydrogen technology?
ParlaMint-NO_2008-05-07.ana.ud368e937	As I did well in my answer, we've all increased the permits for hydrogen projects, including in the current year's budget, by 2 million. kr, and the permissions of HyNor explicitly increased from 6.5 million. NOK to SEK 9.2 million. kr. It is not the Ministry of Transport that defines how the funds are used explicitly, what is going to be used to build pumping stations, and what is going to go to other development projects. That competence in the Research Council. We tend to give the permissions, which then have increased, to this important field. Of course, we are concerned that they should be used well, and have no reason to doubt that the Research Council has the competence to manage the funds where they do the best for themselves in the development of future solutions to hydrogen.
ParlaMint-NO_2008-05-07.ana.ud368e942	I thank you again for the answer. The hydrogen project in Oslo, HyNor Oslo, hopes for an additional 10 million. kr in the revised national budget. The project, which involves the construction of production facilities and hydrogen filling stations, and up to four buses and 20 cars on hydrogen, has just applied to the Research Council, at the RENERGI programme, for funding for the implementation of the project. For 2008, the project was allocated 2 million. NOK, as stated, with a further 10 million commitment. kr in 2008 if the RENERGI programme is provided with sufficient fresh funds in the revised national budget. Can the Council of State promise to look at this and set aside funds for this important project in the revised budget?
ParlaMint-NO_2008-05-07.ana.ud368e951	What is prioritised in the revised national budget will be discussed in these days of the Government. Of course, if the project that was mentioned by the representative Tenden will come into this competition, I cannot answer today. The answer comes back when the revised national budget is presented. But it's definitely an exciting project. I have been involved in opening the hydrogen pumping station, and so has my State Secretary, so we are absolutely concerned that we should get the "Hydrogenvegen" between Oslo and Stavanger in place, because it is a project that also has international significance. It's in several contexts that Norway is actually the world's lead when it's up to coming to such solutions. So it's definitely an important project, but the funds I promise I'll never go out before the budget is presented.
ParlaMint-NO_2008-05-07.ana.ud368e961	«In the evening post Monday 28 April d.o.b. the focus has once again been on the fact that the gradual development of large-scale transport projects not only leads to longer implementation times but also leads to increased costs. Overall development can provide a faster and more reasonable solution, but requires clear and predictable long-term funding, such as: through long-term government loans rather than annual government budget appropriations. What will the Council of State do to change the financing system for major road and rail transport projects?’
ParlaMint-NO_2008-05-07.ana.ud368e968	The representative, Mr Sortevik, has taken up the question of the financing system for transport projects in several contexts, both in the oral Question Time and as private legislative proposals. I am of course in agreement that we should have an effective development of a civil society project, so that we do not have a higher cost than is necessary. There is a great need both to maintain existing infrastructure and to build new ones. This government has thus increased the permissions of the commercial project compared to the previous government - a government for which the Progress Party was a supporting party. We have increased the annual permits for road and rail by over 2.5 billion kr compared to the previous government. And while the previous government started building a lot of projects with small start-up permissions, which have given big bonds for recent years, we in this government have chosen a different strategy. But in such a context, where a large number of small-loans projects are launched, it is easier to blame the funding system than to give priority to it. Without regard to how we finance transport projects, we must give priority to transport and other purposes and between different transport projects. No form of funding can take that responsibility from us, as the Progress Party is trying to create an impression of. In their draft National Transport Plan 2010-2019, transport networks have taken stock of the question of financing major projects in order to achieve optimal progress. An overarching concern must be that we have a system that ensures investment projects contribute to rational progress throughout the deployment phase when the projects are first started. As previously done well for, among others. in response to questions put by Mr Sortevik in Question Time on 6 February of this year, the Government will refer the matter back to the General Report on the National Transport Plan 2010-2019.
ParlaMint-NO_2008-05-07.ana.ud368e981	Thank you for the predictable answer. The Council of State masters the art of repetition to perfection. It's little productive to look back, and it's little productive to continue to blame on the previous government when you've been in your own government for three years. What is the main focus of the representative of Sortevik when he has addressed this before, and probably will continue to address this, is to get a system change that will allow us to advance the development of large projects with clear funding. The focus of the evening post is that we lose a lot of time building slowly. I have noticed that one of the comments made in the Evening Post on 28 April is former Minister of Finance Sigbjørn Johnsen of the Workers' Party, who proposes that the Railway Agency be transformed into a ‘State undertaking capable of borrowing with long repayment periods’. Does the Council of State see that this can be a solution that can lead to faster and more reasonable development of both rail and road?
ParlaMint-NO_2008-05-07.ana.ud368e990	When it applies to the possibility of mastering repeatability, I have to repeat that it also has the representative Sortevik. It's pretty neat what comes out of questions, and we've got similar questions both on 6 February, 23 April, etc. But we would like to talk about financing the transport sector. And when it comes to showing back, it's actually so that in order to show that we've given the transport sector a lift, we need to point out what level one operated on for just a short time back, when the Progress Party was just a supporting party for the previous government. It's not about looking back, but it's actually about getting a real picture that this government has taken care of traffic and given transportation a lift that one thought was difficult. There are different ways of financing transport, but one never gets past the fact that at the end of the day it will be about the willingness to prioritize the sector within the budgets that are still in force.
ParlaMint-NO_2008-05-07.ana.ud368e1001	That is where the heart of the matter lies: within the established budget, which is a one-year expenditure budget. It is neither the Evening Post nor the representative of Sortevik that brings this up again, but it is actually the railway station that points out that the state would earn SEK 1.5 billion if you had built the Lysaker-Asker section in five years instead of ten. I have also noticed that one of the people who comments on this is the former State Council of the Workers Party, Matz Sandman, who calls today's way of granting money to the railway development for a'system error'. He goes on to say: ‘The State budget is not suitable for dealing with such investments. There is no distinction between consumption and investment, and the perspective is one year.’» That's a point of view that the Progress Party shares, and that emphasizes that the reason why we're taking this up again, and maybe have to take it up further, is that we need to change the system, so that we treat investments that last for 50 years, in a way other than expenditure that has been spent over a year.
ParlaMint-NO_2008-05-07.ana.ud368e1015	After all, it is no secret that the centre party also shares the view that investment and operations should be viewed in different ways. I am now in a government that has chosen to stick to today's budgeting system, and I am submitting 100 pst. behind it. Just the Lysaker-Sandvika section, which was mentioned in the Evening Post, can be a good example of what this government is doing. I agree with what was said in the evening post, that if you had seen the whole project in context before you started it could have been something to pick up. But the thing is, then these projects had to have been delayed for many years. We have simply looked at the planning situation and the situation of municipalities, which should also be part of planning processes. It had meant a postponement in time of the concrete project. Although one with the previous government had to wait for funds, in our time in government we have added the funds that the Railway Agency has requested every year in order to have rational progress. It has been explicitly requested from me, it has been explicitly followed up, precisely because it is also within the existing budget to have an optimal progress.
ParlaMint-NO_2008-05-07.ana.ud368e1023	I have a question for the Minister for Transport: ‘The outstanding representatives of the Railway Agency and research communities state that the Norwegian way of building rail costs billions of extra kroner. The Government does not wish to apply OPS models or its own proposal from Soria Moria, project financing. Does the Council agree that this is to waste valuable financial resources that could have been used on other projects?’
ParlaMint-NO_2008-05-07.ana.ud368e1032	I agree that railway projects should be developed as cheaply as possible within the planning requirements agreed for the individual projects. This applies without regard to the way in which the project is financed. The Ministry of Transport asked the Railway Agency in 2006 to make an assessment of the benefits that could have been gained if one had built up the entire West Corridor at one time with a more optimal progress, instead of now, with a parallel expansion and for periods without optimal propulsion of plants that had started up. In 2006, for example, The Stoltenberg II government has granted the permission to Lysaker Station with 25 Mio. kr to achieve more optimal progress in the project. The railway works review showed that it would be possible to reduce construction costs monthly. However, the greatest socio-economic benefit is that in a combined and rapid expansion, the full double-track could have been used at an earlier stage. I would like to point out that the plans for the expansion of the double track in the West Corridor were dealt with in St.meld. No 46 for 1999-2000, National Transport Plan 2002-2011. The main reason for this was the decommissioning of the railway capacity on the route, and the urgent need to start the development, even if there were no agreed plans for the whole route. This government has the principle that projects that have been started should be run as rationally as possible. I think the extension of the railway project in the West Corridor is a good example of this. A total of SEK 1.6 billion has been raised for the construction projects still under way in the West Corridor for 2007 and 2008. I would like to remind the representative Halleraker of the change of pace that came in Norwegian transport policy with the change of government. The expansion of the West Corridor did not have optimal propulsion. The government's supplementary appropriations were added to the 2006 budget proposal from the Bondevik II government and the further escalation we have had, so that the iron track's investment budget is now more than 50 pst. We have decided that we are now progressing in the West Corridor. When we took over, the project was in danger of having to stop. I also notice that the Government has taken the required decision to postpone the start of projects that have been already started, including the following: Barkåker-Tønsberg, so that good progress can be achieved on the projects already in progress. So the government has all the important steps to take to ensure better use of the resources that go to the railroad. When it comes to the question of the use of OPS models or other forms of project financing, I would otherwise refer to my answer to question 6 from the representative Arne Sortevik.
ParlaMint-NO_2008-05-07.ana.ud368e1049	I thank you for your answer. So in the example from the Railway Station with the Lysaker-Asker section, the state has lost NOK 1.5 billion. In addition, of course, the loss of business and society comes because things go late or even aren't started. From the road sector we know comparable motorway sections that are actually under construction now, under OPS and state control, respectively Grimstad-Kristiansand and E18 through Westfold. They have a rather comparable length and complexity, but the OPS project is built half-time, without exceedances and with spectacularly low sick leave and the type of costs involved. All evaluation of the OPS models points in one direction. Despite this, the Government is nodding. Can the Council of State live on the fact that nothing is happening here any longer, when the state is demonstrablely wasting its resources?
ParlaMint-NO_2008-05-07.ana.ud368e1060	I am surprised that the representative Halleraker and Right are addressing this question, because it makes it quite clear that the representative's party has been sitting for four years and was wasting its resources. For four years, the Right was placed in a government that could have taken up this matter, but they did not even ensure rational progress within the budgets adopted. I must say that I am amazed when I read St. prp. No 1 for 2005-2006. It is apparent that the Bondevik II Government believes that a loan scheme for rail investment should not be used as the Norwegian State does not lack funds, as opposed to what is the basis for the use of alternative financing schemes in other countries. Here it is concluded that in the light of the administrative, cost and fiscal considerations of my Bondevik II Government, a government loan scheme for the financing of railway projects should not be established. For four years, right in government. This is the conclusion of the Right in Government. It means that when one comes out of government offices, one really forgets what one meant.
ParlaMint-NO_2008-05-07.ana.ud368e1069	I thank you again for the answer. The right in the government also shows that we started OPS projects with great success, and that was the background to my question. In Sweden, project funding is used as these government parties wrote that they would implement in Norway. Three years have passed, and we've seen little about it. The Botnia Railway is a 20-mile high-speed route that is realised in eight to ten years precisely within such a model, at an eye-catchingly low kilometer price. This is used, inter alia: the Swedish calls the National Debt Office a co-financer. In Norway we have had the Guarantee Institute for Export Credit for Ships and Drill rigs and ‘you name it’. But the company Botniabanen AB is owned by the public, and so it's the organization and structure here that makes them build so much faster and more rationally. What about the follow-up by the Council of State to its own promises in the Soria Moria Declaration on this type of organisation in Norway, namely project financing?
ParlaMint-NO_2008-05-07.ana.ud368e1085	First of all, this Council of State is setting in motion a decision under the auspices of the Railway Agency to see if there is anything to be gained from having a coherent development and, if necessary, from another financing. Not even that had the right of government imagination to get started. When it comes to the issue of whether or not the Government will assess project funding, we have received input in connection with the draft National Transport Plan from the budgets that play up to such a discussion. Of course, I will ensure that this discussion is signed, and the answer to this will have to be in the notice of cancellation of the National Transport Plan to the House.
ParlaMint-NO_2008-05-07.ana.ud368e1095	Let me start by saying thank you for yesterday to the Minister of Justice and then ask the following questions: ‘More and more people experience being exposed to identity theft here in the country. People feel that they're being blamed, that they're being blacklisted because of it. non-payment and other inconveniences. As far as I am aware, today there is no complete overview of how many people are affected by such conditions each year. What measures does the Council of State consider necessary to combat this type of crime?’
ParlaMint-NO_2008-05-07.ana.ud368e1104	I will also be allowed to thank you for yesterday and for the debate that was held in Stortinget. It's always a pleasure to be able to tell you about all the good results we have in the field of justice. We find identity thefts and the use of false identity in several variants. There is a distinction between the use of false identity for financial crime and other misuse of identity. A common example of economic identity theft is the use of false credentials, for example: at the counter of a bank or post office upon withdrawal from another person's account or when to raise a loan. Another type of identity theft is if a person sends out e-mails, text messages, mails or the like that are sent in order to come from another person than the sender. Id thefts are a growing problem internationally. In particular, North America and England have had a marked increase in this form of crime. Norway has a per cent share of the EU average. the current date does not make clear figures as to how the development is in this country. The responsibility for implementing and implementing measures that can limit the number of identity thefts lies with many, both consumers – i.e. us – private businesses and the public. Preventing, detecting and combating identity thefts require awareness and effort. Each individual may, by exercising prudence, contribute to the most difficult access to information that can be misused. Furthermore, the service provider has a specific responsibility to provide a secure service. I want to add: As far as crime is concerned, perhaps this field is where it is most accessible for prevention purposes and most difficult to investigate. Information security is therefore something that this government takes seriously. The Ministry of Renewal and Administration is responsible for coordinating the work on preventive information security in the public sector. As part of this, they work on raising awareness and building skills and have published national guidelines on information security. The public is responsible for the robustness of security solutions in passport identification documents. Furthermore, I would like to mention the proposal for a government issued national ID card, which has been at the hearing. It is proposed that, in addition to being a generic identity card, the card may also be used as a travel document within the Schengen area and may contain a separate tag for the storage of electronic ID and signature. We aim to promote a legislative proposal on this as soon as possible. To combat identity thefts by the police, extensive cooperation with both public and private actors is important. In particular, this precautionary measure applies, i.e.: to prevent the stolen and misuse of identities. The police are involved here in several arenas involving public and private actors. A number of working groups have been established, including, inter alia: The main organisation of the financial industry, the Post, banks and NAV, where challenges are faced in relation to such id-thefts. Central to the preventive work is to investigate the I.D. thefts that are reported. Furthermore, it is important to develop cooperation with ‘professional’ notifiers, such as: banks. Today’s legislation does not contain a criminal order that only affects identity thefts, but it affects, among other things. of the provisions on false documents, false explanations, etc. False identity is also used to gain unauthorised access to the kingdom, we are familiar with it. Against this background, the Ministry of Justice has taken the initiative to get legislation on this which is clearer, clearer and more specific. We have now had the Norwegian public investigation into legal measures against cybercrime at the hearing. The data crimuth selection has, among other things: proposed a specific criminal order affecting identity theft in electronic communications. It is also aimed at promoting a legislative proposal for the Stortinget by the end of 2008. In the police, work has been undertaken to improve the way in which these criminal cases are recorded. There are concrete proposals on the registration of criminal provisions relating to offenders who have been violated and modes, i.e. procedure. This could provide a better overview of the number of cases related to id thefts in Norway.
ParlaMint-NO_2008-05-07.ana.ud368e1132	I thank the Council of State for the answer, which I see very positively. It is reassuring to hear that the Department and the Government are actively working on this. It is also a fact that the Ministry of Justice has overall responsibility, among other things. in terms of overall social security - internally, but also towards the other departments - to look at the whole of this. Social vulnerability affecting individuals will, of course, also affect society as such. Therefore, it is important to have a high level of activity to combat it. The same thing I assume will apply to access to so-called sensitive information about individuals and others in this setting. I think of information about personal finances, which is one thing, but also about other knowledge that individuals had to sit on. What I still want to challenge the Council of States is whether through his working groups he will actually try to get access to the amount of money there is this year. How much is the social cost of it - as finance companies, banks, individuals themselves and others have to take to figure out the volume of it?
ParlaMint-NO_2008-05-07.ana.ud368e1141	First of all, I would like to reiterate that in the critical infrastructure we are facing in Norway, we have traditionally talked about the more physical, visible and clear infrastructure - water, power, etc. But it's quite obvious that a new arena -- which is a growing arena, which also requires attention -- is the id sector, in terms of being able to outplay a society. We take this so seriously that a substantial part of the big message that is now just around the corner is about coordinating and strengthening civil protection in relation to that vulnerability. The notification will be soon, and measures will be put in place to address this issue. So it's clear that this can be about big values, and it's about big values for many. We don't have a complete overview of that. It will be difficult to get a complete overview of this as well. But I'll take the call. I think it'll be important more to get ready for it, because it'll mobilize not only us, but also others.
ParlaMint-NO_2008-05-07.ana.ud368e1148	I thank you again for the answer. There are two things I want to ask the Council of State about in my last question. One is, to what extent are we dependent on international cooperation to solve this? I assume that much of what happens is not necessarily self-produced in Norway, but that you also get ‘help’ from people with a different nationality than Norwegian. That's the one. The second is, when talking about the review of legislation, will the Council of State take initiative and look at how people who are exposed to id-theft are treated? I have received feedback that you do not necessarily feel well cared for by the Norwegian police when it comes to being believed, or not being believed, and not least the trust crisis you may be exposed to as suspected by crime done by others, while you are left with a - we shall call it - responsible responder systemically. I want the Council of State to say something about international cooperation, but also whether he will take account of going in and looking at problems that individuals may be affected by in this way.
ParlaMint-NO_2008-05-07.ana.ud368e1159	Finally, it is quite clear that those who are subjected to all kinds of criminal acts are entitled to be treated with all possible respect, not only by the police, but also by civil society, whether it be banks or post offices. It should be at the bottom of all kinds of legislation. But that doesn't prevent us from investigating this type of serious crime, we need to operate with quite strict evidence requirements in order to be able to claim that something criminal has happened, and place that responsibility with someone. For some people it might be considered not to be believed that you don't have enough evidence. There we all have an explanation problem. Not only in the political debate, but also in the Norwegian court, it is a task to explain that it does not necessarily mean that the person who has reported a relationship is either a cellar or is deliberately lying. There's always an important context. As far as this crime is concerned, it may be one of the reasons why we want more intensive international cooperation within Schengen, but also within the Prüm cooperation that is now taking place in Europe. I think it is absolutely vital that we get more information that can help, among other things. reducing this type of crime.
ParlaMint-NO_2008-05-07.ana.ud368e1170	I allow myself to ask the following questions to the Minister of Knowledge: «In the next few years, there will be a great need for competent public sector labour. But the new health profession, introduced in the autumn of 2006, is struggling with recruitment. Despite the project of recruitment patrols in secondary and secondary schools, the number of applicants in most counties has fallen. In addition, only half of the students complete their education by letter of formal qualifications. By 2020, there is a need for 20 000 health professionals, including: nursing homes in Norway. What will the Council of State do to create commitment to the subject?’
ParlaMint-NO_2008-05-07.ana.ud368e1179	The public sector, as the representative Anne Margrethe Larsen says, has a great need for competent labour. In the tight labour market, there are many industries that are fighting about the attention of young people. Today we have approx. 31,000 apprentices in training, most in the private sector. Overviews show that there is a clear potential for more apprenticeship places within some disciplines aimed at working before the public, especially in the health and care sector. Furthermore, the lack of labour in the health and care sector makes it particularly important to add more apprentices here. One of the challenges in this sector is that the health workers who have been outsourced do not work in the field of health. The 2008 search case for health and social subjects and for the health profession show a slight decrease from 2007. Generally speaking, there has been a decline in the number of elephants looking for a place to learn. The knowledge lift, with new educational programmes and apprenticeships, makes it difficult to compare with the search results for the year. So it's hard to know what's causing the decline. The health profession was introduced as a new subject with the reform of the Knowledgelift. It takes time to introduce a new subject and to provide good and sufficient information, not least to employers and counselors in schools, but also to young people, parents and teachers and to the media. The government is looking at the need for skilled labour in municipalities. In St. prp. No 1 for 2007-2008 by the Ministry of Health and Welfare, it has been assessed on some uncertain basis that there is a need for additional 12000 year-olds in the care service during the period 2008-2015. The government will improve the dimensioning of various training courses needed within the municipal sector, in order to ensure a sufficient number of qualified health and care staff, the kindergarten sector and the basic school. It is a work involving both educational authorities and health authorities. Measures are in place to increase the interest of the health profession in the future. In St.meld. No 16 for 2006-2007 by the Ministry of Knowledge, the main advisory service is mentioned and actions related to it are presented. Good advice can make young people see opportunities in health and care professions. In order to increase the provision of apprenticeships both in the private and public sectors, the Education Directorate has launched the ‘Start with an apprentice’ information campaign. On the campaign website, employers can find information about the apprenticeship system and contact persons in the county. In the summer of 2006, the Ministry of Knowledge and the Ministry of Health and Welfare encouraged the municipalities to include more apprentices, especially in the health and care sectors. The exposure of the health worker may be built up over time. The good outlook on the labour market in this field could make education more attractive in the future. The reputation and information will be important for the health profession. Health professionals have therefore been started in connection with the new subject. Initiatives have been launched by KS, HSH and Specter, with the support of the Education Directorate and the Health Directorate. Action by health professionals shall ensure professional recruitment by creating engagement through recruitment patrols, county championships, NM in the field of health and other activities. The action will continue in 2008. Where it has our recruitment campaigns, it has had a good effect. The operation has created local involvement. It is therefore important that this work is continued. The Knowledgelift introduced a new subject, project for deepening. This subject can be used for dissemination and recruitment. I know that several hospitals have had youth in for a project to deepen. Good organisation, both from school and from hospitals, is a key to making it work. Regular dialogue between the social partners and education authorities is important. In cooperation with the Minister of Health and Welfare, I will follow up the dialogue with KS when it comes to this new subject in particular.
ParlaMint-NO_2008-05-07.ana.ud368e1200	I would like to thank the Council of State for the answer. According to the calculations I have obtained from the Statistical Centre, by 2025 there will be a shortage of 26 000 health and care workers. It is a huge number, and it presents great challenges for both society, high school and high school counselling, as the Council of State said. With a large number of older and cross-political agreement that we should have a clear quality improvement in care for the elderly, we have a rather long way to go. Today, many nursing homes have unskilled employees. Does the Council see that the lack of qualified staff threatens the quality of care for the elderly in the municipalities, since it is not possible to provide enough qualified health workers?
ParlaMint-NO_2008-05-07.ana.ud368e1209	I totally agree that we have a very big challenge when it comes to recruiting skilled labour in general in many areas of society. But especially in the health and care sector, we are facing major recruitment challenges for years to come. This is the basis for the government to have a clear target of 10,000 more annual works in this period, where we are very well placed. But figures have been provided that show that there is still a need for years to come, precisely because the quality of care for the elderly depends on having a competent person working there with the good job they can do. That's why we follow the health profession very closely. A number of steps have been taken to get the recruiter up, and we're going to continue with them, as I said in my first answer.
ParlaMint-NO_2008-05-07.ana.ud368e1216	I thank you again for the Council's reply. One of the objectives of the 2015 Competence Plan, to which the Council of State was committed, is to increase the gross access of health workers to about 4 500 per year. years through this cooperation project, as also mentioned by the Council of State. So the recruitment process has gone down a little bit. At the same time, a lot of people end up in the middle of their education. Many adults have taken a letter in this education, and that's very good. But does the Council of State see that in this typical low-wage job, with tough working conditions in everyday life, there are major challenges in involving young people in this education?
ParlaMint-NO_2008-05-07.ana.ud368e1225	It's, as I said, a little bit difficult to compare directly with previous years. I'm still worried that we see what's probably a slight decrease in search terms. That's why we keep up the special focus on recruitment, with different measures, but also, together with the Ministry of Health and Health, we're going to have a dialogue with KS and, at times, we're going to assess whether it's going to be done even more to ensure recruitment, by getting more apprenticeships. Not least to spread information and knowledge about a new subject is something you need to run with over time. It cannot be fully effective from the start. I just want to confirm that I fully agree that this is a very important challenge. I also believe the way we talk about the subject and working in the care of the elderly is very important. Here's the probing jobs -- important jobs for society -- that are given high priority. Here we have a great need for labour for years to come, and it will be easy to find a job.
ParlaMint-NO_2008-05-07.ana.ud368e1237	«State company Secora is responsible for the implementation of the sludge deposit in Inner Oslofjord. Among other things, the company was notified by the SFT for environmental crime after sludge was not deposited, but was released directly into the spring. In April it leaked 200-300 cubic metres of contaminated sediment from a barge. Could the State Council, as the owner of Secora, explain how Secora has come into such a situation and what measures are being taken to prevent further environmental problems in ‘Inner Oslofjord?’
ParlaMint-NO_2008-05-07.ana.ud368e1244	It is very regrettable that Secora AS has carried out unregulated emissions. Following the events in September 2007, the Department of Secora’s management called for a meeting. The Ministry then made it clear that the management of the company needed immediate action to deal with the situation. The Governing Board of Secoras immediately contacted external expertise to investigate all relevant aspects of the project in Oslofjorden. The Norwegian Veritas was engaged to review quality systems, procedures and procedures in the company's work. The deviations from working procedures found by individuals in the Norwegian Veritas. There were otherwise no systematic breaches of procedures on the holding. However, emissions have resulted in 0,45 pst. of the masses unregulated and between 2 and 9 cubic metres of septic steel released. The board of directors of the company engaged the Norwegian Institute for Water Research in order to clarify the possible environmental consequences of the irregular emissions revealed by the Norwegian Veritas. NIVA has concluded that the pollution is marginal and is within the emission permit granted to the project by the State pollution authority. However, it is clear that any unregulated emissions are unacceptable. Secora’s activities shall be governed by the laws, regulations and administrative provisions in force. If the company has committed a crime, the company must of course be able to do so. SFT has notified Secora of a breach of the permit for the landfill of masses at the Malmøykalven. The ministry is now awaiting final report after the police report of this relationship. As the representative of Syversen refers to, Secora was also exposed to an accident in April this year. The management of the company has taken the necessary measures to that end. Studies carried out so far show that the masses released from the M079 in April are due to a mechanical failure of the lighter’s mate. This lighter was prepared by the Drammen Ship repair according to normal routines before it was put into service in the work of the depot on the Malmoykalven. The vessel was further classified and inspected by the maritime authorities by March 2008 at the latest. The fume of the lighter was opened and closed, and there were no signs of defects in the closing system. The vessel was then approved by the Administration. On Friday 11 April this year, a smaller opening in a sink was discovered on the lighter. Secora initiated measures based on experience and common procedures to keep the cage closed. The company believed that it was proper to keep the vessel moored at the depot until Monday morning. And yet there was a smaller emission. The company has notified that there is a need for a review of the circumstances in order to bring facts to the table as to how about 200-300 cubic metres of mass could leak from the vessel. I stress that the barge on the barge is now closed, and the barge has been removed from production. The company has put in place measures to check whether the system itself to keep the device closed was correct. Samples of the leaks have been sent for analysis at Rambøll Norge AS. The different meters around the landfill have not captured the spread of sediment above the permitted level during the weekend. The Ministry awaits full information from the company's board on the matter after the internal investigations have been completed.
