ParlaMint-NO_2008-06-17-lower.ana.ud527e55	The representative Borghild Tende, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-06-17-lower.ana.ud527e767	The centre party has the tradition of being a business-friendly party, and as mentioned in my post, we have noted with interest what the representative Lundtigen also now referred to, this work in connection with the programme. The Soria Moria Declaration mentions a particular aspect, namely the transition of generations and the inheritance tax in this way. This is probably the last budget that this government is presenting and has complete hands on, so my question is: those who are in these companies and are now waiting for an answer from the Government in this way, can they look confidently in the budget?
ParlaMint-NO_2008-06-17-lower.ana.ud527e774	It'll probably depend on the eyes that see. In the 2008 state budget, the government has said that there is a particular focus on the inheritance tax. It's one of the priority areas that you're going to go into. A theme that arises both in connection with the transfer of business activities and also in connection with the transfer of housing is, of course, that there is a need for regulatory review. It will lead to problems for those who take over and have to pay the market value of it when the value of it when used is much lower than that of it in a free market. It's a problem issue that the Center Party has a high focus.
ParlaMint-NO_2008-06-17-lower.ana.ud527e780	The cord shift is over.
ParlaMint-NO_2008-06-17-lower.ana.ud527e783	It's one, let's say, quiet time in Odelstinget today, even though we're dealing with what's usually as politicized as tax issues one year and a summer vacation before a election. We woke up many to Political Quarters today, where the country's Finance Minister announced that it would be a tougher line, and not least that tax issues will become central in a tougher line. We get to believe it's an extraordinary situation in the house, where the dynamics and nerves lie in the Lagting. It's so special that we can enjoy what we're in Odelstinget as well. It is probably also the case that the revised national budget that we have for treatment today does not invite to the large waves either. I would like to say that is reasonably undramatic and unpolitical. Then, of course, you can agree that the revised national budget is not an arena for the major tax and tax changes, but I also think that it is important to try to see a price. I have trouble seeing it. The only price to be seen is the government's reversing of itself in the revised national budget through increased fishing deductions and changes in the taxation of small power plants. Both parts conflict with what the government and government parties thought was right only six months ago. It's no shame to turn around, and at least not for the better. That's good. The left believes that tax policy is a key tool in promoting value creation. Unfortunately, the government that sits on the table ignores this, and has spent its first three years in promoting a number of targeted and long-term harmful tax incentives to business. The left will have a tax system that stimulates innovation, work and environmentally friendly behaviour. Therefore, the Left will have a tax shift from red to green tax. In repeated rounds from this pulpit I have been assured that there is also a direction in which the Government and the government parties want to go. But so far, at best, there's a direction in which there's small steps. One of the key prerequisites for creating creative Norway is that the tax on work is not too high. High marginal tax means that it becomes more difficult to compete with the outside world to keep our highly educated and well-qualified workforce. For the Left, taxation is not an end in itself, but sometimes a means of achieving a correct and dynamic policy. It is not the overall level of taxation or whether the level of 2004 is perfect, but the mechanism of the overall tax policy. It's been a proof of that for the last eight years. While the overall tax level is many billions of dollars lower today than it was under the Stoltenberg I government, tax revenue is dramatically higher. This is because the tax policy mechanism is different, primarily through the tax reform that left was a driving force to get through, but also through important Left wins such as removing the investment tax and the complicated and unfair sharing model. It is therefore just as pointless to set a target for the number of billions in total tax credits as it is to determine that a certain level of taxation should be fixed. Tax policy must, of course, be predictable, but also dynamic enough to address the challenges of economic policy. Moreover, it is a fact that tax relief leads to less pressure on interest and exchange rates than the corresponding amount used for increased public expenditure. Two weeks ago, we read that the Centre Party’s ‘Workshop for Enterprise Policy’, led by the big business representative and business committee leader Ola Borten Moe, had sent their input to the party’s programme work. The centre batch group is in favour of cutting taxes on wealth on working capital, doubling of deductions and conditional exemption from the generational inheritance tax on family holdings and a separate deduction from the activity of self-employed persons. To us in the Financial Committee, this does not bear so much witness to innovation, but rather to the fact that the Central Party has taken some sort of ‘best of’ from the opposition’s proposals discussed in the Financial Committee this spring and tried to turn it into central party policy. It's in itself good and affordable. But here's no reason to wait. If the Senterpartie is serious about these proposals, it is only to vote in favour of both inheritance tax depreciation in family-owned enterprises, increased deductions and own nutrient deductions during voting today. Then it'll have a majority. But when it comes to the problem, the central party will probably fail at voting today--again. But we're going to hope for the next period. Today, the Left promotes a number of targeted proposals for changes in tax legislation to stimulate an innovative, environmentally friendly business in the future. That is why we propose, inter alia: own business deductions from self-employed persons, conditional exemption from the inheritance tax on change in ownership of family-owned enterprises combined with higher deductions, and actual improvements in the social rights of self-employed persons without being over-financed by the self-employed persons themselves. We also suggest some other things that are in the setting. Finally, I would like to address the suggestions made by the Left in the vote.
ParlaMint-NO_2008-06-17-lower.ana.ud527e804	The representative Lars Sponheim has drawn up the proposals to which he referred. No more people have asked for the floor on case No. 5th@item: inlistbox
ParlaMint-NO_2008-06-17-lower.ana.ud527e823	No one has asked for the floor. [[Footage, see page 727]]
ParlaMint-NO_2008-06-17-lower.ana.ud527e836	Odelstinget then goes to voting.
ParlaMint-NO_2008-06-17-lower.ana.ud527e924	The President will first vote on Section 26b of IV. The party of progress has announced that they will vote against it.
ParlaMint-NO_2008-06-17-lower.ana.ud527e940	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2008-06-17-lower.ana.ud527e950	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1004	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1014	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1021	During the debate, Robert Eriksson put forward a proposal on behalf of the Progress Party. The proposal reads as follows:
ParlaMint-NO_2008-06-17-lower.ana.ud527e1171	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1181	The Law Decision will be sent to the Lamentation. Furthermore, the following were set: B Document No 8:126 [[People's Security Act]]
ParlaMint-NO_2008-06-17-lower.ana.ud527e1201	During the debate, Christian Tybring-Gjedde has tabled two proposals on behalf of the Progress Party, the Right, the Christian People's Party and the Left.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1851	The President will first vote on the third paragraph of Section 2-8 of Chapter 2. Here the Progress Party, the Right, the Christian People's Party and the Left have announced that they will vote against it.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1867	The President will then vote on Chapter 1, the rest of Chapter 2, and Chapters 3, 4, 5 and 6.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1877	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1887	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1895	In the course of the debate, 20 proposals have been put forward. It's proposal No 1, by Gjermund Hagesetter on behalf of the Advancement Party, Right, Christian People's Party and Left Proposals No. 2-7, from Svein Fleet on behalf of the Right, Christian People's Party and Left proposal No. 8, by Gjermund Hagesetter, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal from the Commission to the Council (Doc. 9-13, from Svein Fleet on behalf of the Right and Left proposals No. 14 and 15, from Svein Fleet on behalf of Right-wing Proposal No. 16, by Hans Olav Syversen on behalf of the Christian People's Party and the Left Proposals No. 17-19, by Hans Olav Syversen on behalf of Christian People's Party proposal No. 20, from Lars Sponheim on behalf of the Left. The President assumes that, in this case, voting can be simplified somewhat. It is first voted on the minority proposals according to the size of the fractions and, finally, on the proposal for a decision by the vote. It seems that there is agreement on this, and it is deemed to be adopted.
ParlaMint-NO_2008-06-17-lower.ana.ud527e1958	The proposals are then put to the vote. 17, 18 and 19, from the Christian People's Party.
ParlaMint-NO_2008-06-17-lower.ana.ud527e2076	There is a vote on proposal No. 16, from the Christian People's Party and the Left. The proposal reads as follows:
ParlaMint-NO_2008-06-17-lower.ana.ud527e2107	There is a vote on the proposals Nos. 14 and 15, from the right.
ParlaMint-NO_2008-06-17-lower.ana.ud527e2159	Proposals Nos. 9-13, from the Right and the Left, is taken up to voting.
ParlaMint-NO_2008-06-17-lower.ana.ud527e2334	Proposal No. 8, from the Progress Party, is taken up for voting. The proposal reads as follows:
ParlaMint-NO_2008-06-17-lower.ana.ud527e2372	There is a vote on the proposals Nos. 2-7, from the Right, Christian People's Party and the Left.
ParlaMint-NO_2008-06-17-lower.ana.ud527e2515	It is then put to the vote on proposal No. 1, from the Party of Advancement, from the Right Party, from the Christian Party, and from the Left. The proposal reads as follows:
ParlaMint-NO_2008-06-17-lower.ana.ud527e3076	It is voted over the titles of the laws and the laws in their entirety.
ParlaMint-NO_2008-06-17-lower.ana.ud527e3086	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2008-06-17-lower.ana.ud527e3138	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2008-06-17-lower.ana.ud527e3148	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2008-06-17-lower.ana.ud527e3229	Thus, today's map has been processed. Does anyone ask for the word before the meeting is cancelled? - The meeting's been cancelled.
