ParlaMint-NO_2008-04-08.ana.ud2463e67	The representative, Elisabeth Røbekk Nørve, will present a proposal for a representative.
ParlaMint-NO_2008-04-08.ana.ud2463e943	It's kind of nice to hear from the rhetorical representative of the Left, Trine Skei Grande, when she claims that the Progress Party is not focused on its policy when it comes to gender mutilation. In fact, we have supported everyone, except one, proposals from the Left that have been submitted. So I don't know if there's anything wrong with the proposals from the Left, or if it's the support from the Progress Party. What I experience as a major problem in this case is that everyone understands that there is no one who initially has an interest in conducting a sex study of baby-sitters at the age of four, although we know that there are also older women who are being circumcised. But unfortunately, if we're going to take it seriously, what alternatives do we have? Because we've been under a law for years. We have run information campaigns about it, which the Progress Party supports and agrees with. But we also see that unfortunately these instruments are not good enough. Despite the fact that both health care nurses and health centres have this as a fixed task, we see that it doesn't work. And then the question is, are we going to lean back in the chair, accept and see that there are violations of human rights in everyday life in Norway, or are we going to try to do something about it? The Party has concluded that the compulsory examination of four-year-olds for the detection of genital mutilation is less harmful than human mutilation. We know from experience that it will happen, and then you have to take it seriously. It's not like -- neither in this case nor in many others -- that you can choose between goods. It's actually that you have to choose between the bottoms, and then you have to pick the least of the bottoms.
ParlaMint-NO_2008-04-08.ana.ud2463e958	It was actually the representative Bohemian who made me take the floor--first, to give him the right one, second, to say he's wrong. First of all, what's wrong. We in the Left have not pointed it out so strongly in today's debate, but our proposal has therefore been very long for consideration, probably pending the action plan. So coming up and saying that our proposal is a repetition of the proposal in the action plan, I think it's a little bit crazy understanding of the order -- just so it's pointed out. We should not be swirled and offended that the proposal has been long, although we might have wished that the treatment of it had gone much faster. What Bohemia is quite right about is that this is an issue that is not being tackled at the borders of the country, but within the environment. It is within the individual environments that real attitudes need to be changed. That's why I think it's so important to get someone convicted -- it's actually a very important symbol in this fight. I, who have worked with this for a long time, have talked to many parents who have fully resolved that they should not do this. But resisting the pressure when they come home on vacation is pretty tough. I have also talked to parents who have experienced that while they have been away, grandparents have suffered quite adult grandchildren. The question is what to say. When you say that this is actually not a law in Norway, you have little to do with it when they say no, neither is it allowed in our country, but no one is convicted of it - nor is anyone in Norway. I'd like to give all the parents who fight that fight -- I know that a lot of parents do it -- backing from the Norwegian legal system, so that they can say that in Norway you're actually in prison for this. There will be a very important grip in this fight. So to the mandatory investigations. I don't think it's an offense. I have to admit that I am of the coals that were subjected to these investigations, and I do not feel in any way that this was a special attack on the part of Dr. Lund. However, the studies are not effective, probably because they are carried out too early. That's my main argument against this. And then it's a pretty massive grip to take into account the effect of it. I think there are a lot of other important steps we can take in relation to these environments. One of the most important is maybe to show that we're a national assembly that means what we're adopting, and that we're actually getting someone judged pretty soon.
ParlaMint-NO_2008-04-08.ana.ud2463e975	No more people have asked for the floor on case No. 4th@item: inlistbox [[Food, see page 2826]]
ParlaMint-NO_2008-04-08.ana.ud2463e991	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 40 minutes and will be allocated up to 5 minutes to each batch and up to 5 minutes to the Council of State. In addition, the President will propose that there be a possibility of a replacement of lines of up to five lines with replies from the Council of State post within the allocated speaking time. In addition, it is proposed that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2008-04-08.ana.ud2463e1000	Today we are dealing with Document No. 8:39 for 2007-2008, proposal for a representative to draw up an action plan on enhanced oil protection. In Stavanger Aftenblad on 20 December 2007 - I repeat: 2007 - it says to read the following: «In Stortinget today, France proposes an additional allocation of SEK 300 million for oil protection. - The release from Statfjord A and last year's tragic accident with MS Server has shown that the government is playing a high game about the country's oil preparedness, says Arne Sortevik [[Frp]] I think that's a strong word. It goes on to say: ‘Frp therefore requires the government to make an action plan for enhanced oil protection and will contribute SEK 300 million to this.’ But it also says: ‘Frp operates so classical populism that it’s almost embarrassing to watch. When the party presented its alternative state budget in the autumn, they did not add a crown to oil protection. Schwarzevik says nothing about where the money may be taken from. He simply fools people with this way of running politics, says Sund." The representative of Eirin Sund from the Workers' Party is absolutely right. The party of progress is actually good at this. But it is simply tragic to pursue politics in such a way. Why was a proposal for a representative made on an ongoing basis after the budget had just been discussed? That's what I have to call double bookkeeping -- there's no other word for it. There is no doubt that there is a high level of activity in Norwegian waters, which requires good maritime safety and good oil protection. It is important that you have good safety at sea and good oil protection throughout the coast. It's now approx. three years ago Stortinget treated St.meld. No 14 for 2004-2005, Safe side: maritime safety and oil protection. This Communication recommended a number of preventive maritime safety and oil protection measures to address increased environmental risks from shipping in the years ahead. As a follow-up to this Communication, in 2006, the Swedish Coastal Agency prepared a State Depositary Status Report with a recommended replacement plan up to 2010. I point out that for 2008, an increase of 25 million was proposed. kr, something the Storting joined in the treatment of the budget-inner. S. No 13 for 2007-2008. There has also been a rise in oil preparedness funds in the current period compared to the period 2001-2005. The Progress Party, which was the support party and the basis of the Bondevik II Government, was also involved in this. Nor were they able to make the big promise in this sector. They were most concerned about giving tax relief, and then there's actually not going to be money for everything. As I have said before, there is a great deal of activity in Norwegian waters, which requires good maritime safety and good oil protection. I believe that the needs in the field of oil protection have been well preserved through St.meld. No 14 and Coastal State of Material Report 2006. We know the needs, and it's important to follow them up. We don't need any more plans and investigations. We have a good foundation. There is no doubt that oil protection has been strengthened by this government. I think we need more to strengthen oil protection in the years to come. It is important that this government is given the opportunity to follow this up in practical policy.
ParlaMint-NO_2008-04-08.ana.ud2463e1031	I almost have to get hold of the previous speech, the case rapporteur. Firstly, the proposals of the Progress Party actually came after the state budget had been presented, and after the accident at Statfjord had happened. I find it embarrassing that the rapporteur, who belongs to the government parties, spends more time at the beginning talking about the Progress Party than about what we can actually do to improve oil protection in this country. We actually think it's more important to do something. The Progress Party believes it is important that we now put in place an obligatory action plan to achieve enhanced oil protection preparedness. Unfortunately, we experience at regular intervals that accidents and uncontrolled discharges of oil and other harmful substances into nature occur. In 2007 the base support and sank the boat «Server» outside Fedje in Hordaland. This led to large amounts of oil leaking from the ship and the pig to the coast of Fedje and the surrounding areas. In December 2007, we experienced that the Statfjord A platform pumped over 4,000 cubic metres of crude oil directly into the sea. Fortunately, the damage to nature after emissions appears to have been relatively small. However, this is largely due to coincidences only, primarily in the form of the optimum wind and current conditions after the emission. Both of these accidents clearly show that accidents can occur, and that it is crucial to have equipment and plans in order to ensure that action can be taken in a very short time, so that the damage is minimised. However, in addition to being able to respond quickly when the accident is over, it is also essential to have the best equipment available to reduce the damage as much as possible. In this context, the Progress Party will indicate that in 2006 the Coastal Agency had a report on the needs of reinvestment in oil protection equipment, initial investments in depots, equipment on ships, etc. to strengthen preparedness. The report concluded that over a five-year period there is a need to invest 260 million. kr in order to ensure that equipment and vessels are in place so as to have a standby which is in line with the safety level recommended by the Coastal Works. In the response of the Council of State to the Committee, it is pointed out that the Government has invested approx. Seventy-five million. kr from 2006 to 2008 in order to strengthen oil protection. Of course, we think it's good, but it's just a small step in the right direction, and it's too little in relation to the great needs that the Coast Guard has told us that they need to ensure proper oil protection. In order to put this in perspective, the Swedish Coastal Agency's report shows that they need to invest and replace equipment for 52 million. NOK 2006, SEK 71 million. SEK 2007, 51 million. NOK 56 million in 2008. SEK in 2009 and 30 million. kr in 2010. This clearly shows that the Government's 75-million-dollar appropriations. kr is far from the major needs for replacement requested by the Swedish Coastal Agency in its 2006 report. It is also important to bear in mind that, in addition to the major needs for equipment and materials to ensure oil protection, it has become clear that there is a high need along the coast to provide a reinforced towing boat preparedness. The Progress Party also believes that the best thing to do to prevent new oil spills in nature is to ensure a high level of tug-boat preparedness, while, of course, it is essential to have the right equipment available and ready for action in the shortest possible time to minimise emissions and damage. In order to ensure this, we believe it is essential that an action plan on enhanced oil protection is presented during 2008 and that this plan should include binding funding to ensure the upgrading of oil protection equipment and ships. I would therefore like to refer to the proposal of the Advance Party in the matter.
ParlaMint-NO_2008-04-08.ana.ud2463e1046	The representative, Mr. Bård Hoksrud, has drawn up the proposal he referred to.
ParlaMint-NO_2008-04-08.ana.ud2463e1049	The Progress Party is addressing an important issue today. But what is perhaps most eye-catching is that they take it up from a political recognition that several of us confess to in other contexts, namely the precautionary principle. I could probably wish that the Progress Party also practiced the precautionary principle in other environmental matters as persistently as possible. It could lead us into exciting cooperation relationships. The oil business generates large revenues for the nation, but it also poses a high risk. We've learned that painfully from history. So it is that our largest export industry must live side by side with our second largest export industry, which is, therefore, fisheries and the aquaculture industry. That, of course, presents great challenges. I could also add the big and important industry of tourism. That's why it's especially important that we have a lot of attention on this, and we have. As late as the month before the Storting went apart in the previous period, we treated St.meld. No 14 for 2004-2005, Safe side: maritime safety and oil protection. Then it was 12 years ago when we dealt with such a message. Here there was a large and broad majority behind most of the conclusions, which actually gathered all the parties on the Stortinget. It was just a minority proposal. So a little visit to the Workers' Party and the representative, Stroem, who said that there had been a lot of happening now during this government. Yeah, that's enough. In any case, there has been some - on the basis of the message that we received and that was agreed in May 2005. I cannot see that the Workers' Party was involved in a single minority comment in the setting of that message. So we were completely in line with the current government parties at that time. I think that is reassuring, because this is an important field, which we must have a broad majority behind it. So now the Progress Party is coming and is asking for a new action plan. After what I understand, it is especially on the basis of two events: the “Server” loss and the detachment of the wire between the load bend and the bend loader at Statfjord. Obviously, both of these events were serious reminders that things can happen that shouldn't have happened. But it is also an important reminder that there is a major activity at Europe's second largest port of oil, Mongstad, where there are more than 3,000 movements of ships every year. So it is the government's responsibility to continuously assess the need for preparedness and any improvement of this, and of course to inform the Storting about this. It will also be necessary to make the economic resource needs known to the size of the annual budgets. In the right we have therefore come to St.meld. No 14 for 2004-2005 should be indicative of our view until the Government provides new information that may change this.
ParlaMint-NO_2008-04-08.ana.ud2463e1062	What the Progress Party takes up is important and central. And it is clear that both in the opposition and in the position, SV has been dedicated to strengthening oil protection, not least the tug capacity, which Hoksrud had in mind. These are things that it's important to record, and it's important to take it up when you're in position and have the ability to raise money for what one mind is important. That's where populism is revealed. When one is in position -- like one was with the Bondevik II government in three budgets -- oil protection must not be something that comes about when an accident occurs. If you follow some political principle in addition to reading newspapers and seeing what it is best to say in the eyes of the voters, you have to have a policy of being a leader. I hear that a now -- like the representative Halleraker -- is talking about the precautionary principle, and that's positive. But then the question is, does this political innovation from the Progress Party have influence in other fields, or does it only apply to the field where there is a need to respond to different media postings? I'm not sure if it's serious. I have a feeling that there is an expression of acting power in media lookups, but not when it comes to long-term policies on the issue of better oil protection. For the problem of better protection of oil, I thought it was an important issue. But then I guess this is a little bit problematic with respect to the Progress Party. Of course, the rule follows up the message On the safe side, which the Storting treats, and where SV had some alternative suggestions. We're happy with what's happening from the government's side, but we could have thought of more money, of course. We could have thought of a greater economic effort in this area as well. We're working on that, to take care of the proposal providers. But it is the case that the Progress Party in its policy does not follow the precautionary principle, one that will speed up oil and gas operations, increase activity in the north, increase activity in areas that are uncertain, without having the necessary background analyses, impact assessments and measures on oil protection. It is only to initiate, according to the policy of the Progress Party, with regard to Norwegian oil and gas industry - wherever, without environmental conditions, without any specific requirements for oil protection. This is where the Progress Party meets itself in the door. If I'm serious about having a proper oil protection system, as it might seem today, you should also have a consistent policy, so don't do stupid things in vulnerable areas that can really hurt if you don't have a proper oil protection system. But it has not been the Progress Party's policy. But maybe that's it now. Perhaps I can rejoice and say that now the Progress Party is going to be responsible for oil and gas companies that want to speed up the pace without it being properly organized, without one being sure of accidents that can have significant consequences in, for example. The Lofoten and the Vesterål. Here you can hope for improvements. But to close: If the Advance Party ever comes into the position - which I don't hope - together with the other party and create a budget, I hope that, when they have the chance, they will show that they actually prioritize oil protection, and do not do as they did in the three budgets they were in: forgot the whole thing because it wasn't in the Norwegian media image.
ParlaMint-NO_2008-04-08.ana.ud2463e1077	There is a high and increasing activity in Norwegian waters that requires a particular vigilance in relation to maritime safety and oil protection. The Progress Party therefore deserves commendation for having this matter far ahead on the agenda. But because we recently dealt with the maritime safety message, St. reported. No 14 for 2004-2005, the Christian People's Party elects to vote for the matter to be annexed to the Minutes. Large parts of Norway’s population live off and work in relation to what is produced in the sea and along the coast. Clean seas are therefore essential for the country. Forget the oil, the rate of the fish, was the headline in several newspapers in North Norway some time back. We experience a formidable development in both traditional fisheries and not least in the farming industry. Norway has special challenges when something goes wrong. Due to extreme weather conditions that may occur in the autumn and winter, special vigilance by the Norwegian authorities is required. The degradation time after pollution is longer in our cold climate, while Norway has a rich animal and bird life that is very vulnerable. The Christian People's Party agrees with the Minister for Fisheries when she writes in a letter to the Committee: ‘State maritime safety measures and oil protection equipment are designed to 1) reduce the likelihood and 2) reduce the impact of measures.’ This is about preventing and having a comprehensive emergency equipment located in coastal depots in case of an accident. While there is good reason to rejoice that the Ministry of Fisheries and Coast has been provided with some more resources to strengthen coastal oil protection, there is still a considerable lag in relation to the objectives adopted in the process of the maritime safety communication in May 2005. The Minister himself admits in the letter to the Committee that there is still a lag in the alignment of oil protection equipment. In addition, two of today’s government parties, together with the Progress Party, made the following proposals in dealing with the maritime safety notification: ‘The Government asks the Government to ensure, as soon as possible, a towing boat capacity along the entire Norwegian coast with a normal response time of 6 hours and a maximum of 12 hours based on the coastal route.’ So it was SV and the Center Party when we dealt with this message. I would like to challenge the Minister and ask whether we have reached that point today, or whether we are still missing the follow-up to the Roman number decision that the Central Party and SV participated in when we dealt with the message last time. It costs to get into government and follow up promises that a slightly more non-obligatory person can join the opposition. I would also like to challenge SV's Hallgeir Langeland, who was on a note that one would have five state tugboats on the route Røst-Vardø and one state tugboat on Sørland. Is it in place? Finally, I would like to challenge the Minister on three specific issues: The Committee was particularly concerned with maritime safety in the north and around Svalbard in the consideration of the maritime safety communication and was asked to assess whether the port and water law should be introduced on Svalbard. Where does this matter stand at the moment? Furthermore, there has been a long-standing uncertainty about the future of Loran C as a backup system in a future European satellite navigation system. How far has the decision-making process gone in terms of Loran C? Thirdly, I would like to challenge the Minister for Fisheries and Coastal Affairs to take care of the oil protection base at the training centre. The oil protection base at the Traina was established on the basis of decisions taken in the Stortinget. Today, there is considerable uncertainty as to whether the base should remain on Training or be moved to Lake Sandness. The Minister has the full support of the Christian People's Party to establish that this oil protection base is still to be located in Training.
ParlaMint-NO_2008-04-08.ana.ud2463e1113	Norway's large oil resources guarantee us both high incomes and environmental challenges. Both oil production and transport represent a potential leakage hazard. Even with a high focus on the four areas of production security, strict environmental requirements, port and fairway security and increasing knowledge of how to reduce the risk of spills, we cannot completely eliminate the risk of oil spills. That's why we have to have a second chance, and that's oil protection. In a phase where the production of oil will gradually decrease, while transport will increase, we need to assess continuously whether the oil protection equipment is adequate to meet a potential risk of oil spillage. Scenarioa when it comes to the ice-covering of the North Callot, is an example of such an external relationship that could have consequences for how we set up preparedness. The center party knows the value of people living in the whole country and along our entire coast. This bustet pattern gives Norway great economic advantage and gives a great choice for our inhabitants to choose their homes in different parts of the country and in different types of nature. But the fact that people live and work along our entire coast, means that the consequences of any large spillage of oil are greater than if this had happened in an area without a bus. In addition to the consequences of oil spills for wildlife and wildlife, especially in relation to seabirds and birds in general, one will thus hit nourishment and bustage. It's called the climate and the sometimes extreme weather pressure, as the proposers also point out, are extra challenges for Norway. I was visited by the coast of Spain after the Prestige accident and saw the consequences of oil spills in busied areas. It goes without saying that it has a huge impact on business, and there are also social consequences that result from it in retrospect. Based on this, a good oil protection system is, according to the view of the Centre Party, absolutely decisive to have a coastal nation like Norway. Although we do not believe that ever-new national action plans are right - the proposers ask for one in their proposal - it is gratifying to note that the Progress Party has an involvement in this area. It must be allowed to say that some of the parties on Stortinget, e.g. My own, you've had an engagement in this field for a long time and have been occupied with oil protection since before the Progress Party was the ship. Therefore, it is gratifying to welcome you to pay attention to this important topic. But it also requires a show real willingness to follow up with funds. It's been done by the government, this area is going to have a big focus on the future, and it's also going to be needed.
ParlaMint-NO_2008-04-08.ana.ud2463e1128	The left will commend the proposers to raise an important issue. Better oil protection and better protection against acute pollution are important to provide security to the rural population in particular and to the nation in general, and to provide protection for important environmental values in the event of an accident. Experience shows that major damage to nature and the coastal environment can be avoided through rapid response and good coordination of efforts, through well-trained teams and coordination of private, state and municipal efforts, as well as voluntary efforts. Norway is a coastal nation. Many depend on a clean coast, free from pollution and oil spills, in their daily occupation. Tourism industries, fisheries, fish farming - all depend on the Community making available the resources needed to ensure preparedness for acute pollution. Based on St.meld. No 14 for 2004-2005, On the safe side - maritime safety and oil protection, the Bondevik II government in its time carried out a major effort on oil protection through, among others. a mapping of equipment capacity to maintain the established preparedness at the defined level building the preparedness to continue and develop operational preparedness through increased efforts to enhance competence in their own and cooperating response organisations; Improved oil protection preparedness is about making more resources available to increased tug capacity, equipment renewal and crew training. It must be done through budgetary appropriations. We have spent enough time on action plans. Now is the time for action. Therefore, the Left proposed 100 million in the context of the 2008 Alternative State Budget of the Left. more on oil protection along the coast, in addition to the Government's proposals, to which the bulk of the population joined. The left proposed $30 million. kr for discharge of shipwreck from which heavy oil leaks and 70 mills. kr for increased standby, increased towing capacity and increased equipment acquisition. The left will also emphasise the importance of voluntary teams in relation to oil protection operations. Experience with large clean-up operations shows that the number of hands at work is crucial for limiting the speed of oil damage in the coastal zone. Substantial voluntary action is therefore absolutely necessary. The effect of such efforts is much greater if volunteers are trained in oil protection and can effectively enter the state command line during oil protection operations. We politicians want increased value creation through oil and gas activities, and we also aim to get the most activity into land. Then we often get crossing traffic in relation to the usual ship's trail, and we know that the more traffic and crossing traffic we have, the more chances are that accidents may occur. Not least in my county, More and Romesdal, we have two such places, the Tent Goods and the Nyhavna, where we have crossing traffic into land. Accidents often occur in bad weather, and we probably have to recognise that there is limited capacity and quality of the oil protection equipment we have to deal with difficult weather conditions and high waves. It is important that we constantly focus on resources for research and development of equipment that can also deal with better extreme weather conditions and high waves if accidents occur in such a situation, which unfortunately often does.
ParlaMint-NO_2008-04-08.ana.ud2463e1157	In the proposal in Document No: 8:39 in 2007-2008, representatives are asking for an action plan to be drawn up for enhanced oil protection. It has now been three years since Stortinget treated St.meld. No 14 for 2004-2005, Safe side: maritime safety and oil protection. This Communication recommended a number of measures in the field of prevention of maritime safety and oil protection, in order to address increased environmental risks from shipping in the years ahead. As a follow-up to this Communication, in 2006, the Swedish Coastal Agency prepared a State Depositary Status Report with a recommended replacement plan up to 2010. Preventive maritime safety is primarily geared to measures aimed at reducing the likelihood of marine casualties. Oil protection preparations are designed to reduce the impact of acute pollution in the event of an accident. A number of preventive maritime safety measures have been implemented in line with the St.melding recommendations. No 14 in recent years. In January 2007 we opened a new traffic centre in Vardø, and from 1 July 2007 sailors were put in place on the Vardø-Røst route. In 2005, we got a nationwide AIS network to monitor ship traffic, and this will be complemented by an international long-range satellite tracking system for ships, LRIT. Overall, this reinforces monitoring of Norwegian sea areas. In the case of Loran C, which was explicitly questioned, there is something the Government has decided to continue until a decision has been made on whether to use it as a backup system internationally. Norway is active in dialogue with both the EU and Russia. There is still a certain lag in the state oil preparedness, in order to reach the recommended level of emergency equipment in the Coastal Authority’s 2006 status report. This is a aftermath both from the previous government and from the time before oil protection was transferred to the Ministry of Fisheries and the Coastal Department and the Coastal Plant. Still, a lot is done. A state towing boat stand has been established in North Norway in a cooperation between the Coast Guard and the Coast Guard. South Norway is covered by private resources. The Coastal Agency's budget for emergency pollution preparedness has been strengthened after our government took over. In 2007, emergency unloading equipment was established for bunkers in Horten, Hammerfest and Svalbard. The government has also made sure that the main depot in Fedje is reestablished, while the main depot in Florø is in place. Good cooperation with the Russian authorities on maritime safety and oil protection in the northern regions continues, and joint oil protection exercises are regularly conducted. The work on emptying the wreck «Nordvard» in Mossesundet for oil began before Christmas and ended immediately. I agree with the proposers that we need solid oil protection in Norway. Every day, ships along our coast with both oil cargo and bunkers on board represent a risk of discharge in the event of an accident. An increase in ship traffic from North-West Russia is also expected in the coming years. In addition, offshore oil and gas activities may cause oil spills. We've seen examples of both of these last years. Oil protection is about people’s sense of safety in coastal activity. Increased ship traffic and petroleum activity in the northern regions also increase the need for knowledge of oil protection in ice-filled conditions, dark and high waves. The Ministry of Fisheries and Coastal Affairs is therefore developing a comprehensive overview of the activities of different actors in this area. Work is also underway on launching a pilot project related to the technological development of bilges for use under difficult weather conditions. As regards the Port and Water Law and the question of whether it should apply to Svalbard, there are questions to which the Government will come back. I believe that the needs in the field of oil protection have been well identified through St.meld. No 14 for 2004-2005 and the Coastal State of Material Report 2006. I therefore believe that it is not a new action plan that we are going to use the resources now. We know the need, and oil protection has been significantly strengthened by this government. With regard to the question from the representative Sahl on the oil protection base at Trena, there is a question under the Ministry of the Environment, a department with which the Ministry of Fisheries and Coastal Affairs has a good dialogue on these issues.
ParlaMint-NO_2008-04-08.ana.ud2463e1184	It's going to be line change.
ParlaMint-NO_2008-04-08.ana.ud2463e1187	It's been three years since the potion message was processed. The Coastal Agency produced, as the Council of State said, a report based on this. This is a report that the department chose to arrest. In fact, the Progress Party had to go all the way to the Prime Minister to have that report released. The report showed that there was a backlog of 260 million. kr. The council says that this government has followed it up, and that it is now a certain aftermath. Then the question becomes to the Council of State: is 100 million. Do you have a certain aftertaste? Because that's what we're talking about for 2006, 2007 and 2008. So it's a follow-up of approx. One hundred million. kr in relation to the report. Does the Council of State consider this acceptable?
ParlaMint-NO_2008-04-08.ana.ud2463e1196	Firstly, I would like to stress that the Ministry of Fisheries and the Coastal Department practises transparency in relation to the needs and recommendations of oil protection. This report is mentioned in the relevant Stortinget documents - the budget is a key word here. When this government took over, we started with a huge aftermath that we had taken over after the Bondevik II government, which, of course, settled the budget with the support of the Progress Party for three out of four years. What remains as the great measure of oil protection -- now I'm not talking about the prevention of maritime safety, but oil protection -- after the previous government, with the help of the Progress Party, is the closure of the mid-depot on Fedje. We had to start by giving money to that. In addition, we have strengthened the appropriations in the order of magnitude set out by Mr Bård Hoksrud here. This is, in fact, a major step for Norwegian oil protection.
ParlaMint-NO_2008-04-08.ana.ud2463e1203	One of the events which led to that document No. 8-proposal, the oil line is detachment at the bow loader on the Statfjord field. In an internal report published by the company, we read about many serious errors. Can the Council of State now assure us that the Government has taken steps to follow this up, so that we can avoid such an obvious sledriance in the future? 4000 tonnes of crude oil could cause great damage if the oil had come to our near shoreline.
ParlaMint-NO_2008-04-08.ana.ud2463e1210	It is the Petroleum Inspectorate that has carried out the studies on the Statfjord A emissions. It is sorted by the Ministry of Labour and Inclusion. It's obvious that all events of this type need to be evaluated. Both the causes and the ways in which things have been managed, both by private actors and by the public sector, need to be monitored to reduce their impact. Both what happened in connection with the ‘Server’ and what happened at Statfjord A are experiences that the different departments, the different departments and the private actors have to take with them further for the future.
ParlaMint-NO_2008-04-08.ana.ud2463e1219	This is a matter where the government parties and the Christian People's Party agreed when we dealt with the maritime safety message in 2005, so I'm a little surprised that the minister is bringing forward the great aftermath of the Bondevik II government. When we dealt with this right in the transition to the red-green taking over and the Stoltenberg government came, we were in the start-up phase of a new bet. But now leave it. We agree on the progress here. There has been extra money for the department, and the Christian People's Party is pleased about it. But I want to repeat my challenge to the Minister for Svalbard. The Committee shall be to Svalbard next week. When we were there in the last period, there was a strong focus on this that we had to take care of maritime safety related to Svalbard, and on the issue of the port and water law would apply in the vulnerable areas there. How far has the government come with that treatment?
ParlaMint-NO_2008-04-08.ana.ud2463e1228	Firstly, I agree with the representative Sahl that today's government parties have agreed with the previous government parties on the overall grips, on the measures to be taken and on the risk assessments. I would also like to commend the previous government - and therefore also the previous government parties - for what they have done with regard to the prevention of maritime safety. When it comes to the level of funding, I don't feel the same urge to praise the Bondevik II government. I believe that more should have been done to give greater priority to oil protection, and that is what this government is trying to fix, so that we can reach the recommendations that the Swedish Coast Guard Agency has made to us. As far as Svalbard is concerned, we are constantly working to improve the prevention of maritime safety there, and in terms of the port and water law and its application to Svalbard, as I said, there is something the Government will come back to.
ParlaMint-NO_2008-04-08.ana.ud2463e1237	First, I would like to say that it is positive that the Government has increased its efforts in the area of preventive oil protection preparedness. Of course, it's important if the accident is to be out. Along our long-distance coast there are many wrecks, and actually it leaks oil from a lot of wrecks. The Coast Guard recommends that the wrecks be emptied. This applies, inter alia, to: «Velheim» outside Florø and «Nordvard» in Mossesundet. According to the Coast Guard, it is on money, which the Government has not granted. Will the Council of State ensure that money is allocated so that you can drain the oil from these wrecks that are currently lying and leaking continuously?
ParlaMint-NO_2008-04-08.ana.ud2463e1244	Yes, we have already taken action against the wreck in Moss. The Coast Guard has now produced a report that gives us a very good overview of the location of the wrecks, and which wrecks are most at risk. We also follow developments very closely. Obviously, if the situation gets worse and becomes acute for some of these wrecks, you will have to intervene. And that's, as I said, something that's closely followed.
ParlaMint-NO_2008-04-08.ana.ud2463e1251	What has happened since Stortinget treated St.meld. No 14 for 2004-2005 on oil protection, the ‘Server’ is lost. The Council of State has said in the past that she will ensure an independent, external consultant in the assessment of the event. The Coastal Agency has carried out its own internal evaluation. So I'm asking if we're still going to have a review by independent professionals looking at how the action is carried out. The other thing that's happened is that in February/March we had an emergency drill in the northern areas. Barents Rescue shows that oil protection equipment is not very good - on the contrary, it is going to be ironed out. The representative of Storting Heidi Sørensen from SV then said that ‘the exercise revealed serious errors’. I wonder if the Swedish Government agrees with the Swedish Government’s representative, who then also said: ‘The state is clearly far worse than we feared, and we cannot live with that’. So this applies to oil protection outside Finnmark.
ParlaMint-NO_2008-04-08.ana.ud2463e1260	Firstly, an external survey of the ‘Server’ action will be carried out, in addition to the internal rounds of the Coastal Works. In the case of Barents Rescue and other exercises carried out, it is precisely done to find out whether the systems are working and to practice on scenarios. It's very important to deal with situations the day they happen. I believe that today's oil protection preparedness is satisfactory, but it is also the case that oil protection preparedness must be constantly assessed against the development of the risk picture and dimensioned after the development of, inter alia, marine traffic and petroleum activity.
ParlaMint-NO_2008-04-08.ana.ud2463e1270	Replicate cord shift complete. The following speakers have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-04-08.ana.ud2463e1275	Let me start by saying that the Progress Party has added additional funds to its alternative budget, both in 2007 and 2008. Let me also remind you that the starting point is St.meld. No 14 for 2004-2005, which we dealt with just under three years ago, but that has happened a lot since we dealt with that report on oil protection. We had in December 2007 - that was the background to the initiative for this representative proposal - a serious discharge of oil into the North Sea, and we were rescued, so to speak, by chance, by wind and electricity. In January 2007 we had a shipwreck outside Fedje in Hordaland, where a ship broke down and we got oil in the rocks. There was little oil, but there was a lot of waste, and the cost has been over 300 million. kr. The coastal works have evaluated themselves. I am therefore pleased when the Council of State now confirms in the exchange of lines here that we have another evaluation. That's probably important. The self-evaluation of the Coast Guard reveals a number of weaknesses in the oil protection system. I am therefore pleased that you will be able to open the door for others than the establishment to assess the action that has been carried out. But these and other events remind us that oil protection is important for both the oil nation and the coastal nation of Norway. The preparedness should be optimised so as not to allow randomness and/or lack of procedures and equipment to give rise to a lack of or lack of activity if an adverse event or accident occurs first. I would like to quote from the setting to St.meld. No 14 for 2004-2005. The Progress Party, SV and the Central Party agreed that ‘there is a clear need for both strengthening and upgrading the intermediate and main depot’, and that upgrading and strengthening the depots should take place quickly. There is also reason to stress that this report, if necessary, to which the Council of State refers, was presented after strong pressure, among other things. Mr President, ladies and gentlemen, I should like to thank the President-in-Office of the Council for his excellent report. In conclusion, I come back to the exercise outside of Finnmark at the beginning of March 2008, where the oil protection equipment was extinguished in the north. The rapporteur, Kristina Hansen, in the municipality of Nordkapp - I think she represents the Workers' Party - is demanding the strengthening of oil protection in order to support the oil industry in the north; I refer to today's Business on 3 March 2008. Summary: Modern equipment is missing, emergency drills show a lack of preparedness, and ‘Server’s failure shows a lack of implementation. This and other factors are the background to the request for an action plan for enhanced oil protection.
