ParlaMint-NO_2008-02-13.ana.ud1703e22	The representative, Odd Einar Dørum, will put forward a proposal for a representative.
ParlaMint-NO_2008-02-13.ana.ud1703e863	I thank the Council of State for the answer. Then I can answer back that as late as last summer the Progress Party proposed to remove the property tax. Had the property tax been removed then, a proposal that otherwise only supported the Progress Party, we would not have had the problem that we are now facing. But the problem is there, that some parties pay, while other parties don't pay. That's the inequality that we're going to have to get rid of right now. It is clear that I am also asking why not follow up legislative changes by the department. The law on land ownership was amended in 2004 and 2006, as the Council of State says, but this has not been followed up by property taxes. I guess there must be someone here who has been doing a bit of a drudgery and not doing his job.
ParlaMint-NO_2008-02-13.ana.ud1703e874	No, you can't accuse neither the Ministry of Finance nor anyone who works for us, for scurvy. Of course, we should look at this matter, as I said. However, I would like to stress that for many landowners, the increase in the attachment fee has been much higher than what has been the usual property tax level around the municipalities. So if you take care of the Santa party, I would wish the commitment of the Advance Party had come at a little earlier time. But in any case, these issues of property tax may have an impact on individuals. That's the background for us to go through the changes in the law that have happened, and look at how the property tax law turns out to them.
ParlaMint-NO_2008-02-13.ana.ud1703e884	I have a question for the Minister of Finance: ‘Maximum right has decided not to deal with the tax liability appeal of SINTEF. The judgment of the Lawyers' Court involves a tax charge for SINTEF of approximately SEK 30 million in the years 2001-2007. This may include several similar tax matters. There are high expectations in the research community that the tax law will be amended to exempt them from income tax. Will the Council of State propose to amend the tax law so as to eliminate the income tax on this type of research institute?’
ParlaMint-NO_2008-02-13.ana.ud1703e893	The Supreme Court Committee considered that there were no conditions under which the appeals of SINTEF were to be tried by the court, and the court of law confirming the equation of SINTEF for the 2001 and 2002 years of income are thus enforceable. Under the Tax Act, income earned by activities is taxable. Research activity may be non-profit-making and non-acquired, but may also be carried out as part of a commercial activity with a view to generating profits. It is the research institutes’ operating income generated by commercial research that is subject to tax liability and not research itself. The judgment of the Lawyers' Court states that more than 90 pst. the revenue generated by Sintef in 2002 derives from research into its mission. The Court concludes that such research for remuneration has a greater similarity to services other than activities aimed at achieving an ideal purpose. The law further states that parts of the activities of SINTEF will be in direct competition with taxable domestic companies, such as: The Norwegian Veritas. A rule that relieves SINTEF and the approx. 60 other research institutes from taxes on business income could give these institutions a tax advantage and could thus distort competition between them and taxable activities. Such a rule would also discriminate unfairly against income from research activities in relation to income from other activities. However, the research institutes manage partly larger asset values, which are initially subject to taxes on wealth. On the basis of a proposal from the Government, the Storting last autumn decided that assets used in research activities should be exempt from property taxes. The rule came into force on 1 January of this year. After the amendment of the regulation, the tax burden on institutions will be very limited. This change, and the strong considerations that speak against a rule on income tax exemptions, mean that I will not propose to amend the tax law so that the research institutes are exempted from income tax.
ParlaMint-NO_2008-02-13.ana.ud1703e904	I thank the Minister for the answer. I am pleased that there was a change in the property tax from 1 January, but I am a little disappointed with the answer regarding the income tax, because I had received signals from the red-green politicians that it would be assessed in the budget for 2009. As you know, SINTEF has to pay taxes all the way back from 2001. That means 30 million. kr for the research foundation. In the 2008 budget, the right has given priority to restoring the 30 million. kr, so that SINTEF escapes from this tax liability. I'm not going to get any closer to the government's cutting edge in research. But when the investment in research is initially weak, it does not help with a tax liability. As we know, the surplus from research goes to, among other things. investments in laboratories, knowledge and competence. Will the Council of State do anything to allow the tax charge to be waived for the SINTEF Foundation?
ParlaMint-NO_2008-02-13.ana.ud1703e915	It is important to have a certain level of non-discrimination between different persons, institutions or enterprises that are required to be remunerated. I don't think it's a wise idea to let it become the theme in a Question Time in Stortinget. The question of whether additional appropriations will be made available to SINTEF in the case becomes a question of budgets. It is not right that the government has introduced some severance in research. The effort in relation to research has increased significantly, and this government has been able to increase as much in three years as it did in four. I am also pleased that it was our government that made the changes regarding the exemption from the property tax, because it has been perceived as a greater burden for these research institutes than any income tax. There is the problem of distortions in income tax issues, which means that it is not the way to go.
ParlaMint-NO_2008-02-13.ana.ud1703e924	This tax liability is very unfortunate, and it also affects other parts of the research environment. There have been signs that equality authorities in other parts of the country may now do something of the same thing as they have done in Trondheim, and that more research institutes will be affected by this SINTEF tax. It has been 50 years’ practice to exempt research institutions from tax. How will the Council of State ensure that the framework conditions for the research institutes do not get worse than they are in the countries with which we compete and that we continue to have a strong focus on research in the future?
ParlaMint-NO_2008-02-13.ana.ud1703e931	The income tax imposed on research institutes is linked to commercial activities, an actual income and an actual profit. It is also possible for these institutions to carry out profits and losses over the years, so that the tax on income is not a heavy burden on most research institutes. What was a significant problem was the issue of wealth taxation. I'm glad that we have cleared that matter up, because many institutions perceived that significant parts of the values they administered on behalf of the entire knowledge society were taxed unfairly. I believe that they now have good framework conditions. The government will continue to prioritise research issues in the budgets that are coming, but that is what we need to get back to when we present the budget for 2009.
ParlaMint-NO_2008-02-13.ana.ud1703e941	«The councils of State ruled out in NRK Møre and Romsdal on 5 February that she believed that the school had received too little income from the municipalities. In both 2007 and 2008, the free revenues of municipalities decline compared to the previous year. What does the Council of State think municipalities should have used less to prioritise/abstain from school?’
ParlaMint-NO_2008-02-13.ana.ud1703e948	Let me first go over a little bit about the local economy situation. After all, the municipal sector has experienced a historical increase in income in recent years. In the period 2005-2008, the real growth in the income of the municipal sector is estimated at approximately DKK 21 billion. Of these, the real growth in the free income of the municipal sector amounts to approximately DKK 10 billion. The budget ceiling for the municipal sector in 2008 represents a real increase in the total revenue of DKK 6.2 billion. Free revenue is increased by DKK 1.5 billion. In addition, almost DKK 0.5 billion will be spent on the relief of free revenues as a result of the fact that the government is financing a greater part of municipal expenditure on resource-intensive services through earmarked reimbursements. The growth of revenue is usually calculated from the estimated revenue level for 2007 in the revised 2007 national budget. The question refers to the decline in the free revenues of municipalities in both 2007 and 2008 compared to the previous year. This needs to be seen in the context of a much higher revenue growth rate in 2006 and 2007 than estimated when the 2007 and 2008 Community frameworks were established. This is mainly due to an unexpected high level of tax revenue, particularly in 2006, but also in 2007. The local government sector should not use such additional income for permanent operating costs. It has also been communicated to the municipal sector. School is one of the Government's bet areas. The government has, among other things: The aim is to employ more teachers in school. Figures from the Statistical Central Bureau for the third quarter of 2007 show a significant increase in resource use in schools. This shows that municipalities are following central signals and giving priority to important welfare services for citizens. However, it is worrying that the Ministry of Knowledge has received signals of a violation of students’ rights in some municipalities by not getting the number of hours they are entitled to. The Ministry of Knowledge will therefore consider measures to ensure that students receive the training they require, in accordance with the Training Act and the professional and hourly distribution in the curriculum. The Ministry of Knowledge will also closely monitor the development of resource use in initial training. Through the strengthening of the local economy, the government has provided a basis for municipalities to strengthen the provision of services. However, priority will be needed for municipalities and the need for increased efforts may differ between municipalities. In order to facilitate the best possible provision of services, the local authority sector must also ensure efficient operation, good governance, sound financial management and a good employer policy. If the municipalities streamline with 0,5 pst. or reduce sick leave by one percentage point, it can be released approximately DKK 1,4 billion and DKK 1,5 billion respectively. In addition, I would like to point out that several municipalities can increase their income by introducing property taxes. I trust that the municipalities are initially able to meet the challenges they face and that they can develop a good service offer. The government budget for 2008 facilitates this. I think it is necessary to have a slightly longer-term debate on how to secure resources for some of what is most important for Norway's future, namely what kind of effort we have in school. We have too many examples of municipalities now tightening up the school sector - not recruiting new teachers - or kittens in teaching positions. That's a big concern. We do not today have instruments in line with the Soria Moria declaration that provide the basis for stronger government governance to secure resources for the local government sector than I have been in this answer. But I think, on behalf of the SV and on behalf of everyone who is involved in the school sector, that it is a necessary debate to move forward. If we see that school efforts do not keep pace with the rise in the municipal economy, we need to see if there are other ways to ensure that the resources benefit the schools.
ParlaMint-NO_2008-02-13.ana.ud1703e974	It is quite surprising that the Minister of Finance's response to this is stronger government governance of the municipalities' priorities. The municipalities around the country do not budget with thoughtful figures, they budget with reality. The reality, as the Minister of Finance himself writes in the national budget, is that the free revenues from the previous year fell both in 2007 and 2008. That's why 40 pst. of the country's population lives in municipalities that in 2008 cut their school budgets. The problem is that the Minister of Finance creates the impression that the municipalities have gained more free income and have therefore chosen not to give priority to school. That's not the case. My question is again: is it to understand that the Minister of Finance has not yet taken on board that the revenues of municipalities have declined in both 2007 and 2008 in relation to the previous year?
ParlaMint-NO_2008-02-13.ana.ud1703e981	I've been going through carefully what's the situation for the local economy, and looking at how it's evolved under a red-green regime. I do not stop to wonder that representatives from the Right, who, through their last government period, made sure that the local government sector was quite hungry for funding, allowed themselves to enter into a discussion and draw a picture of the local economy as if it had not been one of our priority areas - because it has been. This does not mean that you sit around the municipalities and think they have flusts. It is the actual evolution of the tax intake in 2006, which has led to the question of the free resources in 2007 and 2008. This exceptional tax access was not intended for municipalities to operate. I think it is worrying that many municipalities are now cutting into teaching positions. That is why I think it is absolutely necessary to take forward a discussion that is about prioritising the local government sector. That's going to be a question for each budget. However, if it is not enough to give priority to the local government sector to ensure that the school sector is also given priority, I think it is necessary to discuss stronger governance of education issues in relation to transfers from the state to the municipalities.
ParlaMint-NO_2008-02-13.ana.ud1703e988	What should worry the Minister of Finance, and I expect her to have an overview of when she gives a description of the municipal economy under our government, is that the municipality's share of the social cake -- and that's a concept that maybe SV is familiar with -- is less now than it was under the Bondevik II government. That's the point. The Minister of Local Affairs has understood this, for on the same day as Kristin Halvorsen made his statement, the Minister of State said to the County Council of KS: ‘The government has asked municipalities to give priority to care for the elderly and kindergartens. The municipalities have. Then it may seem strange that from the Government's side, we criticize the municipalities for not spending the same money on schools and child protection. Neither we who govern the country nor those who govern the municipalities can use the same money twice.’ I am convinced that the Minister of State had heard the Minister of Finance at NRK Møre and Romsdal coming in from the airport to KS County Council when she came across that criticism by the Minister of Finance. Does the Minister of Finance agree with the Minister of State that the municipalities cannot use the money twice?
ParlaMint-NO_2008-02-13.ana.ud1703e1002	I agree that no one can use the money twice. However, many municipalities have had far greater scope for action than they have used in the care sector and the nursery sector. Fortunately, priority has been given to these two areas. But I repeat that I think it is worrying that School-Norway has seen that the resources have come to that sector, not to the extent that one should believe in the increase in municipal income. And precisely because I believe that school and knowledge are so crucial for the future, I think it is necessary to discuss the priority of the local economy, of course, but also whether it should strengthen government governance to secure the school's share of those resources. As I said at the outset, I do not have any points of view for this in the Soria Moria statement per. today. But we are facing new discussions on how to ensure that the school is given priority, and in that discussion, it is fully possible to raise exactly the debate that I have done: how are we going to ensure that the municipalities get a proper increase in their resources for the future?
ParlaMint-NO_2008-02-13.ana.ud1703e1014	I will ask the Minister of Finance the following questions: ‘The banking sector is characterised by a switch of banking connections. This weakens competition and provides more expensive banking services. The introduction of personal account numbers will facilitate the exchange of banks. However, the government has concluded not to impose this because the costs are allegedly too high. The cost question is poorly addressed. Some experts believe that costs are lower than the industry claims. Will the Government have the concrete costs calculated by independent actors, and in that case what time will that be?’
ParlaMint-NO_2008-02-13.ana.ud1703e1023	I have been concerned about the question that the representative Torbjørn Hansen is travelling, and on that very basis I have wanted to facilitate that it will be easier to exchange the bank. There is also a background for the request of the credit supervision in December 2006 to set up a working group to assess appropriate measures, including the introduction of personal account numbers. The working group has been composed of representatives of the Banking Authority, the Norwegian Bank, the Competition Authority, the Consumer Council, the Savings Bank Association and the Financial Industry’s Main Organisation. The report of the Working Party was available in June 2007. In the opinion of the Working Group, the introduction of personal account numbers would not provide sufficient socio-economic gains in relation to costs. Instead, the working group recommended that the authorities follow up the work of the banking industry to draw up standard agreements for the distribution of responsibilities and work in the event of a bank exchange between new and old banking connections, called ‘Switching Codes’. This was considered a good solution to many of the practical problems customers face at bank exchange. The recommendations of the working group were generally widely supported in the consultation. As regards the cost side of the introduction of personal bank account numbers, the working group made it clear in the report that it had not been possible to carry out a systematic review to identify all circumstances that had to be changed and that it was therefore not possible to have a qualified view of the total costs of the introduction of personal account numbers. However, the working group assumed that the introduction of personal bank account numbers would represent the largest IT project in the banking industry ever. I have noted that critical comments have been made on the cost side assessment of the working group. Among other things, it has been claimed that cost estimates appear to represent too much the perceptions of the banking industry. It has also been argued that the parallels to the introduction of telephone number portability are greater than what the working group has expressed. Finally, it has been argued that the effects on competition have been assigned too little importance. The Ministry of Finance further works on the recommendation of the Working Party to follow up the work of the banking industry on Switching Codes. Many of the challenges facing banking customers today in the exchange of banks are likely to be solved by binding labour-sharing agreements between new and old banking connections. In a letter to the Banking Authority dated 4 January 2008, the Ministry asked the supervision to follow up the work of the banking industry and to report to the Ministry on progress by the end of February 2008. I assume that the exchange activity of banking customers will increase, and that this in turn will stimulate competition between banks. I added that the Credit Authority was asked to assess the impact of the measures once they have been able to work for a while. A thorough study of the costs associated with the introduction of personal account numbers will require a great deal of time and considerable resources, and assessments could always be the subject of a new discussion. The information we now have suggests that the introduction of personal account numbers will be socially unprofitable with today's technology. This does not preclude the possibility of addressing the issues at a later stage.
ParlaMint-NO_2008-02-13.ana.ud1703e1038	I would like to thank you for your answer. I would like to say that it is positive that the Government has set down such a working group, and it is positive to look at other measures that can improve customer mass mobility. But I would also like to say that the Government must be aware that individual industries are very rarely cheering over measures that increase competition and put pressure on margins. It is quite obvious in this case, as in other competitions, that there are different interests between consumers on the one hand, the industry on the other, and society on the third. There are also different interests between large, high-cost banks and small, efficient Internet banks working to take up market shares. It is not satisfactory, in my opinion, that the sample, which had a large representation from the industry, which is the heaviestly represented by the large banks, merely determines that the costs are too high, when this is very poorly estimated by the sample. It is estimated that it will cost an estimated DKK 4 billion, an estimated $400 million. kr a year, but you have not been based on any investigation in the analysis itself, and we have experts who believe the opposite. Does the Government not see that there is a need to take a small round on the professional basis of the cost estimates in this analysis, which is the basis for the Government's conclusion?
ParlaMint-NO_2008-02-13.ana.ud1703e1047	I can assure the representative Hansen that whether it comes to the estimates and calculations of the banking industry or other industries' estimates and calculations, they will never swallow with skin and hair either by me or by the Ministry of Finance. However, this working group’s report was being consulted, and 24 different bodies replied. Among them there were two who thought, without special reservations, that we could introduce such portability now. It was the BI and the Pension Fund Associations. All the others, including the Consumer Council and the Consumer Ombudsman etc., who share my intentions in this field, so that there were counter-conceptions. Now I want to stress that we have also created a financial portal to make it easy for ordinary customers to compare prices of banking products. The industry cooperates voluntarily to get the quality as good as possible, so we are concerned about consumer issues in this field. When it comes to embarking on a major effort to go further through the costs of introducing an option to include your account number if you switch banks, I would like to wait until we see whether the policies we are now implementing in the field of «Switching Codes» are working, that it is easier for more people to exchange banks. But it's definitely a question that it's time to come back to later.
ParlaMint-NO_2008-02-13.ana.ud1703e1054	It is tempting to comment on this a little further. If you read the report submitted by the working group, you can see that they have not calculated the benefits for consumers and for customers in the banking industry of such mobility. There are very many private customers in the Norwegian banking industry, and also very many small and medium-sized enterprises that will be able to achieve lower costs if competition in this segment is improved in the banking industry. It's probably possible to make calculations that show that if you have so and so much gain per. the customer, it will also constitute a fairly large number in such accounts. The situation is that the Ministry of Finance does not have a basis for cost estimates, nor has it been specifically calculated as to what kind of gain such a moveability would have for the industry. Then my question becomes: how can the Minister of Finance think it is very comprehensive or very expensive to get an easy estimate of expenditure and income here, when the government has hardly asked any external trade unions about this?
ParlaMint-NO_2008-02-13.ana.ud1703e1061	Unlike my predecessor from the Right, I have been concerned with just these questions, because I believe that it is, perhaps for reasons of loyalty, perhaps for practical reasons, too much loyalty between customers and banks, which may make competition in this sector too small. Now the Finansportalen will help with that. Cooperation between banks to facilitate the exchange of banks and the implementation of Switching Codes will also facilitate this. It may have been particular consideration for smaller traders who were the starting point for my involvement in this field, because they may have higher costs of switching banking connections compared to their customers. But I believe that we now both have to make sure that this work on ‘Switching Codes’ is fully pressurised and that they will come back and report on its impact, together with the fact that the Financial Portal is also established, is well in the process of getting better competition on this market. Then I will come back to any further assessment regarding the costs of being able to take their account number if you change banks.
ParlaMint-NO_2008-02-13.ana.ud1703e1071	This question, from the representative of Vera Lyskleätt to the Minister for Local and Regional Affairs, has been transferred to the Minister for the Environment and Development who is directing him. The question will, however, be answered by the Minister of Finance on behalf of the Minister for the Environment and Development.
ParlaMint-NO_2008-02-13.ana.ud1703e1074	I have the following questions to the Council of State: ‘Climate research centres have established that municipalities can contribute as much as 15 per cent to the reduction of national climate emissions through their activities and instruments. Municipalities are therefore a key player in reducing climate change emissions. Has the State Council considered how the Government will trigger the potential for climate change mitigation in the municipal sector?’
ParlaMint-NO_2008-02-13.ana.ud1703e1083	I agree that there is a great potential to trigger climate-friendly solutions and measures locally. In the follow-up to the Climate Action Communication, we are also committed to strengthening municipal climate action. The government, for example, strengthens also the reward scheme for public transport, which is one of the major emission sectors in the municipalities. The government will consider increasing the use of road pricing with localisation and would like to open up the use of tolls for the operation of collective services in municipalities. We have started work on national policy guidelines for municipal climate action. In this way, the municipalities will be required to put climate on the agenda. Through the «Livskraftige Kommuner» and «Green Energy Municipalities» programmes, over 120 municipalities in learning networks work with other municipalities on local energy and climate action. During March, all municipalities in the country will have been through Enova’s climate and energy planning course. In a short time, the Government will present proposals for a new part of the Planning and Building Act. Local authorities will be more able to demand climate-friendly solutions in spatial planning. As announced in the Climate Action Communication, the Minister for the Environment and Development has invited the twelve largest cities to cooperate to reduce greenhouse gas emissions. This has been done because a large part of local emissions are related to the major urban areas, with 40-50 pst. by the population of the country. There is a high potential for emission reduction, especially from transport and buildings. The aim is to achieve commitment cooperation where the State and the municipalities make joint efforts to maximise the impact. It has also been noted that the County Council of KS has recently taken a decision that all municipalities in the country should develop climate and energy plans, and invites the State to cooperate on a reinforced initiative. This is a good starting point for getting even more speed on municipal climate work.
ParlaMint-NO_2008-02-13.ana.ud1703e1102	I thank the Council of State for the answer. I have the following follow-up questions: In the Hadeland newspaper on 29 January, the working party rapporteur in Jevnaker, Hilde Brørby Fivelstad, states the following: ‘It has happened too little after we were appointed ‘Green Energy Municipalities’.’ Both resources and instruments were promised, but none. It is now almost a year since the Green Energy Municipalities were appointed. They were going to go ahead and show us the way. In Uppland, which was appointed Green Energy County, only six out of 26 municipalities have adopted a climate plan. At this rate, we will be in 2020 before all Norwegian municipalities have adopted a climate plan. Does not the Council of State fear that this could become a green bureaucracy more than green pilot municipalities?
ParlaMint-NO_2008-02-13.ana.ud1703e1116	I am not afraid that this work will primarily be green bureaucracy, but we need, of course, strong cooperation with the municipalities to ensure that climate and energy plans are made that are not plans for disappointments, but plans for action. As a follow-up to the Climate Action Communication, we are also working on how to get national policy guidelines for municipal climate action. There will be specific climate requirements for municipalities. How to design the contents of these, we have to get back to, but of course it's very crucial that it be action-oriented.
ParlaMint-NO_2008-02-13.ana.ud1703e1123	I also thank you for this answer. I have one last question: The County Council of KS recently adopted an opinion asking the state to set up a national climate fund based on the Swedish model to realise local climate action. The KS opinion also calls for stronger legal and economic instruments that contribute to the further development of the municipal sector in climate policy. Does the Council of State see that a national climate fund according to the Swedish model can be a current instrument also in Norway?
ParlaMint-NO_2008-02-13.ana.ud1703e1132	The question of setting up a fund or budget appropriations comes back in the context of the 2009 government budget or later budgets. The creation of a fund in this area is essentially simply to advance the commitment of appropriations to future government budgets. We need to come back to how the financial incentives towards the local government sector should be designed in this case, but we want strong cooperation between the state and municipalities precisely because the local government sector can contribute to a reduction of about 15 pst. of the total national emissions. We know that we have a difficult job ahead of us if we are to be able to prevent further heating beyond the two-degree target that we have set.
ParlaMint-NO_2008-02-13.ana.ud1703e1147	This question has been postponed to the next Question Time.
ParlaMint-NO_2008-02-13.ana.ud1703e1153	I have the following questions for the Minister of Economic Affairs and Trade: ‘In today’s economy on 7 February, a growing number of Norwegian industrial enterprises are moving production abroad or cutting production. Stein Lier-Hansen of Norsk Industrie states in this case that the Government will be able to facilitate the operation of industry in Norway by, inter alia, increasing the depreciation rates for investments. What measures will the Government take to facilitate the operation of industrial enterprises in Norway?’
ParlaMint-NO_2008-02-13.ana.ud1703e1162	In recent years, industry has had an adventurous growth. According to the recently submitted Economic Review of Norwegian Industry, growth has been 45 pst. in the last three years. It has strengthened both existing and new jobs. However, we must be prepared that growth may be slightly lower in the years ahead. As I read the article to which the representative of Korsberg refers, it is precisely good framework conditions that are the most important for industry. The government is long-term in its policy, and we want to ensure that businesses have good and stable conditions in Norway. A responsible budgetary policy, measures to promote innovation and transition and focus on knowledge development are part of the Government's contribution to facilitating continued growth. The Ministry of Economic Affairs and Trade has carried out a survey showing that Norwegian enterprises use about 2,6 pst each year. of gross domestic product to comply with the information requirements of public legislation. On the basis of this monitoring, the departments responsible for legislation will see whether the objectives of the legislation can be achieved in a less costly way. The results of that work are aimed at launching a simplification plan. In particular, the question refers to depreciation rates. Such rates shall be determined on the basis that they correspond as closely as possible to actual economic impairment. This is important for the tax base to reflect economic realities and to ensure stable and predictable tax rules for business. If there is no clear anchoring of the depreciation rates, this opens up frequent assessments of whether to increase or decrease rates, depending on, for example, the level of depreciation. cyclical considerations, the need for budgetary containment, etc. Under this principle, the Government will assess whether new information indicates that the depreciation rates and the breakdown into balancing groups should be reviewed.
ParlaMint-NO_2008-02-13.ana.ud1703e1173	I thank the Council of State for the answer. As the article also shows, there are a number of enterprises that are either closed or are going to be closed, and it affects many communities. For us who remember a few years back, there was an enormous commitment in the 2005 election campaign, among other things. from the red-green lots, to bring Union into the Ski. There was no way how many torches were held to save those jobs -- even if there were other alternative jobs in that region. Then it was a strong red-green commitment. I have to say that I miss the same commitment now, because here it is the community that is being affected. Now Norway is a high-cost country, and we're not going to do anything about it right now, but what we're going to do is make sure that the level of expenditure for the companies is reduced. Wages and salaries are, of course, costly in this way. Does the Council see any possibility of reducing the level of taxation in the future to ensure that a moderate wage settlement is achieved without losing purchasing power?
ParlaMint-NO_2008-02-13.ana.ud1703e1184	With regard to the overall level of taxation and taxation, this Government has done exactly what it has said it should do. Taxes and taxes should be at the level of 2004, and they do. Within it it is possible to redistribute, so that those who have much pay more, and those who have little, pay less - but thus within the overall framework of the tax regime. Otherwise, I have to say I'm happy for the representative's commitment in terms of closure problems in the companies. Now it's going to be constant conversion. That's why we have a healthy business life -- we have adaptability. However, precisely in view of the challenges some communities face if an enterprise is closed, this government has made sure that we have reintroduced the differentiated employer fee in order perhaps to help the least nutritious parts of the country. And through the Ministry of Local and Regional Affairs, we have introduced a new regulatory framework to allow state aid to be granted in the event of closures of enterprises above a certain level of importance for a community. If it is below that level, we will provide money to the county council in question, which can contribute to conversion. For the same reason, we have also submitted a conversion law which is now being dealt with in Stortinget. I welcome the commitment of the representative, Mr Korsberg, and I count on support for our proposals.
ParlaMint-NO_2008-02-13.ana.ud1703e1193	I thank the Council of State for the answer. Conversion is quite natural. The closure of farms is also quite natural. That's how business works. With regard to the differentiated employer’s fee, there was a unanimous increase in pressure on both the previous government and this government to obtain solutions compatible with the EEA Agreement and approved by ESA. I think there are a lot of people who are going to be allowed to share the honor. As regards the conversion law, I would like to ask the question: How many of these companies would have been avoided if the conversion law had been applied?
ParlaMint-NO_2008-02-13.ana.ud1703e1204	Such conversion law, which is now under discussion in Stortinget, is not such as to require the public to decide whether or not to reduce an enterprise. What it does is to ensure that if an enterprise has problems - either to be laid down or has other significant reductions in staffing - is able, first of all, to enter into a discussion in which they have the opportunity to establish a new ownership and, where appropriate, to take over. I would also like to remind you, since the Union case was mentioned, that the position there was that someone else should be taken over. It was not a mandate for the Union to move on. Secondly, the local community in question - the municipality - and the county municipality will be notified at an early stage, so that if the company is not able to save, the whole instrument will have to be in place immediately to make good changes. That's the idea behind the law on conversion. It is right, as the representative says, and as I have so far said many times, that we never get into a situation where there are no business changes, but we can contribute politically to making the transitions good rather than difficulties in local communities.
ParlaMint-NO_2008-02-13.ana.ud1703e1216	I allow myself to ask a question to the Minister for Transport: ‘On the traffic-laden route Storenes-Tangvall on the E39 through Søgne municipality, work is started on middle parts. The work will be completed in October/November 2008, but now it turns out that the middle part will cover only half of the distance. The most accident-affected part will then be left. The promise of the middle parts of the section came when it became clear that a new four-field road did not arrive until 2020. Is this in line with the Government's wish for road safety, and what will the Council of State do in this matter?"
ParlaMint-NO_2008-02-13.ana.ud1703e1225	I am aware of the serious accident situation on this part of the E39. Pending major expansion, the State Road Administration has seen progress in targeted road safety work in the form of the establishment of midway and midpointings. On the 2 km distance between Rosseland and Storenes, a pilot project with a slight centre line was opened in 2007. The experience after six months of operation is positive. It is now possible to set up a steel truck on the next 1.8 km west of Storenes, and the work will be completed until the fall. It would then be that the installation of a steel truck of 1.2 km up to Tingvall, and I see the need for repair also of this stretch. The need is expected to cost just under 20 million. kr. The line is not a priority in the action programme until 2009, which was established in 2005 on the basis of the 2004 Stortinget NTP Decision, where the red-green parts were seven for one billion dollars more annually than the existing government entered. According to the plan, this is due to start-up in the period from 2010.
ParlaMint-NO_2008-02-13.ana.ud1703e1232	I thank you for your answer. Search is a municipality with a high population growth. And it's Tangvall and not Tingvall that's close there. But it's a nice place in the South, which is worth visiting. The challenge for Search is that there is a lot of commuting in terms of job and school against Kristiansand along this route, and especially that distance has had a very large traffic increase. In 2001, we could count 11,400 cars, in 2007 we could count 15,800. The work started will make the last part, which is the most accident-affected, now stand without the middle parts. The local population feels incredibly uncertain about this. Does the Council of State understand the desperate feeling that this pitfall stops before the most accident-affected part of the road, and that it does not get railings?
ParlaMint-NO_2008-02-13.ana.ud1703e1241	It is not difficult for the Council of State to understand that people become insecure when they are going to appear on high-traffic roads that they do not feel are sufficiently secure. I'm glad you've done what's been done, and for what's being done on this route. It is one of the routes that both the State Road Service and I as State Council have planned in relation to the further planning. Of course, if there are possibilities for starting up this route before 2010, the budget for 2009 will depend on what framework it will have. But, as I said, according to the plans, it will start from 2010. I feel that it is right to be honest about it.
ParlaMint-NO_2008-02-13.ana.ud1703e1248	I thank you for your answer. This is not about a lot of money, and we in the South have been used to our road being built in pieces, and that one has taken one now and then. It was the previous government that started building out quite a number of pieces of the southern road. But the middle part doesn't have to reach Tangvall. This is $20 million. NOK, if we calculate the costs of the project for the middle part that is being built now, and I think it will be a very pressure from South Africa to get it, when we don't get the quadruple road that we want, for quite a long time. The NTP numbers are not clear reading in that case. The part that we're talking about is 1.2 kilometers. It's about an incredibly unfortunate road, and I'm asking the Council of State to look at this again with the last part, preferably in connection with the revised national budget, but at least in connection with next year's budget. Traffic safety is one of the most important things we can work with in relation to the road, and this will be an incredibly good tool.
ParlaMint-NO_2008-02-13.ana.ud1703e1257	I note the representative's commitment both to road safety and to this special route from Tangvall to Storenes. I'm very pleased with the commitment that Dagrun Eriksen shows in this matter, because it's important that we have engaged both big-time politicians and local and regional politicians who can breathe us in the back. So, of course, I also want us to complete this distance as fast as possible, as well as some other sections that are also waiting and going to be carried out. The government has a strong focus on road safety. We have increased the permissions in line with NTP. Fortunately, we have had more road safety done than we could have done, and I will, of course, take Eriksen's commitment and remind myself of it in the forthcoming budgetary procedures.
ParlaMint-NO_2008-02-13.ana.ud1703e1267	The question is as follows: ‘In the cities of Stavanger, Bergen and Trondheim, various rail-based collective projects are being worked on. In Stavanger, the urban railway is planned to partially use the railway’s driving path. In Bergen, the city railway is built on its own highway and the NSB has plans for trains to Flesland Airport. Trondheim and Trøndelag continue to reduce travel time by train between Trondheim and Steinkjer. Is the Council of State willing to take a closer look at State project financing in a coordinated and forced development of railway-based collective schemes in these three cities?’
