ParlaMint-NO_2008-05-09.ana.ud1168e43	The representative Ib Thomsen will present a proposal for a representative.
ParlaMint-NO_2008-05-09.ana.ud1168e735	The council said she was sympathetic to important trials. We agree on that. Such an attempt is now being clarified at the University of Bergen, where, if you haven't already done so, you will apply to the Department for permission to use a five-year master, where you do two things. One strengthens the professional immersion in two subjects, in Norwegian and mathematics, and one doubles the practice time, i.e. the practice time - i.e. that some of the issues raised in the criticism of teacher training in the NOCUT evaluation are addressed. Such a master will try to show you how to strengthen your education as a general teacher today. The left is concerned whether the Council of State will sympathise with such a test request from a serious educational institution which considers this to be a necessary step to improve the quality of general teacher training.
ParlaMint-NO_2008-05-09.ana.ud1168e742	We take a positive view of all the good activity that's going on around. We already have master's degree at all our universities on the teaching side, so there is no lack of experience from offering masters, i.e. with a five-year education that lies there - but it is at university level. It is also what Finland has in its teacher training. I look at the situation in relation to new applications so that when we are so close to the presentation of a message, I would rather have the discussion in connection with the message rather than starting further attempts now. That's my primary position. But of course, I'd like to consider any input that might come, both good input into our work on the message, but also input that can help individual educations find even better ways than today. It is, after all, the main responsibility of the institutions to get good education, of course within the overall framework of their education. But I'll look positive at all attempts to improve it.
ParlaMint-NO_2008-05-09.ana.ud1168e749	So there's a cross-political consensus that we have to do something about teacher training. As the rapporteur said, what is happening today is not good enough. Government parties signal that all teacher training must be put on hold, and they regard it as a major and complex reform. At the same time, they say that there is a need to address the short-term challenges – without making a single proposal for action. So my question is, what is the reason why the government parties are not willing to review the general teacher training framework in order to ensure that it is up-to-date with the Knowledge promise? Does the Council not see the need for such quality assurance, or is it more important for the government parties simply to produce a lot of empty phrases that are not followed up in concrete action than it is to listen to the country's largest school owner?
ParlaMint-NO_2008-05-09.ana.ud1168e756	Of course, we look at the framework plan in connection with the work being done now. We are now in the situation that we have had two framework plans in a very short time. The previous one was quite detailed, and the one that is now is little in detail. Of course, it is absolutely necessary to assess the framework plan as such and its contents when we are about to have a review of teacher training. But to claim that nothing has been done is to shoot far beyond the goal. This year it's set at $40 million. to actions in the State budget of the year to strengthen teacher training and to provide new knowledge. Research is under way for practical R & D for kindergarten, primary and teacher education; the Ministry has supported its own annual R & D conference; it is a programme of guidance for newly educated teachers; it is launched a three-year project at regional level to develop cooperation between the university and higher education sectors and the school and kindergarten sectors; it is a development project led by NTNU and the University of Agder; it is a project with new models of teacher training for primary schools at Telemark and in Westfold, and so I could continue. [[President clubs]] There's a lot of things going on, and that's what we're using as a basis for our work now. [[The President Clubs Again]]
ParlaMint-NO_2008-05-09.ana.ud1168e764	The President will remember the time of speech. The chord shift has been completed. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2008-05-09.ana.ud1168e771	It is a very important matter we are dealing with today, namely improved and extended general teacher training. This spring’s debate on the state of Norwegian school has been useful, because it has helped many to get involved and that school policy has again been raised on the agenda. The debate has also confirmed for a long time what the Left has said, that the teacher has a key role to play in creating a better school. Although I feel that there is a broad consensus about the teacher's key role, I will take this opportunity again to stress the importance of good teachers. The competence of teachers is crucial for the learning of students, as we know from several studies, including: from the NTNU survey referred to in the setting. Students in Norwegian school deserve good teachers, and it is our job as elected representatives to do ours for teachers to be professionally competent and competent. That is also why the Left has promoted the proposal that we are now debating. In addition, it must be allowed to say that we in the Left are impatient, we are impatient on behalf of the students, on behalf of the teachers, on behalf of the school and on behalf of society. After NOKUT evaluated teacher training and presented its report a year and a half ago, we in the Left have waited for the Government to present its proposals for a new and improved education, which was most required by the NOCUT report. The New Year's Eve to the Prime Minister gave us hope that something was in demand, but the only promise we have been given is a big message that will come during the year. In the view of the Left, it has taken disproportionately long before the Government has decided to present a separate message on this important topic. It should be done much faster than what you're adding up to. The left, like the NOKUT Panel, the Education Association, the Educational Students and a number of European teacher organisations, believe that extending to a five-year teacher training will allow for more depression and improve the quality of education. At the same time, in our opinion, this will contribute to a status level for teachers, which in turn will make education more attractive in terms of both new applicants and those who are already in school. This is incredibly important. It surprises me that no more have been willing to support the Left's proposal for systematic empowerment for teachers and national recruitment plans, which we have discussed earlier. I am surprised that no more will support the proposal that we are discussing here today. We believe that more people should take advantage of the possibility of examining this proposal to highlight their ambitions for future teacher training, including: as regards the length of the training, practical arrangements, etc. We believe that clarifying these external frameworks will not remove the focus from short-term actions pending the announcement of the call, nor remove the focus in relation to the content of education. [[The President clubs.]] It's about having some clear ambitions for the future.
ParlaMint-NO_2008-05-09.ana.ud1168e782	Much is good in the Norwegian school, but a lot has also gone in the wrong direction. The professional learning outcomes are weakened, the weakest students remain weaker, and the school is unable to give all students the challenges and personal growth that they are going to have. Studies show, as many have mentioned, that Norwegian school lags behind in terms of learning outcomes. The reasons can be many, but the main reason is many years of ignoring expertise. There's a reduction in the teacher's role and status, the teacher's shift to becoming a supervisor, and there's a lack of borderline requirements, with a lot of anxiety coming along. For the Left, the school has always been one of the nation's most important projects. In these agricultural settlements, I allow myself to highlight two of the most important professions we have: one is to produce food, for food we have to have every day, and the other is to teach future generations. It has to do with surviving as a welfare nation, we have to bet on knowledge and competence. But it's urgent to do a professional upgrade of Norwegian school. So to the debate on the length of teacher training. I agree that content is important, quality is important, but no one believes that the result will be worse if one fills the teacher's education with knowledge for another year, i.e. a five-year teacher's education. If you really think that the length of teacher training is not important, it is also a real kick for the long - term trainers. A good job depends on the security of the teacher's role, that as a teacher you know what you're doing, and that you know what you're doing. Then you deal with the everyday situation in the classroom in a much better way than if you are professionally unsure. Professional uncertainty leads to uncertainty as a manager and as a teacher in the classroom. The vast majority of the leaders, whether in the classroom, in school or in the business world, are also professionally qualified. That is why professional security in the teaching role is so important. Teacher training must be seen in a long-term perspective. There's a hurry to get started with an enhanced vocational teacher training. No one, even in this room, can convince me that you're becoming a poorer teacher with one year of education. Therefore, it is disappointing that the Right and Christian People's Party will not be with the Left if this proposal joins with it. [[The President Clubs Again]]
ParlaMint-NO_2008-05-09.ana.ud1168e793	The President will again remind you that when the red lamp stops blinking, the speaking time is over.
ParlaMint-NO_2008-05-09.ana.ud1168e796	It was, not surprisingly, the representative of Åsa Elvik who tempted me to take the floor again. Firstly, I believe that it is a crisis for the Norwegian school when we are unable to provide all children with basic reading and writing training. We are continuing to close pathways to education and working life. We know that in Norway we have over 700,000 people in pre-employment who are outside the labour market, and very many of them have poor literacy skills, many are functional illiterates, many are illiterate, many of them become social welfare recipients, and the background is that they have passed through a school that has not managed to give them the basics. It's a crisis. So the Norwegian school is good at understanding democracy, it's good in English, it's good at cooperation - but we know that. It's good for well-being, but there's no contrast between well-being and learning, rather the opposite. I therefore believe that it is important to focus on what we know is going well, but also on correcting what we know is not going well. That's what I think we have to do. When the representative Elvik believes that the Right owes to the institutions for not having followed up the new framework plan that came for teacher training, it's not what the Right says, it's something NOCUT says. As the representative of Inger Enger was quite right, 129 specific proposals were put forward by NOKUT. 123 of them went directly to the educational institutions. So the whole committee, in the position we are going to adopt today, has agreed to describe some of the NOCUT's most important findings, such as: is concerned with the lack of governance and management of educational institutions. We have to take that seriously, and so does the Government. We launched an evaluation of the new framework plan. The intention of it was to be told whether it worked as intended. At a seminar where both the Council of State and I attended a few weeks ago, the education director of Oslo, Astrid Søgnen, asked a very important question at the beginning of his introduction. She said, "Why should we succeed this time?" That's the whole core question: what do we have to do to succeed, and why do we believe that the measures we're now taking are going to make us succeed to a different degree than before? Teachers are the school's most important resource. There's no doubt about it. Engaged, competent, professionally motivated, competent teachers are the best guarantee we have for children to learn the basics of reading, writing and calculating. We know that we have challenges in general teacher training. We also know that we have a lot of very good teachers in Norwegian school, but we need more of them, and we need them now. That's why it's so important that we do something about the education we have, now, that we do it today and do not wait for the programming messages and discussions that come in the future. We need to take action that can improve teacher training, for example: review the framework plans with a view to updating them in relation to the Knowledge Lift. I don't understand that the government can be against it.
ParlaMint-NO_2008-05-09.ana.ud1168e811	This has become a bit of a strange debate. I also think that the previous speaker argued very well for the proposal for five-year general teacher training, but records that they will not support it. But this time, too, the representative of Åsa Elvik made me speak. She said both that the Right owes to the organizations and that the Advance Party owes it to the teachers. Let me make it clear: there are very many very good and competent teachers in Norwegian school. The Progress Party has been working for many years to make them even better. That's why, together with other parties in this room, we have worked to have binding continuing education plans for teachers, so that the teachers who are at work today get even better knowledge. The Socialist Left Party is voting against. The reason is probably that SV has a slightly different concept of knowledge than what we have, they focus on things other than reading, writing and professional skills. It's possible. Perhaps that is one of the reasons why the former Minister of Knowledge in Education No. 10 didn't take much, it was basically a pretty powerful, settlement with what has been the Socialist Left Party's educational policy for many years. That's why there's little faith when the Socialist Left Party from this pulpit says it's those who think about quality in Norwegian school. It is probably those who have had the least thoughtful activity in that area. Then you try to throw the ball over to someone else, and say that with Left's good intentions you get the Advance Party and the Right on the purchase. As if the intentions of the Advance Party were anything but good. It's going to be some kind of political rhetoric that doesn't hang out. For example, a board of trustees in the Progress Party, Sylvi Listhaug, have said that it will be easier to provide an alternative career for teachers who are unable to handle their subjects and their teaching profession. I thought SV actually agreed that, as we also heard from the representative Tørresdal, it is important to make sure that the teachers who work at school actually have the ability to learn away. Not everyone has it. But it's important to make things easier for them to do it, and those who can't do it have to be corrected away from education. If we haven't done it through education, we have to be able to guide them away afterwards. I thought the Socialist Left Party agreed, but I understand that neither is the quality that is in focus here, nor is it knowledge. Then I register that the State Council of Aasland says they want to look at the framework plan for general teacher training. Then I find it difficult to understand why the government parties are not able to support this proposal in the Stortinget today, so that an overall increase can come together to adapt the framework plan for the promise of knowledge. It should not be difficult to follow up good intentions of action.
ParlaMint-NO_2008-05-09.ana.ud1168e826	We have good schools in Norway, with engaged students who learn a lot. We have good, workrooms, engaged and skilled teachers in Norway. We also know that we have some challenges, both in terms of reading and writing. We know that many students don't learn to read and write well enough. We know that we have a school that doesn't largely equalize the social differences, as we want it to do. We know that our kids don't get the help they need when they ask for it. And what parents, teachers and students ask for is early effort. This is what this government is working on - concrete measures directly into school, but also in teacher training. What's our most important task is to give teachers the tools they need to become even better teachers. It's not long since we got a new teacher training in Norway. This happened under the previous government. In that government, too, left. The feedback we have received from organisations, professionals, trade unions and teachers is: We want a new teacher training, but take your time! Create a new teacher training that lasts over time, which is good and of good quality! We can't continue to get a new teacher training every five years. This does not give stability, this does not give predictability, and this does not result in recruiting more teachers as we have to. I also want to show a little bit to the Left Party, which was in government in the last period. There was a new teacher training. The left did not then promote proposals for five-year teacher training. They prioritised tax credits in front of spending money on teacher training. Now we're going to spend time going through this, and we're not rejecting a five-year teacher education, but we're going to come back to this in the big news of teacher training that's coming very soon. We often have debates about teacher training. It is important and right to have in this room, because teachers are the most important resource, and the teaching profession is the most important profession we have in Norway. I would like to quote Ine Marie Eriksen Soreide from the debate on 14 February: ‘we introduced a new teacher training which the institutions have not followed up on the basis of non-management by the institutions. [[...]] It is not because the training itself was not good enough, but because it is not followed up by the institutions.’ We're in the process of following up the institutions, but we don't agree with the Right that we don't need a new teacher training, so we're working on a big message about this right now.
ParlaMint-NO_2008-05-09.ana.ud1168e842	The representative Anundsen said in his first post that teacher training needs more than a paint strip. Yeah, that's exactly what we also mean. The progress party and the left only operate with this paint stroke, without having insulation and planks to paint on. It takes time to renovate an entire house. I also register that the Progress Party and the Left do not respond to the questions I asked in my first post. Would you like specialisation on a level or on a subject, or a combination of that? Is the time of the general teacher over? We cannot decide on a proposal for a representative that is as diffuse as this. A big message will go into the depth of the problem, and the knowledge the teacher needs to learn from, and the knowledge the teacher needs to have, of course, should be in focus. As far as the framework plan is concerned, I have been signalled that it should be considered to make the framework plan shorter and more concrete than it is today. During the processing of the Storing Communication, we may need to make changes to the Framework Plan in areas other than just putting in the Knowledge Plan. Maybe we'll make it shorter. At that time, it is not appropriate to make changes to the framework plan now and in half a year. We can't, for those who are going to get involved and work on it, make such changes every six months. I believe that the Left really underestimates the teaching institutions when the representative Dørum stands here and believes that the institutions are not at all implementing the Knowledge promise in their education of new students. The representative Dørum also claims that the number of applicants for teacher training is the same as the number of places. That's wrong. This year, there are 2,470 planned places of study in general teacher training and there are over 8 000 applicants. A black paint of education benefits neither the teachers who are in school now nor those who want to become teachers in the future.
ParlaMint-NO_2008-05-09.ana.ud1168e853	When the Ministry, in cooperation with the Red-Green Majority at Stortinget, has gone into the follow-up to the evaluation of NOKUT, we have had one ambition. It is to ensure that general teacher training is good enough. It must then be an unlikelyly more important ambition than to say that the number of years of education in itself is an ambition. The number of years may be a tool to achieve an ambition. There's at least one discussion we're given the opportunity to come back to. Obviously, we're fundamentally disunity when it comes to how to make a change happen. The NOKUT report gave us some messages, which we have taken seriously when it applies to what is not good enough. It is said that a lot is good, and that there are differences between institutions, but there are some points in the action of the institutions that are serious, among other things. the integration of theory and practice. It's an enormous paradox when an educated teacher, who's just the ones to make sure that we get elephants who can read, write and count, and become a useful human being, who are able to stick to both theory and practice. It's the highest ambition of all. We might disagree with the procedure for making a change happen, but don't say that we haven't followed it up. If there's something we've done, it's just that. I think the discussion when it comes to knowledge is quite satisfactory. The teacher has an unbelievably important role as a general practitioner in Norwegian society. The teacher also has an incredibly important role to play in managing special skills, which I now hear is that the mayors kind of sneak in as the only possible understanding of what knowledge is. It's not just that knowledge. Schools shall ensure that students become useful people. It's been a high-ranking ideal for the Norwegian school. I haven't met a teacher who doesn't get involved with that particular goal. Then it's to make sure that all the elephants learn what they're going to at school -- that they can read that they can write, that they can count -- incredibly important. Then the committee leader would like to continue talking about a crisis in Norwegian school, but I don't want to go along with that. There is no SV on it because there is so much good going on in Norwegian school. There's no reason to say there's a crisis there. It's unfurnished, it's black measurement, and it goes into the line that the opposition is also well approaching the discussion of general teacher training. It's a little constructive. One sends an incredibly de motivating message to all those who have worked in these educational institutions, in these important parts of society, when one chooses to rely on such a type of rhetoric.
ParlaMint-NO_2008-05-09.ana.ud1168e862	I have to say I am quite provoked to hear the red-green talk about the people of benefit and the school's responsibility for the total spectrum. It obviously has. But when one out of five doesn't learn to read and write, I don't understand how to write off just one out of five relative to just the discussion about people of benefit. How you've managed to go with a whole government into that we're now going to start discussing this again, I think it's pretty special. The reason why I took the floor was that Elvik also, in his first post, sailed a little under flag and claimed that the opposition was only concerned with national measures, and that this was really about institutional action and action. And that's what she says when it's not more than a month since I had an interpellation about just the same thing. Then I had actually expected that the Council of State might have provided some figures as to how it has actually begun to improve this out in the institutions, because an all-important part of the measures that NOCUT presented is actually action that the boards have to be made responsible for doing out in the institutions. You have to use the non-zero numbers. You have to use the numbers to analyze how to improve your education. These are good ownership policies of the institutions involved. It has nothing to do with blaming them. I had actually expected some figures and indications that the institutions took this responsibility. I hope the Council of State might come back to that a little bit. Experimental mechanisms and the type of grip are well and good, but they are long-term measures. The fact that governments actually take the responsibility they have for following up their own education is the most effective and the best short-term measure we can take to improve their entire education. So a little bit back to this with knowledge. I believe that the status of the teacher, of which we are all concerned individually, is improved by creating good results in school. I don't think you're talking to the good status of the teacher. The fact that we now focus on both the teacher's education and the status of the teacher, the school actually has to endure in the form that we have to create better results here. That's what's going to create status for the teacher in the future. Finally a little to Ljunggren. I think it's a fact that not everyone knows the promise of knowledge and the intentions behind it. I had a conversation with a professor of pedagogics a few days ago, which claimed that many pedagogues started teaching general education by teaching how to be critical of the promise of knowledge, that is, before you have learned anything about how to teach at all. Then we have a challenge.
ParlaMint-NO_2008-05-09.ana.ud1168e873	Some brief comments: According to the representative Ljunggren, we only paint a sign that says "five years". No, not at all. We have an investigation from NOKUT. We have statements from the Federation of Education. We know how European teacher organisations now define the status of teachers counting at the time. But what we're saying is that we have to have it as ambition and then work through all the practical arrangements. I think we're going to need a high school teacher on many levels, but not a teacher who teaches subjects that you don't know anything about. You have to have the ballast from all the subjects, you have to have the pedagogics, you have to have the weight with you, and then we want to use the specialists at least from the youth up -- that's how I think about it. It is fully possible to make a division of labour on this within our education system. We have to set some professional standards. When the Left has a proposal on which the entire opposition is united, it is because Astrid Søgnen, on behalf of the country's largest school owners, calls on the Committee to review as soon as possible whether the training organisations are dealing with the Knowledge promise. She could tell us at the mentioned meeting that in Oslo, newly-trained teachers are given a 50-hour course in basic teaching skills to make them feel good at the transition to practical everyday life. It is a sensible measure in any case. But she speaks with great gravity and great seriousness, and she speaks on behalf of a school system that has produced good results, which most people have taken with them. We must listen to that when it is said with such strength, from such a background and from such a large school system. So some brief comments on what you did in the previous government. In the previous government, the Left was involved in getting to the Knowledge Lift. It is quite right that we gave tax relief to business, a tax relief that led to a significant increase in tax revenue at the entrance of the first year of the red-green government, and that had nothing to do with anything they did, but that they have subsequently been able to eat up in a race between interest, inflation and wage increases. So yes, it makes sense to give business incentives so that it creates values that society can take advantage of. We are proud that we got to the Knowledge Lift. Then I'm told by the representative Elvik that we get the Right and the Advance Party on the purchase. The left has nothing to do with the fact that the Right and Advance Party in the largest city in the country, Oslo, are involved in implementing a systematic further training reform for teachers, a teacher's vow, which the teachers will receive one semester of every eight years. We think that's an incredibly good thing. We did it together with the Christian People's Party, which is also in opposition with the Left. We can put it into concrete terms: it would have been unusually good in two counties in the country where the Left sits in a ruling position with the red-green, in Buskerud and Nord-Trøndelag, if one shows that one is able to deliver as practical results as it is possible to deliver in cooperation between the Left and Christian People's Party on the one hand and the Right and the Advance Party on the other, by taking teachers seriously and providing them with systematic further training. Such a «purchase» must be appreciated by any batch. We are not ashamed that we can stand together with other parties about good things. We're just amazed that the red-greens are gone in very many of these practical contexts.
ParlaMint-NO_2008-05-09.ana.ud1168e887	According to case rapporteur Ljunggren, the Left and Advance Party has put on the paint suit today and started painting fences. It is worrying - not because we use the suits to paint, but because the case-rapporteur must have obviously misunderstood what the proposal is actually about. We have explained this several times in the committee, we have explained it in the vote, and we have explained it from the Chair today. Nevertheless, the rapporteur insists that the proposal should involve some form of night-round work to carry out an inconsequential five-year training. None of the proposers have ever said that, only the case rapporteur and representatives of the government parties. Then it is important that the case rapporteur also learns the difference in black paint and the desire for improvement. If there is black paint every time you point to conditions in general teacher training or other areas in the education sector that have an improvement potential, yes, then I understand that this government is not allowed to do anything at all.
ParlaMint-NO_2008-05-09.ana.ud1168e894	The representative of Kongshaug said he was disappointed with the Christian People's Party, who had said no to the proposal. Then I just want to make it clear that the Christian People's Party has not said no. The Christian People's Party has said that we will take this seriously and evaluate it next time. In particular, we find the word ‘fastest’ in the proposal problematic – that one should decide for five years first, and then one will take the rest of the discussion afterwards. I think the question of whether we are going to have a four-year or a five-year teacher education is an important question, that is a good question, and it should definitely be assessed. But one has to evaluate the whole and not jump to conclusions - so conclude on the length before one has considered what one wants to use this length for. So there's no reason for the Left to be disappointed in the Christian People's Party. We intend to take their proposals seriously. We haven't said no, we're actually considering saying yes, but we haven't decided. Then to the representative Anundsen, about suitability. There we agree with the Progress Party and certainly with other parties in this Chamber. There are teachers in school who should never have been teachers, who we never want as teachers for our children because they can't do what we called learning before -- what we're saying today is to impart knowledge in such a way that there's learning in the child. Whatever we call it, there's someone who's not fit to be in school. When I picked it up, my intention was to point out that teacher training had to reveal these teachers. It's a failure statement if we're going to solve this by making it easier to kick people. Are we really going to let people go through a four-year or five-year-old education and not get guidance, not get signals, and let them get through a loophole, an exam, and get a paper that they can be teachers, if they're not suitable? There is a great potential for improvement. We must be able to do this through teacher training. I hope and believe that the Government will take those aspects into account when looking at the practical part of general teacher training. There must be a silencing of those who must never become teachers.
ParlaMint-NO_2008-05-09.ana.ud1168e905	I didn't really intend to take the word, but when I sit here and hear that there's almost a parallel world in here to what's happening out there, I have to take the word. I was at KS’s school a few weeks ago. I can't exactly say that there were a lot of big business representatives there. I guess it was signed and another one from the same party. State Council Solhjell was inside and picked up a flowering brush, but otherwise it was not quite the big one. But who was there? It was the school owners. It was the municipalities. Who knows best where the shoe prints in relation to what we now have as the theme? There were a few areas in which it was strongly focused, which I do not fully know about the representatives in the Chamber, and especially those from the government parties, are aware of. There was a lack in the schoolwork, and the focus was on it, among other things. Of course, what we are debating, a strengthened teacher training, a five-year teacher training, that was strong management, and that was clear goals and clear governance. These factors were the most important from the point of view of the school owners. It was also debated something as great as you're using - now a person can call it what you want, including you're using - at school, not to stigmatise some groups and say that they don't keep goals, but because it's actually in the interest of the individual teacher to have a working day and a job that is proportionate to what the individual can handle. Five-year teacher training - why not? There are some extra needs we're now seeing coming. Take class management. It has not before been focused on class management as a subject of its own. More practice has been told is important, and we are here in this Chamber, I think, cross-politically agree. Dwelling in trades, working interdisciplinaryly with other groups in the school community - there are many areas where a five-year teacher education could focus on getting a strengthening. It's actually possible to do that. It is not necessary to push all things so far out in time. It's the will it lacks. At least that's my perception of what we've been debating right now.
ParlaMint-NO_2008-05-09.ana.ud1168e918	The representative, Gunnar Gundersen, said that SV has got the government to say that knowledge is not important. Of course, knowledge is important. That's what the Center Party believes, that's what SV means, and that's what the Workers' Party means. We don't accept one in five going out of high school without being able to read and write properly. That is precisely why we have put early action on the agenda. So to the Progress Party Anders Anundsen, who said we haven't done anything at all. We have put early efforts on the agenda, we want more teaching help into school and have started projects with it. We want bigger school-home collaboration and have a full focus on it. We're expanding the number of hours at the nursery, which the opposition doesn't have. Those hours will go to more reading, writing, Norwegian, English and math. When the representative says that this is not supposed to happen overnight, it is just to quote what is actually in the proposal: ‘The Government is asked to submit proposals for the implementation of a five-year general teacher training as soon as possible, and at the latest in the context of the revised national budget for 2008.’ Revised national budget -- the last time I checked the calendar, Thursday comes next week. In one week it is impossible to obtain the content of a five-year teacher training. We need more time, that's why we come up with a big message. It's time to refer to the magazine Education from this pulpit. In the Chairman of the Section for Economic and Monetary Union and Economic and Monetary Union, 9 Knut Hovland ‘The left can easily reach down a bit.’ Furthermore, he writes: ‘Over the four years, from 2001 to 2005, Norwegian schools and Norwegian teachers experienced some of the most serious setbacks they have experienced in several decades.’ The previous government got a pass to cancel the class division in the school. It should in principle help to create greater flexibility and should not be used as a savings reform. But in practice, there have been so many places in the country. This will also lead to poorer quality of student offers and a much greater workload for teachers. If we also include the large free-release Bondevik government, especially in higher education, we have mentioned enough examples of what went wrong last time the Left put in government.
ParlaMint-NO_2008-05-09.ana.ud1168e947	There has been an interesting debate, which has given many insights into our important work. I think it's best for everyone, both the government parties and the opposition, to agree on what knowledge is - that it's about both the practical and the theoretical, that it's about both what can be measured and what cannot be measured, and that's what students should learn and what teachers should teach. I hope we agree that the kind of knowledge we need, which is the whole thing, is what we're basing on. I took the floor now to respond to Mr Gundersen's comments - whether we have any figures for how the institutions follow up. I can then report that we have dialogue with all the institutions in the context of the governance dialogue, and all the institutions have been required to have follow-up plans, and I have been told that they have. All institutions now have follow-up plans and have been instructed by the Ministry to report on their follow-up. So we closely follow what the institutions do. I also find it interesting what has come up here about the responsibility of the school owners for the individual institutions - i.e. for the individual schools. Our responsibility is for the teacher training institutions, and that's who we're talking to, and we have a responsibility for them following up here. It is a challenge related to the discussion of any five-year teacher training. We have it in our universities today. There are many ways to have a five-year teacher education, but with regard to the four-year teacher training that is currently at our colleges, first and foremost - I mentioned this in my article - there is a challenge in both the capacity and the ability of individual colleges to expand education to become more extensive. I imagine a good and exciting discussion, perhaps also in the follow-up to the Starø Committee's report, about a division of labour between the professional and the disciplined, so that in teacher training we can also get even clearer variants both of good professional training and of the discipline training that is in today's five-year master's offer, which many of our universities already have. I thank you for the debate, and have taken note of a lot of good input into our work on informing about the role of teachers and teacher training.
ParlaMint-NO_2008-05-09.ana.ud1168e962	Odd Einar Dørum has spoken twice earlier in the debate and is now given a short comment, limited to 1 minute.
ParlaMint-NO_2008-05-09.ana.ud1168e965	Some short notes. The representative, Mr Ljunggren, simply does not want to read the position, because the premise for the proposal that has been presented is in the position and has been clarified by the Progress Party and the Left. Initiating means initiating a process. When there is a short time for the revised national budget, it is because the matter has remained in the committee, and that is all the reason why: We got a change of state council. So when time goes by, we don't draw the proposal. But that's the way it is. With regard to the quote from Education, the Left is very proud of what happened during the Bondevik II government. We got together with others started the Knowledge Lift. We got started with an obliging follow-up training, which the sitting government has inherited. We got started with a tightening and an improvement in teacher training, which the sitting government has inherited, and which they carry on. What we're waiting for now is what this government is going to do on its own. That is why we are promoting proposals, and that is why we are also very surprised that a series of proposals - from recruitment plans to systematic further training - are being voted down. We are simply waiting for the government's own initiative, and not just for the repetition of inheritance from the previous government.
ParlaMint-NO_2008-05-09.ana.ud1168e974	Ine Marie Eriksen Soreide has spoken twice earlier in the debate and is now given a brief comment, limited to 1 minute.
ParlaMint-NO_2008-05-09.ana.ud1168e977	I think it's in place with a slight rise in the level of precision of the representative Ljunggren. So the opposition has not voted against proposals to extend the school day, as the government has now put it in the budget. On the contrary, Right for, because extension of school day is a follow-up to the policy we led in government. We expanded by 12 hours of week between 2001 and 2005, and we felt that it was necessary to follow up on further increases in hours now. Therefore, it is important to clarify that the opposition has not voted against. At least the right has voted in favour, and there are also other parties in the opposition. It is also important to say that the measures mentioned by the Ljunggren representative, both educational assistance, early interventions and several other measures, are, of course, actions undertaken under the previous government. The entire superstructure of the Knowledge Lift is, of course, an early effort and emphasis on basic skills. It's positive that it goes on, but you can't try to take credit for what others have started today in the debate.
ParlaMint-NO_2008-05-09.ana.ud1168e984	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 3247]]
ParlaMint-NO_2008-05-09.ana.ud1168e1000	At the request of the Church, Education and Research Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of up to 5 lines after the intervention by the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-05-09.ana.ud1168e1009	There are some areas in the policy debate that are more frequent. Research, development and innovation are such an area. The various committees here at Stortinget have research and development as a common platform, which is also reflected in some of the proposals in the proposal for a representative. The Committee is in full agreement on the essentials, such as increased focus on the status and formulation of the growth target, the desire to achieve as much as possible, economically and socially, for the use of resources and other key research targets. Furthermore, the Committee is also very clear on the need for increased focus on higher education and research, not only in order to achieve the cross-political objective of the knowledge society, but also in order to find solutions to key societal problems. The Committee has been concerned that there needs to be a space for action that allows for a greater strategic focus in research policy. The Committee also considers that up-to-date scientific equipment and infrastructure are essential for the quality of Norwegian research. That being said, it must also be said that there are many unresolved tasks that the Government, in the eyes of the opposition, has not focused on and has not delivered on. We see that official research policy priorities have little been followed up with increased resource availability. It is noteworthy that there is no growth in the appropriations for renewable energy research and for climate research. An overall opposition also believes that the last two years’ use of the research fund’s return has been characterised by the government’s making an increasingly detailed designation for use as operating capital within the 7th Framework Programme. The special role of the Fund in research funding in general and of the Research Council in particular is thus in the process of disappearing altogether. The Progress Party, together with the Left and the Christian People's Party, wants multiannual budgeting in some areas. Research and development is such an area. Research has no buttons at all. It is essential to bring forward the long-term nature of research, so that both private and public efforts are made to dry out. Furthermore, in the Progress Party, we are committed to increasing the focus on quality in research, as well as stimulating increased focus on needs-driven research, including networking and innovation. In research, interaction between universities, other research institutions and Norwegian business needs to be opened up to an even greater extent in order to improve the efficiency of the exploitation of research, development and innovation. Closer cooperation with the Nordic countries on the research side could provide synergies in a globalised world. There needs to be a strong emphasis on supporting small and medium-sized enterprises, where clusters can be created, and where individual actors can attract exchange rates. Public research environments may appear to be too under-market oriented. Of course, an increase should not be at the expense of basic research and focus on priority areas, but it can, in fact, strengthen this area. By creating new incentives and retaining existing schemes à la SkatteFUNN, by supporting unremunerated research efforts and increasing hourly rates and financial limits, a positive signal could be given to private businesses and other research environments. Some people say that with knowledge, we can do something about money, but research actually also turns money into knowledge, which can once again be used for further growth. How are we to succeed in an increasingly globalized world? Indeed, by laying the foundations for future generations by focusing on knowledge, on research and development, and not least on technology building, both nationally and internationally.
