ParlaMint-NO_2008-04-30.ana.ud2456e24	The representative of Mr Sonja Irene Sjøli will present a proposal for a representative.
ParlaMint-NO_2008-04-30.ana.ud2456e875	Let me first stress that there has been full uprising in the Storting about our involvement in Afghanistan. Norway's contribution to international peace and stability is an important part of our security and defence policy. When it comes to solving our problems out there, we have a constant focus on avoiding excessive loads on some parts of the defense. The general inspector of the Army has focused on the challenges of wear and tear on personnel involved in operations abroad. It is important for me to stress that this is not a general problem for the entire Defense, or for the entire Army. The load is specific to some groups of commands, such as: have special competence in connection, logistics, sanitation, etc. Measures are already in place to reduce the burden on the exposed personnel groups. At the same time, some of the measures take effect only after a period of time. It will necessarily take some time to build up competence in the defense. In this context, I would nevertheless like to stress that both the Army and the joint capabilities are strengthened. In 2005, when we took over the government offices, the army's size was approx. Two hundred and fifty-five people. Today the Army consists of approx. 3 100 people. So compared to 2006, we have had an annual construction of over 40 pst. In the new long-term plan of defence, we propose to increase the Army further, up to approx. 3,700 people. The long-term plan therefore means further strengthening of the Army, with emphasis on the professional environments where the load is greatest. In addition to this, the other sectors of defence and home protection, as well as back-up personnel, will be used to distribute the burden to a greater extent. I expect the Chief of Defense and the Army to give priority to the increase that the Army is bringing to those areas where they have the greatest challenges. Then, of course, we will continuously assess the device on our strength contribution. However, there is no basis for saying that there is an immediate need for substantial reductions in Afghanistan.
ParlaMint-NO_2008-04-30.ana.ud2456e888	I thank the Council of State for a full and good answer. But as recently as a week ago, the head of defense also said that he was now skeptical of the developments we could see regarding the lack of command in international services. Afghanistan was, of course, also mentioned. As it is today, as I understand it, there is one period out and maybe three periods at home-- it can go all the way down to two periods at home. But what's desirable, as I understand it, is that it should be one to five. Commands that are worn out, which are a little frustrated, may carry out this important service in a somewhat worse way--I'm a little round when I say this. It's clear that you have an important job to do down there, and if you're tired, it might not work out. That's why this is so dangerous. Therefore, as the command organisations also say, it is desirable that the periods should be one to five.
ParlaMint-NO_2008-04-30.ana.ud2456e895	As I said at the outset, I am concerned about facilitating the situation so that it is proper to send soldiers out in demanding operations. It is my opinion that we first have to solve these wear and tear problems for the personnel groups involved, rather than reducing the total contribution. I also want to say that it is important that the representative, Mr Bredvold, says that we have a distribution between being at home and being on duty. But as I said, the burden here is on some groups of personnel. And while we're about to build this up in Defense, we also need to use personnel from the other defenses, including from Homeland Protection, as it's now done to a very large extent in Afghanistan.
ParlaMint-NO_2008-04-30.ana.ud2456e902	I thank the Council of State for their response. The Council of State said in its first reply that there was no immediate danger. I'm a little unsure whether that might be right, because at least there are some groups, as the Council of State says. And when those groups aren't manned enough when you're not 100 pst. able to perform the service you are about to perform in such an important task - I would say that it is a danger. That is why I ask again: how quickly will the Council of State contribute to the proper replacement of the soldiers and the command - especially the command - that is in Afghanistan or in other foreign services?
ParlaMint-NO_2008-04-30.ana.ud2456e909	As I said, over the last two years, there has been an increase of 40 pst. in the size of the Army, from 2,150 personnel to 3,100 personnel, to be absolutely correct. We're going to have a further build-up of the Army. I expect the head of defence and the general inspector of the Army to build up the capacities where there is a shortage and where the loads have been greatest. It's an important question that's being addressed here. I believe that there is no reason to say that there is an immediate need to reduce comprehensively in Afghanistan. I would like to stress that we now have out special forces. We have a helicopter contribution. We're withdrawing the rapid reaction force we have, just to try to divide the loads into several groups. It's not my impression that the soldiers who are in Afghanistan today are not fully capable of solving the mission. But, of course, we need to focus heavily on the stress challenges for our personnel.
ParlaMint-NO_2008-04-30.ana.ud2456e923	I allow myself to ask the following questions to the Minister of Defence: ‘The management and monitoring of the Norwegian-Russian border is a demanding and important job for Norway, also on behalf of the EU Schengen cooperation. However, the garrison in South Varanger has only partial access to military helicopter. East-Finland police districts are not equipped with helicopters at all. This implies a weakened preparedness. Will the Government ensure that helicopter preparedness is strengthened so that both the defense and the police have access to the helicopter 24 hours a day?’»
ParlaMint-NO_2008-04-30.ana.ud2456e932	The government attaches great importance to good and effective border monitoring, and I would like to stress that we are living up to our commitments in the Schengen Agreement. There is no requirement in the Schengen acquis for the border guard to have continuous helicopter standby. However, the government assumes that helicopter capacity shall be available for the Garrison in South Varanger. The garrison is the unit in the defense that is responsible for the border guard. The defense has therefore for many years stationed a Bell helicopter on the Høybuktmoen at Kirkenes. This quad has, among other things, assisting border guards and police in being present and available for mission. The mission of the helicopter to the border guard and the police is mainly the transport of personnel and supplies. However, this helicopter has never had a 24-hour standby. The defense has informed that they have previously investigated and assessed a continuous helicopter standby in East Finland. However, the defence has decided not to start planning such a contingency. The reason for the defence assessment is that a continuous helicopter standby is not considered necessary for the ability to perform the assigned border guard service. Within our overall helicopter capacity in Defense, such action would also have reduced capacity in other important areas. I would like to remind you that the situation on the Norwegian-Russian border is stable and calm, and that Norway is living up to its Schengen obligations at all points. On this basis, I believe that the helicopter capacity in East Finland, in today's situation, is completely satisfactory. Should this situation change, we will of course review the question of enhanced helicopter preparedness.
ParlaMint-NO_2008-04-30.ana.ud2456e943	I thank the Council of State for the answer. In the light of developments in the northern regions, and in the light of a wish that we from Norway should be proactive and have the best possible preparedness, there is no doubt, however, that a 24-hour round preparedness would be the best response. I understand that even though this has been assessed by the Council of State, there is a cost question behind it that makes you per. Today does not have a so-called 24-hour round alert. If you had met your highest wishes from the defense and police forces, you would probably have said yes, we want a helicopter in 24-hour standby. I also understand from what the Council of State says, that there may be some scarcity of helicopters. In the light of the needs or wishes, the defence should protect certain parts of the domestic preparedness - for example. helicopters - in the case of international operations?
ParlaMint-NO_2008-04-30.ana.ud2456e954	As for our participation with helicopters in international operations, we have chosen to deploy helicopters in Afghanistan in order to safeguard our personnel's ability to evacuate if necessary in a critical medical situation. As regards the helicopter deployed in the border area, there is no requirement in the Schengen acquis for us to have such a helicopter on standby. Given the border situation, where there are few violations, we don't think it would be a proper priority either. In any case, resources will always be limited.
ParlaMint-NO_2008-04-30.ana.ud2456e961	I thank you for your answer. It is correct, as the Council of State says, that we are in compliance with the requirements of the Schengen acquis. However, during the Schengen inspection some time ago, there were some critical comments related to the fact that control responsibilities in Norway have been shared between the Defence and the police. In order to respond to these observations, it is particularly important that thedefence and police are maximum and interest rates, whether for the use of helicopters or by other means. Then I have a question to the Council of State: look at her, is there sufficient resources both at the Defence Office and at the police in South Varanger to get the necessary recovery and clarification, so that we can meet the expectations you have in Schengen - about a border guard that is as good as possible?
ParlaMint-NO_2008-04-30.ana.ud2456e970	We're going to have as good a border control as necessary. We feel that the border control we have today, which is largely carried out by the Defence Department, is very good and proper. As regards the Schengen Agreement, however, we must deal with both the requirements of the agreement and the available resources. It's always going to be like that. But here there's no reason to increase preparedness, because there's a few cross-border violations. There's a very quiet situation on the frontier. But it is clear that this is a situation that we will always have under assessment if the situation changes. As I said, we've had a helicopter outsourced, but not on 24-hour standby. There has also been no demand for it, and there is nothing to suggest that it should be necessary.
ParlaMint-NO_2008-04-30.ana.ud2456e982	I allow myself to ask the Minister of Defense the following questions: ‘Norwegian soldiers in Afghanistan are at risk of life without fighting with the best equipment. We could read this in the Evening Post on April 23, this year. Lack of good enough equipment applies in several areas. The defense describes this as unfortunate and boring. Is the council satisfied with the state of things, or is she deeply concerned in the same way as the undersigned?'
ParlaMint-NO_2008-04-30.ana.ud2456e989	Norwegian soldiers have consistently good equipment in foreign operations. This is what we see when we compare the equipment that our soldiers have with the equipment that allied colleagues have. Norwegian departments are only sent out on duty when they are adequately trained and equipped, so that they can perform their tasks efficiently, safely and properly. However, new needs will always appear in the operational area. The defence therefore makes continuous assessments of the need for and new acquisitions of material. However, it may take some time to get new equipment in place because this first needs to be developed and tested in addition to the fact that other countries are also often interested in the same type of equipment. However, I would like to stress that Norwegian forces are always set up with the material necessary to carry out the military missions they are assigned to carry out. I would also like to make it clear that we all have a responsibility not to create undue uncertainty and anxiety for our soldiers and their relatives. Although the staff are equipped with good material, it is not possible to eliminate all risks associated with the tasks performed abroad. The Ministry of Defence has earmarked 200 million. kr in 2008 so that the Joint Operational Headquarters can quickly provide the necessary equipment. Several projects are now being implemented. There's a lot of wear on the equipment for our troops in Afghanistan. This is due to a combination of high job load and very demanding topographical and climatic conditions. The need for maintenance and support therefore becomes equally high and demanding. On this basis, there will be periods during which the equipment cannot be used because it needs to be repaired or maintained. However, the operational manager will always adapt operating patterns and mission solutions to material status to ensure the safety of personnel. This is a normal situation for our strengths both in the rest of the world and here at home.
ParlaMint-NO_2008-04-30.ana.ud2456e1002	Comparing Norway’s equipment with other countries’ equipment does not make Norway’s equipment any better – just so it’s clear. There's a lot of money allocated - 653 million. kr - which has not been used. In the list of non-acquisitions, we find short-keeping missiles and helmets for F-16. When Stortinget granted this money, it was considered essential for Norway’s ability to maintain control in the air. That's pretty important, then! Then a person would think that they were able to get this equipment. In addition, 120 million darker equipment is missing. kr, there is a lack of equipment to jam radio-guided road bombs - it is very important that you have it, because it is often in connection with road bombs that something is happening down there - there is a lack of material for the KNM “Shud” for 230 million. kr, the development of new small arms, which is important, lacks equipment for 80 million new frigates. NOK and there is no used special vehicle for 20 million. I have listed several times in this room that we have too bad a vehicle. That's how I can keep ramming up.
ParlaMint-NO_2008-04-30.ana.ud2456e1011	I know that there are a number of materials on the list of non-acquisitions. I would nevertheless stress that our soldiers in international operations are equipped with the best available equipment we have. But there is a great deal of wear on the material we have in Afghanistan, because there are very difficult conditions, both topographical and climatic, that are hard on the equipment. In the case of the capacities raised by the representative Bredvold, part of this is during the ordering process. There are long delivery times on this, not least because a number of countries are in line. There are many other countries' soldiers who want to get the same equipment.
ParlaMint-NO_2008-04-30.ana.ud2456e1018	I thank the Council once again for the answer. Is the Council satisfied that the defence seems to be boring and unfortunate, or does the Council of State, in line with me and the Advance Party, a little stronger words for it? ‘Certain’ is not exactly the right word, ‘unlucky’ may not be the right word either, when we have given money and sent soldiers to a war country, and the equipment is not suitable for that purpose.
ParlaMint-NO_2008-04-30.ana.ud2456e1025	What I think is boring and unfortunate is that there is an impression that the Norwegian defense and our soldiers do not have the equipment they deserve. Our soldiers are very well equipped. Just as fully, as I have stressed many times, there is great wear on the material, and there are long delivery times and many waiting to get the same type of material. However, there should be no doubt that we are doing all we can to ensure that our soldiers will at all times have as good equipment as possible, and be as well equipped and prepared for their missions as they can at all times be.
ParlaMint-NO_2008-04-30.ana.ud2456e1042	This question has been postponed to the next Question Time.
ParlaMint-NO_2008-04-30.ana.ud2456e1048	This question, from the representative Ketil Solvik-Olsen to the Minister for the Environment and Development, will be answered by the Minister for Knowledge on behalf of the Minister for the Environment and Development, who has left.
ParlaMint-NO_2008-04-30.ana.ud2456e1051	‘The production of biofuels in the day contributes to food shortages in the world and pushes up prices. The Danish Minister for Climate Change has now turned his attention to biofuels. He thinks we shouldn't put food in the gas tanks. The UK Prime Minister, Brown, is considering asking the EU to change its biofuel target. The government has great ambitions for the use of biofuels in Norway as early as 2008, although the climate notification acknowledges that it will be produced from food for the next 5-10 years. Will the Government review the Government’s short-term ambitions for the use of biofuels?’
ParlaMint-NO_2008-04-30.ana.ud2456e1058	Norway's collection of greenhouse gas emissions from road traffic is high and is expected to grow if we do not introduce new measures. Biofuels are one of the ways we can get rid of them, but we still have focus. fuel-efficient vehicle, public transport and pedestrians and cyclists. We share the concerns caused by the high food prices. However, it is not obvious that biofuels have their main blame. The causes and effects of increased food prices are compounded. Population growth and prosperity are increasing international demand for more meat and for more food in general. This is particularly hard for the poor in the cities. But increasing food prices also leads to increased incomes for farmers. Increased prices make agricultural output more profitable, e.g. u-land. Today’s biofuels are mainly based on food or feed. Second-generation biofuels could be used, for example: marginal land biomass, bio-waste, etc. The government will therefore initiate an R & D strategy on second-generation biofuels and support selected demonstration projects. A legislative proposal on a translation requirement for biofuels has been being heard, and the Ministry of the Environment is now awaiting a summary and a recommendation from the State Department of Pollution. We will then give this issue a thorough assessment.
ParlaMint-NO_2008-04-30.ana.ud2456e1069	I think this is very passive. The Minister for the Environment was now in Paris and recommended other countries to consider a break in their efforts. Then this government should also be able to give clear notice that one will assess the same break in his bet. I agree that one should bet on second-generation biofuels. It also called for the Progress Party in the Climate Communication, but we did not hear, because it was more urgent to have a percentage interference. In this way, research is good, but the point is, what do you do in the meantime? Now the government has said that one should try to get an interference - 5 pst. already next year. It equals the calorie content of food for 2.8 million people for one year. That's what's going to be burned up to meet the government's targets. Then the government should be able to say that this is out-of-date policy. The UN Food Programme has recommended a five-year postponement of the commitment to biofuels, precisely because of the world's food situation. Then the government should consider postponement. Will the Council of State propose it internally in the Government?
ParlaMint-NO_2008-04-30.ana.ud2456e1081	When we invest in biofuels, it is important that we contribute to a net reduction of greenhouse gas emissions without creating new major environmental or societal problems. That is exactly why we take that discussion so seriously. And then I want to make it clear that it's not obvious that biofuels are the main causes of the concerns that the food problem is now causing. Because this is a serious and important discussion, we will therefore carefully consider the investment in biofuels after the current regulation comes back, and before we make a final proposal from the Government. In addition, I would like to mention that, of course, it would be important to work with international certification schemes to ensure the quality of biofuels, as well as the investment in second-generation biofuels.
ParlaMint-NO_2008-04-30.ana.ud2456e1090	I have not claimed that biofuels are the main cause. There are also very few others who have done. But many have said that this is an important factor. When the UN Food Programme recommends that we stop investing in biofuels until a second-generation technology is in place, it is a very strong signal. It's not just a party representative who says it, but it's actually the UN food program. And the UN tends to have a very warm relationship with in all other cases, except when the UN recommends nuclear power and a reduced rate of biofuel -- obviously. Gordon Brown is asking for a reassessment of it. The Danish Minister for Climate Change is asking for a reassessment of this. Nevertheless, the government has the ambition to burn the food to 2.8 million people and it seems okay, because biofuels are not the main reason why the world's poorest cannot afford to buy food. When Minister of Environment Solheim in Paris nevertheless recommends other countries to assess their efforts, should not the government also listen to its own Minister of Environmental Protection and actually reconsider its own efforts, and not at all costs wish to implement the climate agreement?
ParlaMint-NO_2008-04-30.ana.ud2456e1097	It is true that the Government and the SV place far greater emphasis on recommendations from the UN than the Progress Party does. It's also that we put far more emphasis on climate problems than the Progress Party does. But that's exactly why I'm saying here now that in connection with the fact that the regulation has been being heard, we will make a thorough assessment of the use of biofuels. There are now concerns about it. There is an important discussion about it. Some of the solutions would be to work internationally for certification schemes. It will also be a major investment in second-generation biofuels. Then we have to make a careful assessment of the biofuel effort we face, in the light of the problems that it can create for the food situation internationally.
ParlaMint-NO_2008-04-30.ana.ud2456e1102	We're going to go to question 17.
ParlaMint-NO_2008-04-30.ana.ud2456e1109	I allow myself to ask the following questions to the Minister of Knowledge: ‘In the 2007 Revised National Budget, EUR 23 million was allocated to pilot projects with extended school days in a number of municipalities in the country. The content of this pilot project includes school meals, the introduction of physical activity, homework and the strengthening of the community. However, the municipalities have now been informed that the project will not be continued. Does the Council of State consider that one year is sufficient to gain experience from such a project and that this is an adequate basis for the evaluation of the scheme?’»
ParlaMint-NO_2008-04-30.ana.ud2456e1118	The government's goal is to extend the student's school day. In the fall, there will be an extension of five weekly hours, which will strengthen training in Norwegian, math and English. Not least, this will be important for reading training. This will also make an important contribution to strengthening other basic skills in early training. In the further work on extending the school day, we will consider strengthening other subjects, but also time for physical activity and homework. Our goal is to make schooling a whole day for the kids where they have different activities and good time for learning. It's important that the schools facilitate physical activity, we have good experience in that it stimulates learning, in addition to the extension of the hours that we need. As the representative Anundsen refers to, last year we launched an experiment with extended school days in some municipalities to gain more knowledge about how such a day could become a better everyday life for students. This year, we're spending 47 million. I am looking forward to the evaluation. The eleven participating municipalities have shown a great deal of commitment. They took the challenge of putting an attempt on a tight arm, even if the lead time was short, and I am impressed by the arrangements that have been made. The Ministry granted support based on average GSI numbers for group size and expenditure, and also provided support for a school meal for all students who attended. The experiment has included elephants from the first four steps of the base ball, to a total of about 3,700 elephants. The student groups have received five extra sculletims each, and they have tried out extra time for subjects, physical activity and homework. The aim was to gain different experiences, and the department did not allow strict guidance on how the schools should spend and organise the time. Different experiences are also gained in the way that both small and large schools and small and large municipalities have shared. The Directorate of Education has led the experiment, and they have also seen its evaluation. SINTEF will carry out the evaluation and deliver a report for the summer. From the outset, the agreement with the municipalities provided the basis for this to be an attempt over one academic year. We need experience that we can make use of in the further planning of extended hours, and I think I've given you such experience. This applies both to the practical and administrative experience and to the way such a day affects the learning environment and to the learning work of students. I am busy sharing the results of other schools and municipalities, and the ideas explored, so that municipalities can organise the corresponding tests on their own. We know that several municipalities have an hour higher than the national minimum hours. Local school owners can both expand the number of hours in the trade and facilitate time for physical activity and meal. The evaluation of the experiment will be discussed in the 2009 State budget.
ParlaMint-NO_2008-04-30.ana.ud2456e1131	As I understand it, several municipalities believe that the time has been too short and that it takes time to implement these changes. It's quite natural. Those who have some experience in school find that putting around and changing takes time, it takes time to reap experiences. That's why I don't think the Council of State answered the question very well - because when this scheme was introduced, it was introduced in a harsh and bram. This was to be an experiment that would really focus on how to improve school life for students through an extended school day, with the measures in relation to physical activity, food, etc. which was also to be located there. Now we see that the Council of State won't even answer if he thinks one year is enough. Is this a good enough basis for a proper evaluation, so that we can take advantage of the experience of this type of experiment? This kind of experiment is important if we're going to be able to improve school, and there's a great need for that. I would therefore like to challenge the Council of State again: does the Council of State believe that one year's experience with this pilot scheme is sufficient to take advantage of these experiences?
ParlaMint-NO_2008-04-30.ana.ud2456e1138	It was clear from the beginning that there was just one attempt we launched this as. It was also explicitly made clear that there was an experiment over a year. In this way, we keep the net what we promised - that we did a test of an extended school day in many different ways in different municipalities and schools. It is now about to be terminated. As I said, Sintef has now started an evaluation that will be delivered to summer. I really look forward to the results, because they're going to be exciting -- and we have a good basis for saying that we're going to gain extensive new knowledge about how an extended school day can be carried out, and what effects he has, after the year of trials we've completed.
ParlaMint-NO_2008-04-30.ana.ud2456e1145	I hear the council say this has been clear from the beginning. That's also the questioner aware of. In the course of such a project, experience will be gained in relation to the progress made in the implementation of the project. The only thing the council says is that we've kept what we promised - that the project should not go beyond a year. We now hear that there are several municipalities that believe that more time is needed to reap the experience that was meant to be reaping from the project. That must be the starting point - that you want to take advantage of the knowledge you get through a project. In the course of time, you'll get signals that you might need a little more time to know what kind of effects homework, more food in school, and extended school years actually have on students' everyday lives. In my opinion, it does not seem to a government council to say that we have kept what we promised, we should not spend more than one year on this. However, the Council of State does not respond to what I have asked for: Is that enough? Yes, we all look forward to the evaluation - but couldn't that evaluation give us a better picture if we had taken a little more time to reap the experience that is necessary?
ParlaMint-NO_2008-04-30.ana.ud2456e1154	We'll get a good basis for making new assessments of an extended school day, because the situation is that we've had too little knowledge of it before, and that now we actually have the first extensive experiment in very many different schools and municipalities, with different organization. It will provide us with a good and adequate basis to consider further extension of school day from national level. That is the basis for the experiment. It has been completed as has been said, and we feel confident that we will gain important new knowledge by having completed the experiment as we have done.
ParlaMint-NO_2008-04-30.ana.ud2456e1161	We're now going back to question 10.
ParlaMint-NO_2008-04-30.ana.ud2456e1167	I allow myself to ask this question to the Minister for Economic Affairs and Trade: ‘The Oslo-based business incubator IKADA, incubator for artists, architects, designers and academics, will be dropped from August 2008 due to a lack of funding. In the IKADA Board of Directors, Innovation Norway is also represented. How will the Council of State contribute to the further operation of this incubator?’»
ParlaMint-NO_2008-04-30.ana.ud2456e1176	The Ministry of Economic Affairs and Trade's innovation and innovation grant items are managed in their entirety by the instrument and mainly by Innovation Norway. Innovation Norway has supported the incubator IKADA for a start-up period of three years. The aid has contributed to the creation of new enterprises and to the achievement of new target groups of entrepreneurs. A total of 129 entrepreneurs have benefited from the offer. Of these, 61 have pst. host women. Both the decision to enter into the project and to withdraw is an assessment of Innovation Norway alone. The organisation of Innovation Norway as a special law company implies that innovation is Norway itself that makes decisions in individual cases on a free and independent basis. There is an important target group that has received support through IKADA. This shows that Innovation Norway is actively promoting innovation and innovation in the service industries. I believe that Innovation Norway will continue to provide financial support for an incubator for these target groups, if there are actors in the Oslo region who are willing to take greater responsibility for the project than has been the case for IKADA.
ParlaMint-NO_2008-04-30.ana.ud2456e1185	I am aware that Innovation Norway has contributed in the way the Council of State describes, and thank you for the answer to that. This is how the Council of State responds, he says that it is Innovation Norway that assesses the measures on its own. Can the Council of State simply confirm that there is no principle to prevent innovation in Norway from entering into the type of projects represented by IKADA in the Oslo region, i.e. that the instrument makes it fully possible in relation to this? Can the Council confirm that this is how I understand the answer?
ParlaMint-NO_2008-04-30.ana.ud2456e1192	Yes, there is nothing in principle in the way that that kind of project is supported by Innovation Norway. On the contrary, the Government has presented its own action plan for culture and nutrition, which was an essential part of the activity we saw at IKADA. It is a practical question that Innovation Norway, through its grant schemes, mainly supports projects for three years. The background for supporting incubator projects is the establishment of an economically viable basis, based, inter alia, on: the help provided by Innovation Norway during the start-up phase. It is a practical question that it was not possible to establish the economic basis, but, of course, Innovation Norway can support that type of project in the future.
ParlaMint-NO_2008-04-30.ana.ud2456e1197	I thank you for an important, precise and clarifying answer. Then I come to the next issue, which was also addressed by the Council of State to me, which is what we can do in the cultural and service industries. There are opportunities across the country, but it's probably made it this city -- because of social developments -- is a special potential for creating jobs. Does the Council of State consider it a challenge to consider whether to supplement it with instruments, to assess whether, within what we can describe as cultural jobs, additional instruments are needed? Because there is no doubt that creating jobs, whether it should now be e.g. around a Hamsun activity on Hamarøy or especially in Oslo, where we are now, will be important to the country. Then the question is asked by me: does the Council of State see the need to look for additional instruments to be able to make efforts in this area, since the Council of State has described that the IKADA initiative has actually produced results?
ParlaMint-NO_2008-04-30.ana.ud2456e1206	The number of instruments available in the public sector is increasing. When the representative asks about culture in particular, it is that those who are to receive operating support permanently for cultural activity receive their support from the Ministry of Culture and, in some cases, from the budgets of local and regional cultural authorities. Innovation Norway’s task is to help launch commercial self-sustaining projects over time. There we have presented an action plan for culture and nutrition, where some of the instruments are in Innovation Norway, as I said in my previous answer. But I would also point out that within the travel strategy presented by the Government, it is in very many cases so that culture and nutrition can also make a significant contribution to travel life development. So this is an area where the government focuses, both on the kind of transfer value to travel life development, and also on more genuine cultural expressions. To the extent that it is a nutritional potential, Innovation Norway has support schemes. To the extent that it is purely operating aid and cultural aid, it goes beyond the Ministry of Culture's budget.
ParlaMint-NO_2008-04-30.ana.ud2456e1214	I allow myself to ask the Minister for Transport the following questions: ‘Calling for help when you need it, be it to the police, the fire department or the ambulance, is for most people a straightforward matter, and as we take for granted. For those who are deaf, however, this will be a problem. In the home situation, this is usually organised, while with mobile phone it is not possible to get direct contact with emergency calls. How will the Council of States facilitate the possibility for those who are deaf to call emergency calls from mobile phones?’
ParlaMint-NO_2008-04-30.ana.ud2456e1223	As the question arises, solutions are in place to enable deaf people and hearing impairments to contact naudstrals via a text phone call in the home of the text-phone service in the sea. There is also a solution to get in touch with the text-phone service via SMS. What is the background to the question is whether solutions can be established for direct communication for deaf and hearing impaired people from mobile phones and directly to the naudstrals. This may include SMS-based solutions or solutions based on video calls and sign language interpretation. The Federation of deaf people has taken action with the Ministry of Transport, primarily with a view to establishing a system based on SMS, and has presented proposals for such a system to the Ministry of Transport, the Ministry of Justice and the Ministry of Postal and Telecommunications. The system will allow deaf people and hearing impairments to come into direct contact with the relevant emergency centre, and the geographical positioning of the mobile phone is followed by a call to make it easier to identify the location of the mobile user. Such a system will require new technical solutions both for mobile operators and not least for the receiver equipment in the emergency centres. There is therefore an assessment of how and when such a scheme can be introduced. In view of the fact that the corresponding schemes are already in place in some other countries, I believe that it should be possible to apply them in Norway as well.
ParlaMint-NO_2008-04-30.ana.ud2456e1234	I thank the Council of State for the answer and I think it is very positive that the matter is further worked on in cooperation with the Federation of Deaf and with good advice from there. What we take as a matter of course, flying around with the mobile phone all the time and texting, for deaf people, is a difficult thing. You don't think about it. We see that Nordic countries have solutions with text messages, and I wonder why we are looking for them. We have to have a society where everyone can participate, and with today's technology, the Minister of Transport also says it's a simple thing to do, but it might cost a little bit of money. If the Council of State thinks, until what she's now sketching, it'll start, that there can be a system where emergency messages can be given in a simpler way, something that you can do in other countries, for example. in Finland and Sweden, including a separate code where the deaf may be able to connect to an emergency centre, e.g. Has it been assessed by the Minister for Transport at all?
ParlaMint-NO_2008-04-30.ana.ud2456e1241	The Ministry of Justice, in conjunction with others, is responsible for coordinating the three emergency situations. The Ministry of Justice is setting up a common emergency network, including in cooperation with several others. This means that it is necessary to replace all the telephone lines in all the floors. The first construction steps will be completed this year, and according to the Ministry of Justice it will hardly be time to put in place the technical solutions in the first stages of construction. I do not know if a person in this work has assessed a type of code solution, but I am informed that a person is looking at different solutions in order to use SMS notifications in Norway as well. We look at our neighbouring countries with regard to how they have solved this, in order to learn from it in the work we do.
ParlaMint-NO_2008-04-30.ana.ud2456e1248	I thank you again for a good and complementary answer. I hope that the Minister for Transport will talk to the Minister for Justice and find a good solution to this, look at the opportunities that exist, and whether it might be possible to solve it in a slightly different way in the short term. In view of the urgency of interpreting, which was also the subject of the Council of State's response, I would like to ask if it is in the same case. Or is it an additional bit for the SMS service?
ParlaMint-NO_2008-04-30.ana.ud2456e1255	I agree with the representative that this is an important question. We might have got a faster implementation of such a solution if one wasn't right now in the middle of a reorganization that also requires technical changes to the emergency response system. But I'm absolutely sure that this will come into place. When the interpreter service is involved, it is not part of the same service. It'll be a matter of its own, as I've perceived it per. today.
ParlaMint-NO_2008-04-30.ana.ud2456e1265	The question is as follows: ‘Even extreme and unrealistic changes in fuel price and collective tariff result in relatively small reductions in CO2 emissions from passenger transport. Even double rates of bombing around the five largest cities in Norway provide little emission reduction. It is TØI that concludes in calculations for new NTPs. Nevertheless, government authorities encourage the development of local “environmental packages” with road transport tolls and link them to the award of state rewards. Is this not to fool transport users?’
ParlaMint-NO_2008-04-30.ana.ud2456e1277	The largest cities have major problems with the emergence and environment as a result of high traffic growth. The queues delay traffic and incur large additional costs for the commercial transport. Purchase pricing will spread traffic and facilitate the emergence of private, commercial and public transport. At the same time, this has a positive impact on greenhouse gas emissions and other local emissions. So here we have a climate action that brings benefits in other areas, and I think this is a good measure that cities should consider. In the context of the transport sector, there is no single measure that provides for significant reductions in greenhouse gas emissions. However, the sum of several measures can lead to a large reduction. In their submissions to the National Transport Plan, the proposals taken up by the representative Sortevik are expected to reduce by about 1 million. tonnes of CO2 and there is no small reduction. The Ministry of Transport is now reviewing the submitted and will present its assessment in the main message on the national transport plan. I note that the Progress Party in the area by region expresses resistance to implementing climate action. By means of the climate agreement, there is a broad political agreement that we should gradually convert Norway into a low-carbon society. I'm busy following up this broad agreement by supporting a lot of different measures in my sector that, in total, could produce great results.
ParlaMint-NO_2008-04-30.ana.ud2456e1289	Thanks for the answer. The question is based on the fact that local measures do not actually have a reduction effect, so the sum of many zeros cannot have a significant overall impact. Let me do a fresh example. This concerns the so-called environmental package in Trondheim, where all the parties, except the Right and the Advance Party, will impose charges to finance investment in roads and collective services. It is an environmental measure that has been slaughtered by researchers, including: by Sintef. It is a huge tax package that is camouflaged like climate settlement, environmental tax and bomb financing. The environmental effect is zero. At the same time, it is said on the one hand that the measure will have a traffic-repellent effect, but on the other hand, it is entirely dependent on driving and car use continuing to provide enough money in the box. I repeat, isn't this to keep road users from fooling?
ParlaMint-NO_2008-04-30.ana.ud2456e1305	I have great respect for what the plurality of Trondheim City has done. It is an important attempt to overcome the growing traffic congestion that one also sees in Trondheim. Not least, this results from the fact that many inhabitants have major problems with local particulate emissions that are harmful to health. If the decision from Trondheim has one or the other gain, I cannot comment on today. We have not received that decision. When we get it, of course, we have to consider the decision point by point. Some of that will also require us from our side to be willing to make some changes to today's legislation so that they can implement what is now agreed.
