ParlaMint-NO_2008-04-04.ana.ud1664e57	The representative, Olemic Thommess, will present a proposal for a representative.
ParlaMint-NO_2008-04-04.ana.ud1664e963	In the last decade, significant changes have been made in specialist health services and municipal health services, as the interpellant also mentioned. Developments in municipalities are characterised by the fact that more people receive services - both older people and people under the age of 67. Many live in hospitals or nursing homes, and more than once can live at home thanks to technological developments and highly skilled personnel. Close follow-up from nursing and care services and good cooperation between the hospital and the services in the municipalities are required when patients are to be expelled from hospital. I believe that the health and care services in the municipalities are the foundation of our health service. People will receive good, sound services where they live and live, and they will be helped to seek out specialist health services when needed. As we know, municipalities will face major challenges in the years to come. It's getting older. That's good! But it also means that more people will need treatment and help for illness and disability. Over the course of 30-40 years, there will be twice as many 80-year-olds as it is today. The strong growth is about 2020, and that means that we need to expand the services, and that we need a lot of skilled personnel. Another challenge is new and younger user groups. Today, one third of those who receive care are under 67 years of age. The main groups are people with mental disorders and people with chronic diseases who will need more services throughout their lives, often services requiring special professional skills. It is also a challenge to have sufficient labour in different disciplines and to have voluntary carers set up to a large extent. Last but not least, studies show that care services are often scarce in the cultural and social fields. If we are to succeed in getting a more active profile of the offer, we need a wider range of professionals and more professionals into the health and care service. In the care plan 2015, we have set up a tough policy course and a predictable framework that is a prerequisite for the local authorities' efforts to improve care services in the coming years. I agree with the interpellant that we need to strengthen the municipal care service, both in the home and in the nursing home. In the 2015 care plan, the main areas are strengthening the capacity, competence and quality of these services. Investment grants shall be granted to 12000 new hospital and nursing homes until 2015. Overall, this means NOK 6 billion over the state budget in the coming years, if we deal with these plans. The government's target of 10,000 new annual work in the care sector in 2009 is fixed, and preliminary signals indicate that we are ahead of the form. Preliminary figures from the Statistical Central Agency show an increase in the number of annual works in 2007. Preliminary plans for 2008 show that municipalities will continue to give priority to care, and through the Competence Plan 2015, we will qualify, train and further train more than 24 000 new people. In Demenplan 2015, we have an action programme for good dementia care related to several adapted housing services, more and better daily provision and increased knowledge and competence. This government has been committed to strengthening free income, and municipalities have largely prioritised care services. I trust that it is the municipalities that can best assess the needs of users in each municipality for different services. According to the Government’s assessment, users’ interests are best safeguarded through a framework financing system for the municipal sector. The purpose of the municipal sector's income system is, of course, to ensure equivalent services to all - irrespective of where you live in the country. As the interpellant is aware, there are different funding systems for specialist health services and municipal health and care services. It is important that we have funding systems that do not prevent good, professional solutions that provide better quality for the patient. Here, the government is going to set things right better than what's happening today, and there's something the government is working on right now. We are all concerned about getting better interaction between municipalities and hospitals. We know that it is most often in the transition between the levels of health care it fails. Therefore, cooperation between primary health services, decision-makers, specialists and hospitals is an overall objective. We see that the bet starts to give fruit. Through the agreement entered into by the Government with the Local Governments’ Central Association on interaction, we will strengthen and further develop good cooperation actions. One important objective of this agreement is that it should lead to the conclusion by all municipalities and health care establishments of local cooperation agreements. At present, better cooperation practices are being developed across the country, for example: within the development of competence. Intermediate units are being developed in which primary and specialist health services cooperate with very good results. Specialist health services provide mobile teams, where specialists leave hospitals and offer services where the user is - be it in their own home or in their homes. Decentralisation of services and good interaction solutions often mean that the patient can receive specialist health services near the home. This is what the Government wants more of. From 2004 onwards, the responsibility for financing sick transport, as is known, was transferred from public health to regional health businesses. It has many advantages, including: that once the financial responsibility for treatment and sick transport is combined in one place, it will also encourage a greater commitment to decentralised specialist health services because the cost of sick transport will be reduced. I believe that the specialist healthcare service needs to assist municipal health and social services to a much greater extent than today. To do this, we need more specialist health services in the vicinity of the municipalities. This is especially true in geriatrics, dementia, strokes, and offers to people with complex disorders and disabilities - to mention some examples. In a comprehensive and comprehensive healthcare system, we need to ensure that both levels of service contribute to the development of good, safe and equivalent treatment provision across the country. The aim is to improve the quality of the patient’s services, no matter where healthcare is provided. We see that several good interaction measures are on the steps, and we see that more people are gradually finding appropriate solutions. I mean, we're on the right track. The government will look at how we can further contribute to speeding up more good interaction actions. I think Saupstad Hospital in Trondheim is a brilliant example of how this can be done - in cooperation between St. Olav's Hospital and Trondheim Municipality. It is very clear that the way in which they have organized themselves through the intermediate department of elderly patients provides fewer reindeer and lower mortality than traditional hospital treatment. I think it's all about this being a very good example of how to carry out an organization. We need a lot more Saupstads elsewhere in the country.
ParlaMint-NO_2008-04-04.ana.ud1664e1001	I thank the Council of State for the answer. There is not so much difference between how the Council of State views the challenges of the future, and the challenges I described in my contribution. It's very similar there. But that was the funding I took up in my post. I am concerned that today's funding may prevent us from developing the offers as they will - and as they already are - need. The Council of State is constantly repeating these 12 000 places to which construction grants have been granted. First, the building grant is only 25 pst. Of what it costs to build a place - but what I talked about in the post was actually the operation of the offer. That's what will cost a lot. The grant is only a small disadvantage in relation to what the municipality has to expect in order to run an offer over time. The same applies to the 10,000 jobs left each time someone from the Government has posts relating to such themes. They are soon established according to the Government. You can't see the big improvement. The challenges I'm talking about are not in place today -- so this is looking ahead. There are certainly good examples of the good cooperation agreements made by healthcare companies with municipalities. Municipalities are in different ways able, both economically and in relation to the offer they already have, to fulfil such wishes. On 1 April, we were able to read in Halden Dagblad about a rather frustrated selection of principal trusts from the Norwegian Nursing Association that gave the Workers’ Party the hat fit. The local working party in Halden is adding 70 million. kr too little for the health sector. I don't know how the council will explain that this is happening. It is also in Halden that half of the intermediate department is closed, which was created with project funding two years ago. In many cases, initiating actions with project funding may be very good, but I believe that such actions will also be taken. It always depends on the municipality's priorities and finances in terms of as heavy and important offers as what I have mentioned in the debate here, I think it is very easy. It also turns out that the Workers' Party in the municipalities where they have control is not in fact able to give the offer that the Council of State believes they should be able to make. This isn't just about being the best local person to look at needs, as mentioned in the article. In fact, local skills are not able to respond to the offer that patients will be able to demand from their municipality. More and more is being pushed down to a lower level. This costs, and the money has actually not come along the same way. I hope the Council of State can explain why this is happening in labor party-driven municipalities.
ParlaMint-NO_2008-04-04.ana.ud1664e1014	Let me first say that it is quite obvious that everything is not perfect in the care of the elderly in Norwegian municipalities, but what Giltun said here from this pulpit -- if I heard correctly, and with all my reservations, she said something near that we have seen that there is no local ability to meet people's needs -- that's a pretty strong statement. I think we have a lot of good examples that the municipalities actually prioritize care. If we look at it on a national basis, there is no doubt that the increased sums of money that this government - unlike the government supported by Giltun - has given to the municipalities, mainly to care for in very many municipalities. When the representative Giltun stands here and says that she will not hear more about the annual work or about this “minor,” which she mentioned last year’s new investment grant that, with respect to reporting, is something that very many local politicians will not recognize. I also think that setting up a new grant that will help us get more hospitals, more nursing homes and more money, which can eventually also help us get more Saupstads elsewhere in the country, will be very good for the patients who need it. And, yes, this government is going to "mass" on annual work, because there's something that helps us to do better to give better quality to those who need it, there's people -- a lot of people with good skills. What was the situation in the previous ageing period was that very many municipalities had to cut precisely in e.g. day activities and the kind of thing because it was too tight in the municipalities. So it's very important to get a lot of people with good skills in order to do good enough quality in what's being offered. So I think one should continue that way as one, for example. have now started at Ullevål Hospital, that specialists take the x-ray device out from there, travel around the hospital and take the X-ray there, that one ensures that older people who are sick and in some context also dying are not admitted to hospital if this is not necessary. Very many elderly, sick people can get better treatment by staying in their homes, with competent staff. Therefore, it is not a goal for the most elderly or others to enter the hospital, but that they should receive the best possible treatment based on their situation in life - where they need the help, and not primarily in hospitals. Therefore, it is important that specialist health services go out and cooperate more closely with the municipalities where help is needed, when it is the right treatment for each individual person. So this government is very busy doing even more to contribute to good models of interaction, and there I know that we have many wise local politicians with us who have already gone ahead, such as. Trondheim municipality and a hospital there. My goal is to get it to other parts of the country as well.
ParlaMint-NO_2008-04-04.ana.ud1664e1025	The interpellant addresses a matter that concerns many, but which has also been discussed here with different inferences in recent times. It is difficult to disagree that it is important to focus on this with good patient treatment, especially for the sick. But it's probably more than money that has to be in place, even though it's an important part of it. We need, among other things: good local hospitals with departments with general medical competence, which in the emergency phase take care of those patients and which can then pass them on to the municipalities. In its response, the Council of State has referred to some of our solutions, which are many and good. I particularly want to bring forward a strengthened municipal economy, which enables each municipality to receive those who need it. A better community economy will provide better health care coverage, stable home care and good interaction with specialist health services and qualified staff - with better competence and interdisciplinary skills as a key instrument. Political will is also required in each municipality to take action, and responsibility is not shifted to the specialist health service and frees itself. It is, as the Council of State said, the municipalities that have the primary responsibility, which is the base wall. Many municipalities take that responsibility, and very well happens. We have all heard the stories about municipalities that speculate that hospital layday is cheaper, and they pay what they have to pay instead of building up their own offers. We're not going to have it that way. The Labour Party believes that it is in the municipalities that the type of care is to be provided, and it is the individual local authorities who are to determine the level of care in each municipality. Unlike the Progress Party, which wants this government to do, we want local politicians to do this important local job. Equivalence is an objective, but it must also reflect the political choices made by individual voters. It's as well-known the difference between what we mean by equivalence-- from the red-green and from the civil side. A review of attitudes among those who treat sick and needy is a continuous process. Ethical dilemmas regarding further treatment should be discussed more frequently. Very many patients should not be moved at all - it should be from home to hospital, from hospital to hospital or vice versa. If they, as the interpellant says, are so bad that they die on the road or shortly afterwards, they should be allowed to be where they are. It's about respect and dignity, and it should be a discussion that we take more often. Then we have to enable hospital workers and home nurses to have the bad patients and give the good treatment we want. The 2015 quality lift should ensure this. We've repeatedly discussed that in this room. We must provide staff with the opportunity to complete their professional training, refresher training and general training in order to ensure that they are offered. The government's many plans in the various areas ensure that we have this in focus, and the Council of State mentions several of these elements. Everyone forms a whole in the care we want. There are many good examples around the municipalities that you can build up and operate very many good offers, where employees have good qualifications, where you can treat much more than what is traditionally done in a nursing home. It has the side effect of attracting skilled workers there, because it is exciting and professionally challenging to work there. I have good examples from both Larvik and Sandefjord, where one has good units that achieve the same, and where the cooperation with the specialist health service is perceived as good. The interpellant also mentions rehabilitation and calls for it. There again I will refer to an offer that is in Larvik. A rehabilitation centre called the Presteløkka was built up by means of major political efforts from the local Progress Party. That's where it works. They have a good cooperation with the SSR Coast Hospital. The pulpit is strategically located right next to it. They take advantage of the coastal hospital pool, collaborate on patients, participate in professional days and internal education, and get practical tips on problem solving. The parishioner recruits from the hospital primarily, and the majority of those who come there go straight home afterwards. Presteløkka is a good example of follow-up, and shows that municipalities can make good rehabilitation services, which the interpellant calls for. Good interactions are needed, as expressed by the Council of State, and here KS is an important piece. Getting good printing practices and meeting places in place will facilitate the challenges to which the interpellant refers, because this is related to one of the frustrations experienced by the municipalities. I believe that the Council of State has pointed out in many more ways, both in terms of funding and action, in addition to those I mention, and I think we are doing this very well in the way the Red-Green Government has.
ParlaMint-NO_2008-04-04.ana.ud1664e1048	I am pleased that Mr Giltun's representative has produced this interpellation. As the Council of State probably thinks, I have asked a written question to the Council of State on the same theme. I got the standard response from the red-green government: we have given a lot of money to the municipalities, and the government party only has sensible local politicians who manage the funds. From this rhetoric, there should be no difficulty in financing heavy user groups within the care of the elderly. I could stand for a long time on this pulpit and tell the Council of State of the Missing Priorities around the Municipality of Norway, but this should be quite unnecessary, as I expect the Council of State to have received a speechless signal both from the media and from individuals about the lack of priority in the elderly. The red-greens have to assume that they have created great expectations in the municipalities through election campaigns and in later rhetoric that only the red-greens got government power, they would be means to everything. I know that now in Kommune-Noreg there is his local politician with the beard in the famous mailbox. They have invested in culture and other measures with great confidence that there will be enough money to go to school, health and everything else. My claim is - and I believe I have large groups of local politicians around the municipality of Norway who will be in complete agreement with me - that a national force must be taken if one is to be able to meet the demand for, and the need for, skills and institutional places when the wave of older people strikes. Why can't rain eartag resources for the elderly, such as the elderly? Have you been in kindergarten? It may seem that the group of elderly caregivers is not the major theme of the red-green government’s priorities. I want to repeat what I started with about the government's showcasing list, of which local politicians and most people around the municipality of Norway have not seen much results. The red-green government now needs to see how they intend to tackle the ageing wave and the challenges of increasing patient weight as a result of early hospital outsourcing. Festive speeches about thousands of new hands did not seem to be left in the municipalities. If there is an overview from the County of Sogn and the Fjords of newly recruited care workers, which is the basis for the Government's alleged resource increase of nursing staff, it is far from being real. I want to ask the Council of State to get this list and take a few samples, and the Council of State itself will find out that this list is far from the real world. Now it has to be handled. Soft words in party speeches are not an own tool, but only lead to frustration among those who are in the municipality of Norway and are to be responsible for the challenges within the care of the elderly. The reason why the Progress Party will have a different way of financing is that we will get a targeted and fair priority. We in the Progress Party will have a result in the initiative in the care of the elderly. Festival speakers from red-green politicians don't help the elderly out in Kommune-Noreg to achieve a good quality of life in the last phase of life. If the Council of State and the rest of the Red-Green Panel take responsibility for a depriorization and reduction of the elderly out in the municipalities, there is of course a political choice that they make, but there is a choice that the Progress Party will not support in any way. When we come to government, we want targeted measures to strengthen care for the elderly.
ParlaMint-NO_2008-04-04.ana.ud1664e1065	The major problem facing us in organising health and care policies in the decades to come is, on the one hand, the major demographic changes, and, on the other, the changing nature of the disease, not least in the older part of the population. the need for solutions and offers other than those established. The second major challenge we are facing is that the health sector is one of the largest and heaviest sectors in a modern society like Norwegian, and we all know that the bigger and heavier the systems become, the more difficult it becomes to reform them, that is. We get into a very easy situation that it's the users who have to adapt to the systems, and not the systems that have to adapt to the users. In today’s Norwegian debate, the specialist healthcare service is very often attracting almost all attention. There's a lot of evidence that we're actually spending too much of the total resources on specialist health care -- read: the hospitals -- and that's exactly why the flexibility in the system gets as small as it gets. We run and transport users over a low shoe - the transportation costs are almost 10 pst. of the costs of the health care system. We transport the users here and there, to the small pleasure of the users and with a rather meaningless consumption of transport costs. How can we get to systems where we move the competence where the users are instead of moving the users where the competence is? The older we get, the more important this issue becomes, of course. I have to shoot in, as a little side note, that it strikes me that the Progress Party also doesn't always coordinate its various performances particularly well. Because, at the same time as promoting this interpellation, which emphasises the importance of local solutions, an additional SEK 1.5 billion has been proposed to the specialist health service, which probably has too much of the resources already available. It should be possible to keep a little better track of the messages you send out. I believe that the importance of the interpellation lies in the reference to a number of areas where we see signs today that systems are starting to adapt to the needs of users. It's about the intermediate departments, which obviously have the future ahead of them. This concerns the desire to facilitate palliative care not only in the specialist health service but also in relation to, for example: health care services. There's a lot to pick up, and it doesn't have to be particularly costly. I also think it is important to bear in mind that, although the number of hospitals is important, we have found in the care report that the Stortinget dealt with not very long ago that half of the annual work effort in the care and care sector is outside institutions in the informal sector, i.e. in practice in a family context. There has not been a single word affected so far in this interpellation debate. But if we believe, as the government says, that it believes in the care message, that we must continue to do this, and that it is desirable that it should be so, then we must also be willing to take the consequences of it and ask: What measures are needed locally to enable close relatives to take that responsibility? There is a great deal of lack of action today, for example: for those who bear the responsibility for dementes, and especially in the long-range phase when dementia is being developed. So I think it's in these areas that we have to put the search light on if we're going to get what we're ideally looking for, that's a health care system that's for the users, and not a system where users have to adapt to the system we've built up.
ParlaMint-NO_2008-04-04.ana.ud1664e1084	We in SV believe that the funding system for specialist healthcare will not solve the challenges that municipalities face in order to provide patients with severe suffering and a high level of care an equivalent offer across the country. The challenge, as also pointed out by the Council of State, is to have enough skilled labour and enough institutional facilities with qualitatively good individualised services. But we also want a great need for voluntary care providers like family and people working in non-governmental organisations, which will be a major challenge in the future. These are also things that are highlighted in the care plan 2015. Like the Council of State, I have confidence that it is the municipalities that can best assess the needs of users for different services. According to the SV's assessment, users' interests are best safeguarded through a framework financing system for the municipal sector. However, we are also open to considering designation if the care services are not properly cared for. The Council of State stresses in its statement that it is important that the funding system is not an obstacle to achieving good solutions, and that the Government here will facilitate better conditions. I am very pleased to focus on the funding system, as we in the districts have pointed out many times in connection with, among other things. closure of local hospital activities. Personally, I think it is important to decide on the activities of the specialist health service in local hospitals before considering the funding model. This is absolutely necessary if the purpose of the income system is to ensure equivalent services to all irrespective of where they live in the country. We in SV have great faith in a system of decentralised specialist health services outside the hospitals, so that patients can get specialist health services near the home. But if this is best funded through an ISF scheme, we are very sceptical about it. I would like to take this opportunity to show that in Finnmark we have had very good experience with hospitalizations at the local health centres in the county, which we still see in SV as a very good solution, especially for patients with severe disorders and too seriously ill. We believe that this scheme should be extended in SV, because it will enhance the quality and interest of working at municipal health centres, while allowing patients to be sent home from hospital in the past and to receive treatment in the municipality of origin. This will provide a qualitatively better range for patients, for example: know that they can have family and close friends around them. Hospitals also provide health centres with new and more challenging jobs, making it more attractive for professionals to work in municipalities. This scheme shows that it improves the interaction between hospitals and municipalities and better cooperation between primary health services, permanent staff, specialists and hospitals benefits. This is also strongly emphasised in the 2015 national health plan.
ParlaMint-NO_2008-04-04.ana.ud1664e1104	Interpellant takes on a topical theme: providing patients with severe suffering and a high level of care a qualitatively good supply before the municipal health service, regardless of where in the country a cage. This challenge has been severe for many municipalities and is still on the political agenda of the meeting between municipalities and municipalities, and between municipalities and counties. The focus in recent years has been very much on one person and care centres. Therefore, more and more municipalities are lacking both in the economy, competent personnel and, in some cases, space to deal with this heavy group of patients in a knowledgeable way. Interaction is an important keyword, which we have heard here today as well. Putting the patient in the center and getting different levels of services, institutions, municipal and state levels to work together will be decisive for good supply. Primary and specialist services must cooperate with a view to greater flexibility both in practice, professional and economic terms for the more and more patients who have special severe treatment needs. Equally important is having a funding that makes it possible to provide a flexible provision of care that goes high for people to have different wishes and needs. Interpellanten’s formulation that the municipalities ‘are becoming increasingly responsible for more patients with severe disorders and a high level of care needs’ covers the whole range of serious health conditions requiring different medical treatments, aids and close cooperation with relatives. This requires competence in the municipal services, which can be a challenge, especially in smaller municipalities. It also requires a care factor that provides the necessary comfort and framework in everyday life, both for patients and for relatives. Interpellant is receiving palliative treatment. The goal of all palliative treatment is to provide patients and their dependants with the best possible quality of life. Hospice is an offer in some municipalities, also as a daily offer for those who want to stay at home. The value base of the hospice philosophy is optimal treatment, care and care, individually adapting the individual patient to the physical, mental, social, spiritual or existential needs. The Christian People's Party bases a holistic view of humanity and thinks it's important to take care of the whole human being. Good thought-out provision creates trust and security for patients, for their dependants and for health professionals. Another offer is an ambulatory palliative team with flexible arrangements in which the municipal health service and specialist services cooperate on a holistic offer. The Christian People's Party believes that more permanent bodies must be associated with both hospitals and home health care. This will be necessary to address the challenges that the interpellant points to. In its contribution, the Council of State highlighted a strong commitment to the municipal health service in different areas, and identified important measures to achieve this objective. In addition, the government is currently working on finding better financial arrangements. This is waiting for the municipalities, and I want the government to be happy with this work. Getting monotonous and equivalent treatment regardless of where we live in the country is an important common policy objective. For the Christian People's Party, it's about a worthwhile life - with the patient in the center.
ParlaMint-NO_2008-04-04.ana.ud1664e1128	The left believes that we need to get more focus on holistic patient care, and one needs to focus more on prevention and rehabilitation. Interpellant called intermediate solutions. I think there is a ‘missing link’ in the treatment, perhaps not least when it applies to seriously ill old people. Here I believe that there is a need for a constructive review of the financial responsibility between the specialist level and the primary level. I expect that KS will be a partner here that the department should work with to find solutions in the intermediate area. The LEON principle, which has been discussed by many, with treatment at the lowest possible effective level, we are a few about it in theory, but in practice it does not work as well. Here, they have a great responsibility to prioritize those who really need specialized follow-up, set up against those who can cope with a simpler follow-up. And if the fixed ones get more time, take enough time, some of which are good, there's going to be a potential there to prevent the flow of patients towards the specialist level. It's the municipalities that are responsible for the fixed medical system, they're responsible for the hospitals, and we know that based on the arrangements in the fixed medical contract, they're going to work in public medicine for a certain period of time in a week - 7.5 hours per week. week is now. In practice, however, local authorities do not exploit this, so there is a potential here in some way. How to do that, I don't know, but at least we know that there's only 5.5 hours in public medical work being exploited by this agreement, so here's a potential. We need more corpses in hospitals, too. That means we can take better care of the sickest of the sick. Then we've heard about swing door spaces, and it's that very sick elderly people are all too often sent back and forth between hospitals and hospitals, the last weeks of life in particular. It's not a worthy care -- we can't say that. We need more nurses and more bodies with competence for complex diseases in hospitals. They need to learn to make decisions and see when the elderly are in the terminal phase and most of all need peace around them. Then there are no extensive operations at the altitude. We have to be able to give the elderly a decent end to life. We can't prevent old age, but we can prevent damage. The left has been occupied by prevention and rehabilitation, and as the interpellant is in, there are many grey zones. The left-hand side does not think input-driven funding is the solution to the grey-zone problem. The left has more faith in dialogue and responsibility for the different levels of government.
ParlaMint-NO_2008-04-04.ana.ud1664e1141	I would like to start by clarifying a little misunderstanding. Sonja Mandt-Bartholsen has obviously not heard my post, but wrote his post before I was presented. I have not said that patients die on the way to and from hospitals. It was not in my post. On the other hand, the council heard quite correctly - she wondered if she heard correctly: I said, and I believe that very many municipalities do not have the ability to give patients/inhabitants the offer they need. It's the reality of the day, and you can't stand here on the Storting and make a rosy story about what it should be like and how you think it is. There are a lot of good examples, and in a lot of places things work well, but there are also a lot of places where the municipalities are struggling, and where they can't create good enough offers. What I took into account in this interview was much of what Inge Wohnung had to say, that very many of the services take place in the municipalities and very little in the hospitals, in the healthcare companies and in the specialist health services. More and more of the tasks that health businesses have previously been responsible for will take place in the municipalities in the future. It's positive. There is a broad consensus that it is positive that the citizens receive a good offer in their home municipality, but the competence must be in place. All that has to be in place, which everyone has agreed on, all the good things that have been brought forward in the debate, costs money. A palliative offer costs more, and there may be a need for a crew of two to one, and there are nearly three times as high crews as in an ordinary hospital ward. Of course, there should be such offers, both in the hospitals and at home, and also in the ambulance team. But we have to see that this will cost the municipalities something, and then you often shift from one offer to another - like in Halden, where ten intermediate places are created where you should have rehabilitation sites. One goes at the expense of the other, and you need both. All that I brought up, and everyone who has been involved in the debate has been involved, we agree that we need to. We also agree that there are many good offers, but what I had hoped might be looked at was not necessarily a new effort-driven funding, although it is in the very text of the interpellation, but another and more appropriate way of financing many of the services, services that are in the grey zone, and also many of the services that are particularly costly. We have a system for resource-intensive services in the municipalities. It doesn't catch this in the right way. I don't think that's a forward-looking way of financing such things either. I had hoped that the Council of State might come up with some of what Jan Bøhler has said, that one would look at the financing of rehabilitation. I also appreciate the fact that the Left mentioned intermediate departments and the need to look at funding there.
ParlaMint-NO_2008-04-04.ana.ud1664e1152	I think there have been several good examples of good local action in the debate - from Larvik and hospitals in Alta to many examples of outpatient activities, for example. The specialist health service that goes out and that works well, as many people have done, among other things. Mr Selsvold Nyborg. Then I have to say that I think the representative Wohnning had a very good post. Several speakers have been about the exact same thing that the representative raised. What is a little strange about the Progress Party - and the representative of Wohnning also pointed out - is that we have to have more local measures, but when the money is to be distributed, it is the specialist health service that gets the money, and so the representative Giltun, in his final statement, says that there is more money we need, also to the municipalities. I agree with the representative's remuneration that there is too little focus on primary health services in relation to specialist health services in the broad sense. I also fully agree with the representative who said that we need to be able to move the competence where the users are, and not the other way around, because there is something very unworthy about older people who are in the final phase of life being driven, which the representative was in, between hospitals and hospitals several times. Then it is very important that they get help where they are, and many are in the hospital and should get help there, so that they don't go into the hospital. There's no measure at all. I also mean, and I don't understand that there is any disagreement about it, that sick elderly people should have medical treatment based on an overall assessment of the individual's situation. Some of the debates that have been in public over the past few weeks seem to me to have the greatest impact on hospitals. No, that's not it. It's a goal to provide the best possible help where people need help, based on their situation. Then the representative takes up something very important, and that's how we're going to be able to do more for the more than 100,000 annual works that are currently being carried out by family and volunteers in the care service. How are we going to do both to preserve them and to get even more people to do the same in the future? We will need that next to the public effort that we have today, and we will have to have it in the future. Then it is very important that we find out more schemes that can contribute in the right direction. So finally, I'm a little surprised by the tone that the Progress Party has, with claims that older people shouldn't be the big theme of this government, and that we're just holding celebrations. It is now clear that after we took over, there has been a lot more money for the municipalities. It is not immaterial to get good deals in the municipalities. There have been new grants to which the Stortinget has joined in order to build more, and we have got more employees. All of this can't be negative for what we're talking about here. So I wonder a little bit about the rhetoric that the Progress Party has in this area as well.
ParlaMint-NO_2008-04-04.ana.ud1664e1165	The debate on substance is closed. So 5 is done.
ParlaMint-NO_2008-04-04.ana.ud1664e1176	The size goes to voting.
ParlaMint-NO_2008-04-04.ana.ud1664e1186	During the debate, Robert Eriksson put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘The Government asks the Government to draw up an action plan to help deaf and deaf people, including the following measures: The financial responsibility for the provision of housing and care for deaf and deaf people with different disabilities is transferred to the public interest and rights-bound. A separate brochure, or information booklet, is prepared for parents and advisers on the rights involved. The deaf and deaf blind are given the right to one additional school year in primary school, and up to two additional years in secondary school. Persons who have had a development and who have not reached the necessary level of knowledge after completing secondary education are granted the right to adult training in cases where it is clear that they have a potential for development that can be exploited and given opportunities for a more independent life. Health supervision is required to ensure that the availability of sign language staff or interpreters is incorporated into the internal control of hospitals under the State Health Supervision Act. A system is established to provide relief services in sign language settings, especially in the case of holidays. [[Summer holidays and longer]] The interpreting service is being upgraded. Concrete solutions aimed at facilitating deaf blindness to remain at work/to be put to work.» This proposal will be replaced by the Committee's vote.
ParlaMint-NO_2008-04-04.ana.ud1664e1234	In Case No: 4 and 5 there is no voting theme.
ParlaMint-NO_2008-04-04.ana.ud1664e1245	There is no record. Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
