ParlaMint-NO_2008-05-29.ana.ud558e57	The representative Lise Christoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-05-29.ana.ud558e846	The debate we have here today reminds me of a debate we had in Hedmark in the 1990s, when the golf course was to be built on cultivated land in Stage. Of course, it was a major local issue. We, as then young AUFs, thought it reprehensible that a golf course should be built on one of the best food fields in the world. We argued against this and for local food supply. We also outlined possible cases of global food crisis and the importance of local food production. Now, not exactly that golf course on Stange has a lot of responsibility in terms of the food crisis we're up against today, but my point is that at the time it wasn't something you discussed -- it wasn't something you had in mind. Had you discussed it the time we're discussing it here today, you might have avoided the crisis we're now in, and we can call it some kind of quiet tsunami in many ways. We are used to seeing images that show hunger and distress that have their cause in very simple and locatable factors - such as. war and conflict, acute drought or crop failure - in demarcated areas of least developed countries. And we're used to it hitting hard on those in the world who already live on the margins. The food crisis we are now facing is completely different. It comes from a whole series of factors-- I'm not going to mention everyone, they've been mentioned several times today. All of these factors together play a role. The consequence is increased prices, which in turn means poorer nutrition for large masses of people across large parts of the world -- while others sit and serve on it. Now we're seeing violent protests against the price rises all over the world. We see it in democracies. We see that it hits differently and that it hits more. The middle class in poor countries now cuts down on, for example, health costs. And they tickle, for example. in the case of meat, they may at least continue to eat three meals a day. And those who live in maybe the highest class of the poorest, take, for example, the children leave school and cut down on vegetables so that they can continue to eat rice and meat every day. The poorest, the ones that are defined to live on 1 dollar a day -- which would mean 1 billion people -- cut meat, vegetables and one or two meals, so that they can at least eat a bowl of rice every day. And those who live on less than this, of course, look hungry in their eyes. It is serious what has also been mentioned earlier today, that approx. 100 million people are at risk of falling back to poverty as food prices now rise, as the interpellant Højbråten also mentioned. So we are in danger of destroying a lot of the work that has been done in many countries over the last ten years to get people out of poverty. There is, of course, a need for immediate action and immediate help, but there is also a need to look at how the larger structures can change to avoid conditions like those we see now, to understand how this could happen, and to prevent it from happening again. It gives us a signal that we need to invest more in agricultural development in developing countries, in order to ensure greater self-sufficiency, global food security and economic growth. We must look at global trade policy. We must give farmers in poor countries both access to and money for seeds and fertilisers in the hope of increasing quality and production. The farmers living in the areas that are and will be most vulnerable to the impacts of climate change, such as climate change. droughts and floods need to be helped to secure future crops against just droughts, floods and other natural disasters. Then the debate on the responsibility of the biofuels for the food crisis is greatly exaggerated. Biofuels may have between 8 and 10 pst. because of the food crisis we have now. So that's not the reason for it, it's one of many factors. Second generation biofuels are also a solution to this. The food crisis is acute, but at the same time it is a warning of what will continue to come if we do not take the big picture - trade structures and economic structures. At the same time, it's a derailment to say that there's a shortage of food in the world as a whole -- it's wrong. That's the distribution that's wrong. It shows the fact that for the first time in history, the number of obese people has now exceeded the number of undernourished and starving people. Finally, I would like to join the representative, Mr Nybakk, in concluding his statement, that this is essentially about basic structures, long-term development, economic structures and a comprehensive policy for a fairer distribution in the world.
ParlaMint-NO_2008-05-29.ana.ud558e865	I will first, like everyone else here, give a big reward to the interpellant for addressing an important issue. We had a good and nuanced debate on this earlier this month, but it's nice to have an opportunity to discuss what to do with the food crisis, without being party posts for or against biofuels. I think it is good that the interpellant focuses on the fact that the rich countries' greenhouse gas emissions contribute to the drying and failing food production. We are in a situation where halving food production in Africa as a direct consequence of climate change is a current scenario. 20-30 pst. species of the world are threatened by climate change. Obviously, it does something about our ability to produce food. It requires the use of all good instruments to reduce greenhouse gas emissions. Good biofuels will contribute to a solution, while poor biofuels in the worst case can be part of the problem. Having said that, I have to say that it is very important to be aware that there is no shortage of agricultural land that is the cause of the crisis we are facing. Huge agricultural areas are fallow, among other things. as a result of dumping. Africa has the potential for a five-tidal doubling of its agricultural production. In the debate on biofuels, the Minister for the Environment and Development spoke of a green revolution. That's a very correct way to think about it, I think. I believe very strongly that we cannot refuse farmers and countries to find a way out of poverty by producing biofuels, which compete with oil in terms of price -- something quite different than producing food. We simply have to grow more, both food and biofuels of the good type, which have climate effects. So I also believe that it is very important to bear in mind that many have been concerned about the opposite issue - that food prices over a long time have been artificially low. Farmers have not been properly paid for their crops, they have not been harvested, they have not been sown, because there has been no agreement between the production costs and the price of food. We should remember that two thirds of the world's poor are farmers. The food crisis is therefore to a very large extent an urban problem - poor people in cities. Poverty control cannot be achieved by undercutting food prices. There will be a wrong way to fight poverty. But the population needs to be able to pay the cost of producing food through development, technology transfer, democratization and education - all of this that we are working on in development policy. The representative, Høglund, pointed to protectionist policies as a cause of poverty. This can be a polemic for or against free trade very quickly, and we should probably avoid that. But we need to be careful to get into a situation where developing countries are referred to producing and exporting only food, which is a sector with no particular technological development and potential for growth, while we are engaged in nanotechnology and high tech production and races from there in every way. The key to growth lies in technological development. In that case, one must actually have production in the sectors in which technological development is taking place. We need a green revolution in every way when such large agricultural areas lie fallow. It can mean more efficient and more modern agriculture in Africa. When e.g. Mozambique only uses one-fifth of its agricultural area, it says something about the potential that lies there. It is quite obvious that more of the arable soil has to be used. But that also means that we need to maintain food production in the West. It will be wrong to fight poverty if we end up in a situation where the world almost has a division of labour - where the developing world takes care of food production, while we do other things. I'm concerned that we have to be very aware that the food crisis does not lead to a strategy that means that Africa is just going to produce food -- just that. There's also a perspective to include yourself in this.
ParlaMint-NO_2008-05-29.ana.ud558e890	I think this has been a debate that shows the Storting at its best. The big thing is the ability to take the small debates, the small questions -- there's no one in doubt about -- but the big thing is also the ability to take the big questions, and the big questions that we're involved in are important. We have done that today. I thank my colleagues for their broad and solid commitment. We can see that we agree on the broad lines of this important balance between climate policy and poverty policy. There are other balances between climate policy and poverty policy where we do not fully agree - we come back to that in the revised national budget. It is about using the aid framework to remedy the damage that rich countries have caused to the climate through rain forest resources. I'll leave that in this context. What we agree on in this debate is that we need to focus both on emergency aid and on reforms, both on money and on politics. We agree that we need a sustainable biofuels policy that focuses on certification that has authority far beyond the borders of Norway, but that is driven primarily by environmental concerns and by the interests of the world's population living in poverty, and not primarily by business interests. We also agree that it is important to put pressure on the development of the next generation of biofuels products, which, as the representative Lundtegen said, are also related to how we use the land and how we build food security. The food should be on the plate, not on the tank. There is no doubt that an offensive agricultural effort is seeking an overall increase. It has been confirmed in this debate. I record that the Storting is impatient with the Government, and the impatience extends far into the ranks of the government parties. I think that's good. The size of the population expects a follow-up to the action plan in this area. I probably have some disagreement about the level of ambition in relation to the dimensions that we've been talking about today. I want to say that the seriousness of Norway's responsibility here is that we are profiters in this context; we indirectly profit from the situation that has arisen here. We should therefore be at the forefront of meeting the deep human tragedy that lies in the food crisis.
ParlaMint-NO_2008-05-29.ana.ud558e905	I agree with Dagfinn Høybråten that this debate shows the Stortinget at its best. Let me just briefly comment on some contributions. I agree with Marianne Marthinsen that we should not throw the baby out with the bath water, but that we insist that biofuels are a good idea - that is, for example. the only idea so far produced in terms of how to reduce emissions from air traffic, where there is no alternative, as can be imagined in the case of a car. That is a good idea, but we have to set the framework for how it can be further developed. To Line Henriette Holten Heimdal: We will come back to how the government-opposition dialogue is going to be about biofuels. No decision will be taken before such a dialogue. I agree with Per Olaf Lundtegen that we need a much wider perspective on the debate. We also agree that it's not so stupid to bring yourself into a new era what you can call Mom's and Grandma's parole: eat your food, boy! -even though I have a lot of problems to get my children to practice it, I'll admit it. I agree a lot -- not 100 pst., necessarily -- Morten Höglund's emphasis on customs barriers as a problem. Not least, it is a huge problem in terms of China, a state of 1.4 billion people, and Africa, with 700-800 million people and 55 to some extent very weak states and with very little trade across. I also think it's a very heavy international experience that what can be called 'centre party farmers' is the most effective form of agricultural production. By that I believe that larger and medium-sized self-owned farmers connected to a market create almost everywhere and almost always a completely different production from feudal agriculture, than large plantations, or tiny-scale agriculture that is not connected to a market. It was the tribute for today to our partner in the government. So finally, I have some problems understanding the enormous belief in Norwegian action plans versus focusing on Norwegian advantage: what is Norway able to contribute internationally in terms of policy-making and in terms of smart use of our money? If we had been asked very specifically what to do at the Roma Summit, let me mention five things: We will help the world community to develop an overall response plan to the food crisis, where the emphasis must be on far and wide, not narrowly focused on agriculture, but also on all other aspects. We're going to help focus resolutely on the relationship between the climate and the food crisis. This has to be solved as a whole. We need to encourage an African green revolution that leads to a drastic increase in productivity and growth in production in Africa. The Norwegian advantage in that context is fertilizers and Yara. This does not mean that it is the only thing that will happen, but that partnership is important. We shall encourage close cooperation between the World Food Programme, the World Bank, the African Bank and the other UN organisations operating in this area on a sensible division of labour, so that we can make a good overall response to this crisis. And finally, we're going to help the world community develop a policy on how, in particular, to reach the landless and the poor part of the urban population that is the hardest hit by increased food prices - while others can profit from it - and where cash transfers must be an important part of that answer.
ParlaMint-NO_2008-05-29.ana.ud558e933	The interpellant debate is therefore closed.
ParlaMint-NO_2008-05-29.ana.ud558e947	At the request of the Energy and Environment Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to five lines with replies from the Council of State in the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2008-05-29.ana.ud558e956	Much has been done both in Norway and in other countries to reduce the risk to health and the environment from chemicals that are hazardous to health and the environment. We know well what consequences some chemicals can have on nature, health, humans and animals, but the big picture is that we know far too little. We therefore need much more knowledge in order to make the right choices and, where appropriate, to ban them. Today we have dozens of thousands of chemicals that we do not know the health and environmental consequences of. But what we know is that many substances that are hazardous to health and the environment can lead to irreversible and long-term damage. We see, for example: an ever-increasing incidence of both minor and very serious diseases, including: multiple cancers. Allergy is a highly increasing health problem that costs both individuals and society a great deal. Researchers have demonstrated significant reductions in fertility, among others: due to the environmental toxicity of PCBs in seals, birds and polar bears. This is a strong warning that, on a global basis, pollutants are clearly one of the greatest environmental challenges we have. Of course, we cannot claim that all unfortunate disease trends come from the pollutants, because the causes are many and complex, yet many pollutants are both dangerous and harmful. We therefore need a chemical policy that is consistent and predictable, both for our own sake and for the sake of those who produce the products with which we surround ourselves and the consumer. Important principles are the precautionary principle, risk management rules, rules for the transition from health and environmental chemicals to alternatives with minor risks, the introduction of the polluter-pays principle, prevention rather than bet on cleaning, the right to know, etc. Hazardous chemicals are therefore a global challenge. The issue we have to deal with today is just a long and positive step on the way. Through the EU, we have now put in place a new European chemicals legislation, REACH, where the main elements are the registration of chemical substances, the evaluation of all substances registered in a certain quantity size, authorisation, i.e. an authorisation system for the most dangerous substances which means that they are not to be used unless authorised by the authority and further restrictions and the establishment of a new independent chemical agency added to Helsinki. We are at the heart of the matter today, when a unanimous Committee on Energy and the Environment calls for the Stortinget to agree to the Government's proposal that the Stortinget agree with the EEA Committee's decision No. 25/2008 of 14 March this year concerning the inclusion in the EEA Agreement of Regulation No 1907/2006 on the Registration, Evaluation, Authorisation of Restrictions on Chemicals and the Establishment of a European Chemicals Agency, as referred to above located in Helsinki, ECHA, as well as Directive 2006/121/EC on chemicals legislation. As an EEA country, Norway is thus fully part of the EU chemicals policy. It is also important that there is a total accumulation which today gives its support to this, and I, as the rapporteur for this matter, have only perceived positive signals that what we are doing today is right for the Norwegian population and for the Norwegian industry. Although participation in the Chemicals Agency, ECHA, involves a certain transfer of authority to the Chemicals Agency because the Agency can take certain decisions and take decisions that may have a direct effect in Norway, this is considered to be so limited that the inclusion in the EEA Agreement does not require a decision under the Basic Law § 93. This has also been the subject of a constitutional assessment with such a conclusion. The opinion of the Committee on Energy and the Environment has been submitted to the Committee on Foreign Affairs, without any comments.
ParlaMint-NO_2008-05-29.ana.ud558e975	I think the case rapporteur had a thorough and correct account of the process that has led to today's debate and today's vote. He gave us a good introduction to how serious the scope of the Chemicals Directive is in fact, and I'm not going to spend much time talking about it. I fully agree with the rapporteur in this area. For the Progress Party, it has been important that this matter was dealt with as quickly as possible. As I have seen it, there has been a broad consensus that flexibility and speed in dealing with this matter have been important. This concerns, among other things: that the pre-registration period for chemicals starts as early as the next Monday. Therefore, it is important that the Stortinget has now done the job we have done, so quickly under the direction of the representative Asmund Kristoffersen. I hope that the department can also continue the pace we have maintained in Stortinget, so that this legislation can come into force as soon as possible. I would like to point out another principle which the Progress Party gives its full support to, and which the Committee also endorses, namely that Norwegian chemicals policy will in future be based on international agreements rather than on special Norwegian laws, regulations and regulations. That means, of course, that it can be right, and in many cases it is certain that Norwegian chemicals policy should be fighting for a more stringent regulatory framework internationally, but it is in international forums that this fight should stand - not in such a way as to create strange rules that allow Norwegian industry to move its activities to countries with less stringent rules, but that we take this fight internationally. By doing so, the Progress Party shall agree to the opinion of the Committee.
ParlaMint-NO_2008-05-29.ana.ud558e986	The case spokesperson gave us the seriousness of the topic we are discussing today, namely chemical policy. When we now take decisions to include the EU chemicals rules in Norwegian legislation, there may be good reason to remind each other of how the rules, or the proposal for rules, have changed from when the white paper came from the European Commission in 2001 until today. The requirement that dangerous substances must be replaced with less hazardous substances, if they exist and can be used for the same purpose, is a question of conflict. The same applies to questions about what should be called a dangerous substance. At the beginning of the process, a division was made into four groups of substances: substances that can lead to carcinogenic substances that damage the genetic properties of endocrine disrupting substances that are not degraded in nature or that accumulate at the top of the food chain In the rules we adopt today, only the last group of substances that the EU considers dangerous enough to demand the substitution of the substance if there are better alternatives for health and the environment. The other properties, such as endocrine disruption, cancer and changes in genetic properties, are no longer so dangerous that one requires replacement. Thus, the EU chemicals company has been largely closed down by turning its attention from health and the environment over to its competitiveness and free movement across the EEA territory. Thus REACH is very different today from the 2001 White Paper. Despite the fact that the European Parliament tried to tighten up the directive, they did not. It also says a little about how little power a congregation that has many adherents in this room really has in the EU system. It also shows the values the Union prioritises when it has to choose between market liberalism on the one hand and public health and the environment on the other. However, it is good that the EU now has a comprehensive legal framework for the registration, control and approval of chemical substances, but it is foolish that many chemicals that should come under the directive will not be included in it. The centre party's EU position is well known, including our opposition to the EEA. Nevertheless, the Centre Party is and will be a party that does what we can to benefit from the space for action within the EEA Agreement. The result of the EU being trampled on by the government in the issue of a ban on so-called brominated flame retardants for electrical and electronic equipment was far more successful than one could expect. Norway’s ban came in 2006, in breach of the EEA Agreement. Denmark and the European Parliament wished to refer the matter to the Court of Justice, and the Court of Justice supports the fact that the European Commission could not exempt the so-called deka-BDE from the ban. As a result, these substances are also banned in the EU-wide EE product. In the proposal, the Government argues that national rules can be passed on and that the REACH Directive in some areas provides a basis for a tightening of the legislation by introducing more substances. The centre party believes that Norwegian government powers must be based on REACH as a minimum directive, so that we can continue to work to impose stricter requirements on substances when our professional authorities believe that the common requirements are too weak. The central party of my Government must work actively towards the EU in order to understand such a view. Norway shall play a role in ensuring that the common legislation is properly discharged. Norwegian efforts to bring brominated flame retardants under the legislation indicate that this is possible. Even if we wanted to see REACH as extensive as it was originally planned, there's a lot of work going on testing chemical. It is also important to contribute to further testing in cooperation in the EU. The central part of the game represents the setting that a group committee has presented here today.
ParlaMint-NO_2008-05-29.ana.ud558e1020	Let me start by thanking the case rapporteur for a thorough review of the matter, and the committee for good work. When there is no more debate here than it seems, it is not because the matter is not important, but because there is a broad consensus about it. On the contrary, this is a matter that deserves great attention and which has a significant impact on the protection of the population both in Norway and in the rest of Europe against harmful substances. The new ambitious legislation is a step forward for Norway. This allows us to become part of a larger European regulatory framework and thus more easily protect Norwegian consumers. It is a step forward for Europe by creating a common regulatory framework for Europe as a whole, and also has a great potential to be a step forward for the world, because there is a great deal of experience in that when the EU regulates European markets, it also has a global dimension, in that producers elsewhere in the world change their production, because entry into the European market is important, and they can then look at their overall portfolio in that context. It is good that we get this done away with now, because already on 1 June some of the practical obligations start running under REACH. That's why it's good that we're in place from the beginning. Of course, the most fundamental thing is that REACH means that the burden of proof is placed on industry to show that their products are safe. So far, the authorities have had to prove that the products were dangerous. The reversal of the burden of proof in this way gives much greater protection to European consumers. Let me just say at the end that we from the Government will contribute to Norway's national implementation of REACH. We also need to look at the possibilities for a possibly stricter Norwegian legislation, which the representative Sande had in mind, based on the individual situations that may arise. At the same time, we need to be concerned about how Norway affects the further development of Europe's legislation in this area, and we need to look at the global impact. Now I see on the list of speakers that the next speaker is the leader of the European Movement. Without predicting exactly what he is going to say, I would say that the EU's design of this type of European environmental legislation also for an EU opponent is one of the most positive aspects of the EU, which has great European and global significance.
ParlaMint-NO_2008-05-29.ana.ud558e1033	It's going to be line change.
ParlaMint-NO_2008-05-29.ana.ud558e1036	The Council of State was aware that it is important that this is in place from the start. The start is in practice on Monday. The decision of the EEA Committee to include REACH in the EEA Agreement will enter into force on the day following the receipt of the notification by the EFTA States. Iceland has given such a notice. It is then that this will enter into force on the day following that of such notification to the EEA Committee. This is important for Norwegian export interests. The question then is, Is it the case that the Council of State assumes that this legislation could enter into force in practice from 2 June?
ParlaMint-NO_2008-05-29.ana.ud558e1043	I can't say right here over the table when this is going to take effect. I just want to say that we're going to do what's in our power at all in order for this to be implemented as quickly as possible. Then we want to engage in dialogue with the professional organisations on how to deal with it in a practical way.
ParlaMint-NO_2008-05-29.ana.ud558e1048	I use the chance to take the word one more time, because I've read the committee setting as a clear signal from an overall surge that chemicals policy will in the future be based on international laws and regulations and international constraints. I very much appreciate what the Council of State says he will take advantage of the opportunity to travel to Europe to create a stricter regulatory framework for chemicals. I think he should do that where it is necessary for professional reasons. But I'm a little startled when I hear the signals that the Council of State gives, and I don't feel that the committee agrees, namely that you have to have a strange code in addition to REACH. Can the State Council comment and confirm that Norwegian chemicals policy will in the future be based on REACH and not on strange rules?
ParlaMint-NO_2008-05-29.ana.ud558e1057	There is no doubt that Norwegian chemicals policy will be based on REACH. That's what's at stake here. We will try to influence European chemicals policy, not to be as strict as possible, but as strict as is necessary to take care of Europe's consumers. We will try to use this as a platform to influence chemical use globally. There is no doubt that chemical use, for example. in some developing countries is far, far more dangerous than it is in Europe. But this must not mean that we deny any possibility of going into individual situations where the protection of Norwegian consumers – in the most extreme cases of their lives and health – is at stake, and assess them on a separate basis, without any specific matter being notified.
ParlaMint-NO_2008-05-29.ana.ud558e1065	Several have not asked for the word for a line.
ParlaMint-NO_2008-05-29.ana.ud558e1068	With reference to the introduction of the undersigned by the Council of State, it may be tempting, since he said that even an EU opponent believes that the EU can do something good, to quote the Finnish Minister for Foreign Affairs, who said that being against the EU is basically like being against the Internet. That's it. Our 27 neighbouring countries have chosen the EU as a form of cooperation. We've connected with Iceland and Liechtenstein. We're part of it. Of course, you can be against Norway becoming a full member - perhaps what the Council of State meant. It is gratifying that there is a unanimous committee recommending the inclusion of this Regulation in the EEA Agreement. There has been some debate in Norway too, but as usual it has come after the debate has ended and decisions have been taken where decisions are taken on such matters. Then it's a little late to discuss the realities. However, it is also gratifying to see that the scepticism expressed by some teams after REACH was adopted in the EU bodies has disappeared when working through the content and realities. The new legislation thus leads to a reinforced level of protection of health and the environment also in Norway. However, an even more important perspective is that such a common regulatory framework is European and means a reinforced level of protection in 30 countries in Europe. I believe that in several of these countries - perhaps in a majority - the improvements will be significant. It is one of the great advantages of this type of cooperation, which I understood at the representative Erling Sande that the Center Party has also seen the importance of. And as the Council of State also pointed out, when Europe sets a standard, it very often becomes a global standard, because it is an important market for other actors as well. This legislation shall be further developed. Member States may themselves consider prioritizing substances and proposing regulations at European level. So we will become a member of the European Union in another area. We join the Chemicals Agency, which has its seat in Helsinki. We even get one place on the board. However, when the Ministry of the Environment of the Proposition states that ‘the agreed adaptation texts ensure sufficient influence and participation by Norway under REACH’, it must be allowed to point out that the Ministry therefore considers that participation without voting rights is sufficient, because we do not get it - nor in this body. I think it's being a little bit small. That we have put ourselves in a situation where we do not get the right to vote even if we participate is now one thing, something else is that I believe that this is not sufficient in terms of influence. This is, after all, a commitment to international cooperation. We're surrendering sovereignty to a common body. The fact that we have to accept that we are not allowed to participate in the votes gives us a democratic deficit. It's not satisfying. There may be decisions in this Agency where it is important not just to be a voice, but where it would also be important to have a voice to put in the pot, for example. for more stringent legislation.
ParlaMint-NO_2008-05-29.ana.ud558e1081	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Fotation, see page 3442]]
ParlaMint-NO_2008-05-29.ana.ud558e1097	On behalf of the President-in-Office of the Council, who is travelling with the President of the Grand Duchy, I will present the matter. It is important that people have confidence that the elections in a democracy are really separate, whether it be local elections or big shots. The result shall reflect the vote of the voters. There shall be no room for cheating or manipulation from either those who vote or those who count. All experience suggests that voters have great confidence that the choices made in Norway are well balanced, although it is difficult to avoid the occurrence of errors here and there, for various reasons. The task is to develop the legislation and implementation of the choices so as to minimise the possibilities for errors. This is why we introduced, for example: requirements for identification at the last local elections, which had been considered unnecessary until then because in most of the polling rooms there are transparent conditions and good local knowledge. Those who support the proposal for a representative justify the many proposals for changes to the electoral law to help reduce electoral fraud, including: by introducing suspension provisions against elected elected representatives who are trying to cheat and fantasize. What is the real reason for other proposals, for example: limiting the right to vote in local elections to EEA citizens, we might have to think of ourselves. What is stated in the proposal is that we want to limit the right to vote to people who have ‘established a fundamental sense of democracy’. Why, then, the exclusion of nearly 10,000 American or Canadian citizens living in Norway from voting in local elections appears to be a bit funny. The same applies to Indians -- from a country that has 2,500 years of democratic history. A unanimous committee refers to the implementation of quite extensive changes in the electoral law in the treatment of Ot.prp. No 45 for 2001-2002. The starting point was extensive and thorough work in the Election Law Committee. Although we must constantly keep in mind the need to be able to adjust the electoral law on the basis of the experience gained, they are, in part, the extensive proposals of the Progress Party representatives far beyond the scope of such an adjustment. The government has also announced a big message on local democracy in spring 2008, where the electoral system will be one of the themes. In this connection, the Rocken Centre has been commissioned to evaluate, among other things. the experience of the 2007 Local Elections Scheme. It is therefore gratifying that a unanimous committee considers it natural to await a wider review of the experience of the electoral law before considering changes and recommends that the present proposal be annexed to the protocol. In view of this, the Committee does not consider it appropriate to examine the individual proposals contained in the draft representative. Nor do I find any reason to do so in this debate.
ParlaMint-NO_2008-05-29.ana.ud558e1118	The Progress Party seems to be right to attach this matter to the Minutes, since there is still a big message about local democracy. When the Progress Party wanted to address a number of issues on some important points where we see that we have challenges, it was based in particular on the experience we gained in the municipal and county elections in 2007. This applies not least to electoral fraud. We have gained some experience in the 2007 elections that suggests that we should clarify some of the rules of the electoral law, and perhaps also strengthen the penalty framework for electoral fraud - also the possibility of suspending policy-makers suspected of electoral fraud, in the period until the end of the case. The proposal on the common election day for local elections and local and county elections, respectively, is also something we will address at a later stage in the context of the local democracy enlargement announcement, as well as in other contexts. We see clearly good reasons why we're going in that direction. Politicians from other parties, including government parties, have thought in the same paths. It is true that there are some other proposals in this document which vote for immigrants. We have a situation in Norway today where immigrants to Norway automatically receive voting rights after a three-year residence period. First of all, the Progress Party believes that there is a strange difference between decision-making and municipal and county elections. But then we also believe that all the time we have major integration challenges in relation to some immigrant groups, it is unnatural that living alone should be essential for the voting rights of local and county elections. The most natural thing would have been - the Progress Party - to attach it to citizenship, as in the case of major elections. This means that there is a clear and sensible division which is, in fact, by far the most common in democratic countries. We also address issues in relation to gender quotas. What is often seen as a problem in both local and post-arrangement nomination processes is that women have to take on a very large number of jobs and therefore often hesitate to be on the electoral list. Often it has an effect that is contrary to what was the purpose of the change that was made in the municipal law in its time. The Progress Party believes that it is totally unsustainable to put in place the leadership of democracy, which is based on gender, ethnicity and sexual orientation - these types of criteria that will in reality impede the exercise of democracy. We also see this extended, not least we saw that the Equality and Discrimination Ombudsman, Beate Gangås, in the 2007 elections, made rather extreme statements, in my opinion, when she urged the voters to vote out white heterosexual men between 40 and 50 years of age without disability. She said this in the Evening Post on September 6, 2007. It shows a trend which, from the point of view of the Progress Party, is very problematic, because in the desire to achieve the fairest possible distribution of political powers on the basis of these criteria, one is willing to trample on democracy. Because that's really what I think you do, if you let the kind of relationship that sexual orientation, ethnic background or sex go before the free exercise of democracy. If that's what you want, you could ask the Central Statistical Bureau to implement the elections, and then we could withdraw and get a statistical breakdown that would be at the request of the Equality Ombudsman. But of course that's not what we see for ourselves, and of course that's not what any of us want. Therefore, we have to tread very carefully when a person gets into this kind of regulation, which I believe is obviously a barrier to free democracy. So it's not the kind of classification that's going on in ethnicity, sexual orientation or sex that's going to be crucial, but the fact that you're actually involved in politics, that you want to be involved in politics, and that you think and think you can do it for the benefit of either country, state or their respective municipalities. But, as I said, the Progress Party is pleased that the matter is annexed to the Minutes. We will pursue these issues on later occasions where appropriate, especially in the context of the announcement of local democracy.
ParlaMint-NO_2008-05-29.ana.ud558e1135	I will not repeat what the representative Amundsen said, of course I fully support it, but there are two things I thought to add. Although I am from Drammen, I should not say anything special about what happened in the election case there. One thing I would like to add, which the Minister of Local and Regional Affairs can take with him in the work, and which I was a little surprised, as she may know, was that prior to the elections in the Drama, election information was distributed to the households, to those who were to vote. In this choice information, the last two pages provided information to non-Norwegian but will still be put to the vote. What I was stunned about was that information was in English, Turkish, Russian, Somali, Vietnamese, Arabic, farsi and Urdu, but not in a number of EU languages, such as: Spanish, French, Italian, Polish, Hungarian, etc. At least that can be taken into account in the work. For me, this may seem more like a favour for the non-Western immigrants in Norway and in the Drammen. And if we do not get a majority for II in our proposal that election information in languages other than Norwegian should be primarily in EU languages, we should at least have equality. And I also ask that you look at this with an attempt to use fake ID cards when voting in the polls. I received a number of enquiries from election officials who actually came to me and asked what to do if you discovered this. There's clearly a lack of information about what the election officials should actually do if you see this. So I ask that you also take it into account in the further work.
ParlaMint-NO_2008-05-29.ana.ud558e1144	Several have not asked for the floor and the debate on substance. 4 is over. [[Fotation, see page 3442]]
ParlaMint-NO_2008-05-29.ana.ud558e1160	No one has asked for the floor. [[Fotation, see page 3442]]
ParlaMint-NO_2008-05-29.ana.ud558e1176	No one has asked for the floor. [[Fotation, see page 3443]]
ParlaMint-NO_2008-05-29.ana.ud558e1184	The size should now vote in the cases on today's map.
ParlaMint-NO_2008-05-29.ana.ud558e1204	In Case No. No voting theme is available.
ParlaMint-NO_2008-05-29.ana.ud558e1567	There is no record. Thus, today's map has been processed. Does anyone require a word under Section 37(a) of the Rules of Procedure before the sitting is cancelled? - The meeting's been cancelled.
