ParlaMint-NO_2008-06-20.ana.ud1237e36	The representative Per-Kristian Foss will present a draft constitution.
ParlaMint-NO_2008-06-20.ana.ud1237e1338	A few weeks ago, I was visiting the Nord-Trøndelag. Then I was asked to come to the side and talk to one of the negroes of North-Trandian politics - as far as Norwegian policy is concerned - Erik Bartnes, who has also been the county rapporteur. He had the following message to me: You Inge, now things are going so well with the Government that now we have to start sending postcards! Yes, it does. The government is doing so well that now is the time for us to start sending postcards. At least I'm going to contribute to it. First, I'm going to send postcards to the minimum pensioners, who get NOK 16 000 more. Then I'm going to send postcards to agriculture, which gets a fantastic agricultural settlement. I'm going to send postcards to the fishermen who get increased fishing deductions. I'm going to send postcards to the municipalities, which get a good economy and a fair income system. I'm going to send postcards to those who are engaged in higher education and who with this revised budget get a lot more to go with. I'm going to send postcards to the environmental movement and those who are concerned with environmental policy, because we've finally begun to take the climate seriously. There are a number of people who are going to get postcards -- from me at least. And I also hope more people in Norway now start sending postcards, as the former county rapporteur in the Nord-Trøndelag says we have to do. It can actually lead to increased turnover in the Post, actually so much that we can take dividends as well, so it'll be even more to use for well-being. I just want to join in what my good colleague Hill-Marta Solberg said in his post. She insisted that we get a lot in the red-green government. But it's not that we're seaworthy and say that everything is perfect in Norwegian society. There are always problems that stand ahead of us. I can't say that the red-green government delivers at all points, and that we've now reached the final goal -- the perfect one. No, in most areas, first of all, there are new challenges, and then we also have things that we haven't managed to solve in a good enough way. Take, for example: Hospitals. It is one of the difficult challenges we have in the future; no matter who sits and controls, the growth in the need for hospitals is a challenge that we must constantly have a strong focus on. We've given a lot of money. But I think that no matter how much money we give to hospitals, there will always be challenges there and examples that there are people who didn't get enough treatment, examples of people who actually feel that society didn't take good enough care of them. But that means that all the time the goal must be that we have to get ever better -- and we're striving towards it. The representative, Lars Sponheim, was concerned that perhaps there should be another debate here today. Maybe Sponheim has a point there. But I want to go back to a debate we had a few days ago on agricultural policy. It was said by the agricultural spokesperson from the Progress Party, Hans Frode Kielland Asmyhr, that the Right and Advance Party are like Siamese twins in agricultural policy, and that we almost have to use magnifying glass to find the difference between the Right and the Advance Party in agricultural policy. Then I will challenge the Christian People's Party and the Left, which are among those parties that have always had a beating heart for agriculture, and which have signaled that they can think of ruling together with the Right in the next period - if it is supposed to be a change of government: how will it be to rule with the Right, which is then Siamese twin with the Progress Party in agricultural policy? One of the most important areas of Norwegian society, namely agricultural policy, which means so much to all citizens, can therefore, in the next period, if there is a change of government, be guided by the policy that the Progress Party stands for, and that - according to Kielland Asmyhr - is the same as the Right Policy. One of the things that has actually surprised me most lately is that no one is taking a settlement with it from the two parties that I mentioned here.
ParlaMint-NO_2008-06-20.ana.ud1237e1351	It's going to be line change.
ParlaMint-NO_2008-06-20.ana.ud1237e1354	The latest polls must have been a depressing reading for the government parties, not least for SV and the representative Ryan. What does the representative Ryan think is really the result of these depressing polls? Why do people turn their backs on government parties? Didn't the voters understand anything? Are the voters stupid, a little thick in the hat, and don't you understand what the government is doing? Is it perhaps the media's fault, it's the communication from the government parties and out to the voters who have failed, or is it basically the fact that the voters have seen what red-green policy involves - root, chaos and no solutions - and that they simply don't want more of the same mess?
ParlaMint-NO_2008-06-20.ana.ud1237e1359	I think we're going to wait for the 2009 election result, and we're going to bring the verdict on the red-green government. If you read a little bit in history books and look a little bit at previous governments, you'll see that there's probably a tendency that people often become in opposition to the sitting government. If you look at the Bondevik II government at the same time, a year before the election, they had a much, much worse upturn than what today's government has. When you came to the election, it was almost so they were able to retain the government power. It was because, I think, it's in the nature of people that you have to be in opposition to what's happening. In this way, one would be critical of such questions. But when the seriousness says it over the minimum pensioners, farmers, fishermen and others who are satisfied with the government, I think you can see that the red-green government has done a lot of good, and then you vote red-green the next time.
ParlaMint-NO_2008-06-20.ana.ud1237e1366	I understand that the representative Ryan has forgotten to send postcards to the poor and those who need housing support. He should, and then he should apologize that they are not about to end poverty. And then he can also write in the map that the Right for his share has granted 65 million. kr in the revised budget for the poor, and that SV may try to do better. He'll explain that to himself. In connection with the increase in the Equation Fees, under the skin of taxing the rich more, it turns out that very many people who receive housing support, because of the rules of the housing aid scheme, have been adjusted by their Equation Fees by more than 50 pst. during the time they have lived in a normal single dwelling, their housing support is significantly reduced or lost. Does the representative Ryan think that there is a good result of the government’s tax hunt for the ‘rich ones’?
ParlaMint-NO_2008-06-20.ana.ud1237e1373	First of all, I would like to invite the representative Fleet to send the postcards by sea, instead of sending them on behalf of the Right. That would be the best thing, I think. When it comes to housing support, I think it is important and relatively accurate. But you'll always find examples of having tax rules that can turn out unfair. It is not that we have a tax system today that sometimes cannot be unreasonable to individuals. I don't know the concrete example of Fleet here, but I'm the first one to agree that we need to keep a critical look at the tax system so that we don't hit those that aren't to be hit by increased taxes.
ParlaMint-NO_2008-06-20.ana.ud1237e1381	I assume that we will ensure that we send the postcards ourselves. And then there's going to be a further increase in dividends that we can use for well-being, which Ryan's representative was up to. So to Ryan's challenge about agricultural policy, which I understand he's very concerned about. To that it's just to say that the Christian People's Party has been in two governments, and I don't think he has seen any violent system change in that way, as he imagines if the Right and Advance Party would get a majority. What the two jointly want to do, they get to answer for. My question to Ryan goes on all the postcards he sends to those he believes has had such a wonderful development under the red-green regime. Then I want to ask a little bit more philosophical question. With the amazingly good input of taxes that this government has, and the better economy than ever, what does Ryan think is the reason why the government is so weak in opinion anyway?
ParlaMint-NO_2008-06-20.ana.ud1237e1390	First of all, I would like to commend the Christian People's Party for always supporting agricultural policy. They had an excellent Minister of Agriculture, Kåre Gjønnes, and I also had the pleasure of working with people in the Committee during the previous period. I believe that agricultural policy is one of the most important policy areas we have. That is why we need a party to fight for agricultural policy. Not all parties in this room will, but the Christian People's Party has fortunately been among them. We in SV do not have a very bad connection. If we look at it historically, we've been a party that's been around 7 pst. on polls. And we're going to do the same thing. In the last big shot, we got 8.8. I think that as we approach an election campaign and get the results of what we've done, plus that we're also pointing forward to what we're going to do after 2009, it's well possible that we can see a two-digit number again. But SV is traditionally not a large party that has been above 10 pst. We've basically been under 10 pst. in all, most choices. Therefore, our uprising today is not historically low. It's a little bit too low, but we'll get up.
ParlaMint-NO_2008-06-20.ana.ud1237e1397	That was the first challenge for those who signed the agreement when it came to agricultural policy. I'm going to be so honest to say that I've also been following concerns about developments in the Right Agricultural Policy over the last two years. I have registered that they have now gone over to be opposed to the regime in the agricultural agreement. And they've made a change -- there's something that wasn't there then, for example. Good representatives like Michael Momyr, who is sitting in this room today, attended and went in front. But then we also have experience that the Right, together with the Centre, will provide the necessary concessions for a modern agricultural policy - and not a resting-stock, which today - changes to take care of a lot of agriculture, with love for agriculture. But what I would like to say is this quote from the rapporteur, Mr Bartnes. I know him as a guy with a lot of mood and double humor. And when he says that now it's going so well for the government that now it's about sending postcards, I think there's a lot of sense of humor in the statement that the representative Ryan might not have brought. But I think he's right in one thing: there must be extraordinarily many postcards going well for this government. So good luck with that.
ParlaMint-NO_2008-06-20.ana.ud1237e1404	I am pleased that Sponheim is concerned about Right-wing agricultural policy. They voted, as Sponheim said, against the agricultural agreement. I have to say that I look forward with excitement to clarifying the policy in this area. After all, Sponheim has become a spokesman for and wants further cooperation with the Right and Christian People's Party. He has even appointed who will rule as Prime Minister on behalf of the Right, with whom we are familiar. I am therefore keen to agree on Norwegian agricultural policy in the future. Is it necessary to conclude the agricultural agreements? What kind of agriculture do you want in Norway? With regard to Mr Bartnes' report and the number of postcards, I think Bartnes has a sense of humor. But Bartnes’ intention was enough that it went so well that he felt it was necessary that the Norwegian people not only through the VG and Dagbladet should get a picture of what is happening in Norwegian politics, but from capable community builders like Bartne’s sail and others, who can tell the Norwegian people that now things are going well in the country.
ParlaMint-NO_2008-06-20.ana.ud1237e1411	According to the Swedish taxpayers’ association, a primary school teacher has had an average salary increase of NOK 1059 Swedish and, at the same time, reduced the tax by NOK 1221. For example, a nurse has received $791 in an increased salary and $1284 in a reduced tax. In other words, in 2007 and 2008, the tax havens have been more important for the Swedish economy than the wage increases. Is Inge Ryan, in order to avoid large wage increases and possibly strikes in 2009, and to improve the competitiveness of Norwegian enterprises, positive to tax cuts, and will he assess it for most people in the 2009 government budget?
ParlaMint-NO_2008-06-20.ana.ud1237e1418	SV is concerned that we should have a lot of common things. We believe that the highest quality of Norwegian society is that we have a lot of common good that we all get to share in, no matter what background we have. It requires that we have a tax system where people pay a lot of taxes. Me and SV believe that most people can pay more taxes in Norway. But there are a few who earn badly, who are then going to have less tax. We've also done that. Those who have the least pay less tax. We have significantly increased the tax for those who have a lot and who have high incomes. Our future policy will be so that people will pay a lot of taxes in this country, but those who have poor finances will get tax relief. Those with a good economy must accept that the tax is still high.
ParlaMint-NO_2008-06-20.ana.ud1237e1425	The cord shift is over.
ParlaMint-NO_2008-06-20.ana.ud1237e1428	There has been a lot of talk about postcards in this debate on the revised budget. I might understand the red-green need to present the glossy picture, that is, of what everyone else really doesn't see. There are great challenges for the red-green parties in explaining to the voters why this government is said to be a success, because the voters haven't discovered it. The voters are asking for solutions to a large number of basic public responsibilities where things fall due, and are running out of time year by year. That's the situation. You're experiencing a society where more and more people are getting more and more private wealth. You always hear about the state wealth and about a government budget that goes by hundreds of billions of dollars in profit. But at the same time you experience a reality where you can't afford to pave the way because prices are rising, where you don't have the opportunity or the will to expand more highways because you supposedly don't want to, and where public buildings are in increasing decay and disintegration. That's the reality that people see. As a result, the gap in confidence in the policy is also increasing, because the goods are not delivered. This is actually a government that is continuing - a government that is more concerned with managing Norway than with delivering in those areas where they actually promised the voters to deliver at the elections. We can take note of that, and in many ways it may be good, because then neither are the major socialist test projects that many of us were very afraid of, given that SV was going to be in government. Much of what has been the main rhetoric -- not least to the Minister of Finance -- has been trying to create the impression that you would get a fantastic tax policy in this country just got a red-green government. It's trying to create the impression that redistribution is happening precisely through higher taxes on the so-called rich. The truth is a pretty different one. The truth is that the first thing Kristin Halvorsen did was give the biggest tax reliefs to those who had a lot from before. That's what the Minister of Finance did. It says a little bit about what kind of tax system we actually have -- a tax system that is far more demanding than it was in the simple rhetoric that we heard throughout the election campaign. It's actually the way that tax is going to go into other people's property, it's going to go into other people's money. Taxes are not generous gifts from politicians to the people. It is essentially a matter of how much tax could be levied to maintain a decent level of welfare in the Norwegian community. But the reality is that every time a red-green politician talks about the need to increase taxes, even more people shake their heads, because all they see is that the surplus on the state budget just gets higher. And if the goal is to further increase the profits by confiscating other people's money, I have big problems understanding it. It is not that one has succeeded in redistributing even if one has increased the taxation of the rich. It is not that more poor people in this society have become less poor because some have been taxed harder. The truth is, there have become more poor in Norwegian society under the red-green government. That's the reality. Then you probably have a lot of excuses as to why it has become like this, but the truth is that poverty is increasing. Then I'll give the government credit for many of the steps you took in social security, because they're reasonable. But one should have done something that was even more reasonable, that is also lifting the remaining minimum pensioners. Because it's not like having a partner or a spouse makes you richer. But they don't have to be lifted, because you've chosen to separate one group of minimum pensioners from the rest. I think that this government should really focus more on delivering the goods and less on rhetoric. Today everyone is going and waiting for the big refurbishment in the government. And that's what the government is going to do, obviously, they're going to refurbish. It might decorate the façade, but the political content doesn't change. Sylvia Brustad, who has been responsible for the Ministry of Health and Welfare since this government joined, has not provided a single area of health policy. The queues are getting longer, the rehabilitation is failing, the problems are getting bigger -- to mention the most important areas. Is there anyone who believes that the Government is going to bet more by changing the Council of State?
ParlaMint-NO_2008-06-20.ana.ud1237e1447	It's going to be line change.
ParlaMint-NO_2008-06-20.ana.ud1237e1450	I tried quite intensively to follow up on what was the message. It must be said that at least in my ears this was a bit in the cabin and weather, and so seen a little difficult to come up with relevant questions to. On the one hand, the Chairman of the Advance Party is disputing the ruling parties that are sitting because they are due in public. Everything almost coincides, Norway is almost about to become a ruin, when we hear the message from the representative, Siv Jensen. On the other hand, the same representative performs to expel the government parties because they are actually committed to funding the public sector through taxes - because we are committed to having a common fund to fund welfare, not least under the government's control. This is mildly out of touch. But what is perhaps the most eye-catching thing today, as it was in the debate on social security last night, is that after the Progress Party has for a long time hammered and hammered the situation of the minimum pensioners, it turns out when the social security settlement was being dealt with, it might not be the most important ones anyway. There were some other pensioners who were even more important. Is it possible to clarify these issues from the representative Jensen?
ParlaMint-NO_2008-06-20.ana.ud1237e1459	I don't think the representative Solberg heard very carefully after, because I actually allowed myself to commend the government for lifting up lonely minimum pensioners through the social security settlement. The Committee on the Rules of Procedure, the Verification of Credentials and Immunities agreed with that. But we believe that the other minimum pensioners too should have been lifted. It is consistent, because it has been thought by the Progress Party all the time, it has been proposed by the Progress Party all the time, and it has been voted down by the Progress Party all the time. Then I have not said that Norway is a mess, but I have pointed out the paradox that Norway as a state is getting richer while the public downturn is becoming increasingly visible. It's not going to get past the fact that the public maintenance needs are increasing, and that there are hundreds of billions of dollars we're talking about. The parliamentary leader of the Labour Party would like to minimize that. I think it's much more serious than that, and that means we have to take a power cap. That roof means a powerful and extensive upgrading of existing public building stock. The Progress Party is set to do so. The question is when the Labour Party comes to the same conclusion.
ParlaMint-NO_2008-06-20.ana.ud1237e1467	I think Siv Jensen should be careful when she claims that she knows the whole and only truth about the reality in Norway, because the question of how many people there are poor in this country is actually a question that Siv Jensen does not have the right knowledge of. So if we look at what we have now done in the social security system - where we have not only raised lonely minimum pensioners, but also raised the young disabled people, with $16,000 and $14,000 respectively - then it's about lifting people out of poverty. In fact, just a few days ago, the Statistical Centre said that 2.3% of the population received social assistance in 2007. This trend has been declining since 1994, but the decline has never been as strong as in 2007. In other words, there have been fewer poor people during our reign. I think Siv Jensen should be so honest that she admits.
ParlaMint-NO_2008-06-20.ana.ud1237e1478	The decline in the number of beneficiaries of social assistance is not necessarily a sign that poverty is being combated. What is the situation is that you have to measure this by how many people in our society who are unable to live on their own income, and who need benefits, assistance, from the public in order to be able to master their everyday lives. Those who have a credibility problem in the poverty debate are, of course, SV, who would abolish it with a pen stroke only they got power. So it's been three years since the election, and the number of poor people has increased. I think the credibility of SV is a little rusty--to say so. When it comes to combating poverty, the Progress Party fully agrees that parts of the social security system were good. But we will solve the remaining and quite serious parts of poor Norway, among others. by arresting all drug users and all those who do not have work as alternatives. It's so easy when the government says it's the most important thing. Well, those who don't have it as an alternative need to be able to live on other things, and then the government has to strengthen the performance.
ParlaMint-NO_2008-06-20.ana.ud1237e1485	Siv Jensen represents the greatest boldness in the Progress Party. One should be friends with all people, one should give more, the problem is social organization. We now experienced a new golden grain: tax is drawing other people's property. At the same time, it is said that there is increasing private wealth, understood public poverty, with which we, of all, are to do something. The Progress Party says you're going to revise the budget, add NOK 11 billion, have small demands on priorities, don't go through anything casual, but rather live under the slogan you take it, you take it. Everyone knows that everyday life is not like this, either in private life, in business or in public vocabulary. My question is simple: when you in the Progress Party give the impression that one should give to everyone, do you want the government's share of gross domestic product to be higher than the government's policy?
ParlaMint-NO_2008-06-20.ana.ud1237e1496	I think the representative Lundtägen was injured to talk a little bit, because one of the sectors he always criticises the Progress Party for not wanting to give more is the agricultural sector. It's not right what Lundtigen says that the Progress Party will give more to everyone. The Progress Party wants to rationalise Norway where it makes sense. The Progress Party wants to streamline, red tape - yes, reduce the waste of taxpayers’ money where it is fully possible to do so, and where there are other mechanisms that can enter. At the same time, the Progress Party believes that in the entirely elementary welfare tasks that the state and the public have made to solve their responsibilities - health care, care for the elderly, to mention perhaps the two most important, in addition to school - we also see the main challenges. When politicians have held back on the same system, the same governance mechanisms over many decades, and the problem still has not been solved, it is time to start listening more to a progress party that has responded to these challenges.
ParlaMint-NO_2008-06-20.ana.ud1237e1503	I'll follow up a little bit of what was in the last row here. The Progress Party, also in the 2008 revision of the national budget, appears to have more to do with everything and to everyone, and that is unproblematic, because there is a source to be tapped. There, the Progress Party distinguishes itself from all other parties on the Stortinget, who believe that in a high economic cycle that is now incredibly important to have good governance of how to spend money in society. The vote will conclude that the Progress Party believes it is wise to spend NOK 11 billion more on a revision of the State budget. The representative, Siv Jensen, has said that she is ready to become prime minister here in the country. Then it is important to know what kind of economic policy should be at the root. It might be interesting to know if $11 billion is a randomly chosen number, whether it's an assessment of what the Progress Party thinks is the resilience of the economy, or where this comes from. Is it so that it was random -- you were going to give a little bit here and there and a little bit here and there again, and then it added up to 11 billion kroner? Is that the recipe for economic policy from the Progress Party?
ParlaMint-NO_2008-06-20.ana.ud1237e1510	It must be good for Hill-Marta Solberg to feel like part of politically correct Norway, who is always preaching that we cannot afford to solve the entirely fundamental welfare challenges. I want to remind Hill-Marta Solberg that only in the context of the revision of this budget are we expecting to go with a surplus of NOK 400-500 billion in the Kingdom. That's a lot of money. There's so much money that most people are unable to understand the trifle that characterizes this government, when at a time when gas prices are rising to heaven, they're able to raise their fuel and diesel prices further. It is totally incomprehensible and completely unnecessary. There's room to let people live on their own income. It is not that the economy works best when the state has the greatest possible share of people's wages. It could actually happen that people made wise decisions about the use of their own money, if we let them keep a little bit more of what they're creating, through a little lower taxes - instead of counting that politicians made the wisest decisions on their behalf.
ParlaMint-NO_2008-06-20.ana.ud1237e1517	Most people spend most of their lives saving, usually in their own house, and then spend the money they have left, prioritizing between different things. That way, the Progress Party is on the verge of most people, because instead of saving, you say you have to give less priority. A little bit more and more priority is also given to the Progress Party, but less priority is given between different items and tens of billions more to the government budgets. Jan Tore Sanner has guaranteed that it is the economic policy of the Right Party, and not the policy of the Progress Party, which will prevail if there is government cooperation between the Right Party and the Advance Party. He then cancels all the promises, tens of billions of dollars, to the Advance Party. Then there's one of two questions that Siv Jensen has to solve for people. Can Siv Jensen either deprioritise all the promises that will not be fulfilled if Right takes effect, or can Siv Jensen guarantee that it is the Party's distribution policy that will govern if Siv Jensen and Right come into government cooperation?
ParlaMint-NO_2008-06-20.ana.ud1237e1524	There is no possibility for the right to cancel or change the policy of the Progress Party. It defines the Progress Party itself. We have so much respect for the voters that we want them to be allowed to go to the polls in September next year and put together a new big deal. Then we'll see which of the parties they have most trust in, in relation to what kind of new government this country will get. But I had a sense of the introduction to Heikki Holmås, because he said that most people were saving in their own home and had the ability to prioritise. I fully agree with that. But then there should also be a slightly greater degree of confidence that most people are able to make wise decisions, shape SV's policy -- rather than pursue a socialist policy, where the answer at any time is to demand the most from people and make the most decisions for people. The Progress Party wants to give people the freedom of action back, making it possible for them to prioritize themselves. This is primarily an economic issue, and therefore the Progress Party is in order to reduce taxes and taxes in this country.
ParlaMint-NO_2008-06-20.ana.ud1237e1531	The cord shift is over.
ParlaMint-NO_2008-06-20.ana.ud1237e1534	We have to go all the way back to the 1960s to find a period of as strong economic growth as the one we've had in the last four years. Measured as a proportion of the labour force, the unemployment rate is now down to 2.4 pst. That's the lowest level of 20 years. We have reduced unemployment by 50,000 people since the autumn of 2005, and employment has increased by over 200,000 people. That's amazing. We, remembering the late 1980s and early 1990s, when parents and friends lost their jobs, are able to see the results we have in employment today, as a great joy. When one follows the political debate, one can often get the impression that most things are going wrong. It creates a picture of a reality that's wrong, I mean, because most of us feel better than we've ever had. When I say that, it's not in my opinion that there aren't those who have it hurt and hard, or that there's not much that's been undone. But having a job to go to is the most important means of a good life, of freedom and independence. That's the best way to fight poverty. So job no. 1 is to have a high level of employment, so that people can be able to live a good life. But everyone doesn't have it as well, and it's equally important for the government and the red-green to do something about it. Therefore, poverty reduction is an important theme to address for the Government. The government allocates 230 million. kr in municipalities with NAV offices for the 2008 qualification programme, a programme to help reduce poverty, mainly by getting more people out of work. The Programme shall allow persons to get to work through closer and more committed assistance and follow-up. The programme shall consist of labour-oriented measures and may be combined with both medical treatment, training and self-activity supporting the transition of persons to work. It's a poverty response. In Stavanger, a bunch of enthusiastic pedagogues and others, with Eddie Eidsvåg at the head, have made success of something called the Pub project, where the motto is that everyone has resources, and everyone knows what they want. That project has received 20 out of 22 so-called mobs, as they call themselves, in work or in education. For six weeks, these 22 schoolchildren -- some criminals, drug addicts, and others who have fallen outside the ordinary system -- have been on the course. Today, 16 of those young people have come out to work, and the rest of them have got a summer job or have secured school space for the autumn. Only two of them have cut out the project. Eddie Eidsvåg says the most important thing is that these kids find out what they want with their lives, that we give them a chance so that they see that they have infinite resources, and that they are taken care of. They have been. This has been a pioneer project in Stavanger. Now you've seen what's done, and the government and the red-greens are now giving 0.5 million. kr for the project, so that you can get this project across the country. These are things that the representative Sanner and others have talked about that one is not doing anything about. But such a ‘flower’ as this can be found in today’s Norway. It's a true story from reality. It warms the hearts and shows that it works. When you devalue the historical social security settlement that we have now made, I also think it is wrong. When the minimum pension for single pensioners has increased as it has done, and when one has also managed to escalate the supplementary pension for young people, it is historic and is received by both the Pensioners' Association and the organisations of the disabled as something that is – if not sensational – so at least very important. All the minimum pensioners I know, and all the young people with disabilities who have received this promise, have come and said that to them this means a lot in their struggle to survive in everyday life. Free high school textbooks are also marked on a parent’s textbook. It makes you get a bigger economic space. When prices in kindergartens have been greatly reduced, it is also noticed in the family economy. When you give more to the community, as you have done through the local economy, you give more to everyone, and these are important decisions to improve people's lives and to reduce poverty. The government takes poverty reduction seriously. We deliver far from enough, as the representative Ryan said, but we're on the right track, and we're taking it seriously.
ParlaMint-NO_2008-06-20.ana.ud1237e1551	The centre-left government opted for strengthening the community's assets, i.e. our welfare systems - a good school, strengthening the care sector and balancing differences. In the period 2005 to 2008, real growth in the municipal sector is estimated to be about 2.7 p.m. per year, or nearly 21 billion kroner. The government will continue this effort. Budgetary policy must balance this development between the desire to solve new tasks while being able to meet the challenges that arise, because we know that, in particular, from 2020 to 2025, the number of older people will increase sharply, leading to a significant increase in expenditure on pensions, and not least on health and care. The centre party wishes to further strengthen the public sector with increased revenues for municipalities and through the new income system. Furthermore, through the social security settlement, the government has taken an important step to lift those who have the least. As time passes, we will also see results of the qualification programme, which means several away from passive receipt of social security to active participation in the labour market. Health is also a major area in the revised national budget. The hospital sector requires considerable resources. The means to cover the increase in pension costs had to be in place and they are in place. The long-term management of pension contributions and costs will be brought back into the State budget for 2009. Predictability of these costs is very important, both for regional health businesses and not least for private non-profit hospitals, which are an important part of our public health system. We're now spending almost 90 billion kroner on our hospitals, a sector that's grown a lot. Now, of course, it is not an objective to increase and increase the consumption of healthcare. The objective must be better health through a strong commitment to prevention, from cradle to grave. Hospitals mostly run repairs. The goal must be to prevent more and repair less. The government, through the revised national budget, has focused on how the specialist health service can best ensure quality by following the national health plan. This means that some tasks need to be centralised, others decentralised. Between 50 and 70 pst. by all patients hospitalised acutely, can be completed at the local hospital. Therefore, local hospitals should organise their activities and competences in view of precisely the large patient groups: the chroniclers and the elderly with complex disorders. I believe that in the future, with a long-term hospital policy that the government is working on, we will see that the local hospitals are built up with enhanced quality. Treating people at the lowest possible level is an objective and important resource use. Then other things need to be centralized, for example. good forms of treatment in cancer surgery, myocardial infarction and stroke. It can't happen anywhere. We need strong political management of the hospital sector. The national health plan should be further developed to be the one where important decisions on the development of the specialist health service are taken, while at the same time being a plan that can provide predictability for the sector. In the Central Party, we are discussing whether a national health plan may not need to be dealt with in budgetary terms, but that it will be dealt with at a different time, and we need to think in the long term about this important sector. Then I would like to make a small comment in connection with the comment in the vote on Trillemarka, which Per Olaf Lundtigen has explained is his own. This note does not have a majority in this Chamber. But when that is said, I would say that there are very few who, with so much commitment, have achieved such good local processes in Trillemarka as Per Olaf Lundtägen and Buskerud Centerparti. He shall have great praise for it, though the government fell upon another solution.
ParlaMint-NO_2008-06-20.ana.ud1237e1569	We are halfway through this great period, and in the context of the treatment of the revised national budget, it is natural to look at the extent to which we reach the goals we set in creating a safer society. We still have big challenges -- let it not rule any doubt about it! At the same time, it is reported from several police districts that there is actually a significant decrease in large parts of the crime scene, for example. in the case of the criterion of profitability. It is good to see that it is possible to reduce some types of crime, both in terms of detecting more crime, slowing down crime and preventing crime. At the same time, we have significant challenges in terms of crime types other than the crime of profit, making it necessary to continue the efforts that the Government is now making, both in relation to the police and in relation to the reaction picture. How are we going to get more of those who get criminal reactions - in prisons or elsewhere - not to commit new acts when the criminal reaction is perpetrated? It is gratifying that during this year we are in the process of building down the settlement queues in Norway - they have been reduced from 3,000 to 800 - that we are in the process of building one of the major investment projects in the area of penal zoning, namely the Halden Prison, which costs over DKK 1 billion, and that in the autumn we are going to start what is the major reform to solve more crime, namely the DNA reform. We're going to spend a lot of money and a lot of human resources on it. It is good - as a unanimous magnification has asked us to do, and as we fully agree on - that we are now establishing measures for children and young people, especially linked to children's homes. Five children's houses will be established during the fall and early next year, and then we'll have a lot more in place than what we actually described in the Soria Moria statement. It shows that the effort you make to create more security for most of us is a bet that also produces results. The fulfilment of the commitments in the justice sector contributes to the creation of a safer society. In this way, I am pleased that today, after all the sun-marks to be judged, you will agree with the strengthening that is also in the revised national budget with regard to the police. In the period in which we live, it is important to do the escalation that has actually been achieved, including: to the police security service, and today's audit will increase by 10 million. kr. It is important to do what you do to the administration of foreigners - in the police, you have to spend a lot of resources, which is necessary, for example. procedure, and not least on the question of sending out people who are not entitled to be here. The $40 million bet. kr is absolutely necessary and also serves as a good relief for a police officer who has more than enough tasks. I would like to say the same thing about the effort that is now being made towards international work. We stand completely powerless if we fail to strengthen international cooperation in combating criminal acts. Many initiatives and efforts of the Government, including: agreeing to the Prüm agreement in the EU is crucial. It will provide us with a great and good basis for resolving more of the internationally branched crime, among other things. access to the DNA bases of other countries. At the same time, I would like to point out that the strengthening we are now doing in the area of border control, through Frontex, and also through the Schengen Information System, where we now have a new generation, is important in such work. It is also the case that the Government is developing and investing in the rescue helicopter service. Under the hood. 455 it is mentioned that the revised budget proposes to strengthen the allocation of 15 million for the rescue helicopter service. kr. In cooperation with the Ministry of Defence, we have made a thorough assessment of other needs and, in order to maintain the level of preparedness of the rescue helicopter service, it is now clear that there is a need to strengthen the allocation further in 2008. The government will come back with proposals to cover additional expenditure as soon as possible. In St. prp. No 1 for 2007-2008, it appears that the Government will establish a rescue helicopter base with a presence guard in Florø. We are now planning the start of this. This work has shown that there is a need for greater structural adjustments than originally foreseen, and this is something I will come back to Stortinget with in an appropriate way, so that the Storing gets guidance both on costs and on the economic and temporal calculations, when this is clear.
ParlaMint-NO_2008-06-20.ana.ud1237e1588	It's going to be line change.
ParlaMint-NO_2008-06-20.ana.ud1237e1591	It is always interesting to hear the capacity of the Minister of Justice to describe reality. It's fascinating. If the ‘Sunlight Minister’ had been a concept, the Minister of Justice would certainly have been able to pronounce such a title. If there is anything the council has the ability to do, it is to be present when all positive things are to be described, and at the same time he has the ability to be absent when the difficult things come up. We just saw it during the fire in Fromland. I registered that the Council of State indirectly believed that the DSB had failed, and the Council of State went down manually per. helicopter to clean up. It says respect. A few days ago, the government councils in Oslo's centre spattered and patrolled. If it was like being taken up to the Police College to get uniform, I'm not going to say anything. But again there was a presence while the sun was shining. That's weird for me. My question to the Council of State is: Is the Council of State comfortable being viewed as a Council of State that is only present when the sun shines, and when everything is good? Is the Council of State in the same way comfortable being referred to as the Minister of Loft Crime in one of the largest newspapers in the country?
ParlaMint-NO_2008-06-20.ana.ud1237e1602	Every time I hear the representative Ellingsen protest against the rule of law policy, a number of characteristics are used, especially by me, but also by others. I understand that in the absence of any other arguments, you do. We promise that we will build the reconciliation queue, and we will do it, we promise that we will set up a completely new DNA system, which costs a lot of money, and do it, we will build the prison in Halden, we will do it, we will introduce a whole new kind of housing in Norway from the fall, with electronic monitoring, and do it, we will build children's houses, etc., so I have difficulty in seeing that there is some special hole in the Soria Moria Declaration on Justice Policy that we do not now comply with. This trip to Karl Johan, which I understand both the Progress Party and the Right have had a hard time swallowing, meant that we got 70 new police posts in Oslo police district that day. Isn't that the Right Party and the Advance Party always ask? I must say that there must be a joyous news and an important news, so that we get patrolled the streets and created the security that people are occupied with. I also ask the Progress Party to go into the matter in reality and not just throw around with impeccable characteristics.
