ParlaMint-NO_2008-12-15.ana.ud2230e124	The representative of Marianne Marthinsen, who has been licensed, has again taken the seat.
ParlaMint-NO_2008-12-15.ana.ud2230e1424	This summer I visited some bingo rooms to see how they used to work so-called bingo machines. After the disappearance of the slot machines in the grocery stores and kiosks, there has been an increase in bingo machine turnover. When I went into the room, there was a person who contacted me and said, "Are you not a politician?" I said that I was, I was a little interested in seeing how it worked. So I say to you, please get rid of these bingo machines. These are more aggressive, they're more exciting, you can play away more in a shorter time. These are worse than the other vending machines that we've had. For the sake of those who are game addicts: will the Labour Party join in and get rid of these bingo machines, which we have suggested?
ParlaMint-NO_2008-12-15.ana.ud2230e1431	The working party will agree that we get rid of all kinds of games that we can get rid of that lead to addiction. When we've assumed that the bingo machines didn't lead to the degree of dependence of the vending machines that were free, it's because they're under a little more supervision, and there's someone in the room that fits. But I agree with the representative that we need to keep an eye on how these machines work, and I am sure that the government will make sure that we have a policy that does not lead to increased dependence through these machines.
ParlaMint-NO_2008-12-15.ana.ud2230e1436	I would like to ask something that the representative did not mention in his post, namely the museum. We are now in a consolidation process that has been widely agreed upon in this house. There was a broad consensus that you should use both whips and carrots. You shouldn't lose anything by going in, but you would get if you went in. Now it turns out that you use more whips than you use carrots. The carrot has become quite small, and e.g. The museum director at Orkla Industriemuseum says you're getting scared to go in. Or to take the Rørosmuseet, they say they feel like a little, exposed piece in a big game. I would like to ask the representative of the government the question that the Museum of Røros asks itself in today's Evening Post: How far are you willing to go to land this museum reform? Are you willing to kill the museums?
ParlaMint-NO_2008-12-15.ana.ud2230e1445	I think the consolidation is very important, and I think it's absolutely right that you link the appropriations to the different museums that have consolidated. Some have been very good and have, perhaps against their own resistance, managed to achieve a consolidation with other museums. It has been shown that they have earned it both economically and operationally. I think it's sad if some museums go under because they can't find anyone to consolidate with, but I think that's actually what all museums can do. It goes a little bit on the will of someone and maybe a fear of change. I'm sure the government will follow this closely, and that you're good at introducing the museums that actually do a very good job by consolidating themselves with other museums.
ParlaMint-NO_2008-12-15.ana.ud2230e1452	The cord shift is over.
ParlaMint-NO_2008-12-15.ana.ud2230e1455	Now we've heard enough praise for the cultural policy of the red-green government and what great increases there are in the cultural budget for next year too. But let's take a little look back at what actually happened in 2008 to news and visions from the same government – and it wasn't big. We've had a year of diversity that cost 50 million. kr, and we've had the cultural city of Stavanger, which got 100 million. kr by the State. The Year of Manifestance is obviously so successful that it will continue into 2009, so we have to assume that it has come to be. Kulturbyen Stavanger costs 100 million. kr, and it is hardly known beyond the borders of Norway. The director even admits that marketing might have been better. I guess I don't think most people have had any sense of the amazing cultural promise of the year that went on, and I don't think they'll notice any significant difference in the year that's coming. What I want to say is that although millions of millions are injected into cultural life in Norway, it is probably the most enjoyable thing for cultural life itself and not for the users of cultural services. The red-green government is walking on enthralled paths and doesn't try to think new and innovative. The sitting government inherited a cultural message from the Bondevik II government, and the grips that are made are largely made after this old message. There is no red-green thread in cultural policy – nothing that will put a foothold on cultural history other than that you have given a tremendous amount of money. This is the last cultural budget of the red-green government before we have a new big shot. And what's left over? Well, a generous minister of culture who has given money to everyone, without it looking like there's been any plan in it. What new has the red-green government contributed in the last three years? Opera? No, no, no. It was started long before we received a government council from the Workers' Party. The cultural school bag? No, no, no. This was the proposal of the Progress Party in the previous period. Film bet? No, no, no. Norwegian film had claimed itself long before Giske sat in the Council of State chair. The party wants a living culture free of political governance and based on personal commitment and volunteering. The progress party has never claimed that people have equal tastes, or that people don't want variation and breadth in the offer. It's just most people who guarantee variation and breadth, regardless of what cultural education wants to serve from innovative impulses, ideas and aesthetic experiences. That's why we think it's a goal to get more out of the tax dollars that culture gets. Unfortunately, it is today a narrow cultural elite that determines the direction in which culture is to develop. This results in museums being full of art that no one can see, and the libraries get books no one will read. The cultural policy of the Advance Party is based on the value of creating as many experiences as possible. This is achieved by the fact that cultural providers adapt to their audiences, not by the fact that cultural providers struggle about who is the best person to get public money. The red-green government, on the other hand, has failed both the Soria Moria declaration, that is, the promises to the people, and not least they have failed the people by not following their promises. And then I think about volunteering. Nor in 2008 was VAT exemptions or VAT compensation introduced – it was not even assessed – as the Soria Moria Declaration says so beautifully. It may seem that the Council of State is more concerned with artists in all forms than with voluntary work. Now the Council of State will not talk about the fantastic billion to be given to the voluntary sector, because with all due respect, the same Council of State has removed DKK 3-5 billion from voluntary Norway through the automatic ban. It doesn't help to decorate the crumbs you give, once you've stolen the whole piece of cake. So let's now look forward to it. What are we looking at about innovation and visions from the red-green government next year? As far as I can see and read, it's nothing. You fill money bags all over Norway, but it's nothing new. From the point of view of the Progress Party, there is only a glare of measures already in place. Then it is good that the Progress Party is once again ahead. What action is it then that the Progress Party will make it possible for cultural life to exist even without too close ties to the state and the governments at all times? We are also proposing two funds this year to contribute to raising cultural life, albeit in our own way. One fund will strengthen voluntary teams and organisations in a completely different and new way compared to what the Government does. The return on this fund is targeted at activities for children and young people. We want to stimulate children and young people to participate in different cultural activities, and we want the return of the fund to reach people – all people. In addition to the fund I just mentioned, we also have the Culture and Nutrition Fund. The fact that culture is a business is no longer a discussion. Cultural enterprises market too many billions each year. Therefore, we want to stimulate artists in all genres to focus more on themselves as a business. We want a work community where one can have a common accounting and marketing part – simply a community that stimulates and inspires in line with those established, for example. in London, and which works perfectly well without State interference. The Fund may be used, inter alia: such measures. So a little bit about cultural memories. The Progress Party has argued for a number of years that cultural memories and traditions should be taken care of. The Progress Party has noticed that within the cultural budget as well, it is set at 10 million. kr to the Cultural Memory Year, and we are very happy about that. I hope that the Council of State will read the state budget and talk to the Council of Environmental States, which is, of course, the main responsibility for cultural memories, in terms of the fire safety of Bryggen in Bergen. Something has to be done here, and it has to be done quickly. We can't risk the Bryggen, with all its treasures, burning down because it's not safe enough. It would be a tragedy both for the city of Bergen and for Norway as a nation. There is also much else in the rehabilitation of our cultural memories, whether they are in museums or they are unique cultural memories. But that one of the richest countries in the world doesn't care and protect their cultural memories, I don't think the afterglow will understand. So finally a little bit about video. It's not the red-green government that's going to have the credit for filming going so well in Norway. The main reason is that the aid schemes for the film industry have changed, so that film production is more targeted at the public. The changes in aid schemes, together with the professionalisation and internationalisation of the industry, have led to far more Norwegian films being made in such an artistic way that they find a large and willing audience. The Norwegian film industry is in the forefront of a new idea of publicly supported culture, where it is about maximizing the cultural benefits you can produce for the community's money. The Progress Party will promote the industry, which is increasingly finding broad and narrow audiences, and is able to produce good films within an appropriate economic framework, which meet these audiences. At the same time, the industry has shown that it can attract skills and capital to new productions. The Progress Party believes that developments in the film industry show that market thinking also works very well in the cultural field.
ParlaMint-NO_2008-12-15.ana.ud2230e1487	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e1490	Every time I hear the representative Karin Woldseth in a cultural debate, I get the impression that she's actually a little tired because she represents a party that doesn't have a cultural policy. I have also had the pleasure of reading the comments of the Advance Party in the setting this year, and I record that they have a note that they recycle every year. They claim that having an active cultural policy, which the red-greens have, creates unity, as with the regime in North Korea. What I'm asking is, what is the policy of the red-green government that can be compared to North Korea? Is it that you are making arrangements for ordinary people to afford to go to the theater, something that the Progress Party obviously does not want, or is it that we are putting massive money into the film fund, so that next year there will be opportunities to get new, big movie successes? It would have been interesting to hear what the Progress Party thinks is so comparable.
ParlaMint-NO_2008-12-15.ana.ud2230e1497	First, I have to arrest the representative Gjul for what she said about the Progress Party having no cultural policy. Then she should read our programme, because we have a cultural policy – a cultural policy that I am very proud of. When it comes to why we're comparing the red-green government to North Korea, it's not very strange. In North Korea, you decide what people are allowed to read, what people are allowed to see, and what people are allowed to hear. We approach it, as the state presses all artists to its chest and almost keeps them alive. Then it is no longer the user who is allowed to choose what you want to hear and what you want to see, but it is the red-green government that decides for us – therefore the comparison.
ParlaMint-NO_2008-12-15.ana.ud2230e1504	It can be quite depressing to listen to the People's Party's reference to culture. The Central Party has noticed that the Advance Party will cut close to $1 billion in its alternative budget, a dramatic reduction from a to. We also have great faith in voluntary forces, but to replace the fury of the Advance Party with the billion-sized cultural field with the 50-million puzzles. kr to volunteer, is not a believer. This, in our opinion, is a strong underestimation of what most people actually want. Who believes the Progress Party is ready to accept this money and offer cultural activities, once the party has destroyed the entire cultural value chain? And where will this popular cultural activity take place when the Progress Party cuts into the grant schemes for cultural houses, which are demanded by both professionals and amateurs throughout the country?
ParlaMint-NO_2008-12-15.ana.ud2230e1510	When we want to cut NOK 1 billion, I would like to remind the representative, Eia, that we do not need to go further than the 2005 budget until we are about where the Progress Party is. As far as I know, and as far as I remember back to 2005, there was an excellent cultural life in Norway in 2005, so I don't think she should worry about it. I don't think she needs to be particularly depressed either. The fact that the representative is depressed by reading our comments, we can in a way not do anything about it. But we are of the opinion that the comments we have, and the programme we have in the field of culture, are absolutely excellent, and we are absolutely sure that there are a lot of non-governmental organisations that are quite ready to accept and make an effort for Culture-Norway.
ParlaMint-NO_2008-12-15.ana.ud2230e1517	The progress party enters to sell down NRK. The NRC has obligations in relation to Norwegian cultural heritage, language and identity; they have special obligations to produce narrow programmes, children’s and young people’s programmes, documentaries and should be well represented throughout the country with district missions. What consequences does Karin Woldseth think it would have if this generalcaster didn't get the framework conditions to operate that they have today? The Christian People's Party believes that we will then lose a cultural heritage, for which it is important to take care of and have good framework conditions.
ParlaMint-NO_2008-12-15.ana.ud2230e1522	I think the consequence will be that people will be able to dispose of their license money more, approximately. $2,500, free - to whatever they want. In addition, it is up to the government at all times to determine the concessions for those who are going to be public broadcasters, which actually any broadcaster can be. That's why there's no problem. You just have to include in the concessions – not everyone follows them – that there should be children's programmes, that you should take care of the cultural heritage, and that you should take care of the language. This doesn't have to go out on the listeners at all. The advantage we can see is that we get TV and radio that doesn't cost anything.
ParlaMint-NO_2008-12-15.ana.ud2230e1529	The cord shift is over.
ParlaMint-NO_2008-12-15.ana.ud2230e1532	The cultural budget of the year follows well-known political lines. There are significant increases within a wide range of measures and a distribution of relatively predictable tracks. With the exception of the Progress Party, I think there is a great deal of consensus about the increases in the cultural budget, not only this time, but also in particular with regard to the developments we have seen throughout this period. On the right, this effort is based on the political main lines strung out by the Bondevik II Government's Communication on Culture. It does well in and of itself also the government, even though the rhetorical clothes of the cultural vow have now been emphatically put on. The backbone of a stronger cultural policy is the demand of modern society for cultural activities, be it in the traditional sense or as part of a strong economic development in cultural industries. New lifestyles have created a climate for increased commitment to culture, and it is interesting to see in a longer perspective that one should not be so terribly far back in time until the attitude was completely different. Åse Kleveland said explicitly in his cultural message that there could be no increase in the cultural budgets in the years that were to come. Although the Right supports a significant state involvement through the cultural budget, it is clear that, unlike the Government, we are not indifferent to stronger government governance and state investment. In the Right’s eyes, the state’s extensive participation can concentrate power and contribute to widespread political correctness and less real diversity if one does not have a keen eye to how the money is snuffed out. The Minister of Culture’s recurring description of the ‘poor distance principle’ does not, in the Right’s view, remain as long as it is used in such a narrower way as we consider to underpin the political work of the Government. Norway is a small country, with a small market, and that means that we need to combat power concentration more actively and through structural intervention. The right therefore wants a clear, different course, where the key words are the spread of power and diversity. This is partly about organisation, the appointment of government representatives. Here we believe the state could limit itself to the largest state institutions. The dissemination of power is also about the elimination of state resources to recipients, and – not least – about the need for a wider range of sources of funding and decision-makers in the context of cultural life. The right-hand approach is illustrated by our strengthening of the central parts of the cultural budget by 30 million. kr. We want to strengthen diversity by strengthening the free groups and ensembles. This is done by strengthening the basic funding of established stage groups, the free performing arts grant scheme and the dance grant scheme. We believe it is important to pay particular attention to businesses that are jumping out of the immigrant communities, and this year, too, the Cosmopolite Foundation and the Nordic Black Theatre Foundation give an extra hand. We also believe it is very important to strengthen the links between cultural and business life. In this context, it is not primarily about economic development but about contributing to the emergence of arenas where cultural life is given new stimulating tasks and alternative ways of financing activities. We believe the Forum for Culture and Business is a good start, but believe that the state must help to build an organisation with a significantly higher level of ambition and a several more complex approach to how to work. Another way to spread power is also to look at those businesses that grow locally and regionally. Here, we believe that further strengthening of the regionally based film environment is an important step. The right also attaches great importance to the preservation and accessibility of our cultural heritage for all. A lot has been done in the ABM field in recent years, but the archive area seems to have slowed down. Many archives — not least the private ones — are today in a wretched constitution, and important parts of our collective memory may be lost. We have therefore added extra funds to the archives in this year's budget. This year, too, we have strengthened the area of folk culture, this time through the Riksscene for folk music and folk dance. Important parts of the field of culture are also part of volunteering. The right has signaled that we are in favour of a full VAT compensation scheme, and we have asked the Government in the remarks on the budget to facilitate this, so that new VAT rules can be introduced from the autumn onwards. The media area is a field of strong development. Technological convergence and digitisation are taking place and are giving new opportunities for faster communication and the development of new forms of communication – not to say platforms. Government policy is largely based on instruments from another time, not adapted to the digital future we are now looking into. It is a well-known case that the Right has limited belief in ownership regulation, and we still want another device to replace the traditional production grant for the newspapers – preferably with a roof and a flat model in relation to the current system, and also a system aimed at new establishments and editorial websites. We should perhaps have a public investigation into what was the original aims of the press support, namely the desire for diversity of opinion, real freedom of expression and stimulation of a vital public conversation, this time discussed on the basis of the media reality we are now living in, and the one we are seeing will come. Today, we see that evolution is bringing us all ever further into the digital generalization. Technological and content convergence is no longer just clichés about the future, but realities we deal with on a daily basis. An interesting feature of this is how the development of content genres also updates the importance of the media area to cultural life in general. The media are not just a matter of freedom of expression; the media area is also of great importance, for example, for the preservation of Norwegian languages. In this context, the right is concerned that in Norway we have the greatest possible production of content at home. In this context, the positioning of the different actors in relation to each other is already of great long-term importance. In this context, the right considers it appropriate to rely on maximum direct flow between the consumer and the content provider. All monopolistic trends should therefore be countered. For example, we see that some of the telecom actors are building business concepts based on closed solutions in the networks. In practice, this could develop monopolies in many places. Right now, it is important to give clear political signals that the digital generalisation of the future should be open. We have made proposals to investigate this, so that the actors can develop new business concepts in line with the open solutions as soon as this is technologically possible. Free flow of content will give consumers a better offer and it will stimulate Norwegian content providers to develop new products and produce Norwegian content. This is the only way we can secure a Norwegian home track in the digital generalization. The content of the volume to which it refers cannot be ensured by means of support schemes or other grants from the State budget.
ParlaMint-NO_2008-12-15.ana.ud2230e1574	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e1577	The representative Thommessen initially pointed out that the difference in this year's cultural budget goes between the Progress Party and the others. And that's something he's quite right in. But we are approaching elections, and it is natural to clarify what the possible new cooperative constellations will be like after the elections, because it will not least affect cultural policy. We registered as late as this weekend that the Right Leader at all did not intend to beat the hand of the Advance Party. At the same time, we know that with regard to fiscal policy, and perhaps even more so with regard to cultural policy, we find great distances between the Right and the Advance Party. I wonder how the Right believes that a common policy can be created with the Progress Party in these two areas. Is it perhaps that the Right Party is thinking of making cultural policy a balancing point in this context?
ParlaMint-NO_2008-12-15.ana.ud2230e1584	I think the Right will be the guarantor that we're still getting cultural stakes in the professional field in the future. At the same time, there is a point to see that there are actually some areas where we also have a lot in common with the Progress Party – in the field of cultural memory protection and in the area of volunteering, which are also two major areas that need to be strengthened. Now we should not start negotiations here, especially in such a context as this. Every coalition and any coalition negotiation is – what to say – an exercise in the art of camel selection. I don't know at least the representative Gjul, who has been trying this for some years now. In terms of part of the core of the cultural budget, this will probably be about some camels, but I don't really see it in the dark, if it were to be a current situation.
ParlaMint-NO_2008-12-15.ana.ud2230e1591	I was actually going to ask the representative about VAT compensation, but he actually mentioned it in his post. Is it the case that the representative from the Right will work actively to obtain a VAT exemption for non-governmental organisations?
ParlaMint-NO_2008-12-15.ana.ud2230e1596	Full VAT compensation, zero VAT, for non-governmental organisations one of the most important areas that volunteering itself has raised. What's great about that grip is that it works neutrally. So it turns out for all non-governmental organisations without any leadership from the state. An important part of the criticism we have against the Government in the field of voluntary policy is the elimination of money for concrete purposes which are seen to serve voluntary purposes and which are also identified with the political objectives of the red-green government. It was simply this that the volunteering message was – let's say – run off. Chapter after chapter one could read how volunteering would contribute to the implementation of the red-green policy in a number of completely price-worthy areas that I believe both the Advance Party and we want the sense of. Still, there's an approach that's going to be completely wrong for the Right. We want a neutral approach, and then the VAT compensation system is an excellent system.
ParlaMint-NO_2008-12-15.ana.ud2230e1603	Both the representative of the Right and the undersigned have been involved in some recent debates. The representative also said in his speech that when we dealt with the cultural message in 2003, the Right advocated future increases in the cultural budget. I have no faith that the Right Party had invested almost $2 billion in culture in these years. However, when said, the budgetary position on his main priorities states that he ‘shows in this context that Norway is now in a period of strong economic growth’. I don't think that's the reality most people have right now. He goes on to say that he ‘believes, in the light of social developments in general, that building up the cultural budget is correct and necessary’. Then I wonder – in these times, in the future and after the elections: Will the Right then give priority to the cultural promise of 1 pst., which he now says in many contexts?
ParlaMint-NO_2008-12-15.ana.ud2230e1613	I have never said that we commit to 1 pst. I did not say that when we discussed the cultural message in 2003. But what I said was that we thought it was right with significant increases. It is linked to the fact that whole social development is moving in such a direction – culture is more important in very many contexts. Ideologically speaking, the Right is based on the belief that some core tasks must also be carried out with state aid in the cultural field. That's our approach. Those core tasks are spreading in our time. Clearly, we are in an economic downturn. How it will turn out is not good to say. In relation to the big grips of how society is put together, there is nothing to tell you to cut the cultural budget – it is not. I imagine that the cultural budget will evolve further. So I want a development where we get a greater diversity in decision-makers – not such a unilateral state focus.
ParlaMint-NO_2008-12-15.ana.ud2230e1622	The cord shift is over.
ParlaMint-NO_2008-12-15.ana.ud2230e1625	Just to have said this: SV believes that the focus on culture is even more important in times of decline. We're going to pay for it, if the voters let us do it. On 15 November I was invited to a large conference in Stockholm to talk about the cultural promise. The title of the seminar was: Red-Green Culture Policy – what can we learn from Norway. It was a good experience. Unlike the Progress Party, I believe that this cultural promise is extremely important. I spoke quite warm, I was proud, both of the red-green cultural promise and the promise we are now making. There were many artists and cultural politicians present who want to do the same in Sweden. They want to raise cultural policy to an important election campaign, as we did with the Cultural Promise in our election campaign. Last week I received an enquiry from our partners in Denmark about Norway's investment in the cultural school bag. They want to propose the same initiative in Denmark. We in this government are now providing a cultural policy that our neighbouring countries want to copy. They say: Look to Norway – what can we learn from Norway? This government has increased the cultural budget by nearly NOK 2 billion by implementing the escalation of the cultural promise. It's brilliant, and it means a lot to the development of art and culture all over the country. The strength and self-esteem of art and culture is an undervalued resource. We must ensure that the entire cultural field is a natural and integrated part of all areas of society and policy. The whole cultural field is strengthened at an overall level through the Cultural Promise, and increased allocations facilitate conditions to develop a wide range of cultural activities and diversity. It is important, as it was stressed when we adopted the Culture Act, that we should have the right to an equivalent offer of art and culture throughout the country. It assumes that the national cultural crowns are distributed throughout the country. Young artists, new expressions and new start-ups should therefore be given priority in the counties with little state-owned cultural crowns in the future. Of course, you can read Eastfold here, as one of them. Success from the Mangfold Year is followed up. Conditions need to be provided for good growth conditions, including for the arts and culture of minorities. The history of the cultural school system can also be summed up as a success story. In the cultural school system, children of all school ages are offered a wide range of cultural experiences. The red-green government is working purposefully to ensure social smoothing and inclusion. In this context, cultural schooling is an important tool for ensuring children’s opportunities for varied cultural experiences at a professional level. No matter where in the country a resident, no matter what the background, the cultural school bag now provides a cultural offer to all children. School leavers are now also being extended to upper secondary school students. This is, in the SV's view, an important step towards allowing the school allowance to apply to all children and young people, from kindergarten to high school. Public libraries are one of the most widely used public institutions, and are very important for strengthening and maintaining social and cultural cohesion. SV believes that the public libraries contribute to the promotion of knowledge development, cultural dissemination, democracy and freedom of expression. In the spring, the biggest issue is about to deal with its own big message about libraries, and we are pleased that the library policy is thus raised on the national political agenda. I would like to underline the importance of continuing the important work on gender equality in cultural policy. In many areas, there are still considerable differences between women and men and their opportunities. Finally, I will send a little Christmas present home, not a Christmas card. It is an extra appropriation now at the very end of the budget for Point Ø and Studium Actoris. This is an important recognition of the contemporary art intermediary and the free theatre group in Eastfold, alongside all the good cultural resources that had already been granted.
ParlaMint-NO_2008-12-15.ana.ud2230e1651	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e1654	The representative May Hansen boasts a lot of the cultural school bag. Now it's probably the way that the cultural school bag is funded by the profits of Norwegian Typing. We hear about Norwegian Tipping's ever-anxious messages that they're not going to get close to the profits they've had. Then I wonder, what does the May Hansen representative intend to do if the funding of the cultural school bag is reduced?
ParlaMint-NO_2008-12-15.ana.ud2230e1661	Clearly, the school bag is funded by tippers. It was on the basis of a proposal from the Progress Party, SV and the Workers' Party. We are happy that we have done so. We would never have gotten such an increase in this field in the previous period, if we hadn't. I am very pleased that the Progress Party supported us in. That being said, it is clear that the school sack has come to stay. We're following developments with Norwegian Typing all the time. If it turns out that the school sack is getting less money, we also have a cultural promise that becomes formidable in the future. The school slip has come for SV to stay. It shall be financed in any case.
ParlaMint-NO_2008-12-15.ana.ud2230e1668	After the slot machines have disappeared, the turnover of the bingo machines has exploded. SV has had a strong commitment to getting rid of the slot machines. No Marte Thorkildsen stated in a TV debate at TV2 that she wanted to go further than Trond Giske when it came to the bingo machines. Will SV take the challenges of the game problem seriously and be involved in supporting a proposal to get rid of the slot machines in bingo rooms, machines that many professionals say are more aggressive and addictive than the other machines that we have had and that we know led to many social problems?
ParlaMint-NO_2008-12-15.ana.ud2230e1675	SV takes gaming policy seriously. That is why, in the last period, we made proposals to remove the machines. The previous Council of State did an excellent job, which has been continued during this period – it has intensified even more. What we have said on the SV's side is that aggressive games that lead to gambling addiction, we shouldn't have. There are different games that we have to evaluate all the time. The odds are quite aggressive, for example. From our point of view, we have told the Council of State that this must be followed closely. I'm not very happy with the bingo machines either. I guess that's what Magnar Lund Bergo, the previous representative from SV. But this we follow up in close cooperation with the Council of State.
ParlaMint-NO_2008-12-15.ana.ud2230e1682	The Soria Moria Declaration states: ‘Cultural policy must actively facilitate cultural enterprise development.’ I'll be very short. What concrete action has the red-green government taken to facilitate cultural-based business activities?
ParlaMint-NO_2008-12-15.ana.ud2230e1692	I believe that culture is nourishment in many ways. No matter where you go in this country, you see that you work together as a result of the cultural promise. Think of the film parks and the media parks, for example: In Eastfold we have several areas where nutrition and museums work together. I believe that the entire cultural promise has given a boost to culture-based nutrition and cooperation with both business and municipalities. I said initially that this is a formidable promise that means an incredible amount to Norway, and that means jobs all over the country, not least for young artists and cultural workers, who now can actually live and live through the cultural school bag where they come from. This committee has two huge happy messages to give to the Norwegian people. It is the cultural promise, and it is the welfare reform for kindergartens. That's where we've both been, to put it like that.
ParlaMint-NO_2008-12-15.ana.ud2230e1701	The cord shift is over.
ParlaMint-NO_2008-12-15.ana.ud2230e1705	With an increase of 786.5 million. The parties to the Government are once again putting forward a budget that is historically good. The growth, compared to the current year's budget, is a total of 10.2 p.m., a budget that was also historic. The center part is especially pleased that the cultural promise is on track, and that a total of 748.3 million. kr of the increase goes for that purpose. 1 pst. of the State budget for cultural purposes by 2014. Since this government joined, the total central cultural effort has increased by NOK 1.9 to 2 billion. The increases are channelled through major efforts within a wide range of cultural fields and to the joy of cultural life throughout the country. Art and culture have great self-esteem. At the same time, cultural focus is of great importance to other societal goals such as business development and jobs, integration and inclusion, health, learning and creativity. We're going to develop Norway into a leading cultural nation that focuses on culture in all parts of society. During this period of growth, we have introduced a historic shift in the pace of art, culture and volunteering, both through the issues promoted by the Stortinget, and not least by following up this with a historical increase in the state allocations in the cultural field. The centre party has a very big heart for volunteering. We are therefore pleased that the Government is proposing to increase grants for voluntary measures over the Ministry of Culture and the Church budget, with a total of 56.5 million. kr next year. In addition, the contribution to voluntary measures is increased by 8 million. kr through budgetary decisions. S. No 1 for 2008-2009. The Free Fund scheme will increase by a total of 13 million. kr in 2009, something we in the Center Party are particularly pleased about. We are therefore following up important actions announced in the voluntary service. It concerns both the economic impact on different actors and the technical design of new rules. From this government’s assumption, the budget for voluntary measures has increased by nearly 63pst. Value added issues are an important issue of interest policy for an overall voluntary sector. The models and proposals referred to by the Committee on Culture in its decision-making will, in the opinion of the Centre Party, have no impact on the voluntary teams and the non-profit-making work of organisations, but only on those cultural institutions which have a certain turnover and hold a professional organisational apparatus. The centre party responds impatiently to the notified review of the allocation of VAT costs among different voluntary sector organisations. We believe that this will provide a necessary basis for the establishment of a new VAT regime for the sector, in line with the Government's Soria Moria Declaration, which announces a change in the VAT regime in the voluntary sector. The government will strengthen the voluntary sector economy by DKK 1 billion in the coming government budget and will outline different ways of implementing it. The parties argue that the voluntary sector economy should be strengthened both through increased State budget grants and through a shift in the VAT system, where non-governmental organisations are treated in the same way as industrial activities as regards exemptions from VAT on the purchase of goods and services. The centre lot records the opposition's involvement in the case. When the Central Party today will not vote in favour of the opposition's proposal, it is expected that the announced review will allow the Stortinget to address this VAT question by the end of the current accumulation period. The centre party is pleased that the volunteer register is now in place. This voluntary register will be a useful tool in the management of a new VAT system, but of course also in the distribution of grassroots shares. Consequently, the centre party is pleased that the grass root fraction is introduced in 2009 and has high expectations that this scheme will provide local teams with badly needed resources that will allow the realisation of increased activity and priority projects locally. The parties to the Government indicate that the cultural budget will be dealt with on the basis of the framework laid down in the draft budget of the Government of the parties. In addition, we would like to remind you that the opposition parties have not joined the Cultural Promise, but rather have chosen to give priority to tax relief over an offensive effort on art, culture and volunteering on the same scale as the Government. Consequently, the opposition's comments in this setting cannot be seen as a real expression of the opposition's priority of cultural policy.
ParlaMint-NO_2008-12-15.ana.ud2230e1724	It's going to be line change.
ParlaMint-NO_2008-12-15.ana.ud2230e1727	It is good that the Center Party is committed to voluntary teams and organizations, but I have to admit that the Christian People's Party has been disappointed because we had expectations that something would happen when it comes to VAT and voluntary teams and organizations. The mandate of the VAT Committee, which the Ministry of Finance put down, was limited to looking at the realities of voluntary teams and organisations. The centre party expressed expectations for this in several debates, but so far nothing has happened in concrete terms. That's why I'm very uncertain – when you've seen a selection down, it was out of your mandate there, and now there's a vague signal in the budget – whether we can expect a concrete case with a concrete content. Voluntary teams and organizations are very busy, because they feel that the government has come with great expectations, but in this area a failure has been made.
ParlaMint-NO_2008-12-15.ana.ud2230e1734	The centre party will not disappoint the voluntary sector in respect of the commitments made in respect of a VAT compensation scheme. But here and now I see no reason to instruct the Government to present anything within a certain time, as long as it is already announced in the proposition that one will come back to the matter. As I said, I have expectations and confidence that it will happen before this big period is over.
ParlaMint-NO_2008-12-15.ana.ud2230e1741	Several have not asked for the word for a line.
