ParlaMint-NO_2008-04-23.ana.ud1988e22	The representative Ivar Kristiansen will present a proposal for a representative.
ParlaMint-NO_2008-04-23.ana.ud1988e924	Norway is a country rich in renewable energy resources. The hydropower is here as a base arrow. We are in the privileged situation that almost all of our electricity production is based on hydropower. In the Soria Moria Declaration, the Government says that existing hydropower structures need to be exploited better, and the use of small, mini and micro-power plants needs to be increased without conflicting with nature protection interests. We shall ensure continued use of hydropower resources, while taking into account other important interests in the watercourses. Estimates of the hydropower potential should be used with caution. Such estimates do not take into account the environment, property and network capacity, which limit the real development potential. What builders choose to apply for and what concession can be granted can reduce the potential several times. I am fully aware that we have the opportunity to expand a significant share of smaller power plants below 10 MW. The government supports such expansions that contribute to industrial development and housing in the districts. Any use of energy sources has negative effects. Also smaller hydropower plants may have negative environmental impacts, depending on the design of the projects. That is why we have a thorough concession treatment, where most projects make adjustments and require remedial action. In 2007, we gave permission to expand about 1 TWh with hydropower. With increased focus on climate change and the need for renewable energy, I am convinced that further development of hydropower projects will be central in the coming years. Exploitation of opportunities in already developed watercourses will form the basis for this development. With increasingly unregulated production in Norway and on the continent, the focus will be on the special qualities of hydroelectricity with control magazines. Regulatory capacity means that hydropower is not only renewable but also flexible. Upgrading and gentle expansion of our hydropower plants will help to make better use of existing water storage plants without new major environmental impacts. Such measures will be an important contribution in the future to the Government’s commitment to renewable energy production.
ParlaMint-NO_2008-04-23.ana.ud1988e937	I thank the Council of State for the answer. I have to say that I am a little surprised at the passive attitude of this government to expand more of our unused hydropower resources. We can do that in a very environmentally friendly and natural way. With it, as I see it, very passive power policy that this government stands for, gets the closest impression -- we know that we have a deficit of power in Norway in a normal year -- that the future power demand, with a deficit of 8 TWh, is to be met by imports of coal power, nuclear power or other things. Then it might be interesting to ask the Council of State: is it a goal for this government that the country should be self-sufficient in electricity even in a so-called normal year?
ParlaMint-NO_2008-04-23.ana.ud1988e946	The production of hydropower is high in Norway. We're going to enjoy that. I believe that we still have the potential to develop our hydropower. I think we're going to have ambitions that go far beyond being marine powered by electricity from renewable energy sources. It will not only mean hydropower, but it will also have to include renewable power from wind turbines, like sea wind turbines. So the answer to the question is that I believe that the Progress Party has too low ambitions regarding the production of renewable energy from Norway. We should set ourselves the goal of having as a vision that we will become a great exporter of clean and renewable energy to the continent. It must be based on a combination of offshore wind power and our blessed hydropower.
ParlaMint-NO_2008-04-23.ana.ud1988e955	I am pleased to hear about the level of ambition that the Council of State offers in the case of future Norwegian power generation. But it is a reality that, already today, in a normal year, we have a power loss in relation to the consumption of approx. 8 TWh. It equals 10-12 Alta power plants, so there's a significant deficit we're talking about. It is only this year with an extraordinary amount of rainfall that we have enough production in the Norwegian hydropower system to be self-sufficient in electrical energy in Norway. We know that the forecasts indicate that by 2020 we will have a consumption of approx. 140 TWh. Last year the consumption was 227 TWh. So that means we have to increase the power output by 0.7 pst. 1 TWh, per years ahead towards 2020. It's a significant challenge. Then my question is: is there hydropower -- the council was to the extent involved -- is there wind power, is there gas power, is there imports of coal and nuclear power, or is there a mix of all of these that the government wants most to invest in? Do you have any favorite areas you want to bet on?
ParlaMint-NO_2008-04-23.ana.ud1988e964	Firstly, I fully agree that we should get out of a situation where we have a deficit in power generation in a normal year. That is the representative and I fully agree. This will, of course, be a first step towards becoming an exporter of clean and renewable energy. We'll go along different tracks to reach this. We want to work with hydropower. It involves investing in small-scale power. It involves the wise upgrading of existing production, which may be larger. It involves bet on wind. It involves, not least, energy conversion, so that we use more biomass for heating, and we also focus on energy saving for years to come. So there's a combination of different measures that will enable us to get out of a situation where we have deficits in a normal year.
ParlaMint-NO_2008-04-23.ana.ud1988e1001	These questions are postponed to the next Question Time.
ParlaMint-NO_2008-04-23.ana.ud1988e1007	I have the following questions for the Minister of Economic Affairs and Trade: ‘Minister of Economic Affairs Børge Brende presented the Action Plan A simpler Norway 2005-2009 with the aim of reducing the administrative costs for industry in compliance by 25 pst. by 2010. The government has now received analyses of the administrative costs for the business sector broken down by department. These are in total 2,6 pst. of GDP, or approximately 17 billion kr. What is the Government's ambition for cost reductions for industry, and how is progress in work?’
ParlaMint-NO_2008-04-23.ana.ud1988e1016	The government decided in spring 2006 to launch a project to identify the costs to businesses of complying with information requirements in all laws, regulations and administrative provisions that are directed towards business. The monitoring has now been completed, and the Government will promote an action plan of simplification measures, the aim of which is to achieve significant relief in the administrative costs of enterprises. The work on finding and designing simplification proposals is carried out in close cooperation with business organisations and other departments. There have also been about a thousand interviews with companies to get suggestions on how to make things easier. In contrast to the previous government, this government has wanted to get a more detailed picture of the real potential for simplification before possibly promoting a proposal for a concrete measure. The results of the monitoring show the costs related to legislation, while the socio-economic benefits of the legislation have not been assessed. We need to clarify the utility page before we have the necessary basis to decide whether it is appropriate to make simplifications. There are many factors that affect the simplification potential. An important example is that enterprises also use the information for their own purposes. Another factor is that a lot of legislation follows from international agreements that we are obliged to comply with. The measurements carried out also include the costs related to that type of legislation. In other words, the survey provides a good overview of the cost to business but does not provide the same overview of the actual potential for simplification. We are now actively identifying current simplification proposals. These will be presented by the Government in an action plan that we plan to present before the summer.
ParlaMint-NO_2008-04-23.ana.ud1988e1033	I would like to thank you for your answer. In my opinion, it has been very quiet from this government in the area of simplification. The measures referred to by the Council of State are largely implemented by former governments. This concerns both the ALTINN solution, the Oracle system and the mapping project that the Government has now completed. In a debate in the Evening Post on 18 March, the Council of State shows that Norwegian industry spends 137 years less on completing state forms in 2007 than in 2006. Set against the total number of annual work in Norwegian business and against the cost of reporting and documentation, estimated at 2.6 pst. of gross domestic product, 137 annual works are hardly a noticeable change. The government writes in a press release on 28 January that expenditure is to be ‘substantially reduced’. Could the Council of State be a little more specific about what he thinks is significant in this context?
ParlaMint-NO_2008-04-23.ana.ud1988e1046	As I said in my first answer, it's so that we reach, among other things. have conducted interviews with a thousand companies. I've had the pleasure of attending one of those interviews myself, to see how they went on. That means that the government places great emphasis on the simplification work. It was very interesting to see how that company partially reported on things that they would in any case do for the company itself in terms of information that they need, partly reports on things that concern common legislation across Europe - that's 20 pst. of the legislation in Norway - and in part on things that they perceived as a burden of which they did not fully value. It's at such a thorough review that we get the right starting point to get to a real simplification. I could of course say 27 pst., because then I would have been more ambitious than my predecessor, Børge Burnde, but it's not enough to think about numbers. It is not enough to count forms either. It is the real administrative burden that is important, and it has thus become easier under this government.
ParlaMint-NO_2008-04-23.ana.ud1988e1055	I think it is alarming that the Council of State writes a ‘significant’ reduction in the press release, when he is not at all able to specify what is in it. I have just received a copy of a fresh letter from the Department of Economic Affairs, dated today. In the end, it is quite striking that the Ministry has signalled so far that simplification is only about making changes in administrative procedures, i.e. without altering the material content of provisions which impose costs on business. The letter states that, following the NHO’s assessment, this will not lead to the simplifications that are desirable or necessary. The NHO further writes that to achieve ‘significant’ simplification effects — ‘significant’ as promised by the Council of State in its press release — changes in the content of material legislation will not have to be avoided. Is it true that the Ministry of Economic Affairs and Trade has indicated that this is only about administrative procedures? Does not the Council of State not see the need to make material changes to the rules in order to achieve the significant simplification promised by this government?
ParlaMint-NO_2008-04-23.ana.ud1988e1062	It's a bit striking that the question came the same day as the letter from the NHO. The urgency of asking the question -- to put it that way -- because we have now submitted a thorough review of all aspects of the forms, with other reporting procedures, which companies in Norway have to follow. We're doing that job very thoroughly, and then it's based on the analyses we might want to set measures on how much we want to reduce. Clearly, for some countries in Europe, administrative burdens are much higher than in Norway, and then it is easier to set an ambitious percentage, just as if you are very obese, it is easier to reduce some percentage than if you are not obese. Therefore, it is important to have a proper analysis of the basis to which we are going to make the simplifications. This is done closely with the NHO and with other organisations in Norway. Let me conclude by saying that this is a theme that most governments agree on. There is at least no reason for the Right to make party politics out of this, because the most prominent on the bourgeois side of that, which I want to praise at the end, is my predecessor Lars Sponheim, who among other things. put a strong focus on the importance of simplification, not least for small and medium-sized enterprises in Norway. [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2008-04-23.ana.ud1988e1071	The president let that rose go a little overtime.
ParlaMint-NO_2008-04-23.ana.ud1988e1077	The question is: ‘The government seems to be without new financial instruments to increase the allocation framework for all necessary investments in the transport sector. The government itself has rejected project funding as an instrument to ensure the continuous development of large projects. Will the Council of State provide for the use of advances in State resources as a means of increasing the rate of investment and ensuring project promotion in the field of transport?’.»
ParlaMint-NO_2008-04-23.ana.ud1988e1086	For many years, there has been an arrangement for the advance of state resources for road projects. In this context, I refer to the annual budget proposals, which include a power of initiative for the advance of funds to road-goals in addition to the appropriations granted. The 2008 debt authorisation is formulated in such a way that the cumulative current reimbursement obligations do not exceed 1 800 million. kr. Advances shall be refunded without compensation for interest and price rise. The advance arrangements have also been practised in the financing of railway construction. So far, this has been practised by the fact that concrete proposals for the advance of individual projects or measures have been submitted to the Stortinget. On the railway side, there is no system of a general advance authorisation within an upper limit of amounts, such as on the road side. The reason for this is that so far there have been far fewer people who have been interested in speeding up, thus tying up funds, for the development of railway projects. If it is appropriate to introduce the same general regime within the railway system as on the road, interest in advance must be much greater from municipalities and other stakeholders. If such interest were to exist, the Government would consider the matter.
ParlaMint-NO_2008-04-23.ana.ud1988e1095	I thank you for your answer. I am fully aware that, to some extent, advances are being used today. I am concerned about increasing its scope, precisely to ensure predictability and to clarify funding. When the Council of State in the answer refers to the railway as an example where you may not have used it to a particular extent, it is precisely my example to point out that in the case of example: The double-track Barkåker-Tønsberg - to which the government budget for 2009, long before that budget comes, has now been happily announced - could in fact have made progress in the 2008 government budget, showing that it would advance. Then you could have saved almost a year. My point is to demand more extensive use of forwarding to speed up the construction of both road projects and railway projects.
ParlaMint-NO_2008-04-23.ana.ud1988e1104	I'm a little uncertain about what is the purpose of such an advance, because then it would be the state's means as one in a way called advance, and which would be unreservedly the means of budgeting that we put in. At least it will be like me, without going closer to matter, will have to call beyond Caesar's new garments, because it will be without consideration the government funds that we put in--for example. They we submitted for 2008 - we could call it advance, but it's just as full of means of budgeting. I am a little uncertain about the purpose of this type of advance. Then it must be better to do what the Government does, to increase the annual budgets and to call a spade for a spade.
ParlaMint-NO_2008-04-23.ana.ud1988e1111	There's neither emperor nor new clothes here. Here is the question of giving signals that perhaps a year can begin before the formal budgetary decision and the formal budgetary allocation are taken. Of course, the state can do this, because it has money. Let me also finally take a different variant of advances, which we actually know from practice in the school sector. For many years, we have granted DKK 15 billion for the upgrading of school buildings. There we have a separate item on the government budget to cover the interest expenses for a period of time. We must also be able to use this in relation to advancement. Many local initiatives to support the construction of important transport projects may well be able to make progress on their own keel, even without tolls, but they may then depend on a certain contribution from the state, much in parallel with what we have done for school buildings, where the state must also provide budgetary resources to cover the advance costs of debt financing in order to build local projects more rapidly. Is there something you want to look at?
ParlaMint-NO_2008-04-23.ana.ud1988e1118	There's a lot of creative turns you can do, and you can call it by a lot of names, but it's all about the seventh and the last thing about which framework you're willing to add to each year's budget. I am a member of the scheme that one has, with interest subsidies for school buildings. This has led to a lot of good expansion and maintenance of school buildings, which were absolutely necessary. Of course, it is also possible to assess such schemes in the transport sector, for example: to state roads. But when it comes to the annual budgets, I can't help but say, when I hear Sortevik's description of this, but to conclude that we're here to the seventh and last talking about budgetary means. If we had accelerated Barkåker-Tønsberg in 2008, we would have started in 2008, and we might as well have put in the budget in 2008. A crown is a crown, either it's called advance or it's a means of budgeting.
ParlaMint-NO_2008-04-23.ana.ud1988e1128	‘In its proposal for NTP, Akershus is committed to EUR 830 million. NOK, corresponding to a reduction of 1060 million. kr in relation to the current NTP. If this is going to cover a new Fornebu track, it's going to add up to 103 million. kr to other national roads distributed over a 10-year period. In the country’s most populous territory, this is environmentally weak and does not contribute to the upgrading of the road network in the county. Will the State Council provide earmarked funds for the new Fornebu runway and ensure the allocation of public highway funds in line with the current NTP?’»
ParlaMint-NO_2008-04-23.ana.ud1988e1135	Akershus County Council decided at its meeting on 10 May 2007 that Fornebubanen should be established as an urban railway. There was a strong willingness from all actors to quickly find a solution to the urban question. The work on planning a regional urban railway solution has been started and will be carried out in cooperation between Akershu County Municipality, Statens vägvesen, the Railway Agency, Oslo Municipality and Bærum Municipality. The question refers to the proposed framework for investment on the rest of the Akershus national road network in the transport networks for the period 2010-2019. I must remind you here that these are the transport modes' proposals for priorities within an assigned planning framework, a so-called technical calculation framework. The government will decide on the future financial framework and its distribution through work on the National Transport Plan 2010-2019. There is considerable work and extensive processes that remain before the national transport plan 2010-2019 can be submitted. I propose to submit the message in December 2008. The concrete priorities under the national investment frameworks have a decisive impact on the county today. Following the planned management reform that will enter into force from 2010, priority will be given to actions in this area as an important regional policy task. The fornebuban is part of the local proposal for priorities within Oslopackak 3. An overall assessment of the priorities within Oslopackak 3 will be carried out in the context of Step 2, which will be submitted at the same time as the National Transport Plan 2010-2019. The evaluations will be carried out in close dialogue with local authorities and in the light of the ongoing KS1 work and priorities in the national transport plan.
ParlaMint-NO_2008-04-23.ana.ud1988e1146	I thank you for that not quite surprising answer. The proposal of the etats is dramatic for the inhabitants of Akershus in several ways. It was also underlined in the prison last week. There's little new investment. The national roads have been reduced by 54 pst. The Fornebuban is not funded. Double tracks Oslo-Ski are not included, and Oslopackak 3 is underfunded. In the past, during the oral question procedure, I understood the Council of State there that she, like me, believes that it is obvious that the framework needs to be expanded considerably to solve the problems you see in several counties, not least in Akershus, on the tribal network, the national road network and the railway network. Is the Council aware that it is possible at all to build a Fornebu track without extra earmarked funds in view of the localisation decisions and regulatory measures taken in relation to the Fornebu development? And with regard to the way in which maintenance budgets have been aged, does the Council not think it would have been time to consider supporting the Right's proposal for a separate maintenance programme rather than balancing the maintenance budgets with investment funds?
ParlaMint-NO_2008-04-23.ana.ud1988e1155	The question of Fornebubanen has a long history. It is suggested that a find means to the path within the state of its state of distributed means, just as one does in Bergen with the Bergensbanen. A state contribution to the Fornebuban is provided by the etats within the so-called ‘divided investment frame’. That's a promise of 600 million. kr, which is of course fixed, cf. what was also presented to the Storting in the 2008 budget proposal. As I said, as of today, the funds allocated to Fornebubanen - the kind of earmarking of funds for a single project - are an account that this government has not wanted. We want more control to the county councils, not less.
ParlaMint-NO_2008-04-23.ana.ud1988e1162	The question of transportation is quickly raised about greeting home in this room. Greetinging home to Oslo and Akershus is a little bit more than greeting home, because that means that people get the opportunity to come home, by the fact that Akershus/Oslo, the capital region, is naved in the transportation network. We believe that a well-developed urban road network in the metropolitan region is a prerequisite for the good functioning of the rest of the country as well. I record that the Council of State naturally will not comment on individual amounts. But the government council believes it's possible to get a real expansion of the highway network in Akershus by 103 million. kr distributed over 10 years - i.e. approx. Ten million. kr a year?
ParlaMint-NO_2008-04-23.ana.ud1988e1169	It's quite easy to answer that question: it's too little to imagine that you're going to have a further expansion of the national road network. There are many issues that need to be discussed in the further work on the national transport plan. One is the distribution between operations and maintenance versus investment. The second is the ratio to what is to be financed by the government and what is to have other sources of funding. The relationship between the large investment projects and the smaller investment measures taken by the agencies is an important question, and also whether we can see the different items, i.e. the means of investment and the means of maintenance, in order to get more out of each krona. When it comes to the issue of a maintenance fund, I again record that there is a great deal of creativity to finance transport, and I usually remind you that at the end of the year it is about the willingness to prioritize transport within each year's budget.
ParlaMint-NO_2008-04-23.ana.ud1988e1179	‘Children with autism often need special diets to reduce the effectiveness of medical problems. Reimbursement of the cost of dieting children with autism is not granted through popular security, whereas such reimbursement is granted in connection with other sufferings. Nor is it possible to deduct the cost of the tax equation. It would be logical that dietary costs related to disease should be treated equally independently of diagnosis. Will the Council consider imposing a reimbursement for specific costs of autist diet?’»
ParlaMint-NO_2008-04-23.ana.ud1988e1186	Basic social security benefits may be provided to persons who, because of their permanent illness, injury or lye, have the necessary additional costs as a result of the dieting of animals. It follows from the People's Security Act that the need for a specialty for the diagnosis in question must be scientifically documented and widely recognised in medical practice. The State of Employment and Welfare makes ongoing assessments of what can be defined as scientifically validated diets. In cases of doubt, they shall obtain opinions and documentation from, inter alia: health authorities and specialists. In 2006, on the basis of several questions about autism and diet, I asked the Directorate of Labour and Welfare for the assessment of the relationship. The Directorate concluded in its reply letter of 15 January 2007 that persons with autism diagnosis alone do not fulfil the condition for basic support for diet. The conclusion was inter alia: based on a meeting they had held with the superior Bentsen from Ullevål University Hospital. He then clarified that current research results have not been able to demonstrate any clear link between mental symptoms of autism and the composition of the diet. The Directorate of Labour and Welfare is not aware that after this meeting new research has taken place which suggests otherwise. I will continue to make sure that the Directorate of Labour and Welfare regularly carries out the necessary assessments of the status of research in this area, in line with that resulting from the Law on Social Security.
ParlaMint-NO_2008-04-23.ana.ud1988e1197	I thank you for your answer. I'm familiar with the strict rules that apply to get reimbursement for this type of expenses. Among other things, this legislation was tightened up in 2004, making it even more difficult for this particular patient group to obtain reimbursement or tax deduction. It is also the case that the Health Directorate has developed and recommended a guide in particular diets for autists. There are some Norwegian children, as well as Norwegian professionals, who are working on projects that are now clearly beginning to show that autists have a very good effect on special diets, which are expensive. It would be fine if also these children -- who don't have this diet because of food allergy, but for quite other reasons -- get reimbursement in line with others. I would like once again to ask that non-discrimination be assessed, including within the different NAV offices in the country.
ParlaMint-NO_2008-04-23.ana.ud1988e1208	I guess I don't really have much more to add, but to make it clear that of course I don't have any political objection that you give basic support to people with autism who will then have to improve their situation as a result of diet. But what I must stress is that a political decision on this must be based on a professional assessment of a recognised professional environment, where it is said that such a diet, scientifically documented, could have an impact on autists. As long as I don't have it, as long as it's just about some experience and about something someone has experienced, and as long as there's no research or documentation, I can't use the means of popular fear to provide that kind of support. But we have to keep up. We know that there's always research going on, and as soon as it's possible to say that there's new results in such a context, I don't want anything politically against it.
ParlaMint-NO_2008-04-23.ana.ud1988e1215	I thank you for that answer, but I hope that something will go a little faster than that you have to base heavy scientific research projects on. Already today, Norwegian doctors, employed in the Norwegian health service, recommend this to children. In fact, it should be enough that Norwegian doctors in the Norwegian health service recommend a type of diet and think it should be tried. And if that gives you an effect, you're going to have the opportunity to keep doing this. It should also be difficult for the Directorate-General for Health to issue a guide. Sometimes it takes a very long time to get completely concrete research results that cover everyone, but today, in fact, NAV offices treat this very differently. Some parents get $1,730 in reimbursement each month, while others don't get anything. Often it is that once you have received a no, it is difficult to go further. So I hope you take a closer look at it, so that we get equal treatment from these patients as well.
ParlaMint-NO_2008-04-23.ana.ud1988e1222	I agree that it should be non-discrimination. If there are people who get e.g. basic support from the public interest because the diet should help in relation to the psychological state associated with autism, it is wrong. They shouldn't have. In that case, equal treatment means that they should have lost the benefit they receive. Food allergy is overrepresented by autists, so there may be many autists who get basic support for a special diet. But it is related to the food allergy, not to the psychological effects of the diet in relation to autism. I must say, with all possible respect for the Norwegian medical profession, that it cannot be that because if a doctor recommends some treatment, it should in itself be good enough to get basic support from the public interest. I think we'd have gotten a lot of people's fear in time, if that were the angle of incidence. We must probably have a slightly tighter set of criteria in order to approve basic support from the public interest. But as I said, if it's possible to recover, it won't be politically in the way of doing so. But we're going to spend money on what we feel safe on because we have enough money to spend on.
ParlaMint-NO_2008-04-23.ana.ud1988e1232	‘If there are compelling health conditions that make it necessary for foreigners to stay in the kingdom, this may, according to the new Foreign Affairs Act, be emphasised in order to provide for residence due to strong human considerations. A 5-year-old from Iran with severe tuberculosis has been expelled. Lack of treatment will lead to the death of this 5-year-old. How can the Council of State, in matters like this, ensure that people who can be expelled really get the vital treatment they need if they are sent back to their home country?’
ParlaMint-NO_2008-04-23.ana.ud1988e1239	Very many asylum seekers cite health as part of the basis for their application. In view of the fact that most countries from which asylum seekers come have significantly lower health services than Norway, it is necessary to introduce restrictive practices in matters where health conditions are the only or most central basis for an application for a residence permit. In the proposal for a new law on foreigners, the Ministry has shown that a concrete overall assessment must also be carried out on health issues. This also applies in cases where there are children who are ill, but the Ministry has pointed out that there should be a slightly lower threshold for granting a residence permit to children than to adults. The foreign student’s guidelines, which can be found on the foreign student’s websites, include: that a physical health condition as a starting point must be ‘acute and life-threatening’ in order to provide the sole basis for residence in Norway. At the same time, it is noted that it may also be appropriate to grant authorisation where there is a serious chronic disorder which, by its nature, is, or may become, life-threatening, if it is not treated. The guidelines also underline what is mentioned above that the threshold is somewhat lower in order to provide residence for children than for adults. However, an essential condition for granting a residence permit is that there is no adequate and available treatment provision in the home country. In this context, I would like to stress that I am confident that UDI and UNE have a good factual basis for the assessments carried out on the possibilities for treatment in the home country. In cases where it is necessary for a safe assessment, specific requests are made through the Landinfo source network.
ParlaMint-NO_2008-04-23.ana.ud1988e1252	I would like to thank the Council of State for the answer. The Christian People's Party is very pleased that the threshold has been lowered when it comes to giving residence to children. We are very pleased that one in the new Foreign Affairs Act has put into practice what one means by ‘strong human concerns’, and that this with serious health challenges is emphasised. The fact that the foreign agencies know a little more about what politicians and the Stortinge have meant when you're going to stay on this basis is very positive. That's why it surprises me that we have such things as this, where we have individual treatment. It's about serious illness, it's about children, and it's about land that's hard to return to. We are not going to go into individual matters - but when we have so many strong indications in the matter, is it not worrying that an overall assessment does not give another result? Is that a concern of the Council of State?
ParlaMint-NO_2008-04-23.ana.ud1988e1261	I've had the pleasure of going into a lot of things, in the sense that I've read the decisions, seen the background to the decisions, seen what kind of assessments are being made, and what kind of work is the basis for the decisions. I have to say that I feel very confident that if people who have applied for a stay in Norway based on a health situation are refused and returned, it is because the foreign authorities feel confident that it will be possible for them to receive treatment in their home country that is sufficient. There will certainly be situations where treatment could be of even better quality in Norway — but treatment in the home country will be sufficient. The question refers to the fact that a lack of treatment leads to the death of this 5-year-old, but I feel absolutely sure that Norwegian foreign authorities will not return this person if the danger is that he or she might die.
ParlaMint-NO_2008-04-23.ana.ud1988e1268	That this would lead to the death of this 5-year-old, there was a Norwegian doctor who said. If he does not receive treatment, it will lead to death. It's very serious. But what's also serious about this case is that you have reason to believe that there can be a precious treatment this child gets when it comes back to Iran. Then we are asked again to the question: Is it satisfactory for the Norwegian authorities that there is a medical treatment, when one at the same time knows that this is perhaps a family that does not want to afford this treatment? In short, the exposure that has been in this period is very positive; one has done a lot for children in this period. But the engagement must not stop there. We've got a law in place that specialises in children, but we need a practice that also does. Does the Council not agree that in difficult cases such as this one must have a liberal practice in the case of sick children?
ParlaMint-NO_2008-04-23.ana.ud1988e1277	We have a more liberal practice for sick children than we do for sick adults. As I said, I feel absolutely certain that if the foreign agencies return sick children to their home country, it is because they feel confident that they will receive adequate treatment in their home country. That also means that you take into account, of course, that treatment will not be available due to price. So it's a very thorough, proper and proper assessment done by people in both UDI and UNE in this field. This can also be seen in the fact that the percentage of this type of case in Norway is significantly higher than that in most other countries. That's because we don't go on chords with man, don't go on chords with people with serious health problems. But that doesn't mean that everyone gets to be, that means that someone has to be returned. And it's a policy I support 100 percent and have full confidence in.
ParlaMint-NO_2008-04-23.ana.ud1988e1285	‘The manpower situation and recruitment of nurses and other health and care professionals will be very important in the coming years, especially in the light of the upcoming wave of old age. Today, a nurse with three years of higher education has an average starting salary of NOK 280 000. What is the Council of State’s assessment of using wages as an incentive to recruit and maintain this profession in the care and care sector?’
ParlaMint-NO_2008-04-23.ana.ud1988e1292	I agree with the representative that the human resources situation in the care sector is a major challenge in the coming years. This was, among other things: mentioned in St.meld. No 25 for 2005-2006 on future care services, which were dealt with in the Stortingen a little over a year ago. We are facing an increasing need for personnel and competence, both in terms of capacity and in relation to multidisciplinaryism. Wages and salaries are one of several means of recruiting and maintaining staff in the health and care sector. Other instruments include the working environment, the professional environment, career opportunities and skills development. Unlike the other instruments, the pay conditions of employees are known as a result of wage negotiations between the social partners. Care professionals are women's dominated professions. The government set up the Equal Pay Commission in 2006, such as: should look at the effects of the sex-shared labour market and assess what could contribute to reducing pay differentials between women and men. This Commission delivered its report to the Minister for Children and Gender Equality on 21 February this year. The government has set out to meet the personnel challenges of the municipal care services high on its agenda. The strengthening of the local economy has helped us to achieve the target of 10,000 new annual works with relevant vocational training in the care sector by the end of 2009. In addition, the Government launched St.meld. No 25 a separate competence and recruitment plan for the municipal care services, Competence Lift 2015. The main objective of the commitment is to ensure adequate, stable and competent staffing of municipal care services. In the first few years, the main objective is to increase the formal level of education in the sector, ensuring gross access of about 4 500 health professionals per year. years, creating a wider range of disciplines and increasing emphasis on interdisciplinary learning, strengthening guidance, in-house training and continuing training, and contributing to the goal of 10,000 new annual works. There is a good dialogue between health and care authorities and education authorities to ensure a good capacity for education in the field of health and social education. In addition, the work of ensuring good access to staff for the care sector depends on the ability of municipalities to recruit and retain employees in their own sector and to make the profession attractive to young people and adults facing a choice of education. Parts of the care sector are likely to suffer from poor reputation. The best way to recruit and retain qualified personnel is to offer innovative and exciting jobs and to make this visible. Many municipalities succeed, but not all. The government's commitment to competence is part of a common promise for the care sector, where state authorities, municipalities, workers and educational actors must play a role.
ParlaMint-NO_2008-04-23.ana.ud1988e1311	I thank the Council of State for the answer, although I had hoped for a somewhat more positive attitude when it comes to using wages as an incentive. Today, then, nurses are afraid that 12,000 nurses may disappear into private business. We see that the search for the health professions goes back to the schools. If you go into a group as a clinical nutrition physiologist, you see that 40-50 pst. of this profession, which had been educated eight to ten years ago, has entered the private sector. When we know that we have a big wave of old age ahead of us, we should use pay as an incentive. I hope to get a slightly more positive answer related to the matter. This is because you want to hire 10,000 more, but then you also have to use some incentives to get it done. Can the Council of State make any more concrete statement?
ParlaMint-NO_2008-04-23.ana.ud1988e1320	When the government announced that it would work in cooperation with the municipalities to get 10,000 more annual works in this important sector during 2009, there were several of our political opponents who ‘blow’ a little, as we say in Engerdal, of that promise. Now everything indicates that we're going to fulfill it-- and maybe overfill it as well. Much more of the new annual works than is the case today are going to have vocational training - today a large proportion of unskilled. They're doing a good job anyway, but they need to be more competent, because those who need help are sicker. In terms of salary, I am absolutely sure that the representative Fredriksen knows very well that pay is not a government decision. It is determined by negotiations between the social partners, and it would have been wrong for me as Minister of Health to comment on ongoing wage negotiations. The fact that wages are one of several means of attracting and retaining people is certain, but what this should look like is a matter for the social partners.
ParlaMint-NO_2008-04-23.ana.ud1988e1327	I find it a little boring and sad to hear that the Council of State has such a passive attitude. One thing is that we need a lot of care workers in Norway. Another side of the matter is that the red-green government can really, if it wants to, decide whatever is related to the matter. When you know that caregivers are not really equal to men's workers today, you should at least think that you were interested in correcting this lack of equal treatment that is clearly present today. Let me say that it's a little sad that you talk to two tongues in a way: you want to have equality, but in reality you don't do anything about it.
ParlaMint-NO_2008-04-23.ana.ud1988e1334	It is quite incredible to hear the representative of the Progress Party say that the Labour Party and this government are not concerned with equality. I don't think I should say more about it. It is difficult for me to do something about the fact that the representative Fredriksen thinks this is both boring and sad, but that in this government there is some passive attitude to equality and to recruiting people into the care sector is actually completely wrong. We're the ones who put down the Equal pay Commission. We are the ones who have put forward a separate plan for how to get more people into the sector and give them more skills over the years to come. We are the ones who have promised - and who are now contributing significantly more to the local economy than the government that supported Fredriksen and his party in the past period towards the municipalities - that in this sector there will be more skilled professionals with more competence that we absolutely need. We've also suggested that we get a sufficient number of apprenticeships for health professionals. We have recruitment measures for the training of health professionals. We are now qualifying quite specific adult health professionals – and I could continue to do so with a wide range of concrete measures. That it is characterised as “passivity”, at least means that the Progress Party and this government add two different things to that word – passivity is actually not.
ParlaMint-NO_2008-04-23.ana.ud1988e1347	‘For many years there has been a serious problem with an excessive number of reindeer in large parts of Finnland. The Finnland range is low and the animals are so debilitated that they cannot be transported for slaughter. The situation is very serious for the environment, animal welfare and meat quality. What will the Council of State do to put an end to the unworthy situation?’
