ParlaMint-NO_2008-04-09.ana.ud1393e22	The representative, Hans Frode Kielland Asmyhr, will present a proposal for a representative.
ParlaMint-NO_2008-04-09.ana.ud1393e1226	Climate and environmental challenges require action in all sectors. The representative Syversen himself shows that there is a commitment to research in this area. This provides competence and a good professional basis for developing study offers. Today's Economy presented on 10 March this year an overview of new study offers from the autumn of 2008, showing that universities and colleges have already developed studies focusing on environmental issues and alternative, renewable energy sources. The Real Skills Strategy of the Ministry of Education, a joint commitment to the real sciences, is an important platform for strengthening educational institutions' prioritisation of technology and real-life studies, and thus also the provision of studies necessary to build our competence on climate issues, and technologies that can be used for the extraction of renewable energy. The current situation is hardly the number of study offers or capacity to study, but the number of young people interested and qualified to study relevant subjects. That's why motivation is important. Real science is also aimed at increasing young people’s interest in real science in schools, so that they later choose, for example, to start an engineering training with renewable energy as a specialisation. Real science may therefore be our main tool for providing the nation with the skills needed to be a leading renewable energy nation in the future. It is, of course, difficult for me to say something about the priorities of the 2009 budget now. I guess the representative doesn't expect me to do that either. We agree that it is important to recruit qualified and engaged students and professionals who will help Norway strengthen its role as a leading nation in renewable energy. I'm not going to let any reason go from me to tell both research environments and university environments how important it is now to build up and be well qualified to take research assignments in this area.
ParlaMint-NO_2008-04-09.ana.ud1393e1241	The Council of State is quite right that I have not intended to demand an answer from her, and I did not believe in any answer as to how this will be prioritised in 2009. I guess the Council of State doesn't know that either. My point is to have a political pressure on the chain that is necessary to actually get results that are in line with the rather ambitious climate agreement that the government has made with the opposition here in the house. Then we're talking about real science, and we're talking about everything from primary school, high school, up to higher education, and then research. Now we've been focusing on research in the climate agreement, but before the research, it's that you have students who have actually received a good education at a higher level. So my question is simply whether it's an assessment -- at least that you don't require it -- to give some specific incentives right in this area.
ParlaMint-NO_2008-04-09.ana.ud1393e1248	The situation is that the Council of State cannot instruct universities or colleges to have specific types of studies in their offer. But as I said in my first answer: I use every opportunity to encourage progress in both education and research in this area. It is very important, as the representative says, with a larger application for the real subjects and for science subjects. But I would also like to say that the whole of the subject area here is important. That's why, in the follow-up to the climate agreement between the Government and the Stortinget, which I am very pleased with, we're going to have an overall perspective on what measures we're going to take. This will also, of course, stimulate children and young people to start thinking about this very early.
ParlaMint-NO_2008-04-09.ana.ud1393e1257	This question, from the representative of Ine Marie Eriksen Soreide to the Minister for Research and Higher Education, is raised by the representative Inge Wohnning.
ParlaMint-NO_2008-04-09.ana.ud1393e1260	‘A number of countries have established research stations in the New Ålesund region. This is very positive. Is the Government satisfied with the level of information sharing between the present countries on the research carried out and the results achieved?’
ParlaMint-NO_2008-04-09.ana.ud1393e1267	The government agrees that it is very positive that there is increasing international interest in exploiting the unique research opportunities offered by Svalbard, among others. in the New Ålesund. Nine countries have set up their own research stations in New Zealand, and in addition India is about to set up a station here. It comes annually to researchers from around 20 countries to the New Ålesund. Svalbard is a central venue for global climate and environmental research, and this particularly applies to New Ålesund. The area is vulnerable to environmental impacts and it is the Government's objective to further develop New Ålesund as a «green» research station. It is important that the research carried out there, as well as in Svalbard in general, is of high quality, and that the different research environments cooperate and exchange information and data where this is natural. The planning of research activities needs to focus on environmental considerations and coordination between different research groups, such as: in terms of logistics - I mention e.g. scooter driving - is an important tool to prevent unnecessary environmental impact. There is already extensive cooperation between the research communities in the New Ålesund region. For example, Germany and France operate a joint station. New Ålesund Science Managers Committee was set up in 1994, and is an important forum where the institutions that have activities in New Ålesund can discuss opportunities for cooperation and exchange of data. However, the government sees that there may be a basis for stimulating even better cooperation, both in the New Ålesund and in Svalbard in general. This is why the Ministry of Knowledge has already started a process to look at what means we should use to contribute to this, and we have among other things. received good input from key Norwegian actors in the research at Svalbard. Svalbard Science Forum, which is under the Norwegian Research Council, has an important role in this context and has, among other things, establish a database on which research projects and results are recorded. The database represents a resource both for researchers and others interested in information on Svalbard research. The Svalbard staff member has recently decided that, in the examination of applications for permits and exemptions, it should be required to register research projects in the database of Svalbard Science Forum. This will help to strengthen the exchange of information and make research activities and results visible. The government, at the Ministry of Justice, will present a new big message on Svalbard policy next year. Here, research at Svalbard will be a key element, and issues related to how we can facilitate cooperation and information sharing will be addressed and followed up in this Communication.
ParlaMint-NO_2008-04-09.ana.ud1393e1280	I thank the Council of State for the answer. We agree that the development of the New Ålesund is unparalleledly positive, and that the still increasing international scope of research activity in the New Ålesund is positive. The background to my question is that Norway in practice covers quite considerable expenditure on infrastructure and on the operation of the international research effort in New Zealand. In reality, this means that Norway is subsidising research stations in other countries with not insignificant amounts, and it is not unreasonable to have an informed policy on this from Norway, which also defines conditions that ensure that this benefits Norwegian research and Norwegian research policy. Is it a problem for the Minister of Research that responsibility for this is shared among so many different departments - the Ministry of Justice for Svalbard Policy, the Ministry of Industry for Kings Bay...? [[President clubs]] [[President clubs]]
ParlaMint-NO_2008-04-09.ana.ud1393e1289	I just had to listen to the question before I knew what to answer. I do not see it as a problem that responsibility here is shared among many. In the Communication on Svalbard policy for which the Ministry of Justice has the primary responsibility and which they are now working on, all departments will be involved in assessing the various measures. As a research minister, I have a coordinated responsibility for research. This means that I have a good dialogue with my colleagues in the Ministry of Economic Affairs and Trade and in other relevant departments who are interested in research at Svalbard. In my opinion, we have good procedures for coordinating this, both in the Government and with the actors who are also there, for example. Norwegian Research Council and Employment.
ParlaMint-NO_2008-04-09.ana.ud1393e1296	Once again, I thank the Council of State for the answer. What makes the issue particularly interesting is, of course, that the research activity conducted on the basis of the New Ålesund is research activity dealing with very key challenges: biodiversity, climate challenges, etc. This means that there is even greater reason to facilitate the most open communication, not only with regard to the nature of the research projects, but also with regard to the results resulting from the research activity, and not least that this has a return value for Norwegian research in the identified areas. But I understand the Council of State's response so that we are aware of this, and that there will also be considerable efforts on the part of the Council of State to ensure this.
ParlaMint-NO_2008-04-09.ana.ud1393e1305	I can assure the representative. In the summer that comes - in June/July - we will have the annual New Zealand Symposium, where there will be research ministers from several countries, and how little of the intention is to get an insight into what has been learned since the last. And of course, it will be important to spread that knowledge and be open about the processes that lead to knowledge and the importance of knowledge for the important challenges, which the representative also points to. I have no doubt that Svalbard in general, and the New Ålesund in particular, is a unique research laboratory, precisely because one can study both the atmosphere and the impact on biology and other aspects of climate change in a completely unique way. So this we're going to benefit ourselves from, and I'm very happy that we can facilitate good international cooperation in New Zealand.
ParlaMint-NO_2008-04-09.ana.ud1393e1322	This question has been withdrawn.
ParlaMint-NO_2008-04-09.ana.ud1393e1328	I allow myself to ask the following questions to the Minister of Defence: ‘Many of the armoured vehicles shown by the Defense ‘haste-buyed’, as previously claimed by the undersigned, do not keep their dimensions. [[Iveco]] They are constantly getting an engine stop and have to be towed to the workshop and repaired by specialists. This results in the soldiers rather running around in unexplored, older vehicles that work. Are the Councils still satisfied with this situation?’
ParlaMint-NO_2008-04-09.ana.ud1393e1337	The purpose of acquiring Iveco vehicles was to quickly put in place light armoured patrol vehicles to strengthen the safety of our soldiers in Afghanistan. My assessment was, and this was also the very clear professional-military recommendation I received, that it was more important to get armoured vehicles in place that satisfied our demands than to carry out a normal acquisition. Such a process could take several years. In the meantime, we wouldn't have enough protection for our soldiers. The Iveco vehicles comply with the professional and technical requirements for the protection of small arms and mines. However, it is true that there have been certain entry problems with the Iveco vehicles, and I have previously answered this in Stortinget on questions from the representative of Bredvold. The technical challenges in question are very much on the way to «child diseases». We are in process with the manufacturer to repair these. Some of the use of Iveco vehicles has also exacerbated the problems. In order to prevent this, the Defence Logistics Organisation has clarified how the vehicles are to be used so that they are not at risk of being overloaded. There is a high international demand for armoured vehicles. The United Kingdom, Italy, Belgium and Spain have done as Norway and bought armoured Iveco vehicles. At the same time, countries that have acquired both these and other armoured vehicles have found that conditions in Afghanistan are extremely demanding. This is why most of the types of vehicles purchased by different countries have also encountered problems in Afghanistan. In this matter, I have been primarily concerned with quickly putting in armored vehicles to improve the safety of our soldiers. Despite these technical challenges, I believe it was absolutely right for the defence to acquire the vehicles and thus reduce the risk to Norwegian women and men in the field in Afghanistan.
ParlaMint-NO_2008-04-09.ana.ud1393e1352	I thank the Council of State for the answer. On Tuesday, 25 March, we will be able, for example, to discuss the following issues: read the following: ‘Panzer cars do not tackle Afghanistan’. There, those who have to do with the use of these cars, captains, etc., say that they have nine vehicles in a troop, and there are only two that are executable. There are seven pieces that are not usable. It's been like this all along, and you don't see any solution to it either. The result is that instead of having an engine stop in the field and being attacked, you drive around in an old vehicle, for example. Mercedes-Benz Groundcar, which works, so you get out of there. Too often it's about seconds when you're attacked and you're going to get away from a situation. And it's clear that if you get the engine stop and stay standing, you're going to be an easy target. That's why I ask again whether the Council of State is satisfied with the situation we have for our Norwegian soldiers in Afghanistan regarding safety in the case of cars?
ParlaMint-NO_2008-04-09.ana.ud1393e1365	There should be no doubt that I have had a great deal of focus on our soldiers in Afghanistan being equipped with armored vehicles. That was why we did not take the necessary test period of the vehicles at home. Following the advice of - and in consultation with - the head of defence, we assessed it there that when the vehicles were delivered, they were to be sent to Afghanistan immediately. Thus, they were also sent to Afghanistan for a run-in period which, ideally, was supposed to have been taken home. Now it is the case that both representatives from the supplier and representatives from the FLO have been in Afghanistan - and are regularly there - to correct the errors that have occurred on the vehicles. I also want to stress that in terms of having problems with vehicles in Afghanistan, we are not the only country that has it. It has many countries, because conditions are extremely demanding, not least climatic conditions with sand, etc. And per year. So today we have 12 out of 14 vehicles in service.
ParlaMint-NO_2008-04-09.ana.ud1393e1374	I thank the Council once again for the answer. What the Council of State says is not exactly what the users say in the Newspaper. It says that only two out of nine vehicles are in operation - two out of nine. I think that's very, very alarming. I also think it's completely wrong to test vehicles in a war, because there's a war we're in. It must be wrong that you do not have that drive-in period in a completely different and safe place. I also record that the head of the Defence Logistics Organisation, Trond Ragnar's son Karlsen, recently visited Afghanistan, as it says in the Newspaper. He says that the defense “must look at the vehicle situation”. That's not enough for me. I have no conscience not to raise this matter. I've done that, and I'm going to follow it up. The Minister of Defence said yesterday in this Chamber, Tuesday 8 April, approx. %d %s %d %s" is "%d %s" 10.30 - if I have noted correctly - that it should not be on money when there is a need for material to increase the safety of the Norwegian soldiers in international operations. If it is possible to obtain vehicles, the Council of State must do so at any cost.
ParlaMint-NO_2008-04-09.ana.ud1393e1390	Here I would say that this is not about money. In fact, it is about getting vehicles that are usable to Afghanistan in a timely manner. I received a clear professional military recommendation to send the vehicles to Afghanistan as soon as they were released from the supplier. It was a recommendation I supported, and I thought it was right from the point of view of the situation, that it was important to put armoured vehicles in Afghanistan. So it's not like you have to think that you can go to the store and buy armored vehicles. We can't defend that either from the Norwegian defense or any other country. With regard to the article referred to from 25 March, it is today 9 April. We've had people from the supplier to fix some issues. We've had people from the FLO present in Afghanistan, and we've also looked at how the vehicles are being loaded and used. Many initiatives have been taken here, precisely to improve the situation. Then we recognize that there are some entry problems with these vehicles, which we also share with several other countries. We have, as I said, full pressure to fix it.
ParlaMint-NO_2008-04-09.ana.ud1393e1402	I have the following questions for the Minister for Transport: ‘Three government councils called to the press conference on 31 March to tell them that the Government had decided that the State budget for 2009 should be allocated to the double-track Barkåker-Tønsberg. That's good for the travelers on the Westfold course. How is the progress plan for the heavily loaded Oslo tunnel and the double-track Oslo-Ski, which is a prerequisite for Oslopackak 3?’»
ParlaMint-NO_2008-04-09.ana.ud1393e1411	As I have informed you before, among other things. in answer to written question No. 817 from the Tenden representative, I have established a project group composed of the Railway Agency and the main user groups, which include the NSB, the Flytog and CargoNet. The project group has been commissioned to identify and submit proposals for actions that can already be implemented in 2008, together with actions that need longer time to be implemented, in order to redefine work on the renewal of the Oslo Tunnel and adjacent train sections. I will consider coming back with proposals in the context of the revised 2008 national budget if the group can present actions that can be launched as early as this year. Measures that require longer planning time will be brought back to me in the context of the 2009 budget and, if necessary, later years’ budget. As I have previously explained in various contexts, I give this work a very high priority, as this is about getting the most important and most busy route on the Norwegian network. The progress plan for the double-track Oslo-Ski is naturally dependent on both the planning situation and the state budget. When it comes to the planning situation, the double-track Oslo-Ski, compared to Barkåker-Tønsberg, is in the near future so far in planning that it is possible to start the work in 2009. The railway works now carry out distribution work related to the trajectory and stopping patterns, the use of tunnel drilling technology, whether it be single or two-speed tunnels, and the way in which the introduction to Oslo S is to be resolved. Once this has been completed, detailed and building plans must be developed for the project which must be subject to an external quality assurance before it can be taken up as a normal installation permit. The amount of time needed to set the level base will be used, among other things. depend on the municipal approval process for necessary regulatory plans. At this point in time, it is too soon to be able to give anything closer to when the double track Oslo-Ski will be ready for launch. The double-track Oslo-Ski is a very important railway project, and I will follow carefully the railway works' progress in the planning work. This will be assessed in the context of the National Transport Plan 2010-2019, which the Government is planning to submit at the end of 2008/2009.
ParlaMint-NO_2008-04-09.ana.ud1393e1422	I thank the Council of State for the answer. A press release on the Ministry of Transport's website says that the extension of the Barkåker-Tønsberg section, which has been calculated at NOK 1.37 billion, for example. will reduce the journey time three to four minutes on the Tønsberg-Oslo route. At an open hearing yesterday, the Committee gained knowledge from the Railway Agency that by granting 100 million. In the revised budget for spring, the Railway Agency will be able to remedy the acute problems in the Oslo tunnel. Can the Council of State promise to grant these 100 million? kr as the Railway Agency says must, and I would also like to believe that the project group will arrive?
ParlaMint-NO_2008-04-09.ana.ud1393e1431	What becomes the content of the revised national budget when we get that far is, however, far too early to say. Moreover, the Council of State never says anything about the content of budget proposals before they come to the Stortinget, so I can't comment on that. What will be the result of the project group's work, I also have no answer. They report regularly to the Ministry of Social Affairs, and they do so per year. Today we do not have material that matches the information given in the Committee yesterday, but I have reason to believe that they are incorrect. But we've asked them to do a job, not only in terms of heads and ears, but also to see what kind of action it is possible and practical to take this summer, because a lot of this will require a few routes to be stopped, and it's a complicated system. This is also why we have a wide-ranging group of projects. So we'll have to come back to that.
ParlaMint-NO_2008-04-09.ana.ud1393e1438	I thank the Council of State for the answer. To that it is said that the train operators have said that they will be very willing to stop the trains in large parts, and they are also drivers. At the open hearing yesterday, we were also confirmed that the Oslo-Ski route is a national issue. It's a highly populated area. It's a stretch out into Europe and can be the start of the first high-speed train. It's also a prerequisite for Oslopackak 3 that it's a package to be climate-rated, so here's actually the council with the key to whether we're gonna be able to get climate-rated and get started with Oslopackak 3. According to the evening of yesterday, the Christian People's Party representative Hans Olav Syversen says that the Council of State is betting on 'wrong double tracks'. I'm excited to hear the political and professional assessments of what's behind her spending so much money on this stretch of Barkåker-Tønsberg and pushing Oslo-Ski out in time.
ParlaMint-NO_2008-04-09.ana.ud1393e1447	We have a national transport plan today that was provided by the previous government and signed by the previous majority. The action programme in this national transport plan is launched by Barkåker-Tønsberg in 2006. It is thus planned to start in this period. Oslo-Ski doesn't have such a horizon, neither in relation to the action program nor the planning, for which I also did the right thing in my main response. So the simple, realistic and correct answer to the question is simply that the previous majority in the national transport plan has prioritised Barkåker-Tønsberg far higher than Oslo-Ski. During this period, we follow up on our previous decisions, not least by allowing much more money than one has done in the past, and so we also get speed when it comes to the development of railways in Norway.
ParlaMint-NO_2008-04-09.ana.ud1393e1457	This question, from the representative Svein Flätten to the Minister for Transport, will be answered by the Minister for Fisheries and Coastal Affairs who will direct him.
ParlaMint-NO_2008-04-09.ana.ud1393e1460	My question is quite right to the Minister for Fisheries and, in this regard, not least to the Minister for Coastal Affairs: «In a few years, the North Police can be completely gone, according to researchers. Although the evolution is alarming, it will in any case update new sea routes between, among other things. Northern Europe, Asia and North America. The need for different types of preparedness/rescue, oil protection, etc. will grow. What have the Council of State and the Government done to identify developments and future needs?’
ParlaMint-NO_2008-04-09.ana.ud1393e1469	A number of research reports point out, as the representative also points out, that the Arctic will be more or less ice-free in summer time in 20 to 30 years. Climate change can contribute in a few years to the melting of the sea in the northern regions, thus opening up new patterns of sailing. Opening the Northeast and a transpolar route may reduce transport costs between the West and Asia, but shipping through vulnerable areas may also be a subject of conflict. Accidents and emissions in such areas will be associated with a significant risk to all those involved. Establishing well-functioning systems for search and rescue and oil protection in sparsely populated areas is a challenge. An important part of the government’s North Sea effort and a central part of the Ministry of Fisheries and Coastal Affairs’ responsibilities is the work on maritime safety and oil protection under harsh weather conditions with strong winds, high waves, low air temperature, low visibility and ice availability. In line with the North Sea Strategy, the Ministry of Fisheries and Coastal Affairs is in the process of identifying ongoing processes and projects related to maritime transport and oil protection in such circumstances. The Ministry now also launches a pilot project for technologist development of high-wave lenses. In St.meld. No 14 for 2004-2005 on maritime safety and oil protection, a risk analysis of ship traffic in Norwegian waters was submitted by 2015. The message proposes measures to meet an expected increase in risk. In the north, we have already taken important measures to reduce the risk of accidents. Sailors further off the coast of the entire route from Vardø to Røst and Vardø traffic centre are established. Possible ports of refuge have been identified and upgrading of the depots with oil protection equipment has been started. In 2006, Norway and Russia signed a Memorandum of Understanding to strengthen cooperation in maritime safety and oil protection. This is specifically followed up by a steering group, two working groups on maritime safety and oil protection, and regular joint oil protection exercises. Russia has also taken the initiative of an international cooperation project to increase the safety of the development of large industrial projects and to minimise the risk of accidents. The Ministry of Fisheries and Coastal Affairs will take part in this project by the Norwegian side. We follow climate change and participate in processes both nationally and internationally in order to strengthen maritime transport and oil protection preparedness in the northern regions. Although it is likely to take time for new sea routes to be put into service, we already have to prepare for increased traffic to change the risk picture and the emergency requirements as well as the need for marine surveillance.
ParlaMint-NO_2008-04-09.ana.ud1393e1484	I thank you for your answer. I understand that the government believes that the police will decrease, and that the need here is increasing. In this, call it, the problem area will be many conflicts between states - between Norway and other powers, such as the United States, Canada and Russia - and there will be conflicts between industry, commercialism, defence, foreign and oil and energy. Does the Council of State, which also represents the part of the country, think that there is a need for closer coordination at an early stage in order to look at the areas of conflict and that it is necessary to sit down and make a broader report on this from the government team?
ParlaMint-NO_2008-04-09.ana.ud1393e1491	I agree with the representative that opening up new sea routes in the north could open up many discussions of a kind of international law - in relation to the indigenous peoples who live in the areas, in relation to environmental issues and resource use - far beyond the responsibilities that I manage in daily life. The government has put forward a Northern Region Strategy and has its own Northern Region Selection. It is clear that in all areas, including new routes in the north, good coordination between departments is important. And I can assure the representative that we will have it in the future.
ParlaMint-NO_2008-04-09.ana.ud1393e1496	I definitely believe that, but I want to emphasize again what I'm doing here. In the VG last Sunday, North Region Expert at the University of Tromsø, Torbjørn Pedersen, talked about some of these conflict areas, and, as I say, there are quite a few. I think a lot of those involved don't really know which agencies are responsible for what. It really turns out to be clear in connection with my question, which was addressed to the Minister of Transport, who had nothing to do with it. It's just a little bit of detail, but it shows that this is a huge area, when we assume such a change in these areas. I want to challenge the Council of State and ask, even though I realize that it may not be primarily her responsibility, if it is not her opinion that you should see this in an even more coordinated form from the Government.
ParlaMint-NO_2008-04-09.ana.ud1393e1505	I fully agree that the various departments must be coordinated both on the issue we are discussing here in concrete terms, and also in the North Region policy as such. It is also important that we actively participate in international processes, so that we are as coordinated as possible with the world around us. In this context, I will limit myself to talking about what is specifically my responsibility in relation to new sea routes. There I'm busy with three things. One is that we have the right risk analyses, that we have a readiness that is dimensioned in relation to it. The second is that we work bilaterally with Russia to influence the standard of safety and preparedness in northern waters. The third is the work in which we participate in the IMO, which lays down the maritime legislation. A fresh example in this way is the new ban on the use of heavy bunker oil, which is not least relevant to maritime transport in the north.
ParlaMint-NO_2008-04-09.ana.ud1393e1515	The question to the Minister for Transport is: ‘In the context of the call for tenders at Hardangerbrua, Skanska, the contractor who had the cheapest offer for the construction of access routes and tunnels to the bridge, announced that they would claim compensation for expenditure on tenders and lost profits. Other major projects have also been stopped due to this. cost-reimbursement. What does the Council of State do to improve both project work and quality assurance and to avoid the loss of tenders and liability if projects need to be re-examined due to cost constraints?’
ParlaMint-NO_2008-04-09.ana.ud1393e1524	The level of prices in the construction market was strongly increasing in 2007, and the interest in individual competition was often less than desirable. Development was very imprecise. Several competitors were therefore terminated without a contract being concluded. For the road project rv. 7/rev. 13 Hardangerbrua was the supply competition, divided into two main parts, first worked on the supply routes and then worked on the bridge itself. The result of the competition for the routes of supply gave prices higher than the cost estimate for this part of the project. On this basis, the Ministry of Transport considered that there was a significant risk of exceeding the cost frame for the entire project, i.e. the route of administration and the bridge of collection. Since the Ministry of Transport is not authorised to impose obligations on the State in addition to the powers conferred by the Stortinget, the State Road Administration was asked to terminate the competition for the routes of entry. This was almost done for in St.prp. No 24 for 2007-2008. Road project cost report is prepared using the so-called estimation method. The method has been developed by the State Road Administration in cooperation with NTNU and SINTEF. The method is based on so-called step-by-step calculation, an acceptable way of calculating estimates. The report on the cost of major projects is being made in several stages. For Hardangerbrua, the estimate of costs was first quality assured by the regional cost group, then by the Road Directorate and finally by the external consultant. The quality assurance process for this type of project is therefore very comprehensive and provides an extra high level of assurance that the management framework and cost framework are defined within the accuracy requirements and uncertainty established. Statistics also show that the quality of the Road Administration’s estimate of costs and project work/management has developed very positively in recent years. The overall survey of final projects on a national basis shows that the difference between the final cost and the original estimate of costs is very small. In a labyrinth market that we have now seen, there will be a significant risk of cost speech when new projects are launched on offer. The state road system is actively and systematically working with measures and the further development of management systems, with the aim of reducing this risk. In Question Time on 19 December 2007, in response to questions from the representative of Arne Sortevik, these actions were addressed in detail. A new estimate of the costs has now been prepared for Hardangerbrua. The quality assurance of the estimate by the external consultant is in progress. If the result of this process shows that the cost frame of the entire project is exceeded in relation to the cost frame presented to Stortinget, then the matter must be resubmitted to Stortinget.
ParlaMint-NO_2008-04-09.ana.ud1393e1543	Thanks for the answer. Both the answer and the circumstances at the back know both the questions and the answers, so the Council of State. What is new in this case is that one of the companies involved in the tendering process records that there is no contract being written. They're left with the lowest price, and they're wondering what's going on. The question concerns the two general aspects concerned here, which were perhaps not affected in the response of the Council of State, the extent to which the State and the trade union have the opportunity to say no to the tenders obtained, whether the price is too high. Therefore, the first follow-up question is: how does the Council of State think it can be done and secured on a general basis, and how has it been done in this particular case? In any case, it is obvious that the contractor does not perceive it this way, but reacts so strongly that it is actually considered to be the case.
ParlaMint-NO_2008-04-09.ana.ud1393e1552	The Ministry of Transport and the offices of the Ministry of Transport, i.e. the Railway Agency and the State Road Administration, must adhere to the rules laid down by the Stortinget. The legislation states that if we see that a cost framework can be broken, we will stop the project, i.e. if we see that it will be a significant crack. When the supply of the two routes of supply was so high, and when the indications in the market at the time were such that prices were above what was calculated, and so broke with the good trend of the State Road Service over a long time, it was the State Road Service's duty to comply with the legislation that a halted project. Those who offer government projects are aware of this, and they know that there is a risk that it will have to go back to the Storting if the frame is exceeded. So what we have done in this case is simply to follow the code that Stortinget itself has suggested that we should have for that type of project. I understand that contractors found this to be broken, and that one has done a lot of work that, at least in the blink of an eye, may seem to be a failure. The offer has now expired, so you can assess whether you can use it again. But as long as you don't change the game rules, this is just the way we have to do it. I believe that quality assurance in the future has been very extensive, and in this case there was agreement between what came from an external consultant and what came from the State Road Administration.
ParlaMint-NO_2008-04-09.ana.ud1393e1559	Well, the Storting has a budget regulation. However, it is also the case that those participating in a tendering procedure have laws and guidelines to deal with, among other things. the law, regulation and administrative provisions relating to public acquisitions. What the contractor in question is highly doubtful about is whether there is actually a factual basis for claiming to stop in this case. I ask concretely, should the lowest-offer contractor be provided with the basis of calculation? That's one follow-up question. The second is on the estimation method, which the Council of State concerned. In this case, in this case and in this project, there was also, in the same way as in some other major projects, criticism of the external quality assurance both against the use of the estimation method of calculation and for the lack of traceability in the calculations. Therefore, there is still some uncertainty about the state road system's own methodology of counting costs on large projects.
ParlaMint-NO_2008-04-09.ana.ud1393e1566	In order to take the last one first, the State Road Service has a very good statistics on whether it is right when it relates to prices that are also reflected in the market. As was the case for the construction industry and for the total construction industry in 2007, there was a heavy cost increase that no one envisaged, nor the State Road Administration. So there puts a corpse in the class of contractors within constructions and installations in total. This is what the Council of State would like to stand up and defend. When it comes to transparency, we also have legislation about it. I see per. today no reason for it to change. If the contractor chooses to go to a case on the basis of which it is based, then the legal entity will have to go in and assess whether it has something to do with the contractor, or whether it finds that the State Road Service has acted in line with the law that is in force, and has not violated any rule.
ParlaMint-NO_2008-04-09.ana.ud1393e1576	I will ask the Minister for Transport the following questions: ‘In Uppland, several major road sections have been planned for many years without money being included in development. Plans are being investigated while road standards are getting worse and the number of accidents is rising. Will the Council of State review all road plans in Uppland and ensure that these are realised?’
ParlaMint-NO_2008-04-09.ana.ud1393e1585	The municipalities are planning and building authority and are responsible for providing approved municipal sub-plans and control plans for the road projects. The Swedish Road Administration assists the municipalities in this work, but with its own law home, § 9-4 of the Planning and Building Act, it also has the ability to develop and develop road plans. In all countries, physical plans for road projects are developed as the basis for the national transport plan and the follow-up action programme. It is the Stortinget that established the financial framework. There is a great need for road investment, which has led to approved physical plans for far more projects than there is room for prioritisation within a defined framework, even with this government's increase in the financial framework for road construction. The Ministry of Transport will assess future priorities of road projects for the national road network through work on the National Transport Plan 2010-2019, both in Uppland and in the other counties of the country. The country of origin, like the other counties, has a deadline until 30 April to submit its priorities. The Ministry, through its work on the national transport plan, will also decide on the financial framework for investment on the national road network. The specific priorities within these frameworks have a decisive impact on the county today. As a result of the planned administrative reform that will enter into force from 2010, priority will be given to actions on this road network as an important regional policy task.
ParlaMint-NO_2008-04-09.ana.ud1393e1596	I thank the Council of State for the answer. I wonder if the Council of State has any overview of all that is planned and that has not been implemented, and the costs of all these plans? Then I believe not only the costs of the plans, but the loss of the road capital that each year agrees because you do not implement what is planned.
ParlaMint-NO_2008-04-09.ana.ud1393e1603	The state road service, which is my profession in this area, has a good overview of plans that lead in the various counties of the country. The state Road Administration is involved in developing these plans in cooperation with municipalities and county councils. So I'll believe and believe that I can confirm that you have a good knowledge of this. The existing national transport plan has priorities for all countries, including Uppland. With this government, we have been given a lift in the roadways, which means that, contrary to what one has had before, more means have been given to maintain and build new road sections. It will also benefit Uppland County. Then, of course, discussions about the next national transport plan remain, about which path Oppland wants to enter. It has a major impact on Uppland County through the hearing process, and I want to listen carefully to what priorities they want to focus on.
ParlaMint-NO_2008-04-09.ana.ud1393e1612	I thank the Council of State for the answer. I'm glad she mentions that maybe something comes to Uppland-- we'll see. Now it is that the loss of road capital is becoming very large. We have so many accidents in Uppland, and the cost of losing road capital and accidents is now so great that if the Stortinget or Vegvesenen invests $1 in planned road projects in Uppland, I think society gets ten back. Does the Council of State see this context?
ParlaMint-NO_2008-04-09.ana.ud1393e1621	This Council of State is completely overestimated that there are huge socio-economic gains to be gained by stepping up the development of transport. It applies to both road and rail. It's about reducing the risk of accidents. It's not long since we had a tragic accident in Uppland. It's not long since I had one in my own neighborhood, which also owes it to the same thing, that one has too narrow a roadway, for bad road shoulders, and a road capital which unfortunately is reduced. We're working on this in the Government. We have increased the maintenance budget to stop additional increases in the maintenance lag. We are also increasing the rate of investment, and we are now working intensively towards the national transport plan to see how we can achieve an even more positive development in the transport sector in the country.
ParlaMint-NO_2008-04-09.ana.ud1393e1633	I allow myself to ask the Minister for Transport the following questions: ‘The Bondevik II Government set up a working group that delivered its report to the Ministry of Transport in April 2006 entitled ‘New common parking regulation?’. Several proposals are made, among other things, to clean up current enforcement practices. Now, two years have passed without the government having taken up this report, this is very unfortunate in view of all the drivers who are being treated unfairly. When will the Council of State put in place a new and better regulation?’
