ParlaMint-BE_2015-03-10-54-commissie-ic108x.u1	Questions Nos 2019, 2309 and 2688 by Mr Top lapsed.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u85	Mr President, before I answer the questions, I would like to mention that it is essential to distinguish between jihadist and Salafist. One's not the other. There is no question of a jihadist in the Defence. The General Intelligence and Security Service, the SGRS, currently plays an important role in the collection of information on radicalisation and Belgian jihadists. Moreover, it is the only Belgian intelligence service which also has the task of monitoring the situation abroad. The exchange of information between the SGRS, the OCAM, the Sûreté de l'Etat, the judicial authorities and the police services takes place within the legal framework and to the satisfaction of the various partners. It is clear that it is the responsibility of the SGRS to ask the foreign partner services to what extent they can make their information available to other Belgian services. The storage, management, access and use of this information must be in accordance with current Belgian privacy legislation and the Classification Act. The mutual need for information is addressed through frequent formal and informal contacts with Belgian partners. As far as a more dynamic database project is concerned, there has not yet been any consultation with my colleague from the Interior. At present, the General Intelligence and Security Service, ADIV or SCRS, has no evidence that any military has been radicalised in such a way that its conduct would no longer be in conformity with the values of Defence or would jeopardise its orders. But know that in case of need, Defence has all disciplinary measures and statutory measures, up to and including dismissal. This is an important step, which must be taken. Two former soldiers are currently present in Syria. One has already left DOD in 2008, after two years of service, and was already known for his relations with radical circles. The second, recently published in the press, had already been dismissed after a long absence before the crisis broke out in Syria. During his brief visit to Defense, he showed no sign of radicalism. In the meantime, a former soldier returned wounded. His behaviour soon after taking up his duties attracted the attention of the ADIV. He was fired for desertion before leaving for Syria. So he was outside the DOD before he left. Finally, a reservist died in the battle in Syria. Since his radical behavior soon became known to our services, he was no longer summoned. He left the army in 2010. Since 1 January 2013, all military candidates have been subject to a screening of military history, both in terms of crime and extremism. The SRMS uses a variety of research methods legally provided for in the Act to monitor military personnel. The SRMS combines various elements that may constitute an indication of radicalization in order to detect members who require further monitoring. It should be recalled that these investigations are dependent on and exculpatory. Appropriate military authorities receive regular awareness briefings from the SGRS.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u86	Thank you, Minister, for the answer. The figures show that it is a small problem. However, I believe that we must continue to respond adequately to this. Steps have been taken since 2013. As far as the legal framework for intervention is concerned, you have made it clear in your reply. There must be certain behaviours, because if people have extremist ideas, they have no proof of that. We must make sure that people with different insights and evil intentions do not use our defence apparatus for their ideas, insights and evil intentions. You have spoken about disciplinary sanctions and statutory penalties, which are possible today for certain conduct. I believe that we must look for a framework in which people who have extremist ideas can be excluded from the army. That's not obvious. You have given four examples, which are of great concern to us, and there will probably still be examples. I would also like to share that concern here. We must continue to look for a legal framework to ban people with certain ties and extremist ideas from the army.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u87	Minister, thank you for your answer. I would like to return for a moment to the creation of this dynamic database. I am the mayor of a small town in the province of Luxembourg. In this commune of 5,300 inhabitants, about 10 people are monitored for a problem of temptation to radicalize. Others with the same suspicions stayed there but left her. In my view, an association of local authorities, who are often best placed to gather information about certain citizens, would be desirable in order to avoid some flogging sometimes occurring in the context of information sharing. I therefore stress the need to make progress in this area. We would all gain in terms of security.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u88	Minister, four people are involved: a reservist, a deserter and two former soldiers who left on the battlefield. That number is higher than I thought. Still, one of these people was injured and another was killed in combat. Moreover, at least one of these individuals was known for its affinity and proximity to radical environments.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u89	The Reservist.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u90	This is an element that, in my view, clearly allows for the removal of a person from the army. Indeed, having close ties or contacts with radical circles does not seem to me to be in line with the values conveyed by the army. We need to be clear about this. Your predecessor had made it very clear – that's what bothers me somewhat – that a whole series of people did not have their place in the army and that he was going to make sure that they were left out. Three years later, we are told that nothing can be done because we must demonstrate that behaviour is not adequate. It is known, however, that sometimes the transition to action is very difficult to anticipate. I therefore call for caution. We train people in weapons handling, in warfare techniques. They are given a series of information. If necessary, they are provided with military information. It is, in my view, very worrying that Belgium has been able to train these people and that the Belgian Defence and Taxpayer have allowed their training. I therefore invite you to review this system and to ensure that in the future we are better protected against extremists who come to the army to be trained in order, then, to threaten our population or other populations. Another comment. I urge that we finally have a more dynamic database. This question has been on the table for some time. There is some leak between the State Security and the SSRS. I hear that some information would still not be shared. In your answer, you said that there was not yet a database and no consultation with the Sûreté. It is important to be certain that persons who have already been identified do not find themselves in the armed forces because the screening of the SGRS would not have identified them as worrying. On the other hand, I am pleased that, since 1 January 2013, this small amendment that I proposed to screening has made it systematic today.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u91	Let me give you some clarifications. Keeping radicals out of the army can be done when recruiting. When recruiting, it's clear. Obviously, if a person has ideas about the jihadist cause or links with certain groups of the same order, he or she will not be engaged. The Reservist's example is just as clear. We don't call him anymore, that's all. But for the career soldier, paid by the Defence, dismissal for extremist ideas is really difficult. On this subject, I made it very clear. If there are such people, we know them and follow them. At a time when their actions exceed an acceptable level, they must be held accountable. With regard to the database, I would like it to be dynamic, but we must take into account the privacy law. Since the events in Verviers, showing cooperation between the various intelligence services, there has been a great deal of predominance in favour of the latter rather than in the establishment of large structures. It is not overnight that we are going to create a dynamic database. It is the legislator who must initiate it and not the Defence.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u92	I continue not to be reassured because once again, the move to action is something extremely difficult to anticipate in some cases. Since this is a particularly sensitive and sensitive issue, involving the armed forces, persons trained in the handling of weapons, etc., it is permissible to apply specific rules. As far as dynamic data exchange is concerned, I know that a number of elements still need to be better dealt with today. For example, when a foreign intelligence service (to be clear, U.S.) provides data to Defence, there is no authorization to transmit it to other intelligence services. I think that these issues need to be addressed in order to have databases that are not incomplete.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u93	Minister, I understand that there is a need to operate within the provisions of the law, and we all agree on that. Our concern is that people with evil intentions are walking around in the army and that one day they will use their knowledge and infrastructure against our system. I think we should try to avoid that. How close is the screening that has been in place since 2013? Perhaps it should be examined and evaluated? Can you keep certain people with different ideas and other insights outside of the Defense Department? You say that all legal possibilities for doing something are exhausted. Perhaps it is necessary to consider what additional initiatives can be taken in this context?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u94	Debates of the European Parliament 2484 by Mr Maingain and No 2484 by Mr Martin and others, on behalf of the Group of the European People's Party (Christian-Democratic Group) 2521 by Mrs Jadin were postponed.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u95	Madam President, I apologize for my absence earlier. I have therefore missed a number of answers from the Minister, but I had a discussion of a number of legislative initiatives in the Foreign Affairs Committee. On 10 November 2014, Defense signed an agreement with the city of Ostend for the use of the military sports infrastructure in the Boatsman Jonsen barracks, for the benefit of schools and sports clubs, recognised by their federations. Defense would have decided not to make the gym available anymore. The agreement has now been terminated by the city of Ostend. How frequently and by which schools and/or sports clubs was the infrastructure used in 2012, 2013 and 2014? Please provide an overview, with a distinction between the different rooms provided. What compensation was due to the Defense Department by either the city or the schools and/or sports clubs? How is the fee calculated? What total revenue did this yield for Defence in 2012, 2013 and 2014? Was there any compensation in the same years that was not paid on the due date? If so, when and for what amount? Was the agreement not respected in other areas in these years? If so, on which? Why is the gym no longer available? The agreement provides for consideration by the city, in particular maintenance of the green zone at the barracks and cleaning of the main streets and parking for the mess. Will the DOD now take these tasks on its own account?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u96	Turn and power room by the Hermes Athletics Club in 2012: 5 901 euros. In 2013: EUR 2 903. In 2014: EUR 2 288. Power Room the Royal Ostend Swimming Club: 4 139 euros. Mr De Vriendt, I will provide you with the data. I think this question goes beyond the framework of an oral question. Allow me to give you my appreciation as a minister. I will answer your specific questions. With the exception of some invoices disputed by the city, no problems or shortcomings related to this concession have been identified in recent years. What is the problem, however? Due to possible distortions of competition with the civilian sector and increased military use, the Defence Department has decided to remove the use of the fitness room from the new agreement. In addition to operating costs for the hall, the agreement does not provide for any consideration by the city for the use of the facilities. The costs charged are the variable costs, as used by the Defense Department. In 2012, this total amounted to EUR 22 052, EUR 9 503 in 2013 and EUR 6 370 in 2014. The total for the three years was 37 925 euros.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u97	Mr. Secretary, you started by giving an overview. In my question I also asked for a written summary. It is not intended to give an oral overview here. I would like an oral answer to other questions, including why the gym was removed from the agreement. You replied. So there's no problem for me. I had another question about the city's consideration, in particular the maintenance of the green zone and the cleaning of the main streets. The city did this in exchange for using the sports infrastructure. If that goes away, is there a solution? I take it the DOD is taking this on their own?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u98	According to my information, the agreement states that, in addition to the operating costs for the venue, there is no consideration from the city for the use of the installation. I don't think there's any consideration from the city.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u99	In the file in Ostend I have read it differently, but well, I will verify this. Bedankt.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u100	Mr President, Minister, this is a mid-February issue. I would have wanted to ask you before, but the agenda made it impossible. I will try to update my question as best I can. The B-FAST mission to fight Ebola – in which Defence played a major role – was launched in Guinea. This contribution took as its main form the provision of a single mobile laboratory, B-Life, installed in a N'zérékoré health centre where the team confirmed the possible presence of the virus in patients. At the same time, volunteers have contributed to the continuation of a new Japanese antiviral test, the first results of which are so encouraging that its employment has just been extended to other health care centres. The success of this mission was such that while the B-FAST mission was expected to stop in principle at the end of February, the managers of the care centre of the NGO ALIMA called on the Belgians to extend their mission for a third or even a fourth term. Indeed, the Belgian lab was able to accurately observe how this experimental antiviral works in the body of the infected patients. Knowing that with Ebola rapid reaction is paramount, the laboratory therefore represents an undeniable plus. I would therefore like to ask you, Minister, the following questions. How do you assess your department's involvement in the B-FAST team in the fight against this terrible epidemic? How did this very valuable contribution by Defence fit in with the funds made available by Development Cooperation? Was it a coordinated and integrated approach? What assessment do you draw up of the very strict health security procedure put in place for the members of this B-FAST team on site but also on their return to the country? How did it organize itself during the first rotation? How do you position yourself on Belgium's request to extend the B-FAST mission for a third or a fourth rotation? The United States has announced the withdrawal of its troops deployed to West Africa to fight Ebola, as the epidemic is in sharp retreat. Is it not, however, a risk that the international community will withdraw prematurely in this struggle? Finally, we know that the idea is, at the end of this mission, to leave this B-Life laboratory at the disposal of NGOs. In place of this, are other similar development projects under consideration?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u101	Mr Pirlot, the Defence's support for the deployment and establishment of the B-Life laboratory in Guinea has led to the rapid operationalization of this instrument. Thanks to the presence of support staff from Defence, among others, specialists at the Applied Molecular Technology Centre were able to focus on the integration of the laboratory and the development of procedures. Defence support has therefore greatly contributed to the success of B-Life's deployment. During the first two months, the Mission was able to receive financial support through the B-FAST processes. For the third rotation, in which B-FAST no longer participates, Defence continues, at the request of the Prime Minister, to provide staff support for a period of one month. Development Cooperation provides financial support for the operating costs of the laboratory during the third rotation. As for the costs incurred by the Defence, they will be billed to the NGO ALIMA. Defence's expertise in the implementation of B-Life is not unique and Defence is not planning to extend this support mission. As regards the health security of the B-Life and B-FAST detachments, Belgian civil protection seconded specialists during the implementation of the secondment. Such personnel shall continue to ensure the health security of deployed personnel and shall take all necessary measures to ensure safety upon the return of personnel. It should be noted, however, that only laboratory personnel are in contact with samples containing Ebola virus, under very strict safety and protection conditions. Under no circumstances are laboratory and support personnel allowed to contact potential Ebola patients. Finally, it is not for me to comment on the withdrawal of the capabilities of other nations or on the future of the B-Life laboratory because it is a private capacity (UCL).
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u102	Minister, are other similar development projects under consideration?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u103	You have to be clear. B-FAST was under the responsibility of the Department of External Affairs. We were in support of B-FAST. Defence is therefore not considering a replacement project.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u104	Madam President, Minister, first of all, it is a matter of welcoming the importance of the symposium that you recently organized on the future of your department by the IRSD. I also wanted to thank you for the lapsus you had made to me by invoking a "weak" defense, instead of a "fiable". In your conclusion, addressed to the Minister of Budget, you explained that you had applied to the government for an extension of the 2015 Defence budget during the budgetary control scheduled for the end of March-early April. You would like to be able to "proficiate" a large part of the interdepartmental provision, a provision also coveted by many other departments. I would therefore like to ask you the following questions, Minister. What exact "extension" did you ask for for your department? Does this concern only the interdepartmental provision? Does it concern only the 2015 budget year or also the following? If this money is released in the next budget conclave, what should it be used for in your department? If this money were not to be released, and therefore at the current level of your budget, what would be the consequences for your department's investments, staff and debt?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u105	Mr Pirlot, I confirm that during the budgetary control for 2015, I intend to use the interdepartmental provision for investment and security. As stated by the Court of Auditors in its comments and observations on the draft State budget for the 2015 budget year, the Defence budget shows a significant negative balance compared to the existing one. I will be obliged to ask for the intervention of the interdepartmental provision also for the years to come. If the means are not granted, I will be obliged to postpone the payment of a few invoices to the following years, which would be detrimental to the budget and to the image of the State, since there would be moratorium interest to be paid.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u106	Thank you, Minister. You did not tell me the amount of the budget extension you planned to ask for. Don't you have a little idea about that?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u107	I have an idea, but there are some things that are being discussed within the government and not in a parliamentary committee room, nor in the media.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u108	Debates of the European Parliament 2577 by Mrs Fernandez Fernandez was postponed. Debates of the European Parliament Mr Ducarme has converted 2698 into a written question. Debates of the European Parliament Mr Top has been postponed to 2702. Debates of the European Parliament Mrs Hufkens' 2718 expires. Questions Nos 2722 by Mr Top and 2731 by Mr Buysrogge were postponed.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u109	Madam President, Minister, a long time ago, in feudal times, it was the most normal thing in the world to award princely roaring military degrees and titles, which were, however, not in line with the qualifications and military capacity of these persons to carry out these functions in practice. In a very recent past, especially on March 25, 2010, when our king was still a prince, Prince Filip was promoted to lieutenant general and vice-admiral, the highest standing degrees in the army, the air force and the navy respectively. Since 21 July 2013, he has been a general of the Belgian army, four-star general of the army and commander-in-chief of the Belgian army. His brother, Prince Laurent, for his part was awarded the degree of captain-in-the-sea on 26 June 2004, the highest degree among the chief officers of the Navy. His sister, Princess Astrid, finally became a member of the armed forces as colonel of the medical component on 22 May 1997, the highest degree among the chief medical officers. The degree awarded to Princess Astrid did not, strictly speaking, exist; the correct name is the medical colonel, but it is quite obvious that this degree under this name could not be awarded to the person concerned because there was no qualification to go through life with the title of physician. Everyone agrees that this whole family, both then prince, present King Filip, Prince Laurent and Princess Astrid, would never have had these degrees without princely status. They therefore have no capacity to climb that high in the military order. I find the granting of military degrees to people who do not have the necessary qualifications an insult to those who do have to study hard for it and who do have heavy training in order to obtain these degrees. It may also be questioned to what extent such a regulation complies with a number of constitutional provisions. Article 10 of the Constitution states that there is no distinction between stands in the State and that the Belgians are equal before the law. Article 11 of the Constitution provides that the rights of Belgians must be granted without discrimination. I therefore have three specific questions for you, Minister. Since we have been behind these feudal times for a long time and have been living in a democratic constitutional state for some time, do you share my view that such practices should have been a thing of the past for a long time? Do you think that a legislative initiative should be drawn up in order to grant these military degrees in future only to people with the necessary qualifications and that there can no longer be any exceptions? Finally, I wonder what steps you have already taken to put an end to these practices. Despite the fact that I do not belong to your constituency, I certainly hope for a satisfactory answer.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u110	Madam President, Mrs Pas, in your detailed question you say about certain people and their knowledge, but without any clear control, I would never dare to make such statements, so I will leave those statements on your behalf. Except for the King, who, pursuant to Article 167 of the Constitution, commands the armed forces, the assignment of the uniform to the other members of the royal family has a rather ceremonial significance. Furthermore, the assignment of the uniform does not open up any financial right or other rights for the members of the royal family. The coalition agreement does not provide for legislative initiatives in this area, nor have I received a signal from my coalition partners that would underline the urgency and the need for such an initiative.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u111	Minister, I did not receive an answer to your question. I am familiar with the coalition agreement in the meantime and, unfortunately, I have also found that there is very little, not to say nothing, about such matters. I am sorry that instead of taking legislative initiatives on this subject, you should consider creating creative roaring titles in order to grant Princess Elisabeth and her brothers and sisters, perhaps nephews and nieces, within a few years, and promote them. For our part, we believe that it is time for change and modernisation in this area. In the absence of a legislative initiative by the majority, I will certainly count on your group's support, because we have already taken a legislative initiative on this by submitting a legislative proposal which will undoubtedly be discussed in this committee.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u112	Madam President, Minister, the keeper wins, I would say. It's one of the last questions, but I'm happy to ask them. In my region, among other things, we see that Central Europe is increasingly dealing with a phenomenon in which young people occupy private domains to organise illegal parties at night. When I was mayor for six months, I had five hundred gypsies to visit, to say that it is not only young people, but also gypsies can visit unexpectedly and unannounced. Two weeks ago, on 28 February 2015, an illegal party took place in a warehouse on our military domain of 457 hectares. Defense and the government, of which I am a member, were not aware of this organization, let alone that we had given permission to do so. After a local police patrol of the Sint-Truiden-Gingelom-Nieuwerkerken zone caught one of the people involved, the Police Intervention Plan was put into effect and nearly forty people were summoned to Saint-Truiden that night. In fact, last year we experienced the same thing, only we were there at the time, namely at 11 p.m., and we immediately shut the place down. I am talking about the military domains in our country, which is part of a military air base that is no longer used by Defence. There were two soldiers present during the night, which we claimed. I didn't dare call you that night, although I felt like doing it. I would have made a phone call to your predecessor, but I couldn't do it with you. Of course, defense still owns the domain. The question is to what extent we can act there. Apparently, this military domain is no longer under surveillance. My question arises from a local experience, but I can imagine that the problem will occur on many sites. Given the events of the day before yesterday in that abandoned industrial building, we are asking ourselves questions about the future. How do you want to ensure that such unused sites are still protected? By the way, in Brustem there was almost an accident on the military domain at 9 a.m. between an English pilot who wanted to land and a Dutch car that suddenly appeared. If such an accident were to occur, who could be held responsible? When is Land Defense responsible for accidents on the premises? The question is also how a mayor can maintain order in his city when a group of several hundred people appear unexpectedly on an unguarded military private domain. With all comprehension, but when you call on Defence, there are only two people there who ask the local authorities to solve it themselves. Unguarded military domains are also attractive to other groups of people who have illegal practices in mind. As Secretary of State, how do you intend to prevent them from occupying unguarded military territories?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u113	Madam President, Mrs Heeren, thank you for your question. You speak of private domains, but I would just like to point out that a military domain is stricto sensu, a public domain. That's important for what I'll say later. Abandoned military domains are not permanently guarded, as you know. The surveillance is organised by the provincial command of the province concerned. This one runs patrols himself or has them carried out by units from the neighborhood. In the case of detection of infringements and/or destruction, local police shall be informed so that they can make the necessary findings. After all, when the domain is abandoned, it is no longer an official military quarter and soldiers have no authority, and so on, so it is the police who have to make the determinations. In addition, the necessary repairs are made to the entrances. The military domain of Brustem consists of a part that is still used by the Defense Department and a part that has already been granted or sold to third parties. Defence is only responsible in the event of accidental accidents if an error can be prevented from occurring by the Defense Department or an appointed officer. In the incident on the landing strip, which you mentioned, this was not the case and thus the responsibility of the Defense Department was not held back. Here it comes. According to the municipal law, the mayor is responsible for the administrative police on the territory of his municipality. In the event of riot, unwanted cooperation or serious breaches of public policy or other unforeseen events, the mayor must make all necessary arrangements through police regulations.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u114	Minister, the mayor is indeed responsible. That is not a problem, and we have taken responsibility for it. I do find it special that you say that a military domain is a public domain. Then why do we have to ask for permission for everything, for example, to grant access? I understand your theorem, but I think they're a little short. I don't want to talk specifically about this domain. It's all the domains in the country. The reform at the Department of Defense will make a lot of sites empty. How do they deal with that? One and a half to two years ago, in the story of the gypsies, your predecessor said that they should disappear immediately. I replied to the Minister that he could not. Five hundred large trailers and heavy cars could we with a very small corps not remove manu militari from a domain. We have entered into dialogue, together with a number of people who work in the Royal School of Petty Officers and thus have a responsibility. They guided them after three days. However, if you are aware of what you have now said, I can assure you that in the shortest possible time many military areas will be the most crazy ones. Believe me, I'm free.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u115	I said that a military domain is basically a public domain. That does not mean, however, that everything is allowed there. Also on an ordinary public domain it is not allowed to organize a rave for example. We are also talking about set-aside and so on. It's impossible for the Defense Department to fully guard any terrain. I believe that everyone can agree on that. If you think there should be effective patrol, that's your idea, but we can't. Abandoned quarters are therefore not permanently guarded. Regular checks have been carried out, but other tasks have been given priority in the light of threat level 3. When I say that it is essentially about public domains, I do so to make the difference with private domains. No one was allowed to do anything in Brustem. So they're trespassing anyway. Could I have prevented that? I do not see how, precisely because there is no permanent surveillance in abandoned areas. One can't watch all of Leopoldsburg continuously.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u116	No, but then you can deal with the buildings on your domains differently. You can secure your buildings in such a way that you can't get in. I'll make it much easier. If you put a truck with clay floor in front of the front and back doors of the large pilots tomorrow, you won't get in. Defense needs to think creatively about how to deal with abandoned military sites. I'm making that suggestion with the best of intentions. You are not a competent minister, but neither are the local authorities or police commissioners. Safety comes first. Right now, two people are guarding that site. That's a drop on a hot plate. However, one can deal with the patrimony differently, I am convinced of that.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u117	Madam President, I have to be in Vilvoorde at 6:00 p.m. Since there are still few present, I would like to continue my work. I will be brief and I hope that my fellow Members will do the same.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u118	That's three more questions.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u119	I'd like a short suspension.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u120	So the questions can still be dealt with if everyone asks their question as soon as possible. Debates of the European Parliament Mr De Vriendt converted 2846 into a written question. Debates of the European Parliament 2858 by Mr Dallemagne will also be converted into a written question. Three further questions remain to be put: one from Mr Pirlot and two from Mr Crusnière.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u121	Madam Chair, Minister, my question will be very brief. The debate about a civic service is going well in Belgium. Initiatives in this direction already exist in several departments such as yours via the EVMI (Military Voluntary Commitment) status. Mr Minister, I would therefore like to ask you the following questions. How many young people have already subscribed to this status? Who are the young people who subscribe to this status? How does National Defence assess this status and its attractiveness to the target audience? What is your vision of this EVMI status for the future? Finally, are developments possible?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u122	Madam President, ladies and gentlemen, EVMI status should not, a priori, be regarded as a civic service, but as a military commitment allowing some young people who are less educated and/or socially disadvantaged to enter the world of work. At the end of the period of pay enabling the person concerned to maintain his or her full social rights, i.e. family allowance, unemployment benefit, etc., he or she becomes a paid military candidate. In 2014, given the mixed success, the initial six-month pay period was limited to two months and the amount increased to make EVMI status more attractive. However, this measure did not have the desired effect. The recruitment of EVMI attracts few applicants. A total of 840 places of EVMI were opened for the years 2010 to 2014. 348 military EVMIs were recruited. These are 800 and 344 places in four years. At the moment there are still 21 soldiers under the EVMI status active in the Defense Department. 116 soldiers have been given a different status, 10 soldiers have left Defence after the end of their term and 201 soldiers have left Defence prematurely. The main reasons for the departure of the military with the EVMI Statute are a feeling of injustice in their career history compared to other statutes, a lack of information prior to the incorporation, and the income that is limited to a paycheck at the beginning of the career. Due to limited recruitment as a result of budgetary restrictions, no commitments under EVMI status are foreseen for 2015 There is currently no initiative to make the ECMI Statute more attractive or to bring it to the fore.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u123	Madam Chair, Minister, thank you for your answers. It's always a pleasure to spend most of my day with you.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u124	Madam President, Minister, as part of the disarmament, demobilization and reintegration programme, it would appear that Belgium could provide training for Congolese officers in the military field. Our country could also train former members of the armed groups that have freely acceded to voluntary disarmament. Minister, can you confirm this information? If the latter are correct, can you tell me what trainings are being held under the disarmament programme? Can you give me any information about what will happen in the future?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u125	Mr Crusnière, it is not foreseen at this stage that Belgium will train Congolese officers in the disarmament, demobilization and reintegration (DDR) project and no such request has been addressed to us. Defence is well involved in the training of Congolese officers, mainly in a advisory role. But these projects are exclusively part of the regular armed forces of the Democratic Republic of the Congo (FARDC) and have nothing to do with the DDR. The information you mentioned is incorrect.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u126	Minister, thank you. I'll check my information.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u127	Madam President, Minister, my question concerns the military command of the Walloon Brabant. The military command's skills are too often overlooked despite its usefulness in crisis management, where it plays an important coordinating role between the province and Defence. It was also possible to check its usefulness, for example, during floods in Walloon Brabant. The military command may decide to make its equipment available to the communes. It is an essential role that it plays, and of course this utility depends on the material and human means that the commandments have at their disposal. Minister, what is your vision for the future role of the provincial military commands? To what extent will the budget allocated to the military command of the Walloon Brabant Province be affected by the savings that your department must make? What importance do you attach to the "assistance to the nation" missions in the Walloon Brabant province, where the army's central pharmacy is located?
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u128	Madam President, the role of provincial commanders is important to our department. Indeed, they are the preferred intermediaries between Defence and both provincial and regional or national authorities. In a major crisis where civilian response capabilities are exhausted, inadequately adapted or unavailable within the required time frame, the provincial commander and his/her staff will make available to the governor by joining the provincial crisis centre where the provincial military commander will advise the governor and coordinate with the defence staff. It is only then that I will authorize the commitment of the necessary resources for the support requested. So my role is second-line. It is still too early to comment on the impact of savings in my department on provincial military commands. As for the Central Pharmacy located in Nivelles, it could, like any other unit located in the national territory, be engaged in a crisis. This was the case in the past when she was commissioned to manufacture and store Tamiflu, a drug used during the flu pandemic. It is clear that it has an important role to play. We will see for the future how to organize it in the most efficient way possible.
ParlaMint-BE_2015-03-10-54-commissie-ic108x.u129	Minister, thank you for your answers. Madam President, thank you for agreeing to ask my questions.
