ParlaMint-BE_2015-02-03-54-commissie-ic078x.u1	Mrs. Van Hoof isn't coming.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u79	Mr President, Mr Klaps, you yourself mentioned this: this is a very legal question, which is of course important for the sector, which has already been involved in the definitions and the like in the past. You have already asked a written question on this subject, but I have to wait for the FSMA's legal analysis on the problem of the definition of related insurance agents in order to provide a complete and useful answer. The FSMA is itself in consultation with the professional associations concerned on this subject. I would nevertheless like to give you a number of elements. The Law of 30 July 2013 to strengthen the protection of customers of financial products and services extended MiFID's rules of conduct to the insurance sector from 30 April 2014. In this context, the Royal Decrees of AssurMiFID introduced the concept of "related insurance agent'. A related insurance agent is an insurance agent acting in the name and on behalf of and under the responsibility of an insurance undertaking for all or part of the activities. This concept is closely linked to the concepts contained in European Directives IMD 1 and MiFID 1 and 2. It allows a tied insurance agent to rely on the insurance undertaking to which it is affiliated, since the latter is responsible for establishing the necessary procedures to ensure compliance with the AssurMiFID rules of conduct. In addition, this concept also increases the effectiveness of the supervision exercised by the FSMA of compliance with the AssurMiFID rules by allowing it to address, first and foremost, the insurance undertakings that rely on affiliated insurance agents, since those insurance undertakings should ensure that the AssurMiFID rules are complied with by their commercial network. However, in practice, the concept of "related insurance agent' raises a number of questions. For example, the principle of exclusivity, in exchange for which the agent is given the opportunity to rely on the insurance undertaking with which he is affiliated, may limit the possibility for that agent to meet the questions of his clients or to take over a client portfolio from an insurance broker. Discussions are under way with the representative associations of the insurance sector in order to better understand these problems and their possible solutions. I shall then come to your final question. In consultation with the FSMA and the professional associations, I will shortly set out a number of options for answering these questions and resolving the problems raised by the introduction of the concept of "related insurance agent'. So far, Mr Klaps, my answers to your questions. I believe that a long way has come. I hope that further clarification can be given.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u80	Mr President, Minister, this is part of the answer. This is an acute problem. Insurance agents covered by that statute are in fact unable to manage a large part of their portfolio today. The question is therefore what is happening with this today. We are no longer complying with the legal provisions. There is a great fear in the sector that these portfolios will somehow be confiscated by the large companies. The sector would like to be fine. I believe that this signal is very clear and it also comes from different angles. There is absolutely no problem with regulation and the follow-up of those rules, but it must of course be possible to follow them. With the amendment of the law last year, I think a number of new problems have been created. I am thinking, among other things, of administrative obligations. I look forward to the concrete solution. Mr. Secretary, do you have any idea of a term?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u81	My people are telling me that this needs to be made clear in the next few months.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u82	I'll follow it closely.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u83	I didn't expect it to be any different.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u84	I will contact you again on occasion.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u85	I'll allow you that freedom.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u86	Mr. Chairman, Minister, winter balances are ending. Some will have made good deals and others may come out with a bitter taste. The bitter taste of having thought of having benefited from a reduction when it was actually a fictitious promotion. Indeed, it appears that false reductions are sometimes applied to certain products during periods of sale. Thus, the basic price could have been increased in order to offer a more interesting reduction (by 30% instead of 10% for example). In that case, it is clear that the consumer was deceived. Of course, I do not question the good faith of a large majority of traders, for whom periods of sales are paramount in their annual turnover and to have their equipment destocked. But some do not respect the rules of the game, by applying these fictitious promotions, which creates unfair competition vis-à-vis their colleagues who respect the law. In your policy statement, you announced that you want to step up controls to detect, and punish, fictitious promotions, which "trump the consumer and distort competition". Minister, how many controls could have been carried out by the Economic Inspectorate during these winter balances? How many of these controls have identified frauds related to fictitious promotions? What penalties are reserved for fraudsters? Do they have a deterrent effect? Do you have any other figures that could enlighten me in relation to this attitude or can you reassure me by telling me that what I am highlighting here is very uncommon?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u87	Mr President, Mr Cassart, I can inform you that during the last period of winter balances, the Economic Inspectorate carried out a total of 171 checks concerning the reality of price reductions. The result of 137 of them is already known. There were 4 minutes for relatively minor offences and 4 pro justitia for more serious breaches. This is statistically equivalent to 5.84% of problematic cases of price reduction announcements. Traders announcing fictitious reductions are at risk of criminal fines of at least EUR 1,500 and at most EUR 60,000. I believe that these sanctions are sufficiently dissuasive.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u88	Mr President, I thank the Minister for the comprehensiveness of his response. With no element of comparison, I do not know whether 171 controls are much or little compared to other years. I could do comparatives when I get to know the file a little bit better. When you tell me that there are 4 PVs for minor offences and 4 PVs for more serious offences, 5, 84%, that remains figures that are not alarming. But an important check must be carried out. I agree with you that the criminal fine, between EUR 1,500 and EUR 60,000, is dissuasive. It is important to continue in this direction in order to have permanent controls because the controls allow us to check how this happens on the ground.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u89	So it wasn't an answer to the discount.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u90	Mr President, Minister, I would like to speak with you about the concept of micro-enterprises. At the time of administrative simplification, the desire is to lighten these small entities in order to enable them to concentrate on their activities by deleting certain annexes for the National Bank of Belgium. Minister, I would like to draw your attention to administrative simplification. This is a good initiative. I think we've been talking about it for years at all levels of power, but I want it to be properly implemented. Indeed, I think that we must ensure the minimum figures. This seems essential to me, for example, for companies who want to work together without knowing each other. In this way, having a minimum of figures will help to reassure and foster good collaboration. I'll explain. You have a company in Namur that has to work with a company in Bruges. What is the first reflex of the financial director or even the self-employed? It is to consult the balance sheet figures in the National Bank's data bank, which obviously does not disclose confidential data but gives some clarification on the company's own funds, claims or other figures important for good collaboration. Therefore, Minister, can you give me the criteria for the concept of micro-enterprise? Can you tell me what the conditions are for this relief? How many companies are covered by this system? Shouldn't a minimum of figures be published in order to ensure transparency and thus maintain the obligation to transmit these data to the Central Bank of the balance sheets managed by the National Bank? Have you met the area? How's the file going? On the basis of the criteria that you are going to communicate to me, I think we are talking about a number of companies. Yes, you have very small SMEs that can certainly be promoted by simplifying their administrative obligations, but we must not go too far at the risk of lack of transparency in trade relations.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u91	Mr President, here I have all the information on Article 3.1 of the 2013 directive. But what is more important for Mrs Cassart is that I asked the Central Economic Council, which brings together employers' representatives and trade unions, to give me an opinion on the transposition of the directive. In this opinion, the Central Economic Council has to decide in particular on whether or not to take over the new category of micro-enterprises in Belgium, on the thresholds to be applied to small companies and on administrative simplification for small companies. This is the most important element, both for you and for me. I await this opinion before taking any action for micro-enterprises. It is an opportunity for Belgium, which you stressed, to reduce administrative burdens. Nevertheless, it is wise to await the opinion of the Central Economic Council before taking a decision and discussing this position here in this committee.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u92	Mr President, I thank the minister for his answer. I think we can wait for that opinion. What's the agenda? A month, two months, six weeks?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u93	In the response at my disposal, it is indicated on February 13, 2015.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u94	I will therefore come back to the subject at the end of February. Perhaps we could think together in committee about these criteria which, for me, are very important. The Central Economic Council will deliver its opinion. We could also question the sector in relation to this and pay attention to the thinking I have just given you. Administrative simplification can be undertaken in several sectors. However, since these are figures, attention needs to be paid. The first reflex of a company when it has to work with actors it does not know is to analyse the figures provided by the BNB, which are often subject to a tax officer or a trustee responsible for assisting companies. In any case, we need to see how we can help the sector effectively. I am pleased, Minister, that we can discuss this positively this month. I will put forward a few proposals.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u95	Mr President, Minister, in recent months and years, the collaborative economy has been increasingly successful and fits prefectly into a vision of a more sustainable economy, in which citizens are going to become more consumers. I have listened to a lot of traders and consumers who use the collaborative economy. They still have a lot of unanswered questions about the further design of the collaborative economy. The collaborative economy could be supported as a real sector, especially when there would be a regulatory framework from the government and when the government would participate in the collaborative economy as facilitator, supporter and regulator. In view of the many unanswered questions, I believe that we must look from the government at the path we want to take with the collaborative economy. There's a lot of initiatives bubbling on it. They're often successful, too. Think of Uber and others. We can give them an important place in our economy. Do you have any idea of the turnover that the collaborative economy currently represents in Belgium? What measures are currently being taken by the public authorities to promote consumer products on a wide range of fronts? I am also thinking of car parts and new concepts of car dealers to allow consumers to use a car together. I am also thinking of bicycle parts and infrastructure that can be shared. What initiatives will be taken in the next legislature to give this collaborative economic model opportunities, according to its potential? To what extent do you wish to support the economic model of the collaborative economy? Finally, what policy does the federal government intend to pursue with regard to pricing in the collaborative economy? I hear that there are a lot of questions about this and that there is still great uncertainty about it. In this context, I am thinking, for example, of the car dealers I was talking about earlier. They can offer car dynamometers in sub-concepts, but in the light of these sub-concepts there are still some questions about price regulation and so on. Could the government work on a framework? How do you see that?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u96	Mr President, Mrs Smaers, there is currently no specific legal framework for the sharing economy. It is therefore impossible at present to say what the real contribution of this economic model is. However, it is clear that this model is developing very rapidly in times of economic crisis. The EU 2020 strategy for a smart, sustainable and inclusive economy also states that we must use our resources more efficiently and sustainably in the future. Not only does the government want to promote the collaborative economy, it wants to make the economy more sustainable as a whole. It is therefore essential to place demand in a broader context. This is one of the reasons why the FPS Economy and the FPS Environment have been actively working together on these issues in a working group since June 2014, with the aim of identifying the components of a strategy and a roadmap for the more efficient use of non-energy and non-food-related resources. The Working Group formulated a number of proposals linked to the federal powers, which were bundled in an online brochure entitled "Belgium as a leader of the circular economy'. If you do not have it yet, we will be happy to deliver it to you, just like the chairman, so that all interested parties can have access to it through the committee secretariat. The FPS Economy is working with the FPS Public Health on an information campaign to make families aware of sustainable and responsible spending next year. I will see to it that the arguments for supporting the collaborative economy are addressed in this campaign. Fourthly, the problem of pricing will be dealt with in this campaign. Indeed, when a consumer buys a service or a product, it is not always clear what costs are associated with the use for himself and for society in the long and medium term. In existing initiatives, such as car sharing, users mainly use a form of rental contract, whereby the provider of a product or service also remains the owner. This formula facilitates management and maintenance, but it is also possible for consumers to group and organise a purchase together. At present, we do not have any information on practices in this respect. Outside the regulated sectors, it is not possible for public authorities to set or regulate prices for this type of products and services. In practice, a provider may freely determine the price for the use of its good, taking into account, inter alia, maintenance costs. Similarly, a seller can freely determine the global price of a product that would be purchased by a group of consumers, as well as the share in that price of each candidate.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u97	Thank you, Minister, for the brochure I have been given. There is still a lot of work to be done, including from the government. I hear that important steps are already being taken to give the sharing economy more opportunities and to raise them to a higher level. You are looking at it in the light of a broader set of sustainable economies. That's a good idea. The sustainability of our economy deserves the necessary attention in your policy area, not only today but also in the coming years. As far as the sharing economy is concerned, I will take note of your answer to one of my last specific questions. At the moment there is no need for specific price regulation; the price can be set freely. That's important to know. Furthermore, preparations are being made by the administration of the FPS Economy for a communication and sensitization campaign on the sharing economy. It is good that more attention will be paid to this in the coming months. I will certainly go through the brochure and see what else can happen with it. I would like to thank you for taking account of the sustainable sharing economy in your policy area in the coming years.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u98	Debates of the European Parliament Mr De Groote's 1798 question was converted into a written question.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u99	Mr Dedecker, you had your questions addressed to the Minister for Small and Medium-sized Enterprises and the Minister for Employment, but the Minister for Employment will answer both questions.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u100	Minister, according to the government agreement, it will be examined how market regulators, who monitor fair competition and consumers' rights, can cooperate more, in order to create synergies and economies of scale. Their powers will be evaluated to create synergies and to strengthen their functioning. Even mergers may take place during the government period. The initiative can provide centralisation of expertise, sharing overhead costs on the support staff and increasing specialisation and efficiency. Firstly, what structure is the aim of the reorganisation? What tasks do you think should be integrated across the regulators? Which ones should be merged operationally? What aspects should be coordinated? Secondly, what steps have been taken to implement that aspect of the coalition agreement? What further steps are planned to achieve a new structure?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u101	Mr Dedecker, you know the coalition agreement very well. I would like to point out, however, to colleagues other than the government agreement, that healthy competition in the market is important, which requires efficient cooperation between regulators. The powers of market regulators will be evaluated with a view to creating synergies and strengthening their functioning. As far as my policy is concerned, I will implement what is stated in the coalition agreement by means of a phased approach. Several parts of the Code of Economic Law have entered into force in recent months. Other parts will enter into force in the following months. It cannot, of course, be the intention that legislation should be recast in the short term. In the short term, therefore, the governance of the different market regulators will not be addressed. In the first instance, I will ensure that the various operators fill in the powers assigned to them in a correct and effective manner. Synergies shall be sought in accordance with the Code. An important tool for achieving synergies is the cooperation protocols, which will have to be established between the various market regulators. I am thinking in particular of the protocol between the FSMA and the FPS inspection services on the supervision of Book VII on consumer credit and mortgage credit or the Book VI on market practices and consumer protection. A similar protocol will also be concluded between the Belgian Competition Authority and the Prize Observatory. I can also say that the Central Council for Business will be given a new role as the umbrella body for the various other advisory bodies. The CRB will provide advice on economic regulation in a more efficient way. In a subsequent phase, the functioning of the partnerships will be evaluated, as the coalition agreement proposes. On the basis of the evaluation, it will be decided whether and, where appropriate, what further steps should be taken to achieve a more efficient division of powers between market operators.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u102	Minister, in the first part of your reply you referred to the recent introduction of the Code of Economic Law. It is true that stable regulation is very important. There is only one thing worse for companies than high taxes, either financially or administratively, namely unpredictable taxes and unpredictable regulation. In my opinion, stable regulation for businesses and consumers does not prevent the government from making changes internally very quickly, taking advantage of opportunities and synergies. We must continue to do this despite the recent introduction of the Code of Economic Law. I look forward to the various steps you have announced in this respect.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u103	Question No 1848 by Mr Delannois is transformed into a written question.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u104	Mr President, Minister, last week we read in the press that Mr Bogaert, the chairman of the Credit Professional Association, called on the UK to make the refinancing of a housing loan more expensive for consumers. Currently, lenders can request a maximum return on investment of three months interest from customers who repay their housing loan early. The UK wants to see that increased from three to six months, i.e. a doubling. This is a very topical matter. A lot of people have already refinanced or are still doing their loan. Given the current interest rates, this is obviously very interesting. It is therefore important that we clarify this quickly. Mr. Secretary, can you discuss an increase in the reinvestment fee? Can you reassure consumers that, no matter what changes to the new credit law, nothing changes to the existing conditions of the credits already in place? What is the situation in Belgium compared to neighbouring countries? Is the situation similar there? Test-Achats called for the abolition of the notary's intervention in the refinancing of a residential loan. I'm not a lawyer myself. Do you like that? What are your findings on this?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u105	Mr President, I did take that training a long time ago. Mr Klaps, I have, of course, taken note of the BVK's request to increase the reinvestment fee from three to six months. The demand of the sector has a certain logic. Banks providing long-term mortgage loans finance these loans with long-term funds, while ensuring a certain margin of interest as a profit. In the case of a massive refinancing of the loans at lower interest rates, the banks run the risk of this margin becoming negative. It is understandable, however, that consumers who have already concluded a residential loan at a higher rate several years ago than today would like to review their housing credit in order to benefit from lower interest rates. For these consumers there is a parallel with the interest they can get on their savings account today. The UK's demand for a review of the size of the reinvestment fee should be considered together with all stakeholders, including consumer organisations. It is essential to maintain the balance between consumer rights and the rights of banks. Moreover, the request from the UK should be considered in a broader context and not just in the context of this one specific situation in which many consumers request a review of their housing credit. Consumers can also decide to repay their housing credit early for other reasons. If there was to be an adjustment, this must, of course, fit into a global context. In addition, it is possible to ask whether the expression of a reinvestment in terms of a number of months is the best solution. This means that in the event of a higher interest rate, this reinvestment fee is much higher than in the case of a low interest rate. For this reason, the Dutch system provides for, for example, a flat-rate amount determined according to the duration of the credit and the amount of the amount. In the other Member States, systems vary widely. For example, there are countries where the law does not provide for a reinvestment fee. Nor do the European directives indicate any direction in this respect. A refinancing of a residential loan with the same bank does not, in principle, give rise to a notarial deed. It is only in the case of refinancing with another bank that the intervention of a notary will be necessary to achieve the transfer of the mortgage tender, i.e. the lighting of the mortgage plus the new tender. In fact, it concerns the transfer of a right of rem sion to do so as legally as required by an authentic instrument. An amendment to this legislation is, of course, the responsibility of my colleague, the Minister of Justice.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u106	Minister, the lower the interest rate, the lower the reinvestment fee in the current system. The fact that people are currently re-financing loans with interest rates in the order of 4 to 5 % still provides fairly substantial amounts. Especially in view of the great wave of refinancing that has been going on for New Year, the problem is perhaps a little less acute at the moment. Since people are currently taking out their loans at around 2%, the next question for revision will not come as soon as possible. So we need to take a good look at this. There are effective some elements that can play along. I believe that banks are currently making losses if they have to refinance these expensive loans, although this is perhaps an element which they should take a little more account of when setting rates. Of course, no one obliges them to offer 30 years' duration, so they will have to look into their own bosom. If it does come to modifications, a kicked system might be a think-pronged one. If one has a loan which can be revised every five years, this reinvestment fee must be reasonably limited. In the case of 20 years, this remuneration may indeed be higher because of the bank's commitment to a longer period of time. I think that this might be a reflection that could be taken into account in discussions with the sector and consumers.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u107	Debates of the European Parliament Mr Calvo 1882 was converted into a written question. Minister, I would like to return to item 21 of the agenda. Given Mr. Sebastian Pirlot's unavailability, Ms. Fabienne Winckel decided to table a question. The latter has exactly the same object and word for word content as Question No 1414 by Mr Pirlot. If you don't mind, I will immediately invite Mrs Winckel to ask her question. [[Minister's assessment]] I want to thank you for your flexibility, Minister.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u108	Mr President, my question is the same as that tabled by Mr Pirlot. Minister, you are obviously aware that the federal government is engaged in a process of replacing F-16 air force fighters. According to the former Minister of Defence, your colleague Pieter De Crem, the purchase of 40 aircraft would be essential to ensure the renewal of the F-16s and the credibility of Belgium on the international stage. It had also quantified the unit cost of the new hunters, whatever the type, at 80 to 100 million euros, for a life span of 30 to 40 years. Currently, five models are competing: the F-35, the F-18, the Rafale, the Gripen and the Eurofighter. Beyond purely military issues, economic issues also arise. Many Belgian companies such as SABCA and SONACA are actively involved in the F-16 project, resulting in strong economic and industrial benefits for our country. It is therefore essential to bear in mind the maintenance, on the one hand, of recognised know-how and, on the other hand, of employment. Minister, given the industrial impact and potential economic benefits, have discussions with federated entities and industry federations been initiated? If so, can you tell us what the results are? If not, do you intend to enter into these essential discussions in view of the amounts potentially committed and their possible impacts in terms of research and development, including with regard to our universities?
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u109	Dear Mr Winckel, industrial participation in the F-16 programme enabled the Belgian companies concerned to specialise, first, in the aeronautics, military and, later, in the civil sector. Secondly, this allowed the Belgian aviation industry to fit into the supply chains of Boeing, Airbus and other producers. It was thus able to develop as a reliable partner, focused on quality and high technology. The competent administration of my department has been actively working on this issue since the middle of last year as part of the preparatory phase initiated by the Defence and in cooperation with the relevant industrial federations BSDI, FLAG, EWA and BAG. To this end, a working group has been set up, which meets regularly to ensure coordination. However, negotiations can only take place after the government has approved the start of the procurement process, which can only take place after the Minister of Defence's plans have been approved.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u110	Thank you, Minister. Defence is one of the last federal investment levers. The purchase of these new F-16s represents a significant cost. We are still talking about more than 4 billion euros. It is essential that Belgium can benefit from industrial spin-offs in terms of innovation, research and development. These two kinds of spillovers are really priorities for my group. I understand the setting up of a working group, but I remain concerned because your colleague, Minister Vandeput, wants to move forward quickly and talks about concluding the dossier for 2018. It is important to act, to have these two spin-offs in mind and that this remains a priority.
ParlaMint-BE_2015-02-03-54-commissie-ic078x.u111	Minister, thank you for all the answers to the various questions. I will conclude with a quote from President De Croo who, when he closed the plenary sittings of the House, used to say in French: "The agenda is exhausted, but the Speaker is not!"
