ParlaMint-BE_2015-03-11-54-commissie-ic115x.u1	Mr Luykx apologized for the meeting.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u58	Mr President, ladies and gentlemen, Hungary is one of our partners in the European Union. Our bilateral relations are generally good, which does not prevent us from remaining attentive to developments in the country. The new Hungarian Constitution has strengthened the position of the executive branch, which has helped the Hungarian government to implement its programme. But this strong position also carries risks in terms of pluralism. In this respect, I can only agree with the statements made by German Chancellor Angela Merkel, who, during her visit to Budapest on 2 February, stressed the need to respect the role of the opposition, civil society and the media. The European Union has not remained inactive on this issue. Following the second revision of the Hungarian Constitution, the European Commission launched an infringement procedure. This procedure covered the provisions relating to the independence of the Central Bank, the retirement age of judges and members of the Public Prosecutor's Office and the independence of data protection authorities. As a result of this procedure, Hungary has made amendments to its Constitution. The fourth revision of the Constitution also provided for certain provisions which, according to the European Commission, were not in conformity with European law, such as the possibility of transferring cases between different courts or the limitation of the possibilities of election advertising during the pre-election campaigns. The Commission sent a letter on this subject to the Hungarian authorities. They made a series of commitments in response to the questions raised. The European Commission remains vigilant. At the end of 2014, the Hungarian government withdrew its proposed internet tax after the European Commission denounced this measure as a limitation of fundamental freedoms. On the other hand, there is no consultation on the subject with the High Representative of the Union for Foreign Policy. The situation in Hungary does not fall within the Union's external relations for which Mrs Mogherini is competent. The infringement procedures launched by the European Commission, even if they are effective, remain limited in their purpose. They assume that the Commission can prove that the Member State in question has infringed a provision of European law. It's not always possible. Infringement proceedings can also take a long time to complete. Therefore, some Member States, including Belgium, have argued for a mechanism for the Union to respond more quickly to a clear threat of infringement of the rule of law within a Member State. Following this invitation, the European Commission presented a communication on the subject in March 2014. This Communication specifies how the Commission intends to respond to threats to the rule of law that would be of a systematic nature, i.e. that could not be settled by the domestic legal order of the Member States. In such a case, the Commission foresees a process which develops in several phases: an evaluation and consultation with the authorities of the State concerned, the formulation of recommendations and the follow-up of these recommendations. At the end of last year, conclusions were adopted by the General Affairs Council. These conclusions provide for the establishment within the Council of the Union of an annual dialogue on respect for the rule of law in all Member States, as well as the possibility of holding debates on thematic issues. On the occasion of the first debates on the constitutional changes in Hungary, I spoke on behalf of the Benelux in the General Affairs Council on the specific situation in Hungary and on the measures to be taken to put in place new instruments in the hands of the Commission. We'll probably have the opportunity to come back. I also spoke in the context of the General Affairs Council to stress a pace of consultations on the dialogue on the rule of law. Indeed, there is no reason to engage in a very active dialogue – at least it can be said – on the observance of economic criteria such as the Maastricht criteria for joining the euro, and not to engage in such a dialogue on political criteria. The Council of Europe, for its part, is a pan-European forum for dialogue and cooperation on the basis of commitments. This is the system of conventions, including the European Convention on Human Rights, and binding judgments of the European Court of Human Rights. Belgium has always supported these instruments as well as mechanisms or institutions such as the Office of the Commissioner for Human Rights, which monitors the effective implementation of these commitments and judgments. As an illustration of our commitment, I recall that our country is using its privileged position as chair of the Committee of Ministers of the Council of Europe to strengthen these mechanisms by organizing, next spring, a ministerial conference dedicated to the execution of the Court's judgments. Mr Blanchart, I can inform you that I took note of the victory of the independent candidate Mr Zoltan Kesz in the by-elections in Veszprém on 22 February. In addition, I note that the Hungarian government, despite the defeat of its candidate, still has a comfortable majority in the parliament in Budapest, with 132 seats out of 199. Bills generally require a simple majority. However, in a number of cases specified by the Hungarian Constitution, the support of a two-thirds majority of parliamentarians is required, for example, for the amendment of the Constitution and cardinal laws – the equivalent of our organic laws – the election of the President of the Hungarian Republic, the appointment of members of the Constitutional Court or the deployment of Hungarian military personnel in the context of international military operations. That being said, most observers on the Hungarian political scene believe that it is not in the Hungarian government's intention to present bills to parliament aimed at changing the Hungarian Constitution considerably in the immediate future. It has already been amended five times since 2010. Moreover, it remains to be seen whether the heterogeneous opposition, particularly the far right party members of Jobbik, will use its blocking minority in a consistent manner should the government put forward initiatives requiring a two-thirds majority. In general, the results of by-elections, whether in Hungary or elsewhere, do not affect Belgium's bilateral relations with the countries concerned. Belgium respects the choice of voters in democratic and transparent elections, as was the case in Veszprém.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u59	Mr President, I thank the minister for his very detailed answer. The positive initiative it has taken to propose other mechanisms for monitoring compliance with legal commitments within the European Union deserves to be underlined and supported. Undoubtedly, this is one way to get the Hungarian government to comply with some of its commitments under European law. However, it is clear that the Hungarian government is playing cat and mouse games with the European institutions. Honestly, it is a succession of initiatives that must always be the subject of an appropriate and firm response from the European Commission, but basically the Hungarian government does not seek to respect European legality in a general and consistent manner. The problem may become more political than legal. The procedures and the strengthening of the European Commission's powers of injunction or intervention are necessary when there are shortcomings which are not a matter of a constant and deliberate will, such as that demonstrated by the Hungarian Government, to undermine the achievements of the Union. These procedures are useful in bringing the states, if I may say so, back into the grip of European law. For example, there may be violations of European law in less sensitive areas. The question that will eventually arise is, in particular, within the European Council whether a more significant initiative should not be taken and whether a common analysis (starting with a number of states) should not be carried out on how to accept or not Hungary's participation in certain European bodies. I think there's something to do about it. I am not talking about inviting them to leave the European Union. However, it would be useful to know whether they felt more clearly the political reprimand of the governments and the European institutions.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u60	Minister, I will go in the same direction. It is time to act for the credibility of the values of democracy in the European Union and their respect, particularly at the Council of Europe level, where it is sometimes difficult to pass a number of messages on to countries that are not members and which demand accession. Here, we're in an awkward paradoxical situation. We must give significant and significant political signs in order to regain a form of credibility in the light of our common values.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u61	Mr President, Minister, on 17 December, US President Barack Obama announced the normalization of relations between his country and Cuba after more than half a century of freezing relations between them. An American embassy should open its doors in Cuba soon and the lifting of the economic embargo would be discussed. In his speech, the U.S. President motivated his decision, in particular, by the fact that Cuba is living in extreme poverty and survives only through tourism and the help of Venezuela. The U.S. President has confessed in half-words that the American strategy of isolation has not borne fruit. I would therefore like to ask you, Minister, the following questions. How do you view the announcement of normalization of relations between Cuba and the United States? What is the current state of diplomatic and socio-economic relations between Belgium and the EU and Cuba? Will this change in the attitude of the United States have an impact on the Belgian and European position? The 28 Heads of State and Government had decided in February 2014 to open a dialogue with a view to normalizing relations between the European Union and the Cuban regime. Can you give me any information on the progress of this dialogue?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u62	Mr Crusnière, I welcome the announcement of the normalization of diplomatic relations between the United States and Cuba at this stage. I hope that in the future the two countries concerned will find a positive way to resolve their differences in a comprehensive manner so that the American and Cuban peoples can live side by side but in good-neighbourliness. Belgium and Cuba have maintained unbroken diplomatic relations since 1902, the date of the island's independence. Both countries have an embassy in the respective capitals. Political and diplomatic contacts take place on a regular basis while a memorandum of cooperation between our two foreign ministries was signed in July 2013 in Havana. There is a climate of constructive dialogue between the Belgian and Cuban authorities. Moreover, Belgium is the only European country to have ever ceased its bilateral development cooperation with Cuba, which the Cuban authorities like to recall. At European Union level, our country is in favour of negotiations to reach a new framework for relations with Cuba in the context of a political dialogue and cooperation agreement. From an economic point of view, the latest full figures for 2013 indicate that Belgian exports to Cuba amounted to EUR 45.6 million, while our imports amounted to some EUR 111.7 million. Only one significant Belgian investment is worth mentioning: it is the Belgian participation of AB Inbev in the emblematic Cuban brewery company Bucanero. A major obstacle to our bilateral trade, however, remains the still limited availability of export credit insurance and, of course, the U.S. banking and financial regulatory and legislative restrictions still in force under the Helms-Burton Act passed in 1996 by the U.S. Congress. Relations between the European Union and Cuba continue to be based on the common position adopted in 1996. This common position provides, in particular, for the European Union to pay great attention to respect for human rights in Cuba. There is no institutional and legal link between the European Union and Cuba. In 2012, the High Representative, Catherine Ashton, received a mandate from the Council to explore the possibilities of negotiating a framework agreement, while keeping in place the common position mentioned above. On 10 February 2014, the Council agreed with the draft negotiating mandate. On 29 and 30 April, a first round of negotiations took place in Havana, followed by a second round in Brussels on 27 and 28 August. A third round, originally scheduled for January 2015 in Havana, was submitted at Cuba's request. In this way, the Cuban authorities wanted to express their dissatisfaction with EU contacts with members of the opposition. Nevertheless, a third round has been accepted by Cuba and will take place in March or April next. Belgium has, from the outset, supported the dialogue between the European Union and Cuba and the negotiation of the framework agreement and will continue to do so. I am convinced that such an agreement will provide the Union with even more means to plead with Cuba for respect for human rights.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u63	Mr President, I thank the Minister for his answers.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u64	The strong popular mobilization launched against Haitian President Martelly plunged into violence last December. The population, plunged into misery, demanded the resignation of the president and the holding of general elections on the island. The appointment on 25 December of Prime Minister Evans Paul and the signing on 29 December of the tripartite agreement between the representatives of the three major powers of the state around the pre-election crisis paved the way for a resolution of the institutional and political crisis. But just a few days before the fifth anniversary of the terrible earthquake that had devastated the island, left more than 220,000 dead and more than 2 million Haitians homeless, the humanitarian situation remains dire. It is estimated that more than 350,000 people currently live in 496 camps where living conditions are gradually deteriorating. How do you view the political situation in Haiti? What are the prospects for change? Could you provide us with an account of the situation on the spot? What is the status of the reconstruction process? The situation still seems catastrophic in terms of housing, health and education. Have long-term policies and reforms in these areas been put in place by the international community and/or agencies supported by Belgium? In 2010, the Belgian Emergency Consortium had raised more than 26 million euros. Which projects Belgium has thus been able to help set up? After our country's emergency assistance, what was our contribution to the reconstruction process?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u65	Mr President, Mr Blanchart, I will try to take stock of all the issues raised. Since the failure of the negotiations between the government and the opposition to keep Parliament in operation beyond the deadline of 12 January, the political situation in Haiti has experienced a very precarious balance. Against the backdrop of tensions and demonstrations on the streets, a new government was formed, headed by an opposition figure, Prime Minister Evans Paul. The latter, appointed without the constitutional approval of Parliament, leads a new fragile cabinet that struggles to reach consensus around its members. Similarly, the establishment on 22 January of a provisional electoral council with a view to holding the elections repeatedly postponed in the country was a source of criticism as to its independence. As we understand it, the context is difficult and everyone must act with responsibility and restraint so as not to aggravate an already very delicate situation. Faced with the many unknowns of the Haitian equation, our priority must be the functioning of democratic institutions in Haiti. The will shown by the power to hold elections in the coming months is a step in the right direction that will naturally have to be judged by the actions. It is up to the Haitians to find a solution to the crisis and I note the involvement of the international community that encourages the maintenance of the dialogue between the power and the various political parties. In the event of a blockage and slippage, the action of the United Nations will be decisive in bringing the country out of the crisis. The international community as a whole must remain mobilized to maintain pressure and ensure that all conditions are met for transparent, credible and inclusive elections as soon as possible. It is a fact that after five years, Haiti is still struggling to recover from the terrible earthquake that struck the country, also the poorest country in the region. However, significant progress should not be overlooked. According to the latest figures from the International Organization for Migration, there were 1.5 million people and 1,555 camps in June 2010. Today, some 80,000 people remain in some 100 camps, representing a 94 per cent reduction in the number of internally displaced persons. Thousands of homes have been built or repaired. Despite the cholera epidemic, which has claimed more than 8,500 victims since 2010, there has been a downward trend in the number of cases recorded since the end of 2012. Some 75 per cent of the 20 million cubic metres of debris caused by the earthquake were removed from the streets. Primary school enrolment increased from 50 per cent in 2006 to 77 per cent in 2012. Nevertheless, despite efforts by national authorities, civil society and international actors, the situation of vulnerable people is deteriorating due to a decline in funding and the number of humanitarian actors. The needs remain enormous. The most basic public services in health infrastructure and education work very badly, making the country extremely dependent on external assistance in all its forms. From the beginning of the reconstruction phase, Belgium was anxious to install its action for the duration by financing programmes and projects that emphasize not only the basic needs of the island (capacity-building, agriculture, food security, education, early childhood protection) but also the approval by the Haitian of their development strategy by being part of the national programmes of the Haitian government. Belgium is also present via Europe, which allocated an overall allocation of EUR 883 million during the tenth European Development Fund (EDF), covering the crucial period 2008-2013. The major sectors were humanitarian aid and risk and disaster reduction for € 234.3 million, as well as road transport for € 267.5 million. In addition, European programmes have improved food security for 750,000 Haitians. The eleventh EDF for the period 2014-2020 provides for an allocation of EUR 420 million in four intervention sectors, including education, vocational training, the disabled, food security and nutrition. The humanitarian aid provided by ECHO to Haiti over the period 2010-2013 exceeded €213 million. Belgium participates in reconstruction efforts through its contributions to United Nations agencies such as UNDP, UNICEF and FAO, as well as MINUSTAH. Belgian contributions to financial institutions such as the IMF and the World Bank should not be overlooked. In Haiti, UNDP selected five priority areas of work, including recovery and poverty reduction, as well as the fight against AIDS and tuberculosis. Total UNDP contributions to Haiti for the period 2011-2012 amounted to $92.7 million. UNICEF has also been highly engaged in Haiti since the disaster by involving itself in projects related to education, nutrition, health, water sanitation. As of June 2014, $10 million had been disbursed for health, nutrition and water. In April 2014, FAO provided $500,000 to support an emergency agricultural assistance project for rural populations affected by a drought in the lower northwest. In addition to its mandate to restore a secure and stable climate, MINUSTAH is also mobilizing logistical resources to contribute to efforts to address the cholera epidemic of October 2010. At the end of October 2014, a total of 8,896 military and civilian personnel were deployed. A budget of $500 million was approved for the period from 1 July 2014 to 30 June 2015. In June 2010, the IMF's Board of Directors approved $60 million in credit to Haiti under the Extended Credit Facility (ECF) agreement, which aims to strengthen macroeconomic policies and stimulate economic growth in the context of the Government's plan of action for reconstruction and development. Studies at the beginning of January 2015 show that the EIF has contributed to maintaining macroeconomic stability and progress in structural reforms has also been noted. As of February 2014, Haitian GNP had increased by about 4%. Currently, the World Bank is engaged in 17 active projects for a total of $495 million. In October 2014, the World Bank announced a new $50 million investment for water and sanitation. Despite these impressive figures, we also realize that all of Haiti's recurrent problems have not disappeared in four years. For example, mothers or small traders who lost everything during the earthquake do not necessarily have a better life at present, even if they have been relocated. But reconstruction and good governance are long-term goals and each State, institution or person concerned can contribute to that. Development aid is the responsibility of my colleague in charge of development cooperation. I can simply tell you that, although Haiti is no longer one of the partner countries of Belgium's Direct Cooperation, our country remains very active through its indirect bilateral cooperation and multilateral cooperation, as I mentioned. In four years, between 2010 and 2013, the overall amount of Belgian official development assistance to Haiti amounted to more than 41.8 million euros, of which more than 22 million euros, or 52%, in humanitarian programmes. The Belgian government has kept its promises made at the donors' conference for Haiti in New York in March 2010, releasing 11 million euros for the emergency phase and 20 million euros for the reconstruction phase. Shortly after the earthquake, a B-FAST team was sent by the federal government to Haiti to provide relief to the victims. This B-FAST team comprised about 60 people divided into three groups: a medical intervention team with a field hospital, a USAR team (Urban Search and Rescue team) with four trackers dogs and a drinking water purification facility. For the years 2010-2011, B-FAST emergency aid amounted to almost 500,000 euros. Many programmes, projects initiated in 2011, 2012 and 2013 were still under implementation in 2014, including food security, agriculture, health, access to water and natural resources, and education. Finally, we remain convinced of the absolute need to involve local actors in the reconstruction of the country, which is why one of the conditions for the financing of Belgian NGOs active in Haiti is their close collaboration with the local Haitian fabric.
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u66	I thank the Minister for this very detailed description of the situation in Haiti. I just have a subsidiary question to ask, Mr President: until what time do we work?
ParlaMint-BE_2015-03-11-54-commissie-ic115x.u67	I'd like to consult the committee and the minister. I got the message from your cabinet that you could stay until 5:45. May I suggest we close the meeting here? I would like to thank the courageous colleagues who have stayed for so long.
