ParlaMint-BE_2015-10-28-54-commissie-ic255x.u1	Merged questions Nos 6373 by Mrs Van Cauter and 6732 by Mrs Lanjri are postponed.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u132	But perhaps you can tell us which municipal authorities have already taken steps and which may still be in the process. How do you really want to convince the municipalities that are not doing anything at the moment, last week, to provide shelters for Mechelen? For us, I'd prefer to volunteer, but if I have to, it's mandatory. If you need to use an obligation to spread asylum seekers, when do you want to spread them? What criteria do you want to apply? Has there been any consultation in the government on this? An agreement has not yet been reached, otherwise we would have already known it. Is there a meeting going on? What criteria do you want to base yourself on?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u133	I will not repeat all the questions that have already been asked by my colleague. I think she has concentrated on the story of the distribution plan for asylum seekers. I do not want to repeat here today what we discussed yesterday afternoon. You know that the sp.a has tabled a proposal on the distribution of recognised refugees, to make them compulsory for at least two years if they need support. I would like to know your opinion on that. Your staff did not reply to that proposal yesterday. It was Mrs Sarah Smeyers who replied on behalf of the N-VA. I would have liked to have heard your reservations about that. I had also asked a question about the private partners in the shelter. Can you answer me that? There is a lot of protest in coastal communities where barracks are located, which are now being assigned a lot of asylum seekers. How do you intend to deal with that in the future? How are you trying to channel the displeasure and come to a workable story?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u134	The facts are well known and should no longer be outlined. My question is whether a municipality will be informed long enough in advance when a reception centre will be opened in its municipality. The main issues discussed are the larger reception centres. What is the situation at the moment with regard to the capacity utilisation of the local reception initiatives, the LOIS? How is it dealt with by local authorities who do not want to receive or accept additional asylum seekers? Are they still encouraged, as you have done in the past, to do so anyway? If so, in what way? Can you give me more details on the places that will be made available through the public procurement procedure? What kind of places are those? Where will they be located?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u135	Mr President, Mr Secretary of State, the government indicated that it is working on a distribution plan for asylum seekers. What's the status? What criteria are used to determine which municipalities have to accommodate how many people? What happens to municipalities that do not want to cooperate? Is a distinction made within the distribution plan between the partners who organise the care, such as a LOI or an NGO, or is that not relevant to you? Are there any proposals to spread the recognised refugees across our territory? Yesterday we discussed this on the basis of Mrs Monica De Coninck's proposal. Do you think it's legal to do that? What is your position?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u136	Mr President, last week, in connection with the distribution plan, it was agreed within the government that we should continue to work in the interkabinets working group to discuss the simulations. We want to land at the beginning of December. We need some time for that. I cannot say anything about the parameters, because no decisions have yet been taken. Nor can I give lists of places where a LOI has been set up or not. The questions date from a few days to a week ago and I would like to avoid saying here that a particular municipality did not set up a LOI, which is perhaps the case in the meantime or that a LOI has already been notified. I may be able to deliver that information to the present day, but I must pay attention to that, because there may be another reception initiative next week. I can say that the majority of the municipalities want to make efforts. The governors are very committed to this, because I believe that all the governors are driving the municipalities to take initiatives, and that is a good thing. In West Flanders it is all municipalities and in Antwerp as well. In Flemish Brabant, I think there was only no shelter in Bever, but that is a tiny municipality. In Limburg only Herstappe has no reception initiative, a municipality of about 80 inhabitants. So the vast majority of them are in full swing. On the Walloon side, the number of municipalities taking initiatives is slightly less, but almost daily new offers are being made, so I am absolutely not pessimistic about this, quite the contrary. Many municipalities, regardless of the political colour of their administrative colleges, are making efforts or have reported that they want to make efforts. However, that is not enough. With such initiatives we open 1 600 to 2 000 or perhaps even 4 000 places, but if we need 1 000 new places per week, the current offer will be full after four weeks. The city councils have to sign a lease. Fedasil's coming over for a screening. That screening can already be done by means of photocopies that are sent through. Fedasil doesn't have time to visit all LOIS and examine its quality. In order to speed things up, this is now done via photocopiers. However, the leases must be approved by the OCMW Board and the permanent agency. In other words, it doesn't happen overnight to suddenly open three apartments in a municipality. In any case, we are in full swing, and that is a positive point. However, we have not yet landed. I understand that some certainly want to set targets in an initial phase. This seems to me to be the most sensible thing, but what will be the situation at the beginning of December? The coming weeks are very difficult in terms of care. The campsites where people are staying will close by 15 November. Those people need to be housed somewhere else. At the moment, the situation is very precarious. I will go back to the government on Friday with a package of measures to provide places, but by 15 November I will have to deal not only with the influx, but also with 1 700 people who have to leave the campsites in the Ardennes. Those campsites close during the winter to prevent the pipes from freezing. These are all very practical matters, but this is how I try to show that we are concerned about them. However, these operational reasons can put us in trouble. We will do everything we can to find a solution on Friday. I have just explained the award to Mrs Fernandez Fernandez. There are 2 200 places awarded to Corsendonk-G4S, Senior Assist and Bridgestock. I shall then come to the compulsory distribution of recognised refugees. I understand from yesterday's debate that there are some legal questions to be asked. An opinion is now being requested from the Council of State. Let's wait for this advice. A few days ago, the preliminary conclusions became known from Strasbourg, if I am not mistaken, claiming that this is contrary to the right to free movement.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u137	(...)
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u138	Your proposal would certainly solve a number of things, don't worry. I'm not necessarily against it, but if it's not legal, then it's not.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u139	Mr President, Mr Secretary of State, I have received an answer to a number of questions and not to a number of other questions. I would urge you to consult with the OCMWFs. Local authorities are not always aware when private partners have applied to the federal government to open shelters. Sometimes they're involved way too late, with the example of Corsendonk. I went there to talk about the refugee crisis and I was told that they were not contacted until the evening before the decision was taken at the Council of Ministers. That should be possible in the future. Municipal authorities are effectively doing their best and that support should be maintained. So as much as possible consult with the municipal authorities. I do not want to talk specifically about Turnhout, but if one sees that there is already a shelter, that Arendonk is around there, that there is a LOI there and that there are additional places, which is not a problem in itself, then it is still important to consult people in time and not to place them for facts. Secondly, I understand that there is still work to be done on writing scenarios and examining the criteria to be used. However, it is important to take account not only of the number of inhabitants but also of the situation of some cities and municipalities following the recognition of refugees. It will then be seen that many refugees are effectively moving to the centre cities and large cities and are under the responsibility of the OMCW. Instead of calling for a compulsory distribution, Mrs De Coninck, and thus countering the right to free housing of recognised refugees, I also think it is important to take into account the number of wage-earners in the reception scheme for asylum seekers. After all, we know that this category has a large number of refugees. Mr Secretary of State, I agree that, if necessary, you will give me the figures later on, or tomorrow, with regard to the OMCWFs which do not yet have a single reception centre or LOI on their territory. You may already be able to give today's figures, because, of course, I will take into account that they reflect last week's situation. Today's situation may have changed by next week, because it is constantly evolving. I know that we have to be careful with these figures and that we have to assess the situation at a specific time. Those figures are good for me too and may be added to the report, so that you do not have any additional work to request them. Then we have those figures. Mr Secretary of State, I continue to insist that we really work on this basis, including with the municipal authorities. There must be a balanced distribution. We are asking for this in a European context. It is therefore logical that we should also apply this in Belgium. If one gets a piece from the municipal authorities one can still do a lot. We're gonna need them.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u140	Mr President, I am not going to repeat everything. I have quite a bit of experience, since I've been on the counter for a number of years. There are good and bad lawyers. In my opinion, bad lawyers are people who seek 37 good legal reasons why something can't be done. A good lawyer is a creative thinking person who seeks good legal reasons to solve problems in reality.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u141	I totally agree with that now.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u142	I know that all sorts of things, legal texts and statements are now being waved around. I believe that there is still some margin if we are honest with this. After all, no right is absolute. For the sake of clarity, I do not want to rape the international rules of law, but I do want to strike balance and balance with a view to achieving good results, both for the individual refugee and for our own municipalities and for their own support, also with the concern to continue to guarantee that support in the long term. Mrs Lanjri asks to take into account the number of wage-earners, poverty and so on. One can develop 101 criteria and one will always find something in each municipality: one because it is on the coast, the other because it is in the hills, another because there are many poor people or because the large houses in Brasschaat and Shield are not suitable for refugees. There are arguments that often, with the virtue of hypocrisy in mind, it is not necessary to accept a number of things. Let's be honest about that. We need to find a simple, acceptable criterion that is very objective and applies to everyone. I have made an offer to think about this and to engage in a dialogue. We'll see what the future brings. In the meantime, I have also experienced that perseverance often recompenses.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u143	Mrs De Coninck, you may of course defend your proposal, but we must be careful not to confuse the distribution plan for the recognised refugees in your proposal and, in this case, the distribution plan for the candidate refugees. I do not think there are any legal objections to the latter, which might be there with your proposal. There are no legal objections, but perhaps social. Mrs De Coninck spoke about the support. That is something we must be careful about, Mr Secretary of State, because the mayor's statements express certain views. I myself experience locally that it is becoming increasingly difficult to find LOIS on a voluntary basis. People are always very hospitable and open, but when people ask about what I have been doing for a month or people are willing to rent their homes to asylum seekers, it becomes a little more difficult or there is always a reason not to. Although you have so far made good efforts to continue to do so on a voluntary basis, I am afraid that we are moving towards a compulsory distribution plan on individual reception places. However, the influx is of such a nature that one should also continue to focus on the larger centres. From the point of view of a local mandator or mayor, it is completely understandable that it is never pleasant to have to defend such a thing on his own territory. However, we are faced with a collective responsibility and no one will benefit from spreading fear messages or inciting them. We must think on a large scale and, above all, continue to focus on the larger centres.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u144	Mr Secretary of State, I agree with Mrs Lanjri that good communication with local authorities is, of course, obvious. There have been so many stories popped up in the media, not just from Koksijde, just to be clear. The communication and consultation between Fedasil and the local authorities can be better here and there, because there is resentment. The responsibility will be shared in any case, but it is and remains a focus of attention. With regard to the LOIS, if I am not mistaken, the VVSG still has a list. I don't know how frequent it is updated, but I've certainly seen a card and statistics. If there is no LOI somewhere, but an NGO that provides shelter, does that make so much difference? Is it still important to have a LOI? How do you see that? Finally, on Mrs De Coninck's proposal, we discussed this judgment in detail, and I stand by my position: I see not only legal objections, but also political-social ones, because it gives the impression that cities are no longer able to cope with the number of recognised refugees. It also runs counter to the free movement of persons. People will always look for the cities where there is most employment, where there are most vacancies, and that is not in Zichen-Zussen-Bolder. That's what the city center is all about.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u145	In West Flanders there are more vacancies than in Antwerp.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u146	Mr President, on the subject of the LOIs and NGOs, nobody needs anything now, because there is no compulsory distribution plan yet. All this will be charged, asylum efforts made in the past will of course also be charged. A municipality where there has never been an asylum centre will, as soon as it becomes mandatory, have to do more than a municipality that has been doing something about shelter for years. Then it does not matter whether the own OCMW intervened or not; an asylum centre in the municipality is an asylum centre. We are working on this and we are looking at how to calculate it. That is a serious exercise, but I think we will find a solution, at least I hope so. I would like to say a few words about the consultation with the local authorities. There is indeed a lot to be said about this. Firstly, for the sake of clarity, a consultation is planned with the VVSG and the French-speaking and Brussels counterparts of the VVSG, at the end of next week or the following week. That comes to their question and that is, among other things, about the compulsory distribution plan. They have questions about that. That consultation is planned and will then take place; it could not be done sooner. Secondly, Minister Jambon and I visit many municipalities where asylum centres open. We have been in Westakker, Leopoldsburg, Houthalen-Helchteren, Hechtel-Eksel, Lanaken the mayor had also been there at Koksijde, Sijsele and Lombardsijde. We continue to visit and our planning for the coming weeks is fairly tight. It is also important that we pass them. Thirdly, yesterday there was an important day of study for which all the mayors and chiefs of the newly opened centres were invited. There were 120 people present. I think most of them were satisfied when they went out. I'm getting that signal from different angles anyway. It was about security and the agreement protocol with the police, with Fedasil and with the partners. Fourthly, this week, and otherwise next week, I come up with some sort of playbook about the method that one can use when opening a center in a municipality. That's meant for the local authorities and it's almost done. Hopefully it'll finish today, or else it'll be for the beginning of next week. That is four important points. In connection with the consultation with the local authorities, I have been asked whether this can be reported on time. First of all, when someone sees a Fedasil van driving in his village, I usually get a phone call. Apparently they're not very keen to be seen right now, Fedasil's vans. When Fedasil gets something in, it makes a place visit. Fedasil makes dozens of place visits a week. That's what four people are doing.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u147	Anonymous cars do that, don't they?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u148	They have cars marked "Fedasil" on them. In the long run, those people have to drive anonymous cars. I think something like that goes a little far. What I'm telling you now is reality. I get a phone call from people who say they saw a Fedasil van and they ask me if I want to open a center there. It's happening really fast. The mayor's been notified before I am. Those people have plans for place visits. They don't tell me where they visit every time. Nine out of ten times it turns out to be for nothing, but okay. Fedasil arrives in a village and the people there fear that there will be a shelter. I'm just saying, it's happening really fast. The mayor contacts our cabinet, or other cabinets of the same political obedience, to ask what's happening and they don't know anything about it. De facto, however, it is often a false alarm. I've got to be careful with those terms. I'm just saying, very often, no centre will be opened there. Excuse me, I take that term back. Secondly, mayors are called before the decision of the Council of Ministers, either by me or by Ellen Verhozen, my chief of cabinet. That has always been the case so far: it is reported before the Council of Ministers' decision. In 2010, under Secretary of State Courard, that never happened. We'll do it now. We only do that when the consultation with the chiefs of the cabinet has gone through the whole process and everything is okay. The mayor's gonna get a call. We are not calling anyone to call again the next day that no political agreement has been reached and that the centre will not open. I think we should not inform the mayors until it is certain that it will continue. That is often only a few hours before the effective decision at the Council of Ministers. Thirdly, with regard to the procurement of the private sector, I admit that it has not always been done as it should. However, I also understand Fedasil. It is tendered to a private partner, who is obliged to contact the local government. It's in the tender. They do, but in what way? Then the mayor calls me to ask me exactly what it's about and how it can't be done. That award's under way. It is an open invitation to tender, so we must be careful to interfere. Then Fedasil says it's tendered and it's their responsibility. If Fedasil should do the same, then there should be no tender, because then that means extra work. Fedasil already has so much work to do and doesn't know where to start first. I understand that, too. For the record, the mayors of the tender are also called by me or by my chief of the cabinet. However, discussions with a number of private partners have failed. Then we have to ask ourselves how we can improve that. I don't think Fedasil should take over. That is contrary to the rules of public procurement. We're writing to the private sector, so the private sector has to do it right. After all, they are paid for that. That is a point of discussion. I understand that. For the mayor of Herselt, that's very annoying. He's right. The private company didn't say anything at first and now says they won't, because they're not interested anymore. What can we do? The contract has been awarded. They're saying they're not opening anymore, because there's too much cost. We'll start infringement proceedings. That's what's in the call for tenders.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u149	When does the first one open?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u150	It's already open. Two of them are already open, but I forgot where exactly.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u151	Colleagues, the Secretary of State has to leave at 12:30, and I understand that another meeting will take place here at 12:30.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u152	Debates of the European Parliament Mrs Caprasse's 6776 has been postponed.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u153	Mr President, Mr Secretary of State, as we discussed last week in this committee, the European Commission is considering establishing a common list of safe countries of origin in order to further harmonise national asylum policies. The development of either a national or a European list is provided for in the so-called Procedures Directive 2013/33. The presumption is then that the asylum-seeker's country of origin is presumed to be safe for the asylum-seeker. In order to obtain an international protection status, it will have to reverse this presumption with particularly convincing factual and individualized elements during an asylum procedure that is now accelerated. The question of the objective criteria used to establish such a list is therefore fundamental since these criteria will influence the decision and therefore the life of the asylum seeker. According to various documents produced by the European Commission, one of the criteria proposed to qualify a country as safe is the rate of recognition (European average) of the last twelve or twenty-four months. In other words, if this rate of recognition at European average level is low, then this would be an indicator that the asylum-seeker's country of origin does not experience persecution or serious harm to the lives of persons. Another important criterion would be whether the country is a candidate for membership of the European Union. However, it would appear that the recognition rate on which European bodies would refer to a country as safe refers only to decisions taken at first instance. In other words, international protection obtained through recourse is not included in the recognition rates compiled by the European Commission. This omission is surprising in that it is reasonable to believe that many asylum-seekers are granted international protection status in all countries of the European Union, in second or third instance, thus increasing the total recognition rate. This is all the more true since many European countries have introduced, at national level, lists of safe countries mechanically reducing the rate of recognition at first instance. We can also question what this European average of first instance recognition rates represents, when we know the huge differences between European countries, with sometimes deficient bodies which generate at first instance a high rate of rejection of asylum applications, thus lowering the European average of recognition of countries of origin. In other words, an average of recognitions at European level really makes sense only in a fully harmonised European asylum system over time, where the bodies take the same kind of decisions. This is still far from the case today. Moreover, the criterion of candidate for membership of the European Union to qualify a country as safe raises questions. Indeed, if these countries are still candidates, it is precisely that they do not meet all the criteria of the rule of law and the Copenhagen criteria, such as Turkey. Hence my five questions, Secretary of State. What are all the criteria currently proposed by European bodies to develop a list of safe countries of origin? Could you confirm to me that the "recognition rate" criterion for determining a country's security will include figures from the first instance as well as from all appeal bodies at national level? If not, for what reason(s)? What is the meaning of the indicator called "European average of recognition rates" to describe a country of origin as safe, when we know the huge differences in the asylum systems of European countries? Do you think that the "applicant country" criterion is relevant? I am thinking in particular of Turkey, which is now the main access route for refugee candidates. We know that the Kurds, who constitute an important minority there, are now targeted by the Ankara regime. Finally, what is the Belgian position in the European Council on these criteria proposed by the European bodies to qualify a country of origin as safe?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u154	Mr Hellings, the Belgian Government's position is as follows. The evaluation should be carried out on the basis of the criteria laid down in the Procedures Directive and on the basis of an in-depth study of situations in the countries of origin, if possible carried out by the EASO (European Asylum Support Office) or the European Commission, as was the case when the list of safe countries of origin was drawn up in Belgium. Secondly, the recognition rate and the fact that a State is a candidate for accession to the European Union are put forward by the Commission as elements of the evaluation. However, the government does not consider these criteria to be crucial. They are not mentioned in the Procedures Directive as elements for evaluation and can be considered as factors among many others. They must be measured in the light of the conditions set out in this Directive.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u155	Mr Secretary of State, I am reassured that, with regard to the criterion "candidate country for accession to the European Union", you are making a difference and that you are aware that a State such as Turkey can be a problem and must receive the greatest attention from the asylum authorities in Belgium. However, you did not reply to me about the average rate for the first instance and not about the decisions taken as a last resort.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u156	I answered that question. The recognition rate is not a crucial element.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u157	What other criteria will be taken into account?
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u158	The criteria in the Procedures Directive. The recognition rate and the fact that a State is a candidate for membership of the European Union, for example Turkey, are put forward by the European Commission as elements of the assessment. But the Belgian Government does not consider these criteria crucial. They are not mentioned in the Procedures Directive as evaluation criteria and can be considered as factors among many others, but are not assessed in the light of the criteria laid down in the Procedures Directive.
ParlaMint-BE_2015-10-28-54-commissie-ic255x.u159	Debates of the European Parliament Question No 70, by Mr Philippe Pivin 7110 by Mr Wouter De Vriendt have been converted into written questions.
