ParlaMint-BE_2015-10-21-54-commissie-ic252x.u1	Debates of the European Parliament Mrs Temmerman's 5175 is converted into a written question.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u74	Mr Nollet, your questions have already been dealt with during the hearing of Jan Bens in the Subcommittee on Nuclear Safety. These responses are available in the Commission's report. The answer to your question No 5944 will give the current status of this file. I can treat him immediately, but the answer is there. The answers to your questions on the Mox hypothesis can be found on pages 24 and 32 of the report of the Subcommittee on Nuclear Safety of 19 August 2015 and in the answer to your oral question No. 2876, which was dealt with on 18 March 2015. All relevant reports have been reprinted specifically for you.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u75	Minister, at the time I put my question, I don't have the answers. Four months ago, there was a gap between the hearings and the committee. Can we deal with this with the elements of the other commission?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u76	Okay. Regarding the evolution of cracks discovered in the Doel 3 and Tihange 2 tanks, AFCN brought together international experts from the International Review Board to assess the acceptability of the equations performed by Electrabel to predict the irradiated embrittlement of the Doel 3 and Tihange 2 tanks. This means that the BRI had to position itself on the acceptability of only part of the approach proposed by Electrabel to demonstrate the safety of the Doel 3 and Tihange 2 tanks. This expert group met for the first time in early November 2014. At the end of the meeting, the BRI presented its preliminary conclusions orally. The preliminary report of the BRI was received by AFCN in December 2014. The expert group concluded that the approach proposed by Electrabel was not mature and requested further work to support the prediction equations. AFCN independently reached a similar conclusion. Between December 2014 and early April 2015, Electrabel provided additional information reinforcing their approach. At the end of April 2015, the BRI met again to discuss the equations proposed by Electrabel. At the end of the meeting, the BRI presented its findings orally to AFCN. Eight of the nine BRI experts consider the proposed approach and the equations used to estimate the embrittlement of Doel 3 and Tihange 2 tanks under irradiation. The last expert expressed concern about one of the terms of these equations. AFCN has also independently reached the same conclusion as this ninth expert. The International Review Board (IRB) submitted a draft of its final report to the Federal Nuclear Control Agency (FCCA) at the end of May 2015. AFCN forwarded this preliminary report to Electrabel together with its conclusions on the acceptability of Electrabel's complete methodology. The AFCN considered that the demonstration of acceptability of the proposed prediction equation was not yet sufficient and requested further work from Electrabel to justify in detail the worrying term of the proposed equation. AFCN followed the most critical expert for Electrobel's approach. At the end of June 2015, Electrabel presented its arguments and new experimental results supporting the proposed value for the end of the prediction equation and justifying the acceptability of the term of concern. Based on these complementary results, AFCN found Electrobel's methodology acceptable. On July 17, 2015, AFCN advised Electrabel that its safety case, the two-reactor tank safety demonstration file, was eligible for review. In response, Electrabel submitted a preliminary version of this safety box. At the end of August 2015, the BRI submitted the final version of its report. The conclusions remained unchanged between the draft of the report at the end of April and the final version in August 2015. During these months, the experts of the BRI have mainly advanced on two aspects of their report: on the one hand, clarification of their arguments and on the other hand, the formulation and writing of the text to try to minimize the risk of misinterpretation by future readers. The final report of the BRI and the safety case of Electrobel will be published at the same time as the decision of the AFCN on the future of the Doel 3 and Tihange 2 reactors, as has always been announced by the AFCN and as has been done in the past. AFCN had announced to Electrabel in September 2014 that it would address the evaluation of this case in two distinct phases. First, to assess the acceptability of the approach proposed by Electrabel to justify that the indications of defect do not endanger the structural integrity of the vats of the two reactors, i.e. to evaluate the proposed complete methodology. Then, evaluate the results of the application of this methodology. The first stage was therefore closed by the AFCN this summer. The second stage is under way. During this phase, the PSAN uses a variety of stakeholders. BelV and AIB Vinçotte evaluate the safety boxes submitted by Electrabel and will submit their evaluation report to AFCN. In parallel, an American laboratory independently evaluates Electrobel's structural integrity calculations. In parallel, the Belgian expert group evaluates the relevance of the hydrogen hypothesis formulated by Professor Boogaerts of KUL. Based on all these reports, AFCN will draw its conclusions on the future of the two reactors.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u77	Minister, first of all, I would like to thank you very sincerely for the clarifications you have made. Having said that, I would like to make three or four points. You say that at the end of August, the experts met again to submit a final report and that the conclusion was unchanged. Does this mean that this report has been approved by eight out of nine experts or nine out of nine experts?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u78	When eight out of nine experts were asked, this was the equation.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u79	At the end of August 2015, the BRI's final report was submitted. Has the report been unanimously agreed or approved by eight of the nine experts?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u80	I can find out about that.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u81	As far as publication is concerned, I do not agree with you, minister. Indeed, in 2013, Electrabel submitted a safety case that was published in February and the Federal Agency made its decision in May 2013. In doing so, it is not correct to say that you are proceeding as in the past, since – I repeat – in 2013, the safety case was published in February and the Agency's decision fell in May. I simply ask you to apply the same procedure as in the past. As you have informed me, what I would like to thank you for, in this case, the safety box arrived on July 17 and it is not yet on the Federal Agency website. In terms of transparency and counter-expertise, this is a problem. I therefore ask you to publish the safety box once it is available, as well as the experts' reports. With regard to the forthcoming timetable, you are telling me that BelV has yet to submit its report. The Americans at Oak Ridge National Laboratory still have to return theirs. You told me it was about mid-September. It's October 21. What then is the timetable in this respect?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u82	The delay is due to discussions about the contract.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u83	What's the calendar?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u84	By the end of this month or November.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u85	Late October?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u86	More like November.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u87	If there are no additional questions from this lab, we could have the lab results in November.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u88	That makes sense. I come to my question, which you did not answer. The closest deadline for the final decision, then, is January, since everything is out of date?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u89	To make the decision, we need at least two weeks after the report is submitted.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u90	Mr President, Minister, the emergency arrest, on the night of Wednesday 12 August to Thursday 13 August, of Reactor 3 of the Tihange power plant comes only a few days after the AFCN wrote a report on various violations at the Hutois site. The incident does not seem to have anything to do with pinned human failures, but would be a new technical problem, this time at the level of the control systems. Is it really more reassuring to know that the emergency shutdown, in the middle of the night, is linked to a failure of the control bar monitoring mechanism when this reactor is barely emerging from a 10-year in-depth review that had put it on hold between 24 March and 12 May? Minister, what exactly is the origin of this brutal judgment? What is the precise reason why the control bar came down into the reactor core? Is this a voltage supply problem for the electromagnet that keeps these bars above the reactor, the source of which would be to look behind the malfunction of one of the two alternators? If so, what is this malfunction due to? Old-age equipment? Why had this defective state not been identified, particularly during the recent 10-year review? What is the risk that this malfunction will be repeated in Tihange 3 but also in other reactors? What measures are in place? Electrabel speaks of a "statistically normal" situation: on average, each reactor would be closed in an emergency once a year. To check this out, can you give us the emergency shutdown statistics for the seven Belgian reactors for the last five or ten years? More specifically for Tihange 3, when was its last emergency closure? The next question supplements the question already tabled by dealing with a new element, brought at the hearing of Mr Bens on 19 August in the nuclear safety sub-committee. Bens said: "The exact cause of the Tihange 3 release is an electrical fault in the system that keeps control clusters out of the heart. It's a passive system. If the electrical tension disappears, the clusters fall. Two circuits supply these electromagnets. A circuit broke down for a reason I don't know yet. We wanted to fix it and it was by preparing this repair that the other circuit started. For the rest, it is still necessary to investigate whether it is an electrical error, a short circuit in the control system. That's for the direct reason that Tihange 3 was triggered." My supplementary question, therefore, is what these additional investigations have done. And in particular, the answer to the questions about why the first circuit broke down and why the second circuit also started.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u91	Mr Nollet, with regard to your second question, a detailed analysis of the event showed that the first circuit triggered a defect in excitation ruptures due to worn excitation brooms. The second circuit triggered by a drop in voltage following an unexpected paralleling of the two circuits. As far as your first question is concerned, answers have been given in the sub-committee. I'll give you some additional information. The risk of automatic shutdown still exists in our nuclear power plants. Since 2005, Belgian nuclear power plants have had an average of 1.3 automatic shutdowns per year per reactor. An automatic stop is a light transition and goes in the direction of safety. In 2015, an automatic shutdown was noted for the Tihange 1 and Tihange 3 reactors. The last automatic shutdown of the Tihange 3 reactor was on 30 November 2014.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u92	Minister, you are right to say that most of the elements have been dealt with except for one point. Why could not the defective condition identified later be identified at the time of the 10-year review? I find it strange that when a power plant comes out of a 10-year review, problems are discovered right after.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u93	The technicians told me that some phenomena are not visible during a review period. The reactor must be in operation to perform these tests.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u94	In a 10-year review, nothing is visible. Then the reactor starts. An emergency stop occurs. During this stoppage, one discovers a problematic element. Didn't anyone else plan on it?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u95	Indeed, it is during the operation that things can be discovered. During the operation, people notice things that are known to have to be repaired next time. That must be done within a certain time limit. If the power plant fails, the maintenance that had to be done at another time will also be done immediately. It happens all the time.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u96	I thank the minister and his collaborator, above all, for their response. I am interested in detailed statistics. You've given the average. I would like to have statistics on Tihange 3 of when we had to make emergency stops. So, if you could give me the statistics that made it possible to calculate this average later, it would make it better.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u97	Mr President, at his hearing on 19 August, Mr Bens announced that, following the incidents, he would examine the problems that have arisen in the past to see whether those that arise today are related to them (page 14). What are the results of this review? He also stated that Electrabel was responsible for conducting an assessment of the root causes of such events. I would therefore like to ask you what, according to Electrabel, these root causes are. Do you share the operator's analysis? Mr. Bens also announced that Electrabel was looking at his action plan and the timing of his action plan, while noting that the AFCN must approve this plan, which will have to bear fruit quickly (pages 15 and 19). What about it? Where is the procedure? Can we have a copy of the approved plan? Finally, he said that he would compile a statistical record of incidents below INES 1 to check if they were on the rise in recent years. What about it? And more generally, what lessons do you learn, as the appropriate minister, from this summer episode?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u98	Mr Nollet, AFCN asked Electrabel to draw up a short-term action plan by the end of September 2015 and to develop an approach for analysing the root causes of such events by January 2016. In mid-October, AFCN approved the short-term action plan proposed by Electrabel. In the meantime, you had to receive a copy and a list of the number of events at the Doel and Tihange nuclear power plants that were evaluated using the INES scale.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u99	We did receive the plan. For the list, I want to be sure that this is the list of incidents below INES 1. We first received a list of INES 1 and 2, but not those that are not listed.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u100	It's to limit the number of events, which count in thousands.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u101	That's the point! Mr. Bens made a commitment to check. He asked Electrabel to check if the number of events below INES 1 was not increasing. I asked to see what was going on. I know it's about thousands, but if it ever is 3,000 this year when it was only 500 three years ago, statistically, it's interesting to know.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u102	It appears that the criteria have been changed. Comparison between different periods is difficult to establish. Didn't you get the list?
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u103	Yes, but I think it was about INES 1 and 2.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u104	I suggest you check, then contact my office. The operator Electrabel is the front-line operator in terms of nuclear power plant safety. It must therefore learn from these incidents and implement the action plan. As the case before us illustrates, we have an independent body which verifies that Electrabel is in compliance with its commitments and which will not hesitate to intervene if necessary.
ParlaMint-BE_2015-10-21-54-commissie-ic252x.u105	Minister, I will take the time to analyse the situation taking into account the additional information that your collaborator will give me. Thank you for your answer.
