ParlaMint-UA_2014-02-20-m0.u1	Ladies and gentlemen, please insert e-registration cards. Thank you.
ParlaMint-UA_2014-02-20-m0.u66	Thank you. May I have the floor of the Pharion People's Deputy.
ParlaMint-UA_2014-02-20-m0.u67	Dear colleagues, as soon as I got the call, said they were dropping a flag from a flagpost near the Supreme Council. Please check your head! But I saw in this, unfortunately, a very powerful symbol: what's happening now is the destruction of the Ukrainian state. That's the first one. Second, it is a war declared by Russia and declared to us on a very signistic day and time. The first terrible casualties, beginning with Sandal Nigoyan and ending with my countryman, Yuri Verbicki, were January 22. On January 22, 1918, after the proclamation of the Fourth University of Gruszewski, Russia declared war on us. Almost a hundred years have passed since then. We've changed a lot. This was testified by Majdan. As opposed to you and me, all of us, the opposition and the non-opposition demonstrate a much higher political culture. We're here in the hall, we don't listen to each other even now, we're standing against each other, and sometimes we eat ass, we eat at this time when we should probably hear each other. And that's what we want to show a different political culture. I think we've only got three months to learn from our great people how to build the Ukrainian state, and we've got the highest political master-class from Maidan. And it seems to me that we, especially the opposition politicians, have not yet adopted it. That's the first one. The other one. We're picking each other up on crumbs right now. So thank you for speaking to those colleagues who had recently been, let’s say, set up for me in hard opposition. Thank you for your sincere words and for your openness. If we do not learn to eliminate hypocrisy and pharisaicism from politics, we will all have very powerful trials and trials of death. Today, 12 corpses were brought from the hotel of Ukraine, mostly young boys in the '90s, '92st and '89s. One pensioner was shot here. It's made a huge difference in our lives with you, I think it's changed. Lena Kostenko said, "Nothing that cures death," I see that for some in our society, death is not even a cure. The Lord has given us three fundamental gifts: the first gift is life, the mystery of life, the second mystery is death, which came to us today, and the third gift is love. God forbid she's in this room today winning for those 70 souls who have left today, for those 28 souls who have left yesterday, for those 5 souls who have gone away on January 22 they're looking at our bodies in this room in a way that doesn't feel at all. These people who died showed us the highest. Heroism. Until recently, I thought there was more to it than heroism. Now I realize that's really heroism in Cuba. Let us be worthy of this heroism of those people who today have become bodies because of the thoughtlessness of one man above all, Yanukovich!
ParlaMint-UA_2014-02-20-m0.u68	Thank you. I will inform you, by no means, the flag on the spot, all right, the flag hangs over the Supreme Council. It's all right, no one was hitting the flag. Here's to Sergey Soboljeva.
ParlaMint-UA_2014-02-20-m0.u69	Dear friends! Respectable citizens! So one of the speakers here said one, in my opinion, absolutely the right thing to do. Janukovic had two elections three months ago: either to sign a treaty with the European Union or to sign a treaty with the devil. I think he's made his choice. For a man who would not sign a covenant with the Devil would never give orders to shoot people, would never give orders to drop the armed forces on humans. That's why, in fact, the choice he made for himself, I'm sure, will never become the choice of our people. Because in this session hall there are neither party members nor party members, and in this room there are either Ukrainian citizens or scum. I can't call these people differently. For on the conscience of everyone who has not come to the session there are those who have perished on both sides. And I don't care who it is, or the 18-year-old guy who stood on the barricades, or the 18-year-old Dwarf who was thrown into these barricades. After all, blood is on Yanukovich's hands and anyone who hasn't come to this session. When I heard from Mr. Tihypak this morning that he and dozens of deputies from the Party of Regions had grown to the point that we had to film the Chief of the Supreme Council right away, turn him over, I thought something had happened to Tihypk. But I don't see him in this session room. And I think on Tihypka, if he doesn't show up here, there's the blood of those hundreds already dead and thousands injured. And Sergey Leonidovich will never wash away his team from this blood unless he shows up here in the hall. Because we need to make literally three decisions. The first decision is, no doubt, the replacement of the Head of the Supreme Council so that all the decisions we make here are legitimate. Second, we need to adopt decisions for those tens of thousands of young people who are now, including staying at the Supreme Council and the Supreme Council, who are begging the deputies, "Make a decision to send us to our locations." This is true of both the guards and the Santa Clauses and the Hersonians, and no matter who. All those who were actually brought into battle at Yanukovich's orders. True, some thought they would shoot and found that they could defend themselves. But I don't care in this case who eventually gets to deal with it. So the key question that we need to come up with is these guys have to go back to their locations. And they can't use weapons by any order. This is the Supreme Council’s decree, which is required for the Ministry of Internal Affairs and the Ministry of Defence to execute. It fits any Constitution -- old or new. The third decision we have to adopt is the decision to restore the constitutional system in Ukraine. No one will go back to any Constitution. Just as they tried to renegotiate the existing Constitution, claiming that it was no longer in force, it is this session hall that should restore the functioning of the Constitution in 2004. It's not a constitutional change, it's not a substitute, it's a declaration that the country has been living outside the constitutional system for the last four years, and so we have to restore this constitutional system in the country. And another fundamental moment is a moment of morality. Anyone we don't find voting on these issues actually understands: at any point today, tomorrow all that was on the streets, especially today, could continue. That's why it's a choice for each of us. And I think this choice is obvious: it should be a choice in favor of humanity, it should be a choice in favour of no more shooting in the country. That's the main thing. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u70	Thank you. May I have the floor of the People's Deputy Zubko? None. People's deputy Kaplan, please.
ParlaMint-UA_2014-02-20-m0.u71	Dear colleagues! Dear people of Ukraine! Today, millions of Ukrainians are observing the performances of national MPs, especially those they have never heard. And each of us today is talking about the Supreme Council being the last barricade of the Ukrainian people, the barricade in the struggle for justice in this country, for the right of people to live, not to exist, to be human, not beings. I am the national deputy of Ukraine, chosen by the simple people of Poltavska, who will not leave this hall until this hall gives birth to decisions that will stop the bloodshed in our country. None of us have the right to delay the return of Ukraine's history to stability, to guarantee the safety of our people, to any of the present and those who, I believe, come here to change its history, have the right to close "the history textbook of Ukraine," to close "the history book of Ukraine" and to put a stop to it. We're going to continue it and start with a capital letter -- a letter of unity of deputies, no matter what color their party flag is, no matter where they choose -- in the East or in the West. I'd like to address the people of Donbas and the South of Ukraine. The regime has betrayed you. You put the President in his presidential chair. The government of Azarov, which is not there, but which de facto is still working and de facto is still guided by this disgrace of the history of the country called Mikola Azarov, "climbs" and all of them -- they all got their time's mandate of your trust. And today, instead of bringing the Donbas mine into order, where there are explosions on government mines, where order is supposed to guide government, they're spending money on aunts. They spend money on fuelling hundreds of buses to take people across their knees to the antimad to pay them for it. They spend money on this, not to save millions of people from death, from diseases in the Dnipropetrovsk, Zaporzik, Donetsk, Lugansk, Kharkiv region. They left you alone, they don't pay you with problems, they don't pay you pensions, they don't pay the military, they're all on the treasury accounts that they stole from you today, they're all about arming the army against the Ukrainian people. And today you have to tell them your word, the word of a miner, the word of a metallurgy, the resident of Donbas, and even the idea that they might come back and continue to rule the country. I am very happy, and I am very proud that there is no room in Poltava today in the Poltava region, directly in Poltava. A few hours ago, people came to the city council and from there they took the city's head to a night where he had already said that he was no longer a soldier of Yanukovich, he was no longer a fighting unit, as he had previously said, or a party of regions project. The district governor handed over the State Administration to the People’s Council. And this wave will continue. I'd like to go to the regionals, and you've got a tough choice. One house knows what you're going to have to live through tonight and what choice you're going to make. But I wouldn't want those snipers who, by the way, judging from the media's information, based in the Cabinet of Ministers of Ukraine and shooting at the Kabmin club against peaceful protesters, killing people. And these dead men, these corpses, they brought under your houses and showed where your inactivity led to, what you're hiding your head in the sand and you're not here, you're not doing what you're supposed to do -- stop the violence in Ukraine. People are good, remember what year. 2004 It has been 100 years since World War I, and today the President of Ukraine is solving the third one, seeking to conquer the worlds, to set the planet on fire. Ukraine will not be awash in the international environment, it is a great country in which the future is great. And it's those regions that are now hesitant and making decisions that can start writing a new story, getting blood out of their hands, becoming Ukrainians, and proud of their entire lives, which they have left with the status of the people who saved Ukraine from death. Today is a chance for them, and I don't think they're going to join like Klimenko, who just flew abroad again after what the Internet is sounding like today. I am convinced that the rallyers are to go and watch the VIP hall of the airports today and watch where those who betray Ukraine flee, turn them back into the session hall, and go their own night to the apartment and house of everyone without excluding a major region or where they know he lives and come back here to save Ukraine. Today, this is a great opportunity for our nation. I want to thank the MEPs, and I want to thank the international community for being together with the Ukrainian people today, and we have finally awaited the imposition of sanctions against the criminal regime, because, frankly, we have already been abandoned by the hope that there is an international partnership, there are international responsible institutions, and they have given the people of Ukraine their confidence in this. And the last. During these two months, Ukraine has seen everything that can be seen, through everything that can only be survived. I want to address the President of Ukraine. A few weeks ago Kravczuk and Kuchma tried to become mediators and there was no Yushchenk. Why he was not known by the whole country, for he was shameless in this hall by his presence and was not spoken of by any negotiators. Today, Yanukovic has a historic chance to go, to go, and not be the same as Yashchenko, who has been spitting in the back for several years and will continue to spit as much as he will live. Release Ukraine, release it from the regime, and let people finally breathe and exist. Because these anti-maidans will show you flowers, berries will be tanks that will go out for the Ukrainian people when the military takes the position of Maidan. Countdown for a minute, everyone to the Supreme Council Hall to save the country. To save her people and to put her on the paths of prosperity, and those who are surrounded by Yanukovich's robes of his generals must go, to their place in the administration, and to the chair of the President shall be seated by a man who will carry out reforms in Ukraine. And give people the opportunity to live, not exist, to be human, not human. Thank you.
ParlaMint-UA_2014-02-20-m0.u72	Thank you. May I have the floor of the People's Deputies, Mr. Nadjajchenko?
ParlaMint-UA_2014-02-20-m0.u73	Thank you, Your Honor! Dear Ukrainian citizens, today Parliament really knows what to do and should be done immediately to everyone here and now. The first action for all of Ukraine is to stop killing people. The first action, in the name of every Ukrainian citizen, is to stop the violence, disenfranchise and remove all who order the shooting. The first act, and it will be done today in this Parliament, will be voted by the national MPs who are and who will approach the Supreme Council today, in order for the Ukrainian army to likewise receive from our Supreme Council, from Parliament a ban on the use of military forces, forces and weapons against Ukrainian citizens. Our decision today is to adopt and adopt decisions that will stop the use of weapons against humans. The other one. Today, Parliament will have to decide on the responsibility of everyone who works in executive bodies, in public organizations, in medical and nongovernmental bodies, and for each deputy, including. Start a large-scale humanitarian action to save every human being in our Ukraine. Medical care, the immediate delivery of drugs, the restoration of all means of transport. To inform every parent, every parent from Donetsk to Chernigov and to Lviv about their children by the end of the day: where they are, what they are with, and how we help them. Similarly, the third thing that the Supreme Council will do today is that we have no doubt about it. By our decision today, which will necessarily be voted on, we will appeal to the National Security Council. To the Security Council of the United Nations, this is the organization of the Supreme Council's decision today to stop the shooting of people on any street in Ukraine will be brought to the attention of all countries that join the UN Security Council from Vladivostok to Los Angeles. This will mean our firm and clear word to the Ukrainian Parliament on security assurances, including from every UN member country. So we don't panic, we'll be brave and act here and together. We act together, acting in the name of every human being, every Ukrainian. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u74	Thank you. May I have the floor of the People's Deputies of Shufric?
ParlaMint-UA_2014-02-20-m0.u75	Dear colleagues of the Ukrainian National Deputies. Today is a truly unforgivable, tragic day in the history of modern Ukraine. In the streets of Kiev, tragedy, tragedy, tragedy, and social tragedy have taken place in these moments. People are dying on Kiev’s streets today, and that is unacceptable. Who's to blame? The guilty government? Absolutely. The government is to blame for what happened and could have happened in our country. But are we not guilty of what is happening? Guilty. Some -- because they called, others -- because they didn't pay attention to it, others -- because they thought it was going to happen. Some thought he was in control, turned out he wasn't. So today it is the shared responsibility of all of us. And together, we have this issue to settle. Today, I hear about the purposes of today’s meeting. Of course, the Supreme Council can do much. The authority of the Supreme Council is significant, but I'm paying attention to the legitimacy of any decision, because today the country is suffering from a rather questionable decision of the Constitutional Court of September 30, 2010. Isn't that right?
ParlaMint-UA_2014-02-20-m0.u76	And are we now going to correct in yet another questionable way the mistake that I believe is to be taken by those who voted for it? It was no accident that the judges of the Constitutional Court concealed the names of those who voted in favour. And we have to get to the bottom of this. But this. [[B in m in s a l in]] But it will be later. Now we're talking about the need to balance the branches of power, and that's true. And I want to tell you that my colleagues from the Party of Regions, who today have a deep sympathy for all families of the dead, are willing to do so, but in a legitimate way. Where are they, you ask? They come and you see more and more every hour. Let us be frank and speak the truth to society. Yesterday, all the faction leaders decided that we would not work today and tomorrow, but that decision certainly did not foresee what happened today. Many of our colleagues hundreds of miles from Kiev, and believe me, they won't hide, they'll be in this room making decisions. Today I ask you to refrain from making decisions that can exacerbate the situation inside our room. Because today we need to concentrate 400 votes and more, 447 votes to settle the issue in our country. And we must do so today. I reiterate my deep regret over the loss of our citizens regardless of which side of the barricade they were on. And we're moving into this room to meet each other, we're starting to hear each other, very few people have paid attention to this, but today our fellow Ukrainian national MPs from the Fatherland faction -- colleague Kupreyczyk and our colleague from Dnipropetrovska Bezbach spoke Russian. And our colleagues in Freedom have taken with respect every word spoken from this rostrum. After all, we must come to the conclusion that no matter what language we speak, citizens of Ukraine, regardless of which side of the barricade they are on, are citizens of Ukraine. And really in Lviv and Donetsk, in Ivano-Frankivsk and in Luhansk and in Crimea and in Ternopolska today, people want one thing -- to stop fighting in Kiev, so that people don't die so that people have the right to their civic will. And we have to make sure that Ukraine is the only one we have and that it is strong. And that now depends on us being with you.
ParlaMint-UA_2014-02-20-m0.u77	Thank you. May I have the floor of the People's Deputy of the Prince. I won't. People's MP Tomenko, please.
ParlaMint-UA_2014-02-20-m0.u78	Dear colleagues, we all voted with you a few months ago to honor the 25-year-old withdrawal of troops from Afghanistan and the days were near the monument to the Afghans. And I and my friends, who I served with in Afghanistan, was at a documentary that helped make my brothers and your colleague Sergey Kunicin. This film, on April 30, 1984, was actually shot in one battle by our first battalion of 682nd Motorbike Regiment. And we thought that in Afghanistan, when there was a war, in one battle, 67 people were killed -- that was an incredible disaster, that was a tragedy. And today, in Ukraine, in the last three days, how many people have died, like in a battle in Afghanistan in Pansher. I have a question: Who needs some rational and irrational argument to explain that we cannot stop the bloodshed and make the right decisions in Parliament? I have a question: Who is backing Yanukovich today? I realize that there is a family. Because, as in the past, Lazarus Kaganovich in Ukraine is soon to be taxed not only by all humans but by every fruit tree and every pig. Because once Kaganovich did so to destroy the rural population in Ukraine. I understand the interests of the family. Why do others protect Yanukovich? Here's a question. You can see that it is now the turn of the district council to repent of people and to say that they have acted wrongly for four years. Is there not enough conscience and understanding today to stop a more bloody war, with what in Afghanistan? By the way, in Ukraine, I would ask everyone not to use the fatalistic word "civil" war. Fortunately, we don't have a civil war. We have a small-scale war against the Ukrainian people. And we can't stop this little bunch of people. That's why we didn't and didn't have a civil war. Once we understand that, it will be much easier to find a way out of the situation. So my proposals are as follows. There's a first category of issues that I think unites everyone, is to stop the bloodshed and stop the so-called "anti-terrorist" operation. Friends, do you think the anti-terror operation is stopped? No, it's going on. According to the relevant decision, which has been sent here from Russia by a "poison" who temporarily heads the Ukrainian Security Service, because he has only recently arrived from Russia, and I understand that Russia's orders are being followed, he wrote down with his group the whole scheme that, to make sense of it, was sent to me in Zakarpatta by decisions of the courts that have already been prepared on the basis of an anti-terrorist order, that all the leaders of the opposition of the local Midans, all active activists, all journalists will be taken on the basis of decisions of the Kyiv courts that have already been drawn up. Don't we understand that today we have to stop this man, we have to do everything we can to make the so-called "anti-terrorist operation" go back to history, because, well, what could be an anti-terror operation, because the head of the Security Service explained to us how? He says that since terrorists are here, they need to be stopped. These are the terrorists that Yanukovich applauded because they are the same people on Maidan. So today, a bunch of people are struggling with the majority of the population of Ukraine. So the first position. To stop the bloodshed by guaranteeing that there will be no anti-terrorist, extraordinary, other states in Ukraine, and that all the people involved in these decisions should be retired. Second position, friends that you and I have forgotten. While we're having discussions here, we have the famous Supreme Council of Crimea already in Moscow saying that we need to think about how to get out of Russia. I'd like to ask my friend Constantine, who said this in Moscow, to give people money first, because he and his company, the Consul, took money and didn't build houses, return money to the budget, repent to those people, and then think about how to disconnect Crimea from Ukraine. Our second position in Parliament, which we must accept, should be to give a clear warning to those who think how federalism can do, how to break Ukraine apart. This is a clear decision. Crimea is the decision of the Constitutional Court. If they haven't stopped, the dissolution of the Supreme Council of Crimea and the corresponding criminal cases against those people who stand in the position of so-called separatist moods. This is the second category of questions. The third category is related to organizational matters. I think that we should bring it into line today when we say that every national MP should act as the electorate requires, I believe that we must, among other things, decide that we should be able to create parliamentary groups and allow the majority MPs who are currently trapped in the Faction Party system to form their own MPs, protect the majority groups and act with us. This restructuring of Parliament, I think, will give us the opportunity for a transitional period, because I think that the mission remains that way -- to stop the bloodshed, to prevent the country from breaking up and to ensure a solution that will lead to the presidential elections in the early days. Until early presidential elections, we must ensure that the economy is maintained, we must provide tools for honest democratic elections, and we must do everything we can to make sure that people are convinced that not only will the reintroduction take place in the near future, but there will be a new power that will return Ukraine not only to a peaceful but to the Ukrainian, European regime. And maybe the last thing you won't like is, you know, for the last ten years, I've been in opposition to Kuchma, I've been in opposition to Yanukovich, and I haven't entered any transitional and temporary governments, and I haven't maneuvered along with the party general. But I am far from political snobbery today, so that we can manifest it here. I think we should give everyone the right to act. And if Lord MacKeenko did the deed today, we must say he's a real man today, because in today's situation, headed by Kiev, he did the right thing. And if more people who have not yet come to the Supreme Council and want to get there, we have to support them, because today, these real men depend enough. Therefore, glory belongs to those who are capable of doing things. And the glory of Ukraine!
ParlaMint-UA_2014-02-20-m0.u79	Thank you. Here's to Sergio Mishchenka.
ParlaMint-UA_2014-02-20-m0.u80	Sergei Mishchenko, 98th District, Kiev. Dear colleagues, honourable citizens of Ukraine, the first thing people expect from us today is unity for us to demonstrate unity in this room. So I call upon all the politicians who have spoken and who will speak from this rostrum. Because unity can be destroyed by the word worse than a bullet. So everyone has some insults, someone has a lack of acceptance. Today, all the images have to be put in the same place and beyond. And that's why everyone has to show Ukraine, to show the Ukrainian citizens that we're the only ones here, that we want peace here on this earth. And that depends on: a) whether we're going to make a new democratic majority now, that's 226 or more, or b) if we don't create this democratic majority, but we're going to make a decision that people expect of us and there will be no more killings on the streets, not just Kiev, but on all the streets of our country. Second, what do people expect from us? It's a momentary decision-making, immediate decision-making. Because every minute, every hour of not making decisions is new killings, new violence, new anti-terrorist operations. Therefore, those who call upon the conscience of those who have not come to this room have no conscience; for them money and positions are more important to them than human life, than Ukraine. So they have their constituents, they know where they have public reception? They know what to tell their majority deputies why they're not here with the people? Why aren't they with you? Because I'm sure that unity is what I said first in the audience. And these people who came into the room have a civic position, they want to make a difference. I can tell these people are you, they're patriots who really want peace in this country. And the third. What do people expect from us? That's what, when we come out of the rostrum, we could each have hundreds of suggestions. I can tell you ten now. I ask, if the leaders of the opposition factions have made any decisions, let's not be upset about making these decisions, because there are more. Because there are more opposition deputies in factions. And that's why we're making decisions here. The fact that more opposition deputies were admitted. And that's why we have to obey now because this majority of the opposition deputies are accepting. And the question is to put together every decision that each of the leaders of the opposition factions of 226 votes and more. So when I finish my speech, I want one. Consider the first, the second, and the third. Now let's show the country unity, quick decisions, and unite this country. Thank you.
ParlaMint-UA_2014-02-20-m0.u81	Thank you. May I have the floor of the People's Deputy of the Prince.
ParlaMint-UA_2014-02-20-m0.u82	Sergei Sobolev just came up to me and stressed the news that you can all read because you're reading the iPad, the news that Yanukovic has agreed to the next term's election. Two hundred and twenty-six votes are enough for the election. Obviously there are international arrangements, but we can assign them in this room. Just as Donald Tusk, Prime Minister of Poland, said, he agreed, and they all spoke together about the urgent appointment of a technical government and the speediest changes to the Constitution. But we need to keep in mind the other. We now have 100 dead people, even more. We have events all over Ukraine where people take control of regional organizations, administrations, militias, we have titties, we have bullying and murder, and we have a situation that no one is in control of. I won't be here long. I really hope that these international consultations that have come to an end, as already reported by foreign prime ministers on their own television channels, will be announced to us by opposition leaders who have met with these representatives, and here will be a part of the majority, and we will vote on all of this. I have that hope. But we will not forget the hundreds of people who have died; we have no right to do so. We need to calm the situation immediately. And I want to make the next point. If we don't have 226 votes here, we still have to act. Notice, please, that all people in the regions and areas -- where they are re-electing power -- are stressing that they recognize the People's Council. What is the People’s Council? We created it. In fact, it's decorative, I'm sorry, it's the formation where we've gone from the democratic factions to the democratic factions, but there's no other action. So it seems to me that if we're not in this room immediately to gather 226 votes so that, according to the current legislation, we can appoint elections and take the situation under control, and create a government here, if that's not the case, then we should urgently give life to this People's Council, invite those national MPs who came out of the Party of Regions. Most of the time, start working in it, create a government of national trust, invite professionals. Because right now, I'm sorry, we need to do something about the snipers that are shooting. It takes someone to leave the military experienced here, General Kuzmuk, we have Cosmiakin, we have Jarem, there are many professional military personnel in various parts of this room, and we have taken steps to stop it. So I think we really have the last time today that we have to take the situation under control. Otherwise, if we don't become effective managers for the country to get it out of this military crisis and start building it either in the form of a working Supreme Council or in the form of a finally working People's Council, it will be very late tomorrow. Well, we're waiting for these colleagues right now, and then I think we're going to have to go back, if it doesn't work out here, to the effective restoration of the People's Council, which people in the regions have recognized. Thank you.
ParlaMint-UA_2014-02-20-m0.u83	Thank you. Here's to Igor Miroshnick.
ParlaMint-UA_2014-02-20-m0.u84	Glory to Ukraine! Dear colleagues! Dear Ukrainians! You know how hard it is for me to talk today because today is my birthday. Today is my 38th year, and this is one of the most tragic, certainly, days in the history of Ukraine, and this is certainly the most tragic day of my life. Because no death is worth celebrating and talking about except human lives. It is very important to talk about life today, and it is vital that we do not forget one simple thing, and it is said that we should abstain. Our maintenance, constant maintenance, and constant conversation led to bloodshed. 18 numbers were the last day of maintenance, when, unfortunately, our worst predictions came true and people began to die, not by one, but by tens and hundreds. These people are modern heroes, we've talked about missing heroes in the history of Ukraine, they're, their thousands, they're standing on Maidan, they're not worth money. And I want to say that this is an example of the unique self-organization of the nation, there are hundreds of thousands of Chinese, hundreds of thousands of Ukrainians, each of them making their contribution, their contribution to not being poor, and they remember one principle: "better death is worthy of glory than a disgraced life." There, people take their wheels, they take their food, they take their drugs, they support the heroes who die on the barricades, they die not for money, they die not for glory, they die for conscience, and they die for honor. And today we have to do everything we can to stop the bloodshed, today we have to do everything we can to stop the disgrace and stop their deaths, unnecessary deaths. People have come out against shame, and they are fighting today, so as not to be disgraced, they are willing to die. And once again, I emphasize, to every member of the Party of Regions, first of all, Communists, you know how we treat communists and their ideology. Today, the issue of human life must unite all Ukrainians, all responsible Ukrainians. Anyone who does not come to Parliament today and vote in favour of all necessary decisions will be personally responsible, along with Yanukovic, for every life that has been destroyed. I want to say an extremely important thing. Today, I have seen the faces of inner - military children, whom many actually consider to be enemies. Sad to say, today the authorities have also abandoned those who are in the pursuits of internal forces on the leading barricades of the role of “harmed meat. ” Similarly, she abandoned those Ukrainians who struggle for their dignity and glory. I looked into the eyes of those children whom today some 60 authorities had cast in the Ukrainian House and in the Yellow Palace. In order to break them up, rallyers who want revenge for their brothers were killed to kill them. They did so on purpose because human life is worthless to them. Do you want to be responsible for these crimes? No, it's not. These people are alive, and I want to calm down all the mothers and parents of those children who are serving in the internal forces today. Because there are no animals on Maidan, there are no terrorists on Maidan. There is a Ukrainian nation in Maydan, and this nation wants to live, and it will live in a free country. Today all these children, the Internal Forces, are fed, they are given medical care. Unlike what the authorities did to Midan’s activists when she killed them and then allowed them to die in car accidents without allowing national MPs or friends of theirs or even medical personnel. We realize today that we have no civil war, we have no conflict today between East and West, we have no opposition today to Russian-speaking, Ukrainian-speaking. We have no opposition to religion today. There's Janukovic's Family, his close and awe-inspiring, who are willing to bang and kill everything in their path, and there's the Ukrainian people. And today is a very important thing to do. We have to take sides with this Ukrainian people, regardless of party membership. Today, we have to realize, by the way, that with respect to those hares, the irony of fate is another. I got a call today from my christian who lives in Kharkiv, and I haven't seen her in a long time, and she's grown up, and she says, "In the middle of those guys who got held up by rallyers who saved their lives, so there's no bloodshed between Ukrainians, my boy, how he feels, I'm worried about him. He just went to the army, took him there, he doesn't want to stand for anyone." She's from Kharkiv, she hates Yanukovich just as much as she disrespects those bandits, Gepp and Dop, who said that in order to preserve the gold toilet, the Ukrainians could be destroyed. And we're going to do everything we can to make sure that every soldier of the internal forces who didn't throw in the rallyers didn't shoot the rallyers, but was used by this bandit power as a cannon meat, not become a cannon meat during the brotherly war and revenge and went home. I want to address every relevant law enforcement commander today. I was just talking to one of them, and he said to me, "vote and do everything you can to stop us from being used on the barricades." Today the flower of the nation is killed, today the Ukrainians who are 22-23 years old are the peers of Independence. Today, not only is Janukovic aimed at each one of them, but it is the heart of everyone who dies in Maidan and the streets of Ukrainian cities that Putin is targeting, Russia is kissing, and it is aimed at the heart of Ukraine. And if you care about the fate of the country you live in, you have to do everything you can to stop this gang. You must do all you can to ensure that no more life will be devoted to the altar of what will necessarily be a victory, for our fight is doomed to victory! No one can win the war against the people. No one will win the war against the people. And we want the price that's already paid to stop the bloodshed, enough to stop it, enough to stop it, enough to take the troops away, stop the use of weapons, solve the problems with those sniper bastards, some of which are considered by entertainment to be gunfire in peaceful rallyers, and target something in the left eye, or something in the right eye, trying to pinpoint a feather like that with a bullet-sniper to show what will happen to the Ukrainians who will live in the new roadie empire, they won't be able to do that. Today, I think there are a lot of very important issues that this House should approve, but first of all, to vote for a decision that, I hope, even those who say, "You need to abstain" will not hold back and get rid of their impotence, the decision to immediately cease the use of any weapons on the streets. And the second determination, immediate withdrawal, return of all forces, internal forces, Berkut, all without exception, to the place of permanent deployment where they are. They want to go home, they tell everyone. We have to give them this chance. The Supreme Council of Ukraine is the only legitimate government body trusted by millions of Ukrainians. For the regionals, someone also voted, and they also want us to stop the bloodshed. A decree that will allow every commander of the internal forces, Berkutu, other special forces to take their soldiers back to a permanent location. A decree that will allow anyone to give legitimate reasons to those who give them illegal orders, to show the Supreme Council’s decrees and not use weapons will save millions of lives. Thank you all. Glory to Ukraine! And glory to the heroes who died for Ukraine's independence!
ParlaMint-UA_2014-02-20-m0.u85	Thank you. May I have the floor of the People's Deputy of Laupin.
ParlaMint-UA_2014-02-20-m0.u86	Dear Ukrainians, I want to remind you that today is not just a war, today is a dignity revolution. It's a rebellion of worthy and free people against usurpers of power. That's where it all started. That is exactly what we need to decide to come to some peaceful solution. What is the reason? And where did this revolution start? In fact, the root cause was created in this room when you and I did not find any political forces with you in 2010 to oppose the illegal usurpation of power by Yanukovich. When the Constitutional Court announced its decision, then, in 2010, in this room, we had to stop this decision and not allow the introduction of an unknown text of the Constitution, which was never, in fact, legitimately approved by the Supreme Council. We have to get back to this room. Otherwise, the problem cannot be solved. There was a lot of discussion here about the legitimate way, the creation of a commission, everything else, in fact all of this then, first of all, we have to say that the Constitution never changed, four years of being deceived and forced to live in an illegally unconstitutional way. We just have to state the fact that we're going back to a valid constitution, it's never lost its validity. Then you can create working groups and commissions, improve the Constitution, move through reforms, which, by the way, requires a free people on the Maidan. Did they have another way of protecting their rights? Unfortunately, it was in this very room that we left them no other way. When the Supreme Council allowed Yanukovich his silent consent, its own. Her inaction allowed her to concentrate absolute power and allow him to direct this power to create outright corruption, and a system was set up in the country when there was no other way to protect her citizens' rights, except to go out and fight for her rights. And that's not why it's a question of whether it's a revolution or not? It was a question of when is this revolution going to start? Of course, the tragic loss of people, we have hundreds of deaths today, but the usurpers of power were first tortured, then individually killed, then killed by hundreds, but not stopped. They did not stop the Ukrainians and will never stop them. The usurpers of power today act as invaders of the country. And countries are doing the opposite, the whole resistance, and it's going to do it. Why do we need to make decisions today? But because the depraved Yanukovic and his depraved power ministers are capable of dropping troops as occupying authorities on their people at any time. But this will not stop Ukraine. The motto is, "Will or death!" In the last days, there has been, not a crossover, but a very personal sense. And those who sacrificed their lives made that slogan. They chose death for the will of their people. And these are heroic acts. That is why today we need to make decisions and not leave this room, that their lives have not been wasted, that they have not offered in vain, however tragic this may be. We must realize their purpose for which they have made this sacrifice. We have to change the country, we have to destroy this usurpatory power, we have to destroy this monopoly power and create a real democratic Ukraine. How can we do this? In fact, everyone knows. In fact, it just wasn't political will, and honestly tell yourself, honorable or disrespectful MPs of most people who aren't here today, you just didn't have the guts to do it. Because in order for regional MPs in this room not to think, in fact, no one's ever been interested in it, they were just doing the tasks that Janukovic, the usurper of power, gave them. And that was almost four years ago. Therefore, we are simply obliged to correct this situation and to adopt decisions that will really be taken as decisions that lead to a country’s recovery from the crisis. And I'm sure we can do that. Glory to Ukraine!
ParlaMint-UA_2014-02-20-m0.u87	Thank you. Dear Society, I'm going to ask about 9:30, I hope we can get to the vote now, so I'm asking who's in the towers, in the buffet, to ask my friends at 9:30 to be in the session room. By that time, I hope that by that time we will have a full number of people who will want to carry out the tasks that society has set for them today. As I speak, I invite the national deputy Kanovts.
