ParlaMint-HR_2022-04-28-0.u102862	- Mrs. Crescent. Hope Dreven Budinski will be the position of the HDZ Representatives Club, please.
ParlaMint-HR_2022-04-28-0.u106132	Mr. Dario Zurovec will speak in front of the Club of Representatives of Focus and Independent Representatives, please.
ParlaMint-HR_2022-04-28-0.u106133	Here's a thank you. Since I've already referred to one part of this law, I'm going to read a letter from a lawyer just so that the general public can see through the waist how the problem within these laws can be seen. The biggest problem for the defendants themselves, the suspects and then their defenders, the proposal in Articles 19 and 20, which provide for mandatory audio recording of the debate without transcripts or transcripts, will make up the audio video of the debate and the record of the course of the debate. Namely, the defendant does not have the right to copy the video from the debate even when there is no defenders, but the copy depends solely on the assessment of the President of the Council which decides on this on the basis of an unspecified criterion of justifiable reasons. Taking into account even if the defendant does not have a defender, however, the draft proposal does not state which reasons could be justified, except by saying, in particular, in the case of a defendant who does not have a defender and when the debate begins again because of a change in the composition of the council. In this connection, the following start-up problem is imposed. Let us consider that a verdict has been reached at the hearing, and the defendant has no defenders, the same request for a copy of the video. Will the time limit for making a copy of the video and the time for submission affect the course of the appeal? The work of the Court of Appeal will be very difficult without copying, or transcripting evidence, and will lead to further deterioration of the control function of the High Court, which means the quality of judgments and judicial jurisprudences, and this is exactly what the bill allows. We believe that the copying of the video of the debate must be an obligation, not that the same depends on the assessment of the President of the Council. Only in this way will respect the rights of suspects, defendants and respect for the basic principles of the parties and, in particular, the principle of equality of arms, and ultimately enable the exercise of the control function of a higher court, which necessarily leads to quality judgments and, of course, the effectiveness of the court proceedings. I'm going to leave this paper for Mr. Secretary, so I hope you'll consider it.
ParlaMint-HR_2022-04-28-0.u106134	Thank you. Mrs. Sandra Bencic, Green-Left Block Representatives Club. Here you go.
ParlaMint-HR_2022-04-28-0.u106135	I thank the chairman. I'll say it first because I want all citizens to know why there are no parliamentary deputies here today. There are no MPs here, not because they would be uninterested in the question of what HDZ represents as a judicial reform, but thank God it's not, so no one has to get excited because it's literally about the technical changes but it's very dangerous and I'll say in which part. However, the hearing committees of ministers, i.e. ministers' candidates, are placed on the day of the session, and this session at which we have the PPP and the CAP is embarrassing. Because I don't see any reason why the Minister's hearings couldn't have been on Tuesday when the session was gone. Didn't you know who was going to be ministers on Tuesday? Did they get out of their hats on Tuesday? So this must never happen again. Of course, everyone who is a board member must be at these hearings, because they must also vote among other things and cannot be present here. And what kind of debate we have about what you represent as a judicial reform here's one, two, three, four, five, here's six. And I could only come now, because now I'm coming from the Environment Committee that was hearing the minister. As regards the CAP and the amendments and additions to the Department of Criminal Procedure Law, the judges, the whole expert community gave a series of very reasoned objections in public consultation. These remarks were not accepted and we do not see them in this proposal, although in the first reading, but we do not see this reflection. So you are told in public consultation that the whole proposal contains a series of shortcomings that are fundamental because they are literally unfair to the defendant for violating the fundamental rights of defence and the principles of equality of arms. And the criminal proceedings themselves could become dysfunctional at the stage of the debate and at the stage of the appeal procedure. So this proposal comes down to so-called. Modernization. For example, modernization through the introduction of new technological solutions such as e-communication, the introduction of audio logs by recording and expanding the use of audio video links. No problem at all. This, everyone will support the use of, of course, modern technologies that allow for more effective criminal proceedings. But when they are introduced, they cannot be introduced in a way that threatens the fundamental rights to defend the defendants he has so far. For example. can't disable audio recording by introducing, and the defence's view of the transcription is disabled. The copy's gone. Tell me, how will a party who is not digitally written participate equally in this criminal procedure as you imagined? So in Croatia there are still people who are illiterate, so illiterate in terms of literally reading and writing, fortunately little, fortunately we have few in that we are not the worst in the world or... However, for them, the Code of Criminal Procedure provided for mechanisms in which they can participate in the procedure, in which they can defend themselves and predicted that ok, they cannot participate alone, cannot defend themselves, and that is the party which should be bound by official duty of the MPs. But what, for example, will apply to that party that is not digitally written, who cannot listen to the audio recording, which cannot participate in the e-communication that the defendant's rights will have on the defense and are these endangered? So every courtroom will also be equipped with a car transcription device that will allow for the production of automatic transcription with a high level of accuracy and indexing of the place in the transcript where errors have been identified. So, at the end of the 30th and some million kunas, 30th and some million kunas were given for the software for vessels that enables so-called. text too spych i.e. that when our judges dictate the record or spy too text that is automatically converted into text. Most judges don't use it, if they used it we wouldn't even have this copy problem. So it can't go like this, how it's now set up like this can't stay. So, one of the things that we see all the time as a problem in the length of proceedings that are not addressed here is the litigation process, but especially the criminal procedure, which is that especially in the criminal proceedings of the appeal instance, instead of deciding for themselves the case and when and when I can and when I can, when there is no need to carry out new evidence, therefore, and when I can make a decision, they don't make a decision, but they return to the first degree and we have a big percentage you know that we have a big percentage of such decisions. This is what makes this procedure long-term because, according to the appeal procedure, the Court of Second Instance made an independent decision, it would have been made much faster. The fact that the Supreme Court is no longer a third degree and that it does not participate in all proceedings will not contribute to the acceleration of these proceedings, but will certainly be made available in that section concerning the rights of the defendant, the fair trial, but particularly in the case-laws section. The introduction of a new institution that you have literally brought in to give some responsible judges good positions within the judiciary, we are talking about a high criminal, in fact, in one significant part the Supreme Court has been decapitated and disabled in its fundamental function and legal function, and that is the question of unifying judicial practice. I don't even want to say what was done at the level of administrative trial with a high administrative court where the Supreme Court has no authority at all, and where it also decides on the rights and obligations of our citizens. So you intervened in the system in a way that you've set up new institutions, that you've weakened the Supreme Court, that you've weakened the possibility of evening court practice, now so-called. Modernization you call judicial reform. This is not a reform, so it's not the introduction of digital reform tools. I mean, realistically, here we are living in a normal country, so would technology change the law of criminal or litigation? So we use technologies that serve the same purpose, and we call the introduction of new technologies reform, and we need a fundamental turn, a fundamental turn. We need concentrated debates in the litigation process to concentrate discussions in criminal proceedings to speed up these proceedings, we need a different role of appeal courts who make decisions on their own and do not return three times to the first stage and we need a strong Supreme Court that really has jurisdiction over all levels, over all levels of justice both in litigation and in criminal and administrative trials, so that we can really work on equating judicial practice, the way rules are interpreted and how the rights of citizens are protected against any other natural persons or against the state, and we do not have this. So this isn't any judicial reform, so it's a minor shame that you've done that none of us here today can be present because we have to listen to so-called. The future ministers. Thank you.
ParlaMint-HR_2022-04-28-0.u106136	Thank you. Individual debates now, Mrs. Dalia Oreshkovic. Here you go.
ParlaMint-HR_2022-04-28-0.u106137	I will continue where Sandra Bencic actually started in her presentation. She referred to the fact that today's assembly is empty, and here I am one of the few that have actually been from the beginning to the end of today's debate that doesn't really exist. If we talk about the first reading of two extremely important procedural laws, the Law on Criminal Procedure and the Law on Prosecution, we can conclude that the parliamentary debate did not actually exist. The few MPs that appeared in the assembly came and went where the political more important battlefield was right now, and these are discussions on committees on future ministers that are more or less the same as they were before. Well, then there's no point in repeating something that's already been said because there are no MPs who should hear it. It doesn't even make any sense to draw any conclusions from the debate when, as I said, no one has discussed anything here today. But I hope, if nothing else, that the issues of amending and supplementing the Law on Criminal Procedure will be dealt with by the parent committees, and here is my special colleague, Jelkovac, counting on you. And I think, in fact, in every evil, someone good, so it's a good thing here first that this isn't really any judicial reform. Amendments and additions to the law will not even result in any greater damage, although improvements will not occur. And the other good thing is that we are actually nakeding the wider Croatian public how the assembly actually works and how much we have offended the work of both MPs and opposition, but also the parliamentary committees themselves. In particular, it is a practice of the Legislative Committee to give its last word, its amen to legislative amendment, to the day of the two most, and sometimes even on the very day when the law is discussed in the Croatian Parliament. Because the committee as well as most others has been painted a vessel of the parliamentary majority and does not give power to the representatives on that committee to think for themselves but rather do what the boss tells them to do. So don't do it this time. I've called you, but I've invited the minister here, and yet there's someone on his behalf here to analyze the report by the attorney general since 2014, and from 2015 on and to extract everything that was then suggested that the law was missing, and we haven't put these changes and additions into it. And if you can't do that, or if your party boss won't let you, then we'll give ourselves a hard time and at least give you a hint of what it says there. Without it, these are less than cosmetic changes that are of no use. What needs to be changed is architecture. And the same model I was talking about at the Law of Prosecution is also true here. It is necessary to establish better control of state attorneys by changing the institution of the State Judicial Council which cannot be drawn up as a body that is seen and collected only occasionally at sessions in which of the 11 members we have 2 academic staff and 2 parliamentary representatives. It is not a place for parliamentary representatives in the State Judicial Council to have the basic tasks of verifying the property cards of state lawyers, deciding on their strict responsibility and making decisions on choice, resolution or progress in calling. In the current Council of State Judges, who are they? Hasanbegovic and Ermina Lekai Prlaskaj, top experts for checking property cards and other obligations from the work of state lawyers. As long as we don't actually have something to discuss with her. And as far as the transparency of the work of the state's attorneys here is concerned, there's a slightly different situation with regard to court decisions. What is insufficiently transparent are tight procedures and firm decisions, and even decisions by ethical committees. We have an almost brutal situation relating to the former state's chief attorney who is suspended, where the Supreme Court has repeatedly returned the decision to the state's attorney's office because it was not well-founded enough, and now under suspension it holds Montenegro's education as instructed. and an EU order. [[Intruder: Thank you.]] Thank you.
ParlaMint-HR_2022-04-28-0.u106138	Thank you very much. The first replica of Mr. Grmoya.
ParlaMint-HR_2022-04-28-0.u106139	Thank you. Dear colleagues Oreshkovic, you are absolutely right when you say that there are some technical changes here that will not cause harm, it may speed things up a little bit, but that is not what the essence is and what our judiciary needs. But what I'd like to ask you is what's more scandalous to me, so here's what I'm told by the ruling last night and the Open that you've known for 10-15 days who's going to be the new ministers. Why didn't we have these committees on Monday and Tuesday so we could discuss these laws in a normal way, here we see there's no one in the assembly. And why in a hurry like this or it doesn't seem true that they already knew but that until the last minute it was waiting because no one wanted to go to the government, so here I would ask you to comment because there's no point in talking about these technical changes right now.
ParlaMint-HR_2022-04-28-0.u106140	Here's your answer.
ParlaMint-HR_2022-04-28-0.u106141	Thank you, colleague, so I wouldn't want to speculate at all about what the government knew or didn't know and whether she had a problem selecting her staff. I am more interested in whether there is enough wisdom in this convocation of the Croatian Parliament to drive us out to clear the rules of the Rules of Procedure. And why do we even have rules that allow committee sessions to take place at the same time as plenary sessions to discuss laws. If anything has brought down our reputation, dignity, and then the constitutional role of the Croatian Parliament, it is the fact that our assembly is always, almost always this empty. Why is that? Who does that belong to? Well, that goes in favor of HDZ because this is what HS's work literally disgusts citizens and then they think we're all the same, and then they think what power to change at all, that's your reason.
ParlaMint-HR_2022-04-28-0.u106142	- Mrs. Crescent. It's a ben.
ParlaMint-HR_2022-04-28-0.u106143	Thank you. Well, fellow Members, no matter what technical changes are involved here in this case and in this case, both the CAP and the CFSP, and that, in fact, the introduction of technologies, which we have 20 years ago, could have been introduced, called judicial reform, although in this part of the criminal procedure, it is particularly sensitive are some things. I would like to ask you how you see what things are fundamental, fundamental, should be changed both in the CAP and in the CAP, and in order to preserve the principle of equality of the arms of the parties, while at the same time allowing for a really greater efficiency of the proceedings, a shorter duration of procedures and a more fair and uniform decision. Thank you.
ParlaMint-HR_2022-04-28-0.u106144	Here's your answer.
ParlaMint-HR_2022-04-28-0.u106145	Compared to the CAP, the possibility of the DORH to file complaints about the decision to return the indictment to the CAP is not so far up to the law itself as to some other mechanisms. If we are talking about the equality of weapons, then we need to deal with the issue of free legal aid and finally solve the problem of the attorney general, which is that we spend less than 4 million kuna on funding for free legal aid, which means that our citizens have the judiciary of those who are most sensitive, poorest, inaccessible, because they can't get to court at all, if they can't be adequately represented by lawyers, justice is an abstract, inaccessible and non-existent concept for them.
ParlaMint-HR_2022-04-28-0.u106146	Mr. Glavasevic.
ParlaMint-HR_2022-04-28-0.u106147	Thank you, Mr. Vice President. My colleague, actually on the trail and what my colleague Bencic asked and what you were in response to her replica and started speaking in fact, I would ask you to expand that a little bit. Do you feel that the rights of some defendants, especially those who have a lower degree of digital literacy, such changes to the law are in fact in some way threatened in the process and do you think that there is room to fix it somehow? I'm asking you first of all, from your experience in the law firm that you had before you became a representative in the Parliament? Thank you.
ParlaMint-HR_2022-04-28-0.u106148	Here's your answer.
ParlaMint-HR_2022-04-28-0.u106149	Quite accidentally, quite certainly, it creates great concern, and I asked the minister to what extent they were involved in creating these changes, the representatives of the profession, we find them insufficient. If those less written defendants, digitally written, had accompanying mechanisms, there are lawyers, there are other people who help them in criminal proceedings, then we might be able to overcome this problem, but the bigger problem is that the same level of digitisation is not present in the transparency of judicial decisions, so what is a key issue and the problem of justice, it is an inequality of judicial practice and until we establish a public digital base of all judicial decisions that are searched and comparable according to key parameters, simply, all of this is one big farce.
ParlaMint-HR_2022-04-28-0.u106150	And you don't have any more replicas. Now it's Mr. Nicole Grmoy's turn.
ParlaMint-HR_2022-04-28-0.u106151	Here, good afternoon, all of you, dear vice president, dear colleagues and colleagues. I think that's what I said in the debate on behalf of the club, the judiciary is one of the most important topics actually in the Republic of Croatia and one resolution that deserves comprehensive and root changes and deserves actually a full assembly while we're discussing this issue, and we had a situation here, that this morning, the committees on which the new ministers were presented, while on the other hand, we have a conviction from the vice president of HS and HDZ MP Ante Sanader, that these ministers were known for some 20 days, that they knew from the beginning that this was not going to be any broader reconstruction, but a narrow reconstruction, although we all know that it was actually discussed and that it was planned, anyway, and last night the journalist told Mr. Sanader that he and HDZ talked about... And that he knows exactly what the government was planning. [[The speaker doesn't understand.]] Why did the government end up giving up a wider reconstruction, we can only, and here I agree with my colleague, just assume, but the fact is that it's obviously rare that anyone wants to enter this corrupt government. So look, a man who presents himself as a guarantee of stability, so Aleksandar Plenkovic, not this one, Andrej Plenkovic and Aleksandar Vukic, uh, they're all of their campaign, Plenkovic their past, Vukic based this one now in Serbia, based on political stability and what does this Plenkovic do as a guarantee of stability? He's causing early elections in Novska because no one wants to get into his government. So Piletic enters the government, early elections go, so that's where the man was elected by the people as mayor, he leaves it and this one goes to the government. All right, maybe they'll do more for themselves, but that concept of political stability, so it's giving up, there's no one, there's no one to join the government. He doesn't want Habian, he doesn't want a colleague Jelkovac, so no one wants to bond with this Plenkovic corrupt structure now, but everyone is talking to Anusic, Jandrokovic, who is already creating this new nomenclature within HDZ, so these are the problems in which Plenkovic's Government is presently located, but we must not, or Croatian citizens, suffer for it. No parliamentary deputies can get an opportunity to ask the candidates for ministers, and then it means to discuss these two essential laws. And as I said, here when we talk about this kind of mini reconstruction, it's actually about decriminalization of the government, that decriminalization of the government is not complete because total decriminalization of the government would be the only call for elections and going to new elections, so moving this Plenkovic corrupt structure. And despite the fact that this one part of the MPs is already moving away from him and is approaching this new HDZ current, it's not going to help them. Maybe this was the last chance. It's not nice to be a member of this government, but it may have been the last chance to be a member, including this kind of government. So I think that Piletic, Filipovic and this team have made some good decisions, they will do this mandate by the end because we all know that this ruling majority will certainly not fall. There are also new candidates who have been chipped. Some of them chipped decently. The shrub has been properly chipped. Comes a man on Fridays, raises his hand, doesn't create any show in Parliament. We have a colleague of HDZekanovic who decided to chip in one inappropriate way, where he demoted himself and the Croatian Parliament. But that's his choice. But what we will certainly do in the future is to present reform proposals on the very reform of the judiciary, and also to plete them when we are in a position to do so, which is soon. Time's coming, that's it. Thank you. There's a replica.
ParlaMint-HR_2022-04-28-0.u106152	Now there will be replicas, it has to do with the law. Here you go, Mr. Glavasevic.
ParlaMint-HR_2022-04-28-0.u106153	Thank you, Mr. Vice President. They have something to do with my colleagues' argument, this replica at least. I can't agree with what you said. You said it gave up on the concept of stability, but it's actually not true because that stability was never there, it was just talked about. But it was an affair. Every once in a while, there's a minister, if you have to change every little bit, and you're trying, and you say I won't change, so you're still changing. I mean it's not stability, it's such a desired one stability that has never actually been realized. So that's one thing I can't agree with in your debate, and by all accounts, there won't be any further stability. Because here we are reading today for Mr Dragutin Filipovic, sorry about how this Filipovic is, in any case, being dragged after him by some affairs from the Croatian Forests while he was chairman of the Supervisory Board. So the question is whether it'll last longer than a black egg or a little less, we'll see.
ParlaMint-HR_2022-04-28-0.u106154	Thank you. Here's your answer.
ParlaMint-HR_2022-04-28-0.u106155	Look, now that we look at what the ministers of the Oreshkovic government were leaving for, you mentioned here is Minister Crnoj. We can say that this is the government that set the most ethical standards in Croatian politics at all. So here's to being realistic. The USKOK investigation had to take place here, the opposition's demand that Plenkovic go into some kind of change. When we talk about the concept of stability, of course, I don't mean that this Plenkovic government was without an affair, but I mean the firmness of the ruling majority, or the avoidance of any new elections and the sale of that story to citizens about the stability that is to be rewarded because it is necessary to face all these challenges that have fallen, he said on the occasion of Plenkovic, that his entire pot of Croatian transition has fallen to the table and that he must now deal with it as if we are responsible for this transition, not the party he runs.
ParlaMint-HR_2022-04-28-0.u106156	Thank you very much. Mrs. Dark-Taritash.
ParlaMint-HR_2022-04-28-0.u106157	I still have to refer to what you've been saying, and I'm going to be attached to the bill. So today there were two draft laws that I appreciate that are important regardless of the debate that was and we talked about technical changes. It's not common in this assembly for a resolute minister to come and be there. I have a feeling, I asked my colleague because I was gone, I was on the board where there was a presentation of the Minister's candidate, that the Resort Minister would be there. And our MPs weren't there why? Because the prime minister made it impossible for us to do our job, because he decided to represent candidates for new ministers, but how? It's on the schedule. He was half an hour. Half an hour on one committee, half an hour on the second and half hours on the third. So, it's not he who demeans our parliamentary representatives, it's just made it impossible for us to do our job the way we should do it, but for those candidates. Otherwise, it would be the turn of the Prime Minister all the time, this time it wasn't.
ParlaMint-HR_2022-04-28-0.u106158	Thank you very much. Thank you. Answer.
ParlaMint-HR_2022-04-28-0.u106159	Well, that's, uh, I don't know how to describe it. I don't know if I know this last game of Hajduk when Savic puts coach Hajduk on the attack because there's no one there. Not Simic, not Savic. Simica, Simica pushes into attack. Here's what I could compare it to. So, man doesn't play attack, but there's no one. So here and here. And apparently, the prime minister himself felt that these ministers didn't deserve any more time or attention. In addition, at this final cabinet session, he thanked those who were leaving more than he represented the new ones who were coming. So clearly this is a forced replacement, so when you don't have any I don't know or injuries, red charts. And here are the investigations, here are the investigations.
ParlaMint-HR_2022-04-28-0.u106160	Thank you very much. Mr. Miletic, I hope he's not from basketball. [[Grmoya Intruder: Thank you Minister for the correction.]]
ParlaMint-HR_2022-04-28-0.u106161	I told my colleague Grumo this morning on the board, so Mr Filipovic that as a Christian I wish him every good at the work he does, that I think he will have to be very brave in view of many stakeholders. Well, don't let anyone blame me for the mob around the waste, the waste management, everything, that I want him to be honest and not end up like Coric. Because I think Ćoric is gone and gone because the BOOK is above him, not because here is the reconstruction. So I wish him really well, I don't have a problem with that. What I'd like to ask you is why today, two important laws are important. We have two boards, here's where I started one, and now I have to go as a member of the board to the other committee. This morning, the same two, three hours of discussion of this committee before. So why, at this time, when we like to be in the Croatian Parliament and when we like to talk here about particularly important laws. Do you think it's a coincidence or coincidence in the universe there are no, and from gesticulation, Mr. Radina's mime response is already known to the Croatian public.
ParlaMint-HR_2022-04-28-0.u106162	Excuse me, Mr. Miletić. Don't talk to me because it's not in the Rules of Procedure. Yeah, no, no, no, no, no, we're tolerance, we're tolerance. Let's move on. Here's the answer.
ParlaMint-HR_2022-04-28-0.u106163	My colleague Miletic, therefore I am also more and more of this so distasteful talk about all these affairs, I came to Sisak yesterday for a press conference and I even said, I got it over my mouth, but we don't even care about the people in Sisak and Banovina what Paladina was doing but to make that renewal. So, we came into such a situation that these huge affairs, then after me he took the word of his colleague Troscott says so the man damaged the pension funds, damaged our future pensioners, so we can't go through with it, but we really came into such a situation here's how you wanted this minister to make something for the citizens, so we're doing this affair almost daily. Here are yesterday the director of the agency in Osijek-Baranja County, city councilman of the HDZ, which is what almost daily we have the arrests of the investigation, the affair, and this more has become unbearable to talk about. Here we'd be happy with this government at least. We know she's corrupt but to do something. [[And thank you very much.]]
ParlaMint-HR_2022-04-28-0.u106164	Mrs. Dalia, Mrs. Dalia Oreshkovic, replica.
ParlaMint-HR_2022-04-28-0.u106165	Thank you, Chairman. A fellow Grmoy’s empty assembly certainly prevented some of the issues from being discussed, and one of the topics that would surely have been touched that the debate was a question of who all the people who helped in a very legal way in decriminalising this government. Among them is a former chief state attorney who is known to have ever rejected an investigation against members of the Borg group, deeming there absolutely nothing controversial. Although the formal legal solution was adopted by Deputy V.D. A HORSE without a name and the blessing of the attorney general would not be possible. But there is also a bigger problem than that, and that man is in the system all this time, that solutions that solve his status repeatedly from the court return to the retrial with the reason that they are not well written. Now, either we have state lawyers who don't know how to put something together and write it down. Right or we've got corrupt judges out there. [[Intruder: Time, thank you.]] where they shouldn't be. [[Intruder: Thank you.]]
ParlaMint-HR_2022-04-28-0.u106166	Thank you. Here's your answer.
ParlaMint-HR_2022-04-28-0.u106167	Well, unfortunately, I think it's both. So that there are also corruptions, that there are and they want this process to actually end in such a way that it is constantly rejected, that Drazen Jelenic returns to work. And it's scandalous at all that anyone here thinks about the Masons I don't think anything good, it's scandalous that someone can be a member of some secret organization and a top state attorney. So where else do you take your oath and some loyalty to that organization, protecting the secret organization, members of that organization, that's scandalous to me, and I don't know what's going on here. But it's not the only problem with our DORH, we have other problems. We have Bajic and we who retired, and then this one was admitted still has certain receipts, a question that benefits the benefits, etc. We need this DORH to shake well and I don't trust them too much this due to these few investigations against Plenkovic's ministers there will take a lot of one, a lot of one Stronger ventilation and ventilation. [[Intruder: Time, thank you.]]
ParlaMint-HR_2022-04-28-0.u106168	Thank you, no more replicas, no more replicas.
ParlaMint-HR_2022-04-28-0.u106169	Thank you.
ParlaMint-HR_2022-04-28-0.u106170	Mrs Dalia Oreskovic will now speak finally on behalf of the Centre and GLAS Representatives Club.
ParlaMint-HR_2022-04-28-0.u106171	Thank you. I'll ask you a business question. Can some new elements, some new parts, some new provisions be put into the law between the first and second readings, or can only be followed by those provisions that have already been contained in the amendment and supplementation proposal until the second reading. Namely, if you can't add everything I've talked about during the debate, and this is the problem that the state's chief attorneys have pointed at in their reports, then my proposal would be to simply withdraw this amendment and supplement and propose a new one. And also since the quality of the judiciary depends not only on the procedural laws, it depends on those material rules, depending on the conditions of our institutions' work when we are talking about the State's Attorney's Office, I ask that the number of people working in the system especially in the USKOK 33 judicial employees is a devastating fact for a country that is so soaked with corruption, and then all these infrastructure problems concerning inadequate buildings and other conditions, especially those that are damaged in the earthquake, must be solved as soon as possible. Ministers, these are the tasks ahead of you. You have two years left. I'm sorry you spent the first two on not doing anything at all. Thank you.
ParlaMint-HR_2022-04-28-0.u106172	Yes, Mrs. Oreshkovic, this question you asked can't be for the minister, but I have to answer it and I would recommend it to you, since the question is yes and that, if this is not clear to the end, it is only clear that when we vote in the first reading, when we read, we first read, we say that we will take into account all the proposals of this and that but ask the question to the Committee on the Constitution, Rules of Procedure and the political system, they will give you the answer. Ms. Marija Jelkovic, Jelkovac, excuse me, club of HDZ representatives.
ParlaMint-HR_2022-04-28-0.u106173	Thank you very much, Your Honor. Dear Minister, Your Honor, Secretary of State, here's a special thank you for being here with us today. Indeed today we are discussing two procedural laws that are among the most important for the better functioning of the judiciary, and I think that these newspapers that have been proposed both in the CAP and in the CAP are not exactly cosmetical as it could have been here today by the opposition more than once, we could have heard. But those, though, are related to some technical changes that will primarily mean, in fact, the very different appearance of the debate tomorrow and the conduct of the proceedings themselves in the courtroom, and this will also contribute to the shorter duration of the debate and the acceleration of the proceedings, and will certainly affect the economicity of the proceedings. I think it is, however, one step in the judiciary, in modernising the justice system that is important for the Croatian judiciary in the future, and that is why these are not cosmetic changes. When this is talked about and how much it costs, I would say, not everything, sometimes really has to step up and a little bit bigger steps, I think right now is the moment for this, since the NPOO in the component of public administration, the judiciary and state property contains proposals of projects and reforms that are important for the modernisation of justice, I think that all of this, which is now proposed, and what it does is important and that right now is the moment when we need to do it and use that possibility because the question is if we don't, if we don't do it now, we have a chance to do it again. What I would also say, as far as the CAP is concerned, it was brought in 2008, although we can hear it even now that many in the judiciary call it the new CAP, although it has been in use for quite a long time. In fact, it came into full effect only on 1 September 2011, one part of the provisions entered into force on 1 January 2009, one part of the provisions entered into force on 1 July 2009, but only on 1 September 2011. What is significant and why we actually had to go to changes in the CAP because of this technical modernisation, it is, in fact, an intervention in those provisions concerning the introduction of e-communications relating to both the delivery of submissions and all that concerns the communication between the parties themselves in the process. What's important is to introduce an e-communication obligation for public authorities, for lawyers, and I think that's important. As for the introduction of the tone record, i.e. the obligation of the tone record, I think it is good, that it will also affect the shortening of the duration of the debate and also enable the parties to better monitor the process. What is important is that the President of the Council himself will be able to decide that these tones are prescribed in those situations where he considers it necessary and justified. I personally believe that in the time in which we live, it is really necessary to go to these steps of modernising and applying these technological achievements that we now have in the judiciary and I really think that all of this will contribute to a better and more effective judiciary. What I would finally just look back on, and it is about what my colleague Oreskovic called me practically by name as president of the Legislative Committee, a respected colleague, that I must say as chairman of the Committee, that I believe that the Committee, within the limits of its competences prescribed by the Rules of Procedure, is truly fulfilling all its obligations, as it will continue to do both in time and consciously, our responsibilities of the Committee are those that are prescribed and we strictly adhere to it. I thank all the members of the Committee who attend the sessions And they're working on the sessions, and I think we'll do it in the future. [[Intruder: Time.]] Thank you. [[Intruder: Thank you.]]
ParlaMint-HR_2022-04-28-0.u106174	We're doing our job together. Thank you. I'm closing the debate and we'll vote when the conditions are met. I thank Mr. Minister and Mr. Secretary of State. We are going to the next item of the agenda: - Report of the Mandate-Immunity Commission; on the request to grant authorisation for the initiation of criminal proceedings against Drazen Bošnjakovic, representative at HS. Would the applicant's representative like to give an additional explanation? - Mrs. Crescent. Nikolina Barisic, Baradic, excuse me, Commissioner.
ParlaMint-HR_2022-04-28-0.u106177	I thank the vice president of HS. At the 24th e-session held on 21 April 2022, the mandate committee of HS discussed the requests of the subsidiary prosecutor Josip Vujčić addressed to the president of HS for the authorisation of the initiation of criminal proceedings against Drazen Bošnjakovic, a representative in HS for the prolonged criminal offences of abuse of position and powers under Article. 291 century 1 Penal Code, trade in influence from art. 295 KZ, preventing proof from being found in art. 306 KZ, criminal association of art. 328th century 4th KZ, committing a crime in the form of a criminal association of art. 329 KZ, fraud of art. 236. KZ, assist the perpetrators after committing a crime of art. 303 KZs, arrangements for the initiation of a criminal offence in art. 327 KZ, High Issues of Art. 340 KZ, preparation of criminal offences against the Republic of Croatia. 350, and in respect of art. 340 KZs. The commission found that the DORH, the Office for the Prevention of Corruption and Organized Crime, is a business solution. No. Kp-Us-298/2021 of 16 August 2021 pursuant to the provision of Art. 206 ct. 1 st. 5 The Code of Criminal Procedure rejected the criminal application of Josip Vujčić against MP Drazen Bošnjakovic. The Commission shall, on the basis of the provision of the Article, 116 Rules of Procedure unanimously, 8 votes in favour, proposes to the HS to take the following decision: During the term of the parliamentary term, the approvals for the launch of criminal proceedings against MP Drazen Bošnjakovic, at the request of the subsidiary prosecutor Josip Vujčić, for the lengthy criminal offences of abuse of office and powers under Article. 291th century 1 KZ, trade of influence from art. 295 KZ, preventing proof from being found in art. 306 KZ, criminal association of art. 328th century 4th KZ, committing a crime in the form of a criminal association of art. 329 KZ, fraud of art. 236 KZ, assist the perpetrators after the offence of art. 303 KZs, arrangements for the initiation of a criminal offence in art. 327 KZ, High Issues of Art. 340 KZ, preparation of criminal offences against the Republic of Croatia. 350, and in respect of art. 340 KZs. Thank you.
ParlaMint-HR_2022-04-28-0.u106178	Thank you, too. I'm opening a debate. I am closing the debate and we will vote when the conditions are met and now until 13 o'clock breaks because at 13 o'clock we have the usual and we will have today's position on behalf of the club of representatives and independent representatives. It's 12:45.
