ParlaMint-HR_2013-06-26-0.u35491	Here you go, colleague Jandrokovic.
ParlaMint-HR_2013-06-26-0.u44046	Thank you very much. And now we're moving on to individual debates. The first of those distinguished representatives, Branko Vuksic.
ParlaMint-HR_2013-06-26-0.u44047	Dear Vice President of the Croatian Parliament, colleagues and colleagues. Of course I will start with Article 234 which I think is actually the greatest threat to this Rules of Procedure and I think that the activation of this article will bring down everything that is good in the Rules of Procedure. Now I will say something that I fully agree with, although one good part of the opposition has spoken about how it is against the Prime Minister to submit a report to the Croatian Parliament. I am in favour of submitting the report because it is quite logical because the Prime Minister has been elected to the Croatian Parliament and it is quite logical that the body chosen by him submits the report. In fact, there was a trap that actually led to a controversy about whether the Prime Minister could file a report as it said about sightings, problems and state in the country, so it was changed, so it says in a state of society. I think that's a worse solution. The government runs the country. And it's quite logical that the Prime Minister submits a state of affairs report. What makes you... Because he says he would take over the president's prerogatives. [[The speaker doesn't understand.]] That's not true. Who's more invited than the Prime Minister to report to the state council in the country. I think we should return that formula that was in the first, first reading. Tolerant, democratic power or political majority seeks if it is indeed a democratic political minority to give as many rights as possible. Not because someday she will, we hope to find herself in the same position as the minority now. That is why, because of the fact that it is truly democratic and that we are developing a society where here you have seen in the previous law and the European Union sees a lack of democracy. Both in the European Union itself and in the Member States of the European Union. The deficit as they say what we have passed in the previous law. One of the major, one of the major shortcomings is that the government can block with the help of parliament, initiative, proposals and opposition activity. What we are proposing, legal acts, all proposals coming from the opposition can be on the agenda for three years and 354 days and never be discussed in this House. I wonder why the government treats the opposition that also represents the citizens who chose it. The relation to... and the disrespect of these citizens of the Republic of Croatia, and they are not in such a large minority. [[The speaker doesn't understand.]] I think the demotion of ministers is also a proposal for the Prime Minister to complement the answer of the minister in charge. It is quite logical that the minister who answers the question is asked to be competent and to know about a particular problem and more than the Prime Minister. However, these Rules of Procedure are designed to make it, that actually the Prime Minister can... And we saw what it sounds like in the Croatian Parliament when Zoran Milanovic does it. [[The speaker doesn't understand.]] It has been said before in discussions that the committees will take on more and more responsibility. That it is the urgency that committees are being discussed, that committees are being decided and that all parliamentary representatives can participate on boards. So someone said, it seems to me Mr. Kregar, that all representatives can come to the board, which is logical and according to the previous Rules of Procedure. So he can, all of them can come, 150 of them, 151 MPs can attend the Committee's session. And then the Plenary session will be held in the halls where committees are held, that's logical. Everything that's illogical to others is logical to us. And what's the point of that? Make it backwards. Why shouldn't ministers be discussed at plenary sessions? Because it is true, there are then ministers of the first and second order, ministers who were presented at plenary sessions and ministers who were presented on committees unless there are 150 MPs on the board. But it's still gonna be a committee with 150 MPs. It may have been resentful before, it may have been a prelude to the opposition that she was sometimes contentious, that maybe she was talking too much, to pollemize. However, I am ordering the position, or the authorities pardon you, the authorities speak, argue, polarize, bring your position, debate with us because you are arguing not for us but for those who chose you but don't threaten you, do not confirm what we know you are managing and the police from this House, so threaten to knock on anyone's door DORH like we're afraid of DORH. I spoke several times and voted only against Bajic's report and I think Bajic should leave. And what exactly do you want to intimidate us with? What you are doing is exactly that message that has been said gives me the right to abuse Article 234 and that you will abolish the ability to speak in the Croatian Parliament, which is what I agree with colleagues who previously spoke to our only tool, the only weapon we can use and the tool we can handle in this House. Thank you. I don't see the time, so...
ParlaMint-HR_2013-06-26-0.u44048	You've got two and a half minutes left on my estimate as far as I can tell. Are you done? Thank you. We have a few replicas reported, Joseph Kregar. Here's your colleague, Craig.
ParlaMint-HR_2013-06-26-0.u44049	I don't think it's a good idea for us to bring something that's technically a useful solution. It has not happened until now that so many MPs have come to the meetings of any committee, no matter what the subject is, and there were no 150 of them at all. It's very rare for one who's not a member of the board to come along to hear what's being discussed. So a little more moderation in assessing this solution wouldn't hurt.
ParlaMint-HR_2013-06-26-0.u44050	Thank you. We have an answer. Comrade Vuksic, here you go.
ParlaMint-HR_2013-06-26-0.u44051	I'll respond very briefly to a brief replica. It's about the election this time, attesting to the minister. We haven't had that on board as far as I know, and I think the interest will be much greater. And the other thing, you didn't answer the question why you didn't represent the ministers at the plenary session. There's not a single reason. That there are two criteria for the minister. Is there a First and Second Order Minister you didn't answer, so I'd like to ask if you can do it in four eyes if you don't mind.
ParlaMint-HR_2013-06-26-0.u44052	Thank you. Next replica, Vice President Zeljko Reiner. Here's my colleague Reiner.
ParlaMint-HR_2013-06-26-0.u44053	Thank you very much, Mr. Vice President. Well, dear colleague Vuksic, I agree with you that it is not good and that we pointed out in a number of times in that recent, very recent debate on the first version of this Rules of Procedure. I say, I deliberately stress the recent because it is the impression that it is the same reading, or once again an emergency procedure. This is only formally separated, but in fact practically without change or with minimal changes we discuss almost the same text. And to that text, that very part of us had observations because it seemed completely unwarranted to age literally two types of ministers. One species to be selected immediately in plenary and discussed etc. And then suddenly the next kind of minister that's in some narrow circle just on one committee where you know that there are 15 people or 12 people, half the majority of them rarely become 7 people, say. So 7 people will discuss with him, talk about him, etc. We all said what it was about. It's actually about wanting to avoid situations like they were in this House when it justifiably criticised the government's policy in certain segments. Now to avoid it, and to get away from the public's eyes, there is something that is not good for those people who will be chosen, because they will be chosen by a different standard than those ministers chosen in a different way. And then of course we have two types of ministers, which is one paradox, an unusual thing, and I repeat, it's not good for those people or for the government as a whole, whatever the government is. Thank you very much.
ParlaMint-HR_2013-06-26-0.u44054	Thank you, too. We have a reply to the replica, colleague Vuksic. Here you go.
ParlaMint-HR_2013-06-26-0.u44055	Dear colleague Reiner, here you are now speaking again of one abuse. You said you didn't want to get in a position to criticise the government's policy. Exactly and that is, in fact, the intention not in front of the public because it is explained that committee sessions cannot be transferred, committee sessions are rarely reported, although I believe that from committees where ministers will be represented and reported but will be far ahead of a smaller audience. And since this should be avoided by the government's criticism, the prime minister's criticism and the way this government solves problems. This will be addressed in a more intimate atmosphere with seven or eight board members, or perhaps if at least with the presence of the opposition, the representatives of the authorities will certainly not attend.
ParlaMint-HR_2013-06-26-0.u44056	Thank you. The next replica is Ivan Shuker. Here's your colleague Shuker.
ParlaMint-HR_2013-06-26-0.u44057	Thank you very much, Mr. Vice President. Comrade Vuksic, try to imagine what this session of the Parliament would look like these three days, if this Rules of Procedure were in effect. Look at the wonderful miracle our government remembered that in a few days we are entering the European Union. And that we still have a bunch of laws that, and regulations that don't comply. And now look, the Parliament has to bring it in because they've had a cabinet session today, they've sent five laws, and it has to be passed on Friday. So that's why what's happening these days is clear what the government wants to achieve with Article 234. Also, some who have argued for certain provisions of the Rules of Procedure in recent times that this is the highlight of democracy, the highlight of the strengthening of the Parliament now do not even want to hear about those provisions, so what has changed in the meantime. Does anyone really think that on behalf of the club there's only one who can say an opinion? Now you have 40 people at the club, by some points, so surely 30, 40% want to argue for the simple reason that those points concern their life, their... Where they came from. [[The speaker doesn't understand.]] But look, on the other hand, you have the government's interest in not being overly debated, not talking too much, because maybe some things will be revealed that the Prime Minister and his ministers don't like, and then the government's presidency under pressure makes a decision to, say, discuss that point for just two hours. I'm saying, if the Rules of Procedure were in place, try to move it today, tomorrow and the day after tomorrow, you'd probably be somewhere at the sixth, seventh point by now, because because of the urgency that these laws should be passed by Friday, practically in the evening, we would limit the time of debate to these points. So here, this week, what the government has done today, it shows us most clearly what it wants to achieve with Article 234 without a lot of philosophy.
ParlaMint-HR_2013-06-26-0.u44058	Thank you. We have an answer, Comrade Vuksic.
ParlaMint-HR_2013-06-26-0.u44059	Here, I couldn't agree more, colleague Shucker, it's all math. We need 20 points to discuss it by Friday, vote those points, and it would have been a lot more comfortable if we had done it by those who wrote this Rules of Procedure up to three o'clock and gone to the quiet houses. There wouldn't be much criticism. However, we are responsible to our voters. We must speak for our voters, represent their interests. However, this Rules of Procedure does not give us the opportunity to do our job if we are to be limited to the time provided for here. And it looks like what he wants to vote for will be voted. Because there has never been a single remark, an important remark of the opposition. So in the future, we will have to find other ways or not to participate in these sessions if we are to be abused and I believe that Article 234 simply requires you to find other ways. Mostly give a clear message to the public that this authority is responsible for it.
ParlaMint-HR_2013-06-26-0.u44060	Thank you. Next replica Josip Boric. Here you go, buddy.
ParlaMint-HR_2013-06-26-0.u44061	Thank you very much. I agree with you that this Rules of Procedure is a step back in Croatian parliamentary democracy. That on the other hand most of the parliamentary deputies are trying to take away the most, the best tool we have in our work, which is speech. And during the last debate when I debated myself, I made it clear that what they failed to respond to and all the while saying it was the same, and that's this story about the appointment of ministers, i.e.. The debate on ministers on the parliamentary committee. If it is possible to come to a parliamentary committee, if it can be debated, if it can even be broadcast on television, let's say one such debate, which is the problem, and why can't we respect some arrangement to do so at the Plenary Session when we can do it at the Plenary Session. But it's not like that. Although they claim it's the same, it's not the same. On the parliamentary board come those who are appointed, there are 12, 13, 15 depending on them, then only one number votes them, not all vote. Then it is likely that you will come to such a constituency committee very little because it is mostly at a time when Plenary sessions are held. Then there are a number of these little moments that make it impossible for you to even discuss a minister. We last had a very dynamic and lively discussion about the Minister of Tourism. And I think it was good for Croatian citizens to know who would lead such a resort. And it could have been found out in almost six hours everything that was to be found out. However, today it is decided that this should no longer be so, because it is in the interest of how we heard Croatian democracies, that this is progressive, that other countries, etc., etc. It is my opinion that this Rules of Procedure is simply made up to the extent of the majority, that their current obvious advantage may be that in a year, perhaps even before, perhaps or in two years, it may be the greatest flaw or lack, and it may surely strive to change it then.
ParlaMint-HR_2013-06-26-0.u44062	Thank you. We have an answer, Comrade Vuksic.
ParlaMint-HR_2013-06-26-0.u44063	Dear counterpart Boric, in order to be more honest with the intention to put in place a provision that at the time of the Plenary Sessions no committee meetings can be held, and especially not committee meetings when such important issues are resolved, then it would be a clear intention. So... We can all come. [[The speaker doesn't understand.]] But it doesn't say anything. And you'll probably be putting sessions in some storm when most of us can't get on the team, remember, those board sessions. Remember what happened at the beginning when the Kukuriku coalition took over the government where Monday's clubs, Tuesday's committees, were told on Wednesday's plenary session Thursday and Friday. And that he would stick to it and that he would finally put order into the work of the Parliament. But who's sticking to it? No one. And now we have another such provision that will indeed take place in the crucial issues of the Republic of Croatia, such as the appointment of a minister to debate on committees while the Plenary session will take place. Maybe someone's gonna say there's not gonna be a Plenary session, as we know when it doesn't say.
ParlaMint-HR_2013-06-26-0.u44064	Thank you. And the last replica of Gordana Sobol. Here you go, pals.
ParlaMint-HR_2013-06-26-0.u44065	Thank you, Mr. Vice President. Well, respected colleagues and colleagues, I must say that I am appalled by the fact that all day or at least in that part when we talk about the Rules of Procedure of a certain fellow MPs I will insist that they manipulate that word by making certain provisions of this Rules of Procedure. I've been sitting in this House for four terms. The provision referred to in Article 234 has been in the Rules of Procedure since I remember. If there are colleagues who are also with me from that period, let someone tell me whether this provision of the Rules of Procedure has ever been used neither at the time of the coalition government nor by the HDZ Government, and no one wants to say that above that article of the Rules of Procedure stands an exception, an exception that no one in this House has ever used before. And that everything else about speech and allegedly restricting speech is nothing different than it is right now. And you fellow Vuksic will continue to be able to do exactly any exposure as you do to have a replica of either the club, or a single representative from the same club, from another club, the opposition, the ruling and I don't know which one. And you insist that we restrict freedom of speech in this House. To me, it's cheating and incorrect speaking in the House, not to say anything else to deceive our constituents, yours, whatever you want. Second about ministers and their representation on committees. I vote for it because here at the plenary session it's not the ministers of one row or another. When the presentation of the government and all ministers is then spoken by the motionary, and when possible the change of ministers then there is no reason for the representatives who believe that they have anything to ask him about the candidate for the future minister to ask from the domain he will have tomorrow in the government Not here at the plenary session to talk about everything and anything but that cabinet that the minister is proposing. [[Invader Batinić: Time.]]
ParlaMint-HR_2013-06-26-0.u44066	Thank you. We have an answer, colleague Vuksic. Here you go.
ParlaMint-HR_2013-06-26-0.u44067	Dear colleagues, you spoke several times about the deception of the voters. I'm discussing the Rules of Procedure that I have on my desk. I am not four mandates, and I am not interested in what you four mandates have done and how much you deceived the Croatian public with the promises in Plan 21, and as much as we deceive the public, it will be two and a half years ago again by the voters. You're saying there are no first and second-row ministers. How to choose and represent each other in two different ways. How? I don't think there's any difference, then, what, when you get on two. It's the same as playing football by two different rules. You play one half-time like this and another half-time like that. So, you're not contradictory here, and you don't deceive the public, but deceives the public of the opposition. Nothing, that's enough.
ParlaMint-HR_2013-06-26-0.u44068	Thank you. The following has been reported for the debate by Goran Maric. Here's Goran Maric.
ParlaMint-HR_2013-06-26-0.u44069	Thank you very much, Mr. Vice President. A colleague, Beus Richembergh, earlier here claimed that we had come to this proposal of the law in an exact procedure. Although the instant procedures usually include instant products, they cannot claim that this is an instant product. This is a bill that could only be better. To listen to everything proposed rationally and to even accept what was promised to be accepted here, the Proposer said that it was acceptable in connection with those who, on behalf of the Proposer, come to Parliament to define who can, who cannot come and that the committees will be denied the debate on the law if someone not proposed by law comes on behalf of the Proposer. There's no way that's going to happen, even though you said you were going to install it. A few notes and suggestions. Article 38, where it describes the Bureau of Parliament as doing what it does. Normally, logically, it would be natural to supplement the fifth sentence if he suggested cutting the time for discussion in accordance with Article 234. Because he's doing it new now, but it's not in his job description. The proposal should therefore be complemented there. The procedure is the foundation of democracy, and democracy implies freedom of speech. And everything that goes on to deny speech reduces the space for democracy. I don't know who has the right to do this, and this bill will provide for this right to take away the right to speak to a representative, to take away the right to replication and debate. It is good that the Prime Minister submits an annual report to the government, but it is not good not to discuss it individually and there is no replica. Imagine what it would be like to discuss the annual report of the Croatian Competition Protection Agency, and that no one can speak except the club president, when discussing the annual report by a state lawyer and that no one has the right to reply or to debate other than clubs. When it comes to the HANFA report, HAMAG or any other institution, the State Auditor, the Chief State Auditor of any institution that corresponds directly to the Assembly. That would be unthinkable. It is only imagined when the Prime Minister submits a report to the Croatian Parliament. So if so, let him read that report at a press conference or in the form of a press release, then I don't have to read it to us here because we can come up with that through other means to know what the president wanted to say about the state of the country. This bill of law has a lot of technical misunderstandings and mistakes even, I dare say. Although here in one Article 132 I even think that to ask questions, when a representative asks a representative of the Government or a Prime Minister that it takes up to two minutes to ask questions, no longer than two minutes to answer and explain, expressing satisfaction or dissatisfaction takes up to two minutes. I don't know what the difference is between two minutes and no more than two minutes when it's the same thing. But the question can be asked in one minute, it doesn't take two minutes. But perhaps even two or three minutes would be more necessary to answer a question that expresses satisfaction or dissatisfaction. But questions must be clear, unequivocal, direct, and therefore there is no need for such a minute to ask questions. I don't know where the Croatian language was, the one who was language-correcting this bill, which the high school went to, but this doesn't have much contact with the Croatian language. I don't want to be too specific, but I'll just have two, three copies. Article 174 says the draftr of the Law is obliged to inform the President of the Assembly who will give notice to the working bodies and the Assembly. I haven't read anywhere yet in the spirit of Croatian that someone is giving notice. It's not there. I don't know how such a structure got in a sentence here. When it comes to Article 232, which speaks on the subject of the established agenda, if the speaker gets away from the agenda theme, the chairman will warn him to stick to the agenda theme. It can only stand in this sense that the president will warn him to stick to the agenda, but if he will warn him, then it will be said that if the speaker gets away from the agenda topic, the chairman will warn him of the point. It is in the spirit of the Croatian language, but it cannot warn him to stick to the agenda, he can only warn him. If the warning is not there, then it is already predetermined, which is why he warned him. There's one saying not twice about the same. The applicant did not take into account one important thing that happens in practice, for example, that a report is discussed on the parent board but does not come to the plenary session in the debate. In the meantime, the parliament disbands, whether this Rules of Procedure does not predict what will happen when a new assembly of parliament is convened whether the same debate is being held on the new committee or only being forwarded to a plenary debate. So far, it has been the case that in 99% of the cases everything discussed has just continued to be discussed at the plenary session and only 1% of the cases where the applicant did not respond or the committee's position has been repeated and discussed again on the same report. There's not a word about that. Such doubts and doubts would have to be defined by the Rules of Procedure in order to avoid different treatment of the same reports. I would like to hear the answer to the question of what is going on with the report that was accepted on the home Committee on Agriculture and did not come to a plenary debate. And what happens if the report isn't accepted and it also came up, it didn't come to a plenary debate. It probably depends on whether or not the applicant’s position has been met with the report. There have been cases where repeated and twice discussed on the board on the same report. That rule, the Rules of Procedure of the Parliament's work has not yet been foreseen and neither does this one. What's with the government's opinions doesn't define. Why would the Government give an opinion to the Parliament on a report by an agency that corresponds exclusively to the Parliament. Only that it serves as a guideline for discussion. But that's not good. If the government responds to a report going to the government, if it corresponds to the Parliament, then there is a debate on committees, government opinions, no government opinion has come, and that agency or institution is solely responding to the Parliament. I think those things should have been defined, too. Maybe, I don't mind thinking but it's not binding, it's not holding the procedure back, it's not holding back... Otherwise, the Rules of Procedure, by my conviction, have too many boards and are not in line. [[The speaker doesn't understand.]] 29 committees. We have, say, a Committee on Education, Science and Culture. It's not consistent with the ministries. We have the Ministry of Culture and we have the Ministry of Education, Science and Sports. I don't think the committees, the parent committees and the parent ministries are responding to each other, and there's a lot of times going by. They also stated that something had been accepted and something had not been accepted, however, it was said from fellow Stazic that the proposal was not accepted to shorten the debate and in the meantime the new Article 234 was just proof that it was accepted by Stazic's remarks which was not accepted. Thank you very much.
ParlaMint-HR_2013-06-26-0.u44070	Thank you. We have one replica, Ivan Shuker. Here's your colleague Shuker.
ParlaMint-HR_2013-06-26-0.u44071	Thank you very much, Mr. Vice President. Dear Marić, you can see it is very interesting to compare the provisions of the old Rules of Procedure and the new Rules of Procedure. It's in this part of which you've been talking about, about how much an agent can spend time asking questions, that it's clearly defined 2 minutes, but two newspapers have been inserted for government representatives. One is that if the prime minister is asked if the prime minister is not satisfied with how the minister answers the question, he can answer the question, but it is very interesting, the time to answer the question. So so far it has been exactly like this, says the answer to the asked question generally takes 2 minutes, and if the complexity of the question requires an answer can take up to 4 minutes. However, this lost until 2 minutes in the new rules of procedure and became up to 4 minutes. It means another provision of the new Rules of Procedure that put the government's representatives ahead of parliamentary deputies. However, the provision of this Article 234 is very interesting where it has always been said to be so. It was not always like that, but in the old article of Rules of Procedure 212, the extraordinary Bureau of Parliament is said, with the agreement of all the presidents of the Clubs of Representatives, and this is crucial when it comes to the limitation of time for the Bureau to agree with the President of the Club of Representatives, such as today the President of the Parliament and the Presidency of the Assembly with the presidents of the Clubs of Representatives to agree that we will, for example, connect these four agricultural points and that we will have a single debate. That is, therefore, the provision of an old rules of procedure that is used in a very good way. It was also not once that when there were reports from the Prime Minister or some ministers that they agreed to discuss only.... But you have one key provision in Article 234, which is that in this new article 234 the possibility of clubs speaking for 15 minutes is excluded in relation to Article 212, and the rest of the time is divided into other club members. This is not available in Article 234. So, a big difference.
ParlaMint-HR_2013-06-26-0.u44072	Thank you. We have an answer, Goran Maric. Here you go, buddy.
ParlaMint-HR_2013-06-26-0.u44073	Thank you very much. A fellow Shuker and yesterday and today are actually in the first item of the agenda, and even now we have often heard here a finding of the subordinate position of the Parliament in relation to the Government. And this bill also reminds me more that the motion is a government rather than a parliamentary body because it cares more about how to please the members of the government in the Parliament when they visit this Parliament than give the right to representatives for what they have the right. This bill gives even the right to MPs but to remain silent, but we have not chosen silence as some who are exclusively silent and on the most important proposals of the law, even in the explanation of the motionors do not use a third of the planned time because tactics are as fast as possible, as simple as possible and as little as possible, so they think that we will shut up too. But let's just go back to this Rules of Procedure now that he doesn't speak at all where he sits, and if the promoter is someone else, not the Government, whether he's a representative of the Government in the Parliament or not. There's not a word about it. If there's a right to come, is there a right to sit, is there a right to sit, is there a right to speak? It's not there. We saw him this morning, and we were even here complaining about why he left. That Rules of Procedure does not define, I think you should define where the Proposer sits during the entire debate, in his place or there. And that doesn't define it. The Rules of Procedure avoids everything that should be clearly determined that we all know how to behave and have a procedure. All he cares about is that there's no chance of anyone asking the Prime Minister or the minister or asking him if there's as little time for discussion or replication as possible.
ParlaMint-HR_2013-06-26-0.u44074	Thank you. We continue with an individual debate, Miroslav Tudjman. Here's a colleague of Tudjman's.
ParlaMint-HR_2013-06-26-0.u44075	Thank you, Mr. Vice President. I will not repeat what has been said so far, but I will remind myself of some suggestions that have been made in the first reading, which have not been adopted or adopted in a questionable way. The first thing I think is said in a way, but not in that spirit as the remark was made in the first reading, along the way to visit what Mr. Maric said. The Bureau of Parliament, Article 37, says patronage, etc., and then suddenly some strange verb is established, instead of establishing an annual plan for the meeting of the Parliament. Now, that's that proposal I was talking about that should have, like all other countries, a timetable or a calendar for the Parliament meeting. It determines the plan, so it can be understood that the Bureau of Parliament says it will be 4, 5 or how many sessions a year in the calendar year, it can be called the plan. Here is also said the meaning and the spirit is to establish the calendar of the Assembly meeting so that everyone in advance for the whole year that Parliament will meet. It seems to me something that should be corrected if we are to introduce order that this coalition is constantly calling for the introduction of order. The second provision that seems important to me, just about that, in Article 228, is to say on the occasion that, after the agenda has been established, the President of the Assembly shall, in a proper manner, publish the established agenda. At the beginning of each working day, the President of the Parliament shall, as a rule, announce the points of the agenda and, at the end of the sitting, the Chair will, as a rule, publish the points of discussion. In other words, theoretically, it can be said that at the end of the evening one agenda is said, and tomorrow morning it is no longer worth it, but it is another. Therefore, I believe that this item should be amended and that this item is the order of discussion of the agenda points as set out in the rule does not change in the current week of the session. If we adopt him on Friday what practice it was until next Friday, that agenda should be worth it. Furthermore, what I think is very important perhaps for a common sense is that it is contained here but it seems to me that since law can sometimes be interpreted in one way or another, in one way or another. We have in Article 179 of this proposal of the Rules of Procedure that the presidents of the parent committees are obliged to put into the agenda of the parent committee certain laws, i.e. for which that working body is parent and to submit reports to the President of the Parliament. However, there is no provision that without the opinion of the home working body no debate can be held at the plenary session. And we, at least I, from this brief experience that I'm here in the assembly, have had a few discussions at the plenary session without having a report from the parent board. Therefore, this spirit in this, the provisions of these laws exist but is not taxed and I think it should be stated. Furthermore, as regards this provision of responsibility, the rights and responsibilities of the parent bodies when it comes to this Committee on Internal Policy and National Security, the proposal was what I think is normal for the EU's security policy to be discussed by the Committee on Internal Policy and National Security. Because the issue of EU security policy on the logic of things is a matter of national security, and I see no reason not to introduce it and as a obligation here not to dispute and intensities that other committees both intend and need to deal with this issue. It is a clear matter that I also join those who advocate a debate on the election of ministers who are later, when a change comes in the minister to be held at the plenary session. The argument we've heard here that there aren't a lot of people on the parent boards that won't come 151 MPs to talk about it anyway. It is in my opinion that this is being discussed at the plenary session and at the very least that at least all representatives have the right to participate in the debate at least in representatives' clubs if not all of them. With this I think that another provision, which was necessary, that each legislator should make it a assumption that it could come up with a debate in the law to specify which procedure had been implemented, who had discussed everything about the proposal for a certain law in order for this debate to be of a better quality and that what was so used that it had already been lost to become transparent to know which, all those interested in certain legal changes or new legal provisions to see what they had shown, what their views were, so that they could be more precise and easier to discuss and determine in the Assembly. That's it. Thank you.
ParlaMint-HR_2013-06-26-0.u44076	Thank you, too. We have one replica, Goran Maric. Here you go, buddy.
ParlaMint-HR_2013-06-26-0.u44077	Thank you very much. Comrade Tudjman, you've noticed one very important thing to which we still have a few sentences to add. I have heard here that this proposal gives greater importance to working bodies and committees. Well, I didn't really notice that that's exactly what it's all about, because if it can come to a debate with plenary law, a report or a bill that wasn't on the home working body, then what it contains is the importance of the home working body if it's not even the basic prerequisite of the debate at the Assembly. Therefore, it would be necessary for the opinion of the home working body to be subject to discussion at the plenary session and reports and draft laws or amendments to the law. It would be necessary that the home working bodies are not to be held in the days when the plenary debate is held, because there is no law and there is no report in the Assembly that is irrelevant and which should be carried out in a hurry in 5 minutes. And if we want these working bodies and committees to become even more important, then to ensure that as many present representatives and those interested in participation as possible are involved, although they are not members of the board, then this should be the condition of the plenary debate and that it is not on the day when the plenary debates are held. Otherwise, this Rules of Procedure stipulates that the Proposer is obliged to inform the President of the Assembly of who will represent and explain the draft law or report on the basis of a plenary debate, but which persons, not by name or by function, are not listed. For example, the minister comes here with his entire six-to-lowest-level suite, sitting there and speaking, explaining, even half of them are not listed as being able to speak on behalf of the promoter but sitting there. It has to be limited to this. Or, I witnessed that there was a debate on the home working bodies and that the proposer was not the one listed in the bill.
ParlaMint-HR_2013-06-26-0.u44078	Thank you. We have a reply to the replica, colleague Tudjman. Here you go.
ParlaMint-HR_2013-06-26-0.u44079	Thank you. You see, this suspicion of actually being able and without the parent board is justified because if I am not mistaken in the previous Rules of Procedure there was and in parliamentary practice there was an obstruction and then the work of the Parliament was blocked because some committee presidents did not want to hold a session with that agenda point, but in that Rules of Procedure there was whatever happens, as the meeting is called and there is some order. If I'm not mistaken, it's not here now, it's deleted, so other words really count if someone's going to go down that road to block it and that it can be discussed independently and say that it's within the box I don't know that most people still decide that it's more important than the parent board. However, if, and this is one argument and another reduction of the opposition that it cannot express its opinion, it cannot act using all these parliamentary methods. However, there is another problem that is related to this and therefore makes it even more difficult, and this is about the law that we discussed today on the relationship between the Government and the Parliament on European affairs where it also does not want to be put that the Committee on European Affairs should be consulted and the opinion of the parent committees should be held. In other words, it only counts on the Committee on European Affairs, where the parliamentary majority has a president and its majority, it does not matter what the parent committees say. And in this way the role of the Parliament continues to be diversified, or increasingly insignificant, and the Parliament becomes increasingly insignificant and loses its power.
ParlaMint-HR_2013-06-26-0.u44080	Thank you. And last to discuss Vice President Zeljko Reiner. Here you go, Vice President.
