ParlaMint-HR_2013-07-03-0.u35509	Here you go, Zeljko Reiner.
ParlaMint-HR_2013-07-03-0.u45088	We're on our way to replication. Domagoj Ivan Milosevic.
ParlaMint-HR_2013-07-03-0.u45089	Thank you, Madam Vice President. Dear colleagues Holly, so in a good part, I agree with your debate, but since we all agreed more or less on this side, and you said that in a year and a half nothing was done. In order to systematically improve the investment and entrepreneurship and business climate in Croatia, it is evident that such shortcuts are needed. We all talked during the day about a lot of loose ends and I'm sure there's a lot of room for those changes and fix it. However, where I disagree with your debate is that you share so clearly in private, so when we talk about the economy of private and public interest. In fact, let me be perfectly clear when I'm saying this. Therefore, the private interest, i.e. the interests of private companies and the private sector in Croatia, is also public. Because if we expect the opening of new public places, the increase in income in the state budget, therefore by paying taxes and economic growth and tomorrow and a better standard of all citizens will not be achieved but only through the private sector, through private investors, so private investment projects, and in this sense I spoke several times in the Croatian Parliament, here in this assembly that one of the reasons why we have been in crisis for so long is because Croatian politics and public administration do not recognise that the only way is honest, honest, but transparent support for the private sector, private entrepreneurs can achieve economic growth in 2013, fourteen, fifteenth, fifteenth or whenever, unfortunately, trends for at least the last year and a half days speak the opposite. And as for the award system, i.e. punishment, I think that whoever will finally start a real reorganisation of the public administration soon, that they will have to face the fact that they will have to introduce this very system of rewarding in the public sector, which means in some way also the system of punishment.
ParlaMint-HR_2013-07-03-0.u45090	Replication response, Mirela Holly.
ParlaMint-HR_2013-07-03-0.u45091	So I'm not talking about against private investment being put on the list of strategic investment projects. I was just saying that the criteria should be of public interest. Of course, by liberalising the market and in the field of energy and in all other areas in the end, we have opened a space for private investment. But it's the wrong way, and it's the wrong way, and when defining spatial plans to get something on the list of strategic projects, it comes from the private sector because the state itself should know what its strategic interest is and define those projects that are in its strategic, public interest, and then private initiatives fit in, and then we wouldn't have problems that we have with both spatial planning manipulations and so forth. So this is not about any opposition to private capital at all, nor the implementation of different projects in private. But the basic precondition for the realization of private projects which are nevertheless primarily in some particular interest in achieving some profit which is normal and logical must be done in a way that the state has an effective bureaucracy that will equally treat everything and that is the only correct way. And we need the Strategic Investments Act, but in a completely different way than what it's proposed in my opinion.
ParlaMint-HR_2013-07-03-0.u45092	Tatjana Shimac-Bonacic, replica.
ParlaMint-HR_2013-07-03-0.u45093	Thank you very much, Madam Vice President. My colleague Mirel, from this debate of yours, I am reading that you are looking for even more clarity and concreteisation in this legislative proposal itself, and I also agree that investments are necessary. However, some investments that have already been under way have led to a wide variety of debates, some even leading to the first referendum. I will mention here a Dubrovnik golf case on Srđ, or an apartment settlement with golf courses, which is already a controversial process, as we know, has not passed the referendum, but we cannot yet ignore those 10,000 or 11000 of our citizens who have been to the referendum. I must stress here that through this process that went into 2005 that it was actually a very bad communication and that it was one big investment problem. Whether this bad communication was intended or not, I'm not going to get into it, but there was a lot of half the information and I'm wondering now if there was an open card game. There has been everything since the expansion of the scope since 2006 which has not been legal until the sale of state land at ridiculous baffle prices, then the return of spatial plans to completion several times, etc. etc. to the very name because it is not golf on Srđ but it is an apartment village with golf courses because what else to say from 240 villas and 400 apartments. And now I'm wondering as a citizen how much of the cost the city is going to invest, invest in it, or how much they're going to get from the utility fee. Are these funds sufficient, is local self-government actually damaged by such projects or am I aware that large investment projects are risky, absolutely and that it is precisely why it is very necessary that the clearer communication that citizens know what is waiting for them today, tomorrow, that councilmen know what they are raising their hands for in the adoption process was... or anything else. [[The speaker doesn't understand.]] Thank you very much.
ParlaMint-HR_2013-07-03-0.u45094	Replication response, Mirela Holly.
ParlaMint-HR_2013-07-03-0.u45095	Yes, esteemed colleagues. I absolutely agree that it is crucial in the functioning of the state that the equal rules of the game apply equally to everyone. And unfortunately, in Croatia, we have not had such a situation in this moment and for many years. And as long as that happens then some projects can be broken over their knees like the mentioned golf project at Srđ, while on the other hand, perhaps some other projects with similar coverage and with the existence of capital that could be invested will never be realised, nor will they be considered because there may not be enough political ties between these investors and those who decide. What you mentioned was the manipulation of spatial plans related to the implementation of the project, and it was absolutely true that it was first to work on a very comprehensive public debate on the project, that a referendum should be organised in a very early phase around the project, and then the investor would eventually have a much clearer situation, a more transparent situation about whether citizens who should have the opportunity to decide on such projects in their local environment support or not to support such a project.
ParlaMint-HR_2013-07-03-0.u45096	And the replica, Vice President Milorad Batinic.
ParlaMint-HR_2013-07-03-0.u45097	Thank you. My colleague Holly, in your debate, you are what particularly intrigued me about what strategic projects are, then that the government should define what strategic government projects are, derogating some of the other laws that this Law on Strategic Investment Projects is doing and manipulating with spatial plans. We simply have a certain law which, this undermining, means the proposal of the Strategic Investment Projects Act, we can look at the positive and intensity that it has or we can look for, which is some purpose of the debate to make it better. I don't read here from this bill, which you've had a lot of criticism and a lot of positive things, that there will be manipulation with spatial plans. In fact, this law does not define any law in its essence. According to the introduction, I will quote in the assessment of the situation: "some segments of the regulation of the relationship to which this law is maintained have been established by a series of special laws and regulations that remain in force." Well, it's a little bit odd that the government that's proposing this bill, the proposing of a series of laws that we've discussed in this House, would deny or derivate these laws themselves. It doesn't make sense. Furthermore, practice tells us something else. Here's an example of my local environment, there was an investor, there was no space in the free zone, there was no communal infrastructure, the diameter of the sewers, the diameter, the force involved, and we had to bring changes to the spatial plans, and we went, it was the investor about a hundred new jobs with the possibility of expansion. In the first phase of 5 hectares of the country, long-term 15. What was I supposed to do? Well, of course, if this law could be applied in the local environment, it would be far more quality, and I agree with a number of colleagues. However, I believe that this part of how far I have been able to read from the debate that is in line and that practice will confirm that the intention and intensity is positive. And I hope it applies as soon as possible.
ParlaMint-HR_2013-07-03-0.u45098	Replication response, Mirela Holly.
ParlaMint-HR_2013-07-03-0.u45099	Dear Vice President, I didn't say that the intensity of this law was bad, I said that the law was ultimately corrected in relation to that document that was in the public debate and I didn't talk about the derivation of the Law on Spatial Planning and Construction. I just drew attention to the fact that the urban planning of the arrangements cannot be considered an implementing document given the fact that following the adoption of the urban planning arrangements, local permits need to be established. As long as you do not have to obtain a location permit in the detailed planning plan, this means that it is indeed the real implementation document of the spatial arrangement. And that maybe we should consider some modes here. And I absolutely agree that we need the Strategic Investments Act, especially in the part of meeting certain obligations towards the EU where we have very short deadlines. Here I am going to connect myself, and I will mention the waste management area where we have very short deadlines to meet and where I can help us with this law in the speedier realization of these obligations, but these projects are indeed in the strategic interest of the Republic of Croatia. Not only in terms of raising standards for environmental protection, meeting a higher standard of municipal infrastructure, but also in terms of protecting against payment of foams that we will have to pay towards the EU. So there is a reason why these projects could be declared strategic projects. But I cannot fully agree that some project to build a chewing gum factory that enters the dam of processing activities can only be declared a strategic project because it is worth more than 150 million kuna and employs 100 people, you understand? That's what my fundamental objection to this law is.
ParlaMint-HR_2013-07-03-0.u45100	Thank you. My colleagues and colleagues, another colleague of ours will join the oath. The oath is given in a way that the chairman reads the text of the oath, and then the representative when he is called rises and says, "I swear." The text of the oath reads: "I swear by my honor that I will act consciously and responsibly in my work and that I will stick to the Constitution and the law and respect the legal order and that I will stand up for all the progress of the Republic of Croatia." Representative Ivan Šimunović.
ParlaMint-HR_2013-07-03-0.u45101	I swear. . [[Applause.]]
ParlaMint-HR_2013-07-03-0.u45102	Thank you very much. I congratulate you on behalf of all our fellow MPs and advocates on your sworn oath. I wish you successful work on this responsible duty of representatives in the Croatian Parliament. We're continuing the debate. Comrade Zdravko Ronko, come in.
ParlaMint-HR_2013-07-03-0.u45103	Dear Vice-President of the Croatian Parliament, colleagues and colleagues, a respected deputy with an associate. Here we are where we are, so an economic moment that is not good and we need to do something about it. There was a lot of debate here today, there was even finding the culprits whether he was subjective or objective, he was also wanted in '93, and we were asked in '98, 2008, we could look for him in any year, we could look for him in ignorance, in incompetence, in crime, or in reflections of the European crisis, or in the global crisis, but the fact is that even if we could find him we wouldn't benefit much because we're in a situation where we're not exactly a desirable destination for investors and investors and we're not desirable when it comes to protecting investors and their capital. Someone mentioned capital as an animal, as a living creature, so when it comes to that, then it should be said that if a living thing were the most cowardly thing in the world, it was because he was looking for his protection. Of course, here we can say that the driver of development and our economy are certainly investments and we have to deal with investments seriously. Of course this law goes this way, and of course I'll support it along with my clubmates. I believe we will come to a consensus when it comes to this very significant law. I'm sorry he didn't come sooner. I think we could make that effort to get him here sooner and get ahead of ourselves because someone said we'd only be able to apply him next year and he's almost right. At the beginning of today's debate, I had a lot of questions, I had a lot of dilemmas on some of the proposals of the articles of this law, namely Article 5o, to better define what a strategic project is and all the way up to the role of the central government or parliament as many questions as there have been here, and here I will try not to elaborate my views on my articles because I will probably get an answer through this debate, and also through another reading. Of course, Article 17 has left a lot of dilemmas, and I believe that in this next period we will clear it up, to clarify it better. And here I am going to shorten my part in order not to call an extraordinary session, so I'm going to try to be shorter. What may not be the best way or has not yet been apostrophealed specifically is Article 8. So I'll be here for a while. I therefore believe that there should be a lot to be relaxed and respected by investors entering with significant resources, whether it is 20 in assisted areas, islands or 15 million kuna. In particular, I would like to recall paragraph 4 which says that in the event of a suspicion of the truthfulness of the data that these investors have submitted that competent authorities may request assistance from those competent authorities to obtain information on the situation of these entities. And then there is also a link to Article 12 of that if it is found that these data are not correct that a decision on a strategic project is repealed. I would return to this item 4. Who is this doubt, or who is it, or in what way are we going to question or implement it, or how will we continue to act if you get any anonymity or that some kind of reference in the central body of the administration doubts the truthfulness of the data? From that angle, I think we should clear things up at the very beginning because if someone with so much money gets into the investment then we have to kind of respect him, stick to him. I'm not sure that we can put it on some kind of pole ourselves to know the shame and media attention, etc. I would therefore rather find one solution in which everything will be determined sooner than we get to the list itself, or come up with a decision to be made by the Government or the Parliament, and that will be discussed. Here I would do nothing else. I would just draw attention to Article 27 or Article 28. I would give greater importance to the adoption of an urban planning and detailed planning of arrangements precisely because these projects will live or should survive us and stay for future generations, and we will live with these projects or they will live with them and affect both our lives and our work is if this is what I will say to some neighborhood if nothing else. So I think that we should be more careful here, regardless of all that short procedure and all those wishes that we have for faster progress, or for faster implementation of these projects. Thank you very much.
ParlaMint-HR_2013-07-03-0.u45104	Thank you very much. And my colleague Branko Hrg. Here you go.
ParlaMint-HR_2013-07-03-0.u45105	Thank you very much, Madam Vice President. A few sentences regarding this bill. So there was already talk here about it and I said myself before that I simply do not believe that the adoption of this law will unfortunately start an investment cycle in Croatia although I would like it as much as all of us sitting here. What I'm hearing through the debate here today is a little bit disgusted by me, I must admit that I've heard on several occasions very ugly words and convictions at the expense of local self-government. There was a rumor here that it was talking about that we gave local self-government, we, uh... , well, in that part, it can be assumed that we are not all equal as is said but in some discussions or this Law that this Law is not the same for all. [[The speaker doesn't understand.]] It is obvious that we are not all equal in this country and that we are simply often using that method known from the state level against local self-government "holding thieves". I simply cannot accept it, and I think that the local self-government in the Proposal for this Law is really demoted, but from what is also said where it is not defined who proposes members of the commission by local self-government. And what I also think must be defined to know who he is, to know who they're responding to, like who they have to report to, but it doesn't say who's proposing them. So taught experiences between, in collaborations between local self-government and state institutions, then I express my suspicion and concern that there could be of course manipulation and that it could actually happen that people who are not elected by the legal authorities at local self-government levels are not politically compatible with state policy. So it needs to be defined anyway. I'd say it might be best if we could end the local self-government, I don't think we should because all the laws that are passed in the back of a few months basically attack the local self-government, accuse it, blame it as if they were some foreign bodies, as if they were some enemies of this country. And my dear gentlemen, life takes place in local self-government. The head of the municipality or the mayor of a small town cannot promise something to his citizens and no longer appear before them. He can't because he's with them every day, because he drinks coffee with them, he lives with them, they ask him daily. And it's all clear. The same thing is when you talk about the speed of the documentation. I am responsibly telling you that simply and now, according to the current laws and by those who were three, four years ago, you could very quickly result in permits, very quickly prepare the project and very quickly put it into operation if there was a will. You know where we had the most trouble? In state institutions. It's also talked about, and it says in the law, it's about the property of the state, it's about military, former objects, so my dear people, can you believe that someone for 10 years has correspondence with various agencies, I don't know what it's called and it's called, now it's audio, I don't know anymore, I can't even follow that sequence anymore, and today we haven't solved some of the most basic things. Even where we wanted as a local self-government to buy land from the state we couldn't make it. Even the IRS brought an assessment, even a court expert brought an assessment, and we couldn't handle it. So I'm asking questions about what's wrong with local self-government and what's gonna be her fault tomorrow when something happens. There are also cases where investments have been made in former military premises. Here in my town in the Križevci they say it's one of the good examples. And you know where we have a problem. We have a problem in disagreement again between local self-government and the state because we got something owned, something with the right to build, something to this extent, something to so many years. And we have rejected investors because we can't offer, we can't offer them the right conditions. And we're asking for that to change, but there's no answer. We don't hear from the maids or the porters anymore. And back these years and a half people. We're completely blocked. I say it responsibly, responsiblely, 12 and a few years doing the mayor's work, I've been through all the governments, all the structures, I know well how to deal with them. This last, year and a half is definitely the worst. And that's what entrepreneurs say. Therefore, it will not be the Law on Strategic Investments, which we do not know which, as far as investment is concerned, but it will solve a whole new, different approach to this, a different climate that needs to be created in order to create at all some preconditions that someone has the idea of going to invest in Croatia at all. There's been talk here about entrepreneurship zones as well. I think this law would be voted upon, of course, given the majority in the Parliament so that it is not disputed, it is not questionable, but it would be good really to do it a little bit, to do it, to certainly put, to install in the law that primarily strategic investment means focusing on entrepreneurship zones where there is a lot of money invested. We've seen this second bill of law, so we're talking about entrepreneurship zones. I think it would be worth doing if we had some direction. 'Cause this is how we have a verse strategy. We have a verse strategy because someone will remember somewhere they want to do it and that, the state will give him land because there's something, some commission will solve it and we'll have an expensive problem. And local self-government, of course later and state, all together, so we're all state and local self-government is ultimately state. I'd also like to make a suggestion. So, I suggest that it be complemented in Article 5 of this Law and that one definition be incorporated into it, projects to build social infrastructure according to the model of building rights. I'll explain a little bit. As a strategic programme, therefore a concrete project and programme that can be developed throughout Croatia, there are no cities and no larger municipalities that have no need today in view of the age of Croats to build the Homeland War for the Old and Powerless. The state has no money, local self-government has no money, private homes in that pure private form and property don't work exactly the way we would like it, it's not something that would have been done and we have one model that applies, we're already resuscitating it in the Križevci, we're building a home for the old and powerless by this model where we're subsidizing the accommodation of the pensioners in that home and having control because our property, or the state since it's the right to build. Why do I say that? I say because with one programme of 50 locations in Croatia, out of 50 cities in Croatia, a billion kuna investment cycle with domestic capital would be employed immediately and not in one place, not in one investment but throughout Croatia, and this should be our strategic goal and plan, about 5,000 older and powerless people and 1500 new jobs would be opened. Does such a programme deserve to be considered and tried as strategic, in the Strategic Investments Act? Are those investments that deserve something like that? We're talking here today about big entrepreneurs coming. Well, that's not gonna be built by our people, that's not where our operatives are going. These major projects are being prepared strategically, so the Croatian company will win the job in the competition, none. So my proposal is to turn in this direction to try to create conditions right now, right now, not to use state or local resources, to use private investors' funds, to hire domestic operatives, and to take care of people and create new jobs. Thank you.
ParlaMint-HR_2013-07-03-0.u45106	Thank you very much. Now we're going to the replicas. Srdjan Gjurkovic.
ParlaMint-HR_2013-07-03-0.u45107	Thank you, Vice President of the Croatian Parliament. My colleague Hrg, you point out what it is to say to be an outcast local self-government and that it is absolutely unnecessary under this law, and this law is essentially based on the basic spatial-planned documents of local self-government and that is basically what I was already saying but I must repeat the obvious, foundation of development and activity and the purpose of space in line with the county plan and the state plan. But local self-government is the one that defines what will be done and built on a particular space. In this proposal, the participation of local self-government in decision-making is unquestionable. This is the first reading, so all the proposals were well-intentioned in any case and I believe that the government will read things in a way that will make things more clear. However, your failure to believe in the success of this law, I can immediately tell you that the Investment and Competitiveness Agency itself, in which it sits in the administration, in the board of directors and co-ordinated ministers, has opened up space for one part of the investment, with this coordination and jurisdiction over all the ministries and institutions owned by the state. But it was still obvious that there are problems in realisation in part of local self-government, which means when we solve problems that exist purely bureaucratic, and we know not only because of foreign analyses but because of domestic analyses and entrepreneurial analyses, that bureaucracy is one of the main problems, especially in local self-government, which is why this law will ensure that all those investments that are currently standing can go into realisation.
ParlaMint-HR_2013-07-03-0.u45108	Replication response, Branko Hrg.
ParlaMint-HR_2013-07-03-0.u45109	Thank you very much for this replica. So I have to say that if there were no article it seems 27 to me that what you're saying now would be valid, but since we have the right in local self-government of course to make spatial plans, and then this law puts those spatial plans aside and we no longer have the influence of each other, then it's not working. It is certain that it is good that the first reading is and I believe that a lot of the quality proposals and remarks that have been made here will be put into the final draft of the law and God has given it a truly one investment swing, a cycle, some kind of rush of investors that will be, but I doubt you for a very pragmatic reason. One of the reasons why I doubt it is, let's say, experience so far in relations within the Kukuriku coalition itself because when some projects come, when certain interests begin to arise, then conflicts arise and then the problem arises. Then there's no realising that project. And I repeat, let's not generalize local self-government, let's not muddle it, don't deserve it, don't deserve it, those great mayors and mayors who have done wonders in this time behind us with very little money. There are various examples, but let’s not blame everyone else for some worse examples. But I'm saying, I hope it's like you said, God gave it to happen. I'll publicly congratulate you on that right away.
ParlaMint-HR_2013-07-03-0.u45110	Thank you very much. The next replica, the esteemed representative Ingrid Anticevic-Marinovic.
ParlaMint-HR_2013-07-03-0.u45111	Thank you very much. My dear colleague, you said on several occasions, so I'm going to replicate something similar to what your colleague Gjurkovic did to you that it was a degrade of local self-government, that perhaps because of all the relations that the government has, and the units of local self-government should be abolished. This bill is not in the context of the need to look at it that way, nor can it be seen. First of all, the local self-government you've performed here as the pronoun of all local self-government in the Republic of Croatia. Self-government and government mean nothing more than responsibility, and as some units of local self-government acted on investments, so did Mrs. Kosor, who quoted the official exactly as she did and how research says that Croatia remains a major problem of corruption at local level. And the difference is really, I wouldn't politicize in that sense if it were said that these political groups or humane combinations in certain units of local self-government are identical. Some have worked really well and have, therefore, benefited from the state especially all governments since 2000 and have given local self - government units, most often free state land for economic activity. It's been sold for cars and cars, and often it's not even known it's been sold. Therefore, great differences exist on responsibility at unit level of local self-government and where luck is that we have as many laws that will unify such behaviour and simply force units of local self-government to limit them, their self-government but strengthening responsibility. I'll just tell you an example when you were talking about your environment, so I'll tell you one example of the big city, the town of Zadar in which the neighbouring Stankovci and Poličnik have a large economic zone, especially Poličnik, and the city of Zadar has no, fifth city. Since 2005, there has been talk of a Black Economic Zone The state gave for very small and favourable money only three months ago the funds paid off. [[Intruder Reiner: Thank you very much.]] So what are we talking about? [[Intruder Reiner: Thank you very much.]]
ParlaMint-HR_2013-07-03-0.u45112	Thank you very much. The esteemed representative Branko Hrg will respond.
ParlaMint-HR_2013-07-03-0.u45113	Well, I'm not an advocate or a representative of the entire local self-government. But here you are now actually saying the problem which is, you've been looking at local self-government through the prism of Zadar. ... [[Wait a minute, please. A little parliamentaryism, Mr. Branko Hrg responds.]] [[/Antičević-Marinović, you can't hear.]]
ParlaMint-HR_2013-07-03-0.u45114	Madam MP, that's not the way you talk in this assembly. ... You have no right to answer from the scene. [[/Antičević-Marinović, you can't hear.]] Please, let's get this over with. Mr. Representative Branko Hrg has a word.
ParlaMint-HR_2013-07-03-0.u45115	Thank you very much. So you were actually looking through the prism of a city, which is why I said it wasn't good to look individually, but we have to look at it in general and globally. And here you have just repeated what the government has given, the government has donated. So who is the government and who has she given it to? Who are the people in local self-government? Who are the people who live in a town? Do they belong to the Croatian regiment? Is that land, that property that once the state may have taken from that community? Do people have the right to win that back? Let's not set things up like that between you and me, we're gone. So there's only one people in this country there, so you should watch it. And whether some local self-government used something or not, some state bodies, institutions make it. Well, you know, when you get something that you have the right purpose. If you have an unintentional use, unintentional spending goes to sanctions and have fun. But we're not going to implement them with this law, we're going to implement those other laws that already exist. And I know exactly what it means to bring investors and how you can get a quick construction license and bring in foreign and domestic investors and make some kind of projects. I have experience in that, and I say that this law won't solve much, but God has given something to run.
ParlaMint-HR_2013-07-03-0.u45116	Thank you very much. The next replica is the esteemed representative Frana Matušić.
ParlaMint-HR_2013-07-03-0.u45117	Thank you, Mr. Vice President. Comrade Hrg, you have rightly warned of Article 9 which speaks of how the commission is drawn up and you have rightly warned of the fact that it is not clearly defined how representatives of the local self-government unit or regional self-government will be elected. But let's say that we have before us a proposal that will experience changes and that will define this, because yet this article clearly states that representatives of local self-government units will probably be proposed from the basic agreement of the government's representatives with representatives elected in the elections. So, with the mayors and the mayors of the municipalities or the mayors, here's what we want to believe is in good faith that's how it's gonna be. But the bigger problem seems to me to be the choice of those other members of the commission who are not defined by any key because we know that only four members of the commission have certain functions. So it's the president and the vice president and these two variable members depending on where the project needs to be realized. But the other members that may still be in this particular case and up to 7 it is unclear which criteria will be chosen. In the past experience, we can say freely they will be chosen by a similar key to the party. Because all the appointments so far have gone that way, we see what happens to hospitals, county hospitals, and clearly it goes on a similar key, a party key. Therefore, we fear that the members of this committee will decide on the key to the party and revote those representatives of the units of local self-government who may or may not agree with that proposal. What if a representative of the local self-government unit doesn't agree that it's a strategic project? If one mayor or mayor who will be in that commission will say that to me is not a strategic project. Will he be too loud by others? And of course by means of a device you have noticed that Article 28 and 27 are in fact fully for the exemption of units of local self-government and in this sense it is indeed about avoiding citizens' opinions and avoiding the opinion of local self-government and avoiding the opinion of the county councils, city councils and municipal councils. And in that sense, this is the degradation of the system that we have and the denial of the units of local self-government.
ParlaMint-HR_2013-07-03-0.u45118	Thank you. The esteemed representative Branko Hrg will respond.
ParlaMint-HR_2013-07-03-0.u45119	Thank you very much. Well, here is a colleague, Kosor, who also spoke about this article, and also the need to define who it is and who it is that proposes ultimately to the members of the commission. The truth is that they will be a ficus, the truth is that these members will be there for democracy. You know what it's like to know what's going on, to be able to come back and say it's going to be done with us, and then let's talk about it. And then, of course, there's going to be a problem like you said yourself if the local environment doesn't agree with some project that might want to be built somewhere and then you're going to run a whole series of activities to stop that project. So again, we have some problems that are going to happen and yet one thing that exists, so it's not good to be ficuses, it's not good to simply be a local self-government as a place of process. And just at those locations where these people live because of this investment that should be done, God gave it to God that it would be a lot that we wouldn't be able to do everything. But you can't get people living somewhere besides something that's going to be done if they don't agree to make them accept it. It's not good this way. But I think that, in principle, in this law is already everything I said earlier, that it is precisely known what these investments are about and that we do not have to put too much burden on ourselves now that there will be such problems all over Croatia. It will probably be only in some places because it is obvious that the law is written in a way that has already had its own picturebooks spoken here in this assembly and has specific locations and places that have been prepared to make some of the strategic projects that we don't know what they are and who they are and what they are. So what was said here is that a list of projects should also be made necessary.
ParlaMint-HR_2013-07-03-0.u45120	Thank you very much. The next call came the distinguished representative Stjepan Milinkovic.
ParlaMint-HR_2013-07-03-0.u45121	Thank you, Mr. Vice President. Well, my colleague Hrg heard big words here today in this debate from fighting for values to tsunami investments, and it certainly did, but in the end, you were very pleased to emphasize the importance of local self-government. Not you yourself, there he was, and a colleague named Shoya spoke about it in the morning debate. But I mean everybody swears to local self-government, but then when she comes, she says she's no good, she's like this, she's holding back some way of investment in the worst form. And it's about the next thing you know, one more thing that's important to say, and it's about the quality of the investment. You first said about the commission, the way I choose the commission. So he's going to talk here you see there are high-quality investments like that, and this chief is the one I have to submit that report to is against it. So I'm absolutely, now says someone's going to offer in my middle a nuclear waste dump. I'm for investment that I always say and keep repeating the kind that will help my end, which is the milkman, possibly the slaughterhouse for a few more years because soon it won't need what kind of agricultural policy is going on. It's that job, and therefore, of course, it needs to be brought into line with the needs of the local community, the local community. And secondly, it is certainly important to highlight the importance of entrepreneurship zones. Many mayors and mayors have also made significant efforts on infrastructure for these entrepreneurial areas where possible. If we were to fill these business areas with investments and projects, that would be work and jobs, not in this way how we witness every day that the number of unemployed in the office is increasing. Thank you very much.
ParlaMint-HR_2013-07-03-0.u45122	Thank you very much. The esteemed representative Branko Hrg will respond.
ParlaMint-HR_2013-07-03-0.u45123	Thank you very much. Col. Milinkovic's local self-government doesn't get anything, it just returns a part of what she has paid into the state budget and then has to go scratching on the door of the clerks and bureaucrats to get a part of it back. If we had the right fiscal decentralisation, if the heads of municipalities and cities knew exactly how much per capita resources per year local self-government would have nothing to ask. But then the state administration would lose its strength, lose its power because it wouldn't have it then, it wouldn't be able to blackmail, it couldn't be done as it is done. We have an example now when we talk about development strategies. Here lies are evaluated. They're very handsomely rated the same thing, I'm going to have to ask for an answer that way. As it says in the renegade you've met all the conditions, all is well but no more money. And then you see that some of them got 900 grand and more, and some of them didn't get anything. And they just happen to be somewhere in the middle. That's how you do it. That's what we can expect here. So, if we really wanted to take the right job and do a law, the strategic investment law would have to be determined regionally what part of Croatia we would strategically push, encourage and what we would do. At that point, we could start talking about some kind of real strategy.
ParlaMint-HR_2013-07-03-0.u45124	Thank you very much. The next replica is the distinguished representative of Tomislav Klaric.
ParlaMint-HR_2013-07-03-0.u45125	Here I am going to deny Mr. Hrg that units of local self-government are being ignored and they are being forced into solutions. In one simple example. We had a recent law that was amended to make it more effective, so the government appointed supervisory committees, so that the supervisory board of a state-owned company consisted of five members consisted exclusively of professional people of non-partisan personnel, two from the Economic Institute, lawyers and builders, in a way that this same government, which was appointed at the 4th month of the 12th month, disbanded such a supervisory board, appointed one member of the party to that supervisory board. The company remains at the state budget of 157 thousand square meters of land is empty, no project is being implemented, and that is what is denying you that units of local self-government are being ignored in this section. What I'm afraid of, I'm afraid, is that a similar situation with such a bill, especially in that part, is back to Article 28, which cancels in that sense urban and spatial plans in the event of a permit, giving the government some kind of commission in which there will be two members, two representatives of the local self-government unit that will decide what will be in its field of strategic project. I am responsible here because there have been such words that units of local self-government are self-will, corruption, and I don't know what's not mentioned, and no institution is so controlled as many units of local self-government from state audits, financial inspections from all of that. And all these leaders and authorities in local self-government units have been elected in direct democratic elections, have their programmes, their strategies and what they intend to do. This law should primarily be a collection of all these strategic projects of units of local and regional self-government in our country with strategic projects of the Government of the Republic of Croatia, which are certainly part of the Križišće, Žuta Lokva, Ravnikarska railway and all those capital projects to the Pelješko bridge. Thank you very much.
ParlaMint-HR_2013-07-03-0.u45126	Thank you very much. The esteemed representative Branko Hrg will respond.
ParlaMint-HR_2013-07-03-0.u45127	... So it's definitely centralization, and instead of what was written in the decentralisation programs, we have centralised. [[Specially enabled.]] Since I've been in this business for a long time, my hair was going up like that when someone mentioned decentralisation. Whenever decentralisation was mentioned, then local self-government suffered because something had been lifted, something had been moved, something had gone somewhere and all this to the burden and to the harm of the citizens. It's amazing what's happening to us that's the process. But I'm glad that a few of my local leaders here have now come forward that it doesn't turn out that I'm the only one talking about local self-government, that's a lot of talk, thank you for bringing up some institutions and zones and everything. I ask the question, where in this law of the development agency, where are the entrepreneurship centres, will this law give new increases to the bureaucratic apparatus, will there be new employment in the state administration? Why don't we use development agencies and entrepreneurship centres that already have each for their own area of a particular strategy worked out, why they're not also present in this part, why they're not the ones who can propose and who can actively participate in this so that they finally get some function. Because as our laws are made up they basically exist but the less and less they have some functions that should generally become their own purpose, and that's our problem. Something we leave behind is soon becoming our own purpose.
ParlaMint-HR_2013-07-03-0.u45128	Thank you very much. The next replica of the distinguished representative, Nadica Jelash.
ParlaMint-HR_2013-07-03-0.u45129	Thank you very much, Vice President. In your debate, you said that local self-government should not be defiled because, according to your experiences, it proved correct in the realisation of investment investments, that you actually had more problems with state institutions. I fully agree with you. We have indeed a lot of good examples of quality cooperation between local self-governments in the realisation of investments. However, this law is not adopted because of these positive examples. He brings himself to eliminate those bad examples. And I'm going to set an example for you right now. So it's about an example of investors from Russia who I know personally, who three years ago decided to build two high-class hotels in Podgorica. So these were supposed to be high-priced hotels that would employ about 200 workers. And this Russian investor paid a total municipal contribution to the local self-government budget, it was about millions of amounts, because local self-government didn't have its own resources to finance the spatial plan, the urban plan, and I don't know what other plans. So that money was spent by local self-government on other intents and now the Russian investor is in a situation to beg the help of Croatian institutions. I ask you what do you think this investor thinks and what kind of "references" will pass on to other Russian investors, and we know that the Russians have great resources, that they have big capital and that they are very interested in investment in Croatia but not in this way. So I repeat, the law is passed just to prevent such bad examples.
