ParlaMint-FR_2018-12-20-O1113.u1	The next item is the discussion, for final reading, of the 2019 Finance Bill (No. 1545, 1550).
ParlaMint-FR_2018-12-20-O1113.u145	What are you going to do?
ParlaMint-FR_2018-12-20-O1113.u146	[[Applause on the benches of the LaREM group]] Let's do this together, with the administration. The social and budgetary shock of the end of the year leaves us no choice.
ParlaMint-FR_2018-12-20-O1113.u147	That's the least we can say!
ParlaMint-FR_2018-12-20-O1113.u148	It must be a point of no return for the reform of the State.
ParlaMint-FR_2018-12-20-O1113.u149	What about debt to France?
ParlaMint-FR_2018-12-20-O1113.u150	Less public spending does not necessarily mean less public service:...
ParlaMint-FR_2018-12-20-O1113.u151	Of course I do!
ParlaMint-FR_2018-12-20-O1113.u152	...it means a more efficient and better public service.
ParlaMint-FR_2018-12-20-O1113.u153	A privatized public service, especially!
ParlaMint-FR_2018-12-20-O1113.u154	Finally, we will need to see next year more Europe, more democracy and a reform of public spending and taxation. You, gentlemen, can count on your majority to carry out these reforms. In the meantime, the group of La République on the move will vote for this budget, which has been profoundly transformed since its first reading, to reform with the French. [[Vif applause on the benches of the LaREM and MODEM groups]] I end with thanks. I thank the Chairman of the Committee on Finance for his sometimes gentle rigor and the rapporteur-general for his demanding relaxation – you will have understood that I like oxymores –, MM. Ministers to listen to them, their teams for the work we have been able to do with them, as well as the services of the National Assembly that followed us throughout these debates.
ParlaMint-FR_2018-12-20-O1113.u155	Mrs Véronique Louwagie has the floor.
ParlaMint-FR_2018-12-20-O1113.u156	We are here for the final reading of the 2019 Finance Bill, a bill that will have been at the heart of a burning news and that will have been totally upset by the yellow vest movement. I recall that, on 24 September, the Government was bragging by presenting this initial budget. Since then, the situation has changed and the economic and social situation has reminded you, ministers, ladies and gentlemen of the Government, to a little more humility and a little less obstinacy.
ParlaMint-FR_2018-12-20-O1113.u157	Yes!
ParlaMint-FR_2018-12-20-O1113.u158	What evolutions, indeed, since September 24th! While the projected deficit at that date was 2.8 percentage points of GDP, it is now at a much higher level. Indeed, the budget became, in a few minutes, on 10 December last, in view of the announcements made by the President of the Republic, insinuates. It would have been necessary to wait until the dawn of Wednesday 19 December to discover a government budget deficit of €8.6 billion: 8.6 billion, which leads to a deficit of €107.7 billion, or 3.2% of GDP. You have been pleased, ministers, at the time you introduced the Finance Amendment Bill for 2018, that it was not a Finance Bill bis and that it did not include new tax measures. We therefore welcomed this method. What a waste, however, given what you're doing here in view of a finance bill that has completely evolved! It is true that there are several changes, such as the removal of the increase in the carbon trajectory. If we welcome this, we regret that you did not listen to us much earlier. If we are equally pleased, of course, with the abandonment of the abolition of the reduced tariff on non-road diesel, again, what a pity that we did not hear us much earlier! What can be said about the appropriations, of the order of 2.7 billion euros, to finance the new activity premium, on which we will have the opportunity to come back this afternoon? For this reason, it does not fully respond to the announcement by the President of the Republic, who had indicated that every person at the SMIC would ultimately have 100 euros more per month. But that is not the case. Moreover, and this is much more serious, as Gilles Carrez pointed out a moment ago, all the expenses presented, some of which will be voted on this night, are not included in this finance bill: this is for example the cost of the tax and social exemption from overtime as of January 1, 2019, which amounts to some 2.5 billion euros. This is also the case with other schemes such as the cancellation of the 1.7 points of CSG for certain pensions, which are not included in either the Social Security Financing Bill or the Finance Bill. No budget appropriations are also presented for the extension of the energy cheque or the doubling of the premium to the conversion of certain assets which change vehicles. The budget you are asking us to vote is, in fact, a little virtual and, above all, ephemeral. What about growth, which is already falling a little further, and for which the assumptions have not been adjusted at all? A few days ago, INSEE reduced its assumptions in this area: for example, the growth of 2019 may not exceed 1.3% of GDP, while the assumption was 1.7%. 2018 growth is likely to end at a level that could be close to 1.5%, not 1.7%.
ParlaMint-FR_2018-12-20-O1113.u159	About 1.4%.
ParlaMint-FR_2018-12-20-O1113.u160	We are already very far from the level of growth of 2.3% achieved in 2017, which, moreover, was not to be credited to your majority. The difference between this rate of growth, the result of the previous majority, and that of your first years of office, indicates your failure.
ParlaMint-FR_2018-12-20-O1113.u161	Worse than under François Hollande!
ParlaMint-FR_2018-12-20-O1113.u162	And what did you do when you were in power?
ParlaMint-FR_2018-12-20-O1113.u163	How can we not also regret that no line of credit has been planned to pay the 24 million extra hours due to our police officers who have been very heavily mobilized in recent weeks?
ParlaMint-FR_2018-12-20-O1113.u164	We'll do it.
ParlaMint-FR_2018-12-20-O1113.u165	What is serious is the situation of our public spending, which continues, because nothing has been done, to increase. Madame Bénédicte Peyrol, I heard you say that you had to start this project: hire him! I also invite the majority to do so. For the past 18 months, nothing has been done with regard to public expenditure, which continues to increase in volume. If we hear you on this subject, we invite you to take action. Moreover, it is an inconsistent budget.
ParlaMint-FR_2018-12-20-O1113.u166	And insinuate and unbalanced!
ParlaMint-FR_2018-12-20-O1113.u167	It is inconsistent that the Government and the majority, who say they are committed to the energy transition, have not accepted any of our amendments on the incorporation of agricultural biofuels. Inconsequential, this budget is also so because the Government has not done anything about purchasing power. The only effect of the levy at source will lead to the French being punctuated by more than 2 billion euros.
ParlaMint-FR_2018-12-20-O1113.u168	Thank you, dear colleague.
ParlaMint-FR_2018-12-20-O1113.u169	Give back the money, Joël Giraud!
ParlaMint-FR_2018-12-20-O1113.u170	[[Applause on the benches of the LR group]] For all these reasons, you have understood that the Republican Group will not vote for this budget, because it is neither brave nor complete: it is illusory and is not reassuring.
ParlaMint-FR_2018-12-20-O1113.u171	Mrs Sarah El Haïry has the floor.
ParlaMint-FR_2018-12-20-O1113.u172	After three months of intense work, we're here at the end of the 2019 review of this finance bill. I would like to take this opportunity to welcome, on behalf of my group, the real progress this autumn. First of all, I welcome the virtues of the spring of the evaluation, which allowed us to do a better job, I believe, of quality, when we examined this finance bill. Also implemented, at the same time, the new organization of the commissions. I would also like to welcome the Government's compliance with its commitments with regard to the year-end budgetary collective. To get to the bottom, we all know here, these last few weeks have forced us to review our copy. That's right. Let us recall that the law of finance is not an end, but a means and framework in which we implement public policy – our public policies – and in which we finance them. In 2019, more than usual, this framework will be designed to evolve and adapt – starting this afternoon and then in the spring – with regard to the financing of emergency measures and the recasting of local taxation. We have, of course, heard, as a majority, the urgency shouted by the yellow vests. So yes, perhaps we should have heard the importance of these demands sooner, sooner and more strongly. On the benches of this House, I believe, we must remain modest in the face of this situation.
ParlaMint-FR_2018-12-20-O1113.u173	It's hard!
ParlaMint-FR_2018-12-20-O1113.u174	I do not resist the pleasure of taking the words of a maxim of La Rochefoucauld: "Moditude is to merit what shadows are to figures in a picture: it gives them strength and relief. » Making it simpler, Alain Juppé recalled that demonstrating modesty is always a salutary exercise.
ParlaMint-FR_2018-12-20-O1113.u175	It's hard!
ParlaMint-FR_2018-12-20-O1113.u176	If it is difficult, the result is ultimately to force our majority to speed up the pace of what we want to do, particularly with regard to the reduction of social contributions, the upgrading of social minimums and the increase of the activity premium. We also need to go further and faster on overtime. All these measures will give new impetus to consumption, thus to growth and, ultimately, to the prosperity of our country. We will have the opportunity to say this again this afternoon when we look at the bill on economic and social emergency measures: we need to speed up the pace of our reforms in order to move towards greater social justice, greater tax justice, but also to redefine greater wage justice. [[Applause on the benches of the MODEM group]] Finally, we must do so in order to redefine our social pact and to rewrite a social and civic contract that unites and unites the French and is established with them, because our France is much more beautiful and stronger when it is united. This is the challenge of the great consultation that will open in a few days: each and every one of us will be able to participate and will come back enriched by these exchanges and enthusiastic about the idea of facing our challenge: to rewrite this new social contract. We will also have to review the financing of these measures at the beginning of 2019. I would like to take this opportunity to reiterate strongly that the MODEM Group will make very concrete and reasonable proposals on this subject so that the additional purchasing power is not financed by debt. That is essential because, as you know, we cannot accept it. [[Applause on the benches of the MODEM and LaREM groups]] However, it will be time to talk about it again in a few weeks. The common sense that we will draw from these future meetings will certainly help us. In the meantime, our group will obviously vote on the finance bill.
ParlaMint-FR_2018-12-20-O1113.u177	On the whole of the finance bill for 2019, I am seized by the Republic on the move and by the Democratic and Republican Left Group of a request for a public vote. The vote is announced in the National Assembly. Mrs. Christine Pires Beaune has the floor.
ParlaMint-FR_2018-12-20-O1113.u178	First of all, I would like to thank you, Minister for Action and Public Accounts, for your announcements on open data, in particular for the possibility of access to Chorus offered to all parliamentarians. We started the budget marathon on Monday, 24 September. On that date, you did not imagine, ministers – and we also – that we would find ourselves in the current situation and that the text of the budget for 2019 would have experienced such an evolution. Meanwhile, the anger of the French, an expression of a social misfortune that did not date from yesterday, has exploded and you have had to concede many changes. The budgetary orthodoxy of the 3 per cent deficit, which you and your Government colleagues were continuing to reshuffle, has finally been abandoned. The increase in the carbon tax is now part of the past, when Mr. de Rugy said here that the Government would never give it up. The upgrading of the energy check, the return of the insulation of the windows to the field of the tax credit for the energy transition, that is to say our proposals, rejected yesterday, are now proposed by the Government and its majority, and that is so much better. [[Jean-Paul Dufrègne applauds. – Exclaims on the benches of the LaREM group]] I could continue the litany of measures or positions on which the Government has changed its mind within two months. You will surely explain to us that this is not a change, but a policy that is too subtle that only too intelligent people like Gilles Le Gendre have the ability to understand. The reality is, however, very simple: the Government is retreating and retreating in the face of the protest of the people and the French people dressed in yellow, many of whom have come to the roundabouts of France to challenge your unjust and ineffective policy. The measures you will propose this afternoon are their victory, but only of lost time! Since you came to power 18 months ago, the Socialist and related group has constantly alerted you by making proposals that you have constantly pushed back with a back of your hand, finally accepting some of them in the urgency and in a general government cacophony. On Monday and Tuesday, during the re-reading of the finance bill, you proposed that we vote on some of these provisions with the same conviction and energy as you used yesterday to refuse them. I will not go back to the measures announced by the Prime Minister in November, which he wished to give up the day before yesterday before changing his mind again two hours later.
ParlaMint-FR_2018-12-20-O1113.u179	Yes!
ParlaMint-FR_2018-12-20-O1113.u180	[[Exclaims on the banks of the LaREM Group]] Rather than a mere retreat, it was called "coucas" during François Hollande's term! We're even entitled to wonder if there's still a pilot on the plane. More serious, it reinforces French distrust in the words of political leaders, of all politicians. There is, however, one point on which your budget has not evolved; it is fiscal injustice. In this respect, Emmanuel Macron stands by: the increase in taxation for large companies or our most fortunate fellow citizens is still out of the question. The ISF remains a taboo subject, a totem, which the president of the very rich does not resolve to abandon. However, tax justice is at the heart of the message addressed to us by the yellow vests and the restoration of the ISF is supported by the French. Consequently, the Socialist and related group decided to activate the procedure provided for in Article 11 of the Constitution and never again used: a referendum of shared initiative. We will go all the way to get it and make the voice of the people lead to the restoration of the ISF. [[Applause on the SOC benches – Mr Fabien Roussel also applauds]] Ladies and gentlemen, as at first reading and again, the Socialist and Related Group will vote against the draft budget for 2019.
ParlaMint-FR_2018-12-20-O1113.u181	Mrs Lise Magnier has the floor.
ParlaMint-FR_2018-12-20-O1113.u182	[[Brouhahaha]] I am pleased to conclude this final reading of the 2019 Finance Bill.
ParlaMint-FR_2018-12-20-O1113.u183	A little silence, please, ladies and gentlemen, so that we can hear the speaker correctly.
ParlaMint-FR_2018-12-20-O1113.u184	I would like to thank the Chairman of the Committee on Finance, the rapporteur-general, all the colleagues and all the officials who have enabled us to work under the best possible conditions. The review of the finance bill ends in a particular context, following a significant movement to challenge your political choices and the announcement of measures taken by the executive in favour of the purchasing power of the French. However, it should be noted that many of these are not included in this text, which prevents us from having a sincere presentation of the budgetary landing and the level of public deficit that will be achieved in 2019. The Government finds itself with an unsolved equation, obliging it to degrade the public deficit forecast from 2.8 per cent to 3.2 per cent of GDP. It would not be so serious if INSEE had not revised the growth forecast downwards, setting it at 1.5% of GDP instead of 1.7%, which will result in a lower tax revenue – which you did not take into account in the bill. Of course, the Government was forced to respond urgently so that the promised measures could enter into force as early as 2019. The IUD, Agir and Independent Group supports these provisions, which aim to restore purchasing power to our citizens. It is a pity, however, that this response has taken so long, which condemns us to vote for a text with an uncertain balance, whereas for the past year we have been reporting to you the injustice of some of your decisions – I am thinking in particular of the increase in the CSG on pensions. [[Persistent Brouhaha]] Your challenge now is to restructure public action and public spending to alleviate French taxation.
ParlaMint-FR_2018-12-20-O1113.u185	Ladies and gentlemen, I thank you for returning to your places in silence, out of respect by the speaker, the last in the general discussion.
ParlaMint-FR_2018-12-20-O1113.u186	I say again: you must involve public servants, all public servants, in order to change the public service, the public service and public expenditure effectively. Trust them: they will be a force for proposals if you consider them and if you associate them with these necessary transformations. Let's come to this final version of the 2019 Finance Bill. What did you decide during the new reading to reach this text? First, you decided to remove the reduced VAT rate of 5.5% introduced by the Senate on infant diapers and incontinence protections. How can you consider that these are not essential products, which deserve a reduced VAT rate? I sincerely wonder about your ability to hear that you need to know how to make decisions of simple common sense, and that is more favourable to the purchasing power of the French. Secondly, with regard to chambers of commerce and industry, I believe that this is the perfect example of your methodological mistakes. You are right about the necessary adaptation of the consular chamber network, but you are wrong to start by cutting off food and then ask yourself about their role, their missions, their future operation. Normally, we define objectives and missions and then adjust the means to achieve them, we do not do the opposite! Worse: you go back to the commitment made here last year to preserve their resources. How can we trust you when you question your own commitments? On the other hand, we urge you to put more trust in local elected officials. The President of the Republic committed himself to this at the time of his last speech. However, you have deleted Article 79 bis A on the solidarity fund for the departments of the Île-de-France region. The elected representatives of the seven departments concerned had agreed to increase solidarity between their departments. It had no impact on state finances, it was just a solidarity fund between departments in the same region. Well, no, you rejected him! Is this, for you, to take into consideration the local elected representatives? Finally, and perhaps the worst, in terms of ecological taxation, you have shown us that you will not change your method. The French have made it clear to you that they are refusing punitive ecological taxation. So you've fallen back on fuel taxation. However, you have maintained punitive taxation for farmers, with Article 76 increasing the diffuse pollution charge massively.
ParlaMint-FR_2018-12-20-O1113.u187	Indeed!
ParlaMint-FR_2018-12-20-O1113.u188	Of course, this text contains useful measures for agriculture, but while these tools are not yet applicable, you place new burdens on an agriculture that cannot bear it – especially since you have refused to support real opportunities for biofuels, while these are the future for our agriculture and for the French as a whole. These are just a few examples. In conclusion, during the examination of the text, you returned to the political line you wanted to print on this budget. Above all, you have shown that you would not change your method and that you would not learn the lessons of the democratic crisis that our country is going through. [[Applause on the benches of the UDI-Agir group]] For all these reasons, IDU, Action and Independent Members will vote mainly against this draft budget.
ParlaMint-FR_2018-12-20-O1113.u189	All right!
ParlaMint-FR_2018-12-20-O1113.u190	The general discussion is closed.
ParlaMint-FR_2018-12-20-O1113.u191	I now call, in accordance with Rule 114(3) of the Rules of Procedure, the 2019 Finance Bill in the text voted by the National Assembly in new reading.
ParlaMint-FR_2018-12-20-O1113.u192	I put to the vote the whole of the 2019 finance bill.
ParlaMint-FR_2018-12-20-O1113.u193	The result of the vote is as follows: Number of voters 237 Number of votes cast 234 Absolute majority 118 For adoption 182 Against 52
ParlaMint-FR_2018-12-20-O1113.u194	It's not even balanced, your budget!
ParlaMint-FR_2018-12-20-O1113.u195	Next meeting, this afternoon, at 3 p.m.: Discussion of the draft law on economic and social emergency measures. The meeting is adjourned.
