ParlaMint-FR_2018-10-15-O1018.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-15-O1018.u185	[[Protests on the benches of the LaREM group. – Exclaims on the benches of the LR group]] You're the one who started this campaign!
ParlaMint-FR_2018-10-15-O1018.u186	That's not true! And no one here did! This virtuous triptych – control of spending, self-financing, investment – we want to perpetuate in our 2019 draft budget. Yes, this budget is good news for France's territories! It confirms the promise of the President of the Republic: the allocations to local and regional authorities do not fall for the second year in a row; They will even rise slightly. Combined with dynamic own resources, local and regional authorities' revenues will increase in 2019. DGF is stabilized; the majority of municipalities will see their DGF progress in 2019 and I will defend amendments aimed at regulating its variations from year to year.
ParlaMint-FR_2018-10-15-O1018.u187	Bravo!
ParlaMint-FR_2018-10-15-O1018.u188	The most fragile municipalities, Mr Pupponi, will benefit from increased national solidarity, with the DSU and the DSR – rural solidarity grant – each increasing by €90 million.
ParlaMint-FR_2018-10-15-O1018.u189	Last year was 110 million!
ParlaMint-FR_2018-10-15-O1018.u190	As you know, municipal vertical equalization will represent a third of their FMD in 2019. As for the regions, their resources, which have grown by EUR 96 million this year, are expected to increase again by 166 million next year. The recovery of local investment will also be reinforced by the maintenance of a record level of all state investment allocations: the DETR – equipment of the rural territories – to the tune of more than 1 billion euros, the DSIL – 570 million –, the DPV – 150 million, Mr Pupponi! The overall capital allocation of the departments will be transformed into a fund to support the investment of the departments, in order to support structural projects according to a logic of cohesion of the territories. Also with a view to modernising financial assistance, the allocation of intercommunality, the evolution of which has become illegible, will be reformed to introduce more predictability in its calculation and strengthen its equalization role. I will be vigilant about the criteria adopted, in order to make it as fair as possible for all categories of intercommunality. [[Exclaims on the benches of the LR group]] Moreover, the fight against climate change is the responsibility of all: the State, businesses, citizens, but also local and regional authorities. Taxation is one of the levers we need to use to change behaviour. The increase in the waste share of TGAP will be partly offset for the communities by the reduction of the VAT rate on certain waste management benefits, as well as by the reduction of the State's management costs on the incentive share of TEOM – the removal tax on household waste. We give local and regional authorities time to adapt and the most virtuous will win. Finally, this budget foresees that in 2019, as in 2018 – and God knows that you blamed us, but you obviously forgot it – the increase in government spending will be lower than that of the communities: it is a fair return. [[Applause on the benches of the LaREM group]] The birds of bad augurs had predicted last year that the contract would not be considered constitutional, that the goal of 1.2% was unachievable, that the local authorities would not sign, that they would be suffocated. They've been wrong on the whole line. This year, we're going to hear the same little music – we've already started to hear it. Let's not fall into this trap. Our majority can be proud of this finance bill, which reflects its resolute confidence in the territories. We know that it is with the communities and giving them the necessary resources that we will build France of the territories.
ParlaMint-FR_2018-10-15-O1018.u191	Mr Jean-Claude Leclabart has the floor.
ParlaMint-FR_2018-10-15-O1018.u192	Madam President, the Minister for Action and Public Accounts, the Secretary of State, the Secretary of the Committee on Finance, the rapporteur-general, ladies and gentlemen, the draft finance law that we are starting to examine is the budgetary translation of our ambitions for France. This budget is more than just a series of figures; It is a roadmap that engages us and invites us to think in the medium and long term. Our challenge is both to answer today's questions and to know what France we want to bequeath to our children and to the children of our children. We want a fair France, where everyone is able to evolve and find their place. Farmer, elected from a rural and agricultural territory, let me tell you that "agriculture is the basis and strength of the country's prosperity." To talk about agriculture is to talk about both the rural world and the future of the planet. We must work to regain the competitiveness of our agriculture while participating in the country's energy transition. The draft budget for 2019 of the Ministry of Agriculture and Food takes note of the support in the transformation of the sectors of agriculture, fisheries and aquaculture, agri-food, forestry and wood, facing economic, social, environmental and health challenges. It is a budget of construction and ambition that encourages the willingness to undertake and succeed our farms and businesses. It is a budget that protects consumers from anything that can affect the quality of our diet. It is a budget that also protects our producers from economic, climatic and health hazards, with the introduction of a single deduction system based on the creation of precautionary savings. It may result in substantial tax and social relief. The aim is to change agricultural taxation so that it is better adapted to the economic life of farms by enabling them to improve their resilience, viability and competitiveness. This reflection is more broadly part of risk management and is intended to prepare for the future reform of the common agricultural policy – the CAP. Finally, it is a budget aimed at bringing together producers, processors and distributors in pursuit of strategic objectives of food sovereignty, food quality and the competitiveness of our economic sectors. At comparable scope, spending authorities are stabilized in 2018 and 2019. The PLF thus allows the continuation of the financing of the three main priorities of the Ministry, whose appropriations are preserved: support for farmers and sectors, notably through the co-financing of the CAP and the implementation of the major investment plan; the health security of the food chain, maintaining a high level of surveillance and prevention; preparation for the future, through training of young people and innovation. The year 2019 will accompany the continuation of the structuring actions of the roadmap resulting from the general states of food. In particular, it will be marked by the entry into force of the Act for the Balance of Trade Relations in the Agriculture and Food Sector and a healthy, sustainable and accessible diet for all. The application of the law, the conduct of the structural actions resulting from the EGAs, the major investment plan which will accompany the transformation of the sectors, as well as the reform of agricultural taxation will strengthen the competitiveness of enterprises, agricultural and agri-food sectors, and will, I hope, have a positive impact on farmers' incomes. The Ministry of Agriculture and Food participates in the collective budgetary effort of the President of the Republic to meet the target of a deficit of less than 3% of GDP and a gradual reduction in public expenditure. We want to show, through our political and budgetary choices, that the French are committed to their agriculture and to their farmers. [[Applause on the benches of the LaREM and MODEM groups]] Ladies and gentlemen, at the end of our debates, we will be forced to vote solemnly on the second budget of the legislature. The French have given us a mission to carry out a project of profound transformation of the country. That's our ambition!
ParlaMint-FR_2018-10-15-O1018.u193	Mr Alexandre Holroyd has the floor.
ParlaMint-FR_2018-10-15-O1018.u194	Madam President, Minister, Secretary of State, Secretary of the Committee on Finance, rapporteur-general, ladies and gentlemen, 'Choose France, choose France': this is the clear message that the election of the President of the Republic and that majority sent to investors around the world in June 2017. It is also a very clear course: it is an injunction for the transformation of our public policies, so that our country can regain the attractiveness it deserves. This transformation was initiated in the summer of 2017 with the first part of the reform of the social dialogue. This second budget, which we are starting to examine today, is in full continuity. It is a budget that bets coherence and the choice of sincerity. Behind these principles, ladies and gentlemen, lies a very tangible reality for those who wish to invest: the promise of predictable, credible and legible policies. No revolutionary inepties declamed today to better be forgotten tomorrow; no politicians who sing their love of budgetary balances at the time of cheese, but offer unflinchingly more than €6 billion of revenue loss to the State on dessert; no zigzag, sinuosity, circumvolution, bend, flexuosity. Jointly reducing the share of public debt, public expenditure, the public deficit and compulsory levies in GDP: we voted last year, we endorse it again today. Like its predecessor, this PLF-PLFSS budget package makes the choice to support our businesses and encourage tomorrow's entrepreneurs. It continues to bring corporate tax into line with the European average. It commits the reduction of social security contributions, by removing employers' contributions at the level of the SMIC, because this majority assumes that it is by supporting those who create employment that unemployment is really being tackled. This budget tackles the elisibility of our taxation, which has become a real scarecrow over the last few decades, a maze in which we sometimes find perfectly ineffective aids, sometimes mechanisms of support in total contradiction with our fierce desire to succeed in the ecological transition. This budget is also the partition of certain elements of the PACTE bill – an action plan for business growth and transformation – of which Bruno Le Maire, Minister of Economy and Finance, was the composer. Tomorrow and with this budget, our family SMEs will be more easily passed on. These SMEs transmitted from generation to generation over the decades and centuries, which preserve and enrich the know-how unique to the world and which are the pride of all French, are the jewels of our economy; We must protect them and make them grow. Tomorrow, thanks to this budget, the employees of the TPE, SMEs and ETI will be all the more involved in the life of their company as they will be associated with its success, thanks to the abolition of the social package on interest. [[Applause on a few benches of the LaREM group]] Ladies and gentlemen, this transformation which has been going on for more than a year, which offers our companies all the ingredients to succeed in the world in which we live and in which they operate, does not go unnoticed. Ernst &amp; Young, one of the world's largest consulting firms, notes with great clarity: "The recovery in France's attractiveness is spectacular. France is once again part of Europe's leading peloton, which it had won for the last ten years." The Financial Times, the ultimate reference of foreign investors, was even clearer recently by noting: "There has never been a better time to invest in France. » Minister, let us be frank: a finance bill is always somewhat arid. Some insiders can admire the unique beauty of a particularly elegant tax pipework – isn't it the rapporteur-general? -...
ParlaMint-FR_2018-10-15-O1018.u195	Oh, yes!
ParlaMint-FR_2018-10-15-O1018.u196	...but I doubt that everyone shares this sense of aesthetics. So, rate, increase, decrease, equalization, conjecture and structure apart, this budget, from whom does it bear the name? This budget is that of Philippe, a worker, who will return to work as a production agent in Valenciennes, in the factory of a large Japanese car manufacturer who made the choice to continue his investments in France as a result of the fall in the cost of labour which is the direct result of the reduction in employer contributions. This budget, it bears the name of Myriam, who will find a job in Fos-sur-Mer, in a high dispersion silica plant used for the manufacture of green tyres, a plant whose owner was convinced, among other things, by the determination of this majority to effect the transformation of the tax credit for competitiveness and employment into a reduction of long-term burdens. This budget is also that of Jeanne, hired in a biotech start-up whose development will take place in Montpellier rather than Berlin, thanks to the commitment made by the State to actively support our research. [[Applause on the benches of the LaREM and MODEM groups]] Ladies and gentlemen, this budget bears the name of all French people who are looking for jobs and all those who are in a position to create them, of all those who intend to invest in France and want to come and start a business there. This is a second stage in the renaissance of the attractiveness of our country. As such, I urge you to give him your full support.
ParlaMint-FR_2018-10-15-O1018.u197	The general discussion is closed.
ParlaMint-FR_2018-10-15-O1018.u198	The minister doesn't answer the speakers?
ParlaMint-FR_2018-10-15-O1018.u199	There's nothing to say!
ParlaMint-FR_2018-10-15-O1018.u200	I now call the clauses of the bill.
ParlaMint-FR_2018-10-15-O1018.u201	Several speakers are inscribed on the introductory article. Mr Daniel Labaronne has the floor.
ParlaMint-FR_2018-10-15-O1018.u202	The introductory article deals with forecasts of structural and actual government balances. Here I would like to stress both the consistency and the sincerity of these forecasts. Coherence first. The deficit in 2019 would fall, with an improvement of 0.3 percentage points in the actual balance and 0.3 percentage points in the structural balance. These results come after France's exit from the European excessive deficit procedure. Above all, they are consistent with the guidelines set by Parliament in the Public Finance Programming Act for the years 2018 to 2022. These forecasts are also sincere. The Government must be recognized as consistent in its willingness to make its forecasts sincere – they are in line with those of the main economic institutes. [[Applause on a few benches of the LaREM group]] I recall the difficulty of calculating potential growth, the production gap and the structural balance. For example, overestimating the negative output gap would overestimate the cyclical component and underestimate the structural component. An overestimation of potential growth would result in widening the production gap and minimizing the structural deficit. We've known that in the past. It should be noted, however, that assumptions about the calculation of the structural deficit were considered realistic by the High Council for Public Finance in its opinion on the law on the programming of public finances. This structural adjustment, I would also point out, is driven by an effort on expenditure, in line with the Government's objectives of containing it in order to reduce both the compulsory levy and the deficit. I am confident that these efforts will be valued by the European Commission when it comes to examining our structural deficit.
ParlaMint-FR_2018-10-15-O1018.u203	Mr Michel Castellani has the floor.
ParlaMint-FR_2018-10-15-O1018.u204	Finance bills are, as we know, at the heart of all the problems, of all the difficulties. In the last financial year, structural adjustment improved by 0.1 percentage points of GDP. As modest as it is, this result marks a reversal of trend. The structural adjustment provided for in this PLF amounts to 0.2 points, excluding measures relating to IS's fifth advance payment – corporate tax. It must be noted that this objective is not in line with what the European Regulation provides for and above all that it removes the prospect of achieving the medium-term objective of the structural balance and extends the path of recovery of public finances. It is always very difficult to reach public spending. The needs of all kinds are immense. Yet the reduction of the deficit and debt is an indispensable objective to be achieved. The Keynesian message, of an eminently social nature, has been diverted from its objectives. It is particularly unhealthy to see public debt turn into a privileged object of speculative investment. It is worrying to note the enormous amount of daily issues from France treasure, just as it is worrying to know that interest rates will inevitably rise, just as it is worrying to understand the negative role that the future cost of energy will have in income and growth. Although we are aware of the complexity of things, we call for the maintenance of the structural adjustment effort and, as a necessary corollary, for a fair sharing of the tax burden: just between capital and labour; just between companies, the public sector and households. On this article and on the whole of the text, we will support the amendments that will go in this direction.
ParlaMint-FR_2018-10-15-O1018.u205	Mr Xavier Paluszkiewicz has the floor.
ParlaMint-FR_2018-10-15-O1018.u206	[[Exclaims on the benches of the LR, SOC and GDR groups]] "All things are already said; But as no one listens, we always have to start again," said André Gide.
ParlaMint-FR_2018-10-15-O1018.u207	Speak for yourself!
ParlaMint-FR_2018-10-15-O1018.u208	Stupid reasoning!
ParlaMint-FR_2018-10-15-O1018.u209	Have we all listened to the arguments and comments of the various speakers, particularly those formulated and developed this afternoon by Mr Le Maire and Mr Darmanin, respectively Minister of Economy and Finance, and Minister of Action and Public Accounts? It is not certain, however, that some here or there do not want to hear. To hear that the Public Finance Programming Act for the years 2018 to 2022, adopted last year, reflects our ambitions for the recovery of our public finances. To hear that all public policies and announced reforms are for the first time sincerely and rigorously presented in an ambitious path. To hear that the "syncerization" of budget documents is not contested by anyone. To hear that – rare thing – no advance decree will be presented. To hear that France emerged in 2018 from the excessive deficit procedure opened in 2009. To hear that the deficit for 2017 has been reduced to 2.7% of GDP. Finally, let us hear that the 1.7% growth assumption for 2018 and 2019 remains at a high level, that it is solid. Therefore, ladies and gentlemen of the opposition, perhaps you could hear that everything is not so bad and keep a bit of objectivity for those who know how to take on their responsibilities. [[Exclaims on the benches of the LR group]] To say, as before, that all economic signals are red reflects a clear will to harm:...
ParlaMint-FR_2018-10-15-O1018.u210	[[Smile]] Oh! The bad guys!
ParlaMint-FR_2018-10-15-O1018.u211	[[Applause on several benches of the LaREM group]] ...to harm our economy, our project; harming the French, as this statement is false and deceives our fellow citizens. The French are impatient; We're just as much. However, we must warn them: the transformation of the country will not take place in a year – no one here claims to be a magician. Let them know, however, that we are going to succeed, because our will and optimism are great.
ParlaMint-FR_2018-10-15-O1018.u212	Mr Gilles Lurton has the floor.
ParlaMint-FR_2018-10-15-O1018.u213	With the introductory article, we have, in accordance with Article 7 of the Organic Law of 17 December 2012, forecasts of the structural balance and the actual balance of all general government for 2019. This article also allows us to go back to the words of the rapporteur-general, who said at the beginning of his report: "A year ago, many still doubted the will and capacity of the new majority to implement an ambitious programme to transform public action and reduce taxes while bringing the public deficit below 3% of gross domestic product". Yet, Minister, a year ago, we were quite right to doubt, because today, contrary to what is written in the introduction by the rapporteur-general, the facts are there, and they encourage much less optimism than you say: public expenditure which will increase by EUR 25 billion in 2019; a government deficit that is rising again and will worsen by €13 billion next year, reaching €98.7 billion; a public debt that does not decrease and remains unsustainable, reaching 98.5% of GDP at the end of 2017, which brings it closer to the fateful 100% threshold – we will spend 40 billion euros in 2019 just to pay the interest on the debt. [[Applause on a few benches of the LR group]] You say that by reducing the compulsory levies by 6 billion euros, you will increase the purchasing power of French and French people. We tell them it's a deception. This weekend's debates on the housing tax, the ongoing debates over the past year on the generalised social contribution – the CSG – and its increase for pensioners, the debates on the considerable increase in the price of diesel fuel, which penalises rural life, the debates that we will have next week about the decrease in the purchasing power of families under the draft law on the financing of social security: all these debates show us how far French and French people are not fooled.
ParlaMint-FR_2018-10-15-O1018.u214	Mr Marc Le Fur has the floor.
ParlaMint-FR_2018-10-15-O1018.u215	What interests the French is their purchasing power.
ParlaMint-FR_2018-10-15-O1018.u216	That's the point!
ParlaMint-FR_2018-10-15-O1018.u217	What will they see from this year? Let him down. This was the case in the past because of the CSG. This is still the case now: because of the joint increase in the price of oil and the TICEP – the internal consumption tax on energy products – the diesel fuel, at home, has passed the bar of €1.50 per litre – the conversations of our compatriots, at least in the rural world, amount to the price of diesel, which directly impacts them.
ParlaMint-FR_2018-10-15-O1018.u218	Doesn't the housing tax affect them?
ParlaMint-FR_2018-10-15-O1018.u219	The increase in contributions to AGIRC and ARRCO – the General Association of Executive Supplementary Retirement Institutions and the Association for the Supplementary Pension Scheme of Employees – is another factor that reduces the purchasing power of our compatriots. And there will also be the consequences of spring sampling.
ParlaMint-FR_2018-10-15-O1018.u220	Which will be beneficial for everyone!
ParlaMint-FR_2018-10-15-O1018.u221	Indeed, it will no longer apply, like the previous tax, to income in year n-1, but to income in year n. As a result, the effects of annual inflation or the small promotion obtained will immediately translate into an increase in tax.
ParlaMint-FR_2018-10-15-O1018.u222	The opposite will be true too!
ParlaMint-FR_2018-10-15-O1018.u223	There can be a catch-up!
ParlaMint-FR_2018-10-15-O1018.u224	The proof, Minister, is that the income tax revenue for the coming year will be very good! Besides, this recipe, you hide it – I refer you to page 21 of the assessment of ways and means –...
ParlaMint-FR_2018-10-15-O1018.u225	[[Smile]] It's not very well hidden!
ParlaMint-FR_2018-10-15-O1018.u226	...5,8 billion euros, ensuring that it is entered on January 2020 rather than on December 2019. And you're hiding another recipe, minister, since in 2019 there will be two income taxes, not one. Indeed, if in 2019 we will pay the income tax of 2019, a number of our compatriots will also have to pay taxes on 2018 in respect of exceptional or excess income.
ParlaMint-FR_2018-10-15-O1018.u227	So it won't be a white year for everyone. Maybe that's legitimate, but there's a real recipe that you don't want to evaluate.
ParlaMint-FR_2018-10-15-O1018.u228	Alas!
ParlaMint-FR_2018-10-15-O1018.u229	[[Applause on a few benches of the LR group]] Indeed, I have not found any information in the documents that have been communicated to us concerning her. The tax revenues of two calendar years in a single fiscal year are worrying. I invite you, Minister, to reply to us on this subject, in order to remove any ambiguity.
ParlaMint-FR_2018-10-15-O1018.u230	Mr Jean Lassalle has the floor.
ParlaMint-FR_2018-10-15-O1018.u231	I will take up all the arguments that Michel Castellani has just presented – I do not know if you have listened to him, but I do – which will prevent me from repeating them. I do not understand how the President of the Republic can thus let pass his political credit – an exceptional credit, that during my long elected life, I had never seen before – without taking a major initiative.
ParlaMint-FR_2018-10-15-O1018.u232	[[Smile]] Yes: he took the initiative to release bears!
ParlaMint-FR_2018-10-15-O1018.u233	How is it that a man as brilliant and intelligent as millions have been to follow and on whose name you have been hundreds to be elected, does not move to give France a political and financial space worthy of this name? Why didn't you immediately start a big solar energy project? Both in this field and in the field of tidal energy, we are far more advanced than we would like to say. Yet, we continue to outstrip projects dating back to the 1960s, which we could no longer launch today – because we do not tell history, we could no longer launch Airbus today!
ParlaMint-FR_2018-10-15-O1018.u234	What does this have to do with the opening article?
ParlaMint-FR_2018-10-15-O1018.u235	I'll make it up to you. It is really a pity that the President of the Republic finds himself at the level of Sarkozy and Holland, while maternity hospitals are closed in turn, that 60 per cent of families start the month with a budget that is short and that there is no longer any way to build a kilometer of road or water.
ParlaMint-FR_2018-10-15-O1018.u236	Thank you, my colleague.
ParlaMint-FR_2018-10-15-O1018.u237	[[Laughs]] I don't want to play Cassandre, but I tell you, ladies and gentlemen, let's open our eyes!
ParlaMint-FR_2018-10-15-O1018.u238	Bravo! He's right!
ParlaMint-FR_2018-10-15-O1018.u239	Mr Charles de Courson has the floor.
ParlaMint-FR_2018-10-15-O1018.u240	The introductory article has an interest: it allows us to discuss the structural balance. Does this one decrease? Yes, but very little: it reached 2.3% of GDP in 2017; it will be 2.2% in 2018 and 2% in 2019. Is this in line with our European commitments? No.
ParlaMint-FR_2018-10-15-O1018.u241	Stop with that!
ParlaMint-FR_2018-10-15-O1018.u242	This means that the reduction of public expenditure is completely inadequate or that money is being given back by reducing certain taxes when we cannot afford them. It's no more complicated than that. Second observation: for the first time, the cyclical balance is reversed; He's getting positive. Do you know what that means? As the potential growth rate is estimated to be 1.2 or 1.3 per cent, this level should be reached and exceeded – but cannot be exceeded for a long time, which explains why forecasts of 1.7 per cent for 2018 and 1.7 per cent for 2019 are unrealistic, technically impossible!
ParlaMint-FR_2018-10-15-O1018.u243	These calculations are false!
ParlaMint-FR_2018-10-15-O1018.u244	If they are wrong, my dear colleague, vote against the opening article! We must be serious: we cannot say everything and its opposite.
ParlaMint-FR_2018-10-15-O1018.u245	We can't be in the in-between: either it's true, or it's not!
ParlaMint-FR_2018-10-15-O1018.u246	This shows once again that the effort to reduce public spending is insufficient – about half. It is no more complicated than that, ladies and gentlemen!
ParlaMint-FR_2018-10-15-O1018.u247	I have before me a number of amendments, Nos 2074, 2281, 690, 1114, 301 and 2282, which can be discussed jointly. Amendments Nos 690 and 1114 are identical. I call Mr Pupponi to support Amendment No. 2074.
ParlaMint-FR_2018-10-15-O1018.u248	[[Smile]] It aims to take into account the position of the IMF, the International Monetary Fund, and a recommendation by European Commissioner Pierre Moscovici to change the method of calculating the structural balance in the Member States of the European Union. I'm going to make a bit of humor: if we don't implement what the IMF and the European Commission are advocating, the opening article will be a fake news! Everyone knows that this is not the real structural deficit. What we are proposing is a fair method of calculating the structural balance, as all Member States should adopt.
ParlaMint-FR_2018-10-15-O1018.u249	All right!
ParlaMint-FR_2018-10-15-O1018.u250	I call Mr Charles de Courson to support Amendment No. 2281.
ParlaMint-FR_2018-10-15-O1018.u251	It is intended to bring the introductory article into line with our Community commitments. I would remind you that we should reduce the structural deficit by 0.5 points per year, with a possibility of derogation limited to 0.25 points per year for two years, i.e. a total of 0.5 points. How much are we at? To a reduction of 0.3 points over two years. We therefore need a further reduction of at least 0.2 points – an effort of EUR 5 billion – and even, if we were serious, by 0.7 points. The small problem is that the draft budget has been notified to the European Union. From this point of view, it would be very interesting, Mr Minister, for you to explain to us the progress of the discussions in Brussels. How will the Commission appreciate a very small reduction in the structural deficit? This point was raised in particular by the High Council for Public Finance. Is the introductory article in line with our Community commitments? It is not we who will decide the answer to this question here; It is the European Union that will do it. Could you please clarify this point, Minister?
ParlaMint-FR_2018-10-15-O1018.u252	Mrs Marie-Christine Dalloz has the floor to support Amendment No. 690.
ParlaMint-FR_2018-10-15-O1018.u253	In the general statement of reasons for the 2019 Finance Bill, you announced, Minister, that this bill "is part of the continuing slowdown in the growth of public spending in the summer of 2017." Very well: we ask only to believe him and above all to see him. The reality is that France is not respecting the European commitments it has made in the framework of the TSCG – the Treaty on Stability, Coordination and Governance. Of course, our country is out of the excessive deficit procedure: the deficit in its public finances, now below 3%, will be around 2.8 or 2.9 per cent by the end of 2019. Nevertheless, we are not meeting our commitments because a debt of more than 60 % of GDP requires a reduction in the structural deficit of 0.5 % per year. I want to go back to another point that I consider essential. According to some colleagues, this is the third time the deficit has fallen. But on this point I refer you to the rapporteur-general's report. You will see that, on the state's only perimeter – out of excess social security, therefore – the deficit was 2.8% of GDP in 2017 and 3.1% in 2018 – so I don't see where the decrease is – and it will reach 3.6% in 2019. Fortunately, the old age branch of social security is in surplus! In reality, the government deficit continues to deteriorate; it should be taken into account, as you seem to be occulting it. My amendment, in these circumstances, is very simple: it aims at respecting our European commitments.
ParlaMint-FR_2018-10-15-O1018.u254	Mrs Emilie Bonnivard has the floor to support Amendment No. 1114.
ParlaMint-FR_2018-10-15-O1018.u255	In simple terms, for a more positive understanding of the issue, I would say that my amendment is intended to encourage the Government to undertake with courage the reforms necessary to reduce public spending. Our objective is both to reduce the tax burden on the French and to revive our economy, simply respecting our European commitment to reduce our structural deficit by 0.5 percentage points, compared to 0.3 percentage points under the PLF.
ParlaMint-FR_2018-10-15-O1018.u256	Mrs Véronique Louwagie has the floor to support Amendment No. 301.
ParlaMint-FR_2018-10-15-O1018.u257	It aims to review the forecast of the structural deficit. As several colleagues pointed out, the structural adjustments planned for 2018 and 2019 do not comply with the rules laid down in the Stability and Growth Pact. It is important that France, even if only to give confidence to its partners, comply with the requirement of a reduction of at least 0.5 percentage points per year, a requirement imposed on countries whose debt exceeds 60% of GDP, which is its case. In its opinion on the draft law on finance and the draft law on the financing of social security for 2019, the High Council for Public Finance recalls: "France's structural deficit remains at a high level. It would fall only slowly under European rules and France would not have started, by 2019 – that is, tomorrow – the movement to reduce its public debt-to-GDP ratio, unlike almost all European countries. The High Council continues by stressing that "this persistent situation is likely to significantly limit the room for manoeuvre of fiscal policy in the event of a sharp slowdown in economic activity". I believe that we must take this opinion into account: it is precisely the purpose of my amendment, which tends to review the trajectory of the structural balance.
ParlaMint-FR_2018-10-15-O1018.u258	Mrs Lise Magnier has the floor to support Amendment No. 2282.
ParlaMint-FR_2018-10-15-O1018.u259	My amendment, in essence, also tends to support the Government in fulfilling our European commitments. This was already a real subject during the budget discussions last year: we had accompanied you in these commitments. Therefore, we propose to increase the structural adjustment effort by an average of 0.25 % of GDP in 2018 and 2019, which in 2019 would reduce the structural deficit to 1.8% instead of the expected 2 %. To question the commitments made in the interests of our country would, in the long run, reduce our chances of redressing the trajectory of public finances. For us, it is quite incomprehensible that the majority does not respect France's European commitments, especially in the current period, when we must be strong within the Union and assume our pro-European position.
ParlaMint-FR_2018-10-15-O1018.u260	Mr Joël Giraud, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor to give the Committee's opinion on these amendments.
ParlaMint-FR_2018-10-15-O1018.u261	The common point between all these amendments is to question either the assumptions or the trajectories defined in the PSSA – the public finance programming law for the years 2018 to 2022. With regard to growth assumptions, I recall that the High Council for Public Finance considered them "realistic", which, in its semantics, is equivalent to a real satisfaction. On the other hand, Mr de Courson, it is true that structural adjustment is set at 0.3 points in the PLF for 2019; the subject has already been mentioned several times. Of course, the preventive part of the Stability and Growth Pact provides for an adjustment of 0.5%, but I would point out that this part aims to prevent, as its name suggests, the difficulties of public finances. It is therefore possible to depart from this when, in the end, the public accounts are restored. What I will remember above all is that France has left the excessive deficit procedure in which it had been engaged for a very long time, for the reason that it is on the road to the restoration of public accounts. And the government deficit continues to fall: it stands at 1.9% excluding exceptional measures related to the replacement of the CICE, the best government balance in nearly 20 years. That is why I express an unfavorable opinion on all these amendments.
ParlaMint-FR_2018-10-15-O1018.u262	The Minister for Public Action and Accounts has the floor to give the Government's opinion.
ParlaMint-FR_2018-10-15-O1018.u263	Although I have been questioned by both the Members on the article and the authors of these amendments, I will be brief, because the rapporteur-general has been quite clear. However, I would like to reply to you, Mr de Courson, since you are inviting me, and that makes sense, to express my views on the negotiations led by Bruno Le Maire with the European Commission. With the latter, we have always been clear. What we have always said, and which corresponds to the figures presented in the Public Finance Programming Act, is that the adjustment was 0.1 per cent last year and that it is increased to 0.3 per cent this year. We are therefore not at the rate of 0.5% requested by the European Commission. That is true, as we have said, and the High Council is right to recall, but the European Commission is aware of it and we have negotiated with it a number of small breaches, perhaps at the table of the law of the Treaties. The first was the sensitive impact of the CICE, if any, structural reform – Mrs Dalloz, in this regard, pretended to ignore that the deficit was 1.9%. First of all, when we got to business, we found very poor public finances. I am not going back to that, even though everyone now seems to be claiming full respect for the tables of the European Commission's law, which our country has not respected for almost ten years. And it should be removed from the excessive deficit procedure – which we have done – from the first year of the legislature before the structural adjustment is increased to 0.5%. Most of those who criticize us – and I do not say this for you, Mr de Courson – advocate what I have just said while refusing most of the savings that we are proposing, which indicates a slight difference between their two brain hemispheres – in any case, they do not seem to be connected in the same way depending on whether we are in the Chamber, on a television set or on the ground. It is quite logical: so goes the game of the opposition and the majority in a democracy... We have always said that the adjustment would be 0.3% and we are keeping the commitment made last year on this point. You will have noted that France, unlike other countries, has not had to submit to the European Commission a revised and corrected draft budget, and has not received any letter on this subject from France. However, this has happened to other governments, as I say to Mr Pupponi, since the IMF's word now seems to be the gospel of the Socialist Group.
ParlaMint-FR_2018-10-15-O1018.u264	[[Smile]] That's been the case for so long!
ParlaMint-FR_2018-10-15-O1018.u265	I know you are very close to the IMF, Mr Pupponi: this is a well-known thing, and to your credit...
ParlaMint-FR_2018-10-15-O1018.u266	[[Smile]] I'll take care of it!
ParlaMint-FR_2018-10-15-O1018.u267	[[Smile]] I hear very well, and I can understand this international commitment, which is in good agreement, in the rest, with the internationalist vocation of the party to which you belong... In any event, we wish to undertake structural reforms that are at the same time taking place in our country. So we have not limited our efforts. I will end by saying to you, Mr de Courson, ladies and gentlemen, that the European Commission has asked us not only for figures, but also for a series of reforms. When you are in the position of minister responsible for the public accounts of France, you do not simply establish accounts with the Minister of Economy and Finance that are valid for what they are worth – since they can vary from year to year, depending on the hazards of the economic life of the country, and indeed of Europe and the world. You are also developing a list of reforms. However, we are scrupulously following the list presented to the European Commission. In the near future, we have had the reform of the SNCF, the Labour Code and the tax system adopted in 15 months. And next year we will be embarking on the reform of the public audiovisual sector, that of pensions – which the Prime Minister, together with the High Commissioner and the Minister of Solidarity and Health, announced the main principles, which will be presented to you next year – that of the public service, which I will present with Olivier Dussopt here in the first quarter of 2019, that of unemployment insurance, which the social partners are discussing, and that of health. The European Commission has been right to ask us for this list of reforms. In the last two years, she has not sent us any letters or comments on the draft budget.
ParlaMint-FR_2018-10-15-O1018.u268	All right!
ParlaMint-FR_2018-10-15-O1018.u269	[[Applause on the benches of the LaREM and MODEM groups]] Yes, we must reach the figure of 0.5%, but not only mathematically and accountingly: we must also do so by listening to the peoples.
