ParlaMint-FR_2018-10-18-O1024.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-18-O1024.u326	What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u327	Favourable.
ParlaMint-FR_2018-10-18-O1024.u328	Mr. Serge Letchimy has the floor.
ParlaMint-FR_2018-10-18-O1024.u329	Minister, make one more effort: you have accepted six more months, what prevents you from planning another six months? While orders have been placed and already launched, you have two limits: the first is that they must be placed before the vote on the bill as a whole, that is, in a good month, and the second is the date of July 1. If someone makes an order in November, just before the vote, they will have only six months to bring their equipment in while they need to negotiate the financial assembly, prepare the file to benefit from the subsidy – i.e. 8.5% of the price minus taxes, in the end 5.5% – then give the manufacturers time to produce the equipment. I think the deadline is short. How does it bother you that 2019 is fully integrated into the scheme as a buffer year that would allow for implementation from 1 January 2020. That would be respectful of those concerned. Don't be too hard. I think such flexibility would demonstrate that you are listening to national representation. I know you're listening... but we can listen without hearing.
ParlaMint-FR_2018-10-18-O1024.u330	That's right!
ParlaMint-FR_2018-10-18-O1024.u331	So, so far, I have not been heard, either by the Budget Minister or by you, the minister, when that is generally the case.
ParlaMint-FR_2018-10-18-O1024.u332	But it's not over!
ParlaMint-FR_2018-10-18-O1024.u333	Communication is repetition!
ParlaMint-FR_2018-10-18-O1024.u334	Yes, that's true, but it's not a repetition here: it's a wish. Technically, placing an order as part of an industrial investment is not the same as ordering a shirt or pair of shoes, and the arrival times are not the same.
ParlaMint-FR_2018-10-18-O1024.u335	Mrs Justine Benin has the floor.
ParlaMint-FR_2018-10-18-O1024.u336	[[Applause on several benches of the LaREM and MODEM groups]] In relation to what was originally presented to us, I consider, Madam Minister, that this is a good amendment. I agree, it is true, with my colleague Serge Letchimy, but I think you have heard our cries caused by Article 4. I hope that you will sanctify the 70 million – after the 700 million in four years – and I consider, in view of this amendment that I will vote, that you are beginning to make efforts.
ParlaMint-FR_2018-10-18-O1024.u337	Mr Olivier Serva has the floor.
ParlaMint-FR_2018-10-18-O1024.u338	A clear question, minister: what do you mean by "putting an order"? You said that the order will have to be placed before the amendment is adopted.
ParlaMint-FR_2018-10-18-O1024.u339	The minister has the floor.
ParlaMint-FR_2018-10-18-O1024.u340	I should have said, "have made a deposit." I would like to take into account the few remarks that you have made: we were thinking with the budget minister that we could take another step in the Senate – since we cannot under-amend the Government's amendment now – to set December 31 as the final date for a deposit.
ParlaMint-FR_2018-10-18-O1024.u341	There!
ParlaMint-FR_2018-10-18-O1024.u342	In any case, the goods will have to be received by 1 January 2019 at the latest, and it is by that date that the new measures will start to apply and the NPR VAT scheme will end officially.
ParlaMint-FR_2018-10-18-O1024.u343	You can correct the amendment on the bench.
ParlaMint-FR_2018-10-18-O1024.u344	In this case, it's for study.
ParlaMint-FR_2018-10-18-O1024.u345	Mr Olivier Serva has the floor.
ParlaMint-FR_2018-10-18-O1024.u346	Madam Minister, that's what I was afraid of. I'm sorry to tell you, but what you're proposing is a lack of knowledge of overseas investment systems.
ParlaMint-FR_2018-10-18-O1024.u347	Oh!
ParlaMint-FR_2018-10-18-O1024.u348	Indeed, the uncollectible VAT recoverable, which includes 8.5% of the financing plan, is all or nothing. This means that if the financing plan no longer includes 8.5%, the bankers will not lend the surplus and it will be impossible to make a down payment because they cannot start the order. I could cite examples of investors who will face this impasse tomorrow. In fact, the Government's amendment is not very useful.
ParlaMint-FR_2018-10-18-O1024.u349	The Minister has the floor.
ParlaMint-FR_2018-10-18-O1024.u350	Mr. Member, I believe that your remarks are a bit cavalier towards the minister, but I will not allow myself to say that you are not familiar with the matter. Let us look at the substance of the matter: the numerous reports on the subject, of which the national representatives were aware, particularly in the framework of the overseas states general and also clearly in the Finance Committee, show the amount of the true NPR VAT. By the way, I note that it bears its name very badly: recognize that it is a subsidy, since the proceeds of this tax are recovered by the interested parties without being returned, and one can understand why the economic community is not in favour of its abolition. I must admit that I did not know NPR VAT until I was the Minister of Public Accounts, but it is clear that this is a Shadokian system. Mr. Letchimy was right to say that, at the limit, the name should first be changed... In any case, this is not taxation because it is a subsidy. It benefits only a small number of people who, in this case, are recovering this money, and it is quite clear that they are unhappy that they are no longer recovering it from next year. Moreover, PNR VAT does not serve the territory that you are supposed to represent in this debate, honourable Member, because it is 33 million – I would like to correct the figure of 23 million mentioned by the minister – when it is redistributed 100 million.
ParlaMint-FR_2018-10-18-O1024.u351	That's right.
ParlaMint-FR_2018-10-18-O1024.u352	Not only are your remarks to the minister totally out of place, Mr Serva, but I think that, in addition, it is you who demonstrate a certain lack of knowledge of the subject: would you refuse that 70 million would be redistributed, turning 33 million into 100 million? I would like you to object in principle to the policy of the Government – even if in this case there is no shortage of salt – but you cannot say that this development is not for the benefit of the ultramarines and the ultramarine territory. I would like to say here, at the invitation of the Member and the Minister, that indeed this important transformation – this is a complex and somewhat shadokian subject – is being carried out for the ultramarine territories, and that the budget appropriations in question will not be changed, within the framework of the overseas appropriations, during the quinquennium. We are transforming 33 million grants that do not say their name into 100 million real budget appropriations: this threefold, in a few minutes, is in my opinion interesting. Mr President, if you agree, I propose, on behalf of the Government, that Amendment No 2577 of the Government be corrected at the sitting to replace it on 16 October, 31 December, in order to please both the Minister for Overseas Affairs and the Members who have asked me to do so.
ParlaMint-FR_2018-10-18-O1024.u353	Thank you.
ParlaMint-FR_2018-10-18-O1024.u354	Amendment No 2577 is thus corrected. Mr Charles de Courson has the floor.
ParlaMint-FR_2018-10-18-O1024.u355	We must, of course, and this will be my first observation, get out of this situation. Are you nevertheless sure, Mr Minister, that the amendment will enable us to respond to this Shadokian system of refunding VAT that has never been paid? I explain: the first paragraph states that "the I does not apply to transactions for which the chargeability of value added tax...". We are really in the Shadok world: does this VAT exist?
ParlaMint-FR_2018-10-18-O1024.u356	It exists, but it's not paid.
ParlaMint-FR_2018-10-18-O1024.u357	And it's recovered.
ParlaMint-FR_2018-10-18-O1024.u358	If it doesn't exist, what could be its due date? A tax that does not exist cannot have one. You'll admit it's a little complicated. Second observation: how will you apply, Madam and Minister, your device to split deliveries? Let's imagine that I ordered three trucks, the first one delivered to me in January 2018, the second in 2019 and the third in 2020. How will the amendment then apply? Don't you think it would be better to refer to an application text? In other words, are you sure that this editorial will allow you to deal with the multitude of situations that will not fail to arise? I have taken the example of split deliveries over two or three years, as is often the case when buying investment goods: how will the amendment apply in this case?
ParlaMint-FR_2018-10-18-O1024.u359	It's the delivery date that counts.
ParlaMint-FR_2018-10-18-O1024.u360	This means that the first of my trucks will still be reimbursed for VAT, and the other two will not.
ParlaMint-FR_2018-10-18-O1024.u361	Yeah.
ParlaMint-FR_2018-10-18-O1024.u362	I don't know. Dear colleague, you are stronger than the minister. There are many different cases: would it not be better, minister, for us to give you delegation to settle this? Otherwise, we won't get out.
ParlaMint-FR_2018-10-18-O1024.u363	I thank you, Mr. de Courson, for assisting the Government in correcting its amendment. The Minister has the floor.
ParlaMint-FR_2018-10-18-O1024.u364	[[Smile]] Mr de Courson, on the day a student makes a thesis on NPR VAT based on our debates, I hope he will think about us by reading them. I also hope that the Constitutional Council, which reads the entire record of our debates, will say: they have had a good time. [[Mr. de Courson's moaning]] Indeed, from what I have understood, Mr NPR VAT is in fact a real tax, except that the taxpayers concerned are completely exempt from it – it is therefore a zero tax – but that they receive the refund. Yes, sir, I think that's it.
ParlaMint-FR_2018-10-18-O1024.u365	Yes, that's right.
ParlaMint-FR_2018-10-18-O1024.u366	It is for this reason that VAT is not collected, but is recovered. Hence his name.
ParlaMint-FR_2018-10-18-O1024.u367	Oh, there!
ParlaMint-FR_2018-10-18-O1024.u368	I'm not the one who invented it: I'm just trying to put an end to this story.
ParlaMint-FR_2018-10-18-O1024.u369	It's a tax object.
ParlaMint-FR_2018-10-18-O1024.u370	A sui generis object. This comment responds, Mr. de Courson, to your first question. The second concerned split deliveries: it seems to me that VAT is payable at the time of delivery. We set a date for December 31, 2018. Why did we initially plan for October 16? Because when we tightened the Pinel device, we scheduled the same date on October 16. Such a choice will therefore avoid a number of side effects between the moment of the decision, that is to say today, and the time when the finance bill will be passed by the parliamentarians of the Republic, that is, by 31 December at the latest. [[Smile]] To return to your question, VAT is charged at the time of delivery. This is therefore no problem. Deliveries will take place before and after December 31, which is good as Christmas takes place before, at least this year.
ParlaMint-FR_2018-10-18-O1024.u371	I have before me four identical amendments, Nos 1570, 2087, 2167 and 2459. The rapporteur-general has the floor to support Amendment No. 1570.
ParlaMint-FR_2018-10-18-O1024.u372	It aims to allow the accounting of solar thermal energy – the type of energy that designates the use of solar radiation to heat a fluid, which distinguishes it from solar photovoltaic energy – in the determination of the renewable energy threshold opening the benefit of the reduced VAT rate of 5.5%. [[Smile]] In France, this energy is a little more marginal than in our European neighbours while it is of great interest in the south of the country and overseas, and perhaps even in Saint-Pierre-et-Miquelon...
ParlaMint-FR_2018-10-18-O1024.u373	Amendments Nos 2087 by Mrs Christine Pires Beaune and 2167 by Mrs Amélie de Montchalin are defended. Mrs Sarah El Haïry has the floor to support Amendment No. 2459.
ParlaMint-FR_2018-10-18-O1024.u374	This amendment by our colleague Bruno Duvergé concerns the application of the VAT rate to 5.5% of solar thermal energy. It is therefore aimed at achieving equal treatment. It is an energy which has its full place alongside biomass, geothermal energy or waste recovery: it is therefore a relevant amendment.
ParlaMint-FR_2018-10-18-O1024.u375	What is the Government's opinion on these identical amendments?
ParlaMint-FR_2018-10-18-O1024.u376	He's in favor. And the pledge will be raised.
ParlaMint-FR_2018-10-18-O1024.u377	All right.
ParlaMint-FR_2018-10-18-O1024.u378	Mrs Justine Benin is included in the article.
ParlaMint-FR_2018-10-18-O1024.u379	This article turns old zoned devices into free zones of new generation activity, or ZFANG. While I welcome this movement, I am concerned, in my constituency, about the economic vitality of two islands of the Guadeloupe archipelago, La Désirade and Marie-Galante. Apart from the activities of the sensitive sectors, these islands will see their rates of reduction decline, even though few enterprises are located there. I therefore hope, Madam Minister, that you will assure me that this measure will allow the development of the economic activities necessary for these two territories, La Désirade and Marie-Galante.
ParlaMint-FR_2018-10-18-O1024.u380	I call Mrs Bareigts to support Amendment No. 2088.
ParlaMint-FR_2018-10-18-O1024.u381	It is intended to delete Article 6 for a substantive reason and for a reason of form. First of all, this subject of the different zonings is really very complex. Our colleague Justine Benin was wondering at the moment about two islands: indeed, depending on the territory, the approaches, such as the issues and the priority sectors, are quite different. This subject is therefore vast, as wide as the territories that make up the overseas territories: it is for this reason that, in the law of 28 February 2017 on programming relating to real equality overseas and laying down other provisions in social and economic matters, a report – as complete and as comprehensive as possible – had been planned. The Government had to hand it over to Parliament so that we could together, and in the light of this assessment, really propose the most relevant and effective zoning or zoning. But this is not what happened: Madam Minister, the debates at the Assises des Outre-mer may have incorporated, in a very clear way, the questions that the economic world was expressing again this morning at the meeting organised by President Serva, but what I see and what I feel is, here too, as on many subjects, blurry, uncertainty, and a lot of questioning. It is for this reason that we propose to delete Article 6, not to be frozen but to move forward in full light.
ParlaMint-FR_2018-10-18-O1024.u382	The next speaker is Mr Laurent Saint-Martin, alternate rapporteur-general.
ParlaMint-FR_2018-10-18-O1024.u383	It is unfavourable, for two main reasons. The first one actually refers to the blue book: I recall that between October 2017 and April 2018 the overseas seats were held.
ParlaMint-FR_2018-10-18-O1024.u384	A year ago.
ParlaMint-FR_2018-10-18-O1024.u385	A large number of participants were associated with this event. The second reason lies more in substance: since the ZFANGs are more effective than the current ones, this deletion amendment is a surprise. The opportunity for this new tool has also been recognized in committee, starting with Mr Serge Letchimy, who may be able to confirm it.
ParlaMint-FR_2018-10-18-O1024.u386	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u387	The reform presented here belongs to the ambitious economic aid reform ecosystem, so it is normal for it to raise concerns and questions. We are here to respond to this, through our debates, and we are also responding to it outside this House, in particular through our exchanges with the economic world. It is a matter of transforming this zoning in order to favour the sectors that will bring about the economy of tomorrow, and that will create more jobs for these overseas territories. The unemployment rate is known to be much higher than in metropolitan France, although it varies from one territory to another. It is also a question of making these same territories radiate in their environment, so to better support businesses in their economic environment: this is the objective of the whole reform. We are talking about a 2.5 billion euro reform, which will remain mobilised every year for the benefit of the Overseas Territories, with the aim of doing more, doing better and putting the company at its heart. Its main measures are as follows: prolongation of the defiscalisation until 2025, reorientation of the VAT-NPR which we have just mentioned, with new tools, to the tune of EUR 100 million per year, for the financing of the economy. We will also discuss exemptions. One of the provisions of this reform is indeed the creation of a new generation of free zones, which was a minimum, given the entanglement of the old arrangements. In addition, they were geographically zoned, which in an island world makes no sense. Why, for example, choose one part of an island and not another, or, in an archipelago, one island and not another – this last remark allowing me to reply to Mrs Benin? We have indeed made the choice of bringing together all the areas – the AFAs, the free zones of activity, the FSUs, the urban free zones, and the ZRRs, the rural revitalisation zones – into one, which has the interest of going much further than the accompaniment that can be offered today. We have also removed the obligations related to these areas in terms of training expenditure and support for youth experiments. This increased visibility and simplification were demanded by the economic world. You want to delete article 6, so this new device, which has been carefully thought out. It is true that the Programming Law on Real Equality Overseas requires the Government to submit to Parliament a report on the status of existing zonings. The Government does not intend to evade this obligation, but you know very well that there have already been a lot of reports on this subject, on which we have been able to rely. In addition, together with my colleague Bruno Le Maire, we have requested an additional inspection, in order to be able to make a diagnosis and proposals for a more effective, efficient and visible tool. Enterprises eligible for the new scheme will benefit from a reduction of 50 to 80 % on corporate tax and 80 to 100 % on certain local taxes. This will improve their need for working capital on the one hand, and their performance on the other, which will undoubtedly strengthen what is known as the "top balance sheet". This mechanism has been developed in conjunction with the economic world, which has informed us of its questions. Of course, he will make losers, for we have made choices.
ParlaMint-FR_2018-10-18-O1024.u388	Indeed!
ParlaMint-FR_2018-10-18-O1024.u389	Some sectors will be excluded, but we do. We want to go further with those who will create jobs, who will support the development of the territories. And if sectors have been excluded, it is also because they will automatically benefit from economic development that we call for our wishes for the Overseas Territories. That is our objective: to take off the overseas territories and radiate them in their maritime basin.
ParlaMint-FR_2018-10-18-O1024.u390	Mrs Ericka Bareigts has the floor.
ParlaMint-FR_2018-10-18-O1024.u391	Minister, thank you for that answer. We take note of the fact that we will have this report to study. I am sure that it will shed some light on certain aspects of the matter. For example, in geographically divided territories, one may wonder what will happen to rural areas. Let us take the case of La Réunion: in the remote, very rural areas, will this new zoning formula be relevant? That's a point you can't evacuate like that. That is why this report is so important. You say, with the frankness that we know you: "I have chosen certain sectors and I assume it. There'll have to be losers. Indeed, it is the proper choice, and that is also why politics is being made. The problem is that, in the spirit of the law on real equality overseas, this choice should be made in conjunction with the territories. Some sectors contribute more to wealth creation in some territories than others. We are very different from each other, you know that. The choice must therefore be made jointly and the decision to come, not from Paris, but from the territories themselves.
ParlaMint-FR_2018-10-18-O1024.u392	Mr Fabien Roussel has the floor.
ParlaMint-FR_2018-10-18-O1024.u393	I would like to speak on behalf of the ultramarine members of the Group of the Democratic and Republican Left. In this bill, the minister, there is a desire to clarify and simplify things through the creation of new free zones, which would correspond to a new arrangement. However, there appears to have been a lack of consultation and evaluation. There was insufficient consultation. You just admitted that there would be losers. It is true – and it is good to assume it; Indeed, this is not the first time that the Government has done so. However, that is the situation of the overseas countries and territories. The ultramarine MPs confirm that there will be losers. Some companies will no longer benefit from the exemptions and will see the cost of labour increase; They are already announcing to their employees that they will have to make efforts, in terms of wages and numbers. Some territories will come out of the zoning. Some employees will pay more taxes and lose purchasing power, while in the sectors concerned unemployment is already very high and poverty records are recorded. The new system, which is uniform and does not take into account the reality of the various islands and territories that make up the overseas countries, will create low-wage traps. You are talking about consultation, but the socio-professionals in Guyana are already threatening to go down the street, because they anticipate an increase of 7% in the cost of labour as a result of the entry into force of the reform on 1 January. According to them, it will have a scissor effect, which will be unfavourable to the ultramarine economic fabric and whose consequences the Government would have misjudged. You are replacing what has been done in recent years with a single device. Of course, the previous devices were numerous, but they were done in lace – what you, on the other hand, do not do! The device you are proposing already arouses emotion and fear.
ParlaMint-FR_2018-10-18-O1024.u394	The minister has the floor.
ParlaMint-FR_2018-10-18-O1024.u395	Mr Roussel, you are referring to the social security exemption scheme, but this is not the subject of this article. We are dealing here only with the tax aspects. And since you are referring to the case of Guyana, I would like to point out to you that the territories of Mayotte and Guyana will benefit in their entirety from a strengthened system. The new system specifically takes into account the specific difficulties of these two territories. The criticisms of companies concern, not this point, but the exemptions from social security contributions. This concerns the draft law on the financing of social security; This will have to be discussed in this context. As far as we are concerned, the new-generation free zones will enable Mayotte and French Guiana to benefit from a strengthened system throughout their respective territories. This is not, therefore, a problem – except for a few sectors which, as in the other overseas departments and regions, will be excluded from the scheme. There are only a few reservations at home – which is perfectly normal. This decision follows, I repeat, from a political choice. We will discuss all of this again in the context of the review of the overseas mission's appropriations, but I would be in favour of moving forward on this point. We're not gonna wait another year. On the other hand, I agree to put the scheme under surveillance for a year and leave us room for possible correction next year, returning, on a case-by-case basis, territory by territory, to the measures that would appear unfair to us. Let us avoid blockages, on this as well as on uncollectible VAT recoverable and all the proposals we make, and organise a watch on all the schemes, so that they can be corrected, if necessary, next year.
ParlaMint-FR_2018-10-18-O1024.u396	I have before me two identical amendments, Nos 1623 and 2418. I call Mr Saïd Ahamada to support Amendment No. 1623.
ParlaMint-FR_2018-10-18-O1024.u397	Everyone here knows that support for business start-ups, business follow-up and advice are extremely important for the economic development of the territories, especially in the overseas regions. However, these activities will not be eligible for the new-generation free zones scheme, whereas they were eligible under the former free zones scheme. The purpose of this amendment is therefore to include advisory activities among the sectors eligible for the new scheme proposed by the Government.
ParlaMint-FR_2018-10-18-O1024.u398	Mrs Ramlati Ali has the floor to support Amendment No. 2418.
ParlaMint-FR_2018-10-18-O1024.u399	The characteristic of the ultramarine economic fabric is that it consists mainly of very small enterprises and small and medium-sized enterprises. However, these are poorly structured and poorly accompanied. Consulting, engineering or technical studies for companies are therefore very important for ultramarine territories. However, consulting professionals, technical studies offices and accountants with a legal activity on the spot are still too few. In Guyana, as in many ultramarine territories, there is a correlation between the number of accountants and the rate of tax returns, which has increased from 50 per cent to 75 per cent. However, this effort does not make it possible to fill the heavy delay of the ultramarine territories on the metropolis. In the case of design offices, the difficulties encountered are of the same order. The private and public sectors are struggling to bring about the emergence of projects, to carry them out and to ensure their effective follow-up. The State is obliged to leave its ordinary jurisdiction in order to provide engineering support to local authorities. Finally, the inclusion of these sectors of activity in the field of the new-generation free zones, particularly in Guyana and Mayotte, would be consistent with the trends observed in the local economic fabric. Indeed, some sectors which are included in the enhanced free zone, namely fisheries and tourism, are not those where the greatest number of jobs are created. The consulting and engineering sectors, on the contrary, help companies to structure themselves and thus create jobs. The purpose of this amendment is therefore to include the activities of accounting, consulting, engineering and technical studies for enterprises in the new scheme. It is necessary for the survival of these economic sectors, and also to support the development of the ultramarine economy.
ParlaMint-FR_2018-10-18-O1024.u400	What is the opinion of the committee on these two identical amendments?
ParlaMint-FR_2018-10-18-O1024.u401	The conclusions of the overseas meetings are very clear on this point. Within the framework of the ZFANG, the aim is to provide enhanced support to sectors that have been identified as priorities, exposed to competition and creating jobs. In addition, in order to make matters clear, I would remind you that business advice will not lose the benefits it currently enjoys, since there is a "whistle" out of the current system. So it'll be soft. Unfavorable opinion.
ParlaMint-FR_2018-10-18-O1024.u402	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u403	I confirm that there will be a whistle output of the current device. It was important to clarify that, as it had not yet been said. Any company included in the current scheme will run until the end of the five years. We believe that regulated professions and business advice are activities that will inevitably develop with the economic development of the territories. As they accompany businesses, they will accompany economic development and benefit from the additional investment and infrastructure effort that will be made in the territories. They will therefore necessarily see their activity develop. We had to make choices. Some are related to employment, others to future economic development, others to meet the needs expressed by young people or projects promoted within the framework of the Overseas Assises. I'm not saying we should not look for other solutions for the jobs you're talking about. Perhaps the possibilities offered by the ERDF, the European Regional Development Fund, should be explored, a resource which is now very little mobilized in the overseas territories. It could be more so when it comes to economic support. Finally, I reiterate my proposal that the implementation of these new measures be monitored by a group that would bring together representatives of parliamentarians, the economic community and the Government, so that we can discuss together how this is going and make new proposals, in agreement with the regions and the territories as a whole. A dynamic was born; You mustn't stop him.
ParlaMint-FR_2018-10-18-O1024.u404	I call Mrs Vainqueur-Christophe to support Amendment No. 2089.
ParlaMint-FR_2018-10-18-O1024.u405	This withdrawal amendment by the Socialist and Related Group tends to delete several paragraphs of Article 6 which call into question, on the one hand, the contribution to vocational training, to which the benefit of the tax reductions is conditional, and, on the other hand, the increased tax arrangements currently reserved for certain geographical areas, such as the islands of Saintes, Marie-Galante and La Désirade. The challenge to the contribution to vocational training leads to a loss of profits for training organisations of EUR 3 million: why, therefore, did you make this choice? You said earlier that he was relaying a request from the companies. On the other hand, why remove the increased tax arrangements on the islands I have named? As your impact assessment clearly indicates, the companies that are there will lose. You know the problems they face with dual insularity: why don't you leave them in the beneficiary areas with increased devices?
ParlaMint-FR_2018-10-18-O1024.u406	What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u407	Unfavorable. I will allow the minister to speak on this matter.
ParlaMint-FR_2018-10-18-O1024.u408	What is the Government's opinion?
ParlaMint-FR_2018-10-18-O1024.u409	I want to give some details about training and the youth testing fund – which you know is a priority for me. I can assure you that the fund has significant budgetary surpluses, which will be sufficient to last several years until the end of the quinquennium. That is why our desire to simplify the scheme does not imply criticism of the fund, on the contrary: it is generously abounded, and we intend to mobilize it much more than it has been so far. As for overseas training, over the entire quinquennium – and therefore for the remaining four years – it mobilises 700 million euros: there is therefore a real will on the part of the Government. In these circumstances, it became clear to me that the request for simplification of the scheme expressed by the companies had to be granted without requiring any counterpart from them in the framework of the ZFANGs. Unfavorable opinion.
ParlaMint-FR_2018-10-18-O1024.u410	I have before me a number of amendments, Nos 1312, 1529, 1556, 2352 and 1313, which can be discussed jointly. Amendments Nos 1312, 1529, 1556 and 2352 are identical. They are the subject of a sub-amendment No 2570. I call Mr Max Mathiasin to support Amendment No. 1312.
ParlaMint-FR_2018-10-18-O1024.u411	If you will allow me, Mr President, I shall defend Amendment No 1313 at the same time. You went through the "hard" with great courage, but also with intransigence, minister. Your usual listening ability will, I am sure, lead you to accept these two amendments with good faith and good faith. They aim to extend the increased reductions from the free zones of new-generation activity to the activities of boating and recreational activities, which would thus be housed in the same brand as tourism. According to the report submitted in October 2016 by the general economic and financial control – CGEFI –, the general inspection of the administration – IGA – and the General Council for the Environment and Sustainable Development – CGEDD – entitled "Strengthening the attractiveness and competitiveness of the pleasure ports of the overseas regions and departments", it is indeed necessary to accompany the boating sector, a sector of the future for the economy of our territories. I therefore hope that, as this report suggests, this sector will benefit from the accompanying measures and competitiveness support provided for in the framework of the ZFANGs.
ParlaMint-FR_2018-10-18-O1024.u412	I call Mr Olivier Serva to support Amendment No. 1529.
ParlaMint-FR_2018-10-18-O1024.u413	It is not an insult to the Government to report the tremor zones of its reasoning. And it is not because we are close to these territories that we have a less objective vision than you, minister, minister. I have to make a few comments on the ZFANGs. If you had a choice, would you set up your company's head office in Paris 7 e or Seine-Saint-Denis? I suppose, spontaneously, you would choose Paris 7th! As you can see, Guadeloupe and Martinique are not uniform territories. This is why urban free zones were created in Guadeloupe, in ghettos where it was important to re-establish economic activity. Yet these territories, you consider them uniform, as if the 7th arrondissement were the same as the Seine-Saint-Denis. That's not the case! There will therefore be losers not only by sector of activity, but also by geographical area. An interesting effort had been made, however, with the urban free zones, in seven small ultramarine territories. They will be "reghettoized" because the entrepreneur, in view of their insanity and insecurity, will no longer have any interest in settling in it: he will favour economically more attractive areas. Therefore, although the activities eligible for the free zones scheme are reviewed within the framework of the ZFANGs, my amendment tends to maintain urban free zones for the benefit of the territories in difficulty.
ParlaMint-FR_2018-10-18-O1024.u414	I call Mr Letchimy to support Amendment No. 1556.
ParlaMint-FR_2018-10-18-O1024.u415	You dared to take a step, minister, to facilitate a local economic change. If I have not granted you anything in the first part of our debates, I consider that you are going in the right direction. My colleague, Mr Serva, is not wrong to say that the ZFUs have brought something into difficult neighbourhoods, such as Dillon, where the number of businesses has increased from 200 to 2000. At the same time, we cannot ignore the territories that do not enjoy such support, such as the north of Martinique, which has become a medical desert. I am also in favour of filierisation, i.e. the identification of the four or five major sectors which could develop a structured economic activity, covering training, the environment, basic raw materials, processing and the creation of added value. I also stress the need for new areas of economic democracy. I am often asked what I mean by this, astonishing that I suggest that there is no economic democracy; But when economic development has been structurally frozen, at its root, for three or four hundred years, it is quite logical that investments have no chance of spreading beyond inhabited perimeters. What I want is that in Grand'Rivière, Fort-de-France, François, Dillon and Volga-Plage, we use the intelligence of young people to invest and restore freedom, in other words to free local energies. To this end, I can advise you on several orientations. You said you wanted to continue working to avoid isolation in one logic. First, I don't see how we can talk about a global ZFANG without also mentioning free ports. Don't forget that our territories are islands: the important thing is not to turn in circles in our calabasse, but to export to our neighbours and import raw materials from them. Let's get out of the ridicule of importing Brazilian raw materials that have passed through Bordeaux! Local economic development is much better. Second observation: beyond free ports, we need logistical support for exports that are not limited to rum and bananas. It must also benefit small local productions. We cannot invoke our immense biodiversity wealth without accompanying production and its transformation. Finally, we must be very careful. At the meeting organised earlier by Olivier Serva, chairman of the overseas delegation, it was recalled that the changes planned to apply to free zones, together with certain provisions of the draft law on the financing of social security, could, according to economic actors, lead to an increase in contributions of 25 to 30 %. When creating a system, care must be taken to ensure that it does not penalize certain sectors. Turning to my amendment, it is not normal not to make tourism a priority. The same applies to industrialization, the subject of another of my amendments.
ParlaMint-FR_2018-10-18-O1024.u416	Mrs Nathalie Bassire has the floor in support of the identical amendment No. 2352.
ParlaMint-FR_2018-10-18-O1024.u417	Defended, on behalf of the same arguments as my colleagues.
ParlaMint-FR_2018-10-18-O1024.u418	Amendment No 1313 by Mr Mathiasin was defended. The Minister has the floor to support sub-amendment No. 2570 and to give the Government's opinion on the amendments under discussion.
ParlaMint-FR_2018-10-18-O1024.u419	Mr Letchimy, I am a supporter of an economic democracy that liberates the energies and allows young people to invest in their territory, in Martinique and Guadeloupe, where demographic problems arise, as well as in Mayotte and Guyana, where young people can be rich provided that they are able to accompany them. I even agree to go even further with the voluntary regions: economic democracy as we conceive it, you and I, will be born when the regions really take over. But we're not there yet. In the meantime, we are proposing tools that may lead us along this path. Yes, priority is given to tourism; As for nautism, it was not mentioned, and indeed it must be. The Government is therefore proposing a sub-amendment that incorporates "recreation and boating" activities, while excluding the notion of "cultural activities [and] leisure activities". The concept of leisure is indeed very difficult to define, and there are other accompanying tools for culture. Nauticism will therefore be one of our priorities, as will tourism.
ParlaMint-FR_2018-10-18-O1024.u420	And craft!
ParlaMint-FR_2018-10-18-O1024.u421	What is the opinion of the committee on these various amendments and on the sub-amendment?
ParlaMint-FR_2018-10-18-O1024.u422	Opinion in favour of the Government's sub-amendment No. 2570, as well as amendments Nos. 1312, 1529, 1556 and 2352 as amended. As for Amendment No 1313 by Mr Mathiasin, I suggest that we withdraw it because it is slightly different.
ParlaMint-FR_2018-10-18-O1024.u423	The Chairman of the Committee on Finance has the floor.
ParlaMint-FR_2018-10-18-O1024.u424	I am concerned about the length of our debates. In substance, I think we would benefit from densifying our interventions. We have a lot to study, and I imagine that all those who sit on our benches this afternoon will also be there tomorrow, the day after tomorrow and Monday, including in the night, when we have completed the review of the articles that we are currently dealing with.
ParlaMint-FR_2018-10-18-O1024.u425	He's right!
ParlaMint-FR_2018-10-18-O1024.u426	I therefore suggest a suspension of the sitting, perhaps after the vote on these amendments, to take stock of the objective we are setting ourselves by 20 hours.
ParlaMint-FR_2018-10-18-O1024.u427	All right, excellent!
