ParlaMint-NO_2018-05-15.ana.ud217e85	The representative, Petter Eide, will put forward a proposal for a representative.
ParlaMint-NO_2018-05-15.ana.ud217e2912	I take the floor again because the representative Myrli responded to my post, where I claimed that if the proposal from the Labour Party gets multiples, it will postpone the project. It is now time to create a contract strategy for such a gigantic project that it has not been done in a handshake. I'm sure the Minister of Transport will be able to answer how long this will take. I think it'll take at least one year and delays in this proposal get more today. So bad is actually the opposition proposal. So I want to encourage the representative Myrli and the opposition not to vote for their own proposals tonight if they actually think that the project should not be delayed. I respect that they have a different view of this, and that the project is important – it has been confirmed more than once here and now – but I would therefore challenge the opposition to either drawing the proposal or simply not voting for its own proposal when we go to voting tonight. It helps to secure the connection; it helps ensure that the Workers' Party shows that they really want to build this project – and not even postpone it.
ParlaMint-NO_2018-05-15.ana.ud217e2921	This has become a long debate on a project that I believe most people want to implement as quickly as possible. The debate is largely about the implementation method chosen for the project. The background that we are concerned with choosing other implementation methods is simply that we want to use the toolbox that is there, use the models that are there, to build as quickly as possible, as efficiently as possible, and to make sure that we get the best possible way for each crown. It's created an image here of that if we build in another way, we can get a smaller project – or structure it in another way. No, we can't build half a bridge or half a tunnel, the project here is big anyway. It will be a major transport project on a Norwegian scale, and we must implement it as it is, a major and important project. In the case of OPS, I might think that with the model chosen here, a structure is also chosen on the cash flow that makes an actual one come out pretty well of it. If I can quote from Prop. 41 S for 2017-2018, which reads as follows : ‘Compared with normal implementation, the borrowing and interest costs of the tolling company will thus be lower in implementation as a OPS project. This means that, at the same tariff level, the toll contribution to the project will be greater in implementation of the OPS project than in normal implementation.» So it's structured in such a way that it gives a very good result for the project as a whole. It provides a good cash flow, which the state may also be familiar with, and which will serve the project. We get the best out of the implementation strategy that OPS is, that we can see investments and operations and maintenance in the context. Some people might try to make it a problem, but New Roads shows that the relationship between investment, operation and maintenance is actually a good idea. A get more innovation, one gets done things smarter, and one gets more implementation in the projects. I think that's good. Therefore, OPS is an appropriate implementation strategy. What this shows, and what the projects carried out at the beginning of the 2000s show, are just good results. That's the whole point. The problem is that the good results were put in the Labour Party drawer for eight years. Instead of following up on the good results and ensuring that new projects were implemented in a good way, they were put in the drawer without using the possibilities that lay there. I think this is an interesting debate, and the OPS debate may go on, but here – through this model – we will ensure smart solutions, a good connection between investment, operation and maintenance and guarantee at the maintenance level and the quality of maintenance for 25 years to come. That's what we think will be a good solution, and it'll be a great way to implement this important project.
ParlaMint-NO_2018-05-15.ana.ud217e2939	I'm sorry to use the time for Stortinget, but I thought the case rapporteur would get the last word, so I'm trying now. Here it is claimed that a proposal to do so using a different funding method than OPS will delay the project. I think that's pretty straightforward. It has taken this government five years to promote this matter for Stortinget. It's had a cost increase of 70 pst. This building project is a 10-billion-dollar project. kr, and even the proposition states that it is a risky OPS project. It's too high in relation to the government's own investigations as well.
ParlaMint-NO_2018-05-15.ana.ud217e2944	No more people have asked for the floor on case No. 9th@item: inlistbox
ParlaMint-NO_2018-05-15.ana.ud217e2960	At the request of the Transport and Communications Committee, the President will propose that speaking time be limited to 5 minutes for each party group and 5 minutes for members of the Government. In addition, the President will propose that, within the allocated speaking time, six series of replies be given after contributions from members of the Government, and that those who have signed up to the allocated speaking time be given a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_2018-05-15.ana.ud217e2969	This matter concerns two proposals for representatives. One is that the planning of ports should be with the Coastal Works, and the other is that the fishing ports should continue to be a State responsibility. The proposals have a background in Prop. 84 S for 2016-2017, which concerns the re-division of the regionally elected level, proposing that responsibility for the fishing ports be transferred from the State to the regional level from 1 January 2020. The size joined this, cf. Inner. 385 S for 2016-2017. The proposal promoted by the Centre Party is reversing the decision to transfer to the local population-elected level, while the proposal promoted by the Workers' Party deals with adaptation to the Storting decision. The government has justified the transfer of fishing ports to the regions with a desire to strengthen local democracy by transferring more power and authority to local/regional elected levels, and that the development of fishing ports naturally falls within the role of county municipalities as community developers. It has been pointed out that it may be a challenge for each region to develop competences similar to those of the Coastal Plant today. In today's system, the Swedish Coastal Agency is responsible for project planning, while the actual development is being put to tender. Many of the technical studies carried out under the auspices of the Coastal Administration in the planning process are currently purchased services. The coastal works shall complete the planning of projects to be carried out under their own control until 2020 and shall also implement all projects starting before that date. In addition to this, the Coastal Agency has a portfolio of fishing port projects within the national transport plan 2018-2029, which are in different planning phases. Commenting on the proposals, the Ministry of Transport stated that project continuity can be ensured by giving the county councils and municipalities access to the coastal planning material as it exists today, and thus will not have to start planning completely again where the coastal works have already started. Furthermore, the Ministry states that, in order to facilitate the realisation of new projects, county municipalities may start following up administrative measures to support the 2020 fisheries port financing. The coastal works will engage in dialogue with the county municipalities and will be open to information meetings and processes to facilitate the administration of county municipalities in the best possible and most flexible way. The decision on the transfer of fishing ports to the regionally elected level has created some criticism and noise along the coast of Norway. The main reason is that some uncertainties have arisen about how the transfer and funding will be carried out and whether a vacuum will arise in the planning of new actions. There are also questions as to whether the regionally elected level will be able to acquire this competence in time. The Ministry is now working on these challenges. Finally, I would like to thank the Committee for its good cooperation. The plural position of the Committee is that the proposals are not adopted, and I expect the parties themselves to present their proposals.
ParlaMint-NO_2018-05-15.ana.ud217e2992	The Workers' Party has submitted a Document 8 proposal to maintain planning competence in the Coastal Works related to the planning of fishing ports. The background is that a limited majority of the Stortinget decided that fishing ports should be transferred to the regions from 1 January 2020 onwards. This means in clear terms that the Coastal Plant has completed its planning work, and no planning work will be carried out until after the regions have assumed this responsibility. It may take from four to six years to plan a fishing port, which illustrates that this is a high level of special competence. The working party is genuinely afraid that this competence will disappear in the gap in which the government has created, as a result of which there are two years left until the regions take over. This is a derailed professional environment that can be weathered and that is not necessarily available to the regions when they need it. The Labour Party has voted against this transfer in Stortinget. We believe that the planning of fishing ports is a state responsibility, in line with national road development and rail, and not something to be left to each region and subject to framework transfers and non-governmental appropriations directed at the Coastal Plant. This down-priority of coastal and port conditions is the sole responsibility of the government and the majority of the population. The Labour Party chose not to run a rematch, but to be constructive and try to find a solution that the coastal communities could serve, in which we proposed that the planning competence should remain in the Coastal Works, and the regions should use it in their work on fishing ports. Furthermore, we believed that the Coastal Plant would be allocated funds from the state to resume this work. Coastal rapporteurs have expressed concern at the outcome of this policy proposed by the Government. This also applies to the rapporteur, Mr Solsvik, in Andøy and the rapporteur of the Christian People's Party in Skjervøy. In the light of this cross-political concern, the Labour Party chose an entry point where we did not start a rematch, but tried to get the majority to a sensible solution. It didn't work out. The responsibility for it lies on the Right, the Advance Party, the Left and Christian People's Party, whose Christian People's Party votes in favour of this. These are the fruits of their miserable handling of regional reform. They have transferred responsibility to a body from 1 January 2020, and the planning has already stopped, and that means we can have many years of stay before any new fishing ports are completed. It should have a good back to do such a miserable craft and not fix it. This serves neither Solvik-Olsen nor case rapporteur Johnny Finstad to honor along the coast of Norway. In its reply to the Committee, the Council of State writes: ‘The government wants to strengthen local democracy, inter alia by transferring more power and authority to local/regional elected levels. This gives greater proximity to decisions on the importance of local knowledge and involvement, and the development of fishing ports naturally falls within the role of local authorities as community developers.’ How power and authority can be strengthened when decisions are taken that have stopped planning – and it will be many years before we start building up new fishing ports that are currently waiting, but are not yet planned – is a mystery to me. I expect the Council of State and the rapporteur-in-chief Finstad to give a good answer to that. The government and the majority of the population are destroying a professional environment, knowingly and willfully. This professional environment is located in Kabelvåg and Honningsvåg, not where the regions have their administrative locations. This affects individuals, but we hear nothing about it. The Labour Party stretched out a hand to the majority to get a constructive solution to this matter, for the benefit of the coast and the people of the coast. We're recording that it wasn't interested. The majority of the handling must be pushed through – whether it destroys a professional environment or not. I can't say 'good job' to you, because here you have been neither constructive nor reasonable. The Labour Party addresses the proposals we are on, no. 1, 2 and 3, and in addition will provide subsidiary support to the proposal of the Centre Party, No 4, as this is the primary position of the Workers' Party.
ParlaMint-NO_2018-05-15.ana.ud217e3021	The representative of Ingarill Olsen has drawn up the proposals she referred to.
ParlaMint-NO_2018-05-15.ana.ud217e3026	Today, we are discussing two representative proposals dealing with fishing ports: another common proposal for a reversal by the Central Party concerning the adoption of previous decisions – a rematch – while the other is about the adaptation of existing decisions. Fishing ports are very important infrastructure and an important prerequisite for activity, value creation and settlement along the coast of Norway. The decision of June 2017 concerns the transfer of responsibility for fishing ports from the Coastal Plant to the regions. For the Progress Party, it is right and important to shift more responsibility and decision-making power closer to users, to local and regional administrative bodies. In my view, the responsibility of regional authorities for the fishing ports is both correct and important. It is not a down-priority, on which the Labour Party representative was involved, but a strengthening of the role of regional authorities as social developers. This will lead to a shorter decision-making line and to a greater degree of fishing ports becoming an important part of regional planning. It will contribute to strengthening the attention and role of fishing ports in local and regional planning. It will strengthen overall regional transport and nutrition planning. It will strengthen the role of regional authorities as social developers. The proposal from the Centre Party and the SV to reverse the decision of June 2017 will give less decision-making power to the districts. It seems that the Central Party does not have confidence in regional decision-makers, nor does it want the districts to be governed from Oslo and Stortinget. I have faith in local government. I believe that regional authorities will develop the fishing ports in order to continue to ensure activity, value creation and settlement along the coast of Norway. Most of the counties today make regional transport plans. By integrating the fishing ports into regional planning, the regions will have a more comprehensive transport and nutrition planning. Luckily, once the Coastal Agency stops planning fishing port projects to be launched after 2020, an advance-shooting system is in place to help speed up important fishing port projects. During this transitional phase, it is important that the competence of the Coastal Agency in the planning, ordering and development of fishing ports is made available for the transfer of competence to the regions. This will help the regions to be better equipped to take on responsibility in a good way. As far as the Progress Party is concerned, we see it as important that we ensure the financing of the fishing ports that become predictable, that a funding model is established for distribution that is perceived to be fair and sensible, given the need for good and safe fishing ports across the coast. That work is well under way, and I have great faith that we will be able to find a predictable funding model, even if it is distributed over framework grants to the new regions. It will also strengthen the role of regional authorities as a social developer to deliver new, important tasks from state to regional level.
ParlaMint-NO_2018-05-15.ana.ud217e3049	Municipalities will take responsibility for many new tasks. For example, Nordic countries had about 20 main points with different tasks that the county would take over. Several of the indents had more than one problem. It was in R & D, administrative responsibility, aquaculture, cultural heritage, internationalisation, hospital organisation, child protection, preparedness, authorisations for resource use, etc. But the fishing ports are a task that was specifically not wanted to be transferred. It works well today with the State-owned fishing ports, with the Coastal Agency in charge of planning, development, operation and maintenance. In this case, there is a huge gap between the people of some parties out on the coast and in here on the Stortinget. The leader of the Northland Left e.g., Anja Johansen, asked the government to reverse. It stood over a whole page in Lofotposten in spring. More expensive and worse fishing ports, she feared. Allan Ellingsen, leader of the Nordland Progress Party, was the first to sign the opinion: the ports of fishing must remain a state responsibility – promoted and adopted by the county council in Nordland. Christian People's Party, by the group leader Arve Knutsen, and the Workers' Party, by the leader Bears Chirran, are also among those who have signed the statements. The West-Finnmark Regional Council has organised conferences with great concern for the future of the fishing ports. Nor does Nordland Fylkes Fiskarlag wish to change the responsibility for the fishing ports. And what are the tasks of the first counties? Exactly – no one has asked, namely the fishing ports. The work of the Coastal Agency on fishing ports planned for 2019 has been iced. It is also not possible for a county council to start planning a task it does not yet have and has not wanted. The county councils also do not know the financial framework attached to this task. Fishing ports such as Andes, Værøy and Røst are being extracted from NTP. The new fishing port in Andøy Municipality is a clear and large project. It's on the ice, the planning's stopped. The government has recently made other major misassessments on Andøya. When it becomes Andøya's turn to get the fishing port in place, no, it's going to get out of NTP. Galimatias, a term I heard used up there about this task transfer. And I can continue with Kjøllefjord, Gamvik, Vardø, Kiberg, Bømlo, Fosnavåg, Gjøsund – not all are mentioned. This does not mean that there is a plan for targeting the money to the counties of the fishing ports. The only thing we know is that the Ministry of Municipal Affairs and Modernisation in the budget for 2020 will come back to the Stortinget with proposals on how to distribute the transfer between the new county municipalities in the framework grant. We're not particularly optimistic. In North Norway many fishing ports have lost much. The government has already made a reduction of 4 billion. DKK over four years, for example in Northern Ireland. The Coastal Plant has a solid competence in the development, operation and maintenance of these facilities. In addition, there is a clear strength that the Coastal Plant also possesses so-called nautical competence in planning processes. It is an important precursor in all port planning processes. We ask the government to keep the fishing ports under state control with the Coastal Agency as the owner and manager of the responsibility for planning, development, operation and maintenance. We are also asking the government to continue the system of state subsidies to municipal fishing ports, and we are asking the government to ensure that planned fishing ports in NTP are implemented in line with the Stortingen decision on progress in NTP. These are proposals that the Centre Party has been involved in promoting. The greatest fear I have is that the economic growth of the county municipalities will not grow in parallel with the responsibility for the fishing ports. I will take up the proposal we have with SV.
ParlaMint-NO_2018-05-15.ana.ud217e3074	The representative Siv Mossleth has taken up the proposal to which she referred.
ParlaMint-NO_2018-05-15.ana.ud217e3079	I thank you for a good and committed contribution from the representative Mossleth. There's something about this thing about obviously being at home. The fishing ports, yes, all ports and fairways, are of course incredibly important for a country like Norway. Coastal traffic, the maritime route, plays a crucial role in both nutrition and passenger transport, and, in the opinion of the Swedish authorities, it should play an even greater role. The majority of the population have justified the transfer decision with increased local autonomy and more coherent regional transport planning and that the regions have already been responsible for subsidies to fishing ports. The majority, the government parties, say that it is important for the regions to be given extended responsibility for the fishing ports in order to ensure a comprehensive regional transport and nutrition planning. In a transport context, it is probably most comprehensive with a state responsibility. For SV, it is important that the major coastal transport years, as well as the national roads and rails, are under a state umbrella, just to take national account, to see the country in a national context and not just a regional context. The Coastal Agency has followed up the decision to transfer the planning of fishing ports to the new regions, which is thus taking place on 1 January 2020, as the Decision is available. They have completed the ports that were under planning, and further completed other, that is, new, planning work, as far as I have understood. As other speakers before me have said, it must in practice mean that from now on until the assumption of this responsibility for the regions, no planning work is taking place in this field. The need for the development of coastal fishing ports is great, and preparatory work related to the start-up of new ports takes several years. There are also many applications for grants – as we know – to municipal fishing ports. Will the actors now meet some sort of stopper in the system, some sort of resting system? The coastal works have had and have a very special competence for the planning of moles, ports and other sea-based construction works. SV shares the concerns of many environments that are afraid that the planning competence of the Coastal Works could be squandered when the tasks are moved to the regions, i.e. to the county municipalities. This is a very important point, and we've seen it in many fields of society up to now. It takes time to build up good trade unions, good specialized environments. Many suggest that there may be a lot of extra bureaucracy from this conversion. We may be talking about overlap and possibly double work, where the regions are sitting on each other's lap, or we should say we're floating in each of our little bays, and we're planning something of the same. SV believes that the State fishing ports, where the State has established guards and deepenings, etc., are an infrastructure that exists for the whole country, wherever they are located. Vessels resident in local, regional or national waters — in addition to foreign vessels — use them. This in itself should advocate national governance and a strategy for such deployments in order to achieve a coherent, properly dimensioned infrastructure. As far as I can see, this planned transfer from state to regional level does not involve any real tasks, other than that the regions get moles with a maintenance need of which one does not fully see the scope of. Nor does it seem to follow any competence on that load. On this basis SV is involved in proposals to leave the fishing ports responsible for the coastal works. I would also like to inform you that we support proposal No subsidized. 3, from the Workers' Party.
ParlaMint-NO_2018-05-15.ana.ud217e3102	Let the priorities and implementations take place as closely as possible to the people affected – it is like the mantra of the whole regional reform, and the Left fully supports it. I had actually hoped that there were more in the opposition who supported it. We know that our two other government parties are opposed to regional reform as a principle, but I had hoped that both the Workers' Party, the Center Party and the SV were in order for us to shift power down to the regions, because that is when we can achieve a comprehensive regional transport and nutrition planning. It is clear that a county road to leave a fishing community can be planned at the same time as the port to be built there. Then it should be the same decision maker, i.e. the elected body – the county council, county council or regional council, which we may be given as names. With regard to the transition determined by the Storting itself in 2020, an advance mechanism has now been established which helps to speed up major fishing port projects. As I have seen, there is a great interest in using this scheme. The Council of State can certainly respond – when it comes to having its say – if it is possible to contribute to financing both municipal, municipal, business and state support when it is of great interest to do so, because it is a priority when there are more interests behind it. It was said here that there is very good competence in the Coastal Plant. That's for sure, they're probably very competent. The design planning is done by those involved, but not by the Coastal Administration itself. It is put out for tender, so there are entrepreneurs and professionals in this field who implement. The technical studies – which are under the control of the Coastal Agency during the planning process – are also very often outsourced to experts and experts in this area. The coastal works are certainly good at coordinating and implementing the projects, but there are many around them who have competence. I think it is important – clearly – to build up that competence in the new regions as well. At that time, the Coastal Agency must be involved in the transfer of their planning material – as is currently the case – to these regions and the new peoples. Yes, it may even be that the experts in the Coastal Works get a job in the regions. It may well be the same people — who have the high, good competence — who will implement this more closely in the region, but then under a political leadership that is at regional level.
ParlaMint-NO_2018-05-15.ana.ud217e3112	The Christian People's Party has previously signalled support for the proposal to transfer fishing ports from country to region. We did that together with the Center Party and the three parties that now make up the government, in the last period. In connection with the NTP, we did this together with today's government parties. We were also concerned about some of these issues when dealing with it in Stortinget. When the Municipal and Administrative Committee dealt with the issue of a new division of the regional population, we expressed, together with the Progress Party, the Right, Left and Center Parties, that the development of fishing ports and the organisation of broadband construction are naturally tasks and responsibilities of the new county municipalities. So it should be said that even if we signaled support for task transfer at the time, one should of course not be completely locked up until one gets to see the overall task portfolio of the regions. But we're not there today. We first have to see the problem portfolio. If the Christian People's Party is going to turn on this question, it has to be the result of an overall assessment where we see the problems together. We're not going to go into any reversal of the task shift right now. We want to be predictable and stand on what we have previously signaled. It would be unnatural if a representative proposal were to change it now without significant new elements inside the picture. What is important now is to ensure that the investment proposals contained in the NTP are followed up by the State, so that the adoption of the Stortinget is implemented. We also know that several municipalities and county councils have expressed the desire to advance investments in ports and fairways prioritized in NTP. We should and must be positive about that. The majority in the NTP setting last year also went in to ensure that the shooting would be possible, and we asked the government together to meet that type of shooting proposal. Exploitation of measures means that society is more rapidly triggered by the benefits of the action. Any transfer of responsibility for fishing ports must therefore not prevent the local advance of development. It is also important that the competence of the Coastal Agency in the planning, ordering and development of fishing ports is made available for the transfer of competence to the regions in a new organisation. The transfer to the regions must be carried out as smoothly as possible. Here we have to have good processes for the transfer of competences, and I can tell from the setting that the government parties are also concerned about this. That's good. There are differences between the counties in the amount of costs that will be incurred after any transfer of responsibility from the State to the new counties. Each project may have costs that are demanding to be lifted for the new regions. I do not think the main problem is that this should be phased into the regional budgets and plans, but the expenditure is distributed differently between the regions, and we must pay particular attention to that. It is important that we have a system that is fair and that takes into account the costs of fishing ports. The Christian People's Party will support the majority recommendation in the matter.
ParlaMint-NO_2018-05-15.ana.ud217e3127	We experience very exciting times in the Norwegian fishing industry. It's an industry that's generally driven by optimism, progress and big investment, and in recent years we've actually seen that there are more fishermen, not fewer. When one hears this debate, one should believe that one was about to lay down this industry. It is made that now everything is black, that no rate, that the government and others are completely uninterested in what is happening. So the fact is the opposite, and the results outside of this building show it. The kind of black paint that you've heard in the last few posts, I think is quite special, when reality can actually be measured out there. What this is about is how we are going to ensure that we develop the fishing ports we have in the best possible way. Given that a person has a sum of money – is it centralisation that should govern, or should there be local co-management on this? There the majority have said that they believe that state politicians, local politicians are better able to make those decisions than if one has centralised it somewhere. It's a little strange that those who are now criticizing us are the ones who in every other context warn against centralization. But in this particular area, local politicians should not have any influence, here the state politicians should not say anything, here one should sit in one office centrally and rule everywhere. I don't think that's a good approach. But no matter what one thinks is proper organization, at least I will distance myself from the rhetoric to the representative Ingelill Olsen, who gives the impression that this is because one doesn't care. No, this is about what we think is most useful. Let me remind you that very much of the competence on the port side today is competence that the Coastal Agency buys in the market – for planning, for implementation and for construction. There is a lot of good competence in the Coastal Works. It is not lost as a result of another organisation, but much of what you need specifically for the local projects gets a hold on the market anyway. Let me remind you that there are a number of ports in this country that are not fishing ports, which the State and the Coastal Agency are not in and out of control at all, and they also have a development. It's built on them all over the country. I cannot understand that it will be difficult for local politicians and local port managers to develop a port when they are able to develop other ports in the same region. One must stop looking so huge black at any change and pretend that if it's not going to be like it's always been, the option is a vacuum. That's not going to be the case. The alternative is more local decision-making and more local influence, and I also believe that we should actually rely on local politicians. It's a little strange to hear the Workers' Party and the Centre, which run many of these states that will now have increased influence over fishing ports, have so little confidence in their own local politicians. Although I still wanted to vote for the Progress Party in these states, I think that the Labour Party and the Central Party, too, if they get a responsibility, would be able to discharge that responsibility pretty well. They'd probably prioritize something other than the Progress Party sometimes, that's why we're different parties, but completely as distrustful as the Center Party and the Workers' Party communicates here, I don't actually find any basis for a person to have. So I just want to remind you that a lot of planning has been done. That planning work is not being put in a drawer, burned on a fire, thrown at the sea or anything. In fact, it will be handed over to the states that are given responsibility. So there's a transfer of competence here that the Center Party and the Workers' Party don't think should happen. The coastal body has already started working with the counties to ensure a good transfer of competence. It is a little strange that the criticism is promoted in the Storting when a person obviously has not had good and up-to-date information from his own representatives, who can tell that they have been in the Ministry of Transport, that they have spoken with the Coastal Agency, and that the process is underway, even though the mother parties in the main hall are against it. So we've written letters to the county councils, we've addressed this. It is important in a reform that the overlapping processes are doing well. I understand that one can be concerned about that situation, but we're going to do everything we can to make it not a problem. But to give the impression that this is going to be an eternal problem into the future is not a basis for that. I think it is important that we develop our fishing ports further, but I also think it is important that we further develop local democracy, that local politicians who are involved and who are going to be involved in developing a region should be given greater power over and a stronger hand on the steering wheel in terms of where investments are going. This is not a down-priority, but we believe it is a better decision-making process to develop local democracy and the local fishing ports.
ParlaMint-NO_2018-05-15.ana.ud217e3144	It's going to be line change.
ParlaMint-NO_2018-05-15.ana.ud217e3149	The coastal works have stopped planning fishing ports. It's a fact. Regions do not take over until 1 January 2020, and it may take four to six years to plan a port — also after information from the Coast Guard. This is the fact. This means in practice that we can get a gap in many years where there is no planning of new ports. The councils were just talking about a good overlap. The background to the Workers' Party having raised this question and submitted a proposal for which we hoped we could have a majority was precisely that we would have a good overlap period. My question is: will the Council of State do something to ensure that the planning and development of fishing ports is carried out in parallel and on a continuous basis, so that our fishing industry will have a better framework even in the years to come, and that we will not have a stay for many years?
ParlaMint-NO_2018-05-15.ana.ud217e3158	There is no reason to say that there will be a stay for many years because you have an overlap period, which is usually a few months. In that case, it would mean that you stopped doing something a long time ago. There has been continuous work on planning up until now, and the Coastal Plant is planning all the projects they are going to build. But it is natural that the projects taken over by the county councils are also taken over by the county councils on the planning side. That doesn't mean that everything needs to stop. The overlap phase, where the Coastal Works are now on the supply side, should be used to ensure that the work is taken over in a good way. So it's also a little strange to hear the Workers' Party say that really this would be very good. They were not really going to try to stop the reform, but when one of the proposals, proposal No. 3, assuming that the changes adopted by the Storting and implemented by the government are not to be implemented, it is, of course, to stop the reform. So here we see the same thing in the previous case: the working party is against any change in system and organization, even though the benefits are great.
ParlaMint-NO_2018-05-15.ana.ud217e3165	It's a fact that the Coast Guard has stopped planning. There is information from the Swedish Coast Guard Agency, and it is probably also known to the Minister. The regions do not formally assume this responsibility until 2020. Does that mean that the Minister intends to set the regions in motion to plan something for which they are not responsible, or how will he do so during this overlap period so that there will be no stay for many years? Because, as I said, planning a fishing port is complicated, a construction work under the sea is complicated. What should the Minister do to avoid having a gap for many years?
ParlaMint-NO_2018-05-15.ana.ud217e3170	Yes, it's important to build good ports, and it's important to look at complexity, so a build something that lasts. I note that many states have many ports that are not fishing ports that they can manage to manage. There are a number of ports here in the country that are being built without the Coastal Agency having them in its portfolio. It is a little strange that the Workers' Party gives the impression that that competence does not exist, that no one else knows how to build a port. It's obviously not right when you look at the world around us. I also said that the counties should not start re-planning projects that the Coastal Plant has had in its portfolio. The Coastal Plant implements the projects to be completed by 2020. But when responsibility lies with the states, it is natural that they have also been involved in preparing their projects. That overlap is being worked on. There are meetings between the Coast Guard and the states, and we have also had meetings on our part. We have to make sure that overlap period is going well. But what the Labour Party and the other opposition parties are doing here is trying to create uncertainty. It's trying to stop the process from moving on, and then many people are sitting on the fence unnecessarily, unfortunately.
ParlaMint-NO_2018-05-15.ana.ud217e3181	Our proposal is about fishing ports, and that is what we are trying to get an answer from the Minister. I record that he has not answered, and I ask the question again: what should the minister do to avoid getting a gap of several years where it is not yet planned ports before the regions take over? That's what's our point in this case.
ParlaMint-NO_2018-05-15.ana.ud217e3186	As I have said several times: in the projects under construction, which are to be built in the next few years, there is also planning work going on. It's not in error, it's not stopped, it's not on the shelf. In the projects that counties are to assume responsibility for after 2020, there is an overlap process, and I have already said that the Coastal Plant is on the offer side and ensures that the planning work done so far is taken over by the counties, so that they can continue it. We have also, by sending letters to the states and others, helped to show how the process is, so we can clarify the uncertainty that is there. I record that what the opposition is now trying as best they can, is to get all the states to sit on the fence and not be in the process, hoping that this will stop, reverse and change. It is not to be a constructive contributor to resolving disagreements when trying to stop the whole thing. It is sad that the Workers' Party is constantly putting the brakes on the case by case instead of looking at how we can get more out of the resources and better local solutions.
ParlaMint-NO_2018-05-15.ana.ud217e3193	With the experience gained by North Norway after the government parties were given the premise for the distribution keys and the financial framework, there is reason to fear that the economic growth of the county municipalities will not grow in parallel with the responsibility for the fishing ports. In fact, in Northern Ireland, the Progress Party is one of the parties that has inspired us to promote this proposal that the fishing ports should remain state-owned. What is it like for the Council of State to be so at a collision course with also its own party in this matter?
ParlaMint-NO_2018-05-15.ana.ud217e3198	The Progress Party is well behind the reforms that have been adopted and the way in which we are to implement them. Nevertheless, it is a little strange to hear the Central Party try again and again to create a picture that everything is bad and sad in North Norway during today's government, and that the local economy is miserable. I just remember that the municipal economy is actually the best in over 20 years. There have never been so few municipalities on the ROBEK list as just under our government. I also remember that it was the Center Party that in its time transferred the county roads to the county municipalities, without financing the work with them. Today, the Center Party is complaining about poor county economics on the county roads. But let me look at what this government has actually been directly responsible for, namely the highways. The major road allocations and investments in North Norway have tripled during today's government. The last one should wish for infrastructure in the north is to go back to when the Senterpartiet ruled the Ministry of Transport – both national roads and county roads expired. Now we've actually begun to sort out where the state has a responsibility, and we intend to continue with that.
ParlaMint-NO_2018-05-15.ana.ud217e3208	The Council of State did not respond to what it is like to be at a collision course with its own state in this matter. Seafood Norway is concerned that the competence of the Coastal Plant should not be squandered, and they believe that the Coastal Plant must continue the planning of new fishing ports, so that the counties do not have to start on a barbed hill. This is something that Olsen’s representative was also involved in – because the planning of fishing ports is now dead. Now it is 2018, and the county councils do not know the economic framework they will have until 2020 at the earliest. They say there's going to be a distribution in 2020, we'll know that in the budget. But in the time between the county municipalities get taken over, and now, it's dead. It has not been answered by the state council at all.
ParlaMint-NO_2018-05-15.ana.ud217e3215	Well, I've answered that a lot. I wonder if it's my ere dialect that makes it hard to perceive – I hope not. Let me try to read as much as I can at book goals: the counties will not have to start re-planning when they take responsibility in 2020. The Coastal Agency will assist in the transfer of planning responsibilities by providing the counties with access to the entire coastal planning portfolio as it exists. So one doesn't start on the bar. There are no proper claims that have come, either from the Workers' Party or from the Centre Party, in this case. It's about trying to blacken the situation as much as possible and trying to create uncertainty in local environments. I don't understand the intentions. One should try to help create optimism and progress. It is not strange that the county roads are due if this is the attitude of the Workers' Party and the Centre to be able to develop their own infrastructure. But I am very pleased that our government has shown that we are grasping the responsibility we have as politicians. We've tripled the bet on highways in North Norway, and we've increased the appropriations for the county roads far more than what was planned by the previous government. We can certainly do that with regard to fishing ports, if we get politicians who are visionary in this area.
