ParlaMint-NO_2018-05-23.ana.ud447e28	The so-called alternate of Oslo, Mats A. Kirkebirkeland, is now taking its seat.
ParlaMint-NO_2018-05-23.ana.ud447e845	There was probably no answer to a very crucial question, but I noticed that both the Minister and others have stressed the need to strengthen preparedness with the new bidding round. Nevertheless, the demand for increased preparedness, as I understand it, is weighted by 7.5 pst. importance of the eight quality requirements. Quality counts 60 pst. and price 40 pst. So the emergency requirement only counts 4 pst. in the overall evaluation of the tenders. I would like to ask the Minister if these calculations lead to correctness – that the emergency response requirement is weighted by 7.5 pst. importance of the eight quality requirements, and that in sum they only count 4 pst. in the overall evaluation – which can explain that Babcock, which is thus based on its offer of free time for pilots, a voluntary scheme that can weaken the entire standby, has just won through this round.
ParlaMint-NO_2018-05-23.ana.ud447e854	Now I think the representative is about to figure out a little bit. The point of departure for this tender is the higher the level of preparedness. This means that there are many of the quality requirements to be met by companies that are an absolute standard that has been introduced. It simply means that preparedness is better with the new agreement than it is in today's situation, and it is of course the companies that are responsible for delivering it, as it is today. That's what's real, as a consequence of this. This is a development we have also seen in previous tenders – improved quality not only in general, but also, and not least, in equipment, as we are now looking at the new helicopters that are phased into the service.
ParlaMint-NO_2018-05-23.ana.ud447e864	‘The Association of Machine Entrepreneurs has made us aware of the challenges of tipping the a-krim centres with concerns messages. The aim of the centres must be to strengthen cooperation between the labour market and the social dumping and the crime of working life. Why has the government not given priority to making it easy for the public to tip off the a-crime centres on unprofessionalism, social dumping and crime at work?’
ParlaMint-NO_2018-05-23.ana.ud447e871	The government has established seven centres as an important part of the work against labour crime. These are not separate legal or organisational entities. The budgets emphasise that even though they cooperate closely, the four different authorities that manage each of their legislation are. Public tips are important for the floors, and they are also widely used. Annually receive e.g. Labour Inspectorate over 7 000 tips. In addition, there are some tips on direct enquiries to the a-krim centres by phone and e-mail. This varies slightly between the a-krim centers. However, the floors strive to get the tips through the established tips. The agencies concerned have a long tradition of receiving tips, and well-developed systems to treat them in a good way. Since there are self-employed establishments working together, it is also desirable that the person reporting a case should know if he or she is advising the Labour Inspectorate, the Tax Administration or any other public authority. By providing tips to each department, it will be better to assess the case and how the best follow-up can be. It may be followed up in cooperation between several agencies, or it may be followed up by other actions in each department. This approach also contributes to targeting the efforts of the work-life-reduction centres. In general, the authorities have the impression that the public does not see it as difficult to report on issues related to possible criminality at work. The tax base also looks at measures to make it easier for business and the population to report tips to the agency. I would also like to mention that an important part of the unitary cooperation against labour crime is dialogue and cooperation with the social partners. Also through such contact surfaces, the floors get some tips. At all work crunch centres, there is a coordinator who has been given responsibility to be the contact person for enquiries from, among others. the parties. Another important channel for tips on illegalities is the service centres for foreign workers, the so-called SUA offices. Meetings with users of service centres provide important information about potential unprofessional enterprises and employers who break the law. Cross-border cooperation on service centres is therefore an important source of tips for cross-border a-crime cooperation.
ParlaMint-NO_2018-05-23.ana.ud447e886	Now no one has come up with a message of concern, it's the Association of Machine contractors. We have to assume that they have the resources to explore the system. When they feel like a big actor that it's swirly and difficult, you can only assume what it feels like for smaller players and for individuals who want to tip. I tried just before the quiz to search Google for ‘a-krimsenter, Oslo, tips’. Then there were ten tips on experiences in Oslo from Visit Oslo. It could have been nice in itself, but that might not have been what you were looking for. I hear what the Council of State says, and it's mostly just about pointing to what the agencies themselves can and should do. I believe that the a-krim centres should be the channel for reporting on and handling tips on work-life crime, it must be easy to provide tips. Will the State Council take further initiatives to ensure easy access to tips for the public?
ParlaMint-NO_2018-05-23.ana.ud447e895	I agree that this is a big and serious union, but what the department itself says is that they don't feel that it's a challenge. They have also not received any feedback, as far as I know. I also sat and Googled a little after the tip of the different floors. It is true that there are not so many hits at a-krim centres, but it is quite possible to call and send an e-mail there. It is also, as I mentioned in my main response, a permanent coordinator who is responsible for the social partners and to handle enquiries from them. Here this is connected naturally enough an actor who would fall under the responsibility of that coordinator. All the agencies have good arrangements for submitting tips via websites, e-mails and telephones. As the agencies themselves say, the a-krim centres are a cooperative arena for the floors, but it's not going to replace the floors. The floors are also concerned with getting the notifications and tips as far as possible into the line of the department to handle the various tips.
ParlaMint-NO_2018-05-23.ana.ud447e902	For me it is not good enough that the floors themselves do not feel that there is any problem with tipping. This is about the audience’s ability to tip, e.g. The Association of Machine Workers, which wants to be involved in and contribute to the fight against crime at work, must be as simple as possible to get alerted and to find out in the system. That is why the Labour Party has made a number of proposals, which were recently voted down by the majority on the Grand Duchy, with the Right, the Advance Party, the Left and the Christian People's Party. This would have meant that the whole country was covered by a-crime centres, that the a-crime centres had increased resources and improved instruments. There must also be work in front of the audience. In the 2018 budget, the government did not come up with any new measures against labour-related crime. In the recent revision, no new measures were introduced. On the contrary, they dropped the Safety Register and the Handicraft Portal. Does this mean that the government does not give priority to work on the crime of working life?
ParlaMint-NO_2018-05-23.ana.ud447e909	As I mentioned in my first answer, the Labour Inspectorate has only received 7 000 tips from the audience, so it is widely tipped by phone and e-mail, and probably also via regular mail and web pages – and that is the way it should be. It is also possible to tip through the a-krim centres – of course. But it's also important that the department that's going to handle the tips get the tips in. The government has the fight against the crime of working life as one of its most important areas. We have shown that by establishing the seven centres that we are talking about here, and we have invested significantly in financial resources for supervision. We have made considerable efforts to improve information sharing, and there is now a great deal of work to be done in several departments to improve information sharing opportunities. We have also strengthened the criminal framework for those who commit this type of crime, and we have now taken a major and important initiative towards the European Union to combat crime internationally, because we must do that if we are to be able to solve it.
ParlaMint-NO_2018-05-23.ana.ud447e925	This question has been transferred to the Minister for Foreign Affairs, who is responsible for it. However, the question has to be postponed until the next Question Time, when the Minister for Foreign Affairs has left.
ParlaMint-NO_2018-05-23.ana.ud447e933	‘The government sent in the autumn to hear a proposal that water management plans should no longer be adopted in accordance with the planning and building laws, and that the tasks will be moved from the counties to the counties. Will the government make any changes to the water regulations and subsequent changes to the laws before the Storting, and will the government await decisions on the matter, so that it can be seen in conjunction with the regional reform?’
ParlaMint-NO_2018-05-23.ana.ud447e940	Proposals for changes to the Nature Diversity Act will normally be promoted as a proposition for the Storting. I aim to promote this in the near future. The proposed amendment to the Nature Diversity Act will provide a new basis for the implementation of the Water Directive, so that the water regulation can also be provided under the Nature Diversity Act. The water legislation was laid down before the adoption of the Nature Diversity Act in 2009 and it is now desirable to have this law as the legal basis for the broad cross-sectoral work on water management. Amendments to other laws are not proposed. The proposed change in the Nature Diversity Act does not prejudge the possible changes in the organisation of water management work under the Water Regulation. The regulatory changes to be made must be carefully assessed in the light of the consultation proposal and the opinions received. It is the Ministry of Climate and Environment and the Ministry of Oil and Energy that are empowered to adopt amendments to the water legislation § 33. No decision has yet been taken on regulatory changes or changes in the organisation of work, but we aim for such clarification before the summer.
ParlaMint-NO_2018-05-23.ana.ud447e947	I thank the Council of State for your answer. I hear that he says that the changes in the laws of nature will be made to the Storting soon. You have to do that, all the time these are regulations that lead to what is in the laws of nature. I want to ask a follow-up question: what happens if the Storting does not agree with the changes in the laws of nature, and rather wants to see this as a whole, all the time the Storting has ambitions for more tasks to be done at the regional, elected level?
ParlaMint-NO_2018-05-23.ana.ud447e954	As I said in my answer, the law of natural diversity was not part of the law when the water regulation came, and I think it is natural that it is also being put in as a basis of law, and that it is right to do so. The proposal of the expert group on regional reform has been being consulted, and in relation to the assessment we are about to make, we will clearly also look at the hearing opinions, just as the hearing opinions related to this proposal are also something that is being considered. However, there is a need for clarification, also because prior to the summer the government's hearings stated that the changes would take effect on 1 July and that there is a need for clarification.
ParlaMint-NO_2018-05-23.ana.ud447e959	I thank you again for your answer. Again, I would like to remind the Council of State that the Storting and the Government share the ambition that more tasks should be done at the regional, elected level, and that one here also has an ambition to give one the most possible overall assessment of tasks, because this is about filling a regional reform with content. I have noticed that in the revised state budget, under item 22 State environmental measures, it is proposed to move on a 4 million promise. kr against a corresponding reduction in heading 70. The proposal comes as a result of a need for increased efforts by the State to provide a good basis for the next water management plans. In the hearings, all the county councils have said that they would rather have this as part of a larger task management, and they really want to go against them. Several statesmen have done the same. I would like to end by asking whether this is an expression of the government's ambitions in the field of moving more tasks to the regional populous nine?
ParlaMint-NO_2018-05-23.ana.ud447e968	I have no other answer to that than that no decision has yet been made. We have received the hearing opinions. I believe it is right – I also bring a case to Stortinget about this – to provide a basis in the Nature Diversity Act. I mean, it's natural. Other changes have not been decided upon.
ParlaMint-NO_2018-05-23.ana.ud447e976	‘The police shall transfer the former bilgeman and employee at the Leka Länsmannskontort to Kolvereid in Nærøy for nearly $1 million. The staff member's office of resignation still has to be paid for, and both employees are to retire in two years' time. It seems strange and not flexible by the state and the police as employers. Does the Council of State consider this to be a reasonable use of the police and community funds, or does the Council of State consider that the police should make a change to the decision?’
ParlaMint-NO_2018-05-23.ana.ud447e983	A deadline has been set for 1 June 2018 for police districts and police officers to implement the new service structure. There's this police chief in Trøndelag police district now following up. I am concerned that the police reach the targets and demands decided by the Stortinget, the Government and the Ministry of Justice. It is and must be up to the police and the chief of police to decide for themselves the resource effort, the allocation of resources and the actions and activities most appropriate to meet the stated objectives and requirements. I must stress how important it is that the police chief be given room for action to use his resources in such a way as to provide good and effective police services for the entire police district, of course within the framework conditions given to them. Behind the decision to shut down the Leka Länsmannskontoret was a thorough process by the police district, the Police Directorate and the Ministry of Justice. The establishment of major geographical holdings facilitates better and more equal police services, irrespective of their place of residence, including: because operational crews can be used flexibly where necessary at all times. I share the Commissioner’s assessment – that this could help the municipality get a better service offer today. This also means that, overall, Leka should be able to get a better service offer. There will always be the cost of the closure of service locations. The process therefore focuses on treating police officers equally with regard to the closure of offices, attempts at remedies and the use of instruments in the conversion agreement concluded. I'm assuming that this has also happened to the employee.
ParlaMint-NO_2018-05-23.ana.ud447e994	This was a typical bureaucracy response. I think this is where you have to listen to the employees that it is actually about. One thing is to give the police officers room for action to implement the structural changes that are now taking place. It is a difficult transition that is taking place, and it is causing considerable concern. Another thing is the human perspective on this, because it's about two people in the police who are going to do exactly the same work as today. Lensman's office at Leka still has to be paid for. The two will retire in two years and are now forced to commute to carry out the same job as they could have done well from the office at Leka. For me, it's a terrible employer policy, and I hope it's not an expression that the Council of State believes that the way to deal with people is the wise way to proceed.
ParlaMint-NO_2018-05-23.ana.ud447e1001	From the Ministry of Justice's point of view, there are some general principles on which it is based. It is primarily a qualitative measure of the police service we want, and the collective objective is given to the police officers. Then there are the resources, which are considerably strengthened under this government, but which we at the same time say is up to the police officers to try to dispose of as best they can. Then there is an employer policy, where it is about trying to treat equal cases as much as possible. I must also be allowed to add that in the police case there are 17 000 employees, of whom more than 10 000 are police, and it is going to be a strange situation if the Stortinge will discuss individual positions in a conversion process with over 17 000 employees. I continue to assume that the Chief of Police is doing what is right to achieve the qualitative objectives of the budgets that have been allocated.
ParlaMint-NO_2018-05-23.ana.ud447e1008	I can't help but record that the state council is pushing the police chief in front of me and has no point of view whatsoever about how the state and the police are going to pursue their employer policy. I think that's depressing, but we just get to register it. So the Council of State says that he is concerned that police officers should be given room for action to implement the changes that are now underway. According to Menon Economics’ business analysis of the police and officers’ seat in 2017, the administrative budget space of the districts was reduced by 426 million. kr for the period 2013-2016, i.e. during the current government, adjusted for wage and price increases, designation and staff increases imposed. So you're going to have to spend more than 1 million. the transfer of two staff who will retire in two years' time and who will carry out the exact same tasks and will continue to be paid for by the Länsmannskontoret at Leka. Is that the way the government thinks it's right to use the resources of society and the community?
ParlaMint-NO_2018-05-23.ana.ud447e1015	On the basis of what is happening, the instruments contained in the conversion agreement that have been concluded are the contract governing the employment relationship. Then I must again stress that with 17 000 police employees there will be a somewhat strange debate to decide on each case to be considered. With regard to the police's action room, I noticed that the representative Grande was talking about an action room, but took away the increased number of posts. The increase in the number of posts is an increase in the scope of action. Having more policemen — as it has become under this government — is giving police and police officers more room for action. It's strengthening the range of police services in the districts as well.
ParlaMint-NO_2018-05-23.ana.ud447e1027	‘Inner Eastfold Police Station is a police station for six municipalities and close to 47 500 inhabitants. Recently, we have received messages from residents in the former Follo police district that do not reach the police on the phone. In the Smålen Newspaper on May 8, 2018, we were once again able to read about a resident who had to make a return trip when he was going to deliver a report in the police office. Does the Council of State think this is good enough, and does the police station have sufficient dimension for the area it is to serve?’
ParlaMint-NO_2018-05-23.ana.ud447e1034	Ensuring the security and security of the population is the highest priority we have set for the Norwegian police. One important prerequisite for this is that police services should be accessible to the population and provide good service. It is and must be up to the police and the chief of police to decide for themselves the resource effort, the allocation of resources and the actions and activities most appropriate to meet the stated objectives and requirements. I have to stress how important it is that the police chief be given room for action to use his resources in such a way that it provides good and effective police services for the entire police district. The Ministry directs the Directorate of Police by setting targets and making demands at the overall level. For example, response time, travel time for services and emergency response time 112 are required. Then the police chief in each police district has the responsibility to dispose of resources efficiently and as necessary, to achieve the social impact we want. The new East Police District Operation Centre was launched on 7 March this year. In other words, it's still in the start-up phase. East police districts have acknowledged that there is sometimes too long waiting time at the central table, and have put in place measures to improve the availability of the hotline 02800 in terms of manning, training and technical solutions. I assume that the Chief of Police will take the necessary steps to ensure the safety and security of the population. It was with a broad majority that the Stortinget concluded on the near-police reform, including the strengthening of the operational centres. I believe that it is now important that we show confidence in those who feel where the shoe prints the most – that they have the ability to implement the measures in practice. The Government and the Storting should focus on making good assumptions in order to solve the task. That is why the government has implemented a historic promise for the Norwegian police in the field of personnel. In eastern police districts, police coverage per 1 000 inhabitants has increased from 1.43 in December 2013 to 1.58 in December 2017. I expect measures to be put in place and planned by the East Police District to improve the situation so that the citizens of the East are as accessible as possible to the police. The operating centre is new, the reform work is demanding, and we have to exercise some patience before we can seriously start reaping the benefits of the changes we have started.
ParlaMint-NO_2018-05-23.ana.ud447e1045	I don't know if the government council knows the history of the Inner Eastfold Police Station, but it's the result of a voluntary merger of the original five county councillors in cooperation with the municipalities. One of the intentions was to avoid having small cannon offices with four-five officers and risk having offices that had to be closed when one had to give priority to other tasks. So now you have a new police station. In addition, the municipality of Marker is added – six municipalities and 50,000 inhabitants are to be served. It should be robust enough to keep open during the opening hours, so that the residents can deliver reviews and have other types of assignments done. Does the Council of State think that there is a good enough offer for the citizens when you do not experience being able to meet unannounced at the police station and get a report?
ParlaMint-NO_2018-05-23.ana.ud447e1054	The police district is still in a transition phase. These are important demands we make. The demands we make to the police district so far, at the overall level, we feel that the police district is delivering. Only to mention it: in the emergency number 112, the calls are answered within the time limits. So it's said that there's still a bit left to get a service level beyond what is dealing with acute cases. It also informs the police district that they are working with. It is important to remember that in this district it is still in a transition phase. Of course, we're going to evaluate it when it comes to the problem, but I think it's important to give them the freedom of action to carry out that transformation and achieve the goals that Biggett has, after all, been doing.
ParlaMint-NO_2018-05-23.ana.ud447e1061	We have been through this transition in Inner Eastfold for a long time. What we have experienced is a breach of the premise that was imposed: that one should have a robust, strong police station in Ashim, which was common to the five – now six – municipalities. Now we've seen that you've moved services, you've moved people from Ashim to Ski, you've moved the opportunity to get a passport from Ashim to Ski, and now we see that you might also have to order an hour to get a regular review. Does the Council of State consider this to be appropriate, and does he believe that this is part of building up under the confidence of the citizens in the police?
ParlaMint-NO_2018-05-23.ana.ud447e1068	The police have more than 17 000 employees and more than 10 000 police trained people. Controlling these resources to achieve the qualitative objectives, which means making the crime scene the most accurate possible, must be done by the police chief. I don't think it can be that no matter where the crime challenge is greatest, the police should be organised as it was yesterday, no matter what geographical areas get the greatest effect of the police effort, we have to be organized as we were yesterday. The important thing is that those who know where the shoe is pressing, those who are in the field, that is. The chief of police — responsible for the operational teams — can use the resources to deliver police force to meet the challenges we face.
ParlaMint-NO_2018-05-23.ana.ud447e1078	‘The size is set out in Decision No. 581 of 5 April 2018 adopted the inclusion of Osterøy at Bergen incarceration in the current KVU for the West Criminal Office region. The revised national budget shows that the government will not comply with the Storting’s will, but will go in to reduce prison operations from June 2019. Is this a mistake, or what has changed since April that can explain that the government is acting in violation of the majority?’
ParlaMint-NO_2018-05-23.ana.ud447e1085	Bergen Incarceration, Osterøy Department is owned by a foundation. The foundation has terminated the current rental contract and issued a deadline in 2017 for feedback about the country's wish to purchase the property. The current rental contract expires in mid-2019, while the concept selection inquiry for the West is expected to be completed and quality assured only by the end of 2019. The continuation of operations after the end of the contract requires that the country buys the property and has significant investments in the necessary upgrading of the building stock. At the same time, the forecasts from the Directorate of Criminal Welfare suggest that the need for prison sites can be met in the future without the Osterøy sites. As also shown in the information provided in Prop. 85 S, it will mean large investment by the state, while the assumed need for lower-security prisons is well met from now on. There are significant maintenance needs related to the property. Further prison operations in Osterøy will require significant investments in upgrading and maintenance. The Directorate of Criminal Welfare has, on an uncertain basis, said that the rent can be in the order of 10 million. kr per year if the property is acquired by State-owned buildings. There will be a significant increase compared to today's rent of NOK 730,000 per year. Based on the forecast that we will have overcapacity in locations at a lower level of safety, the maintenance needs of Osterøy and the fact that the current lease expires in mid-2019, the prison should be closed even if the concept selection investigation for the West has not been completed. The continuation of Osterøy until the Western draft selection investigation is completed will result in the liquidation of other prison sites, or the reduction of the content of the settlement within the unchanged budgetary framework. It could also have consequences for the security of criminal justice.
ParlaMint-NO_2018-05-23.ana.ud447e1092	The parliamentarian here is that the government has no plurality. A majority decided a month ago that the question of Ulvsnessey should be included in the impact assessment for the West Criminal Office. The government, which has a minority, has failed to comply with it. The argument that the Council of State comes up with is to go into the facts of the matter, but our point is that we should take that discussion into account when we get the consequence. It's not that a postponement of the consequence will lead to the purchase of the island. I'm here with a briefing from a meeting between the criminal services and the foundation, where the foundation says they're ready to enter into a new discussion about a lease agreement of six months or one year. Why has the Council of State not considered this? Why doesn't he go after the big numbers?
ParlaMint-NO_2018-05-23.ana.ud447e1099	First of all, Parliamentary. It is the case that Stortinget takes a decision on a request. Of course, those request decisions aim at the Ministry of Justice to look at and follow up, but if we see that the request decision does not follow up, it is our duty to come back to Stortinget with a new decision, and that is what we are doing. It's completely in line with custom and practice. We invite Stortinget to take a decision on the revised national budget. The Directorate of Criminal Welfare has to deal with the demands made in its time. I think it's difficult to discuss this issue without going into reality, because the important question here is: What prison places does the representative want to be placed instead of keeping Osterøy? Or what crews and security measures does the representative want to remove if we are to keep Osterøy? That's the challenges we're facing. Such assessments are natural to include in the budget, and we'll get back to that.
ParlaMint-NO_2018-05-23.ana.ud447e1106	To the question of what prison places I want to maintain: this is not a question put by the Council of State, but there has suddenly been a problem because a lease has been cancelled. This is completely unimaginable. I would like to mention again that once you have received a majority decision, it would have been natural for a council to try to engage in dialogue with the directorate and the foundation to expand the lease until the settlement has come, as Stortinget has said. When the Council of State says that the decision to increase is not feasible, I don't think it's true. The sensible thing, and the real thing, would be to extend the lease, as the foundation says they're ready to do.
ParlaMint-NO_2018-05-23.ana.ud447e1111	As I said in my initial answer, taking over the plant will entail considerable costs. That money has to be taken from somewhere. Either you have to take it in a budget debate, where you say where the money is to be taken from, or you simply have to take that money from other prisons. Then you have to put prisons down. I think that's a point for big business representatives in general to think about when you have good wishes about what to maintain. The background for this is, of course, a very positive message, namely that the country no longer has prison cows. When this government took over, there were considerable prison cows – several thousand standing in line. Those queues have been terminated. So building down some of the prison capacity is an expression that we have a policy that has achieved the other objectives of criminal justice.
ParlaMint-NO_2018-05-23.ana.ud447e1121	‘In a strong article in iTromsø, commentator Egon Holstad describes what happened when the scarred “Kristine” went down, where the man on board was found only a year later. From the time of the accident and until the cancellation, there has been a major failure of the Main Rescue Centre, the Harvari Commission and the police, who have refused to raise the shock on the grounds that the deceased ‘was not in active fishing’. "Why wasn't anyone helping Dad?" asked the daughter. How will the Council of State ensure that the corresponding never happens again?’
ParlaMint-NO_2018-05-23.ana.ud447e1128	On 18 July 2016, the main rescue centre in North Norway received at 10 a.m. 03.10. Insert signals from an emergency locator transmitter on board a boat. They immediately launched a comprehensive rescue operation. The boat was found at 21 meters deep a little over an hour later. Search was made with underwater cameras and divers, without any persons being found in or around the boat. In parallel, coastal searches, including on land, were initiated in houses and cabins, with crews from among others. Red Cross and Norwegian National Aid. The family was early notified. The rescue operation ended at 0 p.m. 6:00 a.m. the same day. In other words, all available resources were used, and the boat was found relatively quickly. Unfortunately, the victim was not found at this stage of the action. After completion of rescue operation, i.e. when the operation was over in a phase of search after the suspected death, Trom’s police district carried out a series of searches for the injured person. Here the boat, aircraft, helicopter and divers from both the fire department and the volunteer diving club were used, without any results. The relatives were kept constantly informed about the situation. Trom's police district closed its search for the suspected death on 9 August 2016. With regard to the criticism that has come against the State Disaster Commission for Transport regarding cancellation, it is difficult for me to comment on it. The Commission is an independent management body which sortes administratively under the Ministry of Transport. In the case of marine casualties, they are professionally bound by the Ministry of Food and Fisheries. The Ministry does not have any authority to instruct the Commission to investigate ship accidents. The Commission itself determines the scope of the investigation and the manner in which it is to be carried out, and its decision cannot be appealed against. I fully understand the relatives, who have lived for over a year in the uncertainty of what has happened to their loved ones. It is also easy to agree in retrospect that the jack should have been lifted earlier, especially in the light of the fact that the victim was found at the same time as the boat. Why he wasn't found, it's hard for me to think anything about. As I said, it was searched with both underwater cameras and divers during the rescue operation, and later in the search for the suspected death. No search and rescue is the same, and there's always something to learn from such events. Unfortunately, there is no guarantee of success within such a demanding area as rescue services, but the experience of this and other events we take with us in the future, so that we evolve to become ever better.
ParlaMint-NO_2018-05-23.ana.ud447e1143	There was a very cool response from the Council of State in a matter that has been very uncertain about in particular North Troms, where this accident happened. When the emergency beacon signal was picked up by the main rescue center, it was soon discovered that the boat was located at 21 metres at Maurneset. A choice was then not to lift the boat to see if the deceased were there. What is the reason why the coastal police do not have the resources to investigate this type of event, to raise it, and that it takes as long as this has done? I would like to add that what happened at the end was that Finnsnes Divk and Construction Service lifted the boat on their own initiative, and there was one that died. It must be obvious to everyone that something wrong has happened here. Why does the police along the coast not have resources to move out and investigate this type of event?
ParlaMint-NO_2018-05-23.ana.ud447e1148	I think it's important to see the order in a rescue operation and the different responsibilities that are here. It's the rescue service that organizes the rescue. After a completed rescue operation, i.e. when the action is over, we are in a phase of search for the presumed deceased. It executed Trom's police district as they were supposed to. Here, boats, airplanes, helicopters, fire brigade divers and volunteer diving club were used, which gave no results. So it wasn't the resources it was on, but unfortunately you didn't get results at the time. When we move on to transport and uplifting, we are moving to an area that does not belong to the rescue department or the police district, but is about the Harvari Commission. The Disaster Commission is an independent body that should not be able to be instructed politically, precisely because they should be independent, and it is difficult for me to explain how development was, but I also think it took too long.
ParlaMint-NO_2018-05-23.ana.ud447e1155	One thing is the constitutional responsibilities of the Council of State, but the Council of State is responsible for the full preparedness and coordination of it. The work of the Disaster Commission is to come back and see what has happened here, and what can you do to improve your safety? So it is clear that very much of the conclusions and work that the Commission is making is always relevant to the Minister of Justice and Defence. On the home page of the Disaster Commission, it also says quite explicitly: «The Act requires the Commission to investigate all maritime accidents involving Norwegian passenger ships and maritime accidents involving other Norwegian ships, including fishing vessels, where crew, master or any other person accompanying the ship has or is presumed to have died.» It's black in white. So here a private company has taken that responsibility. Here is an accident in which errors have occurred in several steps, where one could not raise the ship where it is revealed that the deceased has been. What can the Minister of Emergency do to strengthen this part of the preparedness?
ParlaMint-NO_2018-05-23.ana.ud447e1167	Let me first say that I fully understand the relatives, who have lived for over a year in uncertainty about what happened. It's very easy to understand. It is also easy to agree in retrospect that the scar should have been lifted earlier, especially in the light of the fact that the victim was found so close to the site of the accident. Then it is that rescue operations are difficult and demanding. It's not always that you succeed as well as you should. It is difficult to say why the extensive searches, the extensive surveys, and the extensive resources that were set in motion did not produce results. Of course, it's unfortunate that you didn't succeed right away, and it's hard for me to say what happened, but part of the learning is that you're always looking at operations, looking at whether you can do something better, so you can develop the ministry to get better the next time.
ParlaMint-NO_2018-05-23.ana.ud447e1174	Case No. So 2 is done.
ParlaMint-NO_2018-05-23.ana.ud447e1188	There is no record. Thus, today's map has been processed. Ask for some word before the meeting are being - The meeting's been cancelled.
