ParlaMint-NO_2018-02-28.ana.ud158e28	The representative, Mr Grøvan, will present a proposal for a representative.
ParlaMint-NO_2018-02-28.ana.ud158e933	From the representative of Anette Trettebergstuen to the Prime Minister: ‘The Minister of State presented the new Declaration of Government to the Stortinget on 30 January. In this context, she stressed the importance of work and that ‘The government will therefore take the initiative of including more people into the labour market’. A number of public authorities have for a number of years concluded that cash support weakens the line of work and prevents inclusion. Why does the Prime Minister not see the possibility of strengthening inclusion and the working line by liquidating the cash support?’
ParlaMint-NO_2018-02-28.ana.ud158e940	This question has been withdrawn.
ParlaMint-NO_2018-02-28.ana.ud158e948	‘The offer for the Coastal Route expired on 12 February 2018, but the Ministry of Transport has not yet informed about the number of tenders received or the progress of the case. When will the Council of State indicate how many tenders have been received and who has submitted tenders, and when will the Ministry select tenderers or tenderers?’
ParlaMint-NO_2018-02-28.ana.ud158e955	The offer of the coast route delivers along the coast from Bergen to Kirkenes is important. It is part of a transport year that many have both become happy and depend on in everyday life. There is also a way to show our coast and our nature on too many tourists, but it is outside the offer. The need for travel for people living along the coast and for business is important. The competition for the provision of maritime transport services on the Bergen–Kirkenes route had a deadline of 12 January. The evaluation of offers and negotiations on them is currently ongoing, and we aim to communicate the award of the contracts as soon as possible. This is an important and extensive competition, and it is not natural for us in that process to go out and tell neither who has submitted a tender nor how many actors there are on the different routes. It is a bit of the job that helps us get the most back for the money and a best offer for the travellers.
ParlaMint-NO_2018-02-28.ana.ud158e962	I thank you for your answer. This is an important issue for many along the coast, and there is a great interest in the outcome. Therefore, it is of general interest to know if you can keep progress. Can the Council of State indicate when to conclude and what progress has been made in the negotiations?
ParlaMint-NO_2018-02-28.ana.ud158e967	As of now, progress is good, and that means that we believe that we can award the contracts in line with the timetable you need in order to have the players in place when the contracts are to be entered into. It is important that we have good progress, for if successful operators require new vessels to be built or if today’s actors need new vessels, they must have time to enter the market, contractors, designers, build them up and test them out, so that when the contract enters, they have the vessels with predictability and are able to provide the services they will have. As I said, it is not natural for us now to go out and inform the actors, who, after all, are still in a competitive situation, about how the competitive image is. It could give an actor a lot of information and power, which will affect the price offer that you eventually end up with and make a decision on.
ParlaMint-NO_2018-02-28.ana.ud158e974	A number of requirements are imposed on tenderers, for example: eleven-day sailing, freight and environmental requirements, discussed by Stortinget before Christmas. How will the different areas be weighted in the evaluations of tenders? Will price be the only criterion, or is the quality of the offer assessed? For example, the State has weighted the tender on the Jærban to 60 pst. quality and 40 pst. price. Does the Ministry of Transport carry out similar quality assessments for the coastal route?
ParlaMint-NO_2018-02-28.ana.ud158e979	We have assumed that there are environmental requirements that need to be met. It's not part of it that you can compete up or down. One can compete on more stringent environmental requirements if one wishes, but there are stricter requirements for emissions and requirements that had not been set before. It places a barrier in the bottom, but the price is primarily evaluated here. At the bottom is also a probability assessment of whether one can deliver what is offered. An actor who has a very low price, but who we do not trust can actually deliver in line with that price – e.g. that a person does not have a proper plan for getting hold of the ships and how to operate them – is likely to be disqualified and not reachable. The quality assessment is the foundation and the price it is crucial.
ParlaMint-NO_2018-02-28.ana.ud158e987	‘A new report from Bane NOR shows that Bane NOR will postpone the intercity expansion in Eastern Europe for several years, contrary to Stortinget’s decision of spring 2017. What will the Council of State do to ensure that the adopted plan of progress of the Intercity project in the East is maintained and implemented?’
ParlaMint-NO_2018-02-28.ana.ud158e994	I thank you for the question. The government is very busy building a good infrastructure across the country. Railways are a central part of it and, in particular, in urban areas in the east and around the major cities of the country, rail is important, and also in the case of long-distance freight transport. This is why government offensive action is in place in the national transport plan – which has been endorsed by the Stortinget – and an offensive approach has been implemented for the railways in the five state budgets that have been so far adopted under the current government. We have seen a strong growth in the number of passengers. There is an increasing customer satisfaction with the services provided by the NSB. There are several train departures, there are several new train sets, and the appropriations for the railway have increased significantly. The last five budgets, adopted under the current government, have allocated a total of 108 billion. kr for railway operations, both investment, maintenance and purchase of services. In comparison, 60 billion were granted in the previous five years. So it's gone from 60 billion. DKK to 108 billion kr. It shows a willingness to bet, and a long-term approach is important, so that one reaches a rate further in the future, has a whole and a good coordination between projects. The ambition that the government has, and that the Storting supports, is solid. There have been no changes there. But in the process, when we turn the National Transport Plan into an action programme, where we are to implement the plan, this is like a multi-step rocket. In the first round, Bane NOR presented its input to the Directorate of Railways. So it's not the final action program, it's the directorate of the Bane NOR organization. The Directorate shall examine this and a number of other inputs within the next few months, consult it and then establish a final action programme. It is the same process that has just been carried out in the Directorate of Roads, which presented its action programme a few weeks ago. In what Bane NOR has put in, they have suggested some adjustments to what has been the government's ambitions. They have identified challenges such as: accommodation services, train bus. They have taken into account an assessment of the entrepreneurial market so that one can have a level playing field and not wide variations. They have provided access to skilled workers in Norway, so that one does not fight too much about them, and they have taken into account how one can get the most back for the money. The recordings that have been made have not been dealt with politically either in the government or in the Storting, naturally enough, but there is something that is now to be dealt with by the directorate. I am concerned that the ambitions that we have fixed are being implemented.
ParlaMint-NO_2018-02-28.ana.ud158e1009	Thanks for the answer. Only eight months have passed since the Stortinget adopted the national transport plan, with concrete dates for the completion of the intercity project in individual cities. Formally, the Stortinget does not know either Bane NOR or the Railway Directorate, Stortinget knows the Council of State and expects the Council of State to follow up the decision of the Stortinget. If there were economic problems, with professional skills or with other things, Stortingen expects the council to come back to Stortinget and say, "Here, big ones, there are some problems; then we have to do something like that or something to fix this." Will the Council of State do this?
ParlaMint-NO_2018-02-28.ana.ud158e1018	When the Storting treated the National Transport Plan, it was based on the most up-to-date figures we had for the various projects at that time. It's a decision that makes the government have got a plan that we're working on. When the Storting makes concrete decisions on individual projects, it is quite natural that changes affecting the decisions taken by Stortinget return to Stortinget as soon as possible. Then we must remember that a national transport plan is a plan, it is not a single decision on individual projects where one also binds the funding. Thus, there is a slightly different feedback policy on it than on projects that the Storting has dealt with separately, which have been through quality assurance, and where one has committed the Stortinget to participating in and granting money. We're going to make sure that the Stortning is informed as much as possible when there's a big change that makes the Storting want to make other assessments. We're going to deliver on it as best we can.
ParlaMint-NO_2018-02-28.ana.ud158e1025	Thank you. I just want to stress to the Grand Council and to the Council of State why this is so important. For example, in Eastfold, the development of InterCity is very closely linked to the urban packages, and the development of roads is completely interwoven with the development of trains. The same applies to the other cities, considering how they plan urban development. So this isn't something that the railway can do to disconnect everything else, it's very important that it comes at the same time. I understand that the Council of State cannot guarantee anything, but can he guarantee that he will return to Stortinget if the Stortinget has to make other decisions regarding InterCity?
ParlaMint-NO_2018-02-28.ana.ud158e1032	Let me stress that none of the decisions taken by the Stortinget in individual projects – which the Stortinget has dealt with and said we should build this, and start to grant money – have made some changes in it. So there's no reason why we're going to come back now and inform about ongoing projects. But as far as the action programme is concerned, it is not yet certain what it will contain, for the work is done by the Directorate for Railways. When I meet with the Directorate-General for Railways, I am going to highlight in my signals the objectives of the government, to which the Stortinget has joined in the National Transport Plan, so that we can achieve them as best we can. I want us to look at how we can get more money back, so that we can do more and no less than the Stortinget has planned. The most important thing here is that we are able to improve the travel offer for the inhabitants. Getting half-hourly leave in many places can affect people's preferences about how they get to and from work, and that's what must be the basis for all the decisions and the work we do.
ParlaMint-NO_2018-02-28.ana.ud158e1044	‘In the evening post of 18 February 2018 it appears that Bane NOR will postpone the development of internal intercity. The justification given is that insufficient money has been put aside in the first part of the NTP period 2018-2029. This is contrary to the information provided to Stortinget in the context of the treatment of the National Transport Plan in spring 2017. When did the Council of State first become aware that the real financing need for internal intercity was significantly higher than that proposed by the Government of the NTP?’
ParlaMint-NO_2018-02-28.ana.ud158e1051	I thank you for the question, and I am not going to repeat all the efforts that have been made and that confirm the government's willingness and ability to bet on the railway, but I am just going to state that the ambitions that the government has communicated, which were in the national transport plan when it was dealt with in the Stortinget, are at stake. We believe it is important to build a better railway, because it provides a better travel offer. It ensures that people get a simpler everyday life, and then it's important that the railway has both increased capacity, increased frequency and increased predictability, so that people get an offer that they're satisfied with. When the Storting treated the national transport plan last year, it was based on the best available information on costs and on time perspectives, etc. So, Bane NOR, in his part of making recordings to the Directorate of Railways, has had a review of many of the projects to get the most up-to-date data base to get the best possible picture of the situation. New information has obviously come up that some projects have become more expensive and other projects appear to be more complicated, and one has also looked at the overall picture. If one has too many projects at once, it can create challenges in the entrepreneurial market that will actually deliver capacity, and not least it could create significant chaos problems around Oslo S by bus for trains in many directions at once. That is what underlies the assessments that have been made. We became aware that Bane NOR was going to propose alternative approaches compared to NTP. We knew about that. nine to ten days before submission. Then we got access to a draft press release, and there was also a copy of Bane NOR's then draft action programme. Well, it was presented on February 18th, we became familiar with this on February 9th. In line with the railway reform we have implemented, where Bane NOR is to be our infrastructure manager, they – as a company with their own board – have worked on this without the department having sat and overrun them, it is the task of the board. We're sending control signals, they're delivering on it. However, in advance of this being sent to the Directorate for Railways, we received a little notice of what was going to be there. The matter is now under consideration in the Railway Directorate. We're assuming they're going to spend a few months on it. They're going to handle the recordings that came from Bane NOR. There will be consultation among external parties, and they will also make their assessments. It is important that it is the Directorate of Railways that is the strategic unit within the railway. They're the ones who are going to link all of this together. Then Bane NOR's recording is important, but far from being exclusive.
ParlaMint-NO_2018-02-28.ana.ud158e1062	Governments have a lot of nice words about trains. We also know that the Progress Party and the Government are planning to disburse billions of billions on new asphalt, and they will finance this through tolls, which will result in more traffic and car dependence and impose higher costs on car owners. Once there is resource scarcity on expansion, the government instinctively always prioritised the car first. We see that in this case as well. Given our efforts to reduce emissions for the transport sector also from a climate perspective: will the Council then move funds from the road sector, in order to avoid delays in the development of internal InterCity, without the total volume of installations becoming so high that it cuts the cost framework?
ParlaMint-NO_2018-02-28.ana.ud158e1069	There are several things in this. I believe it is important to facilitate the competitiveness of Norwegian entrepreneurs in building infrastructure, especially in our own country, and to ensure that Norwegian labour force is put into service is also a goal for me. I think it is good that our development actors, both Bane NOR, Nye Veier, Statens vägvesen, Kystsverket and others, look at the possibility of using the Norwegian market as best they can. It's not right that the railway will always be down-prioritized and the road will always be up-prioritized. It is important that we have a balance here, because we need to have a variety of transport services in a diverse country. It is not that we can always say that the car is trapped, and that all other forms of transport are good, as the Greens say in many debates. We must invest in all these areas. That's why in the last few years we've seen a strong commitment both on the railways and on the road, but the road projects we're going to start are not necessarily in exactly the same place as the railway projects, so removing good communication in one region to build it in another region is what I'm against. I would rather work to cut costs in railway projects, so the money goes to everything.
ParlaMint-NO_2018-02-28.ana.ud158e1076	The Council of State probably understands the reason why we react so strongly to this, because the NTP has just been adopted. There, a balance is promised, as the Council of State says, a promise both in bag and in bag. But suddenly the bag disappeared, and now we're just left with the car in the bag. And it's clear that the whole region of Eastern Europe needs InterCity, because it's crucial to get an environmentally friendly Oslo region well connected. Will the Council of State ensure that the currently announced unacceptable delay is prevented?
ParlaMint-NO_2018-02-28.ana.ud158e1083	It's a little strange that someone who wants only a bag, accuses me that the bag gets too much. We believe that a good balance between bag and bag is good, and we're not going to try to move money from railway to road or vice versa. But ensuring good cost control both in the bag and in the bag is essential here. That is why we are working hard to keep the cost growth down on the road. We have said in connection with several road projects that one must look at how one can build cheaper. The case concerns E16 to Kongswinger, and the case concerns E6 to Gudbrandsdalen. New Veier withdrew his contract with the E39 from Kristiansand to process it in order to recover, just to keep costs under control. So we're going to do the same thing on the railway. To say that one should not have cost control, while the other should have it, I am against. But it's important that we get that balance in place, and we see that with government policy, the emissions from road traffic are going down. The Green Party itself believes that we should have emission-free cars in the future, and then the climate problem will be solved for car traffic as well.
ParlaMint-NO_2018-02-28.ana.ud158e1091	‘Summer 2017, there was a major problem with the lack of toilet capacity in several national tourist roads. For example, Lofoten, who has had growing winter tourism, has also become a problem that the toilets are winter connected. Is it possible for the Council of State to take action to improve the toilet capacity along national tourist roads?’
ParlaMint-NO_2018-02-28.ana.ud158e1098	I thank you for the question. As a granddaughter, I have experienced the importance of toilet facilities along the roads in order to make a long drive a good experience and not a little nightmare. Making sure that one can stop and stretch on its legs at regular intervals, preferably in public service spaces, but at least alternately in service stations, etc., is important. We've also been concerned that we're going to make the money go any further, so that one doesn't necessarily spend the money on very fancy architectural design, but with limited capacity on the toilet side, but rather builds up so that one has more capacity and gets to meet the functional needs. In the summer, five new projects will be opened that will increase the toilet capacity along part of the national tourist roads. This applies in Ryfylke, on Hardangervidda, along the Helgeland coast, on Andeya and in Lofoten. In addition, measures will be put in place to strengthen the provision of toilet services elsewhere, for example: Stegastein on the Aurlands mountain. It is also important that we sort out the facilities that already exist — that they function, that they are open as much as possible, that they are perceived as attractive to travellers, and that there is also sufficient information. There will be better information in both Norwegian, English and German. The Swedish Road Service has informed us that in 2017–2018 eight of them are together ten toilets along the E10 in the Lofoten Winter Open. Eight out of ten are open in winter – it shows that the offer is relatively good, although there are therefore two closed. In our national transport plan, we have committed to implementing a further 46 new measures along national tourist roads by the end of 2023. Many of them involve toilet facilities and will be partly implemented with county municipalities and municipalities. In addition, we expect and expect other actors to provide facilities that strengthen the overall provision of toilet services. When I drove E6 from the Kirkenes to Oslo this summer, we spent seven to eight days on the trip, and one of the things I weighed on the trip was to stop at rest places for truck drivers, which is a supplement to the rest area facilities in total. There are many places built good and nice, but the nude facilities, which allow both for the shower and to sit down, but also the toilet. So the situation is getting better and better, but it's obvious that some places aren't good enough, and that's why we're working on strengthening the offer.
ParlaMint-NO_2018-02-28.ana.ud158e1109	I thank you for your answer. I myself was in Lofoten at the same time as the Council of State last week, and then, in meeting with the tourism industry, I experienced that they were very dismayed by the situation. Now tourists come in winter too. It's very nice that we've expanded the season, but I also saw the look-up that the Evening Post had today about the new facilities for national tourist roads, where part of the new toilet facilities as the state council here mentioned were depicted. I have to say that even if I registered that the state council of a NRK interview last year was critical of the so-called gold dates, these new facilities still appeared as gold dates and not as capacity necessary to receive and provide our tourists with the necessary contribution. I believe that there is still a lack of capacity for the upcoming summer season.
ParlaMint-NO_2018-02-28.ana.ud158e1114	The question was about open toilets in Lofoten. As I said, according to the information we get, eight out of ten are open in winter. Then you can always work to get the last two in place, but that's not capacity at all, is not right. I address the challenge that the representative addresses in terms of the standard of what is to be built in the future. For me, it is important that we be able to meet the objectives of national tourist roads as both local players, who like to participate and co-finance some places, and the Storting wants to achieve, in the best possible way. If the Storting gives us signals that we can actually four a little bit more on the architectural expression rather than looking at the functional averaging, it's a signal that I more than like to take with me further. I think the vast majority, when they're in a distress situation, are more concerned that they get done what they should, than that it looks pretty while they wait.
ParlaMint-NO_2018-02-28.ana.ud158e1121	I think that the local forces also want to be involved and contribute to it. The great national tourist facilities and roads that are established, and which have been spent many billions establishing, do not seem particularly attractive to tourists, and there will be bad advertising for us when we don't manage to have enough capacity. We can travel in other countries and look at the facilities and the way they are kept. We have neither the corresponding capacity nor the required operational quality. A local tourist tax has been introduced and calls for it to be established in order to participate and contribute to the operation of the necessary capacity. Is there a measure discussed in this context?
ParlaMint-NO_2018-02-28.ana.ud158e1126	I'm skeptical right away to solve challenges by just introducing a new fee. All in all, I believe that the tourist influx, to Lofoten in this case, is good for the region, not negative. It creates jobs, it spends money, it creates activity, and one gets used more of the capacity that has been used well for summer time, but less used for winter time. The fact that a person is involved and takes some of the responsibility locally by facilitating what is for his own income, I think it is natural. Every time you have to finance what's really for your own profit, it's not the approach that I choose myself. But I'm going to promise that the State Road Service and the government will help one develop the toilet facilities further both in Lofoten and elsewhere, both within the framework of national tourist roads and for all the other roads where people travel.
ParlaMint-NO_2018-02-28.ana.ud158e1131	We're going to question No. 15, which has moved forward.
ParlaMint-NO_2018-02-28.ana.ud158e1139	This question, from the representative Lars Haltbrecken to the Minister for Oil and Energy, is answered by the Minister for Transport on behalf of the Minister for Oil and Energy, who has been away.
ParlaMint-NO_2018-02-28.ana.ud158e1144	The question to the Minister of Oil and Energy is: ‘In its opinion on the development of the Yme field, the Environment Directorate pointed out that the investigations into electrification are inadequate. Will the Council of State carry out proper investigations before decision is taken and will the plans for development be submitted to the Stortinget?’
ParlaMint-NO_2018-02-28.ana.ud158e1151	Oil and gas industries are important to our nation. It creates jobs, it creates values that we all enjoy. What's very funny about the Yme field is that it's one of the fields that was previously shut down, but that one now sees the possibility to start up activity in. The Ministry of Oil and Energy received a modified plan for the expansion and operation of the Yme field from the operator Repsol on 19 December 2017. The project is based on an initial field from 2007, which was shut down, and includes the re-use of existing infrastructure in the field. It's also positive. In addition, they intend to rent a detectable platform with combined drilling and processing facilities. An addendum to the original impact assessment was developed to address changes since the original plan of 2007. The investigation was at the public hearing in the autumn of 2017, and it was in this context that the Directorate for the Environment made its hearings, where they, among other things, took place. had comments related to force from land. In particular, as a result of these consultations, the operator decided to develop an updated force from the country report. The operator reviewed the updated results of the report in a meeting with the Environment Directorate in advance of the PUD submission. In addition, the report has been made available on the operator’s website. So there has been further investigation work than what the representative refers to. The updated report shows that the cost of using force from countries to Yme is high. The cost of action per tonne of CO 2 saved on the base is at least NOK 3400. It's much higher than what you've estimated before. The investment costs are calculated at 2.3 billion. kr for this measure. Plans for the expansion and operation of Yme are being processed in the Oil and Energy Department now. The energy solution to the field on Norwegian pedestal is treated as part of the Authority's work on an extension. This is also true for Yme, and this has been standard practice for some decades now. Total expected investment in the Yme project is 8.2 billion. kr, i.e. well below the limit of 20 billion. kr, as indicated in Stortinget’s mandate for the Ministry of Oil and Energy to approve the extension project on a Norwegian base. In line with the mandates, the Ministry of Oil and Energy will deal with an amended PUD for the Yme field without presenting the matter to the Stortinget. So the essence here is that yes, the Environment Directorate pointed this out in the hearing. However, after the consultation was completed, Repsol has done a new job, which has been discussed with the Environment Directorate, which means that the Ministry of Oil and Energy in its decision-making process has more information than was the case in the original investigation.
ParlaMint-NO_2018-02-28.ana.ud158e1171	I thank you for your answer. I have one supplementary question, and it depends on whether the matter is submitted to Stortinget or not, where the Council of State said this matter does not come to Stortinget. The majority of the population has set a limit of 20 billion. kr for extensions to the Storting, but there is also a clause under which, if there are other social considerations in the case, it shall also apply to the Stortinget. I want to ask the Council of State what social considerations he sees must be the basis for such matters, even if they cost less than 20 billion. kr, however, comes to Stortinget.
ParlaMint-NO_2018-02-28.ana.ud158e1182	At least I don't think the Yme investment is something that obviously has to be presented to the Magnitude for that reason. I would like to imagine that matters where you would like to have significant interests on land, which have been highly debated politically, can be matters where you would like to come to the Stortinget. Things where you use completely new ways of developing a project, which means that the Storting will have an interest in having a word in the team, can be of such a kind. If the representative wants a more complete list, I think a written question for the answer is the best way to solve it.
ParlaMint-NO_2018-02-28.ana.ud158e1189	Then we go back to question 7, from the representative Kjersti Toppe to the Minister of Health.
ParlaMint-NO_2018-02-28.ana.ud158e1197	‘According to a report by the Regional Perinatal Committee in Health South-East, one third of the children dying in their mother’s stomach could be afraid. Pregnancies with a migrant background experience more stillbirths than other pregnant women, and the same is true of older and obese pregnant women. Professionals call for better follow-up in pregnant women at risk. What concrete action will the government take to strengthen Norwegian maternity care and prevent stillbirths?’
ParlaMint-NO_2018-02-28.ana.ud158e1204	The quality of maternity care in Norway is high in the international context, and Norway is among the countries with the lowest newborn mortality. On a national basis, the number of deaths occurring during and immediately after birth is reduced from around 167 in 2014 to 147 in 2016. This is a positive development. As the representative Toppe pointed out, the risk of stillbirth is higher in some groups than in others. In particular, pregnant women with a migrant background, older and obese pregnant women and pregnant women with gestational diabetes, as reported by the Perinatal Committee. This means that it is important to reach women at risk and other vulnerable groups early in pregnancy, among others. through the provision of services at health centres. Most pregnant women are followed up in midwifery at the health centre, in the permanent care centre or in both. The government has significantly strengthened the capacity of health stations in recent years. In 2018, it was granted over 1 billion. kr for the service, and we are now beginning to see an increase in midwifery, as well as other professional groups. This means that the government’s systematic commitment to health and school health services results. The Health Directorate has developed several national professional guidelines in this area, such as the National Professional Guideline for Pregnancy Care and the National Professional Guideline for Pregnancy Diabetes. These guidelines are important tools for health professionals in maternity care and contribute to the planning of care according to the degree of risk involved. The guidelines provide recommendations for follow-up and further reference to the specialist healthcare service. For example, ultrasound is recommended in week 36 for women with gestational diabetes, and it is recommended that women who are additionally morbidly overweight are referred to the specialist health service. The guidelines for gestational diabetes also recommend the follow-up of women with a background from countries with a high risk of gestational diabetes. The guidelines are regularly updated, and the Directorate-General for Health announces that a new version of the guidelines for maternity care will be published in the summer. In this context, it is recommended that older pregnant women between the ages of 37 and 40 should be considered for follow-up to the specialist healthcare system. Health South-East has obtained information from some of the women's clinics in the region. They state that efforts are being made to improve the follow-up of pregnant women in order to prevent complications and perinatal deaths. Not all women are aware of the potential health benefit of attending a doctor or midwife early in pregnancy. This is why the Directorate is developing patient information in several languages and services to ensure the use of interpreters.
ParlaMint-NO_2018-02-28.ana.ud158e1219	Thanks for the answer. When the perinatal committee, i.e. those with pregnancy and maternity care in Health South-East, shows that 44 of the 147 deaths in 2016 could have been avoided if the pregnant woman, the midwife, had a better follow-up, it is quite serious. According to the leader of the committee, they ask for two things. The one thing is if not immigrant women can be registered as a risk group and followed up then, and not be dependent on having other diagnoses, such as gestational diabetes. The second is if not the first time born with a migrant background can get an extra ultrasound check in week 36. They have asked Health South-East about this. Does the Council of State think there might be something that the Department would consider?
ParlaMint-NO_2018-02-28.ana.ud158e1226	This type of issue is, of course, possible for the Committee to address its own health region, but it is also possible to address it in the context of the work carried out by the Directorate in the context of the national guidelines. It is actually in the processes that this kind of question – in my opinion – belongs to, because we also want this to be practised the same across the country and that it does not vary from region to region. The question of which women are to be offered additional ultrasound examinations during pregnancy is precisely one of the issues raised in the national guidelines and followed up by the service. I feel that there is a strong involvement of the professional community in the development of the guidelines. It is then natural that this is a question addressed by the professional community in connection with the work now being done in the Directorate, in the context of the summer guidelines.
ParlaMint-NO_2018-02-28.ana.ud158e1233	The Regional Perinatal Committee, which has called for warning of the death of women with a migrant background, also sends a statement of concern to the Medical Director of Health South-East in August last year on the general food supply. This was due to an increased incidence of adverse events. It was like serious bleeding, high blood pressure, infections and depression in mother. In children, there is talk of dehydration, weight loss, jaundice, infections and undetected heart failure. They think these events could have been avoided if one had organized a midwife on home visits after home. So they have a message of concern for the short lay period, which we had a debate on here before today. We have been responsible for creating a scarecrow of maternity care, but is it not up to the state council when the perinatal committee comes up with such concerns?
ParlaMint-NO_2018-02-28.ana.ud158e1242	I think it is very important that these kind of professional committees give feedback to the professional management of health regions if they experience a development that they think is negative, and that they make suggestions and input into it. It is exactly the way I believe we have developed one of the best offers in this area until now. I also believe that it is the type of assessment that must be used to further strengthen the offer. I am aware that when it comes to ensuring that we receive a good follow-up service in the municipalities, both in pregnancy and after birth, it is a political responsibility to ensure that there is a midwife service available in the municipalities. I take that responsibility with the government by both introducing legal requirements that there should be midwifery competence in the municipalities and by earmarking funds and providing other means for municipalities to build up this service.
ParlaMint-NO_2018-02-28.ana.ud158e1249	Then we go to question 14.
ParlaMint-NO_2018-02-28.ana.ud158e1257	This question, from the representative Trygve Schlagsvold Vedum to the Minister of Defence, will be answered by the Minister of Health on behalf of the Minister of Defence, who has been removed.
ParlaMint-NO_2018-02-28.ana.ud158e1262	‘During the examination of the defence’s long-term plan last year, the government informed the Storting that the defence budget’s share of GDP in 2020 was expected to be between 1.58 and 1.71 p.m. and that the share would in any case increase. On 24 January this year, the Minister of Defence of the Grand Duchy stated that the GDP share would be about 1.5 p.m. in 2020. Why does the government now expect, over a year later, that the share of the defence budget in GDP will be lower in 2020 than that of the informed Stortinget during the treatment of the defence's long-term plan?"
ParlaMint-NO_2018-02-28.ana.ud158e1269	In the response given to the Stortinget in June 2016 during the examination of the long-term plan for the defence sector, it was clearly underlined that there is a significant uncertainty related to the projections made around the projections of GDP shares. This is the case today, and that was also the case in the summer of 2016 when this answer was given. The response then given, with significant reservations, estimates a potential GDP share in 2020 within a significant range. This illustrates this uncertainty. The government has followed up the ambition level of the Stortinget through the examination of the long-term plan for the defence sector. We're still going to do this. A solid plan has been put in place to strengthen the defence. The plan is firm – both measures and budgetary escalation. The Government has not changed its defence policy or its clear priorities in the defence sector and NATO cooperation. The government's goal of moving in the direction of using 2 pst. GDP is fixed for defence purposes. Both the defence budgets and the investment share are expected to increase over the next few years. This is in line with NATO's goal. Defence budgets have increased every year since 2013 and will continue to increase in line with the escalation in the long-term plan. With this government, the real increase in the defence budget has been about 24 p.m. The forecasts given at different times about the future development of the defence budget's share of GDP are in continuous motion with considerable uncertainty. They will therefore also be able to vary significantly over time. The recent forecasts communicated to the Stortinget are not an expression of a changed priority for the defence sector. In all the replies given to the Storting, the Government has been clear about the uncertainty contained in such forecasts. They grabbed and the bet that this government is doing takes us in the right direction. To achieve a situation where Norway uses 2 pst. At the same time, GDP for defence purposes will require significant framework increases in the coming years. We have also been open and clear on this.
ParlaMint-NO_2018-02-28.ana.ud158e1286	That it's important to achieve the 2 pst. goal, of course, isn't because it's 2 pst. But because it's an important commitment to our closest allies in NATO, there are great challenges in the Army, there's a great need for, for example. new investments in tank capacity, we have a scale-down home protection, and we have a education reform that is perceived as a savings reform for all those who have the uniform. In the response of Minister of Defence Frank Bakke-Jensen, it says that in 2018 the share of GDP going for defence will be 1.56 p.m., while the share going for defence in 2020 will be 1.5 p.m. So it goes down — opposite the escalation that the Right has adopted at its national meeting and that the Progress Party has adopted at its national meeting. It's a weakening, not a strengthening of the share of GDP. Then is my follow-up question: Is the Vice-Chairman of the Right and Council of State Höie familiar with the answer to the Minister of Defence that the share of GDP to be used for defence goes down, doesn't it?
ParlaMint-NO_2018-02-28.ana.ud158e1293	There is no doubt that there is a significant reinforcement of defence. It puts up both the budgets and the long-term plan, and I'm very familiar with that. To the annual fluctuations in the share of GDP-related expenditure: the representative knows very well that it will fluctuate, and this type of forecast is filled with considerable uncertainty, precisely because there is also, of course, considerable uncertainty about how GDP will turn from year to year. Fortunately, we are now in a very positive development in the Norwegian economy, not least thanks to the correct and important transformation that the government has contributed to. It is something that should please the representative, and when it is combined with a real strengthening of defence, it is what matters, not least for those who wear the uniform.
ParlaMint-NO_2018-02-28.ana.ud158e1298	I experience the answer from Vice-Chairman and State Council Bent Höie from the Right as speaking down 2 pst.- the goal and that it is no longer a goal for the Right and the government to go towards 2 pst. In the answer to Frank Bakke-Jensen, who was given in writing to the Stortinget, the Right and the Government say that they want to go the other way, and that's what's going to happen, that you go from 1.56 pst. to 1.5 pst. Is it really a measure of the Right in government to reach 2 pst. in 2024? Or is it going to be a kind of number discussion that it Höie puts up to now all the way, and trying to get around the clear commitment we have to our NATO allies?
ParlaMint-NO_2018-02-28.ana.ud158e1303	Neither the undersigned nor Frank Bakke-Jensen have invited you to this number discussion. That's what the representative has done. The answer given to the representative is as clear each time. The government is clearly in the Jeløia platform that the goal, to move towards using 2 pst. of GDP for defence purposes, is established. It's in the Right Program, it's in the Government Platform, and that's what the government's policy is. I saw that the representative was also in the room when the Prime Minister answered a question about this earlier, and I expect the representative to get the answer to that question.
ParlaMint-NO_2018-02-28.ana.ud158e1308	Then we go to question 8.
ParlaMint-NO_2018-02-28.ana.ud158e1317	‘The state of law within the EU and the EEA is developed through the implementation of new legislation and the interpretation of existing legislation in the EU, including the re-interpretation of the scope of the basic principles of free movement of goods, services, capital and labour. What is the possibility for this Norwegian authorities to issue guarantees of future national freedom of action in areas where we give EU competence through the EEA, for example related to energy regulation?’
