ParlaMint-NO_2018-11-28.ana.ud257e28	The representative of the Bears Moxnes will present two proposals for representatives.
ParlaMint-NO_2018-11-28.ana.ud257e894	I have not assessed who is offered, because it is up to the Railway Directorate to award contracts. This competition is about both price and quality. When it comes to quality, there were 117 – one hundred and seventeen – minimum competition requirements. Providers that did not meet the minimum requirements – 117 minimum requirements – would not be able to win the competition. In this competition, all the minimum requirements were accepted. This means that suppliers would deliver at least as well as today. The minimum requirement ensures that. After ensuring at least the same level of provision as today through minimum requirements, the Directorate evaluated the quality of services offered within 15 themes. Here, the Directorate-General for Railways uses a score from 0 to 10. A result of 7 and 8 is considered very good and a result of 9 and 10 is considered very good. All three finalists gave answers that were within this range. That's how the Directorate of Railways assesses it, so there's little difference between supply. For price, differences were greater. The result was converted to a price/quality score. These were later merged and weighed with 60 pst. for quality and 40 pst. for the price, and the Railway Directorate got a total result showing that the Go-Ahead pool had the best supply. In the field of procurement technology, this is called the most economically advantageous supply. I'm referring to the fact that the Directorate of Railways has followed up the directions they've had, and not least that they've managed to find a weight with a weight of 60 pst. and the price 40 pst. through the bidding round we've had.
ParlaMint-NO_2018-11-28.ana.ud257e903	I also referred to one of the top experts in Norway on public procurement, which indicates that the differences are significant between the different providers. This is a situation in which, as late as 13 September of this year, the Directorate-General for Railways decided to expel Go-Ahead from the entire tendering process, among others. based on an assessment of a possible unhealthy economy in the tender. After that, a meeting was held between Go-Ahead and the Railway Directorate, which, according to the minutes of the meeting, was a negotiating meeting. Now it has been cancelled later by the Council of State, but the person who has conducted the report has at least perceived it as such. When the railway manager was to show who had been offered, it was quoted that ‘it is important to bring new players into passenger traffic in Norway’, i.e. it was important that the NSB should not win. Does the Council agree that there is an objective in itself in the tendering process?
ParlaMint-NO_2018-11-28.ana.ud257e908	The answer to that is no.
ParlaMint-NO_2018-11-28.ana.ud257e913	Then it's a little special that the Council of State has repeatedly raked down on how the NSB operates today, by pointing out the costs for the state, with the operations that have been on the Sørlandsbanen, and by pointing out how much one saves by choosing Go-Ahead in the new offer. The State – at the Council of State – is the owner of the NSB, and then the question is: Why does the State not show greater confidence in the company of which it owns and which delivered better than Go-Ahead on 12 out of 15 quality criteria in a tender where quality would be the most significant, rather than choosing to take in a company that has been a scandal in the United Kingdom and which is unlikely to be a success in Norway?
ParlaMint-NO_2018-11-28.ana.ud257e920	This is a fantastic question. What the representative actually advocates is a political award, based on a political assessment of who is able to deliver the best offers. Fortunately, we do not. On the contrary, we're busy being a professional buyer, where we're basically serious about the way we're offering out, making professional assessments of the offers we're getting, and assigning without the politicians driving with detailed leadership. I'm happy with many things NSB does. Also in this bidding competition, they show that competition is exacerbating them. The NSB also states that they have learned much from this supply competition. So this house, this big business, should be very happy that we're not politicians who run this country and think that there should be political awards of billion-dollar supply contracts. It would give an unprofessional actor from the state's side. We're not going to be, we're going to be a professional actor.
ParlaMint-NO_2018-11-28.ana.ud257e930	Then we can just go-ahead! ‘SJ Norway, which submitted a tender for driving on the southern runway, complained about the Directorate of Railways’ award of the tender to British Go-Ahead. The complaint was handled by the Railway Directorate. In other words, the complaint was dealt with by the same body that awarded the tender. If the Council of State considers it appropriate that the same body awarding tenders also deals with the complaints, and why the complaints are not dealt with, for example. of the Public Acquisition Complaint Document?’»
ParlaMint-NO_2018-11-28.ana.ud257e939	The public enters into commercial agreements in the same way as private ones. This is a selection of the public's private autonomy and is therefore not a simple decision under the administrative law. The administrative laws governing complaints do not therefore apply. When it comes to the implementation of competition by the public, it is quite common for complaints to be directly addressed and answered by the same body as the award of the contract. In this case, the complaint was therefore addressed to the Railway Directorate. In complaints about public procurement, there is not the same procedure as in complaints about individual decisions under the administrative law. The first instance in this case is the Railway Directorate, and one does not send the complaint directly to the Public Acquisition Complaint Board, KOFA. KOFA will only handle cases after having received complaints from stakeholders with a legal interest in complaints. The CODA shall deal with complaints of breaches of the procurement laws and associated regulations. Suppliers who so wish stand completely free – standing completely free – to complain to KOFA. Furthermore, there is the possibility of attacking an acquisition in the ordinary judiciary. In this case SJ AB complained to the Railway Directorate, which is in line with normal practice. As the Railway Directorate did not follow up the complaint, SJ did not choose to proceed. The Ministry of Transport cannot therefore see that the handling of complaints in this matter has taken place in any other way than what is normal for public procurement. SJ could have chosen to proceed with the complaint. Then it wouldn't be the Railway Directorate that handled it. They could have complained to KOFA, they could have taken the action before the courts. I register that they have chosen not to do so.
ParlaMint-NO_2018-11-28.ana.ud257e950	I thank the Minister of Transport for the answer and must at the same time say that it is a little complicated, what he has now read, but I understand that there is an opportunity to complain to KOFA, the complaint subject of public acquisitions. My question to the Minister for Transport, however, is whether he is satisfied with the regime that is now in place as regards the award of tenders for rail traffic in Norway — who grants it, and what kind of remedies are available. Based on the answers to the two previous questions, there is much to suggest that what is now happening is a political commission from the government and the ministry. More experts say that this is inexcusable. If I don't go that far, at least I have to say that there is reason to ask some questions about how this works. My question to the Minister for Transport is: is he satisfied with how the system he has rigged for the award of contracts in the railway sector works?
ParlaMint-NO_2018-11-28.ana.ud257e957	This is not unforgiving. This is the way the public buys a number of services, picked up in a market with multiple actors. This is very neat. So you can always ask yourself, how can the possibilities of complaint be optimised? I don't have very high shoulders because one doesn't have a potential for improvement. I think the public sector has that on a lot of other things, but I think we're going to be very happy that it's the Directorate of Railways that lights up the offer, that assigns, and that the policy, as the representative suggested, is not in the minds of those assessments. Let me just underline one more time: I haven't given political guidance to anyone who's going to get these offers. The representatives should know that, because what they are actually criticising in this process is that I have not done so, and then I refer to the representative Geelsvik as a good example of it. On the contrary, we have ensured that we have carried out this supply process as the state will carry out supply processes, and we will continue to do so in the future as well.
ParlaMint-NO_2018-11-28.ana.ud257e966	In conclusion, I would like to ask the Minister for Transport a very specific question: does he agree with the Directorate for Railways when they say that it is important for people other than the NSB to win contracts?
ParlaMint-NO_2018-11-28.ana.ud257e971	The answer to that I already gave. The answer is no.
ParlaMint-NO_2018-11-28.ana.ud257e979	‘Railway reform should include: ensure better quality for train customers. Go-Ahead, who won the tender on Sørlandsbanen, cut lower on 12 out of 15 quality criteria than NSB. In the North Railway Package it has been announced that the price should be weighted higher than the quality. What is the reason for this, and does the Council of State consider this to be in line with the objective of the rail reform to ensure better quality for train customers?’
ParlaMint-NO_2018-11-28.ana.ud257e986	Let me first say that all travellers will be guaranteed a minimum of offer as today. In some traffic packages it is possible to make greater improvements than in other packages. For example, there are different limitations in today's rail network and material park for the different packages. Therefore, the evaluation will be somewhat different, because the framework conditions for the packages are also different. A good buyer has to take care of such relationships. Traffic Package 2 Nord has three award criteria: cost 50 pst., quality 45 pst. and mission understanding 5 pst. In the competitive base of package 2, the quality of supply is first ensured through a large number of minimum requirements, which I referred to was also the case for the South. These are requirements that all providers need to meet. Travelers should therefore be at least as good an offer as today, and the bidding rounds that will be won will ensure a level beyond that. This means that we are involved in ensuring that the travellers get a good rail service. When evaluating the supply of the Nord package, the Directorate-General for Railways will focus on how the provider will get more and more satisfied customers, the understanding of the mission and what offers provide the best relationship between cost and quality. For the requirements that must be met, the minimum, the providers compete for who can deliver them at a cost that gives the most for the money and with the guarantee of winnings in the years to come. This means that we get more railways for money, and we can use them to invest or to keep them on either material or infrastructure. The Railway Directorate would also like to build competence as a basis for upcoming traffic packages by weighting the award criteria differently in Traffic Packages 1 and 2. By making this difference already now, the Railway Directorate will have a better basis for which weighting factor provides the best quality for state resource use in upcoming competitions. The Directorate for Railways has also made it clear that the level of the day, both on the passenger train service and under the conditions under which they are added, is secured by the requirements that must be met by all the providers. We're on our way away from a monopoly. It's been a very long time since the government bought services like this. They've never done that before, except in one case, on the railway. So I don't go around imagining that everything is done perfectly in the first round. The state must also learn from the processes they are through. The differences in Traffic Package 1 and Traffic Package 2 will help the state to become an even better buyer in the future, and to find a reasonable and proper weighting that will bring us to the seventh and last costs, but also improve the quality of the services that passengers receive.
ParlaMint-NO_2018-11-28.ana.ud257e999	I thank you for your answer. With what the Council of State now says, and the new turn in the criteria for assigning rail northwards, the Council of State actually releases the cat out of the bag. There's a little bit more honesty in those criteria, because now it's absolutely obvious that price should count more than quality. And then, of course, I'm back to assess the basis of the whole railway reform. As far as I have understood the Council of State earlier – and the former Council of State – it was said that it was the passengers who were to be in the center, it was quality and service it was to be competed for. Everything else was equal. One should have the same rails, the same train, etc. Operators were supposed to compete for quality and service. Is it so that the track, that quality will apply on Norwegian railway lines, such as: The Council of State answered me on a question on November 20th, shall no longer count as much as before?
ParlaMint-NO_2018-11-28.ana.ud257e1010	I thought it was nice to be in question time, but it would be nice if the representatives listened to what I actually said. And what I answered – on the previous question and on previous questions today – is that the minimum requirement is that we keep the minimum standard of the day. And on top of that, we're weighting additional quality. We did that in the Railway Package South, we will do that in the Railway Package North. So it means something to what extent you have the ability to get the offer, if you can deliver quality beyond today's standard, beyond the minimum level. This means that there is still a rail reform that is about providing better quality services to those who are willing to travel by train. Not least, it makes sure that we give incentives to those companies that compete for these packages actually try to get more people to take the train, because it's effective when we've built up this infrastructure anyway. I have been very clear on this in all my answers, and it is fine if the representatives also listen to the answers, and do not decide on the questions in advance.
ParlaMint-NO_2018-11-28.ana.ud257e1017	I can promise I'll listen, and I'll read. That's exactly why we're here today with all the questions to the Council of State. Last October, before the tender round on Sørlandsbanen, Dagfinn Berge, who is responsible for competition on Norwegian rails, said: ‘It is not how far down a train company can squeeze the price that determines who wins the routes. Price shall count 40 per cent, quality and consideration of employees 60 per cent.» This he asked to be believed in. We see what the result is. We who follow this play must then conclude that it is political leadership that has now overruled the professionals in the directorate. SV will now demand that the further calls be put on hold, in the light of all the criticisms that have been made. Will the Council of State consider that?
ParlaMint-NO_2018-11-28.ana.ud257e1033	I heard the representative start his question by saying that he listens after I have answered. Then he concludes the question – and confirms that he has not done so. I haven't given political leadership to anyone who gets these offers. No political guidance has been provided for those who are allocated these services. In fact, the Directorate-General for Railways has made a professional assessment of the criteria, both of cost and of quality. They have done so in these offerings, and they have chosen them. So here I've got a hint from other representatives that we should perhaps have introduced more policy into this. I'm not going to do that. We're not going to do it in upcoming offers, and we haven't done it in her that we've already been out there. Let me just define it once and for all – and I repeat it over and over again: there are no political leadership for the allocation of the South Railway Package – will not be done on the North Railway Package. I am now considering that the representatives have actually found out what I have answered the questions.
ParlaMint-NO_2018-11-28.ana.ud257e1053	This question has been raised. So we go to question 14.
ParlaMint-NO_2018-11-28.ana.ud257e1063	This question, from Kjersti Toppe to the Minister for Oil and Energy, will be answered by the Minister for Transport on behalf of the Minister for Oil and Energy.
ParlaMint-NO_2018-11-28.ana.ud257e1068	‘The size has agreed to establish a national framework for wind power to help mitigate conflicts and provide predictability for local communities and builders. According to the Directorate-General for the Environment's thematic reports, there is insufficient knowledge of which areas are of sufficient value. It is also doubtful whether you have enough knowledge of the consequences for travel and tourism. What does the Council of State do to ensure an up-to-date knowledge base so that the defaulting assumption of conflict mitigation and predictability is met?’
ParlaMint-NO_2018-11-28.ana.ud257e1075	I want to answer on behalf of the Minister of Oil and Energy. The national framework for wind power was widely endorsed by the Storting in connection with the treatment of the energy message. It is an initiative to strengthen the location of new wind turbines to the best-owned areas. Work is largely about establishing an up-to-date and common knowledge base on the effects of wind power. A total of 20 thematic reports are being developed. Based on this, authorities shall point out areas that are most suitable for wind power. Of course, wind quality, network capacity and different environmental and societal conditions will be important here. NVE leaders worked at this stage and will complete a report by 1 April 2019. Other agencies and stakeholders also participate, and in particular I would like to stress that the Directorate for the Environment is actively involved. When the Ministry of Oil and Energy receives the proposal, it will be sent on a broad hearing. There will also be a regional recording meeting to make it easier for local and regional actors to make recordings. In this work, there will certainly be themes where there is a lack of knowledge, and there will also be important information for further work. Work on a national framework will take place throughout the country, and of course it will be about actions at a somewhat superior level. The concession treatment of each specific wind power project will be as at present. It is first here that the local effects can be evaluated in detail. All potential projects shall be thoroughly addressed on their impact. In parallel with this work, we now see a large expansion of wind power in Norway. That is natural, as the time limit for obtaining an electric certificate expires in 2021. In addition, costs have fallen so much that more actors now say that they will develop wind power projects even without subsidies. This also makes the resistance to wind power more evident. I don't think we can entirely avoid conflicts related to wind power, and like the oil and energy minister, I think that the grip on managing the location of the overall best areas will be even more important now when wind power becomes more profitable.
ParlaMint-NO_2018-11-28.ana.ud257e1092	Thanks for the answer. It is right that the objective of the framework plan is to have a common knowledge base before selecting the best areas. My concern is that in its thematic report, the Environment Directorate writes that they do not have sufficient knowledge of the long-term impact of the establishment of open-air wind turbines. They write in their report that they do not have sufficient knowledge to determine which concrete, larger, coherent natural areas have the highest value and they cannot contribute to proposals for specific areas that can be excluded from the national framework. Then we have a problem. My question to the Council of State is: One has said that one should secure a wide range of hearings afterwards, when the proposal from the NVE has come, but one should not have involved both the population and the community when the knowledge base of the Environment Directorate, among others. when outdoors and nature are so thin?
ParlaMint-NO_2018-11-28.ana.ud257e1099	I refer to the previous answer. The Environment Directorate actively contributes to the work currently being done and knowledge is developing in the process. The way we often involve actors other than the professional authorities is through hearing processes, based on a professional basis. That one has a professionally founded basis to give his recordings, I believe gives good decision-making processes, also locally. The hearings often favour new or updated knowledge, which is the basis for the government's further work on this. That's what I'm sure will happen in this game as well. So I mean that the process that it's set up can completely take care of it. But we're concerned that we're going to come out with the best possible knowledge base. We also ensure that we have much more detailed reviews in connection with the concession treatment of individual applications.
ParlaMint-NO_2018-11-28.ana.ud257e1106	In this case, I and the Council of State may be somewhat confused as to whether it is disturbing that the Environment Directorate, which is to contribute to the knowledge-gathering and improvement of the knowledge base, clearly states that they do not have sufficient knowledge base for what is an important assessment when establishing wind farms, simply the concern for outdoor life and related natural areas. I have a question that goes on the number of areas that you actually have to sit with, because the NVE has suggested that one should be left with 15-20 areas. I haven't seen that the Council of State responsible has said, but my Council of State, which is standing here on behalf of the government today, that one should be left with 15-20 larger areas of the 43 that are being analyzed now? In this case, is there a defensive approach, given that there is a large amount of knowledge gap?
ParlaMint-NO_2018-11-28.ana.ud257e1113	I don't intend to clarify it now, simply because it is a work that is currently going on and that is to be landed in the spring of 2019, and I thought it would be unwise, both by me and by the government, to conclude before we have seen the professional basis for the assessments we are going to make. So the answer to that will be that we have to look at when the professional basis comes. I do not intend to ignore anything, nor am I going to confirm anything around it now, simply because the government also makes its assessments based on a professional basis, which is now being prepared.
ParlaMint-NO_2018-11-28.ana.ud257e1118	So we go back to question 6.
ParlaMint-NO_2018-11-28.ana.ud257e1126	‘Open access to research results is a good thing, but Plan S stimulates considerable reaction and debate. There is great uncertainty about the consequences. The Director of the Research Council was first negative to a new hearing, but has now opened up to this. What will the Council of State do to ensure that a decision on Norwegian participation in Plan S has sufficient professional and political basis?’
ParlaMint-NO_2018-11-28.ana.ud257e1133	The government is committed to making research more accessible by stimulating more open research dissemination and more open data. This is also a goal that the Storting has joined several times in the last ten years. Open access is important for companies that are in transition, i.e. getting the latest, the latest and up-to-date research. But it is also important for our doctors, for our teachers – it is important that all the professions in our society are professionally up-to-date. Public funded research should be available to the public in order to be used by all. This is a goal that I feel many people are behind, both politicians and researchers. Today, we have a dysfunctional market in the publishing industry. To a large extent, this is a monopoly, and public money helps to strengthen the profits of publishers rather than that this money could have been used for more research. An example of this is the RELX Group, where Elsevier is a large part of the business. They had a profit of 10 billion in 2017. kr and a profit rate of 37 pst. Much of that profit comes from taxpayers' pockets, and 10 billion. kr is approx. an annual budget for the Research Council. Norway alone spends 350 million. kr for journal subscriptions per year. The Research Council is part of what is called the coAlition S, which is working on Plan S, a plan aimed at publishing publicly funded research open to the public. I fully support the Research Council in that work. As the representative also says, there has been some concern in the sector about the implementation of Plan S. I understand that. Change may be difficult, and last night the coalition behind Plan S published a guide on how to interpret the plan, with proposals also for flexible transitional arrangements for this implementation. They propose to continue to support publication in one of the following ways: publication in immediately open-access journals publication in subscription journals, but with simultaneous deposit and making available of articles in an open and searchable archive publication in subscription journals forming part of a transitional agreement I see it as constructive, and I think that these transitions will make it easier for our researchers, who have been worried. The Research Council will also carry out a call for proposals during the winter period, so that the sector can be addressed.
ParlaMint-NO_2018-11-28.ana.ud257e1156	Thank you for your reply to the Council of State. We agree that this is important to achieve, but at the same time there is considerable uncertainty both internationally and nationally about the consequences of the actual transition to open publication, and the Workers' Party believes it is important to identify and discuss it as soon as possible. Then there are some quite obvious obstacles in the way that have to be passed. The councils were involved in this with costs. My next question is just about that, the extra resources that need to be made available in order for the academy and the public to transform into a practice with completely open access to research results. What is it likely that this will cost during a transitional period? Who takes the bill that arises along the way? And does the Council have a plan for whether and, if so, how to cover the additional costs that will come?
ParlaMint-NO_2018-11-28.ana.ud257e1163	Today, as I also said in my answer, we do not spend insignificant money on subscriptions. We spend a lot of money on quality assurance of research projects. A consultation on the implementation of Plan S shall now be held. There, our sector will be given the opportunity to express itself both on what they are concerned about, and on what are positive aspects of this. I feel that we have a sector that is behind the goal, and then we also have to discuss through this consultation that is to take place, the challenges that lie there. But I think what the coalition is now presenting is constructive. It adds up to a smooth transition, and I see very positively the round that the Research Council will have now during the winter.
ParlaMint-NO_2018-11-28.ana.ud257e1170	Thank you again. Professors Tore Slatta and Helge Rønning stated in Khrono on 27 November that Plan S should be investigated and that an investigation should include an assessment of how incentives for publication in Norwegian professional journals need to be integrated into Plan S in order to avoid an accidental and further anglification of teaching and dissemination at Norwegian universities. Does the Council have any views as to whether Plan S will have any impact on the position of the Norwegian language in teaching and dissemination at the institutions of the Norwegian research system?
ParlaMint-NO_2018-11-28.ana.ud257e1175	We see a development in the academy that is moving towards a larger use of English at the expense of Norwegian. There is a development that has gone over time, which is quite great in terms of both master's degrees and doctoral thesis. The Minister of Culture and I actually had a seminar not long ago on that very topic. I am more uncertain about the link between the challenge that the Academy is using English to a greater extent, and Plan S, for this is about publishing and openness around the publication and not primarily about the language in which the article is written. In these international journals, English is widely used, and it will probably be in the future as well. Plan S is about having looked at the goal, which is open access, that we should spend our money on research and quality assurance and not on financing those who are behind the big publishers.
ParlaMint-NO_2018-11-28.ana.ud257e1185	«Tuesday 29 November, students demonstrate against the Government's amendment of the Student Support Conversion Scheme. This has consequences for students who do not complete a full degree or change direction along the way in the studies, and it will be a disincentive to get more continuing education. It is uncertain what effect the change will have on student penetration. What kind of research does the Council of State have to claim that this cut in the grant of 256 million? Do you want to increase the implementation rate among the students?’»
ParlaMint-NO_2018-11-28.ana.ud257e1192	Let me first say that the change in the conversion scheme does not imply a reduction in scholarships for students who are conducting degree studies. These students will still have to convert 40 pst. of the student loan for scholarships. The change also does not affect the level of student support during their education. Everyone will be paid as much in support as today – in fact more, since the government's proposal involves an increase of NOK 2700 from the previous to the current academic year. The level of training aid has increased each year during this government. The annual support payment to students today is 11 600 kroner higher than it would be without the Solberg government, the Left and Christian People's Party's bets on the student support. So to what the representative Henriksen asks about: the research basis for claiming that the change in the conversion scheme will lead to increased implementation. The general research on student incentive schemes supports the fact that tested incentives usually produce the effects you can expect them to give. An impact study of the so-called turbos grant scheme in the 1990s showed that that scheme had a marked positive impact on student implementation in that target group. I would like to stress that the proposal on the table is not a turbos grant, it is not a requirement that the degree must be implemented in a normal time to convert the loan into a grant. I believe that the change in the conversion scheme proposed by the government gives students a clear message that it will pay to complete degrees. Conversion to scholarships is significantly higher for those who complete degrees than for those who do not. When the incentive has such a simple and clear message, I believe that the probability is high that it will eventually give an increased implementation of degrees. I would also refer to both the Productivity Commission and an expert group that investigated new funding system for the university and higher education sectors in 2015, which recommended making changes to the study funding scheme, where the point was to give students stronger incentives to complete degrees. The Government's proposal for a change to the conversion scheme is a follow-up to those recommendations. The current conversion system was introduced with a justification that is quite parallel to the one we now have to make changes to the scheme. It was the Stoltenberg I government that proposed to introduce today's conversion scheme, where 40 pst. the student loan is converted into a scholarship after passing the examination. The argument was that the scheme should stimulate the increased implementation of education. ‘Both society and individual students have an interest in conducting studies at a normal time’, says the 2001-2002 budget proposal, the last of the Stoltenberg I government, which concluded: ‘The grant goes to those who benefit from study time in a good way.’
ParlaMint-NO_2018-11-28.ana.ud257e1208	The Workers' Party is clear that we do not support the government's tightening up of student support, and believes that it could punish students who do not complete a full degree or who change their studies along the way. What we really need is a discussion of what are the reasons why some students fall from, and how we can best help them complete. When we read the state budget, it seems that the government needed money to fund other investments and found the 256 million. kr in study support. Efforts should be made to improve the quality of studies, improve student follow-up and a wide range of other measures. We think it's a little strange that the government landed on this as one of the most important steps to get more students to complete. It is tempting to ask – when they have been in contact with different research environments: what research environments have you been in contact with regarding exactly this specific change, and what has been the response to the proposal from them?
ParlaMint-NO_2018-11-28.ana.ud257e1215	I must refer to my previous reply, which I referred to both the Productivity Commission and this group of experts. But as the representative also says, there are other things that also need to be done to improve implementation. The government has also been concerned about this. That is why we have called for pedagogical merit systems by 2019 at universities and colleges. We demand pedagogical competence from those who are employed or who are going to move up. We have started to give students a mentoring order. We've had a real growth in student support in all budgets adopted by the Solberg government, and we've presented a long-term research and higher education plan with a total of 250 million. kr over four years for quality measures in higher education. This is among several measures that the government is targeting, in order to improve the implementation of the students.
ParlaMint-NO_2018-11-28.ana.ud257e1220	I was not aware that neither the Productivity Commission nor the expert group had considered the concrete proposal for a change to the conversion scheme. I record that the Council of State has not mentioned any specific research environments or disciplines that have made a clear notification of this change in study support. We see that there are many who fear the consequences of this particular change. The OECD figures — often referred to by the government — do not provide a good basis for claiming that cutting the grant will lead to less non-response among Norwegian students. And we saw, when we dealt with the vocational school report in Stortinget, that the government wrote that the number of people who fell off is not good enough information to introduce measures because it doesn't say anything about the reasons. Here, then, the conversion system is changed without going into the reasons why different students stop or change their studies. What I'm asking is, is why the government hasn't done more to figure out the reasons why students stop before introducing such a controversial measure.
ParlaMint-NO_2018-11-28.ana.ud257e1229	I believe there are two things in this matter that it is important to note. First of all, students who are studying now get paid more money while they're students than they've done before. The second is — as the representative also pointed out — the OECD report, which shows that only a little over six out of ten starters of higher education are implementing a degree. We have free education in Norway, we have one of the best student funding systems through the Loan Fund, but it is important that we get the implementation rate up. Of course, we have to take different measures. But it's like economic incentives that we introduce them because we think they work. We're doing this now because we want more people to carry out the degree they're starting, just as we've introduced economic incentives for those who choose to start teacher training, implement it and enter the teaching profession – because we think it works.
ParlaMint-NO_2018-11-28.ana.ud257e1239	‘29. In November, thousands of students are gathered to demonstrate against the government's scholarship. Since 2013, a phased 11-month study grant has costed more than 700 million. krona, but at the same time, the Right Party, the Advance Party and the Left have given the students the targeted cut; in travel tips, increased interest rates and cut the scholarship percentage, of well over 900 million. krones. If the calculation is correct, the government has saved several hundred million dollars at the expense of the students. Why does the government use the students as a balancing item to make the budget go up?’
ParlaMint-NO_2018-11-28.ana.ud257e1246	The total appropriations for grants through the Loan Fund have grown significantly during this government. The government budget proposal for 2019 is nearly 700 million. kr higher than in 2013, in which case it is corrected for price growth during the period. The real growth in scholarship costs from 2013 to 2019 is at just under 7 pst. The government has been particularly concerned about improving the conditions for students while they are actually under education. That is why, year after year, we have provided real growth in student support at a total cost of about 700 million. kr. The government’s prioritisation of real growth in the basic rate and gradual escalation to 11 months of study support have led to an annual study aid payment today of NOK 11 600 higher than it would have been without these efforts. In the current academic year, a student in higher education will receive NOK 2700 more paid than in the previous year when the government's proposal is decided upon. In implementing the final step in the escalation of 11 months of student support, the students will receive a real increase in support of a further NOK 2 750. It is true that there have been some re-priorities in the field of study funding within the growth that has been in total appropriations during the period. Introduction of interest on late payments with an annual estimated savings of 341 million. kr was proposed by the Stoltenberg II Government in the 2014 draft budget. If we keep it outside, cut and bets have gone to zero. The savings measures in the field of study finance have been targeted in particular at those who are required to repay the study loan. The student loan is not repaid until the students have completed their education. Then they're no longer students, and in a short time most will be in full employment with normal income. I don't think it's unreasonable that those who have completed their education and largely serve well are involved in financing increased support payments for those who are students here and now. As regards the proposed change in the 2019 budget conversion scheme, the point of the action is to stimulate the increased completion of higher education degrees, which will be good for individual students, but also important for society as a whole. The higher the implementation of degrees, the less grant costs the state will save on the change. During this government, the students have more to route with, and that is the opposite of being a balancing post. We have prioritised students in the educational phase rather than those who are at work and who are therefore in the reimbursement phase.
ParlaMint-NO_2018-11-28.ana.ud257e1261	I would like the Council of State to be clearer and more honest in its answer and not hide behind statistics and so far away from what I think is the reality of this matter, that the cuts to the government exceed the efforts of students. It is clear that the government does not see this either. That's probably what's behind the growing mind of the students, and the background for thousands to demonstrate tomorrow. I believe that it is not unreasonable for either the students or the opposition in Stortinget to point out that the government only sends the bill to the other end of the study period – it is the students themselves who have to pay for the bets that the government boasts. I would like to give the Council of State another opportunity to respond a little more clearly to what I think is the reality: can the Council of State answer yes or no whether it is right that the cuts in the State budget have been greater than the efforts to increase support for studies?
ParlaMint-NO_2018-11-28.ana.ud257e1268	It is possible to go through the cut for the loan box post by post. For example, there was an interest rate increase of 0.35 percentage points in the 2017 budget, with a savings of 366 million. kr. It's what I and maybe the representative Tvedt Solberg pay for because we've studied. We've been using the amazing well-being it's with free higher education, we've been using the amazing institution Loan Fund, and now that we're in full employment, we're paying a little more when we pay back the interest on that loan. The 366 million. NOK in savings on the 2017 budget, I do not remember that the Workers' Party also reversed.
ParlaMint-NO_2018-11-28.ana.ud257e1273	What I think is a little special in this matter is to notice that there is a completely different rhetoric and a completely different attitude from the government, and especially the Left in government, to students and to studies. When, for example: The introduction of 11 months of study support was celebrated, and it was important to amend a scheme that was unfair. Then it was important that everyone should have the opportunity to learn, that one should not depend on the family's economy. This budget has proposed a grant cut to balance its own budget, and it is with quite the opposite rhetoric. Then the Left and the Government are no longer concerned with fair welfare schemes and that there should be equal opportunities to study. I believe this is now action against non-response, quite the opposite of what the students and the Norwegian student organisation point out. What I'm asking is why this was important to the Council of State only then a solemn introduction of eleven months of study support, and that one has forgotten this when a user cut off the grant scheme to balance the budget.
ParlaMint-NO_2018-11-28.ana.ud257e1280	The introduction of 11 months of study support, I believe, is a very important measure to enable people to carry out their studies. It was important for the Left in opposition, it has been important for the Left in government. That is why we are now also presenting a budget in which we are increasing by another week in the escalating towards eleven months of study support. There are two things the representative has to notice. First of all, it's when you're a student, you need the money, and that's exactly what the government delivers. We're delivering a real boost to those who are students here and now. So we know that we have some implementation challenges. When only six out of ten that start on a degree, implement the degree, there's cause for concern. We have free education in Norway. I don't think it's unreasonable that we're now making some financial incentives for more students to actually carry out what they're starting at. That's what we're doing with this proposal.
ParlaMint-NO_2018-11-28.ana.ud257e1289	‘In the East Police District, the Chief of Police has transferred the posts dedicated to the field of animal crime to the investigation of other areas of crime. The size has earmarked these positions through the State budget. Does the Council of State think it is right that the police district should deprioritise what the Stortinget has earmarked?’
ParlaMint-NO_2018-11-28.ana.ud257e1296	I am concerned that the police meet targets and requirements within the framework and guidelines set by corruption and government. It is the district police officer who has to dispose of resources in the most efficient and appropriate way, as needed, in order to achieve the objectives. The police shall follow any designation given for special purposes. Police officers shall ensure that resources are allocated as necessary. It also involves responsibility for re-prioritising resources when necessary. The highest priority shall be given to the most serious criminal cases, such as sexual offences and acts of violence. I also refer you here to the Riksadvokat's Guidelines for the Police Criminal Procedures, which say that this type of case should have the highest priority. I have been informed that the East Police Commissioner has temporarily chosen to re-prioritize resources from animal police to deal with rape cases. Two district investigators have been assigned to work with rapes for up to eight weeks. The scheme is not meant to be a permanent solution. The background is too long to deal with rape cases and issues related to sexual abuse and violence in close relationships. East police districts state that the temporary re-priority of two investigators will be completed in the first half of December. I believe the chief of police has carried out the necessary repriorities. I understand that for short periods of time, there are repriorities from animal protection matters to issues relating to sexual abuse and violence in close relationships.
