ParlaMint-UA_2020-11-05-m0.u1	Please approach the rostrum for a moment.
ParlaMint-UA_2020-11-05-m0.u98	Dear colleagues, I think every member of the Supreme Council here knows that the country is in a state of extreme crisis. Now we're going to pour numbers and show budget deficits and everything else, I don't think there's any need. Each of you knows that the country is at an extreme point. At the same time, I want to remind you that I am not the first to be convened in this Parliament, and I remember exactly what these walls saw in this Parliament. And now that I've heard enough cynical speeches, I just remember all of that because I have a history of this process. I remember in the walls of this Parliament, in the last night, a number of budgets were adopted, where 134 social laws were repealed and tariffs rose dozens of times. I remember very well how the bracelet was spent three times on artificial instruments to get the previous cadence in speculations at the National Bank in five years, $14 billion in high - interest money alone. I remember how this budget was destroyed. I remember how 300 percent of the casts were in the previous cabinets, and I remember that very well. And when you cry about the coronavirus today, and you have to cry, I remember very well how over 300 hospitals have been closed for the previous cadence as a result of the reform of Uljana Suprun. Dear friends, stop being cynical. Stop by taking responsibility for everything now, because I remember well the history of these walls and what was done there. I want to tell you that this budget, this is the budget of disaster, right. But at the same time, it's not the government's budget of disaster, not the President's and not even this Parliament's -- it's a disaster of the country. And so if we have a little bit of conscience and not that much cynicism, our proposal is essentially another budget we've put in to make this budget a little bit different. I have an offer. Let us now try again in the first reading, all together, to vote by Parliament. But for the second reading, to present a budget that will give a chance to a country that will give every person a chance to adopt the same budget as when we joined together under the COVID Regulation. Because it's not Zelensky's crisis, it's every Ukrainian citizen's crisis. Either we do it now, or the next budget for the country is just going to be deadly, we can't take it as a country. So give the country another chance at your connection and a common intellectual job for the budget.
ParlaMint-UA_2020-11-05-m0.u99	Thank you, Julia Volodymyrna. Please sign up from the National Deputies. Rules up to 9 minutes. Chigoz Ahtem Zeitullajovich.
ParlaMint-UA_2020-11-05-m0.u100	Please give it to Jujanini.
ParlaMint-UA_2020-11-05-m0.u101	Eugene Nina Petrovna.
ParlaMint-UA_2020-11-05-m0.u102	Mr. Prime Minister and Minister of Finance, I request you. Nevertheless, this table, which we are looking at today, is more like a compromise in order to seem to satisfy everyone's wishes, because almost every proposal by the national MPs is a government commission, that is, you will consider every line, every proposal that has been made. In fact, we're not discussing anything specifically with you today, we're just actually making a decision that's procedural without considering your suggestions. That's the first one. It's different. Dear Minister of Finance, you know that the Tax Committee is preparing a bill amending the Tax Code, where, for example, such revenue articles, I've already counted several billion, will disappear from your budget statement altogether. What will you do? This applies, for example, to the cost of special use of forest resources – 700 billion dollars for 2021. billions. It's an article on revenue, like the collection of jewelry and household products from precious metals for staining -- it's 300 billion dollars. Tell me, please, what are you going to do with the fact that we have the income section right now has nothing to do with what you're actually supposed to be planning? Why are you now in the budget that we're looking at in the draft budget, the value added tax on goods produced in Ukraine is increased by 55.1 billion compared to the secessionated budget, and when we talk about the 2020 budget, by 33.7 billion. Where are you going to get this money? You're saying that we're not in the best position with the economy right now, we're going to have a drop of up to 7 percent. And without any basis, you're planning to increase the economy by 4.6 or 4.7 percent next year. So most of the income articles aren't provided by the real state of the economy, and that's the biggest threat. Because now that we're talking about increasing spending, it's the right thing to do, but we need to understand what we're going to do. I'm not talking about the unreality of the budget deficit and the ability to borrow both internally and externally. Do we realize that even this year we still need to borrow how many to 200 billion? What real tools do we have? None. So I would ask for a second reading, let it be worse than this draft budget, but it has to be real. We have to live by a document that you can actually implement, and we as Ukrainian citizens need to know.
ParlaMint-UA_2020-11-05-m0.u103	Thank you. Eutusek Sergey Mikolaiovich. Ivanovich Krulko.
ParlaMint-UA_2020-11-05-m0.u104	Ivan Krulko, "The Fatherland" faction. Dear fellow national MPs, distinguished Ukrainians who now hear us and watch us. Parliament is now considering a document called the Supreme Council's Resolution on the 2021 budget. In fact, Parliament gives its document to the Cabinet of Ministers that the Cabinet of Ministers, who is accountable and accountable to the Supreme Council, should make a budget preparation for the second reading. I would like to thank my colleagues from the Committee on Budgets for, in fact, the conclusions that the Supreme Council is voting today, we are giving the Cabinet of Ministers a very specific mandate on the realisation of the income part of the budget. Unwarranted borrowings. Regarding the direction that needs to be changed in the country today. First of all, it's social policy, it's pension insurance, it's salary payments to budgeters, it's all the things people expect from us today. And we expect the government to fix all these things before the second reading. I agree with the speakers who said today that we don't have to borrow that much from abroad, and we, as Fatherland, agree with that completely. The cost of implementing the budget is within the country. You have to reduce smuggling, you have to reduce these schemes, the fictitious tax schemes to the added value. Let me give you an example. During the work of the interim commission of inquiry, which was created in the Supreme Council for the initiatives of Yulia Timoshenko, we did a lot of things, but one thing we did when we changed the base of the tax box at the CMCOR base was a mistake. And now the budget was given in 2020 plus 29 billion dollars in four months. That's what we did with you. And here is Finance Minister Sergey Marchenko, who will confirm that the change in this error has led to the revenue of the budget. So once again, not in America, not in Europe, but in Ukraine, but with you. We have to start a real economy, support infrastructure projects in the country, and we have to stop the schemes, the corruption schemes that are eating the state today, and then the budget can be implemented. And social standards are going to be raised from where we can make real pensions that have to be equal to the minimum of living. And so those tasks given by the Budget Committee and the Parliament of the Government should be implemented for the second reading. And finally, for the first time in this session hall in the last five years, we will be able to adopt a truly balanced budget if the Cabinet of Ministers does what was said today in the Supreme Council of Ukraine. Thank you.
ParlaMint-UA_2020-11-05-m0.u105	Thank you. Gnatenko Valeriy Sergiyovich.
ParlaMint-UA_2020-11-05-m0.u106	Dear Chairman, the honourable ones are present! Today, the Supreme Council is considering a major financial document that awaits the entire nation, especially the socially unprotected ranks that are expected to improve their lives. What do we see? We see, not the State's development budget, but the death budget that we are all offered to accept today. What is the saying of "promising doesn't mean getting married"? That's why GDP is projected to grow by 4.6 percent in the budget. And no one cares that this year this rate has been declining by 6 to 8 percent since last year. What happens next year? I want to ask the Ministry of Finance what this budget project is going to offer us, what's this amount coming from next year? Where are they going to get a country that's not actually developing, that's where all the businesses actually started, that tax base that's going to grow next year? We move on and we see worse that in the 21st year, the least socially protected Ukrainians get nothing. Thus, the new social welfare budget provides 3.1 billion dollars. Sounds good. What if we divide into 169 thousand displaced persons who are now in the state, what do we see? We see only 1,528 dollars per person. And tell me, please, how can you survive on this amount to a displaced person who has lost his residence, his job, and much more? No less cynical situation with the social protection of the Chernobyl population. What do we see next year? There are 2.6 billion dollars in the budget, a total of 120 dollars a month. That's a lot of support from the state. Please answer all of us. For people with disabilities, the government has allocated as much as 2.2 billion dollars. This means that people with disabilities will receive a meager 916 dollars per person. How you can survive on such expenses, please answer all of us. What about the minimum pension? Since January 1, it has been increased by up to 57 bracelets and a living minimum by 73 bracelets. In addition, the 21st-year budget reduces the funding of subsidies, so both wages and pensions are not actually raised by the authorities. Please tell me, who needs this budget? In general, our party is proposing more than 200 amendments to the budget and is also proposing to adopt the draft budget that our party is proposing today. We've proposed and developed a 2.5 percent increase in GDP. This growth in GDP will provide an additional budget of at least 128 billion dollars. Simply put, it's an increase in living for all population groups, it's an increase of 30 billion dollars of income in the budget, and it's also compensation and it's an extra one.
ParlaMint-UA_2020-11-05-m0.u107	Thank you. Dear colleagues, we are moving to a vote. I hope that everyone understands the responsibility that lies both on us today and on the State as a whole, much has been said today by the representatives of various political factions and groups. This isn't really about politics. Dear colleagues, it's not a matter of politics, it's a matter of state welfare. I'd like to address the honourable officials. Mr. Secretary, first of all, Mr. Prime Minister, you're here. Work on the proposals that Parliament will make today to the government of the State, taking the needs of the people into account as much as possible. Because, in fact, as long as the national deputies spend with their constituents, no officials, well, objectively, do. I understand the local authorities. [[Applause]] The local authorities are also constantly in communication, but when we talk about central authority, it is the national MPs. So the big request to take this into account is going to depend on the budget vote in the second reading. Now let's get to the vote. Please be prepared. In accordance with article 157 of the Supreme Council's Rules, I am voting on the draft Budget Committee (registration number 4000-P) on conclusions and proposals for the draft Ukrainian State Budget Act 2021 for adoption as a basis. Ready to vote? Everybody ready? Please support and vote. [[13:34:46]] For 275 Decision taken. In accordance with article 157 of the Supreme Council of Ukraine's Rules of Procedure, I am voting on the draft Decree (registration number 4,000-P) on conclusions and proposals for the draft Ukrainian State Budget Act 2021 for adoption as a whole. Please support and vote. [[13:35:20]] For 275 Decision taken. Show me the factions, please. "People's Servant" – 209, "The Opposition Platform for Life" – 0, "European Solidarity" – 0, "Fatherhood" – 19, "For the Future" – 16, "Voice" – 0, "Trust" – 20 non-fractional – 11. Once again, thank you all for the responsible state position that has taken part. Let's move on to the next question of order of the day. The next issue of the agenda is the draft Act amending certain Ukrainian legislation on the organization of individual detection issues (registration number 3450). It is suggested that this issue be considered in a simplified manner. Please support and vote. [[13:36:22]] For 226 Decision taken. The vice president of the Committee on Anticorruption Policy, Janchenko Galina Igorovna, is invited to attend.
ParlaMint-UA_2020-11-05-m0.u108	Good afternoon, dear fellows! Your opinion is proposed in Bill 3450 on the organization of individual issues for the protection of the rights of fugitives. The purpose of this bill is to increase the confidentiality of corruption detection agents. This bill was developed in cooperation with NAZK on the basis of an analysis of the legislation that you and I adopted a year ago. The analysis of legislation has shown that some changes are needed, so in this draft law, we propose to align two norms. The first rule applies to the following change. Today, current legislation obliges all state authorities to create secure anonymous channels of communication to report corruption. It's long, it's expensive and it's ineffective. According to NAZC, the number of such subjects to create portals is more than a thousand. Imagine, each of them has to create a separate portal, get the conclusions of the DZZI, KSZI, and so on, it's a crazy budget. So the bill proposes to create a single portal for corruption detection. There will be no need for government authorities to create separate anonymous message channels, as a rule, in each village separately. In addition, there is no draft text, but such a single channel can be created without the cost of the state budget. To date, NAZC has already held talks with international partners who are ready to provide technical assistance for the creation of such a portal, but it takes an appropriate vote of the Supreme Council to show that we are also interested in such a norm. As a result, we solve two problems: first, we provide complete anonymity to the discoverers, secondly, economically the budget. Another proposal from the NAZC bill is to have the responsibility of protecting the discoverers on a system of free legal aid as well as lawyers. So NAZK wants to take this function off them. In truth, as of today, NAZC has neither the resources nor the ability to perform this function, there are only four people working in the relevant department who cannot cover the needs of the whole of Ukraine. But this second norm, of course, is for discussion, and we can work on it in the process of preparing the bill for second reading. Thank you for your attention. And on behalf of the committee, I can only add that the anti-corruption committee recommended that the bill be adopted as a basis. The committee also decided that the draft law was in line with the requirements of anti-corruption legislation. Thank you for your attention, please support this bill.
ParlaMint-UA_2020-11-05-m0.u109	Thank you. Dear colleagues, do you need a discussion? Please sign up: two for, two for the factions. Eutusek Sergey Mikolaiovich.
ParlaMint-UA_2020-11-05-m0.u110	Please pass the word to Sergei Vlasenko.
ParlaMint-UA_2020-11-05-m0.u111	Vlasenko Sergei Volodymyrovich.
ParlaMint-UA_2020-11-05-m0.u112	Thank you, Mr. Head. It's been a year since this law was passed. Similarly, I stood on the rostrum of the Supreme Council and said that there were a great number of flaws and problems in this law. At that time, no one listened to me most of the time. Then they said, "No, no, no, faster, let's go, go, go, go, it's a very good law, it's not about whistleblowers, it's about whistleblowers," and so on. A year later, we came to the point that there are real problems in the law. Thank you for this conclusion to the professional anti-corruption committee that it took a year to guess that there are problems in the law. But these are problems that we are now asked to solve, and these problems are completely technical. If we're talking about the Offenders Act, the key problem is to define who is the Offender in accordance with this law. According to this law, any person who has heard something has actually learned something. While in the whole world, the European Union has the discoverer of the inside of the system and thus has learned about corruption — once, and has accurate information about such corruption — two. As long as we don't change the basics of the Offenders Act, unfortunately, no technical changes will solve anything. I understand that the Constitutional Court is in the way, the Martians are in the way, and someone else is in the way. Let's sit down and work on this law, taking into account the normal European approach, by deciding and correcting errors in basic things, not just in technical things that, a year later, have been brought to technical problems by an anti-corruption committee. Once again, if this is not done, unfortunately, it will either not work, or it will work distorted. Thank you.
ParlaMint-UA_2020-11-05-m0.u113	Fedina Sofia Romanovna. Sumar Victoria Petrovna.
ParlaMint-UA_2020-11-05-m0.u114	The absolute right now was Sergey Vlasenko, who reminded us a year ago that we all, the opposition factions, spoke in one voice about the fact that there were a lot of flaws in the law, and that in fact he would not work. At the time, the authorities said that it was simply an apologetic fight against corruption. Question in a year: Where are the discoverers, who knows them? There's another interesting rule about 10 percent of the bribe that was going to be received, that's going to be the one that was going to get it. Do you know a person like that at least one who's discovered something and got 10 percent? Well, that's actually what people are. Among yours, among our ranks is Geo Leros, who published very interesting films, many different ones, where there was specific corruption, where there were figures, 40 million bracelets and so forth. Well, no one's ever written it in a corruption finder. He was violated in a number of criminal cases. And those who have talked about 40 million dollars continue to sit in this room, protected by the integrity of the Attorney General of Ukraine. So, colleagues, you know, if we're constantly imitating the fight against corruption and talking about it so much, it's not going to change the essence of imitation. If you want to fight corruption, you have to do it, not correct unworkable laws. There is every possibility. We need to have just political will that is not in Ukraine’s leadership today.
ParlaMint-UA_2020-11-05-m0.u115	Thank you. Buzansky Maksim Arkadyovich.
ParlaMint-UA_2020-11-05-m0.u116	Dear colleagues, I agree with the previous speaker. Who are the corrupters? 52 percent of those polled believe that the word corruptioner is associated with the person Peter Alexiyovich Dustyenko, and he is a corrupter, they think so. But where are these exhibitors? Where is the position of the faction "European Solidarity", which ignores what people say. Who discovered it? Nobody. Let's move on. There's a court verdict that's been declared corrupt by the Director of the National Anti-Corruption Agency of Mr. Sitnik. Where are the discoverers? There's a corrupter. There is a finding by the Constitutional Court that it has been appointed unconstitutional. Where are the discoverers? Where are those who say corruption cannot lead the National Anti-Corruption Bureau? Where are they all? Protect whom? I promise you protection and support. Where are the fire extinguishers? They're gone. It's all a fairy tale. It's a fairy tale. We're seeing how the so-called Grantoids are trying to build a fourth branch of power that will blackmail three existing ones that will parasiate them, that will receive grants to fight corruption. Yes, I support this bill. But we all know the names of the corrupters. First of all, it's Sitnik. And people think it's Dusty. Thank you.
ParlaMint-UA_2020-11-05-m0.u117	The faction mentioned, Heratschenko of the EC. Irina Volodymyrna Heratchenko.
ParlaMint-UA_2020-11-05-m0.u118	Dear colleagues, the Ukrainian people have clearly seen that an MP has been detained from the "ministers of the people" who took bribes. And now this MP is sitting among the "ministers of the people," and he's even taken off his bracelet, and we think that compensation for that kind of moral ivy stress is going to be given to him during the time of the fight against the corruption of Greensky's name. In fact, our faction is making an official request to the National Anti-Corruption Agency right now to provide official information on the cost of the Greens survey, which involved 30 million or 100 million dollars of Ukrainian tax payers, where the first issue was the fight against corruption. And in fact, all the Ukrainians said they were for fighting corruption. But we can see that on the second day after that poll, as Bogdan says, and this is a friend of Zelenski's, with the participation of the Green Constitutional Court, the decision was taken to cancel even this fight against corruption that was before. I mean, you.
ParlaMint-UA_2020-11-05-m0.u119	Jaroslav Romanovich Jurchishin.
ParlaMint-UA_2020-11-05-m0.u120	Respectful colleagues, corrupters of corruption, should definitely be protected. Yesterday was the sad anniversary of the death of Catherine Gandzük. Do you know why she got beat up? It exposed the logging schemes of local feuds. And it's not really about politics, it's about protecting people. It's about people being able to go to NAZK on a secure system, especially if they're there, they're working in a company where they're built. In fact, we protect people, we strengthen them. Should we criticize hasty decision - making? Absolutely, yes. Is it worth building policies around the fight against corruption? Right, no. We need to be able to work with the structures. We now have the order of the day to return the mandate of the NAZC to work. And stopping this process is a crime. Let us not be his accomplices. But now we have to vote in favour of this bill, give additional powers of protection, and create a system that will guarantee security for the next Catherine Gandzük. And the finders need to be protected, not burning their cars, as it is now, for your office. Thank you.
ParlaMint-UA_2020-11-05-m0.u121	Thank you. Now it's Suffritch, and we're voting. Please invite the national deputies to the hall in a minute. Nestor Ivanovich Šufrich.
ParlaMint-UA_2020-11-05-m0.u122	Thank you, Your Honor Chairman. Dear colleagues, don't be offended, or we'll be guilty again. We warned you a year ago that this law would not work? That's all the result of your turbot or the biturb thing you had there. We have a key question about the discoverers. Why when a person writes, a Ukrainian citizen is a private citizen, of the people you serve, writes a statement and realizes that he has a criminal responsibility if he writes a lie. Why are exposeers not responsible if they write something wrong or pronounce a person? That's the first question. The second question. Carthage must be destroyed. For a year now, I've been waiting for Carthage Corruption to be destroyed and Dusty to answer. And frankly, I want to be honest with you, we won't vote for irresponsible whistleblowers. Thank you.
ParlaMint-UA_2020-11-05-m0.u123	Let's go to the vote. Please take your seats and prepare for the vote. Dear colleagues, prepare for the vote, invite the national deputies to the hall. I am voting on the proposal for adoption on the basis of a proposal by the Committee to take into account the proposed clarifications in the preparation for second reading, in accordance with article 116 of the Supreme Council of Ukraine Rules, the draft Act amending certain Ukrainian legislation on the organization of individual protection issues (registration number 3450). Ready to vote? Everybody ready? Please support and vote. [[13:51:53]] For 254 Decision taken. The next issue of the agenda is the bill amending articles 18-7 of the Ukrainian Law on State Aid to Families with Children to increase aid for children with severe diseases (registration number 2024). It is suggested that this issue be considered in a simplified manner. Please support and vote. [[13:52:34]] For 228 Decision taken. The National Deputy of Ukraine, Zimbaluk Mikhailovich, is invited to attend.
ParlaMint-UA_2020-11-05-m0.u124	Mikhailo Cimbaluk, Fatherland. Honorable Chairman, Honorable Presidium, Colleagues! Today we have already voted on a bill to support children whose parents died in Ukraine, about their free diet in preschools and schools. The bill is a proposal to support children who are sick. Sad statistics: More than 70,000 children in Ukraine today suffer from severe diseases. To provide social protection for such children, monthly subsistence allowance for those who have lost their jobs is now $1,712. Taking into account that the child’s subsistence minimum is on the average 49 percent to the projected actual minimum of living, such State aid does not allow the child to be provided with at least drugs and adequate food. Our bill, together with Julia Timoshenko and other national deputies, proposes to increase the amount of government assistance per month for severely ill children from one subsistence minimum for those who have lost their jobs to two subsistence minimums set for children of appropriate age. This will work for children with severe nervous system impressions, severe birth defects, cancers, oncogenic diseases, cerebral polio, severe mental disorders, and type 1 diabetes. We propose and ask all colleagues to support this bill in the first reading. Thank you for your attention.
ParlaMint-UA_2020-11-05-m0.u125	Thank you. A member of the Committee on Humanities and Information Policy, Boblah Andry Rostislavovich, is invited to attend.
ParlaMint-UA_2020-11-05-m0.u126	Honorary Presidium, Honorary Colleagues, the Committee on Humanities and Information Policy reviewed Bill 2024 at its meeting on October 13, this year. As noted earlier, the bill deals with the state support of families with children with severe perinatal disorders of the nervous system, severe birth defects, rare orphan diseases, cancers, cancers, cancers, and other diseases. Today, parents of such children receive monthly assistance to those who have lost their jobs at a minimum of living. According to the Ministry of Social Policy, 691 people today receive such assistance. The bill proposes to increase the amount of such assistance to two living minimums set for children of appropriate age. The Committee certainly supports the need to improve the level of social protection for families with children with severe disabilities. At the same time, I agree with the conclusions of the Chief Scientific and Expert Office, the Ministry of Finance and the Committee on Budget Issues on the need for its technical and legal development, particularly in the area of implementation. Therefore, the committee decided to recommend to the Supreme Council a bill of 2024 to be adopted as a basis. Please support the committee's decision. Thank you.
ParlaMint-UA_2020-11-05-m0.u127	Thank you. Needed Discussion? Can we vote? [[B in m in s a l in]] Well, everybody's voting. Okay. Vote. Thank you. I'm betting on a motion for adoption on the basis of the draft Law on Amendments to Article 18 prime. The Ukrainian Law on State Aid to Families with Children on Increasing Aid for Children with Serious Diseases (Registration No. 2024). Ready to vote? Please be supportive. Wait. Ready to vote? Please support and vote. [[13:57:21]] For 287 Decision taken. Thank you. The next issue is the draft Act amending certain Ukrainian legislation implementing the Council of Europe Convention on the Protection of Children from Sexual Exploitation and Sexual Violence (registration No. 3055). It is suggested that this issue be considered in a simplified manner. Please support and vote. [[13:58:03]] For 226 Decision taken. The chairman of the Committee on the Law Protection of the Monastery, Denis Anatoliyovich, is invited to attend. And from the committee, and from the authors? Four minutes, please.
ParlaMint-UA_2020-11-05-m0.u128	Good afternoon, dear fellows! Today, I'm presenting more than just a bill prepared by the authors of our committee, and today we need to discuss the problem for a much more serious reason: it's to protect children from sexual exploitation. Today, according to international organizations, Ukraine joins the world’s top-3 child pornography suppliers. Top-3! I mean, you and I understand that every fact that you put that photo, that video on the Internet, is the fact that you rape a child. In recent decades new measures and ways have been developed to produce and distribute child pornography, as well as to involve children in such activities. Do you know how many criminals it takes to get photos of intimate content from a child on the Internet? Again, according to experts, this is only 18 minutes of social networking. It's also a question about your children, about the children of every Ukrainian citizen. And again, unfortunately, Ukraine also has the head of three countries in the world that spread child pornography. So this bill that we're going to be discussing with you aims to combat this phenomenon. Not only with children’s pornography producers in Ukraine but also with those who use it. And that's one of the big problems, because without having to deal with it, with someone who's using child pornography, with someone who's accessing child pornography websites, and this is a clearly defined list of sites, we're not going to be able to deal effectively with this phenomenon. Today, also according to international organizations, 50 percent of child victims of Internet sexual violence are trying to commit suicide. When such crimes are investigated in criminal proceedings, they, children, face a fact called double victimization. What does that mean? First, they are interrogated by an investigator. examines how this happened, what details, and then repeats it repeatedly in court. And the child is worried about it. With the speed of our investigation, this is not a month, this child survives in a month, two, a year later, a few years later, again becomes a victim of the same cases. It's also a problem to remove these photos that get into the network. Because a child, you know, if that happened and the material about it got on the Internet, then it's impossible to figure out and remove it. Therefore, the bill provides for a number of amendments to the Criminal and Procedural Code. In particular, there is a responsibility for sexual activity with a person who has not reached the age of 16. This is the new article 155 of the Criminal Code. A new edition, sorry, of this article. Next. Harassment of a child for sexual purposes. This is the new article 156 prime 1. Aware of gaining access to, acquiring, possessing, producing or distributing child pornography. This is article 301-1.
ParlaMint-UA_2020-11-05-m0.u129	Thank you, Denise Anatolyovich. You didn't even make it in four minutes, that's how important this law is. Dear colleagues, is there a need to discuss this bill? Is there a need? It doesn't, does it? Dear colleagues, please prepare for the vote.
ParlaMint-UA_2020-11-05-m0.u130	Based on the base. I'm betting on the voting proposal for acceptance as a basis. Please invite people's deputies. Don't split up, see how the job's done. I am voting on the proposal to adopt the new draft Act amending certain Ukrainian legislative acts implementing the Council of Europe Convention on the Protection of Children from Sexual Exploitation and Sexual Violence (registration No. 3055). Are you ready to vote? Gregory Mikolaiovich will now take his place of honor. Well, that's it, Mama, we can vote. Ready to vote? Please support and vote. [[14:04:06]] For-286 Decision taken. Thank you, Your Honor. Dear colleagues, please don't break up. The next question is the draft Act amending the Law on the judiciary and status of judges and certain laws of Ukraine concerning the activities of the Supreme Court and judicial authorities (registration number 3711, 3711-1, 3711-2). It is suggested that this issue be considered in a simplified manner. But it's important that the committee's position is now. Please don't break up. For the summary procedure, please support and vote. [[14:04:58]] For 209 Decision taken. It is the Christmas of Valerius Vasilovich. Wait, I'll give the committee right now, he'll explain why. Don't split up.
ParlaMint-UA_2020-11-05-m0.u131	Dear Mr. Head! Dear colleagues! The Legal Policy Committee draft Act amending the Law on the Judiciary and Status of Judges and certain laws of Ukraine concerning the activities of the Supreme Court and judicial authorities (registration number 3711), submitted by the President and designated as urgent and alternative.
ParlaMint-UA_2020-11-05-m0.u132	Valeriy Vasilovich, I'm sorry I kicked your ass, let's do it essentially. What was proposed by the committee, we understand, but another proposal. Do I understand you correctly?
ParlaMint-UA_2020-11-05-m0.u133	Dear colleagues, quite right, there is another suggestion. Taking into account the conclusion of the Venice Commission, which came quite recently with regard to the bill submitted by the President of Ukraine, and yesterday on the committee we were re-examined these issues, there is a proposal to send these bills for re-reading.
ParlaMint-UA_2020-11-05-m0.u134	Is there no objection? [[B in m in s a l in]] Discussion? All right. Then let's do it this way: per minute. One who insists on speaking, one minute at a time, and one vote at a time. Okay? Write it down: two in, two in, two in. Please have a seat, Valery Vasilovich. Juršin Jaroslav Romanović.
ParlaMint-UA_2020-11-05-m0.u135	We welcome a decision like this, let's say, turbulence, but it's important for the profile committee to take it and work on the bill. In fact, I don't know who put the judicial reform in the hands of the President. Let me remind you that the bill in the first version suggested that the Supreme Council of Justice be extended. It is the Supreme Council of Justice that is mentioned in the film of the Wolf. It was that High Council of Justice that blocked more than one judicial reform and allowed the judicial branch of power to be virtually nullified by the promotion of corruption and the failure of normal judges to work adequately. So the decision not to simulate work, but to really work and implement the recommendations of the Venice Commission is the right decision. Therefore, we welcome the decision to send for further work. Take into account all the recommendations of the Venice Commission, improve the work of the High Qualification Commission of Judges. Fill it with good members as a result of the competitive process and get quality judicial reform, not imitation. So actually, you have to go to work. The Voice faction will support it, because that was our offer. Thank you.
ParlaMint-UA_2020-11-05-m0.u136	Irina Volodymyrna's character.
ParlaMint-UA_2020-11-05-m0.u137	Dear Ukrainians, today is equal to the anniversary of the entry into force of the sad law of Zelensky, according to Zelensky's legal education and law degree regarding the so-called judicial reform. And then the opposition, particularly "European Solidarity," and among our deputies most of them have really legal education, shouted out that these Greens novels, they're not just destroying the Supreme Court of Ukraine, where today more than 40,000 claims of Ukrainians are pending, as the last instance, the right to justice. But in a similar way, the Green bill essentially prevents the possibility of re-election and appointment of new non-corruption judges. And, of course, it was obvious that these novices of his would receive the utter destructive criticism of the Venice Commission. But in "durb" people who also say that they have, as if they had legal education, adopted this law then. The goal was to put 100 percent of the prosecutor on the job, to put the D.B.I. on the job, and to make the Supreme Court, and the entire judicial system, entirely by hand. Obviously, the world did not accept it. But all of this, my friends, takes place in the background of the same effort to make the Constitutional Court pockety. So it's really not the bills that need to be worked out, but in general, it's Greensky's time to answer for what he's doing with reform. And I want to say that this is what his team is already talking about in the Ukrainian Truth interview, Bogdan testified that Zelensky was fully aware of what was going on with the Constitutional Court's decisions. This is his decision, his attempt to put himself in the service of the Constitutional Court, the Supreme Court.
ParlaMint-UA_2020-11-05-m0.u138	Black Dmitry Sergiyovich. Demchenko Sergey Alexiyovich.
ParlaMint-UA_2020-11-05-m0.u139	Thank you. Friends, enough political manipulation of the judicial system. That's it, that's it! True, it's been over a year. Today we're told to pass the law, tomorrow we're not to adopt. We had this law introduced in July of this year as an urgent one. How long has it been! After the introduction of this law as urgent, what happened? Without telling anyone, the chairman of the committee sent him to the Venice Commission, and he did not send two alternative bills to the Venice Commission. Why is that a question? Our committee sat down yesterday. We have decided to put it to a vote, there is an appropriate decision by the committee. Why do we today learn of another decision by the committee that it seems that I and the other committee members have decided to send him back for a second reading? Guys, enough politics. We need to put a dot in the judicial system, let them breathe. We cannot carry out a new reform with each new President. President Zelenski said that my cadence should be the point of judicial reform so that no new President would be able to look at this issue over and over again. I am firmly opposed to manipulating the committee's decisions, which is that they have not been taken. I ask the regulatory committee to note that the committee head has been violated twice, in fact twice, the Committee Act. The first time was when the powers were exceeded. The second time is when he's here. There was a decision that was allegedly made by the committee, but that's not true, it's not true. I'm a member of the committee. As long as I am a member of the committee, I will not be allowed to violate the law, even if it is against the law of a member of our faction. So, colleagues, I insist that this issue be considered, voted on. And if the Council does not support this bill, it has the right to return it to the first reading again. Thank you, colleagues.
ParlaMint-UA_2020-11-05-m0.u140	Coltunovich Alexander Sergiyovich.
ParlaMint-UA_2020-11-05-m0.u141	Please pass the word to Germany, Vasil Ivanovich, Germany.
ParlaMint-UA_2020-11-05-m0.u142	Anatoly Semenovich? I can't hear you. German Vasil Ivanovich? Germano Vasil Ivanovich.
ParlaMint-UA_2020-11-05-m0.u143	Germano Vasil Ivanovich, "The Opposition Platform for Life". Dear colleagues, what we are doing today is all planned actions to discredit the judiciary. That's the first one. I mean, what's said here is how this bill was considered. Secondly, this is already in direct connection with the usurpation of power that our head of state has tried to do with the liquidation and the "cleaning" of Ukraine's constitutional jurisdiction and the intimidation of people. And, unfortunately, it was yesterday because of our representatives, who in the wrong way, in an unconstitutional way, resorted to intimidation by the judges of the Constitutional Court. This has good qualities – that's the first. It's 3711. See when he showed up. When the procedures for the establishment of the judicial system and the filling of the judicial corps were disrupted. They broke the V.S.C. It's July 19th, November 19th. And the last. When we talk about this bill, we should say the Supreme Council. I'll say, I was probably on a committee meeting, but what I heard for the first time. Maybe it's online. It's a lack of work online. I would ask very, very much, my fellow Members, to abide by the Rules, and this bill, as part of the introduction of foreign control over the judiciary, is a disgraceful phenomenon and undermines the sovereignty of the legal system.
ParlaMint-UA_2020-11-05-m0.u144	Vlasenko Sergei Volodymyrovich.
