ParlaMint-NO_2021-11-17.ana.ud541e28	The representative of Mr Wetrhus Thorsvik will put forward a proposal for a representative.
ParlaMint-NO_2021-11-17.ana.ud541e1177	‘The Government proposes, in the additional protocol to the State budget, to reduce the discharge to the City of the Ship’s Tunnel, the largest infrastructure measure for maritime transport ever, by 365 million. kroner in 2022. Can the Council of State assure that the project will nevertheless be carried out in line with the timetable, construction start in 2023 and completion in 2026, and what will be the result for the project that the responsibility will now be transferred to a department without having to deal with the implementation of large infrastructure projects?’.»
ParlaMint-NO_2021-11-17.ana.ud541e1184	As the representative Alfred Jens Bjørlo refers to, the government in the supplementary number of the budget proposal has proposed to reduce the allocation to the City Ship Tunnel by 365 million. NOK 2022. I would like to stress that this does not affect the government's goal of implementing the project as quickly as possible. However, it has been shown that some time is needed to carry out the acquisition process. The contract conclusion is therefore postponed to 2023. It is important to put in place the necessary basic material. This reduces the risk of overruns and delays at a later stage. When the conclusion of the contract is delayed by an estimated six months, the construction start will naturally be delayed accordingly. It is premature to conclude how this will affect the time of completion, but costs, quality and time are important factors in the choice of contractor. With regard to the representative's question about the consequences of moving the project to a new department, I would like to state that the delay we are now talking about is independent of this move, and to the extent of the government change. As Minister for Fisheries and the Sea, I have been given responsibility for the Coastal Plant, such as: manage key infrastructure and services for safe and secure coastal shipping. The coastal works shall also be responsible for the construction of the Stad tunnel. I feel confident that the department has the necessary prerequisites to carry out this task in a good way. Furthermore, the department responsible for managing the department of the Coastal Works, including the follow-up to the work of the Coastal Works with the City Tunnel, is also transferred to my area of responsibility. The competence and capacity at ministerial level to follow-up the Coastal Plant are thus continued in the Ministry of Economic Affairs and Fisheries. Then I will appropriately return to Stortinget when there is new and up-to-date information about the project City Ship Tunnel.
ParlaMint-NO_2021-11-17.ana.ud541e1203	I thank the Council of State for the answer, and I must be allowed to congratulate with responsibility for this historic project. In 2024 it is the 150th anniversary of the idea of the City Ship Tunnel, so at least we can celebrate it on the road towards construction start. But I find that there is currently no certainty about the time of completion. The Coastal Agency’s own websites say that one aims at completion in 2026. In a slightly cryptic press release in connection with the additional number, it says that the delay is not “corresponding to [...] delay in completion”, and then we have just now also received a written response from the government, which states correctly that what follows from the delay cannot be excluded that the project will only be completed in 2027. So I can see that it's uncertain about the completion. Then I would like to ask: can the Council of State assure that the necessary promises will come into the state budget in 2023, to ensure that we get going too fully by 2023 and get as fast progress as necessary?
ParlaMint-NO_2021-11-17.ana.ud541e1212	It has been necessary to spend some time developing the basis for competition in order to reduce the risk of potential delays and overruns in the project. It is also desirable to use bulk masses from the tunnel project for the establishment of nutrient areas in the vicinity. The municipalities that want to do this need some time to carry out all the necessary planning processes. Then I must point out that the City Ship Tunnel was adopted in the National Transport Plan for the first time in 2013, under the previous red-green government, with the planned start in 2018. The delay from 2018 I think it will be difficult for me to stand in the Stortinget and take responsibility for it, as it happened under a government that Bjørlo's party either supported or put in. The delay, which is now half a year, became known to us shortly after we joined.
ParlaMint-NO_2021-11-17.ana.ud541e1221	It is true that a small start-up period was introduced into the second part of the NTP completely back in 2013, but I have to point out that it is after the job has been done to get the project from the second period to the first period, and then prioritized and completed for construction start. That job was done during the majority that was in the previous ageing period. I thank you anyway for the answer, and I think we won't be here anymore. I understand that it is now a goal to get started in 2023, that the tunnel will be completed either in 2026 or in 2027, and that the Council of State now provides the guarantees that can be given at that time. But I want to ask a short follow-up question. Now that the responsibility has been transferred, I'm assuming there's a point with that. Some of the points must be to see the location of the ship's tunnel in a larger context, by developing the effects of the tunnel and getting the greatest possible ringing effects to get more goods from road to sea, to connect the West and to take out all the major effects of this project. Can the Council of State say a little more about his ambitions now when he has been given responsibility for this project?
ParlaMint-NO_2021-11-17.ana.ud541e1232	It may not be the case that the reasons for the transfer of this task to the Minister for Fisheries and the Sea are specifically linked to the Urban Tunnel project. It's about this government wanting an overall approach to maritime policy, and we think we can get more, we think we can get synergies out, and having a comprehensive maritime policy under one responsible state council is a wise approach. Then the project City Tunnel will have a major impact on traffic in this area, and it will – as I see it – also open many new opportunities. Then we'll get back to the completion. I have said it several times, and I would like to repeat it: that delay of six months became known to me right after I joined. We're going to do what we can to get this project completed as soon as possible, and with the quality of the implementation that we can be familiar with.
ParlaMint-NO_2021-11-17.ana.ud541e1239	We go back to question 8.
ParlaMint-NO_2021-11-17.ana.ud541e1247	«In the Appendix to the State Budget, a full chapter is proposed. 164 item 73 Vulnerable groups, discontinued, and the funds of SEK 299.4 million. krones moved to cap. 170 entry 70 Civil society, used ‘in dialogue with civil society’. So the further distribution of funds is not clear. What was the reason for this redisposal?’
ParlaMint-NO_2021-11-17.ana.ud541e1254	The government has great ambitions in development policy. We must fight poverty and improve societies. We're going to continue much of the best that previous governments have done before us – and in addition, trigger new energy where the results can be greatest. Progress in areas of investment such as climate adaptation, food security and renewable energy could lead to progress in other areas as well. That's why we've just suggested spending 500 million. kr more on food security and climate-smart agriculture and another half a billion kronor to ensure the poorest access to renewable energy. Because it is still those who are concerned with development policy – the poorest, the most vulnerable. There are still victims of child labour and forced marriages, persons with disabilities and all the other vulnerable vulnerable groups. The question is how best to take the measures that make it possible to get them out of poverty. I believe that we are achieving them best through a forward-looking development policy that contributes to positive social change and that strengthens the capacity of our partners to grow by our own strength, through a policy in which we work to change structures to bring about lasting change, a policy in which we promote democracy, women's participation, economic equality, decent working life and good health, because they are natural rights and create opportunities for development. It is in order to ensure such an overall approach rather than individual actions to individual groups in individual countries that the budget line for vulnerable groups is proposed to be terminated. This also frees funds for the main priorities of the government. All agreements and commitments entered into relating to the budget line being terminated shall be complied with. We shall continue to work towards modern slavery. Norway will continue to host the Global Disability Summit in February – and keep inclusion high on the agenda. These measures are not and do not fall under which budget line they are technically linked. Now we are entering into a close dialogue with non-governmental organisations that are eyes and ears and key promoters of assistance, on how our funds can best lead to possible good ringing effects and results, so that growth comes from below.
ParlaMint-NO_2021-11-17.ana.ud541e1267	I still do not fully appreciate the reason, other than watering out and transferring things to the climate and the environment. Let me ask: in the supplementary proposition, the government explains that the entire vulnerable group record should be closed, but that a smaller part should be re-disposaled to other items in order to meet the objective of helping vulnerable groups. In what way does the Council of State believe that disembarkation and redisposal will benefit vulnerable groups?
ParlaMint-NO_2021-11-17.ana.ud541e1274	It is true that the budget line called Vulnerable Groups, which was established by my predecessors, is being terminated. All agreements entered into under the heading shall be continued under other headings of the budget. Agreements with civil society are being moved to the post of civil society, where we believe it is more natural to belong, also in order to provide a better overview of the government's efforts. I would just like to stress that this does not mean depriving existing initiatives.
ParlaMint-NO_2021-11-17.ana.ud541e1279	Let me follow up with the following question: The government does, as I see it, something remarkable on the development budget. The government is proposing a large cut of 1.5 billion. NOK 200 million for emergency aid. kr to the World Food Programme and – perhaps most dramatic of all – a huge cut of 662 million. kr for education. Common to all of these cuts is that vulnerable groups are hit, and that assistance is turned away from those who need it the most. How can the government defend such a conversion?
ParlaMint-NO_2021-11-17.ana.ud541e1284	As I explained in my first post, the government is turning its efforts into areas where we know that it can create positive ring-effects and lasting changes in society. This is why, among other things: climate adaptation and food safety raised high. There is no claim to what can be defined as a vulnerable group. Therefore, I would like to stress that all our assistance goes to the poorest, the vulnerable, but we have another and – I believe – more appropriate device for our assistance.
ParlaMint-NO_2021-11-17.ana.ud541e1301	This question is postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2021-11-17.ana.ud541e1309	‘State councils have claimed to increase fuel prices, more than a tripling of CO2 taxes, the ban on petrol and diesel cars in single zones in the cities, the electrification of the base leading to more expensive electricity and online rentals to people most and the business community, and the massive construction of wind farms against the people’s will, such as for example the windmills on Haramsøla in More and Romesdal, do not hurt the people most and the business community their everyday lives. Can the Council of State explain how this is possible?’
ParlaMint-NO_2021-11-17.ana.ud541e1316	The council is a little uncertain whether he recognizes himself in the description of what he should have said, but I will now answer anyway as best I can. The man-made climate change is the greatest challenge of our time. The sixth main report of the Intergovernmental Panel on Climate Change shows that we need to have immediate, rapid, comprehensive and sustained emissions reductions globally if we are to limit global warming to 1.5 degrees. Norway must take its share of responsibility. The government has said in the Hurdal platform that we will cut Norwegian emissions by 55 pst. by 2030, compared to 1990, as a sub-measure against net zero emissions by 2050. So this is a level that is about the same as most comparable countries have gone on. Climate objectives are to be achieved and the economy must be geared towards becoming increasingly renewable, circular and sustainable. It is important that we carefully assess how our actions and instruments affect different actors in society. It must be more expensive to pollute, but it must also be easier and more profitable to leave out. We have announced a gradual increase in the CO 2 tax to signal that it will be worthwhile to make climate-friendly choices in the years up to 2030. The government has also taken action in terms of social and geographical justice in climate policy. Since many continue to experience that they do not have a real alternative to diesel and petrol cars, the government has provided a budget that reduces the user charge and increases the commuting deduction to limit the impact on the drivers, as well as creating charging stations in the municipalities that do not yet have it. Several cities want to create zero-emission zones to reduce greenhouse gas emissions. In particular, Bergen and Oslo have requested this. It is not necessarily a ban on petrol and diesel cars, it may also be charging zones. The Ministry of Transport has commissioned the State Road Administration to evaluate alternatives. One alternative concerns the relaxation of the conditions for setting up low-emission zones for climate reasons, another to assess the basis for prohibited zero-emission zones for climate reasons. Zone rules shall be first tested in the form of pilot projects in Oslo and Bergen and the main road network shall be excluded. The Hurdals Platform’s climate change objective covers the entire economy, including the quota sector. Emissions from the Norwegian oil and gas industry are to be reduced. In the Hurdal platform, the government has signaled that it will provide further electrification of oil and gas fields on the Norwegian base. At the same time, renewable energy shall be ensured for new and existing mainland industries. Electrification increases power consumption and will thereby affect the balance of power and the prices of power. The Hurdal Platform also states that an Energy Commission should be set up to identify energy needs and propose increased energy production in Norway, and that an overall plan should be drawn up for Norwegian hydropower, wind power, solar power and other energy and infrastructure development that requires concession. We're doing this. This government is concerned that climate policy should be both effective and fair. Conversion takes time, and we have to give all people the opportunity to make climate-friendly choices, regardless of their economy and their place of residence.
ParlaMint-NO_2021-11-17.ana.ud541e1340	There were a lot of measures, but I kind of think the opinion of the people is that there's a lot of things people don't understand. What I don't understand is that when you want people to run environmentally friendly etc., why does the fees on hybrid cars increase so much that people now have to go out of the contracts they have entered into on a new car for next year? This means that people don't want to buy hybrid cars, they want to continue with diesel and petrol cars, because electric cars aren't too many in the districts, given how far they're going. What does the Council of State achieve by making it so much more expensive for people actually to think about the environment and buy a hybrid car?
ParlaMint-NO_2021-11-17.ana.ud541e1345	Hybrid cars have been a bridge technology whose time is now running out. The electric cars have gradually gained both such a good range and such a good range of use – you can get relatively reasonable electric cars with a range of more than 500 km, hanging and space for the whole family for most people – that when we also get charging stations in place, it is for most people. Then it is important to know that a hybrid car is not a particular climate action. It can go a little bit on power, but all the time it's running on a petrol engine, it pulls a big battery that makes the total emissions equal or larger than a traditional petrol car. Here we have maintained the proposal from the previous government to change the charging structure for hybrid cars, because we believe that the time has now come to stimulate people to buy clean, genuine, zero-emission cars.
ParlaMint-NO_2021-11-17.ana.ud541e1352	It's like I have an electric car myself, and I come from a district where it's actually not 0 or 1 degree all year long -- it could be both 20 and 25 minus, and then it's only half of the distance I can run with that electric car. Not everyone can afford an electric car just below 1 million. kr, like the cars that go 600 to 700 km today, which are down to half in winter. It's far from everyone in the population who has the ability to do it. Diesel and petrol cars will be entirely decisive for most people in large parts of the country still, and it's not like the electric cars can handle it. Is the Council of State in agreement that we actually have winter in this country here and that it is a completely different effect on the electric cars in winter?
ParlaMint-NO_2021-11-17.ana.ud541e1359	The Council of State can confirm that there is winter in Norway and that the range of electric cars goes down in winter. Therefore, it is important to have a charging infrastructure adapted to increasingly fast-charging cars, and ever closer networks of charging stations solve the special problem we have in winter in Norway. We are aware that not all people are able to buy an electric car right now. That is why we have also partly shielded the price of petrol and diesel from the huge increase in the CO 2 tax itself, because we understand that it will take some time before all people are there. But the hope is that in the private car market by 2025 only new, completely emission-free cars will be seen. It will also mean that all of them, most of them used cars a few years old now, are electric cars, so you can go into the electric car market at all price levels, really. I think the technology goes so clearly in the direction that there's no particular cause for concern.
ParlaMint-NO_2021-11-17.ana.ud541e1369	It is then established in Stortinget’s Question Time that we have at least one season in Norway.
ParlaMint-NO_2021-11-17.ana.ud541e1377	‘Enova seems to support most large-scale signalling projects during the last period, while measures for owner-occupiers and small-scale measures are not particularly supported. Can the Council of State clarify whether it is such as to understand that the purpose of Enova has changed, and that it has now become so that Norwegian households are more, via electricity billing, like a collection model from private electricity consumers, to mainly support large-scale industry and business activities?’
ParlaMint-NO_2021-11-17.ana.ud541e1384	Households and consumers play an important role in the transition to the low-carbon society. Enova shall therefore make available annually 300 million. kr to actions by households and consumers to contribute to the reduction of greenhouse gas emissions and to the migration to the low-emission society. This allows households and consumers to participate in climate change. That's an increase of 50 million. kr from the previous agreement, and more than ever this means more money to support the development of e.g. climate-neutral materials, self-production of electricity, increased flexibility of the energy system and changed behaviour in transport and consumption. In addition, in the supplementary budget number, we have proposed to increase the allocation to Enova by 100 million. kr, to provide support for electric car quick chargers. This will make it easier to choose climate-friendly transport solutions and facilitate the increased prevalence of electric car use in all parts of the country, which we also addressed in the previous questions. We have ambitious targets in climate policy and are about to switch to a low-carbon society in a short time. This change requires enormous efforts, especially on actors with large emissions today. We have limited resources that must be given priority. The eating of Enova as a climate action reflects this fact. The aim of Enova is to help achieve Norway’s climate commitments and contribute to the transition to the low-carbon society. It's something that benefits the whole community. Through, inter alia: Enova shall assist and assist innovative actors willing to take the risk of developing a more climate-friendly industry. Actors who want to develop solutions need to be risk-absorbed. When the projects are large, the risk and the need for support will be similar. However, it is not that Enova only supports large-scale projects. Of the projects they supported in the period 2017-2020, 5440 out of 6 633 – or 82 pst. – commitments of less than 1 million. kr. Enova has, among others: supported more than 3600 electric vans in the last year, enabling small enterprises to choose climate-friendly transport as well.
ParlaMint-NO_2021-11-17.ana.ud541e1395	It is good to hear that more money will be allocated to this. But now we're already in November, and when we spoke at the end of October, Enova had only paid 100 million. NOK 400 million. NOK paid – with 300 million. kr which is then to be disposed of to private households. At the same time, from 1 July, state-owned Enova removed and reduced support for several popular energy saving measures, while increasing the priority of measures such as emission-free construction sites at the expense of the measures we are calling for. Does the Minister feel that this level of payment to households — and the priority of the funds — is acceptable and desirable?
ParlaMint-NO_2021-11-17.ana.ud541e1400	That's how we talk about an agreement period of four years. During this period of the agreement, Enova shall use EUR 1,2 billion. NOK 300 million. NOK 4 times – which goes directly to subsidies to households and consumers. There has been an under-use in this item – that’s quite right – one has only spent 155 million. kr so far, or a little over half of the 300 million. NOK which should have been used in 2021. But this is a fund provision, so that money hasn't gone away. That really means that the good news is that there is more money available to those who want to apply in 2022, 2023 and 2024, because the money is available for this purpose. What we have been informed about from Enova is that there have been corona-related and other reasons why there has been somewhat less application and somewhat slower extradition. But the money is to be spent, and my assumption of course is that Enova uses the sum they have just received for households and consumers, until what it is granted.
ParlaMint-NO_2021-11-17.ana.ud541e1405	I appreciate hearing what the minister says. This is what we are going to do, because we have received opposite signals from private households and several other actors – both in the construction industry and the like – that there have been primarily performance projects that have been prioritised. During the previous ageing period, the Minister, as a representative of the Energy and Environment Committee, proposed that all the money paid by households in the contribution to the Energy Fund should go to support domestic action. Does the Minister still mean what he meant then, and will the Minister therefore instruct Enova when giving a new letter of assignment or a supplementary letter of assignment, stressing that all the money paid is to be spent on household activities?
ParlaMint-NO_2021-11-17.ana.ud541e1412	To underline this, the money that has been allocated for this purpose should go for this purpose, and I expect Enova to follow it up by making payments based on that amount to households and consumers. Moreover, I support the main direction in the development of Enova, which has been a movement over time towards driving technology development. This means that once technologies have matured enough and reasonably enough in the market, the need for aid will gradually be reduced, because, of course, if the cost of action has fallen sharply, the need for support for the measure will also decrease. That's a little bit of the point of technology development. You get better technology, lower prices per unit, and it will eventually have consequences. It explains some of the failures of what is correctly described as formerly popular schemes. But my main message is that the money allocated to households and consumers to save energy is to be used for that measure.
ParlaMint-NO_2021-11-17.ana.ud541e1417	We go to question 20.
ParlaMint-NO_2021-11-17.ana.ud541e1425	Question 20, from the representative Alfred Jens Bjørlo to the Minister for the Economy, has been transferred to Minister for Climate and Environment Espen Barth Eide, who is directing him.
ParlaMint-NO_2021-11-17.ana.ud541e1430	‘By 2023 Norway, together with Papua New Guinea and Turkey, is the only countries in the world which are opening up to the dumping of marine mining waste, with the adverse effects it brings to vulnerable fjords and marine environments. Does the Council of State see as current policy the granting of new permits for the dumping of mining waste at sea during the forthcoming flooding period?’ [[sea deposits]]
ParlaMint-NO_2021-11-17.ana.ud541e1437	It is true, as the representative Bjørlo says, that there are few countries that have landfills at sea and in fjords, but then there are also few countries that have the same topography as Norway, with deep fjords suitable for landfill. Both marine and terrestrial landfills have environmental consequences, and on a general basis we cannot claim that landfills on land are always better than marine landfills. Each case has to be assessed in concrete terms. A concrete assessment has also been made in those cases where mining permits have been granted under the Pollution Act. Based on a comprehensive knowledge base, the environmental impact of maritime landfills is carefully assessed before the permits are granted. As part of the pre-authorisation assessments, alternatives to the marine deposition of tailings are also considered. Many environmental technologies use metals, and access to mineral raw materials is a prerequisite for success in the green shift. Among other things, many minerals are needed for increased electrification of the transport sector and increasing quantities are needed. For example, an electric car needs three times as much copper as a conventional car. Environmentally strict regulation of mining can thus contribute to the establishment of a sustainable society where materials can contribute to technologies that reduce greenhouse gas emissions. In any assessment of mining and possible landfill, we need to make a thorough and concrete assessment. This will also apply to the evaluation of any new mining project in Norway. By means of a permit, we can provide a good framework for the operation with environmental monitoring, emission control and reporting requirements, while at the same time monitoring the operation of the mines by the Directorate for the Environment.
ParlaMint-NO_2021-11-17.ana.ud541e1448	I notice at least that this is one of maybe more areas within the nature protection field where, in my opinion, we see a change to the negative from the previous government to this. The government of Solberg was, after the left impression, clear that dumping mining waste at sea belongs to the past. Now the Council of State confirms that this government will not consistently say no to it, but will consider it on a case-by-case basis. In an international perspective, it's quite eye-catching. In 2016, the International Congress for the Protection of Nature, the IUCN Congress, has asked all States to ban the landfilling of mining waste at sea for new mines as soon as possible. Chile, one of Norway’s topography countries, has now decided to stop this 2023 practice. I'd like to challenge the Council of State a little bit clearer about this, when the opinion expressed by the Council of State is so little spread internationally, to put it a little diplomatically. Does he see that this can be a re-exampleing problem for Norway internationally in the new green economy we are going to enter, where we are some of us that we need to impose strict environmental requirements in all areas?
ParlaMint-NO_2021-11-17.ana.ud541e1455	I will answer yes to that question. It's important that we have to be able to answer properly, honestly and with good facts on the choices we make. My point was that if it is the case that the Environment Directorate, which is our top professional authority, believes that in a very specific case sea deposit is better than land deposit, it is the environmental assessment. Then you have to be able to accept that this is the correct assessment. But I agree that this requires clear and good answers, as it is a trend – it is correctly described – away from maritime landfill internationally. So I support that. However, it would also not be good for environmental policies to refrain from the action that is considered to be the most environmentally friendly, because they have to live up to an international trend based on other types of topography than what we actually have, as long as our environmental authorities believe they are in favour of the recommendation they have made.
ParlaMint-NO_2021-11-17.ana.ud541e1464	I think only I can see that in this area the Left Party and the Labour Party – the Centre Party are not in agreement. In the international climate we have – where the Council of State confirms that this is a practice that is little used and is becoming even less used internationally – we think that Norway should be clear here. I think it's going to be a case-by-case problem for Norway in the long run if we keep this practice. I want to ask the Council of State another question. It has been said in the Hurdal Platform that one will consider introducing a type of landfill charge in general, as an instrument for getting the most environmentally friendly practice for the use of waste from mines, which I believe will be an enormously important area in the future. I think it is right to introduce this type of charge. Can the State Council state anything more about the progress of that work? Can we expect some rapid clarifications to put pressure on the industry that landfilling and landfilling are something we need to phase out as quickly as possible? We have to use all of the resources available, as it is mined.
ParlaMint-NO_2021-11-17.ana.ud541e1471	It is a very general part of both climate policy and environmental policy that we get into a circular economy, where the most resources are used again, and as much as possible are deposited, incinerated or disposed of by other means, but go back into circulation. Then, as the representative rightly points out, we have said that we want to find a solution with a charge of, for example, landfill, and actually on all other so-called externalities, as it is called – the natural costs that have not previously had a price but that must now receive it. So I can answer yes. We will take this with us in the great work of following up the work of the previous government with the circular economy and tightening it further, in the sense that we need to get up the rate of recycling and bring down what can no longer be used.
ParlaMint-NO_2021-11-17.ana.ud541e1476	So we go back to question 1.
ParlaMint-NO_2021-11-17.ana.ud541e1484	This question, from the representative Frank Edvard Sve to the Minister of Finance, has been transferred to the Minister of Local and District Affairs, who is directing him.
ParlaMint-NO_2021-11-17.ana.ud541e1489	‘Senterpartial and Labour Party-led Ålesund municipality plan to cut 108 institutional sites, which are among the statutory services in a municipal operation. At the same time, the Centre Party and the Labour Party are planning to spend $240 million on an unregulated urban package against the people's will, and they have plans for a bathing land in cooperation with the Right. It was claimed in the election campaign that the Center Party was for services «near people», and for the Labour Party it was «normal people’s turn». Older people in Ålesund are common. Will the Council of State intervene in the Central Party and Labour Party controlled Ålesund, so that the elderly are not deprived of priority in favour of unregulated services?’
ParlaMint-NO_2021-11-17.ana.ud541e1496	A living local democracy is central to this government. Local democracy has a self-esteem, but a decentralised response adapted to local conditions and needs also provides the best services for the population overall. At the same time, it gives us more well-being for each krona than if national authorities were to decide in detail how to carry out tasks. As former rapporteur, I know that as a local politician, there are many demanding balances, but I trust that our local elected representatives – regardless of party – will do what they think is best for their citizens in the framework of laws and regulations. Furthermore, municipalities and county councils are autonomous levels of government which cannot be overestimated without a legal basis. It is therefore not possible to intervene in local priorities either, as the representative Sve calls for through his question.
ParlaMint-NO_2021-11-17.ana.ud541e1503	But the Council of State agrees that it is reasonable to ‘discriminate’ that it seems to be becoming ordinary people in Ålesund's turn to pay sky high fees for renovation, increase water and sewerage costs, increase property taxes and, in fact, 3.7 billion. Tolls on the top?
ParlaMint-NO_2021-11-17.ana.ud541e1508	I'm a little surprised if the representative Sve really believes that the municipal minister should answer for different priorities in the country's 356 municipalities and 11 county municipalities. I don't see it as my task to answer for the local priorities. On the contrary, I trust that local democracy makes wise choices on behalf of its citizens. I am sure it was a policy which the representative Sve also appreciated when he was rapporteur in Stranda.
ParlaMint-NO_2021-11-17.ana.ud541e1513	I note that the Council of State cannot instruct, but the Council of State also has our spokesmen. The question is whether he can't take a phone call to his party colleagues in the Central Party and the Labour Party in Ålesund and maybe give them some good advice on how to run the municipality best possible and prioritize the good services, because I think we who have our spokesmen have experience using the money where it's important for most people. So maybe a phone?
ParlaMint-NO_2021-11-17.ana.ud541e1518	There's different views of what's important to people. The representative Sve probably had his reasoning when he started a big ski project in his municipality – hardly considered as a legal task either, but he did so because he thought it was a wise priority for his municipality. That the municipality had financial problems afterwards, could hang out with many things. No, I'm not going to call the local government to give my opinion on local policy priorities. I trust local democracy.
ParlaMint-NO_2021-11-17.ana.ud541e1525	Then we go to question 12.
ParlaMint-NO_2021-11-17.ana.ud541e1533	My question is: ‘It is now the wish of a small group of residents of the old Forsand to limit the entire old municipality. On 4 January 2021, the State Council of Astrup replied to one of the residents of Forward that it is wise to allow new Sandnes to work and give the time needed to develop the new municipality. Does the Council of State regard this as a frontier adjustment when the Stortinget has, on two occasions, agreed to the voluntary merger and supports this or the subdivision page?’
ParlaMint-NO_2021-11-17.ana.ud541e1542	Former Minister of Municipal Affairs and Modernisation Nikolai Astrup asked the Governor of Rogaland to carry out a border adjustment between the municipality of Sandnes and the municipality of Strand. The mission was given on the basis of a citizens’ initiative from residents in the Forsand area. The State Manager’s investigation shall provide information on the relevant conditions for the assessment of the implementation of a border adjustment. Under the law of differentiation, different procedural rules relate to different types of border changes, including border adjustments and divisions. As part of its investigation, the State Manager has therefore been asked to assess whether the limit adjustment applied for can be treated as a limit adjustment or as a split. This is important for both who has the right of initiative and who has the right to take decisions in the case. I want the State Manager of Rogaland to work on the investigation, in line with the mission given by my predecessor. The State Manager’s investigation will form the basis for assessing whether a limit change should be made and how the case should be further addressed, and I do not want to pre-treat the application now.
ParlaMint-NO_2021-11-17.ana.ud541e1551	I thank the Council of State for the answer and notice that one is open because this can be both a border adjustment and a division. The council said a little bit about what's the difference between the two. Mainly, a limit adjustment is a matter for the Council of State to decide, while a division must go to Stortinget if the municipalities are not some. This is very important for the inhabitants of Sandnes to get clarity. It's probably pretty obvious that this is not a limit adjustment. This is a rematch on the community reform, where it was a voluntary merger. This is a division and should therefore come to Stortinget. In addition, Stortinget has, on two occasions, a position on the Sandnes/Forsand merger in its time. So I think it's a little too complicated that one just leans back and let the government administrator figure it out. Is it not the Council of State that when the Storting has taken a position on this twice before, it is natural that it is the Stortinget and not the Ministry that will decide it this time?
ParlaMint-NO_2021-11-17.ana.ud541e1558	As I said, it depends on what is the right legal basis here. It is among those in Rogaland who have been asked to give their assessment. It is true that there are differences in the treatment of border adjustment and sharing. If it is not the Council of State that decides on a border adjustment, it is at least the King of the Council of State. This also applies when sharing, unless the municipality itself disagrees. Then it has to go to the Stortinget. But I will now wait first for the investigation that the State Manager has been commissioned by my predecessor to carry out, and will not, as I said, give a more detailed assessment of the matter now.
ParlaMint-NO_2021-11-17.ana.ud541e1563	I thank you again for your answer. I don't expect to get another answer even if I ask the question in a new way, but I can site the Central Party's own municipal government representative in Sandnes, who is very clear that the Central Party locally believes that there has been a quite legal merger and that they stand by the decision and do not want to use the argument that the outgoing municipal minister used against the State administrator. So my question is: will the Council of State still listen to the local signals – also targeted by the Central Party – that this is a counter-reform, and that it is therefore natural, if it becomes an initiative, that it is presented to the Stortinget and not decided in Oslo by the King of State Council – that it will listen to the local signals and be presented to the Stortinget, if the government, against the local wishes, wants to complete the process that the former Minister of Municipal Affairs has seen?
ParlaMint-NO_2021-11-17.ana.ud541e1570	I would first like to stress that I am on the same line as former municipal minister Nikolai Astrup, who wrote in his letter to the municipality of Sandne that he had only taken a decision that the investigation could be conducted, did not decide whether a border adjustment should be made. In addition, the letter to the State Manager in Rogaland states that the municipality of Sandne and the municipality of Strand will have their opinion on the matter. Moreover, municipalities themselves have to consider whether it is necessary to obtain views from citizens on the proposal for border adjustment. However, the initiative on border adjustment has been in line with the law relating to citizens’ initiatives.
ParlaMint-NO_2021-11-17.ana.ud541e1578	‘The main reason for the purchase by the State of consultancy services is the need for peak competence for a shorter period of time. The Hurdal platform says that the government wants to cut down on consulting in the state by developing this competence itself. Can the Council of State respond to how much this will cost and how will this affect innovation in the public sector?’
ParlaMint-NO_2021-11-17.ana.ud541e1585	The high consumption of consultants purchased from the private market may be an indication that the public has left too much of its business to the private market. In 2020, central government spent 12 billion. NOK to purchase consulting services. This represents a consulting rate of almost 10 pst. of the total salary budget. However, the variation is great, from a zero to many hundreds of percent consultants. In some enterprises, external consultants represent both systems planning, procurement, construction, operation and evaluation. This means that the enterprise may lose control of its core competence and activities. At the other end of the scale, we have businesses that have built up internal competence environments that can play a leading role in operating and developing the organisation, for example. the strong IT environments in the tax haven and Nav. Several others can learn from these businesses. Small businesses may only need shelf goods and may benefit from purchasing them instead of hiring costly consultants to develop tailor-made solutions. Aid for procurement can be provided by enterprises through different types of purchasing cooperation, both in the municipal and state sectors. The State Purchasing Centre negotiates framework agreements for State enterprises and develops a cloud service market for which municipalities can also participate. In the Hurdal platform, we say that we should cut consulting expenses, but it does not say that we should cut out consultants. There will still be a need for the public purchaser to purchase consultancy services, but this government has clearly indicated the direction to be taken: government establishments will reduce the use of consultancy services. As an immediate effect, this would result in savings for businesses. At the same time, the aim is to build up internal competence. Through greater control of its own core activities, enterprises will also provide the basis for developing services for the benefit of its citizens. There is a high potential for innovation in the public sector by focusing more on cooperation and partnerships across public enterprises, between municipalities and countries, between different departments and through wise interaction with private business, for example. through innovative public acquisitions. This government has confidence that public sector professionals have the competence to develop user-oriented services. By investing in developing skills in the public sector, including purchasing skills, we believe that employers in the administration will attract good professionals. This is where we lay the foundation for an innovative public sector.
