ParlaMint-NO_2021-12-08.ana.ud311e28	The representative, Mr Kristjánsson, will present a proposal for a representative.
ParlaMint-NO_2021-12-08.ana.ud311e931	‘The government of Solberg greatly increased core support for the World Food Programme, WFP, in 2021. In next year's budget, the Støre Government implements two major cuts in the allocation of the WFP, as well as a general cut in the humanitarian budget. In the government's additional proposal, a cut of 200 million was proposed. kr to the WFP, and in the budgetary agreement with the Socialist Left, a further 120 million were cut. kr in the allocation. What information about the world's famine is it that the government owns, that neither the United Nations nor we have any part in?'
ParlaMint-NO_2021-12-08.ana.ud311e938	Let me first draw attention to the fact that the responsibility for the World Food Programme lies purely constitutionally with the Minister for Foreign Affairs. Then I would like to stress that the fight against hunger – and for food security – has the highest priority in the government’s efforts to achieve sustainability goals. For this reason, the government is increasing the investment in food security and climate-smart agriculture by 500 million. NOK 2022. Half a billion dollars will also strengthen poor access to renewable energy, and we will build a solidarity pot for people on the run. In the fight against hunger, the WFP will remain one of our top allies. The WFP is a dynamic key player that reaches both more than 100 million people in crisis per year and who work long-term with food security. That is why we are proposing a core support for the 33 pst WFP. on what the previous government proposed last year. Then I would remind you that it was the Storting, through the budget agreement, that stood for the extraordinary increase we saw in 2021. When we do not continue this extraordinary increase from Stortinget's settlement, it has a reason that I will explain immediately. The world over is increasing the number of people who are starving – month by month. According to the UN, 283 million people in 80 countries are in an acute food crisis. These crises are due to armed conflict, economic downturns reinforced by the pandemic, and floods and droughts caused by climate change. Not least because of this, we give such priority to climate adaptation and food safety. Acute humanitarian aid on a large scale is also absolutely necessary, but we can no longer simply continue to provide emergency humanitarian aid without also looking at the causes of the crisis getting ever closer, and coming back again and again. Most hunger crises can be notified in advance, and much can be done through prevention. Long-term assistance should therefore provide a robustness against fluctuations in food production. We will focus on prevention and better alerting, so that we can plan crisis response in good time. We need to increasingly see long-term development cooperation in the context of humanitarian efforts – not least in cooperation with the WFP. We will facilitate the best and most sustainable form of development, namely the growth that a people creates from below. Therefore, a forward-looking development policy must contribute to societal change that strengthens the capacity to grow by its own strength.
ParlaMint-NO_2021-12-08.ana.ud311e953	I thank the Council of State for responding on behalf of the Minister for Foreign Affairs. The World Food Programme has made an invaluable effort to combat hunger globally since its founding in 1961. The government of Solberg, as said, increased core support for the WFP in excess of this year, in response to the strongly increased need to reduce hunger and increase food security. Does the Council of State consider that hunger and food security are not an important issue for Norwegian aid in 2022?
ParlaMint-NO_2021-12-08.ana.ud311e962	I think the government has made its priorities very clear through the Hurdal platform and through the budget for next year. Food security is given priority as one of the most important projects, and the WFP is an important player in both humanitarian and, not least, in the long-term. The core support for the WFP has been fairly stable for many years, even under the previous government, at around 300 million. kr per year. Through the budgetary agreement, the budget of the year was significantly increased, and that is good, but the government's proposed level of 400 million. So kr is 100 million. kr above the 2020 level.
ParlaMint-NO_2021-12-08.ana.ud311e969	This government council has said in previous questioning hours that it is important that those receiving help are also saturated – when it comes to cutting education aid. In this respect, it is remarkable that the cuts to the WFP are implemented in two stages, first in the supplementary proposal of Støren and secondly in the government budget agreement with the Socialist Left. On what basis does the government make this a balancing item?
ParlaMint-NO_2021-12-08.ana.ud311e976	Food security is one of the most important priorities of this government, but we are committed to working long-term and ensuring that we can turn more and more of our efforts towards the long-term fight for food security. The aim must be to create lasting and robust resistance to hunger in order, hopefully, to reduce the recurrent humanitarian crises. Then I would like to remind the representative that the core support is only part of the means that Norway provides to the WFP. The total Norwegian aid to the WFP is close to 1.3 billion this year. Dr because very much of the support also goes through thematic and country-specific appeals. As you can see, the WFP will still be one of our most important partners in the fight against hunger.
ParlaMint-NO_2021-12-08.ana.ud311e986	‘I Prop. 1 S from the Solberg government is described as the global focal point for health innovation in Oslo to be operated by UNICEF and that funds are allocated to this end. 160 Health. UNICEF chose Norway as a global hub for health innovation after assessing six different countries’ health innovation activities and associated health research and innovation ecosystems, because Norway was considered the most relevant place to locate the node. Why has the government suddenly neglected this work without notice?’
ParlaMint-NO_2021-12-08.ana.ud311e993	I very much appreciate the representative's question because I now have the opportunity to inform the Storting about the decision in an important matter – just after the decision has been taken. Global health has been one of the most important areas of Norwegian development policy for several decades, and Norway has had and will continue to have significant leadership in this field. We continue the driving role, which we see not least in international cooperation to deal with the pandemic. Norway has just taken on board the facility council of the Global Pandemic Coalition ACT-Accelerator for another year, and the government has proposed for the Stortinget to grant a new 2 billion. kr for the important work of the coalition. The work of UNICEF on innovation in health is important. The same is the establishment of a global focal point for health innovation. But after having been in this job for almost two months, and having become familiar with the posts on the state budget that go to global health, I have come to realize that it is not as crucial where this node lies. In view of the major challenges out there — and in the light of our own priorities in the area of assistance — we did not find it appropriate to commit up so much aid for use in Norway. The cost of co-financing a UNICEF office in Norway was estimated at around 500 million. DKK over 10 years. This includes administrative costs for salaries and operations, but does not support – not support – concrete follow-up to concrete solutions in developing countries. Nor was it the case that commitments or agreements had been entered into – after talks with UNICEF on the possible establishment of such a node had started under the previous government. Norway places high emphasis on UNICEF’s efforts for innovation and development towards child-related sustainability targets. We have announced our decision, and UNICEF's head office has taken this very constructively and said that they will continue to use Norwegian environments of competence in the further work. That, of course, is very pleasing. We have started a dialogue on how we can support them, including: as a member of the Governing Board of UNICEF. In 2019, Norway was the fifth largest donor, but the largest donor per capita. The government will continue Norway's strong partnership with UNICEF, which is one of our key allies in the fight to eradicate extreme poverty by 2030.
ParlaMint-NO_2021-12-08.ana.ud311e1012	It is good that the Council of State finally informs Stortinget, because it was set at 45 million. kr in the budget, and there are important cooperation venues. The reason that the Solberg government was a driving force for this was that we both have very strong trade unions in Norway, health was a clear area for the previous government in development policy, and not least that UNICEF is a solid and stable partner in this field. It is obvious that UNICEF has created considerable wonder and disappointment that these plans are suddenly being scrapped, obviously without any further dialogue in advance. From what I understand, this will also have quite a big impact on UNICEF's strategic plan that applies from the turn of the year, because this was a big part of what UNICEF was going to work on. Then the question to the Council of State: how will the dialogue with UNICEF continue, so that health innovation, which is extremely important in UNICEF's work, can actually be focused on?
ParlaMint-NO_2021-12-08.ana.ud311e1021	Health is still a significant priority, as I have explained in the government's work internationally. The same applies to health innovation and cooperation with UNICEF. But it might be tempting to ask a question back to the representative about whether the representative is sure that 500 million. kr over 10 years to establish an organisation in Norway is quite the right priority for scarce means of assistance in the middle of a pandemic. Having said that, I am very pleased with the good dialogue we have with the head office of UNICEF. They have said, as I said, that they want to continue the dialogue with Norwegian environments of competence. That's good news, of course. We will continue to support this work through our role, among other things. on the Administrative Board of UNICEF.
ParlaMint-NO_2021-12-08.ana.ud311e1028	It's not quite right to talk about scarce aids when we have an aid budget of over 40 billion. NOK, and this was about approx. 50 million. kr in the year for 10 years – on something that would be important for health innovation, which will help people in the long term. Nor do we have a long tradition or special experience of having UN offices in Norway. It was also one of the points: to be able to link ourselves more closely with the UN and the work of the UN, by getting this innovation office, and at the same time helping to strengthen Norwegian environments of competence, so that Norwegian environments of competence can continue to lead the work of health innovation. And even though UNICEF's head office takes this constructively, as the Council of State says, it is obvious that it has created a lot of frustration in these environments in Norway, both at UNICEF and not least at the Health Innovation Cluster, which was ready to take this great responsibility and the important task.
ParlaMint-NO_2021-12-08.ana.ud311e1035	There was no decision to add this innovation office to Norway; it was under assessment and was a decision that was added to the new development minister. I needed to turn around in this case and came after careful assessments that our commitments to global health and not least the enormous needs that now lie in the years to deal with a pandemic and to get the world after a pandemic, did not make it advisable to set up an office in Norway, which would bind at least 500 million. for administration and operation in Norway over the next 10 years, not including concrete measures at ground level in developing countries.
ParlaMint-NO_2021-12-08.ana.ud311e1043	‘In consultation with the US Secretary of Defense in Washington, Norway’s Minister of Defence expressed the need for better coordination of allied exercises in the north and ‘a desire to coordinate this better in order to relax against Russia’, according to NTB. On 29 November, VG repeats that the government wants limited activity in the north from allied vessels and aircraft. Is the government setting up new alert procedures and changing sailing patterns for allied fleet forces in the northern regions?’
ParlaMint-NO_2021-12-08.ana.ud311e1050	The government welcomes alliert activity in Norway and Norwegian neighbourhoods. At the same time, we focus our dialogue with the allied importance of coordinating the overall Norwegian and allied activity. This is fully in line with long lines in Norwegian security and precautionary policies, and it contributes both to predictability and stability in our neighbourhoods. Everything outside national territorial waters is international waters, and that means that our allies can initially operate as they please. Therefore, close and ongoing dialogue with our allies about activity in the north is important. In this way, we can seek influence on the arrangement of the allied activity, in the balance between deterrence and tranquillity in our neighbourhoods. The government will continue to act predictably and transparently in the neighbourhoods. That's why we're going to continue the close dialogue with our allies at all stages of carrying out activity in the north, just to strive for these elements. In the Hurdal platform, we propose to strengthen and further develop cooperation with allies and to facilitate training and training with allies in Norway and in Norwegian neighbourhoods. Finally, my invitation to better coordination of allied activity was also well received by my American colleague.
ParlaMint-NO_2021-12-08.ana.ud311e1063	I noticed that the minister used the word «transparent». It is used if something is transparent and necessarily needs to be transparent and transparent from both sides. An important confidence-building action between the Allies and Russia is the transparency of exercises — where they take place, their size and their scope. But we have seen that Russia has carried out exercises that have obviously been greater than the thresholds on which one has mutually committed to reporting the exercises. The question is: will the Minister follow this most critical practice from the Russian side? And what allied activity is being carried out today, does the government see separately, perhaps, to be limited in the northern regions?
ParlaMint-NO_2021-12-08.ana.ud311e1068	We have not been asked to limit the activity in any way – we have been asked to coordinate it in the best possible way, so that the overall activity is coordinated in the best possible way. That's what the initiative is about, not a restriction of activity, and it's important for me to stress. We want allied exercises, we want symmetry with our allies, something the exercise cold response to winter with approx. 30000 participants are a good example of this. The government is also aiming at having a good and close dialogue with our neighbours in the east – we also want to have dialogue with Russia on important issues relating to us as neighbours in the north. In some areas, we have managed to maintain good dialogue in the post-2014 period, in other areas not so well. But the government is trying to recapture the dialogue in several areas.
ParlaMint-NO_2021-12-08.ana.ud311e1075	I noticed that the Minister did not touch the concept of transparency – I hope we have a common sense of what it really means. There is at least hope in the answer that has not yet been given. The Government has also agreed to meet as an observer when the States which have signed the Treaty of Prohibition of Nuclear Weapons will meet in Vienna. You have, probably not unexpectedly, taken criticism from our allies to take such a position. The Hurdal Platform also calls for the establishment of new meeting places for security policy cooperation in the north. When you start to see these things in context, there is reason to ask: does the government put up a new line in our foreign and security policy, linked to the same conditions?
ParlaMint-NO_2021-12-08.ana.ud311e1082	It is a well-known exercise to ask questions on several different themes, and the theme of the question by the representative of Riveres is initially allied activities in the North and my dialogue with the US Minister of Defence on their coordination. I've answered that. The long lines of Norwegian foreign and defence policy are firmly established, including with this government. We want a close dialogue with our allies, we want extended and close cooperation also on allied exercises, and we want to have a good dialogue with Russia on relevant issues. There is no change in the Norwegian position on NATO and the long lines in Norwegian defence and foreign policy.
ParlaMint-NO_2021-12-08.ana.ud311e1111	These questions must be postponed until the next Question Time, when the Council of State is prevented from meeting in Stortinget.
ParlaMint-NO_2021-12-08.ana.ud311e1125	This question has been withdrawn.
ParlaMint-NO_2021-12-08.ana.ud311e1133	‘In the Question Time on 17 November, we were told that the transfer of some of the tasks of the governor to the county council is among the main steps the government will take to decentralize power. On the basis of the ambitions of the former Central Party Councils for the relocation of tasks and jobs, there appears to be something passive, in particular considering what representatives of the party have previously stated about state agencies and directorates. Can the Council of State therefore be more specific on which tasks will the government move out and not least transfer from the administrator?’
ParlaMint-NO_2021-12-08.ana.ud311e1140	The county councils are responsible for many important services for people and communities, such as: secondary schools, school kisses, transportation and dental health. In addition, the county authorities are responsible for the development of the region through, inter alia: overall planning, culture, competence policy, public health, industrial development and environmental tasks. A well-functioning government at regional level is important, and the government wants to strengthen the county as a community developer. A particularly important measure is to strengthen the county economy. It also allows county councils to go further into different local and regional processes for social development and value creation. The Hurdals Platform Government announces a commitment to rural growth agreements and regional growth agreements. I want to get closer to the device for these efforts, but obviously the county councils will have a role to play here. These regional growth agreements are not at least concerned. The county councils can combine existing and possibly new instruments so that we can maximise the strength of regional development. Local democracy must be developed through the decentralisation of tasks for municipalities and county municipalities. As part of this, the government will consider transferring the functions of state administrators that do not concern supervision, control or complaint to county councils. Soil protection must be excluded. The central government carries out tasks in several sectoral areas. I will, in consultation with the departments concerned, set up a process to assess which tasks can be transferred from the State Manager to the County.
ParlaMint-NO_2021-12-08.ana.ud311e1151	To be a party that on every occasion marked its place in the so-called centralisation debate, the contrast to the Council of State's response – to put it a little cautiously – is quite great. As an opposition party, the central party was little concrete on which decentralised grip a government was going to take, but now the time has come to be more concrete. I would also like to remind the Council of State that former Minister of State Åslaug Haga wanted to move 6,000 jobs from Oslo. She then believed that units in all departments could be the subject of emigration. Then my question to the Council of State, which was not particularly specific in its answer now, is the Council of State willing to look at it again? Or has the Center Party recognised that there will be no emigration of sitting with the Workers' Party?
ParlaMint-NO_2021-12-08.ana.ud311e1158	First, I would like to say that I was concerned about describing the role of county councils as important social developers and the need to strengthen that role. It may be appropriate to consider whether there are other State tasks that can be transferred to the county councils, but there is something that one has to come back to, and one also needs to carry out a more detailed process related to the state administrators. So the government of the Hurdals platform is concerned with a more even distribution of state jobs. It may to some extent be about the relocation or localisation of new state businesses, but it is also about what is happening within the various state agencies. And what we've seen in recent years – even though statistics have their strengths and weaknesses – is a tendency for very much of the growth in state jobs to come in the largest cities.
ParlaMint-NO_2021-12-08.ana.ud311e1165	After one has repeatedly expressed the centralization of power in infinity in the last period, it's almost a little strange how savage it can be when one has that power – and can use it. It is almost so that it might have been tempting to ask if the Council of State agrees with the relocations that took place in the previous period, for example. Norec to the Executive Board and parts of the Directorate of Agriculture to which the Council of State has its place of residence – and even was the rapporteur when it arrived. Then my question is: is the Council of State now willing to take action so that one actually does a real decentralization, or is this just saying what we couldn't get to, and what are they going to be able to get to themselves in government?
ParlaMint-NO_2021-12-08.ana.ud311e1170	Under different governments, there has been both the relocation of existing jobs and the creation of new ones around the country. There have been important moves, but at the same time, what I would call a quiet centralization within a number of states, which have actually moved into a significant number of jobs from different districts and into the largest cities. I think that is a development that the representative Skkelstad should also acknowledge has happened, and be willing to go into. So I think we have to look at the whole spectrum of localisation policy related to different state businesses, but it's also about strengthening, among other things. the social development role of county councils. There will in itself be important steps in a district and decentralisation policy.
ParlaMint-NO_2021-12-08.ana.ud311e1180	«The County Council in Viken has now launched an investigation into the Viking's future. Does the Council of State consider that it is sufficient to explore one single alternative to today's organisation, and will the government cover all the costs associated with this work?»
ParlaMint-NO_2021-12-08.ana.ud311e1187	The Government will have the opportunity to apply for division by merged county councils. In the Hurdal platform, we have determined that during 2021 a process will be launched to restore Akershus, Buskerud and Østfold based on an application from the Viken County Council. As the top body of the county council, the county council takes decisions on behalf of a county council, cf. the municipal law. It follows from Section 8 of the Splitting Act that an application for the initiation of a divisional inquiry can only be promoted by the county council itself. The addition of this right of initiative is justified by local democratic considerations. It is therefore the county council in Viken that has to assess whether sharing is best for its inhabitants and whether the application for sharing is to be sent to the department. An application for division shall be written and justified, and shall include proposals for new county limits, as set out in. division law § 8. The proposal for new borders must be based on the boundaries of today's county council and sketches where the border between the new county municipalities will go. The counties of each municipality must be shown. The application must also contain proposals for county names. The justification of the application shall include an explanation of how the county municipality will be affected by a division. The law does not specify the details of the information to be included in the application. In a letter to the combined county councils of 12 November this year, I have made some comments that should be considered in relation to any applications for division. This letter has also been sent to the Week. Forced merged county councils wishing to investigate division may, upon application, receive up to DKK 100000 in grants to this effect. In addition, county councils may receive up to SEK 200000 for consultation of citizens on the issue of sharing. This can be done by referendum, opinion or survey or meeting. In order for the Ministry to be able to pay the subsidy, the counties must provide a factual basis on which citizens can decide at a hearing. In the case of any additional costs associated with the implementation of the division, the government will contribute financially in an agreed and appropriate manner. The government will come back to this question.
ParlaMint-NO_2021-12-08.ana.ud311e1202	I thank you for the answer, where the Council of State focuses most on the application itself and what demands are made on it. But behind there is also an investigation that I suppose will be useful for the department in its work, for the investigation manual demands that the relevant alternatives are properly illuminated. In this case, a most relevant option would be to bring down the Viken County Municipality without creating three new county municipalities. Does the Council of State agree that his file on the Storting will have to follow the requirements of the investigation manual?
ParlaMint-NO_2021-12-08.ana.ud311e1209	A well-explored application from the County Council is important for the Ministry to be able to present an informed case on sharing to the Stortinget. Section 1 of the Division Act states: ‘Changes in the municipal or county divisions should contribute to the creation of appropriate units that can provide adequate services and management to residents and businesses.’ So it's my clear goal to be able to provide the Storting with a good basis for decision based on the applications that had to be made after the government opened up to follow up applications from coercive county municipalities.
ParlaMint-NO_2021-12-08.ana.ud311e1219	The Council of State indicated that the Swedish County Council will receive a total of NOK 300000 now in the investigation phase and for consultation of the inhabitants. These processes that Viken County now runs are initiated by a clear formulation in the Hurdal platform. While the Council of State uses such modest amounts in its formulations, Minister of Finance Schlagsvold Vedum is out saying about the dissolution of the Vikings that they don't have to worry about the money. It is clear that there will be great costs for both the Viken County Municipality and the 51 municipalities located in Viken. My question is: What assurance can the Council of State give to the county and the municipalities concerned that they will be able to cover the costs of necessary investigations and processes?
ParlaMint-NO_2021-12-08.ana.ud311e1226	It can be reassuring to quote the Minister of Finance on economic issues, because in an interview he gives the NRK an indication that the government will put money on the table to ensure dissolution. He says the state will now take a larger share than what happened last time. It is a paradox that when the representative Vamraak now asks for a cost recovery for a voluntary resolution, the calculations show that the Week related to the coercive merger received 45 million. DKK to cover one-off costs, while the county's own report shows that it cost 335,6 million. kr.
ParlaMint-NO_2021-12-08.ana.ud311e1234	«The new government and the Socialist Left Party grant extra funds to the municipalities which are badly needed. Still, that's not enough. In one case at NRK Nordland on 23 November we can read that the villages of Hadsel Inland are in danger of losing more important services such as kindergarten and school and having to cut fire protection. This may take a long time before the fire service arrives: 30-40 minutes, estimates the municipality director. What does the Council of State think that despite the fact that the Central Party is in government, there is still a alarming need for better and more robust local economy?’
ParlaMint-NO_2021-12-08.ana.ud311e1241	Municipalities are the foundations of the welfare society. In order for them to provide their citizens with good welfare services, they need to be secured resources and freedom of action to perform their tasks. It is the municipalities themselves that are best able to assess what is needed most in the municipality in terms of solutions and priorities. Therefore, it is important that we strengthen the free income so that municipalities themselves can give priority to resources in areas where the needs are greatest. The government is increasing the free income of municipalities by 2.5 billion. Compared to the previous government budget. We're suggesting that the growth is divided by 2 billion. kr to the municipalities and NOK 0,5 billion. kr to counties. There is a scheme of government now agreeing with the Socialist Left Party on. The municipalities will then have a total growth in free income of 4.5 billion. kr next year. It gives the local government an increased economic space of 3 billion. In addition to increasing the cost of demographic, pension and educational and child care expenditures and the mental health of young people, growth is expected to increase. The increase in the action space is greater than the total Solberg government achieved for the four years 2018, 2019, 2020 and 2021. We're also reversing the Solberg government's proposed $300 million cut. kr in the grant for resource-intensive services. This will strengthen the economy of municipalities and enable them to provide better services to citizens who are entitled to comprehensive health and care services. The budget ceiling for 2022 does not solve all the challenges in municipalities. Priority will continue to be needed between different needs, focus on innovation and innovation and good financial management in order to maximise the range of funds. It's always been like that, and it's always going to be like that. But that the budget line for 2022 represents a significant increase for the local economy, there can be no doubt about it.
ParlaMint-NO_2021-12-08.ana.ud311e1258	I thank you for your answer. The June website of the Center Party says: ‘It is the municipal politicians who have to leave schools or post several hospitals. The reality is that the Storting promises services, but does not grant the money needed for a good offer." When, in his former job as CS manager, the Council of State communicated its expectations to the state budget for 2022, he said he expected an increase in free revenues of 3 billion. kr. Now it seems that state council Gram is satisfied with an increase of 2.8 billion. kr. I noticed that the Council of State said that an increase of 4.5 billion had been made. NOK, but let's remind ourselves that $500 million. kr of these are tied up to compensation for public transport and part of it is to reverse the point of entry for resource-intensive services. That's good, but it's not a growth in free income. Is the Council of State Gram still in agreement with KS-led Gram, or the Council of State now believes that the municipal sector, including the municipality of Hadsel, should be doing well without these 200 million. kr in increased income?
ParlaMint-NO_2021-12-08.ana.ud311e1270	With regard to the description of the growth of free income, I cannot entirely agree with that. It's not about compensation for public transport. There are things that come in addition. Now what we're talking about in terms of the 4.5 billion. kr, are the two billion that were contained in the original budget of the Solberg Government, and then it is added to $2.5 billion. kr at the top of it from the new Workers' Party-Center Party administration. When you correct for what is related to the cost growth of pensions, demography and a part of free money – but with a label, to put it like that – you're left with a total of 3 billion. kr in increased economic space. It differs significantly from the budget lines we have seen in recent years. I want to say we met quite well in relation to the expectations of the KS a few months ago. I think we have been delivered usefully for a few months' work in government.
ParlaMint-NO_2021-12-08.ana.ud311e1275	For the village of Hadsel, this is serious. The current municipal economy means the closure of kindergarten and school, the closure of the medical office, the fire service, the kitchen and laundry at the age centre, the reduction of care provision, the privatisation of roads and the closure of road lights. And we know, unfortunately, that Hadsel is not the only municipality in Norway that has to cut, reduce and not least centralize the offerings made to its citizens in 2022, despite the fact that the Central Party is in government. Can the Council of State, for the future, say that he and his government will work to ensure that our municipalities and counties in the future will have even greater economic space in the coming state budgets?
ParlaMint-NO_2021-12-08.ana.ud311e1282	It is absolutely a goal for this government and this council of states to ensure a good local economy in the future – which provides space for action and provides opportunities to strengthen services close to people around the country. No matter what kind of budget you have, there will be challenges around the municipality of Norway. It is therefore the responsibility of each municipality to ensure good financial management, to make wise priorities and to balance the relationship between operation and investment, for example. Not least we need, and I'll say across the sector, also looking at how we get more out of the heads we have after all. There is a need for innovation, digitisation and the necessary change and transformation that will enable us to solve challenges in the future. Even if we have enough money, it's not safe we have enough people. Therefore, it is an important focus for me to focus on the development potential in the local and public sectors.
ParlaMint-NO_2021-12-08.ana.ud311e1292	‘The representative of the Labour Party Per Vidar Kjølmoen has claimed that the ferry prices are now cut by 50 pst, both in the media and on the website of More and Romsdal Arbeidarparti. Can the Council of State document what the Labour Party’s Depositary Representative claims, and what will be the actual percentage cut in the ferry prices in January 2022 compared to the government’s submission on 31 December 2021?’
ParlaMint-NO_2021-12-08.ana.ud311e1299	The Hurdal Platform states that the government aims to halve the ferries tariffs in total over the four-year period. Then we use the comparison basis on 1 January 2021, and it is the state that is going to cover the costs. Let us therefore have the tariff level that was in force on 1 January 2021, as a starting point for different comparisons, as I now do in my answer. In the budget proposal for 2022, the Solberg Government decided to reverse parts of the 25 p.m. tariff reduction introduced from 1 July 2021. This would result in an increase in ferry tariffs by 12.7 pst. at New Year’s. With our proposal to adjust the budget for 2022, it was suggested that the ferry tariffs should be reduced by 11.7 pst. in the new year of national road ferries, and provision is made to enable county municipalities to reduce the rates corresponding to those of the county road ferries. Then the fares will be 30 pst. lower for travellers than they were on 1 January 2021. By doing so, we have taken a significant step towards achieving the objective of the Hurdal platform, namely to halve the ferry tariffs over the four-year period.
ParlaMint-NO_2021-12-08.ana.ud311e1308	Most people are busy with real cuts in vacation prices. I understand what the Council of State says is that one has calculated it from 1 January 2021, but what people are busy about is what the ferry prices are from one year to another based on a budget. When the council then assumes that it is 11.7 pst. Cut from 2021 to 2022, the question to the Council is whether he agrees with that 11.7 p.m. is not entirely in line with the claims of the representative of the Workers' Party in More and Romesdal, that a now cuts 50 pst. There's something about how people perceive what we're saying.
ParlaMint-NO_2021-12-08.ana.ud311e1313	I would like to say that I have not realized that someone has expressed themselves unexplained about the goal of the government. Our goal is to achieve a reduction of 50 pst. during the four-year period, and we have started from 1 January 2021 as a basis for comparison. It has also been done by all the other parties, and it has been done in the Storting in the previous debates. Overall, we are moving significantly towards achieving this goal by now facilitating a reduction of 30 pst. measured against 1 January 2021.
ParlaMint-NO_2021-12-08.ana.ud311e1318	It is also in the proposal of the new government – in the package of holiday prices – to talk about free ferry services to island communities. Representatives from the Central Party in More and Romesdal have been told that one has received a signal that one cannot fully compensate for the cuts in transfers to the County Municipality. When a free ferry goes to the island communities, the ticket revenue will disappear, and with it a large part of the income of the county. The question is: are the county municipalities compensated for the lost income they receive by introducing a free ferry to island communities, which is otherwise good? It is important that county municipalities are compensated. So is the loss of income compensated?
ParlaMint-NO_2021-12-08.ana.ud311e1325	It's a system that we've just started working on, how we're going to set it up, but it's a prerequisite that when we, as a big community, as a state, go in and say we're going to implement such arrangements, we also have to be involved in picking up the bill for it. So the representative Sve also knows that it's not always that the individual county council gets exactly the coverage as the big community draws the picture, but it's a different discussion.
ParlaMint-NO_2021-12-08.ana.ud311e1333	In the morning today, in the oral Question Time, there was a lot of focus on power, and my question is closely related to the focus that was before today: ‘The world needs Norwegian oil and gas, even from a 1.5-degree perspective, the IEA Chief Fatih Birol stated on 30 November. In the government's budgetary unity with the Socialist Left Party it is established that there will be no 26th concession round on Norwegian pedestal in 2022. The vice-president of the Workers' Party, Hadia Tajik, spoke to the press on 11 September ‘The Labour Party believes that the oil sector now needs stability and predictability’. Does the Council of State believe that when the 26th concession round on a Norwegian base is dropped in 2022, it gives the oil and gas industry predictability?’
ParlaMint-NO_2021-12-08.ana.ud311e1342	The government will further develop the Norwegian petroleum industry. The petroleum sector is a highly productive industry that contributes to high incomes, value creation and jobs in Norway. The government will facilitate the continued high level of activity on Norwegian soil, and land-based ring-effects will benefit the whole country. The government will pursue a responsible and predictable policy in response to the climate challenges, and also in relation to petroleum policy. An important feature of the regulation of activities is predictability and evidence-based assessments. This is also an important competitive advantage for Norway. Authorities own the resources, but use industry to create the highest possible values. In order to achieve the objectives of the petroleum policy, it is essential that the State regulates the sector by setting clear and predictable frameworks that give companies the self-interest in creating the greatest possible value for the Community. The ordinary concession system for the sector shall be permanent. The concession rounds are at the core of this. These grant oil companies new permits to search for oil and gas in the areas open and accessible for petroleum activities. All areas open to petroleum activities and available for new allocations may be illuminated in a concession round. The budgetary agreement with SV does not affect this. The illumination of the various prospective areas is determined by what is most appropriate from a petroleum professional assessment. In most of the open land available on the Norwegian continental shelf, there has been exploration activity for decades. The areas are now mature and are therefore subject to the TFO concession rounds. Therefore, exploration activities and new land allocations will take place mainly within the predefined areas during this scaling-up period. The firmness of the concession system means, among other things: that the government will implement new concession rounds. We will continue the TFO system as practised today, both in 2022 and beyond. The budgetary agreement with SV indicates that any 26th concession round will not be announced in 2022. It doesn't mean more or less than just this. In the last eight years, there have been three numbered concession rounds; in 2015, 2017 and 2021. Petroleum policy, the framework for activities and balances with other social conditions have been subject to thorough assessments and evaluations in the EEA over several decades. How we as a state and resource owner ensure that we get to explore all of our open, accessible and prospective areas most appropriate, we will come back to many times. The oil and gas industry will continue to face framework conditions that will provide Norway with income, jobs and ring-fences in the mainland.
ParlaMint-NO_2021-12-08.ana.ud311e1357	The power crisis Europe is experiencing, and its impact on electricity prices shows that Europe needs more Norwegian gas. We hope it will be better when the new gas pipeline from Norway via Denmark to Poland is completed. Norway is now regarded as a stable gas supplier, and it is important that attractive land is made available to ensure the necessary production. The energy crisis we are experiencing now shows that Europe will be dependent on Norwegian gas for a long time. My follow-up question is: Will the government facilitate and ensure that the regular TFO rounds now provide the industry with the search areas needed to secure and expand its output, especially in the gas sector?
ParlaMint-NO_2021-12-08.ana.ud311e1364	We shall continue to grant permits to search for oil and gas in the areas already open and available for petroleum activities. The pre-defined areas, TFO, are currently covering most of the open, available search area on Norwegian base, and the TFO system is continued as it is practised today, both in 2022 and beyond. The Norwegian petroleum policy is firm. As I said in my previous reply, the budget agreement with SV shows that a possible 26th concession round will not be announced in 2022. So the budget agreement means that there won't be a numbered round 26 in 2022 – neither more nor less than that.
ParlaMint-NO_2021-12-08.ana.ud311e1371	When the budgetary unit with the government was finished on 29 November, SV said that they had now received the greenest government budget of the time. On the same day, Prime Minister Støre said to the evening post that they ‘consider this to be a budget that clearly amounts to cutting more’ than the Solberg government’s budget proposal. When you have asked how this budget actually cuts more greenhouse gas emissions than the Solberg government's proposal, the debate often shows and answers to an increase in the CO 2 tax for the oil industry by 28 pst. So my question is, can the Minister of Oil and Energy do well for what is the emission effect in 2022 of increasing the CO 2 tax for the oil industry to 28 pst. ?
