ParlaMint-NO_2021-06-14.ana.ud492e551	The representative Per Espen Stoknes will present a proposal for a representative.
ParlaMint-NO_2021-06-14.ana.ud492e2866	As the representative Myrli said before today, there is a lot that is good in NTP, also seen from the stand of Buskerud. Something has even improved through the treatment of the Storting. Where the government provided partial toll financing for the new Holmenbru in the Drammen, an overall committee now supports the State's full financing of the new bridge. It should really just be missing. Holmenbrua is the connection to the tribal networks of the Drammen, and the bridge lives on dispensation and borrowed time, with great doubts about road safety. The working party now assumes that investment in Holmenbrua is a priority, so that a new bridge can be realized quickly, and that this is followed up by the government in the state budget for 2022. That after a round of postponements and broken promises from the Solberg administration, it is now finally ready to start working with the Ringeriksbanen, is another positive case. It will have an enormous impact on business and further development in the Ringerix region. The municipality is well prepared and has invested considerable resources from its own pocket to exploit these opportunities. Therefore, it is absolutely essential that construction starts now not be delayed further, and that the transfer of responsibility to New Roads does not rock it. The working party has therefore provided additional funds for intercity, of which the Ringeriksbane is part. We also point to the possibilities on the Randsfjord Railway, with new passenger traffic. I could also say some positive things about E134, which I know the president is also concerned about, but what's not good is that the government is not able to rely on when it comes to agreements with local authorities. I am thinking about Gulskogen station in Drammen. Together with Bane NOR, the municipality of Drammen has saved the state for over 100 million. kr. in the context of new Vestfoldbane, according to the rapporteur, and contributed to practical solutions for setting up trains. In return, Bane NOR was to contribute to the collective hub of Gulskogen, with several public travellers, smaller queues, better urban air and new housing. The Gulskogen Centre was to contribute direct access from the station to the mall. So, when all is done, the state suddenly withdraws from the whole setup. Everything is exposed in an indefinite time. The plans of the local drama must be put on ice. At the same time, the government has also stepped into the wheels to achieve its own national targets for environmentally friendly and sustainable urban development. It's not acceptable. We are facing a formidable task with the green shift in business and in the development of future climate-friendly cities. Then it has to be completely new. I don't think we're going to achieve our climate goals if it's the NTP and the transport authorities alone that are going to control these processes in the future.
ParlaMint-NO_2021-06-14.ana.ud492e2877	It is only the Progress Party that will clearly build a country-wide transport that takes seriously the challenges facing business and that takes seriously the distance between peoples, especially in my part of the country. Especially in Troms, where people live scattered, we have to build a road, and we can't rely on all sorts of climate solutions you have to think about in the capital. We have to build a road. It does the most with its alternative NTP. We take seriously the challenges facing business. We want the state to take back the roads on Senja. These are important ways of feeding, essential for fisheries. We want the state to take responsibility for building the Håkøy connection in Tromsø. It is absolutely necessary and important to develop the capital in North Norway. And we are clear that we must continue the Hålogaland road without tolls and build into Harstad – not stop right after Tjeldsundbrua, but build all the way into Harstad. If you want to connect the region, if you want to connect business, you have to build all the way, not just piecely and divided. I'm glad that we've got a majority, at least in notes, that we're going to realize and build the important Evenes cross. It is essential to put it in place, both for defence purposes, for business reasons and for further development of the region. But one of the things I have to say is that I'm very, very happy, is that we've got a very clear agreement, not only with the red-green parties, but also with the government parties, it looks like gradually, which at least in the form of comments is clear that we want to realise the improvement of traffic safety measures for the E8 – the main road into the capital of the county, Tromsø – secure it with middle parts, get in place traffic safety there and continue it, because it has cost lives. But then I also hope that the same parties will support the clear proposal of the Progress Party on the exact same thing – to set aside half a billion and realize the traffic safety measures projects that are absolutely necessary on the E8 in Lavangsdalen – that you not only stand for it in notes, but also do so in decisions. Then there's a little thing that's at the end of the case list today, about extending the toll package to Harstad. That is what the Progress Party is against. It's not because we don't want to realize the projects, we're going to do that, but we're going to do that with government funds, not bother people with even more tolls.
ParlaMint-NO_2021-06-14.ana.ud492e2890	E134 goes from Karmøy to Frogn and is prioritised to start six projects in the first period. This is the most important connection between east and west south of Hardangervidda. When one listened to my colleague from the Progress Party, Bård Hoksrud, earlier today, it did not seem that E134 is a priority throughout the national transport plan. That's not true. There has been a lot of E134 in recent years, with road projects on Kongsberg, a tunnel between Hjartdal and Seljord and repairs from Seljord to Åmot in the municipality of Vinje. That one now adds a passage from Saggrenda in Kongsberg to Elgsjö in the municipality of Notodden, a new tunnel in the Oslofjord link and the extension of the road project, even for Arne Nävra, Dagslett-Linnes in the first six-year period and two important projects on the west side, Röldal-Seljestad and Bakka-Solheim, will contribute to a safe and secure road that binds east and west even closer together. These are projects that start for the first six-year period, and with good comments on the road further to ensure winter safe road over Haukeli with the projects Seljestad–Vågsli as construction steps further in the second period. The creation of New Roads AS, according to most people's perceptions, has been a success. Since its inception, the company has opened a 81 km new four-field road and has a holistic approach when prioritizing which road to build. The majority has given New Vegar AS a mandate to give priority to monitoring the projects on the basis of socio-economic profitability. In the event of a change of government, there are now many who are concerned about the future of New Vegar AS, for the Socialist Left Party will shut down the company, and the Central Party will go away from the New Vegar AS Board of Directors taking decisions to prioritize the follow-up. They want political governance of the decisions. And the Labour Party replied a little wretchedly in the replication today early on on what the future New Vegar has. The leadership of a limited liability company such as New Vegar is incredibly important, and of course, the Right's view is that this is one of the success factors of New Vegar AS, and they must continue this work.
ParlaMint-NO_2021-06-14.ana.ud492e2905	Front page of the Official Journal of Bergen now: ‘Digree blocks may crash into the road. E39 through North Hordland is likely to have to be closed for a whole week.’ There shall be cracks up to half a metre in the mountain area. The largest blocks on the mountain side are estimated to be 150-200 tonnes. Welcome to Hordaland! Few policy areas create more local involvement than transport policy. This year we will deal with the national transport plan while the country is in the middle of a pandemic. This should lead to greater priority of preparedness, safe roads, improved maintenance and not least racial protection. In December of last year, the state road service produced the latest updated figures, which showed that 71 billion were needed. to race the Norwegian road network in nearly 1200 different locations. In the West alone, 40 billion is needed. kr. The centre party now believes that there is a need for a national implementation plan for the tailoring of all highways and highways with a high or medium step factor. It's time – life and health first. So something more joyous. It is the eastern ring road, the E39 Vågsbotn–Klauvaneset, which the centre party prioritizes, the eternal second-period road. I'm proud of Åsabu; this is my way. He has not been much to be able to reach now, but with a development with strong population growth and industrial development both in North Hordland and in Bergen, the road standard today is far below demand. Åsane's been waiting for years for this tunnel. People have our patience and disappointment. Already in 1995 Bergen's magazine wrote that it was against agreement on the new Åsane tunnel and that he would be ready in 2005. Neighbors feel that they've been fighting for a long time for nothing. On the road between Vågsbotn and Klauvaneset, 15 people have lost their lives since the North Hordlandsbrua opened in 1994. The daily traffic has increased from 7,000 cars to over 20,000 cars on a road that is less than six metres wide. At 3 km in length, there are 25 unregulated discharges that daily create dangerous situations. Without a tunnel past the area, more than one person will be severely damaged or die every year, according to the state's own calculations. Tunnel past the site is one of the most socio-economically profitable projects in the state road transport portfolio. Nevertheless, the government had rejected the route in the proposal for a new national transport plan. The government's lack of prioritization of this route upset people who live in and travel through this area north of Åsane. People from the Haukås and Hordvik line have shown a dissatisfaction by going over the transition field every day between 12 and 13 for two months, from 19 April until now. I was there talking to them, and they don't do it for themselves, but for their children and grandchildren, so that maybe they can experience a safe environment. Finally, there is a terrible error in the setting on page 157. The centre party should not have been in the last part of the comment, because of course we support state resources to the Åsane urban runway.
ParlaMint-NO_2021-06-14.ana.ud492e2925	This proposal for a national transport plan was a betrayal of the 300,000 inhabitants of Eastfold. For over 20 years we have been promised a new and modern railway in our district – with double tracks. But we've been kept too fooled. The promises made by the representatives of the civil parties before the elections to complete double-track deployment more quickly have been broken. Now the government has tracked down the entire project. It gets too expensive, says the Minister for Transport. But it's nothing more expensive to extend the railway to Eastfold than anywhere else, like the Ringerix Railway, to mention an example. Then it becomes clear that the government is depriving Eastfold of building other things elsewhere, such as new, polluting motorways, for example. Several take-offs by faster trains and fewer delays and new and modern railways with double tracks all the way – it is the most important project for both climate and value creation in Eastfold. Then we should no longer find ourselves in being forgotten. But it also affects more and more than just Eastfold, because this is the gateway to Europe. E6 will be full soon. There are thousands of trailers going over the Svinesund every single day. The whole east country, yes, the whole country suffers from the fact that intercity is being down-prioritized. Therefore, SV proposes to continue the construction of the Eastfold Railway all the way to the Swedish border and complete the entire intercity, including the outer part – first to Fredrikstad during this period, and then the goal is throughout the 12-year period. Now all the parties have the opportunity to show whether they keep their promises or not during voting. And it will be noticed in Eastfold who votes for what. We also want to connect all of the former state to the railway. Today it is almost impossible to travel collectively between inner and outer Eastern folds. It doesn't have to be like that. There is a flowing new, fine and state-of-the-art railway line between Rakkestad, which is the end stop for the east line, and Sarpsborg, which is used for nothing but testing today. It has fought for a number of years to open up both freight and passenger transport. Only from Rakkestad, it now commutes almost 2,000 people out of the municipality every day to work. With a train offer here you'll be able to travel collectively between the two parts of the county, and we can move goods from road to track. It is important for example: for important holdings in the counties such as Borregaard and Saugbruks. Now SV proposes this in the national transport plan, and it goes against the majority in favour of the proposal. It's very joyful and a great breakthrough for Eastfold. Finally, SV has money for what we prioritise, such as building the double track further through Østfold – 8 billion. kr more to railway a year than the government proposal, a total of almost 100 billion. kr more to railway during the 12-year period. When you re-prioritize from large, new motorways and increased air traffic to the railways, that's possible. It shows SV's configuration.
ParlaMint-NO_2021-06-14.ana.ud492e2940	The center part saw life and health first. Racial protection and safe appearance must then be prioritised. The national racial protection group has done a thorough job and delivered clear priorities, and it must follow up. The follow-up to the maintenance of the county roads is dramatic in many counties, and the centre part prioritizes the county roads. E16 Arna–Voss is headed to Norway's most dangerous road. The Arna–Stanghelle K5 option must now be activated. We need to get started at the same time. The joint project must leave the project leader free to plan for optimal progress for faster implementation, and one must continue the planning between Stanghelle and Voss. The government has decided that New Vegar AS will take over the Ringerix Railway and E16. They're going to get a more holistic expansion, they say. But then the K5 joint project has to have the same conditions. There is a lot of talk about New Roads making things more effective, but if we are to get a real comparison here, one must at least expect the different actors to have equal opportunities. Then one can consider who does the best work. Bakka-Solheim is a part of E134 with a lot of traffic without a yellow middle stripe. So we've given priority to this distance. We talk a lot about the follow-up to the maintenance of county roads. But what about rv. 13, Fjordvegen? So it's a highway that's not being upgraded. The government has transferred this part of the route to New Roads without increasing the annual budgets. If we are to have an upgrade of this road, it must be for means. We have added funds to the Vika mountain in addition to Kinsarvik-Bu. A stretch like the Vika mountain is so much connected that you can't have a bus route there in the winter, so we can't have it. Nor can it be that New Roads should be set when Rv. 13 shall be rusted up. We must have political control over this. There is a lot of talk about a lot of expansion with this government. I would like to remind you that this government has not started a new project in Hordaland since NTP in 2017. One project was in Hordaland at the time – it was the Sotra connection, but it is not yet going on. So it's time for Hordaland to get its fair share of these expansions. We also have to make the siesta to build well enough. One doesn't need four-field road at 110 km/h for all places. One must be built according to what one has. I would like to remind you that the K5 option between Voss and Bergen is a two-field road. The most important thing for us is that it is a safe way, and that it is safe running for all parties. I'll come back with the rest.
ParlaMint-NO_2021-06-14.ana.ud492e2957	Modern and efficient road, rail, collective and broadband transport solutions are the main means of regional policy. It is essential to support the growth potential of District Norway, which has the important industries that pay for well-being. This applies, inter alia, to: the shipbuilding, forestry, forestry and aquaculture industries. The latter exports 37 million salmon meals every day, and most of it carries cars to markets in Europe. Since 2013, the traffic appropriations have almost doubled, and Trøndelag is one of the traffic gains with the investment of around 60 billion. kr, including bonds in this NTP. E6 is the main artery through the Trendelag, and that's why I'm very happy with this NTP. It's historic when we finally build coherent, modern and secure E6 throughout the county. We have already realized the E6 south of Trondheim, and Ranheim–Værnes is under the control of the success of Nye Veier. The same applies to E6 Whitehammar-Åsen. The planters are in full swing, and it smells asphalt all over the Trendelag. There's a lot of activity in the contractor and supplier industries. In this NTP, we also ensure that the Åsen–Steinkjer and Selli–Asp sections are included in the New Vee portfolio. In addition, the State Road Service shall build the E6 Grung-Nordlands border for approximately 3 billion. kr. The tread is modernised and electrified, initially until Stjørdal, and the Meråkerbahn is electrified. In addition, we get new train sets and half-hour departures on the entire Trunder Railway by 2027. If not enough, we have also used approx. 500 million. kr on the expansion of broadband in Trøndelag. I would also like to mention the county road, where the state will now take an even greater share in important economic and commuting routes. A good NTP has become even better through the streamlining of the message. For Trøndelag, this means that the E14, which we provided for planning funds at the current NTP, is now starting in the first period of the new plan. E14 is an important transport corridor for Sweden, with significant freight and timber transport and high accident loads. The right also recommends that the E14 section be included in the New Wegener portfolio. This means that the barrel can travel safer and faster along the main road network, either on the way to or from work or on other occasions. Modern transport solutions provide more housing and labour market regions and create greater mobility and attractiveness in the region with the most optimistic and innovative business. Dream layers are part of the solution when we're going to speed Norway up again and get people back to work, when we're going to create more and include more.
ParlaMint-NO_2021-06-14.ana.ud492e2974	Bad roads cost business an enormous amount of money because it takes longer to get the goods out to the market. It threatens Norwegian jobs and is negative for the environment. Therefore, better roads will secure people's jobs, and we will be able to create more jobs for people. It can be clearly seen that the level of ambition of the government of Solberg has fallen dramatically since the Progress Party left the government corridors, and they reduce the investment for road purposes by nearly 30 billion. kr in relation to our last NTP. For Finnmark, which has mainly road as its only means of transport, this will have enormously negative significance. Unfortunately, Finnmark does not find it worth mentioning that considerable efforts should be made on trains and tracks. The Progress Party has ambitions for a real trade promise, also in Finnmark, and I record that it is being duly criticised, especially by the Workers' Party. Then the situation is as normal as it can be, because the Workers' Party has never had such ambitions, and unfortunately they don't seem to have it in the future either. The Labour Party uses words such as ‘populism’ and ‘realistic’ about the progress of the Party on trade in Finnmark, not unlike the arguments they used when the Progress Party targeted the job in order to remove the toll collection on E6 west of Alta. But we removed the bomb! Nor is it different from the arguments they used when the Progress Party increased the cost framework of the last red-green NTP in 2013, from 606 billion. NOK 1064 billion. kr, but the Progress Party also implemented it. The list is a long list of projects The Progress Party has set out to achieve a transport lift for Finnmark. Here, the Workers' Party and the Centre can largely choose and choose projects to improve the transport solutions in Finnmark, but they choose instead of voting against these projects. The concrete proposals that the Labour Party and the Centre will vote against are: accelerate E45 Split, starting in 2022 co-operation E45 Split with project E45 Eiby, a road-safe solution for better accessibility of E45 past Eiby, which will bring good socio-economic benefits E6 Upper bay west – Hesseng with current bridge, start and finish in the first period E6 Brilliant transparencies, means of completion in 2022 E6 Tana bru – Skippagurra, walk and cycle path along existing E6 E6 parsell 1, new E6, start-up and completion in the first period E6 Alta Brussel Parsell 2, Brussel Solution South-west port, port-basin extension Mehamn, expanse of fairway accelerated entry of Vardø to the first period new cruise and multipurpose skis in Alta Banak airport, civil aircraft production site and turning circles in both lane ends Now it should be mentioned that the Workers' Party supports some of our comments on these projects, but when there are concrete proposals for implementation, they jump off. Unfortunately, there is no money with the comments of the Workers' Party and the Centre's party, nothing but greetings at home without obligations.
ParlaMint-NO_2021-06-14.ana.ud492e3025	I'm not going to say that it's completely black with the NTP that is somehow going to be adopted today or tomorrow morning, but to say that it's a little ambitious, at least I have coverage for. It tempts me to claim that the government is failing. It is failing large parts of the country, and unfortunately it is also causing the Workers' Party and the Centre's party. But there is one party that stands out positively – and now I'm not going to brag about the Progress Party, there's no doubt that we have the most ambitious and the best NTP – and now it's a shame that the representative Nävra isn't here, because I want to praise Nävra and SV a little because they're at least betting and having an ambition. They're on the railroad. The error is that they are going to finance the development of the railways by actually slaughtering the road construction. They should not only shave, but cut significantly in the road construction – almost 100 billion. kr or above – to finance railway construction. Otherwise I have to say it's impressive that at least they have some credibility, because they're funding their railway projects. What is a little disappointing about both the Workers' Party and the Government – perhaps the most opposition, especially the Workers' Party and the Centre Party – is that they have put in a lot of projects that they have not funded. I think it is nice that we have had a cooperation between the Center Party and SV in the case of Hamar Airport. I think that is very positive. There's a common comment. After the signals I received from the Hamar Workers' Party, there is an agreement in the Workers' Party, at least in Hamar, to take care of the Hamar Airport. I look forward to the Workers' Party's representatives contributing a little. Now I see the representative Myrli coming into the hall, so maybe he'll come up with some wise words afterwards. At least it is gratifying to see that there are more people in this room who see the importance of taking care of local airports, especially if you think forward-looking about the investment that comes on electric aircraft gradually, and how important airports are for emergency reasons. Among other things, there was a fire in the interior at the latest yesterday and it is important to be able to have fire protection with flight readiness. We got a lot of criticism from the Workers' Party that there was a lot of cake pissing and broken promises. I'm sorry, but I don't understand if it was really criticism by the government, the Progress Party or maybe both. I have to say that those who have broken lifts and eaten a lot of cake, and who have pretended that they should open a lot of way and cut many strings, are the Workers' Party, the Centre Party and SV. They're probably Norwegian masters at planning things that are never realized. That's exactly what we cleaned up in, when we came into government, together with the Right, Left and Christian People's Party. Then we made sure to establish New Roads, which does not plan any things that are not being built. That we're being accused of pie pissing and broken promises, I just don't fully understand. This applies to the evaluation of the reforms. To the Workers' Party, I want to say that you really just have to get out on the road network and see what it looks like. There is no doubt that New Veger is a success. There's no doubt that it works.
ParlaMint-NO_2021-06-14.ana.ud492e3036	The most important thing in this case is to have transport years that are safe, open 24 hours, predictable and up-to-date for today's traffic, for people who travel, will come from a to b quickly. The same applies to freight traffic. I come from a beautiful village called Valsøyfjord. There we have E39 without the possibility to put a yellow stripe on the road once. The road was more like a cultural memory after narrow herb paths earlier. Finally, fortunately, the Stoltenberg government took hold of it and began to repair the road. The ladies there knitted yellow stripe to improve the road further, and now luckily big things happen there. If we see More and Romesdal as a whole, I can comfort you that we are not exactly spoiled by getting development funds in terms of the infrastructure. We have one 90-zone. It's at 5 km – wow! We have 17 ferry routes, and many of them close at 5 p.m. 12th@item: inlistbox In view of the 24-hour opening, it will be closed early. We have Rv. 15, which has challenges with winter conditions, and we have 20 km/h on a stretch of E136 where it now runs trailers with 24 meter trailers. It's a traffic pattern that's changed a lot since the roads were built, and it's important to do something about it now. We have waited a long time for the E136 to be given priority, but we see that New Roads should have the opportunity to build it, and we are again uncertain whether this is being done now. The working party has been working on improving the road between Molde and Ålesund for a long time, and we have three ferry-free routes that we want to build in the long term. We are pleased that this NTP approves the Møreax and that it is a majority in favour of it. It is not right, as Mr Listhaug said in the Chair, that no one is in favour of the Moorax. It's completely wrong. It's flying home today. Many are relieved and happy that we are finally approaching construction. The party of progress is out to mislead the people. First they supported the Moorax until 2019, then they went against it because they were against the tunnel, and then they went for the Romsdal shaft. Now the Romsdal Saxon wants to unload the tunnel, so they're probably going to go against it too. They claim that if we do not have the Moorax, we can get that money to distribute to local measures. That's not the world, and I don't think there are very many people who can trust and feel safe in a party that has such a policy.
ParlaMint-NO_2021-06-14.ana.ud492e3047	On 23 April I attended a digital meeting with several rapporteurs at Nord-Jären and the Food Association at Stavanger. The main message was clear and clear. The rapporteurs in Gjesdal, Sandnes and Bjerkreim wanted New Veier to take over the main responsibility for Hove-Ålgård. The advantages of having New Wegener take over are obvious, said the three rapporteurs. They said that the continuous four-field road from Sandnes, Ålgård and beyond can be realized much faster, to the joy of business, municipalities and residents alike. Planning and development can be seen in the context of the further construction of New Veiger south of Ålgård, as they are also responsible for Ålgård-Lwigal, and the road project is being lifted out of the urban package, where there is already a need between projects. This is in full agreement with the Progress Party. That is why we have today tabled proposal No. 61: ‘The Government asks the Government to assign the E39 Ålgård–Hove to the portfolio of New Veger.’ Then I wonder, who is in the Workers' Party and the Center Party having a lack of impact? Is it the local rapporteurs in Sandnes, Gésdal and Bjerkreim who do not win in their own party, or do they win in the hands of their local elected representatives, but then stops the breakthrough of Myrli and the representative Mossleth, and Hadia Tajik and Geir Pollestad do not win? The consequence of today's decision is in any case that we see the rapporteurs running around in the local media, saying what they are fighting for, while the parties at Stortinget are doing the opposite and voting down exactly what their own rapporteurs are asking for. We were able to read in the Gäsdalbogen that New Roads are ready this morning and that the route is at the top of the wish list. The Progress Party also believes that the best thing to do is to plan and build the entire stretch between Lwagal and Sandnes. It gets cheaper, and one avoids that Ålgård becomes an unacceptable bottleneck. Unfortunately, only the Progress Party is clear on this today. So on another theme: The Storting will today adopt projects for 2.97 billion. SEK to Finnmark in the next 12 years, of a total of 1205 billion. kr. It is 0.25 pst., and it is supported by the Right, the Labour Party, the Center Party, the Christian People's Party and the Left. The Labour Party is talking about that now is the common people's turn, the Center Party believes in the whole country, Right builds the country, but Finnmark is apparently neither part of the whole country nor populated with ordinary people. In contrast to the other parties, the Progress Party has a big-time representative from Finnmark who fights for the county and wins out in his own party. Due to Bengt Rune Strifeldt's representative, the Progress Party proposes twelve specific projects, which he has duly mentioned. But the same parties are going to vote them down and thus show that, unfortunately, the election campaign word consists only of empty words.
ParlaMint-NO_2021-06-14.ana.ud492e3060	The centre party believes that this is essential for the development of rv. 4 that you get a clarification of what is referred to as the Fossil Diagonal, out of Oslo and northward. This is going to be a solution that makes sure to connect rv. 4 with rv. 163, East Aker road and E6. The centre party believes that the Reinsvoll-Jaren route is an important route for the Raufoss industry. The section has an annual traffic of 5,600, with a heavy-duty car share of 15 pst. Riksveg 4 over Lygna can be very challenging in winter, and the distance past Eina and Eina is the oldest part of Rv. 4th@item: inlistbox Work should be started to ensure the repair or construction of a new road as a substitute for the current route. The centre party has been clear about this all along, and we want the portfolio of New Veger up until the year, and not least until the Hagan tunnel is expanded in the second period, and we are promoting a proposal for that portfolio to be expanded. In addition, it is Ferens-Hande. It's a nutritional path that needs better promotion. It's the last big bottle of E6 through Valdres. The conversion of E16 outside the centre of the Ferne will be important for commercial and other transit traffic, for local traffic and for road safety. The centre party suggests a start of 1 billion. kr in the first period and SEK 1,2 billion. kr in the second period, so that this project is fully financed. We are also promoting a proposal on this. Route 15 over Strynefellet is an important east-west corridor for passenger and commercial transport. An important part of the transport of food is fish and furniture. In total, this represents an annual valuation of 70 billion. kr. Kurvatur, bering and width are not up-to-date on most of the distance. This affects accessibility, road safety and preparedness. The three tunnels from the Stryn Mountain in the direction of Stryn are disassembled. They lack their height and width and pose a safety risk to accident and fire. The center part will add 1 billion. kr in the first period and SEK 3,4 billion. kr in the second period for the implementation of this project. Finally, there are still allegations that the projects submitted by the Centre Party are not funded. I believe that the representative of the Advance Party in particular must go in and read the document. It's not 50 cents of what we've proposed, which is not inside and is part of the financing plan with an increased framework of 5 billion. kr and a redispatch of money from the first to the second planning period. So maybe it's not as much as the Progress Party has put in, 400 billion. kr, but what is there is at least funded. There should be no doubt about that.
ParlaMint-NO_2021-06-14.ana.ud492e3075	It is good that there has been a lot of focus on Rv. 4 here today. This indicates that there are many parties that see that there is a need to do something about rv. 4th@item: inlistbox There has been a period of changing Progress Party-transport ministers where nothing has happened to Rv. 4th@item: inlistbox Fortunately, there was a change, and I want to praise Hareide for getting him back on track again. The 4th extension on Hadeland from Gran border to Roa. That was absolutely necessary. There were many demolished houses there, people had moved from their houses, but nothing happened on the Guard of the Advance Party in the Ministry of Transport. Gjøvik–Moelv has now been introduced as a project in this NTP. That's absolutely necessary. But we have to move on. Therefore, the Workers' Party has put funds into its alternative to NTP to initiate design and possible start-up both on Rv. 4 and on other roads in Uppland that it's important that we get started. What surprises me a lot about this matter is that the Progress Party has now suddenly begun to give priority to Rv. 4, after they've been sitting with the Minister of Transport for so many years, and they're running around and telling us how to get this in place with a financing arrangement that no one else in this room joins. It must be quite demanding to see that you do not have any friends when you are going to provide an NTP that contains much more money. And it's not just the money used here, which is quite demanding, because as I understand it, you're going to use the entire investment fund to remove parts of the toll debt. The rest will probably also have to be removed, and then a good part of the 400 billion will have to be used to eliminate tolls, and then, in the future, the return of the investment fund will be missing. It is not in the budgets of the Progress Party. I could imagine challenging the Progress Party to tell which of the projects under New Roads to start up first and last. It is not that you can just start up all the projects that New Veger is responsible for, sail with the budget of the Progress Party, and we who sit on the Stortinget are still challenged on which roads are to be built first and last. But there's one thing that's certain: if the New Roads are going to expand the individual sections, we don't have to discuss this at Stortinget, because then we leave it to the board of New Roads, and then there will be someone quite different from us to decide which roads to build. That's why we have a good proposal, a good setup for our NTP, which I hope we'll be able to implement when we get into government.
ParlaMint-NO_2021-06-14.ana.ud492e3088	There is a large industrial effort in Agder in wood-based industry and battery production. Morrow Batteries shall be established in Arendal and a new biozin plant on its way in Åmli. To get these goods safely to the market, a better way is needed. The Progress Party considers that the highway linking the E18 with the Arendal port and the industrial operation in the area provides the basis for defining the road as an important economic pathway and thus reclassifying the road to the national road and assigning financial responsibility to the State. The Progress Party has therefore proposed 500 million. kr for construction of this road during the first planning period of NTP. It is also an important nutrient route in the Lindesnes region. New Wegener has agreed to build a new route from E39 if Spangereidwegen enters the NTP with funding during 2021. As is currently the case, there are no obligatory proposals which have a majority in the Grand Duchy. The Progress Party primarily wanted these two road sections and the expansion of the Arendal fairway to enter the NTP with state funding. It does not get a majority, and that is why we are today promoting a compromise to which we are asking the Labour Party and the Centre to listen carefully. By the end of 2021, we are asking the government together with Agder County Municipality and the two municipalities Arendal and Lindesnes to find solutions to realise the project. This project is essential to ensure further industrial development and is fully in line with the priorities and projects set up by the NHO, the actors involved, the county council and the municipality. I record that the Christian People's Party is very pleased with its own grant scheme from the government to the county roads, but for every single constituency and old county municipality it amounts to 39 million. kr per year. For $39 million. kr this year it will not be possible for Agder County to realize these two very important export routes in our region, unfortunately. That is why it is absolutely essential for us to bring the Workers' Party and the Centre to this proposal. Finally, I would like to say that I do not understand why the government parties and the Workers' Party would definitely have Arendal municipality into a reward scheme if they established a bombing. Is there a state pressure on local bombings we see the contours of here? Grimstad, Arendal and Tvedestrand have voted this down, no later than 2019. I have not met a single person in central roles here who will acknowledge that they are working to start a new treatment of it. Who in the world is the one who's been pressured by today's Stortingen to allocate 120 million. kr in reward funds for municipalities that do not want the money? Rather, this money should have been used to invest in important economic pathways in the region and speeded up economic development. I would like, on behalf of the Progress Party, to address the resolved proposals I have made on the matter, and I hope that the Labour Party and the Central Party will support them.
ParlaMint-NO_2021-06-14.ana.ud492e3101	The representative of Åshild Bruun-Gundersen has drawn up the proposal No. 354, 355 and 356.
ParlaMint-NO_2021-06-14.ana.ud492e3106	This is going to be my last post on Stortinget. It's okay that the matter is NTP. Over almost 40 years of popular choice, this has been a major concern for me, seen from Karmøy and Rogaland. Viewed from there, I believe today's setting means a crossroads. This part of Norway is located in the middle of the big cities of Bergen and Stavanger/Sandnes. Rail is a foreign resort between Boknafjorden and Björnafjorden, but the region is unique with the shortest road east-west as the national transport corridor E134 to the central eastern region, including Grenland. Nord-Rogaland and Sunnhordland are very important industrial areas for the Norwegian economy with the highest levels of data competence, maritime services, shipbuilding, breeding facilities, energy production and the petroleum industry. I will point to significant clusters of nutrition at Bømlo, Stord and Tysnes, within Windfjord, in Haugesund, at Tysvær and on Karmøy. I would like to mention someone: Westcon, Fatland Group, Granberg Garveri, Omega, Hatterland, Stord Verft, Wärtsilä, Aibel, Hydro, Karmøy factories, Gassco, Kårstø, Solstad Offshore and the shipping companies in Haugesund. This is best for the Western world, as well as for fisheries and agriculture: high value creation, entrepreneurial spirit and willingness to take action — everything with a central location by the sea, between major cities and the shortest road to the east. All of these establishments are completely dependent on the 24-hour cycle of E134 with hundreds of daytime trailers. They depend entirely on full operation at Haugesund Airport, a project together with Haugaland Kraft that itself shows the stand-on will in the region. E134 and Karmøy Airport are the main channels today, and together with Karmsund Port IKS this constitutes a transport structure with a significant international perspective with high value for the coastal region. I would strongly argue that the national importance of the region is unfortunately under-communicated. Today, I can see that today’s NTP decision means joyous new conditions for the region: the restoration of E134 s, a new tunnel at Røldal, the start of the Bakka–Solheim project and a new road to Karmsund Port. When we also wait for the E39 Rogfast and Hordfast against Bergen to be realized, I would like to thank those parties who have understood and supported the setting. The region is ready for new challenges over land, through air and with more cargo over sea. Just think of Haugaland Food Park Gismarvik, with Norway's largest pre-regulated industrial area. At the same time, I would like to thank and praise the truck industry, the drivers, the municipalities and the voters who have pressed and shown confidence. Thanks to business associations, businesses and organisations that have contributed materially and seriously to producing needs and facts over many years. I would particularly like to highlight and thank Minister of Transport Knut Arild Hareide and his competent staff. The region has thought that we had a legitimate wish, and we now experience that the region has been heard, also in a demanding coronary age. I would like to thank you for all the measures relating to Rogaland in other areas, subsidies to county roads, etc. Something will always remain, such as Karmsund bridge. Finally, I would like to thank the presidency, the staff and elected colleagues in the United Kingdom for their good cooperation over seven years.
ParlaMint-NO_2021-06-14.ana.ud492e3125	Then the President would like to have his thanks back!
