ParlaMint-NO_2021-10-20.ana.ud207e37	The representative, Kristoffer Robin Haug, will present a proposal for a representative.
ParlaMint-NO_2021-10-20.ana.ud207e10059	I think the representative Sanner chooses, if not to misunderstand – it might be to go far – so to understand it this way. With the fourth requirement in mathematics, it's government and big business that determines which subjects the teachers are going to fill in, while with our arrangement, when we say that you learn to take professional fill through the working life where there is a need for it, we say on the contrary that we strengthen more of the subjects in the school. We are also very clear in the Hurdal platform that having a more practical school – strengthening the practical and aesthetic subjects also on the continuing education and training side – is crucial. The fact that students are different when they get into school has to be a strength. No matter what you bring in your luggage, whether you want to read to knowledge about time and space, or whether you want to know to it, whether you're practically strong, theoretically strong or both, there should be room for you in Norwegian school. Therefore, this government is committed to strengthening efforts to improve continuing training in practical and aesthetic subjects.
ParlaMint-NO_2021-10-20.ana.ud207e10064	I would also like to begin by congratulating the Council of State on the appointment and wish you luck with one of the government's most important tasks. There are two stories from young people that made a particularly big impression on me in the election campaign. One was from Tuva in 15 years, from Sande in Sogn and Fjordane, who, since she was a little girl, had worked purposely to get into the sports line on the Sogndal further on. It was her dream, but because of her postal code and that she no longer had free school choice, she could not go on the sports line she had dreamed of. I also want to refer to Luke in 16 years, from Flateby in Enebak in the Gulf, who came into his fourth choice because the three top schools were too far away and free school choices were removed in the Gulf, which the council knows very well, and which she was in. My question is whether the Council of State sees any negative aspects by depriving students of the freedom to attend and choose their school through free school choice.
ParlaMint-NO_2021-10-20.ana.ud207e10076	I would like to thank you for the congratulations of the Gulati combination, which warms the heart of a wool sock. There is hardly any perfect higher education admission system, but what we have to provide is that as much as possible we have the opportunity to take the course of education they want, in reasonable proximity to where they live, so that we do not make it more difficult than necessary to complete and pass. The representative calls it free school choice. I guess I'd prefer to call it the character-based intake, because that's what that means. This means, in reality, that with the most powerful characters, they have to take their place first, while everyone else has to line up. So I believe that it is a fine principle that has been in existence in Norway for many years, namely that it is the states that are the densest students, the schools and the workplace and the business community, who are involved in determining which students are to be channelled to which schools after they have applied. It still believes that this government is an important principle. We'll stick to that, and we'll reverse the changes the Solberg government did.
ParlaMint-NO_2021-10-20.ana.ud207e10085	I would also like to start by congratulating the Council of State, Brenna, on the appointment of one of the most important jobs in the new government, and I look forward to good cooperation in the future. It is no surprise that in some areas the new government platform could be more ambitious in the light of SV’s views, including in the knowledge field, for example. in order to ensure that each krone given to the kindergartens in taxes and parental payments actually goes to the children's offers and not to the private profits of large groups. There, we believe that there is a lack of action in the platform to actually reverse developments, such as requiring each kindergarten to be an independent legal entity. Why is that important? Well, it's all about, among other things. on transparency. My question as to whether the Council of State is open to further action in this field, for example. in line with the recommendations of the Storberget Committee.
ParlaMint-NO_2021-10-20.ana.ud207e10094	I thank you so much for enough a pleasant wish for happiness. Our rules for kindergarten were designed at a time when we had a great need to build up many new places quickly. Today, the picture is quite different. About half of our kindergartens are run by private people, and over the years since the kindergarten agreement was concluded, the proportion of private kindergartens has increased, and the number of groups now running kindergartens has also increased. I want to give the representative quite right that there is a need to renew and strengthen the legislation here, so that we ensure that kindergartens are not driven by profit, but by a desire to run good kindergartens. So the government has told us to look at the law. This will definitely involve Stortinget, and the goal must be that more of the money you earn in kindergartens, go back to the children – together with a stronger focus on quality, lower price for parents when they have to pay for the place, and that municipalities also get involved and influence which kindergartens are allowed to establish themselves in which municipalities.
ParlaMint-NO_2021-10-20.ana.ud207e10103	It is good to hear, and the goal of SV is that every penny we spend on kindergarten should go to an even better offer for the children – better staffing, increased competence, better space and equipment, just to mention something. This is urgent, because if the development continues as it is now, half of the private kindergartens will actually be owned by the five largest commercial kindergarten groups by 2029. Then SV believes that it is a little too weak that the government platform, for example. it only states that it will be considered whether to introduce a municipal right of pre-emption for kindergartens sold, when this has already been established by the Storberget Committee. Therefore, I would like to ask the Council of State when she aims to land this assessment, so that we can take the necessary steps to prevent further harmonisation and commercialisation of our kindergartens.
ParlaMint-NO_2021-10-20.ana.ud207e10110	I share the commitment that the goal of those who run kindergartens must be to run good kindergartens, and that it is quality, well-being, play and learning for the kids that are the most important thing. So I would say that designing a new law for this field, which too many other fields, is complicated. With the quick headcount I have managed to do after I went to the Norwegian Joint School under the then knowledge minister Gudmund Hernes, I have calculated that it is about. 123.5 hours since I sat in the Council of State chair. So I don't have an exact time when we're going to get back to Stortinget with these rules, but I can assure the representative that the commitment is great, primarily because our kids are going to have high quality in kindergarten when they go there, and also to regulate this better – for the benefit of kids in our kindergartens.
ParlaMint-NO_2021-10-20.ana.ud207e10117	First of all, I would like to congratulate State Councillor Tonje Brenna on what several have already been involved in: one of the most important posts in the government. For it is about children and young people and growth, and it is also about teachers, students and getting this good cooperation. I remember the Council of State from my first meeting with her in a school debate – it's probably twelve to thirteen years ago – and I see that the energy, gentleness and knowledgefulness are both further developed and fully present. This will be a good collaboration at Stortinget, and I look forward to it. Then this debate is also about raising some differences, and we in the Left have no challenges with the private – whether it be private schools, profile schools – we believe it is an important grant in Norway. I'm really wondering what the council will say to all those who work in these schools, all those who have used these schools, and not least parents who have been very happy with the offer that has been there. Would she be able to say something reassuring to these, taking into account what is said about them in the government statement?
ParlaMint-NO_2021-10-20.ana.ud207e10126	I thank you for the pleasant and warm congratulations, and I also send them back. It's nice to see the representative Raja again. To all those who go to a private school, to all those who work there, and to all the parents who have chosen private school for their children, I would say, thank you very much for doing the job you do. Thank you so much for going to school every day, doing homework, reading what you're going to, and putting it into rehearsals. But I would also say to us as politicians that if we succeed in the goal of strengthening the common school, it will go at the expense of some of the appropriations and priorities we make. President, you have to forgive me if I remember wrong numbers, but I wonder if the Solberg government budget did not allow us to spend about 6 billion. kr in private schools. That's six billion. kr that could have been used in primary school. I'm not saying with this that this government will cut all those transfers, but I say that there is valuable money for us, which we can invest in the field of education for the benefit of all Norwegian children and young people who are going to go to our common knowledge school in the years to come.
ParlaMint-NO_2021-10-20.ana.ud207e10135	Replicate cord shift complete.
ParlaMint-NO_2021-10-20.ana.ud207e10140	For the right, the Norwegian healthcare is the patient’s healthcare. It's always the patient we're looking at when we're creating policies to solve the important health challenges. It's my grandmother, who deserves to be able to choose even when health fails and she needs help in everyday life. It's the boy who's been struggling with mental distress, and he wants to choose a drug-free treatment. She is the one who has been told that there may be cancer in the colon, and who is sedated to shorten the waiting time for an investigation, because public health services use free capacity in the private sector. There have moved new forces into the Ministry of Health, and along with that removal box is neither the freedom of choice for patients nor the confidence that it is the patient who knows best about himself. In the Hurdal platform – or the Huddarn platform, which common people in the upper part of Rome, where I live, might say – the patient’s healthcare is not mentioned in one single word. Despite the fact that the platform says that the government is to ‘move power to ordinary people in all areas of society’, it obviously does not apply to patients. Patients and the elderly will be given less power and less freedom of choice. Where over eight years we've created a healthcare service where the system needs to adapt to the patient, the Workers' Party and the Center Party turn this upside down and put the system first. Not only has the patient’s healthcare been a healthcare service where the most important question we ask the patient is: What is important to you? In the last eight years, the patient’s health service has provided high-quality healthcare with shorter waiting times. From 2013 to 2020, hospital waiting times have been reduced by two weeks. The waiting time for drug treatment has almost halved since we took over in 2013, from 59 to 33 days. We know, and many of us have known, that every day you have to wait can be tough and difficult both when you're a patient and when you're a relative. The recipe for reducing health cows and waiting times is not to say no to use all the good forces that will contribute to health care. The recipe for ensuring patients greater security is not by moving power from them back to the system. We are pleased that the new government will follow up its efforts to ensure a permanent system that is sustainable and forward-looking. Our 2020-2024 action plan is a historical strengthening of the general medical service by 1.6 billion. kr. So we know that the challenges can't just be solved with more money. The workload needs to be reduced, and we need to help reduce the financial risk associated with regularity. Safe and exciting professional environments must be created and good follow-up and organisation provided during the specialisation process. We also hope that the new government will follow up our enormous commitment to competence in the health and care sector. A professionally strong healthcare service is the vitality and safety of patients and relatives — in preventive health care, in specialist health services, in community health services, in mental health protection. The new Minister of Health will meet a constructive Right here in Stortinget, but she will also meet an uncompromising Right when it comes to standing on the side of the patient and freedom of choice. We cannot accept that this government is tearing down the patient's healthcare decision for decision. We want to fight for the right of the elderly to have free choice of use, the right of the residents to choose their own treatment site. We will fight to ensure that patients continue to receive prompt and proper health care by providing private forces with their diversity, their available capacity and their innovation. Right has a long tradition of shifting power from the system to the patient and fighting for stronger patient rights. The fact that the Workers’ Party and the Centre are now weakening patients’ rights by removing the free choice of treatment needed by seriously ill patients and by removing free choice of use in the care of the elderly is sad. We have stood and will always be on the patient's side, and we will continue to provide the patient's healthcare. Finally, I would like to address the Right proposal.
ParlaMint-NO_2021-10-20.ana.ud207e10161	The representative Tone Wilhelmsen Troeen has drawn up the proposals she referred to. It's going to be line change.
ParlaMint-NO_2021-10-20.ana.ud207e10168	First, I would like to congratulate the representative as the new head of the Committee on Health and Welfare. We in the Labour Party look forward to constructive and good cooperation in the Committee, which is particularly important now when we have a minority government. The representative Wilhelmsen Troeen said that you should be on the patient's side. But obviously not all patients. The first matter that the representative raised when she became a health politician was the fight for abortion subjects. I have to say that I reacted quite a lot to that, not least when we have backed up the previous government, which decided the abortion law in the back room instead of in floodlights, as the Workers' Party now wants to do in government. The question is, why does the representative think that an admission is better than the woman herself to make important decisions for her life?
ParlaMint-NO_2021-10-20.ana.ud207e10176	First I would like to say thank you. I also look forward to working with the representative Myrseth. I think the words congratulate and thank you must be the ones that are most used here in the hall today, and it says a little bit about the fact that power acquisitions are good here in the Stortinget as well. The right has opted for the day's abortion permit to be fixed. It means self-determined abortion to 12 weeks, and that means that we're going to keep the denominators. It's not controversial, it's in the Right Magnitude Selection Program. Then we have a free and independent press in this country, and when you are interviewed about your new task as head of the Health Committee, you can't actually choose what's going to be the headline and the ingress. I talked to the journalist about a lot of other things. I am determined that we can work together to see how the abortion students can work better. The right-hand government has also done a lot to ensure that the abortion subjects work well. But the Right's policy in this area is absolutely firm.
ParlaMint-NO_2021-10-20.ana.ud207e10183	I don't quite know what the representative Wilhelmsen Trøen thinks about predatory challenges, but it's highly related to mental health. People in Akershus have been frightened by wolves. They've lost both pets and pets. And the reindeer in the Northland are in despair. In recent years, predatory wildlife plagues have accelerated. The cleaning is the most important prey at my house. The first reindeer district is now laid desolate, and many other districts have scarcely animals to slaughter. Still, the flocks are shrinking. Can the representative Wilhelmsen Trøen and Right now plan to support a more restrictive predatory policy?
ParlaMint-NO_2021-10-20.ana.ud207e10188	I come from an area that has challenges with wolves. I have neighbors and I know a lot of people who think it's incredibly demanding to live with it. I had where I used to live, at Eidsvoll, a neighbor who one summer lost almost half his sheep flock to pasture in our area. I have a very strong understanding that it's demanding. But then it is that our predatory policy should also be balanced, and I and the Right stand on what is predatory settlement here in the Stortingen, and hope that the new government, with the Center Party, will ensure that what has been adopted here in the Stortingen as a broad deal with the stock of wolves and other predators, will continue to exist in the future. It's important for a lot of people.
ParlaMint-NO_2021-10-20.ana.ud207e10193	I am also happy to work with the representative of Wilhelmsen Trøen in the Health and Care Committee. It may be a little early to congratulate the Committee Chair. I guess it's fair to say that it's 100 pst. I'm sure it will, but I guess it won't be until tomorrow. I have agreed with much of what the Right has done in health policy. I mean, they've done a lot of good. But I have to say that it is quite provocative to experience that the last government is presenting, is an invasion of approx. $1.5 billion, $500 million. kr, from ordinary people and many ill people who don't have a good economy, who get increased by almost 500 kroner. How does the representative Wilhelmsen Troeen think that is right? In fact, the government proposed even higher ceilings in its draft budget for this year. The progress party got it turned to the ground and got rid of that increase, but now I am recording that the previous government is making a new proposal that will mean too many.
ParlaMint-NO_2021-10-20.ana.ud207e10200	For the Right, it has been important to do something about self-interest in order to make the system more social. Those who have had and have high health costs have paid very much in proportion. The aggregation of these two ceilings is a simplification for the users. And then we must not forget that some groups – minimum pensioners, children and people with occupational injuries – are already protected from part of this. One of the four Nordics has a free card today, and by merging these two caps, the free card limit will be 1715 kroner lower for those patients who had previously not had to deal with just one limit, but who had to fill out both free card amounts before they could get a free card. I am aware that the Progress Party has disagreed with the Right in this matter, but this is the Right Policy.
ParlaMint-NO_2021-10-20.ana.ud207e10205	The government of Erna Solberg chose to restrict Norwegian women’s abortion rights. This was the first time the abortion law was restricted over the 40 years it has been in place. So it was the Right and the Solberg that opened the dance about change. Norwegian women clearly informed the government of Solberg that this was not wanted, by taking to streets and squares throughout the country to protest. This year’s elections also provide a basis for liberalising the abortion law and reverse the changes made by the Solberg government. I have recorded that the representative Wilhelmsen Trøen has announced a fight to prevent liberalisation. I have a dream that the Right Party takes Norwegian women seriously and listens to the demand from the people that women's self-determination be respected. Women shall have the right of self-determination. Why does the representative Wilhelmsen Trøen want to hold on to such an over-the-counter to Norwegian women?
ParlaMint-NO_2021-10-20.ana.ud207e10214	The abortion law balances two incredibly important considerations: the consideration of the woman and the consideration of the foetus and the legal protection of the foetus. The abortion law we've had since 1978 has served us well, and we've been able to maintain this incredibly important balance. So when the representative Hussein says that our government opened a ball to discuss the abortion law, it's completely wrong. SV has said much earlier than this that they want an extended limit on self-determined abortion. It's quite natural, and we have to dare to discuss the abortion law. It's incredibly important, but the Right's position is clearly clear, and we don't have to start any rematch or fight. Our position is quite firm: today's abortion permit is established for us. It involves self-determination for the woman up to 12 weeks, which is incredibly important. It also means that we still want to have abortion subjects, because we believe it is important for the woman too when she is going to make a difficult choice.
ParlaMint-NO_2021-10-20.ana.ud207e10221	Replicate cord shift complete.
ParlaMint-NO_2021-10-20.ana.ud207e10226	I would like to congratulate Norway on a new government, the ones that have been appointed as important positions, and not least all who have been given room in this Chamber. The new government, in cooperation with the Stortinget, will have all the prerequisites for delivering a new and fairer political course and development across the country, in line with what people have wanted. One of the important grips in the platform is that we jointly need to solve the transformation we're in. So the state has to play a more active role. The state is an important precursor and interacts because we use the Norwegian resources to create value for the benefit of the community. The Solberg government forgot the link between good business, especially in districts, and good business, there is a need for local communities to have the opportunity to facilitate housing and development. When communities feel that they are still under attack, it is not beneficial for local business to go well alone. The new government has a completely different understanding of the context, and it is shown in the platform. The history of Norway is a story of scattered settlements, large, scattered natural resources and people who saw the opportunity. We have now received a government that wants to build the whole country, which will bet on the opportunities available everywhere for increased value creation, ensuring that we get population development in all parts of the country. We have to improve the trade balance with the rest of the world. Increasing Norwegian exports is a clear goal for the government and the Central Party. This is how we finance our common well-being and ensure that people have a job to do. The central party's energy and industrial policy is based on nature. It also does the policy of the new government. Human activity in and use of nature necessarily leads to traces. It's about getting to the balance sheet. The business community also has a separate responsibility here. The world is increasingly demanding low-temperature products. Norwegian industrial environments have competence that is crucial in the conversion to low and zero emission solutions. Through a green industrial offensive, Norway can create jobs, secure the welfare of the future and help cut world emissions. In order to achieve all of this, it is important that we ensure better framework conditions, and that Norwegian natural resources, including for example: reasonable renewable energy remains a competitive advantage for Norwegian industry. I note that the government will contribute more to the development and scaling of industrial technology in Norway, for example. through a green State investment company. It's forward-looking. The capacity of the mains shall be increased throughout the country and the concessional period shall be reduced. These grips are crucial for the construction of new industrial workplaces. The government wants to make progress in creating an even larger industry around Norway as a space nation. I'm very happy about that, especially as a West Warrior. It's a race where the state has to be involved and contribute. We need to continue our efforts to simplify and reduce bureaucracy, while at the same time having good control procedures. The commercial and food industries are industries that ensure a high level of employment and jobs throughout the country. They contribute to living communities and urban and rural activities, while requiring better regulation. The chain memory must be reduced. The maritime industry that we see across the country is an important cornerstone of many communities and creates great values. The Government and the Central Party aim to facilitate further growth in the maritime sector, with Norwegian wage and working conditions and international competitiveness. That potential is great. We've got a government that sees the value of agriculture and forestry, what industries mean for jobs, preparedness and activity throughout the country. It will be an important task to close the income gap and ensure that we still have agriculture throughout the country. Soil protection is important in this context. Here we must be long-term and have a restrictive policy. A more offensive policy for the forest industry is also good industrial policy, good rural policy and, above all, good climate policy. The fishing industry is of major importance for the Norwegian economy, for value creation, exports, settlement and workplaces along the coast. The Government Platform focuses on the territorial policy objectives of fisheries legislation on employment and coastal communities. At the same time, there is a lot of work to be done to achieve all of these objectives. A new notification of allowances therefore needs to be put in place for an incredibly important industry for the whole country. At the same time, we shall continue to contribute to the development of an increasingly sustainable aquaculture industry that provides activity. Finally, nutrition policy is crucial to the success of the other policy objectives set by this government. I look forward to the next few years of good cooperation between government and big business to solve this.
ParlaMint-NO_2021-10-20.ana.ud207e10264	It's going to be line change.
ParlaMint-NO_2021-10-20.ana.ud207e10269	I thought it was very nice to hear the representative Nordlund talk about nourishment in the districts, because in the nation yesterday we could read that the Rørosmeieriet warned more expensive milk after sudden cuts in the distribution grant. This is probably not surprising for the Centre Party, all the time the new platform provides for less competition and more monopoly in food and agricultural policy. What surprises me, however, is that it is not seen that increasing the level of monopoly will lead to more expensive and poorer offers for ordinary people, while also having a significant impact on the very business of the districts, such as the Q-Meieriene and the Rørosmeierieriet. At Røros, there are almost 50 jobs, and this decision can help centralize their jobs. So, therefore, to the representative Nordlund: will the Senterpartiet be involved in a more predictable solution for those who work at the Rørosmeieriet and the Q-Meieriene, than to stand firm to crack in place monopoly by cutting the entire distribution grant in just a few days?
ParlaMint-NO_2021-10-20.ana.ud207e10283	I would like to thank the representative for noticing that we have a forward-looking and offensive industrial policy, and that should really be lacking. It's true that a decision has been made in the directorate saying that you should remove the grant to the Rørosmeieriet and the Q-Meieriene, and we'll get back to what it might look like. But it is quite obvious to both the government and the Central Party that we need to look at how the chain of custody is regulated in this, and how the food industry is dealing with this. We will continue to facilitate the development of good local food producers, but this cannot be done at the expense of anyone paying for a few.
ParlaMint-NO_2021-10-20.ana.ud207e10290	The centre party has criticised what they have called a large-scale centralisation in recent years of post offices, county offices and other government offices, which have not necessarily employed many people in the communities, but where the centre party has stood on the barricades. Yesterday, the day after the Prime Minister's statement, the message came that Nortura, the farmers' own organisation, centralized and laid down two lines: on Steinkjer and on Forus. 79 ordinary people at Steinkjer lose their jobs. Unfortunately, I have not seen the Center Party stand on the barricades for these district jobs. Gharahkhani in the Workers' Party said in his speech that the centralisation of Nortura must now be brought to an end. Nortura's board of directors owes them to political framework conditions as to why they do this. What is the Central Party's plan to make Nortura turn around and maintain the 79 jobs on Steinkjer that are occupied by ordinary people?
ParlaMint-NO_2021-10-20.ana.ud207e10297	It is quite rightly observed that we have had a very centralizing government, which also the representative Sivert Bjørnstad has been part of. The Center Party has been critical of this with a lot of other people. It also shows the election result. With regard to the representative’s questions, this is what the Board of Directors of Nortura has decided, without the Central Party having had the opportunity to change, where appropriate, the framework conditions that led to this conclusion. On the other hand, the representative Sivert Bjørnstad has had full opportunity for the last eight years, but has not chosen to do so.
ParlaMint-NO_2021-10-20.ana.ud207e10304	Gharahkhani and the Workers' Party say at Stortinget's pulpit to Nortura that centralisation must end – when the Workers' Party's representative says it, why can't the new head of the Centre's nutrition committee, Willfred Nordlund, join the same? The strange thing here is that the director of Nortura says that there are political framework conditions that make them have to do this cut. Well, can't you say what framework conditions you want to change to make Nortura turn around in this case and maintain the 79 jobs at Steinkjer? They were ordinary people who lost their jobs? I don't think there were many of the employees in Nortura on Steinkjer yesterday who felt that it was common people's turn. On the contrary!
ParlaMint-NO_2021-10-20.ana.ud207e10309	I think it's broken what's happening. I believe that Nortura should have examined the new political space and had a dialogue with the government. If that's going to happen in the future, I don't know. That's what's going to be the result if Nortura doesn't take responsibility for the development itself. When it comes to the question of what framework conditions the new government and we at Stortinget are going to bring in to prevent that kind of industrial centralization, I think the representative has a good opportunity to get involved in the platform's many measures to reduce the chain decay, so that it makes it easier for the big market regulators to do so at the same time as they are going to make money. Obviously, a private company has to make money. The fact that this happens under the conditions of the outgoing government is quite obvious – the consequence we now see with the decision of the Board of Directors in Nortura, unfortunately, has been made.
ParlaMint-NO_2021-10-20.ana.ud207e10316	Congratulations to the representative Myrli on his honorary position as Vice President of Stortinget, and also congratulates the representative Nordlund as head of the Economic and Social Committee. In the Right, we look forward to working with the Center Party in the Committee. My question after reading the platform, and in particular the issue of value creation and business, is related to a point that I hope the representative can really explain what it contains. It is linked to the point of exercising a State ownership instrument. What does that mean?
ParlaMint-NO_2021-10-20.ana.ud207e10323	The new government is quite clear that the state should become a larger and more active player in order to facilitate the new forward-looking industries. And it is quite clear that such investigations will come to the European Parliament for treatment — on which instruments we are going to use as a state for an active ownership policy. It is quite obvious that some of the ways in which the previous government has dealt with ownership policy have been that everything should be allowed to be as it has been. You're going to be allowed to control yourself. Unfortunately, we see the effect of it around. Some places are not kept to the industry you have, nor are you allowed to put in place new industries. Some good start-ups have been, but the state has to be an active contributor to the transition we're going into – and I look forward to being allowed to participate in the design.
ParlaMint-NO_2021-10-20.ana.ud207e10328	The cord shift is over.
ParlaMint-NO_2021-10-20.ana.ud207e10333	Over the last eight years, or perhaps seven of them in particular, the transport sector in Norway has experienced the upswing of times. With the Progress Party in the Ministry of Transport and as a decisive voice in the policy of transport, the Transport Budget has almost doubled compared to what the previous Red-Green Government left in 2013. Minister of Transport Nygård assumes responsibility for a department and a sector with a high level of activity. After two periods of vigorous road, rail, maritime and aerodrome investment, there are, of course, expectations for the continuation. It hardly surprises me that I think the Hurdal platform has its weaknesses, but there are actually parts of the content that also promise well – if the government delivers on it, well to notice. And President, I think you personally take care of being followed up! Already in the introductory part of the chapter on transport, it is considered that transport infrastructure binds Norway together and is crucial for settlement and jobs across the country. The transformation that we are facing, where society and our business community are to adapt to new markets and times, requires public action to maintain and strengthen the competitiveness of Norwegian business. Good infrastructure in ports, airports and not least a good and safe road network must do so. Then we can secure value creation and provide jobs across the country. Priority should always be given to the most socio-economic projects. But what makes some projects more profitable than others? Well, that's exactly the use of the project. That is why funding is important. When it is invested in new road projects, we cannot introduce tolls, which reduce the use of the same projects and reduce profitability. The Progress Party is clear that public roads are a public responsibility. We believe that the infrastructure should be financed through the tax bill, as we also finance other important public tasks. Over the past eight years, the Progress Party as the only toll-only batch has reduced the use of tolls in road projects, where the toll share has fallen from 42 pst. of the Stoltenberg Government to 28 pst. with the Progress Party. Just since last year, we've secured $2.50. kr for the reduction and removal of tolls. So when the government writes on the platform that it will ‘investigate solutions that can replace tolls in the future’, I can, on behalf of the Progress Party and all the country’s drivers, provide you with the best solution without the need for costly and time-consuming investigation: replace the tolls with state full funding. Bets on the way have not only made sure that several roads have been built, but we have also improved the way they are built. The innovation New Veier AS has not only raised the ceiling for what is possible in the transport sector, they have also raised the floor by making whole processes both by themselves and by the state road system much better. New Roads alone have saved taxpayers for over 25 billion. kr and made sure that we get better roads faster, and that large sums have been released for other good purposes. Taking advantage of all the good tools it acquires, the new government has the good prerequisites for success. In May of this year, Stortinget took several decisions to lift the use of biogas and to ensure a level playing field between biogas, electricity and hydrogen. This decision led to a great deal of optimism in industry and, in view of the fact that several investment decisions were taken to set up both new production and equipment purchases. In the draft budget of the former government, they choose to respond to this decision by asking the Grand Duchy to depart from the same decision, because the effect of emission reductions is uncertain. It's amazing how vocally a person can treat biogas and an entire industry. If we are to succeed in reducing emissions, we simply have to use and exploit available technologies. I therefore hope that the new government will stand by the decision of May and reform the proposals of the previous government and ensure equal treatment of biogas with other zero-emission technologies.
ParlaMint-NO_2021-10-20.ana.ud207e10352	The President shall, at the invitation of Halleland, take care of a little of each, including: that the next speaker is Sveinung Rotevatn.
ParlaMint-NO_2021-10-20.ana.ud207e10358	If Norway is to succeed, we need a healthy economy, and we need a competitive business. Therefore, for many years, in opposition and position, Left has been working to implement a green tax change. By that we mean that it must pay to do more of what we want – create jobs, build strong businesses – and it must pay less to do what we want less, easily to pollute. Enterprises that get too high taxes are afraid to invest. Cheap fossil solutions are going to outrun the viable alternatives unless it costs to pollute. Or as the King read in the throne – in that, after all, this is also a debate about the throne: ‘The main measure is that the price of greenhouse gas emissions must rise.’; A green tax change was central to the bourgeois government. Regrettably, the Gahr Støre administration has opted for the opposite approach: taxes are to be raised so that job creation is less profitable, and climate taxes are to be reduced so that it pays more to defile itself. In the Hurdal Platform, the new government is clear that it will now increase taxes, even though the revenue from it will never come close to financing the promises made through the election campaign, but it was expected. What was a little more surprising was how weak the climate profile of this platform was actually. The bourgeois government's goal of getting a CO 2 price of NOK 2 000 by 2030 is also supported by this government. That's good. But one doesn't say anything about how fast a price should be set up, and the slower it goes, the less the climate effect becomes. And one will make exceptions for one of our greatest emission sources, that's road traffic. They will make it more expensive to buy environmentally friendly cars and will grant more exemptions for those who pay for their emissions. In short, one sees the green tax shift in reverses. And this makes the government under the heading «A fair climate policy». It sounds very nice – fair climate policy. Who could possibly be against it? The problem is that to date I have never heard anyone use the cover of ‘just climate policy’ without them using it for arguments to weaken a climate action. Electric cars shall be more expensive. That's fair. The fuel shall be cheaper. That's fair. The CO 2 fee shall benefit from more exemptions. That's fair. The fundamental challenge is that, in the absence of credible answers in climate policy, one tries to make much of climate policy a social policy. There's got to be a desire to do, because social policy is fine. The problem is that you have to get rid of it. The challenge is to resolve climate policy. If there is an unfair climate policy, emissions are rising, because nothing is more unfair than climate change. Rich countries and rich people have the greatest emissions. Poor countries and poor people have the lowest emissions, but experience the greatest consequences of climate change without control – with desertification, sea-slope, poorer conditions for agriculture, etc. A fair climate policy, as well as a functioning one, is also a climate policy that is non-discriminatory. One tonne of CO 2 is one tonne of CO 2 and when the government party in different settings will grant exemptions to the polluter pays principle – for the fishing industry, for waste incineration, for the greenhouse industry, for road transport – yes, it must mean that someone else will cut more instead, otherwise it will not go up. But who the others are, we never hear anything about that. I'm a little bit unsure if they exist. In that case, we're just left with one thing, and there's weak climate action, less climate change. A policy where the best lobbyists are to avoid being involved and pay for pollution, and the very best lobbyists, in addition, are to receive direct state aid and investment from the government, is not fair climate policy. There is also no effective climate policy, and at least there is no green policy. It's a big deal about this because it's nine years until 2030, and before that time we're going to cut out with 50-55 pst. Then I would say that there has been a heavy responsibility on the outgoing government, emissions have gone down, but they should have gone down even faster, and there is a heavy responsibility on the dwindling and no-sitting government, which should, we believe, rent this country to mid-2020s. Then one should be on a good path towards the 50-55 pst. And the more people get an exception to that skill, the harder it becomes to reach the goal.
ParlaMint-NO_2021-10-20.ana.ud207e10392	It's going to be line change.
ParlaMint-NO_2021-10-20.ana.ud207e10397	It's good to see you back in the hall as a magnificent representative! In the coming years, we need more skilled workers and apprentices, and young people who choose a practical profession, also in order to achieve the objectives of cutting emissions. In this context, it is important that these people and workers meet a serious and decent working life in line with sustainability objectives 8, based on the decent work agenda of the ILO, and that social protection, dialogue between the social partners and rights at work are safeguarded. My question to the former climate minister and representative Rotevatn is: Should not the Left also be concerned with delivering on this part of the sustainability targets? And then I am thinking in particular about the sickness pay scheme, contributions to the AFP scheme and workers' employment protection.
ParlaMint-NO_2021-10-20.ana.ud207e10406	Just in my post I chose to talk about the need for the big green shift and CO 2 taxes, but I would like to answer other questions as well. When it comes to the need for skilled workers, I agree with the representative that we need more of them, and that we need a serious working life. The way to do this is to make sure that we have a high level of organisation, that we have serious public orderers, that we make sure to make demands, for example. to a user of apprenticeships. It's effective, it works. When it comes to the issue of different social security benefits, I can take the sickness scheme as an example. I'm here to have a safe and good health care system, but I'm not here to be the highest infirmary absence. We do, and it might have something to do with the fact that, as the only country I know, we have a hundred percent pay from day one. None of our neighbouring countries or other countries have, with your two lower sick leave. Of course, it may not have anything to do with each other, but everything I have read about research and public reports says otherwise.
