ParlaMint-NO_2021-06-02.ana.ud52e210	The representative, Mr Hemdal, will put forward a proposal for a representative.
ParlaMint-NO_2021-06-02.ana.ud52e1842	Then the representative Geir Adelsten Iversen has drawn up the proposals he referred to, the first two from the Labour Party and the Center Party, the last from the Center Party.
ParlaMint-NO_2021-06-02.ana.ud52e1847	This is a topic that the Committee and the Storting have dealt with up to several times, and it is about a strong commitment to finding a solution for this important industry. With that, I would also like to commend the fact that the proposal and the matter have once again been raised. Up to several times, questions have been asked from the Workers' Party to the Council of State on what to do to find a solution for the industry. Unfortunately, there has been a fairly passive attitude back, and no solution has been found. The working party believes that the solution to these kinds of things belongs to the government. It is the government's responsibility, and the signals they received from Stortinget have been very clear. It's desirable to find solutions, but they haven't come. What you've shown is the quota notification. Among other things, written questions were asked in the autumn of 2019, and then the quota notification was referred to. We know how the work with it is today. It is worrying that the shrimp population is and remains an unused resource. The fact that the extraction is far from the recommended level is worrying, and also the fact that 26 enterprises have gone from the 1980s to only two today, when the opportunity to develop the industry is much greater. That's why it's important to have an active involvement for this, not just to say that it's important. It's a responsibility on the Council of State. That is why the Workers' Party has been involved in proposals together with the Center Party, which I think is wise. In addition, we will support the proposals No. Three and four, which are quite similar, but these are proposals that I think more people should be able to support. We're worried about making suggestions that can rock through the participant law. It's problematic for us to go into. Then there is something about having a quota notification, but the Riksrevision states that there is a greater need to investigate fisheries policy proposals, because the consequences of this need to be known. This is the Labour Party's position. That is why we have also said that we want a new quota notification. If there are proposals that will help the industry there, you have to wait and see, but I hope that the Minister for Fisheries will take a much more active position to secure businesses like Stella Polaris, which do everything we want a local company to do.
ParlaMint-NO_2021-06-02.ana.ud52e1864	We have to deal with today, as previous speakers have said, a matter that has been going on for a long time, and where different solutions have been tried, proposed and rejected in turn. The good news today is that we are still looking for solutions. The bad news is that none of the proposals that are being promoted today solve the challenges, as I see it. The suggestions made by the proposers are interesting, but I would say that there is something inconsistent. Here, therefore, a proposal is to introduce a new type of mandatory radiation system for cod trawlers, linked to one company. It is done by the same lot as proposed in another case to completely abolish the obligation system, with the exception of the obligation to operate on land. In other words, one believes that the compulsory system does not work when cod is to be delivered to cod processing establishments, but believes it should work if a shrimping company is given a cod obligation with processing obligations on the cod which they themselves cannot discharge. In addition, it is proposed that shrimp farms which have been granted the right to own vessels with shrimp trawl permits may be granted cod authorisations. The proposal is challenging. First of all, there is an enterprise other than that to which this is addressed, obviously, which already has a cod trawl permit and which also has a shrimp trawl permit. That is to say, one is dependent on keeping his tongue quite straight in his mouth in order that not also that company should be in position to obtain the same type of authorisation, and such neutrality must, of course, be maintained in the context of the granting of these types of rights. The second is that one here will take rights from those who are already fishing on cod, and from the cod trawl group, to a value in size – estimated, based on the estimate of the quota value – 450 million. kr, broken down by the bottom line of the vessels currently participating in the group. The third is that this must be seen as a direct subsidy by a farm and must be assessed in relation to unlawful State aid, since it is clear that the rationale is the raw material basis of the special holding, the holdings which are thus exposed to the risk of possibly being taken into account for the receipt of unlawful State aid. In addition, two proposals have been made by the Workers' Party and the Centre Party. The first one has already been tried rejected. The next thing I see is that we get an explanation of what it really means, what fees you've been thinking about, and how they might be used. It is currently not apparent from the proposal. I am pleased that the Ministry of Fisheries will continue to try to find solutions, and I want them to be found, and I think it is positive that the opposition is also doing this. We have to be open to consider most constructive proposals, as long as they are consistent and are perceived as feasible.
ParlaMint-NO_2021-06-02.ana.ud52e1881	The issue addressed in this proposal is the same as discussed in Document 8:184 S for 2018–2019. The Progress Party agrees with the intention of the proposal for increased catch of shrimps, and several regulatory adjustments and adjustments have been made to stimulate the effective use of more shrimp trawl permits. The accounting industry has experienced a significant decline in raw material input over the last 40 years. In the 1980s, the annual catch of shrimp in the Barents Sea was up to 120 000 tonnes. The reduced activity in shrimp fishing has reduced the number of factories for industrial processing of shrimps in Troms and Finnmark from 26 factories in the 1980s to today only 2 factories processing shrimps from the sea fleet today, both in Troms County. It is noted in the proposal that the International Council for the Exploration of the Sea, ICES, its quota recommendations for shrimps in the Barents Sea have been 140 000 to 150 000 tonnes in recent years, but the fishing effort and the catch quantity have been strongly reduced and now account for only about half. By March 2020 there were 53 shrimp trawl concessions, but several of them have not been active in recent years. The stock of shrimp in the Barents Sea is in good condition, and the decline in the supply of shrimp to industry is due to reduced activity on the fleet side and not the stock situation in the Barents Sea. There are currently no quotas on shrimps allowing authorised vessels to fish freely. Despite good catch rates, many companies have nevertheless chosen not to participate in shrimp fishing. It is very unfortunate, both in terms of exploiting the species and also in terms of ensuring raw material access to industry and safe shore-based jobs. In recent years, a number of measures have been assessed and implemented to try to increase the resource extraction of shrimps. Several regulatory adjustments and adjustments have been made to stimulate the effective exploitation of more shrimp trawl permits, as also referred to in the setting. It was also, among others. in 2014, assigned four dedicated shrimp trawl permits to the shrimp industry in North Norway, with the aim of contributing to ensuring raw material access to the industry. These permits have still not been put into service due to low profitability in fishing. These recirculation permits were granted with a derogation from the Participant Act. The Progress Party also considers that the exemption from the acquisition licence of cod under these trawl authorisations may be assessed in order to improve the operational basis and to ensure better access to raw material for these industrial holdings. Granting a cod trawl authorisation with an obligation system proposed by the representatives would result in a reduction in the quota base for other vessels or groups of vessels without remuneration. The Progress Party will be cautious in implementing such measures and cannot support these proposals.
ParlaMint-NO_2021-06-02.ana.ud52e1902	I would just like to correct a mistake in the case proposal, or a reference to those who are in the comment that the department believes that the proposals would be in any way contrary to the Participant Act § 16. That doesn't say the department. Paragraph 16 of the Participation Act only says something about who, and about how the process should be by granting special permits. It says that the ministry should make assessments like this and so on and so forth. The only department that points out is that this must be done by the department, and they have not done so, and therefore they recommend that the proposals be rejected. That's the starting point. What we're talking about here is an adjustment of the quota distribution within the cod ray group. Tom-Christer Nilsen from Right began to talk about illegal state aid. When changing the allocation of allowances within the group, there is nothing to do with illegal State aid. In that case it would have our groundbreaking. It would have meant that we could just put the entire quota message we have behind us in garbage. For there are large adjustments made to the allocation of the allowance base, and if there is illegal State aid to make an adjustment to the quota ratio, we are wrong. So we can't do anything. What we want to do is correct one of the wrong things that have happened in structural policy. Structural policy has many clear shadow pages. One of them is that shrimps and shrimps have been damaged. The larger vessels go to become much more specialised, they go for the larger fish species, where there is the greatest ignition, and they fish less and less for more marginal fishing. But what can bring great values to the community, and which can create many jobs on land, ends up on the shadow side. For this reason, we suggest that a cod-ray concession be opened to the industry within the cod-ray group, within a field where the type of concessions have already been granted to the industry, and where we clearly frame the concession. The concession is very time-limited, cannot be translated, and it must also create activity and production on land. So the concession has to have a clear time limit of 15 years, and can point out in many ways the direction of how to deal with oceangoing concessions in the future, where one demands more marginal fishing to be included in the requirement to have concessions in this way, so that one can use more of the amazing resources that we have in the sea, but which are now being used less and less. We have a lot of used resources in this country, and it's being done too little to exploit them. I'm dealing with the suggestions SV has on the matter.
ParlaMint-NO_2021-06-02.ana.ud52e1915	The representative of Torgeir Knag County has drawn up the proposals he referred to.
ParlaMint-NO_2021-06-02.ana.ud52e1920	The problems of shrimp fishing in the Barents Sea have been discussed for a long time. I have had several meetings with the shrimp industry and I am well aware of the challenges facing the rural industry with access to raw materials. In line with the representatives behind the proposal for a representative and the other business committee, I also want the shrimp industry to have access to raw materials, and that we make use of the natural resources available to us. As the Committee points out, for a number of years the Ministry has assessed various measures to increase raw material access to the shrimp industry. In 2014, four shrimp trawl permits were granted to the shrimp industry in North Norway. These have not yet been put into use by those allocated to them. Several other regulatory adjustments and adjustments have also been made to stimulate the effective use of several shrimp trawl permits. In the autumn of 2018, the Ministry carried out a consultation on measures related in particular to the concession law to increase fishing activities for shrimps with trawls in the Barents Sea. The main feedback from the hearing was that it is difficult to regulate out of profitability challenges. With regard to the proposals made by representatives to allocate quota factors for cod trawls, this would lead to a reduction in the quota base for other vessels or groups of vessels. One must therefore at least be careful to implement such measures. I also record that the organization of the sea fishing fleet is also sceptical about the proposals. I believe, in this context, that the most important thing now is to put in place a new quota system based on the quota notification provided by the government, in order to facilitate Norwegian fisheries to develop further and become even more forward-looking than they are today, for the benefit of the coast and the population. Ensuring a stable supply of raw materials to industry — and not just to the shrimp industry — is very important, everyone agrees. In addition to market access and profitability, this is the basic prerequisite for operating industry. So the question is what kind of path to the goal is the best. Today we do not have the right to rent out cod trawl concession. I'm also sceptical about whether it's right to dispensate from the participant law to grant such a concession, also because this fish has to be taken from someone else's quota. The Senja relay is Norwegian and locally owned. They're family businesses. This has been because they have been working hard in a difficult market for many years and they contribute to important jobs. The government is committed to facilitating the shrimp industry. We have received a specific request from the industry that we now have to assess in the department.
ParlaMint-NO_2021-06-02.ana.ud52e1952	It's going to be line change.
ParlaMint-NO_2021-06-02.ana.ud52e1957	Reference is made to the assessment made by the various proposals promoted by the Storting. But what I asked for in my post is what is the government's responsibility. What is the government doing actively to find solutions? The fact that you have granted a derogation for four permits is of little use if you are not allowed to use those permits. So my first question is, what does the government really do to secure this good industry and industry what the raw material they need?
ParlaMint-NO_2021-06-02.ana.ud52e1962	I can start by saying that it is very important for this industry that they also have market access, so they are competitive. It's very important and a basic assumption that we're working on to find good solutions. So many measures have been taken over the years, and the representative knows very well that there are no magic solutions, such as: ensure that the driving industry becomes profitable. It is the main challenge of profitability in a market where price competition is high and profit is marginal. What we can do is try to stimulate the better use of that resource, but it is simply not possible to assume that someone should start using a shrimp trawl permit that has been granted, if you don't find reason to do so yourself. But the Workers' Party may have a very strong belief that the state can go in and maybe run the shrimp industry, that that's what's new from the Workers' Party. I don't know. But I have a bad experience with it from before.
ParlaMint-NO_2021-06-02.ana.ud52e1969	The Labour Party has no plans to operate the shrimp industry, nor do we have any faith that the Minister for Fisheries can neither magic nor magic. What we have in mind is that the Minister of Fisheries can tell Stortinget what is being done actively to get solutions for this industry in place. It's not about the state going in and running the industry, but when you have such a forward-looking industry, companies that are localities, doing everything we ask them to do, the least you can expect is the Minister of Fisheries to take some active action. And that's what the Minister of Fisheries has been asked to do several times. So I ask again, and I don't have to get in response to neither magic nor market access, but what have you actually done: what does the Minister of Fisheries think you can do from government teams to contribute to the industry?
ParlaMint-NO_2021-06-02.ana.ud52e1976	I just have to point out that as there are no simple solutions to e.g. addressing the economic challenge in an industry is not just making a political decision to pay more. There are profitability challenges, and there is strong price competition in the shrimp market that is the challenge here. It's hard to find good solutions. Many things have been tried over several years without success. In addition to that, I feel that throughout the whole of the United Kingdom, there is a desire to – whether it is a shrimp industry or other fishing industry – help to facilitate stable access to raw materials, market access and raise profitability. These are the most important things. We see in some areas of the whitefish side that research and investment in research are successful in opening up new opportunities for all-year-old jobs, freezing technologies and incentives such as fresh fish bonuses and live storage schemes.
ParlaMint-NO_2021-06-02.ana.ud52e1983	I have noted that the government and the position have not intended to do anything to secure this industry. Then we get to hope for a shift to the autumn, so at least we have to be able to guarantee a much more active attitude to ensure a solution for this important industry. These include: has shown several times that the quota notification may also be the solution for the shrimp industry. Can the Minister for Fisheries elaborate on the way in which the quota notification can contribute to ensuring a level playing field in raw material for the shrimp industry?
ParlaMint-NO_2021-06-02.ana.ud52e1990	The quota message itself cannot ensure that. It's about the fact that there must be someone who has a vessel and sees the possibility that fishing for shrimp can be profitable and can deliver to the industry. Of course, we have the obligation to offer the quota notification to ensure that the fish industry has access to raw material, to offer the fish that is being fished and to have the opportunity to receive a premium before being sold on the open market.
ParlaMint-NO_2021-06-02.ana.ud52e1997	I thought of Peer Gynt: «Yes, think it; wish it; would it; – but do it! No, I don't understand!' Here is a proposal that wants to do something about a problem, which I find that both this Council of State, the previous Council of State and the previous Council of State and the previous Council of State have all been certain that was a challenge, but then don't do what it takes to actually do something. Thus, the huge values that society misses, that industry misses, that are very valuable. Stella Polaris, for example, exploits the shrimp shell in such a way that one creates drugs, supplements that have amazing properties, and has enormous market potential within completely different types of niches than the traditional seafood field creates. That's what's in danger: that one can lose these industries out of the country because one doesn't do enough. The question is, what will the Council of State do?
ParlaMint-NO_2021-06-02.ana.ud52e2002	SV has probably a love for coercion, but I have to say that I have little faith in having to force someone to deliver shrimp, if it's not profitable, because that's really what it boils down to. What the representative has in mind, about the exploitation of shrimp shells in other value chains for other products, are things that will definitely help to increase the value creation and perhaps increase the ability to pay and the willingness to pay for the raw material. So the whole problem really boils down to it, essentially. As far as the proposal from the representatives is concerned, I am sceptical about taking cod resources from other vessels and distributing them to Stella Polaris, although I have to say that I really pay homage to such types of businesses – family businesses, local owned, held for 56 years – that is absolutely amazing, and we want more of that. But it's raising the profitability of the industry that's the challenge. Political decisions are not necessarily easy if there is no special tax or tax requirement.
ParlaMint-NO_2021-06-02.ana.ud52e2009	It came from the heart, the first sigh that came from the Council of State, that there is so much coercion attached to SV. I have to draw the attention of the Council of State to the fact that it is this Council of State that would continue today's obligation system that sets different types of requirements. It is this government that will continue the concession system that will introduce a number of requirements. It's coerced, too. This proposal is about triggering a small proportion of quotas that are currently in the cod ray group, and giving it to the shrimp industry to ensure that we get shrimp, we also get cod, and we get values on land. No one's forcing anyone to do anything. We're actually giving the coast great possibilities, and it could point the direction of the terms, which I'm counting on the Council of State is not against -- I'm assuming he didn't let it say, it might be more general about SV -- and set the terms of concession. There must be something here that the Council of State finds interesting, or shall we just see, year after year, that this government is correcting everything?
ParlaMint-NO_2021-06-02.ana.ud52e2016	I am very interested in getting up both value creation and jobs in Coastal and District Norway, and especially the family businesses are close to my heart. It is the backbone of Norwegian business, and I wish that SV really had more love for Norwegian and local ownership than what one has when punishing people through taxes on wealth on working capital. But that's not what this case is about. We are open and pragmatic to assess all possible measures. In this case, it is proposed to take cod from someone and give it to the individual company, and I am sceptical about that. I'm recording that the majority of the committee is sceptical about it. We also have an application from Stella Polaris in the department for evaluation that we have not yet completed.
ParlaMint-NO_2021-06-02.ana.ud52e2022	The council of state came with the one untruth after the other, as if we in SV did not have a fondness for Nordic local owned companies. It's kind of the opposite. Those are the ones we're trying to make sure right now. That's the vote from the government party and the rejection from the government council is all about. One should not ensure that this raw material comes to land and provides for future family-owned enterprises in the shrimp industry, which are becoming ever smaller and smaller for every day that goes. That's what this is about. So it's well turned down. So here are the Councils of State taxes on wealth. Then I just have to mention that budget cuts are a direct suction pipe from the districts to a few municipalities in the Austland. That's where the big fortunes are today. They are the ones who benefit from a wealth tax code. If you are busy securing the family-owned businesses along the coast: give them the raw materials, do not concentrate on ever fewer hands, make sure that the raw materials come on land, so that they can generate value for these businesses. What is the Council of State's response to this?
ParlaMint-NO_2021-06-02.ana.ud52e2029	I am happy that we have a common love for the family businesses, but I hope that it could give a different look in SV than punishing Norwegian ownership, as SV adds in its tax policy. Those who have family holdings in Norway should be and are certainly aware of this. So I hope that SV can turn their words into practice, to punish Norwegian ownership, as one does today, is to destroy the backbone of Norwegian business. The representative knows very well that in the fisheries and seafood sector good money has been made in recent years, and every fishing vessel is a family farm, mostly, with the exception of Nergård. So I hope you take it with you -- excuse me, President, I hope the representative takes it with him to his party group and maybe transform that love into something other than what you do in tax policy practice.
ParlaMint-NO_2021-06-02.ana.ud52e2036	The cord shift is over. The speakers who are given the floor hereafter also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e2043	For the Central Party, it is important to obtain raw material from the shrimp industry and to use the policy to obtain it. In this way, it is disappointing to see how passive the government party is in this matter, and how little will it is to find solutions. Because that's what they're about, the proposals that the Central Party is behind. It's about suggestions to try to find a solution. But I also ask a little question about SV's role in this matter. Firstly, it is known that SV is one of the largest drivers of increased CO 2 charge for the fishing fleet. It will make it more demanding to access the raw materials that you need. It will make it harder to get wages in the less profitable fisheries when you turn up the CO 2 tax so much. But perhaps the most serious thing in this case is the slightly light relationship that one has with the law of participants. Are we sure that it is a good idea to exempt industry from the Participant Act, to hold quotas, to achieve something else? Have we done this before? What experience do we have with that? Is it as simple as SV is trying to make it? Or is it perhaps time to stand on the principle, to stand on the Participant Act and say no, the fishing is reserved for the active fishermen? That is what is at the root of the Norwegian fisheries policy. Therefore, I want to warn you a little about the light solution that SV is going for in this matter.
ParlaMint-NO_2021-06-02.ana.ud52e2058	This has been an exciting debate. First of all, the part of the Participant Act we are talking about here, Section 16. When we talk about the Participant Act, we often talk about other paragraphs. This is only about the process why special permissions can be granted. The innocent was broken many years ago, when one gave the industry quotas against having a number of obligations to the coastal communities. We have a case right after this one that is going to be unlikely to be interesting, where SV has a proposal on the table to terminate that scheme, because it does not work after the intention. Then the remaining resources will be returned to the coastal communities. This proposal is about giving such a concession just to realise an intention that we all share – at least in the word – to increase the use of resources for the shrimp industry. Then I thought it was funny with the Center Party, which is most likely going to vote against the proposal of SV, with some modifications, to wind up today's obligation regime within cod fishing and transfer that quantity to the traditional coastal fleet. They're going to vote against it. So attack them to get solutions for the shrimp industry by establishing a special concession in that field. It's going to be an interesting evening if that's the kind of argument we're going to have. It's going to be a party for everyone, and we're all looking forward to a party.
ParlaMint-NO_2021-06-02.ana.ud52e2067	Several have not asked for the floor on case No. 12th@item: inlistbox
ParlaMint-NO_2021-06-02.ana.ud52e2084	At the request of the Business Committee, the President will arrange the debate as follows: 3 minutes for each party group and 3 minutes for members of the Government. Furthermore, within the allocated speaking time, up to six lines of response will be given after contributions from members of the Government and those who have to sign up to the allocated speaking time will also have a speaking time of up to 3 minutes.
ParlaMint-NO_2021-06-02.ana.ud52e2091	I would also like to thank the Cooperation Committee on this matter. The proposal addresses four proposals, and there have been a number of subsequent proposals. Proposal No. 1 is in parallel with what was adopted in the context of the review of the allowance system by the National Audit Office and which the government is in the process of following up. Proposal No. 2 has been promoted twice earlier in this ageing period, and proposal No. In practice, 3 is quite identical to the proposal from Red which was discussed earlier in the session. Proposal No. 4 is a proposal based on a response from the ministry and is now being evaluated in the ministry. When the majority do not support these proposals, it is partly based on the view that proposal No. 1 have already been adopted and in a process, the proposals No. 2 and 3 have been discussed earlier and rejected – I refer to the debate and the speeches about it – and proposal No. 4 is now to be assessed on the basis of proposals from, inter alia: some municipalities in Finnmark. In addition, the proposal on quota trajectories is highly questionable in principle. It involves punishing the shark fisherman for something it does that buys his fish. This does not influence the fisherman, nor does the fisherman carry out the action. This violates basic principles. With regard to the proposal for the obligation to offer and the withdrawal of allowances related to it, we are not aware that there has been any breach of the law relating to the obligation to provide services in recent years. In addition, proposals have been made except for a new notification of allowances and for the removal of the obligation system, but retain the obligation of activity. There have also been some loose proposals today. The majority do not see the need for a new overall review of the quota system so soon after its implementation. I would like to remind you that there was a relatively long process underpinning the existing quota notification, including a NOO treatment. A new treatment now will only create further uncertainty and unforeseeability for the industry. We cannot support the SV’s proposal to remove the obligation to offer and to process but to maintain the obligation to operate and to transfer the quotas of mandatory trawlers to the coast. There is no basis for obligation of activity without the other obligations and rights. This is in line with the hearing recordings given. I want to point to the recording from Båtsfjord in particular. As we see it, this proposal that it might be very interesting to look at further. The aim is that we all agree: we want more processing in Norway. However, I think it's time to focus more on how to make industry more competitive, and not always talk about how to control the quota system in order to get some benefits, thereby reducing the quota number and the value creation.
ParlaMint-NO_2021-06-02.ana.ud52e2116	I would like to thank you for raising another issue of fisheries policy; it is good for us to have more fish on the agenda in the Stortinget. Ensuring that the fisheries policy objectives are implemented in practice is very important. But then we must also agree on what the fisheries policy objectives are. I believe that this is something that should have been processed and prepared in the quota notification. And then we all know how the processing of the quota notification went; it didn't go very well. It is that the fisheries policy in Norway has been fragmented and divided, much because of quite a small amount of work done by the government. But the Labour Party wants to be consistent in how we develop the framework conditions for this important industry, and what has emerged from the Riksrevision, we believe that everyone has to take seriously. The fact that there has been serious criticism that we have had too much impact assessment of what we are adopting, I also believe that we must take on board ourselves – all in the Stortinget. In particular, we have criticized from the opposition that the government has not dealt with this. As a result, the predictability and safety of the industry have not been achieved. We don't need any more predictability. Therefore, the Working Party has arranged for an updated quota message to be put in place. It's very important, and we should have seen that we did it in this room pretty quickly. Ensuring safe and strong fishing communities with a fairer distribution of resources, ensuring recruitment, doing something about the increased ownership concentration and setting requirements for full-year access to raw materials for industry are things that need to be included in a new quota notification. A new quota notification must help bring the coast together, not split it. You have to think in the long term and give predictable framework conditions. An important decision was taken here in the Chamber after the examination of the Committee on Control, asking the Government to come back to the Stortinge with proposals for what emerged from the Riksrevision. We do not yet know when it will happen, but it is very important. And then I believe that the Labour Party in this case has an important and good proposal, which of course just takes into account what I have just explained. I think that is the best proposal, and although the Labour Party and I agree with the intention – perhaps especially with regard to proposal No. 7 from SV – I believe, however, that the Workers' Party's proposal is better. I think we all need to continue to have a serious treatment of this important industry, and what's going on then is that we need to get an up-to-date quota notification. I take up the proposal from the Workers' Party.
ParlaMint-NO_2021-06-02.ana.ud52e2129	The representative Cecilie Myrseth has taken up the proposal to which she referred.
ParlaMint-NO_2021-06-02.ana.ud52e2134	The Participation Act and the Marine Resource Act shall pursue three main fisheries policy objectives, respectively sustainable resource management, profitability, settlement and jobs in coastal communities. There is broad political agreement on these main objectives. The Progress Party supports the implementation of the rural policy objectives of fisheries legislation and fully supports the objective of higher levels of processing and increased value creation. The National Audit Office’s survey of the quota system and its main findings point to the fact that all ship groups currently operate economically and that they also have good profitability compared to other sectors. A profitable fishing fleet is a prerequisite for socio-economic profitability and for the industry to contribute to employment and settlement in coastal communities. The Progress Party believes it is important to raise awareness and focus on value chains and not just fleet focus in fisheries policy, in order to ensure socio-economic profitability and housing and jobs in coastal communities. We are therefore listening to recordings from the Båtsfjord Merchant Stand Fisheries Group, which points to the importance of having a differentiated fleet and balancing catch patterns over the year, where the bonus scheme is set up for the fleet of industry to contribute to increased value creation and full-time jobs in the rural industry. Proposal No. 1 is largely in line with the request decision No. 98 for 2020-2021, which was unanimously adopted by the Stortinget during the examination by the National Audit Board of the allowance system. Proposals Nos. 2 and 3 have been treated earlier in this room and rejected. Proposal No. 2 is understood to relate the universal trawls to the original intentions of the obligation system. Proposal No. 4 is for treatment based on the recordings of part of the coastal municipalities and the conscript municipalities that have recorded some proposals for the government, and the council confirms that he is working on the matter and evaluates the recordings that have been made there. So the Progress Party will not support any of the proposals that have been promoted in this matter. When you look at the hearings, including: by the Båtsfjord Handelsstand Fisheries Group, they consider that the proposals in several areas will be poor in view of all-year industrial workplaces. The transfer of allowances from these companies to the coastal fleet will not contribute to increased value creation and full-time jobs in the rural industry but to create uncertainty over predictability of all-year jobs created in the rural industry and for further investment and development of such industrial jobs. The Progress Party cannot be in this.
ParlaMint-NO_2021-06-02.ana.ud52e2151	There's really a lot of good happening today. We have the gallery open, and there's Ottar Brox. He was formerly a prime minister from North Norway, with strong interests in fisheries. He came from S.B., I have to bring that. What Ottar says is that North Norway must never give up fighting for the possibility of harvesting the dish that is right on the outside. Several have pointed out in the debate that the starting point for this proposal is the joyous thing that happened when a unanimous increase examined the report on how Stortinget has managed to manage fishing resources. The Riksrevision actually rendered quite strict judgment on fisheries policy. Management shall ensure three main objectives: sustainable fish stocks, socio-economic profitability and employment and coastal communities. Sustainability has been given priority, and thus the conflict between profitability and district considerations stands. The national audit looked at how the allowance system worked in the period from 2004 to 2018. One of the main findings was that profitability had risen, but it was especially in companies with large trawlers. At the same time, there was a reduction in activity in many coastal communities. They concluded that the ten largest actors in the sea fishing had gone from owning 25 pst. of the cod trawl quota to own 80 pst. Quota vessels are to a lesser extent owned by registered fishermen. Vessels are getting fewer and larger. The price of fish quotas is under pressure, and they are now so expensive that it is almost impossible for a young fisherman to join the game. It's the consequences for the communities, which I'm the one who lives in a municipality with almost one of the best that's of fish fields, are most concerned about. After the success of the Centre Party’s large-scale group, the Working Party has also concluded on the principles set out in the proposal, with the addition that a new quota notification needs to be made that will have to respond more to coastal needs. Although the position does not support the proposals at this stage, it can be read between the lines that they are on the right, and they do not express any disagreement about the objectives, only uncertainty about how to achieve them. They constantly show that the Minister for Fisheries has promised to look at many of these questions and come back to the Stortinget with proposals.
ParlaMint-NO_2021-06-02.ana.ud52e2164	Is it true that the representative should also make proposals?
ParlaMint-NO_2021-06-02.ana.ud52e2169	Yes, I'm taking up the proposals from the Center Party.
ParlaMint-NO_2021-06-02.ana.ud52e2174	The representative Geir Adelsten Iversen has taken up the suggestions he referred to.
ParlaMint-NO_2021-06-02.ana.ud52e2179	Ottar Brox sits among us, and it's a great day. I'm his successor. So I got 10 pst. at the previous elections in 2017 in Troms, I got more than that, he said: Now you need to sharpen yourself. We try to do it every day. It's in many ways his perspective we can read in many of the things we're discussing: who should the fishing resource belong to, who should he benefit? We've had a fisheries policy in the last 20 years, maybe even longer, where the fish resource has become a more and more capital object, where there's no proximity to the fishing grounds that determine access to the fish resource. There's closeness to capital, how much capital you have to raise, how good you are to pay as much as possible to buy the allowance. It means that in society that has not so much capital, the families that don't have that much capital, the young people who don't have that much capital -- their possibilities in this system just get worse and worse. This might sound like a purely socialist analysis, but it's the Riksrevision's analysis, which came up with hard criticism that a bunch of pussies were standing behind. So this is actually Storting's analysis, which gave great reference to the government council, which had to go canoeing here a little over six months ago. That's this perspective we're talking about. Here we stand before quite different types of suggestions. For SV's part, there are three things we want to do. First of all, we think that we need to abolish the obligation we have for beams, which it is really documented does not fulfill its intention in any way. We're going to wind it up with the exception of the obligation of activity, which actually creates values in some coastal communities, and move this quantity over to traditional coastal fisheries to bring the fish back to the fisheries-dependent communities and give young people and women the opportunity to come back to the sea. It says SV alone. And then we want to do something about the structure gain, because now these ratios start to go out in time. What's going to happen after that? How do we redistribute it? We want one to use this as an opportunity to redistribute back, so that we get a fisheries policy that follows the intentions of the fisheries policy. For the time being, SV is alone in that proposal. So we want to see this in conjunction with the development of an allowance message. We don't want to do a lot of work around it, because we know what we need to do. We don't have to initiate NOUs or public representations in any way. We can prepare a quota notification relatively quickly that is much more in line with the intentions of the fisheries policy in Norway and the fisheries legislation. With that, I would like to present the SV's proposals on the matter.
ParlaMint-NO_2021-06-02.ana.ud52e2199	The representative of Torgeir Knag Fylkesnes has taken up the suggestions he referred to.
ParlaMint-NO_2021-06-02.ana.ud52e2204	The Participant Act and the Marine Resource Act shall pursue three main fisheries policy objectives. It is sustainability, profitability and activity in coastal communities. I perceive that there is a broad political consensus on the objectives. The national audit considers that changes in the quota system over the period 2004-2018 have had a negative impact on some coastal communities. This is in the case of a criticism affecting both previous governments and the current one, and I take it seriously. The majority has asked the government to submit a proposal to the Stortinget on how to follow up the National Audit Office's recommendations; I will come back to that, and we are working on it. I am committed to ensuring that the Norwegian fishing industry has sufficient and stable access to raw material throughout the year. It is a prerequisite for the fishing industry to be able to produce evenly, year-round — in addition to market access and sufficient profitability. The obligation system has been treated several times by Stortinget. I note that the fishing industry, in written input to the nutrition committee, has been critical of the proposal for a representative and has instead presented other measures that can help to increase processing. I'll follow up on that. I cannot see that the proposal to introduce quotas when catches are exported unprocessed is a proper measure to ensure that more raw materials are processed in Norway. Furthermore, the proposal would be very unreasonable for the fisherman – to be responsible for what happens to the fish after it has been delivered. In addition, such a policy could result in an Icelandic structure on the fishing fleet. As we all know, very few people own the resources in Iceland. With regard to the proposal to amend the applicable provisions on price fixing at a fixed minimum price, the Ministry has received a similar proposal from several municipalities in Troms and Finnmark, and we will follow up the Storting treatment of the quota notification, which is also part of the obligation system. Then the proposal from the Norse municipalities and county councils, as I see it, will be the same as minority proposal No. 4, be considered. In this context, I understand that there is broad political agreement on the objectives of district policy. The criticism of the National Audit Office will be followed up. The obligation system has been recently adjusted according to the size setting and further proposals for changes resulting from the size management of the allowance notification will be followed up and evaluated. In this way, we will facilitate increased processing and growth in the fishing industry. Finally, I would like to say that the last eight years have been a golden year for the Norwegian fishing industry in terms of export income and earnings for the industry. There remains to be increased activity in some coastal communities, and it must also be mentioned that there are some coastal communities that have got it better than others.
