ParlaMint-NO_2011-11-25.ana.ud135e39	The representative, Frank Bakke-Jensen, will present a proposal for a representative.
ParlaMint-NO_2011-11-25.ana.ud135e676	If you're going to have a safety net, you're dependent on having systems. In a welfare society one also depends on having large systems that can catch people before they fall out of work or before they stumble. Of course, some of the challenges are that sometimes the system can become very large and the individual can be very small. On the one hand, the system is completely dependent on being governed by rules, and it is a fundamental legal certainty for the individual user. You have to know that using a and using b is going to get the same type of treatment, fair treatment, in things that are similar to each other. At the same time, the key in the Nav system is to also have individual customisation – tailoring. So one of the challenges is that the system can be very big and the individual is very small. The starting point for the Right in Welfare Policy is that everyone deserves a new chance. Then we have to keep asking ourselves whether Nav is able to give people a new chance. Right strongly warned against central parts of the Nav reform. They warned both against many of the parts that a total collapse has set itself behind – at least an overall committee – and against many of the parts that are now causing the Nav system the biggest problems. The fear of the Right is that some of the main points of the Nav system may have been lost, namely, individual tailoring – the fact that each user, when he or she meets in the Nav office, will be met with a plan and a real opportunity to move on. The right has never been afraid to say that it assumes that the system is making any demands, and makes some clear demands. At the same time, it also presupposes working with users. There are two approaches to this problem. The first approach angle is the Nav as the system appears to the users. The second approach angle is, of course, Nav as the system stands out for the people who, after all, make up the system. I'm going to try to touch both of these angles of incidence. First, the hub as it appears to the users: Is it so today that Nav is able to deliver the individual adaptation required? Let's take the clearance of work and the claim, the right, to an individual plan as an example. In September, there were still four out of ten who did not get an individual activity plan. Well, it's going in the right direction, but still there's four out of ten that haven't gotten an individual activity plan. The ambition of the directorate is that only 25 pst. shall not have a plan of activity before the end of this year. The question, of course, is how to help them get back to work, move on into education, or make sure that they get into an action that actually works? Another thing that is worth commenting on is that the dissatisfaction with Nav is rising. I'm not able to assess exactly why it happens, but it's interesting to see that if you compare the 2008 figures with the 2011 figures – and you have in mind that 2008 was one of the most turbulent and difficult periods for Nav – it's like that. in response to the question of how satisfied or dissatisfied you were with the service you had received from Nav in general, the score in 2008 was 4.08, while in the spring of 2011 it was 3.86. Other quality indicators also show that Nav has made little or no progress — in some areas even declining. And then the most crucial question, I think, is what do these numbers show? What are the stories behind the numbers? Then, as a politician, you have to allow yourself to be somewhat anecdotal – we meet a lot of people, we hear a lot of stories, and we read a lot of stories. Of course, it can be that single stories don't represent a bigger problem in the system, but when there are many enough single stories, I think it points to something central. The evening post, e.g. the interview for a while back a young and newly educated woman who was told by Nav that disability benefit would be best for her. She had a lung disease that made her unable to work full-time in the sector she had decided to train within, but she would like to re-school in order to work part-time. She didn't. The message from Nav was that she had too much education from before. I think almost no one who has worked with Nav for a long time, has not met people who say they came to Nav, they wanted activity, they wanted help to get on, they wanted help not to fall out of work, but instead they were offered a passive disability. Then we have to ask ourselves the question as responsible politicians if it may occasionally be easier for Nav to get people into a simpler statistics to deal with by giving them passive performance instead of giving them active follow-up. The second point, of course, is that the system also consists of people. How does the Nav system work for the people who are there? The Nav reform was pushed through by a majority on the Stortinget, in which the Right was not part – at least not the Nav system as it appears now. There have been serious consequences for the competence of the system and for employees. We can look at some indicators. For example, Nav’s sick leave for the first quarter of 2011 was 45 pst. higher than in the rest of the world of work. In other words, that part of the system to prevent sick leave in Norway has 45 pst. higher sick leave than the rest of the working life. Recently, a new report from the Research Council showed that while 80 p.m. In 2008, employees at the Nav offices thought that users would get a better offer than they had before, had sunk to 59 pst two years later. In other words, the Council of State is facing a crisis of confidence in its own system, where fewer believe that the Nav reform of politicians and the majority of the population will actually work. We also know that many Nav employees feel frustrated by the fact that they have little time to actually concentrate on the users. They feel frustrated that the first line has been tapped for competence. They feel frustration over a bureaucratic and rigid management. These include: The right has taken up before, there is a governance that focuses too much on inputs, what to input, and too little on what to get out. We know that there is frustration over the generalist model on which the Nav system is based, namely the idea that anyone employed in Nav – now I put it a little bit on the verge – can do anything. But it has not been given that someone who has previously worked with regulated social security systems is equally good at dealing with users face-to-face. We also know that there is frustration in the Nav system and among the users of the Nav system about breaking the rules, for example. that very many, frightening many, Nav offices are unable to give users the right to privacy that they are entitled to. I want to sum up my concerns in five points. Paragraph 1: How do we ensure that all Nav employees, including those who do not have educational backgrounds to meet users, can handle users with respect and respect? Paragraph 2: How do we ensure that Nav has active and present sick leave work? I would like to ask the Council of State a direct question: is it so that the directorate's management is also measured on their sick leave work? On the right, many times it has been pointed out that it should be a matter of course both in the public and private sectors that managers are measured in their sick leave work. Point 3: Is Nav focusing on internal objectives and procedures and forgetting its original objectives, i.e. getting the most out of work? And does rigid and bureaucratic governance and reporting on inputs mean that Nav is given less flexibility and the ability to follow up users as they should? Point 4: There will be a new miscommunication, but what do we do with the large increase in the number of young people? Is it true that our system is so much as now telling young people that because they have suffered a disease, they must be permanently out of the labour market? Point 5: Where does the Nav Ombudsman go? Governments have notified one thing about it. It hasn't come. The government parties have told them to look at it. We haven't heard anything. Now there's another government budget where the Nav agent has not discussed, and it seems to me that the state council is simply training the scheme, or at least has a lack of commitment, to say it carefully. But then it would have been more reasonable to come to Stortinget and say that you are against the Nav Ombudsman instead of training the matter.
ParlaMint-NO_2011-11-25.ana.ud135e720	I will be allowed to thank the representative for an important issue that gives me the opportunity to explain both the feedback of users on the provision of services by the labour and welfare management and what action is being taken to give users a new chance in working life and to increase confidence in the administration to assist them. Then the interpellant has now addressed a number of other questions that I do not comment on in the first place. I'm now commenting in the first round what's actually in the interpellation, and then I'll come back to it in my next post. User surveys are an important tool to monitor the satisfaction of users with the service provided by the establishment. Annual user surveys are therefore carried out, involving a representative sample of 7600 users. The survey focuses specifically on the satisfaction of users with the availability of the establishment, the experience of users to be met by employees and the satisfaction of users with service and information. The feedback from the users has not been as good as I would have liked. Many of the results of the user surveys are on-site or have become somewhat worse compared to 2008. So it's important to say that there was a decrease in 2009. In many areas, however, we have seen an increase in recent years since the worst figures. It's important to bring in. But it is also important to be aware of what user studies actually contribute to saying something about, and what they measure. Employees of the labour and welfare management shall be both advisers and supervisors and shall at the same time verify that public welfare benefits are provided to those entitled to such benefits. Therefore, some users may not be able to meet their expectations, but this may be because it is outside the scope of the regulatory contribution of labour and welfare management. Therefore, I do not think that labour and welfare management will achieve full user scores on several of the questions asked in the user surveys. It may also take some time for improvements in the provision of services by the labour and welfare management to be reflected in user feedback. With as many different benefits as the Employment and Welfare Act administers, it is not surprising that the expectations and satisfaction of users vary, depending on the benefits received by users. Transition to ordinary work is an overall objective. For example, a person who is denied a daily allowance after having rejected a job offer can easily give negative feedback in a user survey. It is the age pensioners who say they are most satisfied with the overall service of the Employment and Welfare Act. They receive benefits regularly and without activity requirements. On Tuesday I visited the Swedish Minister of Social Security and Insurance, and he could tell me that the Swedish Försäkringskassan is also getting low scores on this type of research. This despite the centralisation of the administration that has led to a sharp reduction in procedural hours, combined with higher quality and increased non-discrimination in recent years. Although a number of services of the establishment have a clear control element, users should nevertheless meet with respect, courtesy and empathy. It is therefore good that there is a higher proportion of users, about 70 pst., who say that they are met with respect. But this is still too low, and I have opposite the floor, among other things. in the 2011 letter of allocation, I expect the proportion of users who are satisfied with full service, and the proportion of users who experience being met with respect, to increase in the future. On the positive side, the user survey of people who have had a job evaluation shows that most people are satisfied with the conversation they had with the supervisor. Eight out of ten agree, or in part agree, that they got to talk about what was important, and that the supervisor was interested in finding good solutions with them. This illustrates that there is a lot of good work done in the Nav offices, which is of course important for users to gain more trust in the system. So there are questions about what user surveys actually measure. It is therefore necessary to regularly assess whether the questions asked in the user surveys are designed to facilitate the use of responses to identify areas that can be improved. User surveys need to be complemented by information from several sources, such as research on evaluations, and, above all, dialogue and interaction with national and national user councils. The most important thing, however, is that labour and welfare management develop good procedures and a culture of improvement to capture and monitor the conditions that are not working properly. The interpellant asks what to do to give users a new chance and increased trust in the system. That's only 54 pst. in the core user survey, which in 2011 states that they have confidence in the labour and welfare management, which is significantly lower than in the corresponding survey in 2008. During the reform period, the State of Labour and Welfare has received a number of negative media outlays. There is reason to believe that this may have contributed to influencing the general trust of users in the establishment. I'm not saying with this that we're going to settle for such results, but I'm pointing to the fact that Nav, regardless of development, has to work long enough with an image that's created in a difficult time for Nav in the media. On the other hand, it is also a fact that the National Audit Office did not have any material observations on the 2010 accounts of the Agency this year. It creates much less noise around Nav, which I believe in the long term will help to increase confidence. The labour and welfare management is at the service of providing users with the benefits and services they require. Increased trust in labour and welfare management is primarily ensured through improvements in the provision of services by the administration. In the 2012 budget proposal, I have therefore highlighted the follow-up work with the performance management and ICT modernisation as the three main areas of action for the Labour and Welfare Act next year. Facilitating increased professional participation and combating permanent exclusion from the labour market requires that the focus of the Nav offices is now focused on better individual guidance and follow-up of the individual user. I am therefore pleased that the follow-up work in the department is getting better and better by the fact that there are more people who get follow-up than before. Too many people will be put in the follow-up at an earlier date. For example, about 13600 job performance assessments are now carried out each month under the auspices of the Employment and Welfare Act. At the same time, it is important to continue work on gradual improvements in performance management, both reduced processing times and improved quality. The case-handling time for a number of benefits has decreased, although the extent of issues that are not addressed in a timely manner remains too high for some benefits. The Employment and Welfare Act has also established new internal control procedures, and I have noticed that the Riksrevision also concludes that this has had a positive impact on the quality of the procedure. ICT modernisation will further strengthen and build up during this work. This is a forward-looking effort that over time will give the agency more opportunity to meet the challenges facing it. The objectives of labour and welfare management are ambitious and the organisation is complex. This means that plans and measures for further development must have both a long-term and a holistic perspective. With the wide range of work and welfare management tasks, improvements will have to be made gradually. I expect such an improvement in both services and services and believe that an actual improvement will also increase the satisfaction of the users.
ParlaMint-NO_2011-11-25.ana.ud135e759	Thank you to the Council of State for your answer. It's clear that something goes in the right direction in Nav, and it's important not to paint black. But if you look at the last numbers that we've been able to figure out at least, it's like, on the questions, how dissatisfied or satisfied are you with the service you've been given at Nav overall? There's a decline from spring 2008 to spring 2011. How much confidence do you have in Nav's work as a whole? There is a decline from 2008 to 2011. I am met with respect when I turn to Nav – a decline from 2008 to 2011. My claim – without me going through all the media coverage thoroughly – is that although the media coverage of Nav is not more positive, it is at least less of the negative. This cannot be the reason why Nav is making it worse in users’ eyes today than in 2008. I think this is quite serious, and it's almost tempting to say – a little clumsy – that it sounded like the Council of State's response at once was: we have to change the user surveys. That's not a good solution. We have to ask ourselves, why is that? Then it may – we do not know – be that the reason for the dissatisfaction of several users is that more users are being asked to do so. In that case, it is a very big challenge, because not only can you, as the top political leader, be careful to say that Nav will never achieve a full score, because users don't understand that Nav also has to make demands, and they have too high expectations. Then you have to ask the question: Why – and how can you explain to users in a proper and proper way what Nav should do, and what Nav should not do? One cannot only determine – because of the system’s nature – that Nav will never achieve full scores. It's very nice with intentions, and it's good that the Council of State is clearly in contact with the directorate of what are the ambitions. But my question in the interpellation was a little bit more concrete: what can you do? For example – to point out this: I am met with respect when I turn to Nav. What can be done specifically to make more users feel that they are being met with respect? It can't be that the balance to Nav has to be: we have to make more demands, but then we can't meet people with respect. Because if we're going to be able to meet people with respect, we have to make fewer demands. That doesn't make any sense. There I call for concrete action from the Council of State. Is it e.g. such that Nav staff are well trained? Is it like this has something to do with the generalist model, that there are people who may not be used to dealing with users, who are sitting today and have to deal with users without having had enough training in it? Or is that the other thing? The Council of State has to answer. Then I also hope that the Council of State will say something about the Nav Ombudsman, simply because it can be – according to the Right Model – an important facilitator for the dialogue between the user and the system, which is so crucial.
ParlaMint-NO_2011-11-25.ana.ud135e774	We're doing user research in the most serious way. You have to do that. But I actually believe that Torbjørn Røe Isaacen agrees with me, and so far also with the Swedes – who say the right thing – that user studies are going to measure something that enough, for this type of performance, will always be very demanding to achieve good scores on. That doesn't mean you shouldn't take them seriously, but that means what's important to me, that we have to make sure that they can be used in a good way. There's no point in me just saying what I'm saying, I have to make sure that we get user studies that make Nav get a good follow-up culture associated with them. Then it is important to be quite clear – and I have been before – that the Nav reform is a huge reform. It is the greatest administrative reform that this society has ever done. It's taken time, and it's going to take time. There is a major administrative transformation that has been made – it was completed in 2010, then we opened the last offices. The 2008 survey did not have all the turbulent situations that have now been around Nav, both related to the organisational and to a financial crisis that caused problems to arise even in respect of the daily allowance. It does — and it is important to be aware of the user survey — that there has actually been a steady rise in overall numbers since 2008. If you just compare 2008 and 2011, it'll be a little wrong. But it's not so important to me, the most important thing for me is that it's not good enough. It's going very well, I think, with regard to the redundancy money and the follow-up. In 80 p.m. In these cases, this is done within the time limits set, and users experience a good follow-up from Nav in terms of redundancy payments and a plan. Some of those who do not have a plan today should not have a plan either, because they already had a plan before the introduction of the redundancy pay, so those figures are not exactly right either. What I'm very concerned about is how you're getting rid of new users all the time. You should be concerned that there is something actually going well in Nav. Then I fully agree with Torbjørn Røe Isaksen that we have a problem with people going into activity. I've said that many times before: it can't be done by Nav alone. Business, businesses and the public must open up their jobs. There we very much agree – far on the way – that one of the things we have to do is look at how we get people out, and then teach them out, instead of doing some of the things that the system does today, where we might over time lock people up a little bit with passive performances or in different types of actions, but the combination is important. So it's absolutely fundamental to ask the right: what does the right really want? I hear here that Nav is not succeeding, but I'm concerned – because I'm actually genuinely concerned that Nav is going to succeed – to hear all the good suggestions for what we're going to do in order for Nav to succeed better. I have my medicine. I believe that what is needed for Nav to meet with respect is that those who work there get more time – they can get that by gradually getting a better ICT system – and training, and that is what we are doing on a continuous basis. But I stress that it will take time, because it is a correct but new working method.
ParlaMint-NO_2011-11-25.ana.ud135e787	First, thank you to the interpellant Røe Isaksen who has an interpellation that puts important things on the agenda. When I heard the interpellant holding his post, I got an association – if I had been to the cinema: No, now I've come to the wrong film. Because I felt that the post for the interpellant did not match what is intended for the interpellant itself. I felt that the Red Isaacs used the opportunity to talk our welfare community down again. The right approaches the Progress Party and is on its way enough to form a common platform in this respect. There is no doubt that some users and in different classes of users in Nav do not get good enough follow-up. The government has established that, we have established that on the Storting, and we are working to improve these conditions. Then I think it's important, when you're going to reflect on what gives trust, to think in the big picture and at the individual level. In general terms, what gives confidence to a government? What gives confidence in a society? Well, it's a model where we have little differences between people, where we have a system of great participation and participation, and where users of services have a real voice in government – to mention something. I sometimes ask myself the question when I hear debates like this: When are users used by politicians, and when are users using politicians? It is a difficult debate, but it is also a necessary debate. I think there are challenges on both sides to being factual and showing accountability in the review both of the subject area and of each other. It also applies to the way in which a person refers to users, to the concepts of a user, such as smarter, later, receivers, victims, helpless or helpless. Such terms also have something to do with trust. Freedom of expression is an important function in public space in relation to being concerned with the fact that there are differences of power, as also the Red Isaac was in his post, that there are differences in power between the individual and the system. That is why media talk and media debate are important. So over to the system level. Here's something that creates trust, and something that doesn't create trust. Injustice does not create trust. Different treatment does not create trust. And little control of decisions doesn't create trust. Predictability of people's expectations creates confidence. The Council of State set out in its statement the issues to be addressed, so as to improve the predictability and legal certainty of individuals. It's important to have good practice, it's important that decisions actually give the rights that people ask for, and what they have the right to. But there is also a dilemma there in relation to the requirement of more rights and individual assessment. There are difficult balances that employees have to assess every day in their job. At the system level, the government has also taken good steps to make the voice of users more audible. User advice is established, user voice is defined in all laws and regulations in relation to Nav. It shall ensure that users' voices are also heard internally in Nav. What I think you also have to ask yourself is why a distinction is so strong between users and employees, for employees are also users in many contexts. Then the interpellant was also involved in this with competence. Yes, competence is important, and proper competence is important. The government has now launched an investigation into welfare education, which should help to provide a much more adapted training related to the special needs of Nav. Finally, I just want to say that when I heard the article of the Red Isaac, it seemed that only we got another organization and another government, it wouldn't be a single problem in Nav. I think that's completely wrong.
ParlaMint-NO_2011-11-25.ana.ud135e817	Thanks to the interpellant for focusing on Nav and how some users are met and cared for by Nav. Many of us are constantly contacted by users who are often frustrated and reported about the treatment and service in Nav. Many are quiet because they have somehow resigned and given up, given up because one is met by a hub that does not contribute to the individual's situation being changed or improved. This is not good. At the same time, many are content. We're not going to forget all of that. We have debates like this precisely because we want Nav to work. That's actually what I'm busy about. From my mailbox I took out a little extract last week just to see a little bit of what our fellow people were doing out there: “After two years of fighting, I had to get a lawyer.” “I had a diagnosis, after six months of meeting with Nav, I had two.” “Then I sent in the same papers for the fourth time, and the time goes without receiving a daily allowance. It goes to health, and the bills are piled up." "I was regularly talked to as I was an unsuitable child. I am 37 years old and I just want to get what I am entitled to." "I want to work, but Nav grants me a daily allowance without making any demands." "I asked for a new case handler, it took 6 months." This is the everyday life of many of our fellow humans. I don't want us to have it like that. That is why this debate is important. Knowledge is another moment that appears. Once again, with the impression that knowledge is either at the back of the system or is simply absent in some areas. In its latest report, the Court of Auditors also points to different areas that are not satisfactory: ‘The audit of the pension funds is critical that the variable quality of pension and benefit management, after many years of comments, continues to lead to significant errors in payments. The audit shows errors in 7.5 per cent of the controlled health care cases and large differences in quality of treatment between the counties.» When I get these e-mails from people out there, I have a little feeling that maybe the little Nav offices are a little bit nicer to take care of our fellow people when they get into trouble. It might be a little responsible: I almost know you. They have a tighter dialogue with them. It might be worth taking it further. It's in the big cities most of those who file complaints to me, are. So it's actually the way Nav continues to struggle, we have to recognize that. Therefore, there is still a need to focus on where it argues against and is not optimal, and to install resources, so that it can work in the future. I guess that's what the goal is for Nav to work optimally in all areas. So in the end, without a user using any of the budget money – human resources and properties are actually free – a person can at least start meeting people with respect and courtesy, because it's actually not around. You do not need to be personalised to get the best help from Nav. So here we have a job to do, and I also think thinking about the right person in the right place when it's up to them to add, is important to include themselves in this. Finally, the interpellant has tried to ask for the Nav environment. That's what I've been trying to ask for as well, more questions, written questions, and I get the same answers. In a way, I feel that there is a training going on. I'm sorry to hear an answer that is: No, we don't want to introduce a Nav obbo. I feel a bit like a Nav bypass, and I'm actually proud of it when people out there contact me. If I can help them and support them, not least in my everyday life, I thought it was nice to join them. But I want to listen: what is the plan? Now we've waited too long. I want an answer: yes or no.
ParlaMint-NO_2011-11-25.ana.ud135e865	First, I would like to thank my colleague who has addressed this important issue, and for his, as I see it, wise words at the beginning of this debate. The councils were a little bit concerned with Nav's reputation, we can call it reputation as well, and in that textbook it says that there must be at least ten good news to erase one bad experience. So the user studies, on which the Red Isax was inside, show a decrease in a number of parameters, which were referred from here. I wonder why the Council of State did not comment more on its concerns in relation to it, and I also wondered what ears the representative Henriksen must have heard from when she heard that the Red Isaac thus spoke down the welfare state. Because that's not what we're concerned about, we're concerned about what the council and the government will do with this. We know that steering such a big and heavy shot as Nav is not easy, no matter who sits on the top of the Nav pyramid, or in the Ministerial Chair. That's why we'll also be careful to outsource bombastic solutions, and there's probably no simple solutions. But in parentheses, we can say that when the Nav reform was adopted, that is, the Right Party of the Christian People and the Left, the government parties warned against making such a big shot in the social security system, precisely because it would be so big that it would be almost unmanageable. But that's the story. Today we're sitting with a hub that works in a lot of ways, but that still has some big challenges. As the interpellant and several people here have been involved today, there are many who experience desperate situations in the interaction with Nav. We as magnification representatives hear many of these stories from those we represent around the country. And although not everyone has the same reason to complain, unfortunately, many people are desperate for good reason. As I said, I'm not going to say that there are simple solutions to these problems that the Council of State just lets not implement of evil will. However, there are some proposals that have come from the opposition in recent years, which could have helped a while on the way. These proposals include precisely the Nav Ombudsman, not a type of political representative such as the child ombudsman or the gender equality ombudsman, but an ombudsman for the users according to the model of the patient ombudsman who could contribute to ensuring legal certainty for users and contribute to sound welfare management. We believe that there is a good and constructive input into how Nav can get better, and I don't understand why the department so stubbornly opposes it. The council did not respond, as I understood it either, interpellantly well at that point, and I hope not that it is because the proposal has come from wrong parties. Nav has not only many users, but also many employees. They make every day — across the country — a major effort to ensure that our citizens receive the assistance they need and require, while well managing the Community’s resources. That is why I looked with concern at the answer to one of the questions that we had submitted in connection with the treatment of the budget this autumn, where we were told that sick leave in Nav is higher than sick leave in the rest of the country – in the first quarter of this year it was even 2.8 percentage points higher. It might sound a little bit, but that means that the sick leave of the IA company Nav was 45 pst. higher than in the rest of Norwegian working life. It is very worrying that the organisation we have set up to manage all the country’s social security systems – including the health benefits – even has such a big problem with sick leave. At least you can't call it going ahead with a good example. I therefore hope that the Council of State will do what she can to take some action in her own house and repair her own house, while at the same time giving instructions to the rest of the Norwegian working life. But we understand that it has been demanding. In the end, I would just like to mention a reading article that was in the evening post yesterday, where a staff director told in a very illustrative way how the rules of the new IA agreement to follow up the search and absence work in practice. It was undoubtedly very bureaucratic, and it also appeared to be explained in detail. The forms were many and difficult to obtain, and it seemed that the way Nav facilitates the new reports or relations with business, took disproportionate account of Nav's needs and how they would be, without deterring the practical handling of IA companies in business. Then I can ask if it's not counterproductive, because I hope the council will take this and look at it a little bit more with the business needs in mind.
ParlaMint-NO_2011-11-25.ana.ud135e880	This is a very important debate, because Nav is in a way the foundation of well-being, and then it is incredibly important that trust is present. I am convinced that all the parties sitting in this Chamber want Nav to work, and therefore it is important to look at what we can do to make it work better. I've been working on these themes since 1997, and it wasn't just joy and fun before either, when there were different levels. But there is no excuse for it not to work better now – the point was that it should work better. Several have been involved in this, perhaps simple, which does not cost money, but which can also be difficult, namely that you are met with respect, and that you get the right information when you contact Nav. That's absolutely necessary. I think we're all familiar with the fact that when we meet with respect, it's easier to take over some negative messages as well. But this is difficult because Nav has a big and complicated code to deal with, and it's not like everyone should be able to. So to the term ‘generalist model’, which also Red Isaac was involved in his article. It is not a model adopted by Stortinget or, as far as I know, someone. Nav shall not be based on a generalist model. Nav should be based on a model where you are met and guided and get help from a person who can retrieve information from the others who can. That's the model. It's important that that's what we're thinking about. But it's a very complicated piece of legislation, so it takes time for training in this. That's what you're doing. There are also a lot of new employees, and it's taken time. That is why I understand the frustration of those who obviously also receive incorrect information sometimes or not enough information. Unfortunately, there are too many of them. That's the code. Is the legislation too complicated, and in particular to meet what the Red Isaac was in, and which I am very concerned about, and which the government is concerned about, namely tailoring? Yes, she can. However, there are some dilemmas about making legislation more discretionary or more transparent, as it is then open to greater discrimination and more individual differences also related to the assessment of case handlers. That might be right, and that might be wrong. What I know, at least, is that those who make the weakest, and who have the least chance of seagoing being able to compare the system, are the ones who most need clear rules. The experience is that the more you are assessed, the more you risk that those who are in a way a little out of the norm and have many problems get less of the rights they would actually have if the legislation were clearer. So there's a little bit of legal certainty against randomness. This should also be true of what we of course know: that people need individual follow-up. The rules must be kept under review in order for this to work as best as possible, but I think we need to look at part of this legislation, precisely to get to the tailoring seam that we all want. Then there are the work tools, among other things. The ICT system, which everyone knows has major shortcomings, contributes to the swallowing of human resources, but also to the fact that things seem to go wrong. It's important and right to put it in place. But it's also such that when you put things into a computer system, it's very difficult to find and sort of fix some of these things that I get on my table, namely that there's a crown error here or a crown error there; it's kind of impossible to fix something that's gotten into a system that goes off its sails. There is also a dilemma in such systems. Then it is important that Nav and other agencies responsible for this field learn to cooperate, so that they can internally solve at least what is wrong and that is not intentional by the user. So, of course, it's about resources into this system, that you have enough resources to meet the needs of the user. I've been around a lot of Nav offices, and there's no doubt that many of the employees are going to follow people like that. have very many users to follow-up on redundancy payments. Now I'm recording that there's at least a very wide majority in the future for the resources we're going to have into the Nav system for next year, and that's positive. I hope that we will then see improvements on this to next year.
ParlaMint-NO_2011-11-25.ana.ud135e895	I would like to thank the representative, Røe Isaksen, for raising an important topic. A well-functioning Nav is absolutely essential, both for us as a society and for too many individuals. Being a society's safety net is a big responsibility. This responsibility shares the organisation Nav with us, which is the legislative and granting authority. Let me underline one thing: it is the Norwegian working class that forms the dominant part of our national wealth. It is worth 10 to 15 times more than the value of all oil assets and other assets. The social benefits of several people at work versus social security were calculated by Econ in 2010. They found that an increase in the participation of persons who could have taken out early retirement, in the order of 45,000 annual works, would have given a 20-billion gain. kr per year and a reduced annual cost of 12 billion. kr. In other words, we have large labour reserves. Permanent work and liberal income are the key prerequisites for a good life. This also applies to those of us who do not have the full ability to work. Nav means a lot to get more people out of work and to increase work attendance. We know it's useful. But we rarely hear about the sunshine stories. I personally know many people with reduced working skills who are back in work, either in whole or in part, after assistance from Nav. I myself have experience of being part of those processes, with a positive cooperation with Nav, both as a trustee and as an employer. There are also considerable differences between Nav offices. Small offices often have good results. Small offices have much better user satisfaction than large ones. This is contrary to the predictions when the Nav reform was introduced. Many spoke of the reform as being dependent on a change in municipal structure. The small municipalities did not have the opportunity to do these tasks. Now it seems that the solution might be to divide the large municipalities into several small units, because it is in the major municipalities the challenge is greatest. In such a debate, there are many aspects to which we can focus. I want to focus on Nav's most important task: to be present in the local environment. By that I mean proximity between Nav and the inhabitants, proximity between Nav and the companies, proximity between Nav and the healthcare system and proximity between Nav and the municipalities. Around 450 offices should be a good starting point. The establishment of Nav has been a long and comprehensive process. However, we need to make sure that during the process, Nav maintains its main objectives and, in particular, constitutes an integrated and efficient management of labour and welfare. A prerequisite for this success is that the most decisions and competences are made by those who meet the user. Many users experience frustration by shifting decisions on them to invisible case handlers in administrative units. We must dare to ask if there is an appropriate organisation. We promised that people would meet all the knowledge and help within one door. Now, more people need help getting through the system, including those who got help on the first line before. A significant responsibility for Nav's functioning lies with us as a granting authority. We first have to make sure that Nav has the tools that are needed to do a good job. The computer system Nav has today expired. Nav's employees will use the working day to help people in work and activity — not plotting information from one computer system to another. The most important thing is that those on the inside of the door are those who have the expertise. I think the experience of many Nav employees and feedback has been ignored. Better organisation and a more tidy training offer are needed for employees, and we simply need to move more of the competence and decision-making authority to the area where the case handler meets the user – to the local office. We also need to ensure that the rules we adopt are as simple as possible. I am concerned that the local government around the country will be involved in the work with Nav. Nav is a partnership between the municipalities and the state. Hub has not yet been cast. I, and the Center Party, are concerned that the user focus should be focused on all further developments in Nav.
ParlaMint-NO_2011-11-25.ana.ud135e924	First, I would like to thank the interpellant for an important interpellant, and for a good debate. There have been many important points that I hope the Council of State will take on board – and Nav will also take on board – because there were great expectations for Nav when the reform was adopted in the Grand Duchy by a broad majority in 2005. The intention of the Nav reform was, of course, that a desired more holistic thinking; a desire to help more people get into activity and prevent them from coming up with passive performance. That it would be challenging, everyone knew, but I think there were few who thought we were going to be where we are today, when the reform was adopted in this room six years ago. The user surveys to which Røe Isaken refers, which have declined every year, show that the challenges are great. There are also things that have gone in the right direction, and it's important to bring them along. Nav is enormously important, Nav is just the means by which the public has to meet the people who have fallen outside, or who are in a difficult situation and are falling outside, and who need the public to stand up for them. This way, maybe Nav is the most important tool that the public has to help people get an even better life, or to help them stay in work. There are incredible opportunities that lie in Nav. But the Nav and Nav offices are totally dependent on us sitting in this room giving them tools and the space they need to succeed in the job. I want to point out some keys that we in the Christian People's Party believe are important. To make Nav work, it is obvious that you need better cooperation between the municipality and the state. When Nav is composed in the way it is, it is very challenging for many Nav employees and Nav leaders to experience that cooperation is not better. Another point is the employees. It is the employees who have to do the work – or achieve the objectives we have. Therefore, the number of employees is important. Sick leave, which has been discussed by many, shows that there are major challenges and that employees do not necessarily have it easily. However, it is also important that employees are many enough to be able to divide users between themselves and have time to follow up on the individual user. It's absolutely crucial. A third point is the ICT system. Fortunately, good plans have been made for new investments. But we know that it can take up to six years – maybe even longer. We know that systems were started at the end of the 1980s and early 1990s that never went off, because it was demanding. I think it's important that the Storting doesn't rush through and push too hard when it comes to a new ICT system. But I also think it is very important that the work is done as soon as possible, because applications ‘disappear’ because the computer systems do not cooperate – all the extra work in different computer systems – goes beyond the follow-up of the individual user. Another point is action places. In order for the Nav offices to work and help users, they depend entirely on having something to offer them. Qualification programme, in the case of labour market measures. One sees a development in which more and more people are going on redundancy pay, who have reduced their ability to work and do not get the measures they need. It's not getting met. The need to stand in a long queue before you get the follow-up and the offer you need to get back to work is not to be met. One point that several people have been on is the Nav Ombudsman. When I – like everyone else – get e-mails and sit and read and hear stories, talk to people and get stories that are incredibly hard to deal with because someone sees that it's obviously wrong, I also notice that the people who are resource-powerful often win, while the people who don't have the same power to fight Nav don't win. I think a Nav agent could sort it out. One last point goes on to be seen. The e-mails, the phones, the stories – for all of us, it's basically a matter of being seen. Getting met with respect, as others were in the house, maybe the key is also to have a little bit more patience with Nav. This may not necessarily be the state council that can fix, but I think that if the employees get more time and also have more willingness to listen – and more understanding – it will be even better to solve.
