ParlaMint-NO_2011-01-13.ana.ud1737e51	The representative, Linda C. Hofstad Helleland, will present a proposal for a representative.
ParlaMint-NO_2011-01-13.ana.ud1737e919	I would also like to thank the interpellant for raising this debate. If that's something I'm sure of, it's that we're going to have more debates on this in the time that's coming. It is always necessary to assess whether new technology affects our body and health. The Christian People's Party believes that the starting point must be that we are leading were in this field as in other fields, especially if there are reports of discomfort or damage that can be associated with either existing or new technology. Knowledge of the effects of technology is crucial and health problems can be linked to it. I will not go into the Interphone study as such – there are actually more who have already done – but just point out the need and importance of independent research. Of course, it's important that the results are to be trusted, so that these create trust. It is also sad, as many people have said, that the Interphone study does not provide any clearer answers because of bias and errors. It's the same type of radiation that comes from cell phones. Many today are concerned about the radiation to which they are exposed. They feel that antennas are set up on the roofs that it is impossible to get rid of when residents report plague and disease. Community needs, including: related to new emergency network, used as counter-arguments. This is not a pre-war practice, as I see it. Mobile companies must also be able to take the costs of setting up mobile masters further away from people when they are afraid of health damage, or when they are actually reported. Last night, I had a meeting with a leader in a housing strike here in Oslo, where very many residents have had symptoms they think are due to radiation from several antennas set up on one of the roofs where people live. This is radiation that people are exposed to 24 hours a day. It's almost impossible to get the masts removed. State councils indicated that radiation should be kept as low as possible if there are no major disadvantages associated with it. I agree. So the Council of State shows, for example: for the use of wire. However, I feel that it is important to point out that the suppliers of this equipment must also be able to take responsibility for keeping the radiation as low as possible. The question is whether economics is such a disadvantage, because I can't see that it's only economics that make it difficult to move these masts for the companies, and that maybe that's what makes you choose not to move them. We also had a debate in Bergen a few years ago about the Kalmar house, where a number of residents wanted to get rid of the masts because they had problems with this. It was eventually appealed to the Ministry of Transport, which actually allowed the supplier to keep the masts until 2018 until further notice, and perhaps they will be allowed to continue. In the newspaper Budstikka from December we could read that the fire services in Asker and Bærum have largely parked their new emergency contact because of what they think are radiation plagues. But the Emergency Communications Directorate rejects the fact that there is reason to fear radiation. They relate again to the State's radiation protection system. Firefighters, on their part, demonstrated the extent to which the Safety and Health at Work Committee decided that the use of Tetra’s emergency connection should be kept to an absolute minimum. It is also a reality, and not without reason, that several municipalities start their own precautionary measures. I can mention Stavanger, Sola, Sandnes, Kristiansand and the Western Aker district. I also want to mention that the Seletune report is similar around the corner. It could be very interesting. The Council of State stated that there is an interpellation that is technical and professional. I agree. She also says: Who are we to listen to – WHO, Staten Radiation Protection, the expert group? Yes, absolutely. But I also think we have to listen to people. We have to listen to the firefighters, who are already alerted, and to an ever-increasing group of people who think they have health problems due to radiation. I hope we can listen to all of these too. The debate today has revealed the need for more research. Wireless networks, mobile antennas on roofs and mobile phones concern us all, and it is increasingly being developed. The Christian People's Party meets the government's initiatives for more independent research, but also a clear precautionary policy in this area.
ParlaMint-NO_2011-01-13.ana.ud1737e952	Thank you to everyone who has taken part in the debate. I think it has been a good debate. I regret that the debate is technical, but it is a continuous debate. This is in just this ageing period one of several debates in the area, and I am absolutely sure that we will follow up in a short time, among other things. about the Tetra network and what we've seen in relation to the firemen in Asker. A French expert group has reviewed 2,500 serious research reports on radiofrequency radiation. A few of these meet the very strict quality requirements of the Committee. And a few of these again show that the radiation from cell phones etc. have biological effects and may present a health risk. But the director of the French Directorate for Health and Safety at Work, Martin Guespereau, points out that it is not the number of studies it depends on. The high quality of the studies makes the findings indisputable. On this basis, the expert group recommends reducing the exposure of the population to radiation. Although the findings are not sufficient to definitely conclude, the indisputable signs are that radiation can have negative health effects, points to guespereau, and then we cannot continue to do anything. The French government’s response was to ban mobile phones in primary and secondary schools and to introduce low radiation limits in 16 sample municipalities. What happened in France is a good example of how to practice the precautionary principle: a wide-ranging group of experts review available evidence, pay particular attention to scientific uncertainty and include minority opinions. After they have thus assessed the risk, it is up to the politicians to deal with it. I also think the Council of State is so good. The Council of State and I fully agree that this must ultimately be the policy area when the professionals fail to conclude. If we are to base the precautionary principle or not, this hall and we politicians belong to decide – no one else! There are a number of technical reports on the one hand and on the other which are not capable of referring to unique findings. However, it is alarming to see more and more reports referring to health damage. Then the question is again to the Council of State: when can we see that the precautionary principle really begins to be followed? Let me give the Council a few examples of what can be done in the short term. Is there any basis for having wireless networks in primary and secondary schools, or, for that matter, in schools at all when we can wire and improve the Internet in that way? Isn't it just convenience that makes us doubt today's technology? If municipalities have the ability to set lower radiation limits than the State radiation protection system says, then an interesting principle that needs to be looked at is also an interesting one. I believe that we have gone far too far in ignoring the ever more electrically sensitive. When we cannot agree on a pre-war attitude in Norway, we cannot follow all those who are injured.
ParlaMint-NO_2011-01-13.ana.ud1737e976	Although this is technically complicated, I would say that it has been a very interesting political debate. So I think the interpellant has raised a very important topic, and, as we also hear, there is unanimity about what you really want politically. There is no doubt that we want the precautionary principle to be applied. In the course of the debate, too, this has come up with all these things that we surround ourselves with every day: do we need it? Do you want to do it the same way? The interpellant just asked: Should we have wireless nets versus wiring? There are at least questions that I can take with me to Staten Radiation Protection and ask for an opinion on, which is absolutely interesting, and which applies to a lot of people. So I want to say that if there was one practical thing that could come out of this debate here today, it was that it was unanimous political, and a strong recommendation from the Stortinget, that everyone is using hands-free and does not have the mobile phone up to his head. At least it would be to follow the precautionary principle of what we personally can do. In addition, it is interesting with these municipalities that introduce the precautionary principle and are aware of it and take it into account. It's clear that here we can also do something to the municipalities to make them aware of the importance that they also make these assessments when they allow to set up masters. I'm not going to say that they don't do it today, but it's never harmful with a reminder in an area that we, after all, don't know enough about. We don't know the consequences, because after all, it's relatively new. Then I have to say that I look forward with anticipation to the group of experts who are going to present their report for the autumn. After all, it may come into being, and it may get together, new knowledge, and in that case we will have to decide on it when the report arrives. But that there's going to be a development here, at least it's certain.
ParlaMint-NO_2011-01-13.ana.ud1737e992	Case No. So 3 is done.
ParlaMint-NO_2011-01-13.ana.ud1737e1009	The EEA Agreement has changed our daily lives. From morning to evening we surround ourselves with services and products where the European Union has determined the law. Arguing governments have brought Norway ever closer to the EU. Several thousand small and large decisions have become part of Norwegian law since 1994. These rules have influenced everything from daily purchases, jobs, education, leisure, travel, environmental protection, to mention a few. In these days, several directives on the way into Norwegian legislation are being discussed. Both the Deposit Directive and the Data Storage Directive are examples of directives that will engage and create debates. Debates are too long, but I will leave them in this round. The Consumer Rights Directive is a third directive to be adopted in the EU during the spring and will then be an important part of our future consumer policy. For this reason, it is important that the debate and processes ahead of the Brussels decision should be placed on the agenda of us parliamentarians to a greater extent than we have done so far. The result of what we know now is that it can have a huge impact on what consumer rights we have in the future. My interpellation is an attempt to create debate, to find out how a new Consumer Rights Directive will affect what we have, and not least to put consumer policy on the political agenda. In Norway, we have a consumer policy that ensures us consumers in a number of areas. Earlier today, we have seen our rights in connection with the conclusion of loans, and without entering into all our consumer rights, we can summarize the whole thing by saying that our rights as consumers are strong in Norway. Although today's arrangements are good, it is important to recognise that our consumer rights are not a static system. We need to work both nationally and internationally to secure and further develop our systems. We need to adapt to new needs and also developments that we see happen around us. It is not obvious that tomorrow's consumers have the same rights as we have today, but our political challenge is that they should be at least as good as today's system, but adapted to tomorrow's needs. Consumer rights have traditionally been a national task where we have defined the level ourselves. Gradually, we have implemented a number of EU directives in our legislation, including on the consumer side. The next forthcoming directive, as mentioned above, is the new EU Consumer Rights Directive. The new Consumer Rights Directive is expected to be adopted in the spring of 2011. I perceive that there is a broad political consensus here on the Stortinget regarding consumer policy. This consensus is also anchored in a common demand that this directive should not be adopted as it is in the proposal from the European Commission, and I am concerned by the signals from the work being done in Brussels. On the basis of these signals, we cannot sit still and look at our good consumer rights being challenged, as the European Commission's proposal suggests. The Commission's original proposal for uniform consumer legislation in the EU, so-called total harmonisation, will include, inter alia: reduce the period of appeal from five to two years and the possibility of settling unfair contractual terms will be severely limited. Overall harmonisation means that EU directives become mandatory. To date, consumer rules have been given as minimum directives, which means that there is a minimum standard that everyone must respect, but that countries are free to introduce stronger protection if necessary. The proposed harmonisation would have weakened both current and future consumer protection by tying consumer law. At the same time, national authorities are deprived of the opportunity to adapt legislation in line with market changes and new products. Now I am aware that the Commission's proposal is somewhat modified, but still the new leaders will challenge us in several areas. I know that it is both done and done a good job to promote Norwegian views on the Consumer Rights Directive. It is reassuring that our views are firmly rooted in the other EFTA/EEA countries. In addition, it reinforces the views of the EFTA/EEA countries that our consumer authorities and the other European consumer authorities have similar views in this matter. I attend the Council of State's interventions in view of how official Norway is working to secure our rights.
ParlaMint-NO_2011-01-13.ana.ud1737e1037	The interpellant addresses important issues, and I am pleased that consumer policy is put on the agenda of the Stortinget. These are issues that concern both our domestic consumer rights and how Norway as an EEA country can influence the legislative process in the EU. I can assure you that the government is very concerned about both, and I am happy to explain our active work on this matter. The proposal for a directive to which the interpellant refers was promoted by the European Commission in the autumn of 2008. As the representative points out, this is a proposal which could have a significant impact on European law and, through the EEA Agreement, also on Norwegian law and the legal status of Norwegian consumers and traders. On the one hand, the proposal for a directive revises and replaces no less than four existing directives, and on the other hand, is the reason for the wide-ranging impact that the Commission's proposals are based on total harmonisation, where we cannot have divergent rules. The existing Directives are based on the minimum principle, which allows countries to go further in consumer protection. Overall harmonisation is therefore more prejudicial to the ability of countries to decide on their own legislation. The proposal for a Directive covers legislation in different parts of contract law and concerns legislation under the Ministry of Justice and the Ministry of Children, Gender and Inclusion. The follow-up to the proposal for a directive is therefore carried out in cooperation between these two departments. The Norwegian view of the Commission's original proposal can be summarised as follows: As this proposal is designed, it leads to a weakening of consumer protection in Norway in some areas. The government’s starting point has been that Norwegian consumer rights should not be weakened, overall. One key element is that Norway prefers minimum harmonisation, so that we can impose stricter requirements than those laid down in the proposal for a directive. We are initially sceptical about total harmonisation – I know that position also at the interpellant – but we see that there may be less cause for scepticism in some areas. For example, a level playing field in the EEA may be appropriate in terms of the length of the withdrawal period, which in Norway is 14 days. It was therefore suggested in the Norwegian position that the issue of harmonisation should be decided on a case-by-case basis. The government considered it important to continue Norwegian rules which are considered particularly important for consumer protection. This applies, inter alia, to: a five-year guarantee period is required for goods which are intended to last significantly longer than two years, which we have in Norway today. This may, for example: be applicable to goods such as washing machines and television sets. On the other hand, the Commission's proposal has an absolute two-year guarantee period in order to claim shortcomings in a product. It has also been important to be able to maintain the consumer's right to choose between correction and replacement in the event of defects and, in certain cases, the right to a replacement during the waiting period for repair or replacement. Norway also has a recent provision on requirements for written confirmation by the consumer that contracts concluded in the event of unsolicited telephone sales are to be considered valid. This provision has been very effective in Norway and it is important that it can be maintained. The Consumer Ombudsman, who supervises the Marketing Act, indicates that the number of complaints has fallen significantly as a result of this provision. So to the interpellant's question about what has been done by the Norwegian side to safeguard the consumer interests in this case. I can assure you that there has been a great commitment from the Norwegian side. We've also noticed a positive commitment from the Storting. Both the consumer authority and the government have done a lot of work and made a great deal of effort to influence the process in the EU. The Commission’s proposal was first sent to a wide-ranging consultation in Norway after it was submitted in October 2008. In order to improve the awareness of business and other stakeholders of the proposal, a representative of the Commission was invited to an open consultation meeting in Oslo in January 2009. The meeting provided useful input and clarification for the legislative process. Following the consultation round, Norwegian positions were dealt with by the government. Joint opinions of the EEA/EFTA countries have been drawn up in two stages: first to the draft Directive from March 2009 and then to the last autumn of the EU Parliament. Prior to these opinions, consultations were held in Norway. The EEA/EFTA opinions have been actively followed up. At meetings of the EFTA Consumers Working Group, representatives of the Commission, the European Parliament and the alternate Presidencies have been invited to present and discuss the development of the Directive. It has also provided its own Norwegian input on several occasions on important provisions of the Directive to Members of the European Parliament and other actors and institutions. At political level, both the Minister for Children, Gender Equality and Inclusion and the Minister for Justice and State Secretaries of the two departments met with government councils and State secretaries in Spain and Sweden under the presidency of these countries, with EU parliamentarians and with the cabinet of the EU Justice Commissioner. In addition, an early contact group was set up between the departments concerned in the Nordic countries to assess the impact of the Directive. In particular, the departments have benefited greatly from the EU Delegation in Brussels, which has had broad contacts and meetings with selected delegations from EU countries, in particular the Presidency countries. In Norway, we have also had information meetings with, among others. the consumer institutions and the Ministry of Foreign Affairs and the corresponding meetings with the NHO and HSH for dialogue and mutual information on the work on the proposal for a directive. The examination of the Directive both in the Council of Ministers working group and in the European Parliament showed early that there was considerable opposition to the overall harmonisation of the Directive and that there was a major concern that consumer rights should be weakened in different countries. In March 2010, the EU Justice Commissioner announced that the Commission had indicated on this basis the ambitions for total harmonisation and would instead be in favour of a ‘targeted harmonisation’ model. This may be described as a complete harmonisation model with the exception of allowing for better consumer protection for certain parts or provisions than the Directive. This has later affected treatment in the other EU bodies as well. In June 2010, the rapporteur of the Single Market Committee of the European Parliament presented a concrete revised proposal on the basis of such a mixed harmonisation model. A number of amendments have been proposed, which are under consideration, with a view to voting in the Committee at the end of January of this year and the first reading in Parliament in March. The discussion in the Council of Ministers working group took a new turn at the end of last year. After the Belgian Presidency concluded that it was not possible to reach an agreement on the chapters on purchase rights and unfair contractual terms, it agreed to delete those chapters in the Council of Ministers' decision of 20 December. This means that Member States are in favour of harmonising only certain rules relating to distance and off-premises sales, such as: telephone sales, Internet sales and purchases, and street and fair sales. Such a Directive would be very limited in comparison with the Commission’s original proposal. The impact of Norwegian legislation will be reduced accordingly. How Parliament – the other party in the decision-making process – will react to the Council of Ministers’ decision and its impact on its suspension and further progress is difficult to assess at this stage. However, much is probably drawing towards a rather different directive, with a smaller scope than originally proposed by the European Commission. In any case, further developments will be closely followed from the Norwegian side.
ParlaMint-NO_2011-01-13.ana.ud1737e1093	I would like to thank the Council of State for a very good and, not least, complementary response to my interpellation. It is reassuring to be made visible and to be confirmed that the common objective of ensuring the best possible future consumer rights is well-managed by several teams. It is also possible to confirm the latest signals from Brussels that suggest that our established rights may not be as large a monn as we originally thought will be threatened. But that there will be changes, I am convinced – we will have to count on it. Our common job is to try to help ensure that the final result is best suited to our consumer rights even when we meet in 2012. Governments presented the good work that both government and government have done and are still doing. There is also reason to pay tribute to our consumer authorities, both the Consumer Council and the Consumer Ombudsman, who in my view have done an excellent job to influence their sister organisations in Europe. The question and the challenge is, what about us magnification representatives, what can we do? My answer is: we can do a lot – if we want to! The Treaty of Lisbon has helped to give the European Parliament a more central role in the decisions to be taken in the EU. This opens up new opportunities to meet decision-makers at parliamentary level. To achieve results, exposure is important. Therefore, my experience is that it is necessary for us, as parliamentarians, to talk to our sister parties in the European Parliament, in order to try to influence the decisions on, among other things. the new Consumer Directive. The Labour Party has taken this challenge seriously. We have been in Brussels several times and have met social-democratic colleagues in Parliament. We have participated in group meetings. We have been argued for our views, and we have been heard. Our colleagues both from the Nordic countries and from Germany have similar interests with us to care for their country's consumers. It is also a strength for them that we raise the same points of view. In the European Parliament, it is also the case that power prevails. The social-democratic side stands up against the civil side, which is also behind the proposal for the new Consumer Directive. There is a strong political consensus on consumer policy in Norway. My call to my fellow citizens on the civil side is: Do what you can to influence their fellow citizens in the European Parliament in the process that remains, before a final decision on a new consumer directive is taken in the next six months. At the end of the day, I would like to call for greater commitment from us parliamentarians when future EU directives are being discussed. It's too late when the decisions are taken. Our experience with the Consumers Directive shows that commitment to our colleagues in the European Parliament is both important and useful.
ParlaMint-NO_2011-01-13.ana.ud1737e1112	After hearing the inter-pellant's answer, I am convinced that we are playing on the team, and that the call goes to politicians as much as to the magnificence representatives. We have good experience, on our part, of using both the EFTA channel and having direct contact with the EU system in Brussels. But it is very good to use an additional power of influence through political contacts with the decision-makers who are working further on this matter. It is also the case that we have good contact with our Nordic colleagues on the part of the Department. Given that the Nordic countries are probably the most developed consumer protection countries, this will be an important strength for the process further. Here, I think it is important that we rather go ahead as an example to other countries, that we give consumers protection by having clear rules for both complaint and remorse and everything that concerns purchase, and that we are ready in our consumer policy that the consumer should have rights. The consumer must be able to demand to know how the products have been produced – one must simply be able to answer questions relating to the products and to the production process. There should be cleanliness and regularity in the legislation, and there should be a good communication of our legislation to consumers. I think we have a good thing to do, along with other countries that are on the same line as us, of course, mainly the Nordic countries. I also hope, as the State Council currently responsible for this area, that we can get a good step forward in getting something different from what was the original Commission proposal, the total harmonisation, which would probably put Norwegian consumer protection far back. I am very grateful that I obviously have the Storting with me in that work.
ParlaMint-NO_2011-01-13.ana.ud1737e1121	It is a particularly important matter that the representative Simensen addresses in this interview. As the interpellant pointed out, the EU would like to establish common consumer rights for the 27 Member States and the three EEA countries. The EU has gradually adopted many directives containing consumer protection. I can mention the Package Travel Directive, the Remote Sales Directive and several others. Many of these directives came up with rules that we had already had for a long time in Norway. This is a so-called minimum directive. This means that a Member State is required to introduce a certain minimum of consumer protection, but an allowed country to have better rules than that provided for by the Directive. Norway currently has legislation that provides good consumer protection. I want to go so far as to say that we are good at consumer protection. This is what we want to continue. It has therefore been important for the Labour Party to ensure that we maintain the current consumer protection – or at any rate enhance the interests of consumers. I am pleased that the Government and the Council of State are aware of the resistance to total harmonisation in some areas of the Directive. A fully harmonised Directive would most likely mean that EEA countries in their national legislation cannot introduce or maintain rules such as those provided for in the proposed Directive. It is gratifying that the government is actively working to influence the proposed directive so that Norway can continue to maintain a high level of consumer protection. I would like to take advantage of this opportunity to commend the government for the work done to the Council of Ministers and the European Commission. Let me also include the consumer authorities in this rose. I would also like to remind you, like the inter-pellant, that several Norwegian parliamentarians have worked actively against the European Parliament and the Single Market Committee in this matter. This is a unique case in many ways. I cannot imagine that Norwegian policymakers have been so active in their work as to link an EU directive in this matter. In general, EU directives have been the subject of political discussion only after the EU has submitted its directive. In this case, however, we have been active at parliamentarian level before the EU has concluded, and have thus helped to influence the process of taking care of Norwegian interests. This way of working has been important in this matter, and will be important in future matters. After the ratification of the Treaty of Lisbon in November 2009, the European Parliament has gained more power and influence. This opens up that we, too, as big politicians, will be able to influence future directives before they are adopted, to a greater extent than before, through discussions and cooperation with our colleagues in the European Parliament. In this case, both the state councils, the government, the consumer authorities and the big business politicians have worked for Norwegian interests in different forums. That is good, and it shows that it is useful to influence the political direction in the EU only one is out early enough. We now know that the Council of Ministers has just taken a decision which means that the impact on Norwegian legislation may not be as great as it looked after the Commission’s original proposal. That's good. What remains is the discussion in committee and in Parliament, which is likely to take place in a very short time. But what you can already conclude is that there will be a completely different directive than what was originally proposed. I am pleased that the Council of State has now repeated that Norway's position is still that Norwegian consumer rights should not be weakened, as a whole.
ParlaMint-NO_2011-01-13.ana.ud1737e1147	I also want to thank the interpellant for addressing the important topic he has addressed in this interpellation. I'm, like the interpellant, concerned about the outcome of this case. I almost regret that we have not had this debate before, too often it is that when we have directives and other EEA and EU issues up to us, it is very many times that matters are going through the Storting without any special debate about them. It's probably the case that there might be the Data Storage Directive and the debate on what's got a very big focus in the media, and then maybe this has gotten a little bit in the shadow. It is not good, and it is therefore gratifying that we can have this debate here today, although not so many are involved in the debate. So in Norway we have very good consumer rights. That's good, and that's how it should be. I am also very pleased that there is no political disagreement in the Storting that it is important to have good consumer rights in place. With regard to this Directive, it appears that it will actually be dealt with at the end of the month and that there will be a proposal for total harmonisation. Then it turns out that in some areas, especially in the field of online commerce, total harmonisation is required, while in other areas national rules are open and some countries are allowed to regulate the time limits for complaints in several areas. What is important here is the impact this will have on Norway. I have no doubt that the government and perhaps the parties representing Norway and working with other parliamentarians have done their job on the part of Norway to bring our views into the EU. However, I am concerned and also afraid of the outcome of this and hope that perhaps the Council of State might say a little about what the consequences will be for Norway if, in the worst case, there is a total harmonisation, what measures the Norwegian Government has then planned to put in place, and what consequences this will have for the Norwegian consumer. The question is whether we should start making demands on this directive, whether it is too late, and whether we can make reservations in some areas. However, at the end of the month it seems that a total harmonisation is adopted, and I am afraid that this is going to go against the Norwegian consumer. We have to look at the consequences of this, and what the government will do. In any case, we must come back to the Storting with a statement as soon as possible on the consequences of the directive that may be adopted in the EU in a short time.
ParlaMint-NO_2011-01-13.ana.ud1737e1168	Norway considers itself to be one of the best in the class of consumer protection. It is probably precisely because the Consumer Rights Directive has created a debate and that the Directive has created uncertainty about the future of Norwegian consumers' rights. The starting point of the Directive was the total harmonisation of consumer rights in the EU and in the EEA territory where no country should be able to go further in order to protect its consumers than was provided for in the Directive. For Norwegian consumers, it was in particular about five years’ warranty for goods such as refrigerators, TVs and washing machines that contracts entered into during telephone sales would be valid only if the consumer has given written consent and the possibility of maintaining the high level of protection against unfair contractual terms. These are important rights that are built over time, and that it's important that we fight to keep. It is reassuring to see that there has been a great commitment from the Norwegian authorities in this matter, both from the government and not least from the consumer authorities. The work also seems to have borne fruits. The Directive may be amended on several points which will benefit consumers. One of the changes that have come about is that the Commission has moved from an overall harmonisation objective to a possible consideration of progress in some areas to go beyond what the Directive initially proposed. It is good that the Council of State announces that they will follow this development further, and that the Norwegian authorities will follow up the matter if new things happen. This case is a good example of the fact that the government and Norwegian authorities care for important national interests for us as consumers, but also as citizens, towards an EU that is too unilaterally based on free competition and market logic.
ParlaMint-NO_2011-01-13.ana.ud1737e1181	Consumer rights are important for Norway and Norwegian consumers. There has long been a political focus on ensuring these in the best possible way. Therefore, there is an important matter that the interpellant addresses today. A fundamental consideration of Norwegian consumer law is that the consumer should have improved rights in a contractual relationship, since he is considered to be the weak party in contact with professional and commercial operators. The consumer rights are therefore initially mandatory and go across the freedom of contract in Norwegian law. The aim is to provide consumers with special protection by preventing the conclusion of contracts which make the consumer worse than under the law. Such rules are absolutely essential. The international financial crisis has confirmed that the market cannot control itself. Political governance through regulations that can prevent crisis and that can ensure trust, democratic transparency and consumer interests is necessary. Today, more and more cross-border trade is taking place. It is therefore in itself positive that the EU makes rules that ensure consumer rights to a greater extent, both in several countries and in several transactions between countries. The proposal for a Consumer Rights Directive is intended to replace four existing consumer protection directives, all of which have been transposed into Norwegian law. These are minimally harmonised so that Member States can provide more consumer protection rules. The new proposal involves total harmonisation, i.e.: the absence of national divergent rules. The Commission's justification for the proposal is that different legislation in the countries creates barriers to the internal market and that this is to the detriment of consumers and businesses. The main objective of the Consumer Rights Directive is thus to facilitate increased cross-border trade and the smooth functioning of the internal market in Europe by increasing consumer confidence, an internal market of which Norway is part. This objective shall be achieved through less fragmentation, stricter legislation and by providing consumers with a high common level of protection and information on their rights and their exercise. All of this is good, but Norway and some Member States have opted for better protection for their consumers after today's regime than under today's minimum directives. The European Commission's proposal for a new, fully harmonised consumer directive provided that the minimum requirements of today are to be the mandatory standard. This would mean that a directive that was intended to strengthen consumer rights would in reality be counterproductive, namely to weaken the rights of Norwegian consumers. If the new maximum directive is adopted, it will, for example: does not allow the Norwegian legislator to grant an extended period of protection in addition to the new standard. This means that the absolute guarantee period is set at two years for all product types, regardless of the expected duration. This would be a major regulatory change that could have a major impact on Norwegian consumer rights. That's not a desirable situation. Therefore, the government's efforts to influence the directive to allow Norwegian rules to continue are essential. However, this is not just controversial in Norway. The proposal for a Directive on total harmonisation has met strong resistance from large parts of Europe. The background is that the Directive weakens important consumer rights for many countries. This resistance has now clearly produced results. There are happy news from the Council of State, which in its reply now signals that Member States may appear to be in favour of harmonising only some rules instead of total harmonisation, which has so far been on the table. An amended Directive, in line with what the Council of State signals, will be very limited compared with the Commission’s original proposal. It will have a significantly smaller scope and the impact on Norwegian legislation will be less. Whether you choose such a solution or a solution with minimum harmonisation, it is essential that we have a solution that unites the best of both worlds, that we both increase the level of and guarantee consumer rights in Europe collectively, while not undermining the rights already acquired in some countries, such as the United States. Norway. I am confident that the government here will continue its efforts and defence of Norwegian views, and hope that this matter will finally come to an end. Norway has also expressed Norwegian views through the EFTA/EEA cooperation with Iceland and Liechtenstein, and the matter has also been raised in the EFTA/EEA Parliamentary Committee, including the EFTA/EEA Committee. of the interpellant. I would also like to highlight the inter-pellant and the representatives of the Workers' Party in the Committee on the Impact of the work they have done with our colleagues in the Committee of the European Parliament. We now have the Stortinget office in Brussels, which can also help us to influence matters. This is another example of a debate in which Norwegian parliamentarians should have been allowed to participate as part of the European Community – as an active member. Until that is a reality, it is good that the government has put full pressure on the matter.
ParlaMint-NO_2011-01-13.ana.ud1737e1211	First, I would like to thank all those who have taken part in the debate. According to my intention, the debate is a little bit two-sided with the interpellation. The first is the challenges of the new Consumer Directive, and the second is how we, as parliamentarians, can be involved in influencing processes in progress in Europe. I feel that I have both confirmed that consumer policy is a policy area for which there is a cross-political consensus here in the Storting. At the same time, I have been confirmed that it is important that we, as big-scale politicians, participate in the political arenas where we can have an impact. I think that's important. And does this debate manage to be a start to such a process that tells both us and others that it benefits to influence, that it benefits to do a job, and that it benefits to have an involvement, I feel that this debate has been good and maybe also can be a starting point for us to have influence in the EU, even if we are a little bit on the go. But we make decision-makers if we want to do that, so in that way I am very grateful for the views that have emerged in the debate here. We see that we can participate and influence, and not least that we are united in protecting our consumer rights that have been acquired through political participation. Again, thank you for your participation and your commitment.
ParlaMint-NO_2011-01-13.ana.ud1737e1220	I also thank you for the debate and take it as evidence and evidence that it has actually been possible to influence a process, even before the EU system itself has made its decisions. Because, as I explained in my main post, quite a number of changes have taken place now before the Council of Ministers will take a decision at the end of January. I know that there are a number of amendments, so before we have the case also through the European Parliament, it seems that there will be a completely different type of case coming out than the one the Commission originally proposed. At least there will be no total harmonisation in the way that was initially proposed, and I am of course very pleased that this has been broken down, and that the search for consumer protection and consumer rights have now been put into practice in this case. There are many reasons why a market is not working. In this internal market, in which Norway is also part of the EEA Agreement and of which the EFTA country is part, language, cultural differences, lack of advice, costs of delivery, distance and lack of knowledge of systems and legislation in the different countries of origin may be involved. The lack of demand from consumers may also be a reason for the small cross-border supply of goods. What is likely to stand up here is a possible positive effect of having common legislation on consumer protection and consumer rights, against having a well-functioning internal market. I will not leave any doubt that the government believes that the possible positive effect of a common regulation will not be great enough to compensate for the disadvantages that reduced consumer protection will bring to the consumer. It will be our important task in the future, together with policymakers through their political channels, to continue to influence the process and to ensure that what was negative about the original proposal is minimised, so that we remain strong here in the country on consumer protection and on the clear view that consumers are entitled to know and demand information – that consumers have clear rights.
ParlaMint-NO_2011-01-13.ana.ud1737e1230	Case No. So 4 is done.
ParlaMint-NO_2011-01-13.ana.ud1737e1243	There is no record. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
