ParlaMint-NO_2011-04-06.ana.ud2177e26	The representative, Arve Kambe, will put forward a proposal for a representative.
ParlaMint-NO_2011-04-06.ana.ud2177e892	Thanks to the Council of State for a thorough and good response, which very much underlines the need to put this on the agenda. I think we're all going to assume that in the fight for better teachers and better learning, we haven't focused the most on class management. We've focused a lot on school management and on good teachers, but when the teachers of over half of the students in Norwegian school themselves say they don't master the needs of the students in the class situation, there's a situation we have to take seriously. The advice of the senior analyst in the OECD is that this should be prioritised. I hear now that the Council of State has very good grounds to follow it up, but I would like an answer to the following questions: Will one now make sure that exactly this measure, which can probably give quick results, will be prioritised when school is going to be invested in the next budgets?
ParlaMint-NO_2011-04-06.ana.ud2177e901	I can't fully see into the glass ball as to what the government budget for 2012 looks like, but let me say this: we now have a comprehensive five-year programme in the Education Directorate, which is about better learning environment. A very important part of it is class management. Because it's absolutely right, as the representative Harberg says, that this is something that the teachers themselves raise. There's a big difference between having a natural authority that makes you get a class to calm down in three minutes, compared to being one that has to fight with the class all the way. It is amazing how to share experiences and learn about this. So I agree with what is the questioner's starting point, that it should be school-based. And then I'm going to make sure that this becomes a theme all the way – the entire course – from teacher training, to guidance, to the development that's going to take place in each school.
ParlaMint-NO_2011-04-06.ana.ud2177e908	I can promise that I too will follow and press. And then I wasn't so surprised that I didn't get any budget leaks here today. That's the way the system is. But I have to be allowed to challenge the Council of State on a little bit more, because that's how the Council of State has focused a lot on class size or group size. There's probably a challenge in what's now said by Michael Davidson, because he actually prioritizes this. He says, ‘Strengthening the quality of teachers and school leaders is a better investment than investing in fewer students in classrooms.’ It is based on the fact that they cannot see concrete results from having fewer students in the classes, but that they see results in terms of class management and the good teacher. It might be a challenge for the Council of State to turn around a little bit on the priorities here.
ParlaMint-NO_2011-04-06.ana.ud2177e920	It's true that one good teacher is better than two bad teachers, but I'm sure we can both get quality and have ambitions to recruit more people to work at school. Even the best teachers report to me that they do a better job if they have a little fewer students to focus on than is the case, especially when it comes to youth, today — with 30 students in many classes. What's on the government platform, and I'm working on finding a good solution, is not a new class division figure, but a resource related to the school that ensures a maximum number of students per teacher. This means that you have opportunities to juggle a little bit more with the size of the groups, depending on how the school and the student composition are.
ParlaMint-NO_2011-04-06.ana.ud2177e927	The size now goes to question 9.
ParlaMint-NO_2011-04-06.ana.ud2177e934	This question, from the representative of Øyvind Håbrek to the Minister for Culture, has been transferred to the Minister of Knowledge who is the person.
ParlaMint-NO_2011-04-06.ana.ud2177e937	I have the following questions for the Minister of Knowledge: ‘The report of the Committee on Culture sets out several good proposals for strengthening cultural schools, so that we can get better and more comparable offers across the country. Will the Government follow up the recommendations of the Committee on Culture and Culture with concrete measures, or is it the municipalities alone that are to ensure that the government's promises to strengthen the cultural schools are fulfilled?»
ParlaMint-NO_2011-04-06.ana.ud2177e946	Many children and young people are waiting to become students at the cultural school. The big paradox is that the more places we get and the better the offer, the longer the queues become. Demand is increasing as the reputation of how good cultural education can be. But it is that the scope, content and price are now a local issue. Culture School is a good tool in school and municipal development. Many Norwegian municipalities have come a long way in their work, and today the cultural school stands out more places as local resource centres for children, young people and the elderly, for school and cultural life, for integration and health. The state resources for the cultural school system were included in the framework grant to municipalities, by the Bondevik II government, in 2004. The cultural school is currently a municipal scheme, funded by municipal grants and parental payments. The Ministry of Knowledge budget grants grants for development activities in cultural schools. This means that grants for the development of music and cultural schools aim to contribute to the development of the provision of music and cultural education in municipalities by stimulating the activity and development of good models of content, organisation and cooperation locally. The beneficiary is Norwegian Cultural School Council. The target group is cultural schools carrying out development projects in the municipalities. For 2011, the allocation is just below the 10 million mark. kr. The grant to organisations – Cape. 225 – aims to stimulate public and non-governmental organisations to implement actions that contribute in different ways to quality development and to improving the learning environment in training, in line with strategies and actions. Norwegian School of Culture Council is one of the organisations that receive grants under this chapter, and here they receive further approx. 6.5 million. kr. The Government, through the Cultural Promise II, would contribute to further strengthening the municipal cultural schools. The allocation of 40 million. kr in development funds in both 2010 and 2011 is just an expression of this. The response was very large last year. We received more than 400 applications. 200 projects ended up receiving support in 2010. The scope and size of the projects varied, but mainly the municipalities were behind the applications. Some major projects are of national interest and are therefore priorities. Some will develop a cultural pool and aim at developing cultural schools to become local resource and competence centres for the population of the municipality. Some rates specific to SFO and school, and allow pupils at different stages to be involved in many different activities. I hope that through these projects we can have good experience that can develop the cultural school further.
ParlaMint-NO_2011-04-06.ana.ud2177e967	I thank you for the answer, but I'm probably a little surprised by the content. It is the case that the Council of Culture Schools has sent a letter to the Department and to the relevant committees, which have presented a proposal to meet the government's own promises and which is considered equivalent to 120 million. kr already next year, with further escalation. So concrete is actually the government's own policy, which means that you follow up. When I hear the response of the Council of State, I almost have to bring forward the Cultural Promise II, where it is said very clearly: ‘A cultural school promise shall be made so that all children wishing to receive a quality cultural school offer at a reasonable price.’ Is it still at work?
ParlaMint-NO_2011-04-06.ana.ud2177e981	It's part of the platform we're running on, and of course it's at work. It can't be a surprise for such an experienced representative as Hope that I don't bring budget leaks or other things here and now. The report provided by the sample to us has been consulted. The report proposes a number of instruments in relation to the cultural school, such as the former government. I think it was only SV who was opposed to incorporating the earmarked funds into the cultural school, when it was done in 2004, which I do not expect there to be any broad majority to reintroduce today. But the report also contains many other ambitious plans for raising the cultural school. I am particularly concerned that children who do not have an offer today, or who do not even have parents who put them in line for the cultural school, will have access to this. So I think the work done against the SFO and the school leisure system is particularly interesting.
ParlaMint-NO_2011-04-06.ana.ud2177e988	I did not expect any budget leakage here we stand at the beginning of April. I am fully aware of that. But I had expected a response from the Minister of Knowledge, where she refers to the government's own cultural promise and shows a way forward to actually fulfilling it in the big-time and up to 2014, as the Cultural Promise II has said. That's what the government's own policy is, that it's going to implement such a promise, and then the Council of Culture Schools has helped the government on its way by promoting a proposal on how to do it. Then there's certainly more ways to the goal. But when the Council of State answers without even referring to such a promise, which in fact says that ‘all children who want it get a quality cultural school offer at a reasonable price’, then I am surprised. So I choose to clarify my question once again, and ask, is it true that the promise is actually going to be carried out in the magnification period?
ParlaMint-NO_2011-04-06.ana.ud2177e995	When we have it clearly defined in our own government platform how we should follow up this point in relation to the cultural schools, the representative Hope can take it quite calmly. We're working on this. But this sample, which is the starting point of the question, has produced a cultural school report with very big ambitions, far beyond what is on the government platform. This is now at the hearing, and we get the hearing opinions in these days. Once we've gone through them, we're going to come back to how we're going to follow it up. But a central proposal from them is just to reinstate the designation of the Bondevik II government, and I have my doubts as to whether there is a majority to reinstate it. In addition, it is actually the case that municipalities continue to give priority to cultural schools when we see them as a whole, but there are very large differences between municipalities in the provision of cultural education, and it is a topic that is very often addressed.
ParlaMint-NO_2011-04-06.ana.ud2177e1002	Then we go back to question 2.
ParlaMint-NO_2011-04-06.ana.ud2177e1009	This question, from the representative Elisabeth Aspaker to the Minister of Knowledge, will be answered by the Minister of Labour who directs him.
ParlaMint-NO_2011-04-06.ana.ud2177e1012	I allow myself to ask the Minister of Labour the following questions: ‘At school start in 2010, the government launched the New GIV, a partnership between the school authorities and Nav, for more people to complete secondary education. Schools on the construction site have been very successful and got young people, immigrants and long-term unemployed aged 19 to 40 out of the job queue and into secure jobs after exams and diplomas, but in January 2011 it ended. The Minister for Labour now waives all responsibility. How will the Council of State explain that New GIV ended up in a bomb stop for School on construction site, and that Nav is jumping off the action?’
ParlaMint-NO_2011-04-06.ana.ud2177e1021	First, a little bit of clarification. It is not the case, as the representative Aspaker points out in his question, that there is a direct link between the government's new GIV initiative and the school on site action. The new GIV was launched in the autumn of 2010 and is composed of two projects targeting young people at risk of falling out of — or not applying for — higher education. One project, the ‘Transitional project’, aims to strengthen efforts towards young people from 10th grade and two years in time. The second project, the follow-up project, targets young people aged 15-21 who are not trained or working. The project shall provide this group of young people with an offer of a training course, labour market action or a combination thereof. The project Schools on Construction Site, now called Practice-based Training, has existed long before the government’s New GIV bet. The reason why Nav Oslo does not wish to continue the project in 2011 is due to the fact that only nine out of 21 persons completed the education cycle in 2009 and 2010. Nevertheless, Nav’s costs were substantial – more precisely at the top of 3 million. kr in addition to individual benefits. The rate of non-response is high and the total cost is therefore very high compared to other training schemes. Based on this, Nav Oslo has made an overall assessment of the priority implementations of good use of space, a larger number of participants in activity and less in-flight non-response. Targeted actions are important, preferably in cooperation with the construction industry. At the same time, Nav must constantly evaluate individual actions to see how we can achieve the best possible results. This is important for the overall design of the response mechanisms, a design that takes care of all Nav users.
ParlaMint-NO_2011-04-06.ana.ud2177e1032	I thank the Council of State for the answer. But I'm a little surprised that you're now making it a main point that New GIV shouldn't necessarily be combined with, or absorbed, School in construction site. I thought in a way that the New GIV was about a broad set of actions, where it is incredibly important that the Ministry of Knowledge and the Ministry of Labour really talk closely together, that we are open to new initiatives, and that we simply try to learn from what has been done by previous efforts in the field to complete more. So I want to challenge the government council on the following: what makes it clear that things have gone wrong at the end of school on construction site? The truth is that the measures have been implemented for a 12-year period, and the feedback has been that this has been a very successful project.
ParlaMint-NO_2011-04-06.ana.ud2177e1039	I repeat that I believe that this is actually due to a misunderstanding. The point is that New GIV is very important – I am the first to stress this – and I fully agree with the cooperation that the representative outlines between working life, education and practice areas, which is also based on New GIV. But then we have this concrete project, which is within a kind of labour market measure that we have had for a long time, which thus turns out not to be a good project. The hub must constantly use its resources in a good way. If not, I'm going to get criticism from another team. Assessments have been made regarding the large drop-out and the large costs per job, and it has been found that this is no longer something to be put into, compared to other projects. The reasons why a person has now had greater non-response than before may be many, but one of the reasons is that one has to do with a very difficult, marginal, group of young people, which is not enough – both the project organisers and Nav – have been able to motivate them to carry out the project.
ParlaMint-NO_2011-04-06.ana.ud2177e1046	This is certainly a difficult group. This is a group you've caught up with, maybe not at the moment they fell out of high school, but after they had gone there for a few years. The age of these varies a little bit. But the reason that many of these people fall out of high school is because they get an offer for a third year of addition instead of an apprenticeship, because there's not been enough apprenticeship to pick up. So if you don't want to continue school on construction site, will the Council of State take the initiative to increase the state's position and contribute to the creation of apprenticeships, perhaps looking at other measures that motivate both the construction industry and others to provide more apprenticeships? It may well be the most important measure that can be taken to complete more people in traditional occupations.
ParlaMint-NO_2011-04-06.ana.ud2177e1053	Yes, now I think we're beginning to discuss something that has a future ahead of us, because to discuss a project where you have a major non-response, I don't think it's a point in itself. But to discuss how we can make sure that we can reach this youth group best, I fully agree is important. New GIV is one of those things, and also the cooperation between Nav, school, education and workplaces is that. The Minister of Knowledge and the Government are now working hard to get more apprenticeships in place. One of the reasons why you also actually thought that this project that we're talking about here, maybe it was a project you shouldn't pursue, was that it could be in competition with apprenticeships. When you saw such a big failure, you thought it was not a right way to go. But I fully support the ambitions of the representative. I believe that saying that it is this project that should have been carried on in this respect would be a poor use of the public and taxpayers' money.
ParlaMint-NO_2011-04-06.ana.ud2177e1064	‘Recently, there has been a focus on shortcomings in new roads. The newly built E18 is like the mountain and valley tracks after a winter. New European roads are being built without a mid pulley. On the E6 road is built with a mid-drawing and tunnel without. The same tunnel is undersized in terms of traffic and traffic growth and must be supplemented in a few years' time by a new tunnel. New road projects – quality, traffic dimensioning and traffic safety measures – clearly need to be addressed more thoroughly and information improved. How will the Council of State ensure this?’
ParlaMint-NO_2011-04-06.ana.ud2177e1071	Let me first refer to the answer I gave to the representative Sortevik's question No. 903 in February 2011. It is stated that I have commissioned the State Road Service to take a closer look at today's demand for the minimum traffic volume of 8 000 vehicles in the daytime for the dimensioning year for the establishment of mid-traffics on new roads. I have also asked the Road Directorate to consider opening up for greater flexibility for setting up a parking lot on existing roads, so that there is a greater emphasis on today's emergency situation than today. Telehiv and tunnel standard was the theme of the oral Question Time on 30 March 2011. I refer to what was said in that context. New route televia should not occur. It's unacceptable. The question of one or two running in the Øyer-Tretten tunnel was carefully considered in the Committee on Transport and Communications' consideration of the matter in spring 2009, inter alia. through several questions. In the setting, there was no party that had suggestions that it should be built two races, and the Stortinget joined the solution that is now under construction. On page 79 of the current year's bus bill, i.e. Prop. 1 S for 2010–2011, in addition, it is done more closely for the practicalisation of the requirements of the tunnel safety regulation. Otherwise, let me remind you that all new road projects with a cost estimate of over 200 million. kr will be submitted to the Stortningen for decision through the annual government budget. In addition, all toll projects are submitted to Stortinget. Both the budget proposals and the toll proposals provide a more detailed description of the projects, including: be made good in terms of traffic volumes and choice of road standard. In practice, this means that all major road projects are submitted to the Treatment Survey before plant start. For the largest projects, external quality assurance (IS2) is also carried out before the projects are submitted to Stortinget. Until today, all projects with a cost estimate, i.e. a governance framework, have over 500 million. kr are through KS2. This limit is now increased to 750 million. kr. In my view, a thorough treatment of new road projects with good information for Stortinget is being carried out. Therefore, I cannot see the need to implement measures that may increase the planning time.
ParlaMint-NO_2011-04-06.ana.ud2177e1086	Thanks for the answer. The first part is good. If we can get a less rigid practice of traffic-related legislation so that we get safe roads, that's good. The second part – if we get good information on the issues that come to Stortinget – I am more doubtful about it. We have two European road projections in relation to toll use: Prop. 57 S for 2010–2011, E39, and Prop. 53 S for 2010–2011, E6. Nothing has been said about road safety measures that have been assessed and are to be implemented. In fact, no mention has been made of the type of road being built – that is, Prop. 53 S – the traffic for which the road is built and the road safety measures to be implemented. It is only after questions are discussed in the committee that we are given full information on what is done and, in particular, what is not done. Does the Council of State think this is satisfactory information?
ParlaMint-NO_2011-04-06.ana.ud2177e1093	Let me say first when it comes to greater flexibility: there I expect answers from the Road Directorate during the spring – just so it's said that there's nothing packed away for too long. So to the other part, which relates to E39 and E6: I have noticed these questions, and I am very pleased that we can have this exchange during the proceedings in Stortinget – that one can ask questions, and that we can give adequate answers. The thing that has been about doing for me in both of these cases, and that is stated in the propositions, has been to ensure greater road safety, and make it as quick as possible. In one case the old road is used as a walking and cycling road, in the other we know it's a very dangerous road, E6, as it is today... [[The President cut off]]
ParlaMint-NO_2011-04-06.ana.ud2177e1100	Thanks again for the follow-up response. One thing is that the Stortinget and the Committee are given the opportunity to embark on a project when there is toll financing and the project comes to Stortinget, but it is also a question of how the department's transparency, governance and control are compared to the Road Directorate. How far does the Directorate of Roads have in terms of building new road projects? Is there a clear standard requirement on new roads, or was such standard requirements actually removed from the road code in 2007, as I understood that the road network wanted? Will the absence of quality requirements for new roads bring us faster and safer to the goal of good and safe roads across the country? Is it good use of money that we do not have requirements for standards on new roads being built? High requirements are imposed on road users and on vehicles. It must be reasonable for similar strict and clear requirements to be imposed in the construction of a new road.
ParlaMint-NO_2011-04-06.ana.ud2177e1109	Let me first say – and actually with a smile – that I believe that the Directorate of Road, perhaps especially in the case of the E6 west of Alta, will be able to prove that contact with the Department has been very close to holding on one side the progress that was expected, and on the other hand to have what is to ensure that a good case is put before the Storting. Winter has been hard on the Norwegian road. In the light of the events in winter, it will be natural to go through the new normals, i.e. the tightening up that took place from 1 January 2011 to assess whether there is a need for further improvements. Then, of course, in the light of the questions about these two roads, E39 and E6, the two things, I want to be very careful about how things are talked about in matters that come to the Storting in the future.
ParlaMint-NO_2011-04-06.ana.ud2177e1120	I will be allowed to ask the Minister for Transport a question which probably also interests the President: ‘When can the start of remaining deployment of E18 in Inner Eastfold begin?’
ParlaMint-NO_2011-04-06.ana.ud2177e1127	As indicated in the 2011 State budget, State resources have been set up for the possible start of construction in 2011 at the Melleby–Momarken Parsel on E18 in Østfold. It is also indicated by the State budget that the Ministry will present its own proposal on the development and financing of E18 on this route as soon as there are sufficient clarifications. The Ministry of Transport is currently preparing such a proposal. I would like to underline that this is a high priority and that a proposition will be made as soon as practicable.
ParlaMint-NO_2011-04-06.ana.ud2177e1134	Thanks for the answer. There is nothing that will please me more than if the start-up and further expansion of the E18 can happen, and I think that will also please the Council of State. According to the Smälen, which is the locality of this area in Eastfold, the State Road Service says they can publish the tenders on this section as the State Council mentions, Middleby–Momark, as soon as possible, but it is absolutely dependent on the fact that it comes as a matter for the Stortinget, and that decisions are taken before 1 June, so that we do not have a postponement of start-up to next year. This is, of course, the main road to and from Europe. It is a tribal road, and the Council of State said that even though it was now a plant stop in the development – i.e. in relation to the opening on 23 November – it could start already this summer.
ParlaMint-NO_2011-04-06.ana.ud2177e1143	As I underlined, the work is highly prioritised. I have noticed that the Swedish Road Administration's various project leaders are good drivers at local level to get the projects moving. That's good. This is a matter of warning to come to Stortinget in May. The work is demanding in many ways – I will come back to it hopefully for the next minute. I have so far not informed the Storting that there is a need to change the schedule, but let me stress that a proposition on the E18 route between Melleby and Momark will have to discuss more than the development and financing of this particular parcel. Here are also other questions that need to be considered. Hence, this work takes some time.
ParlaMint-NO_2011-04-06.ana.ud2177e1150	What worries me is the Council of State's response to possible start-up in 2011, and that there are now other issues. Very familiar were the planning documents to be ready, and the Council said on 23 November that there would be a break in the construction, but that it would start in 2011. It is clear that both businesses and passengers now experience that there is once again uncertainty about the start of construction of the remaining route. And I have to say that I wish the Council of State was more willing to also open up extensions over longer distances, so that we don't just treat and finance 7-8 km every time we get a main road and a tribal road to and from Europe finished.
ParlaMint-NO_2011-04-06.ana.ud2177e1155	I visited Minnesund-Dal yesterday. This is now one of several examples of extending longer distances. There's talk of 19 km, with an extension of two years. I want more of these projects. When it comes to Melleby–Momark, I am busy getting started as quickly as possible. There is no reason to doubt it, nor is there cause for concern. I just have to say that the impact of a modified toll collection scheme on the whole of E18 in Eastfold is one question – it is then both a matter of discussing the traffic base and the toll revenue – but it will also be important in this proposition to make a reference to the choice of standard at whole E18 in Eastfold precisely because, as the representative says, this is a road in and out of the rest of Europe. It is important to me that central aspects of the case are treated as well as possible in a proposition that I have notified to the Stortinget in May.
ParlaMint-NO_2011-04-06.ana.ud2177e1167	This question, from the representative Bent Höie to the Minister of Health and Welfare, will be raised by the representative Sonja Irene Sjøli.
ParlaMint-NO_2011-04-06.ana.ud2177e1170	I would like to ask the Minister of Health: ‘I refer to the fact that Health South-East has now entered into an agreement with the Feiring Clinic on Ablation Treatment. The feiring clinic is officially approved and hospital choice is free in Norway. Does this mean that patients from other health regions can also apply for this offer and that it is made available on free hospital choice.no?’
ParlaMint-NO_2011-04-06.ana.ud2177e1179	All patients referred to specialist healthcare are entitled to choose a hospital. It follows from the Patient Rights Act. This right applies to all public hospitals as well as private hospitals that have entered into an agreement with a regional healthcare company that grants the patient such a right of choice. As the representative refers to, Health South-East has entered into an agreement with the Fairing Clinic on Ablation Treatment. The agreement is limited to 200 such treatments in 2011, according to Health South-East assessment of their responsibilities to provide sufficient capacity. It is important to stress that patients’ right to free hospital choice is limited by the volume of the contract. However, if the private provider has only one regional health service provider, as is the case for the Feiringklinik, patients have the right to choose there as part of the free hospital choice. This means that patients who need ablation treatment can choose the Feiring Clinic, regardless of the region in which they live. However, I take the view that the other regional health establishments make a similar assessment of the need for ablation treatment and provide sufficient capacity. It is the Health Directorate that operates the Information Service Free Hospital Choice. The offer of ablation treatment has not yet been published on these websites. The Health Directorate will present the waiting time for this offer on the website as soon as possible. As is known, the capacity for ablation treatment is too low in Norway. Therefore, in June 2010, the Ministry asked for capacity to be built up. It takes time to build up this offer. Investment must be made in expensive medical devices, while taking time to train heart specialists in the ablation method. The Health Directorate has clearly stated that patients in need of ablation treatment should not wait more than six months. Therefore, in October 2010, we instructed regional health companies to ensure that patients who are entitled to such treatment are offered this under their own control or through agreements with private institutions that have such an offer, whether in Norway or abroad. I am concerned that these patients receive a treatment offer in line with national recommendations. In this year's mission document, we have asked for a separate report on this work by the first tertiary in 2011.
ParlaMint-NO_2011-04-06.ana.ud2177e1194	I am pleased that the Council of State now confirms that patients have the right to choose the Feiring Clinic as part of the free hospital choice, although she says that it must be done through agreements with healthcare companies under their own regime or through agreements with private institutions. The Council of State also agrees that there is a need for a lot more capacity and the Fairing Clinic has more capacity. They only operate every two weeks. So they can double their capacity, which will help significantly reduce waiting lists for cardiac fibrillation patients. What will the Council of State, in concrete terms, do in relation to regional health enterprises to ensure that this capacity is exploited? They do not take any health professionals from the public sector in Norway, because they use non-resident specialists.
ParlaMint-NO_2011-04-06.ana.ud2177e1201	I have been concerned that this group of patients should be treated. That is why I asked healthcare companies last June to assess their capacity. It was calculated that we needed approx. 1 400 treatments in Norway per year. In October, I instructed regional health companies to build up this capacity, or, if they could not provide patients with treatment within six months, which was the assessed maximum period – it may be that some people have to have treatment earlier than that – they would have to buy this capacity either at private clinics in Norway or abroad. As far as I'm aware, it's just the celebration clinic that has built up this offer outside the public hospitals. I have to say that I now assume that regional health companies are following this up. However, this is a matter that is important to me. That's why, of course, I'm going to follow it closely.
ParlaMint-NO_2011-04-06.ana.ud2177e1208	I'm glad that the Council of State says she's “foreseeable”, but we've heard that a lot in the last few years when I've taken up the situation for this patient group. But the agreement with the Feiring Clinic can therefore be doubled if it is willing to do so, so that the Feiring Clinic is not considered a competitor of the public offer. I now expect contact from the other regional health companies to also be made, so that the capacity at the Feiringklinik is used. There are several thousand who are in line, who are ill-appointed, who could come back to work if they receive treatment in time. Then the Minister of Health has introduced a so-called 'treatment guarantee'. My question is whether this six-month treatment guarantee also applies to cardiac fibrillation patients on the waiting list or whether it applies only to new patients.
ParlaMint-NO_2011-04-06.ana.ud2177e1217	We have asked that this waiting list be reviewed. Of course, it takes some time, but at the same time we've been very clear that six months is the maximum time someone should wait. I think I can say with a lot of weight that I'm as busy as the representative, Sjøli, that we're going to succeed in this offer, because I'm also aware that this is about many people of their best age who can come back to a normal life, if they get this treatment. That's why it's important. So now all regional health companies are building up their capacity. The celebration clinic is a very good supplement, which Health South-East now uses because they have had too low capacity – and it takes time to build up – and which, of course, the others have to consider if they cannot meet their own needs in their own region.
ParlaMint-NO_2011-04-06.ana.ud2177e1224	Questions 6 to 9 have been answered in the past.
ParlaMint-NO_2011-04-06.ana.ud2177e1231	‘In 2009, farmers had, on average, NOK 136 000 in entrepreneurial income from agriculture, NOK 11 000 less than one year earlier. 28 pst. of farmers were without positive agricultural incomes, while 8 pst. had agricultural incomes of NOK 400000 or more. What will the Council of State do to improve the functioning of Norwegian farmers?’
ParlaMint-NO_2011-04-06.ana.ud2177e1238	As far as I can see, the basis for the question by the representative, Mr Träldal, is from the statistics of enterprise income of the Central Statistical Office. I have recently answered a similar written question on the basis of the same statistics. It was put to you by Per Roar Bredvold, who was also from the Progress Party. I refer to my written reply to this. The agricultural holdings included in the SSB statistics cover all those with entrepreneurial income from agriculture. These vary greatly in size and production. It includes everything from hobby production to enterprises with a million turnover. This is the main reason for the variation in entrepreneurial income from agriculture for different types of uses. As I also say in my written reply to the representative, Bredvold, tax data is not very well suited to measuring the profitability of business. For example, individual agricultural enterprises may: share the income between spouses. This level may also be influenced by other tax adjustments. The average agricultural income fell by NOK 11 000 from 2008 to 2009, due in particular to: difficult harvest conditions for grain production resulting in low crops. In my written reply to the representative, Mr Bredvold, I also explain that the agricultural budget item on income development in agriculture is better suited to assessing the results of policy than tax data. I could have presented a lot of figures that show that the incomes of agriculture have been lifted during this government. For the sake of comparison, I shall only show that remuneration for labour and equity in the total accounts of agriculture, including: The crop figures are normalised, went up by 25 400 kroner, or l3,4 pst. from 2008 to 2009. One of the main projects of this government has been to ensure national food production, and the cultural landscape, through robust and sustainable Norwegian agriculture. A satisfactory level of income and a security of income development are important prerequisites for achieving this. Here the government can show good results so far, and it is my ambition that we should achieve more. It is a little surprising to experience that the representatives of the Progress Party seem to be so concerned about the incomes of agriculture. As late as in the 2011 budget, the Progress Party proposed to cut the agricultural agreement by 7.7 billion. kr. It involves a cut in remuneration for work and equity for agriculture of about 140000 kroner per year in a single year. In the government platform, the government says that we should further develop income and welfare policies in agriculture. We have delivered significant results in this area every year, but I would like to achieve even better results. Farmers are self-employed persons who adapt within the political framework they are given. Here, this government will continue the work we have started to achieve better objectives in the field of agricultural policy.
ParlaMint-NO_2011-04-06.ana.ud2177e1253	I record that the Council of State believes that the incomes of Norwegian agriculture are not so bad. I expect that we will see when the agricultural negotiations come. I also record that one of the reasons for the variation in the entrepreneurial income is that a large part of the use is hobby use. I understand that so far when you see from the SSB's numbers that you only have 13-14 pst. which is defined as full-time use. So, as the Council of State says, you run agriculture on a hobby basis. Then my question becomes: Since you run it on a hobby basis, is that why you put down three uses a day seven days a week?
ParlaMint-NO_2011-04-06.ana.ud2177e1260	It is important to be aware that statistics and statistical bases are the basis for further analysis in the future. It's the Budgetary Department for Agriculture's analyses we use to define revenue. It is also agreed by the organisations. As far as industrial trends are concerned, I think we should take into account that technological development, communication and all the different social and organisational changes affect the labour intensity of agriculture, and thus also the average income, average remuneration for work and capital. It is such that we need to increase agricultural incomes, and those increases must be made both through market withdrawals and through budgetary resources. In this context, the Progress Party is the party that does not wish to use budgetary resources to any particular extent for the industry, and it will contribute to a reduction in income for the participants in agriculture.
ParlaMint-NO_2011-04-06.ana.ud2177e1267	It's not right to say that the Progress Party will cut. We'll do it another way. With all due respect: As long as Breck has run, namely for two periods, there has never been any further use. So that's proof that the policy of Breck has fallen to both farmers, the Norwegian people and the rest of Europe. I have a question for Breck. In yesterday's Nations, we can read that the border trade has now reached 20 billion. kr. Then my question is, when you have a border trade that's up to 20 billion. kr, and people run across the border because we have the world's most expensive milk and the world's most expensive cheese – everything in agricultural products – how will the Council of State now, towards agricultural settlement, take into account that he has such a solid commercial leak? What will Brerk do to stop the commercial leakage?
ParlaMint-NO_2011-04-06.ana.ud2177e1274	First of all, I would like to stress that it is not right that the representative, Mr. Träldal, says that the Progress Party does not propose a cut. Every year, and I have been at the Stortinget since 2005, the Progress Party has proposed significant cuts in the agricultural agreement through its annual budget allocations. It's not that they just want to do things the other way. As far as border trade is concerned, it depends on many different considerations. The development of border trade includes: also because we have a higher cost level in Norway. We need to give consideration to those who produce on a different level. This leads to increased prices. At the same time, the level of charges in Norway is also higher on the basis of policy choices. It gives higher nominal prices. And at the same time, the price level of food in Norway is at some of the lowest relative level, compared to the income of most people in this country. We're going to use about 10-11 pst. of our income for food. 20–30 years ago, the share of income used for food was three–four times higher.
ParlaMint-NO_2011-04-06.ana.ud2177e1285	I would like to ask the Minister for Agriculture and Food the following questions: ‘The Authority considers that if the loss figures for 2011 do not decrease, 400 sheep farmers will graze for the 2012 grazing season. Does the Council of State consider it appropriate to take grazing rights from farmers who have their income either in full or in part from this industry because of excessive losses due to current predatory policies?’
