ParlaMint-NO_2011-06-01.ana.ud1111e26	The representative Anne Marit Bjørnfacen, who has been licensed, has once again taken the seat.
ParlaMint-NO_2011-06-01.ana.ud1111e832	Initially, I would like to say that from yesterday's TV reports about the start of the wild fish, it is promising – and that is good. On behalf of the Minister for the Environment, I would also like to begin by pointing out that the agricultural policy is the responsibility of the Minister for Fisheries and Coastal Affairs, while the Minister for the Environment has a special responsibility for the wild species. In the context of an interpellation by the representative Trine Skei Grande in October 2010, the Minister for the Environment of the Storting explained the situation to the wild. In addition, in February 2011 the Minister for Fisheries and the Coast made a statement on the Maritime Policy for the Storting, which also referred to the relationship between farming and wild breeds. Scientific advice on salmon management is an independent advice established by the Directorate for Nature Management, which, through annual reports, describes the stock status of Norwegian wild species, assesses threats and provides advice on the level of taxation and other issues affecting the wild species. Scientific Council for Salmon Management issued on 24 May this year its annual status report on the wild axis of the Directorate for Nature Management. The next day there was a press seminar on the matter, at which the Minister for the Environment also wanted to be present. In this report, the Council has assessed the achievement of broodstock targets in 210 salmon populations and has given advice on taxation based on stock status assessment in 2009 and 2010. The brood stock target is a measure of the amount of wild salmon needed to exploit the reproductive potential of the watercourses. The catch in the assessed watercourses is 98 pst. of reported salmon catches in Norwegian salmon waters. The main message in this year’s status report is that the incidence of salmon to Norway was historically low in 2010, though there was a small increase from 2009. The most marked change in salmon stocks status for 2009 to 2010 is that the catch has been reduced so much by regulation that the spawning stock targets have been achieved in most stocks. Over-taxation in Norwegian salmon has decreased after the last regulations. One exception is the Tana River Strait, where negative stock development is likely to be related only to overtaxation. There are slight changes in the threat assessment from 2009 to 2010. Salmon and escaped farmed salmon continue to appear as unstabilised and existential threats to Norwegian wild salmon. These threat factors are likely to be important reasons for particularly low understanding of salmon and poor target achievement in many populations in parts of the West. Taxation in this region is very low, and many of the watercourses and fjords are now unfortunately closed to fishing. Government implements a number of measures to reduce the environmental impacts of aquaculture. The measures follow from the government’s strategy for an environmentally sustainable aquaculture industry, presented by the Minister of Fisheries and Coastal Affairs in April 2009. The main challenges today are related to escape and lynx. In February 2011, the so-called Land Selection handed over the report «Effective and sustainable land use in the aquaculture industry – area to be desired» to the Minister for Fisheries and Coastal Affairs. The site selection made a number of proposals. Which proposals the government is continuing to make, I cannot decide at this stage – at least not signed. The Committee's report is now being consulted, and the government will start its follow-up work after the hearing has ended.
ParlaMint-NO_2011-06-01.ana.ud1111e853	Check out the salmon for these two check-out guys here! It was taken in Namsen tonight – 21.4 kg. [[The representative shows a picture.]] Both the Minister of Justice and I are concerned with legal certainty, and I am also concerned about the security of life of the wild. Yesterday I was at the doctoral thesis for Anne Magnusson. Her thesis shows how a clear analytical distinction between scientific, technological and practical knowledge becomes irrelevant because the actions are adapted to situations. Magnussøn further shows how the breeder's objective of producing the most fish in the shortest possible time and the practical organisation of the work provide clear guidance on what knowledge is possible and relevant. What I'm asking is what action the Minister of Justice will take to ensure the wild species' safety of life in relation to the farming industry.
ParlaMint-NO_2011-06-01.ana.ud1111e862	The President is in doubt as to what arrest the Minister of Justice may take, but we need to hear.
ParlaMint-NO_2011-06-01.ana.ud1111e865	As an ordinary ordinary member of the government, I must also be involved in the development of policy in this area. It's actually an area that interests me a lot. I am delighted to be allowed to do so, among other things. to participate in fishing for salmon by August. This is important. It was announced by the Minister for the Environment, together with the Minister for Fisheries and Coastal Affairs, concerning, inter alia: the work to be done and the actions that can be seen to be effective will be important. But as I said in my main answer, it is difficult for me now to anticipate what the government comes to from conclusions, in addition to saying that there are proposals on the table that the government is now considering, and which I hope will also be effective.
ParlaMint-NO_2011-06-01.ana.ud1111e872	According to Bergen’s Official Journal, environmental protection minister Erik Solheim stated that today’s wild fish population is alarming, especially in the West. Fördefjorden was adopted as a national salmon fjord in 2007 and has three salmon-bearing watercourses. The salmon strain in Jölstra is threatened, and the salmon strain in Redalselva is described as genetically peculiar. In connection with the establishment of mining operations, the largest waste site in northern Europe at sea is planned in this fjord. All the smolt and salmon on their natural migration to and from the sea must pass this waste site, as it extends over the entire breadth of the fjord. For national salmon fjords, it has been considered that establishments at risk of serious contamination shall not be permitted. I now know that this matter is at the Minister for the Environment's table. My question is whether the Council of State will be uncompromising on the part of the wild on the issue of the establishment of mining in Førdefjorden.
ParlaMint-NO_2011-06-01.ana.ud1111e881	This is a matter that lies at the Minister for the Environment's table, and I am convinced that he would have been black enough to wait for the outcome of the assessment that you have and that you do in close cooperation with the Ministry of Fisheries and the Coastal Department. But I am quite convinced that it is a genuine will of all governments and the entire government to ensure the valuable gold that the wild beast actually represents, even in concrete local matters. But as to what the conclusion is in this case, I have to ask the representative to wait until the Environment Minister has concluded.
ParlaMint-NO_2011-06-01.ana.ud1111e890	‘On 20 June 2010, the police officer in Sogn and Fjordane sent letters to the Police Directorate proposing to merge Sogndal and Leikanger County. The decision was taken in consultation with the two borrowers and employee organisations. The Municipal Council of Leikanger has provided support. On 3 August 2010, the Police Directorate sent a letter to the Ministry of Justice supporting the police officer’s proposal. When will the police officer get an answer to the question of merging the two county councils, and what will be the answer?’
ParlaMint-NO_2011-06-01.ana.ud1111e897	Last August, the Police Directorate sent a proposal to merge Sogndal and Leikanger County. The proposal was supported by the municipality of Leikanger, which is most affected by the changes, and by the workers’ organisations concerned. I just want to stay a little bit on it, because it's actually good processes that are going on. What's imperative to do some structural action is to be able to involve local actors and stakeholders in the organisations. In general, the organisation of the policing and county councils is also a very important theme in the forthcoming report on the performance reform and the further development of the police and county councils. In this way, such a local process may shed light on much of the work to be outlined in that message. The notification shall include, inter alia: contribute to a broad discussion in the United Kingdom on principles, frameworks and measures in the further development of the Police and Leniency College. In this context, the first line service of the police, which is the part of the police with which the public and community come into contact on a daily basis, will also be discussed. However, there is no need to outline concrete changes at the level of the county council in this Communication. However, the Communication will point to principles and criteria that one believes should underpin the further development of the local structure of police districts. In this context, the Ministry has discussed how to follow up local individual proposals for border adjustments and groupings of county councils. Since these proposals are based largely on local consensus and may have a significant impact on the quality of the local police service, one, so far, has chosen to sue and promote these matters for the King of the Council of State. I do not think it is right to anticipate what the conclusion is on the matter in question, in addition to saying that we are soon at the end of the procedure, and in this way: A clarification is just about the corner.
ParlaMint-NO_2011-06-01.ana.ud1111e910	I thank you for a very bad answer. The Chief of Police is taking such action to strengthen the police force. Sogn and Fjordane are a pig-grown country with large distances, fjords and mountains. It requires good police personnel. Sogn and Fjordane have good numbers when it comes to crime. Police have their share of the era for it – both preventive work and good cooperation with the municipality. The Chief of Police in Sogn and Fjordane want to give priority to this work. To do so, he needs resources, including: reorganisation, as referred to in the question. In 2020, there is a target for two police officers per 1 000 inhabitants. What will the Council of State do to raise the police coverage in Sogn and Fjordane, from today's 1.1 policemen per 1,000 inhabitants to 1.5 policemen per 1,000 inhabitants, as requested by the police officer in order to perform good police services?
ParlaMint-NO_2011-06-01.ana.ud1111e919	Then I want to do what the Right didn't do when you had government responsibility for a few years back with regard to admission to the Police College, which was all the way down to 240 students. If we're going to get more policemen in Sogn and Fjordane, we're dependent on training more policemen. That's why the Red-Green government has tripled the police college admission, and so over the last few years, we've trained 1,600 more policemen than what was done under the previous government. That's the only grip we can do. It is also gratifying that the police college students who have come out are now in work, sailing if it is produced as if the opposite is the case. We're also going to have a big recording this fall. I am convinced that it will also ensure that we will achieve the targets set by the police against 2020. So I'm reminding you that you proposed a recording of 550 students to achieve the goal. The government has chosen 720.
ParlaMint-NO_2011-06-01.ana.ud1111e926	We have received this answer from the Minister of Justice here in the Chamber at several times. I want to use Martin Kolberg's expression: it's talk, talk and talk from the Minister of Justice's side. When the police don't have money for more police posts, how are you going to increase the police coverage in Sogn and Fjordane?
ParlaMint-NO_2011-06-01.ana.ud1111e933	With respect to reporting: if the representative Lødemel believes that it is ‘talk, talk and talk’ that the police college has tripled, and that police appropriations have increased in Norway in the same period by between 3 and 4 billion. kr – this is therefore an increase in the respective police districts, which has increased the number of police posts with over 1,700 annual work at the same time – is due to the demander’s bill. So there are two steps you can take to increase police force out there and more policemen out there. It's training more – do not do as the Right did when they were in government. The second thing, of course, is to increase the chances of employing these people. And I'm glad that of the big hill we graduated last year, it's 94 pst. who is now at work. It's not talk.
ParlaMint-NO_2011-06-01.ana.ud1111e942	I will ask the Minister of Justice the following questions: ‘Refer to written question No. 507 and No 690 for 2010–2011. The person concerned has now been informed that the exclusion from hunting will last for two years from 18 January and for two years. Arms were withdrawn in 2009 and hunting bans have been in force for a year and a half. Real punishment thus becomes close to twice what the judgment calls for. The case seems very unreasonable, but is rejected for review by the Legal Affairs Directorate. Will the Council of State address the matter and prevent individuals from being penalised more than is the case in judgment?’
ParlaMint-NO_2011-06-01.ana.ud1111e951	I would like to refer to my and Grete Faremo's previous answers to the representative's written questions on the same matter. I see that we're really answering the same thing all along, because I feel that the question is the same. I was also available last Wednesday to answer this question. On a general basis, reference may be made to weapons legislation, which regulates recall of weapons cards and firearms. This can be seen, among other things: that if the holder of a weapons card no longer complies with the requirements of soberness or reliability or if, for special reasons, he can be considered unfit to have firearms, the police chief is obliged to withdraw the weapons card. The central theme of the judgement in the event of withdrawal of the weapons card is the same in substance as when authorisation is granted, including, inter alia: whether there are any circumstances in which the person concerned is not reliable as regards the possession of firearms. The most practical basis for revocation is the conviction of a criminal offence that has an impact on their reliability. If the weapons card is revoked, this means that the firearms must be returned to the police immediately. As for the particular matter referred to here, I would like to ask for an understanding that I do not want to comment or intervene in it. We shall be very careful to establish a practice in which a State Council intervenes in individual cases, and in particular where a decision by the overall Board of Appeal has been taken in an appeal case. I have previously been informed by the Police Directorate that the adopted administrative case was decided by the Police Directorate on 21 October 2009. The Directorate maintained when the decision of Hedmark Police District to withdraw his or her weapons card, etc. The decision of the Police Directorate in the appeal proceedings shall not be subject to appeal. the third paragraph of Section 28 of the Administrative Act. However, on a general basis, I would like to refer to the general right to bring administrative decisions before the Civil Ombudsman or General Courts. Finally, I can inform you that the government has set up a sample to carry out an overall review of existing weapons legislation and to propose new weapons laws, or to make the necessary changes to existing weapons legislation, in the light of societal developments and future challenges. The term of office of the panel shall include: in particular, withdrawal, etc. shall be considered. of firearms and ammunition.
ParlaMint-NO_2011-06-01.ana.ud1111e964	It's true, as the Council of State says, that the question has been asked and answered in the past. That's why I wanted to take it up orally – I think the attack angle of the council is so wrong. So it's about a single person who in many ways, as I see it, is being persecuted a little bit by the administrative apparatus. And I've been a rather lonely wolf, perhaps more lonely and endangered than the Russian wolf we have, trying to draw attention to the distance that's going on out in District Norway to evolve between the administration, that apparatus, and people's general understanding of justice. So this man is convicted of running after a wolf, and then he is deprived of weapons and hunting for more than twice what the sentence says – as a result of running after a wolf. It happens at the same time that we see images on TV where people from the Directorate of Nature Management hang over the wolf in the helicopter. I would like to urge the Council of State to address that kind of issue, because I believe it is an administrative apparatus and a bureaucracy that goes too far towards individuals.
ParlaMint-NO_2011-06-01.ana.ud1111e973	It's going to be the fourth time the question is asked, and my answer is really the same. I believe that, as politicians, we must have a general approach to what the legislation is like. We are given an opportunity to review the regulations and regulations relating to the possession of weapons. And then we get to take the signal from the representative of Gundersen that he believes that this is being persecuted. I do not want to conclude anything in the specific individual matter. This has been dealt with in the manner in which it is to be dealt with and the overall Board of Appeal has dealt with the matter.
ParlaMint-NO_2011-06-01.ana.ud1111e980	Then I just want to tell the Council of State that the complaint that was handled by POD was dealt with in 2009. It is still used as the reason why an administrative decision taken in 2011 cannot be appealed against, which is a decision that from January 2011 he will not be entitled to hunting, even though he has been deprived of both weapons and weapons since 2009. So it's obvious that there's something happening here. I'll basically just recommend it again. I believe the matter lies on a completely different level than regulations and regulations, and is about equal rules for King Solomon and Jørgen hatmaker. I'm just looking at that area of significant challenges in that you're on your way to developing a distance between administration and what people see as general justice.
ParlaMint-NO_2011-06-01.ana.ud1111e987	If I'm just allowed to say, that's how individual matters can matter when you evaluate the general rules. I do not think the representative Gundersen should dismiss it as completely irrelevant, when one is now going to go through the rules for this, although I understand that it is difficult to resolve the matter in which the representative is involved. But if you really want to come to life what is described, that the administration is completely sidetracked, which I think it is not, you have to get good enough rules for both process and content – which make it very legitimate in the population. When we are going to have good rules in this area, we must first of all ensure that both the possession of weapons and the pursuit of hunting are sound, and in this way we can do what we can to ensure that no harm is done, neither on humans nor on the wild.
ParlaMint-NO_2011-06-01.ana.ud1111e998	The question is as follows: ‘The EU Commission’s proposals for the follow-up to the EU Green Paper on Freeing the potential of cultural and creative industries were expected in the summer of 2011. Network neutrality, digitisation, funding and copyright issues are being addressed. EU policies in these fields will have an impact on Norwegian content production. What approach will the Council of State adopt to the follow-up to these issues, and to what extent have Norwegian authorities been involved in the preparation of these proposals?’
ParlaMint-NO_2011-06-01.ana.ud1111e1007	We are well aware of the EU Green Paper on Freeing the potential and follow-up of cultural and creative industries. The EU is concerned that the creativity of cultural industries can help maintain the competitiveness of the EU. The Green Paper highlights the role of cultural industries in achieving the long-term objectives of development, employment and growth in the EU. The Ministry participates in the EFTA Working Group on Culture. There we have followed the work on the Green Paper and its follow-up. The EEA/EFTA countries provided a joint consultation response in the context of a formal consultation process carried out by the EU in spring 2010. It is of course of interest to follow the work and strategies of the EU in this area. The Green Paper captures trends and issues in culture and business that also affect Norwegian cultural industries. Many studies and surveys have been carried out on the importance of cultural industries, both in the EU and Norway. These show that these are very important industries, which are growing, and which have many employees. In Norway, two surveys have been carried out in the field of Eastern research. One shows that it was 35 pst. growth in the cultural industries from 1996 to 2007, and in 2007 almost 100 000 persons employed in these industries. Over the period 1995–2005, the value creation of cultural industries has increased by 58 pst. It's significant. We have been active in cultural and industrial development for a long time, and the Ministry of Culture, the Ministry of Industry and Trade and the Ministry of Local and Regional Affairs have previously presented a joint action plan. There were a total of 25 measures that we have worked systematically with. We have also carried out a survey of cooperation between business and cultural industries. It has, among other things, a review of the Action Plans through Innovation Norway and Norwegian Cultural Councils. It points out that, in many areas, we can better coordinate our instruments, that there is a need for commercial expertise among a good number of cultural actors, that there are few in the cultural industries that identify themselves as entrepreneurs – despite their being so, and that they may need more competence in this area – and that the cultural field is largely project-oriented. Therefore, it is important to link more general competence to building business ideas. In addition, it is important for us that it is profitable to build up cultural industries digitally. These include: the reason why we have proposed changes to the copyright law, so that artists' copyright can be better protected online and that selling their culture can be profitable in this area as well.
ParlaMint-NO_2011-06-01.ana.ud1111e1024	Thank you for a nice answer in many ways. I would like to give tribute to the government's draft consultation on the copyright law. I will not promise that we agree with each comma, but the main concepts that are now out for consultation, I think are the right course. Important premises to put in place the creative industries are the web neutrality issue, it's the copyright issue, and it's digitisation and funding. In terms of funding and digitisation, I think we are on quite a good path in Norway. As regards copyright and online neutrality, there may be a need to increase efforts. To take online neutrality first: being able – what to say – to operate freely online, the fact that even the small players want free online access is absolutely central. The weakness of Norway is that the neutrality mechanisms we have are voluntary, there are few sanctions, and they are easy to change based on technical changes. Will the State Council take an initiative to consolidate the position of network neutrality in Norway?
ParlaMint-NO_2011-06-01.ana.ud1111e1033	This with neutrality linked to digital or other communication was one of the reasons why we put down the Media Support Committee, just to see that it would be as profitable to produce a newspaper that had payment solutions online, as it was to launch it on paper. This is a work we systematically go through in all areas. Digitisation also gives cultural industries enormous opportunities if the copyright system is protected. And today, we are making a major contribution to the dissemination of culture through online schemes, by shifting some services online. So this is definitely a priority area.
ParlaMint-NO_2011-06-01.ana.ud1111e1038	Within the Ministry of Culture, I see that you have web neutrality in the back of your head. But it's a little bit of a problem, as I see it, and it's that this is at an intersection, maybe, between the Department of Transport, which is involved in rolling out the cables to do, and the Ministry of Culture. I might have wished that the Minister of Culture had also put a little more pressure on the Minister of Transport in view of this with neutrality, but I am not going to demand any response to this today. As far as copyright is concerned, there are two perspectives that I think are very interesting, which have now emerged in the EU context. One is the clearance of copyright without a known author, and the other is the clearance of copyrights relating to the territories of other countries. There are two themes that I have so far not been able to see in the hearing draft that are out there – perhaps I am wrong. But there are at least two issues that I wonder if the minister will continue to work on.
ParlaMint-NO_2011-06-01.ana.ud1111e1045	These are areas that we'll look at during the amendment of the copyright law. On the other hand, we have wanted to move forward more quickly in protecting copyright within the copyright law. That is why we have proposed legislative changes that we are now sending out to the hearing. But we're going to have a complete revision of the copyright law in a larger context, and we're going to come back to the Stortinget with proposals to modify it.
ParlaMint-NO_2011-06-01.ana.ud1111e1050	Case No. So 2 is done.
ParlaMint-NO_2011-06-01.ana.ud1111e1063	There is no record. Thus, today's map has been processed. The President assumes that the representative Thommess does not request the floor before the meeting is cancelled. - The meeting's been cancelled.
