ParlaMint-NO_2011-03-10.ana.ud2107e122	The representative of Borghild Tenden will put forward a proposal for a representative.
ParlaMint-NO_2011-03-10.ana.ud2107e1914	Case No. So 8 is done. The vote will now be adjourned, and the sitting will be resumed at 9.30 a.m. 18th@item: inlistbox The meeting was cancelled at 0 p.m. 16/14. The meeting resumed its negotiations at 9 a.m. 18th@item: inlistbox
ParlaMint-NO_2011-03-10.ana.ud2107e1928	The size continues the handling of the cases on today's map.
ParlaMint-NO_2011-03-10.ana.ud2107e1942	Prop. 26 L for 2010–2011 refers to changes in the Mineral Law, i.e. the collection of periodic penalty payments and criminal charges. This is a technical change necessary for the State Recovery Centre to be authorised to make compulsory collection of both fines and fees after the entry into force of the new Mineral Law. The amendment will not have any administrative or economic implications. A unanimous committee agrees with the amendment of the law.
ParlaMint-NO_2011-03-10.ana.ud2107e1947	Several have not asked for the floor on case No. 9th@item: inlistbox [[See page 2812]]
ParlaMint-NO_2011-03-10.ana.ud2107e1963	At the request of the Economic and Social Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines after the intervention by the Council of State within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-03-10.ana.ud2107e1972	In connection with Prop. 39 L for 2010–2011, Amendments to the Act on Innovation Norway, a Joint Committee is in place to modify the service period of members of the Board of Innovation Norway’s main board from four to two years, and that the Act on Innovation Norway § 15 is amended accordingly. It will provide flexibility while not hindering the continuity of the Governing Council's work. Furthermore, the Committee agrees with and agrees with the need to clarify certain paragraphs in the laws so as to expressly allow for a district guarantee scheme. This need was seen by the implementation of shared ownership between Innovation Norway and the county municipalities. The Committee's recommendations also apply to existing district-right risk-loan schemes. It will be clear from the changes in the laws that the company can finance the business through loans, guarantees and subsidies from the county councils and other public operators. Preclamations in the laws also indicate that local authorities § 51 are not liable for indirect guarantees offered to the company by county councils. Law regulates responsibilities arising during day-to-day operations. There is also a joint committee that proposes to remove the transitional rules, and we welcome the linguistic changes proposed. The evaluation of Innovation Norway has been on the horizon, and the cases will come to the European Parliament for treatment. Then we will all have the opportunity to come up with a point of view and discuss Innovation Norway in conclusion. Then we'll also have what the hearing authorities have said. Today we are discussing the legislative changes, and, as I said, there is no misgivings about the proposed changes or other proposals for decisions in the laws. However, the minority has an additional proposal in the form of an order for the government. I'm assuming that the minority is doing well for themselves.
ParlaMint-NO_2011-03-10.ana.ud2107e1989	The Christian People's Party, like others, aims at Norway being the world's most innovative and innovative country. Innovation and economic development release resources that can be used for other societal purposes. New and established small businesses are central — without them stopping Norway. Therefore, in its 2011 alternative budget, the Christian People's Party prioritises more funding for innovation. We increased support for innovation actions through the BIA, Innovation Furniture, innovation and industrial development through the SIVA, research and technology development in the marine industry, value creation measures in agriculture, seed funds for initial investments and increased access to risk capital to Innovation Norway, so that new projects in small and medium-sized enterprises can be funded. Innovation is probably the main driver of the development of society. In the last 200 years, the world has experienced an economic growth without parallel in history. Growth has led to an increase in living standards to a level that few thought was possible just a generation ago. The manner in which the increase was made has been accelerated. It would have been intolerable for most people to go back to the standard of living in e.g. 1979 – without the Internet, mobile phone and reasonable air travel, to mention some changes we have experienced in the last 40 years. These developments are the innovative and innovative souls behind them. The development of new and innovative ideas is often useful for more enterprises than only those developing them. However, the development of the idea can often involve a greater risk than the available investors can take. Therefore, such public project support could enable the developer to also take into account external effects. The Guarantee Facility managed by Innovation Norway ensures the financing of projects where the risk is greater than the risk that available investors are able to take. In addition to providing guarantee schemes and other funding assistance, Innovation Norway also provides its expertise and expertise. This contributes to both improving the project and ensuring the progress of the project. The Christian People's Party is in favour of any proposal that can improve the conditions of Innovation Norway and make the guarantee scheme more flexible and fairer. The proposal currently in place in the Storting will provide important clarifications on the allocation of responsibilities in and clarification of the basis for the guarantee scheme. It makes the Christian People's Party positive. When it comes to changing the term of office of the Board members of Innovation Norway from four to two years, we believe that this is a good solution. It provides greater flexibility than the current solution, nor should it compromise the continuity required by a government, as there should be no obstacle to being re-elected after two years. When Innovation Norway also supports the proposal, I see it as completely unproblematic.
ParlaMint-NO_2011-03-10.ana.ud2107e2006	Prop. 39 L is also a case in which the Committee is unanimous. However, the Right and Advance Party have, in their joint comments, referred to an evaluation report on Innovation Norway, which was prepared by Econ Pöyry in the summer of 2010. We assume that during 2011, the Stortinget will be presented with a separate case with a review of Innovation Norway in terms of both organisation and instrumentation.
ParlaMint-NO_2011-03-10.ana.ud2107e2011	I guess the very thing is okay. The Government proposes to change the term of office of members of the Board of Directors of Innovation Norway from four to two years, in accordance with the provisions on the term of office of members of the Board of Directors in the Shares Act, the General Shares Act and the State Enterprise Act. This requires a change in the Act on Innovation Norway § 15. A two-year term of service will provide greater flexibility for owners to influence the composition of the Governing Council. At the same time, the proposal does not prevent members of the board from being reappointed after the end of the two-year period. The government has, among others: in the context of the implementation of shared ownership in Innovation Norway and the proposal of the Ministry of Local and Regional Affairs to set up a new district-oriented guarantee scheme, the need to clarify individual paragraphs of the Act. We therefore propose amendments to Sections 6, 8 and 9, so that the law expressly provides for a guarantee scheme. The clarification also applies to the existing district-oriented risk loan scheme financed by county municipalities. The government also proposes some updates and linguistic changes to the law to make it more accessible. These changes have no material significance. I am pleased that the Committee supports our proposals for amendments to the Act on Innovation Norway. I have also noticed that the Committee is aware that the evaluation of Innovation Norway has been at the hearing and that they are looking forward to the Stortinge case being examined. The government is concerned with the certainty and effectiveness of the commercial instruments and that there is an appropriate division of labour between the various public operators. The evaluation of Innovation Norway and SIVA, together with the consultation rounds, has thus provided the government with important input into how the instrument should be further developed in order to better adapt to the future needs of industry and contribute to achieving the objective of innovation and economic development. In order to provide an additional basis for decision-making, the Ministry of Industry and Trade now implements, inter alia: an own evaluation of the international activities of Innovation Norway and a socio-economic analysis of the impact of the overall public funding of the travel life initiative. We will also publish an external mission related to the organisation and financing of different types of innovation companies as part of the follow-up to the evaluation of SIVA. Overall, this will provide a good basis for the government to say something about the need for further development of Innovation Norway and SIVA. It is clear that we will return to Stortinget in an appropriate manner in the relevant matters.
ParlaMint-NO_2011-03-10.ana.ud2107e2032	It's going to be line change.
ParlaMint-NO_2011-03-10.ana.ud2107e2035	It was only for the last information that came from the Council of State. He then says the same thing as the majority says, that he comes to Stortinget with a case about Innovation Norway. But then I understand that the department has started a lot of work as well, both international and other things. Then I would like to know: is it going to delay the matter that we get to Stortinget? Is this going to go in there as well? And can the Council of State say anything about the time horizon for when this is coming?
ParlaMint-NO_2011-03-10.ana.ud2107e2040	Now I said well in my post that we're coming back to the Stortinge «in an appropriate way». If it means that there is a separate case, notification or proposition about Innovation Norway, no decision has yet been taken. There are also many other opportunities for the Committee to discuss Innovation Norway. This international business evaluation and evaluation has now been launched after the initial evaluation, for example. because we thought this was not well enough illuminated in the large evaluation. So, in that sense, we think it makes sense to make proposals for the Storting when we see the whole thing, although it does not prevent things we already see in the first evaluation from being brought to the Stortinge, for example. in relation to the budget proposal for the autumn, if applicable. So we take things in order and we will present them to the Storting as soon as possible.
ParlaMint-NO_2011-03-10.ana.ud2107e2047	I think that at least the vast majority of those who have followed debates and matters ahead of it have seen that the evaluation of Innovation Norway will come as a matter of its own with a broad debate and with proposals for decisions, for amendments to decisions etc. I'm a little worried when the Council of State says that a little bit of it might come in connection with the budget for the autumn, that is. it is not certain that the evaluation will be made at all during the harvest. At least the Council of State should take into account that it should come as a matter of its own, for this is a very important instrument. It's very important that it doesn't drown in a number of other things and that you lose a part of that debate. I hope at least that the Council of State can take it with it. I also ask that the Council of State may elaborate a little more on what he means by ‘appropriately’. Does the Council of State, at least as a starting point, intend to come up with a separate case on the evaluation of Innovation Norway?
ParlaMint-NO_2011-03-10.ana.ud2107e2052	I have to repeat what I said, that it has not been decided whether the most appropriate thing is to present your own message or a proposition, or whether it is to take it in other contexts. I believe that, among other things, depends on the extent to which changes are likely to be proposed. We're not ready to conclude that yet. Now that doesn't mean there's going to be any things in the budget, a delay. On the contrary, the budget is the first matter to be submitted at the start of the harvest session, and during the spring we will hardly be able to present and deal with an Innovation Norway case. So it has to be happy for the Storting if there's any elements in the budget, because that's the fastest thing we can do, anyway.
ParlaMint-NO_2011-03-10.ana.ud2107e2058	The cord shift is over. Several have not asked for the floor on case No. 10th@item: inlistbox [[See page 2812]]
ParlaMint-NO_2011-03-10.ana.ud2107e2077	At the request of the Economic and Social Committee, the President will propose that speaking time be limited to 40 minutes and allocated by up to 5 minutes to each party and up to 5 minutes to the Council of State. Furthermore, the President will propose the possibility of a replacement of lines of up to three lines with replies after contributions by the member of the Government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-03-10.ana.ud2107e2086	I will first briefly address the contents of Document 8:14 S for 2010–2011 on change of ownership in small and medium-sized enterprises and then for the view of the majority. We are all here together with the proposers in the important role of small and medium-sized enterprises in Norwegian society, like that one looks at how one can better facilitate the growth and development of today's and future small and medium-sized enterprises, including the challenges of generation change, where the goal must be a good change of ownership. The proposers indicate that the level of ownership change for SMEs is large and ask for a strategy for ownership change for SMEs. This work is being started and put into a holistic perspective. One of the themes of the Enterprise Policy Strategy for SMEs is precisely ownership change, including generation change in enterprises. When the proposers conclude that they want a change of course in Norwegian industrial policy, I think there is reason to stop a bit. The red-green government just made a change in course in 2005, away from a business-neutral policy and over to an active industrial policy. The red-green course change has led to 300,000 more jobs. 200,000 of these jobs come from the private sector. This change in course must be continued and reinforced – do not reverse the full focus on tax cuts, as the proposers do. Then there's one thing that's not in goal, even though the wealth tax is made more fair and accurate, among other things. for monthly increments in the bottom. The inheritance fee is also made more fair. 90-95 pst. by all taxable persons, the inheritance tax is lower today than they did before the government of Stoltenberg. In order to facilitate the implementation of generational shifts in smaller family businesses, the red-green government preserved parts of the stock abat for unlisted axles and parts for the calculation of the inheritance tax. The interest-free allowance scheme for the generational change in family holdings has changed from seven to twelve years and covers all enterprises. This is good. I would also like to briefly mention the law on reporting obligations in the event of the closure of a business, the conversion law, which provides for the possibility for any interested party to discuss whether it is possible to purchase the company in order to drive it further. The right of discussion with a view to further operation and possible takeover of activities that have been assessed is also included in the main agreement between the LO and the NHO for 2006-2009. Several of the challenges that proposers are looking at here, I am not going to miss out on, but on the contrary, I am going to include in a holistic assessment that industry policy, including a generation change, should be part of a good, active industrial policy with good governance and good framework conditions.
ParlaMint-NO_2011-03-10.ana.ud2107e2105	First of all, I would like to promote the proposal that the Progress Party is in favour of. The welfare community in Norway is based on the fact that someone creates values and services, sells them, taxes on profits, gives and creates new jobs and further develops the business that you have, regardless of whether it is large or small. All jobs are equally important because they are part of building up under just the well-being we have and also depend on in the future. Then you can discuss how much the individual should contribute, and in what way. Therefore, it is important that there is a transparent and orderly regulation, that we have a framework with which to live, and not least that we have predictability. Therefore, it is important for such issues as this one today, Document 8:14 S, which takes into account the change of ownership of small and medium-sized enterprises. All these companies alone account for approx. half of the value added in Norway. For all these owners, it is of the utmost importance to pursue a business-friendly policy and a fair tax policy. Very many companies are facing a generational shift, which will always happen. But today's society, with the ability to succeed and/or get a life full of experiences and quality of life, is completely new and different than it was for the generation that is considering joining today. Therefore, society must constantly consider organising a new generation of business owners. The party to the progress has, throughout all years, done what they can do for the very purpose of caring for this important asset and its owners, and not least its employees. The Progress Party has, through debates, interpellations and proposals in Stortinget, county councils, municipalities, etc. promoting issues that highlight the situation, as well as making improvement proposals, in order, inter alia, to: profitability and time-use shall be as accurate as possible. The progress party is concerned that the people who sell their life's work also get something left for this, and that not so much disappears in taxes and taxes. In order for new ones to be able to take over, there must also be someone who wants to sell. Therefore, society must not only care for buyers, as the government wishes, in the sale of agricultural properties with a maximum price limit, but also take care of both parties. The buyer and the seller are equally important actors in this process. Back to the actual change of ownership: this will increase in the number of years to come. It's quite natural, as people want to work shorter or work less than before and enjoy old age differently than before. Another point is that parents want to give their children a previous start in the company than they themselves got. Here, there's a big difference now in relation to just a few decades back. Very many of the ownership changes are within the family, and the transfers are also different. While in the past there was only one of the new generation that took over, there may now be several children taking over the enterprise together. So here it has to be easier to form, for example. an AS or get another form you want, on the company, and the inheritance fee must be removed. The same must be true of taxes on wealth on working capital – this is precisely in order to safeguard the new generation of drivers. Many companies also face excise duties that competitors in other countries do not have. This, of course, creates a competitive disadvantage for us. Simplification of, inter alia: reporting and an oversized form fields are another way of improving the daily lives of businesses. Today, a relatively high amount of time is spent on administrative tasks rather than producing and developing new products. Many companies are struggling with a shortage of capital to meet tomorrow's competition. This may have many reasons, but if one manages to create a greater faith in the future, capital access will also increase. Most of us will have security for invested funds and preferably profit from the investment. This is what brings innovation and innovation. In the case of public sector instruments, this needs to be changed and improved. It may seem that there are many political peculiarities that characterise the innovation process. Here I am thinking about gender, type of production, geography, etc. It has to become completely independent of all of this and be neutral regardless of, for example: place of residence. The most important thing must be that we get results and results that last into the future. The question of whether or not you will receive support must depend on the quality of the idea and the ability to succeed.
ParlaMint-NO_2011-03-10.ana.ud2107e2136	The representative Per Roar Bredvold has taken up the proposal he referred to.
ParlaMint-NO_2011-03-10.ana.ud2107e2139	There's little disagreement about the facts here. A lot of businesses, maybe as many as 40 pst, are facing a change of ownership over the next ten years. It is therefore gratifying that the Council of State in its response to the Committee agrees with the problem description. It is gratifying that the rapporteur also gives a favourable opinion on the problem description. It's positive and becomes even more positive if we're going to see concrete results of the intentions. The work is in progress, says the case rapporteur, but for the time being I understand from the Council of State's letter that this is at the conversation stage of these councils that the Council of State has, and we have seen what, for example. Olav Thon thinks about these advices. But it's fine if this can be put into practice a little bit more, and that you take this problem into account in what you're working with. I want to talk a little bit about the changes in ownership in family-owned businesses, and there is often talk about generational shifts in thousands of private businesses across the country. The level of taxation is a significant barrier to changes in ownership, especially in the case of changes in generations. The inheritance fee is often a hard one, although improvements have been made. But the annual collection of owners of enterprises by means of taxes on wealth, whether it be profits or not, contributes negatively. Perhaps the most important thing about this – and there has not been any mention of it – is to facilitate ownership by making participation easier for employees. Very many changes in ownership are made by employees who take over. Then it is important to facilitate it at an early stage, so that the ownership changes can be managed in a good way for the company. I noticed that the Soria Moria statement writes something about having to look at this. I'm waiting in suspense, along with both employees and owners around, for a concrete explanation of this, because I think it's important. That is one of the most important things you can do – including inheritance taxes and property taxes, I will put in second place after that, if we can get better conditions for employee participation. But it's also on the tax side. Then I would like to say to the case rapporteur, who is a little offended because we are talking about a change of course in business policy, and say that the change in course came in 2005, when neutral industrial policy was abandoned. Economic neutrality is only Jens Stoltenberg who has talked about it in this room. That's not what the Right has been talking about. I notice that the red-greens also talk a lot less about active industrial policy, after it turned out to be kicking the directors in the night's cloud and dark, going into businesses belonging to Norwegian billionaires, etc. There has also been no special appearance. That's why I think we're going to get a little bit down here, because here we're talking about small and medium-sized enterprises. That's most of them. That's 99 pst. by the enterprises. This is the case, for example. the inheritance tax is entirely material, in addition to the tax conditions of the employees. The inheritance tax – even with the changes that have been made – destroys a great many generations of family changes by selling them out. I believe that the number of enterprises and the number of jobs that can come out of ownership change, especially within generations, is significant and understated. In particular, it is a pity that this will happen in the years ahead. So when I say that a change of course is needed, I think I have coverage to say that. Then it may be that there is something out of the Council's deliberations in the various councils that can surprise me, but first of all it has to be seen on the tax side. This is essential for small businesses and, above all, something needs to be done to encourage employees to participate over time. The current rules are antiquity, prehistoric and absolutely no incentive for businesses to address them.
ParlaMint-NO_2011-03-10.ana.ud2107e2156	It is an important matter that is drawn up by the proposers. Small and medium-sized enterprises are the backbone of Norwegian business, and ownership change can be a critical stage in the development of such enterprises. Studies carried out by many people here today show extensive ownership change in Norwegian business and that in the near future small and medium-sized enterprises will have a quite large flow of ownership change. It is therefore important to facilitate this in a good way, so as to ensure jobs and value creation in small and medium-sized enterprises. The Minister of Economic Affairs, in a letter to the Committee, has briefed what the government is doing to facilitate ownership change. The Minister of Industry has also informed that a work has been started on a policy strategy for small and medium-sized enterprises. It would be natural for change of ownership to be a reasonable key element of the strategy for SMEs, given that change of ownership is relatively frequent in this type of enterprise. The proposers ask for information and support from the public. Norway has a long way to go when it comes to providing information via the Internet and other electronic information. What has been suggested by the proposers, that it may be relevant to provide more information about ownership change on the Altin website, we found in SV an interesting proposal that there is reason to follow up. It's also a point to provide good guidance on ownership change. Norway has a quite comprehensive guidebook for SMEs, but the guidebook has a main focus on setting up businesses. So it's a main focus on supporting entrepreneurs and supporting innovation in the start-up phase of businesses. It may also be that the guidance device should be given a greater task of providing guidance in connection with ownership change, which in many ways can be an innovative phase of an enterprise. A problem that we should be looking at, as well as what is involved in the economic situation, is whether there is a greater need for competent guidance in connection with ownership change. The proposers, and, to the extent, the fleet representative, were concerned with the ownership of the companies added to them. SV is listed by companies that are the whole of them added. It's also written in Soria Moria, in the government statement, that the government will look at the conditions for companies that are owned by them, and it also says that one will look at cooperatives. One of the conditions that are required by enterprises that are wholly owned by them, and also for cooperative enterprises, is access to capital. In those enterprises, equity will be limited, and it is also required to raise sufficient front capital. So looking at the situation in the loan market of the companies that are wholly owned by the added ones, or that are of the cooperative type, SV seems to be an important thing that we should follow up. There is also a need to look at the existence of organisational models for enterprises owned by contributors that can make the organisation of these types of enterprises easier than today.
ParlaMint-NO_2011-03-10.ana.ud2107e2169	It is important both to build on the business we have and to make sure that new businesses establish themselves. The best tool that can be used for this is to ensure long-term good and stable framework conditions. Good ownership shifts in business are an important premise for increased value creation and create a dynamic in business and development in each enterprise. That's how it's an important theme we're discussing here tonight. The government is developing a strategy for small and medium-sized enterprises (SMEs) and it is, among other things, developing a strategy for small and medium-sized enterprises (SMEs). establish a strategic advice to be used for this work. An active business is the foundation for the continuation and development of the welfare society. A business life with many small and medium-sized enterprises offers a wide range of business activities and secures jobs and value creation in the future as well. This involves a wide range of instruments, such as research, skills enhancement, access to capital, simplification and red tape. Investment in infrastructure is an essential part of a holistic industrial policy. This government has already taken some important steps to improve the framework conditions for SMEs. The changes in inheritance fees will, for example: cause between 90 and 95 pst. all taxable persons receive a lower inheritance tax. In order to facilitate the implementation of generational shifts in smaller family businesses, the government preserved parts of the stock discount for unlisted axles and the part for calculating the inheritance tax. The government has also extended the interest-free allowance scheme for the generational change in family holdings from seven to twelve years, covering all enterprises. The government has, among other things, Making the taxes on wealth fairer by making those who have the largest assets now pay a greater share than before. The bottom deduction has increased from NOK 151 000 in 2005 to NOK 700000 in 2010. The result is that many people who paid taxes on wealth in 2005 on their normal assets, about 500,000 people, now drop taxes on wealth. Small and medium-sized enterprises have, among other things: not own research departments, and public efforts against the research community must be directed primarily towards this target group. Tax FUNN has proved to be a good tool, and the Central Party believes that this system must be passed on as a tax system and further developed so that more people use it. TaxFUNN must be set up in such a way that even smaller enterprises can benefit from research skills for innovation and development of skills in the enterprise and community. Universities and higher education institutions must be promoted for fruitful cooperation with industry, and there must be a good and strong research environment in all parts of the country where cooperation with enterprises is encouraged.
ParlaMint-NO_2011-03-10.ana.ud2107e2188	We are at a crossroads in Norwegian business. As the dossier shows, as many as 40 pst can. Of all the farms in this country, there has been a change of ownership over the next ten years. This means that the arrangements we make for the next few years for business ownership to go smoothly and unproblematic will have a very strong impact on the future life base of the entire business. The Christian People's Party has noticed that the government is working on a strategy for small and medium-sized enterprises. However, we do not just want to have it sent when it is finished, but we want to participate in designing it. I think it is a pity that the government parties repeatedly ignore any attempts from the opposition to contribute to the strategy being developed. It should be in the interest of all parties to have a good anchoring and thorough review of the framework conditions for SMEs. Now the hope is that we will find some of the opposition's many good suggestions in the government's future strategy. New and established small businesses are central. Without them Norway stops. However, where new enterprises create on average two jobs, studies by the European Commission show that successful ownership shifts in small enterprises lead to an average of five jobs being continued. Therefore, the focus on flexible ownership change is so important for the Christian People's Party. It is in the small and medium-sized enterprises that a large part of the values of our country are created. Three-quarters of Norwegian enterprises are owned by families. For family businesses, the inheritance fee is a stumbling block that makes many unable to allow the next generation to take over. The Christian People's Party therefore wants payment of the inheritance fee to be postponed for at least 10 years at the time of generation change. If the holding continues to operate, one tenth of the fee will be abolished each year, and if the holding continues to operate for at least 10 years, no inheritance fee will be paid. The Christian People's Party believes this would be good business policy, good social economy and good district policy. Reduction of taxes on wealth is also important. The property tax weakens private active ownership, drains family holdings for capital, and hampers entrepreneurial activity and innovation. In no country does taxes on wealth amount to as low a level of wealth, and no country has as poor protection of working capital as Norway. Another important issue for SMEs is simplification. Many public regulations, forms and injunctions lead to unnecessary reporting requirements and complicated legislation, and too much effort and money is being used to do this work. That is why the Christian People's Party wants a simplified stock law for small businesses, and we want to introduce sunset legislation both state and municipal as well as develop a strategy for the ownership challenges of family-owned enterprises. Christian People's Party therefore supports proposal No. 1, as indicated in the setting.
ParlaMint-NO_2011-03-10.ana.ud2107e2205	It is a very important challenge that has been addressed in the representative proposal from the Right we are now discussing. As the draft representative correctly points out, there is nothing in the way of the rhetoric and general views of the government and the Council of State in this area. The problem is that this is also going to be with the rhetoric. The action is totally absent, and it is a reality that under the current government ownership shifts in small and medium-sized enterprises have become more expensive and more complicated, in particular with regard to generational shifts in family-owned enterprises, and with regard to switching between Norwegian owners. It's a crazy policy, and it's quite impossible to understand. It becomes too easy to claim, as many representatives from government parties do, that removing inheritance taxes and reducing property taxes are unsocial and unfair. Let's do it. It's very unfurnished, to say it carefully. Last week, the Left visited Aass Brewery in Drammen, a company that has been family-run for four generations, and where the fifth generation might take over in a few years. One thing is if they want to. It must be their free choice. Another thing is the challenges that this company has faced after the government parties changed the inheritance tax, so that inheritances of shares are far more expensive than before. It is estimated to trigger an inheritance tax of 7 million. kr for the fifth generation Aass to take over the operation of the brewery. If it is to be implemented, it is necessary to drain the company for greater values than is necessary instead of investing the same funds in the necessary renewal of e.g. operational means or new market strategies, which often follow in the wake of a change of ownership and/or generation. The same applies to taxes on wealth. The property tax must be paid irrespective of profitability and liquidity. In order for ownership not to become a current financial burden for the owners, the holding must pay dividends so that they are compensated for the property tax. To the extent that the dividend exceeds the screening rate, the owners must also pay taxes on the dividends. Thus, there is a triple taxation of investment in business — first a profit tax, then a tax on the value of the property of the enterprise and then a tax on dividends to pay the property tax. I would like to point out five areas that I believe should be included in a strategy for ownership change in small and medium-sized enterprises: reduce the cost of generational shifts in the removal of inheritance tax and re-introduce share rebates in the tax on wealth simplifies ownership transfers to third parties and not least to employees establishing administrative support schemes to help find successors and new owners gain knowledge about ownership transfer challenges through national competence centres and available information on public websites promote ownership shifts as an alternative to start-up, inter alia. through the taxation system If Norwegian enterprises are to survive in increasingly tougher international competition, they must be able to attract skilled labour. They need employees and managers who identify with the enterprise and who see the relationship between the enterprise's best and their own best. An important instrument to increase ownership, participation, participation in the enterprise is to offer ownership positions. For many family businesses, co-ownership is an important tool for attracting competent staff and managers. Unfortunately, this kind of thinking is reasonably absent from the government and from the government parties. Back to Aass Brewery: Two years ago, the club at the brewery wrote the following in an open letter to the government: ‘As proud employees of a reputable old industrial enterprise, we are increasingly wondering about the authority’s reluctance to take action against Norwegian small and medium-sized enterprises. We feel that the company's framework conditions are steadily deteriorating and that the latest changes are further exacerbating the situation." [[in inheritance taxes and property taxes on shares]] And on the other hand, «As workers at Aass Brewery, we are concerned about the future of the company, as generation change is most likely to come in the near future. Why should the owners of the enterprises be punished for thinking all the way to the best of the company? Without persons willing to expose their capital to greater risk, employment in Norway would be poor.» I couldn't have said it better myself. And this does not come from the owners, but from the employees of the company. They point out the obvious, which unfortunately more and more business owners report back to us. Instead of giving recognition to those who dare to bet, who create jobs for themselves and others, they often meet with suspicion of government and government party representatives. This is not how we create the basis for the creation of value to ensure the well-being of the future. We politicians must take the lead in a change of attitude in which starting, owning and doing business is rewarded and even admired. On this background, the Left Heart supports a minority's proposal in the configuration.
ParlaMint-NO_2011-03-10.ana.ud2107e2253	Valuation is the basis of the Norwegian model, where welfare schemes are among the best in the world. Small and medium-sized enterprises account for a large share of the value creation of Norwegian society. When new enterprises are established and existing enterprises develop, jobs are created and maintained. The government puts both the opportunities and the challenges for small and medium-sized enterprises on the agenda. Let me just start by saying that I'm happy for the involvement in the Storting around this. I am also pleased with the proposals we are making, which come either in Document 8 proposals or in various other contexts. We'll take it with us when we draw up strategies. But I do not always fully agree with the reality description, because the truth about Norwegian business is that it is going very well. We have more than 200,000 jobs in Norway today than we had when the red-green government took over in 2005, and 150 000 of them have come into the private sector. We have more businesses in Norway than ever. So Norwegian business is going well. In fact, we have come out of a financial crisis such as that in Europe which has the lowest unemployment rate. That doesn't mean we'll necessarily be the winner tomorrow. Being a world champion today doesn't mean being a world champion when the battle is next. It is therefore necessary to continue to improve and, in particular, to facilitate the contribution of small and medium-sized enterprises to the overall value creation. Good changes in ownership and generational shifts contribute to that very thing. For society, it is important that those enterprises that have a potential for value creation be continued. We are committed to providing competent owners and employees together with the opportunity to limit conversion costs and to facilitate innovative and value-creating enterprises and secure jobs. As the committee writes – and as I have also replied to the committee – the description of reality is that very many companies are facing a generation change. One aspect that has been highlighted is that as the company owner approaches retirement age, the annual value creation often falls, and the company’s values are likely to be confused. It is not only replaced as the key itself, but it is also the time before the change and the time after the change. That is why it is far too fast to focus solely on the costs, possible taxes and economic things of the generation change itself. The secret of continuing a good business, the secret of maintaining and strengthening value creation lies in a much more comprehensive picture. Representatives in their proposal call for attention to be paid to the framework conditions for privately owned companies. That's what the government is doing, and that's what we're going to do when we're going to create a strategy for small and medium-sized enterprises. I can assure you that the work on improving the framework conditions has a lot of attention. During the spring we will, among other things, — as the first government ever — provide a numerical target for simplification work in Norway. We have also announced the largest single measure ever, namely the auditing obligation for small limited liability companies. The ongoing work of the ALTINN II project will further improve and develop the ALTIN portal so that the business community will have access to relevant public sector electronic services, regardless of the level of service they provide. This policy reduces costs and simplifies the daily lives of a number of established enterprises. Generation and ownership change is an important topic in the context of a strategy for small and medium-sized enterprises, both because many enterprises face a change of ownership in the coming years, and because small and medium-sized enterprises – even stronger than many others – may depend on a very serious owner. Perhaps it is the founder himself who has built the company, and continuing a small or medium-sized company often requires more of individuals to take over the staf stick than in the case of the large companies. I am aware of the disagreement in this room about property taxes and inheritance taxes. There's a discussion that's definitely going to continue. However, it is important to take into account the fact that this money also benefits small and medium-sized enterprises, not least in research and innovation. We want to keep the current tax and tax level, but have never rejected reasonable adjustments. That debate will certainly continue in budgetary terms.
